[00:00:00.349 --> 00:00:01.770]  Okay, last time.
[00:24:24.487 --> 00:24:27.029]  He's on his way to the airport, but he can call in next segment.
[00:24:28.376 --> 00:24:35.919]  So that's all coming up, and then the whole second hour I will go through all of this and try to break down just where we are historically, but here's the deal.
[00:24:37.720 --> 00:24:42.102]  I'm going to wait until Roger's gone after the next segment to get into this, because it's got to be done right.
[00:24:42.122 --> 00:24:47.085]  You know, I did it in the first and second segment if you just tuned in, but I don't think I really did it justice here.
[00:24:47.225 --> 00:24:49.706]  I mean, this isn't me hyping this.
[00:24:50.406 --> 00:24:54.128]  There are thousands of articles this week
[00:24:55.563 --> 00:25:07.130]  into this Sunday saying ban info wars and then you read from the tech meetings with the so-called journalist and with the so-called journalism professors all discussing how to kill free speech.
[00:25:07.150 --> 00:25:13.214]  So you go to major universities today to learn how to strangle speech and how to create cult members.
[00:25:13.675 --> 00:25:18.738]  You've all seen Missouri State and Evergreen College and Washington and all the videos.
[00:25:19.738 --> 00:25:20.559]  Yale, Harvard,
[00:25:23.976 --> 00:25:27.381]  Where they say, no whites allowed on the campus today.
[00:25:28.062 --> 00:25:36.835]  And then an Asian reporter shows up with his camera that goes to the school as part of the newspaper and a white woman walks over and says, get me muscle, no whites allowed!
[00:25:38.237 --> 00:25:38.938]  She means white men.
[00:25:40.734 --> 00:25:43.076]  Or Evergreen saying, no whites allowed this weekend.
[00:25:44.378 --> 00:25:45.619]  Or, remember, you know, Yale.
[00:25:46.139 --> 00:25:55.108]  You've got the liberal professor who's a real liberal going, now, it may hurt you there's Halloween parties and that people dress up as different things, but cultural appropriation's not bad.
[00:25:56.930 --> 00:26:00.833]  It's like they told my younger daughter.
[00:26:01.872 --> 00:26:10.238]  When she was at a retreat, school camp retreat, they said, listen, don't call that a Chinese fortune flower.
[00:26:10.998 --> 00:26:16.081]  Little girls write the things and they sit there and you pick a color, you pick a number, and then they write a fortune in it.
[00:26:16.602 --> 00:26:17.282]  Everybody remembers that?
[00:26:17.863 --> 00:26:18.463]  It's so cute.
[00:26:18.863 --> 00:26:20.064]  They make them with construction paper.
[00:26:20.424 --> 00:26:21.745]  Don't call it Chinese.
[00:26:22.005 --> 00:26:23.847]  Don't call the Chinese New Year Chinese.
[00:26:23.887 --> 00:26:24.727]  Call it Asian.
[00:26:25.007 --> 00:26:26.909]  Just saying Chinese is hurtful.
[00:26:27.109 --> 00:26:30.311]  Whoever said that, it's their New Year, their calendar, 4,000 years old.
[00:26:32.132 --> 00:26:47.480]  It's like saying the Roman alphabet, or the Sumerian text, or the Egyptian hieroglyphs, or Newton's apple, or German, or English, or Russian, or Spanish, or Aztec, or Mayan.
[00:26:47.740 --> 00:26:49.541]  It's something they invented.
[00:26:52.023 --> 00:26:55.785]  Like calling beautiful horses from Persia, Persian horses.
[00:26:57.891 --> 00:26:59.531]  It's a war on language!
[00:26:59.851 --> 00:27:03.852]  They know what they're doing, where all you know is superstition and are scared of words!
[00:27:05.152 --> 00:27:16.914]  I'll never forget, like five years ago, I'm laying by Barton Springs, this big natural pool here in Austin, and I watch a Mexican and a white guy jump in the pool, and I go, man, they could tell they were super stoned.
[00:27:16.934 --> 00:27:19.435]  They're like, dude, I want Chinese food!
[00:27:20.315 --> 00:27:21.335]  The Hispanic guy did.
[00:27:23.055 --> 00:27:25.536]  And the white dude goes, man, that's racist!
[00:27:26.937 --> 00:27:27.898]  And he goes, oops, sorry!
[00:27:30.440 --> 00:27:39.987]  Saying I want Chinese food, I want Mexican food, I want Italian food, I want southern cooking, I want soul food, I want, I want it, I want Japanese steakhouses.
[00:27:40.547 --> 00:27:42.969]  This is the, this is on purpose!
[00:27:43.490 --> 00:27:46.712]  Where every language, every word, everything is bad.
[00:27:47.012 --> 00:27:48.173]  This is mental illness.
[00:27:50.135 --> 00:27:51.195]  This is insanity.
[00:27:52.536 --> 00:27:54.418]  And this has got to stop.
[00:27:55.506 --> 00:28:00.129]  They want to totally bully you until you say and do and act however they want.
[00:28:01.049 --> 00:28:12.717]  And they've now announced hearings on... The way they've got the hearings in, even though it's bipartisan, is we need to look at fake news and stuff on the big social networks.
[00:28:13.157 --> 00:28:24.144]  And then you've got these Republicans who don't even know what planet they're on, not know what's going on, and the Democrats are in there openly saying ban info wars, and then you read all the news articles they go, and then everybody else we disagree with.
[00:28:25.106 --> 00:28:27.427]  It says anyone that's a conspiracy theorist or racist.
[00:28:27.667 --> 00:28:29.248]  They define Trump as all that!
[00:28:30.669 --> 00:28:31.429]  They're the liars.
[00:28:31.489 --> 00:28:32.389]  They're the fake news.
[00:28:32.489 --> 00:28:35.591]  And they're coming because they can't win a debate to shut us down.
[00:28:36.211 --> 00:28:39.293]  If we mobilize and expose this, it'll be their Waterloo.
[00:28:39.473 --> 00:28:40.953]  But we've got to mobilize against it.
[00:28:41.073 --> 00:28:41.774]  We'll be back.
[00:29:00.916 --> 00:29:07.258]  Brandon, please, lay out what you said and then also how they're attacking you and, you know, their ridiculous disinfo.
[00:29:07.278 --> 00:29:20.321]  Because when people walk away from the Democrats and in capitals across the country and in D.C., come together and hug each other left and right for a future of America and the Antifa shows up and there's only a half dozen of them, it is going to be
[00:29:21.161 --> 00:29:23.383]  Martin Luther King level, I have a dream stuff.
[00:29:23.423 --> 00:29:25.325]  I mean, I just know destiny when I hear it.
[00:29:25.425 --> 00:29:28.347]  I think you should tell people your millennium level idea.
[00:29:28.387 --> 00:29:33.812]  I mean, it's like one of those ideas that you only hear a few times in a lifetime and usually people ignore it.
[00:29:33.912 --> 00:29:34.612]  This is history.
[00:29:34.912 --> 00:29:37.795]  That's why there's... so please tell folks the idea you came up with.
[00:29:38.075 --> 00:29:38.936]  Yeah, you got it, Alex.
[00:29:39.036 --> 00:29:44.782]  You know, a lot of what's coming out of the left right now is this narrative that my campaign is Russian bots, which is absolutely ridiculous.
[00:29:44.922 --> 00:29:47.565]  Of course, we have real people giving testimonials for the WalkAway campaign.
[00:29:48.046 --> 00:29:54.913]  But it sort of sparked an idea in my mind, since there's going to be a lot of naysayers out there who are going to try to dismiss this campaign and what's happening with WalkAway.
[00:29:55.633 --> 00:30:07.745]  As bots and as not real, I thought to myself, you know what we really need to do is I'm going to organize a walk away march on Washington, a nationwide walk away march.
[00:30:08.405 --> 00:30:16.173]  And what this is going to be is really unifying people from the left, unifying people from the right, bringing everybody together kind of on the same page.
[00:30:16.954 --> 00:30:20.018]  And listen, if you're not walking away from the Democrat Party, that's fine.
[00:30:20.058 --> 00:30:24.223]  But I think that at this point, people should at least be willing to say, I'm walking away from the hatefulness.
[00:30:24.483 --> 00:30:26.146]  I'm walking away from the divisiveness.
[00:30:26.386 --> 00:30:30.271]  I'm walking away from the violent rhetoric and the division.
[00:30:31.272 --> 00:30:32.494]  So this is what I want to do.
[00:30:32.794 --> 00:30:33.656]  I want to, in the fall,
[00:30:34.236 --> 00:30:41.445]  We have an amazing demonstration organization nationwide where we do a nationwide march on Washington.
[00:30:41.526 --> 00:30:46.091]  I want it to be the biggest, most incredible, and most powerful march this nation has ever seen.
[00:30:46.171 --> 00:30:47.433]  You need to be flooded, folks.
[00:30:47.473 --> 00:30:50.237]  And believe me, I know at a gut level what's going to work and what's not.
[00:30:50.277 --> 00:30:51.478]  So if people fund this...
[00:30:52.399 --> 00:30:53.981]  I couldn't see a better place for people to do it.
[00:30:54.021 --> 00:30:57.944]  So I'm pledging $10,000 that we'll donate right after the show to the account.
[00:30:57.964 --> 00:30:58.544]  I want it online.
[00:30:58.564 --> 00:31:00.086]  I want people to see that happen.
[00:31:00.326 --> 00:31:01.507]  So please make sure that happens.
[00:31:01.667 --> 00:31:03.288]  There are two ways that people can donate.
[00:31:03.669 --> 00:31:07.172]  I've set up a GoFundMe and I've set up a Patreon account.
[00:31:07.312 --> 00:31:13.497]  Both of these things are accessible if they go to walkawaycampaign.com and click on sponsorship.
[00:31:14.057 --> 00:31:18.539]  The GoFundMe is great if you're somebody who's just able to make a one-time donation of any amount.
[00:31:18.579 --> 00:31:20.139]  We appreciate anything that you can do.
[00:31:20.419 --> 00:31:21.059]  Thank you, Alex.
[00:31:21.259 --> 00:31:22.280]  Thank you so much.
[00:31:23.160 --> 00:31:28.982]  I had a feeling that you would be somebody who would be very enthusiastic about this, and I feel exactly the same way you do.
[00:31:29.042 --> 00:31:39.325]  I mean, it was my idea, but I also thought to myself, this is something that really possibly not only has the potential to do a lot of healing, but possibly even preventing a civil war.
[00:31:39.745 --> 00:31:41.088]  And you're just saying, just walk away.
[00:31:41.388 --> 00:31:42.249]  Like, it means don't fight.
[00:31:42.269 --> 00:31:44.653]  It means, just, just don't be under this cult control.
[00:31:44.834 --> 00:31:46.637]  Oh, this is divinely inspired.
[00:31:46.697 --> 00:31:51.525]  I'm telling, I know the zeitgeist when I'm close to it, and I am now in the center of it.
[00:31:51.885 --> 00:31:52.507]  Oh, ooh.
[00:31:57.839 --> 00:32:01.040]  InfoWars Life is bringing you a breakthrough in modern medicine.
[00:32:01.481 --> 00:32:02.801]  Introducing Pollen Block.
[00:32:03.282 --> 00:32:14.727]  We have found an extraordinary new, natural way to alleviate seasonal distress symptoms, including promoting clear nasal and sinus passageways, eye comfort, and respiratory function.
[00:32:15.507 --> 00:32:24.433]  In the 1960s, researchers in France noticed that people who ate certain quail eggs experienced less seasonal immune and inflammatory responses.
[00:32:24.813 --> 00:32:35.541]  They began studying this effect in published trials, and decades later, we now have the fruit of this research, a fast-acting, chewable tablet that helps alleviate seasonal distress symptoms.
[00:32:36.041 --> 00:32:38.362]  Pollen Block is natural and effective.
[00:32:38.702 --> 00:32:40.043]  It is not an antihistamine.
[00:32:40.443 --> 00:32:50.069]  In fact, current research has found that it actually acts by blocking the activity of tryptase, which is an enzyme that amplifies immune and inflammatory responses in the body.
[00:32:50.169 --> 00:32:52.310]  Go outside and enjoy the air you breathe.
[00:32:52.870 --> 00:32:57.753]  Head to Infowarslife.com and grab a pack of our Pollen Block chewable tablets.
[00:33:02.055 --> 00:33:04.717]  You're listening to the Alex Jones Show.
[00:33:21.077 --> 00:33:22.197]  Big Brother.
[00:33:22.217 --> 00:33:23.438]  Mainstream media.
[00:33:24.018 --> 00:33:25.119]  Government cover-ups.
[00:33:25.859 --> 00:33:27.360]  You want to stop tyranny?
[00:33:27.600 --> 00:33:29.241]  Well, so does he.
[00:33:29.261 --> 00:33:33.963]  Live from the InfoWars.com studios, it's Alex Jones.
[00:33:46.727 --> 00:33:50.549]  Alright, Roger Stone is driving to the airport right now, but we're getting him on the line.
[00:33:52.850 --> 00:34:05.376]  He has been told, and he's read over the indictment, and it doesn't say his name, but clearly they're talking about him, that he is tied into the case against 12 Russians.
[00:34:05.816 --> 00:34:07.597]  They're claiming are intelligence operatives.
[00:34:07.637 --> 00:34:15.060]  Now, Rod Rosenstein, who's about to get impeached by the House of Representatives and the Senate, he made it clear that we have no evidence any U.S.
[00:34:15.080 --> 00:34:16.161]  citizens were involved
[00:34:17.423 --> 00:34:19.124]  With Russia trying to hack the election.
[00:34:19.924 --> 00:34:32.650]  But remember, they already indicted 13 bots from Russian PR companies and then when the Russians showed up to court a few months ago,
[00:34:33.783 --> 00:34:45.007]  Showing that 80% of their funding, which we already knew, was from the Democratic Party, and that we're just a PR firm, and that during any election, there are PR firms in England, in Europe, in Russia, in Japan.
[00:34:45.508 --> 00:34:47.908]  People use those to get around campaign finance laws.
[00:34:48.469 --> 00:34:52.390]  There's a little bit of hanky-panky going on, but Hillary had 80% of the money.
[00:34:52.990 --> 00:34:59.173]  So, surprise, surprise, 80% of the spending, roughly, was Hillary's.
[00:35:00.293 --> 00:35:05.726]  So, that's why they've got a big problem with this whole Russiagate thing, because it's Mueller on the tarmac!
[00:35:09.398 --> 00:35:22.103]  For Obama and Hillary, for Hillary's State Department, when she was doing the Uranium One deal eight years ago, giving them super weapons-grade uranium sample of what they were going to be buying if they gave Hillary a couple hundred million dollars.
[00:35:22.883 --> 00:35:34.068]  I mean, look, if Trump was on tarmacs, giving people weapons-grade uranium as a sample to sell out 25% of our strategic stockpiles, I'd say send his butt to prison.
[00:35:34.668 --> 00:35:36.209]  And that's what's so crazy is,
[00:35:37.589 --> 00:35:43.098]  Mueller and Comey and the Clintons are literally on the Russian tatas.
[00:35:44.059 --> 00:35:45.922]  They're on the Russian mammary glands.
[00:35:46.062 --> 00:35:47.404]  I mean, they are on them, baby.
[00:35:48.706 --> 00:35:51.029]  They are making biscuits.
[00:35:52.071 --> 00:35:53.053]  They are getting the milk.
[00:35:54.162 --> 00:35:57.003]  And they were also getting it from the Chinese and everybody else.
[00:35:57.083 --> 00:35:59.684]  I mean, that's what... To be a Democrat is to hate America and sell it out.
[00:35:59.724 --> 00:36:00.404]  Everybody knows that.
[00:36:00.564 --> 00:36:02.965]  They're the ones always selling out our missile secrets and everything else.
[00:36:03.105 --> 00:36:04.206]  They're the ones that hate America.
[00:36:04.226 --> 00:36:06.086]  They're the ones that... They have the Ninth Circuit rule.
[00:36:06.127 --> 00:36:09.728]  You can't wear American flags in public in all those Western states.
[00:36:11.308 --> 00:36:12.349]  Seriously, look it up.
[00:36:12.909 --> 00:36:14.790]  They're hurtful and symbols of hate.
[00:36:15.050 --> 00:36:17.831]  The Democratic Party wants the American flag banned!
[00:36:19.195 --> 00:36:24.819]  Remember Trump after Charlottesville, he said, if they want to take down the Confederate flag, next they'll want to take down the American flag.
[00:36:24.879 --> 00:36:28.242]  And the next week they said, yeah, we want it taken down too!
[00:36:32.525 --> 00:36:35.347]  So, you cannot make this up.
[00:36:41.352 --> 00:36:42.633]  Let me give you a cell phone number.
[00:36:44.659 --> 00:36:45.899]  I'll just abort if he can't get on.
[00:36:45.939 --> 00:36:46.479]  It's no big deal.
[00:36:46.499 --> 00:36:51.101]  We know about the case that I can't play footsie for an hour and a half on air with him to get him on.
[00:36:51.121 --> 00:36:54.261]  Because I've got to cover this attack on the First Amendment, man.
[00:36:54.281 --> 00:37:05.004]  That is the big, gigantic, mega-sized enchilada out in front of everybody, and they have an exact public plan to get rid of the First Amendment.
[00:37:05.064 --> 00:37:08.545]  They admit using InfoWars and WikiLeaks, by the way.
[00:37:09.345 --> 00:37:14.066]  Four months ago, the Wall Street Journal, four months ago,
[00:37:15.362 --> 00:37:23.098]  The Wall Street Journal came out, and remember everybody else picked it up and had the headline, hold on to your tinfoil hat, YouTube is coming for Alex Jones.
[00:37:23.799 --> 00:37:24.300]  And they said,
[00:37:25.575 --> 00:37:35.437]  Well, I'm the new CEO since they sold or selling News Corp to Disney, or splitting it up, and we don't want other people on the internet.
[00:37:35.457 --> 00:37:36.578]  We just want big companies.
[00:37:37.058 --> 00:37:49.161]  And so we're going to set the precedent with Alex Jones and Wikileaks, and once we've banned them as fake news, then we're going to ban everybody else from having their own platforms, and you'll only get maybe a hundred different things on your internet.
[00:37:50.981 --> 00:37:53.822]  Now, this is a public statement.
[00:37:56.181 --> 00:37:56.901]  Then it started.
[00:37:58.442 --> 00:38:03.084]  CNN misrepresenting what I've said.
[00:38:04.004 --> 00:38:04.724]  What I've done.
[00:38:05.665 --> 00:38:07.205]  Saying I said nobody died at Parkland.
[00:38:07.365 --> 00:38:08.226]  No video of that.
[00:38:08.806 --> 00:38:10.246]  Saying I said there were crisis actors.
[00:38:10.286 --> 00:38:11.067]  No video of that.
[00:38:14.088 --> 00:38:15.528]  And then they ban our YouTube channel.
[00:38:15.868 --> 00:38:18.629]  And then we upload to our own site what I really said.
[00:38:18.649 --> 00:38:19.970]  And I said no such thing.
[00:38:22.020 --> 00:38:30.269]  And so they had to reinstate it, and Bloomberg said, oh, there was a mutiny at YouTube of the Southern Poverty Law Center people they hired to ban Alex Jones.
[00:38:30.289 --> 00:38:31.870]  Yeah, you can't make this up.
[00:38:31.910 --> 00:38:37.195]  The Southern Poverty Law Center.
[00:38:37.636 --> 00:38:37.916]  20,000 people.
[00:38:37.956 --> 00:38:39.398]  They got a half billion dollars offshore.
[00:38:40.916 --> 00:38:57.486]  To go and have interfaces on every major web tech site, and then to ban, not just me, but everybody else, and they admit in all these articles, it's coming up next segment, I'm gonna read you the quotes, that they, Facebook and Google said to them at these conferences with CNN, they said, shut up, idiots!
[00:38:59.387 --> 00:39:02.209]  We are already censoring InfoWars.
[00:39:02.429 --> 00:39:06.131]  We are already censoring 80% of the posts of conservatives across the board.
[00:39:07.398 --> 00:39:13.282]  They're gonna have racketeering suits and free speech suits and antitrust suits on us if we completely ban them.
[00:39:13.322 --> 00:39:15.103]  They don't know they're banned.
[00:39:16.463 --> 00:39:16.804]  I do.
[00:39:17.164 --> 00:39:22.047]  Project Veritas got the video eight months ago with the executives going, we've already banned them, they don't know it.
[00:39:22.287 --> 00:39:23.128]  The dumb hicks.
[00:39:23.968 --> 00:39:24.829]  And he goes, what's a hick?
[00:39:25.169 --> 00:39:30.672]  Anybody promoting troops, police, or national sovereignty, or the American flag.
[00:39:31.272 --> 00:39:32.413]  Well who's your number one enemy?
[00:39:32.593 --> 00:39:33.414]  Alex Jones.
[00:39:37.190 --> 00:39:40.651]  I've been sitting here telling you this, and now they're publicly doing it!
[00:39:41.891 --> 00:39:51.354]  And the crazy people at CNN are so out of control, and the Washington Post, the New York Times, and thousands of others, L.A.
[00:39:51.394 --> 00:39:55.955]  Times, New Yorker Magazine, they're like, just ban him completely and arrest his ass!
[00:39:57.236 --> 00:39:58.456]  Shoo him into oblivion!
[00:39:59.116 --> 00:40:01.357]  For our Nazi collaborator, God George Soros.
[00:40:01.377 --> 00:40:03.737]  Alright, let's go to Roger Stone.
[00:40:03.778 --> 00:40:04.518]  We got him on the line.
[00:40:04.978 --> 00:40:05.238]  Roger.
[00:40:06.465 --> 00:40:08.410]  We can see the multi-faceted attack.
[00:40:08.491 --> 00:40:11.840]  Demonize us, misrepresent us, de-platform us, sue us.
[00:40:13.399 --> 00:40:20.022]  And then go to Congress and try to bamboozle a bunch of tech-ignorant Republicans that, oh, we're just ratcheting back all the fake news.
[00:40:20.282 --> 00:40:20.762]  No, they're not.
[00:40:20.802 --> 00:40:26.164]  They let Democrats threaten to let Keith Olbermann to murder anyone they want and to put out lies about all of us.
[00:40:26.464 --> 00:40:32.067]  This is the war for this country, and the president needs to learn how serious it is and bust up these trusts.
[00:40:32.327 --> 00:40:36.729]  And we're sending reports to Congress and the president tomorrow that are bombshell.
[00:40:37.697 --> 00:40:48.204]  Bombshell, Stone, and of course, on top of it, you've got Mueller, the literal bagman with uranium to the Russians, breathing down your neck with a whole new flotilla of fake indictments.
[00:40:48.284 --> 00:40:49.324]  Roger Stone, joining us.
[00:40:50.685 --> 00:40:52.186]  Well, Alex, you're absolutely right.
[00:40:52.226 --> 00:40:54.508]  It's a veritable war of censorship.
[00:40:55.248 --> 00:40:59.771]  They fear info wars, because we're the cutting edge.
[00:40:59.831 --> 00:41:00.952]  We are the tip of the spear.
[00:41:01.816 --> 00:41:11.065]  And there's no doubt in my mind that a crucial element of their plan for a silent coup against Donald Trump is to silence InfoWars.
[00:41:11.765 --> 00:41:15.669]  Because we go where no one else fears to, you know, dares go.
[00:41:16.610 --> 00:41:19.072]  And that's why it's a three-step process.
[00:41:19.812 --> 00:41:25.738]  Take away our First Amendment rights, ban InfoWars on the internet, take away our Second Amendment rights,
[00:41:26.747 --> 00:41:39.711]  Take away our First Amendment rights, take away our Second Amendment rights, and then stage a silent coup on Donald Trump, either through impeachment, based on some trumped-up charges, or the 25th Amendment.
[00:41:41.072 --> 00:41:44.673]  What you first predicted a year and a half ago, everything you've said has happened by the numbers.
[00:41:44.953 --> 00:41:46.154]  What's going to happen next, Roger?
[00:41:47.954 --> 00:41:49.355]  Well, it's very interesting.
[00:41:49.575 --> 00:41:55.817]  It appears to me that the indictment of the 15 Russians is largely for public relations
[00:41:57.578 --> 00:41:57.698]  Yes.
[00:42:14.790 --> 00:42:21.714]  For the special counsel and I think it's meant to prop up his sagging public opinion.
[00:42:21.874 --> 00:42:23.875]  And I should have started the interview with this.
[00:42:24.375 --> 00:42:26.736]  Clearly he's about to meet with Putin on Monday, tomorrow.
[00:42:26.957 --> 00:42:31.179]  So they released this big giant fart in church on Friday to obscure that.
[00:42:33.214 --> 00:42:36.375]  Yeah, they undercut the President of the United States while he's out of the country.
[00:42:37.535 --> 00:42:38.815]  It's really outrageous.
[00:42:38.895 --> 00:42:40.196]  I know you've got to go.
[00:42:40.536 --> 00:42:41.296]  I know you've got to go.
[00:42:41.336 --> 00:42:43.176]  Just come back and finish up on this on the other side.
[00:42:43.196 --> 00:42:44.377]  Oh, you're about to be at the airport.
[00:42:44.737 --> 00:42:46.117]  We've got Roger Stone with us.
[00:42:46.897 --> 00:42:52.359]  One of the top stories in the country is this new ridiculous fake indictment of these Keebler elves that don't exist.
[00:42:52.379 --> 00:42:53.139]  12 indicted.
[00:42:53.159 --> 00:42:53.699]  We'll be right back.
[00:43:00.226 --> 00:43:18.514]  Over a year in the making, produced by one of the top organic firms in the country, that if you want proven studies and documentation, I can speak for hours just on the files I have here, of what this is proven to do, the ingredients in this, this is the ultimate immune system boost for this time of year, any time of the year.
[00:43:18.614 --> 00:43:24.016]  But immune wall is incredible, and folks, other formulas that aren't even as good are $70, $80.
[00:43:24.076 --> 00:43:25.576]  It's a great deal at $39.
[00:43:26.017 --> 00:43:28.838]  Immune wall, beta-glucans, olive leaf,
[00:43:29.498 --> 00:43:30.478]  And so much more.
[00:43:31.039 --> 00:43:32.179]  It is concentrated.
[00:43:32.399 --> 00:43:34.120]  You need to go read what is in here.
[00:43:34.200 --> 00:43:39.822]  The mushroom blend of the most expensive, highest quality mushrooms that just incredibly accelerate.
[00:43:39.922 --> 00:43:41.122]  A citrus peel blend.
[00:43:41.142 --> 00:43:43.083]  I mean, this is the next level.
[00:43:43.163 --> 00:43:45.544]  It's now available, ladies and gentlemen, Immune Wall.
[00:43:45.744 --> 00:43:47.005]  I think it's beyond seasonal.
[00:43:47.185 --> 00:43:49.005]  Beta, glucan, olive leaf, and more.
[00:43:49.565 --> 00:43:50.166]  Immune Wall.
[00:43:50.266 --> 00:43:51.586]  Infowarsstore.com.
[00:43:51.706 --> 00:43:52.547]  Infowarslive.com or 888-253-3139.
[00:43:58.860 --> 00:44:01.842]  Right now is Massive Rampage Force!
[00:44:02.102 --> 00:44:02.362]  Go ahead.
[00:44:02.642 --> 00:44:08.206]  Alex, last night I was on with Laura Ingram, and I had done the Alex Jones Show yesterday.
[00:44:08.406 --> 00:44:09.506]  I'd done the War Room.
[00:44:09.807 --> 00:44:12.268]  She's not on until 9.40 Central.
[00:44:12.288 --> 00:44:13.849]  That's 10.40 Eastern.
[00:44:13.889 --> 00:44:14.569]  I was exhausted.
[00:44:14.829 --> 00:44:18.111]  I popped two Brain Force Plus, and I was good as new.
[00:44:18.452 --> 00:44:23.074]  I mean, it really is mentally stabilized, mentally energizing.
[00:44:23.174 --> 00:44:25.196]  Tonight, I'm on with Tucker Carlson.
[00:44:25.256 --> 00:44:25.756]  The same thing.
[00:44:25.896 --> 00:44:27.997]  I'm going to put in a full day here at InfoWars.
[00:44:28.097 --> 00:44:29.338]  I'm going to go on the Tucker tonight.
[00:44:29.498 --> 00:44:31.340]  Thank goodness for this great product.
[00:44:31.620 --> 00:44:37.604]  This is my all-time favorite because it's so effective and it doesn't give you that jacked-up energy drink feeling, you know?
[00:44:37.904 --> 00:44:38.745]  You can sleep with it.
[00:44:39.045 --> 00:44:43.368]  And when you stack it with the Red Pill, the mind-body combination, that is the best.
[00:44:43.408 --> 00:44:46.210]  That supercharges your energy, your vitality.
[00:44:46.370 --> 00:44:48.071]  This is the best combination I have found.
[00:44:48.091 --> 00:44:48.871]  It really works.
[00:44:49.111 --> 00:44:53.655]  It's the best mineral-vitamin combination I have found and I've tried them all.
[00:44:55.896 --> 00:44:56.296]  Believe me.
[00:44:58.399 --> 00:45:01.843]  Living in volcano may sound more dramatic than it really is.
[00:45:01.863 --> 00:45:05.127]  The real drama can be found here in Leilani Estates.
[00:45:05.648 --> 00:45:11.434]  But a lot of us on the Big Island rely on rainwater and we need to be concerned about ash and acid rain.
[00:45:11.915 --> 00:45:14.698]  Volcanic ash may contain heavy metal particles.
[00:45:15.419 --> 00:45:18.864]  An acid rain could lower the pH of the water to unhealthy levels.
[00:45:19.225 --> 00:45:25.314]  To find out, we employed a series of tests for heavy metals, alkalinity, and pH.
[00:45:25.715 --> 00:45:30.682]  What we learned was that there was in fact unhealthy levels of heavy metals and acidity in the rainwater.
[00:45:31.417 --> 00:45:34.841]  Next, we tested the water from our Alexa Pure gravity filter.
[00:45:35.341 --> 00:45:41.888]  And not only were the heavy metal levels within safe measure, but the pH was also restored to optimal levels.
[00:45:42.549 --> 00:45:47.154]  As it turns out, the filter on the Alexa Pure raises the pH of the water.
[00:45:47.774 --> 00:45:52.875]  So what we've learned is that volcanic ash and acid rain can contaminate a rainwater supply.
[00:45:53.436 --> 00:45:57.437]  But more importantly, a good water filtration system will purify it.
[00:45:58.057 --> 00:46:00.938]  Western Europe has already banned free speech.
[00:46:01.118 --> 00:46:05.299]  And an iron curtain of censorship is descending down over the UK.
[00:46:05.679 --> 00:46:13.241]  They're set to pass rules, not a law, that if you criticize Islam or gays, you'll get six months in prison.
[00:46:13.601 --> 00:46:16.702]  We know we're only about a year or two behind what's happening in the UK.
[00:46:17.322 --> 00:46:21.604]  CNN and many others are calling for InfoWars to be shut down, taken off the web.
[00:46:21.965 --> 00:46:25.887]  Slate Magazine has a professor and others saying, go beyond censorship.
[00:46:26.087 --> 00:46:28.828]  Brainwash young people against InfoWars.
[00:46:29.248 --> 00:46:33.451]  Psychologically inoculate them with lies, so they don't actually hear what we have to say.
[00:46:34.011 --> 00:46:37.013]  We are the most hated news source in the world by globalists.
[00:46:37.473 --> 00:46:52.281]  It is so critical that you go to InfoWars.com forward slash newsletter and sign up for the free newsletter so we can be in contact with you and so the censors can't bully their way in and block us being able to engage in free open dialogue as a society.
[00:46:52.541 --> 00:46:53.862]  That is critical to this fight.
[00:46:54.082 --> 00:46:56.203]  We will prevail if you take action and I know you
[00:47:02.040 --> 00:47:04.722]  You're listening to The Alex Jones Show!
[00:47:25.171 --> 00:47:34.038]  From deep in the heart of FEMA Region 6, Austin, Texas, transmitting worldwide, it's Alex Jones.
[00:47:34.278 --> 00:47:41.443]  You know, I pointed out that Peter Strzok acted like people that you see at the state hospital or who are schizophrenic on the side of the road.
[00:47:42.264 --> 00:47:50.710]  And if you look at his girlfriend, if you look at Howdy Doody over there, Rosenstein, if you look at any of them, they look like power-mad mental patients.
[00:47:51.571 --> 00:47:53.052]  I mean, everybody saw it.
[00:47:53.132 --> 00:47:54.053]  He acted like
[00:47:54.833 --> 00:47:59.975]  A complete loon bag who was on MDMA or something.
[00:48:00.575 --> 00:48:03.217]  I mean, he was making shark faces, psycho faces.
[00:48:03.577 --> 00:48:05.217]  These people are the worst.
[00:48:06.018 --> 00:48:15.002]  The scum of the earth that got in control of the FBI, worked for Hillary, covered up for her, called to the President, and now Mueller acts like he's the head of the United States.
[00:48:15.482 --> 00:48:16.882]  He's been caught in total fraud.
[00:48:16.922 --> 00:48:19.103]  He indicted 13 bots.
[00:48:19.183 --> 00:48:20.524]  Turned out the Russians showed up.
[00:48:20.704 --> 00:48:22.925]  Now they want to drop the case because none of it was real.
[00:48:24.309 --> 00:48:36.744]  The bot companies have been hired by Hillary, and now they're back with 12 more indictments, this time of Russian intelligence officers, knowing full well they won't be extradited here, so it's more made-up crap, and they're trying to target Infowars and Roger Stone.
[00:48:36.784 --> 00:48:38.086]  This is asinine.
[00:48:38.426 --> 00:48:42.331]  But Roger, as you were pointing out during the break when I was talking to you, the craziness
[00:48:43.613 --> 00:48:44.433]  of course.
