[00:00:09.844 --> 00:00:11.406]  Dragon Energy activates!
[00:50:54.281 --> 00:50:58.607]  Former CIA Director John Brennan called those remarks treasonous and grounds for impeachment.
[00:50:59.108 --> 00:51:03.373]  Nancy Pelosi and Chuck Schumer announced that Trump was being blackmailed by a foreign power.
[00:51:03.914 --> 00:51:06.497]  Others accused him of being a sleeper agent, a spy.
[00:51:07.238 --> 00:51:11.865]  One member of Congress from Tennessee called for a military coup against the presidency.
[00:51:12.824 --> 00:51:14.525]  In a key sentence in my remarks, I said the word would instead of wouldn't.
[00:51:14.545 --> 00:51:18.167]  The sentence should have been, I don't see any reason why I wouldn't, or why it wouldn't be Russian, so...
[00:51:42.299 --> 00:52:00.650]  Just to repeat it, I said the word would instead of wouldn't, and the sentence should have been, and I thought it would be maybe a little bit unclear on the transcript or unclear on the actual video, the sentence should have been, I don't see any reason why it wouldn't be Russia.
[00:52:01.870 --> 00:52:03.231]  Sort of a double negative.
[00:52:04.532 --> 00:52:09.475]  So, you can put that in, and I think that probably clarifies things pretty good by itself.
[00:52:11.010 --> 00:52:12.290]  So that's the hostage tape.
[00:52:12.610 --> 00:52:14.511]  The President buckled to criticism.
[00:52:14.551 --> 00:52:15.171]  I know what they're saying.
[00:52:15.191 --> 00:52:16.031]  That's exactly what happened.
[00:52:16.051 --> 00:52:16.452]  He buckled.
[00:52:16.532 --> 00:52:17.252]  And that happens.
[00:52:17.292 --> 00:52:18.632]  This is politics, after all.
[00:52:19.112 --> 00:52:23.734]  What is amazing and unusual and ominous is who made him buckle.
[00:52:24.354 --> 00:52:33.856]  The people yelling the loudest about how the Russians are our greatest enemy and Trump is their puppet happen to be the very same people who have been mismanaging our foreign policy for the past two decades.
[00:52:34.336 --> 00:52:36.057]  The people who invaded Iraq and wouldn't
[00:52:36.237 --> 00:52:37.217]  I mean, it was a mistake.
[00:52:37.698 --> 00:52:44.140]  People who killed Muammar Gaddafi for no obvious reason, and prolonged the horrible Syrian civil war, and then threw open the borders of Europe.
[00:52:44.841 --> 00:52:50.163]  The ones still defending the pointless Afghan conflict, and even now planning brand new disasters around the world.
[00:52:50.623 --> 00:52:52.644]  In Lebanon, Iran, and yes, in Russia.
[00:52:53.504 --> 00:52:57.186]  These are the people who've made America weaker and poorer and sadder.
[00:52:57.746 --> 00:53:00.728]  The group whose failures got Trump elected in the first place.
[00:53:01.348 --> 00:53:08.692]  You would think by this late date they would be discredited completely and unemployable, wearing uniforms and picking up trash by the side of a turnpike somewhere.
[00:53:09.714 --> 00:53:10.695]  They think we don't have memory.
[00:53:10.795 --> 00:53:12.095]  They're hosting cable news shows.
[00:53:12.155 --> 00:53:12.876]  They're holding high positions.
[00:53:12.896 --> 00:53:13.936]  They work for the Chi-Coms.
[00:53:13.976 --> 00:53:14.957]  Of course they're trying to wreck us.
[00:53:15.377 --> 00:53:18.998]  They run virtually every non-profit public policy institution in Washington.
[00:53:19.399 --> 00:53:22.340]  They are still in some sense in charge of our national conversation.
[00:53:22.800 --> 00:53:28.323]  And naturally, they hate the idea of rethinking or correcting any of the countless blunders they've made.
[00:53:28.343 --> 00:53:30.564]  What they hate is the idea of a president that's actually president.
[00:53:30.604 --> 00:53:31.344]  That's why they're pissed.
[00:53:31.404 --> 00:53:32.745]  He calls them on those blunders.
[00:53:33.385 --> 00:53:36.606]  Now, being Trump, he can't always explain precisely what he means to say.
[00:53:37.186 --> 00:53:43.427]  Sometimes he gets the details wrong, or he gets sidetracked with some personal vendetta, as if anybody cares about that religious... This is real!
[00:53:43.487 --> 00:53:44.148]  ...acosta guy.
[00:53:44.188 --> 00:53:44.748]  Nobody does.
[00:53:45.488 --> 00:53:48.509]  But on the big questions, Trump is indisputably right.
[00:53:49.109 --> 00:53:50.369]  The Cold War is over.
[00:53:50.749 --> 00:53:51.749]  The world has changed.
[00:53:51.829 --> 00:53:57.411]  It is time to rethink America's alliances... God, thank God there's still people that aren't total traitors!
[00:53:58.591 --> 00:53:58.732]  China?
[00:54:16.874 --> 00:54:23.179]  Compare that effort to the deep penetration of American industry and the defense sector by the Communist government of China.
[00:54:23.859 --> 00:54:28.483]  Or compare it to the remarkable sway that the Sunni Gulf states have over our political process.
[00:54:28.823 --> 00:54:38.090]  Or the fact that Latin American countries are changing election outcomes here by forcing demographic change on this country at a rate that American voters consistently say they don't want.
[00:54:38.931 --> 00:54:43.112]  Those are all major challenges from foreign powers to our American democracy.
[00:54:43.132 --> 00:54:43.592]  They're real.
[00:54:43.632 --> 00:54:44.752]  And say it, Tucker!
[00:54:45.012 --> 00:54:48.013]  The Democrats and Republicans are on the goddamn payroll!
[00:54:48.113 --> 00:54:48.633]  Why is that?
[00:54:49.253 --> 00:54:50.054]  Well, here's one reason.
[00:54:50.414 --> 00:54:51.634]  Those TICOMS, man!
[00:54:51.854 --> 00:54:52.614]  You're the traitors!
[00:54:52.634 --> 00:54:53.955]  We're gonna get your ass, Brennan!
[00:54:54.175 --> 00:54:55.035]  And you too, Mudd!
[00:54:55.055 --> 00:54:56.495]  ...in their homes and watch their kids.
[00:54:57.035 --> 00:54:59.636]  Those countries can't be our enemies, in their view.
[00:55:00.416 --> 00:55:04.740]  But nobody here is getting rich from Russia, so therefore Putin must be a mortal foe.
[00:55:05.380 --> 00:55:07.422]  That's what the neocons are telling us we are required to do.
[00:55:07.442 --> 00:55:07.762]  That's right.
[00:55:07.782 --> 00:55:09.284]  They don't run Russia, that's why they hate him.
[00:55:09.304 --> 00:55:10.505]  They don't actually believe it.
[00:55:10.565 --> 00:55:11.165]  It's like they hate Trump.
[00:55:11.265 --> 00:55:15.429]  A person who's read a newspaper this year could recite that talking point without laughing because it's stupid.
[00:55:16.149 --> 00:55:22.135]  So the only option if you want to force the population to accept something ridiculous is to make sure they don't think too much about it.
[00:55:22.275 --> 00:55:23.075]  This is the next level.
[00:55:23.135 --> 00:55:23.436]  Quiet.
[00:55:23.536 --> 00:55:24.717]  Tucker Carlson is the next level.
[00:55:25.745 --> 00:55:26.805]  Everything we've been looking for, right there.
[00:55:26.825 --> 00:55:29.646]  Oh, like Congress having hearings to ban me and then not letting me be there to face my accuser.
[00:55:53.590 --> 00:55:54.331]  How dare he?
[00:55:54.811 --> 00:55:56.652]  That's a treasonous thought, we were told.
[00:55:56.692 --> 00:55:58.714]  He's a quisling, a traitor to his country.
[00:55:58.954 --> 00:55:59.635]  That's what they're saying.
[00:55:59.895 --> 00:56:00.856]  And not just a few of them.
[00:56:01.176 --> 00:56:02.037]  All of them are saying that.
[00:56:02.077 --> 00:56:02.877]  But they're globalists.
[00:56:02.917 --> 00:56:04.198]  They're the ones that sold the country out.
[00:56:04.218 --> 00:56:06.060]  Hold on a second about what they're demanding.
[00:56:06.660 --> 00:56:20.191]  If you don't automatically accept the imprecise, non-specific, never fully explained findings of shadowy intelligence agencies with long, documented track records of making serious mistakes, you've somehow betrayed your country.
[00:56:21.101 --> 00:56:27.803]  The very people who assured you that Iraq had weapons of mass destruction, the ones who said the Shah would never fall on Iran, etc.
[00:56:27.943 --> 00:56:28.403]  etc.
[00:56:28.783 --> 00:56:31.964]  Those people must be believed without question or else.
[00:56:32.924 --> 00:56:35.745]  On television this group is called the Intelligence Community.
[00:56:36.305 --> 00:56:38.145]  That's an Orwellian name if there ever was one.
[00:56:38.606 --> 00:56:40.946]  Where exactly is this community we hear so much about?
[00:56:40.966 --> 00:56:41.826]  Does it have a zip code?
[00:56:42.327 --> 00:56:43.407]  A public library system?
[00:56:43.447 --> 00:56:44.607]  A youth football league?
[00:56:45.407 --> 00:56:48.128]  How long before Congress starts demanding unthinking obedience
[00:56:49.053 --> 00:56:50.175]  Lawmaker community.
[00:56:50.195 --> 00:56:51.719]  It's a community, after all.
[00:56:51.739 --> 00:56:52.621]  You must obey it.
[00:56:53.001 --> 00:56:54.505]  Dissent is unpatriotic.
[00:56:54.765 --> 00:56:57.030]  And if you don't agree, you're working for Vladimir Putin.
[00:56:58.188 --> 00:57:00.209]  That's where we're heading, by the way, and fast.
[00:57:01.050 --> 00:57:04.552]  In some ways, this whole story is about Donald Trump and what he's said and what he does.
[00:57:05.032 --> 00:57:08.114]  But on a deeper level, it has nothing to do with Donald Trump.
[00:57:08.674 --> 00:57:12.736]  This is about democracy, whether or not voters rule their country.
[00:57:13.437 --> 00:57:20.561]  It turns out the very people telling you they are saving our democracy are working overtime to destroy it and scolding you as they do.
[00:57:22.545 --> 00:57:23.706]  100% pure Veritas.
[00:57:24.346 --> 00:57:25.247]  It's a hole-in-one.
[00:57:25.607 --> 00:57:26.668]  I've never done anything like that.
[00:57:26.808 --> 00:57:27.849]  Tucker Carlson's the king now.
[00:57:28.169 --> 00:57:28.429]  Period.
[00:57:28.909 --> 00:57:29.330]  He's the guy.
[00:57:29.930 --> 00:57:30.671]  And he wrote that.
[00:57:31.231 --> 00:57:32.052]  And understand this.
[00:57:33.493 --> 00:57:36.835]  Just like they tell you over and over again, you know, worship Edward R. Murrow.
[00:57:36.855 --> 00:57:38.596]  That's what Edward R. Murrow wished he was.
[00:57:39.137 --> 00:57:39.917]  We're the Americans.
[00:57:39.937 --> 00:57:40.918]  We're taking the country back.
[00:57:40.958 --> 00:57:42.479]  The people trying to oppose us are the traitors.
[00:57:42.860 --> 00:57:43.620]  It's that simple.
[00:57:44.040 --> 00:57:45.021]  Infowars.com.
[00:57:45.241 --> 00:57:46.102]  Newswars.com.
[00:57:46.322 --> 00:57:47.163]  Tomorrow's news today.
[00:57:52.563 --> 00:57:53.226]  It's all happening.
[00:57:54.752 --> 00:57:55.897]  Trump is a nationalist.
[00:57:56.941 --> 00:57:57.845]  The country's coming back.
[00:57:59.551 --> 00:58:07.817]  The globalist forces in this country, the Democrats and the establishment Republicans, are openly saying they want to remove him through a military coup, or through the 25th Amendment.
[00:58:07.937 --> 00:58:08.877]  It's unbelievable.
[00:58:09.217 --> 00:58:10.238]  It's all happening right now.
[00:58:10.758 --> 00:58:20.205]  That's why it's more important than ever that every viewer, every listener, to local radio, to TV, or over the internet, understand your voice isn't just critical, it's essential.
[00:58:20.905 --> 00:58:29.031]  If you don't stand up and speak out, and stand up against these bullies, and point out that it's the globalists that are the ones that sold out America, not Trump, and that they're the enemy,
[00:58:29.691 --> 00:58:30.331]  They're the traitors.
[00:58:31.092 --> 00:58:33.072]  They may be successful removing our president.
[00:58:33.413 --> 00:58:35.773]  This is an amazing time to be alive, ladies and gentlemen.
[00:58:36.274 --> 00:58:41.116]  Trump is so real, he's so hardcore, and it's so unbelievable to see that we are at this point.
[00:58:41.396 --> 00:58:43.837]  We are in the middle of a second American Revolution.
[00:58:44.197 --> 00:58:46.898]  This time, not against King George III, but against the globalists.
[00:58:47.358 --> 00:58:51.460]  We're running a special for a week that is the biggest sale we've ever done.
[00:58:51.500 --> 00:58:54.062]  We just keep boosting the sales.
[00:58:54.082 --> 00:58:54.642]  67% off.
[00:58:54.822 --> 00:58:56.483]  Up to 67% off.
[00:58:56.583 --> 00:59:02.146]  It's Defeat the Democrat Slash Globalist Plan to Censor Infowars and the Web Super Sale.
[00:59:02.666 --> 00:59:03.827]  And free shipping!
[00:59:04.087 --> 00:59:19.193]  All of our best sellers, Alpha Power, Vitamin Mineral Fusion, Biotruth Selenium, X2, Brain Force Plus, Supramel Vitality, DNA Force Plus, Super Blue Products, Toothpaste, Fortified Coal, Silver Iodine, Silver Bullet, Coal Oil, Silver, Real Red Pill, Real Red Pill Plus, 50% off, free shipping.
[00:59:19.353 --> 00:59:20.614]  It goes on and on and on.
[00:59:20.994 --> 00:59:31.799]  Check it all out and know, funding us will change the world and continue to let us stand against the onslaught of Soros, the Democratic Party, and their attacks and their lies and their boycotts and their lawsuits.
[00:59:32.019 --> 00:59:32.399]  All of it.
[00:59:32.419 --> 00:59:34.260]  We're coming through the storm thanks to you.
[00:59:34.660 --> 00:59:35.661]  Shop with the good guys.
[00:59:35.921 --> 00:59:36.661]  Pay it forward.
[00:59:36.981 --> 00:59:41.183]  Infowarsstore.com, Infowarslife.com, or 888-253-3139.
[00:59:41.823 --> 00:59:43.264]  This is the battle for the future.
[00:59:43.624 --> 00:59:44.745]  This is the war for the future.
[00:59:45.105 --> 00:59:48.566]  And I need all of you to commit even more to this fight.
[00:59:48.906 --> 00:59:49.227]  Thank you.
[00:59:49.567 --> 00:59:50.147]  I'm counting on you.
[00:59:50.447 --> 00:59:50.927]  I salute you.
[00:59:55.750 --> 01:00:05.455]  If you are receiving this transmission, you are the resistance.
[01:00:05.495 --> 01:00:11.859]  We now take you live to the Central Texas Command Center and the heart of the resistance.
[01:00:12.319 --> 01:00:14.981]  And now, your host, Owen Troyer.
[01:00:26.624 --> 01:00:27.925]  Welcome back to the Alex Jones Show.
[01:00:28.005 --> 01:00:29.245]  Owen Troyer filling in.
[01:00:34.047 --> 01:00:39.470]  I want to show this graphic here because it really explains everything.
[01:00:41.567 --> 01:00:45.249]  When it comes to how the media treats Donald Trump.
[01:00:45.970 --> 01:00:51.233]  And you can go off and try to understand why the media treats Donald Trump like that.
[01:00:51.914 --> 01:00:53.114]  Obviously, we know why.
[01:00:54.015 --> 01:01:05.062]  But if you look at the Time Magazine covers that featured Barack Obama versus the Time Magazine covers that featured Donald Trump, you understand everything.
[01:01:07.620 --> 01:01:10.863]  And so you have the four-time magazine covers praising Obama.
[01:01:10.903 --> 01:01:11.603]  He's the best.
[01:01:11.663 --> 01:01:12.444]  He's the hero.
[01:01:13.605 --> 01:01:14.586]  He can do no wrong.
[01:01:14.826 --> 01:01:16.828]  And then you have the four-time magazine covers.
[01:01:17.008 --> 01:01:17.948]  Trump is the worst.
[01:01:17.988 --> 01:01:18.909]  He's melting down.
[01:01:18.969 --> 01:01:20.050]  He's separating kids.
[01:01:20.571 --> 01:01:21.151]  He's a failure.
[01:01:23.833 --> 01:01:25.735]  Of course, what is the truth?
[01:01:27.316 --> 01:01:28.817]  What is the truth?
[01:01:30.919 --> 01:01:37.084]  The truth is that in two years, President Donald Trump has gotten more done than any president maybe ever.
[01:01:39.144 --> 01:02:03.708]  I mean, I'm not sure if it's even fair to compare certain presidents given the landscape and the time in which they were president, but compared to Obama, Trump is an elephant and Obama is a fly on the elephant's ass that is being switched away with the tail.
[01:02:04.589 --> 01:02:06.429]  Obama is a horsefly on the ass
[01:02:08.897 --> 01:02:12.839]  Of Trump the elephant, and Trump is slapping him away with his tail right now.
[01:02:13.739 --> 01:02:24.164]  So why though, does Time Magazine hate Donald Trump so much, even though he's done incredible things for America, and why did they love Obama so much, who did what?
[01:02:25.144 --> 01:02:26.985]  Seriously, go ask Obama supporters.
[01:02:27.045 --> 01:02:28.306]  What are Obama's accomplishments?
[01:02:28.786 --> 01:02:29.426]  They can't tell you.
[01:02:29.726 --> 01:02:30.346]  He's done nothing.
[01:02:30.887 --> 01:02:32.047]  Oh, he won the Nobel Peace Prize.
[01:02:32.067 --> 01:02:32.888]  Well, what'd he get that for?
[01:02:33.188 --> 01:02:33.788]  Can't tell you that.
[01:02:38.857 --> 01:02:45.838]  And it just is the perfect illustration of the total bias against Donald Trump in the media.
[01:02:46.719 --> 01:02:51.680]  But the incredible thing is, it hasn't stopped him.
[01:02:52.400 --> 01:02:54.300]  And it hasn't hurt his approval ratings.
[01:02:55.280 --> 01:02:59.941]  You know, Mike Adams is about to come in studio.
[01:02:59.961 --> 01:03:01.242]  We're going to get some real news.
[01:03:01.282 --> 01:03:01.682]  But you know what?
[01:03:01.702 --> 01:03:03.062]  I just want to say something real quick.
[01:03:06.271 --> 01:03:17.421]  You know, we were out with the Proud Boys last night, and I always love meeting new people and hearing other opinions and stuff, and just, you know, just being a regular person with other people.
[01:03:17.441 --> 01:03:32.314]  And I'm sure that there's a lot of young people that are listening to this right now, whether it be at your university or your school or in your friend group or whatever, but you feel that you're slighted, you feel that
[01:03:33.763 --> 01:03:41.585]  You're underestimated and you probably feel like maybe you don't belong or you don't deserve or or whatever the case may be.
[01:03:41.605 --> 01:04:02.052]  I'm kind of going off on a jag here but I know that there's audience members out there that feel that way and so they tune in to to InfoWars to to feel the empowerment and to empower themselves with knowledge and truth but to the young people out there that have to deal with
[01:04:04.554 --> 01:04:09.256]  People insulting them, calling them names, you know, family not wanting to talk about it anymore.
[01:04:10.916 --> 01:04:16.418]  It may not feel good at the time, it may feel like it's hurting you, but it's actually a blessing in disguise.
[01:04:18.619 --> 01:04:27.802]  Because the more people underestimate you, the more people have low expectations for you, the more success you can have.
[01:04:29.142 --> 01:04:33.184]  And so it's all the young audience out there right now that feels like
[01:04:34.315 --> 01:04:40.738]  They don't belong because they love Trump and everyone else hates Trump or they're underestimated or they have low expectations.
[01:04:40.819 --> 01:04:42.259]  Do not let that keep you down.
[01:04:43.240 --> 01:04:54.926]  Let that motivate you and understand that when you succeed, when you have low expectations, when you are underestimated and you succeed despite that, that is even a greater victory for you.
[01:04:57.147 --> 01:04:58.588]  So that's what you need to do.
[01:04:58.628 --> 01:05:01.270]  Just put your head down and win and the rest will come.
[01:05:04.851 --> 01:05:09.934]  Anyone who studied history and knows how human systems work is horrified.
[01:05:10.575 --> 01:05:15.718]  We have global, hardcore, anti-human psychopaths in control of the big corporations.
[01:05:16.078 --> 01:05:22.762]  They're trying to wreck free market and consolidate total control, dumb humanity down ahead of replacing us with machines.
[01:05:23.483 --> 01:05:26.665]  And Trump has come in and is resisting that and saying we have a human future.
[01:05:27.425 --> 01:05:31.106]  They are launching a civil war against nation states right now, collapsing our borders.
[01:05:31.646 --> 01:05:32.827]  And my only message is this.
[01:05:33.067 --> 01:05:36.128]  Everybody better wake up and realize the fight is now.
[01:05:36.968 --> 01:05:44.451]  Everybody should be very, very urgent because the left and the globalists are frantic and launching their anti-human plan because they crave to control people.
[01:05:44.991 --> 01:05:47.812]  Those of us that are pro-human don't crave power.
[01:05:47.852 --> 01:05:48.732]  We already have the power.
[01:05:48.992 --> 01:05:53.894]  But we have to realize these scum are coming after us and we have to speak out and take action now.
[01:05:54.714 --> 01:05:57.177]  InfoWars is on the front line and so are you.
[01:05:57.457 --> 01:05:58.759]  We are the resistance!
[01:05:58.779 --> 01:06:12.976]  President Trump gives every indication by what he says and what he does and what he doesn't do that he's mean as a wolverine.
[01:06:22.581 --> 01:06:26.964]  It's 11.59 at Radio Free America, and this is Uncle Sam with music and the truth until dawn.
[01:06:27.584 --> 01:06:31.166]  Right now, I've got a few words for some of our brothers and sisters in the occupied zone.
[01:06:31.607 --> 01:06:33.188]  The chair is against the wall.
[01:06:33.668 --> 01:06:35.349]  The chair is against the wall.
[01:06:35.869 --> 01:06:37.570]  John has a long mustache.
[01:06:37.870 --> 01:06:39.531]  John has a long mustache.
[01:06:39.912 --> 01:06:42.653]  It's 12 o'clock, Americans, another day closer to victory.
[01:06:42.673 --> 01:06:46.876]  And for all of you out there on or behind the lines, this is your song.
[01:06:52.794 --> 01:06:54.216]  But they took a lot of people away.
[01:06:54.676 --> 01:06:56.578]  People that they thought were gonna make trouble for them.
[01:06:56.798 --> 01:06:59.401]  People that had guns or things they wanted, they just took them away.
[01:07:00.002 --> 01:07:00.282]  Where?
[01:07:01.383 --> 01:07:03.225]  Re-education camps, that's what they call it.
[01:07:03.465 --> 01:07:11.413]  So part of it is we have to break through our kind of private idea that kids belong to their parents or kids belong to their families and recognize that kids belong to whole communities.
[01:07:11.694 --> 01:07:15.578]  I have decided we really need camps for adults.
[01:07:18.160 --> 01:07:22.341]  We need the type of chaos that you all run.
[01:07:22.361 --> 01:07:22.741]  I mean, really.
[01:07:22.921 --> 01:07:25.842]  All persons of Japanese descent were required to register.
[01:07:26.282 --> 01:07:31.304]  Now they were taken to racetracks and fairgrounds where the army almost overnight had built assembly centers.
[01:07:31.384 --> 01:07:33.264]  I'm a sorry citizen.
[01:07:33.344 --> 01:07:35.105]  I refuse to recognize you guys.
[01:07:35.365 --> 01:07:37.126]  What kind of a situation in the U.S.
[01:07:37.166 --> 01:07:42.268]  would you see that happening?
[01:07:42.848 --> 01:07:51.192]  Plus you have a lot of people that are coming out of the military that have the ability and the knowledge to build IEDs and to defeat law enforcement techniques.
[01:07:52.792 --> 01:07:58.655]  These people are radicalized and they don't support the United States and they're disloyal to the United States.
[01:07:58.795 --> 01:08:03.357]  It's our right and our obligation to segregate them from the normal community
[01:08:10.117 --> 01:08:12.460]  That's what we're doing here, and let's not kid about it.
[01:08:12.700 --> 01:08:16.725]  We're building a domestic army because the government is afraid of its own citizens.
[01:08:16.745 --> 01:08:17.686]  Seriously?
[01:08:17.766 --> 01:08:18.787]  Put your gun down, really?
[01:08:20.950 --> 01:08:25.355]  Rallying patriots worldwide in defense of human liberty.
[01:08:25.955 --> 01:08:27.477]  It's Alex Jones.
[01:08:27.797 --> 01:08:29.800]  Are you some kind of a constitutionalist?
[01:08:32.458 --> 01:08:37.464]  So these people who hold themselves out to be patriots are not.
[01:08:37.985 --> 01:08:40.267]  They're nothing more than domestic terrorists.
[01:08:40.768 --> 01:08:44.652]  If you are receiving this transmission, you are the resistance.
[01:08:58.749 --> 01:09:06.961]  President Trump gives every indication by what he says and what he does and what he doesn't do that he's mean as a wolverine.
[01:09:07.782 --> 01:09:08.984]  Wolverines!
[01:09:11.718 --> 01:09:15.902]  Thank you, Dan Rather, for giving us another meme for President Trump.
[01:09:15.922 --> 01:09:16.502]  Boy, it's great.
[01:09:16.863 --> 01:09:20.586]  They give us all these memes, the deplorables, fake news, mean like a wolverine.
[01:09:21.086 --> 01:09:21.467]  I love it.
[01:09:21.507 --> 01:09:23.468]  Mike Adams is in studio with me.
[01:09:23.508 --> 01:09:23.989]  Here's the deal.
[01:09:24.009 --> 01:09:26.211]  We're going to be talking about the congressional hearings.
[01:09:26.231 --> 01:09:29.654]  We're going to be talking about the internet censorship.
[01:09:29.714 --> 01:09:31.676]  We're going to be talking about the internet kill switch.
[01:09:31.756 --> 01:09:37.721]  Then we're going to break down why the media and the Democrat Party is so upset with the Trump-Putin summit.
[01:09:37.761 --> 01:09:38.562]  But first,
[01:09:40.031 --> 01:09:41.312]  I've got all these notes here.
[01:09:41.952 --> 01:10:05.169]  So, I was watching the congressional hearings yesterday, Mike, and I've got these five pages of notes, but you had Monica Bickert from Facebook, Juniper Downs from YouTube, who was actually there to represent Google, they requested Google's presence, they sent Juniper Downs from YouTube, and then, yes, Mr. Pickles, Mr. Nick Pickles, from Twitter, to be a part of this congressional hearing.
[01:10:05.209 --> 01:10:07.151]  Now, obviously,
[01:10:08.476 --> 01:10:11.638]  As usual, it's pretty much the same stuff, Mike, right?
[01:10:13.319 --> 01:10:15.020]  What are you doing about fake news?
[01:10:15.660 --> 01:10:17.561]  What are we doing about Russian interference?
[01:10:17.761 --> 01:10:23.705]  You know, so they kind of use that as the basis for having this hearing, but then what happens?
[01:10:23.745 --> 01:10:25.646]  They say, why aren't you banning InfoWars?
[01:10:26.146 --> 01:10:31.069]  You know, why does Alex Jones get to promote his news stories on Twitter?
[01:10:31.109 --> 01:10:32.630]  So, why do you think
[01:10:34.281 --> 01:10:36.802]  You have these congressional hearings happening.
[01:10:37.702 --> 01:10:42.443]  Is it to create an atmosphere to shut InfoWars and other sites like us down?
[01:10:42.583 --> 01:10:47.344]  Or are they genuinely concerned about what's happening on social media?
[01:10:47.544 --> 01:10:58.946]  Well, I think we have to back up and first look at the arrogance of the assertion that just because certain left-leaning members of Congress don't like the content that InfoWars broadcasts
[01:10:59.386 --> 01:11:05.111]  That therefore, they can demand that the social media giants pull the InfoWars channel.
[01:11:05.651 --> 01:11:11.996]  This premise is utterly fraudulent, and they lied about InfoWars multiple times on the record.
[01:11:12.016 --> 01:11:15.159]  You know, InfoWars has demanded retractions of one senator.
[01:11:15.199 --> 01:11:16.360]  I don't recall which one.
[01:11:17.000 --> 01:11:17.761]  Donny Deutch?
[01:11:18.061 --> 01:11:18.402]  Deutch.
[01:11:18.642 --> 01:11:19.042]  There you go.
[01:11:19.322 --> 01:11:20.023]  Deutch, Deutch.
[01:11:20.243 --> 01:11:21.384]  But they lie.
[01:11:21.404 --> 01:11:22.445]  They deliberately lie.
[01:11:22.665 --> 01:11:26.166]  And then they say InfoWars is fake news while they are lying about InfoWars.
[01:11:26.666 --> 01:11:30.087]  So by their own logic, they should be censored because they're lying.
[01:11:31.188 --> 01:11:39.310]  Meanwhile, don't we have the freedom to express different ideas, including especially unpopular ideas?
[01:11:39.350 --> 01:11:42.511]  And by the way, most of the ideas that InfoWars broadcasts are very popular.
[01:11:43.712 --> 01:11:45.132]  Freedom is popular, right?
[01:11:45.792 --> 01:11:47.073]  From time to time.
[01:11:47.153 --> 01:11:47.813]  Truth is popular.
[01:11:48.453 --> 01:11:58.283]  But InfoWars views contradict the mainstream fake news narrative, precisely because the media monopolists are fake news.
[01:11:58.704 --> 01:12:03.869]  And so for that reason, InfoWars gets called out and Congress demands that InfoWars get banned.
[01:12:04.169 --> 01:12:08.554]  Well, if that's the case, then aren't they setting up a precedent, Owen, where they say that
[01:12:08.974 --> 01:12:18.260]  Anytime a Democrat member of Congress doesn't like what a broadcaster is saying, that they can demand Facebook censor their entire channel?
[01:12:18.540 --> 01:12:19.741]  Is that what this has come to?
[01:12:19.781 --> 01:12:20.622]  Because that's absurd.
[01:12:20.862 --> 01:12:21.623]  That's not America.
[01:12:22.243 --> 01:12:30.949]  Well, it's even wilder than that, because first of all, you had all the Democrats, whenever they got their five minutes, every single one of them had to slam Trump-Putin.
[01:12:31.269 --> 01:12:38.274]  So before they even got to the actual content of what the hearing was for, they had to get their two cents in about, you know, Trump bad, Russia bad.
[01:12:39.014 --> 01:12:50.497]  But what you really had here, and we're going to play the clip in the next segment, I think the most shocking thing, Mike, was you had Democrats claiming, I can't even believe I'm telling you this, but we have the clips, we'll show you.
[01:12:51.257 --> 01:13:05.481]  You have Democrats claiming that conservatives are essentially running the social media networks, bullying, yeah, I know, bullying liberal and left ideas and content out of social media.
[01:13:06.002 --> 01:13:07.102]  They make that claim.
[01:13:07.702 --> 01:13:11.506]  That conservatives are bullying leftists and liberals off of social media.
[01:13:11.526 --> 01:13:15.830]  They make that claim and then in the very next sentence they call for InfoWars to be shut down.
[01:13:16.451 --> 01:13:21.916]  It's like, that is the most ironic thing you could ever think of.
[01:13:22.921 --> 01:13:41.436]  I saw a headline on Gateway Pundit last night that talked about, it may be on Infowars as well, 93% reduction in traffic to conservative websites since Facebook began the purge of conservative information in January of 2017, as Trump was about to become sworn in president.
[01:13:42.016 --> 01:13:47.120]  This is a deliberate, malicious, censorship tyranny.
[01:13:47.941 --> 01:13:54.164]  That's being used by Facebook, by Google, YouTube, Twitter, and other internet giants.
[01:13:54.944 --> 01:14:01.627]  And it is an algorithmic attempt to suppress the free speech of those selected political targets.
[01:14:02.267 --> 01:14:03.868]  And InfoWars is merely the test case.
[01:14:03.908 --> 01:14:14.132]  And this is one reason why I'm here and why I'm speaking out about this, Owen, because I know that if they manage to take down Alex Jones and InfoWars, guess what?
[01:14:14.472 --> 01:14:15.493]  Natural News is next.
[01:14:16.073 --> 01:14:16.614]  I'm next.
[01:14:16.994 --> 01:14:18.496]  And then Breitbart is next.
[01:14:18.556 --> 01:14:19.458]  And Drudge is next.
[01:14:19.538 --> 01:14:20.419]  Who's next?
[01:14:20.779 --> 01:14:21.821]  It's a domino effect.
[01:14:21.861 --> 01:14:22.862]  And the Gateway Pundit is next.
[01:14:22.882 --> 01:14:23.763]  That's what they want.
[01:14:23.783 --> 01:14:28.289]  And they even mentioned the Gateway Pundit yesterday, too, along with Infowars, Breitbart, and others.
[01:14:28.910 --> 01:14:30.252]  And some of the crazy stuff here...
[01:14:31.920 --> 01:14:35.926]  I mean, they want to say election meddling because of social media activity.
[01:14:35.966 --> 01:14:36.367]  So what?
