[00:00:23.547 --> 00:00:24.727]  From the front lines.
[00:51:18.951 --> 00:51:23.354]  But he's not the Mitt Romney argument of, if poor people paid more taxes, they wouldn't want higher taxes.
[00:51:25.535 --> 00:51:25.976]  No, no, no.
[00:51:26.056 --> 00:51:30.038]  He wants you dependent, but says the tax money makes your life better.
[00:51:30.358 --> 00:51:32.160]  He said, have higher taxes or die.
[00:51:32.180 --> 00:51:34.121]  Was the quote.
[00:51:35.021 --> 00:51:41.165]  But he knows full well that the top 1% pays most of the taxes.
[00:51:42.546 --> 00:51:44.748]  But see, that's not the top .0000000024.
[00:51:50.003 --> 00:51:54.425]  It's the 99 plus percent of the 1% that pays most of the taxes.
[00:51:54.645 --> 00:51:58.187]  But if you're making $250,000 a year, you're in the 1%, see?
[00:51:58.487 --> 00:52:04.530]  But if you're making $12 billion in a day, like Jeff Bezos, oh, then you're tax exempt.
[00:52:04.690 --> 00:52:05.371]  See the big trick?
[00:52:05.971 --> 00:52:10.753]  And so they've got the general public thinking somebody making a half mil a year, paying 40% federal tax,
[00:52:15.669 --> 00:52:20.390]  Only keeping a couple hundred thousand dollars of the money is the rich people that have to be gotten.
[00:52:21.891 --> 00:52:23.311]  The ultra-rich are really smart.
[00:52:24.972 --> 00:52:29.373]  They know how to manipulate the poor people against the middle class, which is their way out of it.
[00:52:31.294 --> 00:52:31.574]  All right.
[00:52:33.974 --> 00:52:38.096]  Coming up, we're going to get more into Weinstein and the Purple Walk.
[00:52:38.116 --> 00:52:42.597]  We're going to get into the attack on the First Amendment, the big news that this GDPR
[00:52:44.022 --> 00:52:47.403]  The EU passed a few years ago that went into effect yesterday.
[00:52:49.143 --> 00:52:52.904]  Thousands of major websites, including the LA Times, you name it, are not even online.
[00:52:53.444 --> 00:52:56.424]  In Europe, they're blocking people because it doesn't comply with the rules.
[00:52:57.484 --> 00:53:00.345]  And this is economic warfare.
[00:53:03.405 --> 00:53:05.626]  And whereas I am for privacy, this has nothing to do with privacy.
[00:53:05.646 --> 00:53:07.446]  This is all about EU control of the Internet.
[00:53:07.866 --> 00:53:09.366]  And they're working with Communist China.
[00:53:09.386 --> 00:53:12.927]  And again, I'm going to tell you, China is not involved in it.
[00:53:13.697 --> 00:53:20.779]  The EU's claiming if your companies stream over the internet into our countries, or are visible here, we claim jurisdiction over you.
[00:53:21.739 --> 00:53:32.463]  And we are going to sue you in the US and fine you in Europe, and our regulators are saying they're going to roll over and go with that because they're liberals, they're globalists, they're Obama people that were put in, and Hillary people.
[00:53:35.084 --> 00:53:39.325]  So we're going under EU internet control to shut us down, and China is exempt.
[00:53:46.294 --> 00:53:47.694]  I'm not defending Google and Facebook.
[00:53:47.714 --> 00:53:51.615]  The point is, is this is all part of the attempt to take down of America.
[00:53:53.435 --> 00:53:55.416]  And these globalists all bet on the wrong team.
[00:53:56.136 --> 00:54:07.858]  And now we are facing, as Americans, the Communist Chinese, the Socialist EU, unelected, 1.8 million Muslims, Hollywood, and all the brainwashed leftists and people in this country.
[00:54:08.078 --> 00:54:13.179]  By the way, we have a special surprise guest in studio today that, believe me, you don't want to miss.
[00:54:15.986 --> 00:54:23.591]  We're very excited about this and believe me, this individual was one of the biggest news stories this week.
[00:54:26.653 --> 00:54:35.478]  I think I'll tell you at the start of the next hour who will then be in studio coming up in 30 minutes.
[00:54:35.498 --> 00:54:38.420]  We're very excited about this.
[00:54:39.341 --> 00:54:40.141]  Just gonna leave it at that.
[00:54:40.161 --> 00:54:42.763]  In fact, is he here yet?
[00:54:44.534 --> 00:54:53.659]  He's here, wow, we really thank him for flying down here from New York.
[00:54:57.381 --> 00:55:02.424]  He's the fella who got evicted by his parents in court this week.
[00:55:02.484 --> 00:55:04.285]  He's going to be with us in studio today.
[00:55:05.525 --> 00:55:06.486]  Yes, ladies and gentlemen.
[00:55:08.024 --> 00:55:13.831]  So we're looking forward to having this discussion after Mark Rondazzo, one of the top free speech lawyers in the country, joins us.
[00:55:13.851 --> 00:55:15.093]  30-year-old man evicted by parents.
[00:55:16.054 --> 00:55:17.276]  Says, I'm not a crazy person.
[00:55:17.316 --> 00:55:19.158]  Well, I think he's an interesting fellow.
[00:55:19.198 --> 00:55:22.923]  We're going to talk to him and you're going to hear from him unfiltered live.
[00:55:26.707 --> 00:55:28.869]  So good job to the producer for getting him here and I thank him for coming.
[00:55:28.909 --> 00:55:49.005]  Now, before I go any further, I need you to go to InfoWarsTore.com and I need you to get the great products and I need you to see how great they are and then come back and sign up for auto-ship on things like our Wake Up America Coffee, things like Brain Force, things like DNA Force, things like Bio-Truth Selenium, things like Super Melon Vitality, the real Red Pill Plus, now with energy.
[00:55:50.086 --> 00:55:53.429]  We have original Red Pill Plus and a Red Pill Plus with the energy.
[00:55:55.216 --> 00:55:57.658]  Memorial Day free shipping.
[00:55:58.118 --> 00:56:10.688]  Whether you're buying a 1995 bottle of Brain Force at 50% off or whether you're getting the Real Red Pill Plus or the Real Red Pill, it's all 50% off and free shipping.
[00:56:12.089 --> 00:56:17.794]  We have not done a deal this good since Christmas five months ago.
[00:56:18.976 --> 00:56:19.796]  Almost six months ago.
[00:56:20.616 --> 00:56:25.658]  So, InfoWarsStore.com, InfoWarsLive.com, or 888-253-3139.
[00:56:25.678 --> 00:56:30.359]  We also have some great books, The Killing of Uncle Sam, great to read it, great to donate to the library.
[00:56:30.699 --> 00:56:32.180]  It's an excellent book, Exposing Globalism.
[00:56:32.440 --> 00:56:35.661]  We've got Stone's Rules, amazing new book from Roger Stone.
[00:56:36.621 --> 00:56:38.061]  That's available at InfoWarsStore.com.
[00:56:39.061 --> 00:56:44.583]  But we've got free shipping, and we've got Brain Force Plus,
[00:56:46.902 --> 00:56:47.122]  50% off.
[00:56:47.262 --> 00:56:48.303]  You just cannot beat that.
[00:56:48.363 --> 00:56:51.744]  Leading competitors that have similar formulas are $60 retail.
[00:56:52.544 --> 00:56:57.686]  We're normally $39.95 retail, and it's a great deal and got thousands of five stars.
[00:57:00.967 --> 00:57:05.088]  Well, now Rainforest Plus is 50% off.
[00:57:05.108 --> 00:57:05.088]  $19.95.
[00:57:05.428 --> 00:57:07.829]  You cannot, from our research, get a better deal.
[00:57:08.269 --> 00:57:14.251]  Try it for yourself, but it's designed to be natural and a healthy way to have energy, focus, clarity,
[00:57:16.578 --> 00:57:19.240]  But I have to tell you, different strokes for different folks.
[00:57:19.260 --> 00:57:21.502]  We have Alpha Power that's for body and brain.
[00:57:22.122 --> 00:57:23.123]  It blows people away.
[00:57:23.603 --> 00:57:25.084]  Alpha Power is 50% off right now.
[00:57:25.545 --> 00:57:27.146]  And in different formulas people like.
[00:57:28.227 --> 00:57:30.609]  Like Anthroplex, some people like it better than Alpha Power.
[00:57:30.629 --> 00:57:32.450]  It's apples and oranges for your body.
[00:57:33.331 --> 00:57:39.776]  I will tell you though, we're coming out with something in a couple months that we're going to put a warning on the label, even though it's all generally seen as safe and everything.
[00:57:40.236 --> 00:57:43.759]  It is double the serving size of anything anyone's ever come up with.
[00:57:44.299 --> 00:57:45.180]  And it is
[00:57:47.152 --> 00:57:47.953]  It's turbo force.
[00:57:48.794 --> 00:57:49.315]  We'll be back.
[00:57:49.355 --> 00:57:49.815]  Stay with us.
[00:57:52.058 --> 00:57:54.721]  We're going to continue to stand up for America.
[00:57:55.141 --> 00:58:00.267]  We are going to call BS on the mainstream media when they lie.
[00:58:00.948 --> 00:58:03.871]  This is the essence of InfoWars.
[00:58:04.312 --> 00:58:07.835]  This is why your trip to the InfoWars store is so vitally important.
[00:58:08.436 --> 00:58:19.722]  You see, we don't have any right-wing industrialists or multi-billionaires standing in the wings writing big checks to Alex Jones to subsidize our work here at InfoWars.
[00:58:20.342 --> 00:58:31.108]  We have to depend on the individual InfoWarrior, on men and women out there who believe in freedom, who believe in liberty, and believe in the message that we are delivering.
[00:58:31.408 --> 00:58:36.831]  You can support us by going to the InfoWars store and loading up on some of these terrific products.
[00:58:37.172 --> 00:58:37.632]  Take a look!
[00:58:37.972 --> 00:58:41.174]  Yeah, Alec, I just have to say something, man.
[00:58:41.194 --> 00:58:45.536]  It seems like every time I turn on your broadcast, you're bragging.
[00:59:00.954 --> 00:59:02.075]  It just gets old, man.
[00:59:02.375 --> 00:59:04.076]  I'm gonna shut you down right now, okay?
[00:59:04.797 --> 00:59:06.878]  We're taking calls about your nomination.
[00:59:07.118 --> 00:59:11.101]  Do you understand they're having congressional hearings trying to shut us down?
[00:59:11.121 --> 00:59:13.642]  Do you understand I'm ringing the alarm?
[00:59:14.443 --> 00:59:16.784]  If that was happening to anybody else, I'd be freaked out.
[00:59:17.125 --> 00:59:18.225]  I mean, what's it gonna take?
[00:59:18.485 --> 00:59:19.366]  Us being shut down?
[00:59:19.586 --> 00:59:20.627]  Is that what you want, Frank?
[00:59:21.067 --> 00:59:22.108]  You know what, Alex?
[00:59:22.128 --> 00:59:23.229]  Put him on pause again.
[00:59:23.249 --> 00:59:24.070]  Hey, Frank!
[00:59:24.330 --> 00:59:29.694]  Do you understand it's not bragging to say, we are the tip of the spear, we're under attack, we need your help.
[00:59:30.014 --> 00:59:34.298]  As much bagging as I do, we can barely pay the bills and grow in the face of this.
[00:59:34.518 --> 00:59:37.381]  I'm not going to just stop growth and let them start pushing us backwards.
[00:59:37.401 --> 00:59:38.041]  Do you understand?
[00:59:38.121 --> 00:59:39.402]  I need your help, Frank!
[00:59:39.763 --> 00:59:40.944]  I need your help, Frank!
[00:59:41.904 --> 00:59:46.828]  Go to Infowarsstore.com right now and help fund the Infowars.
[00:59:47.789 --> 00:59:48.470]  Do you understand?
[00:59:48.490 --> 00:59:49.671]  I need your help, Frank!
[00:59:54.491 --> 00:59:58.613]  Leading a frontal assault on the lies of the New World Order.
[00:59:59.133 --> 01:00:00.453]  It's Alex Jones.
[01:00:01.574 --> 01:00:09.457]  We are on the march.
[01:00:10.197 --> 01:00:13.418]  The Empire is on the run.
[01:00:13.438 --> 01:00:17.020]  Alex Jones and the GCN Radio Network.
[01:00:25.885 --> 01:00:29.889]  Coming up in 30 minutes, in studio, he is in the building.
[01:00:30.810 --> 01:00:33.712]  Michael Rotondo, one of the top stories this week.
[01:00:35.274 --> 01:00:42.000]  The individual who at 30 was evicted by a court from his parents' home, that he was not wanting to leave.
[01:00:43.241 --> 01:00:46.104]  He is going to be in studio with us, ladies and gentlemen.
[01:00:46.765 --> 01:00:49.948]  Here is a clip of him talking about it.
[01:00:51.332 --> 01:00:55.335]  This 30-year-old dude is facing an eviction threat from his own parents.
[01:00:55.575 --> 01:00:57.076]  That's just so ridiculous.
[01:00:57.136 --> 01:01:01.920]  Michael Rotundo's mom and dad are so fed up, they're suing to get him out of the house.
[01:01:02.420 --> 01:01:05.142]  I don't see why the judge wants to throw people out on the street.
[01:01:05.502 --> 01:01:12.247]  His parents filed the extraordinary lawsuit following months of repeated attempts to get him to leave their home in Syracuse, New York.
[01:01:12.667 --> 01:01:14.829]  And the story is getting lots of attention.
[01:01:15.109 --> 01:01:19.372]  A judge asked why he didn't just move in with his girlfriend, and the man said, Girlfriend?
[01:01:19.452 --> 01:01:21.273]  I'm a 30-year-old man living at home.
[01:01:21.353 --> 01:01:23.035]  Dude, there's no girlfriend.
[01:01:24.316 --> 01:01:29.679]  I just think... It's the first Empty Nest by Eviction.
[01:01:29.859 --> 01:01:31.581]  We are men who still live at home.
[01:01:31.741 --> 01:01:32.001]  Yes.
[01:01:32.301 --> 01:01:35.924]  It's reminding many of a real-life failure to launch.
[01:01:35.964 --> 01:01:39.966]  The 2006 movie starring Matthew McConaughey and Bradley Cooper.
[01:01:40.347 --> 01:01:43.309]  It's gonna take a stick of dynamite to get me out of my parents' house.
[01:01:44.758 --> 01:01:47.420]  Thirty-year-old Michael Rotundo says he has no money.
[01:01:47.840 --> 01:01:51.483]  He's actually a dad himself, but he lost custody and visitation rights.
[01:01:51.923 --> 01:01:56.547]  His parents say he's a freeloader who never offered to pay rent or do chores.
[01:01:56.887 --> 01:02:00.850]  He's apparently so thrifty, he filled his water bottle with the court's pitcher.
[01:02:01.070 --> 01:02:04.613]  Christina and Mark Rotundo served their son five official notices.
[01:02:04.973 --> 01:02:09.557]  Okay, he is in the building, ladies and gentlemen, and, you know, the leftist media is attacking this guy.
[01:02:11.291 --> 01:02:15.634]  But at the same time, the conservative media is, but wait, they're the ones that want us to be dependent.
[01:02:16.174 --> 01:02:20.618]  They're the ones in San Francisco and everywhere that say we should just absolutely pay for bums.
[01:02:21.278 --> 01:02:25.161]  San Francisco's paid for thousands of homeless people to have sex changes.
[01:02:26.802 --> 01:02:27.162]  Look it up.
[01:02:28.063 --> 01:02:28.824]  So I don't want to hear it.
[01:02:29.724 --> 01:02:33.527]  I already got to pay for abortions for people in Travis County, whether you're for abortion or against it.
[01:02:33.827 --> 01:02:35.248]  Taxpayers shouldn't be paying for it.
[01:02:36.129 --> 01:02:37.430]  I got to pay for sex changes.
[01:02:38.564 --> 01:02:39.225]  I'm sick of it.
[01:02:40.045 --> 01:02:40.706]  Let me tell you something.
[01:02:40.726 --> 01:02:42.767]  You want to chop your junk off, that's your business.
[01:02:42.807 --> 01:02:43.388]  I'm a libertarian.
[01:02:43.748 --> 01:02:44.869]  Don't make me pay for it!
[01:02:44.889 --> 01:02:49.012]  Just like if you want a nose job, or you want a facelift, it's the same thing.
[01:02:49.112 --> 01:02:50.173]  I'm not paying for it.
[01:02:52.835 --> 01:02:53.435]  It's incredible.
[01:02:53.475 --> 01:03:02.922]  But the left will pay for sex changes of six-year-old kids in England, but they won't pay for a little four-year-old girl who has a leg that's four inches too short.
[01:03:04.503 --> 01:03:05.264]  It's a $5,000 surgery here in the U.S.
[01:03:05.304 --> 01:03:05.344]  to
[01:03:07.827 --> 01:03:11.189]  Go in and have the bone fused in, and when she's a little bit older, have to do another surgery.
[01:03:11.669 --> 01:03:14.110]  But they just told her, we're going to cut your leg off, cupcake.
[01:03:14.671 --> 01:03:19.793]  See, it's all about the leftist and their weird, sick social engineering, having full control.
[01:03:20.454 --> 01:03:22.255]  Oh, we're not going to give you cataract surgery.
[01:03:22.935 --> 01:03:23.616]  Here's your cane.
[01:03:24.276 --> 01:03:32.060]  Oh, they got more doctors than anybody per capita in the world in places like Cuba and Venezuela, but there's no machines or medicine.
[01:03:32.800 --> 01:03:33.601]  Got a broken leg?
[01:03:33.741 --> 01:03:34.101]  Cane.
[01:03:34.581 --> 01:03:35.262]  Got a bad knee?
[01:03:35.322 --> 01:03:35.662]  Cane.
[01:03:36.042 --> 01:03:36.663]  Going blind?
[01:03:36.803 --> 01:03:37.103]  Cane.
[01:03:38.963 --> 01:03:41.022]  Stand up and speak out, they beat you over the head with a cane.
[01:03:43.800 --> 01:03:44.340]  That doesn't do it.
[01:03:44.360 --> 01:03:46.622]  They take you out in the fields, fire in squads, shoot you.
[01:03:47.002 --> 01:03:49.644]  And every little liberal trendy and Bernie Sanders loves it.
[01:04:16.763 --> 01:04:18.064]  You don't need all that.
[01:04:18.084 --> 01:04:19.265]  I just need an Audi A8.
[01:04:19.285 --> 01:04:19.765]  No big deal.
[01:04:19.785 --> 01:04:19.765]  $120,000.
[01:04:19.805 --> 01:04:22.348]  Venezuela is a really good place though.
[01:04:34.312 --> 01:04:38.655]  When we return, Martin Randazzo, one of the top free speech lawyers in the country.
[01:04:39.035 --> 01:04:41.677]  I've talked to my lawyer, he says, oh, that guy's awesome, we need to get him on the team.
[01:04:41.697 --> 01:04:44.579]  If we're talking about doing that, his liberal friends might crucify him, though.
[01:04:44.999 --> 01:04:46.080]  There's so much going on.
[01:04:46.120 --> 01:04:48.001]  There's the new Sandy Hook lawsuits against me.
[01:04:48.881 --> 01:04:51.203]  We're going to get into all that.
[01:04:51.463 --> 01:04:53.044]  We're going to talk about all of it.
[01:04:53.224 --> 01:04:58.288]  When we return in T-minus 60 seconds, and then the countdown begins.
[01:04:58.968 --> 01:05:01.870]  Until we have the 30-year-old kid in here.
[01:05:03.883 --> 01:05:07.086]  InfoWars Life is bringing you a breakthrough in modern medicine.
[01:05:07.526 --> 01:05:08.847]  Introducing Pollen Block.
[01:05:09.328 --> 01:05:20.859]  We have found an extraordinary new, natural way to alleviate seasonal distress symptoms, including promoting clear nasal and sinus passageways, eye comfort, and respiratory function.
[01:05:21.580 --> 01:05:26.665]  In the 1960s, researchers in France noticed that people who ate certain quail eggs,
[01:05:27.005 --> 01:05:30.466]  Experience less seasonal immune and inflammatory responses.
[01:05:30.886 --> 01:05:36.707]  They began studying this effect in published trials and decades later, we now have the fruit of this research.
[01:05:36.927 --> 01:05:41.588]  A fast acting, chewable tablet that helps alleviate seasonal distress symptoms.
[01:05:42.088 --> 01:05:44.409]  Pollen block is natural and effective.
[01:05:44.749 --> 01:05:46.089]  It is not an antihistamine.
[01:05:46.489 --> 01:05:51.390]  In fact, current research has found that it actually acts by blocking the activity of tryptase.
[01:05:51.630 --> 01:05:56.095]  Which is an enzyme that amplifies immune and inflammatory responses in the body.
[01:05:56.215 --> 01:05:58.358]  Go outside and enjoy the air you breathe.
[01:05:58.898 --> 01:06:03.764]  Head to Infowarslife.com and grab a pack of our Pollen Block chewable tablets.
[01:06:05.673 --> 01:06:11.374]  This transmission is coming to you.
[01:06:11.454 --> 01:06:13.555]  Waging war on corruption.
[01:06:15.835 --> 01:06:21.537]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[01:06:23.397 --> 01:06:25.397]  We see the earth.
[01:06:25.458 --> 01:06:27.738]  We see the earth now.
[01:06:33.528 --> 01:06:40.610]  Well, Mark Randazza, one of the top free speech first-minute lawyers in the country, is popping in for the next two segments with us at Randazza.com.
[01:06:40.650 --> 01:06:49.773]  He's got Randazza Legal and a whole bunch of states, including Connecticut, where we just got sued by more of the Sandy Hook parents and an FBI agent.
[01:06:50.413 --> 01:06:59.636]  And my lawyers, and I even had some other lawyers look at it, like Mr. Randazza, looked at it and they said, this is the next level of a frivolous lawsuit.
[01:07:00.396 --> 01:07:00.616]  I mean,
[01:07:03.672 --> 01:07:04.892]  They've got stuff out of context.
[01:07:05.072 --> 01:07:06.453]  It was in statute of limitations.
[01:07:07.853 --> 01:07:10.694]  So it's not even admissible, and that's not even accurate.
[01:07:11.154 --> 01:07:12.994]  And I don't even know who this FBI agent is.
[01:07:13.335 --> 01:07:15.115]  It's just a way to run this all through the media.
[01:07:15.135 --> 01:07:17.436]  But I wanted to get his take on that a little bit.
[01:07:17.516 --> 01:07:27.858]  But also on just the attacks on free speech in general, on conservatives, libertarians online, and where he thinks that's going.
[01:07:27.918 --> 01:07:29.719]  And then I want to tie it into Morgan Freedman.
[01:07:31.209 --> 01:07:42.959]  You've got eight women, and then you've got eight other witnesses, or 16 total, so I guess that is eight other witnesses, that he would tell women, you're really hot, I want to go out with you, and you're sexy.
[01:07:43.720 --> 01:07:46.943]  And the women on TV would go, oh, and kind of giggle about it, and then he would stop.
[01:07:47.483 --> 01:07:48.404]  Is it a creepy old man?
[01:07:49.425 --> 01:07:49.605]  Yeah.
[01:07:49.625 --> 01:07:52.848]  I mean, he's acting like I acted when I was about 18.
[01:07:53.869 --> 01:07:55.891]  But, you know, that's how you...
[01:07:56.991 --> 01:08:04.257]  Quite frankly, in this world, I mean, if you want to get game as quickly as possible, you may have to run through a bunch of women, but you're going to run into the women that are ready to go.
[01:08:04.758 --> 01:08:20.491]  And James Caan, one of my favorite actors, from Rollerball, you name it, of course, great job in The Godfather, he was asked about Friedman, which is no comparison to Weinstein.
[01:08:22.725 --> 01:08:26.287]  Any thoughts on Morgan Freeman being accused of sexual misconduct?
[01:08:50.327 --> 01:08:54.168]  What do you think about him losing endorsements just over allegations already?
[01:08:54.468 --> 01:08:55.168]  What did you say?
[01:08:55.528 --> 01:08:59.290]  He's already losing endorsements over the allegations that just came out.
[01:08:59.710 --> 01:09:00.030]  I know.
[01:09:01.230 --> 01:09:02.851]  We're becoming a very strange place.
[01:09:03.611 --> 01:09:05.291]  Yeah, Morgan's a great guy.
[01:09:05.771 --> 01:09:10.733]  I think that's why God made men and women so they could be attractive to each other.
[01:09:10.973 --> 01:09:11.253]  Thank you.
[01:09:12.645 --> 01:09:14.490]  Well, actually, there's an attack on men and women.
[01:09:14.510 --> 01:09:15.933]  There's an attack on regular biology.
[01:09:16.114 --> 01:09:17.156]  This is the deep state.
[01:09:17.176 --> 01:09:21.026]  It's in the way she's trying to make us all fight with each other and smokescreen, in my view.
[01:09:22.355 --> 01:09:25.017]  The real sexual abuse going on by elites in this country.
[01:09:25.037 --> 01:09:28.078]  But that's another issue that ties into speech.
[01:09:28.399 --> 01:09:35.122]  My right to tell a woman, I think you're gorgeous, on the street or at a ticket counter or wherever.
[01:09:35.162 --> 01:09:36.403]  She says, buzz off, pal.
[01:09:36.683 --> 01:09:37.524]  And I don't buzz off.
[01:09:37.804 --> 01:09:39.025]  You know, then there can be an issue.
[01:09:40.025 --> 01:09:41.646]  But men don't even do that now.
[01:09:41.726 --> 01:09:44.148]  Men are like all this in the West and scared of women.
[01:09:44.568 --> 01:09:46.829]  Mark, I mean, it's another subject, but it does deal with speech.
[01:09:46.869 --> 01:09:49.771]  What's your take on that as we see Harvey Weinstein doing the perp walk?
[01:09:51.055 --> 01:09:58.820]  Look, you know, there certainly are legitimate sexual harassment and sexual abuse cases.
[01:09:59.460 --> 01:10:05.944]  And if somebody is an employer and has quid pro quo sexual harassment over an employee, that's wrong.
[01:10:06.484 --> 01:10:07.846]  Uh, you know, what Bill Cosby did?
[01:10:08.026 --> 01:10:08.586]  My God.
[01:10:08.606 --> 01:10:10.388]  I mean, I don't even, I don't even get it.
[01:10:10.488 --> 01:10:15.112]  I mean, a celebrity can walk into any bar and say, you know, say to five different women, do you want to go home with me?
[01:10:15.132 --> 01:10:17.234]  One of them is going to go home with him just because he's a celebrity.
[01:10:17.815 --> 01:10:18.756]  Drugging somebody?
[01:10:19.116 --> 01:10:20.497]  I hope the guy dies in prison.
[01:10:21.118 --> 01:10:25.782]  Uh, but you know, now it's, it's like this incremental movement.
[01:10:25.862 --> 01:10:26.903]  It can't ever be.
[01:10:27.344 --> 01:10:28.645]  We've stopped what's bad.
[01:10:29.477 --> 01:10:30.158]  And we're happy.
[01:10:30.699 --> 01:10:33.864]  Now it has to go to, even, the guy hits on a woman?
[01:10:34.405 --> 01:10:38.632]  I mean, come on, look, my advice to all men out there, play the numbers, you know?
[01:10:39.779 --> 01:10:42.941]  I mean, let her decide she doesn't want to sleep with you.
[01:10:43.001 --> 01:10:43.842]  Don't you decide it.
[01:10:44.282 --> 01:10:45.043]  Ask everybody.
[01:10:45.143 --> 01:10:45.623]  Why not?
[01:10:46.183 --> 01:10:47.404]  I don't see a problem with that.
[01:10:48.165 --> 01:10:54.889]  But, you know, there has to be this constant drumbeat to beat down any semblance of masculinity in our culture.
[01:10:55.790 --> 01:11:09.299]  You know, frankly, because, you know, I don't know why, but there's this mental illness that seems to be going through us as a society that we want to completely purge any gender differences and any kind of, you know,
[01:11:09.959 --> 01:11:13.580]  Man, it's like the Fun Patrol showing up in a Jeep every single time.
[01:11:14.100 --> 01:11:14.801]  Well, exactly.
[01:11:14.981 --> 01:11:22.343]  Morgan Freeman's not accused of anything that I wouldn't be completely proud to do myself, at least from what I've seen in this segment so far.
[01:11:25.524 --> 01:11:25.964]  Absolutely.
[01:11:26.204 --> 01:11:27.665]  I mean, he's a little pushy.
[01:11:28.185 --> 01:11:30.666]  Some of it to me is creepy, but it's a free country.
[01:11:30.706 --> 01:11:31.446]  And the women, though,
[01:11:32.944 --> 01:11:33.264]  I don't know.
[01:11:42.992 --> 01:11:52.840]  Yeah, look, I wasn't there, but from what I've seen here, the only thing I've seen is that the guy was flirting with women, which I think is... Well, that's the allegation, too.
[01:11:52.860 --> 01:11:54.642]  They're just saying that he was aggressively flirting with them.
[01:11:54.922 --> 01:12:04.450]  And again, how is that as big a story as Weinstein, which if this is true, and I think there's so many people saying it, and a lot of evidence to it, then I think the guy should, you know, be sent to prison for life.
[01:12:06.535 --> 01:12:21.846]  Yeah, I mean, again, just, you know, when men abuse their position, when men use, either abuse their position of authority or do something forceful or drug a woman, my God, I want to be the, you know, I'll be the first one out there with a pitchfork and a torch.
[01:12:22.526 --> 01:12:30.312]  But it's, it's this, you know, you've got this loud contingent of a very small group of people who really
[01:12:30.959 --> 01:12:35.801]  You know, I think it comes from mental illness from women who just don't like their dads.
[01:12:36.361 --> 01:12:43.504]  They have this paradigm in their head that they think that every guy is somehow evil and they've got to beat this out of society.
[01:12:43.524 --> 01:12:46.805]  That there can be absolutely no masculinity at all.
[01:12:47.629 --> 01:12:53.196]  Um, and it's ultimately going to create, I think, a crisis, if it hasn't already.
[01:12:53.216 --> 01:12:55.398]  I mean, we got to be worried about this?
[01:12:55.919 --> 01:13:08.513]  Well, there's a thing also with liberal Democrat Party women, with other Republicans that I know, that they, at like these hotels downtown in Austin, so I'm married, I'm not involved in any of this, but I hear about it from people, the Democrat women
[01:13:09.915 --> 01:13:10.136]  Yeah.
[01:13:22.677 --> 01:13:27.182]  Say that all masculinity is bad, but in truth, they're really looking for somebody to treat them bad.
[01:13:27.503 --> 01:13:31.908]  And you've got 50 Shades of Grey and more and more women into all this bondage stuff.
[01:13:32.208 --> 01:13:35.532]  So, like you said, it really just sounds like insanity to me.
[01:13:36.073 --> 01:13:42.260]  And I think it distracts from real bad things that are happening to women, to conflate hitting on a girl with raping them.
[01:13:43.517 --> 01:13:46.278]  Yeah, I mean look, that is the problem.
[01:13:46.318 --> 01:13:50.680]  That there is this argument that it's a continuum from flirting to rape.
[01:13:50.800 --> 01:13:54.882]  And no, rape and sexual assault is an act of violence.
[01:13:55.543 --> 01:13:59.464]  Flirting, hell, that's the first step in the reproductive process.
[01:13:59.845 --> 01:14:00.625]  Are you interested?
[01:14:02.467 --> 01:14:10.172]  You know, as far as these women at the hotels that want to be mistreated, I don't know, and I think that's a dangerous way for guys to look at it.
[01:14:11.473 --> 01:14:14.875]  I mean, I can certainly say that I've bumped into that.
[01:14:15.735 --> 01:14:16.396]  Not my thing.
[01:14:17.056 --> 01:14:24.981]  Not my thing either, but that's what I'm saying is, that's growing, and it's generally with women that claim they're liberal and hate all men.
[01:14:25.221 --> 01:14:30.485]  It's like well-known that interracial porn outsells 3 to 1, 4 to 1 in the Deep South to white males.
[01:14:32.169 --> 01:14:33.970]  I didn't know that, but yeah, maybe.
[01:14:34.110 --> 01:14:35.551]  That's a statistic, but it's the same thing.
[01:14:38.252 --> 01:14:41.654]  Take women on women relationships and the amount of abuse that goes on there.
[01:14:41.874 --> 01:14:43.715]  These are real statistics they don't want to discuss.
[01:14:44.135 --> 01:14:44.976]  I don't know what they mean.
[01:14:47.249 --> 01:14:47.690]  I don't know.
[01:14:47.710 --> 01:14:48.910]  Well, I know what they mean.
[01:14:48.971 --> 01:14:53.494]  And that is that, look, it's everything is about power and domination.
[01:14:54.094 --> 01:14:54.775]  Everything.
[01:14:54.995 --> 01:15:05.162]  So imagine if you could walk into a room and everybody's supposed to play a certain game, but all you have to do is, you know, pull one card and you're automatically at a disadvantage.
[01:15:06.423 --> 01:15:13.048]  You know, this is a good way to target anyone and everyone who you might want to eliminate or climb on top of.
[01:15:13.548 --> 01:15:15.630]  It's it's the it's the victim Olympics.
[01:15:16.172 --> 01:15:18.334]  Let me ask you this before we go to break and come back to the First Amendment.
[01:15:19.375 --> 01:15:20.876]  When do you think we hit the bottom of this?
[01:15:20.976 --> 01:15:24.179]  When do we hit peak political correctness?
[01:15:25.240 --> 01:15:28.642]  One day, in the future, there will be the Uber victim.
[01:15:28.863 --> 01:15:32.105]  It will be one victim to rule over all of them.
[01:15:32.466 --> 01:15:40.112]  There will be a black lesbian in a wheelchair with an eyepatch and every single possible victimization and she will rule.
