[00:00:00.209 --> 00:00:00.750]  We've got it.
[00:35:06.958 --> 00:35:08.206]  During the two-and-a-half-minute exchange.
[00:35:08.227 --> 00:35:09.334]  We'll play it later for Paul Leaves.
[00:35:10.529 --> 00:35:13.170]  He says there is no migrant caravan.
[00:35:13.190 --> 00:35:14.430]  They're hundreds of miles away.
[00:35:14.710 --> 00:35:15.451]  It's not real.
[00:35:15.751 --> 00:35:17.371]  And Trump goes, oh, they're actors.
[00:35:18.772 --> 00:35:20.052]  Everything's a lie!
[00:35:20.532 --> 00:35:21.732]  He's a lie machine.
[00:35:22.113 --> 00:35:23.293]  He says he didn't touch her.
[00:35:23.593 --> 00:35:27.994]  Let's play that piece that we just played earlier before we go to Paul and then the President.
[00:35:28.495 --> 00:35:29.375]  Here is Acosta.
[00:35:29.395 --> 00:35:31.135]  This is for TV viewers mainly, for radio listeners.
[00:35:31.515 --> 00:35:33.236]  He's saying he never even touched her.
[00:35:33.556 --> 00:35:36.417]  And it's him pushing down her arm and then pulling it away.
[00:35:36.437 --> 00:35:39.278]  And you see she lets go because it was pretty forceful.
[00:35:40.233 --> 00:35:43.795]  Now we can let this pass in the moment, because she initiated contact.
[00:35:44.855 --> 00:35:46.996]  But by the time the president said stop it, he better stop it.
[00:35:47.436 --> 00:35:49.897]  We're not like the left saying, if you touch somebody it's assault.
[00:35:50.758 --> 00:35:52.038]  But it started to go into that area.
[00:35:52.098 --> 00:36:01.543]  But then when he said he didn't touch her, in front of the whole world when it's on video, and he says we're lying, and that we doctored it, I've never heard of such lies.
[00:36:01.723 --> 00:36:04.064]  And it just goes to the mindset of these people.
[00:36:04.124 --> 00:36:08.366]  And now the president's responded, defending Paul Watson and Infowars, but here is the compilation.
[00:36:09.026 --> 00:36:19.834]  He and I were going back and forth there, and as you can see in this video, this intern came up to me, they're describing her as an intern, I don't really know who she is, and attempted to take the microphone away from me.
[00:36:19.854 --> 00:36:20.435]  Now stop it there.
[00:36:20.455 --> 00:36:21.456]  All I can say is- Stop it there.
[00:36:22.096 --> 00:36:23.717]  Start it over for TV viewers, for A-listers.
[00:36:24.438 --> 00:36:31.303]  CNN cuts and loops footage, doesn't show the confrontation to say, see nothing happened.
[00:36:31.964 --> 00:36:36.227]  And then Anderson Cooper comes back, and says, wow you saw the video folks, never touched her.
[00:36:37.264 --> 00:36:38.366]  We have that coming up, too.
[00:36:38.427 --> 00:36:39.208]  The unedited clip.
[00:36:39.449 --> 00:36:40.010]  The full clip.
[00:36:40.070 --> 00:36:42.415]  I mean, the level of the gaslighting.
[00:36:42.836 --> 00:36:44.761]  These people are unbelievable!
[00:36:45.101 --> 00:36:46.565]  What next level will they go to?
[00:36:46.725 --> 00:36:47.146]  Sorry, sorry.
[00:36:47.386 --> 00:36:47.948]  Start the clip over.
[00:36:48.587 --> 00:36:53.511]  And I were going back and forth there and as you can see in this video, this intern came up to me.
[00:36:53.531 --> 00:36:55.053]  They're describing her as an intern.
[00:36:55.073 --> 00:36:59.276]  I don't really know who she is and attempted to take the microphone away from me.
[00:36:59.877 --> 00:37:04.721]  All I can say at that point is that I was trying to hang on to the microphone so I could continue to ask the president questions.
[00:37:05.802 --> 00:37:10.306]  Obviously, I didn't put my hands on her or touch her as they're alleging.
[00:37:10.566 --> 00:37:11.407]  If I may ask one other question.
[00:37:11.427 --> 00:37:11.687]  That's enough.
[00:37:11.707 --> 00:37:13.688]  Mr. President, if I may ask one other question.
[00:37:13.708 --> 00:37:14.189]  Are you worried?
[00:37:14.209 --> 00:37:14.729]  That's enough.
[00:37:14.969 --> 00:37:15.290]  That's enough.
[00:37:15.310 --> 00:37:16.791]  Mr. President, if I may ask one other question.
[00:37:16.811 --> 00:37:18.152]  The other folks at... That's enough.
[00:37:18.412 --> 00:37:19.473]  Pardon me, ma'am.
[00:37:20.574 --> 00:37:25.117]  Obviously, I didn't put my hands on her or touch her, as they're alleging.
[00:37:25.397 --> 00:37:26.899]  The other folks at... That's enough.
[00:37:26.919 --> 00:37:30.641]  I didn't put my hands on her or touch her, as they're alleging.
[00:37:30.902 --> 00:37:32.023]  The other folks at... That's enough.
[00:37:32.443 --> 00:37:36.146]  I didn't put my hands on her or touch her, as they're alleging.
[00:37:36.406 --> 00:37:37.507]  The other folks at... That's enough.
[00:37:38.067 --> 00:37:38.748]  I think that's unbearable.
[00:37:38.768 --> 00:37:39.708]  You're a very rude person.
[00:37:39.728 --> 00:37:41.889]  The way you treat Sarah Huckabee is horrible.
[00:37:42.170 --> 00:37:42.470]  Alright.
[00:37:42.630 --> 00:37:42.930]  That's right.
[00:37:42.950 --> 00:37:50.335]  We're going to go back to the President's response just about an hour ago, defending Paul Watson in the video, just saying all we did was zoom it in.
[00:37:50.595 --> 00:37:51.515]  That's not doctoring.
[00:37:51.835 --> 00:37:53.196]  That's showing even more clarity.
[00:37:53.516 --> 00:37:55.498]  That's enhancing for the truth.
[00:37:56.418 --> 00:37:58.920]  Binoculars don't make your eyes lie.
[00:37:59.140 --> 00:38:00.401]  They give you further vision.
[00:38:01.308 --> 00:38:04.630]  Brushing your teeth isn't attacking your teeth, it's helping them!
[00:38:04.810 --> 00:38:06.571]  I mean, Paul, this is insane.
[00:38:06.851 --> 00:38:07.692]  What has happened here?
[00:38:07.732 --> 00:38:13.555]  Are they just so used to lying that the lies now have become so ridiculous that this is now blown up in their face?
[00:38:13.756 --> 00:38:16.077]  But all over the place, corporate media is still defending it?
[00:38:17.802 --> 00:38:19.664]  Well, it's blown up in their face, Alex.
[00:38:19.925 --> 00:38:21.287]  Some of them are having to backtrack.
[00:38:21.307 --> 00:38:24.230]  But again, it's such a bubble that they just regurgitate it.
[00:38:24.330 --> 00:38:30.078]  And a lot of these hit pieces are just basically formulaic copies of the initial hit pieces.
[00:38:30.138 --> 00:38:33.102]  So then it goes, you know, it spreads in that manner, like a virus.
[00:38:33.702 --> 00:38:47.410]  But the fact is, Vice News, no fans of Infowars, no fans of me certainly, Vice News talked to two forensic experts, and I don't even need to talk about this because I know I didn't doctor the video, it zoomed in, that's not doctoring.
[00:38:47.830 --> 00:38:55.454]  But even though you've got two forensic experts who said that there's no evidence whatsoever that it was doctored, one of them is called Hanifah Reed,
[00:38:56.303 --> 00:39:01.566]  Who studies digital forensics, human perception and image analysis, University of California, Berkeley.
[00:39:02.146 --> 00:39:04.667]  And he said he does not think the video was doctored.
[00:39:05.007 --> 00:39:15.813]  He agreed the entire video was, of course, slowed down and zoomed in to focus on the moment of physical contact, but does not see any evidence to suggest that it was selectively edited to exaggerate Acosta's motion.
[00:39:16.353 --> 00:39:22.536]  They had another guy from the University of Colorado called Jeff Smith, who is another image analyst,
[00:39:23.402 --> 00:39:24.944]  They said he came to a similar conclusion.
[00:39:25.044 --> 00:39:34.112]  Smith told Motherboard that he could detect duplicate frames in the White House video, which could indicate it was doctored, but then he went on to say that it wasn't.
[00:39:34.232 --> 00:39:36.935]  There are duplicate frames, two additional frames.
[00:39:36.955 --> 00:39:40.057]  Again, that's due to video compression, Alex, as we talked about yesterday.
[00:39:40.758 --> 00:39:46.964]  But he says, otherwise, the video is not slowed down, doesn't appear to be altered on the pixel level, as many people in the Twitterverse are claiming.
[00:39:47.264 --> 00:39:49.206]  So first, Alex, they said it was sped up.
[00:39:49.870 --> 00:39:53.483]  Then they said it was slowed down and now they're having to back away from that completely.
[00:39:53.784 --> 00:39:55.510]  The New York Times, Alex, today.
[00:39:56.291 --> 00:39:57.792]  Because Colbert talked about this.
[00:39:58.273 --> 00:39:59.594]  Jimmy Kimmel talked about it.
[00:39:59.634 --> 00:40:00.995]  They all regurgitated it.
[00:40:01.495 --> 00:40:09.061]  New York Times reports today, quote, the video was sped up, creating the illusion that Acosta had pushed the female intern roughly.
[00:40:09.442 --> 00:40:11.023]  The video was not sped up.
[00:40:11.684 --> 00:40:14.686]  Even the forensic experts at Vice admit to that.
[00:40:15.086 --> 00:40:17.368]  Now they're saying, oh, it might have been slowed down.
[00:40:17.448 --> 00:40:18.809]  Like, make your mind up, seriously.
[00:40:19.150 --> 00:40:20.611]  This is blown up in their face, Alex.
[00:40:20.671 --> 00:40:21.332]  It's ridiculous.
[00:40:21.452 --> 00:40:25.295]  Paul, how many times have I begged you, though, not to use the free crap video editor you have?
[00:40:27.037 --> 00:40:27.877]  What's that story?
[00:40:28.818 --> 00:40:32.320]  Because it greys the video and it does add skipped frames.
[00:40:32.680 --> 00:40:35.041]  So sometimes we get videos from you and they're little jumps and stuff.
[00:40:35.642 --> 00:40:37.202]  Obviously everybody sees the video.
[00:40:37.242 --> 00:40:38.663]  They know it's the same length.
[00:40:38.943 --> 00:40:40.324]  It's just a cruddy upload of it.
[00:40:40.764 --> 00:40:41.865]  It's the exact same length.
[00:40:42.885 --> 00:40:47.208]  A few frames that got added by digital distortion doesn't even add a millisecond.
[00:40:47.368 --> 00:40:48.548]  So it's the exact same length.
[00:40:48.628 --> 00:40:49.469]  It is the video.
[00:40:49.849 --> 00:40:53.071]  It just lost resolution because you uploaded to Twitter and zoomed in.
[00:40:53.291 --> 00:40:53.791]  Period!
[00:40:54.091 --> 00:40:54.552]  Period!
[00:40:54.852 --> 00:40:55.272]  Period!
[00:40:56.627 --> 00:40:58.550]  Yeah, and that's what everyone now admits.
[00:40:58.590 --> 00:41:02.074]  But again, this bubble is so intense that they're never going to be able to retract it.
[00:41:02.534 --> 00:41:13.989]  It was a GIF image downloaded from Twitter, exported as an M2T file, then run through another program called Handbrake to make it back into an MP4 file so it could be uploaded to Twitter.
[00:41:14.389 --> 00:41:18.593]  So obviously it's not going to be exactly the same with compression, but it was not edited.
[00:41:18.933 --> 00:41:19.814]  It was not doctored.
[00:41:20.134 --> 00:41:22.697]  They manufactured a complete hoax.
[00:41:22.737 --> 00:41:29.023]  This was an international media hoax to distract from Acosta's behavior, which as Trump said, it wasn't horrible.
[00:41:29.083 --> 00:41:31.505]  It wasn't assault, but it was certainly controversial.
[00:41:31.545 --> 00:41:34.528]  It was a talking point and it reflected negatively on him.
[00:41:34.868 --> 00:41:36.810]  So this is why they had to create an entirely new
[00:41:37.583 --> 00:41:39.004]  Uh, controversy to distract from it.
[00:41:39.244 --> 00:41:45.968]  And now the bigger scandal is Acosta saying he didn't touch her, and the entire corporate media going along with the lie.
[00:41:46.128 --> 00:41:53.753]  Even when they talk to forensic experts, bury the articles, they go, okay, this is just compression, it's real, Acosta pushed her and, you know, pulled the microphone back.
[00:41:54.533 --> 00:41:58.796]  Just the fact that they even tried this, Paul, is just a next-level BS.
[00:42:00.206 --> 00:42:01.867]  I mean, they called it Orwellian.
[00:42:01.907 --> 00:42:06.050]  They claimed that Sarah Sanders or the White House had edited the video and that was Orwellian.
[00:42:06.350 --> 00:42:09.011]  The Orwellian thing is, like, do you not have eyes?
[00:42:09.151 --> 00:42:15.235]  Can you not see his left arm come down and push her away, physically restrain her, overpower her?
[00:42:16.005 --> 00:42:16.786]  Did he touch her?
[00:42:16.886 --> 00:42:17.807]  Yes, he touched her.
[00:42:17.947 --> 00:42:20.009]  Nobody's saying it's assault, but he touched her.
[00:42:20.030 --> 00:42:21.391]  To claim otherwise is an outright lie.
[00:42:21.411 --> 00:42:30.140]  And like any woman or any man overpowered by somebody else, she looks to the President and the Secret Service like, this dude just shut my arm down and jerked the mic back.
[00:42:30.180 --> 00:42:30.721]  What do I do now?
[00:42:31.883 --> 00:42:33.403]  Yeah, you can see her immediate reaction.
[00:42:34.084 --> 00:42:36.884]  She's surprised by the fact that he's physically restraining her.
[00:42:36.924 --> 00:42:37.925]  She didn't see that coming.
[00:42:38.225 --> 00:42:38.925]  Did he touch her?
[00:42:39.185 --> 00:42:40.325]  Yes, he touched her.
[00:42:40.505 --> 00:42:42.606]  The video, which is not doctored, shows that.
[00:42:42.906 --> 00:42:43.326]  It's proof.
[00:42:43.566 --> 00:42:48.687]  I mean, I'm a man, but if I was doing the mediation and a man pulled a mic back, I wouldn't do it.
[00:42:48.727 --> 00:42:49.467]  I'd call security over.
[00:42:49.487 --> 00:42:50.068]  That's what she does.
[00:42:50.128 --> 00:42:51.308]  He manhandles her.
[00:42:51.348 --> 00:42:52.128]  She looks at security.
[00:42:52.528 --> 00:42:55.289]  Paul, let's come back, though, and play the president's defense of you.
[00:42:55.309 --> 00:42:55.729]  Stay with us.
[00:43:03.829 --> 00:43:13.413]  Paul, get into this huge situation in Europe because I know that the Islamicists are raping and stealing and killing and then the leftists say because you're not bringing enough Muslims in.
[00:43:13.533 --> 00:43:17.814]  It's like they're trying to flip reality into this bizarro deception land.
[00:43:17.975 --> 00:43:19.915]  So, what would you call this?
[00:43:20.195 --> 00:43:23.997]  Well, it's mass deception and going on to France, which you mentioned.
[00:43:24.737 --> 00:43:27.659]  Literally, there are like 8,000 Jews leaving Paris alone.
[00:43:27.679 --> 00:43:31.102]  I think it's Paris, maybe it's France, but I think it's Paris alone every single year.
[00:43:31.122 --> 00:43:32.583]  8,000 Jews fleeing.
[00:43:33.163 --> 00:43:34.464]  We defend those people.
[00:43:34.504 --> 00:43:39.848]  We say this is horrible that anti-Semitic attacks are increasing in France, in all these European countries.
[00:43:40.208 --> 00:43:43.430]  And then we're called anti-Semites, Alex, in France.
[00:43:43.790 --> 00:43:46.492]  We've defended Jews being chased out of the country, basically.
[00:43:46.572 --> 00:43:47.993]  Last night, there were more riots.
[00:43:48.033 --> 00:43:49.233]  They called it the Purge.
[00:43:49.353 --> 00:43:54.456]  They based it on this movie, which says, basically, the plot is you can commit any crime for one night.
[00:43:54.496 --> 00:43:55.737]  So they went on a rampage.
[00:43:55.957 --> 00:43:56.918]  Stores were looted.
[00:43:56.938 --> 00:43:58.139]  They had fights with police.
[00:43:58.299 --> 00:44:03.102]  In Paris as well, this happened in Saint-Denis, which is the area where they have... That's in Lyon that you're showing now.
[00:44:03.222 --> 00:44:05.403]  It was on the same night, also, in Saint-Denis, Paris.
[00:44:05.803 --> 00:44:10.670]  Where they have 400,000 illegal immigrants in this one area of Paris alone.
[00:44:10.990 --> 00:44:14.415]  They were throwing acid at the police, they were robbing grocery stores.
[00:44:14.976 --> 00:44:22.046]  And this came like the day after Francis Denintiri, Minister, he actually gave the interview back in February, but it was just published a few days ago.
[00:44:22.686 --> 00:44:31.912]  This is Gerard Collomb who said basically they've got five years and after five years if they don't sort this out, people aren't going to be living together.
[00:44:31.952 --> 00:44:36.514]  They're going to be going face-to-face and he admits that it's all due to mass immigration.
[00:44:36.894 --> 00:44:37.715]  I went to Paris
[00:44:38.670 --> 00:44:44.935]  About five times over the past 10 years, Alex, you could tell the difference post-2015.
[00:44:45.375 --> 00:44:58.925]  After this new influx of migrants from the Middle East, it was literally, I would go to the hotel and drive past all these little shanty towns, all these tent cities where all the migrants were, thinking, oh, this must be the outer ghetto area of Paris.
[00:44:58.945 --> 00:45:01.768]  And it was like five minutes later, you've arrived at your destination.
[00:45:01.808 --> 00:45:03.349]  It was in the major tourist area.
[00:45:03.789 --> 00:45:04.369]  I think so.
[00:45:20.377 --> 00:45:23.298]  Well let's be clear, people are fleeing literal societal collapse
[00:45:46.207 --> 00:45:47.988]  Real road warrior conditions.
[00:45:48.248 --> 00:45:52.169]  And then they don't want to get away from it to not be part of it.
[00:45:52.209 --> 00:45:57.771]  They want to bring it to you because they're usually the worst and the weakest of the nightmare system.
[00:45:58.011 --> 00:46:11.895]  So we're getting the worst of the worst of the worst chaperoned and captained by the left who believe this is some satanic ritual like defiling a baby or a virgin woman to defecate all over Europe and the U.S.
[00:46:12.175 --> 00:46:14.216]  and instead they're destroying their own wealth.
[00:46:14.356 --> 00:46:14.876]  The left is
[00:46:15.316 --> 00:46:16.536]  It is insane!
[00:46:16.876 --> 00:46:24.518]  Exactly, and then when you actually look at it, which I've done in all these major European countries, the few pocket areas of wealthy white areas, they've correlated it.
[00:46:24.578 --> 00:46:28.179]  That's where the most pro-immigration politicians and elitists live.
[00:46:28.259 --> 00:46:35.061]  So this is all being foisted on predominantly white working class people who live in these areas which are being ghettoized.
[00:46:35.181 --> 00:46:40.082]  And they're also the ones called racist by the elite, even though it's being foisted on them.
[00:46:40.462 --> 00:46:42.384]  The elite don't use public transport.
[00:46:42.424 --> 00:46:44.145]  They don't have to mingle with these people.
[00:46:44.485 --> 00:46:46.087]  They're chauffeured around everywhere.
[00:46:46.407 --> 00:46:53.132]  So again, they not only get the bad consequences of mass immigration, they also get blamed and called racist if they complain about it.
[00:47:01.659 --> 00:47:04.321]  You're listening to The Alex Jones Show.
[00:47:19.964 --> 00:47:23.887]  If you are receiving this transmission, you are the resistance.
[00:47:24.347 --> 00:47:26.729]  You're listening to Alex Jones.
[00:47:26.849 --> 00:47:28.491]  Again, I want to be absolutely clear.
[00:47:28.531 --> 00:47:30.993]  This is one of the biggest stories, if not the biggest.
[00:47:31.093 --> 00:47:34.515]  It got more attention than the tragic shooting yesterday that killed 12 people.
[00:47:35.316 --> 00:47:38.879]  The PTSD Marine was posting to Instagram when he did it.
[00:47:39.299 --> 00:47:41.981]  Will they ban Instagram off of the internet now like they did Gab?
[00:47:42.902 --> 00:47:43.262]  No, they won't.
[00:47:44.471 --> 00:47:45.351]  But a true tragedy.
[00:47:45.391 --> 00:47:52.995]  We've got all this big world news, we've got total election fraud, live feed with our reporters on the ground at InfoWars.com, NewsWars.com.
[00:47:54.035 --> 00:47:56.356]  And we're going to have Roger Stone from Broward County.
[00:47:56.717 --> 00:48:06.261]  There are trucks blocking the entrance as the Democrats try to bring in more 18-wheelers and trucks full of magic ballots that in some cases are 100% precincts reporting for Democrats.
[00:48:06.621 --> 00:48:12.244]  So they'll lose the Senate seat, they'll lose the House seat, they'll lose some of the other seats that the Republicans just won.
[00:48:12.924 --> 00:48:13.884]  This is incredible.
[00:48:13.964 --> 00:48:16.965]  The live feed is on InfoWars.com.
[00:48:17.025 --> 00:48:17.945]  It's happening right now.
[00:48:17.965 --> 00:48:20.486]  In fact, can we go to InfoWars.com for folks?
[00:48:20.806 --> 00:48:22.727]  I want to pull it up on screen for TV viewers.
[00:48:23.487 --> 00:48:26.788]  One of the links you want to spread is at InfoWars.com.
[00:48:27.868 --> 00:48:28.168]  Okay?
[00:48:28.548 --> 00:48:33.789]  Democrats just got caught trying to steal back Florida and Arizona, plus Trump defends InfoWars and more.
[00:48:34.009 --> 00:48:35.850]  Now let's go back to InfoWars.com.
[00:48:36.510 --> 00:48:39.691]  The new live feed is a whole separate feed.
[00:48:40.811 --> 00:48:46.278]  That I want to show TV viewers right now that's in the main featured area right there.
[00:48:46.699 --> 00:48:47.360]  I'll pull up my phone.
[00:48:48.161 --> 00:48:48.521]  Scroll down.
[00:48:48.541 --> 00:48:50.144]  We're going to do this right now together.
[00:48:50.624 --> 00:48:51.305]  There it is right there.
[00:48:51.365 --> 00:48:53.087]  Look, that's the huge news right there.
[00:48:53.768 --> 00:48:58.495]  Four trucks block entrance to Broward County Elections Office.
[00:49:00.635 --> 00:49:05.378]  As protests gather, we have Roger Stone and our reporters are on the ground now.
[00:49:05.799 --> 00:49:07.780]  That is coming up next hour.
[00:49:07.920 --> 00:49:18.248]  Election official meddling being investigated as Dems just happened to find lost 18-wheelers and large trucks full of ballots.
[00:49:18.288 --> 00:49:19.669]  This is huge news.
[00:49:19.809 --> 00:49:21.150]  Get this out to everybody.
[00:49:21.170 --> 00:49:23.972]  It's been criminally investigated by Homeland Security.
[00:49:26.223 --> 00:49:28.484]  This is all happening right now, ladies and gentlemen.
[00:49:28.764 --> 00:49:35.846]  Let's go back to the President, because even though this bowling thing is... I've got a bowling clip of him interviewing the White House spokesperson on this.
[00:49:36.327 --> 00:49:50.752]  Even though this whole thing with Acosta is petty, the lying about it and the whole corporate media joining in to lie, and the President having to shatter this whole illusion, illustrates how these people work as a wall.
[00:49:52.153 --> 00:49:53.194]  The tape video of Costa?
[00:50:05.256 --> 00:50:06.297]  What are you talking about?
[00:50:07.238 --> 00:50:07.858]  All that was?
[00:50:08.359 --> 00:50:09.640]  Nobody manipulated it.
[00:50:09.660 --> 00:50:10.501]  Give me a break.
[00:50:10.841 --> 00:50:12.582]  See, that's just dishonest reporting.
[00:50:12.863 --> 00:50:14.184]  All that is is a close-up.
[00:50:14.764 --> 00:50:17.507]  See, that's just dishonest reporting.
[00:50:17.907 --> 00:50:18.607]  I watched that.
[00:50:18.647 --> 00:50:19.728]  I heard that last night.
[00:50:20.029 --> 00:50:21.270]  They made it close-up.
[00:50:21.330 --> 00:50:22.471]  They showed it close-up.
[00:50:22.871 --> 00:50:24.833]  And he was not nice to that young woman.
[00:50:24.893 --> 00:50:25.814]  I don't hold him for that.
[00:50:26.614 --> 00:50:29.198]  Because it wasn't overly, you know, horrible.
[00:50:29.759 --> 00:50:33.263]  But all that was, when you say doctor, you're a dishonest guy.
[00:50:33.484 --> 00:50:34.725]  Because it wasn't doctored.
[00:50:35.026 --> 00:50:36.447]  They gave a close-up view.
[00:50:36.668 --> 00:50:37.669]  That's not doctoring.
[00:50:44.017 --> 00:50:47.119]  At press conferences, has to say, it's not doctored.
[00:50:47.719 --> 00:50:52.181]  There's another White House statement we're going to release, a video we're going to play here in a moment that Eric Bolling just sent me.
[00:50:52.461 --> 00:50:53.342]  We appreciate him doing that.
[00:50:54.102 --> 00:50:55.863]  Where they responded, just said, look, we were all in there.
[00:50:55.903 --> 00:50:56.343]  We saw it.
[00:50:56.363 --> 00:50:57.064]  The video's real.
[00:50:57.844 --> 00:51:00.305]  It doesn't matter if it's sped up or slowed down or zoomed in.
[00:51:00.585 --> 00:51:01.346]  It's not doctored.
[00:51:01.386 --> 00:51:03.106]  Well, we didn't speed it up.
[00:51:03.567 --> 00:51:04.667]  All we did was blow it up.
[00:51:04.727 --> 00:51:05.928]  Paul, final comments on this.
[00:51:07.734 --> 00:51:11.156]  Final comments, Alex, is that, I mean, there are so many liars out there today.
[00:51:11.216 --> 00:51:12.557]  Listen to this from Yahoo News.
[00:51:13.137 --> 00:51:19.881]  Okay, they quote me talking to BuzzFeed saying, digitally, it's going to look a tiny bit different after processing and zooming in.
[00:51:20.222 --> 00:51:25.925]  Elizabeth Loftus, Professor of Law and Social Psychology at the University of California, Irvine, isn't buying it.
[00:51:26.385 --> 00:51:28.647]  The videos are totally different, she says.
[00:51:29.427 --> 00:51:35.031]  Alex, are these videos that you're playing right now totally different, or do they look almost exactly the same?
[00:51:35.451 --> 00:51:37.232]  Elizabeth Loftus is a liar.
[00:51:37.910 --> 00:51:39.572]  Those videos are exactly the same.
[00:51:39.612 --> 00:51:40.533]  There's no doctoring.
[00:51:40.914 --> 00:51:42.556]  There's no speeding up.
[00:51:42.596 --> 00:51:44.198]  Now they're saying, oh, it was slowed down.
[00:51:44.218 --> 00:51:45.660]  It's like, make your mind up, seriously.
[00:51:46.100 --> 00:51:47.021]  But so many liars.
[00:51:47.562 --> 00:51:50.445]  The original tweets about this got literally like 60,000 retweets, Alex.
[00:51:53.152 --> 00:51:57.353]  Retractions or the debunking tweets got basically, you know, a couple of thousand here and there.
[00:51:57.633 --> 00:51:59.194]  So again, it's a huge echo chamber.
[00:51:59.554 --> 00:52:01.754]  They've convinced each other that this is doctored.
[00:52:01.794 --> 00:52:09.417]  It's like some grand conspiracy where they've deluded themselves into seeing something that's not even there and then denying what actually is there.
[00:52:09.717 --> 00:52:13.018]  The fact that he put his hands on a woman that happened.
[00:52:13.318 --> 00:52:14.018]  Everybody saw it.
[00:52:14.318 --> 00:52:17.020]  So we're talking about the King's new clothes.
[00:52:17.120 --> 00:52:28.029]  He has no clothes, you're calling it out, but everybody else says no, he's wearing beautiful clothes, and finally a three-year-old walks up and says no, the King's naked, and then everybody gets past the peer pressure and starts admitting it's true.
[00:52:28.349 --> 00:52:30.771]  But this time it's the King telling us that CNN
[00:52:31.992 --> 00:52:32.852]  Has no clothes.
[00:52:33.172 --> 00:52:35.313]  And of course that is President Trump.
[00:52:36.034 --> 00:52:41.876]  Paul, we thought, some people thought, I didn't think, but a lot of people thought that things would slow down after the election.
[00:52:41.916 --> 00:52:42.076]  No.
[00:52:42.396 --> 00:52:44.277]  They're only going into insane high gear.
[00:52:44.397 --> 00:52:52.460]  Antifa activating 900 terror squads in their own words as violence escalates, as doxing escalates.
[00:52:53.460 --> 00:52:58.284]  We've got this new Deputy Attorney General, who's now officially the Attorney General, scaring the hell out of him.
[00:52:58.324 --> 00:52:59.384]  We've got his bio.
[00:52:59.424 --> 00:53:05.428]  He's a super patriot, Christian, literally dialed into what's going on.
[00:53:05.729 --> 00:53:06.929]  I've done deep research now.
[00:53:07.290 --> 00:53:08.310]  That's why they're so scared.
[00:53:08.350 --> 00:53:09.151]  Trump's making his move.
[00:53:11.243 --> 00:53:19.349]  Yeah, and I mean, the problem is, Alex, when there is extremism, when there is violence on the right, we call it out, we disavow, we distance ourselves from it.
[00:53:19.789 --> 00:53:27.795]  That doesn't happen on the left, and that's why this is all escalating, because they don't de-escalate it, they seek to escalate it at every available opportunity.
[00:53:28.095 --> 00:53:29.356]  There's a Vox employee
[00:53:30.256 --> 00:53:47.006]  Matt Iglesias yesterday, who basically applauded Antifa stalking, harassing, terrorizing Tucker Carlson's wife and children as they literally hid in a closet, according to reports, saying that basically they deserved it.
[00:53:47.046 --> 00:53:49.447]  He said, I think the idea behind terrorizing his family
[00:53:50.277 --> 00:53:55.398]  Like it or not, as a strategy is to make them feel some of the fear that the victims of MAGA-inspired violence feel.
[00:53:55.839 --> 00:53:58.679]  So he basically applauded it and said that this was a good method.
[00:53:58.939 --> 00:54:02.340]  He's since deleted all his tweets, backed away from it.
[00:54:02.580 --> 00:54:04.301]  But again, this is the attitude on the left.
[00:54:04.361 --> 00:54:10.083]  They don't disavow their violent extremists, which is why this is escalating and getting worse.
[00:54:10.243 --> 00:54:14.944]  And they always lie, and they always double down, and they are getting worse.
[00:54:15.164 --> 00:54:16.504]  This is an insane time to be alive.
[00:54:16.544 --> 00:54:18.025]  Thank you, Paul Joseph Watson.
[00:54:18.045 --> 00:54:18.665]  We'll talk to you soon.
[00:54:19.602 --> 00:54:19.862]  Thanks.
[00:54:22.164 --> 00:54:24.005]  These controversies get more and more bizarre.
[00:54:25.145 --> 00:54:26.987]  I'm going to come back and get to this video.
[00:54:27.007 --> 00:54:28.988]  We're going to post it on Infowars.com.
[00:54:29.408 --> 00:54:31.770]  White House further responds to this controversy.
[00:54:32.210 --> 00:54:33.591]  And they said, look, we were there.
[00:54:33.971 --> 00:54:37.033]  The video that Infowars shows is what we saw with our eyeballs.
[00:54:38.274 --> 00:54:39.575]  And everyone else saw it, too.
[00:54:40.215 --> 00:54:43.877]  Zooming in is not doctrine.
[00:54:45.078 --> 00:54:46.639]  But this is the level of 1984.
[00:54:48.442 --> 00:54:51.183]  Where they tell you two plus two does not equal four.
[00:54:51.843 --> 00:54:54.384]  And then we've got our crew already reporting live on the ground.
[00:54:54.564 --> 00:54:58.285]  Roger Stone, there's a feed of Roger Stone and others reporting live at InfoWars.com.
[00:54:58.345 --> 00:54:59.566]  Get that link out to everybody.
[00:54:59.886 --> 00:55:01.166]  That's how these feeds go viral.
[00:55:01.446 --> 00:55:02.687]  It's how we get around the censors.
[00:55:03.567 --> 00:55:05.288]  There's so much other news I haven't gotten to yet.
[00:55:05.328 --> 00:55:06.968]  I tend to wait to the very end of the hour to even plug.
[00:55:07.329 --> 00:55:08.449]  I get so obsessed with the news.
[00:55:08.509 --> 00:55:17.092]  But if you don't support InfoWars, you're missing out on really, really great products that spread the word like t-shirts and hoodies and
[00:55:18.151 --> 00:55:20.812]  We've now got sweaters with InfoWars on them.
[00:55:21.272 --> 00:55:24.373]  We've got so many great Mulan Labe style designs.
[00:55:24.673 --> 00:55:30.594]  We've got really in-your-face political stuff that'll get you in confrontations, but it'll also help you meet a lot of people.
