[00:00:13.002 --> 00:00:16.625]  It's funny.
[01:07:19.166 --> 01:07:20.647]  They go, oh, we want you for sure.
[01:07:21.960 --> 01:07:27.684]  Like they have in Sweden, these rehabilitation centers for ISIS and Al Qaeda fighters.
[01:07:28.324 --> 01:07:31.066]  It's amazing because this is who they're going to displace everybody with.
[01:07:31.106 --> 01:07:34.648]  So it's the truth about broken Britain.
[01:07:34.768 --> 01:07:35.868]  Everybody needs to see it.
[01:07:35.889 --> 01:07:36.989]  It's very, very powerful.
[01:07:37.009 --> 01:07:38.170]  I'm going to play it later in the hour.
[01:07:38.190 --> 01:07:39.351]  It's on Infowars.com.
[01:07:40.330 --> 01:07:45.452]  So you have Sadiq Khan here in Austin at South by Southwest saying ban all conservatives offline.
[01:07:45.812 --> 01:07:51.254]  You have the globalist saying they're going to use communist Chinese style net censorship with a new web ID to enforce that.
[01:07:51.334 --> 01:07:55.055]  You've got Georgetown University taxpayer funded at the law department.
[01:07:55.355 --> 01:07:56.556]  They say they're private, they're not.
[01:07:56.836 --> 01:07:57.976]  Put the Washington Post up please.
[01:07:58.957 --> 01:08:02.438]  So taxpayer money suing me by the directives of the Pope who called for
[01:08:03.078 --> 01:08:06.400]  Fake news, and in the same article it mentioned us, two weeks ago to be banned.
[01:08:06.841 --> 01:08:10.563]  So, the Pope wants me off the air, and his university is suing me.
[01:08:11.264 --> 01:08:12.004]  With taxpayer money.
[01:08:12.044 --> 01:08:15.887]  I mean, at least use your... It's like when you hear about the Vatican won't pay for its own electricity from Rome.
[01:08:16.528 --> 01:08:17.729]  They're like 20 years behind.
[01:08:17.769 --> 01:08:19.750]  They just go, we do not pay for electricity.
[01:08:19.930 --> 01:08:21.111]  We have 200-foot walls.
[01:08:21.131 --> 01:08:22.372]  I'm in Iraq, I have no walls.
[01:08:22.972 --> 01:08:23.132]  So...
[01:08:24.213 --> 01:08:25.755]  The Catholic Church has been totally captured.
[01:08:26.056 --> 01:08:28.399]  People need to pull their alumni funding in Georgetown.
[01:08:28.419 --> 01:08:29.600]  You need to call them and let them know that.
[01:08:29.901 --> 01:08:30.962]  This is war, folks.
[01:08:31.483 --> 01:08:32.123]  This is war.
[01:08:32.384 --> 01:08:38.191]  And I'm being sued for saying that the State Department official that worked for Hillary is connected to Soros and might work for the CIA.
[01:08:38.852 --> 01:08:40.414]  The State Department is the CIA.
[01:08:42.168 --> 01:08:46.394]  So, it just goes on and on and on and on and on and on.
[01:08:46.434 --> 01:08:48.377]  We got two lawsuits thrown out in the last week and a half.
[01:08:48.638 --> 01:08:51.802]  So, Brittany Pettybone, break down what happened, what's going on.
[01:08:51.822 --> 01:08:54.125]  I mean, this is a concerted effort.
[01:08:54.146 --> 01:08:55.147]  We've got to raise the alarm.
[01:08:55.728 --> 01:08:58.031]  I would say, on a Richter scale,
[01:08:59.266 --> 01:08:59.846]  What would you say?
[01:08:59.866 --> 01:09:01.848]  I mean, previous censorship was maybe a three, a four.
[01:09:01.868 --> 01:09:02.888]  This is like an eight.
[01:09:02.989 --> 01:09:05.910]  I mean, this is sustained across the board.
[01:09:06.151 --> 01:09:09.633]  Massive governments coming after our speech.
[01:09:09.853 --> 01:09:11.374]  You're being suppressed by the British government.
[01:09:11.754 --> 01:09:16.157]  They're arresting people that criticize Islam, like Marine Le Pen in France, in Germany.
[01:09:16.417 --> 01:09:17.518]  They're coming after everybody.
[01:09:17.558 --> 01:09:19.119]  I mean, this is really going on.
[01:09:19.199 --> 01:09:24.823]  So, investigative journalist Brittany Pettybone, define yourself, since they want to define you and steal your identity.
[01:09:25.083 --> 01:09:29.206]  Define who you are, what your mission is, and what's happening, where you think we are right now.
[01:09:32.888 --> 01:09:39.152]  Well, defining myself politically, I think the most appropriate term is what I've always gone with is an American nationalist.
[01:09:40.032 --> 01:09:44.715]  And, you know, I'm pro-Trump and I've been interested in politics my entire life.
[01:09:44.815 --> 01:09:50.459]  I kind of got, by accident, politically active because of the presidential elections.
[01:09:50.759 --> 01:09:54.301]  But, you know, obviously they define us as all sorts of things.
[01:09:54.381 --> 01:09:56.402]  I don't even bother fighting back against it anymore.
[01:09:56.422 --> 01:09:57.563]  I mean, they call Trump Hitler.
[01:09:58.915 --> 01:10:00.156]  You just can't trust these people.
[01:10:00.677 --> 01:10:08.865]  But regarding what happened to us, it seemed like some kind of coordinated effort, because you saw they went after Lauren Southern right after my boyfriend and me.
[01:10:09.565 --> 01:10:15.311]  And it's one thing to hear about the lack of freedom of speech in the UK, but it's quite another to experience it.
[01:10:16.383 --> 01:10:19.445]  It's not only been eye-opening for us, but I think for many people.
[01:10:19.825 --> 01:10:23.547]  And I really hope that it will encourage people to speak out against this.
[01:10:23.607 --> 01:10:27.849]  I've gotten so many messages from people in the UK, like, I'm just embarrassed for my country.
[01:10:27.929 --> 01:10:28.529]  Embarrassed.
[01:10:28.910 --> 01:10:31.331]  Because, you know, Britain used to be so great.
[01:10:31.371 --> 01:10:33.512]  They're saying, well, not so much anymore.
[01:10:34.032 --> 01:10:41.196]  And you also have to question, you know, how much they put into shutting down people like myself, my boyfriend Martin Sellner, Lauren Southern.
[01:10:41.616 --> 01:10:51.622]  And then things like this Telford scandal that just broke, like the biggest child sex abuse scandal in the history of Britain over the past 40 years, up to like a thousand children abused.
[01:10:52.002 --> 01:10:57.065]  One girl, I believe she was about 15 years old, she was gotten pregnant six times over the course of four years.
[01:10:57.486 --> 01:11:02.789]  It's absolutely unacceptable, especially after Rotherham, how they could dare to allow this to happen again.
[01:11:03.089 --> 01:11:05.851]  So their priorities are just all out of whack right now.
[01:11:07.091 --> 01:11:08.692]  It's really infuriating.
[01:11:08.813 --> 01:11:15.797]  And finally, the BBC reports on girls as young as seven being groomed and used for sex slavery by the Muslims, who turn it into a business.
[01:11:16.657 --> 01:11:20.560]  And then the rich leftist men, Brits, come and actually use it.
[01:11:20.700 --> 01:11:22.041]  And so they kind of use the Muslims.
[01:11:23.058 --> 01:11:23.859]  It's a complete contradiction.
[01:11:23.879 --> 01:11:24.339]  It's a paradox.
[01:11:24.359 --> 01:11:26.981]  Islam and feminism are not compatible.
[01:11:50.310 --> 01:11:58.373]  Like, okay, so Lauren Southern was accused of racism, which is why she wasn't allowed into the UK, because she criticized Islam, which is a religion, not a race.
[01:11:58.854 --> 01:12:10.639]  So the whole purpose of this social experiment, which I actually participated in, and they didn't bring this up as one of the reasons as to why I was banned, was Vice released an article saying, you know, Jesus, there's a possibility he could have been gay.
[01:12:10.699 --> 01:12:15.521]  So we were thinking, okay, so if they can do this, are all religions really treated equal?
[01:12:15.661 --> 01:12:18.082]  Let's go to the UK, pretend to be leftist activists,
[01:12:18.502 --> 01:12:25.609]  You know, pro-LGBT coming and saying, you know, Allah, you know, it's one religion that accepts everyone, you know, feminism, gays, everything.
[01:12:26.070 --> 01:12:33.297]  And the way that, this video isn't finished yet, perhaps we'll release it, but the way the reaction was incredible.
[01:12:33.317 --> 01:12:36.199]  Within seconds the police were there saying they had already gotten complaints.
[01:12:36.480 --> 01:12:38.582]  We need to remove you for your safety immediately.
[01:12:39.062 --> 01:12:40.903]  We had to confiscate the flyers, everything.
[01:12:41.023 --> 01:12:42.823]  It was an insane situation.
[01:12:43.084 --> 01:12:43.564]  But this is it.
[01:12:43.644 --> 01:12:44.764]  You can't criticize Islam.
[01:12:44.784 --> 01:12:45.745]  It's completely protected.
[01:12:45.785 --> 01:12:50.286]  That's why you see them persecuting Tommy Robinson so much, who I was going to interview.
[01:12:50.326 --> 01:12:51.487]  He eventually flew to Vienna.
[01:12:51.527 --> 01:12:52.307]  We did the interview.
[01:12:52.347 --> 01:13:05.792]  It is, I think, one of the best he's ever done because we break down and go step by step through his five different times in prison, how he was put in there, blackmailed by the police, everything that he has suffered and sacrificed in his quest to expose Islam for what it is.
[01:13:07.318 --> 01:13:10.541]  Well, I mean, radical Islam is the number one threat to Muslims.
[01:13:10.561 --> 01:13:12.583]  It kills tens of millions of their own people.
[01:13:12.603 --> 01:13:15.105]  I know there are a lot of Muslims who are hard-working, smart people.
[01:13:15.185 --> 01:13:19.129]  I've known a lot of them, but they're really, you know, heretics who want to drink a beer with you.
[01:13:19.870 --> 01:13:21.431]  Yeah, I have an uncle who's Muslim.
[01:13:23.333 --> 01:13:25.655]  Well, I mean, let's talk about that because, I mean, it's a fact.
[01:13:25.695 --> 01:13:27.117]  The biggest victim of Islam is Islam.
[01:13:29.259 --> 01:13:30.280]  Yeah, it's the religion.
[01:13:30.320 --> 01:13:31.721]  I mean, you just, you read about it.
[01:13:31.761 --> 01:13:32.522]  It's not just
[01:13:33.345 --> 01:13:36.467]  You know, Muslims are randomly acting out, and it's like, where's this coming from?
[01:13:36.547 --> 01:13:37.268]  You can read it.
[01:13:37.368 --> 01:13:39.469]  You can see it in their religion.
[01:13:39.569 --> 01:13:40.369]  It's written there.
[01:13:40.750 --> 01:13:44.052]  So, I mean, my uncle, he has been very kind.
[01:13:44.072 --> 01:13:45.473]  He's one of my favorite uncles.
[01:13:45.513 --> 01:13:48.114]  We've been close pretty much my entire life.
[01:13:48.154 --> 01:13:57.180]  So there's, you know, not a bad word I can say about him, but it's just, you look at the religion and then look at the Muslims, you know, the radicals, the way they're acting, and you have to criticize it.
[01:13:57.200 --> 01:13:59.982]  They just, they won't even let you question it or criticize it.
[01:14:00.562 --> 01:14:01.404]  It's a huge problem.
[01:14:01.464 --> 01:14:04.910]  And then these grooming gangs, many Muslims are the ones responsible.
[01:14:05.671 --> 01:14:06.693]  Well, it's not like many.
[01:14:07.134 --> 01:14:09.678]  Even the mainstream media admits it's basically their business.
[01:14:10.539 --> 01:14:12.563]  And then if the girls act up, they just disappear.
[01:14:12.583 --> 01:14:13.324]  Yeah.
[01:14:15.427 --> 01:14:29.034]  Hearing about the lawsuits against myself, Congressman West, and others by Georgetown University, which is run by the Vatican, but they admit taxpayer money funds the law school, and they're calling in the suit for us to be shut off the air.
[01:14:29.334 --> 01:14:31.055]  CNN's calling for us to be shut off the air.
[01:14:32.416 --> 01:14:34.397]  They use a State Department official kind of as their
[01:14:35.477 --> 01:14:37.698]  You've got to personalize it, but it is Georgetown doing it.
[01:14:38.278 --> 01:14:42.019]  What do you make of this and the left calling for all of us to be banned?
[01:14:42.059 --> 01:14:48.701]  And again, Marie Le Pen being arrested for saying the biggest threat since World War II to France is radical Islam.
[01:14:48.941 --> 01:14:50.582]  I mean, that's a total, that's absolutely true.
[01:14:52.404 --> 01:14:54.145]  Honestly, I'm not shocked at all.
[01:14:54.506 --> 01:14:56.388]  I think we've all seen this coming for a while now.
[01:14:56.448 --> 01:15:09.842]  The thing is, like the mainstream media, you know, a lot of older people watch it, but the youth are watching these independent creators who aren't, you know, beholden to anyone and can basically go out and report on what they want to report on, talk about what they want to talk about.
[01:15:10.202 --> 01:15:10.562]  They're free.
[01:15:11.744 --> 01:15:23.393]  And they want to shut these people down by any means necessary because, like InfoWars, you know, all these alternative media outlets, they are challenging these big mainstream media outlets and they're going to overtake them soon.
[01:15:23.753 --> 01:15:27.416]  So they have to shut them down because otherwise they're going to fade into obscurity.
[01:15:27.476 --> 01:15:29.918]  And if they don't control the narrative, they don't control people.
[01:15:30.871 --> 01:15:34.795]  And this is classic authoritarianism, nakedly being carried out.
[01:15:35.576 --> 01:15:37.158]  And Trump must move, people.
[01:15:37.878 --> 01:15:38.939]  But we can't wait for Trump.
[01:15:38.959 --> 01:15:42.223]  He's doing a great job getting rid of Tillerson and moving Pompeo and everything else.
[01:15:43.224 --> 01:15:44.125]  But ladies and gentlemen...
[01:15:45.490 --> 01:15:49.536]  All of you, if you're alumni at Georgetown and you're not a snot-nosed globalist, you gotta pull your money.
[01:15:50.597 --> 01:15:54.943]  Other people, I think there should be lawsuits against them.
[01:15:54.963 --> 01:15:58.188]  There's all sorts of issues using taxpayer money trying to get rid of the free speech.
[01:15:58.268 --> 01:16:00.772]  I mean, I'm having my rights violated like Jim Crow.
[01:16:06.005 --> 01:16:13.275]  Uh, the president said, why are we having all these people from, and I apologize for using this word here, but this is a quote from the president.
[01:16:13.796 --> 01:16:17.781]  Why are we having all these people from sh**hole countries come here?
[01:16:17.801 --> 01:16:20.184]  Uh, Trump said, this is in the Washington Post.
[01:16:20.845 --> 01:16:27.411]  A racist, a shameless racist who has hijacked the Republican Party, who has hijacked the Oval Office.
[01:16:27.671 --> 01:16:36.499]  And this country needs to stand up against this and tell him that we will not let him divide us by color, by race, by ethnicity, by class, by economy.
[01:16:36.619 --> 01:16:38.240]  We will not be quiet.
[01:16:38.300 --> 01:16:39.762]  We will not allow this.
[01:16:39.802 --> 01:16:41.723]  There's a lot of s*** in the whole country.
[01:16:41.763 --> 01:16:43.605]  I mean, why don't we, let's just use the word the President's using.
[01:16:43.625 --> 01:16:47.889]  If it's good enough for the President of the United States to use it, I think the American people deserve to hear what words the President is using.
[01:16:48.149 --> 01:16:59.238]  If you cannot sit here on live TV and say that what the President of the United States, be his friend or not his friend, said was racist, then you are not contributing to breaking this a more perfect union.
[01:16:59.438 --> 01:17:01.239]  I am a proud a**hole.
[01:17:02.620 --> 01:17:05.642]  My family was called wops and mackerel eaters.
[01:17:05.883 --> 01:17:06.683]  I'm proud of that.
[01:17:06.803 --> 01:17:10.586]  We came when people from Ireland and Italy were seen as dirty people.
[01:17:10.886 --> 01:17:13.548]  Dirty Catholics who didn't belong in a Protestant country.
[01:17:14.869 --> 01:17:22.192]  Well, I've always liked Dilbert, and I've also read his new book, Winn-Bigley.
[01:17:22.912 --> 01:17:28.715]  And Scott Adams, of course, endorsed Hillary for his own safety, but he's been more of a, what do you call him, a libertarian?
[01:17:28.735 --> 01:17:30.415]  He's not been a conservative or a liberal over the years.
[01:17:30.775 --> 01:17:33.657]  And he always gets me to think about different angles, and it doesn't mean I totally agree with him.
[01:17:33.697 --> 01:17:35.837]  What do you make of this, of this S.H.
[01:17:36.218 --> 01:17:37.058]  Storm that's going on?
[01:17:38.712 --> 01:17:42.493]  Well, as usual, things are not necessarily in context.
[01:17:43.273 --> 01:18:01.598]  So, one of the contexts that you see left out quite often is that when he said, why can't we get more people from Norway, sometimes they mention it, but usually they don't, that he just got done meeting with the Prime Minister of Norway, and he'd been talking about Norway, Norway, Norway, probably for an hour and a half that day.
[01:18:02.258 --> 01:18:07.499]  And so when he was trying to come up with the name of a country that was prosperous, he said Norway.
[01:18:07.979 --> 01:18:10.681]  So if you leave that context out, it changes it a lot.
[01:18:10.821 --> 01:18:26.234]  The other context you probably need to put on this is that the damage that the president created, and by the way, I count his use of the word shithole in a way that could be, you know, got out to the public, was clearly just a mistake.
[01:18:27.000 --> 01:18:29.862]  And as mistakes go, it was sort of a 10 out of 10.
[01:18:30.023 --> 01:18:36.147]  You know, it's about as high as you can get on the offensive mistake level, so I don't defend it in any way.
[01:18:36.868 --> 01:18:43.113]  But if you put it in context, what he said was in a room with no cameras and no recording.
[01:18:43.713 --> 01:18:54.162]  So it was a bad thing to say, but in the context of the room, everybody in the room understood it to be his usual colorful language, talking about the economic situation of those countries.
[01:18:54.582 --> 01:19:00.184]  Because the whole reason they were talking about those countries is because they had a bad economic situation.
[01:19:00.304 --> 01:19:04.186]  So the president is certainly guilty of creating a situation where this could get out.
[01:19:04.626 --> 01:19:12.229]  But whoever the leaker was has committed a far, far more serious crime against the country.
[01:19:12.349 --> 01:19:14.270]  Not crime exactly, but offense.
[01:19:14.990 --> 01:19:25.035]  It took a small offense that could have been contained and turned it into a gigantic issue that's a bloody nose for the country.
[01:19:25.175 --> 01:19:28.396]  It's bad for the way we deal with our allies.
[01:19:28.416 --> 01:19:29.817]  It's bad on every level.
[01:19:30.417 --> 01:19:37.380]  And I think you have to hold maybe not the Washington Post responsible because they do reporting for a living.
[01:19:37.881 --> 01:19:40.322]  But leaking isn't anybody's job.
[01:19:41.102 --> 01:19:43.062]  Nobody took a job to be a leaker.
[01:19:43.543 --> 01:19:49.384]  So whoever did that has to share, I would say, 95% of the damage.
[01:19:50.544 --> 01:19:51.584]  I think they have to own that.
[01:19:51.924 --> 01:19:53.525]  But the President doesn't get off at all.
[01:19:53.785 --> 01:19:57.446]  I would say that this was a bad move on his part.
[01:19:57.746 --> 01:19:58.066]  Period.
[01:20:05.827 --> 01:20:08.468]  You're listening to The Alex Jones Show.
[01:20:23.973 --> 01:20:25.513]  Ladies and gentlemen, welcome back.
[01:20:25.553 --> 01:20:26.354]  I'm Alex Jones.
[01:20:26.414 --> 01:20:29.295]  As we defend the first, the second amendment, you name it.
[01:20:29.475 --> 01:20:30.955]  Wow, what a time to be alive.
[01:20:32.036 --> 01:20:32.876]  That's right.
[01:20:33.476 --> 01:20:37.638]  It's Alex Jones on the GCN Radio Network.
[01:20:37.718 --> 01:20:39.959]  Crashing the lies and disinformation.
[01:20:41.226 --> 01:20:41.626]  Woo!
[01:20:42.346 --> 01:20:42.786]  I love it.
[01:20:42.806 --> 01:20:43.507]  Crank it up for a minute.
[01:20:44.187 --> 01:20:44.987]  The little lady's music.
[01:20:45.007 --> 01:20:45.767]  The Red Rocker.
[01:20:46.267 --> 01:20:53.009]  He's a great guy, by the way.
[01:20:53.229 --> 01:20:56.190]  The judge said, son, just one more.
[01:20:56.810 --> 01:20:58.031]  All right.
[01:20:58.831 --> 01:20:59.291]  Here's the deal.
[01:20:59.371 --> 01:21:05.673]  I can't drive 55, and I sure as hell can't live under globalism and Islamic Sharia law allied with a bunch of weird soy boy leftists.
[01:21:05.733 --> 01:21:06.393]  It isn't happening.
[01:21:07.013 --> 01:21:08.593]  Now, I was just talking to some of the crew in there.
[01:21:08.753 --> 01:21:10.314]  Imagine what Trump's going through.
[01:21:11.716 --> 01:21:16.638]  If Democrats and Hillary lawyers have filed, I guess if you count the two EEOCs, it's two things.
[01:21:16.718 --> 01:21:20.680]  It's 12 lawsuits in the last year.
[01:21:21.281 --> 01:21:22.821]  And most of them in the last couple months.
[01:21:23.902 --> 01:21:25.863]  And we've already gotten six of them thrown out.
[01:21:26.323 --> 01:21:27.844]  Two of them in the last eight, nine days.
[01:21:28.164 --> 01:21:28.904]  Last week and this week.
[01:21:29.765 --> 01:21:31.405]  So, I'm trying to be positive here.
[01:21:32.226 --> 01:21:33.386]  Because I want to fight the globalists.
[01:21:33.426 --> 01:21:34.287]  I want to change the world.
[01:21:35.948 --> 01:21:37.288]  And Trump just got rid of Tillerson.
[01:21:37.308 --> 01:21:38.349]  The word is for leaking.
[01:21:39.781 --> 01:21:45.807]  And for going along with different globalist operations, just like they just got rid of Trump's assistant.
[01:21:45.847 --> 01:21:47.028]  They're watching who's leaking.
[01:21:47.929 --> 01:21:48.590]  That's what's happening.
[01:21:48.650 --> 01:21:52.234]  And Trump is consolidating control of the executive like he's supposed to do.
[01:21:52.614 --> 01:21:55.657]  And the globalists are just getting more shrill, more insane.
[01:21:55.737 --> 01:21:58.260]  Congress just came out and said, no, there's no Russian collusion.
[01:21:58.760 --> 01:22:01.944]  There's actually collusion by Hillary, Nunes says, which we all know about.
[01:22:03.387 --> 01:22:04.948]  Back in the day, the New York Times admitted that.
[01:22:04.988 --> 01:22:05.949]  You know, real bona fide.
[01:22:05.969 --> 01:22:07.130]  Hey, uranium for money.
[01:22:07.570 --> 01:22:08.791]  Put it in my private bank account.
[01:22:09.232 --> 01:22:10.513]  And put it in Podesta's bank account.
[01:22:11.754 --> 01:22:16.517]  And so, Brittany Pettibone is an investigative journalist, calls herself a nationalist.
[01:22:17.038 --> 01:22:20.380]  And that's exactly what I am, is just somebody that wants to have their own sovereignty.
[01:22:21.301 --> 01:22:22.922]  And she's joining us right now.
[01:22:23.002 --> 01:22:28.206]  She got basically put in prison for three days with her boyfriend who's going to speak at Speaker's Corner.
[01:22:29.127 --> 01:22:31.428]  They said, well you can't speak at the speaker's corner, you're inciting problems.
[01:22:31.808 --> 01:22:34.069]  Even though his speech was known, it was a pro-free speech speech.
[01:22:34.109 --> 01:22:37.191]  She wasn't allowed to talk to Tommy Robinson, trying to talk to a reporter.
[01:22:37.271 --> 01:22:41.652]  And then Laura Southern also got grabbed, separately coming in, because she's a racist, they just said.
[01:22:41.753 --> 01:22:46.675]  So, and Michael Savage can't come in, because he says Islam isn't a religion of peace.
[01:22:46.735 --> 01:22:48.836]  And Sadiq Khan says Trump can't come in.
[01:22:49.736 --> 01:22:51.057]  This is an amazing time to be alive.
[01:22:51.077 --> 01:22:53.618]  So Brittany Pettibone, in the six, seven minutes we have left,
[01:22:54.494 --> 01:22:56.638]  Where do you see this fight going?
[01:22:57.520 --> 01:22:58.903]  Marie Le Pen facing prison.
[01:22:59.163 --> 01:23:01.268]  She's the frontrunner, of course, in the French elections for saying it.
[01:23:02.570 --> 01:23:03.732]  So where do you see all this going?
[01:23:05.541 --> 01:23:14.926]  I see this being determined by enough people deciding to stand up and take a stand with us, because obviously we can't do this by ourselves.
[01:23:15.406 --> 01:23:22.070]  So if enough people in the Western world will just say, just get over their fear.
[01:23:22.150 --> 01:23:25.112]  Stop living in this mental prison.
[01:23:26.148 --> 01:23:28.430]  In, you know, basically having no ideological freedom.
[01:23:28.770 --> 01:23:33.072]  If they can find the courage to do this, I think then we will be okay.
[01:23:33.513 --> 01:23:38.276]  But it's just, like, even after what happened in the UK, I still don't believe the UK is lost.
[01:23:38.336 --> 01:23:44.780]  And it really perturbs me when people say that, you know, France is lost, the UK is lost, Sweden's lost, Germany's lost, whatever.
[01:23:45.380 --> 01:23:45.880]  Not yet.
[01:23:46.340 --> 01:23:47.341]  There's still a chance.
[01:23:47.561 --> 01:23:50.543]  So I think that it's going to come down just to the average people.
[01:23:51.444 --> 01:23:55.206]  And if they're not willing to do that in time, then
[01:23:56.274 --> 01:23:57.515]  You know, we just might be lost.
[01:24:00.596 --> 01:24:01.536]  You're absolutely right.
[01:24:01.616 --> 01:24:18.864]  If we don't start recognizing the draconian, authoritarian, those aren't just words, those are real things, that this is the death of the West, free speech, the right to defense, and an open alliance with the UN, the globalists, the Vatican, radical Islam, the communist Chinese, and Hollywood.
[01:24:18.884 --> 01:24:19.605]  But like you said,
[01:24:20.900 --> 01:24:28.751]  I'm not bragging when I say this, when I go to my children's school, and when I go to other schools, whether having school events or sporting events,
[01:24:29.730 --> 01:24:30.470]  I get mobbed.
[01:24:32.051 --> 01:24:33.112]  And the kids love me.
[01:24:33.913 --> 01:24:35.153]  And college folks love me.
[01:24:35.193 --> 01:24:41.517]  And it's weird because I've always been targeting the military, the police, the government, trying to wake them up to the globalist takeover.
[01:24:41.537 --> 01:24:42.498]  We're having success there.
[01:24:42.718 --> 01:24:46.180]  Because they know our info is accurate because they're inside there and then they know what to look for.
[01:24:46.200 --> 01:24:47.361]  A lot of them know more than I do.
[01:24:47.621 --> 01:24:48.721]  But it's collaborative effort.
[01:24:49.522 --> 01:24:50.683]  But the youth
[01:24:51.903 --> 01:24:54.685]  It's just devastating, and the globalists admit that's what they're so scared of.
[01:24:54.705 --> 01:25:02.951]  So if a 44-year-old guy like me, and I know you guys are popular, Paul Watson's super popular, Gavin McGinnis, they are the rock stars.
[01:25:03.011 --> 01:25:07.533]  It's not the sports players, it's not even, you know, the pop singers anymore.
[01:25:07.654 --> 01:25:11.316]  It is the Liberty Movement, and that is just, to me, really weird.
[01:25:11.516 --> 01:25:16.519]  But they admit that this new Generation Z is the most anti-authoritarian, most libertarian ever.
[01:25:16.820 --> 01:25:18.401]  Now the one after them,
[01:25:19.221 --> 01:25:20.702]  The millennials are the most communist.
[01:25:21.222 --> 01:25:27.304]  So what do you think is going on there, Brittany Pettybone?
[01:25:27.404 --> 01:25:32.826]  Our education system is completely flooded with these people, these communists, socialists.
[01:25:33.206 --> 01:25:47.152]  You know, someone once suggested to me, and I think it's a great idea, they should start a reality show where they, you know, bring these people who are so in favor of communism, socialism, drop them into these countries where it's actually a reality and just see how they do.
[01:25:47.796 --> 01:25:48.817]  It would be hilarious.
[01:25:48.997 --> 01:25:51.899]  I would watch, for the first time, reality TV if they did that.
[01:25:52.419 --> 01:25:55.261]  I think these people really don't understand what they're asking for.
[01:25:55.301 --> 01:25:59.503]  I think it's more like, oh, you know, I'd get free college, I'd get free healthcare, but they just, they don't understand.
[01:25:59.543 --> 01:26:08.068]  And you can spin the wheel and say, are you going to go to Cuba, Venezuela, North Korea, or, you know, perhaps, and then, oh, you're going, it's going to be great.
[01:26:08.088 --> 01:26:17.254]  And notice they've always got skinny jeans, they've always got a nice phone, they're bitching because their car isn't brand new, they're getting their college paid for, and they're so pissed, and they hate America so much.
[01:26:18.345 --> 01:26:20.246]  And you know what's interesting, Alex, is like Antifa.
[01:26:20.266 --> 01:26:27.548]  You look at Antifa and you know they think they're these, you know, anarchists, they're rebelling against the authoritarian regime.
[01:26:27.668 --> 01:26:33.290]  But if you look at what they're trying to accomplish, the government is in exact alignment with it.
[01:26:33.550 --> 01:26:35.630]  They're trying to shut us down, so are the government.
[01:26:35.950 --> 01:26:40.752]  So if you really think about it, they're just the foot soldiers for the government.
[01:26:40.772 --> 01:26:42.272]  They are the brown shirts.
[01:26:42.693 --> 01:26:43.673]  They're the modern brown shirts.
[01:26:46.136 --> 01:26:48.018]  It's really laughable that they can't see this.
[01:26:48.038 --> 01:26:50.280]  They don't have enough self-awareness to see this.
[01:26:50.680 --> 01:26:54.324]  But I mean, this whole thing that's happened to us, we are going to appeal it.
[01:26:54.384 --> 01:26:56.045]  Lauren is joining me in Vienna.
[01:26:56.465 --> 01:27:02.751]  Within the next couple days, we're all going to work with the same lawyer, Martin, Lauren and I, and we're going to appeal this, try to get it overturned.
[01:27:02.791 --> 01:27:09.377]  Well, it's going to be a big fight, I think a battle ahead, but we're going to do what we can because it's completely unjust what's happened to you.
[01:27:09.377 --> 01:27:17.762]  Well, since the media is trying to say it never happened, you ought to just come in with your live streaming at the airport, walk right up, have them throw, and then, you know, they'll say that doesn't exist.
[01:27:18.262 --> 01:27:20.923]  But again, Sadiq Khan and others are saying, don't let Trump come.
[01:27:23.105 --> 01:27:25.346]  Yeah, and there's no good reason for that at all.
[01:27:25.646 --> 01:27:27.587]  I don't even understand the reasoning behind this.
[01:27:27.607 --> 01:27:29.088]  He's the President of the United States.
[01:27:30.869 --> 01:27:31.549]  It's amazing.
[01:27:31.630 --> 01:27:35.632]  Well, we're going to put on screen that Michael Savage has been banned, what, seven years he's been banned from the UK?
[01:27:37.054 --> 01:27:37.374]  Yes.
[01:27:38.235 --> 01:27:43.321]  I actually believe that Lauren will be speaking with him soon about her band, so that should be a very interesting interview.
[01:27:43.402 --> 01:27:46.405]  But Michael Savage, yeah, I've been a fan for a while through my father.
[01:27:46.485 --> 01:27:47.266]  He introduced me.
[01:27:47.987 --> 01:27:48.287]  Really great.
[01:27:49.594 --> 01:27:53.256]  All right, well, Brittany Pettybone, it's great to get you on, I'm familiar with your work.
[01:27:53.296 --> 01:28:01.440]  Please come on anytime you've got breaking news, and I just, it's really a pleasure to see the great job you and your boyfriend are doing, and Lauren Southern, and the whole team.
[01:28:01.700 --> 01:28:09.404]  We just want to salute you, and I think the more they try to suppress all of our speech, I think more great minds like yourself are going to come forward.
[01:28:09.644 --> 01:28:12.886]  What do you think of the first CIA director being a woman, being appointed by Trump?
[01:28:14.066 --> 01:28:21.289]  It's hilarious, but I think they're finding ways to still criticize him for this.
[01:28:21.469 --> 01:28:22.950]  He can do nothing right.
[01:28:22.970 --> 01:28:26.911]  If he found the cure for cancer, they'd find some way to criticize that.
[01:28:27.231 --> 01:28:29.452]  Alright, Brittany Pettibone, thank you so much.
[01:28:29.492 --> 01:28:30.773]  Thanks so much, Alex.
[01:28:31.013 --> 01:28:31.473]  Thank you.
[01:28:31.793 --> 01:28:32.273]  Godspeed.
[01:28:32.333 --> 01:28:33.194]  Wow, that's amazing.
