[00:00:29.647 --> 00:00:50.156]  I'm watching the midterms, then you would think our country is Mad Max Thunderdome.
[00:41:01.194 --> 00:41:04.756]  And let me tell you something, it isn't about groveling at Trump's feet or being sycophantic.
[00:41:05.016 --> 00:41:11.259]  It's about thanking God we've got somebody that's willing to stand up against the lies, the tyranny, the oppression, and turn things around.
[00:41:12.400 --> 00:41:15.601]  But there's a path to victory if we lose tomorrow.
[00:41:16.342 --> 00:41:18.403]  There's a path to victory if we win tomorrow.
[00:41:19.346 --> 00:41:24.730]  There's a path to fail if we win tomorrow, and there is a path to fail if we lose tomorrow.
[00:41:25.510 --> 00:41:32.014]  And that's what we better be thinking about, is grand strategy, grand aim, what our goal is, where we're going, not just this battle.
[00:41:33.015 --> 00:41:34.276]  Grand strategy is key.
[00:41:34.556 --> 00:41:39.139]  They always want to keep you down in the mud, looking at the latest little problem.
[00:41:39.520 --> 00:41:40.260]  Those are important.
[00:41:40.280 --> 00:41:41.341]  Look at them, take care of them.
[00:41:41.541 --> 00:41:43.082]  But look at where they're coming from.
[00:41:43.322 --> 00:41:44.563]  Look at who the enemy is.
[00:41:44.803 --> 00:41:46.004]  Look at how the enemy ticks.
[00:41:46.424 --> 00:41:47.505]  Look at how we're going to defeat them.
[00:41:49.139 --> 00:42:02.807]  And the best way to defeat them is to point out that they're a bunch of offshore mega-globalists, tax-exempt, above the law, who've committed more crimes than anybody can ever imagine, who are totally ruthless, and everyone is insane if we put up with it.
[00:42:03.688 --> 00:42:09.071]  Now, we had one of the biggest sales, if not biggest sales in our history, because they're trying to take our payment processors and shut us down.
[00:42:09.091 --> 00:42:10.452]  They haven't been able to do that yet.
[00:42:10.492 --> 00:42:11.433]  They took five of the six.
[00:42:12.455 --> 00:42:16.496]  I got a backup, but we're still, you know, redlining here.
[00:42:16.996 --> 00:42:29.838]  And so I need to sell out a lot of the products that we had that had been developed and packaged and prepared for the Christmas sale, the Black Friday sale and more.
[00:42:30.478 --> 00:42:31.778]  It was a very successful sale.
[00:42:31.818 --> 00:42:34.699]  We sold out a lot of things or came very, very close to it.
[00:42:34.999 --> 00:42:40.960]  But the items we do have, I'm now going to offer an even bigger discount, but it's only going to run through
[00:42:42.518 --> 00:42:50.560]  Next week, and ladies and gentlemen, that's the InfoWars 67% off blowout sale.
[00:42:50.620 --> 00:42:52.001]  Most of these are lost leaders.
[00:42:52.301 --> 00:43:07.585]  Silver Bullet, Super Mel Vitality, Brain Force, Survival Shield X3, Alexa Pure Water Filtration Systems, they all are between 67... An energized quantum state.
[00:43:09.005 --> 00:43:11.406]  Or an energized atomic state.
[00:43:12.239 --> 00:43:12.880]  What does that mean?
[00:43:13.961 --> 00:43:15.302]  It means it's pure.
[00:43:16.283 --> 00:43:23.430]  And it means the properties of what it does in the body in interaction with other properties is pure.
[00:43:24.270 --> 00:43:25.892]  It's unadulterated.
[00:43:25.912 --> 00:43:26.492]  It's original.
[00:43:26.733 --> 00:43:27.874]  It's first generation.
[00:43:29.469 --> 00:43:40.538]  This has been quite a quest for Infowars when we discovered that there's a whole UN world government plan to remove even crappy forms of iodine out of food so that people can't absorb it.
[00:43:40.598 --> 00:43:46.283]  When I say crappy forms, I mean types that are bound to other elements so your body doesn't get absorption.
[00:43:47.103 --> 00:43:52.788]  This is an essential element in the body, just like vitamin C, just like oxygen, just like water.
[00:43:53.951 --> 00:44:07.561]  At first, doing research, we got the best seaweed base, but it was still weak, and we had issues with supply, and then leftists found out six years ago that we were involved, that it was Infowars, so they cut us off.
[00:44:08.322 --> 00:44:16.348]  And then we came into X2 that was from oil and gas drilling at about 7,000 to 12,000 feet, getting pure crystals for truly pure iodine.
[00:44:16.368 --> 00:44:19.210]  We had to go through the DEA to get it, all these controls.
[00:44:20.247 --> 00:44:24.858]  Then the oil companies caught on that we were getting it, and they tried to jack up prices and cause us problems.
[00:44:24.898 --> 00:44:28.247]  And I didn't want to raise prices, so I cut my contract off with them.
[00:44:29.273 --> 00:44:36.778]  And we went out and did a huge industry research and found out we could get the same deep earth crystals, probably even purer.
[00:44:36.818 --> 00:44:39.280]  You're talking about like 9, 9, 9, 9, 9, you know, percent pure.
[00:44:40.641 --> 00:44:47.826]  And then the chemists and others explained to us that you need other types of basic iodine to make sure it gets fully absorbed.
[00:44:47.866 --> 00:44:50.108]  So this has all three types of iodine.
[00:44:51.525 --> 00:45:01.052]  And then it's got a tiny amount of vitamin C that doesn't let it oxidize and basically keeps it in its energetic state, or its quantum state, its atomic state.
[00:45:01.273 --> 00:45:07.837]  And again, atomic doesn't mean radioactive, that just means it's pure on the periodic table.
[00:45:07.897 --> 00:45:08.698]  This is X3.
[00:45:09.299 --> 00:45:10.580]  I am so excited about X3.
[00:45:12.827 --> 00:45:17.989]  Out of the gate, we're bringing it to you at 50% off in the 1 oz and 2 oz bottles.
[00:45:18.609 --> 00:45:20.150]  Now we didn't have X2 in a 2 oz bottle.
[00:45:20.170 --> 00:45:22.690]  We do for X3 so you can stock up on it.
[00:45:24.271 --> 00:45:27.012]  It really is beyond game changing.
[00:45:27.092 --> 00:45:30.313]  It's essential.
[00:45:30.333 --> 00:45:36.495]  Survival Shield X3, nascent tri-iodine in 2 oz and in 1 oz bottles.
[00:45:37.035 --> 00:45:41.677]  Now you don't just get a key element that's essential to human life on this planet.
[00:45:42.995 --> 00:45:47.518]  You also fund an operation that's promoting the First Amendment, the Second Amendment, the whole nine yards.
[00:45:47.818 --> 00:46:00.868]  I mean, quite frankly, I've got all these scientific documents and all these notes from chemists and all these facts, but I'm just going to tell the viewers, just like our information has changed the world, just like it pisses the establishment off, anything I'm going to bring you is the very best.
[00:46:01.508 --> 00:46:02.649]  It's like any of our products.
[00:46:02.669 --> 00:46:04.410]  I'm like, what is the top product?
[00:46:04.490 --> 00:46:05.491]  What is the best tested?
[00:46:05.771 --> 00:46:07.072]  What is absolutely highest rated?
[00:46:07.593 --> 00:46:11.636]  I want to put a formula out stronger and better and lower the price.
[00:46:12.356 --> 00:46:13.436]  We're always innovating.
[00:46:13.476 --> 00:46:14.477]  We're always researching.
[00:46:15.117 --> 00:46:25.420]  But quite frankly, it's been oppression and it's the people trying to block our supply chain that made us go out and really do the hard work to discover what is the very best documented form of iodine.
[00:46:26.060 --> 00:46:31.722]  And it's all three types fused together, energized by a small amount of vitamin C that stabilizes it.
[00:46:32.802 --> 00:46:36.143]  Three forms of iodine is better than one.
[00:46:37.111 --> 00:46:39.313]  And so, that's why X3 is so amazing.
[00:46:39.813 --> 00:46:46.980]  That's why all the results we've got and the trials we have with the crew and others are so breathtakingly cool.
[00:46:47.060 --> 00:46:53.185]  If you liked X2, you're gonna love X3 at InfoWarsLife.com.
[00:46:53.525 --> 00:46:54.106]  The next level.
[00:47:05.372 --> 00:47:07.963]  You're listening to The Alex Jones Show.
[00:47:26.935 --> 00:47:31.397]  Rallying patriots worldwide in defense of human liberty.
[00:47:31.777 --> 00:47:34.879]  You're listening to the Alex Jones Show.
[00:47:35.979 --> 00:47:40.021]  In less than 20 hours, polls will begin opening on the East Coast.
[00:47:40.902 --> 00:47:45.744]  In about 20 hours, they'll open in the middle of the country, Central Time.
[00:47:46.304 --> 00:47:47.945]  Then Mountain, then Pacific.
[00:47:49.126 --> 00:47:49.546]  And by...
[00:47:51.667 --> 00:47:56.410]  Midnight tomorrow night, we'll have a very good chance about who's holding the House and Senate.
[00:47:57.110 --> 00:48:04.415]  Except some of these races are so close, there's a couple of run-offs coming up in a few months that may actually decide it.
[00:48:05.215 --> 00:48:12.020]  This is going to be hard fought, and that's my big message that I'm going to be launching with Roger Stone in studio next hour.
[00:48:13.300 --> 00:48:18.804]  Is even if we win, it was by overcoming massive fraud, and we must
[00:48:20.126 --> 00:48:21.267]  Demand recounts.
[00:48:21.387 --> 00:48:32.456]  We must demand investigations of election meddling by Beto O'Rourke and all the Soros money he got and the foreign money he got and aiding the caravan.
[00:48:33.537 --> 00:48:44.706]  And we must expose the big tech censorship that by blocking Republicans and others being able to advertise on Facebook but letting Democrats advertise is a total Federal Elections Commission violation.
[00:48:46.345 --> 00:49:02.977]  And thank God we've got Trump, because they're signaling in the news today, and this is coming up as well, antitrust investigations, that is in CNBC, against Big Tech, Amazon, and others, ladies and gentlemen.
[00:49:03.817 --> 00:49:06.599]  So this is one hell of a fight we're in.
[00:49:07.340 --> 00:49:09.561]  It's our moral duty, it's our responsibility.
[00:49:10.461 --> 00:49:18.466]  To have hearings about election meddling by the Chi-Coms, funding Hollywood, funding four-page ads, full-page ads, radio ads, TV ads.
[00:49:18.926 --> 00:49:20.527]  They're doing it publicly!
[00:49:21.888 --> 00:49:22.988]  We have them!
[00:49:24.389 --> 00:49:26.891]  They've gone so far, it's just incredible.
[00:49:27.571 --> 00:49:32.214]  And then, next hour with Roger Stone, I'm going to talk about
[00:49:33.342 --> 00:49:40.125]  Some of these other articles I have, dim candidate Georgians might have to turn their guns in, close quote.
[00:49:40.786 --> 00:49:45.808]  That's a Kent Daniels, newswars.com, infowars.com article.
[00:49:47.649 --> 00:50:00.155]  Also, even mainstream media is now reporting that hundreds and hundreds and hundreds of quote, former CIA people all ran in the midterms against Republicans.
[00:50:01.189 --> 00:50:08.635]  That they all had in state and federal elections bizarre homeland security support and bizarre foundation support.
[00:50:09.015 --> 00:50:21.484]  Because the country is in a civil war against loyal Americans and globalist collaborators who are actively working to destroy this country and capture it.
[00:50:22.385 --> 00:50:23.446]  They see us as weak.
[00:50:24.026 --> 00:50:25.467]  They see themselves as a cartel.
[00:50:26.562 --> 00:50:37.992]  And they have made the decision to end free market, to end America, to end the Republic, and to basically become the new political party, the inner party, like they have in Communist China.
[00:50:38.512 --> 00:50:46.879]  Not of the Democrats, but of the deep state, of the bureaucracy, and set up a permanent bureaucratic dictatorship in this country.
[00:50:48.280 --> 00:50:50.702]  Of course, you all know it as the swamp.
[00:50:51.559 --> 00:50:54.623]  Mike Adams has written an extremely critical article that must go viral.
[00:50:55.064 --> 00:51:04.596]  I'm not sure the headline is strong enough, but win or lose, it's time for America to push back against the incivility, lawlessness, and fraud of the political left.
[00:51:04.897 --> 00:51:05.758]  Very strong headline.
[00:51:06.869 --> 00:51:12.592]  But really what we're talking about is, win or lose, Democrats aren't Americans.
[00:51:13.273 --> 00:51:21.957]  Democrats are an anti-American party working with foreign multinational interests and must be met head-on and smoked out of their holes politically.
[00:51:22.718 --> 00:51:33.504]  They've got to be sued, they've got to be indicted, they've got to be, and believe me, you know, I know who gave us the shutdown of our banking and our
[00:51:35.918 --> 00:51:38.601]  And the lawyers have looked at it.
[00:51:38.761 --> 00:51:50.031]  It's open and shut criminal activity by a large financial institution that controls not the credit score for the average person, but a secret credit scoring for companies.
[00:51:50.552 --> 00:51:52.914]  And we had perfect score.
[00:51:53.294 --> 00:51:54.516]  No one, almost no one has it.
[00:51:54.776 --> 00:51:55.136]  We had a 99.999.
[00:51:55.376 --> 00:51:59.560]  I'm going to be announcing this soon and I'm going to sue them.
[00:52:00.181 --> 00:52:01.222]  So I'm just giving them a heads up.
[00:52:03.840 --> 00:52:11.890]  And they decided to put in there the designation of hate, something that wasn't even in their system before, and then that gives us a zero.
[00:52:13.100 --> 00:52:13.440]  That's right.
[00:52:13.920 --> 00:52:26.927]  Infowars has zero credit because a criminal group in the deep state associated with intelligence agencies treated me like a foreign government and put sanctions on us saying, do not do business with us.
[00:52:27.347 --> 00:52:30.089]  I think the president's going to be very interested in this.
[00:52:30.829 --> 00:52:32.750]  Congress is going to be very interested in this.
[00:52:33.590 --> 00:52:36.572]  And you're going to pay.
[00:52:36.592 --> 00:52:37.993]  You're going to pay.
[00:52:39.213 --> 00:52:40.154]  Oh, I forgot the best part.
[00:52:42.315 --> 00:52:44.537]  We have moles inside these groups, that's why we know this.
[00:52:45.718 --> 00:52:56.308]  They're really freaked out because they're saying, oh yes, next we're going to roll it out against the NRA, and against conservatives in general, and against Christians, and against anybody who's pro-America.
[00:52:56.728 --> 00:52:59.010]  You won't be able to get a bank account.
[00:52:59.811 --> 00:53:00.672]  And they're going to do it!
[00:53:01.412 --> 00:53:06.076]  They think they're just going to roll this out and literally put you on the street.
[00:53:07.418 --> 00:53:08.559]  That's called dictatorship.
[00:53:09.557 --> 00:53:16.419]  And all because they define you as hate, they put it into this system that only the banks and financial systems see.
[00:53:16.439 --> 00:53:34.162]  I'll be announcing it all soon, but we have to have documentaries and films, we have to have ads, we have to have lawsuits with it showing it all, because we have to really get this all ready for Congress and the President and everybody to take strong, decisive action, because this is seriously criminal.
[00:53:35.263 --> 00:53:36.243]  Seriously criminal.
[00:53:37.264 --> 00:53:44.366]  Now there's been some big judgments for companies and groups that claim that companies and things don't have value that they don't, just to be mean.
[00:53:44.426 --> 00:53:47.687]  That's called espionage.
[00:53:48.607 --> 00:53:51.888]  And so, this is so wide-reaching.
[00:53:51.948 --> 00:53:55.789]  It's the Chinese social score in one fell swoop.
[00:53:58.130 --> 00:54:04.572]  In one fell swoop, they intend to cut off conservatives, Christians, libertarians, veterans, you name it.
[00:54:06.087 --> 00:54:12.312]  And they've even got a plan to then drive you into the hands of another group, but then they're gonna rip you off and charge you extra money.
[00:54:12.532 --> 00:54:18.437]  So they've got a whole plan ready, and the whole plan's gonna come down, and I expect people will probably go to jail after this.
[00:54:19.478 --> 00:54:27.984]  But again, these criminals have been getting along, you know, getting away with this for so long, they think that they are invincible.
[00:54:29.466 --> 00:54:32.268]  They think that they are unstoppable.
[00:54:33.871 --> 00:54:35.491]  They think that they're God.
[00:54:35.671 --> 00:54:41.973]  They think they're going to go on forever, and ever, and ever.
[00:54:43.093 --> 00:54:45.674]  And that is just not the case, ladies and gentlemen.
[00:54:47.134 --> 00:54:49.115]  So, this is what criminals always do.
[00:54:49.175 --> 00:54:58.497]  They push, and they push, and they push, and they push, and they push, and they push, and they get away with it, and they get away with it, and they get away with it, and they get away with it, and finally,
[00:55:00.600 --> 00:55:06.401]  They can't believe that the people turn against them and don't care what they say or don't care what they do or don't care how much intimidation there is.
[00:55:06.481 --> 00:55:07.662]  They stand against them.
[00:55:09.022 --> 00:55:15.364]  So coming up, I'm going to play about 10 minutes or so of election night two years ago, where I said, get ready for the big assault.
[00:55:15.864 --> 00:55:16.824]  Get ready for lawlessness.
[00:55:16.884 --> 00:55:21.045]  And Roger Stone is going to be joining us in studio.
[00:55:21.065 --> 00:55:22.625]  And we've got a bunch of other big guests.
[00:55:22.645 --> 00:55:25.166]  We're going to be broadcasting until midnight tonight.
[00:55:26.817 --> 00:55:28.679]  And then tomorrow with David Knight at 8 a.m.
[00:55:28.719 --> 00:55:42.295]  we kick off with live InfoWars coverage of the midterm elections and then we go right through Tuesday into the early morning hours as late as we have to go into Wednesday.
[00:55:43.303 --> 00:55:45.025]  And, you know, we always do this for other elections.
[00:55:45.045 --> 00:55:46.786]  This one's so important I overlooked it.
[00:55:47.367 --> 00:55:49.849]  But I guess today we'll just make an election page.
[00:55:49.869 --> 00:55:52.691]  We already have InfoWars.com forward slash show.
[00:55:53.292 --> 00:55:58.076]  We already have the daily article we put out at InfoWars.com and NewsWars.com.
[00:55:58.416 --> 00:56:03.420]  And we can pull that up that, you know, says one day left to countdown to historic election.
[00:56:03.460 --> 00:56:06.163]  And that's got the live audio and live video feeds in it.
[00:56:06.223 --> 00:56:09.366]  But regardless, just let your friends, your neighbors, your family,
[00:56:09.986 --> 00:56:22.270]  Your community know that they can go to Infowars.com and get the censored coverage of what's really going on and then find out about fighting back against all of this.
[00:56:25.871 --> 00:56:29.792]  Regardless of whether we win or lose, we've got to go after them for what they've done.
[00:56:34.293 --> 00:56:39.455]  So now, because I didn't do a very good plug last segment, before we start the next hour, I'm going to
[00:56:40.592 --> 00:56:41.573]  I'm going to do it now.
[00:56:42.613 --> 00:56:48.557]  Ladies and gentlemen, we have the biggest sale in our history on limited items.
[00:56:48.637 --> 00:56:53.280]  It does not top the biggest sale we've ever engaged in, period.
[00:56:53.900 --> 00:56:57.682]  And I've lost my piece of paper because I'm just losing everything here, let me tell you.
[00:56:58.963 --> 00:57:01.064]  But there it is at Infowarstore.com.
[00:57:01.084 --> 00:57:03.766]  67% out total blowout sale.
[00:57:08.458 --> 00:57:10.688]  On the highest quality colloidal silver out there.
[00:57:11.752 --> 00:57:14.513]  This is all for $29 at Whole Foods with another label on it.
[00:57:14.533 --> 00:57:15.754]  We normally sell for $19.95.
[00:57:16.454 --> 00:57:18.355]  It's 67% off right now.
[00:57:18.895 --> 00:57:21.657]  We also have Super Metal and Super Female Vitality, the final run of that.
[00:57:22.217 --> 00:57:27.580]  Even though it would take me a long time to sell out of it, we've got it at 57% off because I just want to move it out.
[00:57:27.600 --> 00:57:33.883]  50% off on RainForce Plus, a big discount on Alexa Pure, water filtration, and so much more.
[00:57:33.903 --> 00:57:38.345]  And your purchases all make the broadcast and what we do here possible.
[00:57:39.185 --> 00:57:45.369]  So again, Infowarsstore.com, Infowarslife.com, or 888-253-3139.
[00:57:45.650 --> 00:57:47.031]  Next hour, only two minutes away.
[00:57:52.174 --> 00:57:52.695]  Look at that.
[00:57:52.715 --> 00:57:55.437]  Everybody else is just like yellow or clear.
[00:57:55.477 --> 00:57:57.758]  That's because it's been denatured, it's been watered down.
[00:57:57.798 --> 00:57:58.779]  We didn't do that.
[00:58:00.461 --> 00:58:04.562]  You think I would metaphysically tell you something that is the very best I can get?
[00:58:04.982 --> 00:58:06.643]  I'd rather go to hell than do that.
[00:58:07.223 --> 00:58:15.765]  I will only give you the maximum best info, the maximum truth, the maximum product, because I want that goodwill!
[00:58:16.245 --> 00:58:17.925]  What I do to you, I do to myself.
[00:58:17.986 --> 00:58:19.086]  Don't you get the big secret?
[00:58:19.766 --> 00:58:22.287]  You ever seen fish oil look like that?
[00:58:22.327 --> 00:58:23.427]  No, you've never seen that, have you?
[00:58:24.207 --> 00:58:27.128]  And this little jewel right here is solid.
[00:58:29.955 --> 00:58:31.296]  Liquid consciousness.
[00:58:34.700 --> 00:58:35.040]  Look it up.
[00:58:36.161 --> 00:58:36.662]  Find out.
[00:58:38.704 --> 00:58:42.167]  How even the FDA and the government admits fish oil is incredible.
[00:58:42.207 --> 00:58:47.072]  The number one thing anybody can do for themselves is take the fish oil or krill oil.
[00:58:47.533 --> 00:58:49.735]  Just like our information is dynamite, so are our products.
[00:58:49.795 --> 00:58:50.636]  InfoWareStore.com.
[00:58:51.727 --> 00:58:57.449]  For months and months and months, CNN, BuzzFeed and others lobbied to have Alex Jones removed from social media.
[00:58:57.749 --> 00:59:01.771]  He was removed from basically all the major social media platforms apart from Twitter.
[00:59:02.211 --> 00:59:04.412]  And then they said, oh, you're not being banned.
[00:59:04.432 --> 00:59:06.572]  You still have a platform on Twitter.
[00:59:06.912 --> 00:59:08.913]  You still have an app in the App Store.
[00:59:09.433 --> 00:59:09.693]  Boom!
[00:59:09.974 --> 00:59:12.234]  Banned by Twitter, banned by the App Store.
[00:59:12.575 --> 00:59:14.135]  Oh, but you still have a website.
[00:59:14.195 --> 00:59:16.016]  You still have InfoWars Store.
[00:59:16.076 --> 00:59:17.196]  You still have a shopfront.
[00:59:17.376 --> 00:59:18.177]  And then what do we see?
[00:59:18.457 --> 00:59:19.197]  Washington Post.
[00:59:19.777 --> 00:59:22.898]  Oh my god, traffic to Alex Jones' InfoWars store has increased by 50%!
[00:59:24.258 --> 00:59:27.379]  Maybe now we should look at that all the way down the line.
[00:59:27.399 --> 00:59:30.240]  They literally want to sabotage people's right to commerce.
[00:59:30.540 --> 00:59:35.942]  They will not stop, which is why we need your support right now by getting the products at InfoWarsStore.com.
[00:59:36.262 --> 00:59:43.244]  And again, we're not funded by giant fat checks from George Soros, like Media Matters is, to fund these de-platforming campaigns.
[00:59:43.584 --> 00:59:46.965]  We're not funded by Dolph State dictatorships, like CNN is,
[00:59:47.245 --> 00:59:50.752]  We're only funded by you, by getting the products at Infootballstore.com.
[01:00:27.694 --> 01:00:33.777]  Well, it's November 5th, 2000 at 18, and I'm your host, Alex Jones.
[01:00:33.817 --> 01:00:41.002]  We are less than 20 hours out from the polls opening tomorrow on the East Coast.
[01:00:42.943 --> 01:00:45.544]  We're going to have live coverage right through to the middle of the night.
[01:00:46.485 --> 01:00:55.670]  There's a good chance we won't know who the winners are until one or two in the morning, and it could even go longer than that because there are reports coming in
[01:00:58.575 --> 01:01:21.487]  We're going to be looking at here coming up that there are some runoff elections coming up that if the margin is basically a dead heat, then it may be a few months with these runoff elections coming until we find out exactly who the winner is going to be.
[01:01:21.527 --> 01:01:22.308]  But I'll tell you this.
[01:01:25.109 --> 01:01:26.250]  We've come from nowhere.
[01:01:28.231 --> 01:01:29.951]  Exposing the entire globalist system.
[01:01:31.932 --> 01:01:44.614]  And people would talk about the New World Order 30 years ago, 20 years ago, and people looked at you like you were a space alien, as corporate media had preconditioned everybody that it didn't exist.
[01:01:45.615 --> 01:01:56.657]  But now that people understand that this is all real, and world government's real, and that it's unelected, you've got prominent people all over the planet saying, this is wrong.
[01:02:01.977 --> 01:02:06.879]  And so I know I keep going back to that same point.
[01:02:06.939 --> 01:02:09.239]  You know what I hate about this show is looking at myself.
[01:02:09.359 --> 01:02:10.200]  I can't do it anymore.
[01:02:10.780 --> 01:02:11.660]  I'm gonna have to go off air.
[01:02:13.020 --> 01:02:13.501]  It's me.
[01:02:14.621 --> 01:02:15.861]  I cannot look at myself.
[01:02:16.161 --> 01:02:16.542]  I hate it.
[01:02:16.602 --> 01:02:17.522]  I'm not a narcissist.
[01:02:18.002 --> 01:02:23.784]  And it's just I used to love radio because I could sit there and really think and go over and get in my thought process.
[01:02:24.704 --> 01:02:28.405]  And I wonder why do I am so happy and then I get here and I'm so upset every day.
[01:02:28.985 --> 01:02:30.006]  I'm just so upset.
[01:02:30.936 --> 01:02:33.578]  That's because I'm just looking at myself and all these cameras.
[01:02:33.598 --> 01:02:47.005]  We've got to figure out a way to like just put articles up most of the time or video up of something else because I'm having to direct my own show and I'm looking at myself in here and it's just driving me wild in a bad way.
[01:02:48.246 --> 01:02:49.647]  And it's just not tenable.
[01:02:49.787 --> 01:02:51.368]  I'm going to have to change the way the show works.
[01:02:52.315 --> 01:02:56.616]  Because I don't like looking at myself before, but I really don't now, you know what I mean?
[01:02:57.156 --> 01:03:01.998]  And then I gotta look at Hillary, and I gotta look at Michael Moore while I'm in here, and they gotta be beaten.
[01:03:02.378 --> 01:03:03.258]  They've gotta be stopped.
[01:03:03.398 --> 01:03:06.959]  But, at the same time, whoo!
[01:03:07.199 --> 01:03:08.380]  Katie bar the door!
[01:03:08.520 --> 01:03:10.901]  Just, you know, Calgon, take me away, man!
[01:03:11.161 --> 01:03:11.941]  Good God!
[01:03:11.961 --> 01:03:15.642]  I mean, there's just so... Here it is.
[01:03:20.768 --> 01:03:23.450]  It's the frustration that this should all just be so easy.
[01:03:24.951 --> 01:03:27.413]  We shouldn't let unelected... Yeah, let's look at him for now.
[01:03:28.134 --> 01:03:38.742]  That we shouldn't let unelected megabanks run our lives and create all this division and control us.
[01:03:38.802 --> 01:03:48.630]  And then it's so obvious that they've created these universities, these America-hating institutions to breed and create these giant nests of total morons
[01:03:50.834 --> 01:03:59.762]  And then now, we've got a large portion of the population that's been turned into these spoiled, rotten, leftist authoritarians.
[01:04:00.964 --> 01:04:05.668]  And they believed Hillary was supposed to be when they took over and finally got all their free goodies.
[01:04:06.229 --> 01:04:07.109]  And that didn't happen.
[01:04:07.410 --> 01:04:09.672]  So they're now on a giant conniption fit.
[01:04:13.314 --> 01:04:16.456]  Trying to stop the recovery because they don't want a recovery.
[01:04:16.796 --> 01:04:28.701]  They want to control every aspect of our lives and run us in the ground so they can dictate societal controls on us because that's what these control freaks crave more than anything on the planet.
[01:04:30.002 --> 01:04:30.662]  I kind of liked it.
[01:04:30.702 --> 01:04:31.723]  That's the new host of the show.
[01:04:33.044 --> 01:04:34.484]  He doesn't mind cameras being on him.
[01:04:34.524 --> 01:04:35.405]  He doesn't see anything.
[01:04:36.245 --> 01:04:37.206]  That's the new system.
[01:04:39.046 --> 01:04:39.587]  I'm serious.
[01:04:40.563 --> 01:04:45.385]  Large portions of the show will now be a Spartan bronze figure.
[01:04:46.865 --> 01:04:47.226]  That's it.
[01:04:47.246 --> 01:04:48.346]  We're going back to radio.
[01:04:48.866 --> 01:04:51.627]  I launched all this to dominate YouTube and stuff, but my God.
[01:04:51.647 --> 01:04:54.688]  There's only so much of my ugly fat face I can look at.
[01:04:55.349 --> 01:04:57.770]  It's election day, ladies and gentlemen, in 20 hours.
[01:04:57.810 --> 01:04:58.250]  Stay with us.
[01:05:02.915 --> 01:05:12.206]  The globalists know that if they suppress the good halogen and pump the environment full of the bad halogens, fluoride, chlorine, bromine, you name it, that it lowers IQ.
[01:05:12.246 --> 01:05:14.529]  It literally dumbs the population down.
[01:05:15.130 --> 01:05:21.217]  And on our quest to bring our listeners and viewers the best iodine in the world, we've gone through two permutations.
[01:05:21.878 --> 01:05:27.701]  First, seaweed-based iodine that was pretty good but hard to source, and the Globeless tried to block us getting a supply of it.
[01:05:28.161 --> 01:05:33.764]  So we discovered deep-earth crystals of pure nascent iodine and brought you X2 that's been incredible.
[01:05:34.485 --> 01:05:41.448]  Now, due to the Establishment trying to block that, we did more research and secured more of the deep-earth crystals of nascent iodine.
[01:05:42.589 --> 01:05:55.155]  Chemists, scientists, and others showed us the research that by combining it with three other compounds, two forms of iodine and vitamin C, it supercharges it and makes it even more bioavailable.
[01:05:55.655 --> 01:05:59.437]  Ladies and gentlemen, you want to research it, you want to see it, it's an incredible discovery.
[01:05:59.938 --> 01:06:02.719]  X3, now available at Infowarslife.com.
[01:06:06.941 --> 01:06:10.923]  You are listening to an Infowars.com Frontline Report.
[01:06:13.522 --> 01:06:17.645]  If you are receiving this transmission, you are the resistance.
[01:06:25.051 --> 01:06:33.638]  From deep in the heart of FEMA Region 6, Austin, Texas, transmitting worldwide, it's Alex Jones.
[01:06:34.919 --> 01:06:41.685]  We're 20 hours out, and President Trump says as soon as the midterms are over, whether they retain the House and Senate or not,
[01:06:43.035 --> 01:06:46.543]  He's looking very strongly at antitrust action against Amazon and Big Tech.
[01:06:47.084 --> 01:06:48.868]  Here he is being interviewed by Axios.
[01:06:49.884 --> 01:06:51.885]  Talk about what's been happening on social media.
[01:06:51.905 --> 01:06:56.187]  A lot of people questioning whether or not these companies are getting too big, too fast.
[01:06:56.227 --> 01:06:57.507]  Your Facebooks, your Amazons.
[01:06:57.788 --> 01:07:02.970]  Have you put thought into how Amazon and Facebook specifically should be regulated?
[01:07:03.390 --> 01:07:09.113]  You look at the European Union, they find, I guess it was Google, billions of dollars.
[01:07:10.053 --> 01:07:13.875]  And frankly, I don't like that they're doing that, because that's an American company.
[01:07:13.895 --> 01:07:15.416]  I don't think it's good that they're doing that.
[01:07:15.756 --> 01:07:18.097]  But if anybody does that, that should be us doing it.
[01:07:18.797 --> 01:07:20.658]  That shouldn't be the European Union.
[01:07:20.678 --> 01:07:22.019]  Do you think he'll regulate in the first term?
[01:07:22.279 --> 01:07:27.741]  You know, you get into the whole thing with freedom of speech and what do you think and... But what about monopoly?
[01:07:27.881 --> 01:07:29.602]  What about saying the Justice Department look into... Well, you do.
[01:07:29.642 --> 01:07:35.305]  You know, I have so many people saying that, but it's certainly something that we have looked at... Would you ever break them up?
[01:07:36.185 --> 01:07:37.546]  They were talking about this years ago.
[01:07:37.586 --> 01:07:44.489]  You know, they were actually talking about this same subject, monopoly, years ago, long before I was in office.
[01:07:44.509 --> 01:07:45.549]  You think you were the man to do it?
[01:07:45.570 --> 01:07:50.932]  In fact, a lot of people thought it was going to happen, and then I guess a previous administration stopped it from happening.
[01:07:50.952 --> 01:07:51.752]  But you're in charge now?
[01:07:52.333 --> 01:07:52.933]  I am in charge.
