[00:00:05.615 --> 00:00:07.376]  All right, my friends.
[00:44:28.268 --> 00:44:32.649]  Released in Texas alone in the year before, just because there's nowhere to hold them.
[00:44:33.049 --> 00:44:35.690]  And they're all illegal aliens.
[00:44:36.150 --> 00:44:37.530]  The 400,000 illegal alien felons.
[00:44:37.971 --> 00:44:39.931]  And it said thousands were Chinese and Arab.
[00:44:42.012 --> 00:44:45.092]  They told him that on Harsin's Island, which is in the middle of the St.
[00:44:45.132 --> 00:44:53.835]  Clair River, which is the border between the United States and Canada and Michigan, that they caught a bunch of Chinese with three million dollars and they all had automatic weapons.
[00:44:53.875 --> 00:44:55.355]  But he never heard anything about it on the news.
[00:44:56.440 --> 00:45:05.587]  I mean, I've talked to Border Patrol and it's even been in local news where they catch an 18-wheeler full of coke, feds show up and say it's ours, it's part of an operation.
[00:45:05.907 --> 00:45:08.349]  They just take the three tons of cocaine.
[00:45:09.370 --> 00:45:16.776]  But, I mean, they stripped our National Guard out of here, which is supposed to be our internal, in case something happens, they're supposed to be there to protect us.
[00:45:16.796 --> 00:45:18.837]  But now we have Marcus Wolfe, sir.
[00:45:19.878 --> 00:45:20.118]  Yeah.
[00:45:20.999 --> 00:45:23.381]  Now we have the Silver Fox, the former head of the Stasi.
[00:45:24.247 --> 00:45:26.749]  General Primakov from KGB, that they'll help.
[00:45:26.989 --> 00:45:28.810]  That's the wrong type of security, internal security.
[00:45:28.830 --> 00:45:30.812]  Well, now, sir, they're helping, they're our friends now.
[00:45:31.132 --> 00:45:31.392]  I know.
[00:45:31.952 --> 00:45:37.916]  But, uh, what I'm just trying to say is that... Are you unpatriotic to don't talk about the former Stasi chief helping?
[00:45:39.918 --> 00:45:40.818]  No, not really, Alex.
[00:45:40.958 --> 00:45:46.442]  Like I said, I don't need the Stasi, I don't need the KGB, I don't need the ex-Nazis, I don't need the... Well, I think you're pretty radical then.
[00:45:46.482 --> 00:45:48.563]  How dare you not want the former KGB here?
[00:45:48.844 --> 00:45:50.665]  Sir, the KGB's good.
[00:45:52.228 --> 00:46:00.214]  Well, what my point is, is that, like I said, there's also, I visited a website that people swore that the Chinese had been massing military forces south of the border.
[00:46:00.535 --> 00:46:02.336]  Now... Well, no swearing is needed.
[00:46:02.396 --> 00:46:06.599]  I've interviewed the head of the Border Patrol Union.
[00:46:06.800 --> 00:46:08.821]  I've interviewed Border Patrol officers.
[00:46:08.881 --> 00:46:13.405]  I mean, the head of the Border Patrol Union said it's a world government, new world order takeover of America.
[00:46:13.765 --> 00:46:19.770]  There's Chinese, Arabs, everything else you can imagine, but the thousands in one county alone in Arizona every week.
[00:46:22.020 --> 00:46:23.421]  I mean, they arrest them all the time!
[00:46:24.321 --> 00:46:29.163]  And yes, there have been Asian troops photographed along the border.
[00:46:29.644 --> 00:46:33.545]  But again, sir, so what if our government gave the Communist Chinese Panama Canal?
[00:46:33.866 --> 00:46:36.447]  So what if they're giving weapons to the Mexican government?
[00:46:36.467 --> 00:46:37.767]  So what if they're down there training?
[00:46:37.987 --> 00:46:38.728]  They're good!
[00:46:38.948 --> 00:46:40.148]  The KGB's good!
[00:46:40.349 --> 00:46:41.369]  The Stasi are good!
[00:46:41.569 --> 00:46:43.170]  The People's Liberation Army's good!
[00:46:44.048 --> 00:46:48.249]  What's bad is homeschoolers and Christians and conservatives and gun owners.
[00:46:48.409 --> 00:46:52.350]  That's right, they were just hammering on a .50 caliber rifle on 60 Minutes yesterday.
[00:46:52.370 --> 00:46:54.430]  Well, Arnold's conservative, he banned it!
[00:46:54.650 --> 00:46:57.070]  I know he banned it, and they're drumming the drumbeat now.
[00:46:57.090 --> 00:46:58.971]  Well, that's why he's conservative, sir!
[00:47:00.311 --> 00:47:02.111]  You've got to get your head screwed on straight.
[00:47:02.131 --> 00:47:02.712]  Thanks for the call.
[00:47:03.672 --> 00:47:05.012]  No, it's horrible.
[00:47:07.392 --> 00:47:10.293]  It's just absolutely, totally horrible what's happening.
[00:47:13.869 --> 00:47:17.830]  And people think Bush is this wonderful conservative.
[00:47:17.850 --> 00:47:19.911]  They're totally in the dark, and that's why we're in trouble.
[00:47:20.951 --> 00:47:24.173]  Let's talk to Jason in Arizona, then Sherry, Adam, and others.
[00:47:24.213 --> 00:47:25.193]  Go ahead, Jason.
[00:47:25.553 --> 00:47:27.554]  Hey, I got a quick little story for you and a question.
[00:47:27.574 --> 00:47:43.059]  I was engaged in a conversation with this, well, proclaimed Christian woman, and I was telling her about your documentary, Dark Seekers, Bohemian Grove, and telling her about the rituals that Bush and certain world leaders are engaged in.
[00:47:43.689 --> 00:47:45.410]  And she says, well, that's not true.
[00:47:46.531 --> 00:47:48.752]  He says he praises his White House staff every day.
[00:47:48.792 --> 00:47:52.454]  And I said, well, he tells you that, but this is the real deal.
[00:47:52.494 --> 00:48:01.799]  And I gave her a link to your website for Bohemian Grove, and she wouldn't look at it.
[00:48:02.340 --> 00:48:03.060]  Would not look at it.
[00:48:03.420 --> 00:48:09.124]  But my question to you was, when you were down there... Let me ask you a question.
[00:48:09.184 --> 00:48:11.305]  What was her excuse to not look at it?
[00:48:12.248 --> 00:48:14.270]  Uh, that it was just, uh, a bunch of lies.
[00:48:14.330 --> 00:48:18.213]  And I said, so you're the kind of person, uh, don't bother me with the facts.
[00:48:18.253 --> 00:48:19.394]  My mind is already made up.
[00:48:19.595 --> 00:48:20.976]  And she didn't have anything to say to that.
[00:48:20.996 --> 00:48:22.037]  And I said, take a look at it.
[00:48:22.477 --> 00:48:23.558]  I said, you're being lied to.
[00:48:23.578 --> 00:48:26.200]  I said, don't you want to be, uh, the truth?
[00:48:26.400 --> 00:48:28.182]  Well, you know, I said, this, this
[00:48:28.669 --> 00:48:32.830]  Documentary filmmaker Alex Jones infiltrated Bohemian Grove and got this on tape.
[00:48:32.870 --> 00:48:34.090]  I said, what more do you need?
[00:48:34.611 --> 00:48:39.792]  And my question to you was, when you were down... Well, I mean, she can type in George Bush, Bohemian Grove and get A.P.
[00:48:39.852 --> 00:48:45.573]  Reuters, Sacramento Bee, San Francisco Chronicle, The Press Democrat, Washington Times.
[00:48:46.013 --> 00:48:47.434]  I mean, she goes to the website.
[00:48:47.454 --> 00:48:52.675]  We've got a link to National Geographic with them doing a mock human sacrifice in the Black Hoods.
[00:48:53.055 --> 00:48:56.476]  Yeah, I gave her tons of examples such as that, but she just wouldn't hear of it.
[00:48:56.476 --> 00:48:59.117]  Because it's all lies, I'm sure.
[00:48:59.257 --> 00:48:59.457]  Right.
[00:48:59.837 --> 00:49:03.398]  So my question is, when you were down there filming, did you see anybody of importance?
[00:49:03.418 --> 00:49:06.999]  Because I know that you used a hidden camera and whatnot, so it was kind of hard to see.
[00:49:07.339 --> 00:49:08.219]  Well, here's the deal.
[00:49:08.640 --> 00:49:09.160]  Here's the deal.
[00:49:10.680 --> 00:49:12.301]  It is a private meeting.
[00:49:12.641 --> 00:49:20.783]  But because it's public officials there, I believe that it shouldn't be private because they're there making policy.
[00:49:20.863 --> 00:49:23.224]  But, George Bush knows me.
[00:49:24.560 --> 00:49:27.763]  You know, my sister went to the same school as his daughter's.
[00:49:27.803 --> 00:49:29.004]  My sister's a lot younger than me.
[00:49:32.127 --> 00:49:37.132]  George Bush, years after that, had me arrested for asking him a question.
[00:49:37.232 --> 00:49:39.395]  It was in the local paper.
[00:49:39.435 --> 00:49:43.158]  He then turned to one of the Senators and said, that's Alex Jones.
[00:49:43.178 --> 00:49:44.660]  That's the guy who was heard whispering.
[00:49:44.680 --> 00:49:45.841]  That was in the newspaper.
[00:49:48.085 --> 00:49:48.745]  I didn't even see that.
[00:49:48.805 --> 00:49:50.907]  I was being drug out, but that's what they said the governor did.
[00:49:51.227 --> 00:49:52.268]  So Bush knows me.
[00:49:52.629 --> 00:50:03.798]  Now, Bush was there, and his father was there, and CNN reported the decision to pick Dick Cheney a few weeks later had been made there at the quote, men's retreat Bohemian Grove.
[00:50:04.399 --> 00:50:08.222]  People have seen you, that clip of you being arrested just for asking that question?
[00:50:08.382 --> 00:50:11.064]  Yes, yes, but I mean, I'm just using an example that Bush knows me.
[00:50:11.445 --> 00:50:12.826]  A lot of those people know me.
[00:50:13.846 --> 00:50:22.872]  I got in, I hid in the woods until night time, and then came down out of the hills to videotape the ritual, and then I got out of there.
[00:50:22.892 --> 00:50:31.297]  So it's kind of like I snuck into the castle, hid in a broom closet, snuck out at night, got the ritual on tape, and snuck out of the castle.
[00:50:31.477 --> 00:50:33.978]  Now they couldn't believe... I wasn't like going around going, hey, what?
[00:50:34.298 --> 00:50:34.679]  Exactly.
[00:50:34.699 --> 00:50:37.400]  Well, they couldn't believe that you got arrested just for asking a simple question.
[00:50:37.940 --> 00:50:42.203]  And that has turned so many people on just from that short clip alone.
[00:50:43.578 --> 00:50:55.466]  Listen, it'd be like Tom Cruise in Eyes Wide Shut running in with a camera and taking his suit off and going and videotaping it.
[00:50:55.506 --> 00:50:56.366]  I just couldn't do it.
[00:50:56.767 --> 00:50:57.287]  Great points.
[00:50:57.327 --> 00:50:57.867]  Thanks for the call.
[00:50:57.887 --> 00:50:58.688]  We'll be back with more calls.
[00:51:01.957 --> 00:51:09.345]  Hey folks, Alex Jones here, announcing the release of my most comprehensive documentary exposing the New World Order's orchestration of the September 11th attacks yet.
[00:51:09.606 --> 00:51:14.331]  In my new film, The Masters of Terror, we chronicle the globalist master plan for world domination.
[00:51:14.571 --> 00:51:20.218]  The Masters of Terror details how the elite are using manufactured terrorism to drive the world population into accepting tyranny.
[00:51:20.438 --> 00:51:32.366]  Witness in horror the execution of the September 11th attacks and the ensuing whitewash, the cashless society control grid, infallible microchips, mass mind control, militarization of police, concentration camps, foreign troops massing on U.S.
[00:51:32.386 --> 00:51:33.166]  soil, the U.S.A.
[00:51:33.206 --> 00:51:36.869]  Patriot Act, Super Big Brother Total Information Awareness Network, and much, much more.
[00:51:37.089 --> 00:51:39.590]  It is absolutely vital that everyone see the masses of terror.
[00:51:39.811 --> 00:51:44.974]  Only by exposing the perpetrators of September 11th can we stop them from carrying out the next wave of attacks and destroy
[00:51:45.014 --> 00:51:45.954]  We're good to go.
[00:52:01.101 --> 00:52:06.323]  Nuclear reactors provide economical energy, but would you be prepared during an accident?
[00:52:06.463 --> 00:52:14.566]  During nuclear disasters, great amounts of radioactive iodine are released into the atmosphere, which are then readily absorbed into the body.
[00:52:14.806 --> 00:52:21.848]  Medical course potassium iodate gives you virtually complete protection from the most feared consequence of a nuclear accident.
[00:52:22.048 --> 00:52:31.197]  Radioactive Poisoning Potassium Iodate is better than the iodide form because it is not as likely to cause upset stomachs in children, the elderly, the sick, and pets.
[00:52:43.709 --> 00:52:44.650]  Thanks for watching.
[00:53:01.960 --> 00:53:07.902]  Herbal Healer Academy is the global supplier of the finest natural medicine that you may need in these troubled times.
[00:53:08.142 --> 00:53:10.403]  We specialize in keeping you alive and healthy.
[00:53:10.583 --> 00:53:16.925]  We provide outstanding products like ECAC, colloidal silver 500 parts per million, olive leaf extract,
[00:53:17.265 --> 00:53:17.926]  We're good to go!
[00:53:46.787 --> 00:53:49.888]  We have been working hard since 1988 to save the remnant.
[00:53:50.048 --> 00:53:56.009]  That's HerbalHealer.com, your website for safe, effective, natural alternatives and education.
[00:54:04.551 --> 00:54:08.312]  Again, the example, the analogy is Eyes Wide Shut.
[00:54:10.193 --> 00:54:13.874]  Stanley Kubrick's final film released posthumously.
[00:54:13.894 --> 00:54:15.614]  He died before it was released.
[00:54:16.457 --> 00:54:19.798]  And you've got the elite gays and devil worship or whatever.
[00:54:20.819 --> 00:54:22.760]  And he sneaks into the mansion while they're doing it.
[00:54:23.600 --> 00:54:24.220]  Gets into it.
[00:54:25.101 --> 00:54:28.342]  I mean, this is the type of stuff that really goes on.
[00:54:30.103 --> 00:54:32.684]  And I was just in Bohemian Grove for about five hours.
[00:54:33.284 --> 00:54:42.548]  So I didn't run up to them and say, will you please... You see me riding in on the little shuttle from the checkpoint.
[00:54:43.413 --> 00:54:51.355]  with two members, and they bring up their robes, ceremonial robes, and that is in the film.
[00:54:51.795 --> 00:54:53.136]  You do see some faces of people.
[00:54:53.196 --> 00:55:00.878]  I mean, I have, I probably shot three hours of film while I was in there, but I had to, like, get to secure places and reload the camera, and that was hard to do.
[00:55:04.039 --> 00:55:09.280]  But, uh, again, I didn't disrupt people and go, man, you know, I'm going to interview you now.
[00:55:10.987 --> 00:55:13.489]  There were surveillance cameras all in the trees everywhere.
[00:55:14.470 --> 00:55:16.771]  Secret Service and security people marching around.
[00:55:16.811 --> 00:55:21.875]  I mean, they were stopping people's cars outside of it, you know, ten miles away, searching people's cars.
[00:55:21.935 --> 00:55:26.398]  I have interviews of that in the film, with locals who were basically harassed by the security people.
[00:55:27.939 --> 00:55:28.520]  It's amazing!
[00:55:29.440 --> 00:55:33.624]  By the way, if you want to see Dark Secrets inside Bohemian Grove, you can see it instantly.
[00:55:34.064 --> 00:55:38.287]  If you're a member of PrisonPlanet.tv, you can watch it in high bandwidth and low bandwidth.
[00:55:38.945 --> 00:55:47.450]  The entire film, Dark Secrets Inside Bohemian Grove, is on PrisonPlanet.tv as well as ten other films I've made.
[00:55:47.470 --> 00:55:50.992]  A whole bunch of other videos I've been authorized by the authors to post.
[00:55:54.454 --> 00:56:01.538]  Muhammad Adda and His Flying Circus by Mr. Hopsinger, a great film about 9-11.
[00:56:01.938 --> 00:56:03.399]  He authorized us to post that.
[00:56:03.439 --> 00:56:04.939]  That's going to be going up in the next few days.
[00:56:05.860 --> 00:56:07.681]  My weekly reports up there, a new one.
[00:56:08.669 --> 00:56:11.776]  Just a lot of key stuff is on PrisonPlanet.TV!
[00:56:14.292 --> 00:56:16.033]  A Dean Haglin interview is going up.
[00:56:16.253 --> 00:56:21.854]  I'm going to put a 9-11 emergency release, a film I just offered for a few months, that I made very quickly, and then I made Road to Tyranny.
[00:56:22.334 --> 00:56:24.575]  That film, though, it needs to still be seen.
[00:56:24.655 --> 00:56:29.836]  I don't sell it anymore, hard copies of it, but we're going to put that the next few days on PrisonPlanet.tv.
[00:56:30.157 --> 00:56:31.917]  There's so much new media all the time.
[00:56:32.277 --> 00:56:42.300]  If you're not online and you want copies of Road to Tyranny or Dark Secrets Inside Bohemian Grove, or my newest film, American Dictators, where we revisit Bohemian Grove, by the way, among many other things,
[00:56:43.312 --> 00:56:44.793]  I'm still offering that special.
[00:56:44.833 --> 00:56:45.974]  Still haven't taken them down.
[00:56:45.994 --> 00:56:48.616]  You buy one copy of Road to Tyranny.
[00:56:48.856 --> 00:56:50.977]  Almost three hours long for $24.95.
[00:56:51.397 --> 00:56:53.679]  Each additional copy, as many as you want, is $5.95.
[00:56:55.280 --> 00:56:56.200]  American Dictators, $19.95.
[00:56:58.061 --> 00:56:59.242]  Almost a two hour film.
[00:57:00.063 --> 00:57:00.803]  My newest film.
[00:57:01.023 --> 00:57:02.684]  Buy one copy for $19.95.
[00:57:03.084 --> 00:57:04.005]  Each additional copy, $5.95.
[00:57:04.465 --> 00:57:07.227]  And folks, it is coming down very soon.
[00:57:07.267 --> 00:57:08.868]  I've just been so busy I haven't taken it down yet.
[00:57:09.577 --> 00:57:11.179]  Those specials are still being offered.
[00:57:11.379 --> 00:57:15.302]  Go to InfoWars.com to peruse the safe, secure online shopping cart.
[00:57:15.703 --> 00:57:16.844]  Order the films online.
[00:57:17.784 --> 00:57:19.086]  Or call toll-free to get them.
[00:57:19.106 --> 00:57:19.606]  1-888-253-3139.
[00:57:19.626 --> 00:57:25.832]  Bunch of different specials.
[00:57:25.852 --> 00:57:26.833]  Just call and ask about them.
[00:57:26.853 --> 00:57:27.813]  No obligation to buy.
[00:57:27.833 --> 00:57:27.893]  1-888-253-3139.
[00:57:33.658 --> 00:57:41.881]  Or just write to me, Alex Jones, at 3001 South Lamar, Suite 100, Austin, Texas, 78704.
[00:57:43.581 --> 00:57:44.822]  Please don't procrastinate.
[00:57:44.902 --> 00:57:45.642]  Alright, I promise.
[00:57:46.442 --> 00:57:49.583]  When we start the next hour, I'll go straight to Sherry, Adam, Steve, and others.
[00:57:50.603 --> 00:57:55.765]  I got into the government paying off the media, this latest Armstrong-Williams situation.
[00:57:56.485 --> 00:58:01.927]  Then I want to get into a bunch of other stuff I have not covered yet, and believe me, the stack is prolific today.
[00:58:03.516 --> 00:58:04.437]  There is so much.
[00:58:04.997 --> 00:58:07.920]  Top CIA man says, eh, let Bin Laden go.
[00:58:07.980 --> 00:58:08.761]  Don't worry about him.
[00:58:09.362 --> 00:58:10.403]  That's World Net Daily.
[00:58:12.324 --> 00:58:15.968]  Guilty plea in fatal Mason's initiation shooting.
[00:58:16.809 --> 00:58:18.330]  That's coming up from Newsday.
[00:58:18.350 --> 00:58:19.491]  Remember that ceremony?
[00:58:20.012 --> 00:58:21.013]  Blowing the head off.
[00:58:21.833 --> 00:58:24.936]  Bush the King blows $50 million on Coronation.
[00:58:25.777 --> 00:58:26.538]  Or on the U.N.
[00:58:26.638 --> 00:58:27.379]  sex scandal.
[00:58:29.838 --> 00:58:36.240]  Four Pentagon press releases of the Chinese at age 30 having heart attacks, and quite a few do.
[00:58:36.260 --> 00:58:48.345]  Of course, when the corpses are photographed, they have their toenails and fingernails ripped out and electricity marks all over their body, but... So again, it's all natural causes, and we'll be right back.
[00:58:51.366 --> 00:58:58.068]  Introducing... Big Brother.
[00:58:58.769 --> 00:58:59.850]  Mainstream media.
[00:59:00.550 --> 00:59:01.651]  Government cover-ups.
[00:59:02.292 --> 00:59:03.152]  You want answers?
[00:59:03.873 --> 00:59:04.773]  Well, so does he.
[00:59:05.454 --> 00:59:09.077]  He's Alex Jones on the GCN Radio Network.
[00:59:09.637 --> 00:59:13.780]  And now, live from Austin, Texas, Alex Jones.
[00:59:21.706 --> 00:59:23.187]  Alright, ladies and gentlemen.
[00:59:24.295 --> 00:59:29.397]  Hour number two in our worldwide transmission against tyranny.
[00:59:30.657 --> 00:59:37.600]  Joining you from the front lines of the InfoWars, I'm Alex Jones, your host.
[00:59:38.400 --> 00:59:45.742]  Websites are PrisonPlanet.tv, InfoWars.com, InfoWars.net, and a bunch of other great ones.
[00:59:46.362 --> 00:59:46.703]  Okay.
[00:59:48.263 --> 00:59:48.543]  Listen.
[00:59:49.624 --> 00:59:53.025]  I only covered a couple articles last hour and I'm literally looking at about 95 others
[00:59:54.901 --> 01:00:01.286]  Hi Alex, I just read an article off of Jeffrents.com that Senator Bill Frist plans to file a bill that would define political paranoia as a mental disorder.
[01:00:18.536 --> 01:00:19.537]  Yes, I did see that.
[01:00:19.597 --> 01:00:20.698]  Why don't you tell folks about it?
[01:00:20.898 --> 01:00:27.244]  You know, they've introduced hundreds in the last five years of new medical terms.
[01:00:27.504 --> 01:00:31.808]  If you don't like being searched, it's a mental illness.
[01:00:31.828 --> 01:00:37.913]  If you don't like giving up your bodily fluids to the government, it's a mental illness.
[01:00:38.033 --> 01:00:39.314]  Everything is a mental illness!
[01:00:40.055 --> 01:00:42.878]  Well, I just want to make a plea to the American people.
[01:00:43.098 --> 01:00:45.540]  I already called Fritz's office this morning.
[01:00:46.269 --> 01:00:52.531]  And basically, Alex, I'm a registered nurse, and from my observation, this man is a sociopath.
[01:00:52.651 --> 01:00:53.471]  He is delusional.
[01:00:53.511 --> 01:00:55.292]  He is paranoid, and he is psychotic.
[01:00:55.792 --> 01:01:02.214]  Well, no, I would just say that the elite, I mean, the Soviets grabbed millions saying they were mentally ill and sent them to work camps.
[01:01:02.254 --> 01:01:03.554]  The Nazis did this.
[01:01:04.214 --> 01:01:07.675]  I mean, our government's been grabbing people for a hundred years saying they're crazy.
[01:01:08.695 --> 01:01:12.697]  They locked up Galileo for saying the world was round.
[01:01:12.717 --> 01:01:12.757]  So...
[01:01:15.410 --> 01:01:17.052]  Was it Galileo or was it the other guy?
[01:01:17.072 --> 01:01:19.916]  The point is, is that this is nothing new.
[01:01:19.936 --> 01:01:26.064]  I mean, you know, 5,000 years ago, the witch doctor, if you disagreed with him, would say you were loco and possessed by demons.
[01:01:26.404 --> 01:01:27.746]  So basically, this is the new thing.
[01:01:27.966 --> 01:01:29.348]  They don't call you a witch.
[01:01:30.087 --> 01:01:34.009]  You know, when they're the witches, that's actually what the witch hunts were.
[01:01:34.049 --> 01:01:38.091]  They were devil worshippers disguising their Satanism in a witch hunt.
[01:01:38.151 --> 01:01:40.892]  Again, that's how everything's actually a complex inverse of itself.
[01:01:40.952 --> 01:01:47.035]  But no, I mean, tell folks who just joined us about this latest abomination.
[01:01:48.475 --> 01:01:48.755]  Pardon?
[01:01:49.416 --> 01:01:50.676]  Tell us about the news article.
[01:01:51.136 --> 01:01:52.497]  I'll just read it briefly to you.
[01:01:52.557 --> 01:01:56.939]  It says, when the 109th Congress convenes in Washington in January,
[01:01:57.358 --> 01:02:16.063]  Senator Bill Frist, the first practicing physician elected to the Senate since 1928, plans to file a bill that would define political paranoia as a mental disorder, paving the way for individuals who suffer paranoid delusions regarding voter fraud, political persecution, and FBI surveillance to receive Medicare reimbursement for any psychiatric treatment they receive.
[01:02:17.323 --> 01:02:19.504]  This is written by Hermione Slatkin.
[01:02:20.043 --> 01:02:22.105]  medical correspondent for the Swift Report.
[01:02:22.185 --> 01:02:24.328]  Rick Smith, spokesman for Senator Frist.
[01:02:24.348 --> 01:02:26.310]  I saw the article, yeah, it's crazy.
[01:02:26.450 --> 01:02:29.133]  Look, they're going to forcibly, psychologically test all the children.
[01:02:29.173 --> 01:02:29.553]  Go ahead.
[01:02:29.993 --> 01:02:30.374]  Exactly.
[01:02:30.694 --> 01:02:36.220]  Well, Alex, I'm going to investigate filing a court case against Senator Frist.
[01:02:37.664 --> 01:02:39.725]  That's because you're ill, my dear.
[01:02:40.025 --> 01:02:41.006]  Yes, I know I'm very ill.
[01:02:41.026 --> 01:02:42.767]  No, no, soon it's going to be alright.
[01:02:42.967 --> 01:02:47.530]  Well, I'm encouraging other Americans to step up to this and fight back.
[01:02:47.570 --> 01:02:54.894]  But once you're in a facility for a few years, after the electroshot and the drugs, it's not going to hurt anymore, Sherry.
[01:02:55.975 --> 01:02:58.637]  Sherry, it's not, you're going to join them, you're going to love Big Brother.
[01:02:58.857 --> 01:02:59.497]  No, I'm not, Alex.
[01:02:59.517 --> 01:03:01.138]  You're going to go to the Chestnut Cafe.
[01:03:01.238 --> 01:03:02.279]  I'm going to die fighting.
[01:03:02.439 --> 01:03:04.360]  You're going to drink your gin at the Chestnut Cafe.
[01:03:04.681 --> 01:03:04.961]  Oh, no.
[01:03:05.981 --> 01:03:07.442]  I sold you and you sold me?
[01:03:07.462 --> 01:03:09.543]  This is horrible, Alex.
[01:03:09.643 --> 01:03:12.505]  I'm just... I'm just... I was so angry when I read this.
[01:03:12.625 --> 01:03:15.606]  Don't you... You know what the Chestnut Cafe is, don't you?
[01:03:15.666 --> 01:03:16.167]  No, I don't.
[01:03:16.187 --> 01:03:16.167]  1984.
[01:03:16.907 --> 01:03:18.008]  Oh, yes.
[01:03:18.128 --> 01:03:19.248]  Okay, yes, I have seen that.
[01:03:19.288 --> 01:03:19.769]  I'm sorry.
[01:03:20.969 --> 01:03:27.553]  Um... Yeah, I just... I just wanted to comment on that and I just hope other Americans will stand up and fight against this.
[01:03:27.613 --> 01:03:29.233]  We need to do something about this bill.
[01:03:30.074 --> 01:03:32.055]  No, fabulous, fabulous idea.
[01:03:32.075 --> 01:03:33.876]  Do you want to hold over and make more comments on it?
[01:03:34.831 --> 01:03:35.332]  No, that's okay.
[01:03:35.372 --> 01:03:38.033]  I think if you want to comment on... Okay.
[01:03:38.313 --> 01:03:38.994]  Okay, thank you Alex.
[01:03:39.014 --> 01:03:42.916]  I was just kind of jumping in and I felt bad for that because you're a very eloquent, wonderful person.
[01:03:43.457 --> 01:03:44.097]  Thanks for the call.
[01:03:44.137 --> 01:03:44.778]  Please call back.
[01:03:44.798 --> 01:03:45.378]  We'll be right back.
[01:03:52.935 --> 01:03:57.281]  Alex Jones here, announcing the release of my new film, Police State 3 Total Enslavement.
[01:03:57.441 --> 01:04:01.886]  Police State 3 details the architecture, goals, and operations of the New World Order.
[01:04:02.026 --> 01:04:06.372]  There is a chance to use this disaster for the New World Order.
[01:04:06.432 --> 01:04:07.793]  The New World Order.
[01:04:08.514 --> 01:04:09.535]  Panama.
[01:04:09.575 --> 01:04:13.798]  The film documents dozens of confirmed cases of government-sponsored terrorism worldwide.
[01:04:13.858 --> 01:04:20.804]  We rip the sinister Patriot Act legislation one and two apart piece by piece and reveal the arrogance of what Ashcroft has to say about your liberty.
[01:04:20.924 --> 01:04:22.965]  You will lose your liberty.
[01:04:23.305 --> 01:04:33.693]  Homeland Security, executive orders, forced vaccinations, the new prison economy, the Total Information Society, the Pan-American Union, federal gun grabs, government-run white slavery rings, and much, much more.
[01:04:33.713 --> 01:04:34.454]  If you want to
[01:04:34.554 --> 01:04:34.794]  That's 888-253139.
[01:04:34.814 --> 01:04:35.736]  Order today and spread the word!
[01:04:53.098 --> 01:04:56.102]  The Berkey Light is your premier source for purified water.
[01:04:56.442 --> 01:05:05.272]  It's portable and requires no water pressure, so you can enjoy healthy drinking water, whether it's during normal times or hostile environments, like a local or national emergency.
[01:05:05.592 --> 01:05:10.258]  That's because it can purify raw, untreated water from remote lakes and stagnant ponds.
[01:05:10.718 --> 01:05:17.443]  The Berkelot is unique because it removes pathogenic bacteria, cyst parasites, and harmful chemicals to below detectable levels.
[01:05:17.844 --> 01:05:29.633]  It also removes foul tastes and odors, like the rotten egg smell of sulfide, and it extracts nitrates and unhealthy minerals, like lead and mercury, while leaving in the healthful and nutritional minerals that your body needs.
[01:05:30.113 --> 01:05:30.754]  Next Wednesday night.
[01:05:56.943 --> 01:05:59.684]  What America needs is affordable health insurance.
[01:06:00.565 --> 01:06:05.387]  Finding affordable health insurance for you and your family, it's on everybody's mind right now.
[01:06:05.427 --> 01:06:08.388]  And if you're self-employed, it's on your mind too.
[01:06:08.548 --> 01:06:13.530]  Well, I found a company you can call right now and get the affordable health insurance coverage you're looking for.
[01:06:13.670 --> 01:06:16.731]  The Midwest National Life Insurance Company of Tennessee.
[01:06:16.992 --> 01:06:17.932]  Write this number down.
[01:06:19.194 --> 01:06:19.754]  800-807-5989.
[01:06:20.175 --> 01:06:24.601]  That's 800-807-5989.
[01:06:25.001 --> 01:06:36.276]  They specialize in helping entrepreneurs of all kinds and those of us who run small businesses or don't get health insurance where we work to protect our families with the health insurance we need.
[01:06:36.796 --> 01:06:40.839]  And if you have a COBRA plan that's about to expire, we can help you, too.
[01:06:40.939 --> 01:06:42.361]  So call us right now.
[01:06:42.381 --> 01:06:42.641]  800-807-5989.
[01:06:42.701 --> 01:06:42.941]  That's 800-807-5989.
[01:06:42.961 --> 01:06:43.922]  Not available in all states.
[01:06:43.942 --> 01:06:45.243]  He's the T-Rex of political talk.
[01:06:45.263 --> 01:06:46.584]  Alex Jones on the GCN Radio Network.
[01:07:02.100 --> 01:07:06.423]  All right, masses of key news, vital information coming up here momentarily.
[01:07:08.384 --> 01:07:10.425]  Adam in Pittsburgh, Pennsylvania.
[01:07:10.566 --> 01:07:10.926]  Welcome.
[01:07:10.946 --> 01:07:12.367]  How's it going, Alex?
[01:07:12.627 --> 01:07:13.007]  Good, sir.
[01:07:13.507 --> 01:07:21.773]  Hey, I found some good material for you over the weekend I'd like to send to you for your new video or anything else you're going to be getting into.
[01:07:21.933 --> 01:07:22.373]  What is it?
[01:07:23.093 --> 01:07:28.677]  Well, speaking of mental disorders, let's go back to the, I believe it was the second Bush debate.
[01:07:29.212 --> 01:07:39.577]  Where he was, uh, where there was questions about whether he was wearing an earpiece during the debate and where he, you know, cut no one off in the middle of his, uh, rant and, you know, said, will you let me finish this?
