[00:00:00.956 --> 00:00:01.417]  Hey, Alex.
[00:25:50.751 --> 00:26:06.377]  So now they've moved on to a whole bunch of other whistleblowers, not just about this phone call, but phone calls to the Germans, and phone calls to the Spanish, and phone calls to the Russians, and phone calls to the Swiss, and phone calls to the Australians, and phone calls to the Mexicans, and phone calls to the Brazilians.
[00:26:08.217 --> 00:26:12.239]  Hoping if they get all the president's phone calls, they can find something.
[00:26:13.069 --> 00:26:14.410]  Where are Phil Mudd's phone calls?
[00:26:14.910 --> 00:26:16.490]  Where are Nancy Pelosi's phone calls?
[00:26:16.891 --> 00:26:18.311]  Where are Robert Mueller's phone calls?
[00:26:18.711 --> 00:26:20.132]  Where are Hillary Clinton's phone calls?
[00:26:20.412 --> 00:26:21.292]  Where are their emails?
[00:26:21.452 --> 00:26:25.154]  Oh, they're all shredded or they're all bleached.
[00:26:25.594 --> 00:26:25.854]  Bit.
[00:26:27.815 --> 00:26:41.901]  What I'm going to do is, next hour, I'm going to relaunch all this and I'm going to read the Marine Corps order on air and I'm going to go over it all and I do want to specifically open the phones up for citizens, veterans, first-time callers.
[00:26:43.186 --> 00:26:51.868]  Specifically of what you think about this civil war we're in, that we see in government, with the globalist interests trying to force out the nationalist interests that are trying to drain the swamp.
[00:26:51.888 --> 00:27:08.711]  And when you think about the president saying there's an active coup against him, and that they're causing a civil war, when they're using words like civil war, and then they say, oh, that's the reason to remove him because he's saying there's a civil war.
[00:27:10.592 --> 00:27:13.714]  These people have wound themselves up into a crazy position.
[00:27:15.135 --> 00:27:15.956]  They've gone nuts.
[00:27:19.498 --> 00:27:21.639]  And they're not going to stop pushing.
[00:27:21.659 --> 00:27:28.264]  And that's why I told listeners in the last few weeks that I know their behavior and I've watched them closely.
[00:27:29.124 --> 00:27:33.147]  And they intend to try to remove the president one way or another now by the end of the year.
[00:27:35.014 --> 00:27:37.435]  Because their corrupt networks are being smashed.
[00:27:37.936 --> 00:27:39.797]  They're being dug out of their bureaucratic holes.
[00:27:40.277 --> 00:27:44.639]  The President is now getting real reform in and is exposing their crimes.
[00:27:44.779 --> 00:27:48.762]  And the big Inspector General report's coming out within two weeks.
[00:27:49.662 --> 00:27:50.983]  The indictment of McCabe is there.
[00:27:51.703 --> 00:27:57.866]  So I cannot stress to everyone what a dangerous time, not just for America, but for the world this is.
[00:27:58.727 --> 00:28:00.408]  This is not just business as usual.
[00:28:01.667 --> 00:28:05.930]  I have a few other clips I want to play just to set the table here for how crazy they are.
[00:28:07.271 --> 00:28:16.998]  Joy Reid panel explains how Dems can make Pelosi president, then Mad Max scenes his spineless Trump supporter GOP senators willing to harm the country.
[00:28:17.418 --> 00:28:18.499]  This was all Friday.
[00:28:20.320 --> 00:28:27.586]  Days before that Mad Max scene said that quote, we played the clip, prison.
[00:28:28.726 --> 00:28:29.887]  Is too good for him.
[00:28:30.447 --> 00:28:31.748]  Impeachment's too good for him.
[00:28:32.208 --> 00:28:34.110]  He needs solitary confinement.
[00:28:34.490 --> 00:28:41.734]  I mean, you just heard Phil Mudd of the CIA say, the president better be worried somebody's gonna stick a shiv.
[00:28:41.754 --> 00:28:44.736]  Oh, we're so scared you used a prison term.
[00:28:45.017 --> 00:28:46.418]  You know, Phil Mudd never did the killing.
[00:28:46.858 --> 00:28:49.620]  He just sent other, you know, people to kill folks for him.
[00:28:49.940 --> 00:28:54.743]  And then after you go kill people for Phil Mudd, you get set up and put in prison.
[00:28:57.259 --> 00:28:59.841]  I mean, it's Obama that hung everybody out to dry.
[00:28:59.901 --> 00:29:02.023]  It's Hillary that hangs everybody out to dry.
[00:29:02.423 --> 00:29:07.127]  It's Obama targeted record numbers of whistleblowers and media and persecuted all these people.
[00:29:08.868 --> 00:29:10.330]  Trump has done none of that.
[00:29:10.710 --> 00:29:12.812]  But oh, he's at war with the press.
[00:29:12.852 --> 00:29:14.433]  Well, yeah, he doesn't roll over to them.
[00:29:17.936 --> 00:29:19.677]  This is a very, very dangerous time.
[00:29:19.717 --> 00:29:22.079]  And you see massive censorship intensifying.
[00:29:22.559 --> 00:29:24.581]  Now they're censoring Joe Rogan's podcast.
[00:29:25.162 --> 00:29:26.383]  They're not going to stop with anybody.
[00:29:27.005 --> 00:29:44.700]  And that lets you know they've got the internet kill switch in place, they've got the censorship in place, they've got Big Tech ready to make their move, they've been discrediting the president, they've been discrediting his family, the cabinet, all his supporters are getting sued, threatened, attacked, harassed, assessed.
[00:29:47.253 --> 00:29:49.975]  This is the criminal group we let take over the country.
[00:29:50.035 --> 00:29:52.797]  And then Trump got in, and they're like, whoa, you're not doing that.
[00:29:53.217 --> 00:30:00.822]  And all over the world, populists are getting elected, and the globalists are indicting them, threatening them, shooting them, stabbing them.
[00:30:02.083 --> 00:30:08.087]  The leader of Brazil almost died stabbed in the stomach because he's a populist trying to fix the nation.
[00:30:10.348 --> 00:30:11.689]  What an incredible time to be alive.
[00:30:11.849 --> 00:30:12.410]  Here, let's play
[00:30:15.458 --> 00:30:21.723]  This clip from MSNBC, where they're talking about, oh, if you get rid of Trump and Pence, then it's the Speaker of the House.
[00:30:22.844 --> 00:30:24.044]  And then we've got Pelosi.
[00:30:24.144 --> 00:30:27.647]  And of course, I told you this years ago, Hillary's always intending to run again.
[00:30:27.667 --> 00:30:30.509]  She just knows she's unpopular, doesn't want to announce the last minute.
[00:30:32.210 --> 00:30:36.634]  And now it's all over the news that she's planning to run, and that she's telling people she's going to run.
[00:30:40.145 --> 00:30:42.347]  I told you, there's a report at InfoWars.com.
[00:30:43.008 --> 00:30:45.069]  Hillary is already running for president of 2020.
[00:30:45.850 --> 00:30:47.592]  She just hasn't made the announcement yet.
[00:30:47.832 --> 00:30:48.132]  Breaking.
[00:30:48.172 --> 00:30:49.513]  Hillary Clinton runs for president in 2020.
[00:30:49.574 --> 00:30:56.960]  Former presidential candidate preparing her second run against Trump, but is already raising money, already going around doing the polls.
[00:30:58.152 --> 00:31:03.315]  In the Las Vegas and London gambling schemes, she's already the number one Democrat candidate.
[00:31:03.656 --> 00:31:04.876]  And Bernie's had a heart attack.
[00:31:04.896 --> 00:31:05.777]  He's still in the hospital.
[00:31:06.137 --> 00:31:09.079]  Biden's raised less money than the other three candidates that are in front of him.
[00:31:09.539 --> 00:31:11.461]  Everybody knows Biden is just a placeholder.
[00:31:11.761 --> 00:31:13.242]  Biden didn't know he was a placeholder.
[00:31:17.304 --> 00:31:18.405]  This is the place we're in.
[00:31:18.805 --> 00:31:19.666]  A power struggle.
[00:31:21.015 --> 00:31:27.921]  And the elected president's surrounded by cowards and traitors making up stuff he never said when they get the transcripts for the NSA recordings.
[00:31:27.941 --> 00:31:29.002]  Because there's recordings too.
[00:31:29.322 --> 00:31:30.383]  Trump didn't do any of this.
[00:31:30.503 --> 00:31:31.324]  They don't care.
[00:31:32.185 --> 00:31:33.366]  Trump knows he's surrounded.
[00:31:33.586 --> 00:31:41.133]  He is dotting every I, crossing every T. So here they are fantasizing.
[00:31:42.426 --> 00:31:45.447]  About how they're gonna put Pelosi in as the president.
[00:31:45.487 --> 00:31:46.228]  And they mean it.
[00:31:46.568 --> 00:31:48.228]  And if we sit there and let them, they'll do it.
[00:31:48.729 --> 00:31:51.430]  No discussion of her corruption, her son on the gas company.
[00:31:52.350 --> 00:31:55.031]  No discussion of all the quid pro quo.
[00:31:55.331 --> 00:31:57.012]  No discussion of all the failed wars.
[00:31:57.052 --> 00:31:58.573]  No discussion of all the illegal spying.
[00:31:58.933 --> 00:32:00.493]  No discussion of all the open borders.
[00:32:00.754 --> 00:32:02.294]  No discussion of all the things they've done.
[00:32:02.334 --> 00:32:04.195]  It's all how Trump's bad.
[00:32:04.215 --> 00:32:08.257]  All this hysteria and everybody getting threatened that supports Trump.
[00:32:08.457 --> 00:32:11.058]  Hey, you better get in line because when we take over, you're dead.
[00:32:11.946 --> 00:32:12.406]  If you don't.
[00:32:30.419 --> 00:32:34.022]  If Mike Pence were to become the head of state, Mike Pence is as deeply involved as Donald Trump is.
[00:32:34.282 --> 00:32:59.799]  So you really don't change anything if Mike Pence is in place, and if all of the other people that were involved, all of the conspirators remain in place, and you still particularly have William Barr, who is somebody who is completely now out of the realm of being the public's lawyer, and just acting as we just heard Elizabeth Holtzman say, to deep six investigations against Trump, and to raise investigations against his enemies.
[00:33:00.419 --> 00:33:10.342]  How does anything change if Donald Trump is no longer at the top of this sort of, you know, web of corruption, but Pence is then at the top of it?
[00:33:10.702 --> 00:33:12.282]  Well, I think a couple things happen.
[00:33:12.542 --> 00:33:27.346]  One, the American voters will actually see, and I remain sort of a Pollyanna, that I believe facts ultimately matter, and that in fact even 20 Republican senators might come to their senses and say,
[00:33:28.126 --> 00:33:31.028]  The country is at risk if I don't vote this way.
[00:33:31.448 --> 00:33:32.889]  And the facts are clear.
[00:33:33.209 --> 00:33:35.931]  And I think in this case we have very clear facts.
[00:33:36.411 --> 00:33:42.375]  There is, and Liz and I talked about this before the show, you could impeach Pence first.
[00:33:42.795 --> 00:33:46.418]  The problem is that Donald Trump then has to name his replacement.
[00:33:46.818 --> 00:33:51.201]  But I think that maybe a deal could be struck where he was told if you don't
[00:33:52.153 --> 00:33:55.555]  Make a replacement, then Nancy Pelosi does become president.
[00:33:55.896 --> 00:33:58.758]  And so, you are going to be impeached and convicted.
[00:33:59.258 --> 00:34:04.962]  You need to make this replacement so that the proper party remains in power.
[00:34:07.219 --> 00:34:08.040]  So that's the plan.
[00:34:08.100 --> 00:34:09.281]  Terrorize everybody.
[00:34:09.381 --> 00:34:11.282]  Get control of the executive branch.
[00:34:11.983 --> 00:34:15.966]  Make the Republicans, who are all being threatened and intimidated by the removal of Trump, roll over.
[00:34:16.367 --> 00:34:22.752]  The Democrats then have their new homeland security take control of all 50 states' elections, which Obama signed an executive order to do before he left.
[00:34:23.132 --> 00:34:24.974]  And there's never a free election in this country again.
[00:34:25.314 --> 00:34:26.335]  We become Venezuela.
[00:34:26.775 --> 00:34:30.981]  And they sent out all the thought police and all the rest of them to start the arrest of conservative leaders.
[00:34:31.301 --> 00:34:33.204]  That's the official Democrat plan.
[00:34:33.725 --> 00:34:36.629]  So we're in the middle of their attempt to run this hot coup.
[00:34:37.089 --> 00:34:40.614]  And they've got former deputy CIA directors saying they're going to stab the president in the back.
[00:34:40.915 --> 00:34:43.639]  That's openly sending the directives to murder the president.
[00:34:51.249 --> 00:34:53.450]  Here's an excellent report that I want to get to right now.
[00:34:53.470 --> 00:35:02.255]  Then we're going to come back and get into the fact that Trump is activating Marines for domestic emergencies and aiding local police for a threat they say could come any minute.
[00:35:03.096 --> 00:35:07.879]  We're obviously in a very serious situation right now, but here's a report from Ms.
[00:35:07.919 --> 00:35:11.561]  Kalik from being spooks to being spokespersons.
[00:35:11.601 --> 00:35:11.921]  Here it is.
[00:35:13.163 --> 00:35:27.202]  After years in the shadows overseeing espionage, kill programs, warrantless wiretapping, entrapment, psyops, and other covert operations, national security establishment retirees are turning to a new line of work where they can carry out their imperial duties.
[00:35:27.442 --> 00:35:30.306]  That is, propagandizing the public on cable news.
[00:35:30.686 --> 00:35:33.867]  Reborn as cable news pundits, these people are cashing in.
[00:35:34.107 --> 00:35:43.570]  So many years working in the dark, only to emerge in the studio lights of the same networks that rail all day every day against state TV from countries America hates.
[00:35:43.890 --> 00:35:53.313]  I'm talking about people like... Former CIA Director John Brennan, who is now an NBC News Senior National Security and Intelligence Analyst.
[00:35:53.673 --> 00:35:54.133]  Ah, yes.
[00:35:54.313 --> 00:36:01.777]  John Brennan, a serial liar who, as the nation's top spy, defended torture and lied about US drone strikes killing civilians.
[00:36:02.117 --> 00:36:04.318]  In a drone program, he helped Architect.
[00:36:04.678 --> 00:36:07.939]  Now he gets to spew his talking points unchallenged on NBC.
[00:36:08.400 --> 00:36:11.201]  NBC isn't alone in hiring former spooks as pundits.
[00:36:11.461 --> 00:36:16.603]  Almost every network has hired former national security people to fill its 24-hour news coverage.
[00:36:16.843 --> 00:36:18.164]  I'm looking at you, CBS.
[00:36:18.724 --> 00:36:22.950]  Fran Townsend is a former Homeland Security Advisor to President George W. Bush.
[00:36:22.970 --> 00:36:26.054]  She's now a CBS News Senior National Security Analyst.
[00:36:26.094 --> 00:36:27.555]  But CNN takes the cake.
[00:36:27.896 --> 00:36:29.658]  It's the biggest spook show of all.
[00:36:29.818 --> 00:36:35.145]  Joining us now, former Director of National Intelligence Jim Clapper is now a CNN National Security Analyst.
[00:36:35.265 --> 00:36:40.667]  Retired General Michael Hayden, former Director of the CIA and the NSA, the National Security Agency.
[00:36:40.707 --> 00:36:42.727]  He's a CNN National Security Analyst.
[00:36:42.927 --> 00:36:47.469]  CNN Legal Analyst Asha Rangappa is a former FBI Special Agent.
[00:36:47.569 --> 00:36:52.930]  James Galeano is a CNN Law Enforcement Analyst and a retired FBI Supervisory Special Agent.
[00:36:53.450 --> 00:36:54.391]  Good to see you.
[00:36:54.431 --> 00:36:59.112]  Joining us now is CNN Global Affairs Analyst and former Deputy Secretary of State Tony Blinken.
[00:36:59.252 --> 00:37:01.976]  Lincoln is also a former Deputy National Security Advisor.
[00:37:02.356 --> 00:37:04.199]  And that's why, oh, there's more?
[00:37:04.579 --> 00:37:05.140]  Seriously?
[00:37:05.440 --> 00:37:10.447]  Joining me now, CNN National Security commentator, former chair of the House Intelligence Committee, Mike Rogers.
[00:37:10.487 --> 00:37:17.116]  Now Samantha Vinograd, who was a senior advisor to the National Security Advisor under President Obama, and she's a CNN National Security
[00:37:17.216 --> 00:37:19.318]  Of course, this isn't CNN's first dance with the devil.
[00:37:19.338 --> 00:37:24.041]  Back in 1999, during the bombing of Kosovo, CNN let military propaganda experts work out of its newsroom.
[00:37:36.710 --> 00:37:38.331]  So, why is this so bad?
[00:37:38.511 --> 00:37:47.276]  By hiring former spooks, these outlets are allowing them to shape their news with constant and at times willful disinformation that's never challenged or corrected.
[00:37:47.637 --> 00:37:49.077]  It might as well be state TV.
[00:37:49.217 --> 00:37:56.642]  It's why CNN's screens are filled with an endless parade of belligerent war hawks, fear-mongering the public about America's adversaries.
[00:37:56.902 --> 00:38:01.865]  Oftentimes, these are the same people that helped lie us into wars when they were working for the government.
[00:38:02.245 --> 00:38:04.206]  It is completely corrupted journalism.
[00:38:04.626 --> 00:38:19.072]  The whole point of what we were supposed to learn from the debacle of WMDs in the Iraq War, which, by the way, this network that we're on was one of the leaders of, was the fact that we were not supposed to trust intelligence agencies when they say things without evidence.
[00:38:19.472 --> 00:38:27.394]  And not only did MSNBC and CNN use those people as their sources, they hired them as their news analysts.
[00:38:27.414 --> 00:38:31.755]  So if you turn on CNN or MSNBC, it was basically state TV.
[00:38:31.835 --> 00:38:33.136]  It was CIA TV.
[00:38:33.216 --> 00:38:44.739]  These so-called analysts are forever loyal to their former employers, whether it be the CIA, FBI, NSA, DHS, or any of the other agencies that make up America's so-called intelligence community.
[00:38:45.199 --> 00:38:55.628]  After they retire, they go on to shape the news, propagandizing for the abusive national security state they've spent their careers working for, and they're never ever challenged by their corporate media colleagues.
[00:38:55.828 --> 00:39:02.253]  Because they've spent so many years inside the security state, their instinct will always be to defend it, no matter its abuses.
[00:39:02.493 --> 00:39:10.440]  And they often have contracts with foreign governments and various security companies that benefit from whatever talking points they're spouting to the American public.
[00:39:10.680 --> 00:39:17.584]  And don't even get me started on the retired generals turned war pundits whose connections to weapons contractors are never disclosed.
[00:39:17.925 --> 00:39:21.827]  Imagine if these networks hired former oil executives as climate change analysts.
[00:39:22.047 --> 00:39:25.449]  This whole CIA media revolving door is just as absurd.
[00:39:25.569 --> 00:39:27.971]  It's propaganda under the cover of expertise.
[00:39:28.171 --> 00:39:29.051]  It's scandalous.
[00:39:29.452 --> 00:39:30.612]  It's polluting journalism.
[00:39:31.093 --> 00:39:38.017]  And it allows career spies to abuse our airwaves to disseminate self-serving disinformation and pro-war hysteria.
[00:39:38.277 --> 00:39:39.278]  Welcome to the Spook Show.
[00:39:41.664 --> 00:39:45.846]  You are listening to an InfoWars.com frontline report.
[00:39:46.426 --> 00:39:50.107]  If you are receiving this transmission, you are the resistance.
[00:39:51.408 --> 00:39:54.309]  Extremism in defense of liberty is no vice.
[00:39:57.791 --> 00:39:58.831]  Alright, ladies and gentlemen.
[00:40:00.711 --> 00:40:13.178]  I'm going to be completely honest with you, just so you can get in your own mind just how serious I believe all this is, and I've proven that I've got a pretty good political sense of what's going on in a world of people trying to whitewash what's happening.
[00:40:14.018 --> 00:40:20.102]  I even saw the Office of the American Statesman without even looking just the other day in the paper.
[00:40:20.122 --> 00:40:25.865]  The whole country is now in Alex Jones' wheelhouse talking about civil war, martial law, coups.
[00:40:27.264 --> 00:40:29.685]  Well, it's not that the country's in my wheelhouse.
[00:40:30.005 --> 00:40:33.907]  I've been aware of what's going on below the surface for a long time.
[00:40:37.188 --> 00:40:43.911]  And about the different power structures that are battling for control of the United States, because the United States pretty much runs the world.
[00:40:47.332 --> 00:40:49.913]  And so the United States goes bad, the world goes bad.
[00:40:50.733 --> 00:40:52.014]  I mean, China's super evil.
[00:40:53.034 --> 00:40:55.015]  Russia's got massive corruption problems.
[00:40:55.976 --> 00:40:57.397]  It can't hardly take care of itself.
[00:40:57.577 --> 00:41:03.181]  The United States has been in that prime position to really help lead the world with soft power.
[00:41:03.781 --> 00:41:12.507]  Instead, we've been taken over by multinational corporations and others and have been demoralized culturally and politically so we can be controlled.
[00:41:12.607 --> 00:41:13.568]  And that's not my opinion.
[00:41:13.608 --> 00:41:14.628]  That's in the WikiLeaks.
[00:41:15.209 --> 00:41:23.695]  Hillary talking to professors of psychology and media about increasing cultural division to control us.
[00:41:24.455 --> 00:41:25.496]  It's so evil.
[00:41:26.857 --> 00:41:33.939]  And if you turn on any movie or any show, most of which are funded by the Chinese Communist, it's totally anti-American garbage.
[00:41:34.559 --> 00:41:36.700]  Anti-family, anti-God, anti-Christ.
[00:41:39.441 --> 00:41:41.821]  When I say anti-Christ, I don't even mean that in the biblical way.
[00:41:42.421 --> 00:41:43.622]  I mean it in the biblical way.
[00:41:43.642 --> 00:41:44.542]  Isn't that funny?
[00:41:45.902 --> 00:41:48.963]  Not from a Christian perspective, they are anti-Christ.
[00:41:49.763 --> 00:41:51.424]  They are the opposite of Christ-like.
[00:41:53.766 --> 00:41:55.508]  And it just is.
[00:41:56.128 --> 00:41:57.669]  It's not even like the Bible claims it.
[00:41:57.749 --> 00:41:58.790]  It's now in your face.
[00:41:58.830 --> 00:42:01.532]  They keep babies alive and they sell their organs.
[00:42:02.493 --> 00:42:05.656]  Bernie Sanders says kill babies in the third world to save the earth.
[00:42:07.998 --> 00:42:10.520]  Because he's a liberal, it's okay to say kill brown babies.
[00:42:10.600 --> 00:42:13.943]  I mean, these people are unbelievable.
[00:42:15.124 --> 00:42:16.265]  We've got to really be careful.
[00:42:16.805 --> 00:42:19.747]  As Nishi said, you stare into the abyss too long, you become the abyss.
[00:42:20.968 --> 00:42:21.609]  I have been on air 25 years.
[00:42:23.366 --> 00:42:26.887]  And I don't have stage fright.
[00:42:26.987 --> 00:42:28.667]  I don't have a problem getting on air.
[00:42:28.687 --> 00:42:30.168]  I do a lot of preparation for the shows.
[00:42:31.148 --> 00:42:33.849]  And I've never really been nervous or had problems doing the shows.
[00:42:37.430 --> 00:42:39.070]  Every day I can almost not do the show anymore.
[00:42:40.350 --> 00:42:43.591]  And it's not from pressure in life or what I'm going to do on air.
[00:42:43.671 --> 00:42:49.993]  It's like these issues are so real, so huge, it feels surreal.
[00:42:51.598 --> 00:43:05.047]  To be on air, being a major leader fighting this, and then watching everybody else go around their business like it's normal, to tune in to CNN or MSNBC randomly, and they're like, we need to arrest and kill the president!
[00:43:06.348 --> 00:43:07.769]  And then they make up a bunch of lies.
[00:43:08.270 --> 00:43:10.031]  Because I'm informed, I know they're lying.
[00:43:10.611 --> 00:43:20.118]  And to watch Brian Stelter say a huge lie and then look at the camera, like a cat with a canary caught in its mouth, looking totally guilty, just saying these huge whoppers.
[00:43:25.031 --> 00:43:27.652]  And then to watch them threaten everybody.
[00:43:27.692 --> 00:43:29.773]  I mean, here's another big frustration of mine.
[00:43:31.514 --> 00:43:37.476]  I know a lot of stuff behind the scenes that I'm not at liberty to say from where I got it or what they told me.
[00:43:37.576 --> 00:43:40.258]  I'm just told information to incorporate it into what I'm doing.
[00:43:40.778 --> 00:43:44.620]  And the people that have told me stuff over the years have been proven to be very smart and very accurate.
[00:43:49.244 --> 00:44:05.378]  To know this country's really fighting for its life, against really bad people, that if they get full control, are gonna break the economy, trigger major uprisings, to finally sink the nation, and then come back in and loot it later.
[00:44:07.159 --> 00:44:11.583]  And it's gonna be horrible fascism, with a leftist management system.
[00:44:13.467 --> 00:44:15.367]  Extracting all the wealth, taking it offshore.
[00:44:15.387 --> 00:44:23.409]  I mean, if you think America has been screwed over so far, that was just the initial phases of getting us domesticated while they sold out what they could.
[00:44:23.849 --> 00:44:31.590]  They are going to take everything you've got in an existential gang raping of this country.
[00:44:32.610 --> 00:44:40.932]  The globalists have a lot of old scores to settle, a lot of dominance that they want to carry out.
[00:44:42.196 --> 00:44:51.362]  Because if they can hogtie like a billy goat and rape this country publicly, they will have a feather in their head nobody's ever gotten a stick in their head.
[00:44:51.642 --> 00:44:52.903]  And that's what this is really all about.
[00:44:55.965 --> 00:44:58.807]  So, I'm just gonna tell you something.
[00:45:05.952 --> 00:45:07.413]  Here's another problem about all this.
[00:45:08.757 --> 00:45:09.478]  I have a great crew.
[00:45:09.558 --> 00:45:10.338]  They're awesome folks.
[00:45:10.698 --> 00:45:12.580]  If I would have gotten up here at 8 a.m.
[00:45:12.620 --> 00:45:19.144]  this morning and done nothing but send them clips, I wouldn't have half the clips together I wanted.
[00:45:23.127 --> 00:45:29.212]  I mean, there's the clips where they said, we're going to remove the president outside of an impeachment extrajudicially.
[00:45:29.532 --> 00:45:30.493]  That's been on CNN.
[00:45:32.574 --> 00:45:33.415]  That's an important clip.
[00:45:33.475 --> 00:45:34.355]  I'll have it for you tomorrow.
[00:45:35.016 --> 00:45:36.597]  I never even got around to telling the crew to get it.
[00:45:37.751 --> 00:45:41.934]  Or I could play all the other clips where Democrats say they're gonna kill the President or kill his family.
[00:45:42.775 --> 00:45:50.980]  Or how they're gonna target all his grassroots supporters and quote, level us and destroy us so we can never rise against them again.
[00:45:51.341 --> 00:45:52.021]  These are quotes.
[00:45:54.083 --> 00:45:55.283]  I already played a bunch of them today.
[00:45:56.404 --> 00:46:07.032]  But when you've got a cacophony of these people saying it, you just have to sit back and really say to yourself,
[00:46:10.473 --> 00:46:17.015]  They're saying they want to take over and destroy us because we're just good decent people and won't accept their corruption.
[00:46:18.055 --> 00:46:24.797]  That means that we're going to have to take over and deal with them because they're never going away.
[00:46:25.297 --> 00:46:26.258]  They're never stopping.
[00:46:26.998 --> 00:46:28.078]  They're coming for your kids.
[00:46:28.358 --> 00:46:29.478]  They're coming for your guns.
[00:46:29.719 --> 00:46:30.879]  They're coming for your property.
[00:46:31.059 --> 00:46:32.259]  They're coming for your birthright.
[00:46:32.599 --> 00:46:34.600]  They are entitled
[00:46:35.891 --> 00:46:48.821]  Worst of the worst globalists hired multi-generationally by multinational corporations, the Chai Koms and others, because they fundamentally hate America and hate God and really are just bad people.
[00:46:49.882 --> 00:47:02.612]  And it's all evidenced by the terrible things they do, the lies they tell, how they control propaganda worldwide and are normalizing pedophilia, trying to break up the family, trying to... I mean, it just came out with a big major Italian
[00:47:04.990 --> 00:47:15.316]  A genetic engineer facility just did tests of the major vaccines and they've all got a mutated full human genome that isn't even from a human.
[00:47:15.356 --> 00:47:16.376]  It's been made in a lab.
[00:47:16.857 --> 00:47:31.064]  Put in them with 500 and something cancer genes added to it, carried by viruses into your cells, so that your body then replicates a mutant humanoid and basically gives you cancer.
[00:47:31.144 --> 00:47:32.025]  But it's worse than that.
[00:47:32.445 --> 00:47:33.826]  Before it gives you cancer,
[00:47:35.245 --> 00:47:47.535]  It goes into your testicles and mutates the sperm to carry all of the cancer genetics, 500 plus cancer genes, into the new baby when it meets the egg and forms the zygote.
[00:47:48.556 --> 00:47:51.358]  And I didn't just believe Mike Adams' report, even though he's a smart engineer.
[00:47:51.659 --> 00:47:53.140]  I went and read the reports out of Italy.
[00:47:53.900 --> 00:47:56.603]  I went and looked at the test and I already knew this was going on.
[00:47:56.963 --> 00:47:59.205]  But my God, these people are evil.
[00:47:59.705 --> 00:48:03.849]  The folks running things have done it through compartmentalization.
[00:48:04.704 --> 00:48:16.227]  So it's very small groups and it's very sophisticated weapons that who's gonna be able to get in there with these new CRISPR systems and go in and then scan it and be able to discover?
[00:48:17.887 --> 00:48:19.467]  And this major lab in Italy did it.
[00:48:21.788 --> 00:48:29.850]  And so in the MMR shot, in the hepatitis shots, in basically all the big shots you're getting, there's a full human genome of a whole, it's a man of a man.
[00:48:31.325 --> 00:48:32.385]  But it's not human.
[00:48:32.645 --> 00:48:33.485]  It's humanoid.
[00:48:33.686 --> 00:48:34.506]  All of it's mutated.
[00:48:34.906 --> 00:48:36.026]  Every gene is mutated.
[00:48:36.626 --> 00:48:39.807]  And it's got 500 plus cancer traits added to it.
[00:48:40.487 --> 00:48:42.307]  And then it's carried by viruses.
[00:48:44.608 --> 00:48:46.168]  That's 560 cancer genes.
[00:48:46.788 --> 00:48:47.709]  Abnormal DNA.
[00:48:48.089 --> 00:48:49.249]  Genetic modification.
[00:48:49.829 --> 00:48:51.169]  Potentially hazardous genes.
[00:48:51.249 --> 00:48:52.410]  The whole thing's been mutated.
[00:48:52.910 --> 00:48:55.190]  Yet mandated to be injected into every child.
[00:48:55.370 --> 00:48:58.671]  I mean, what in the hell is going on here?
[00:49:03.547 --> 00:49:06.609]  I mean, this is beyond anything in a science fiction movie.
[00:49:07.029 --> 00:49:10.572]  And see, the globals don't want us to break into the highest levels of the black state.
[00:49:11.012 --> 00:49:11.672]  The dark state.
[00:49:11.953 --> 00:49:13.314]  The Black Budget Project.
[00:49:13.854 --> 00:49:15.795]  They don't want us to find out what else is going on.
[00:49:16.095 --> 00:49:24.981]  But private labs are able to scan this now and are finding these bio-weapon engineered systems to mutate the human species.
[00:49:25.382 --> 00:49:31.586]  A new humanoid is being injected into you in, quote, gene therapy to create the new person.
[00:49:31.826 --> 00:49:33.487]  And it's a cancer-ridden psychotic.
[00:49:36.928 --> 00:49:37.468]  We're back live.
[00:49:37.568 --> 00:49:42.130]  I want to take calls for a couple segments coming up in the last two segments, and I'll be back tomorrow.
[00:49:42.150 --> 00:49:42.330]  11 a.m.
[00:49:42.350 --> 00:49:43.650]  Central David not to be back.
[00:50:02.785 --> 00:50:06.206]  But if you just joined us again, this is the Alex Jones Show on Sunday.
[00:50:06.226 --> 00:50:22.570]  You have to understand that the president says that we're in the middle of a cold civil war and that they're trying to invoke a form of extrajudicial martial law to remove the president and that this is an illegal coup.
[00:50:22.730 --> 00:50:24.370]  Now that is exactly what it is.
[00:50:25.531 --> 00:50:30.232]  We are at the point where they are reading fake transcripts the president never said or wrote
[00:50:34.688 --> 00:50:39.311]  In the House Intelligence Committee Chambers.
[00:50:41.253 --> 00:50:46.376]  They're doing the same tactic when I tuned in to CNN and MSNBC this week.
[00:50:46.416 --> 00:50:56.663]  And then they're doing the same tactic on Comedy Central and on Saturday Night Live on NBC.
[00:50:57.644 --> 00:51:02.727]  Now obviously you know that's a joke, but it's creating this whole illusion.
[00:51:02.767 --> 00:51:03.328]  It's a war
[00:51:05.544 --> 00:51:18.156]  On reality, and they're saying we're going to force a deal with the Republicans that they'll all go to jail if they don't remove Trump and put in Pelosi.
[00:51:18.376 --> 00:51:19.417]  Do you want me to play?
[00:51:20.538 --> 00:51:22.801]  MSNBC, CNN, they're all saying it.
