[00:00:08.671 --> 00:00:09.511]  It's April 1st, 2019.
[00:58:49.227 --> 00:59:00.237]  That they're not going to side with authoritarian foreign powers, that they're going to either abide by the Constitution and Bill of Rights and not be authoritarians, or he's going to take action against them.
[00:59:00.277 --> 00:59:02.279]  That is everything we've needed to hear.
[00:59:02.719 --> 00:59:04.481]  Now let's make sure the President follows through.
[00:59:04.981 --> 00:59:06.383]  Now, InfoWars, as you know,
[00:59:06.983 --> 00:59:07.603]  We're good to go.
[00:59:28.194 --> 00:59:28.815]  We're good to go.
[00:59:56.926 --> 01:00:01.189]  If you are receiving this transmission, you are the Resistance.
[01:00:01.910 --> 01:00:09.996]  From the front lines of the Information War, it's Alex Jones.
[01:00:12.114 --> 01:00:13.094]  Always informative.
[01:00:13.134 --> 01:00:13.955]  Very smart guy.
[01:00:14.095 --> 01:00:14.775]  I'll use his name.
[01:00:14.795 --> 01:00:25.117]  We're talking about Alex Jones and the fact of the matter is, is that the companies that allow people like him, conspiracy theorists, to be able to purvey lies have a responsibility.
[01:00:25.938 --> 01:00:35.320]  There is no constitutional duty on an internet company to allow somebody to terrorize parents of mass tragedies like Alex Jones did for so long.
[01:00:36.081 --> 01:00:41.148]  The Newtown families are proceeding with a court case to try to hold him accountable.
[01:00:41.829 --> 01:00:47.216]  But the companies that allow for this nonsense, this garbage, to be spread out over the internet...
[01:00:48.596 --> 01:00:54.780]  ...have a responsibility and a duty themselves to do something earlier than they did in the case of Andy Hook.
[01:00:55.460 --> 01:00:59.443]  So, Sandy Hook hasn't been successful in getting the guns.
[01:01:00.183 --> 01:01:01.124]  CNN's complaining.
[01:01:01.144 --> 01:01:04.866]  They're going, man, they took the guns in New Zealand in just a week.
[01:01:05.506 --> 01:01:06.507]  We can't get the guns here.
[01:01:06.607 --> 01:01:08.668]  So it failed to get the Second Amendment.
[01:01:10.029 --> 01:01:12.711]  So they've got to get our First Amendment, and that's what
[01:01:13.737 --> 01:01:20.241]  That Senator's doing, who by the way was heavily involved in his career sucking off of Sandy Hook to get elected, I've now learned.
[01:01:20.721 --> 01:01:24.403]  You've got Senator Blumenthal's son that works in a law firm that's suing me there.
[01:01:24.743 --> 01:01:26.684]  I mean this is a Democrat franchise.
[01:01:27.285 --> 01:01:29.206]  They're the ones that live off the deaths of these kids.
[01:01:29.686 --> 01:01:35.630]  They're the ones that obsess over it and in my name say things I never said and then beat their chest and call for an end to the First Amendment.
[01:01:36.830 --> 01:01:37.771]  What a group of monsters.
[01:01:38.797 --> 01:01:46.119]  Now the always informative and really smart Bob Barnes, who's fighting all this with us, Chief Legal Counsel, will be joining us the rest of the hour.
[01:01:46.139 --> 01:01:47.900]  We'll cover a waterfront of news.
[01:01:48.200 --> 01:01:52.061]  And then Ben Garrison, who's also being demonized and taken off the internet, he'll be joining us.
[01:01:52.081 --> 01:01:56.382]  We'll have open phones as well and a lot of other world news I haven't hit.
[01:01:56.462 --> 01:01:57.922]  We'll cover it at the start of the next segment.
[01:01:58.443 --> 01:01:59.543]  But getting back to the deposition.
[01:02:00.885 --> 01:02:10.587]  This is where the Texas lawyer who is just a puppet, I mean he's completely run by the Connecticut law firm and Senator Blumenthal's operation and Chris Murphy's operation.
[01:02:12.467 --> 01:02:15.348]  Where he, they just go through buzzwords for the media.
[01:02:15.628 --> 01:02:18.149]  I mean all this was was soundbite questions for the media.
[01:02:18.829 --> 01:02:23.950]  And they ask about a big bowl of chili and I'm supposed to answer about a big bowl of chili so then they can make me sound stupid.
[01:02:24.950 --> 01:02:28.951]  And this is the type of just weirdness where these people think getting in the news is cool.
[01:02:30.055 --> 01:02:33.277]  And I mean, it does something in this whole bandwagon.
[01:02:33.577 --> 01:02:34.277]  So here it is.
[01:02:36.598 --> 01:02:38.519]  That's, from my memory, not what happens.
[01:02:38.860 --> 01:02:40.060]  I can't comment on hypotheticals.
[01:02:40.801 --> 01:02:46.884]  Oh, so if I was to say to you, if somebody was to come along and strike your hand with a hammer, would it hurt?
[01:02:47.064 --> 01:02:49.525]  You can't answer that question.
[01:02:49.865 --> 01:02:51.186]  I'm not striking anybody with a hammer, sir.
[01:02:51.566 --> 01:02:55.268]  If I asked you, if I gave you a big bowl of chili, might it affect your memory?
[01:02:55.708 --> 01:02:56.489]  You can't answer that.
[01:02:56.529 --> 01:02:57.169]  That's hypothetical.
[01:02:59.110 --> 01:02:59.391]  Correct?
[01:03:00.274 --> 01:03:02.040]  You're just not going to answer those kind of questions.
[01:03:08.840 --> 01:03:09.661]  I'll take it that's a no.
[01:03:10.141 --> 01:03:10.662]  Let's move on.
[01:03:10.702 --> 01:03:12.303]  I'll take it that wasn't a question.
[01:03:12.363 --> 01:03:13.124]  Is that a question?
[01:03:13.544 --> 01:03:15.026]  That's a comment, that's not a question.
[01:03:15.046 --> 01:03:16.707]  This is becoming one of the most harassing of yet.
[01:03:16.887 --> 01:03:19.950]  This is for TV and for PR, not for a legitimate suit.
[01:03:20.210 --> 01:03:20.951]  That's what this is.
[01:03:21.191 --> 01:03:21.812]  That's all this is.
[01:03:21.872 --> 01:03:23.533]  You want to put it on TV.
[01:03:23.553 --> 01:03:26.336]  This is just a show and it's a bad show at that.
[01:03:26.396 --> 01:03:30.039]  It's a show on how not to be a lawyer in deposition of a case show.
[01:03:30.419 --> 01:03:33.381]  I mean, if you want to be fair, and you want to ask real questions, go ahead.
[01:03:33.401 --> 01:03:40.726]  But don't make comments, and then try to reinterpret those comments as a question, and then try to put words in the mouth of the witness.
[01:03:41.166 --> 01:03:43.227]  I mean, first-year law students should know that.
[01:03:45.449 --> 01:03:46.129]  What was your objection?
[01:03:47.270 --> 01:03:56.976]  The objection was to your comment saying that there was an answer, and my point was, you didn't ask a question, so there couldn't have been an answer, and I was objecting for the record purposes that no answer had been given to a question that had not been asked.
[01:03:58.493 --> 01:04:00.815]  Do you maybe want to take a break so we can have a few breaths?
[01:04:01.055 --> 01:04:01.756]  Yes, maybe.
[01:04:01.796 --> 01:04:03.077]  Yeah, you might need to do that.
[01:04:03.318 --> 01:04:04.179]  Yeah, yeah, absolutely.
[01:04:04.219 --> 01:04:06.281]  Maybe you can go back and read how to ask people.
[01:04:06.301 --> 01:04:06.601]  Okay.
[01:04:07.502 --> 01:04:14.068]  Then there's this clip at the end where they weren't even supposed to discuss releasing it for 30 days, but it was released in just about two and a half weeks.
[01:04:14.108 --> 01:04:14.649]  Here's that clip.
[01:04:15.632 --> 01:04:16.812]  Please go ahead and respond now.
[01:04:17.233 --> 01:04:29.678]  Um, so the, what we have in the protective order is that for the 30 days following any deposition, the parties must treat all of the deposition testimony and exhibits and other documents produced at any deposition as attorney's eyes only.
[01:04:30.258 --> 01:04:32.158]  And so they're marked confidential until that time.
[01:04:32.559 --> 01:04:33.439]  Thank you, Your Honor.
[01:04:34.219 --> 01:04:37.901]  So no designation of confidentiality being made today?
[01:04:38.121 --> 01:04:38.541]  Absolutely.
[01:04:38.561 --> 01:04:40.542]  The whole thing is confidential right now?
[01:04:40.622 --> 01:04:42.202]  It's presumed until 30 days.
[01:04:42.362 --> 01:04:44.783]  And we have 30 days to designate confidentiality?
[01:04:44.883 --> 01:04:45.324]  Absolutely.
[01:04:45.424 --> 01:04:45.744]  Very well.
[01:04:46.344 --> 01:04:46.644]  That's good.
[01:04:47.845 --> 01:04:50.826]  But, again, when you're Democrats, you can do whatever you want.
[01:04:51.686 --> 01:04:52.987]  Smollett, no charges.
[01:04:53.667 --> 01:04:54.327]  Charges dropped.
[01:04:55.067 --> 01:04:56.408]  Kavanaugh accusers, all fake.
[01:04:57.068 --> 01:04:57.648]  It's okay, though.
[01:04:57.969 --> 01:04:58.989]  Russiagate, all fake.
[01:04:59.669 --> 01:05:00.710]  Tubbington kids, all fake.
[01:05:00.770 --> 01:05:01.230]  It's okay.
[01:05:04.413 --> 01:05:05.414]  I mean, I've explained this.
[01:05:05.734 --> 01:05:17.445]  It's one thing to ban me on a bunch of social media last year, saying that I beat up a 10-year-old kid, and they showed a video somebody else shot in another state, and just said I did it.
[01:05:18.767 --> 01:05:25.013]  And by the time they banned me everywhere, Forbes, who first reported it, took it down and retracted, but the damage was done.
[01:05:26.454 --> 01:05:43.022]  But if you think I'm gonna sit here when you run with these Instagram headlines and these Vice headlines saying Alex Jones to be taken off Instagram for anti-Semitism and then it's for commenters or for somebody's art, I'm not going to take it anymore.
[01:05:44.645 --> 01:05:46.787]  And so, the letters are gonna be sent out Monday.
[01:05:46.807 --> 01:05:49.288]  I've already got the lawyers engaged.
[01:05:50.089 --> 01:05:51.250]  And we're gonna drop the hammer on you.
[01:05:51.270 --> 01:05:53.591]  We got some other folks about to get the hammer dropped on them as well.
[01:05:54.172 --> 01:05:56.394]  They're not stopping because they got Soros money.
[01:05:57.855 --> 01:05:59.296]  All I have is you supporting us.
[01:06:00.356 --> 01:06:00.997]  That's all I have.
[01:06:09.511 --> 01:06:17.916]  Discover trends and global developments years before they happen, right here on the Alex Jones Show!
[01:06:23.550 --> 01:06:35.777]  Now that the Mueller investigation is over, many questions are falling upon Adam Schiff and others, who all claimed to have direct knowledge of criminal evidence against President Donald Trump.
[01:06:35.797 --> 01:06:39.959]  I think there's plenty of evidence of collusion or conspiracy in plain sight.
[01:06:40.179 --> 01:06:41.700]  Cold, hard evidence.
[01:06:42.020 --> 01:06:49.885]  Have you seen things on the classified side that you cannot tell us about, though, that is even stronger evidence than what is out there publicly?
[01:06:50.888 --> 01:06:51.108]  Yes.
[01:06:51.949 --> 01:07:03.022]  Some people are saying they are guilty of treason, but the statute for treason specifies that the person levies war against the United States or adheres to their enemies.
[01:07:03.783 --> 01:07:10.231]  And while we may discover that may be true for some, there is one statute that seems to apply to many.
[01:07:11.232 --> 01:07:18.155]  Enacted in 1940 as the Alien Registration Act, or the Smith Act, 18 U.S.
[01:07:18.235 --> 01:07:23.877]  Code 2385 prescribes advocating the overthrow of the U.S.
[01:07:23.937 --> 01:07:24.358]  government.
[01:07:25.158 --> 01:07:36.663]  The corrupt establishment was not willing to accept an outlier in the White House, and began their attempt at overthrowing the president with a FISA warrant based on a fake Russian dossier.
[01:07:37.903 --> 01:07:43.885]  With no evidence of a crime, the FBI was discussing plans for a coup d'etat.
[01:07:44.605 --> 01:07:52.947]  According to court documents, several mainstream media outlets were hired to report on Russian interference as directed.
[01:07:53.988 --> 01:08:02.050]  And the American people, who put their faith in the mainstream media, were manipulated and turned against their lawful elected government.
[01:08:03.163 --> 01:08:05.846]  It all certainly seems to fit 18 U.S.
[01:08:05.926 --> 01:08:07.588]  Code 2385.
[01:08:09.250 --> 01:08:24.006]  Whoever knowingly or willfully advocates, abets, advises, or teaches the duty, necessity, desirability, or propriety of overthrowing or destroying any government of the United States.
[01:08:24.206 --> 01:08:25.307]  Government's gonna kill this guy.
[01:08:25.387 --> 01:08:53.107]  Whoever, with intent to cause the overthrow or destruction of any such government, prints, publishes, edits, issues, circulates, sells, distributes, or publicly displays any written or printed matter advocating, advising, or teaching the duty, necessity, desirability, or propriety of overthrowing or destroying any government in the United States.
[01:08:53.227 --> 01:08:53.948]  You take on the
[01:08:53.988 --> 01:09:22.847]  Intelligence community they have six ways from Sunday of getting back at whoever organizes or helps or attempts to organize any society group or assembly of persons who teach Advocate or encourage the overthrow or destruction of any such government by force or violence Or becomes or is a member of or affiliates with any such society group or assembly of persons knowing the purposes thereof
[01:09:24.208 --> 01:09:26.350]  Those found guilty of 18 U.S.
[01:09:26.430 --> 01:09:37.499]  Code 2385 can be imprisoned for up to 20 years, and perhaps further investigations will lead to charges of sedition or even treason.
[01:09:38.500 --> 01:09:41.102]  The righteous heart wants justice to be served.
[01:09:41.903 --> 01:09:45.166]  For where there is no law, there is no freedom.
[01:09:46.907 --> 01:09:50.070]  Reporting for InfoWars.com, this is Greg Reese.
[01:09:58.787 --> 01:10:05.533]  InfoWars.
[01:10:05.893 --> 01:10:07.555]  Tomorrow's news, today.
[01:10:13.900 --> 01:10:16.463]  Until recently, no mainstream media
[01:10:18.058 --> 01:10:26.281]  Really got into strategies of the Democrat and Republican parties and who controlled them and what was really going on because both parties were pretty much run by the same groups.
[01:10:26.781 --> 01:10:29.602]  That's Georgetown political science head, Carol Quigley, wrote about it.
[01:10:30.623 --> 01:10:31.643]  It's really uncontested.
[01:10:32.524 --> 01:10:38.246]  That from the times of Kennedy on until recently, I mean, they really had a monolithic party.
[01:10:38.266 --> 01:10:41.327]  They'd fight over power, but they agreed on the agenda.
[01:10:43.086 --> 01:10:57.871]  Thanks to the internet and shows like this one and Drudge Report and others, but particularly this broadcast in this area, we were able to popularize understanding what was in the academic literature, which you'd call conspiracy literature.
[01:10:58.271 --> 01:11:05.574]  You hold up a Curl Quigley book or a Zbigniew Brzezinski book, they tell the intelligentsia everything they're doing, but they're in on the global government.
[01:11:05.974 --> 01:11:11.176]  So they're telling them how it works, but from their perspective, we're like, look, they admit this horrible plan, here's how they do it.
[01:11:12.503 --> 01:11:21.990]  So we popularized getting into the guts of this, and now all over the world people are looking at the power behind the throne, they're looking at collusion by parties, and once you do that it's game over.
[01:11:22.391 --> 01:11:30.216]  The system was so arrogant they defeated Barry Goldwater and they'd ignored Ron Paul and they thought they'd contained us, but in the last four or five years it exploded.
[01:11:30.817 --> 01:11:31.918]  Donald Trump perfectly.
[01:11:33.191 --> 01:11:37.052]  Man of Destiny rode in on that wave, and now the fight is joined.
[01:11:37.852 --> 01:11:41.573]  So, I want to get into the big report we did last night.
[01:11:41.733 --> 01:11:44.053]  It's been confirmed Trump is going to be willing to deep state.
[01:11:44.593 --> 01:11:45.353]  He is intending.
[01:11:45.413 --> 01:11:46.153]  He signaled it.
[01:11:46.293 --> 01:11:47.854]  My intel and sources, it's happening.
[01:11:48.514 --> 01:11:49.454]  We're going to get more into that.
[01:11:49.494 --> 01:11:57.775]  That video is on Infowars.com, and we'll show you that video where it's posted so folks that are watching and listening can go find it easily and share it.
[01:11:58.216 --> 01:12:00.296]  It's up in the video carousel up at the top.
[01:12:00.956 --> 01:12:08.121]  But I wanted to ask you, Bob, because you're a smart guy, why you think they've chosen me?
[01:12:09.081 --> 01:12:11.543]  Because now the attacks are 10 times what they've ever been.
[01:12:11.563 --> 01:12:13.024]  I mean, it is just insane.
[01:12:13.144 --> 01:12:20.048]  All over TV, local news, all over the country, total lies, twisting everything like I'm a country they're about to invade.
[01:12:20.369 --> 01:12:22.510]  And it's just ramping up, ramping up, ramping up.
[01:12:22.970 --> 01:12:25.152]  It's not just about them trying to win these fake lawsuits.
[01:12:25.732 --> 01:12:32.335]  I believe they have to destroy me to set the precedent to create a symbol of fake news that I'm supposedly the symbol of that demonized devil.
[01:12:32.696 --> 01:12:35.397]  And then with that key, they open every door and shut everyone else down.
[01:12:35.677 --> 01:12:37.698]  They create the 10 minutes of hate using my image.
[01:12:38.519 --> 01:12:43.601]  They steal the victory of our Americana populist movement, our listeners supercharging it, our victory.
[01:12:43.801 --> 01:12:46.283]  They turn a symbol of victory into a symbol of defeat.
[01:12:46.323 --> 01:12:49.184]  They kind of steal the flag and then run and hide it.
[01:12:49.824 --> 01:12:50.945]  A, is that true?
[01:12:50.965 --> 01:12:51.885]  And then what else is there?
[01:12:51.905 --> 01:12:52.626]  And then where does it go?
[01:12:53.126 --> 01:12:59.671]  Well, basically they're trying to effectively make it illegal to do anything other than spread institutional narratives.
[01:13:00.031 --> 01:13:11.439]  So if you spread any news that's not the institutional narrative, whether it's big media or the government, then you can be sued into oblivion, you can be blacklisted off of all of social media, and you can be demonized throughout the whole public square.
[01:13:11.959 --> 01:13:17.323]  And that's really the goal and the objective, and it's to use you as the telltale example to achieve that objective.
[01:13:17.843 --> 01:13:21.646]  And the effect of that is basically to destroy the independent free press in the United States.
[01:13:22.066 --> 01:13:30.032]  That if you spread any message, that message has to be institutionally approved, has to be state-sanctioned, has to be media approved, big media approved.
[01:13:30.312 --> 01:13:34.194]  And that's why there's double standards in how they're applying the law in a wide range of contexts here.
[01:13:34.535 --> 01:13:39.658]  That's why they're willing to defame you while claiming that there's defamation suits that they can bring against you.
[01:13:40.058 --> 01:13:42.340]  So you're seeing that systematic effort.
[01:13:42.600 --> 01:13:44.761]  And let's explain that and quantify that.
[01:13:44.821 --> 01:13:45.461]  Everything's about symbols.
[01:14:11.252 --> 01:14:13.535]  So the globalists aren't targeting our regular listeners.
[01:14:13.555 --> 01:14:24.927]  They're targeting the public that doesn't know who we are yet, so that when they finally do see us, they self-judge and are, quote, inoculated against being converted or radicalized, as the establishment would call it.
[01:14:25.567 --> 01:14:31.554]  But there's something that is targeting our listeners to where they get so sick of us being demonized that they're scared to promote us.
[01:14:32.734 --> 01:14:37.698]  And also, stop defending so then they won't defend the next people that are brought down.
[01:14:37.998 --> 01:14:38.398]  Precisely.
[01:14:38.439 --> 01:14:41.681]  It's the same thing that basically Mueller and the Deep State tried to do against Trump.
[01:14:42.382 --> 01:14:56.252]  Try to get people to be afraid to defend him, afraid to back him up, afraid to support him, afraid to stand up for him, afraid to send him messages, afraid to... because his real political power, his real power was completely contingent dependent upon ordinary people giving him that power.
[01:14:56.553 --> 01:14:58.774]  They were the fuel by which he could do something.
[01:14:58.814 --> 01:15:00.736]  Their greatest fear is us communicating with the President.
[01:15:00.936 --> 01:15:01.376]  Precisely.
[01:15:01.656 --> 01:15:13.978]  And by doing so, they need to silence that, they need to control that, they need to coerce people through public shaming and public censorship campaigns to achieve an objective they cannot obtain if people have freedom of press and freedom of speech in the United States.
[01:15:14.638 --> 01:15:18.099]  When we come back, I want to ask you how we counter that, because you're one of the smartest people I know.
[01:15:18.119 --> 01:15:21.660]  And then we're going to shift gears into the video that I just showed earlier.
[01:15:21.720 --> 01:15:22.680]  It's up on Infowars.com.
[01:15:22.740 --> 01:15:29.121]  I'm going to have its own article posted on the front page so that people can share it, but it's right up there on the top of the carousel.
[01:15:29.761 --> 01:15:43.910]  Where you see the videos and again I'll just show you on my phones how people can find that but it's it's it's it's up on InfoWars.com so document cam shot please yeah there it is world exclusive
[01:15:46.468 --> 01:15:49.993]  Trump plans to prosecute hundreds of deep staters in 2019.
[01:15:50.113 --> 01:15:52.336]  It's got 43,000 views.
[01:15:52.376 --> 01:15:53.278]  It needs a million views.
[01:15:53.618 --> 01:15:55.641]  The Joe Rogan interview I did last week did get a million.
[01:15:55.981 --> 01:15:56.903]  Let's send it to a million.
[01:15:57.103 --> 01:15:57.844]  Only you can do it.
[01:15:57.924 --> 01:15:58.245]  Please.
[01:15:58.485 --> 01:16:00.488]  This is critical intel to bring down the globalist.
[01:16:08.857 --> 01:16:10.238]  Let's go ahead and talk to Jessica.
[01:16:10.258 --> 01:16:11.758]  She wants to talk about the Virginia governor.
[01:16:12.258 --> 01:16:13.159]  Jessica, you're on the air.
[01:16:13.179 --> 01:16:14.980]  Looks like he'll be resigning soon.
[01:16:15.000 --> 01:16:15.400]  What do you think?
[01:16:16.000 --> 01:16:16.840]  I hope so.
[01:16:17.641 --> 01:16:19.301]  I never liked him from the beginning.
[01:16:19.522 --> 01:16:27.525]  I remember that President Obama endorsed him, and that was a big... I thought that would be a big wake-up call to people, but apparently it wasn't.
[01:16:27.825 --> 01:16:29.986]  But we keep the babies comfortable.
[01:16:30.006 --> 01:16:33.468]  I can't really do his fake Southern accent, but it's just... I love Southerners.
[01:16:33.548 --> 01:16:34.949]  I'm from Texas, kind of Southern.
[01:16:35.029 --> 01:16:42.453]  But it's like the fakeness of that sicky sweet, let's stay out of the ladies area, kill that baby.
[01:16:42.613 --> 01:16:46.996]  I think because he's a pediatrician, he's used to people, you know, kind of responding
[01:16:47.056 --> 01:16:53.179]  Yeah, I mean, I love listening to that voice he does, but it sickens me that he's a pediatrician and he's pushing what he's pushing.
[01:16:53.239 --> 01:16:56.241]  But we're going to make the baby comfortable.
[01:16:56.421 --> 01:16:56.941]  Oh, my gosh.
[01:16:57.001 --> 01:16:57.981]  It's so sickening.
[01:16:58.062 --> 01:17:00.703]  Well, we know when in time, this is the stuff that happens.
[01:17:00.743 --> 01:17:05.765]  That's why I'm so proud of you and the InfoWorks team for all that you do.
[01:17:05.965 --> 01:17:08.287]  And I love I wanted to say I love your product.
[01:17:08.547 --> 01:17:11.708]  I have X2 and the selenium for my thyroid.
[01:17:11.808 --> 01:17:12.489]  And I have to say,
[01:17:17.271 --> 01:17:20.914]  I mean, you really can feel what it does.
[01:17:21.134 --> 01:17:26.139]  And usually I get a lot of brain fog from the thyroid issue, and that helps tremendously.
[01:17:26.179 --> 01:17:33.425]  And the knockout helps me sleep at night, especially when I have something important I have to get up and do in the morning and I don't feel that groggy feeling.
[01:17:33.525 --> 01:17:34.746]  And we use the toothpaste.
[01:17:34.786 --> 01:17:35.967]  We love the toothpaste.
[01:17:36.067 --> 01:17:39.730]  My son uses the krill oil for some issues that he deals with.
[01:17:39.770 --> 01:17:42.232]  My husband is a hardwood floor installer.
[01:17:42.632 --> 01:17:47.614]  He loves the body, and he loves the Redtail Plus, and we're going to try the Turbo Force next.
[01:17:48.154 --> 01:17:52.936]  I really want to get that Turbo Force because my son loves going to the gym and he needs something for a boost.
[01:17:53.016 --> 01:17:55.597]  Well, Jessie, I appreciate your support, but let me be honest with you.
[01:17:55.637 --> 01:17:57.018]  Only take a half pack at the first time.
[01:17:57.138 --> 01:17:59.019]  It's just, it's kind of like good crack.
[01:17:59.239 --> 01:18:01.280]  So, I'm almost embarrassed.
[01:18:01.680 --> 01:18:02.880]  Everybody should be careful with it.
[01:18:03.320 --> 01:18:04.521]  It's the next level, it's insane.
[01:18:04.721 --> 01:18:20.443]  I really am glad that I'm able to help the fight for truth and freedom and liberty and I don't know what where I would be and what I would think if I didn't have people like you on air who have just stayed strong through it all so I just want to encourage you just to keep
[01:18:20.523 --> 01:18:24.385]  Keep going, keep fighting for us and with us because I don't know.
[01:18:24.705 --> 01:18:25.705]  I don't know what we would do.
[01:18:25.745 --> 01:18:26.826]  We wouldn't have anybody.
[01:18:26.846 --> 01:18:30.927]  If there wasn't you, I mean, I don't know that anybody else would be on the air doing it.
[01:18:31.027 --> 01:18:37.830]  Like you said, you're the tip of the spear, so I really appreciate you and what you say, you know, helps me stay connected to the truth.
[01:18:37.910 --> 01:18:47.494]  It helps me to stay connected to God and I can't say enough about how much I love InfoWars, how much I love the products, but I would like to have some female cut shirts.
[01:18:48.615 --> 01:18:50.617]  No, no, I totally agree.
[01:18:51.458 --> 01:18:55.443]  We put out the one gold foil female shirt that was a big hit, and we're just brain dead.
[01:18:55.463 --> 01:18:57.926]  But I promise, that's our number one complaint, is from women.
[01:18:57.946 --> 01:18:59.868]  We've only got a couple shirts that are cut for females.
[01:18:59.928 --> 01:19:00.909]  We will get it done for you.
[01:19:00.929 --> 01:19:06.216]  But Jessica, you give me strength to go on, and your husband, and your family, because just hearing what's in your voice, the
[01:19:06.496 --> 01:19:09.697]  The powerful feminine energy and then the male energy together.
[01:19:09.917 --> 01:19:13.599]  All of us focused together against the globalists is unstoppable.
[01:19:13.959 --> 01:19:18.480]  And that's why they're attacking that sacred system of the family, of all of us together.
[01:19:18.761 --> 01:19:19.681]  We are humanity.
[01:19:20.001 --> 01:19:20.961]  We are the experience.
[01:19:20.981 --> 01:19:21.742]  We are everything.
[01:19:22.182 --> 01:19:23.982]  And so you've just got my commitment to fight on.
[01:19:24.002 --> 01:19:26.263]  But let me tell you, I'm obnoxious most of the time.
[01:19:26.303 --> 01:19:26.864]  I'm burnt out.
[01:19:27.224 --> 01:19:27.904]  Hearing you.
[01:19:27.984 --> 01:19:29.164]  I don't want to just say this.
[01:19:29.284 --> 01:19:30.005]  I'm not just telling you this.
[01:19:30.505 --> 01:19:31.625]  You are the info war.
[01:19:31.725 --> 01:19:33.006]  You're the power of the whole thing.
[01:19:34.006 --> 01:19:37.850]  And that's why I get so freaked out about begging the audience for help, because it's the truth.
[01:19:37.970 --> 01:19:39.051]  I mean, I'm not just saying it.
[01:19:39.171 --> 01:19:42.754]  If you weren't here, standing in the way, they would have already destroyed me.
[01:19:42.914 --> 01:19:44.095]  But we're in this together.
[01:19:44.255 --> 01:19:45.916]  So God bless you, Jessica from Virginia.
[01:19:46.477 --> 01:19:49.319]  And yeah, looking at that little pathetic gremlin governor.
[01:19:49.500 --> 01:19:50.901]  Of course he's KKK.
[01:19:51.041 --> 01:19:53.163]  Who the hell wants to harvest babies' organs?
[01:19:53.203 --> 01:19:54.604]  That's what that's all really about.
[01:19:55.084 --> 01:19:56.265]  These are demons.
[01:19:56.786 --> 01:19:58.287]  But thanks to you and others, we're going to win.
[01:19:58.367 --> 01:19:59.008]  Thank you so much.
[01:20:06.405 --> 01:20:09.146]  You're listening to the Alex Jones Show.
[01:20:23.970 --> 01:20:29.152]  From the front lines of the information war, it's Alex Jones.
[01:20:29.732 --> 01:20:33.593]  So we're breaking down the real agenda, the battle plan.
[01:20:34.665 --> 01:20:48.574]  And the globalists knew that the InfoWars audience... I mean, back on election week we had 87 million different IP addresses watch video or click on our live stream or on our YouTube or Facebook.
[01:20:48.715 --> 01:20:49.575]  That was conservative.
[01:20:50.776 --> 01:20:52.457]  Okay?
[01:20:52.757 --> 01:20:53.278]  87 million people.
[01:20:53.318 --> 01:20:54.619]  That's bigger than the Super Bowl tune-in.
[01:20:55.672 --> 01:20:57.554]  And they were just like, okay, drop the hammer.
[01:20:57.574 --> 01:20:59.436]  They were already censoring before, shadow banning.
[01:20:59.456 --> 01:21:01.918]  They just... But that wasn't working.
[01:21:01.938 --> 01:21:05.041]  So they publicly banned us and de-platformed everything.
[01:21:05.201 --> 01:21:05.862]  That didn't work.
[01:21:06.462 --> 01:21:10.626]  And again, they need to destroy us to have that victory over the First Amendment.
[01:21:10.646 --> 01:21:12.187]  So we've been chosen as the champion.
[01:21:12.227 --> 01:21:14.990]  Like in the old days, like El Cid's a true story.
[01:21:15.010 --> 01:21:15.611]  It's a great movie.
[01:21:15.651 --> 01:21:16.251]  Very accurate.
[01:21:16.852 --> 01:21:20.015]  They would have two champions instead of two kingdoms going to war in ancient Spain.
[01:21:21.485 --> 01:21:24.207]  Uh, they would, uh, pick two champions to kill each other.
[01:21:24.227 --> 01:21:32.973]  And then whoever won, uh, that battle, instead of having 5,000 soldiers die, you only lost, uh, you know, one soldier because they were fighting the Moors.
[01:21:33.613 --> 01:21:37.796]  And so we couldn't have, they used to have big wars, but all those kingdoms, Spain had like six or seven kingdoms.
[01:21:38.236 --> 01:21:39.457]  But after that, they couldn't have many more.
[01:21:39.897 --> 01:21:41.699]  And so they want to destroy me.
[01:21:42.119 --> 01:21:43.540]  I've been chosen as the champion.
[01:21:44.020 --> 01:21:45.521]  I'm not saying I'm the champion.
[01:21:45.561 --> 01:21:46.882]  I'm not saying I'm perfect.
[01:21:47.302 --> 01:21:50.925]  They have chosen me as the symbol of Americana for destruction.
[01:21:51.685 --> 01:21:54.187]  And so now we talked about their plan, Bob, and what they're doing.
[01:21:54.507 --> 01:21:56.669]  Now we talk about how do we counter that.
[01:21:57.189 --> 01:22:07.858]  They were unable to destroy Trump, so now they've picked me to destroy as a morale booster, and to set the precedent to kill the First Amendment, and set the precedent to create the Alex Jones statute.
[01:22:08.338 --> 01:22:08.718]  Precisely.
[01:22:08.758 --> 01:22:17.385]  I mean, the goal and the objective is to demonize you to such a degree that they can demonize your message, and they can demonize your audience, and they can demonize anyone who ever wants to walk into your shoes.
[01:22:17.785 --> 01:22:20.187]  And so that's the continuous pattern that's taking place here.
[01:22:20.667 --> 01:22:27.472]  And it's a PR campaign that was launched in Hollywood with its caricature that it created in the Homeland Show.
[01:22:27.492 --> 01:22:29.613]  Then it's launched by the media and the press.
[01:22:29.653 --> 01:22:35.858]  Then they use the lawsuits for PR purposes rather than for legitimate lawsuit purposes as is already happening here.
