[00:00:17.094 --> 00:00:21.237]  Defending the Republic from enemies, foreign and domestic.
[00:24:42.381 --> 00:25:05.501]  People hear that, they understand how many great people we've got, and no matter what happens in full wars, folks, because I think we can hang on a while longer, but no matter what happens in full wars, I just want you to know you are the brain trust, whether you're old, young, black, white, Hispanic, whether you're from Mexico, whether you're from Germany, whether you're from Japan, whether you're from South Africa, if you love liberty and care about children and hate this globalist system, then you are awesome and you're part of the solution.
[00:25:05.801 --> 00:25:05.981]  If you
[00:25:05.981 --> 00:25:13.645]  If you know the 5G is evil, if you know the Mark of the Beast is real, if it's on your heart that evil is spreading and you need to fight it, then we're brothers and sisters forever.
[00:25:14.045 --> 00:25:27.791]  So next segment, I'll do part of the segment, I'm going to get focused and calm and get into really the biggest news of them all, how they're planning a race war in this country and how it's blowing up in their face by the grace of God.
[00:25:28.151 --> 00:25:35.115]  But finishing up with Rush Limbaugh here, I'm not taking Limbaugh out of the woods yet, but in fact,
[00:25:35.899 --> 00:25:50.227]  He's even made the point that when everybody sat there and ran from Congressman King, who's a great guy who did nothing wrong with the misquote in the New York Times, that that's why this country is falling apart is the intimidation of the corporate media, which is toothless.
[00:25:51.028 --> 00:25:53.909]  But if something's toothless, it can still scare you and run you off a cliff.
[00:25:54.329 --> 00:25:56.791]  As it waves its arms at you, it still wins.
[00:25:57.871 --> 00:26:00.653]  So I want to play this clip of Limbaugh, because remember, we can put it on screen.
[00:26:00.733 --> 00:26:02.354]  Anybody can type into a search engine.
[00:26:03.200 --> 00:26:10.403]  We writers, just to point out how we've been right, because they're always saying we're fake and they're trying to shut us down, because we're telling the truth.
[00:26:10.483 --> 00:26:14.344]  We are really the standard of as most accurate as you're going to get.
[00:26:14.384 --> 00:26:16.585]  We make mistakes sometimes, but we're trying to tell the truth.
[00:26:17.145 --> 00:26:17.905]  Opposite of CNN.
[00:26:18.185 --> 00:26:25.588]  So they brand us as fake, as making stuff up, and blah blah blah, all this because they're the fraud.
[00:26:25.668 --> 00:26:26.008]  And then,
[00:26:27.282 --> 00:26:34.085]  The years I've been telling you about the Deep State Coup, the 25th Amendment, exactly how they were doing it, the rogue elements who was involved, you can see it.
[00:26:35.065 --> 00:26:43.768]  And then, it's been months that the documents have come out, and the emails, and the text messages, and the congressional testimonies, exactly as I said, strocking.
[00:26:43.848 --> 00:26:45.989]  All these guys are scared, going, we're gonna go to jail!
[00:26:46.029 --> 00:26:47.530]  You didn't do anything wrong!
[00:26:51.909 --> 00:26:53.410]  We're good to go.
[00:27:20.265 --> 00:27:28.547]  All right, it appears that we have just lost Alex, but he will be joining us in the next segment, or if he's able to get through here before the end of this segment, I'm sure he will.
[00:27:28.587 --> 00:27:30.668]  But I can finish off the analogy he's making.
[00:27:30.708 --> 00:27:43.551]  If you understand the history, Tokyo Rose was a Japanese broadcaster that would go on air, I believe it was after we dropped the atom bombs on Japan, and would say, oh, the U.S.
[00:27:43.611 --> 00:27:44.531]  armies are retreating!
[00:27:44.891 --> 00:27:46.291]  Japanese victory for all!
[00:27:46.351 --> 00:27:46.792]  Hooray!
[00:27:46.852 --> 00:27:48.372]  Today's a great day for Japan!
[00:27:49.631 --> 00:28:05.637]  That's what CNN, MSNBC, ABC, NBC, New York Times, Washington Post does when they say every new story they run, Cohen's gonna bring down Trump, Manafort will bring down Trump, Stone will bring down Trump, and the list goes on and on.
[00:28:05.917 --> 00:28:07.977]  Russian collusion, they have no Russian collusion.
[00:28:07.997 --> 00:28:09.658]  I mean, they've tried everything.
[00:28:11.439 --> 00:28:18.141]  And so they've got their minions on air as the Tokyo Roses telling the brainwashed masses
[00:28:19.585 --> 00:28:21.807]  That everything's gonna be okay.
[00:28:22.167 --> 00:28:22.707]  Don't worry.
[00:28:23.648 --> 00:28:25.169]  We're gonna get Trump.
[00:28:26.290 --> 00:28:27.030]  We've got him.
[00:28:27.991 --> 00:28:29.052]  We've got the evidence.
[00:28:30.032 --> 00:28:31.053]  We've got the documents.
[00:28:31.073 --> 00:28:32.374]  We've got the Russian collusion.
[00:28:32.414 --> 00:28:33.115]  We've got it all.
[00:28:33.155 --> 00:28:34.476]  And we're gonna get Trump.
[00:28:36.177 --> 00:28:41.981]  But the truth is, Trump's got all the evidence on them.
[00:28:44.302 --> 00:28:46.364]  Alex Jones, would you like to take us to break?
[00:28:47.819 --> 00:28:49.320]  Sorry, my line cut out.
[00:28:49.360 --> 00:28:55.061]  But when we come back, I'm going to try to settle down and just lay out the big picture of what's about to happen next and why the enemy's coming after everybody.
[00:28:55.762 --> 00:28:57.122]  In fours, it's only the first domino.
[00:28:57.142 --> 00:28:57.722]  We all know that.
[00:28:57.782 --> 00:28:58.583]  Everything's confirmed.
[00:28:58.803 --> 00:28:59.663]  We've been dead on.
[00:28:59.963 --> 00:29:00.683]  So just stay with us.
[00:29:02.984 --> 00:29:14.128]  This isn't words because I know everybody hears hype and there's thousands of channels and
[00:29:15.407 --> 00:29:16.727]  This is the channel they're trying to shut down.
[00:29:17.148 --> 00:29:18.088]  This is what they don't want on there.
[00:29:18.248 --> 00:29:19.508]  This is the wild card.
[00:29:19.688 --> 00:29:23.050]  Time and time again, when nobody else is covering it, we're covering it.
[00:29:23.190 --> 00:29:24.650]  It breaks out, and it defeats them.
[00:29:24.850 --> 00:29:28.351]  So, if you want to defeat the globalists, just keep doing what you've already been doing.
[00:29:28.391 --> 00:29:33.733]  Remember that, yeah, you can get censored or banned on YouTube or Twitter or Facebook for promoting it on fullworse.com links.
[00:29:33.753 --> 00:29:34.374]  We make it easier.
[00:29:34.454 --> 00:29:35.354]  Promote a NewsWorse link.
[00:29:35.414 --> 00:29:37.134]  That doesn't get you banned 10% as much.
[00:29:37.214 --> 00:29:37.855]  But who cares?
[00:29:38.235 --> 00:29:40.876]  They built these platforms to get us in there like a web.
[00:29:41.696 --> 00:29:47.639]  So the spiders would have us caught and come up and say, do what we say or we'll not let you talk to people.
[00:29:48.619 --> 00:29:50.600]  And you go, okay, and they tie her in the web.
[00:29:51.440 --> 00:29:53.901]  And then pretty soon it's like, you can't get free now.
[00:29:54.281 --> 00:29:55.802]  Mmm, delicious.
[00:29:56.342 --> 00:30:05.366]  And that's exactly who Jack Dorsey and all these people are, smart ass spiders that all screw each other and lie and just, oh yeah.
[00:30:06.969 --> 00:30:09.591]  We've got a Bitcoin pump and dump.
[00:30:09.691 --> 00:30:14.054]  I dumped my stock before it plunged, and now I'm gonna sucker you back in.
[00:30:20.596 --> 00:30:21.897]  That's how the spider operates.
[00:30:22.017 --> 00:30:23.699]  You gotta learn to recognize the spider.
[00:30:23.819 --> 00:30:25.520]  It's in love with itself.
[00:30:25.820 --> 00:30:26.701]  It's fallen.
[00:30:26.921 --> 00:30:30.164]  And it's so sure of itself and how it can destroy everything around it.
[00:30:30.204 --> 00:30:31.845]  But we're here to say no.
[00:30:32.065 --> 00:30:40.692]  InfoWars has been chosen out of the spectrum of resistance because it's one of the leading lights.
[00:30:42.284 --> 00:30:43.744]  The spiders don't like light.
[00:30:44.005 --> 00:30:44.545]  They like dark.
[00:30:45.265 --> 00:30:52.607]  And so, if they're able, they believe, to shut us down, they believe they've killed a major nexus point for human expression and human freedom.
[00:30:52.967 --> 00:30:56.408]  The Lord works in mysterious ways, but I can tell you this.
[00:30:56.628 --> 00:30:59.129]  The fact that we're persecuted shows we're over the target end.
[00:30:59.369 --> 00:31:08.597]  We just have to hold on a few more years into the future for things we're going to do that don't just give us the big victories that you've already delivered, the listeners, by supporting us.
[00:31:08.697 --> 00:31:09.418]  We're all in this together.
[00:31:09.478 --> 00:31:14.802]  But to even bigger victories that make was-you-mad-he's-gotta-go-through a lot easier.
[00:31:14.882 --> 00:31:16.604]  And I realize that's the commitment.
[00:31:16.664 --> 00:31:19.146]  If I'm willing to go all the way, and if you're willing to go all the way,
[00:31:19.466 --> 00:31:29.533]  There's going to be major dividends for our children and for society and culture where, you know, only a billion people are going to die in this Armageddon instead of like seven billion.
[00:31:30.193 --> 00:31:32.435]  I mean, seriously, like, it's kind of choose your adventure.
[00:31:33.215 --> 00:31:40.780]  If we really get involved now and say no to all this up front, then we're going to go through this metamorphosis and it's going to be rough, but it'll be OK.
[00:31:41.721 --> 00:31:46.768]  If we don't, I tell you, it's a very, very hard road we're going down.
[00:31:47.389 --> 00:31:51.755]  And so I would just ask everybody to really search their heart and soul and commit to this fight.
[00:31:51.795 --> 00:31:53.036]  Thank you all for your financial support.
[00:31:53.277 --> 00:31:55.400]  That's Beyond Critical and FullRestore.com.
[00:32:04.420 --> 00:32:08.283]  Getting your protein has never been easier with InfoWars Life Protein Bars.
[00:32:08.723 --> 00:32:15.609]  Available in delicious chocolate peanut butter and vanilla coconut flavors, these protein bars are the perfect answer for a snack on the go.
[00:32:15.969 --> 00:32:22.214]  InfoWars Life Protein Bars are nutrient-packed, portable protein bars for an easy-to-eat and great-tasting meal.
[00:32:22.534 --> 00:32:24.936]  Pre- or post-workout, fuel alternative.
[00:32:25.336 --> 00:32:35.563]  At just 240 calories per bar and 15 grams of protein each, these bars will be your favorite at-hand snack for at home, in the car, at work, or on the go.
[00:32:35.703 --> 00:32:45.030]  For getting nutrients easily, high in fiber and nutrients with wholesome ingredients for high-level performance with great taste, such as whey protein and chocolate compounds.
[00:32:45.290 --> 00:32:49.292]  These protein bars can help you with the boost you need to reach your goals.
[00:32:49.632 --> 00:32:58.216]  Protein-packed and full of fiber and healthy ingredients, InfoWars Life Protein Bars are a can't-miss snack for any InfoWarrior serious about their energy.
[00:32:58.356 --> 00:33:01.437]  Try both flavors today at InfoWarsStore.com.
[00:33:06.559 --> 00:33:09.361]  You're listening to The Alex Jones Show.
[00:33:14.423 --> 00:33:15.003]  We've got it.
[00:33:15.043 --> 00:33:21.488]  This transmission is coming to you.
[00:33:21.568 --> 00:33:25.691]  Waging war on corruption.
[00:33:25.931 --> 00:33:31.715]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[00:33:32.455 --> 00:33:33.456]  We've got it.
[00:33:42.605 --> 00:33:48.929]  Truly an incredible time to be alive, ladies and gentlemen.
[00:33:48.969 --> 00:33:50.850]  Welcome back to the Alex Jones Show.
[00:33:51.051 --> 00:33:53.592]  Alex Jones is on the line with us.
[00:33:55.193 --> 00:33:59.756]  And it's really impossible to measure what is the biggest news right now.
[00:33:59.896 --> 00:34:01.537]  Of course, it's all connected.
[00:34:02.718 --> 00:34:04.399]  It all stems from the same thing.
[00:34:04.519 --> 00:34:09.603]  A bunch of kleptocrat, bureaucrat, technocrats
[00:34:10.851 --> 00:34:14.655]  Have occupied the US government and we're selling it down the drain and we're ready to overflow it.
[00:34:15.275 --> 00:34:17.217]  The American people rose up and elected Donald Trump.
[00:34:17.918 --> 00:34:33.312]  And now that group of vicious criminals are doing everything they possibly can to stop America from getting out of the corpse that they were nailing shut and identifying them and doing what God's justice may be.
[00:34:33.913 --> 00:34:34.393]  So Alex
[00:34:35.453 --> 00:34:51.759]  What do the American people do when they see that there is an open coup against the President of the United States, when there's media hoaxes every week now trying to demonize the President and his supporters, and, of course, you have the Russian collusion narrative totally boomeranging back onto the Democrats.
[00:34:51.799 --> 00:34:53.079]  When will that investigation happen?
[00:34:53.099 --> 00:34:56.440]  So, it's really an amazing, we call it the quickening, Alex.
[00:34:56.941 --> 00:35:01.782]  It's really amazing that all this is happening at once, and it just provides really a window
[00:35:03.963 --> 00:35:05.764]  That's right.
[00:35:05.804 --> 00:35:14.866]  Let me try to answer that incredibly well-stated question this way.
[00:35:16.847 --> 00:35:19.507]  Ladies and gentlemen, there's a thousand channels out there on cable.
[00:35:19.547 --> 00:35:21.108]  There's a million channels on the internet.
[00:35:21.748 --> 00:35:24.589]  And most of it is absolute pure garbage that's been done by design.
[00:35:25.529 --> 00:35:28.191]  But what is the most censored, most demonized, most attacked thing out there?
[00:35:28.251 --> 00:35:32.333]  It's InfoWars.com, it's NewsWars.com, it's President Trump.
[00:35:32.413 --> 00:35:33.514]  Now, now, now, why is that?
[00:35:34.615 --> 00:35:36.576]  They also constantly want to get rid of DrugReport.com.
[00:35:37.476 --> 00:35:38.217]  It's because...
[00:35:39.145 --> 00:35:40.126]  InfoWars isn't perfect.
[00:35:40.266 --> 00:35:40.926]  I'm not perfect.
[00:35:41.127 --> 00:35:42.007]  But I mean well.
[00:35:42.448 --> 00:35:43.248]  I'm trying to tell the truth.
[00:35:43.328 --> 00:35:43.989]  I care about the country.
[00:35:44.329 --> 00:35:46.451]  The President does some things I don't like.
[00:35:47.051 --> 00:35:49.413]  But I know for a fact, he's actually the President.
[00:35:50.073 --> 00:35:51.274]  He actually calls the shots.
[00:35:51.795 --> 00:35:52.615]  Not the bureaucrats.
[00:35:52.795 --> 00:35:54.236]  He's gotten rid of almost all the lobbyists.
[00:35:54.737 --> 00:35:55.898]  And that's why they're so angry.
[00:35:57.179 --> 00:36:01.922]  He's actually trying to do things he thinks is best for the country.
[00:36:02.523 --> 00:36:02.803]  Period.
[00:36:03.564 --> 00:36:09.467]  And that's why they're angry, is all these special interests from Hollywood, the Chi-Coms, the rest of them, don't have full control.
[00:36:10.048 --> 00:36:12.909]  And they're fighting for what they think was already their quarry.
[00:36:13.490 --> 00:36:14.470]  What they already owned.
[00:36:14.970 --> 00:36:16.071]  What they'd already captured.
[00:36:16.611 --> 00:36:17.712]  What they had already usurped.
[00:36:17.772 --> 00:36:24.896]  And so, I was trying to tell the guys during the break, and gals up at the office, what we're going to call this show today once it's posted at InfoWars.com.
[00:36:26.210 --> 00:36:34.635]  Sometimes the full show, even though we've been censored, ends up having a million viewers in the next few days, and people get excited about it and email it out and share it.
[00:36:34.655 --> 00:36:36.056]  People don't, it's about 30,000 views.
[00:36:36.576 --> 00:36:41.599]  The live show has millions tuned in right now, but the archive of this is really important.
[00:36:41.639 --> 00:36:46.122]  We pay for the bandwidth, we pay for the servers, we do all this because we need to have a record.
[00:36:47.584 --> 00:36:50.347]  Of what we've said, because that's the power of Infowars.
[00:36:50.407 --> 00:36:56.031]  Later, when it comes true, it's that evergreen power that scares the power structure so much.
[00:36:56.071 --> 00:37:00.375]  That's why the only people who can carry the ball during the censorship is the audience.
[00:37:00.395 --> 00:37:01.616]  So, again, you're more important than ever.
[00:37:02.176 --> 00:37:03.357]  So, here's what's happening.
[00:37:05.319 --> 00:37:07.401]  We're in the middle of an attempt to complete overthrow of the country.
[00:37:07.661 --> 00:37:13.926]  Trump and the American people, through a national insurgency, because the globals were so arrogant, got Trump in and a Bichet.
[00:37:14.627 --> 00:37:16.088]  That has been fought to a standstill.
[00:37:16.846 --> 00:37:18.347]  The deep state's been exposed on many fronts.
[00:37:18.387 --> 00:37:18.967]  They're in trouble.
[00:37:19.027 --> 00:37:21.708]  But for whatever reason, Trump isn't moving against them.
[00:37:22.129 --> 00:37:25.230]  And so I've fought long and hard about this and what's really going on.
[00:37:25.350 --> 00:37:43.219]  And the truth is, Trump is surrounded by a bunch of yes-men who are following a lot of his orders, but still not willing to go on the offense against the globalist criminals politically, economically, and through the judicial system.
[00:37:43.359 --> 00:37:43.779]  Okay, fine.
[00:37:44.745 --> 00:37:45.806]  It's up to us to do that.
[00:37:46.306 --> 00:37:48.968]  So yeah, I don't like some of his compromises on immigration.
[00:37:49.409 --> 00:37:50.950]  I don't like some of the other deals he's made.
[00:37:50.970 --> 00:37:54.052]  But if you look at everything in the main, he's at least our president.
[00:37:54.593 --> 00:37:55.894]  The locals are angry about that.
[00:37:55.914 --> 00:38:02.959]  They're trying to remove him because what they've got in store is so much worse if they get in.
[00:38:03.219 --> 00:38:04.260]  Has he gotten it all done?
[00:38:04.300 --> 00:38:05.081]  He's gotten a lot done.
[00:38:05.101 --> 00:38:06.162]  He's done a great job in many ways.
[00:38:07.355 --> 00:38:11.260]  But if we just sit here and are holier-than-thou like Ann Coulter, we're going to lose the whole shooting metric.
[00:38:11.280 --> 00:38:14.844]  Listen, Hillary was going to crack down on free speech and do a bunch of bad stuff once she got in.
[00:38:14.884 --> 00:38:15.444]  That was admitted.
[00:38:15.905 --> 00:38:23.274]  But now that they've had their nose bloodied, and their ribs politically broken, and their leg broken, they aren't going to give us any quarter.
[00:38:23.654 --> 00:38:25.096]  When they get back into power,
[00:38:26.087 --> 00:38:29.488]  They're going to come for the guns, your children, the borders.
[00:38:29.769 --> 00:38:30.749]  They're going to start wars.
[00:38:30.789 --> 00:38:32.009]  They've said they're going to do it.
[00:38:32.250 --> 00:38:34.731]  They are in a mad dog insane craze.
[00:38:35.251 --> 00:38:37.212]  Talking about 70 and 90 percent taxes.
[00:38:37.232 --> 00:38:39.673]  Talking about you're going to have your meat taken away from you.
[00:38:39.733 --> 00:38:40.273]  Guaranteed.
[00:38:40.333 --> 00:38:40.933]  Cory Booker.
[00:38:42.534 --> 00:38:43.794]  America sucks.
[00:38:43.834 --> 00:38:44.555]  It was never great.
[00:38:45.455 --> 00:38:46.355]  These are enemies.
[00:38:46.996 --> 00:38:54.779]  They were hired and chosen because they're low IQ traders that will serve the Chai Kams and the mega corporations and the Apples and the Tim Cooks.
[00:38:56.074 --> 00:38:57.235]  And here's a good part about it.
[00:38:57.395 --> 00:39:00.056]  God always says this in the Bible, and I've seen it in my own life.
[00:39:00.116 --> 00:39:00.717]  It's all true.
[00:39:02.358 --> 00:39:13.284]  Evil, when it thinks it's about to take over, shows who it is, and we have all been shown the abject, insane, over-the-top, foaming-at-the-mouth evil of these people.
[00:39:13.664 --> 00:39:17.886]  They have really shown us just how bad they are and all the crazy things.
[00:39:17.906 --> 00:39:20.508]  When we come back, we'll get into it, and then I'll get out of here.
[00:39:20.548 --> 00:39:24.210]  This Chessie Smollett, Mullet guy,
[00:39:25.211 --> 00:39:40.249]  Well, of course, obviously there weren't two dudes in Chicago in the middle of 20 Below in the night running up to some black gay actor and putting a noose around his neck and dumping bleach on him and calling him the N-word and keep America great and make America great.
[00:39:41.443 --> 00:39:43.023]  Obviously that was out of central casting.
[00:39:43.043 --> 00:39:45.524]  Well now they busted the Nigerians trying to get out of the country.
[00:39:45.564 --> 00:39:47.225]  The Nigerians have turned state's evidence.
[00:39:47.245 --> 00:39:48.065]  We knew this days ago.
[00:39:48.085 --> 00:39:50.986]  Now even CNN is having to admit it and get ahead of it.
[00:39:51.846 --> 00:39:57.167]  And now reportedly the police are looking for the so-called empire actor.
[00:39:57.527 --> 00:40:00.308]  But all he was doing was continuing what he sees
[00:40:01.068 --> 00:40:06.230]  On HBO, on ABC, on NBC, on Netflix.
[00:40:06.731 --> 00:40:11.613]  Every show you tune into is how white people are all racist and how black people are oppressed.
[00:40:11.933 --> 00:40:16.115]  It's a wonder more black people aren't rioting or killing people or staging things.
[00:40:17.115 --> 00:40:22.538]  Because you turn on television and every program you see is kind of an erasion program.
[00:40:24.864 --> 00:40:28.666]  Black people and women are targeted by high-tech brainwashing.
[00:40:28.986 --> 00:40:38.309]  So instead of hating them and getting down to the level of the brainwashing, as most black folks don't buy it, most women don't buy it, we have to reach out to these people and show them the programming and imagine
[00:40:39.187 --> 00:40:45.229]  We're not supposed to question public events like dead babies and incubators that didn't happen to start the Iraq War, or other events.
[00:40:45.649 --> 00:40:49.891]  But this just proves it to everybody that almost every hate crime out there is staged.
[00:40:50.371 --> 00:40:57.354]  Because the truth is, America and England and other countries and the nations that ended slavery were the ones that first said, get rid of it.
[00:40:57.594 --> 00:41:03.316]  So how are we the bad people for being the first ones that got rid of it, when in Africa and the Middle East, it's still legal?
[00:41:03.776 --> 00:41:06.017]  So when we come back, we'll talk about that, but again, to the audience.
[00:41:07.178 --> 00:41:07.798]  Ladies and gentlemen,
[00:41:08.701 --> 00:41:11.282]  It's an open track whether InfoWars is going to be able to continue on.
[00:41:11.342 --> 00:41:13.783]  I've tried to expand the enemy squadron to a standstill.
[00:41:13.803 --> 00:41:17.124]  I hate to be honest about that and admit it, but you've seen everything they've done.
[00:41:17.144 --> 00:41:20.945]  The censorship, the attacks, the kicking us off, everything, the suing us.
[00:41:21.166 --> 00:41:22.006]  But we can win!
[00:41:22.965 --> 00:41:28.249]  The audience goes, wow, I need high-quality toothpastes, fluoride-free, oil, silver, iodine fortified.
[00:41:28.549 --> 00:41:29.550]  I need high-quality coffee.
[00:41:30.090 --> 00:41:37.656]  I need to get great protein bars that are $5, $6, $7 value at Whole Foods for $3 a piece on average.
[00:41:37.716 --> 00:41:44.261]  Right now, $2.40 per bar in the 12 packs we're selling of the new high-end Infor Wars protein bars.
[00:41:44.681 --> 00:41:46.582]  I guess they'll call that snake protein next.
[00:41:46.602 --> 00:41:51.426]  The media demonizes it that we dare, after they've taken everything from us, sell great products to you,
[00:41:51.986 --> 00:41:53.467]  So you support us, we get the word out.
[00:41:53.487 --> 00:41:54.068]  So here's the deal.
[00:41:54.088 --> 00:41:58.071]  I want to thank all the listeners that have bought products from Forestore.com.
[00:41:58.831 --> 00:42:01.053]  But you hear a lot of marketing, a lot of stuff out there.
[00:42:01.073 --> 00:42:02.174]  My marketing is straight shooting.
[00:42:02.795 --> 00:42:09.580]  We've got great supplements, the best fish oil, the great, the best nootropics, the best energy products out there.
[00:42:09.640 --> 00:42:17.266]  TurboForce, BrainForce Plus, all of it is 50% off right now, but we got it in the sale in the next few days because we're running low on BrainForce.
[00:42:17.666 --> 00:42:18.707]  Turbo Force is incredible.
[00:42:18.727 --> 00:42:19.787]  It's total body energy.
[00:42:19.827 --> 00:42:20.447]  Super clean.
[00:42:20.768 --> 00:42:21.808]  Lasts up to 10 hours.
[00:42:23.069 --> 00:42:24.569]  It's amazing with the amino acids.
[00:42:24.689 --> 00:42:25.070]  All of it.
[00:42:25.510 --> 00:42:26.570]  Turbo Force is there.
[00:42:26.870 --> 00:42:27.651]  Brain Force Plus.
[00:42:27.671 --> 00:42:28.231]  Get them together.
[00:42:28.251 --> 00:42:30.692]  50% off in full or store.com.
[00:42:30.712 --> 00:42:31.733]  Because here's the deal, folks.
[00:42:32.033 --> 00:42:36.395]  This isn't like a boxing match where it doesn't matter who wins because you're just watching a boxing match.
[00:42:36.415 --> 00:42:37.215]  We are the people.
[00:42:37.275 --> 00:42:38.756]  People always say, we're the Patriots.
[00:42:39.276 --> 00:42:40.638]  Why don't folks stand up against the New World Order?
[00:42:40.658 --> 00:42:42.359]  Why don't they stand up against the U.S.?
[00:42:42.499 --> 00:42:55.031]  We're doing it thanks to you, but now we're in the middle of the most intense fight ever, and it's going to get more intense, so we need your commitment now at importwars4.com, or by calling toll-free, 888-253-3139.
[00:42:55.091 --> 00:43:01.918]  But whatever you do, spread the word about the broadcast every day, because you are the resistance, and they can't stop you when you take action.
[00:43:05.550 --> 00:43:09.534]  If you are receiving this transmission, you are the resistance.
[00:43:12.157 --> 00:43:15.160]  Hey, I don't complain about it, but this is a real war.
[00:43:15.200 --> 00:43:19.404]  This isn't like your average show, like, oh, we're the cutting edge, oh, the Tempest Bureau support us.
[00:43:20.125 --> 00:43:24.910]  We are in absolute contention in war with the globalists.
[00:43:25.973 --> 00:43:28.895]  We are taking them on at point-blank range.
[00:43:29.155 --> 00:43:33.257]  And if you go to the establishment hotels or go to establishment grocery stores, I don't judge you.
[00:43:33.297 --> 00:43:33.817]  We all do it.
[00:43:33.897 --> 00:43:34.838]  That's all you can buy from.
[00:43:34.878 --> 00:43:41.381]  But if you just get your coffee, organic, high-quality, Inforestore.com, five stars, third-party review sites, Wake of America Coffee.
[00:43:41.441 --> 00:43:44.983]  If you just get your high-quality, chloride-free, chloral, silver, iodine-fortified
[00:43:45.183 --> 00:43:46.124]  Super Blue Toothpaste.
[00:43:46.364 --> 00:43:51.546]  If you just get your InfoWars Live Protein Bar, 15 grams of protein, highest quality.
[00:43:51.766 --> 00:43:53.928]  They sell the average competitor to six, seven bucks.
[00:43:53.968 --> 00:43:55.348]  These are $3 a regular price.
[00:43:55.849 --> 00:43:57.149]  $2.40 discount in 12 packs.
[00:43:57.329 --> 00:43:58.810]  We've got them in two different flavors.
[00:43:58.830 --> 00:44:00.211]  We've got them in vanilla coconut.
[00:44:00.331 --> 00:44:02.872]  We've got them in, of course, peanut butter and chocolate.
[00:44:02.932 --> 00:44:03.913]  It's the highest end.
[00:44:04.113 --> 00:44:05.133]  It's at a lower price.
[00:44:05.353 --> 00:44:06.114]  No reviews yet.
[00:44:06.134 --> 00:44:07.134]  We just went on sale today.
[00:44:07.154 --> 00:44:08.515]  How will the media demonize that?
[00:44:08.535 --> 00:44:10.076]  Oh, he sells protein bars!
[00:44:10.196 --> 00:44:10.376]  No.
[00:44:10.436 --> 00:44:11.617]  That's not allowed.
[00:44:11.637 --> 00:44:13.718]  12 bars, $36 instead of $48.
[00:44:13.778 --> 00:44:15.319]  It's a huge savings.
[00:44:15.419 --> 00:44:16.660]  It funds our whole operation.
[00:44:16.760 --> 00:44:19.642]  Please take action at ForgedLife.com or ForgedCore.com.
[00:44:19.862 --> 00:44:23.045]  And there's a big sale ending, by the way, this weekend as well.
[00:44:23.065 --> 00:44:28.808]  50% off on Brain Force Plus, our great nootropic, and, of course, the combo pack Turbo Force.
[00:44:28.848 --> 00:44:31.550]  But whatever you do, fund us because without you, we're going nowhere.
[00:44:31.590 --> 00:44:36.914]  But listen, get your coffee, get your toothpaste, get your protein bar, sign up for AutoShip, additional 10% off.
[00:44:37.274 --> 00:44:38.095]  And don't worry about it.
[00:44:38.115 --> 00:44:40.096]  Know you're funding the info or a total win-win.
[00:45:05.563 --> 00:45:12.908]  Probably 10 years ago or more that Barbra Streisand had this huge mansion on the edge of the ocean.
[00:45:13.829 --> 00:45:15.330]  And somebody had just reported about it.
[00:45:16.190 --> 00:45:18.352]  And so she tried to have them basically shut down.
[00:45:18.432 --> 00:45:21.894]  And that drew a million times more attention to it all.
[00:45:22.735 --> 00:45:32.041]  But the social engineers, because I read about it in the news, they actually openly talk about how to censor conservatives and nationalists and how to make sure people don't care about them.
[00:45:32.301 --> 00:45:33.142]  And they say, well,
[00:45:34.022 --> 00:45:36.724]  As long as we censor a lot of them at one time, it won't matter.
[00:45:37.044 --> 00:45:40.166]  And they'll give it more attention at first, but then later everybody will forget about it.
[00:45:40.326 --> 00:45:41.807]  Because the public's dumb and doesn't have a memory.
[00:45:42.147 --> 00:45:45.029]  They're betting on you not valuing information.
[00:45:45.349 --> 00:45:46.810]  And there are thousands of channels out there.
[00:45:46.830 --> 00:45:47.351]  Tens of thousands.
[00:45:48.200 --> 00:45:54.208]  But InfoWars is what they've targeted particularly because we've got their number and we know about their criminal plans.
[00:45:54.728 --> 00:46:00.095]  So of all the ways you can spread the word about InfoWars, the newest and one of the coolest is hiding in plain view.
[00:46:00.275 --> 00:46:01.317]  But why did I think of this?
[00:46:01.777 --> 00:46:04.381]  Text the word NEWS to the number 33222.
[00:46:06.543 --> 00:46:16.205]  And we will send you one alert a day of the most important breaking news for you to hopefully spread, everybody you know, to cause that chain reaction of communication they fear so much.
[00:46:16.225 --> 00:46:27.548]  And if you want to get live breaking news feeds, when it's not just my main show every day, but emergency live reports we do almost every day, when we do those we will send you a text that we're going live.
[00:46:27.668 --> 00:46:29.688]  Hopefully you'll spread it, that's what's really key.
[00:46:30.189 --> 00:46:30.909]  Text the word show
[00:46:31.929 --> 00:46:32.770]  To the number 3-3-2-2-2.
[00:46:32.930 --> 00:46:37.274]  Ladies and gentlemen, nothing can stop you when you take action.
[00:46:37.854 --> 00:46:39.816]  Nothing can stop you when you resist the globalists.
[00:46:40.357 --> 00:46:44.140]  They are counting on you being weak, and having no memory, and not taking action.
[00:46:44.580 --> 00:46:50.686]  When you make it fun to fight these bastards, and realize it's an info war, you're unstoppable, and we will defeat these people.
[00:46:51.106 --> 00:46:53.048]  Everything is now in your hands.
[00:46:53.569 --> 00:46:57.052]  Text to those numbers, and spread those links, and we will win.
