[00:00:22.884 --> 00:00:24.244]  September 8, 2019.
[00:24:24.345 --> 00:24:26.026]  Notice, they don't want the old state.
[00:24:26.026 --> 00:24:30.426]  Oh, we don't want to get the government involved, the police involved, or the courts.
[00:24:30.426 --> 00:24:33.167]  No, no, the mother and the hospital.
[00:24:34.872 --> 00:24:37.013]  This is all the medical bullying, you see.
[00:24:37.013 --> 00:24:38.273]  And then they keep the baby alive.
[00:24:38.273 --> 00:24:42.895]  And again, I was talking to an RN six months ago or less, in my kitchen.
[00:24:42.895 --> 00:24:44.876]  I'm not going to go any further.
[00:24:44.876 --> 00:24:45.997]  Because families asked me not to.
[00:24:45.997 --> 00:24:47.597]  They've heard about me talking about this.
[00:24:47.597 --> 00:24:49.078]  But it's family.
[00:24:49.078 --> 00:24:51.639]  Somewhat distant, but it's family.
[00:24:51.639 --> 00:24:54.200]  In my kitchen.
[00:24:54.200 --> 00:24:57.181]  And she was shooting her mouth off about Trump taking women's right away from abortion.
[00:24:57.181 --> 00:25:00.022]  I said, okay, let's kill babies up to age nine in the womb.
[00:25:00.022 --> 00:25:01.343]  But how about the ones they're keeping alive?
[00:25:02.315 --> 00:25:05.756]  And she goes, well, I know, actually, of a ward in my facility.
[00:25:05.756 --> 00:25:11.998]  I don't work in it, but, yeah, they keep them in oxygen tents, and there's people that have been in car wrecks, too, until, you know, they're ready to be harvested.
[00:25:11.998 --> 00:25:13.239]  That's how we don't waste the ore.
[00:25:13.239 --> 00:25:19.281]  And she went, uh, uh, uh, as she started shaking, uh, oh, God, uh, uh, and, like, literally ran in the bathroom and started crying.
[00:25:19.281 --> 00:25:20.181]  Because I hit her!
[00:25:20.181 --> 00:25:24.223]  I hit her!
[00:25:24.223 --> 00:25:25.303]  You see how sick they are?
[00:25:26.670 --> 00:25:33.714]  So Northam and all these people have to just walk this out in front all of us, you see, and like it's no big deal.
[00:25:33.714 --> 00:25:42.800]  We keep, we don't get the government involved, don't get the people, the mother and the hospital gonna decide.
[00:25:42.800 --> 00:25:51.745]  And he's right out in front of you talking about a massive crime, because the states are passing laws to kill them after they're born.
[00:25:51.745 --> 00:25:52.726]  That's what New York's done.
[00:25:54.870 --> 00:25:57.011]  Up until and birth.
[00:25:57.011 --> 00:25:58.472]  It says and when they're born.
[00:25:58.472 --> 00:25:59.953]  And at birth.
[00:25:59.953 --> 00:26:01.234]  At birth!
[00:26:01.234 --> 00:26:02.655]  It's always more.
[00:26:02.655 --> 00:26:08.278]  Buddha Judge is saying, oh, life isn't until you take the first breath.
[00:26:08.278 --> 00:26:13.000]  When you slap the baby on the butt, the ventricles and the heart open up and it starts really pumping oxygen through the lungs.
[00:26:13.000 --> 00:26:16.983]  Before that, the baby's living off the placenta and off its oxygen, but the heart's still beating.
[00:26:18.100 --> 00:26:19.961]  Those ventricles haven't opened up yet.
[00:26:19.961 --> 00:26:25.122]  They're saying that's when you start living, not when you're sucking your thumb, not when they're playing inside the womb.
[00:26:25.122 --> 00:26:29.144]  But now, see, Buddha judged, you got the old news.
[00:26:29.144 --> 00:26:30.164]  No, no, no, no, no.
[00:26:30.164 --> 00:26:31.285]  This is happening now.
[00:26:31.285 --> 00:26:34.866]  So let's go ahead and hear from Governor Northam.
[00:26:34.866 --> 00:26:35.226]  Here it is.
[00:26:35.868 --> 00:26:42.234]  So in this particular example, if a mother is in labor, I can tell you exactly what would happen.
[00:26:42.234 --> 00:26:55.648]  The infant would be delivered, the infant would be kept comfortable, the infant would be resuscitated if that's what the mother and the family desired, and then a discussion would ensue between the physicians and the mother.
[00:26:56.906 --> 00:27:03.452]  We're going to come back with the full clip right after this break here in a moment, where he talks about keeping them comfortable and more.
[00:27:03.452 --> 00:27:18.105]  But right now, let's go ahead now and play the clip from what the people were indicted for in California for filming and taping people in restaurants bragging about how they're keeping babies alive and instilling their organs.
[00:27:18.105 --> 00:27:18.406]  Here it is.
[00:27:20.512 --> 00:27:26.741]  I thought I was going to be just drawing blood, not procuring tissue from aborted fetuses.
[00:27:32.841 --> 00:27:37.184]  They partnered with Planned Parenthood and they get part of the money.
[00:27:37.184 --> 00:27:42.547]  So, I was talking to Mary about what I'm trying to offer to clinics.
[00:27:42.547 --> 00:27:43.848]  It's a procurement service.
[00:27:43.848 --> 00:27:45.709]  And she said, you know all about this.
[00:27:45.709 --> 00:27:47.550]  You know, you can imagine where they would run with this.
[00:27:47.550 --> 00:27:53.094]  Like, they're selling... So I say, okay, what are you looking to supply today?
[00:27:53.094 --> 00:27:56.076]  We were asked to procure certain tissues, like
[00:27:56.976 --> 00:28:05.404]  Brain, liver, thymus, pancreas, heart, lungs, skin, pretty much anything on the fetus.
[00:28:05.404 --> 00:28:08.767]  A lot of people wanted intact parts of the face.
[00:28:08.767 --> 00:28:11.409]  They were looking for specific nodes, UV nodes.
[00:28:11.409 --> 00:28:12.771]  I was like, wow, I didn't even know.
[00:28:13.331 --> 00:28:14.112]  Good for them.
[00:28:14.112 --> 00:28:18.556]  I remember leaving that day like, what have I got myself into?
[00:28:18.556 --> 00:28:21.158]  Yesterday was the first time she said people wanted longer.
[00:28:21.158 --> 00:28:24.101]  And then she felt like I could always have many intact liver cells.
[00:28:24.101 --> 00:28:27.483]  So I don't want to sound like a salesman here, but I'm going to.
[00:28:27.483 --> 00:28:31.007]  So we return a portion of our fees to the clinic.
[00:28:31.007 --> 00:28:38.093]  Yeah, and so if we alter our process and we are able to obtain
[00:28:39.802 --> 00:28:41.643]  Intact fetal cadavers.
[00:28:41.643 --> 00:28:44.524]  It's all just a matter of line items.
[00:28:44.524 --> 00:28:52.327]  Oh yeah, I mean if you have intact cases, which we've we've done a lot, so we sometimes ship those back to our lab and it's a piety.
[00:28:52.327 --> 00:28:53.587]  Tell the lab it's coming.
[00:28:53.587 --> 00:28:55.488]  It'll open the box.
[00:28:55.488 --> 00:29:03.591]  At InfoWarsLive, we always try to bring you game-changing products.
[00:29:03.591 --> 00:29:08.053]  Now we've already been promoting and selling Super Silver Wound Gel for over a year.
[00:29:08.053 --> 00:29:08.353]  It's a better
[00:29:11.220 --> 00:29:11.700]  100% review rate
[00:29:30.407 --> 00:29:31.567]  And so much more.
[00:29:31.567 --> 00:29:37.449]  And this patented nano type of silver that has been proven to be the most effective and the best.
[00:29:37.449 --> 00:29:43.431]  It's got all these other great vitamins and compounds that are known to be wonderful for your skin.
[00:29:43.431 --> 00:29:49.332]  If you're a woman, man, if you're a child, we are so excited about the new Super Silver Skin Cream.
[00:29:49.332 --> 00:29:52.133]  We have it in the smaller tube and the large tube.
[00:29:52.133 --> 00:29:55.314]  It's very, very affordable and it funds our operations.
[00:29:55.314 --> 00:29:58.435]  Check it out today and get yours at Infowarslife.com.
[00:30:00.051 --> 00:30:09.399]  The DNA Force 50% off sale has to end in just a few days because we're selling out of the free bottle of Carnivore Digestive Enzyme we give you with each purchase.
[00:30:09.399 --> 00:30:13.783]  Listers agree DNA Force Plus is one of the best formulas ever from InfoWarsLife.com.
[00:30:13.783 --> 00:30:18.887]  With DNA Force Plus you get more than 15 premium and patented ingredients including L of ATP.
[00:30:19.207 --> 00:30:19.407]  I think?
[00:30:34.785 --> 00:30:37.587]  It is thought to be one of the most powerful adaptogens available.
[00:30:37.587 --> 00:30:39.168]  Coenzyme Q10.
[00:30:39.168 --> 00:30:44.792]  Found in every human cell, CoQ10 plays a key role in heart health, brain health, and even helps protect DNA.
[00:30:44.792 --> 00:30:50.556]  These amazing ingredients and others make it easy to see why so many listeners swear by DNA Force Plus.
[00:30:50.556 --> 00:30:52.638]  Take advantage of this special before you run out.
[00:30:52.638 --> 00:30:57.782]  Get DNA Force Plus for 50% off and get a free bottle of Carnivore at InfoWareStore.com.
[00:30:57.782 --> 00:30:58.983]  That's InfoWareStore.com.
[00:31:00.436 --> 00:31:06.578]  Super Mel Vitality is already in the top three of our best sellers for the six years we've had it.
[00:31:06.578 --> 00:31:14.721]  It is a award-winning formula produced in Utah by one of the top herbal companies in the nation that we've been private labeling.
[00:31:14.721 --> 00:31:16.001]  It is cold-pressed.
[00:31:16.001 --> 00:31:22.443]  It takes at least three times the herbs that are wild-crafted and organic to be able to produce this.
[00:31:22.443 --> 00:31:23.624]  It's not boiled.
[00:31:23.624 --> 00:31:24.404]  It's not heated.
[00:31:24.404 --> 00:31:25.585]  It's never been dried.
[00:31:25.585 --> 00:31:26.745]  It's taken from fresh
[00:31:27.285 --> 00:31:28.086]  Herbs.
[00:31:28.086 --> 00:31:30.789]  That's why it's so strong.
[00:31:30.789 --> 00:31:34.552]  That's why it's so effective for libido, stamina, and energy.
[00:31:34.552 --> 00:31:48.545]  And I'm so excited about Super Melo Vitality and Carnivore 30 that I'm offering you with every order of Super Melo Vitality a 25% off a free bottle of Carnivore Digestive Enzyme.
[00:31:48.545 --> 00:31:49.987]  We're going to sell out of this very quickly.
[00:31:50.447 --> 00:31:54.789]  But it's an offer so that you experience how amazing both these products are.
[00:31:54.789 --> 00:32:00.031]  Secure yours at InfoWarsStore.com today, or InfoWarsLife.com.
[00:32:00.031 --> 00:32:02.151]  Josh in Washington, you're on the air, go ahead.
[00:32:02.151 --> 00:32:03.472]  Alex, God bless you.
[00:32:03.472 --> 00:32:05.893]  I have an idea for a new InfoWars t-shirt.
[00:32:05.893 --> 00:32:11.095]  Instead of, this is your brain, this is your brain on drugs, this is your brain, this is your brain on 5G.
[00:32:12.515 --> 00:32:13.876]  Showing your brain, getting frat.
[00:32:13.876 --> 00:32:15.738]  Then I have some comments on your supplements, man.
[00:32:15.738 --> 00:32:16.779]  Totally changed my life.
[00:32:16.779 --> 00:32:23.404]  I use Turbo Force, Bodies, Alpha Power, Brain Force, Fish Oil, Ultra 12, Daily, X2 every several days now.
[00:32:23.404 --> 00:32:31.130]  What I've found is really combining them is a totally synergistic and transcendent feeling that I get by combining all your products.
[00:32:31.130 --> 00:32:34.453]  And I just want to urge all your listeners who haven't tried them, I just want to say, why not?
[00:32:34.653 --> 00:32:37.675]  You're right that all of these things are known to be incredible.
[00:32:37.675 --> 00:32:44.440]  Whether it's turmeric, or whether it's the fish oil, or the krill oil, or whether it's the DNA force, or the CoQ10, and BioPQQ, and all the rest of it.
[00:32:44.440 --> 00:32:46.982]  All of these are things that are like rocket fuel on the body.
[00:32:46.982 --> 00:32:50.104]  You take these bases together, then you have your foundation.
[00:32:50.104 --> 00:32:51.905]  Now you can build the big strong temple.
[00:32:51.905 --> 00:32:55.868]  With these products I take, when I religiously remember to take them, it makes my life so much better.
[00:32:55.868 --> 00:32:58.690]  And then it funds the information war, which is so critical.
[00:32:58.690 --> 00:32:59.390]  Thank you so much.
[00:32:59.390 --> 00:32:59.911]  God bless you.
[00:33:03.248 --> 00:33:05.969]  You're listening to The Alex Jones Show.
[00:33:05.969 --> 00:33:14.950]  The answer to 1984 is 1776.
[00:33:14.950 --> 00:33:18.231]  You're listening to The Alex Jones Show.
[00:33:33.742 --> 00:33:38.383]  You've heard the term, my friends, too big to fail.
[00:33:38.383 --> 00:33:48.966]  Well, it's certainly true in many respects, and those institutions always get more and more out of control until they bring down the entire civilization.
[00:33:48.966 --> 00:33:52.747]  But more dangerous than too big to fail is too evil to believe.
[00:33:52.747 --> 00:33:57.769]  And that's really what it comes down to.
[00:33:57.769 --> 00:34:02.470]  I remember growing up in Dallas, and my dad works in the medical field.
[00:34:03.726 --> 00:34:13.131]  Not just as a dentist and oral surgeon, but he at one time owned a hospital in Mesquite, Texas with one other partner, which was pretty successful.
[00:34:13.131 --> 00:34:19.074]  And he told me that he was told that other hospitals were killing people and harvesting their organs.
[00:34:20.069 --> 00:34:22.630]  So I shouldn't sign my organ donor card.
[00:34:22.630 --> 00:34:28.231]  And we were moving down here when I was about 15, but I remember him saying, don't sign the organ donor card.
[00:34:28.231 --> 00:34:41.976]  And then a few years later, probably seven, eight years later, 60 Minutes said Chicago and Dallas, Texas and named hospitals killing people for their organs.
[00:34:41.976 --> 00:34:43.476]  Well, there you go.
[00:34:43.476 --> 00:34:45.797]  See, too evil to believe.
[00:34:47.537 --> 00:34:49.718]  You know, most psychopaths are slick.
[00:34:49.718 --> 00:34:50.579]  They dress nice.
[00:34:50.579 --> 00:34:54.341]  They're not just some crazy guy that wants to grab your kid out of the backyard and doesn't know what he's doing.
[00:34:54.341 --> 00:34:59.043]  They're crazy guys that know what they're doing and have very high IQs.
[00:34:59.043 --> 00:35:03.666]  Psychopaths, statistically, have the highest IQs of any group.
[00:35:03.666 --> 00:35:08.489]  And there's white ones, there's Asian ones, there's black ones, there's brown ones.
[00:35:08.489 --> 00:35:09.689]  Most of them are men.
[00:35:09.689 --> 00:35:12.791]  Some are women, but 90% plus are men.
[00:35:12.791 --> 00:35:16.233]  And they're very, very real, ladies and gentlemen.
[00:35:17.438 --> 00:35:21.181]  And they know that you can't believe what's going on.
[00:35:21.181 --> 00:35:24.363]  So let's get back to those full clips.
[00:35:24.363 --> 00:35:26.764]  There's hours and hours of these on Infowars.com.
[00:35:26.764 --> 00:35:28.766]  I added them to the article that we posted.
[00:35:28.766 --> 00:35:44.296]  Stem Cell Express CEO admits selling beating baby hearts, intact baby heads in the hearing that's happening for the trial of the two undercover Christian gentlemen that reached out, said that they were a biotech company.
[00:35:45.526 --> 00:35:50.110]  Went to dinner with these people and caught them on tape.
[00:35:50.110 --> 00:35:55.255]  Talking about whole bodies of babies and beating hearts and whole heads.
[00:35:55.255 --> 00:36:01.921]  Which again, federal and state law says you have to kill the baby inside the birth canal or the womb.
[00:36:01.921 --> 00:36:03.882]  The law is you have to collapse their head.
[00:36:03.882 --> 00:36:07.045]  The way to do that is with a high-powered suction.
[00:36:07.045 --> 00:36:07.726]  This is on record.
[00:36:08.621 --> 00:36:09.721]  They're not.
[00:36:09.721 --> 00:36:14.182]  They keep some alive, others they put in water to drown them.
[00:36:14.182 --> 00:36:17.202]  That's come out in all these cases.
[00:36:17.202 --> 00:36:20.883]  This shows you who these people are, ladies and gentlemen.
[00:36:20.883 --> 00:36:23.704]  And it shows you what Planned Parenthood and all these folks are really about.
[00:36:23.704 --> 00:36:28.444]  They were set up by the Kaiser Wilhelm Institute in Europe.
[00:36:28.444 --> 00:36:35.986]  The Kaiser Wilhelm Institute was set up by the Rockefeller Foundation in New York City.
[00:36:35.986 --> 00:36:37.866]  Planned Parenthood created Hitler.
[00:36:39.963 --> 00:36:42.185]  You need to understand that.
[00:36:42.185 --> 00:36:48.589]  Now, let's get to the rest of the story here, ladies and gentlemen.
[00:36:48.589 --> 00:36:57.975]  STEM Express CEO admits selling beating baby hearts intact baby heads in this hearing last week in San Francisco.
[00:36:57.975 --> 00:37:02.118]  Let's go ahead and roll them talking about this undercover video.
[00:37:02.118 --> 00:37:03.679]  We are able to obtain
[00:37:05.522 --> 00:37:07.922]  Intact fetal cadavers.
[00:37:07.922 --> 00:37:10.383]  It's all just a matter of line items.
[00:37:10.383 --> 00:37:18.044]  Oh yeah, I mean if you had intact cases, which we've done a lot, we've sometimes shipped those back to our lab and it's a piety.
[00:37:18.044 --> 00:37:19.065]  Tell the lab it's coming.
[00:37:19.065 --> 00:37:20.025]  It'll open the box for you.
[00:37:20.025 --> 00:37:21.365]  And are we agreed that $100 would keep you happy?
[00:37:21.365 --> 00:37:22.265]  I want a Lamborghini.
[00:37:22.265 --> 00:37:24.025]  I said I want a Lamborghini.
[00:37:33.824 --> 00:37:35.044]  Don't we all, right?
[00:37:35.044 --> 00:37:38.485]  Exactly.
[00:37:38.485 --> 00:37:40.406]  So that's the human capital that's going on.
[00:37:40.406 --> 00:37:43.487]  See ours, the video, on Infowars.com right now.
[00:37:43.487 --> 00:38:02.132]  And see Joe Rogan, just four months ago, not believing me in studio, but then Jamie pulls it up and he's totally shocked that they're passing laws to keep babies alive after they're born so the hospital and the mother can decide whether they're going to kill them.
[00:38:03.749 --> 00:38:09.532]  See, if you're going to put up with 60 million aborted babies already, they have TV shows in the Netherlands.
[00:38:09.532 --> 00:38:17.616]  We've showed you where a 25-year-old Down syndrome man, highly functioning, is told, you cost twice as much as the average citizen in our socialist system.
[00:38:17.616 --> 00:38:19.197]  You need to kill yourself.
[00:38:19.197 --> 00:38:20.837]  We need to kill you.
[00:38:20.837 --> 00:38:27.661]  We need to kill all Down syndrome babies, by law, in the mother.
[00:38:27.661 --> 00:38:28.521]  And the man apologized.
[00:38:28.521 --> 00:38:30.122]  He says, I'm sorry for who I am.
[00:38:30.122 --> 00:38:32.083]  And the leftists smile at him with hate.
[00:38:33.080 --> 00:38:34.901]  They're monsters.
[00:38:34.901 --> 00:38:36.563]  But they tell you they're the left.
[00:38:36.563 --> 00:38:37.523]  They're the liberal.
[00:38:37.523 --> 00:38:38.604]  They're the bleeding heart.
[00:38:38.604 --> 00:38:40.245]  They're the good guy.
[00:38:40.245 --> 00:38:43.668]  As they open the gates of hell.
[00:38:43.668 --> 00:38:47.031]  This nation is facing judgment.
[00:38:47.031 --> 00:38:55.217]  Even if you don't believe in God, when you allow these types of corruptions to go on and you don't stand up for others, nobody's going to stand up for you.
[00:38:55.217 --> 00:38:56.438]  First they came for the unborn.
[00:38:57.486 --> 00:39:00.947]  Then they came with the GMO, the 5G, the forced inoculations.
[00:39:00.947 --> 00:39:06.788]  By the time you were dying of painful cancer, nobody came to save you, did they?
[00:39:06.788 --> 00:39:13.710]  So here's the governor going further about keeping them comfortable, and the key part, keeping them alive after they're born.
[00:39:13.710 --> 00:39:26.193]  Here's the shocking admission in plain view, as his job is to normalize this, because the court cases in Texas, in Michigan, in New York, in California and others, Illinois, and remember,
[00:39:27.566 --> 00:39:36.788]  Even in places like Texas, people bring suits to stop the keeping babies alive, and the courts go, they're medical, they're doctors, no, they can do what they want, like they're God.
[00:39:36.788 --> 00:39:53.713]  But in California, the hubris is, we'll bring you in court, let you show the video of them admitting that they are selling whole babies, and selling beating heart tissue to Stanford, and
[00:39:56.263 --> 00:40:02.607]  They believe the judge will still send these two men to jail for consecutive sentences of 45 years.
[00:40:02.607 --> 00:40:05.209]  All the sentences together.
[00:40:05.209 --> 00:40:12.975]  45 years for taping someone in a restaurant talking about whole bodies and whole heads and beating hearts and hearts being sold.
[00:40:12.975 --> 00:40:16.937]  There's hours of this footage.
[00:40:16.937 --> 00:40:19.439]  That's like if a firefighter ran into a burning building and saved a child.
[00:40:19.439 --> 00:40:21.961]  When they get out, they take them to jail.
[00:40:21.961 --> 00:40:23.542]  That's the upside down world we live in.
[00:40:24.977 --> 00:40:30.518]  Felony charges for two who secretly filmed Planned Parenthood.
[00:40:30.518 --> 00:40:31.158]  They look guilty?
[00:40:31.158 --> 00:40:34.019]  No, they look like real men that are proud of what they did.
[00:40:34.019 --> 00:40:34.939]  They have good spirits.
[00:40:34.939 --> 00:40:36.399]  Look how good they look.
[00:40:36.399 --> 00:40:47.021]  I mean, just wholesome and straightforward and committed and how soft and loving their eyes are compared to all these evil people that act so tough.
[00:40:47.021 --> 00:40:47.921]  They have soft hearts.
[00:40:47.921 --> 00:40:49.601]  They care.
[00:40:49.601 --> 00:40:52.102]  They haven't hardened their hearts and blackened their hearts to the devil.
[00:40:53.499 --> 00:41:00.862]  Like all of these crone-looking women that all look like they're a cross between a Skeksy and Janet Reno.
[00:41:00.862 --> 00:41:01.842]  They're tough women.
[00:41:01.842 --> 00:41:03.863]  They'll show those babies.
[00:41:03.863 --> 00:41:05.684]  That's their fruit!
[00:41:05.684 --> 00:41:06.484]  Of their womb!
[00:41:06.484 --> 00:41:08.405]  Their money!
[00:41:08.405 --> 00:41:11.406]  Once the women find out about the money, ladies, you're gonna be cut out.
[00:41:11.406 --> 00:41:14.348]  Because there will be women in America who have babies.
[00:41:14.348 --> 00:41:16.208]  Just to chop them up.
[00:41:16.208 --> 00:41:17.649]  Why put them in jail, then?
[00:41:17.649 --> 00:41:19.050]  Hear about women that'll have a miscarriage.
[00:41:19.050 --> 00:41:19.910]  The baby's eight months old.
[00:41:19.910 --> 00:41:20.790]  They go to jail.
[00:41:20.790 --> 00:41:21.991]  They throw it in the trash can.
[00:41:21.991 --> 00:41:22.251]  Why?
[00:41:23.476 --> 00:41:23.896]  Why?
[00:41:23.896 --> 00:41:25.337]  Why doesn't the mother just drink their blood?
[00:41:25.337 --> 00:41:28.619]  It's the same thing as selling their organs.
[00:41:28.619 --> 00:41:29.719]  Oh, but it's the government.
[00:41:29.719 --> 00:41:30.720]  It's okay.
[00:41:30.720 --> 00:41:40.685]  So here's the governor of Virginia, again, mainlining all this to you, in your face, saying, keeping babies alive after they're born to decide what to do.
[00:41:40.685 --> 00:41:46.108]  And then when mama says no, which they just do it, she's there for an abortion, nine months.
[00:41:47.003 --> 00:41:49.044]  The baby just gets taken away.
[00:41:49.044 --> 00:41:51.185]  Keep him comfortable!
[00:41:51.185 --> 00:41:53.207]  We gonna keep you comfortable!
[00:41:53.207 --> 00:41:58.570]  Imagine if you or I went and kidnapped some little kid and tortured him and said, I can't be comfortable.
[00:41:58.570 --> 00:42:00.291]  You'd be put in the electric chair.
[00:42:01.479 --> 00:42:02.340]  You should be.
[00:42:02.340 --> 00:42:03.921]  You'd be sent for lethal injection.
[00:42:03.921 --> 00:42:11.006]  But see, oh, and then he has a soft voice, like Ka in the Jungle Book.
[00:42:11.006 --> 00:42:12.326]  The eyes are spinning.
[00:42:12.326 --> 00:42:16.890]  Sleep, oh, give me the baby.
[00:42:16.890 --> 00:42:18.271]  Here is this monster.
[00:42:18.271 --> 00:42:18.651]  Here he is.
[00:42:20.325 --> 00:42:26.710]  So in this particular example, if a mother is in labor, I can tell you exactly what would happen.
[00:42:26.710 --> 00:42:28.772]  The infant would be delivered.
[00:42:28.772 --> 00:42:31.174]  The infant would be kept comfortable.
[00:42:31.174 --> 00:42:36.278]  The infant would be resuscitated, if that's what the mother and the family desired.
[00:42:36.278 --> 00:42:40.201]  And then a discussion would ensue between the physicians and the mother.
[00:42:40.201 --> 00:42:42.923]  So I think this was really blown out of proportion.
[00:42:43.523 --> 00:42:48.289]  But again, we want the government not to be involved in these types of decisions.
[00:42:48.289 --> 00:42:53.254]  We want the decision to be made by the mothers and their providers.
[00:42:53.254 --> 00:42:54.455]  Oh, the mothers and the providers.
[00:42:54.455 --> 00:42:58.139]  Don't get the state involved in babies that are already born being killed and harvested.
[00:42:58.139 --> 00:42:58.280]  No.
[00:43:00.951 --> 00:43:06.173]  It's been a year since InfoWars and our other channels were completely banned off of YouTube.
[00:43:06.173 --> 00:43:14.097]  We had over 5 billion views when we got banned and we're credited with getting Donald Trump elected because we were able to punch through and reach the grassroots.
[00:43:14.097 --> 00:43:22.061]  Now as we enter the 2020 election cycle, it's more important than ever that there be a place where the censors are unable to block the signal.
[00:43:22.061 --> 00:43:23.101]  And it's now here.
[00:43:23.101 --> 00:43:23.882]  Banned.Video.
[00:43:24.862 --> 00:43:39.433]  Banned.video is the answer for libertarians, conservatives, nationalists, pro-gun, pro-life, pro-human individuals to have their own platform where videos banned by YouTube, Facebook, and Twitter are still available.
[00:43:39.433 --> 00:43:43.276]  Watch your favorite content from media personalities banned by big tech.
[00:43:43.276 --> 00:43:44.436]  Works on every device.
[00:43:44.436 --> 00:43:47.659]  Take your shows on the go with banned.video.
[00:43:47.659 --> 00:43:53.123]  Watch live shows, on-demand content, and join in on the conversation from anywhere with banned.video.
[00:43:53.843 --> 00:43:57.808]  Share videos with your friends via Facebook, Twitter, SMS, email and more.
[00:43:57.808 --> 00:43:58.229]  Banned.
[00:43:58.229 --> 00:43:58.569]  Video.
[00:44:09.944 --> 00:44:12.766]  This is Greg Reese for InfoWars.com in Hong Kong.
[00:44:12.766 --> 00:44:17.629]  Our recent trip to Hong Kong was a new achievement for InfoWars.com.
[00:44:17.629 --> 00:44:25.695]  Despite being the most banned broadcast in the free world, we continue to win because of our great, strong, loyal audience.
[00:44:25.695 --> 00:44:28.437]  We have Dan Lyman covering InfoWars Europe.
[00:44:28.917 --> 00:44:31.439]  Paul Joseph Watson in the UK.
[00:44:31.439 --> 00:44:35.022]  Millie Weaver and Caitlin Bennett in the American heartland.
[00:44:35.022 --> 00:44:42.187]  And from Austin, Texas, a team of reporters and crew ready to be dispatched wherever the story is going down.
[00:44:42.187 --> 00:44:45.910]  We are not done winning, and with your support, we will keep winning.
[00:44:45.910 --> 00:44:47.351]  We have to keep winning!
[00:44:47.351 --> 00:44:48.612]  We have to win more!
[00:44:48.792 --> 00:44:51.176]  Go to InfoWarStore.com.
[00:44:51.176 --> 00:44:59.291]  You have gone to InfoWarStore.com and gotten books and films, supplements, t-shirts, and water filtration, air filtration, and things you need!
[00:45:00.245 --> 00:45:02.368]  Josh in Washington, you're on the air, go ahead.
[00:45:02.368 --> 00:45:03.529]  Alex, God bless you.
[00:45:03.529 --> 00:45:06.112]  I have an idea for a new InfoWars t-shirt.
[00:45:06.112 --> 00:45:12.099]  Instead of, this is your brain, this is your brain on drugs, this is your brain, this is your brain on 5G.
[00:45:12.099 --> 00:45:12.679]  Ooh, yeah.
[00:45:12.679 --> 00:45:14.121]  Showing your brain getting fried.
[00:45:14.121 --> 00:45:15.983]  Then I have some comments on your supplements, man.
[00:45:15.983 --> 00:45:17.004]  Totally changed my life.
[00:45:17.004 --> 00:45:20.068]  I use TurboForce, BODY, AlphaPower, BrainForce.
[00:45:20.248 --> 00:45:21.429]  Well, you're right.
[00:45:35.545 --> 00:45:37.888]  All of these things are known to be incredible.
[00:45:37.888 --> 00:45:44.654]  Whether it's turmeric, or whether it's the fish oil, or the krill oil, or whether it's the DNA force with the CoQ10 and BioPQQ and all the rest of it.
[00:45:44.654 --> 00:45:47.196]  All of these are things that are like rocket fuel on the body.
[00:45:47.196 --> 00:45:50.339]  You take these bases together, then you have your foundation.
[00:45:50.339 --> 00:45:52.141]  Now you can build the big strong temple.
[00:45:52.141 --> 00:45:56.105]  With these products I take, when I religiously remember to take them, it makes my life so much better.
[00:45:56.105 --> 00:45:58.867]  And then it funds the information war, which is so critical.
[00:45:58.867 --> 00:45:59.628]  Thank you so much.
[00:45:59.628 --> 00:46:00.149]  God bless you.
[00:46:00.689 --> 00:46:07.093]  With the daily wear and tear of the environment on our skin, it's only natural that it starts to crack and take damage.
[00:46:07.093 --> 00:46:13.958]  Wind, heat, water, and age are telltale signs that it's time to start taking care of your skin.
[00:46:13.958 --> 00:46:21.443]  With the Infowar Super Silver Cream, you can keep your skin feeling silky smooth and begin to heal the damages of the world around you.
[00:46:22.183 --> 00:46:36.134]  Created with ingredients like coconut oil, vitamin E, and the incredible Silver Sol formula, InfoWars Silver Cream works triple duty, supporting the beautifying and protecting of the skin in a fast, non-greasy formula.
[00:46:36.134 --> 00:46:44.100]  Small and easily stored, it can support dry and damaged skin to reduce fine lines and wrinkles, while smoothing and softening calluses.
[00:46:44.100 --> 00:46:46.782]  With none of the harmful ingredients found in other formulas,
[00:46:47.122 --> 00:46:48.703]  You're listening to the Alex Jones Show!
[00:47:13.871 --> 00:47:16.312]  We didn't know we had it all.
[00:47:16.312 --> 00:47:20.654]  We used to be somewhat of a moral nation.
[00:47:20.654 --> 00:47:27.057]  At least we cared when we found out about evil.
[00:47:41.404 --> 00:47:45.905]  Now we've seen so many simulated murders and killings on television.
[00:47:45.905 --> 00:47:48.526]  This country consumes more drugs than any other nation on earth.
[00:47:48.526 --> 00:47:52.468]  We've killed 60 million of our children.
[00:47:52.468 --> 00:47:55.508]  We're killing ourselves with 5G and GMO.
[00:47:55.508 --> 00:48:02.631]  All the big tech companies admit, yeah, we've been recording everything you do for years inside your house, audio and video.
[00:48:02.631 --> 00:48:08.793]  And Facebook says, we're recording inside your house and we're going to use it to ban you on Facebook if you say anything we don't like.
[00:48:08.793 --> 00:48:09.813]  They announced that three months ago.
[00:48:10.930 --> 00:48:13.130]  That wasn't an announcement.
