[00:00:00.236 --> 00:00:01.857]  Come on man!
[00:51:40.125 --> 00:51:41.886]  I do have a darkened heart, yeah.
[00:51:41.886 --> 00:51:42.707]  You have a darkened heart.
[00:51:42.707 --> 00:51:44.167]  I do, I do, very, very much so.
[00:51:44.167 --> 00:51:45.988]  And you will stand before God in judgment day?
[00:51:45.988 --> 00:51:47.709]  Yes, I will, every day.
[00:51:47.709 --> 00:51:49.450]  You will stand before God in judgment day?
[00:51:49.450 --> 00:51:50.410]  Yes, I will, every day.
[00:51:50.410 --> 00:51:51.871]  All of the babies that you have killed.
[00:51:51.871 --> 00:51:52.651]  I love it, I love it.
[00:51:52.651 --> 00:51:53.912]  Yeah, keep tearing the babies apart.
[00:51:53.912 --> 00:51:54.552]  Yeah, I will.
[00:51:54.552 --> 00:51:55.433]  Keep tearing the babies apart.
[00:51:55.433 --> 00:51:55.673]  I will.
[00:51:56.869 --> 00:51:58.650]  I hate the Groots!
[00:51:58.650 --> 00:51:59.651]  I hate the Groots!
[00:51:59.651 --> 00:52:01.973]  I hate the Groots!
[00:52:01.973 --> 00:52:08.777]  Once a month, we're not pointing fingers at these kids.
[00:52:08.777 --> 00:52:09.758]  I hate the Groots!
[00:52:09.758 --> 00:52:12.860]  It's like we're the men.
[00:52:12.860 --> 00:52:15.742]  We drop the girls.
[00:52:18.455 --> 00:52:22.220]  Fertilized egg is a human being!
[00:52:22.220 --> 00:52:23.141]  Yeah.
[00:52:23.141 --> 00:52:24.763]  Fertilized egg is a human being!
[00:52:24.763 --> 00:52:26.485]  You're a pig.
[00:52:26.485 --> 00:52:30.230]  Because I don't want to kill babies.
[00:52:30.230 --> 00:52:31.071]  Oh, you kill them.
[00:52:31.071 --> 00:52:33.314]  You let them live so they can starve to death.
[00:52:33.314 --> 00:52:34.736]  Why'd you spit at us?
[00:52:36.389 --> 00:52:38.190]  I, uh, don't agree with you.
[00:52:38.190 --> 00:52:41.050]  No uterus, no right to talk about it.
[00:52:41.050 --> 00:52:42.711]  Understand me, mother f***er?
[00:52:42.711 --> 00:52:44.271]  So when do we cut off abortions?
[00:52:44.271 --> 00:52:45.351]  At what week?
[00:52:45.351 --> 00:52:47.872]  I think at three years old is when we should.
[00:52:47.872 --> 00:52:51.653]  I also had my first abortion at the Seattle Planned Parenthood.
[00:52:51.653 --> 00:52:53.933]  Yay!
[00:52:53.933 --> 00:52:56.114]  I had an abortion!
[00:52:56.114 --> 00:52:56.174]  Woo!
[00:53:00.757 --> 00:53:07.262]  On the topic, on the fetal tissue side of it, you know, it'd be helpful for us to understand volume-wise.
[00:53:07.262 --> 00:53:12.786]  I mean, realistically, if we were to do an agreement with you guys, you know, what do we think you could get?
[00:53:12.786 --> 00:53:14.148]  I mean, what do you feel like you could get?
[00:53:14.148 --> 00:53:15.268]  Volume-wise?
[00:53:15.268 --> 00:53:19.672]  Yeah, on specifically liver tissue, because that's such an area of demand for us.
[00:53:19.672 --> 00:53:24.176]  Right, so liver and what about intact specimens?
[00:53:24.856 --> 00:53:30.902]  Oh yeah, I mean if you had intact cases, which we've done a lot, so we've sent and shipped those back to our lab in its entirety.
[00:53:30.902 --> 00:53:34.565]  You know, you can imagine where they would run with this, like, they're selling Bonaparte, you know.
[00:53:34.565 --> 00:53:38.369]  So I say, okay, what are you looking to supply today?
[00:53:38.369 --> 00:53:41.392]  We were asked to procure certain tissues, like
[00:53:42.272 --> 00:53:50.037]  Brain, liver, thymus, pancreas, heart, lungs, skin, pretty much anything on the venus.
[00:53:50.037 --> 00:54:02.225]  If we alter our process and we are able to obtain intact fetal cadavers, it's all just a matter of line items.
[00:54:02.225 --> 00:54:03.626]  Tell the lab it's coming.
[00:54:03.626 --> 00:54:04.767]  It'll open the box for you.
[00:54:06.167 --> 00:54:10.168]  And are we agreed that $100 would keep you happy?
[00:54:10.168 --> 00:54:12.509]  I want a Lamborghini.
[00:54:12.509 --> 00:54:15.629]  I said I want a Lamborghini.
[00:54:15.629 --> 00:54:25.112]  In the ninth month, you can take the baby and rip the baby out of the womb of the mother just prior to the birth of the baby.
[00:54:25.692 --> 00:54:32.618]  Now, you can say that that's okay, and Hillary can say that that's okay, but it's not okay with me.
[00:54:32.618 --> 00:54:40.123]  Well, that is not what happens in these cases, and using that kind of scare rhetoric is just terribly unfortunate.
[00:54:40.123 --> 00:54:44.407]  New York Governor Andrew Cuomo lit up the One World Trade Center spire in pink.
[00:54:44.847 --> 00:54:48.348]  ...to celebrate his radical expansion of abortion in New York.
[00:54:48.348 --> 00:54:56.809]  State lawmakers approved a law permitting abortion in the state for any reason until the 24th week of pregnancy and then up until birth.
[00:54:56.809 --> 00:55:00.470]  If a mother is in labor, I can tell you exactly what would happen.
[00:55:00.470 --> 00:55:02.551]  The infant would be delivered.
[00:55:02.551 --> 00:55:04.951]  The infant would be kept comfortable.
[00:55:04.951 --> 00:55:10.072]  The infant would be resuscitated, if that's what the mother and the family desired.
[00:55:10.072 --> 00:55:13.853]  And then a discussion would ensue between the physicians and the mother.
[00:55:14.253 --> 00:55:16.394]  There was a question over here.
[00:55:16.394 --> 00:55:19.436]  Are you for third trimester abortions?
[00:55:19.436 --> 00:55:25.560]  My answer to you is that that should be a decision that the woman makes.
[00:55:25.560 --> 00:55:30.883]  There's scientific consensus that the lives of children are going to be very difficult.
[00:55:30.883 --> 00:55:32.704]  Is it okay to still have children?
[00:55:32.704 --> 00:55:38.287]  How do you justify the decision to allow Planned Parenthood to rent in this city for free?
[00:55:40.885 --> 00:55:48.740]  There's a new video out on InfoWars.com of two partial birth abortion, eight and a half month old babies.
[00:55:50.305 --> 00:55:53.346]  And it makes you want to kill people.
[00:55:53.346 --> 00:55:55.927]  I'm gonna just be honest with you right now.
[00:55:55.927 --> 00:56:04.351]  My guts, my spirit sees a baby who got killed and its brain sucked out by some asshole and then they make a joke out of it.
[00:56:04.351 --> 00:56:10.274]  These are abortion doctors with third trimester babies that were about to be born.
[00:56:10.274 --> 00:56:13.655]  Defiling them, making jokes about them that they're having a fight.
[00:56:13.655 --> 00:56:16.616]  They're playing with dead babies in a little
[00:56:18.097 --> 00:56:20.078]  Don't knock it till you try it.
[00:56:20.078 --> 00:56:21.879]  And when you do try it, really knock it.
[00:56:21.879 --> 00:56:23.859]  You know, you gotta get that baby out of there.
[00:56:49.721 --> 00:56:53.104]  Question regarding abortions and breeding fetish.
[00:56:53.104 --> 00:56:56.908]  I have a female friend who has a really powerful fetish for breeding.
[00:56:56.908 --> 00:56:59.270]  She has never used any type of birth control.
[00:56:59.270 --> 00:57:03.214]  She is with a male partner currently, who is just like her, into breeding.
[00:57:03.214 --> 00:57:06.517]  And they've been practicing their fetish for quite a few abortions.
[00:57:06.517 --> 00:57:07.698]  I know this fetish.
[00:57:07.698 --> 00:57:09.740]  My girlfriend and me have the same fetish.
[00:57:09.740 --> 00:57:14.604]  My girlfriend enjoy her pregnancies, and she enjoys the abor-ta-ta-ta-tion.
[00:57:15.225 --> 00:57:19.308]  Her preferred date for the abort is between 20 and 24 weeks of gestation.
[00:57:19.308 --> 00:57:23.491]  I enjoy it to make her pregnant, and I enjoy the time of her pregnancy.
[00:57:23.491 --> 00:57:26.333]  She has no menstrual period, and she is sexual.
[00:57:26.333 --> 00:57:27.374]  Very active.
[00:57:27.374 --> 00:57:31.817]  Sexuality without prevention is very emotional and inexpensive.
[00:57:31.817 --> 00:57:35.520]  In the last 10 years in our relationship, we have done 7 aborts.
[00:57:35.920 --> 00:57:38.943]  And my girlfriend is pregnant again with a little girl.
[00:57:38.943 --> 00:57:42.085]  Abortion fetish is a great method for birth control.
[00:57:42.085 --> 00:57:45.968]  Do not be angry about your girlfriend, but let them enjoy their pregnancies.
[00:57:45.968 --> 00:57:48.130]  This is what a baby looks like.
[00:57:48.130 --> 00:57:55.936]  I was among the first 12 years ago to warn that Jeffrey Epstein was running a giant governmental blackmail ring using pedophilia.
[00:57:56.656 --> 00:58:01.299]  I was the first to warn of human-animal hybrids and organ harvesting.
[00:58:01.299 --> 00:58:08.684]  I was the first to begin to warn that babies were being kept alive after they were born for their organs to be harvested.
[00:58:08.684 --> 00:58:20.131]  I was the first to warn you along with Paul Watson and Infowars.com 15 years ago that Google was using microphones and hidden cameras to record everything you do and hundreds and hundreds of other
[00:58:20.871 --> 00:58:22.671]  Giant issues.
[00:58:22.671 --> 00:58:27.072]  Like the Federal Reserve being private, run for profit, trying to control our economy.
[00:58:27.072 --> 00:58:30.453]  That our government in Hollywood have been taken over by the Communist Chinese.
[00:58:30.453 --> 00:58:34.714]  On every one of these issues and many others, we've been dead on.
[00:58:34.714 --> 00:58:37.254]  And we've raised the alarm on a planetary scale.
[00:58:37.254 --> 00:58:39.375]  That's why the globalists are trying to shut us down.
[00:58:39.375 --> 00:58:43.855]  And that's why you are more critical than ever to support the Infowar.
[00:58:43.855 --> 00:58:46.176]  Please support the Infowar however you can.
[00:58:48.587 --> 00:58:51.569]  Happies is a tincture that you take under the tongue.
[00:58:51.569 --> 00:58:53.551]  They've been selling it for over a year.
[00:58:53.551 --> 00:59:00.757]  It's a private label of one of the top national sellers of herbs that's known to calm the body, but not be a depressant.
[00:59:00.757 --> 00:59:05.981]  Now, despite the fact that I've never really promoted or cut an ad for it, it's in our top 10 bestsellers.
[00:59:05.981 --> 00:59:09.564]  And right now, for those of you that haven't tried it, you can get it for 50% off.
[00:59:10.925 --> 00:59:12.086]  Life is stressful.
[00:59:12.086 --> 00:59:15.007]  Almost everything in our lives can put stress and pressure on us.
[00:59:15.007 --> 00:59:25.673]  But ashwagandha root, rhodiola root, passionflower herb, green tea leaf, and licorice root is known to be so good for us and to smooth us out in a calm, good way.
[00:59:25.673 --> 00:59:30.256]  And Happies is available right now at infomorestore.com at 50% off.
[00:59:30.256 --> 00:59:32.337]  Your purchase supports the broadcast and is so vital.
[00:59:32.717 --> 00:59:34.039]  You're listening to the Alex Jones Show!
[01:00:03.732 --> 01:00:09.535]  Well, we're already one hour into the coverage of Houston We Have a Problem, clown world.
[01:00:09.535 --> 01:00:11.335]  It's the third round this night.
[01:00:11.335 --> 01:00:12.296]  It's only one night.
[01:00:12.296 --> 01:00:15.557]  One night, ten candidates and tons of laughs.
[01:00:15.557 --> 01:00:18.679]  So you realize how dangerous they are, who they work for.
[01:00:18.679 --> 01:00:21.680]  That is coming up right now.
[01:00:21.680 --> 01:00:25.361]  We're in live coverage, but we're going to be here right through 11 o'clock tonight.
[01:00:25.361 --> 01:00:30.724]  The debate goes from 7 until close to 10 o'clock and we're going to open the phones up this evening.
[01:00:31.932 --> 01:00:32.553]  I think so.
[01:00:49.547 --> 01:00:58.734]  As part of the breakdown and so much more but I really am to be good because I'm the worst person around here about getting fired up and wanting to make every point.
[01:00:58.734 --> 01:01:02.877]  I'm going to write notes and not interrupt as much and I'm going to again work in a lot of your calls.
[01:01:04.065 --> 01:01:05.686]  That'll be obviously waiting.
[01:01:05.686 --> 01:01:16.770]  And then I guess when I kind of direct this, when I choose that we've already heard this answer over and over again, and it's some mindless point, we'll fade down the dumbbell and take a call or so.
[01:01:16.770 --> 01:01:19.491]  But this is going to be a bloodbath.
[01:01:19.491 --> 01:01:24.393]  And obviously, we're going to be going heavily to a political bloodbath.
[01:01:24.393 --> 01:01:26.034]  We try to say we're being violent.
[01:01:26.034 --> 01:01:27.234]  That's a figure of speech, a metaphor.
[01:01:27.234 --> 01:01:29.315]  Our audience knows that, but the left will take it out of context.
[01:01:30.780 --> 01:01:36.064]  We're obviously, when Elizabeth Warren's talking, she's going after old bloody eyes.
[01:01:36.064 --> 01:01:37.785]  Old Biden.
[01:01:37.785 --> 01:01:45.390]  So we're going to be showing them, pull their knives out, who they see as the Julius Caesar that's got to be dispatched.
[01:01:45.390 --> 01:01:49.292]  And we'll be making predictions with Robert Barnes, who's been stunningly accurate.
[01:01:49.292 --> 01:01:52.294]  Owen's predictions have been excellent as well.
[01:01:52.294 --> 01:01:54.756]  But Barnes is a gambler.
[01:01:54.756 --> 01:01:58.339]  He does sports gambling some, but he mainly does political gambling.
[01:02:00.640 --> 01:02:04.822]  He's going to be handicapping this whole thing with us coming up later in the hour.
[01:02:17.932 --> 01:02:19.972]  And we've got a bunch of other guests as well.
[01:02:19.972 --> 01:02:26.133]  I am not a gambler in money or in chips or things like poker.
[01:02:26.133 --> 01:02:30.114]  I mean, I have played poker games before for a few hundred bucks in the pot.
[01:02:30.114 --> 01:02:31.694]  But I gamble my life.
[01:02:31.694 --> 01:02:37.636]  I gamble my name, my treasure, my very soul and will to defeat the globalist.
[01:02:37.636 --> 01:02:38.696]  And so all of us gamble.
[01:02:38.696 --> 01:02:41.276]  You know, you gamble when you decide to marry a woman.
[01:02:41.276 --> 01:02:43.837]  You gamble when you decide to try to climb a mountain.
[01:02:43.837 --> 01:02:45.177]  You gamble when you invest in business.
[01:02:46.035 --> 01:02:53.843]  But as long as you're doing things for what you think's right, really that's all that matters at the end of the day, is the action you take, and really who you are.
[01:02:53.843 --> 01:02:59.468]  The destination is the journey, ladies and gentlemen, that really is so true.
[01:02:59.468 --> 01:03:00.449]  So Robert Barnes coming up.
[01:03:00.449 --> 01:03:09.558]  Brandon Tatum is with the great folks over at Turning Point USA, and he's also one of the folks over there that isn't scared of the info war.
[01:03:11.187 --> 01:03:11.728]  That's all.
[01:03:28.356 --> 01:03:34.538]  I'm going to move quickly in the next two segments to hit as much news as possible.
[01:03:34.538 --> 01:03:39.579]  And I've actually been reaching some of my goals to get the show back to its better days.
[01:03:39.579 --> 01:03:42.820]  We do some things better than we used to, but other things worse.
[01:03:42.820 --> 01:03:45.441]  A lot of that's because of me.
[01:03:45.441 --> 01:03:47.481]  So I'm going to try to blitz through more news.
[01:03:47.481 --> 01:03:50.882]  I've been getting more calls more days, getting more of your calls.
[01:03:50.882 --> 01:03:52.883]  Still not optimum, but it's way better than it was.
[01:03:54.620 --> 01:03:58.262]  I really have it on my heart and my soul to just up my game.
[01:03:58.262 --> 01:04:09.667]  And so, I'm exercising more, I'm eating healthier, I'm taking the supplements, and I've been doing that about three weeks now, and it's like a fog has lifted because I give some great advice, but isn't it easy to give advice?
[01:04:09.667 --> 01:04:17.791]  It's easy to talk the talk, it's hard to walk the walk, but I've been doing it, so thank you all for your prayers and your support and the crew putting up with me as well.
[01:04:19.138 --> 01:04:22.519]  Sometimes we really reach the heights, and sometimes I reach the depths.
[01:04:22.519 --> 01:04:25.060]  That's all part of the reality, though, of this real world.
[01:04:25.060 --> 01:04:26.840]  We're just flesh and blood.
[01:04:26.840 --> 01:04:29.001]  Flesh and blood needs flesh and blood.
[01:04:29.001 --> 01:04:30.802]  That's why all the studies are out all hit.
[01:04:30.802 --> 01:04:33.743]  You need friends, you need family, you need communication.
[01:04:33.743 --> 01:04:37.144]  You're empowered by having a cat, having a dog, having a child.
[01:04:37.144 --> 01:04:40.525]  They make it as hard as they can to not have that dog, or have that child.
[01:04:40.525 --> 01:04:44.086]  Have people and things you love, and things you take care of, and things that take care of you.
[01:04:44.086 --> 01:04:45.806]  It's all about love, isn't it?
[01:04:45.806 --> 01:04:47.327]  But real love should be in Willington.
[01:04:48.120 --> 01:04:49.441]  Get attacked.
[01:04:49.441 --> 01:04:52.144]  Take action and go through a lot of pain for the innocents.
[01:04:52.144 --> 01:04:53.586]  But in the end, it empowers you, doesn't it?
[01:04:56.937 --> 01:05:02.682]  Super Silver Wound Gel is a private label from the top company in the U.S.
[01:05:02.682 --> 01:05:07.426]  that has their products in hospitals and is sold over-the-counter and approved for that by the FDA.
[01:05:07.426 --> 01:05:10.909]  We have been blessed with their listeners and let us private label it in the last two years.
[01:05:10.909 --> 01:05:12.271]  It's been a bestseller.
[01:05:12.271 --> 01:05:23.821]  We convinced them to let us come out with a skin cream that basically mimics the top skin creams that are already out there at a lower price with their patented Silver Sol technology in it.
[01:05:24.281 --> 01:05:33.931]  It's got the hyaluronic acid, it's got the stearic acid, it's got the grapefruit essential oil, it's got the nano silver coconut oil and so much more.
[01:05:33.931 --> 01:05:39.177]  It's in two sizes, super silver skin cream in 3.4 ounce and in the smaller one
[01:05:39.437 --> 01:05:43.638]  You're not going to find a product this good anywhere, and you're certainly not going to find it at this price.
[01:05:43.638 --> 01:05:47.360]  And it funds the InfoWar at InfoWarsLife.com.
[01:05:47.360 --> 01:05:50.360]  Get your Super Silver Skin Cream today.
[01:05:50.360 --> 01:05:54.662]  We can only run this special for another week or so, as I'm taping this September 10th.
[01:06:07.917 --> 01:06:11.501]  Live, raw, and unfiltered.
[01:06:11.501 --> 01:06:15.325]  It's the Alex Jones Show.
[01:06:15.325 --> 01:06:19.229]  QDeFi has over a hundred billion views.
[01:06:19.229 --> 01:06:22.292]  Last time I checked on one YouTube channel.
[01:06:22.292 --> 01:06:23.994]  On all his platforms, he's got about...
[01:06:25.162 --> 01:06:30.905]  That I've looked at last time, this was months ago, about 150 billion views.
[01:06:30.905 --> 01:06:33.006]  And that's with Google always cheating you on your views.
[01:06:33.006 --> 01:06:36.408]  You know, we get up to 3 billion views and they downgrade it to 2 billion views.
[01:06:36.408 --> 01:06:38.870]  And on all our channels, we got about 5 billion they admitted to.
[01:06:38.870 --> 01:06:41.531]  Count all the other channels, 10 billion views, whatever.
[01:06:41.531 --> 01:06:43.893]  Number one Joe Rogan podcast ever.
[01:06:43.893 --> 01:06:47.215]  My point is, is that every time we're allowed to get on the field,
[01:06:48.174 --> 01:06:50.155]  Or let's use a NASCAR analogy.
[01:06:50.155 --> 01:06:53.378]  You let my team, my car, get on the track.
[01:06:53.378 --> 01:06:55.980]  We have won more races politically.
[01:06:55.980 --> 01:06:58.321]  We've gotten more checkered flags.
[01:06:58.321 --> 01:07:04.366]  We've been popping the champagne more times than anybody in political media.
[01:07:04.366 --> 01:07:05.747]  When it comes to video and audio.
[01:07:05.747 --> 01:07:09.289]  Drudge is the king when it comes to the amount of clicks.
[01:07:09.289 --> 01:07:10.390]  But it's not about who's number one.
[01:07:10.390 --> 01:07:12.251]  I just want to beat the globalist.
[01:07:12.251 --> 01:07:16.975]  But PewDiePie is something completely different.
[01:07:17.881 --> 01:07:22.863]  He has more views than basically everyone combined, period.
[01:07:22.863 --> 01:07:30.525]  And if he ever gets political on the side of liberty, it is going to destroy the globalists.
[01:07:30.525 --> 01:07:33.666]  And that's why I have a message to PewDiePie.
[01:07:33.666 --> 01:07:37.547]  They're never going to let you continue to operate as a maverick.
[01:07:37.547 --> 01:07:41.148]  And that's why they continue to make up that he's a white supremacist.
[01:07:41.148 --> 01:07:45.650]  And as they've done that the last few years, it's gotten him more patriot, more anti-globalist.
[01:07:47.282 --> 01:07:50.064]  And I know a lot of people that know him behind the scenes, I'm just going to leave it at that.
[01:07:50.064 --> 01:07:53.806]  The guy is the opposite of a, quote, racist, but he is Swedish.
[01:07:53.806 --> 01:07:54.827]  He's got blonde hair, blue eyes.
[01:07:54.827 --> 01:07:56.768]  That's a big trigger for the left.
[01:07:56.768 --> 01:08:03.472]  And again, he's got more views than Netflix gets in a year.
[01:08:03.472 --> 01:08:05.914]  I mean, it's ridiculous.
[01:08:05.914 --> 01:08:07.414]  And so they're scared of him.
[01:08:07.414 --> 01:08:11.597]  And let me tell you, every time he's plugged in for awards, he's done it five or six times.
[01:08:11.597 --> 01:08:15.379]  I mean, I'm like, why does the website have double the traffic this week?
[01:08:15.379 --> 01:08:16.200]  It's unbelievable.
[01:08:17.423 --> 01:08:21.926]  So, PewDiePie just cucked the ADL.
[01:08:21.926 --> 01:08:27.190]  We're going to cover that in a moment, but first, this is an important report I've been wanting to get to.
[01:08:27.190 --> 01:08:29.151]  And so let's go ahead and get to this report.
[01:08:29.151 --> 01:08:31.733]  Democratic socialism is a cancer?
[01:08:31.733 --> 01:08:32.673]  Well, yeah, not that one.
[01:08:32.673 --> 01:08:34.014]  We'll get to that too later.
[01:08:34.014 --> 01:08:38.357]  Populism critics are professional deviants.
[01:08:38.357 --> 01:08:42.320]  That's a great point, because populism means the people.
[01:08:42.320 --> 01:08:45.062]  Well, I mean, we don't want these global populists.
[01:08:45.062 --> 01:08:46.523]  We want big billionaires and
[01:08:47.708 --> 01:08:50.613]  Ruthless technocrats with the Chinacoms to tell them to do.
[01:08:50.613 --> 01:08:51.434]  Yay China!
[01:08:51.434 --> 01:08:52.916]  Hope you can stop Trump.
[01:08:52.916 --> 01:08:54.799]  Hope you can stop Boris Johnson.
[01:08:54.799 --> 01:08:56.342]  Hope you can stop Balasaro.
[01:08:56.342 --> 01:08:57.103]  What?
[01:08:57.103 --> 01:08:58.766]  Hear the record skip?
[01:08:58.766 --> 01:08:59.467]  So here's that report.
[01:09:01.485 --> 01:09:09.868]  It's always the people that have less than zero room to talk that come barreling out of nowhere to attack President Trump with cartloads of bull****.
[01:09:09.868 --> 01:09:18.071]  Whether it's Mick Jagger, who recently blamed Trump for tearing apart environment controls when America should be setting the standard for the world.
[01:09:18.071 --> 01:09:27.875]  Of course, his royal satanic majesty doesn't understand that those controls include something found in the fine print of the UN Climate Summit known as loss and damage.
[01:09:28.055 --> 01:09:39.442]  Where the United States and other developed countries would essentially pay up to undeveloped countries for any damage incurred by CO2 emissions determined by UN climate scientists.
[01:09:39.442 --> 01:09:43.884]  A quick way to spiral the United States into an economic collapse.
[01:09:43.884 --> 01:09:51.729]  But who can expect a Satanist who made a film with Crowley acolyte Kenneth Anger and future Manson murderer Bobby Beausoleil
[01:09:51.909 --> 01:09:56.972]  To understand anything outside of what his social circle of vampires tells him.
[01:09:56.972 --> 01:10:03.796]  And then there's former South Carolina Governor Mark Sanford who has announced that he will run as a Republican against Trump.
[01:10:03.796 --> 01:10:16.963]  Sanford went on to attack Trump for his transgressions while brushing aside the fact that he covered up an affair he was having with his Argentinian mistress by claiming he had been hiking the Appalachian Trail.
[01:10:16.963 --> 01:10:19.705]  I developed a relationship with a
[01:10:20.583 --> 01:10:24.411]  We started as a dear, dear friend from Argentina.
[01:10:25.382 --> 01:10:34.425]  Add to this, Motley Crue, disgraced former Trump press secretary, Anthony Scaramucci, who is desperately clinging to his 15 minutes of fame.
[01:10:34.425 --> 01:10:36.626]  He's going after individual private citizens.
[01:10:36.626 --> 01:10:37.267]  Who's a fascist?
[01:10:37.267 --> 01:10:37.827]  Trump!
[01:10:37.827 --> 01:10:38.727]  Is a fascist?
[01:10:38.727 --> 01:10:41.948]  The first thing in the fascist manifesto... What is that?
[01:10:41.948 --> 01:10:45.990]  ...is going after private citizens using your political power.
[01:10:45.990 --> 01:10:47.070]  Here's my question to you.
[01:10:47.070 --> 01:10:51.532]  See, because the minute you say something out of line, do you realize you're getting used by the media?
[01:10:51.812 --> 01:10:58.356]  By CNN, MSNBC, do you realize when they have you on to bash the president, they're using... Bashing the president?
[01:10:58.356 --> 01:11:00.337]  No, we're going to work on getting him defeated.
[01:11:00.337 --> 01:11:01.078]  Because they hate you.
[01:11:01.078 --> 01:11:05.360]  No, it's not about... The media hates you, but now they love you because you're hitting the president.
[01:11:05.360 --> 01:11:12.985]  And then there's the field of Democratic candidate madness, towing the same cringeworthy attacks we have all grown to loathe.
[01:11:12.985 --> 01:11:15.286]  But if Donald Trump is re-elected...
[01:11:16.667 --> 01:11:18.449]  Freudian slip.
[01:11:18.449 --> 01:11:31.782]  As this man tries to divide us, and demean Americans, and degrade Americans, and pit us against each other, it is time for us, it's time for us as Democrats to remember who we are.
[01:11:31.782 --> 01:11:38.469]  I mean, what are you going to do in the next one year to diminish the mentally retarded action of this guy?
[01:11:41.141 --> 01:11:43.222]  Well said!
[01:11:43.222 --> 01:11:50.386]  Someone at your town hall that we were at yesterday called the current president, President Trump, mentally retarded.
[01:11:50.386 --> 01:11:52.627]  What do you make of that?
[01:11:52.627 --> 01:11:54.949]  There's video on social media.
[01:11:54.949 --> 01:11:58.110]  It's an incredibly offensive term.
[01:11:58.110 --> 01:11:58.691]  Well said!
[01:12:00.319 --> 01:12:10.724]  Even the almighty king of morality and truth, Snopes founder David Mickelson, allegedly embezzled $98,000 for prostitutes during his divorce.
[01:12:10.724 --> 01:12:17.127]  I ask you, has any decent person stood up in opposition to President Trump's populist uprising?
[01:12:17.127 --> 01:12:22.349]  John Bowne reporting.
[01:12:22.349 --> 01:12:28.892]  I wanted to play that report because you look at Cory Booker and Kamala Harris and Anthony Scaramucci.
[01:12:30.091 --> 01:12:38.053]  And they're viciously lying about Trump and his supporters and calling it fascist if Trump then responds back and says someone's a liar.
[01:12:38.053 --> 01:12:41.454]  I mean, Trump said Scaramucci only worked for us 13 days.
[01:12:41.454 --> 01:12:42.695]  He didn't do a very good job.
[01:12:42.695 --> 01:12:44.055]  That's why we got rid of him.
[01:12:44.055 --> 01:12:47.416]  And now he's trying to get attention for himself because he's a loser.
[01:12:47.416 --> 01:12:49.077]  That's Trump's response.
[01:12:49.077 --> 01:12:49.997]  Trump's a fascist.
[01:12:49.997 --> 01:12:50.537]  He's Hitler.
[01:12:50.537 --> 01:12:51.097]  Get rid of him.
[01:12:51.097 --> 01:12:52.318]  He's mentally ill.
[01:12:52.318 --> 01:12:54.538]  He hates everybody.
[01:12:54.538 --> 01:12:55.238]  He's a racist.
[01:12:55.238 --> 01:12:56.379]  Well, did you ever hear him say something racist?
[01:12:56.379 --> 01:12:56.759]  Well, no.
[01:12:58.493 --> 01:12:59.234]  And then Cory Booker.
[01:12:59.234 --> 01:13:00.314]  They're trying to divide us.
[01:13:00.314 --> 01:13:02.256]  They're trying to... That's their playbook.
[01:13:02.256 --> 01:13:05.999]  It's in the WikiLeaks that Hillary was trying to create racial division.
[01:13:05.999 --> 01:13:07.480]  And division between men and women.
[01:13:07.480 --> 01:13:10.162]  She's a ruthless pig!
[01:13:10.162 --> 01:13:11.563]  You know, all the things about Hillary.
[01:13:11.563 --> 01:13:13.744]  Representing child molesters on purpose.
[01:13:13.744 --> 01:13:15.326]  And making jokes about it.
[01:13:15.326 --> 01:13:16.707]  And just all the things she's done.
[01:13:16.707 --> 01:13:17.647]  Overthrowing countries.
[01:13:17.647 --> 01:13:20.489]  Murdering millions.
[01:13:20.489 --> 01:13:21.830]  Tripling the sanctions on Iraq.
[01:13:21.830 --> 01:13:23.532]  Killed a million children.
[01:13:23.532 --> 01:13:26.134]  Madeleine Albright, when it was a half million, said it was a good price to pay.
[01:13:26.134 --> 01:13:27.695]  These are admissions.
[01:13:29.187 --> 01:13:33.708]  Is that it's well known, it's been in the news, Hillary never tips.
[01:13:33.708 --> 01:13:35.169]  And I'm just explaining.
[01:13:35.169 --> 01:13:38.670]  Studies show liberals don't tip as big as conservatives.
[01:13:38.670 --> 01:13:39.610]  Look it up!
[01:13:39.610 --> 01:13:42.091]  Liberals don't donate as much as conservatives.
[01:13:42.091 --> 01:13:43.912]  Liberals virtue signal though.
[01:13:43.912 --> 01:13:45.212]  They steal more.
[01:13:45.212 --> 01:13:46.993]  They lie more.
[01:13:46.993 --> 01:13:49.313]  And now she goes around and art exhibits all over the world.
[01:13:49.313 --> 01:13:52.414]  She's done it in the US, now she's doing it in Italy.
[01:13:52.414 --> 01:13:54.535]  And she poses as the President!
[01:13:58.806 --> 01:14:02.551]  And you look at her, she's a satanic zombie!
[01:14:02.551 --> 01:14:05.215]  I'm digressing, let's get back to PewDiePie.
[01:14:05.215 --> 01:14:07.498]  Fans furious after PewDiePie donates $50,000 to the ADL.
[01:14:09.602 --> 01:14:15.447]  Well, Arnold Schwarzenegger gave a million dollars to the ADL, and then they stopped saying he was a Nazi back in the 80s.
[01:14:15.447 --> 01:14:24.816]  You know, Arnold was buddies with Kurt Voltheim, an SS officer who actually rounded up Jews, and he wears Hitler outfits.
[01:14:24.816 --> 01:14:25.636]  It's well known.
[01:14:25.636 --> 01:14:26.778]  He said he loved Hitler.
