[00:00:18.674 --> 00:00:24.037]  Ladies and gentlemen,
[00:50:32.993 --> 00:50:34.833]  I'm going to show evidence of that in a moment.
[00:50:34.873 --> 00:50:37.114]  Not just China, but 19 other countries.
[00:50:38.294 --> 00:50:47.836]  Involved in congressional hearings saying they're going to shut down the grassroots and the populist movement and the nationalist movement and the NRA and Matt Drudge and Alex Jones.
[00:50:48.056 --> 00:50:48.796]  We're all named.
[00:50:50.725 --> 00:50:53.407]  Then they go to other committees and lie and say there is no censorship.
[00:50:54.408 --> 00:50:56.730]  This is total information control.
[00:50:57.971 --> 00:51:02.134]  It's like the phone book telling 99% of people in the town they can't put an ad in it.
[00:51:03.315 --> 00:51:05.477]  Whether it's legal or not, no one would put up with that crap.
[00:51:07.018 --> 00:51:11.642]  But it's not legal because they keep saying, oh, we don't want any government involvement in the internet.
[00:51:11.802 --> 00:51:18.528]  The government built the internet with corporations, DARPA did, and it's now been transferred to the UN via Obama.
[00:51:19.645 --> 00:51:34.015]  And you're sitting by, Mr. President, while Mitch McConnell's Twitter is shut down for no reason, and while you can't run campaign ads saying, join us at the Trump 2020 campaign website if you're a strong woman.
[00:51:34.255 --> 00:51:35.395]  We want strong women.
[00:51:37.757 --> 00:51:38.858]  You quote, misgendered.
[00:51:38.918 --> 00:51:39.718]  What does that even mean?
[00:51:41.319 --> 00:51:44.421]  They can call anything they want selectively bad to shut it down.
[00:51:44.501 --> 00:51:46.142]  That's what this is, authoritarianism.
[00:51:46.163 --> 00:51:46.663]  And you know that.
[00:51:48.103 --> 00:51:50.443]  So the fact that we're here and this is going on is a joke.
[00:51:51.524 --> 00:51:55.344]  Obama signed the Countering Foreign Disinformation and Propaganda Act.
[00:51:55.965 --> 00:51:57.185]  Billions of dollars went into it.
[00:51:59.925 --> 00:52:01.686]  Hundreds and hundreds of millions per project.
[00:52:02.586 --> 00:52:08.047]  We've been covering it since 2016 when Obama signed it in the Defense Authorization Act.
[00:52:09.827 --> 00:52:11.928]  A lot of the money ran out earlier this year.
[00:52:11.948 --> 00:52:14.028]  That's why you saw the big layoffs in leftist media.
[00:52:15.189 --> 00:52:16.989]  They're just censorship wolf packs.
[00:52:20.049 --> 00:52:40.085]  And so I have to sit here and watch this going on as one of the top Democrats in the FCC announces this symposium put on by the FCC to, quote, get drudge and get the conservatives, like Google executives said, their head operative over censorship said, to make sure Trump doesn't get reelected.
[00:52:40.365 --> 00:52:43.348]  And we sit here while this goes on.
[00:52:44.434 --> 00:52:52.216]  And we have the CIA and the FBI and the NSA and at least 15 other agencies and the Atlantic Council running it.
[00:52:53.477 --> 00:52:56.298]  Just like Hillary had a second set of servers and a second set of emails.
[00:52:56.458 --> 00:52:59.999]  Then you have a private group plugged in with national security clearances.
[00:53:01.019 --> 00:53:02.480]  That's why Clapper didn't want his taken.
[00:53:02.760 --> 00:53:05.420]  And then notice they didn't take it when you ordered it taken.
[00:53:05.741 --> 00:53:07.621]  The son of a bastard still has it.
[00:53:10.382 --> 00:53:13.343]  Because that's how they're criminally running this whole damn thing.
[00:53:15.745 --> 00:53:19.426]  And we put on screen the articles, we show you the legislation, we show you the laws.
[00:53:21.146 --> 00:53:24.227]  Oh, the government's not supposed to get involved, the fake libertarian think tanks say.
[00:53:25.448 --> 00:53:28.749]  Because some of their board members are on the Atlantic Council.
[00:53:28.909 --> 00:53:44.853]  How sick that a private group, getting funded by 20 foreign countries, has more power than the President or Congress, and they have such disrespect for Mitch McConnell, and all these
[00:53:46.587 --> 00:53:48.969]  Guys that can barely check their email.
[00:53:48.989 --> 00:53:52.273]  I mean, Mitch McConnell can barely wipe his ass, okay?
[00:53:53.193 --> 00:53:54.014]  I don't mean that mean.
[00:53:54.335 --> 00:53:55.716]  He's just an old fuddy-duddy.
[00:53:58.390 --> 00:53:59.471]  And they're all just rolling over.
[00:53:59.491 --> 00:53:59.872]  Well, guess what?
[00:53:59.912 --> 00:54:00.593]  I'm not rolling over.
[00:54:00.973 --> 00:54:03.416]  So listen, Trump, you can roll over all you want all day long.
[00:54:03.716 --> 00:54:05.078]  This is the easiest thing to fix in the world.
[00:54:05.418 --> 00:54:06.640]  You talk about election meddling.
[00:54:06.920 --> 00:54:08.202]  You talk about manipulation.
[00:54:08.862 --> 00:54:10.104]  You talk about discrimination.
[00:54:10.124 --> 00:54:11.125]  You talk about illegal spying.
[00:54:11.385 --> 00:54:16.431]  You talk about how Comey and all of them were illegally spying on you and leaking and lying about it.
[00:54:18.564 --> 00:54:37.951]  This is a private group, the Atlantic Council, in congressional hearings bragging how they're spying on everybody, in everybody's email, in everybody's YouTube account, in everybody's Facebook, and they trained 100,000 people at the Southern Poverty Law Center over the last three years to then put them into every major corporation, including
[00:54:38.511 --> 00:55:03.884]  Credit card companies to oversee what you're buying and doing literally putting Commissar political officers in everywhere Facebook's hired over a thousand former members of the Stasi Google's moving into the former Stasi headquarters in East Germany They're arresting people by the thousands every week in Europe for their political speech You get arrested in Scotland for saying Islam is questionable
[00:55:06.035 --> 00:55:07.456]  This isn't tyranny.
[00:55:07.656 --> 00:55:10.257]  This is tyranny on steroids.
[00:55:12.078 --> 00:55:17.321]  To the articles on DrudgeReport.com, where the Pentagon launches a new program to fight viral internet content.
[00:55:19.022 --> 00:55:21.323]  They say polarizing viral content.
[00:55:21.703 --> 00:55:26.686]  Well, we need to polarize and say the right to keep and bear arms is not negotiable.
[00:55:29.994 --> 00:55:33.177]  See, these new words, polarizing, not hate.
[00:55:33.937 --> 00:55:37.080]  See, once you get people agreeing to ban hate, well that's the thing you defined it as.
[00:55:37.360 --> 00:55:40.342]  Well now it's polarizing and viral.
[00:55:42.384 --> 00:55:46.247]  This is how the big corporations, Hollywood falling apart, the media falling apart with no viewers.
[00:55:46.287 --> 00:55:48.489]  Their answers just sabotage everybody else doing it.
[00:55:48.889 --> 00:55:51.791]  And it says the Pentagon is going to be involved domestically.
[00:55:51.911 --> 00:55:53.633]  Obama, by the way, legalized it.
[00:55:58.899 --> 00:56:00.881]  I'm going to show you where Obama got this legalized.
[00:56:01.221 --> 00:56:02.402]  Well, it needs to be made illegal.
[00:56:03.143 --> 00:56:10.090]  So see, Obama set up his own private government before he left, put the Atlantic Council in charge, gave them two billion bucks.
[00:56:11.070 --> 00:56:19.078]  I mean, you think Bruce Ohr giving his wife a half million bucks to help cook up the dossiers big and the 37 million they paid their friends and family to put the fake dossier?
[00:56:19.278 --> 00:56:20.619]  You think that 37 million's it?
[00:56:20.720 --> 00:56:21.981]  It's billions, baby.
[00:56:23.345 --> 00:56:28.687]  They all get little secret agent cards, and they all get to get into your computer, get into your phone.
[00:56:28.967 --> 00:56:30.147]  They all have back doors.
[00:56:30.207 --> 00:56:31.428]  They're the super class.
[00:56:33.008 --> 00:56:37.310]  And now they're in the news telling you, yeah, we're listening to everything you do and watching you, so watch your mouth.
[00:56:38.530 --> 00:56:40.151]  If the NSA did that, they'd be strung up.
[00:56:40.471 --> 00:56:46.213]  But when Google and Apple do it, well, we better kiss their butt or we'll be banned like Alex Jones.
[00:56:48.080 --> 00:57:03.293]  So when we come back, I'm going to read to you from the Atlantic Council, from congressional testimony, from their statements, how they're watching you, how they're listening to you, how they're controlling you, and how they're about to ban everything, including likes
[00:57:03.413 --> 00:57:04.954]  What a group of dirty crooks!
[00:57:28.493 --> 00:57:29.954]  There's another way to counter them as well.
[00:57:30.294 --> 00:57:31.975]  Financially support this transmission.
[00:57:32.536 --> 00:57:45.564]  We got two big sales that have got to end in days when our Carnivora that helps process the meat out of your body, the next level probiotic, a free bottle of that with DNA Force, Horseshoe Mill Vitality, and those are both 50% and 25% off respectively.
[00:57:45.824 --> 00:57:46.505]  A huge sale.
[00:57:46.845 --> 00:57:47.345]  Check it out.
[00:57:47.505 --> 00:57:50.147]  Vote with your dollars and support the M4 on getting great products.
[00:57:55.066 --> 00:57:59.231]  Here's Alex Jones putting the tinfoil hat on display.
[00:57:59.331 --> 00:58:11.306]  As you can see, the tinfoil hat, which was once a one-piece tinfoil hat meant to sit on your head comfortably, has now evolved into not just a tinfoil hat, but an adjustable antenna.
[00:58:11.366 --> 00:58:13.709]  So not only do you have the tinfoil hat,
[00:58:13.849 --> 00:58:25.458]  To protect yourself against fake news and predict the future, now it's included a tinfoil hat antenna, adjustable antenna, so you can pick up the InfoWars streams wherever you are on planet Earth.
[00:58:25.638 --> 00:58:30.281]  It's the brand new InfoWars tinfoil hat with adjustable antenna.
[00:58:30.321 --> 00:58:38.147]  We're working on getting the satellite feeds up and ready so that you can tune in to the InfoWars live broadcast with your tinfoil hat.
[00:58:38.227 --> 00:58:38.647]  Passion.
[00:58:38.908 --> 00:58:39.248]  Vogue.
[00:58:39.488 --> 00:58:39.888]  Power.
[00:58:40.189 --> 00:58:41.890]  Alex Jones tinfoil hat.
[00:58:42.170 --> 00:58:47.295]  Now, Alex is a man of many talents, but you didn't know he had that type of catwalk ability.
[00:58:47.315 --> 00:58:48.456]  Just look at the attitude.
[00:58:48.796 --> 00:58:51.098]  Look at the flippant nature of defiance.
[00:58:51.419 --> 00:58:52.380]  Look at the rebellion.
[00:58:52.700 --> 00:58:54.181]  Ugh, just total defiance.
[00:58:54.422 --> 00:58:59.466]  It's the brand new InfoWars tinfoil and tinfoil hat with adjustable antenna.
[00:58:59.546 --> 00:59:05.492]  You can pick up HD audio of the Alex Jones Show with your brand new InfoWars tinfoil hat.
[00:59:05.592 --> 00:59:07.514]  We told you first about the fluoride in the water.
[00:59:07.614 --> 00:59:09.435]  We told you first about Jeffrey Epstein.
[00:59:09.596 --> 00:59:11.417]  Now you can hear it for yourself!
[00:59:11.617 --> 00:59:16.202]  Live time with the Info Wars tinfoil hat!
[00:59:16.282 --> 00:59:18.143]  How's the satellite feed coming in, Alex?
[00:59:18.323 --> 00:59:19.024]  Crystal clear.
[00:59:19.104 --> 00:59:19.805]  Crystal clear.
[00:59:20.045 --> 00:59:20.966]  HD feed, baby.
[00:59:23.700 --> 00:59:25.321]  So right now I'm on the Alex Jones Show.
[00:59:25.801 --> 00:59:33.704]  If I adjust the antenna approximately 30 degrees to the east... Now I've got the David Knight Show!
[00:59:34.785 --> 00:59:36.745]  Now I'm listening to David Knight this morning.
[00:59:36.805 --> 00:59:40.247]  He's talking about leftist cities and how they promote abortion.
[00:59:40.267 --> 00:59:45.329]  Hold on, let me just tune it now 60 degrees to the southwest and give it a little bend here.
[00:59:45.969 --> 00:59:47.530]  And now I'm tuned into the War Room!
[00:59:56.474 --> 01:00:12.724]  If you are receiving this transmission, you are the Resistance.
[01:00:14.485 --> 01:00:19.748]  Live, raw, and unfiltered, it's the Alex Jones Show.
[01:00:25.726 --> 01:00:28.607]  Ladies and gentlemen, we're back live broadcasting worldwide.
[01:00:28.627 --> 01:00:33.409]  I'm your host, Alex Jones, and I've got a message to America, a message to the world, a message to President Trump.
[01:00:34.749 --> 01:00:39.651]  The corporations and governments of the world have decided to go pure authoritarian, to maintain their control.
[01:00:40.911 --> 01:00:47.274]  They've decided to end basically any way for individuals to communicate that's not censored, watched over, and controlled.
[01:00:50.135 --> 01:00:53.636]  And we now have
[01:00:55.404 --> 01:01:03.048]  The FCC and all the rest of them, when Trump came out and said, maybe I'll have the FCC make sure that big tech doesn't censor.
[01:01:03.428 --> 01:01:14.313]  So the FCC, and so the Federal Communications Commission came out, as well as the Federal Trade Commission and a bunch of others.
[01:01:14.513 --> 01:01:15.293]  They're all pushing it.
[01:01:15.313 --> 01:01:15.954]  They're all doing it.
[01:01:16.794 --> 01:01:24.818]  And said, we are going to start censoring the Internet.
[01:01:26.401 --> 01:01:27.702]  I know it's FEC, guys.
[01:01:28.042 --> 01:01:28.662]  I understand that.
[01:01:29.363 --> 01:01:35.587]  Do yourselves a favor and type in members of FCC Hall censoring the internet.
[01:01:35.607 --> 01:01:35.687]  Okay?
[01:01:37.528 --> 01:01:37.868]  We'll do that.
[01:01:38.088 --> 01:01:38.488]  Back to Hall.
[01:01:38.568 --> 01:01:39.429]  Go to rebroadcast and do that.
[01:01:39.449 --> 01:01:41.170]  Let me give you something to play here.
[01:01:41.190 --> 01:01:43.351]  This is a really important report right here.
[01:01:44.332 --> 01:01:46.113]  Let's go ahead and go to this report.
[01:01:47.719 --> 01:01:48.740]  Because it needs to be seen.
[01:01:49.600 --> 01:01:50.521]  Absolutely critical.
[01:01:50.901 --> 01:01:53.362]  Where is the outrage over the opioid carnage?
[01:01:53.862 --> 01:01:55.023]  I've got a big report on that too.
[01:01:55.063 --> 01:01:56.103]  I'm glad I got reminded of that.
[01:01:56.343 --> 01:01:57.204]  We'll be right back after this.
[01:01:57.224 --> 01:01:57.604]  Stay with us.
[01:02:04.447 --> 01:02:08.629]  The gunman in West Texas shooting identified as Seth Ator.
[01:02:08.969 --> 01:02:10.930]  And this individual got pulled over by the police.
[01:02:11.883 --> 01:02:15.665]  And then went crazy and began just indiscriminately shooting.
[01:02:15.986 --> 01:02:18.807]  That's normally what you see with a Mexican drug cartel.
[01:02:19.208 --> 01:02:20.669]  That's what they do when the cops pull them over.
[01:02:20.709 --> 01:02:23.731]  They start shooting at the cops, shooting everybody else, so everybody runs for cover.
[01:02:23.931 --> 01:02:31.936]  Two days after the bust, Nogales Police Chief Jeffrey Kirkham says his department received an ominous message through an informant in Mexico.
[01:02:32.276 --> 01:02:45.122]  That information was brought forward that the drug runners threw the cartels, that we were to look the other way when we're not working, when we're off duty, we're not in uniform, and that if we didn't, that our officers would be targeted.
[01:02:47.142 --> 01:02:52.685]  Throughout metro Atlanta, DEA agents say Mexican drug cartels are hiding in plain sight.
[01:02:55.166 --> 01:02:59.748]  Inside this closet, a shopping bag holds a quarter million dollars in cash.
[01:03:01.047 --> 01:03:06.630]  Also seized six pounds of methamphetamine with a street value of another quarter million dollars.
[01:03:06.691 --> 01:03:09.632]  We have 12,000 people a year that die from guns in the United States.
[01:03:11.073 --> 01:03:17.797]  And what I do know is that around 9,000 of those are suicides.
[01:03:18.318 --> 01:03:29.725]  So we've got quite a few people that are being killed in drive-by shootings, are being killed by murderers, but still statistically, ladies and gentlemen,
[01:03:30.700 --> 01:03:32.180]  Tens of thousands drowned.
[01:03:32.301 --> 01:03:34.581]  Tens of thousands fall and hit their head in the bathroom and die.
[01:03:34.981 --> 01:03:36.202]  And I pulled up the numbers here.
[01:03:36.522 --> 01:03:38.702]  They're always four or five years behind on statistics.
[01:03:39.303 --> 01:03:47.105]  But in 2016, 50-plus thousand people died from prescription opioids.
[01:03:47.545 --> 01:03:56.768]  When opioid sales in Oklahoma began to skyrocket, the death toll from unintentional prescription drug-related overdoses mounted.
[01:03:58.723 --> 01:04:02.726]  Leaving in its wake broken homes, families and communities.
[01:04:03.046 --> 01:04:08.991]  The state estimates the opioid epidemic has killed some 6,000 Oklahomans in 19 years.
[01:04:09.191 --> 01:04:18.078]  The former chairman and president of Purdue Pharma says under oath he does not know how much the family has made off the sale of OxyContin.
[01:04:18.558 --> 01:04:21.681]  Purdue Pharma is best known as the developer of OxyContin.
[01:04:22.101 --> 01:04:28.366]  The company is facing billions of dollars in potential liability for its role in the nation's opioid crisis.
[01:04:28.886 --> 01:04:32.309]  Automobiles kill hundreds of thousands of people a year.
[01:04:33.670 --> 01:04:42.677]  But again, they hype up mass shootings because it is scary to think you can go to the movie theater or go to the shopping mall and then some crazy person comes in and kills you.
[01:04:42.697 --> 01:04:43.097]  But out of 300
[01:04:45.256 --> 01:04:48.377]  And probably 60 million people if you count all the illegal aliens.
[01:04:48.397 --> 01:04:50.258]  But 330 million people in the census.
[01:04:50.558 --> 01:04:54.039]  It's very rare to get shot in a mass shooting.
[01:04:54.900 --> 01:04:57.781]  Just like it's rare to have somebody break in your house and shoot you.
[01:04:57.801 --> 01:04:59.201]  But it's still terrible if it happens to you.
[01:04:59.961 --> 01:05:03.363]  But the point is the media is hyping this to launch red flags.
[01:05:04.343 --> 01:05:07.044]  This is Paul Joseph Watson with Summit.News and Action 7 News.
[01:05:07.084 --> 01:05:08.144]  We're here in Hong Kong.
[01:05:08.164 --> 01:05:10.605]  This is Savannah Hernandez for InfoWars.com.
[01:05:10.665 --> 01:05:14.667]  I'm reporting to you from Hong Kong where I'm joined by reporter Greg Rees for the next week.
[01:05:14.687 --> 01:05:17.188]  This is Greg Rees for InfoWars.com in Hong Kong.
[01:05:17.488 --> 01:05:21.410]  Our recent trip to Hong Kong was a new achievement for InfoWars.com.
[01:05:22.350 --> 01:05:29.854]  Despite being the most banned broadcast in the free world, we continue to win because of our great, strong, loyal audience.
[01:05:30.414 --> 01:05:46.402]  We have Dan Lyman covering InfoWars Europe, Paul Joseph Watson in the UK, Millie Weaver and Caitlin Bennett in the American heartland, and from Austin, Texas, a team of reporters and crew ready to be dispatched wherever the story is going down.
[01:05:46.942 --> 01:05:50.524]  We are not done winning, and with your support, we will keep winning.
[01:05:51.084 --> 01:05:51.785]  We have to keep winning!
[01:05:52.065 --> 01:05:53.386]  We have to win more!
[01:05:53.406 --> 01:05:55.869]  Go to InfoWarsStore.com.
[01:05:55.909 --> 01:06:04.097]  You have gone to InfoWarsStore.com and gotten books and films, supplements and t-shirts, and water filtration, air filtration, and things you need!
[01:06:04.117 --> 01:06:11.564]  Live from the InfoWars.com studios, you're listening to the Alex Jones Show!
[01:06:19.441 --> 01:06:20.588]  Welcome back, ladies and gentlemen.
[01:06:20.629 --> 01:06:21.837]  I'm Alex Jones, your host.
[01:06:24.488 --> 01:06:27.549]  Almost every federal agency has been turned against the First Amendment.
[01:06:27.569 --> 01:06:33.190]  The government is running the takeover of the internet, not just here, but all over the world.
[01:06:33.990 --> 01:06:36.530]  It's not Big Tech calling the shots, it's the Democrats.
[01:06:36.970 --> 01:06:47.872]  And I'm going to show you the proof at the FCC, as well as the FTC, the Federal Trade Commission, as well as the Federal Election Commission, the FEC.
[01:06:48.472 --> 01:06:51.913]  I'm going to show you all those articles, if you're a TV viewer, here in a moment.
[01:06:51.953 --> 01:06:53.233]  But first, here's the big issue.
[01:06:54.901 --> 01:06:56.802]  Trump was never in government, which is a plus.
[01:06:57.322 --> 01:07:00.423]  But it's also a minus because he knows censorship's going on.
[01:07:00.884 --> 01:07:06.526]  He's been shown that Google and Apple and Facebook are lying to Congress and lying to him, and he's mad about it.
[01:07:06.986 --> 01:07:09.187]  And he said he's going to take major action.
[01:07:12.269 --> 01:07:14.990]  But that's not what's happening.
[01:07:16.141 --> 01:07:18.862]  Ladies and gentlemen, so here's some of the headlines.
[01:07:19.422 --> 01:07:19.662]  U.S.
[01:07:19.743 --> 01:07:23.064]  unleashes military to fight fake news disinformation.
[01:07:23.684 --> 01:07:26.265]  And it goes on to say viral memes.
[01:07:27.386 --> 01:07:28.986]  Anything that sows discord.
[01:07:29.086 --> 01:07:30.567]  Anything that gets people upset.
[01:07:30.907 --> 01:07:35.669]  We're supposed to be upset about 60 million abortions it's almost up to now.
[01:07:35.929 --> 01:07:37.770]  And now keeping babies alive after they're born.
[01:07:38.050 --> 01:07:40.311]  We're supposed to get upset about the homeless problem.
[01:07:40.511 --> 01:07:44.073]  We're supposed to get upset about obesity and diabetes and breast cancer.
[01:07:44.909 --> 01:07:47.391]  You're supposed to get upset about when your kids are doing bad in school.
[01:07:49.093 --> 01:07:51.074]  But imagine saying you're not allowed to do that.
[01:07:51.135 --> 01:07:53.116]  I'm gonna read you congressional testimony.
[01:07:54.117 --> 01:07:59.902]  What the FCC's being told, what the FEC's being told, what all these groups are saying.
[01:08:00.583 --> 01:08:04.847]  US unleashes military to fight fake news disinformation.
[01:08:05.928 --> 01:08:07.329]  That's Yahoo News, Bloomberg.
[01:08:10.728 --> 01:08:15.950]  And they go on to say that Mitch McConnell hasn't supported it because he's Moscow Mitch.
[01:08:18.111 --> 01:08:20.672]  Moscow doesn't have 1% influence over this country.
[01:08:21.092 --> 01:08:21.692]  Everybody knows it.
[01:08:22.292 --> 01:08:22.993]  The Chai Comps.
[01:08:24.253 --> 01:08:29.955]  But again, even Mitch McConnell is called a Russian agent in the biggest story this weekend they pushed.
[01:08:32.336 --> 01:08:34.297]  Continuing this story on DrudgeReport.com.
[01:08:34.337 --> 01:08:37.278]  Pentagon launches new program to fight viral internet content.
[01:08:39.019 --> 01:08:39.819]  Anything that is
[01:08:41.212 --> 01:08:41.813]  Influential.
[01:08:41.853 --> 01:08:43.175]  That the establishment doesn't control.
[01:08:43.456 --> 01:08:44.758]  They're afraid of your influence.
[01:08:46.641 --> 01:08:49.906]  All these old globalists thought you'd always love mainstream TV, mainstream newspapers.
[01:08:49.946 --> 01:08:50.367]  You don't.
[01:08:50.427 --> 01:08:51.229]  You don't trust them.
[01:08:51.429 --> 01:08:53.653]  So now they're just saying, we'll get rid of everybody else.
[01:08:54.654 --> 01:08:55.415]  Because Google
[01:08:56.676 --> 01:09:00.660]  And Facebook, 70% of people only get their news there.
[01:09:01.060 --> 01:09:01.541]  Continuing.
[01:09:02.001 --> 01:09:07.186]  Liberal FEC chairwoman targets online news she considers fraudulent.
[01:09:07.767 --> 01:09:09.048]  Federal Election Commission.
[01:09:09.528 --> 01:09:11.770]  Same thing the FCC was talking about a few years ago.
[01:09:13.072 --> 01:09:18.096]  Restricting talk radio, making views on pro-life, guns, you name it.
[01:09:18.257 --> 01:09:19.418]  Because, well, that's political!
[01:09:19.498 --> 01:09:20.419]  We control that!
[01:09:20.859 --> 01:09:21.740]  No, it's the First Amendment.
[01:09:24.741 --> 01:09:29.122]  And it goes on to say that they want to stop the Russian efforts in 2020.
[01:09:29.602 --> 01:09:32.883]  You mean the populist effort to make America great again.
[01:09:33.423 --> 01:09:37.565]  Here's another one from World Net Daily reporting on public affairs.
[01:09:37.605 --> 01:09:43.946]  The Washington Post article, Obama used illegal propaganda on Americans, so they legalized it.
[01:09:43.986 --> 01:09:44.747]  That's the headline.
[01:09:44.787 --> 01:09:45.567]  Anybody can type it in.
[01:09:47.139 --> 01:09:51.963]  Obama legalizes using propaganda on Americans inside the U.S.
[01:09:52.643 --> 01:09:53.544]  That was six years ago.
[01:09:54.325 --> 01:09:56.266]  And that's what this is now.
[01:09:56.867 --> 01:10:00.609]  GOP freezes Twitter spending after McConnell account locked.
[01:10:02.311 --> 01:10:02.671]  There it is.
[01:10:02.751 --> 01:10:04.592]  NDA legalizes use of propaganda on U.S.
[01:10:04.953 --> 01:10:05.253]  public.
[01:10:05.633 --> 01:10:06.254]  Business Insider.
[01:10:06.534 --> 01:10:07.415]  This is what they're doing.
[01:10:08.355 --> 01:10:11.338]  Tulsi Gabbard sues Google over post-debate suspension.
[01:10:11.798 --> 01:10:13.980]  When she surged to number one, they just suspended her.
[01:10:15.541 --> 01:10:16.722]  Not because she's a terrorist!
[01:10:18.530 --> 01:10:19.911]  Not because she's a Nazi.
[01:10:20.131 --> 01:10:23.472]  But again, even if you're a Nazi, you shouldn't have your speech taken because then anybody can be called a Nazi.
[01:10:23.833 --> 01:10:25.233]  No, because she won the debate.
[01:10:25.693 --> 01:10:26.574]  And you can't have that.
[01:10:27.514 --> 01:10:30.456]  Google promises to stop lying because of Drudge Report Spotlight.
[01:10:30.476 --> 01:10:30.756]  Remember, 2013?
[01:10:32.076 --> 01:10:34.598]  They had a Pentagon meeting.
[01:10:34.678 --> 01:10:35.578]  Government promises.
[01:10:35.898 --> 01:10:40.661]  Had a Freudian slip and said, Google, same thing, to stop lying because of Drudge Report Spotlight.
[01:10:41.661 --> 01:10:46.443]  Facebook, censorship alternative media, just the beginning warns top neocon insider.
[01:10:46.503 --> 01:10:47.544]  Infowars ran the story.
[01:10:48.868 --> 01:10:51.929]  From Grayzone Project over a year ago.
[01:10:53.310 --> 01:10:54.210]  And there it all is.
[01:10:54.571 --> 01:10:59.333]  He said, oh, by next year, we're going to censor all conservatives, all nationalists, everybody.
[01:10:59.733 --> 01:11:06.316]  You can watch the video where he says he's going to censor everybody and that the neocons are in control of the Democrats.
[01:11:06.936 --> 01:11:07.877]  And you saw this last week.
[01:11:08.157 --> 01:11:09.657]  YouTube acts as anti-protest.
[01:11:10.318 --> 01:11:12.859]  YouTube acts as anti-protest channels as U.S.
[01:11:12.879 --> 01:11:14.399]  military, U.S.
[01:11:14.459 --> 01:11:17.201]  Ministry of Truth battles China over Hong Kong.
[01:11:18.021 --> 01:11:33.687]  Now, I support Hong Kong independence, but the Pentagon supports it too, and so they went to YouTube and said, don't let the channels that are against independence operate, delete them.
[01:11:35.668 --> 01:11:42.311]  Again, proving right there, Mr. President, the government's in control of this, and Hillary supports independence in Hong Kong.
[01:11:43.191 --> 01:11:45.232]  Just gives her more power or whatever, not for the people.
[01:11:47.073 --> 01:11:48.634]  But I support it because it's the right thing to do.
[01:11:49.634 --> 01:11:52.256]  Just because Hillary and I agree every once in a while doesn't mean she's a good person.
[01:11:52.976 --> 01:11:56.779]  But again, this is illustrative of how they censor whatever they want, whenever they want.
[01:11:56.819 --> 01:12:02.902]  So it was decided in government, by these councils, by these groups, that I be censored.
[01:12:02.922 --> 01:12:03.783]  I'm going to show you the proof.
[01:12:04.983 --> 01:12:06.744]  Hell, all the congressional testimony, everybody's seen it.
[01:12:06.765 --> 01:12:09.146]  I'm going to show you more in a moment.
[01:12:11.738 --> 01:12:15.279]  Here it is, Obama quietly signs the Counter Disinformation Propaganda Act into law.
[01:12:15.659 --> 01:12:29.664]  This is what leaves all these Democrats and all these neocons with government positions and government paychecks and national security clearances to do this in the defense spending to stop Trump.
[01:12:31.765 --> 01:12:33.766]  Isn't that incredible?
[01:12:33.906 --> 01:12:34.226]  U.S.
[01:12:34.306 --> 01:12:37.907]  unleashes military to fight fake news, disinformation, Bloomberg.
[01:12:38.327 --> 01:12:39.888]  You read the quotes, it says anything viral?
[01:12:43.058 --> 01:12:44.379]  Anything they don't like.
[01:12:44.479 --> 01:12:46.820]  Anything the establishment doesn't like.
[01:12:46.840 --> 01:12:47.820]  And here's some of the other articles.
[01:12:48.941 --> 01:12:49.301]  Drudge.
[01:12:49.361 --> 01:12:51.682]  Fox News could be censored under new federal rules.
[01:12:52.202 --> 01:12:53.062]  Experts warns.
[01:12:53.723 --> 01:12:55.163]  FCC.
[01:12:55.584 --> 01:12:57.704]  Federal Communications Commission.
[01:12:58.045 --> 01:12:59.145]  It's all these agencies.
[01:12:59.165 --> 01:13:04.167]  Talking about FTC earlier and I was again mixing it in with talking to someone from the FCC.
[01:13:05.588 --> 01:13:12.211]  Don't want to mix those two but they're all following the same policy because the globalists are in control of that whole operation.
[01:13:13.430 --> 01:13:15.351]  Now let me move to the big enchilada.
[01:13:16.811 --> 01:13:19.912]  I can read you the countlessinfowars.com articles with links and quotes.
[01:13:19.972 --> 01:13:29.134]  I can read you the Endless Zero Hedge articles a year before Matt Taibbi wrote about it in three articles for Rolling Stone.
[01:13:29.414 --> 01:13:30.495]  We reported it in 2016 and 17.
[01:13:30.555 --> 01:13:31.375]  He reported it in 2017.
[01:13:37.918 --> 01:13:45.623]  August 13, 2018 and August 2nd, 2018, right when I was being completely banned.
[01:13:45.643 --> 01:13:50.266]  Taibbi, censorship does not end well.
[01:13:50.286 --> 01:14:03.754]  And he goes on to quote, with links, how the CIA and Homeland Security through the think tank, the Atlantic Council, and I had a Freudian failure brain fart.
[01:14:04.475 --> 01:14:06.336]  I said 20 countries, I'm sorry.
[01:14:08.098 --> 01:14:09.038]  It's more than 20 countries.
[01:14:09.999 --> 01:14:28.665]  So two weeks ago, we learned about a new campaign against inauthentic content conducted by Facebook in consultation with Congress and the secretive think tank Atlantic Council, whose board includes an array of ex-CIA and Homeland Security officials who still have security clearances, in the name of cracking down on alleged Russian disinformation.
[01:14:29.325 --> 01:14:29.845]  That's their cover.
[01:14:31.172 --> 01:14:32.173]  For cracking down on the American people.
