[00:00:16.055 --> 00:00:18.077]  Hello, stupid Americans.
[00:52:10.861 --> 00:52:12.042]  She's handed the NBA mic.
[00:52:13.282 --> 00:52:15.503]  She asked, what are your views on freedom of expression?
[00:52:15.984 --> 00:52:18.365]  Even the discussion of the freedom of expression.
[00:52:18.885 --> 00:52:20.066]  Oh, they grabbed the mic away.
[00:52:21.061 --> 00:52:24.668]  And both NBA players sit there and look at her like, how dare you?
[00:52:24.888 --> 00:52:33.644]  Hey lady, we just make hundreds of millions of dollars as star players and then complain about how whites are all racist and how much America sucks because the corporations tell us to.
[00:52:35.455 --> 00:52:38.316]  Because the Chi-Coms are funding us, along with the corporations.
[00:52:38.816 --> 00:52:45.239]  And we're not going to talk about the Chi-Coms with 2 million people in forced labor camps, or millions of Buddhists being killed, or Christians.
[00:52:45.499 --> 00:52:45.979]  No, no, no, no.
[00:52:46.199 --> 00:52:51.601]  We just sit up here and let all the white people kiss our ass because they've all been taught to hate themselves.
[00:52:51.941 --> 00:52:53.662]  We're not actually here to help anybody.
[00:52:55.183 --> 00:52:58.004]  We don't care about Hong Kong being overtaken and enslaved.
[00:52:58.224 --> 00:53:00.084]  We don't care about secret arrests and all that.
[00:53:00.324 --> 00:53:00.605]  No, no, no.
[00:53:00.625 --> 00:53:02.545]  We're just here for lip service.
[00:53:03.406 --> 00:53:04.006]  Little lady.
[00:53:05.674 --> 00:53:06.718]  You didn't get the memo?
[00:53:08.746 --> 00:53:09.830]  So here's the CNN reporter.
[00:53:10.874 --> 00:53:12.434]  Hi, Christina McFarlane, CNN.
[00:53:13.275 --> 00:53:20.677]  The NBA has always been a league that prides itself on its player and its coaches being able to speak out openly about political and societal affairs.
[00:53:21.117 --> 00:53:29.860]  I just wonder after the events of this week and the fallout we've seen, whether you would both feel differently about speaking out in that way in future?
[00:53:29.880 --> 00:53:34.201]  It's a legitimate question.
[00:53:34.581 --> 00:53:36.782]  This is an event that's happened this week during the NBA.
[00:53:39.391 --> 00:53:41.472]  This particular question has not been answered.
[00:53:43.012 --> 00:53:43.292]  James.
[00:53:47.754 --> 00:53:48.414]  Any other questions?
[00:53:49.874 --> 00:53:52.275]  And then they go on to cross their arms and go to the next question.
[00:53:52.295 --> 00:53:55.436]  They don't respond because they're good slaves.
[00:53:56.176 --> 00:53:57.216]  Well-paid slaves.
[00:53:57.796 --> 00:53:59.677]  Judas Goats teaching you how to be a slave.
[00:54:00.865 --> 00:54:04.528]  Judas Goat is the goat that doesn't get killed every year when the other sheep get slaughtered.
[00:54:04.949 --> 00:54:07.831]  He marches them in, he's their leader, and he goes out the other side.
[00:54:08.492 --> 00:54:09.613]  They all get slaughtered, he doesn't.
[00:54:10.954 --> 00:54:14.598]  Oh, but they're black, so they must be better than everybody else.
[00:54:14.698 --> 00:54:17.941]  And oh, we're sorry America's so bad.
[00:54:18.281 --> 00:54:20.723]  Imagine how sick that is.
[00:54:21.104 --> 00:54:23.206]  But the big news here is ESPN
[00:54:24.505 --> 00:54:35.711]  Ran graphics and news reports showing communist China maps, which is a big deal to them, showing the whole South China Sea, part of the Philippines and Japan belonging to China, not just Hong Kong and Taiwan.
[00:54:35.751 --> 00:54:36.432]  Let's roll that video.
[00:54:37.537 --> 00:54:49.422]  LeBron and the Lakers arrived in Shanghai, China this morning after a 13-hour flight, dropping themselves squarely into the fallout from a recent tweet by Rockets GM Daryl Morey that showed support for anti-government protesters in Hong Kong.
[00:54:49.502 --> 00:54:54.785]  Rachel Nichols now is in Shanghai and has the latest on the NBA's current dispute with China.
[00:54:56.266 --> 00:54:59.087]  Now, they know that Americans are politically ignorant on average.
[00:54:59.107 --> 00:55:00.667]  They have no idea geopolitically what's going on.
[00:55:00.707 --> 00:55:04.168]  But China's ready to go to war with Japan, the Philippines, everybody else.
[00:55:05.128 --> 00:55:07.589]  And it's already at war with Vietnam.
[00:55:09.269 --> 00:55:10.349]  See some of those southern islands?
[00:55:10.389 --> 00:55:11.270]  That's Vietnam.
[00:55:11.290 --> 00:55:12.430]  That's part of Vietnam.
[00:55:12.990 --> 00:55:14.350]  Huge islands, huge oil fields.
[00:55:14.610 --> 00:55:15.651]  They're actually in huge wars.
[00:55:15.691 --> 00:55:16.931]  Thousands of dead every month.
[00:55:18.231 --> 00:55:21.012]  Trying to take part of Vietnam!
[00:55:23.392 --> 00:55:25.413]  China's been trying to take Vietnam for a thousand years.
[00:55:26.425 --> 00:55:29.267]  They've had at least, I mean it's dozens of huge invasions.
[00:55:29.287 --> 00:55:31.128]  That's why we couldn't beat the Vietnamese.
[00:55:31.148 --> 00:55:33.830]  Their whole culture is about fighting back because the Chinese keep invading.
[00:55:34.631 --> 00:55:35.572]  Let's put that back on screen.
[00:55:35.592 --> 00:55:35.892]  Look at that.
[00:55:36.712 --> 00:55:40.155]  All those islands from Japan to the Koreas way down.
[00:55:40.395 --> 00:55:41.096]  Thousands of miles.
[00:55:41.136 --> 00:55:42.136]  It's all ours!
[00:55:42.156 --> 00:55:48.361]  It'd be like showing Germany in 1943 and showing the whole world, you know, Germany said the whole world was theirs.
[00:55:49.142 --> 00:55:50.583]  It's the same thing or showing all of Europe.
[00:55:51.465 --> 00:55:53.126]  That's the getting on their knees.
[00:55:53.166 --> 00:55:54.087]  That's the groveling.
[00:55:54.127 --> 00:55:54.988]  That's the bowing.
[00:55:55.388 --> 00:55:56.109]  That's all of it.
[00:55:56.149 --> 00:56:04.075]  And people at sports stadiums everywhere that show signs saying free Hong Kong, they're being thrown out because the NBA's evil.
[00:56:05.656 --> 00:56:11.360]  People are tired of hearing about how Trump's gonna have the deep state indicted.
[00:56:12.821 --> 00:56:16.924]  We just saw these two nobodies
[00:56:18.257 --> 00:56:26.079]  From Ukraine, with tenuous connections to Giuliani, indicted on campaign finance fraud.
[00:56:26.919 --> 00:56:32.560]  And now they're claiming they've got Congressman Warren, who got money from them, from a PAC, which is totally legal.
[00:56:33.660 --> 00:56:43.082]  So the threats are going on big time behind the scenes, and if Trump doesn't start executing his power, he will be taken down.
[00:56:45.299 --> 00:56:47.260]  And the situation is dire.
[00:56:47.921 --> 00:56:49.301]  Oh, his speech at the U.N.
[00:56:49.422 --> 00:56:50.422]  was gorgeous.
[00:56:52.123 --> 00:56:53.044]  Best speech he's given.
[00:56:53.084 --> 00:56:53.544]  Historic.
[00:56:53.784 --> 00:56:54.465]  Everybody agrees.
[00:56:56.426 --> 00:56:58.727]  William Bennington, he's dumbfounded how good it was.
[00:56:59.127 --> 00:57:04.971]  Lord Monckton, it's the best political speech given probably in a hundred years about the state of the world and who the enemy is.
[00:57:06.432 --> 00:57:14.677]  It's an indictment of globalism, crony capitalism, the chi-coms, the attack on the family, the immorality, abortion.
[00:57:16.135 --> 00:57:27.202]  And it's because I care about the President so much, and I care about my own fate, and my children's fate even more, that I'm very upset with the President.
[00:57:30.544 --> 00:57:36.587]  I don't want to hear from any of the administration that it's two weeks until people are indicted anymore.
[00:57:36.988 --> 00:57:38.429]  I want to see indictments.
[00:57:39.729 --> 00:57:42.291]  And I want to see Deep Staters frog-marched out right now.
[00:57:47.332 --> 00:57:55.900]  Because we have globalists that have been openly working with foreign governments and foreign powers and committing crimes that are unbelievable.
[00:57:56.300 --> 00:58:04.848]  And instead of Trump always responding to the latest made-up hoax of Russiagate or Russiagate 2.0 Ukraine,
[00:58:06.345 --> 00:58:13.511]  He just says, that's pure crap, that's bull, boom, here's the transcript, and then move on to the offense, which he did last night, which was an amazing speech.
[00:58:13.531 --> 00:58:15.953]  I got a bunch of clips we're gonna be playing over the next three hours.
[00:58:16.633 --> 00:58:17.634]  We have left in transmission.
[00:58:18.675 --> 00:58:21.137]  Two hours, three hours, 20 minutes, 40 minutes, whatever it is.
[00:58:21.537 --> 00:58:25.220]  We have two hours and 30-something minutes left.
[00:58:26.261 --> 00:58:28.643]  And I'll be taking your calls and going over all of it today, but
[00:58:35.165 --> 00:58:41.648]  This country's in dire straits, and I like Trump's Confidence Act, and I get he's got to be confident, do what he's doing.
[00:58:41.988 --> 00:58:43.508]  I get he thrives in this atmosphere.
[00:58:44.649 --> 00:58:47.490]  But they got their knives out for him, and they got them out for me.
[00:58:48.350 --> 00:58:54.492]  And I signed on to this because we helped relaunch the wave Trump rode in on.
[00:58:56.793 --> 00:59:00.655]  So Trump belongs to us, but we're also bound to him.
[00:59:02.679 --> 00:59:07.860]  And so it's just like you got a family member drinking a bottle of vodka every day, and you know their liver's gonna fail.
[00:59:08.780 --> 00:59:10.521]  You love them, but you're also pissed at them.
[00:59:15.502 --> 00:59:17.763]  And so, a lot of my listeners are mad at Trump.
[00:59:17.783 --> 00:59:19.943]  A lot of my listeners love Trump more than ever.
[00:59:21.143 --> 00:59:23.124]  Well, they say love and hate are close together.
[00:59:24.364 --> 00:59:26.665]  Indifference is really the opposite of love.
[00:59:27.145 --> 00:59:28.325]  And I think there's some truth to that.
[00:59:28.965 --> 00:59:31.426]  But I, there is something sycophantic
[00:59:33.066 --> 00:59:41.932]  When you get around the people in Washington that are in the Trump club that think he's invincible and that are talking about dynasties like Parscales is doing.
[00:59:42.372 --> 00:59:43.673]  I'm gonna talk about him at the end of the hour.
[00:59:44.774 --> 00:59:45.955]  And it's just disgusting.
[00:59:46.836 --> 00:59:53.860]  When we're in the trenches and we're bloodied and we know damn well how serious all this is.
[00:59:54.641 --> 01:00:01.586]  We've got constant incoming coming in and you've got all these dandies that surround Trump
[01:00:02.967 --> 01:00:05.469]  And who think they've established their own new little imperium.
[01:00:06.270 --> 01:00:17.641]  It's great to see the good work that's going on, but just to see Trump not taking action against the censorship, and the oppression, and the racketeering, and the election meddling when he's got thousands of tools to do it.
[01:00:17.962 --> 01:00:21.145]  My God, big tech is literally in bed with the chi-coms.
[01:00:21.445 --> 01:00:22.766]  The espionage is insane.
[01:00:23.006 --> 01:00:27.411]  They're, I mean, Apple and Google are beyond Huawei and national security threats.
[01:00:28.643 --> 01:00:36.110]  They were given the green light by Obama in the deep state, and I get they're going to come after Trump if he goes after that, but they're already coming after you!
[01:00:36.850 --> 01:00:39.973]  There's no deal you can make with them, Mr. President.
[01:00:42.395 --> 01:00:50.863]  And so, like twilight setting in, dusk, the long night coming, I don't want to sit around the fire here
[01:00:52.386 --> 01:00:59.712]  Scratching our rear ends and telling old stories and talking about how good we are, and how big we are, and how strong we are, and how nobody else can do this job.
[01:01:00.153 --> 01:01:04.957]  That's for us to say, Mr. President, that you do have stamina, you do thrive in this.
[01:01:05.597 --> 01:01:07.659]  It's not for you to say that.
[01:01:10.381 --> 01:01:19.209]  And all we're saying is, we're down here on the ground, and we know what's going on, and we know the big assault's happening right now, and we want to see action.
[01:01:22.708 --> 01:01:25.929]  Colonel Jackson said, fire when you see the whites of their eyes.
[01:01:26.810 --> 01:01:30.491]  And I don't mean literal firing guns, that's the last thing we'd want to turn them into martyrs.
[01:01:30.992 --> 01:01:33.173]  But I mean metaphysically, culturally, politically.
[01:01:33.753 --> 01:01:35.694]  We can see the whites of their eyes real good.
[01:01:36.034 --> 01:01:38.955]  They're on top of us, raping us.
[01:01:39.756 --> 01:01:40.716]  We can smell their breath.
[01:01:43.937 --> 01:01:45.298]  They're looking into our eyes.
[01:01:46.719 --> 01:01:49.400]  They're squatting on top of us, peeing on us.
[01:01:50.620 --> 01:01:54.603]  So, we need you to take the gloves off.
[01:01:55.564 --> 01:01:57.545]  And talk isn't enough.
[01:02:00.047 --> 01:02:00.988]  Pull a free number to join us.
[01:02:03.049 --> 01:02:04.470]  I hope you will join us here on air.
[01:02:05.031 --> 01:02:08.153]  We've got a whole bunch of phone lines right there, filled.
[01:02:08.173 --> 01:02:10.035]  But when you hear somebody hang up, it's your chance to get involved.
[01:02:10.055 --> 01:02:10.395]  877-789-ALEX.
[01:02:10.415 --> 01:02:10.455]  877-789-2539.
[01:02:10.475 --> 01:02:12.537]  I haven't played any clips of the speech last night.
[01:02:18.905 --> 01:02:21.927]  And I'm going to start doing that when we come back, and then I'm going to write your calls.
[01:02:22.007 --> 01:02:29.552]  But Pat Robertson is out there saying that Trump has perhaps lost the mandate of heaven.
[01:02:29.592 --> 01:02:31.113]  That is literally a Qaikom statement.
[01:02:31.194 --> 01:02:32.134]  It's just unbelievable.
[01:02:32.815 --> 01:02:44.663]  We have Pat Buchanan, who I do respect, coming out and saying he doesn't support it, but the planets are aligning for it, and you can smell it.
[01:02:46.389 --> 01:02:51.051]  And I just want to get your take on that because we should not be overconfident, ladies and gentlemen.
[01:02:51.072 --> 01:02:51.612]  I'm here to tell you.
[01:02:51.632 --> 01:02:54.773]  All right, your calls are coming up.
[01:02:54.853 --> 01:02:58.855]  Matt, Chad, Bob, John, Jake, Justin, Kevin, and many others.
[01:02:59.436 --> 01:03:02.277]  And by the way, if you think Trump should be impeached, you're welcome to call in.
[01:03:02.297 --> 01:03:05.619]  We're not a cult like the left where they screen out all the calls they disagree with.
[01:03:06.039 --> 01:03:09.421]  This is a real organization here where we have real discussions.
[01:03:11.169 --> 01:03:15.973]  Some people call and disagree always and say I'm the government or I'm corrupt or I'm Bill Hicks or something.
[01:03:16.333 --> 01:03:18.575]  And so I will yell at you for stuff like that because it's not true.
[01:03:19.216 --> 01:03:22.819]  But if you have substantive stuff to talk about, we would love to hear from you.
[01:03:23.540 --> 01:03:26.042]  But see, the left is a satanic system.
[01:03:26.662 --> 01:03:27.883]  It never wants us to exist.
[01:03:28.624 --> 01:03:35.169]  So they don't ever want to commune with us and actually have a real discussion because they don't believe in themselves and their own humanity.
[01:03:35.589 --> 01:03:41.393]  And so they can never join with us because we represent the life force and communion with God.
[01:03:41.794 --> 01:03:47.258]  And we represent the infinity of consciousness that is already with us.
[01:03:48.078 --> 01:03:49.239]  We simply must choose it.
[01:03:49.980 --> 01:03:50.900]  Choose now.
[01:03:51.040 --> 01:03:51.601]  Reach out.
[01:03:52.641 --> 01:03:53.062]  Reach out.
[01:03:55.526 --> 01:04:09.335]  Now, as negative as it is seeing him trying to impeach the President for no reason, and watching the Justice Department still do nothing against the massive crimes of Hillary, the gigantic crimes of Obama, and all their minions, it's very demoralizing, it's very frustrating.
[01:04:09.355 --> 01:04:12.858]  But remember, 20 years ago, nobody knew the Federal Reserve was private.
[01:04:12.958 --> 01:04:14.539]  People didn't believe there was a world government being set up.
[01:04:14.559 --> 01:04:19.662]  People didn't know that there was a plan for the shy comms to take over, even though the CFR was writing about it constantly.
[01:04:20.603 --> 01:04:24.486]  Now, all of that's out in the open, and populists are getting elected all over the world.
[01:04:25.267 --> 01:04:28.129]  We're going to go to Matt, Chad, Bob, and many others here in just a moment.
[01:04:29.430 --> 01:04:30.511]  Is impeachment inevitable?
[01:04:30.651 --> 01:04:31.372]  What should Trump do?
[01:04:31.412 --> 01:04:32.593]  What should we do to stop it?
[01:04:32.633 --> 01:04:37.016]  And if they do get the impeachment, will they remove him in the Senate?
[01:04:37.697 --> 01:04:39.038]  We'll look at all those angles in a moment.
[01:04:39.078 --> 01:04:42.981]  But earlier, I got into Beto saying, let's take the speech of churches away.
[01:04:43.021 --> 01:04:45.743]  Well, Congress doesn't have that authority in the First Amendment.
[01:04:46.103 --> 01:04:50.607]  Congress shall make no law respecting the establishment of religion or prohibiting the free exercise thereof.
[01:04:51.954 --> 01:04:56.075]  And then it goes on to the press and freedom of speech and right to assemble and petition the government, redress of grievances.
[01:04:57.036 --> 01:05:02.617]  But you notice the big corporations, Mark Cuban, all of them, bending over, oh, don't even talk about China.
[01:05:02.637 --> 01:05:04.218]  Don't even talk about free expression now.
[01:05:05.218 --> 01:05:07.839]  CNN reporter told, don't you even mention free expression.
[01:05:08.139 --> 01:05:08.939]  That's a bad word.
[01:05:08.979 --> 01:05:10.060]  That's, that's hateful.
[01:05:10.260 --> 01:05:13.901]  Because see, even the memories that had existed before must be gotten rid of.
[01:05:16.308 --> 01:05:20.029]  That's why saying OK symbol is a hate symbol, when obviously it's not.
[01:05:20.429 --> 01:05:22.089]  But you shouldn't even ban hate symbols.
[01:05:22.670 --> 01:05:24.370]  People need to be able to use them to show what they are.
[01:05:24.390 --> 01:05:27.511]  It started in France 20 years ago.
[01:05:27.531 --> 01:05:31.272]  They were telling eBay, don't sell Nazi war paraphernalia.
[01:05:32.552 --> 01:05:39.994]  Well, I mean, I remember being at a gun show once and buying a German medal, a British medal, an American medal, which were vintage.
[01:05:40.014 --> 01:05:41.114]  I thought they were very interesting.
[01:05:41.594 --> 01:05:43.175]  I was a teenager, never been to a gun show.
[01:05:43.215 --> 01:05:44.235]  I bought a blow dart gun.
[01:05:45.874 --> 01:05:46.594]  I was with my dad.
[01:05:46.674 --> 01:05:53.458]  I bought some more magazines for my rifle, for my Mini-14 he got me a few years before.
[01:05:54.738 --> 01:05:57.640]  And I remember buying a Nazi Party medal.
[01:05:58.280 --> 01:05:59.601]  Not because I was in the Nazi Party.
[01:05:59.641 --> 01:06:00.681]  I thought it was very interesting.
[01:06:00.721 --> 01:06:04.943]  I thought an RAF medal, a little crown on it, was really cool too.
[01:06:06.124 --> 01:06:07.545]  Didn't mean I served the British Crown.
[01:06:08.507 --> 01:06:13.429]  That's like saying don't have Mein Kampf on your bookshelf, because it means you support Hitler because you read his book.
[01:06:14.309 --> 01:06:16.310]  But see, that's why those things can't be outlawed.
[01:06:17.070 --> 01:06:17.930]  But now it's here.
[01:06:19.331 --> 01:06:24.472]  Now online shops, whatever they want, Amazon's trying to stop people selling war paraphernalia, I was reading.
[01:06:24.913 --> 01:06:34.976]  And then the OK sign, because the ADL's God, they said you can't show that, so Facebook digitally erases it and then bans your account.
[01:06:36.260 --> 01:06:36.960]  In many cases.
[01:06:37.701 --> 01:06:39.802]  Because they want you to know we control reality.
[01:06:39.982 --> 01:06:41.483]  We're your master.
[01:06:41.523 --> 01:06:47.828]  Now, it doesn't matter if this is used in scuba diving, or by SWAT teams, or by the military, or in international sign language.
[01:06:47.848 --> 01:06:49.128]  That means everything's okay.
[01:06:50.769 --> 01:06:51.210]  Underwater.
[01:06:54.092 --> 01:06:55.413]  Want to stay down?
[01:06:56.373 --> 01:06:57.434]  Yeah, we're okay.
[01:06:59.175 --> 01:07:00.456]  You know, check your time.
[01:07:01.681 --> 01:07:02.822]  How much time we got left on here?
[01:07:03.363 --> 01:07:03.923]  Into your watch.
[01:07:03.963 --> 01:07:04.304]  That's all.
[01:07:04.704 --> 01:07:06.185]  But now they say pointing your finger.
[01:07:07.847 --> 01:07:09.709]  If it's taken as a gun, you get arrested.
[01:07:09.729 --> 01:07:10.510]  That's happening.
[01:07:10.550 --> 01:07:11.291]  That happened yesterday.
[01:07:14.974 --> 01:07:16.396]  This is what the corporations want.
[01:07:16.476 --> 01:07:17.657]  This is the globalist takeover.
[01:07:17.997 --> 01:07:18.938]  This is their big push.
[01:07:18.998 --> 01:07:24.524]  And that's why it's important that Trump exercises his speech and brazenly get in their face.
[01:07:24.604 --> 01:07:25.485]  And they hate that.
[01:07:27.383 --> 01:07:36.426]  It's more important that we all exercise it as well and expose it and stop complying because I love our crew here and I don't tell them what to do.
[01:07:36.466 --> 01:07:50.432]  They're great folks but when we're lining up clips of men dressed as women at a CNN event last night saying if anybody criticizes us it's violence, we want people's speech banned.
[01:07:51.380 --> 01:07:54.902]  And even the crew's like, yes, this lady at the event, it's not a lady, it's a man.
[01:07:55.602 --> 01:07:59.004]  It's like saying men can have babies, and it's a woman saying she's a man.
[01:07:59.184 --> 01:07:59.965]  That's not true!
[01:08:01.065 --> 01:08:04.267]  But if they can teach you 2 plus 2 equals 10, then it's the case.
[01:08:05.487 --> 01:08:18.654]  And see, folks think that just complying or being nice is dignified, or it's a form of kindness, or it's a form of politeness, or it's a form of hospitality.
[01:08:18.694 --> 01:08:19.355]  And no, it's not.
[01:08:20.578 --> 01:08:24.379]  These people are carrying out a cult of making you talk the way they want.
[01:08:25.679 --> 01:08:26.779]  First, it's the N-word.
[01:08:26.939 --> 01:08:29.040]  You think, well, I think that's reasonable.
[01:08:29.080 --> 01:08:31.060]  But notice all the rappers, everybody else can use it.
[01:08:31.500 --> 01:08:32.221]  It's just you can't.
[01:08:33.121 --> 01:08:38.302]  And then it's, oh, we're just gonna ban the tax exemption of the KKK.
[01:08:39.142 --> 01:08:40.422]  You're like, oh, okay.
[01:08:40.942 --> 01:08:43.243]  And then now it's your church down the street that's anti-war.
[01:08:45.803 --> 01:08:48.124]  Or now it's the church down the street that doesn't want to kill babies after they're born.
[01:08:49.887 --> 01:08:51.969]  So they think you're ready to capitulate.
[01:08:52.009 --> 01:08:53.571]  They think you're ready to roll over.
[01:08:54.332 --> 01:08:55.333]  The question is, are you?
[01:08:58.536 --> 01:09:01.859]  Because you roll over to all of this, what's coming next is even worse.
[01:09:01.960 --> 01:09:06.885]  And it is forced inoculations, forced sex training to sexualize your young children.
[01:09:07.045 --> 01:09:07.645]  It's already happening.
[01:09:08.666 --> 01:09:12.851]  Your children aren't just going to go sit on the laps at school with obese men dressed up like women.
[01:09:14.599 --> 01:09:16.300]  Be too obvious if it was men right away.
[01:09:16.700 --> 01:09:18.441]  Hey, men are coming to read to your kids.
[01:09:18.822 --> 01:09:19.942]  Convicted pedophiles.
[01:09:20.803 --> 01:09:24.525]  No, a lot of states are saying, oh, we want to protect the LGBTP.
[01:09:25.546 --> 01:09:27.027]  We're not going to check their background.
[01:09:27.527 --> 01:09:30.629]  Bring in the women to show, because it's Stockholm Syndrome.
[01:09:30.709 --> 01:09:32.210]  Oh, the state says I better do it.
[01:09:32.750 --> 01:09:37.673]  They bring their children to sit and now lay on them and ride horsies on them.
[01:09:38.533 --> 01:09:43.977]  And I can show you a video of men with glitter on their genitals with little boys holding their hands at public events.
[01:09:46.468 --> 01:09:48.429]  And every level they get away with more.
[01:09:49.709 --> 01:09:53.730]  If a man came to your children in the park and said, I want him to sit on my lap, you'd say, get the hell out of here.
[01:09:53.770 --> 01:09:57.991]  But see, these leftist women bring their children, the children look up at him like, is it all right?
[01:09:58.012 --> 01:10:00.932]  They're always so scared, but finally they're made to do it.
[01:10:01.433 --> 01:10:03.573]  Now they're ready for the sexual conversion.
[01:10:04.794 --> 01:10:10.515]  And all these tranny commandos tell you, they say, and their name is right, they're transitioning your kids.
[01:10:10.555 --> 01:10:11.736]  We're here to groom your children.
[01:10:12.476 --> 01:10:15.537]  In video after video with arrogance and hatred and a big smile.
[01:10:18.379 --> 01:10:20.081]  Because the evil flows through them.
[01:10:20.341 --> 01:10:22.944]  Only when they carry out the evil, they suddenly feel alive.
[01:10:24.986 --> 01:10:25.727]  Touch them.
[01:10:25.947 --> 01:10:26.688]  Ride them.
[01:10:26.928 --> 01:10:27.609]  Sit on them.
[01:10:28.110 --> 01:10:29.511]  Get close to the spider.
[01:10:29.631 --> 01:10:31.253]  Come to me, my pretty.
[01:10:32.495 --> 01:10:35.278]  These things must be done delicately.
[01:10:40.538 --> 01:10:42.199]  You're a little dog, too.
[01:10:42.219 --> 01:10:43.639]  We're going to your phone calls when we come back.
[01:10:44.060 --> 01:10:48.962]  Matt and Chad and Bob and John and Jake and Misty and Justin and Kevin and Forrest.
[01:10:50.262 --> 01:10:51.263]  And I'm gonna be a good boy.
[01:10:51.283 --> 01:10:53.944]  And I'm gonna go to all your calls.
[01:11:00.387 --> 01:11:01.927]  I've done a lot of talking in my life.
[01:11:03.608 --> 01:11:05.389]  And see, I'm not trying to talk like...
[01:11:07.984 --> 01:11:09.165]  Some guy in Old Western.
[01:11:09.185 --> 01:11:11.587]  My voice is going out.
[01:11:14.850 --> 01:11:17.672]  That's what happens to a voice that's been used like it's supposed to.
[01:11:18.333 --> 01:11:18.834]  In the fight.
[01:11:18.854 --> 01:11:22.797]  It's got that old, authoritative sound.
[01:11:24.238 --> 01:11:28.282]  Which somewhere back in our instincts we say is the old greyback.
[01:11:30.223 --> 01:11:31.765]  Where are the old greybacks out there?
[01:11:34.005 --> 01:11:35.666]  They've all been told to go away.
[01:11:35.686 --> 01:11:37.368]  They've all sold out.
[01:11:37.628 --> 01:11:38.869]  They never discovered even who they were.
[01:11:38.889 --> 01:11:44.634]  They think having the best golf membership is a symbol of the power.
[01:11:46.055 --> 01:11:51.920]  When it's the exercise of their will against evil that is the measure of power on this planet.
[01:11:53.021 --> 01:11:55.763]  They got all the sports cars and all the trophy wives.
[01:11:56.524 --> 01:12:01.048]  But they don't even have the minds of their children's countenance on their side.
[01:12:02.500 --> 01:12:06.643]  They have forfeited thousands of generations of will and strength.
[01:12:07.904 --> 01:12:10.746]  All of it being lost in the blinking of an eye.
[01:12:11.287 --> 01:12:16.731]  Wealth untold pouring down a fetid sewer line.
[01:12:18.652 --> 01:12:23.116]  Untold strength passing away from us.
[01:12:24.317 --> 01:12:26.939]  Being lost like sand through our fingers.
[01:12:28.380 --> 01:12:32.183]  And replacing it, the poison of Satan.
[01:12:33.968 --> 01:12:37.534]  I need you to tell people about the broadcast, and I need you to buy the products.
[01:12:38.536 --> 01:12:39.517]  I need you to fund us.
[01:12:39.998 --> 01:12:48.371]  You know, I haven't really talked about this, but we should do a special report on it, showing the dozens of reporters we've got out around the country and the world.
[01:12:49.474 --> 01:12:54.697]  And all the mega massive effects we're having thanks to you and what we're doing here.
[01:12:54.717 --> 01:13:00.800]  But I don't have time to do that because I would miss out on covering the next report or the next thing done.
[01:13:00.840 --> 01:13:04.982]  But bottom line, this operation is very important and it only gets the word out because of you.
[01:13:05.402 --> 01:13:07.263]  And we have the new Everything Must Go sale.
[01:13:07.283 --> 01:13:10.665]  30, it's really 30, it says 40, some stuff's 30%.
[01:13:10.705 --> 01:13:11.286]  40 to 70% off storewide.
[01:13:15.154 --> 01:13:16.475]  Free shipping, double patriot points.
[01:13:16.995 --> 01:13:18.736]  It's really even bigger than the last sale.
[01:13:19.277 --> 01:13:22.599]  It's just some of the items we can't sell at 50% off because we lose money on those.
[01:13:23.299 --> 01:13:26.001]  But everything we can do it at that level is that level or even bigger.
[01:13:26.701 --> 01:13:27.441]  We need the funds.
[01:13:27.481 --> 01:13:29.203]  These are products you need, so take action.
[01:13:31.064 --> 01:13:35.786]  All right, we have two hours and 10 minutes left in the time I'm hosting today on this Friday edition.
[01:13:36.247 --> 01:13:41.250]  And I'm going to take calls for that entire time interspersed with clips of Trump's extremely
[01:13:42.699 --> 01:13:48.642]  Noteworthy and powerful presentation last night that he did in a comedic style.
[01:13:51.004 --> 01:13:51.624]  Very charming.
[01:13:53.465 --> 01:13:57.387]  But what I'd really like to see is a bunch of indictments and action on Big Tech.
[01:13:57.427 --> 01:14:09.754]  Because if you don't take action on that, and if you don't take action for the journalist, Julian Assange, that you asked to release the info and he did, then we can't trust you when we're hung out to dry, can we, Trump?
[01:14:11.732 --> 01:14:13.193]  This because Trump's way better than Hillary.
[01:14:13.213 --> 01:14:16.274]  That'd mean we're going to go along with this.
[01:14:16.314 --> 01:14:21.596]  By the way, I asked him for a compilation, our great video researcher, Wilson.
[01:14:23.636 --> 01:14:27.998]  He first had a four minute one of Trump supporters being attacked viciously last night in Minnesota.
[01:14:28.905 --> 01:14:30.226]  Now he has an eight minute one.
[01:14:30.646 --> 01:14:32.327]  And I was watching some of these during the breaks.
[01:14:32.507 --> 01:14:33.448]  A bunch of stuff I hadn't seen.
[01:14:33.988 --> 01:14:35.589]  You never see this stuff on the nightly news.
[01:14:36.010 --> 01:14:42.314]  Little clips are here and there, but they were vicious, waving communist flags, attacking men, women, and children.
[01:14:43.034 --> 01:14:45.316]  And there's all these racial attacks in Minneapolis, St.
[01:14:45.336 --> 01:14:47.697]  Paul against whites, which is very sad.
[01:14:48.117 --> 01:14:49.598]  And the media is covering that up.
[01:14:49.618 --> 01:14:50.519]  So we're going to get into it.
[01:14:50.599 --> 01:14:54.662]  And what it is, is Somali tribesmen attacking white people.
