[00:00:01.235 --> 00:00:02.036]  Breaking news this hour.
[00:26:46.596 --> 00:26:55.607]  But we know it got even sicker and that smugglers were bringing very young children, according to locals, who witnessed it, to Little St.
[00:26:55.688 --> 00:26:56.589]  John's Island.
[00:26:57.847 --> 00:26:58.047]  I don't
[00:27:21.417 --> 00:27:21.918]  Incredible.
[00:27:22.098 --> 00:27:24.700]  So, again, Jeffrey Epstein didn't kill himself.
[00:27:25.341 --> 00:27:27.603]  Well, it's a lot bigger than that.
[00:27:27.623 --> 00:27:42.276]  And then you see the NXIVM cult trying to set up similar systems and connect them to the Clintons and the Rothmans because they're setting these networks up at the highest levels to the mid-levels and the low level for societal control.
[00:27:42.576 --> 00:27:44.318]  All of it is compartmentalized.
[00:27:44.358 --> 00:27:46.099]  Now, I'm going to go over the Clinton
[00:27:47.020 --> 00:27:52.463]  Body count chart and some of the other deep state charts where they use all of this to blackmail.
[00:27:52.844 --> 00:27:56.946]  Then we're going to look at meme wars, memetic war that our guest has written a paper on.
[00:27:57.727 --> 00:28:08.233]  And again, how they use limited hangouts like Epstein ran it all with the meme of he didn't kill himself to cover up how deep the rabbit hole really goes.
[00:28:09.134 --> 00:28:10.435]  But this is all fact.
[00:28:11.155 --> 00:28:12.516]  This is all admitted.
[00:28:15.026 --> 00:28:15.206]  I think.
[00:28:29.056 --> 00:28:29.316]  That's
[00:28:49.244 --> 00:28:54.508]  Celebrities well-known people to admit with you in conversations that they like little kids.
[00:28:54.568 --> 00:28:56.529]  I mean they've said what's wrong with right?
[00:28:56.749 --> 00:29:11.339]  Yeah, they've deferred to and like you said earlier when you co-opt academia, that's you know That's a big sign that this is just a social control movement and into the conversations that I've had with these people That's what they go to right away.
[00:29:11.359 --> 00:29:18.484]  They go to these academic Rationalizations that you know, everyone can wrap their head around something because it's been justified by a quote-unquote research
[00:29:19.324 --> 00:29:23.247]  But all it really is is a way for them to, I guess, validate their behaviors.
[00:29:23.467 --> 00:29:25.509]  But that's the direction that these things are going in.
[00:29:25.649 --> 00:29:26.530]  You're right.
[00:29:26.590 --> 00:29:28.711]  Mad scientists, whether it's the Nazis or the Soviets.
[00:29:28.751 --> 00:29:29.272]  Absolutely.
[00:29:29.332 --> 00:29:30.193]  They're the cutting edge.
[00:29:30.213 --> 00:29:33.315]  They're the cutting edge of society and other people don't understand them.
[00:29:33.775 --> 00:29:35.577]  And it's just a way to rationalize things.
[00:29:35.637 --> 00:29:45.464]  But at the same time, it's particularly dangerous because when you talk about a social control aspect, people in the mainstream, they do look to academics for guidance.
[00:29:45.645 --> 00:29:46.886]  And it's easy to see how
[00:29:47.526 --> 00:29:50.548]  Those ideals can, you know, pervert society.
[00:29:51.049 --> 00:29:56.592]  They permeate into it and all of a sudden you have things just being accepted when they otherwise shouldn't be.
[00:29:56.652 --> 00:29:58.574]  And a big part of that is what we went over today.
[00:29:58.654 --> 00:30:01.276]  People aren't, you know, doing the research on their own.
[00:30:01.456 --> 00:30:06.900]  They're able to fall victims to memetic warfare campaigns because they're being spoon-fed.
[00:30:07.280 --> 00:30:10.062]  Things catch on, they permeate into popular culture.
[00:30:10.082 --> 00:30:16.647]  And at the end of this presentation, we're going to have that segment you did on meme warfare for folks because that's critical.
[00:30:18.160 --> 00:30:23.102]  I even felt bad spending five minutes racing through Senate reports admitting this.
[00:30:23.162 --> 00:30:32.045]  I've got stacks of reports out of Italy and Russia of little kids, three-year-old boys, kidnapped and tortured to death after being gang raped and shot in the head.
[00:30:33.025 --> 00:30:35.986]  And then the video of it being sold to Hollywood.
[00:30:36.586 --> 00:30:38.527]  This is a giant black hole.
[00:30:38.547 --> 00:30:40.868]  It's a Ponzi scheme to compromise people.
[00:30:41.448 --> 00:30:44.469]  And then an excuse to carry these operations out.
[00:30:44.609 --> 00:30:47.390]  It's truly, truly evil.
[00:30:49.141 --> 00:31:04.753]  But when you point out things like they have YouTube channels where young women are saying, come here, go on this airline, you like young girls like me, and it's a former pilot of Epstein, clearly that's something the media knows about.
[00:31:04.973 --> 00:31:05.714]  You brought it to them.
[00:31:05.994 --> 00:31:08.996]  It's an example of how crazy this is.
[00:31:09.697 --> 00:31:16.963]  And then even something like that, the media won't follow up on it because supposedly, again, it's all just Jeffrey.
[00:31:18.304 --> 00:31:24.771]  Right, and another response I've gotten from the media is that, you know, and admittedly there are cursory references to people like Nadia Marchenko.
[00:31:24.891 --> 00:31:27.353]  People do bring that up in a very superficial light.
[00:31:27.393 --> 00:31:33.219]  I've been told by mainstream media sources that have turned down my stories that I'm not really presenting any sort of new information.
[00:31:33.820 --> 00:31:36.242]  In a very respectful way, you know, I respond to them.
[00:31:36.963 --> 00:31:39.545]  You know, by saying, then why isn't there anything about Aviatra out there?
[00:31:39.585 --> 00:31:41.606]  I mean, why haven't you guys shown these videos?
[00:31:41.646 --> 00:31:43.147]  These videos are rather damning.
[00:31:43.207 --> 00:31:54.135]  And I mean, if these are purported, you know, potential victims of a human trafficking network, I mean, what value is there to have a nationally renowned media source show a picture of these kids?
[00:31:54.395 --> 00:31:55.916]  What are the odds you have millions of viewers?
[00:31:55.956 --> 00:31:57.277]  Someone might not recognize them.
[00:31:57.337 --> 00:31:58.538]  Well, exactly right.
[00:31:59.782 --> 00:32:05.746]  The point that they've mentioned in one place, that's the cover-up right there of Hiding in Plain View.
[00:32:05.766 --> 00:32:08.608]  And that's really the big story here is that mainstream media is covering this up.
[00:32:09.888 --> 00:32:11.770]  We've only scratched the tip of the iceberg here.
[00:32:12.310 --> 00:32:14.091]  This is not known because they don't cover it.
[00:32:14.231 --> 00:32:19.314]  And you look at these girls, I have a 15-year-old daughter that looks older than most of those girls.
[00:32:19.654 --> 00:32:25.238]  And again, this is the pilot for Epstein, currently involved in this, currently running this.
[00:32:25.518 --> 00:32:26.519]  This is sensational.
[00:32:27.790 --> 00:32:28.731]  Yeah, and it's common sense.
[00:32:28.811 --> 00:32:35.417]  I mean, like, if I was to show you that video, independent of the context, you would view it as being creepy.
[00:32:35.457 --> 00:32:39.561]  I mean, anyone in their right mind would view it as at least being wildly inappropriate.
[00:32:40.022 --> 00:32:48.670]  And the idea that you could run a business being the associate of, you know, the most notorious human trafficker, you know, known to society.
[00:32:48.710 --> 00:32:51.233]  I mean, he has the most notoriety in terms of his name.
[00:32:51.673 --> 00:32:58.955]  And the fact that, you know, what woman is going to say, oh yeah, no, I'm going to take these airline classes, oh, who runs the company?
[00:32:59.015 --> 00:33:01.296]  Oh, you know, it was Jeffrey Epstein's former pilot.
[00:33:01.736 --> 00:33:02.957]  It's nonsense.
[00:33:02.977 --> 00:33:09.859]  The idea that this is a company that's running a legitimate operation that's going to have the revenue to operate, it's far from that.
[00:33:09.879 --> 00:33:10.219]  It's incredible.
[00:33:10.239 --> 00:33:12.120]  Running one jet is $5 million a year.
[00:33:12.280 --> 00:33:15.761]  So pulling back from this, even a small one, pulling back from this,
[00:33:16.789 --> 00:33:26.692]  We've been talking for two years or so, and you brought me a lot of evidence, a lot of research, and you've got a lot that is, that you're willing to give to law enforcement, and that you've brought to mainstream media that they haven't gone with.
[00:33:27.052 --> 00:33:29.872]  Text messages, prominent people saying, what's wrong with sex with little kids?
[00:33:30.833 --> 00:33:35.434]  Okay, and then people have been publicly out there denying that they're involved in stuff like this, even though they've been connected to it.
[00:33:36.174 --> 00:33:39.175]  You've got a lot of that, but I chose not to go with that at this point.
[00:33:40.080 --> 00:33:43.007]  If law enforcement wants to contact you again or the New York Post or wherever, you're ready.
[00:33:43.889 --> 00:33:47.176]  Because it's, it's, it's again, I know what the people will...
[00:33:48.315 --> 00:33:56.503]  What will capture people's attention to go, wait a minute, looks like a bunch of 15, 16 year old girls saying, hey, come learn how to fly with us.
[00:33:57.063 --> 00:33:58.064]  And by the way, do you like me?
[00:33:58.084 --> 00:33:58.845]  You like how I look?
[00:33:58.885 --> 00:33:59.525]  Come join us.
[00:33:59.906 --> 00:34:07.172]  This is obvious what this is with someone who's dead reportedly and who was connected to all this trafficking.
[00:34:07.212 --> 00:34:10.835]  And then it's his former pilot that's doing this and it's ongoing.
[00:34:11.616 --> 00:34:16.338]  Again, right there, this alone is like the string on the sweater that pulls the whole thing out.
[00:34:17.019 --> 00:34:21.361]  And I'm not saying that the pilot who flew all these times is guilty.
[00:34:21.421 --> 00:34:23.542]  I know that she was a suspect, is a suspect.
[00:34:23.902 --> 00:34:25.943]  All I'm saying is this whole thing stinks to high heaven.
[00:34:26.363 --> 00:34:38.969]  Yeah, and the intricacy of the network, I mean, it's just, it's beyond coincidence that not only is it his former pilot and someone who was named as a potential co-conspirator who was actually given immunity in the 2008 plea agreement that Epstein had been given.
[00:34:40.190 --> 00:34:46.754]  It's not just that it's just her, it's her running it out of Jeffrey Epstein's brother's property.
[00:34:47.255 --> 00:34:57.262]  Someone who's the executor of this estate, someone who's essentially at the forefront of the damage control in terms of just closing the claims that these victims are going to have.
[00:34:57.582 --> 00:35:01.785]  Well, this woman is as important as Maxwell, one of the reported pimps.
[00:35:02.085 --> 00:35:02.305]  Right.
[00:35:02.525 --> 00:35:04.806]  I was supposed to have a new whitewash piece come out soon.
[00:35:05.206 --> 00:35:05.867]  Yeah, yeah.
[00:35:05.907 --> 00:35:12.309]  Ghislaine Maxwell, I mean, she's in talks with a lot of people, different media outlets, and my understanding through law enforcement.
[00:35:12.389 --> 00:35:20.733]  And the thing about Ghislaine that's, you know, important to point out here is that that's somebody who is, you know, she's out there and everyone understands.
[00:35:20.813 --> 00:35:23.734]  It's done any sort of research into this case, who she is.
[00:35:24.134 --> 00:35:25.755]  But even with that prominence,
[00:35:26.035 --> 00:35:30.456]  You know, the common person who's relying on the mainstream media probably doesn't know who she is.
[00:35:30.836 --> 00:35:41.918]  So that's why when you implore people to do their own investigation, take it onto themselves to look into these things, it's imperative because if they're going to be reliant upon the mainstream media to be, you know, given this information, they're not going to get it.
[00:35:42.298 --> 00:35:49.799]  You can't trust the same source that covered this case up for the better part of at least three decades to close the book on.
[00:35:50.519 --> 00:35:51.239]  Well, that's right.
[00:35:51.479 --> 00:35:55.300]  And we know the media is covering it up.
[00:35:56.363 --> 00:36:00.865]  We know that the Justice Department hasn't moved against this particular network because it's so elite.
[00:36:01.605 --> 00:36:05.947]  We know the Queen has started the process of ostracizing Prince Andrew, which she should.
[00:36:05.967 --> 00:36:15.171]  He was at the Christmas party over the weekend though, so I mean, you know, when you look at what happened in the Jimmy Savile case, Jimmy Savile obviously was very close with Prince Charles.
[00:36:15.351 --> 00:36:16.171]  One of his best friends.
[00:36:16.371 --> 00:36:24.715]  Yeah, he was going to be the, my understanding is he was going to be Prince Harry's godfather until some of the controversy broke and they kind
[00:36:24.795 --> 00:36:29.116]  And they did discover his satanic dungeon, killing children, sex with dead bodies.
[00:36:29.496 --> 00:36:29.856]  Absolutely.
[00:36:29.876 --> 00:36:32.777]  And in many ways, that's what Jeffrey Epstein was.
[00:36:32.837 --> 00:36:37.277]  He was very much a gatekeeper for these kinds of operations.
[00:36:37.317 --> 00:36:38.298]  I call him a Renfield.
[00:36:38.518 --> 00:36:40.318]  He was a Dracula character, right.
[00:36:40.398 --> 00:36:46.599]  He's a face to put to the operation that you can put a lot of the blame on.
[00:36:46.639 --> 00:36:50.100]  And when you wipe him off, people think that everything goes down with him.
[00:36:50.260 --> 00:36:50.860]  And let's be clear.
[00:36:51.440 --> 00:37:05.095]  It came out in Florida, in the one county, hundreds of girls, 13, 14, 15, who they were in pressure to go out and get more girls, more girls, more girls, because they were getting so many men into the network and compromising.
[00:37:05.516 --> 00:37:08.319]  These are armies of people that they've compromised.
[00:37:08.499 --> 00:37:23.492]  Yeah, and Virginia Guffray, who is obviously, I think, the most outspoken victim of Epstein's, in deposition testimony in a defamation case between she and Glenn Maxwell, she had talked about how she got away from that network, how she escaped, so to speak.
[00:37:23.552 --> 00:37:33.181]  And she talked about how, when she was brought to Thailand by Maxwell and by Epstein, that she was informed that she was going to start being a recruiter for lack there of a better term.
[00:37:33.721 --> 00:37:35.882]  That now she was going to be bringing girls into the network.
[00:37:35.982 --> 00:37:39.382]  And at that point, you know, she decided that she was just simply going to run away.
[00:37:39.462 --> 00:37:40.983]  And fortunately, she survived.
[00:37:41.043 --> 00:37:47.924]  And to this day, it's probably the best resource we have for what was really going on in that scheme.
[00:37:47.964 --> 00:37:49.145]  But that's exactly what happens.
[00:37:49.185 --> 00:37:57.426]  And you see with Marcinko, it's terribly unfortunate that somebody who was a victim of Jeffrey Epstein's or of any predators, you know, invariably becomes one.
[00:37:57.466 --> 00:37:59.987]  But that's the cyclical nature of this abuse.
[00:38:00.287 --> 00:38:06.910]  And we see the reports of him going to the Bosnia-Herzegovina area and purchasing 12, 13-year-old girls from their families.
[00:38:07.390 --> 00:38:10.172]  That's what goes on in these incredibly poor areas.
[00:38:10.192 --> 00:38:13.453]  And then we have now his flight manifesto with Bill Clinton.
[00:38:13.974 --> 00:38:17.355]  Most of the flights, Bill Clinton did not take Secret Service and it was not on there.
[00:38:17.835 --> 00:38:27.180]  And they describe in these logs, I mean here it is for TV viewers, they describe in these logs that ABC News and others have had for many, many years that
[00:38:28.772 --> 00:38:32.873]  The girls, again, were dressed like candy canes and things.
[00:38:33.253 --> 00:38:35.853]  Very young, very skinny, girls that look 14, 15, 16.
[00:38:38.214 --> 00:38:43.154]  And that's exactly what we now see in this new flight organization.
[00:38:43.415 --> 00:38:43.775]  Right.
[00:38:43.795 --> 00:38:46.815]  Where again, they're telling women, hey, you want to learn how to be a pilot?
[00:38:47.115 --> 00:38:52.416]  Come to us so they can then process them through, see if they meet whatever the requirements are.
[00:38:52.436 --> 00:38:56.937]  I mean, these are people that worked for someone that was doing this on these aircraft.
[00:38:57.157 --> 00:38:57.317]  Yeah.
[00:38:57.797 --> 00:39:00.379]  And so it's really a two plus two equals four scenario.
[00:39:00.839 --> 00:39:03.261]  Maybe nothing's going on.
[00:39:04.042 --> 00:39:05.983]  And you know, maybe maybe pigs fly.
[00:39:06.584 --> 00:39:07.665]  I'm just simply saying.
[00:39:08.709 --> 00:39:13.091]  We need to see movement against this area and countless others.
[00:39:13.131 --> 00:39:20.375]  I mean, you've done a lot more research, which, again, the media goes, oh, well, we've never really talked about that, but that's known, so it doesn't matter.
[00:39:21.015 --> 00:39:23.476]  That's like saying somebody knows there's a basement full of dead kids.
[00:39:23.777 --> 00:39:25.137]  We don't go check it because they know about it.
[00:39:25.197 --> 00:39:25.377]  No.
[00:39:26.118 --> 00:39:33.642]  They, again, try to normalize all this like it's no big deal and just hope, like you said, it becomes Jeffrey Epstein did a kill himself meme and it stops there.
[00:39:34.042 --> 00:39:35.843]  But we know it's a lot bigger.
[00:39:36.383 --> 00:39:37.103]  Yeah, absolutely.
[00:39:39.475 --> 00:39:40.195]  That's the whole point.
[00:39:40.215 --> 00:39:41.356]  It's so big.
[00:39:41.376 --> 00:39:42.677]  All the information is out there.
[00:39:43.377 --> 00:39:46.578]  It goes to show how protected and how insulated everybody is.
[00:39:46.638 --> 00:39:51.821]  So unless people are going to take it onto themselves through their own volition to do the research, and not only to do the research.
[00:39:52.611 --> 00:39:57.474]  But to take that information and to use it to elicit change, I mean, nothing's going to happen.
[00:39:57.514 --> 00:40:04.638]  We've relied upon these law enforcement agencies, we've relied upon these media sources, and we've relied upon these politicians.
[00:40:05.158 --> 00:40:07.560]  And this is exactly what it's brought us.
[00:40:07.620 --> 00:40:10.001]  And this is just essentially how the wheel turns.
[00:40:10.121 --> 00:40:12.963]  And if we keep letting it turn this way, then nothing's going to change.
[00:40:13.723 --> 00:40:25.386]  Well, I was told 16, 17 years ago when I would still go out and go on shows and go to Hollywood five or six times a year, and I ended up getting in at the A-list and it was just a bunch of depressed, really freaked out people.
[00:40:26.247 --> 00:40:28.327]  Even the gorgeous women that were there looked soulless.
[00:40:28.427 --> 00:40:29.448]  It just really felt empty.
[00:40:32.179 --> 00:40:32.999]  These people would tell me.
[00:40:33.219 --> 00:40:35.420]  They'd say, look, we're not into kids, but a lot of people are.
[00:40:35.440 --> 00:40:35.820]  Right.
[00:40:35.880 --> 00:40:36.701]  That guy's a pedophile.
[00:40:36.721 --> 00:40:37.521]  This guy's a pedophile.
[00:40:37.541 --> 00:40:43.183]  They tell me stories about going to a party with A-listers and there'd be like, you know, ten-year-old girls, like, you know, nine-year-old boys.
[00:40:43.483 --> 00:40:45.023]  And it would be the star kids.
[00:40:45.464 --> 00:40:46.924]  And the parents would be there managing them.
[00:40:46.964 --> 00:40:49.005]  And everybody knew that they were, quote, stars.
[00:40:49.665 --> 00:40:54.568]  You know, because the parents let people have sex with them, and the parents then dominated and controlled them.
[00:40:54.588 --> 00:41:01.832]  So we're talking serious abuse, and you've got Disney famously hiring convicted child rapists to come back and direct more films.
[00:41:01.872 --> 00:41:03.674]  I mean, there's so many examples.
[00:41:03.694 --> 00:41:09.797]  The Guardians of the Galaxy director, you know, hosting parties that are pedophile-themed and, you know, making jokes about it.
[00:41:10.157 --> 00:41:12.359]  I mean, this is the entry-level card.
[00:41:12.519 --> 00:41:15.581]  Right, and that's a huge part of it, because you talk about media and you talk about
[00:41:17.122 --> 00:41:17.582]  Absolutely.
[00:41:17.602 --> 00:41:19.943]  You talk about media, you talk about normalization.
[00:41:20.203 --> 00:41:25.146]  Drugging and raping a 13-year-old, analing when she's 13, a young girl, that's okay?
[00:41:25.386 --> 00:41:25.586]  Right.
[00:41:25.606 --> 00:41:25.947]  No, it's not.
[00:41:26.247 --> 00:41:27.127]  It's not, of course not.
[00:41:27.167 --> 00:41:33.231]  But that's the thing, is that they want it to be okay in media, and especially entertainment media is the easiest way to normalize things.
[00:41:33.931 --> 00:41:38.834]  And whether it's accepting people into that strata of society without batting an eye,
[00:41:39.534 --> 00:41:48.043]  Or if it's using the tools of film, of music, and all those other things to just subliminally normalize these kinds of behaviors.
[00:41:49.365 --> 00:41:53.650]  It has a perverse effect, and it has a perverse effect on impressionable people.
[00:41:54.502 --> 00:41:55.183]  And it's growing.
[00:41:55.603 --> 00:41:57.446]  It really is the underbelly of everything.
[00:41:57.486 --> 00:42:01.190]  And you've got Michelle Wolf coming out saying, I killed my baby.
[00:42:01.251 --> 00:42:02.372]  I felt like God when I did it.
[00:42:03.173 --> 00:42:10.342]  You've got all this art that they're pushing, which is really just psychotic men dressed as women doing simulations of murdering babies.
[00:42:11.303 --> 00:42:37.362]  Really, this is what you see when there's no bottom, and the society falls apart, and then all these other groups start imitating what the intelligence agencies are doing, like NXIVM was doing, and start setting it up for themselves, or John of God, and then it just becomes this whole rampant system like we see archaeological records happening to the ancient Babylonians, the ancient Egyptians, it happened with the Druids, it happened in Mesoamerica, and I just wondered
[00:42:38.263 --> 00:42:42.287]  Why this keeps manifesting in civilizations during their decline?
[00:42:42.587 --> 00:42:45.410]  Where this desire to hurt children come from?
[00:42:45.490 --> 00:42:47.992]  It's decadent and wealth is a very perverse thing.
[00:42:48.032 --> 00:43:03.386]  I think people don't really appreciate what it means to have the power, what it means to have the resources, what it means to have just everything at your fingertips, to have every, you know, desire that you have handed to you and sooner or later from the standpoint of neurological effect, I mean, those excesses
[00:43:04.006 --> 00:43:07.267]  It's hard to quench that thirst and it only breeds more excess.
[00:43:07.307 --> 00:43:08.107]  And that's what you see.
[00:43:08.167 --> 00:43:15.388]  You see that in these stratas of wealth, it becomes something that people use to bond to one another, right?
[00:43:15.468 --> 00:43:19.409]  This is something that people use as if it's sort of like a designer drug.
[00:43:20.049 --> 00:43:23.070]  It's a perverse thing because wealth breeds perversion.
[00:43:23.190 --> 00:43:27.631]  And when you look at any society, the declination of them is grandiosity.
[00:43:27.711 --> 00:43:29.891]  You see the drastic wealth inequalities.
[00:43:29.911 --> 00:43:31.692]  When you look at Rome, Rome went from being a
[00:43:33.052 --> 00:43:38.354]  An empire that actually did well at supporting its poor, to just being one that was much more decadent.
[00:43:38.955 --> 00:43:39.975]  That's something you can transpose.
[00:43:39.995 --> 00:43:41.416]  That's right, early in the Roman system.
[00:43:41.456 --> 00:43:42.676]  Absolutely, they had a grain dole.
[00:43:42.856 --> 00:43:45.257]  If you cheated on your wife, even if you were, they'd kill you.
[00:43:45.697 --> 00:43:45.937]  Right.
[00:43:45.977 --> 00:43:54.621]  But by the end, or the middle of the end, Nero would dress as a werewolf, it's in the histories, and would tear a child apart with his bare teeth at a party with blood all over him.
[00:43:54.801 --> 00:43:55.722]  Yes, absolutely.
[00:43:56.102 --> 00:43:59.205]  And that's something you can transpose throughout history in any epoch.
[00:43:59.385 --> 00:44:05.270]  And it's something that's relevant today, especially because when you see that decadence, it's the sign of a declining civilization.
[00:44:05.670 --> 00:44:10.314]  And this is one of the things that I think is, you know, the most visible example of it.
[00:44:10.374 --> 00:44:17.540]  Because if we're not protecting the most vulnerable of us, if we're not protecting our children, then it's a clear sign of the direction that society is headed in.
[00:44:19.551 --> 00:44:21.272]  You know, I ran into your work two years ago.
[00:44:21.312 --> 00:44:31.581]  You showed me shocking information that we're not going to release today of people that have been implicated in this stuff that you were talking to, just admitting things.
[00:44:31.661 --> 00:44:36.505]  And it's, again, their goal is to normalize it, to have it so big and so huge that we just go, what do you do?
[00:44:36.545 --> 00:44:37.345]  It's like Pennsylvania.
[00:44:37.686 --> 00:44:42.750]  The report came out with the state police and the state grand jury a couple years ago, and they said 3,000 priests over that
[00:44:44.651 --> 00:44:57.816]  Over 3,000 priests in interviews admitted to sexually abusing boys, mainly, many times in the church as a satanic ritual on Saturday nights, Friday nights, and the terrible things they were doing to these little boys as young as 6, 7, 8, most of them about 10 or 11.
[00:44:58.836 --> 00:45:02.018]  And it was so corrupt and huge.
[00:45:02.058 --> 00:45:03.898]  The state's like, most of these priests are too old.
[00:45:04.378 --> 00:45:05.859]  How do we even prosecute them?
[00:45:05.879 --> 00:45:09.320]  It's a crime so big people can't admit it.
[00:45:09.340 --> 00:45:10.581]  You know, Eisenhower,
[00:45:11.673 --> 00:45:11.853]  I think?
[00:45:33.342 --> 00:45:40.087]  And they would slowly corrupt somebody as an SS officer until, you know, it was a communal thing to do really brutal stuff.
[00:45:40.747 --> 00:45:43.129]  And then pretty soon, you do whatever you're told.
[00:45:43.309 --> 00:45:45.170]  And so this is a process of corruption.
[00:45:45.250 --> 00:45:56.838]  In the Green Bomb speech, which is a detailed account of psychological torture that intelligence agencies have used on everything from just, you know, Manchurian-style candidates to victims of sexual abuse.
[00:45:57.218 --> 00:45:58.099]  That's exactly what they do.
[00:45:58.119 --> 00:46:00.360]  They break you down to the effect that they just
[00:46:01.261 --> 00:46:05.082]  And that's what you said is the most important thing that you've said so far.
[00:46:05.122 --> 00:46:05.642]  It's totally true.
[00:46:05.722 --> 00:46:08.163]  They're recruiting these young women who go out and can get children.
[00:46:24.321 --> 00:46:29.082]  That's well-known, you know, it's been documented, but in the lore, it's the white man with the kid saying, I've got candy.
[00:46:29.122 --> 00:46:29.322]  Right.
[00:46:29.342 --> 00:46:32.563]  Because you don't go to the man inside, or it's a man dressed up like a woman.
[00:46:33.203 --> 00:46:35.923]  That goes back to the Little Red Riding Hood fables.
[00:46:35.963 --> 00:46:38.684]  Those come from real things and legends that happened.
[00:46:38.984 --> 00:46:42.145]  This is the first time that men have dressed up like women to trick children to come to them.
[00:46:42.405 --> 00:46:44.345]  This is the first time that psychopaths have gone out.
[00:46:44.825 --> 00:46:46.746]  And so it historically happens.
[00:46:47.406 --> 00:46:48.286]  It's happening again.
[00:46:49.466 --> 00:46:50.967]  And we've gone over a lot of this.
[00:46:51.487 --> 00:46:55.029]  We've released really big information that's hiding in plain view.
[00:46:55.690 --> 00:46:59.432]  And we'll do a part two very, very soon.
[00:46:59.452 --> 00:47:06.616]  I want to go over some of these charts and I want to then go to your breakdown of how they changed the subject with memetic warfare.
[00:47:07.256 --> 00:47:09.717]  But I, again, just want to point out that we have Senate reports.
[00:47:09.757 --> 00:47:10.478]  We have it all here.
[00:47:10.898 --> 00:47:12.499]  This is at an industrial level.
[00:47:12.519 --> 00:47:16.741]  We'll also in a moment play a clip of a congresswoman back 14 years ago.
[00:47:18.602 --> 00:47:24.467]  Who exposed all this and then they drummed her out because it was actually in the record, in the intelligence record, but they didn't want it on the news.
[00:47:24.867 --> 00:47:31.232]  We're gonna play a clip of when it was admitted that DynCorp was doing this with aircraft out of the Caribbean and into Europe as well.
[00:47:31.712 --> 00:47:33.373]  And so we're gonna get to all of this here.
[00:47:34.094 --> 00:47:35.475]  And again, we're only scratching the surface.
[00:47:35.655 --> 00:47:36.816]  Any other points you'd like to add?
[00:47:37.441 --> 00:47:45.210]  No, I guess the most important point right now is just to implore people to take this onto themselves and to look into these things.
[00:47:45.250 --> 00:47:49.815]  Because everything that I've compiled, through diligence certainly, it's readily accessible.
[00:47:49.955 --> 00:47:51.797]  It's out there and it stands on its own merit.
[00:47:51.817 --> 00:47:52.858]  The truth always does.
[00:47:53.459 --> 00:47:56.842]  And it's just about putting someone in the frame of mind where they can connect the dots.
[00:47:56.862 --> 00:47:57.663]  Because like you said,
[00:47:58.524 --> 00:48:01.946]  Things become so compartmentalized that people don't see things for what they are.
[00:48:02.346 --> 00:48:13.571]  So a shift of a perspective is necessary to have people have the moral conscience that it's going to take to address these issues, bring them to light and take collective action.
[00:48:13.951 --> 00:48:17.813]  Well, it really is an evil black hole, a Ponzi scheme, a reverse pyramid.
[00:48:18.794 --> 00:48:25.116]  And if you think about how it works in a military institution, in the Boy Scouts, in the Catholic Church, anywhere,
[00:48:27.546 --> 00:48:28.607]  One bad thing happens.
[00:48:28.627 --> 00:48:30.969]  People go, this will embarrass the whole institution.
[00:48:31.450 --> 00:48:38.736]  So once you cover up that one thing, even though you weren't involved doing it, now the group can do more and say, by the way, you covered that up.
[00:48:39.276 --> 00:48:40.938]  You've got to let us do more, more, more.
[00:48:40.998 --> 00:48:42.659]  We'll reward you if you go along.
[00:48:43.160 --> 00:48:44.601]  We'll destroy you if you don't.
[00:48:45.022 --> 00:48:47.484]  And then now they can move more of the pedophiles in.
[00:48:49.096 --> 00:49:05.084]  And then they can abuse the children, use them to recruit, and whether it's Penn State or whether it's the Boy Scouts, I remember three years ago, it was on the news, they're handing out condoms at the Boy Scout Jamboree, and then they wonder why the Boy Scouts is going bankrupt and shutting down.
[00:49:05.504 --> 00:49:06.385]  They took that over.
[00:49:06.465 --> 00:49:07.005]  They ruined it.
[00:49:07.225 --> 00:49:07.925]  They shut it down.
[00:49:07.985 --> 00:49:09.286]  This is warfare.
[00:49:09.766 --> 00:49:10.887]  This is a weapons system.
[00:49:11.647 --> 00:49:14.709]  And so that's why when we have the establishment trying to plant child porn on us,
[00:49:15.950 --> 00:49:19.251]  Four or five months ago, and then reach out and go, oh, we can work with you.
[00:49:19.292 --> 00:49:20.352]  Don't worry, we're not going to tell anybody.
[00:49:20.392 --> 00:49:21.913]  I said, the hell you're not going to tell anybody.
[00:49:22.433 --> 00:49:25.734]  I said, that was planted on there, probably by you.
[00:49:26.195 --> 00:49:27.495]  And I went completely ape.
[00:49:29.236 --> 00:49:30.637]  And then they went, whoa, and pulled back.
[00:49:31.457 --> 00:49:34.859]  And so now we've got investigators on the ground, and we're about to release some really big stuff.
[00:49:35.139 --> 00:49:39.901]  If you want to fight, you better believe you got one, scumbags, because you're not going to compromise me.
[00:49:41.024 --> 00:49:42.825]  And again, this is how they operate.
[00:49:42.865 --> 00:49:48.247]  Most people, ooh, child porn's in our email, hidden codes, that, oh, people got through discovery or whatever.
[00:49:48.847 --> 00:49:50.548]  I'm like, hey, I call you a bluff.
[00:49:50.688 --> 00:49:51.289]  That's not us.
[00:49:51.869 --> 00:49:56.311]  But again, most people, that's why in the Pentagon, you'll hear 10,000 computers the Pentagon found with it.
[00:49:56.331 --> 00:50:01.373]  And they go, oh, don't worry, just do this for us and we won't report to your wife that's there.
