[00:00:30.834 --> 00:00:31.954]  It's Sunday, August 25th.
[00:27:18.777 --> 00:27:24.640]  Fox News is going to be there to hire April Ryan and tell you that Trump is losing to Biden in the polls.
[00:27:25.040 --> 00:27:26.661]  It's like the most popular president I've ever seen.
[00:27:26.721 --> 00:27:27.382]  It's not even close.
[00:27:27.882 --> 00:27:29.523]  Now, when we come back,
[00:27:30.700 --> 00:27:33.842]  I am going to be joined in studio by Sargon of Akkad.
[00:27:33.882 --> 00:27:37.364]  This is another one of the most banned individuals out there.
[00:27:38.065 --> 00:27:41.907]  And I think he may just be down to one platform now and I think it's Subscribestar.
[00:27:42.548 --> 00:27:45.110]  So we're going to be interviewing him live in studio.
[00:27:45.130 --> 00:27:46.070]  We'll talk about the censorship.
[00:27:46.090 --> 00:27:48.492]  We'll talk about the issues that he sees around the world.
[00:27:49.532 --> 00:27:49.933]  But again,
[00:27:51.485 --> 00:28:07.016]  We don't play commercials in our breaks and I happen to love it because when I'm tuned in and I'm on vacation and I'm kind of out of touch from my normal routine, I'm not only getting the live Alex Jones Show or the live David Knight Show or the live War Room that I usually host.
[00:28:07.237 --> 00:28:09.518]  We had great stand-in hosts this week when I was on vacation.
[00:28:10.099 --> 00:28:11.320]  During the breaks, I'm getting
[00:28:12.347 --> 00:28:14.509]  New breaking bombshell reports.
[00:28:14.669 --> 00:28:16.190]  I'm hearing from the Google whistleblowers.
[00:28:16.270 --> 00:28:17.571]  I'm hearing from people on Congress.
[00:28:17.591 --> 00:28:23.056]  So, at InfoWars.com slash show, the live shows are pretty much just all content now.
[00:28:23.236 --> 00:28:24.037]  Almost no commercials.
[00:28:24.057 --> 00:28:33.825]  So, I have to tell you about the great supplements at InfoWarsStore.com right now before I run out of time in the next 30 seconds because we get censored like you wouldn't believe on the internet.
[00:28:33.845 --> 00:28:36.167]  In fact, a lot of people I talk to literally don't believe it.
[00:28:37.290 --> 00:28:43.191]  The brand new Super Silver Skin Cream at InfoWarsStore.com.
[00:28:43.452 --> 00:28:44.692]  Two different sizes.
[00:28:45.852 --> 00:28:48.053]  Check it out for yourself, the ingredients.
[00:28:48.153 --> 00:28:50.473]  Research it for yourself and you will find out why.
[00:28:51.814 --> 00:28:58.235]  The crew here and the people behind this are so excited about Super Silver Skin Cream at InfoWarsStore.com.
[00:28:58.435 --> 00:29:01.916]  Another brand new exclusive product only at InfoWarsStore.com.
[00:29:08.044 --> 00:29:11.791]  Ladies and gentlemen, this isn't a Netflix drama show.
[00:29:11.831 --> 00:29:14.055]  This isn't a Law & Order TV program.
[00:29:14.255 --> 00:29:15.117]  This is not a movie.
[00:29:15.137 --> 00:29:15.938]  This is not a drill.
[00:29:15.978 --> 00:29:16.840]  This is not fiction.
[00:29:17.300 --> 00:29:18.583]  This is reality.
[00:29:19.301 --> 00:29:26.065]  You have a major Google engineer backing up what the other engineers have said, what the documents have shown, and talking about perjury before Congress.
[00:29:26.245 --> 00:29:29.326]  Pray and support this individual and others to come forward.
[00:29:29.366 --> 00:29:30.767]  So, Zach Voorhees, we salute you.
[00:29:30.787 --> 00:29:31.487]  And I'll say this.
[00:29:31.728 --> 00:29:32.748]  It's all of our birthright.
[00:29:32.808 --> 00:29:38.531]  Black, white, old, young, gay, straight, whether you're from San Francisco, New York City, or Austin, Texas, or Des Moines, Iowa.
[00:29:38.591 --> 00:29:40.772]  We're all having our birthright stolen right now.
[00:29:40.792 --> 00:29:45.755]  We're seeing election meddling, and it's time to admit it and to realize we've seen a giant backdoor.
[00:29:46.095 --> 00:29:46.295]  I think?
[00:30:02.088 --> 00:30:06.769]  We wouldn't have withstood this withering storm of censorship, attacks, and lies.
[00:30:06.889 --> 00:30:12.251]  We have the new World Awakens Mega Sale Globalist House of Cards Collapsing End of Summer Super Sale.
[00:30:12.371 --> 00:30:19.513]  It's the big, giant, 50-60% off, store-wide free shipping, double Patriot Points, but only on 50-something items, not.
[00:30:19.693 --> 00:30:22.193]  On every item, because a bunch of these are very close to selling out.
[00:30:22.253 --> 00:30:32.075]  Whether it's Ultimate Krill Oil, Body's Turmeric, Brain Force Plus, Knockoff Sleep Aid, Turbo Force, 8-Pack Power Stack, it's all 50-60% off, and your purchases make it all possible here.
[00:30:32.175 --> 00:30:44.018]  But an incredible time to be alive, an incredible time to be making history together, and standing up and seeing the good guys wake up, and to see us coming back from zero to basically tying the Globalists right now for a football analogy.
[00:30:44.238 --> 00:30:46.518]  So back to Owen Schroer and Zach Vortes.
[00:30:46.758 --> 00:30:49.559]  Do you think Google is the biggest threat to U.S.
[00:30:49.619 --> 00:30:50.039]  elections?
[00:30:50.519 --> 00:30:57.742]  I think that, you know, if you want to look at the biggest threat, it's Google together with Facebook, together with Twitter.
[00:30:57.942 --> 00:31:09.387]  They formed this echo chamber in which if they want to apply their control of narratives, then what they're going to do is they're going to press down the voices
[00:31:09.947 --> 00:31:12.789]  But they don't want, and they're going to boost up the voices that they do.
[00:31:12.869 --> 00:31:17.293]  And InfoWars has been sort of the main victim in this.
[00:31:17.893 --> 00:31:30.343]  And it's clear that if your audience looks through the disclosure list posted at ProjectVeritas.com, they're going to see InfoWars pop up in numerous blacklists that have been disclosed.
[00:31:30.543 --> 00:31:35.968]  Google's mission statement is to organize the world's information and make it universally accessible and useful.
[00:31:36.088 --> 00:31:41.433]  When InfoWars was taken offline, was that making information universally accessible and useful?
[00:31:41.453 --> 00:31:42.094]  No, it wasn't.
[00:31:42.334 --> 00:31:48.840]  What do you think comes next in this disclosure of what Google is doing to manipulate U.S.
[00:31:48.900 --> 00:31:49.500]  elections?
[00:31:50.001 --> 00:31:54.045]  And what would you like to say to the Google executives that are engaging in this?
[00:31:55.226 --> 00:31:57.828]  Yeah, well, something quite amazing is happening right now.
[00:31:58.008 --> 00:31:59.750]  Like, there's been a huge document dump.
[00:31:59.810 --> 00:32:05.074]  I've released over 950 pages, and right now there is a crowd raid.
[00:32:06.035 --> 00:32:15.042]  There are a bunch of users, they're looking at these documents, they're digesting them, and they're posting the content of them onto Twitter for us all to see.
[00:32:15.623 --> 00:32:20.647]  And so, you know, one of the things I want to invite for your audience is to come online,
[00:32:21.327 --> 00:32:24.549]  Go to Project Veritas, see their disclosure.
[00:32:24.569 --> 00:32:26.470]  They've posted a link to all of these documents.
[00:32:26.630 --> 00:32:31.313]  I'm asking your audience to download the everything.zip file and just go to town.
[00:32:31.473 --> 00:32:36.296]  And the thing is, is that whatever you think Google's doing, I promise you, it's way, way worse.
[00:32:36.496 --> 00:32:41.079]  And, you know, I see the reaction online and everyone's like, you know, WTF?
[00:32:41.099 --> 00:32:41.399]  WTF?
[00:32:42.680 --> 00:32:58.128]  I'm like, yes, everyone is now seeing what I've seen, uh, privately, uh, and, you know, we're finally having the exposure of light, uh, into the darkness and, uh, and people are finally understanding what's really going on in America.
[00:33:05.852 --> 00:33:08.494]  You're listening to The Alex Jones Show.
[00:33:17.270 --> 00:33:18.271]  We wouldn't do that to you.
[00:33:18.651 --> 00:33:20.011]  We wouldn't give you fluoridated water.
[00:33:23.993 --> 00:33:25.394]  You want to stop tyranny?
[00:33:25.674 --> 00:33:26.835]  Well, so does he.
[00:33:27.375 --> 00:33:28.796]  It's Alex Jones.
[00:33:29.336 --> 00:33:32.357]  And now, your host, Owen Troyer.
[00:33:32.898 --> 00:33:39.441]  Sargon of Akkad is in studio with me, and we were just talking during the break, and I liked what you were talking about.
[00:33:39.481 --> 00:33:40.661]  We were kind of having some fun.
[00:33:41.362 --> 00:33:45.404]  You were saying, think about all the quote-unquote conspiracy theories
[00:33:46.384 --> 00:33:48.765]  Of that they claim they tried to link to Alex Jones.
[00:33:49.065 --> 00:33:53.527]  Think of all of them that have come true, and you were just saying, you were, hey guys, can I get some water?
[00:33:53.748 --> 00:33:56.829]  So we brought you a bottled water here, and you said, hey, there's no fluoride in this.
[00:33:56.849 --> 00:33:59.650]  I said, no, we're not gonna fluoridate, we're not gonna give you fluoridated water.
[00:33:59.670 --> 00:34:00.811]  But there's one of them!
[00:34:01.584 --> 00:34:02.024]  That's true.
[00:34:02.184 --> 00:34:03.685]  That is actually one.
[00:34:03.745 --> 00:34:05.346]  The Daily Beast was reporting on it the other day.
[00:34:05.366 --> 00:34:07.887]  So you know it's legit?
[00:34:07.907 --> 00:34:08.387]  I mean, yeah.
[00:34:08.547 --> 00:34:13.770]  Well, I mean, there was a study done and they were just reporting on the study, but it seems that it's legit.
[00:34:14.350 --> 00:34:23.715]  It appears there is evidence for it, that for pregnant women, if they drink fluoridated water, the IQ of their children turns out to be lower.
[00:34:24.736 --> 00:34:28.077]  And Alex Jones said they're putting fluoride in the water to dumb people down.
[00:34:28.137 --> 00:34:29.298]  I mean, I don't know how he knows!
[00:34:29.998 --> 00:34:30.840]  But that came true too!
[00:34:31.561 --> 00:34:37.250]  Let's see, guys, will you guys do a CTRL F search in this story and see if they mention Alex Jones or Infowars?
[00:34:37.651 --> 00:34:38.412]  I would bet they don't.
[00:34:39.033 --> 00:34:39.094]  Oh!
[00:34:41.744 --> 00:34:42.465]  Hold on, read this.
[00:34:42.825 --> 00:34:43.385]  Can you see that?
[00:34:43.425 --> 00:34:43.866]  Yeah, I can.
[00:34:43.986 --> 00:34:51.932]  Infowars founder Alex Jones has frequently railed against fluoride in hyperbolic terms and his site sells anti-fluoride products.
[00:34:52.913 --> 00:34:53.394]  Yes!
[00:34:53.494 --> 00:34:55.876]  It's true though!
[00:34:56.456 --> 00:35:05.083]  So they write one story insulting us because we sell water filters and then the next day they have to say, well Alex Jones was right, you don't want the fluoride.
[00:35:06.565 --> 00:35:11.273]  The thing is I actually just posted this on my Facebook page because Forbes was mocking Alex Jones.
[00:35:11.313 --> 00:35:13.176]  They've got like 10 craziest conspiracy theories.
[00:35:13.356 --> 00:35:15.780]  It's like the fluoride in the water makes you dumb and it's like well...
[00:35:17.170 --> 00:35:19.211]  I mean, you know... Hold on, guys.
[00:35:19.271 --> 00:35:20.251]  Find that story and print it.
[00:35:20.291 --> 00:35:22.812]  Let's go down that list because... So that was one of the stories?
[00:35:23.072 --> 00:35:23.912]  That was one of them, yeah.
[00:35:24.472 --> 00:35:25.073]  And it's true?
[00:35:25.413 --> 00:35:25.873]  It's true.
[00:35:26.073 --> 00:35:27.934]  And, uh, the Epstein Island.
[00:35:28.594 --> 00:35:29.954]  That's... That was one of them too?
[00:35:30.014 --> 00:35:30.394]  Yeah, yeah.
[00:35:30.434 --> 00:35:32.915]  So let's actually get that whole... Joe Rogan was going there.
[00:35:32.935 --> 00:35:33.275]  Wow, okay.
[00:35:33.355 --> 00:35:36.056]  Sargon of Akkad, you know, you've been censored as well.
[00:35:36.196 --> 00:35:39.217]  I mean... I don't know if you want to get into the censorship.
[00:35:39.237 --> 00:35:41.798]  I don't know if you want to get into just the craziness of all the times.
[00:35:42.599 --> 00:35:44.619]  But to me, that's kind of... It's almost the same.
[00:35:45.259 --> 00:35:46.620]  It's kind of the same vein because...
[00:35:48.086 --> 00:35:50.909]  We knew the world was kind of going crazy a while ago.
[00:35:51.349 --> 00:35:53.972]  Mainstream news and everything is finally starting to catch up.
[00:35:54.352 --> 00:35:56.214]  The fluoride in the water, the Epstein Island.
[00:35:56.935 --> 00:36:10.009]  So how do you kind of analyze this where just everyday people who are starting to have this awakening, this renaissance, are getting activated and getting politically active and active with free speech and active in changing their own lives.
[00:36:10.569 --> 00:36:14.433]  And then you see the social media centers are kind of trying to stop that from happening.
[00:36:15.274 --> 00:36:18.597]  How would you characterize this time in human history?
[00:36:20.019 --> 00:36:25.064]  Extremely divided along partisan lines is the thing that jumps to mind first.
[00:36:27.466 --> 00:36:33.510]  The problem is that Silicon Valley is a very, very left-wing place, and they have a particular ethical agenda.
[00:36:33.851 --> 00:36:37.353]  And you can hear this in people like Tim Cook from Apple, who sounds like a preacher.
[00:36:37.833 --> 00:36:40.215]  It sounds like he's preaching a new kind of secular religion.
[00:36:40.815 --> 00:36:44.798]  And I'm an atheist, so... Kind of like a... almost like a Jim Jones cult or something.
[00:36:46.059 --> 00:36:47.480]  On a much larger scale, yeah.
[00:36:47.880 --> 00:36:50.082]  But, yeah, so it's...
[00:36:51.443 --> 00:36:53.244]  They all know each other, they all talk to each other.
[00:36:53.264 --> 00:36:56.187]  And we know this because Jack Conte from Patreon said it.
[00:36:56.207 --> 00:37:02.472]  He just went on Rubin's Show and said, oh yeah, all the tech giant CEOs all hang out and they talk to each other, etc, etc.
[00:37:03.152 --> 00:37:04.613]  They all basically follow the same agenda.
[00:37:04.633 --> 00:37:11.939]  And the reason that I've even come here is because you guys got just nailed off almost every platform in almost the same day.
[00:37:11.959 --> 00:37:13.300]  It was like a period of one or two days.
[00:37:13.960 --> 00:37:17.263]  And that was just, I mean, it just screams collusion, doesn't it?
[00:37:17.663 --> 00:37:20.767]  It just screams that someone phoned someone else up and goes, yeah, let's just get rid of this guy.
[00:37:21.128 --> 00:37:21.809]  He's a real pain.
[00:37:21.849 --> 00:37:32.443]  And then it was Jack Dorsey on Twitter who was taking loads of flack from left-wing media and pundits and whatnot on Twitter because that Twitter was Alex Jones's last Silicon Valley platform.
[00:37:33.104 --> 00:37:35.146]  And he was like, well, he hasn't done anything wrong.
[00:37:35.447 --> 00:37:37.869]  And then in the next few days, he was gone as well.
[00:37:38.370 --> 00:37:43.234]  Again, it really looks like it's down to the amount of pressure being put on them to actually take these actions.
[00:37:44.396 --> 00:37:48.700]  And then you've got Dr. Robert Epstein, who's been a critic of Google for quite some time.
[00:37:48.740 --> 00:37:49.501]  He'd done a study.
[00:37:49.521 --> 00:37:50.842]  And a Democrat voter.
[00:37:50.942 --> 00:37:51.523]  And a Democrat voter.
[00:37:51.543 --> 00:37:52.704]  And a friend of Hillary's as well.
[00:37:52.724 --> 00:37:53.705]  A personal friend of Hillary's.
[00:37:54.746 --> 00:38:00.690]  And he, in his Senate hearings, Ted Cruz, I'm sure you saw it, he said, look, I vote Democrat, I just think this is wrong.
[00:38:01.411 --> 00:38:06.295]  It's definitely, definitely manipulating the algorithms to shift votes towards Hillary Clinton and away from Trump.
[00:38:07.055 --> 00:38:14.181]  And this is a really powerful force, and I think that people don't really understand just how much influence Silicon Valley really has.
[00:38:14.201 --> 00:38:22.908]  I mean, it's like a form of kind of cultural imperialism, where California is effectively trying to manipulate the culture of the entire English-speaking world.
[00:38:23.308 --> 00:38:24.850]  From a very, very small place.
[00:38:24.870 --> 00:38:28.473]  Because all of these Silicon Valley tech giants, they're in Silicon Valley.
[00:38:28.493 --> 00:38:31.376]  It's like a few hundred square miles in San Francisco.
[00:38:31.436 --> 00:38:36.660]  It's a very, very concentrated area of land.
[00:38:36.841 --> 00:38:39.243]  And it's not just the CEOs as well.
[00:38:40.184 --> 00:38:42.306]  It's also the people who fill the institutions.
[00:38:42.366 --> 00:38:44.588]  The people on the trust and safety councils and things like this.
[00:38:44.988 --> 00:38:47.530]  Because they're all in the same area, they all kind of end up
[00:38:48.371 --> 00:38:48.571]  Have you
[00:39:06.192 --> 00:39:25.817]  It creates a very kind of homogenous culture, and then you get people from the inside, I mean, like the Project Veritas stuff, where they've just had Google insiders coming out, and this has been going on for ages, look at James Damore, where they come out and say, well look, we're actually genuinely feeling oppressed in these tech giants, because we're conservatives, and we can't speak out about any of this, and we think we're doing things wrong.
[00:39:26.157 --> 00:39:28.197]  I mean, Facebook has a conservative union?
[00:39:28.217 --> 00:39:31.898]  I mean, how bad does it have to be to get conservatives to unionize?
[00:39:31.938 --> 00:39:34.059]  Well, and think about it too, it's almost
[00:39:35.273 --> 00:39:42.816]  The people that come out and blow the whistle, regardless of their politics, they're at least trying to keep a straight line to keep things fair.
[00:39:43.276 --> 00:39:46.977]  They say it's the Manhattan Project of AI, really.
[00:39:48.158 --> 00:39:49.238]  They just want to keep things square.
[00:39:49.498 --> 00:39:55.260]  Well, they're all getting booted or put on leave now because they just say, hey, look, this is what's going on.
[00:39:55.280 --> 00:39:56.101]  We want it to be transparent.
[00:39:56.121 --> 00:39:56.581]  We want it to be fair.
[00:39:56.601 --> 00:39:57.301]  Well, they're all gone.
[00:39:57.601 --> 00:39:59.882]  So you know they're just going to probably replace these people with ideologues.
[00:40:00.662 --> 00:40:02.223]  Well, it's not necessarily that.
[00:40:03.652 --> 00:40:04.813]  I don't want to just call them ideologues.
[00:40:04.873 --> 00:40:10.699]  I don't know the people that we're talking about but they will end up replacing them from people in the local area because they have to work in those businesses.
[00:40:11.240 --> 00:40:15.264]  So they have to come to that place and they'll end up becoming kind of subsumed in that culture.
[00:40:15.844 --> 00:40:19.688]  So it's just one of those things where it's not a conspiracy.
[00:40:19.888 --> 00:40:24.433]  It's just a kind of natural tendency to shift in that direction because
[00:40:25.033 --> 00:40:29.420]  The culture is so much towards the left and it's hostile to the right.
[00:40:29.861 --> 00:40:34.548]  It's not tolerant in any way shape or form and that's what the Conservatives in Silicon Valley are speaking out about.
[00:40:35.209 --> 00:40:38.454]  Because if you look at the quote-unquote, I guess you could say,
[00:40:39.787 --> 00:40:44.969]  Liberals or leftists that have had the banning happen to them, like the Krasenstein brothers.
[00:40:45.329 --> 00:40:52.091]  Well, they got caught running these massive bot ad campaigns or bot networks, or at least that's how the story goes.
[00:40:52.111 --> 00:40:54.792]  I mean, I don't really trust any of this news, quite frankly.
[00:40:55.312 --> 00:40:57.512]  But you also had, you know, Louis Farrakhan.
[00:40:57.793 --> 00:41:01.694]  He's made statements that I think that they would say, I guess, violate their code of conduct.
[00:41:02.034 --> 00:41:03.194]  But so do a bunch of people.
[00:41:03.654 --> 00:41:05.695]  And it's just a pick and choose type of thing.
[00:41:05.735 --> 00:41:08.356]  So it's like, hey, they gave us some scalps, like, oh, no, no, no, we're fair.
[00:41:09.196 --> 00:41:12.797]  Anybody that's looking at this from a neutral perspective knows the bias is real.
[00:41:13.237 --> 00:41:19.478]  Yeah, and a lot of the bias as well is also towards... I suppose you can almost describe it as a class bias.
[00:41:19.918 --> 00:41:28.841]  Because you get independent left-wing commentators like David Pakman, who also get their channels demonetized, their videos demonetized and deranked and things like this.
[00:41:29.281 --> 00:41:34.922]  But then if you look at any of the search results on YouTube, or if you just let the YouTube algorithm play you videos now,
[00:41:35.902 --> 00:41:36.542]  Go through videos.
[00:41:36.582 --> 00:41:39.643]  After the first couple, you'll find yourself on CNN or MSNBC.
[00:41:40.003 --> 00:41:43.063]  And it'll just give you a continual loop of the mainstream media.
[00:41:43.083 --> 00:41:45.644]  It won't give you the alternative commentators it used to give you.
[00:41:46.144 --> 00:41:59.326]  And that's because of an active campaign by people like Carlos Mazaro-Vox and various other, you know, just large, influential, just media commentators and pundits on Twitter, mostly, pressuring YouTube.
[00:41:59.386 --> 00:42:02.187]  And Susan Wojcicki and Sundar Pichai are just
[00:42:03.207 --> 00:42:04.228]  I guess they just agree.
[00:42:04.528 --> 00:42:05.329]  They just agree.
[00:42:05.509 --> 00:42:08.872]  And that's Facebook and Google with those two.
[00:42:09.092 --> 00:42:10.253]  YouTube and Google.
[00:42:10.673 --> 00:42:11.934]  YouTube, thank you, thank you.
[00:42:11.994 --> 00:42:14.136]  Facebook, I forget that lady's name.
[00:42:14.656 --> 00:42:15.737]  She is cold, though.
[00:42:15.797 --> 00:42:16.918]  I mean, she is no joke.
[00:42:16.938 --> 00:42:17.538]  I forget her name.
[00:42:17.578 --> 00:42:18.759]  Sheryl Sandberg, I think is it?
[00:42:18.959 --> 00:42:19.660]  Oh, yeah, yeah.
[00:42:20.661 --> 00:42:25.304]  And when do these people get called up to task for the perjury that they blatantly engaged in?
[00:42:25.324 --> 00:42:25.885]  Now we know it!
[00:42:26.792 --> 00:42:27.152]  I don't know.
[00:42:27.513 --> 00:42:28.993]  I don't know how they're going to be held accountable.
[00:42:29.234 --> 00:42:33.476]  I know, I mean, I actually, I've been coming to appreciate Ted Cruz a lot more.
[00:42:33.757 --> 00:42:37.039]  Because he's been very firm on this recently and he's not letting it go.
[00:42:37.059 --> 00:42:40.901]  And so I think that's going to have to be the way forward.
[00:42:40.941 --> 00:42:42.022]  I mean, I don't see what else can be done.
[00:42:42.322 --> 00:42:47.688]  And you know, one of the reasons, too, what you mentioned, like a YouTube search result will start showing you MSNBC or, you know, CNN.
[00:42:48.128 --> 00:42:53.354]  I think some of that has to do with the fact they know they're getting crushed by an average YouTuber out there.
[00:42:53.414 --> 00:42:57.458]  So CNN is here, like, crapping its britches, like, well, how are we going to compete with these guys?
[00:42:57.478 --> 00:43:00.021]  We got to we got to tramp them out of the Internet, trample them down.
[00:43:00.601 --> 00:43:02.063]  And so independent users lose.
[00:43:05.510 --> 00:43:07.431]  I've known Alex for, like, more than 20 years.
[00:43:07.591 --> 00:43:08.391]  I've hung out with that guy.
[00:43:08.412 --> 00:43:10.072]  We've been hammered together so many times.
[00:43:10.172 --> 00:43:11.953]  That is the most misunderstood guy on the planet.
[00:43:12.033 --> 00:43:13.854]  He was right about all this Jeffrey Epstein s***.
[00:43:14.174 --> 00:43:15.715]  That is a f***ing fact.
[00:43:15.875 --> 00:43:18.316]  Alex Jones called this years ago.
[00:43:18.516 --> 00:43:21.378]  For years, Jones has been spreading conspiracy theories.
[00:43:21.618 --> 00:43:24.519]  He may be America's best-known conspiracy theorist.
[00:43:24.839 --> 00:43:30.901]  Alex Jones, the far-right conspiracy theorist, radio host and conspiracy theorist Alex Jones.
[00:43:31.101 --> 00:43:36.163]  Alex Jones supported President Trump but also peddled and promoted sick conspiracy theories.
[00:43:36.323 --> 00:43:41.284]  It's really hard for me to understand how anyone can be so sick in the head.
[00:43:41.444 --> 00:43:43.565]  Alex Jones, my God, Mika, and just
[00:43:44.085 --> 00:43:44.305]  Yeah.
[00:43:44.465 --> 00:43:46.627]  Conspiracy theorist Alex Jones.
[00:43:46.828 --> 00:43:48.890]  Right-wing conspiracy theorist Alex Jones.
[00:43:48.950 --> 00:43:50.751]  Conspiracy theorist Alex Jones.
[00:43:50.951 --> 00:43:54.755]  Alex Jones has been behind several right-wing conspiracy theories.
[00:43:54.835 --> 00:43:56.997]  Right-wing conspiracy theorist Alex Jones.
[00:43:57.057 --> 00:44:00.000]  Radio host and conspiracy theorist Alex Jones.
[00:44:00.300 --> 00:44:04.184]  The captain of America's conspiracy theory mothership.
[00:44:05.006 --> 00:44:11.753]  Alex Jones espouses a litany of conspiracy theories, although he thinks that term belittles his reporting.
[00:44:11.973 --> 00:44:13.175]  The government's poisoning the water?
[00:44:13.575 --> 00:44:14.176]  Absolutely.
[00:44:14.196 --> 00:44:19.101]  I have all these other government documents where the government proposes and government think tanks propose.
[00:44:19.801 --> 00:44:23.025]  It's poisoning the water to dumb down the population, make them more easily manageable.
[00:44:23.545 --> 00:44:25.946]  Oh dear, the fluoride didn't work on this one!
[00:44:26.166 --> 00:44:28.067]  He's fighting back against my takeover!
[00:44:28.407 --> 00:44:30.328]  Hurry, chemtrail him immediately!
[00:44:30.528 --> 00:44:33.589]  I've noticed what they attack me with on mainstream news.
[00:44:33.749 --> 00:44:36.510]  Jones claims your cell phones are killing you.
[00:44:36.670 --> 00:44:41.372]  Jones claims there's chemicals in the water that are lowering your fertility and confusing your sexuality.
[00:44:41.572 --> 00:44:43.493]  Jones says there's black helicopters.
[00:44:43.713 --> 00:44:45.353]  Jones says there's a world government.
[00:44:45.433 --> 00:44:47.374]  Jones says the EU is unelected.
[00:44:47.594 --> 00:44:47.874]  It is.
[00:44:47.894 --> 00:44:48.795]  On and on and on.
[00:44:49.355 --> 00:44:51.936]  And everything we're saying is out in the open.
[00:44:52.196 --> 00:44:58.039]  Kelly Prime's son, Kyle, was just 10 years old when he was diagnosed with kidney cancer in 2016.
[00:44:59.199 --> 00:45:04.541]  Five months later, Kyle's friend and classmate, Mason Faruli, developed brain cancer.
[00:45:04.641 --> 00:45:07.943]  Two more kids at the school were diagnosed this year.
[00:45:08.383 --> 00:45:19.908]  The moms believe the recent increase in cancer cases could be caused by radiation from radiofrequency, or RF waves, coming from this cell tower located on the elementary school campus.
[00:45:20.188 --> 00:45:35.703]  So think about how the LA Times and even Wired Magazine will admit there are thousands of studies that prove that wireless radiation, as it's intensified in its strength the last 30 years, and how many places it's emanating from, and especially the microwave millimeter waves.
[00:45:36.003 --> 00:45:36.524]  Cell phones!
[00:45:36.804 --> 00:45:40.107]  Operate as microwave transmitters and receivers, transceivers.
[00:45:40.247 --> 00:45:41.328]  Now, what's a microwave do?
[00:45:41.348 --> 00:45:43.390]  It vibrates water, vibrates molecules.
[00:45:43.590 --> 00:45:48.514]  And 5G is an even more powerful form of microwave that even rattles it faster.
[00:45:48.614 --> 00:45:53.658]  That's what causes the heat, the friction of the molecules, and burns oxygen and carbon dioxide.
[00:45:53.698 --> 00:45:54.339]  You heard me right.
[00:45:54.919 --> 00:45:57.141]  5G burns the atmosphere.
[00:45:57.641 --> 00:46:03.444]  Epstein pleaded guilty to soliciting prostitution in Florida in 2008 as part of a controversial deal.
[00:46:03.964 --> 00:46:17.030]  In a civil case against the government about that deal, one accuser says she took part in an orgy on Epstein's private island in 2002 with approximately eight other young girls who appeared to be under the age of 18.
[00:46:17.751 --> 00:46:19.091]  What may have happened here?
[00:46:19.351 --> 00:46:22.173]  Just because some people want to restrict views doesn't mean they have a right to do it.
[00:46:22.913 --> 00:46:29.156]  And see, once that happens, now you can shut down the details of Bill Clinton's best buddy and the pedophile island that we've been exposing.
[00:46:29.476 --> 00:46:38.660]  Prison guards working when Epstein apparently died by suicide may have falsified reports to make it look like they were checking in on Epstein, when they were in fact not.
[00:46:38.961 --> 00:46:42.002]  I am now more suspicious than ever that this could be a homicide.
[00:46:42.142 --> 00:46:44.083]  People won't listen to me because I got too much data!
[00:46:44.103 --> 00:46:45.304]  Can you imagine what this is like?
[00:46:45.504 --> 00:46:47.906]  Alex Jones called this years ago.
[00:46:48.406 --> 00:46:49.047]  Years ago.
[00:46:49.427 --> 00:46:56.732]  He was saying that they take a lot of famous people to this island and they have all these young girls that this guy hooks them up with.
[00:46:56.812 --> 00:46:59.014]  He was talking about this years ago.
[00:46:59.134 --> 00:47:00.775]  Now it is mainstream news.
[00:47:06.819 --> 00:47:09.481]  You're listening to the Alex Jones Show.
[00:47:29.181 --> 00:47:30.722]  Welcome back to the Alex Jones Show.
[00:47:30.842 --> 00:47:31.942]  Owen Schroer sitting in.
[00:47:32.642 --> 00:47:34.803]  Sargon of Akkad in studio with us.
[00:47:34.823 --> 00:47:41.186]  We've been talking about all the censorship and how Google and Twitter and Facebook and YouTube are trying to rig elections with it.
[00:47:42.148 --> 00:47:50.055]  And we now kind of pivot into how it's the mainstream news demonizing these people that get censored to make it justified.
[00:47:50.536 --> 00:47:51.477]  But of course it's not true.
[00:47:51.557 --> 00:47:53.318]  Trump supporters are not white supremacists.
[00:47:53.398 --> 00:47:57.802]  They're not racist bigots, homophobes, xenophobes, all the things that they say about us.
[00:47:58.203 --> 00:48:03.928]  That's just what they say so that when they ban everybody from YouTube or Twitter or Facebook, oh it's justified.
[00:48:03.968 --> 00:48:05.429]  Look what the mainstream news said about them.
[00:48:06.570 --> 00:48:07.231]  But obviously
[00:48:08.536 --> 00:48:09.679]  It's not really working.
[00:48:09.699 --> 00:48:11.724]  And I think what it is...
[00:48:12.830 --> 00:48:19.413]  And we're going to go through this list from Forbes, the top 10 health claims, Alex Jones' top 10 health claims and why they're wrong.
[00:48:19.433 --> 00:48:21.254]  We'll see how wrong they really were.
[00:48:21.294 --> 00:48:38.641]  But before we do that, Sargon of Akkad, this is a cultural revolution that's happening where people are starting to actually, I don't even know how to explain it almost, where people just kind of quit caring, just in general, about where the world was going, about where they were going, about culture and politics.
[00:48:39.301 --> 00:48:40.922]  And they saw it get so bad.
[00:48:41.800 --> 00:48:44.001]  That they just kind of got into action.
