[00:00:04.182 --> 00:00:05.923]  Firm suspicions at Veritas.
[00:56:29.258 --> 00:56:32.641]  You understand there's 25 minutes of this in the boil down.
[00:56:33.021 --> 00:56:35.724]  You just heard 60 seconds.
[00:56:36.144 --> 00:56:37.045]  It gets worse.
[00:56:37.466 --> 00:56:38.306]  It gets worse.
[00:56:38.727 --> 00:56:39.507]  It gets worse.
[00:56:40.989 --> 00:56:42.991]  They say Congress may think they're going to stop us.
[00:56:46.954 --> 00:56:50.618]  So we're going to get into all of it.
[00:56:51.078 --> 00:56:54.862]  Algorithmic unfairness means unjust or pre
[00:56:56.564 --> 00:57:00.790]  Judicial treatment of people that is related to sensitive characteristics.
[00:57:01.891 --> 00:57:04.735]  They can apply that to anything they want, anytime.
[00:57:04.815 --> 00:57:09.422]  Balambline, you will submit, you will assimilate, and by the way, your children are ours.
[00:57:10.263 --> 00:57:10.864]  Now bring them!
[00:57:12.337 --> 00:57:13.778]  We're coming out with our own currencies.
[00:57:14.299 --> 00:57:15.419]  That'll be the new world currencies.
[00:57:15.439 --> 00:57:18.722]  And if you don't behave and give us your children, you won't buy or sell!
[00:57:18.922 --> 00:57:19.902]  So give us your children!
[00:57:19.923 --> 00:57:22.464]  We're really nice people dressed like clowns!
[00:57:22.945 --> 00:57:23.605]  Give them to us!
[00:57:24.426 --> 00:57:27.228]  That's their priest class, is pedos and clown outfits.
[00:57:28.308 --> 00:57:30.470]  Yeah, you don't think Stephen King just came up with that, do you?
[00:57:31.731 --> 00:57:33.372]  Come on over here, Georgie.
[00:57:34.838 --> 00:57:37.421]  Well, behind the scenes, they're not wearing helicopter hats.
[00:57:37.982 --> 00:57:38.543]  Oh, no, no.
[00:57:39.023 --> 00:57:41.126]  They're vicious and hardcore.
[00:57:41.686 --> 00:57:43.829]  Their camouflage is fat men in high heels.
[00:57:44.169 --> 00:57:49.456]  Behind the scenes, it's pure hardcore Satanism, torture, and death.
[00:57:52.682 --> 00:57:58.604]  Ladies and gentlemen, welcome to the greatest show on earth, Clown World.
[00:58:00.085 --> 00:58:07.967]  20 socialist, globalist, communist candidates, all in one spot for two nights only.
[00:58:08.388 --> 00:58:13.950]  And you're going to have uncensored, unbridled, pure analysis like no one else can do it.
[00:58:14.290 --> 00:58:20.512]  Clown World, the greatest comedy show on earth, two nights only, 20 candidates and tons of laughs.
[00:58:21.152 --> 00:58:22.894]  June 26th and 27th.
[00:58:22.934 --> 00:58:25.236]  Coverage starts at 7 p.m.
[00:58:25.717 --> 00:58:28.780]  at InfoWars.com forward slash show.
[00:58:29.300 --> 00:58:30.882]  It's the greatest show on earth.
[00:58:31.363 --> 00:58:36.808]  A bunch of parasites, bitching and complaining, working for the Chi-Coms to overthrow America.
[00:58:37.269 --> 00:58:44.095]  Join us next Wednesday and Thursday for Clown World, the biggest show on earth!
[00:58:44.836 --> 00:58:45.897]  I'm not Alex Jones.
[00:58:46.257 --> 00:58:46.777]  I'm P.T.
[00:58:46.817 --> 00:58:47.157]  Barnum.
[00:58:47.518 --> 00:58:48.418]  I love the Democrats.
[00:58:48.438 --> 00:58:54.101]  Beto O'Rourke says the world's ending in 11 years and the borders should be open.
[00:58:54.361 --> 00:58:55.662]  There's so many other clowns.
[00:58:55.962 --> 00:59:01.725]  Cory Booker says pay reparations even if 98% of whites didn't have ancestors that owned slaves.
[00:59:02.146 --> 00:59:04.547]  And then we move on to Pocahontas.
[00:59:04.607 --> 00:59:08.129]  She's whiter than anybody ever known in history, but it's okay.
[00:59:08.149 --> 00:59:08.889]  She's a fraud.
[00:59:09.190 --> 00:59:10.170]  And then Joe Biden.
[00:59:10.510 --> 00:59:13.252]  Well, Joe Biden loves segregationists and
[00:59:13.712 --> 00:59:14.752]  It's the greatest show on earth.
[00:59:14.792 --> 00:59:15.473]  Join us this next Wednesday.
[00:59:43.183 --> 00:59:45.685]  If you are receiving this transmission, you are the Resistance.
[01:00:06.192 --> 01:00:07.353]  You have the power.
[01:00:07.694 --> 01:00:09.236]  Humanity has the power.
[01:00:09.256 --> 01:00:10.798]  We have the power.
[01:00:10.818 --> 01:00:11.899]  Do you want to fight?
[01:00:12.119 --> 01:00:14.222]  You better believe you got one!
[01:00:16.505 --> 01:00:20.970]  Rallying patriots worldwide in defense of human liberty.
[01:00:21.571 --> 01:00:23.013]  It's Alex Jones.
[01:00:24.861 --> 01:00:28.622]  So if you're a radio listener and listening on AM, you can make this out.
[01:00:29.902 --> 01:00:31.463]  But some of the audio goes up and down.
[01:00:31.503 --> 01:00:32.303]  It's just hidden audio.
[01:00:32.463 --> 01:00:33.943]  I'd give it an A+, though, for effort.
[01:00:34.684 --> 01:00:40.105]  But when you get into the raw footage, and it's not the intro to the video, and it doesn't have the music over it, it's even more powerful.
[01:00:40.765 --> 01:00:42.746]  So I'll try to shut up and air the intro to this.
[01:00:43.814 --> 01:00:49.276]  And then come back and get more into the other news, and James O'Keefe joins us next hour, but it's a maximum action alert.
[01:00:49.896 --> 01:00:53.457]  The article's on InfoWars.com, NewsWars.com, ProjectVeritas.com.
[01:00:53.677 --> 01:00:54.937]  It's up on DrudgeReport.com.
[01:00:56.158 --> 01:00:57.578]  This should be the top story in the world.
[01:00:57.638 --> 01:00:59.899]  Google caught red-handed.
[01:00:59.979 --> 01:01:04.360]  Google execs admit they're stealing the election from 2020, from Trump.
[01:01:05.361 --> 01:01:07.921]  Google execs admit election meddling to prevent Trump winning 2020.
[01:01:09.722 --> 01:01:13.423]  Paul Joseph Watson brags Congress can pressure us, but we're not changing.
[01:01:15.700 --> 01:01:23.949]  Again, they hate this country so much, they would give AI, given to them by DARPA, to the chi-coms under Obama's orders.
[01:01:24.749 --> 01:01:25.690]  It's high treason, folks.
[01:01:26.751 --> 01:01:28.353]  And that's why they had no respect for us.
[01:01:28.834 --> 01:01:32.838]  And we finally get a president trying to do a little something, and they're crapping bricks.
[01:01:34.019 --> 01:01:35.701]  They can build a giant brick building with the amount of it.
[01:01:36.301 --> 01:01:37.703]  So they're doubling down on their fear.
[01:01:40.017 --> 01:01:44.658]  More leaks are coming, ladies and gentlemen, but if they steal 2020, it's just going to be unbelievable.
[01:01:44.698 --> 01:01:45.798]  I haven't even gotten to half of it.
[01:01:46.198 --> 01:01:47.918]  They're harassing Tucker Carlson at his house.
[01:01:48.158 --> 01:01:49.759]  I got inside baseball on that.
[01:01:51.899 --> 01:01:54.540]  And it's just outrageous what they're doing to Tucker's family.
[01:01:56.320 --> 01:01:58.100]  You know, I get sent child porn.
[01:01:58.460 --> 01:01:59.680]  They come to Tucker Carlson's house.
[01:02:00.181 --> 01:02:01.181]  And again, we're not victims.
[01:02:01.201 --> 01:02:02.021]  We're victorious.
[01:02:02.401 --> 01:02:03.441]  It's why they're doing this to us.
[01:02:03.501 --> 01:02:08.102]  But let me tell you, if there's a sinner in the universe that's evil, it's called the Democratic Party.
[01:02:11.223 --> 01:02:13.511]  So let's go ahead and go back to this Project Veritas page.
[01:02:14.468 --> 01:02:21.833]  The reason why I decided to come to Project Veritas is because people need to know what's actually going on with Google.
[01:02:21.913 --> 01:02:29.378]  There's this facade about what they're doing, but what they're actually doing, what the employees are actually seeing inside the company, is different.
[01:02:29.398 --> 01:02:34.041]  But the reason we launched our AI principles is because people were not putting that line in the sand.
[01:02:34.061 --> 01:02:36.203]  They were not saying it's fair and effective.
[01:02:36.263 --> 01:02:39.345]  So we're like, well, we are a big company, we're going to say it.
[01:02:39.385 --> 01:02:42.787]  People voted for the current president, do not agree
[01:02:44.264 --> 01:02:45.745]  They're not an objective piece.
[01:02:46.265 --> 01:02:48.247]  They're not an objective source of information.
[01:03:02.976 --> 01:03:13.143]  They are a highly biased political machine that is bent on never letting somebody like Donald Trump come to power again.
[01:03:13.403 --> 01:03:14.664]  This is a Goliath I invented.
[01:03:25.674 --> 01:03:28.157]  I'm trying to say that the Emperor has no clothes.
[01:03:34.863 --> 01:03:38.667]  Being a small little ant, I can be crushed and I'm aware of that.
[01:03:39.268 --> 01:03:41.330]  But this is something that is bigger than me.
[01:03:41.370 --> 01:03:44.814]  This is something that needs to be said to the American public.
[01:03:46.803 --> 01:03:47.404]  I don't know.
[01:04:04.921 --> 01:04:07.764]  Ladies and gentlemen, this is the face of authoritarianism.
[01:04:08.365 --> 01:04:23.040]  Little chicken necks, little control freaks giggling and laughing, lying to Congress, stealing all your data, the company heads making hundreds of billions, working with authoritarians, rounding up political opposition all over the world.
[01:04:24.087 --> 01:04:43.568]  But then manned by a bunch of recently graduated scum out of these evil, anti-free speech, un-American cancers that masquerade as higher learning centers known as universities that are really just globalist porta-potties where they crap on us.
[01:04:45.072 --> 01:04:45.653]  Nightmares.
[01:04:46.514 --> 01:04:47.576]  Divorce from America.
[01:04:47.616 --> 01:04:48.797]  Divorce from common sense.
[01:04:49.058 --> 01:04:50.099]  Divorce from chivalry.
[01:04:50.400 --> 01:04:52.723]  Divorce from anything decent.
[01:04:53.324 --> 01:04:54.545]  They are the new authoritarians.
[01:04:54.585 --> 01:04:55.186]  They are the enemy.
[01:04:55.547 --> 01:04:56.208]  They are the threat.
[01:04:56.508 --> 01:04:57.590]  And they are our rulers.
[01:04:57.890 --> 01:04:59.032]  We must overthrow them.
[01:05:08.776 --> 01:05:11.679]  Announcing the greatest show on earth!
[01:05:12.039 --> 01:05:17.184]  Reparations, free healthcare, free college, free homes, free money forever!
[01:05:17.425 --> 01:05:18.265]  Yay!
[01:05:18.586 --> 01:05:20.788]  It's Cloud World 2019!
[01:05:21.068 --> 01:05:26.413]  The Democratic Party's two-night extravaganza debate!
[01:05:26.694 --> 01:05:28.415]  Let's meet the candidates!
[01:05:29.136 --> 01:05:29.917]  All-Star!
[01:05:30.057 --> 01:05:30.978]  Beto O'Rourke!
[01:05:31.699 --> 01:05:32.439]  Oh my gosh!
[01:05:32.519 --> 01:05:33.580]  Cory Booker!
[01:05:33.680 --> 01:05:35.162]  The Amazing!
[01:05:35.442 --> 01:05:35.622]  Oh!
[01:05:35.722 --> 01:05:37.063]  Pocahontas!
[01:05:37.644 --> 01:05:39.005]  Joe Biden!
[01:05:39.506 --> 01:05:40.627]  Swallow's Whale Sizzle!
[01:05:40.707 --> 01:05:41.688]  New Gun Owners!
[01:05:41.828 --> 01:05:42.288]  Yay!
[01:05:42.688 --> 01:05:44.350]  Bernie Sanders!
[01:05:44.450 --> 01:05:46.712]  Love the Soviet Union!
[01:05:46.732 --> 01:05:47.473]  Kamala Harris!
[01:05:47.493 --> 01:05:48.954]  And so many more!
[01:05:49.414 --> 01:05:50.756]  It's the greatest show on Earth!
[01:05:51.136 --> 01:05:54.879]  Head at fullwars.com forward slash show with live coverage next week!
[01:05:55.660 --> 01:06:07.208]  Wednesday and Thursday nights.
[01:06:07.528 --> 01:06:08.288]  Right now!
[01:06:08.929 --> 01:06:14.312]  I'm standing up against those that are destroying this country as we speak!
[01:06:14.792 --> 01:06:15.953]  And why am I fired up?
[01:06:16.153 --> 01:06:17.394]  Because this is war!
[01:06:17.734 --> 01:06:21.437]  Absolute, unabated, total war against our nation!
[01:06:22.822 --> 01:06:23.683]  We bring life.
[01:06:23.983 --> 01:06:24.823]  We bring death.
[01:06:25.123 --> 01:06:25.964]  We are men.
[01:06:26.044 --> 01:06:26.804]  We are women.
[01:06:26.984 --> 01:06:27.905]  We are the humans.
[01:06:28.125 --> 01:06:29.006]  We are the planet.
[01:06:29.226 --> 01:06:30.466]  We are God's creation.
[01:06:30.627 --> 01:06:31.587]  We are the future.
[01:06:31.607 --> 01:06:32.368]  Not you!
[01:06:33.068 --> 01:06:34.329]  Death!
[01:06:34.409 --> 01:06:35.069]  Death!
[01:06:35.329 --> 01:06:38.891]  Coming to you live from the front lines of the InfoWar.
[01:06:39.151 --> 01:06:40.432]  We don't fear death!
[01:06:40.952 --> 01:06:45.055]  Defending the Republic from enemies, foreign and domestic.
[01:06:46.348 --> 01:06:54.175]  Stand up in the info war and say, I don't know what's going to happen at the end of this, but you want to fight, you better believe you got one!
[01:07:14.460 --> 01:07:18.501]  InfoWars, the most banned network in the world.
[01:07:18.661 --> 01:07:20.922]  Death!
[01:07:21.182 --> 01:07:24.763]  Alright, here I go.
[01:07:24.963 --> 01:07:27.804]  Alright, here I go.
[01:07:29.864 --> 01:07:32.105]  Death!
[01:07:33.605 --> 01:07:34.886]  Good.
[01:07:34.946 --> 01:07:36.306]  Death destroys evil.
[01:07:37.206 --> 01:07:37.987]  And the good alike.
[01:07:38.667 --> 01:07:41.007]  Death is what evil fears.
[01:07:41.107 --> 01:07:42.988]  That's why it masquerades as if it is death.
[01:07:43.914 --> 01:07:44.354]  No.
[01:07:45.235 --> 01:07:47.337]  Death is the great equalizer.
[01:07:48.258 --> 01:07:52.362]  Both high and low, both good and bad, both free and bond.
[01:07:54.383 --> 01:07:55.845]  We see the Earth from here.
[01:07:58.227 --> 01:07:58.727]  You got it.
[01:08:00.429 --> 01:08:02.050]  We see what the globalists are doing.
[01:08:03.431 --> 01:08:04.132]  We don't like it.
[01:08:20.347 --> 01:08:21.648]  Let's go ahead and get right into it.
[01:08:21.668 --> 01:08:27.371]  I'm going to shift gears, open the phones up until the head of Project Veritas joins us next hour.
[01:08:30.512 --> 01:08:31.433]  25 minutes.
[01:08:31.453 --> 01:08:34.114]  I've only aired four minutes of it last hour and this hour.
[01:08:35.675 --> 01:08:47.582]  25 minutes of head Google executives snot noses out of college maybe five years, literally calling it fairness to make sure Trump loses in 2020.
[01:08:49.758 --> 01:08:53.119]  And saying, we don't care what Congress does, we're going to keep doing it.
[01:08:54.480 --> 01:08:55.801]  Well, guess what, you little criminals?
[01:08:56.061 --> 01:08:57.621]  You were founded in this country with U.S.
[01:08:57.661 --> 01:08:58.222]  government money.
[01:08:58.682 --> 01:09:01.703]  And your election meddling and your distraction with the Russians isn't going to work.
[01:09:02.483 --> 01:09:04.244]  So we'll see how this goes for you.
[01:09:05.224 --> 01:09:08.846]  And little birdies told me a lot more.
[01:09:09.086 --> 01:09:13.948]  Little, fat, juicy birdies told me a lot more is coming.
[01:09:17.614 --> 01:09:20.696]  So get ready for all of that to come out.
[01:09:21.537 --> 01:09:26.300]  And by the way, if you work at Google, if you work at Facebook or Twitter, you don't have to be Project Veritas.
[01:09:27.741 --> 01:09:33.406]  All you gotta do is go out with these executives and record them bragging about it and send it to Veritas.
[01:09:33.746 --> 01:09:34.366]  Send it to us.
[01:09:34.526 --> 01:09:35.367]  Veritas loves us.
[01:09:35.427 --> 01:09:37.909]  I tell folks a lot of times, send it to Veritas.
[01:09:38.509 --> 01:09:39.490]  They can take them out too.
[01:09:39.570 --> 01:09:40.831]  Send it to us, we'll put it out as well.
[01:09:41.492 --> 01:09:42.833]  And just blur it all out.
[01:09:43.933 --> 01:09:44.654]  But who cares?
[01:09:45.034 --> 01:09:45.815]  Get fired!
[01:09:47.611 --> 01:09:49.714]  Get in there over the next few months and then go public.
[01:09:50.555 --> 01:09:51.996]  They're engaged in criminal activity.
[01:09:52.016 --> 01:09:52.937]  You're not going to get in trouble.
[01:09:54.019 --> 01:09:58.664]  Blow their operations politically, peacefully, lovingly wide open.
[01:09:59.245 --> 01:10:03.290]  Senator Josh Hawley has introduced a bill to strip Google and others of Section 230.
[01:10:05.253 --> 01:10:11.236]  That's their immunity, where they claim, oh, we don't censor, we don't judge anything unless it's illegal.
[01:10:11.977 --> 01:10:20.301]  So they are given liability protection, something I don't have, something the Wall Street Journal doesn't have as publishers, but that they have.
[01:10:22.242 --> 01:10:23.003]  That they have.
[01:10:24.243 --> 01:10:25.884]  And then they engage in all this activity.
[01:10:25.904 --> 01:10:32.948]  We have all the years they've been caught, all the election meddling, all the admissions, all the perjury to Congress, Sundar Pichai.
[01:10:35.831 --> 01:10:36.932]  Here's the Senator.
[01:10:38.352 --> 01:10:43.955]  So you said a second ago that these companies are discriminated against, conservatives and libertarians, and of course it's true.
[01:10:44.755 --> 01:10:50.738]  Libertarians, however, would argue against what you're trying to do, and I think their argument would be, well if you don't like it, start your own Google.
[01:10:51.494 --> 01:10:56.079]  Right, and the problem with that is, is that when you have a monopoly, as Google really does, I mean, good luck with that.
[01:10:56.139 --> 01:11:01.965]  I mean, companies have tried to start up, Google buys them, Google suppresses them, engages in anti-competitive conduct.
[01:11:02.245 --> 01:11:05.148]  You know, some people say, oh, this is forced speech.
[01:11:05.228 --> 01:11:07.871]  My approach is forcing the companies to engage in speech.
[01:11:07.891 --> 01:11:08.731]  That's just nonsense.
[01:11:11.134 --> 01:11:17.401]  I don't want the companies to speak in any particular way.
[01:11:17.521 --> 01:11:18.483]  My point is just this.
[01:11:18.683 --> 01:11:21.566]  Stop discriminating against conservatives.
[01:11:21.666 --> 01:11:25.270]  Stop suppressing other viewpoints that you don't agree with.
[01:11:25.350 --> 01:11:26.512]  I mean it's just as simple as that.
[01:11:26.992 --> 01:11:38.406]  But unless I'm missing something, what your bill would do would just remove the special protections that they have that, for example, I do not enjoy as a broadcaster, Fox News as a news company, we don't enjoy.
[01:11:38.426 --> 01:11:39.047]  We can be sued.
[01:11:39.067 --> 01:11:41.850]  If we defame somebody, we commit fraud, we can be sued.
[01:11:41.870 --> 01:11:42.951]  We don't have this immunity.
[01:11:43.392 --> 01:11:45.895]  And all your bill would do is just put them into my category.
[01:11:46.175 --> 01:11:46.955]  That's exactly right.
[01:11:46.995 --> 01:11:48.316]  I mean, that's exactly right.
[01:11:48.336 --> 01:11:54.317]  I mean, to be clear, these big tech companies, Facebook and Google and YouTube and Twitter, they have a deal that nobody else has.
[01:11:54.437 --> 01:11:55.998]  No media company has this deal.
[01:11:56.378 --> 01:11:57.918]  No other publisher has this deal.
[01:11:58.338 --> 01:12:02.039]  They have this special carve-out, this special handout from government.
[01:12:02.539 --> 01:12:06.060]  And if they want to keep it, my view is they should quit discriminating.
[01:12:06.401 --> 01:12:10.542]  On the other hand, if they want to discriminate against conservatives, if they want to push a liberal agenda, that's fine.
[01:12:10.682 --> 01:12:15.243]  But you shouldn't get, they shouldn't get, these special deals that nobody else gets.
[01:12:16.391 --> 01:12:17.632]  Then they can live like the rest of us.
[01:12:18.012 --> 01:12:19.533]  Senator, God bless you for doing this.
[01:12:19.973 --> 01:12:26.877]  I'm so glad that you are, and I really look forward to finding out who opposes this, because it will tell us everything, I think.
[01:12:27.137 --> 01:12:27.978]  Senator, great to see you tonight.
[01:12:28.338 --> 01:12:28.998]  Thanks for having me.
[01:12:29.919 --> 01:12:31.240]  That's right, and so here's what's happening.
[01:12:31.420 --> 01:12:34.782]  The globalists and their allies, the CHICOMs, that's really what we're talking about here.
[01:12:35.222 --> 01:12:37.123]  Hollywood, the globalists, the CHICOMs, the EU.
[01:12:37.804 --> 01:12:38.264]  Parasites.
[01:12:40.086 --> 01:12:42.367]  They know that the comeuppance is here.
[01:12:42.447 --> 01:12:43.388]  They know Judgment Day's here.
[01:12:43.408 --> 01:12:44.368]  They know the world's waking up.
[01:12:44.789 --> 01:12:50.932]  So they're just racing to try to keep their people in office, to politically block it and bring in classical authoritarianism.
[01:12:51.952 --> 01:12:58.956]  Instead of getting caught lying, stopping, instead of being caught being bullies, backing off, they've gone, hey, let's just quadruple everything.
[01:13:00.297 --> 01:13:01.457]  Let's quintuple everything.
[01:13:03.638 --> 01:13:04.399]  It's worse than that.
[01:13:05.119 --> 01:13:06.880]  And so they're going for broke.
[01:13:06.920 --> 01:13:08.261]  So we're in a fight.
[01:13:09.608 --> 01:13:13.752]  And the good news is they've been so arrogant that we've got all the proof.
[01:13:15.073 --> 01:13:26.823]  And, again, Google doesn't list Congress people running for office, Republican videos, when they pay to air them on TV and they end up on YouTube.
[01:13:26.863 --> 01:13:27.544]  They delist them.
[01:13:27.564 --> 01:13:28.244]  They shadow ban them.
[01:13:28.324 --> 01:13:28.945]  That's all admitted.
[01:13:29.085 --> 01:13:29.805]  That's election meddling.
[01:13:30.186 --> 01:13:36.831]  They don't let people see a Republican that cuts an ad, pays for it on TV, has a YouTube channel, puts it up there,
[01:13:37.955 --> 01:13:40.056]  In some cases, they refuse to even run the ads.
[01:13:40.196 --> 01:13:41.657]  Very milquetoast ads.
[01:13:42.358 --> 01:13:48.261]  Well, there's hundreds of court cases on newspapers and TV stations refusing to run political ads.
[01:13:48.661 --> 01:13:51.283]  If they're taking the opposition's ad, they've got to take your ad.
[01:13:53.504 --> 01:13:55.225]  Or you'd have a monopoly of ideas.
[01:13:55.785 --> 01:13:58.127]  This is the opposite of government regulation.
[01:13:59.278 --> 01:14:03.079]  These are prohibitive regulations on regulations on discrimination.
[01:14:03.719 --> 01:14:07.580]  Because Google and Facebook and Twitter and all these groups are bigger than most countries.
[01:14:08.800 --> 01:14:14.001]  Google's GDP is almost as big as countries like Sweden.
[01:14:14.761 --> 01:14:16.362]  Apple's is as big as France.
[01:14:16.402 --> 01:14:16.762]  Look it up.
[01:14:17.182 --> 01:14:19.402]  It's insane, ladies and gentlemen.
[01:14:20.482 --> 01:14:20.883]  Look it up.
[01:14:21.063 --> 01:14:22.803]  It's out of control.
[01:14:24.031 --> 01:14:39.098]  And they are taking the regulations of China and the EU that are totally un-American and totally anti-free speech and by extension because Congress has enacted to protect American citizens and to protect the Internet that we built.
[01:14:39.358 --> 01:14:52.564]  You know, it'd be one thing if we hadn't built the damn thing and hadn't launched the thing and if our government didn't want dominance over the world with it as this big system and then now it's been handed away to the globalists.
[01:14:53.735 --> 01:14:58.198]  And then now it's going to be used to screw us when we built it and paid for the stinker?
[01:14:58.978 --> 01:14:59.139]  No.
[01:15:00.499 --> 01:15:06.063]  But see, we started using it for good.
[01:15:06.603 --> 01:15:07.944]  They thought we wouldn't use it for good.
[01:15:07.964 --> 01:15:12.247]  They thought we would adapt by submitting to being slaves and go away.
[01:15:12.767 --> 01:15:21.173]  They thought we'd just live our short little lives out and the post-human era would be here and the Silicon Gods, the AI gods that everybody warns about now that I first told you about 20 years ago.
[01:15:22.073 --> 01:15:23.313]  The globalists are in a weird cult.
[01:15:23.634 --> 01:15:25.094]  They're gonna merge the machines and be gods.
[01:15:25.794 --> 01:15:26.315]  Remember all that?
[01:15:29.016 --> 01:15:33.458]  And see, remember the executive telling me, the head of the big bank, you'll just adapt to being a slave?
[01:15:33.858 --> 01:15:35.398]  The public will never... No, guess what?
[01:15:35.859 --> 01:15:36.139]  Guess what?
[01:15:36.159 --> 01:15:37.599]  It doesn't work that way, jackass!
[01:15:37.919 --> 01:15:40.260]  You keep convincing yourself that's the way it works.
[01:15:40.560 --> 01:15:48.504]  It works that way for a while, and then there's a giant backlash, a blowback, and you're going to pay in royal flush spades.
[01:15:50.624 --> 01:15:51.805]  It's called a fighting spirit.
[01:15:53.837 --> 01:16:00.179]  You think I want to be one of these chicken neck Google scum or Apple scum that runs slave factories and live off that?
[01:16:00.239 --> 01:16:01.179]  You think I want to be you?
[01:16:01.199 --> 01:16:04.881]  This is CNN.
[01:16:10.443 --> 01:16:12.883]  So here's Lepto, but there's good news!
[01:16:14.384 --> 01:16:20.366]  I don't just come on air, willy-nilly, without something to offer you!
[01:16:21.838 --> 01:16:26.580]  Not only is Lefto the Clown here live for this segment, but I got good news!
[01:16:27.580 --> 01:16:33.802]  You see, ladies and gentlemen, Lefto the Clown has friends out there in the political community.
[01:16:34.222 --> 01:16:35.942]  A lot of them are in the government.
[01:16:36.263 --> 01:16:41.804]  And some of them want to be President of the United States!
[01:16:43.305 --> 01:16:44.025]  That's right!
[01:16:44.845 --> 01:16:49.787]  Some of Lefto's buddies are running for President of the United States!
[01:16:50.754 --> 01:16:55.139]  Now I know you're out there probably jumping for joy, but hold your horses!
[01:16:56.140 --> 01:16:59.543]  Because there's even more to be excited about!
[01:16:59.563 --> 01:17:09.954]  Not just that Lefto's friends are running for president, but that next week, they will be hosting a clown show!
[01:17:11.124 --> 01:17:12.225]  That's right, ladies and gentlemen!
[01:17:12.705 --> 01:17:17.609]  Next week, the Democrats are having their first presidential debates!
[01:17:18.730 --> 01:17:20.011]  And you know what that means!
[01:17:20.611 --> 01:17:22.613]  It's the Clown World Show!
[01:17:22.673 --> 01:17:24.574]  The greatest comedy show on Earth!
[01:17:25.015 --> 01:17:26.556]  The first Democrat debate!
[01:17:27.256 --> 01:17:39.466]  But ladies and gentlemen, we're so committed to your entertainment, we're so committed to you getting the full picture, we're so committed to the Clown World, we're gonna shake it up a bit!
[01:17:40.645 --> 01:17:55.791]  Not only do we have one night of presidential Democrat debates, we give you two nights of The Clown World, the greatest comedy show on Earth, and the best news is yet to come!
[01:17:57.012 --> 01:18:02.334]  It's all gonna be streamed live at InfoWars.com slash show!
[01:18:03.614 --> 01:18:05.415]  InfoWars.
[01:18:05.535 --> 01:18:09.877]  The most banned network in the world.
[01:18:10.493 --> 01:18:15.459]  InfoWars settles Pepe the Frog lawsuit, pays tiny settlement to creator Matt Fury.
[01:18:15.559 --> 01:18:17.181]  Mark, overall, what do you think of this decision?
[01:18:17.241 --> 01:18:17.802]  Mark Rendazzo.
[01:18:17.922 --> 01:18:27.954]  I mean, look, when they come at us first saying they want $1.2 million in attorney's fees, and then they wind up begging us for a pittance of a settlement.
[01:18:28.910 --> 01:18:30.872]  I think that's grounds for a victory lap.
[01:18:31.272 --> 01:18:34.554]  I mean, the amount that you wound up paying them for a licensing fee.
[01:18:34.614 --> 01:18:43.401]  I mean, when we were calculating what it would have cost for, you know, your first class flight to L.A., the kind of hotels that we like to stay in and the kind of meals we like to eat.
[01:18:43.721 --> 01:18:46.503]  I think our bar tab would have been more than that in L.A.
[01:18:46.523 --> 01:18:47.123]  just for the week.
[01:18:47.363 --> 01:18:55.009]  I just, I have a very big feeling of satisfaction when they put as many lawyers on the other side of the table as I have in my entire firm.
[01:18:56.550 --> 01:19:03.894]  And then they squeak out the door with a, you know, essentially it was like you flipped a coin to them and said, here, get out of my way, go buy yourself an ice cream.
[01:19:03.994 --> 01:19:12.319]  The thing you were saying earlier about how your viewers and your listeners helped out in order to help you win this free speech fight, I can't reiterate that enough.
[01:19:12.499 --> 01:19:19.023]  You know, when you have stood up on these cases, you're not standing up just for Alex Jones or InfoWars.
[01:19:19.283 --> 01:19:20.764]  You're standing up for everybody's rights.
[01:19:21.545 --> 01:19:27.533]  And, you know, now that this case is over, you know, you can kind of start reloading the guns, but there's gonna be more.
[01:19:27.613 --> 01:19:28.174]  You know that.
[01:19:28.334 --> 01:19:28.774]  Well said.
[01:19:33.143 --> 01:19:41.608]  A classic InfoWars fan favorite formula, Super Blue Fluoride Free Toothpaste is a must have for any info warrior serious about their oral health.
[01:19:41.708 --> 01:19:45.930]  Featuring natural oils and ingredients used since aboriginal and biblical times.
[01:19:46.091 --> 01:19:49.893]  Fueled by the good halogen iodine and high quality nano silver.
[01:19:50.133 --> 01:19:54.876]  We've taken the fluoride out and replaced it with powerful ingredients to help boost your smile.
[01:19:55.056 --> 01:19:57.077]  Don't miss out on one of our best products.
[01:19:57.257 --> 01:20:02.060]  Power up your morning routine with Super Blue Fluoride Free Toothpaste at the InfoWars store.
[01:20:06.849 --> 01:20:09.550]  You're listening to the Alex Jones Show.
[01:20:14.012 --> 01:20:16.653]  Google would love to have me arrested and killed.
[01:20:16.913 --> 01:20:17.994]  Guaranteed.
[01:20:22.228 --> 01:20:30.920]  I am here because there is a concerted effort by the Democratic Party and multinational corporations and big tech to silence conservative and nationalist and populist voices.
[01:20:31.080 --> 01:20:36.227]  Infowars founder Alex Jones is calling out alleged collusion between Google and Democrats.
[01:20:37.228 --> 01:20:46.232]  You know Google is helping China with Dragonfly, and you know that they're helping censor, and you know, you know that you've sold this country out, and you won't even help the Pentagon, you'll help the CHICOMS.
[01:20:46.592 --> 01:20:48.333]  You bet on the wrong country, Sundar!
