[00:00:00.089 --> 00:00:01.070]  GAMER CONDITIONING!
[00:36:34.978 --> 00:36:38.300]  I mean, seriously.
[00:36:38.300 --> 00:36:48.168]  You better have your firearms ready and secured, and you better have a plan of what you're going to do.
[00:36:48.168 --> 00:36:55.354]  And if you see the Antifa bust in your door, come in your house, you are under bodily harm threat and you have to defend yourself.
[00:36:56.616 --> 00:37:04.601]  So you better think about the type of ammunition you have, so the bullets don't go into your neighbor's house when they go through the antifa scum.
[00:37:04.601 --> 00:37:07.824]  So this is the real world, ladies and gentlemen.
[00:37:07.824 --> 00:37:10.785]  This is what's actually unfolding.
[00:37:10.785 --> 00:37:15.469]  And all the different killing of police, all the different stuff you saw under Obama,
[00:37:16.345 --> 00:37:23.488]  That was a prelude to try to get them to capitulate to globalist control of the federal government at that time under Obama's control.
[00:37:23.488 --> 00:37:31.851]  And Loretta Lynch had the Strong Cities Initiative to literally put the police of the country under UN control.
[00:37:31.851 --> 00:37:32.791]  That's mainstream nish.
[00:37:34.127 --> 00:37:35.748]  You can't make that up.
[00:37:35.748 --> 00:37:38.449]  This is Red Dawn-level garbage.
[00:37:38.449 --> 00:37:45.893]  Pipe-dreamed out of Bill Ayers and these people who planned this back in the 60s and 70s, and now they tried race war under Obama.
[00:37:45.893 --> 00:37:47.274]  It failed.
[00:37:47.274 --> 00:37:55.258]  And again, it came out in all the documents and all the statements and all the books and all the WikiLeaks that that was their plan.
[00:37:55.258 --> 00:37:56.518]  A bold, insane plan.
[00:37:56.518 --> 00:37:57.019]  And guess what?
[00:37:57.019 --> 00:37:57.719]  It's failed.
[00:37:57.719 --> 00:37:59.300]  And their coup against Trump has failed.
[00:38:00.475 --> 00:38:05.039]  But it doesn't mean that just because these rattlesnakes are down, they're out.
[00:38:05.039 --> 00:38:12.266]  They are more dangerous and more vicious and more wild-eyed than they've ever been.
[00:38:12.266 --> 00:38:15.770]  So you just heard the clip there that we were laying out.
[00:38:15.770 --> 00:38:17.411]  It's up on Infowars.com.
[00:38:17.411 --> 00:38:22.696]  Former CIA officer warns leftist violence is going to get very, very bad over the next two years.
[00:38:22.696 --> 00:38:23.958]  America is in a civil war.
[00:38:24.767 --> 00:38:29.311]  With the globalist ally of the communist Chinese, the EU, and Hollywood against the American people.
[00:38:29.311 --> 00:38:31.193]  That's the power players!
[00:38:31.193 --> 00:38:34.015]  And of course, that's the reality that we're facing.
[00:38:34.015 --> 00:38:35.176]  That was Kevin Schipp.
[00:38:35.176 --> 00:38:43.083]  We have joining us another counter-terrorism specialist, former with the CIA, Larry C. Johnson, next hour, getting into all of this.
[00:38:43.083 --> 00:38:48.007]  And he concurs and says the same thing, because this is what Antifa says they're doing.
[00:38:48.007 --> 00:38:52.231]  Now remember, we push to get Antifa listed as a terrorist organization.
[00:38:53.820 --> 00:38:56.302]  They threaten violence, they carry out violence for political aim.
[00:38:56.302 --> 00:38:57.743]  They are the definition of it.
[00:38:57.743 --> 00:38:59.464]  They're coordinated.
[00:38:59.464 --> 00:39:04.428]  They are just the kind of brown shirts or the SA of the wider evil.
[00:39:04.428 --> 00:39:12.534]  And Paul Joseph Watson has that article, FBI report, Antifa activists schemed with drug cartel associates to staged armed rebellion at U.S.
[00:39:12.534 --> 00:39:13.254]  border.
[00:39:13.254 --> 00:39:14.055]  Now think about that.
[00:39:14.055 --> 00:39:15.356]  That's a nationwide alert.
[00:39:15.996 --> 00:39:25.101]  By the FBI saying they've been surveilling Antifa leadership and they're planning to work with MS-13 and other cartels to even carry out violence against law enforcement.
[00:39:25.101 --> 00:39:33.685]  And what did I say a year ago in that same 35-minute video that scared Lester Holt and scared NBC and ABC and CBS and every channel?
[00:39:33.685 --> 00:39:39.368]  Said, Jones says kill the media, Jones says violence, Jones is dangerous, he's got to be taken off the air.
[00:39:39.368 --> 00:39:41.009]  Said no such thing.
[00:39:41.009 --> 00:39:44.411]  I said MS-13 is the auxiliary hitman
[00:39:45.191 --> 00:40:04.208]  For the Democratic Party, Antifa are the useful idiot cover story, and there's going to be other multinational forces, EU, German, sheep-dipped intelligence operatives, who are going to blow up federal buildings, just like last time, just like 95, who are going to carry out targeted assassinations.
[00:40:04.208 --> 00:40:06.410]  And people always go, what's this anti-German thing?
[00:40:06.410 --> 00:40:07.931]  It's not anti-German.
[00:40:07.931 --> 00:40:11.895]  The globalist forces at the end of World War II ended up taking over Germany.
[00:40:12.805 --> 00:40:15.027]  And setting up Hitler's plan for an EU.
[00:40:15.027 --> 00:40:20.814]  They used Germans because they were basically political slaves to build NASA and build the spy grids and do all of it.
[00:40:20.814 --> 00:40:24.418]  And so, just like we used the British to spy on Trump, that is the globalists too.
[00:40:25.626 --> 00:40:26.166]  The U.S.
[00:40:26.166 --> 00:40:28.729]  uses foreign governments to spy on their citizens.
[00:40:28.729 --> 00:40:31.050]  Our government then spies on the German citizens.
[00:40:31.050 --> 00:40:31.771]  That's how it works.
[00:40:31.771 --> 00:40:42.980]  And I'm just telling you from experience and studying it, that we're going to deal in this country, just like we did with the Jackal, who was obviously involved in the killing and assassination as well, with foreign hitmen in America.
[00:40:42.980 --> 00:40:45.663]  MS-13, EU intelligence operatives.
[00:40:46.897 --> 00:40:51.820]  Middle Eastern intelligence operatives, mercenaries, you name it.
[00:40:51.820 --> 00:40:59.045]  They have assembled an army and they are planning in one night, in the future, to try to decapitate the government.
[00:40:59.045 --> 00:41:02.807]  They will blow up the White House with concerted truck bomb attacks.
[00:41:02.807 --> 00:41:04.148]  They will blow up Congress.
[00:41:04.148 --> 00:41:05.969]  They will kill Republicans at retreats.
[00:41:05.969 --> 00:41:07.711]  They will blow up Republican trains.
[00:41:07.711 --> 00:41:09.872]  They will attack Republican baseball games.
[00:41:09.872 --> 00:41:12.293]  They will try to kill you and your family!
[00:41:12.293 --> 00:41:12.754]  Period!
[00:41:13.564 --> 00:41:15.385]  And everybody better get the red alert out.
[00:41:15.385 --> 00:41:18.267]  Well, guess what NBC and CNN?
[00:41:18.267 --> 00:41:20.889]  I broke it all first and I'm not proud of that.
[00:41:20.889 --> 00:41:22.730]  I'm saying it's why we're under attack.
[00:41:22.730 --> 00:41:27.233]  We put out the message, everybody knows it now, and we're not going to be caught flat-footed.
[00:41:27.233 --> 00:41:30.015]  So you go ahead and try to pull your crap.
[00:41:30.015 --> 00:41:33.157]  You go ahead and try to pull your internet kill switch under the president's nose.
[00:41:33.157 --> 00:41:36.980]  You go ahead because America isn't asleep, dumbasses.
[00:41:36.980 --> 00:41:41.623]  You thought you were going to carry this out with race riots directed by Hillary when she was put in office?
[00:41:41.623 --> 00:41:42.323]  Guess what?
[00:41:42.323 --> 00:41:43.364]  You're not in control.
[00:41:45.465 --> 00:41:55.890]  You are the authoritarians, you've been caught, you're allied with the Communist Chinese, and now the chickens are coming home to roost, and you're in a lot of trouble.
[00:41:55.890 --> 00:41:57.611]  So good luck.
[00:41:57.611 --> 00:41:59.272]  Go ahead and try it.
[00:41:59.272 --> 00:42:00.332]  Go ahead and try to pull it.
[00:42:00.332 --> 00:42:05.875]  You know, they just put up on screen, your TV viewer, you saw it, radio listeners, Hillary is Emperor Palpatine from Star Wars.
[00:42:05.875 --> 00:42:10.937]  She looks more evil in the real world without putting her in Palpatine's outfit.
[00:42:10.937 --> 00:42:12.078]  I think it makes her look lovable.
[00:42:13.373 --> 00:42:14.595]  Pull up real photos of Hillary.
[00:42:14.595 --> 00:42:16.197]  You want to see the face of evil.
[00:42:16.197 --> 00:42:17.899]  But it's her actions that are real evil.
[00:42:17.899 --> 00:42:22.365]  We're going to come back and get into Biden and the Chinese treason that's now breaking.
[00:42:24.428 --> 00:42:25.869]  But this is what we're facing.
[00:42:25.869 --> 00:42:28.150]  This is the real revolution for America.
[00:42:28.150 --> 00:42:29.691]  It doesn't mean Trump's perfect.
[00:42:29.691 --> 00:42:30.591]  Doesn't mean I'm perfect.
[00:42:30.591 --> 00:42:31.352]  Doesn't mean you're perfect.
[00:42:31.352 --> 00:42:33.173]  It means we're loyal Americans.
[00:42:33.173 --> 00:42:34.414]  We believe in America.
[00:42:34.414 --> 00:42:35.294]  We believe in freedom.
[00:42:35.294 --> 00:42:36.615]  We believe in free market.
[00:42:36.615 --> 00:42:41.017]  We believe in the right to self-defense and private property and the right of the unborn and the born.
[00:42:41.017 --> 00:42:42.578]  And we believe in fighting for it.
[00:42:42.578 --> 00:42:44.079]  And we're not backing down.
[00:42:44.079 --> 00:42:46.961]  And you people think harassing me and everything makes me back down?
[00:42:46.961 --> 00:42:48.802]  I'll quote John Paul Jones.
[00:42:49.742 --> 00:42:53.328]  When the British told him to give up when his ship was sinking, he said, Surrender?
[00:42:53.328 --> 00:42:54.730]  I've only begun to fight!
[00:42:54.730 --> 00:42:55.671]  And he won!
[00:42:55.671 --> 00:42:56.773]  And we're gonna win!
[00:42:56.773 --> 00:42:57.474]  You can feel it!
[00:42:59.326 --> 00:43:04.531]  Infowarsstore.com is how you support us, and it's not like we're selling stuff you don't need, you don't want.
[00:43:04.531 --> 00:43:13.098]  The air in the average American home is filled with toxins that put it on par with a major city.
[00:43:13.098 --> 00:43:16.080]  Some of the most polluted areas on earth are major cities.
[00:43:16.080 --> 00:43:17.822]  How can I solve that problem?
[00:43:17.822 --> 00:43:24.087]  So we have air filters at Infowarsstore.com, the Alexa Pure Breeze, which is right now $50 off.
[00:43:26.189 --> 00:43:31.512]  The Alexa Pure Breeze Groundbreaking Ion Cluster Air Filter Technology.
[00:43:31.512 --> 00:43:34.454]  And we've got a limited quantity of these left right now.
[00:43:34.454 --> 00:43:38.396]  We're basically selling these at cost because there was a big overhaul.
[00:43:38.396 --> 00:43:42.358]  Go ahead and read the hundreds of five-star reviews for yourself.
[00:43:42.358 --> 00:43:44.199]  I've got two in my home.
[00:43:44.199 --> 00:43:50.282]  You will notice the difference, ladies and gentlemen, with the Alexa Pure Breeze in your house.
[00:43:50.282 --> 00:43:51.143]  Don't live
[00:43:51.963 --> 00:43:56.028]  In a polluted major city in your home, have clean air.
[00:43:56.028 --> 00:43:57.289]  Go to InfoWarsStore.com.
[00:44:08.473 --> 00:44:10.974]  That's why you've been on the team supporting us, praying for us, and spreading the word.
[00:44:10.974 --> 00:44:12.194]  You are the InfoWar.
[00:44:12.194 --> 00:44:15.275]  And now because of their intensifying censorship, it's more important than ever
[00:44:29.620 --> 00:44:41.009]  Let everyone go to InfoWars.com forward slash newsletter and sign up via email so there's no way the censors can get between us with critical videos, articles, breaking news, intel, you name it.
[00:44:41.009 --> 00:44:48.995]  And so now I ask you more than ever to share the InfoWars.com articles, to share the videos, to tell people about the local stations you're listening to.
[00:44:48.995 --> 00:44:56.040]  The bare minimum you can do is sign up for the free newsletter at InfoWars.com forward slash newsletter.
[00:44:56.040 --> 00:44:58.782]  We are the Renaissance and we are winning!
[00:45:00.342 --> 00:45:02.303]  Frank in North Carolina, thanks for holding so long.
[00:45:02.303 --> 00:45:03.024]  Go ahead.
[00:45:03.024 --> 00:45:05.246]  Yeah, Alex, I just have to say something, man.
[00:45:05.246 --> 00:45:09.108]  It seems like every time I turn on your broadcast, you're bragging.
[00:45:09.108 --> 00:45:10.549]  It just gets old, man.
[00:45:10.549 --> 00:45:12.951]  I'm gonna shut you down right now, okay?
[00:45:12.951 --> 00:45:15.273]  We're taking calls about your nomination.
[00:45:15.273 --> 00:45:19.296]  Do you understand they're having congressional hearings trying to shut us down?
[00:45:19.296 --> 00:45:21.718]  Do you understand I'm ringing the alarm?
[00:45:22.578 --> 00:45:25.279]  If that was happening to anybody else, I'd be freaked out.
[00:45:25.279 --> 00:45:26.620]  I mean, what's it gonna take?
[00:45:26.620 --> 00:45:27.740]  Us being shut down?
[00:45:27.740 --> 00:45:29.221]  Is that what you want, Frank?
[00:45:29.221 --> 00:45:30.301]  You know what, Alex?
[00:45:30.301 --> 00:45:31.402]  Hey, put him on pause again.
[00:45:31.402 --> 00:45:32.502]  Hey, Frank!
[00:45:32.502 --> 00:45:38.164]  Do you understand it's not bragging to say, we are the tip of the spear, we're under attack, we need your help.
[00:45:38.164 --> 00:45:42.686]  As much bagging as I do, we can barely pay the bills and grow in the face of this.
[00:45:42.686 --> 00:45:45.807]  I'm not gonna just stop growth and let them start pushing us backwards.
[00:45:45.807 --> 00:45:46.268]  You understand?
[00:45:46.268 --> 00:45:47.928]  I need your help, Frank!
[00:45:47.928 --> 00:45:49.029]  I need your help, Frank!
[00:45:50.029 --> 00:45:55.612]  Go to Infowarsstore.com right now and help fund the InfoWars.
[00:45:55.612 --> 00:45:56.353]  Do you understand?
[00:45:56.353 --> 00:45:57.994]  I need your help, Frank!
[00:45:57.994 --> 00:45:59.455]  Free Press needs your help, Frank!
[00:46:09.500 --> 00:46:18.505]  By leaps and by bounds, the number one best-selling supplement family in the world is energy drinks and energy supplements.
[00:46:18.505 --> 00:46:28.591]  But they are riddled with dyes and toxins and synthetic caffeines and other chemicals that sure get you a quick boost, but burn out in just a few hours and have terrible side effects.
[00:46:28.591 --> 00:46:37.116]  We have developed, hands down from our research, the most powerful, healthy energy drink pre-workout and beyond system in the world.
[00:46:37.956 --> 00:46:39.297]  There's nothing else like it.
[00:46:39.297 --> 00:46:40.458]  You must experience it.
[00:46:40.458 --> 00:46:47.462]  It is a total game changer when it comes to easy to use packets to mix in with fruit juice or water, whatever you like.
[00:46:47.462 --> 00:46:48.983]  Warning though, it's very, very strong.
[00:46:48.983 --> 00:46:50.464]  It lasts 10 hours.
[00:46:50.464 --> 00:46:57.148]  So take a half pack the first time you take it because Turbo Force is named Turbo Force because it will take you into overdrive.
[00:46:57.148 --> 00:47:03.372]  Turbo Force at m4slife.com.
[00:47:03.372 --> 00:47:06.073]  You're listening to the Alex Jones Show.
[00:47:30.777 --> 00:47:44.640]  So, last year, about eight months ago, about a month after I've been banned off over 70 major platforms, Apple, Google,
[00:48:01.539 --> 00:48:11.987]  YouTube, Facebook, that is, they banned those pages I had.
[00:48:11.987 --> 00:48:19.773]  We came out and said, we've done an analysis of Antifub and what they're saying and what they're doing and they've linked up with MS-13.
[00:48:19.773 --> 00:48:27.800]  Nancy Pelosi, of course, was coming out saying that MS-13 was all God's children.
[00:48:29.443 --> 00:48:46.297]  And I said, listen, it's standard operating procedure of intelligence agencies when they're overthrowing a government to use criminal networks inside the country that they've made contact with and recruited with the promise of sharing power once they get into control.
[00:48:46.297 --> 00:48:52.522]  So I'd love to say that I broke all this just because I have a crystal ball in my back room.
[00:48:52.522 --> 00:48:54.063]  Truth is, I actually worked my ass off.
[00:48:54.912 --> 00:49:20.688]  And I do a lot of research, and when I went on air and said they're planning a violent overthrow of the president, and they're going to use MS-13 as the mercenaries and Antifa as decoys, it's because I had 30-something pages of Alexander Soros' command book from 2015 when they tried to cause martial law, and working with Blue City Police, were staging attacks that the police allowed to happen,
[00:49:21.684 --> 00:49:25.045]  So that blacks would engage in race rioting.
[00:49:25.045 --> 00:49:32.128]  But the racist leftist Soros people were unable to trick blacks into doing it.
[00:49:32.128 --> 00:49:32.528]  There it is.
[00:49:32.528 --> 00:49:39.491]  Documents that tell plan for civil unrest and martial law in Baltimore that would then spread nationwide.
[00:49:39.491 --> 00:49:41.812]  But the globalists are still planning this.
[00:49:41.812 --> 00:49:47.774]  And now, the mega super incredible bombshell, with almost no fanfare,
[00:49:48.973 --> 00:49:56.101]  The FBI has come out six months ago and said that Antifa groups are listed as terror groups.
[00:49:56.101 --> 00:49:58.784]  They are listed on the terror watch list.
[00:49:58.784 --> 00:50:00.826]  Because that's what they espouse as their doctrine.
[00:50:00.826 --> 00:50:03.249]  Anti-free speech and offensive violence.
[00:50:03.249 --> 00:50:05.672]  That's the definition of bad guys.
[00:50:05.672 --> 00:50:07.354]  They wear masks.
[00:50:07.354 --> 00:50:07.994]  So there you go.
[00:50:09.147 --> 00:50:12.528]  Well now, ladies and gentlemen, the FBI's put out a nationwide alert.
[00:50:12.528 --> 00:50:13.608]  It's gotten almost no attention.
[00:50:13.608 --> 00:50:14.909]  It's on Infowars.com.
[00:50:14.909 --> 00:50:26.912]  Went up last night, we should repost this, to the San Diego Union Tribune, that Antifa is plotting, they've been in the meetings, physical attacks on military and police to open the border.
[00:50:26.912 --> 00:50:29.613]  That's the definition of sedition.
[00:50:29.613 --> 00:50:32.354]  The definition of insurrection.
[00:50:32.354 --> 00:50:36.935]  It's not saying I'll fight back if you try to forcibly inoculate me, or I'll, you know, this or that.
[00:50:38.277 --> 00:50:41.979]  That's, that's, we're going to stop the country from existing.
[00:50:41.979 --> 00:50:45.982]  We're going to open its borders up.
[00:50:45.982 --> 00:50:56.628]  And Acosta and all these people, AOC, they all run around and say we shouldn't have any borders at all.
[00:50:56.628 --> 00:50:59.250]  This is the plan.
[00:50:59.250 --> 00:51:04.293]  And it's just sensational that it's actually unfolding, but you learn what really upsets them.
[00:51:05.270 --> 00:51:18.838]  When I laid out that 35 minute video, emergency message to the President, that MS-13 was openly working with Antifa and they were planning to target conservative leadership, nationalist leadership, loyal leadership, patriot leadership, American leadership.
[00:51:20.385 --> 00:51:24.307]  It freaked the hell out of me because they keep saying, how does he know this?
[00:51:24.307 --> 00:51:25.388]  It's called research.
[00:51:25.388 --> 00:51:28.229]  I don't get handed talking points like you left us to.
[00:51:28.229 --> 00:51:35.633]  Everybody asks, how did I show up and bullhorn the White House about Jack Dorsey censorship right when he was having a secret meeting with Trump?
[00:51:35.633 --> 00:51:37.694]  It's called the force being with you.
[00:51:37.694 --> 00:51:39.315]  Nobody told me to be there.
[00:51:39.315 --> 00:51:42.757]  I said, we must go to Washington.
[00:51:42.757 --> 00:51:44.678]  I must bullhorn the White House.
[00:51:44.678 --> 00:51:45.558]  I've never done it.
[00:51:45.558 --> 00:51:46.819]  We must bring up censorship.
[00:51:48.086 --> 00:51:50.867]  And it's just so, that's the way God works, folks.
[00:51:50.867 --> 00:51:59.151]  And the left doesn't understand God because they want to be God, ladies and gentlemen, instead of wanting to know God.
[00:51:59.151 --> 00:52:02.952]  You want to know God, not be God.
[00:52:02.952 --> 00:52:05.773]  The more you know God, the more pathetic you know you are.
[00:52:05.773 --> 00:52:08.414]  But again, all these little narcissistic know-it-alls.
[00:52:08.414 --> 00:52:12.216]  The only reason I point out how right we are is because that's why they fear us!
[00:52:12.216 --> 00:52:14.617]  They think I'm inside their head, because I am.
[00:52:16.007 --> 00:52:24.575]  And many of you are inside their head as well, because you know they're criminals, you know their past behavior, and past behavior is the most indicative of future behavior, isn't it?
[00:52:24.575 --> 00:52:26.797]  Everybody knows that.
[00:52:26.797 --> 00:52:29.260]  Leopards don't change their spots.
[00:52:29.260 --> 00:52:38.048]  You know the old parable, the old African parable, of the scorpion and the frog, and the frog's nice and friendly, and the scorpion says, we carry me across the river.
[00:52:39.397 --> 00:52:40.637]  And the frog says, no, you're mean.
[00:52:40.637 --> 00:52:41.157]  You'll sting me.
[00:52:41.157 --> 00:52:41.598]  You'll kill me.
[00:52:41.598 --> 00:52:42.818]  And he goes, no, I promise.
[00:52:42.818 --> 00:52:43.238]  I promise.
[00:52:43.238 --> 00:52:44.498]  Just be my friend.
[00:52:44.498 --> 00:52:45.098]  He says, OK.
[00:52:45.098 --> 00:52:46.219]  And he gives him a ride across.
[00:52:46.219 --> 00:52:47.419]  And they get to the other side.
[00:52:47.419 --> 00:52:50.540]  And the scorpion goes, boom!
[00:52:50.540 --> 00:52:52.420]  And the frog goes, that hurt really bad.
[00:52:52.420 --> 00:52:53.521]  I'm dying.
[00:52:53.521 --> 00:52:54.181]  What?
[00:52:54.181 --> 00:52:54.981]  I'm nice to you.
[00:52:54.981 --> 00:52:58.422]  I said, you dumb ass frog, I'm a scorpion.
[00:53:07.313 --> 00:53:12.854]  I mean, these people are the worst of the worst, picked by the globalists to sell the nation out.
[00:53:12.854 --> 00:53:21.516]  And then they've got the nerve to point at those of us who they call romantic, they call boobs, they call stupid, because we believe in something.
[00:53:21.516 --> 00:53:24.036]  Yeah, it's called our children.
[00:53:24.036 --> 00:53:25.796]  You don't think we couldn't be evil like you?
[00:53:25.796 --> 00:53:29.377]  We're smart enough to know where that leads, dumb ass.
[00:53:29.377 --> 00:53:30.997]  We like having a floor to things.
[00:53:30.997 --> 00:53:32.197]  We like having a bottom.
[00:53:32.197 --> 00:53:33.318]  We like having chivalry.
[00:53:33.318 --> 00:53:35.198]  We like, leave the women and children out of war.
[00:53:36.271 --> 00:53:41.154]  You know, this stuff got developed out of thousands of years of barbarism and death and hitting bottom.
[00:53:41.154 --> 00:53:44.535]  And once you hit bottom, you want to go towards the light, not towards the dark.
[00:53:44.535 --> 00:53:46.376]  You haven't hit the bottom yet, Democrats.
[00:53:46.376 --> 00:53:49.098]  You will!
[00:53:49.098 --> 00:53:52.560]  Because once you make your next move, we're going to help you, like Christ said.
[00:53:52.560 --> 00:53:56.161]  We're going to tie a big millstone around your neck and throw your ass in the deepest abyss.
[00:53:57.372 --> 00:53:58.993]  Because that's where you go.
[00:53:58.993 --> 00:54:00.754]  That's where trash goes.
[00:54:00.754 --> 00:54:01.634]  I don't take any pleasure.
[00:54:01.634 --> 00:54:05.816]  It's like stepping in dog crap and having to clean it off your shoes.
[00:54:05.816 --> 00:54:09.278]  Now, I already mentioned it, but I'm going to get deep into the report of Biden caught working with the shycoms.
[00:54:09.278 --> 00:54:10.199]  This is real.
[00:54:10.199 --> 00:54:10.939]  This is bonafide.
[00:54:10.939 --> 00:54:12.600]  This is billions to his sons.
[00:54:12.600 --> 00:54:13.981]  This is state-run stuff.
[00:54:13.981 --> 00:54:17.042]  This is him making decisions as vice president to screw over U.S.
[00:54:17.042 --> 00:54:17.482]  companies.
[00:54:17.482 --> 00:54:19.223]  This is quid pro quo.
[00:54:19.223 --> 00:54:21.444]  This is open and shut, hand in the cookie jar.
[00:54:21.444 --> 00:54:22.865]  This is it.
[00:54:22.865 --> 00:54:26.387]  This makes, you know, the lacosa nostra look like little angel cakes.
[00:54:29.366 --> 00:54:32.827]  That's all coming up, but let me tell you about something really important here.
[00:54:32.827 --> 00:54:34.908]  We have the biggest special ever.
[00:54:34.908 --> 00:54:37.128]  It is the biggest special ever.
[00:54:37.128 --> 00:54:48.631]  On Survival Shield X2 that we didn't think we could get anymore, but we canceled the contract because they kept jacking up prices on the 12,000, 7 to 12,000 foot deep, pure iodine that nobody else has, that has all these incredible effects.
[00:54:48.631 --> 00:54:50.412]  Just experience it for yourself.
[00:54:50.412 --> 00:54:52.552]  There's nothing else like it other than maybe fish oil.
[00:54:52.552 --> 00:54:53.653]  It all synergistically goes together.
[00:54:55.558 --> 00:54:57.300]  Any red-blooded human really needs this.
[00:54:57.300 --> 00:54:58.381]  We were able to get it again.
[00:54:58.381 --> 00:55:01.363]  And by the way, it's our overall most profitable item.
[00:55:01.363 --> 00:55:09.350]  You know, we sell more knockout sleep than anything else, but that's so low-priced that it doesn't really fund our operation.
[00:55:09.350 --> 00:55:10.691]  But X2 does.
[00:55:10.691 --> 00:55:12.493]  It's got a decent markup on it.
[00:55:12.493 --> 00:55:21.301]  But it's 25% off right now and a free bottle of X3 that has the Deep Earth Crystal source in it as well that we got from another source before I
[00:55:22.657 --> 00:55:24.800]  Got the other guys to back down and put me over a barrel.
[00:55:24.800 --> 00:55:28.345]  And I talked to scientists and they said, why don't you add the other two types of iodine?
[00:55:28.345 --> 00:55:32.992]  So that's all three for tri-iodine, because some people can't absorb pure iodine.
[00:55:32.992 --> 00:55:35.395]  Most people can't absorb iodine that isn't pure.
[00:55:35.395 --> 00:55:36.096]  That's the big secret.
[00:55:36.096 --> 00:55:37.098]  Most of it's bound in the ground.
[00:55:38.365 --> 00:55:40.966]  Or bound to other things in the environment, so you don't absorb it.
[00:55:40.966 --> 00:55:44.227]  So, a survival shield X3 is weaker.
[00:55:44.227 --> 00:55:57.052]  There was a big debate in the scientific community that we talked to, literal scientists, that even though they can say that it's seen as grass certified, or FDA says it's okay to have X2 as strong as it is, that maybe we should put out a weaker brand.
[00:55:57.052 --> 00:55:58.953]  And people looked at it and said, well, why is X3 weaker?
[00:55:58.953 --> 00:56:01.314]  Well, for kids.
[00:56:01.314 --> 00:56:05.916]  You want to be really careful with iodine, because this is such a missing link, ladies and gentlemen.
[00:56:07.056 --> 00:56:09.118]  This is so important.
[00:56:09.118 --> 00:56:14.943]  It's the good halogen that with low iodine, IQs are 15 points lower on average.
[00:56:14.943 --> 00:56:17.525]  Just type in iodine and IQ studies.
[00:56:17.525 --> 00:56:19.506]  You'll get Harvard studies.
[00:56:19.506 --> 00:56:21.227]  You'll get University of Texas studies.
[00:56:21.227 --> 00:56:23.609]  You'll get studies back from the 30s and 40s and 50s.
[00:56:23.609 --> 00:56:27.592]  For a while, the government put it in the salt.
[00:56:28.652 --> 00:56:34.174]  Because people's IQs were just going straight down the tubes.
[00:56:34.174 --> 00:56:35.834]  And there was Goyder and all these problems.
[00:56:35.834 --> 00:56:40.496]  They put a little bit of a cruddy, low-quality iodine in, and boom, IQs dropped 15 points.
[00:56:40.496 --> 00:56:44.137]  The big swollen thyroid problems, you know, went bye-bye.
[00:56:44.137 --> 00:56:50.039]  And no one will tell you then why there's all these issues now, because we're iodine-starved, ladies and gentlemen.
[00:56:50.888 --> 00:56:54.251]  We're iodine starved right now.
[00:56:54.251 --> 00:56:56.132]  And I'm telling you, I'm the same way.
[00:56:56.132 --> 00:56:57.594]  I'm not a big supplement guy.
[00:56:57.594 --> 00:57:00.316]  I know how good they are, but I'll forget to take this for a month.
[00:57:00.316 --> 00:57:01.857]  And I'm like, wait, I feel bad.
[00:57:01.857 --> 00:57:02.378]  I feel sluggish.
[00:57:02.378 --> 00:57:03.419]  I'm gaining weight.
[00:57:03.419 --> 00:57:05.701]  I religiously went back on iodine three weeks ago.
[00:57:05.701 --> 00:57:08.183]  I'm doing the same little workouts I do every week.
[00:57:08.783 --> 00:57:15.309]  I've lost five pounds working out, probably less, because I've been doing a lot of on-the-road stuff.
[00:57:15.309 --> 00:57:18.812]  I've lost five pounds working out less, actually.
[00:57:18.812 --> 00:57:20.373]  That's just one of the effects I've had.
[00:57:20.373 --> 00:57:24.877]  You've got to go read the reviews at InfoWarstore.com from third parties.
[00:57:24.877 --> 00:57:26.018]  I didn't have time to get to them.
[00:57:26.018 --> 00:57:30.201]  But you get a free bottle of X3 with a discounted X2.
[00:57:30.201 --> 00:57:32.784]  This is something everyone should get.
[00:57:32.784 --> 00:57:35.106]  If you've never done this, let me tell you something.
[00:57:35.879 --> 00:57:38.344]  Takes a few weeks for you to feel it.
[00:57:38.344 --> 00:57:41.069]  And a lot of times people detox from all that crap for a week.
[00:57:41.069 --> 00:57:42.431]  I'm just telling you, consult your physician.
[00:57:42.431 --> 00:57:43.554]  This is the real deal.
[00:57:43.554 --> 00:57:45.056]  Get X2 25% off.
[00:57:45.056 --> 00:57:48.302]  Get a free model X3 at m4warshtore.com for a limited time.
[00:57:50.205 --> 00:57:57.529]  I want to salute and commend every man, woman, and child that has supported this broadcast over the years and that has stood with us.
[00:57:57.529 --> 00:58:00.631]  And I want to thank all of our sponsors and all of our affiliates.
[00:58:00.631 --> 00:58:02.252]  But I'll tell you like it is.
[00:58:02.252 --> 00:58:04.953]  You've seen the unmitigated attack we've been under.
[00:58:04.953 --> 00:58:06.434]  You're our only sponsors.
[00:58:06.434 --> 00:58:12.918]  And when you don't buy the products that are absolutely the best out there, we aren't able to continue on.
[00:58:12.918 --> 00:58:15.419]  So remember, you are the info war.
[00:58:15.419 --> 00:58:17.220]  I'm not the leader, you are the leader.
[00:58:17.220 --> 00:58:18.801]  When you take action, nothing stops you.
[00:58:19.181 --> 00:58:24.605]  We've got giant specials running right now at InfoWarsStore.com that are unprecedented.
[00:58:24.605 --> 00:58:32.330]  And if you go there and buy great products that you already need from across the board, it funds the second American Revolution worldwide.
