[00:00:00.345 --> 00:00:01.546]  Sue him!
[00:58:46.302 --> 00:58:47.344]  Imagine me and me, man.
[00:58:47.344 --> 00:58:47.985]  They're gonna come.
[00:58:47.985 --> 00:58:49.608]  Listen, I'm a major target.
[00:58:51.269 --> 00:59:01.374]  Most of the InfoWars radio listening audience is aware of the high-quality, affordable firearms available that are made right here in America at htfirearms.com.
[00:59:01.374 --> 00:59:07.516]  One of the most exciting things about htfirearms.com is the ability to upgrade your AR-15 platform today.
[00:59:07.516 --> 00:59:09.837]  They call it their low-profile platform.
[00:59:09.837 --> 00:59:13.119]  PVX muzzle brakes, proven to help control muzzle rise.
[00:59:14.420 --> 00:59:17.202]  6061 billet material with type 3 hard coating.
[00:59:17.202 --> 00:59:20.825]  Bolt carrier group for .308 and .556 ARs.
[00:59:20.825 --> 00:59:22.386]  Custom Kydex holsters.
[00:59:22.386 --> 00:59:27.250]  Ideal for concealed carry with .080 thick Kydex to ensure durability.
[00:59:27.250 --> 00:59:29.753]  Most competitors' material use .060.
[00:59:29.753 --> 00:59:33.155]  Configure yours today at hdfirearms.com.
[00:59:33.155 --> 00:59:35.197]  And my favorite, single stage trigger.
[00:59:35.197 --> 00:59:38.600]  A home run upgrade for your AR-15 and AR-10 platforms.
[00:59:38.820 --> 00:59:42.202]  Find out more at HDFirearms.com today or call 770-485-7015.
[00:59:42.202 --> 00:59:44.504]  That's HDFirearms.com or call 770-485-7015.
[00:59:44.504 --> 00:59:46.725]  You're listening to the Alex Jones Show!
[01:00:06.681 --> 01:00:08.122]  All right, Alex Jones here live.
[01:00:08.122 --> 01:00:09.864]  Let's fade this down.
[01:00:09.864 --> 01:00:15.028]  During the break, security started coming over to Joe Biggs and the crew, the camera person.
[01:00:15.028 --> 01:00:18.191]  Did Matt or Josh go with him today?
[01:00:18.191 --> 01:00:19.392]  Oh, Michael's down there.
[01:00:19.392 --> 01:00:20.132]  Great.
[01:00:20.132 --> 01:00:22.054]  And our new camera guy doing a great job.
[01:00:22.054 --> 01:00:22.935]  And so they're now circling.
[01:00:22.935 --> 01:00:25.477]  They're inside the Hillary event at one of the city community centers.
[01:00:25.477 --> 01:00:26.197]  He got a pass.
[01:00:26.197 --> 01:00:27.579]  They let him in.
[01:00:27.579 --> 01:00:32.863]  Will they throw him out now because he doesn't agree with her Lord and Savior and might actually do some real coverage?
[01:00:32.863 --> 01:00:33.904]  Joe Biggs, what's happening?
[01:00:34.986 --> 01:00:36.447]  So, there's different guys.
[01:00:36.447 --> 01:00:39.229]  Every time I turn around, there's a different cop hiding behind a bush.
[01:00:39.229 --> 01:00:41.190]  Everybody is staring at me.
[01:00:41.190 --> 01:00:46.773]  The Secret Service keeps, they keep walking around and you'll see them peek around to see what I'm doing.
[01:00:46.773 --> 01:00:49.295]  You know, they know exactly who I am.
[01:00:49.295 --> 01:00:51.276]  And it's going to be interesting to see what happens.
[01:00:51.276 --> 01:00:57.800]  I think they're all just kind of like trying to get a perimeter around me to see what kind of hijinks I'm going to pull, which obviously I am because, I mean, that's what I do.
[01:00:58.854 --> 01:01:00.455]  But nothing illegal.
[01:01:00.455 --> 01:01:02.076]  I mean, you're just there to cover it.
[01:01:02.076 --> 01:01:06.538]  And you're there so they can try to arrest you and look like tyrants they are.
[01:01:06.538 --> 01:01:09.439]  The guy at the front gate obviously doesn't know how to do his job.
[01:01:09.439 --> 01:01:10.540]  That's his own fault.
[01:01:10.540 --> 01:01:13.281]  So if anybody's to blame, it'll be that guy.
[01:01:13.281 --> 01:01:14.562]  I'm not on the list.
[01:01:14.562 --> 01:01:16.643]  Well, no, I mean, the guy's not being a tyrant, Joe.
[01:01:16.643 --> 01:01:18.864]  I mean, they let you in.
[01:01:18.864 --> 01:01:28.349]  Yeah, and I even got this completely horrible Hillary Clinton Stalin t-shirt with my credentialed Hillary Clinton pass that
[01:01:29.798 --> 01:01:32.400]  And I have some posters and some goodies for us to bring back.
[01:01:32.400 --> 01:01:36.642]  Don't you love how Obama and her always copy communist iconography?
[01:01:36.642 --> 01:01:38.083]  I mean, it's so in our face.
[01:01:38.083 --> 01:01:39.844]  Hey, listen, look, come here, get another shot of this.
[01:01:39.844 --> 01:01:41.625]  I mean, this is just out of control.
[01:01:41.625 --> 01:01:43.126]  You got to get this picture.
[01:01:43.126 --> 01:01:45.107]  Oh, we've been showing it.
[01:01:45.107 --> 01:01:52.072]  It's just reminds me of watching like an old war movie when they're overseas.
[01:01:52.072 --> 01:01:54.073]  It's just, I can't believe it.
[01:01:54.073 --> 01:01:57.215]  Can you believe they say that they're going to have a war with the Patriots?
[01:01:57.215 --> 01:01:58.276]  They're really going to do it, Joe.
[01:01:59.110 --> 01:02:01.534]  I mean, and they'll sit back in D.C.
[01:02:01.534 --> 01:02:06.803]  and in London and in New York, you know, in places while all this goes on.
[01:02:06.803 --> 01:02:11.111]  I mean, do you really think the military and the police are going to follow these orders and buy into the stuff they're going to pull?
[01:02:12.202 --> 01:02:20.544]  I'm sure there's always going to be a few redcoats or a few turncoats who are going to, you know, just follow orders and, you know, be bootlickers and do what they have to do.
[01:02:20.544 --> 01:02:29.066]  But I would have to say, you know, 90%, 95%, probably even more than that, are going to, you know, look at this guy, look at that order whenever it comes down and go, you know what, screw you.
[01:02:29.066 --> 01:02:29.867]  I'm going over here.
[01:02:29.867 --> 01:02:31.307]  I'm staying with my people.
[01:02:32.000 --> 01:02:33.081]  I'm not going to follow those orders.
[01:02:33.081 --> 01:02:40.384]  I mean, we keep seeing sheriff after sheriff across the country stand up and come out and publicly state, make a YouTube video, or have a statement.
[01:02:40.384 --> 01:02:41.505]  That's right, and that's the answer.
[01:02:41.505 --> 01:02:46.228]  You enemies, you usurpers, you scum can't get us all.
[01:02:46.228 --> 01:02:46.768]  That's the key.
[01:02:47.608 --> 01:02:53.072]  Yeah, everyone's starting to speak out, you know, and it's good when you have these sheriffs coming out and saying, hey, I'm going to follow the Constitution.
[01:02:53.072 --> 01:02:56.054]  If you give me an unlawful order, I will not follow it.
[01:02:56.054 --> 01:02:56.835]  I will not go out.
[01:02:56.835 --> 01:02:57.996]  I will not take people's guns.
[01:02:57.996 --> 01:03:01.819]  I will not force people to do, you know, something that's against the Constitution.
[01:03:01.819 --> 01:03:02.479]  And that's great.
[01:03:02.479 --> 01:03:07.103]  It's great that these sheriffs are coming out, like the ones in Houston, the ones all across, like,
[01:03:07.543 --> 01:03:11.908]  And they're going to try to demoralize us and tell us we're losing if the Civil War kicks off.
[01:03:11.908 --> 01:03:13.349]  We're not losing, we're winning.
[01:03:13.349 --> 01:03:14.491]  Always remember that.
[01:03:14.491 --> 01:03:19.376]  As long as you're fighting back in the info war and defending yourself if you have to, you're winning.
[01:03:19.376 --> 01:03:21.819]  Resistance is victory, Joe, isn't it?
[01:03:21.819 --> 01:03:26.964]  Well look at this though, I want to show it really quick.
[01:03:26.964 --> 01:03:29.106]  There you go, that's right, the Hillary for prison shirt.
[01:03:30.037 --> 01:03:31.519]  That's exactly where she needs to go.
[01:03:31.519 --> 01:03:34.562]  These people, we need a Nuremberg trial in this country.
[01:03:34.562 --> 01:03:37.685]  Joe, what's the schedule down there?
[01:03:37.685 --> 01:03:44.052]  Right now, she is at an event at the Hispanic Chamber of Commerce right now.
[01:03:44.052 --> 01:03:46.214]  And that's like, it seemed to be a private event.
[01:03:46.214 --> 01:03:47.636]  This is the public event here.
[01:03:47.636 --> 01:03:49.237]  So everybody's been lining up.
[01:03:49.237 --> 01:03:51.039]  We pulled up into San Antonio.
[01:03:51.039 --> 01:03:51.720]  There were literally
[01:03:52.179 --> 01:03:55.642]  Probably 400 people wrapped around the road waiting to come in here.
[01:03:55.642 --> 01:03:57.024]  And this place is starting to pack in.
[01:03:57.024 --> 01:03:59.206]  They've got the front packed in here.
[01:03:59.206 --> 01:04:04.291]  The people on the stage, it looks like a lot of Hispanic women who are up on the stage out there.
[01:04:04.291 --> 01:04:07.354]  And they keep doing these little Hillary chants back and forth from time to time.
[01:04:07.354 --> 01:04:09.436]  And then they have free water.
[01:04:09.436 --> 01:04:14.101]  And they took the water and they took the labels off and they put Hillary Clinton labels on the water.
[01:04:15.165 --> 01:04:16.386]  And they're giving that out for free.
[01:04:16.386 --> 01:04:18.747]  Well they have the kids pray in Venezuela.
[01:04:18.747 --> 01:04:21.589]  I used to hear this when it was on the news.
[01:04:21.589 --> 01:04:29.195]  They have the kids pray in kindergarten, first grade for milk from Jesus and cereal and it isn't there.
[01:04:29.195 --> 01:04:33.758]  And then they say pray to Hugo Chavez when he was alive and now after he's dead and then they give him the milk.
[01:04:34.338 --> 01:04:38.540]  And then if they really pray hard, they give them a little sugar tube.
[01:04:38.540 --> 01:04:40.081]  It's just Pavlovian brainwashing.
[01:04:40.081 --> 01:04:44.703]  Joe, we're going to keep monitoring what you're doing while Paul Craig Roberts is on with us.
[01:04:44.703 --> 01:04:47.464]  So stay connected, walk around, cover whatever you want.
[01:04:47.464 --> 01:04:52.666]  And then if you give us a mayday signal, if they're jumping on you, we'll go right back to you.
[01:04:52.666 --> 01:04:54.907]  Joe Biggs reporting from San Antonio.
[01:04:54.907 --> 01:04:56.828]  He'll be popping in throughout the hours.
[01:04:56.828 --> 01:05:00.030]  We're going to play these clips coming up in the next hour.
[01:05:01.812 --> 01:05:11.174]  In yet another land grab, the BLM, the Bureau of Land Management, is ignoring the real estate title given by the state of Texas 74 years ago to a farmer.
[01:05:11.174 --> 01:05:21.556]  Now the same bureaucracy that has ignored property rights for ranchers like Cliven Bundy in Nevada, ignored property rights for miners in Oregon and elsewhere, is coming after the property of a Texas farmer.
[01:05:21.556 --> 01:05:25.677]  The BLM has decided they will move the boundary, take half his land and his house.
[01:05:26.397 --> 01:05:29.119]  Congress has allowed bureaucracies to grow unchecked.
[01:05:29.119 --> 01:05:38.965]  Because Congress doesn't like to pass laws, they have abdicated their constitutional duty to bureaucracies, who not only write the law, but often act as their own police force and run their own court.
[01:05:38.965 --> 01:05:42.408]  No one in either party in Washington wants to change it.
[01:05:42.408 --> 01:05:54.996]  These bureaucracies will destroy every last remnant of your God-given, constitutionally protected rights, including your property rights, unless they are stopped by you, by the people, at the state and the local level.
[01:05:56.553 --> 01:05:58.915]  For more information, go to InfoWars.com.
[01:05:58.915 --> 01:06:01.056]  I'm David Knight.
[01:06:01.056 --> 01:06:11.163]  Most of the InfoWars radio listening audience is aware of the high-quality, affordable firearms available that are made right here in America at htfirearms.com.
[01:06:11.163 --> 01:06:17.287]  One of the most exciting things about htfirearms.com is the ability to upgrade your AR-15 platform today.
[01:06:17.287 --> 01:06:19.408]  They call it their low-profile platform.
[01:06:19.628 --> 01:06:24.210]  PVX muzzle brakes, proven to help control muzzle rise.
[01:06:24.210 --> 01:06:26.991]  6061 billet material with type 3 hard coating.
[01:06:26.991 --> 01:06:30.612]  Bolt carrier group for .308 and .556 ARs.
[01:06:30.612 --> 01:06:37.034]  Custom Kydex holsters, ideal for concealed carry with .080 thick Kydex to ensure durability.
[01:06:37.034 --> 01:06:39.535]  Most competitors' material use .060.
[01:06:39.535 --> 01:06:42.936]  Configure yours today at HDfirearms.com.
[01:06:42.936 --> 01:06:48.378]  And my favorite, single stage trigger, a home run upgrade for your AR-15 and AR-10 platforms.
[01:06:48.618 --> 01:06:52.801]  Find out more at HDFirearms.com today, or call 770-485-7015.
[01:06:52.801 --> 01:06:58.126]  That's HDFirearms.com, or call 770-485-7015.
[01:06:58.126 --> 01:07:01.769]  Alex Jones here.
[01:07:01.769 --> 01:07:18.322]  InfoWarsStore.com is now partnering with the top-of-the-line storable food company, My Patriot Supply, to bring you the highest quality, freshest, longest-lasting, most affordable storable foods, private-labeled, from InfoWarsSelect.com, at the lowest price you're gonna find anywhere.
[01:07:18.442 --> 01:07:20.163]  The globalists want us dependent.
[01:07:20.163 --> 01:07:21.764]  We need to be self-sufficient.
[01:07:21.764 --> 01:07:27.128]  And if you don't have high-quality, long-lasting, storable foods, I believe you're making a huge mistake.
[01:07:27.128 --> 01:07:29.809]  My goal is to find the best deals and bring it to you.
[01:07:29.809 --> 01:07:35.053]  Now is the time to take action and to secure your pantry for any emergency.
[01:07:35.053 --> 01:07:38.855]  You can buy all the great MyPatriotSupply products at InfoWarsTore.com.
[01:07:38.855 --> 01:07:42.397]  They're the exact same products inside InfoWarsSelect.com.
[01:07:42.397 --> 01:07:46.180]  Visit InfoWarsSelect.com or InfoWarsTore.com today.
[01:07:46.400 --> 01:07:49.401]  To check out the amazing deals for yourself.
[01:07:49.401 --> 01:07:55.244]  Secure you and your family's needs today at InfoWarsStore.com with InfoWars Select.
[01:07:55.244 --> 01:07:58.005]  That's InfoWarsSelect.com or 888-253-3139.
[01:07:58.005 --> 01:08:08.030]  The Genesis Communications Radio Network proudly presents the Alex Jones Show.
[01:08:08.030 --> 01:08:10.311]  Because there's a war on for your mind.
[01:08:15.953 --> 01:08:28.444]  For the next 52 minutes, Dr. Paul Craig Roberts, former head of policy at the Treasury, the father of Reaganomics, former chief editor at the Wall Street Journal, will be joining us.
[01:08:28.444 --> 01:08:30.566]  He's been part of some of the biggest foundations.
[01:08:30.566 --> 01:08:35.191]  He was part of the deal for the transition of the Soviet Union into what it is today.
[01:08:36.590 --> 01:08:40.932]  He's won some of the top international awards.
[01:08:40.932 --> 01:08:42.492]  And of course, he doesn't really talk about that.
[01:08:42.492 --> 01:08:44.113]  The point is, he has a lot of gravitas.
[01:08:44.113 --> 01:08:47.054]  He is a high-level economist.
[01:08:47.054 --> 01:08:51.756]  He's been listed in major publications as one of the top ten economists in the last 50 years.
[01:08:51.756 --> 01:08:52.836]  He knows what he's talking about.
[01:08:52.836 --> 01:08:55.917]  And obviously, we're going to try to get into the economy some today.
[01:08:55.917 --> 01:08:59.099]  That's clearly deteriorating, where he thinks that's going.
[01:08:59.099 --> 01:09:01.960]  The situation with Russia, the fact that the momentum has shifted.
[01:09:02.867 --> 01:09:07.229]  And the world really is turning against the criminals that run the United States.
[01:09:07.229 --> 01:09:08.890]  They're not invincible.
[01:09:08.890 --> 01:09:18.054]  And once they start failing on any front, their whole system will collapse, like Napoleon or Hitler marching into Russia.
[01:09:18.054 --> 01:09:21.056]  And we use that analogy for a reason.
[01:09:21.056 --> 01:09:30.240]  But first off, I'm going to be writing a big article today with Paul Watson and going over the fact, and I want to get Robert's take on this because he talks a lot about the police state,
[01:09:31.786 --> 01:09:39.370]  The billions of bullets, the armored vehicles, the Army Times admitting it's for the Tea Party and gun owners.
[01:09:39.370 --> 01:09:51.958]  Ron Paul's former Chief of Staff, Rand Paul's former Chief of Staff, indicted for nothing, for giving campaign money to Libertarians to have them run for office.
[01:09:51.958 --> 01:09:56.300]  They're calling that a payoff for endorsing Rand Paul or something.
[01:09:56.300 --> 01:09:57.121]  Just incredible.
[01:09:58.424 --> 01:10:00.205]  They've indicted the Texas Attorney General.
[01:10:00.205 --> 01:10:02.946]  I know they're trying to indict the Governor of Texas.
[01:10:02.946 --> 01:10:05.307]  This is real political persecution.
[01:10:05.307 --> 01:10:12.310]  People flying battle flags in Georgia, 15 of them in charge of terrorism, because they flew them on their trucks at a park.
[01:10:12.310 --> 01:10:13.510]  The people's feelings were hurt.
[01:10:13.510 --> 01:10:18.993]  And they're being charged, we showed the video, from the Southern Poverty Law Center.
[01:10:18.993 --> 01:10:22.234]  They're being charged for driving away saying, we'll see you guys, have a good day.
[01:10:28.197 --> 01:10:30.137]  This is the new persecution.
[01:10:30.137 --> 01:10:32.438]  Radical Muslims pouring into Europe.
[01:10:32.438 --> 01:10:33.858]  If you criticize them, you're arrested.
[01:10:33.858 --> 01:10:38.339]  Your children are taken.
[01:10:38.339 --> 01:10:43.140]  Zuckerberg caught on tape saying he's going to censor the web.
[01:10:43.140 --> 01:10:44.500]  It's here.
[01:10:44.500 --> 01:10:48.861]  It's to a new level, and now.
[01:10:48.861 --> 01:10:51.622]  And I want to get his take on this, then we'll get into Russia and the geopolitical issues.
[01:10:53.496 --> 01:10:55.398]  And in the next hour I'm going to play these clips.
[01:10:55.398 --> 01:10:57.700]  No one has covered this shit but UPI.
[01:10:57.700 --> 01:10:59.703]  And the Justice Department put a press release out.
[01:10:59.703 --> 01:11:01.564]  This is so huge.
[01:11:01.564 --> 01:11:10.294]  We're going to play the video clips here where they say that they're basically preparing for a civil war with the Tea Party, Libertarians, Conservatives.
[01:11:11.561 --> 01:11:34.637]  And they're preparing for acts of terror by the Tea Party, and that through the Safe Cities move, with the United Nations directing it, they're going to federalize local police, and they're creating a new Justice Department anti-terror unit, basically run by the Southern Poverty Law Center and ADL, to go out and politically target people.
[01:11:34.637 --> 01:11:38.760]  And this is the main new national security position.
[01:11:39.582 --> 01:11:47.767]  For the Domestic Terrorism Council saying that homegrown, libertarian, conservative terror will be the new menace.
[01:11:47.767 --> 01:11:49.908]  Now, we got the secret documents six, seven years ago.
[01:11:49.908 --> 01:11:50.668]  We broke them.
[01:11:50.668 --> 01:11:51.389]  People didn't believe it.
[01:11:51.389 --> 01:11:58.273]  It was confirmed real where they said Ron Paul, you know, Aaron Russo's film, Infowars and some of the documents.
[01:11:58.273 --> 01:12:03.075]  If you see somebody with a get us out of the UN sticker on their car, go ahead and arrest them.
[01:12:03.075 --> 01:12:06.577]  So they're trying to get the police to believe free speech is illegal.
[01:12:06.577 --> 01:12:07.658]  And it's starting to happen.
[01:12:11.044 --> 01:12:17.028]  And so, clearly they're going to pull, I believe, some false flags and try to frame the Liberty Movement.
[01:12:17.028 --> 01:12:20.190]  Clearly, they've tried to frame Russia for events Russia didn't commit.
[01:12:20.190 --> 01:12:23.031]  They tried to frame Syria for chemical attacks they didn't commit.
[01:12:23.031 --> 01:12:26.714]  Our government is clearly funding ISIS and Al-Qaeda.
[01:12:26.714 --> 01:12:30.636]  The former head of Defense Intelligence went public and said they were ordered to do that two months ago.
[01:12:30.636 --> 01:12:32.537]  We played that clip.
[01:12:32.537 --> 01:12:36.139]  So the good news is there's a lot of people in government speaking out against this.
[01:12:36.139 --> 01:12:38.741]  Foreign ministers are saying they believe Obama is mentally ill.
[01:12:40.916 --> 01:12:45.899]  The neocons are clearly mentally ill, but we've always talked about this tyranny cresting.
[01:12:45.899 --> 01:12:49.241]  And historically, tyrants don't quit.
[01:12:49.241 --> 01:12:51.723]  They always go too far.
[01:12:51.723 --> 01:12:57.006]  And in World War II, more than 50 million people died, most of them civilians.
[01:12:58.925 --> 01:13:04.072]  And many historians are saying the parallels to World War I, World War II, and the Cuban Missile Crisis are legion.
[01:13:04.072 --> 01:13:10.661]  So we'll get into Russia, we'll get into the economy, but first before we go to break in about 6-7 minutes, Dr. Roberts joins us.
[01:13:10.661 --> 01:13:11.682]  His website is excellent.
[01:13:11.682 --> 01:13:15.607]  You can read his syndicated column there, paulcraigroberts.org.
[01:13:17.930 --> 01:13:21.114]  His most recent book is titled, How America Was Lost.
[01:13:21.114 --> 01:13:24.758]  And I have never been in such deep mourning, Dr. Roberts.
[01:13:24.758 --> 01:13:31.726]  And I know you've been, not cynical, but, you know, almost gallows humor laughing about this yourself.
[01:13:33.267 --> 01:13:37.689]  I am just struggling with my instinct to get my family out of the country.
[01:13:37.689 --> 01:13:39.610]  I pledged to stay here and try to fight this.
[01:13:39.610 --> 01:13:47.373]  I know I couldn't live with myself if I didn't stay, but I know for a fact that they've got the FBI for two years digging into me under White House orders.
[01:13:47.373 --> 01:13:51.294]  I've confirmed this from people in the government, directly with agents.
[01:13:51.294 --> 01:13:56.816]  And the FBI can't find anything, so they're being ordered now.
[01:13:56.816 --> 01:14:01.498]  And I was told, well, new units are going to be created, and they're creating political offices that are going to go after everybody.
[01:14:02.859 --> 01:14:10.988]  Um, and now you see what's happening in the polls, and I've told people before, it was even in the news, they were going to indict the Attorney General in Texas, and I have obviously a lot of high-level sources.
[01:14:10.988 --> 01:14:23.020]  I know you have a lot of high-level sources as well, but this really is the breaking of America right now, and the long breath before the plunge, in my view, to total totalitarianism, and I think they're probably going to arrest you too.
[01:14:23.020 --> 01:14:24.001]  What do you have to say about that?
[01:14:25.848 --> 01:14:29.449]  Well, I think all of it's possible except the part about the U.N.
[01:14:29.449 --> 01:14:31.330]  It won't have anything to do with the U.N.
[01:14:31.330 --> 01:14:33.091]  It certainly won't be managed by the U.N.
[01:14:33.091 --> 01:14:36.992]  Well, I'm not saying they're going to run it, but they say under treaty and under agreement.
[01:14:36.992 --> 01:14:39.473]  I can show you Associated Press.
[01:14:39.473 --> 01:14:41.594]  It'll have nothing whatsoever to do with the U.N.
[01:14:41.594 --> 01:14:45.716]  Okay, well break it down in your view then what I just talked about.
[01:14:45.716 --> 01:14:50.678]  Well, it'll strike most people as Alex has gone further off the wall.
[01:14:52.269 --> 01:14:59.512]  But I do think that we have seen many signs of the police state.
[01:14:59.512 --> 01:15:13.638]  In fact, we can say that it was established when the George W. Bush administration announced that it had the right
[01:15:14.741 --> 01:15:26.752]  To detain American citizens indefinitely without presentation of evidence or without a warrant or without going to court.
[01:15:26.752 --> 01:15:33.579]  The fact that they got away with that was all you need to know that there was a police state because that's strictly unconstitutional.
[01:15:33.579 --> 01:15:34.720]  Nothing was done about it.
[01:15:37.682 --> 01:15:40.923]  The Justice Department is so totally corrupt.
[01:15:40.923 --> 01:15:54.230]  They were writing, having memos written to justify the assumption of dictatorial power by the president, placing his actions above constitutional control.
[01:15:54.230 --> 01:16:02.535]  The two parties involved in these memos, one of them is now a professor of constitutional law.
[01:16:04.249 --> 01:16:12.553]  The University of California, Berkeley, Boalt School of Law, and the other is a federal judge.
[01:16:12.553 --> 01:16:20.996]  So, this is all you need to see that it's a police state.
[01:16:20.996 --> 01:16:28.920]  The Berkeley Law School took a guy who wrote memos justifying torture, which is strictly illegal under both U.S.
[01:16:28.920 --> 01:16:30.661]  law and under
[01:16:32.285 --> 01:16:42.134]  Of course, John Hughes, Alberto Gonzalez, and others openly said they could even bury people alive, rip their fingernails out, do anything they wanted.
[01:16:42.134 --> 01:16:45.657]  John, you wrote the memo, and this other guy, I think, what was his name, was it Bate?
[01:16:45.657 --> 01:16:47.538]  Batey?
[01:16:47.538 --> 01:16:49.180]  Batey, or something like that.
[01:16:49.180 --> 01:16:55.405]  Yes, the issue is though it was adopted by the government as if it was legitimate.
[01:16:55.405 --> 01:16:59.789]  Well, it was asserted by the Bush administration.
[01:17:02.382 --> 01:17:12.697]  And the Department of Justice had these guys write these memos that had no basis in law to justify an assertion of power.
[01:17:12.697 --> 01:17:14.299]  And nobody did anything about it.
[01:17:14.299 --> 01:17:16.382]  The Congress didn't do anything about it, the courts.
[01:17:17.173 --> 01:17:21.237]  So that showed that it was a police statement.
[01:17:21.237 --> 01:17:25.020]  Of course, then Bush's successor had a chance to correct all that.
[01:17:25.020 --> 01:17:35.390]  Instead, he just went further because he added to this assertion of indefinite detention his right to murder U.S.
[01:17:35.390 --> 01:17:37.912]  citizens without due process of law.
[01:17:37.912 --> 01:17:38.072]  NDA.
[01:17:39.173 --> 01:17:40.854]  And proceeded to do so.
[01:17:40.854 --> 01:17:51.016]  So I don't think you need any memos or anything else, because that's all the evidence you need that you have a police state.
[01:17:51.016 --> 01:17:56.758]  And I think also when you see the continuing murder of unarmed U.S.
[01:17:56.758 --> 01:18:06.801]  citizens by the police who are supposed to be protecting them, and very, very little accountability of the police who commit these crimes,
[01:18:08.713 --> 01:18:11.295]  In most cases, nothing happens to them.
[01:18:11.295 --> 01:18:12.697]  Then you can see again...
[01:18:13.814 --> 01:18:15.135]  Well, the point I'm getting to is they are
[01:18:43.194 --> 01:18:44.155]  Heating it up.
[01:18:44.155 --> 01:18:49.258]  They are clearly going after people like Dinesh D'Souza for a speech.
[01:18:49.258 --> 01:18:52.241]  They're clearly going after Rand Paul now.
[01:18:52.241 --> 01:18:57.304]  They're clearly, the persecution is accelerating.
[01:18:57.304 --> 01:19:07.171]  And the Justice Department, to be clear, and I have Associated Press right here, I understand that it's not the UN that's going to run it all, but the UN, they're following UN guidelines.
[01:19:08.194 --> 01:19:09.094]  That's what I'm getting at.
[01:19:09.094 --> 01:19:13.476]  So I'm saying the fact that they're creating a new anti-terrorism unit
[01:19:32.063 --> 01:19:37.736]  And saying they're preparing for this conflagration, obviously we've seen their past activities.
[01:19:37.736 --> 01:19:41.664]  What I'm saying is they're moving into a new level of draconian action in my view.
[01:19:44.199 --> 01:19:46.280]  No doubt about it.
[01:19:46.280 --> 01:19:50.042]  I mean, just look at the persecution of whistleblowers.
[01:19:50.042 --> 01:19:57.725]  So I think that this is all realistic, and it doesn't need to be understated or overstated.
[01:19:57.725 --> 01:19:59.406]  It's just a fact.
[01:19:59.406 --> 01:20:10.812]  You know, at the time, when Bush made that announcement he could put Americans under indebted detention, I said, this will be covered up with the claim that he's only doing this to terrorists.
[01:20:12.677 --> 01:20:15.140]  But once you breach that, you do it to everybody.
[01:20:15.140 --> 01:20:20.727]  I've pointed out over and over and over that the law expands to the limits of its logic.
[01:20:20.727 --> 01:20:21.809]  That's right.
[01:20:21.809 --> 01:20:27.997]  Just like the RICO Act was only to get the Mafia, now it's used in divorce courts.
[01:20:27.997 --> 01:20:28.597]  That's right.
[01:20:29.378 --> 01:20:32.019]  So, it's clear it's going to go that way.
[01:20:32.019 --> 01:20:42.243]  The real question is, if they are busy at war with their own people, how are they going to be at war everywhere else?
[01:20:42.243 --> 01:20:47.005]  Much less with Russia and China.
[01:20:47.005 --> 01:20:51.047]  And I think that one of the signs of hope
[01:20:52.154 --> 01:20:59.920]  Is the two speeches that Obama and Putin gave at the UN on the 28th of September.
[01:20:59.920 --> 01:21:12.770]  Because the whole world saw that Obama was a stooge, a liar, a deceiver, and that Putin was a statesman who told the truth and stood up.
[01:21:12.770 --> 01:21:16.593]  So I think you've seen a sea change in the power in the world.
[01:21:16.593 --> 01:21:18.755]  The United States is no longer a unipower.
[01:21:19.844 --> 01:21:27.867]  It's a semi-superpower, certainly behind the Russians, probably also behind the Chinese.
[01:21:27.867 --> 01:21:35.589]  And so the alteration of the American position in the world, and look at what's happening to the empire.
[01:21:35.589 --> 01:21:37.670]  Look what's happening in Europe.
[01:21:37.670 --> 01:21:44.752]  Europe is being overrun with refugees that it doesn't want, has no place for.
[01:21:44.752 --> 01:21:47.373]  All because the idiot Europeans
[01:21:48.777 --> 01:21:53.139]  enabled Washington's wars in the Middle East.
[01:21:53.139 --> 01:21:56.620]  So they've got to be sitting there thinking, what dolts we were.
[01:21:56.620 --> 01:22:01.942]  Look what we get for being Washington's vassals.
[01:22:01.942 --> 01:22:07.144]  They also now, having seen Russia stand up and simply tell us no.
[01:22:07.144 --> 01:22:14.367]  You know, the statement that Putin made was that we can no longer tolerate the state of affairs in the world.
[01:22:14.367 --> 01:22:16.388]  That is a declarative sentence.
[01:22:17.273 --> 01:22:20.234]  It says, that's it, we're not putting up with anything else.
[01:22:20.234 --> 01:22:23.175]  Two days later, he's taken over the war in Syria.
[01:22:23.175 --> 01:22:24.576]  We can't do anything about it.
[01:22:24.576 --> 01:22:27.237]  Bluster.
[01:22:27.237 --> 01:22:29.498]  So the power in the world has changed.
[01:22:29.498 --> 01:22:31.899]  We've lost our moral high ground.
[01:22:31.899 --> 01:22:33.420]  We've never had it.
[01:22:33.420 --> 01:22:35.040]  We've lost the pretense of it.
[01:22:35.040 --> 01:22:35.981]  Yes.
[01:22:35.981 --> 01:22:36.481]  Yeah.
[01:22:36.481 --> 01:22:38.702]  We've lost the mask is off.
[01:22:40.469 --> 01:22:43.470]  And the world looks at us totally different.
[01:22:43.470 --> 01:22:50.213]  They say, hey, look, we don't have to be afraid of the bully anymore because we've got the Russians and Chinese standing up to them.
[01:22:50.213 --> 01:22:54.155]  And even the Iranians stood up to us.
