[00:00:00.379 --> 00:00:00.544]  Let's go.
[00:40:47.545 --> 00:40:47.845]  Have it.
[00:40:47.986 --> 00:40:48.626]  Forget about it.
[00:40:48.706 --> 00:40:49.466]  Know you're secure.
[00:40:49.546 --> 00:40:50.186]  Know you're ready.
[00:40:50.226 --> 00:40:51.007]  That's what I've done.
[00:40:51.327 --> 00:40:52.047]  It's a no-brainer.
[00:40:52.067 --> 00:40:52.107]  888-253-3139.
[00:40:52.567 --> 00:40:53.108]  Here's the good news.
[00:40:57.665 --> 00:41:10.712]  The Super Sale has been so successful with 15% off and free shipping, the free shipping has now ended but there's still 15% off, that Survival Shield Nacin Iodine X2 will sell out at current sales projections by the end of the week.
[00:41:10.952 --> 00:41:15.054]  So the good news is we're funding our operation with high quality products and folks love it.
[00:41:15.314 --> 00:41:18.656]  The bad news is it could be three weeks or longer after that.
[00:41:20.049 --> 00:41:21.070]  Till more comes in.
[00:41:21.110 --> 00:41:25.774]  So if you want Survival Shield Nascent Ion X2 at Infowarslife.com, now is the time.
[00:41:26.734 --> 00:41:27.635]  The other bad news.
[00:41:28.336 --> 00:41:30.477]  We ordered twice as much Deep Cleanse this time.
[00:41:31.378 --> 00:41:37.423]  But it's so popular, it's one of the most powerful total body cleanses out there, and so affordable, it will sell out today.
[00:41:38.164 --> 00:41:45.049]  Deep Cleanse will sell out today, and it could be two to three months until we get more, maybe longer.
[00:41:45.630 --> 00:41:47.471]  Deep Cleanse was sold out for three months.
[00:41:48.052 --> 00:41:49.333]  It was back in for a few weeks.
[00:41:50.555 --> 00:41:52.776]  It is basically down to almost nothing.
[00:41:52.816 --> 00:41:55.838]  It should be sold out in the next few hours, if not by this evening.
[00:41:56.359 --> 00:42:02.182]  Deep Cleanse available at InfoWarsLife.com or InfoWarsStore.com is the umbrella area.
[00:42:02.322 --> 00:42:05.845]  Also, we ordered a ton of the Sleep Aid Knockout.
[00:42:06.505 --> 00:42:08.366]  Because I know I have trouble going to sleep sometimes.
[00:42:08.747 --> 00:42:13.269]  It's just got nine ingredients known in a healthy way to give you good deep REM sleep.
[00:42:13.870 --> 00:42:15.031]  It's simply amazing.
[00:42:15.511 --> 00:42:17.352]  It is available for $19.95.
[00:42:17.492 --> 00:42:19.253]  A bottle of melatonin would cost $19.95.
[00:42:19.634 --> 00:42:25.838]  This has the regular strong dose of melatonin, valerian root, and a whole bunch of other ingredients that synergistically work together.
[00:42:26.218 --> 00:42:29.060]  The good news is we ordered so much of this, it's not selling out yet.
[00:42:29.560 --> 00:42:30.661]  We have put in a reorder.
[00:42:30.921 --> 00:42:34.965]  Looks like we've got enough for the next month or so, but Knockout is really, really popular.
[00:42:35.225 --> 00:42:38.207]  Your purchases, again, helped fund this operation.
[00:42:38.608 --> 00:42:40.990]  So, that's the plug for this hour.
[00:42:42.231 --> 00:42:45.774]  In closing, please support our local AM and FM affiliates.
[00:42:45.854 --> 00:42:47.876]  Become a sponsor if you're a local listener.
[00:42:48.296 --> 00:42:51.439]  Support the local sponsors because they're supporting the show.
[00:42:51.899 --> 00:42:57.123]  And tell your friends and family, your neighbors, everybody at work, everybody at the local cafe,
[00:42:57.984 --> 00:43:06.828]  Everyone you know about this local station AM FM that you're listening to because it's so precious what we can do with these affiliates across the country.
[00:43:07.108 --> 00:43:14.992]  You can have explosive awakenings in towns and chain reactions can happen with AM and FM radio that just can't happen with the Internet.
[00:43:15.392 --> 00:43:20.414]  We do have chain reactions with the Internet as well, but they're not as localized or as powerful.
[00:43:20.774 --> 00:43:24.276]  They're more powerful wide-ranging across borders.
[00:43:26.291 --> 00:43:33.233]  But not as powerful as the local effect we're able to see to really galvanize and energize this country and this world.
[00:43:33.773 --> 00:43:36.293]  So please support those local sponsors today.
[00:43:36.313 --> 00:43:43.975]  If you're a business owner, call up and say, I want to put up a billboard for your station on the Alex Jones Show.
[00:43:44.015 --> 00:43:46.196]  And folks who are doing this, I want to thank you, all over the country.
[00:43:47.156 --> 00:43:51.077]  And put up the billboard, and then right next to it say, brought to you by
[00:43:52.293 --> 00:43:57.980]  Such and such as heating and air, or such and such as Dodge dealership, or such and such as restaurant.
[00:43:59.622 --> 00:44:04.486]  And you're not going to save the world putting up that billboard, but the spirit of resistance will.
[00:44:05.346 --> 00:44:06.647]  Everybody doing a little something.
[00:44:07.027 --> 00:44:08.268]  Many hands make light work.
[00:44:08.649 --> 00:44:16.014]  This is the time to not just let the corrupt government take your money and use it against you, funding MSNBC and NPR and other channels.
[00:44:16.594 --> 00:44:18.356]  This is the time to have your voice be heard.
[00:44:19.076 --> 00:44:24.520]  And if you are listening to us on a local AM or FM station, say a place like Albuquerque.
[00:44:25.180 --> 00:44:28.463]  We're on three affiliates in Albuquerque, New Mexico.
[00:44:30.411 --> 00:44:32.192]  2 AM, 2 FM and 1 AM.
[00:44:32.272 --> 00:44:34.634]  And we're getting a huge response.
[00:44:35.514 --> 00:44:37.976]  They had us on the weekend, they moved us to weekdays.
[00:44:38.396 --> 00:44:41.438]  Now they're talking about expanding us and airing us again at night.
[00:44:41.498 --> 00:44:42.938]  That's how popular the show is.
[00:44:44.860 --> 00:44:49.962]  We need folks to then take action, who are listeners in Albuquerque, and put up billboards.
[00:44:50.883 --> 00:44:52.624]  This is what it's all about, ladies and gentlemen.
[00:44:52.884 --> 00:44:55.486]  This is how the people power can crush the globalists.
[00:44:55.526 --> 00:44:57.487]  Okay, I'm done, I'm done ranting about that.
[00:44:59.758 --> 00:45:01.180]  I want to be clear when I say this.
[00:45:03.122 --> 00:45:04.663]  I have never been anti-Catholic.
[00:45:04.743 --> 00:45:05.384]  I'm a Christian.
[00:45:05.404 --> 00:45:07.386]  I don't judge people.
[00:45:08.568 --> 00:45:11.751]  If I do judge people, I don't judge their soul.
[00:45:11.771 --> 00:45:15.996]  I simply judge whether I think they're trustworthy and good people or not.
[00:45:16.636 --> 00:45:21.702]  And it was Christ who said, you judge a tree by its fruits.
[00:45:25.211 --> 00:45:37.680]  And the Catholics I've known throughout my life are hard-working, trustworthy, good, fun people who stand up against abortion, who stand up against globalism, who stand up against tyranny.
[00:45:38.200 --> 00:45:49.128]  In fact, I've got to say, probably half the people at the grassroots that I knew in Austin, fighting gun control, land grabs, abortion, were Catholics.
[00:45:50.469 --> 00:45:52.751]  So I turned around, I had a pretty good view of Catholics.
[00:45:53.467 --> 00:45:54.068]  Because of that.
[00:45:54.108 --> 00:45:55.729]  So I'm not judging the Catholic people.
[00:45:56.229 --> 00:45:57.490]  Because I judge a tree by its fruits.
[00:45:58.551 --> 00:46:04.335]  Past Popes basically sounded about a hundred degrees different.
[00:46:04.596 --> 00:46:06.377]  Not a hundred and eighty, but about a hundred degrees.
[00:46:07.238 --> 00:46:11.101]  About sixty percent different than this current Pope.
[00:46:12.261 --> 00:46:21.709]  So, you've got to either say if you're a good Catholic out there, to use that famous term, were the last three or four Popes, or five Popes, or ten Popes, were they bad?
[00:46:21.949 --> 00:46:22.870]  Or is this guy good?
[00:46:23.769 --> 00:46:30.152]  Because this guy is massively different than classical Catholic doctrine.
[00:46:30.172 --> 00:46:32.673]  I'm not a Catholic, but I've looked at it, I've researched it.
[00:46:32.693 --> 00:46:36.995]  I mean, the last few popes were, at least on the surface, anti-communist.
[00:46:37.996 --> 00:46:49.381]  This guy goes to the main square under the Che Guevara statue and is, you know, presented with crucifix from Raul Castro, who will put you in jail if you're a Christian in Cuba.
[00:46:50.302 --> 00:46:52.243]  They've arrested a whole bunch of people as well.
[00:46:53.940 --> 00:46:57.302]  And there's no criticism from him of the crushing of free speech.
[00:46:58.502 --> 00:47:01.203]  Then he says you shouldn't have a car, you shouldn't have air conditioning.
[00:47:01.223 --> 00:47:03.124]  We heard that from Obama when he went to Africa.
[00:47:04.045 --> 00:47:04.685]  He says that.
[00:47:06.586 --> 00:47:20.632]  So this is a guy about being poor, this is a guy about austerity, this is a guy about Agenda 21 that is a plan to impoverish the world, to make us politically controllable for social engineering on the surface of the treaty.
[00:47:21.813 --> 00:47:22.513]  This is all admitted.
[00:47:23.618 --> 00:47:27.199]  And he sells it as if it's Christ-like, Christ being humble.
[00:47:29.760 --> 00:47:36.103]  Well, the Bible also talks about following God's commandments and being prosperous so you can be self-sufficient and help other people.
[00:47:36.683 --> 00:47:52.209]  So it is a communist liberation theology Ford Foundation program, about a hundred years old, created by the Jesuits, picked up by the Ford Foundation, on record, that has financed communism all over the world,
[00:47:54.591 --> 00:48:07.875]  And we have a above-the-law Jesuit Pope promoting classical hardcore communism while he pushes the EU super state and doesn't say a word against that.
[00:48:08.435 --> 00:48:11.076]  And now he's pushing carbon taxes and world government.
[00:48:12.236 --> 00:48:14.577]  He's here getting DC lined up in September.
[00:48:17.218 --> 00:48:21.879]  Then he goes to Africa and other countries and then he's going to Europe in December.
[00:48:24.875 --> 00:48:30.418]  to sell a planetary expansion of the EU and open world government.
[00:48:31.279 --> 00:48:43.106]  So, this Pope, by every yardstick, even if he isn't the false prophet of Revelations and Daniel and Ezekiel, he fits the bill.
[00:48:43.286 --> 00:48:45.688]  I mean, like a key goes in a lock and the door opens?
[00:48:45.908 --> 00:48:48.309]  I mean, this key opens the door.
[00:48:49.310 --> 00:48:54.273]  So, if he's not the devil's
[00:48:56.098 --> 00:48:57.579]  I think so.
[00:49:16.323 --> 00:49:19.769]  I've been sitting there arguing with atheists before about Skull and Bones, Bohemian Grove and Satan worship.
[00:49:20.010 --> 00:49:21.112]  They go, why don't believe in the devil?
[00:49:21.453 --> 00:49:25.340]  And I go, fine, I get you don't believe in spiritualism or anything above your senses.
[00:49:25.801 --> 00:49:28.265]  I understand you think you're following the scientific method there.
[00:49:29.505 --> 00:49:32.707]  Even though Einstein and folks said it made them believe in God, the more he learned.
[00:49:33.268 --> 00:49:45.536]  What I'm saying to you is, are there pygmies in New Guinea, or are there, pygmies are in Central Africa, are there islanders in New Guinea that kill people and shrink their heads?
[00:49:45.656 --> 00:49:46.357]  The answer is yes.
[00:49:46.617 --> 00:49:48.098]  Doesn't mean you believe in head shrinking.
[00:49:48.699 --> 00:49:49.319]  It's going on.
[00:49:49.359 --> 00:49:51.180]  Like, did the Aztecs cut people's hearts out?
[00:49:51.200 --> 00:49:51.761]  Yes, they did.
[00:49:52.001 --> 00:49:54.803]  Doesn't mean you don't believe in their god, the flying serpent.
[00:49:55.343 --> 00:49:56.684]  The point is, did they do it?
[00:49:56.724 --> 00:49:57.265]  Yes, they did it.
[00:49:57.605 --> 00:49:59.006]  So, that's the issue here.
[00:50:00.276 --> 00:50:01.816]  This is world government.
[00:50:01.896 --> 00:50:03.137]  This is a cultism.
[00:50:03.377 --> 00:50:04.477]  This is a takeover.
[00:50:04.517 --> 00:50:07.817]  This is one world religion being pushed by this papa.
[00:50:10.158 --> 00:50:11.078]  And it's unprecedented.
[00:50:12.178 --> 00:50:13.098]  I mean, look at these headlines.
[00:50:13.178 --> 00:50:16.399]  Dissidence arrested as Pope Francis celebrates his first mass in Cuba.
[00:50:17.039 --> 00:50:18.960]  Pope Francis is wrong about air conditioning.
[00:50:19.000 --> 00:50:21.220]  National Review wants it basically banned.
[00:50:21.600 --> 00:50:25.001]  Pope visit will produce largest security operation in U.S.
[00:50:25.021 --> 00:50:25.341]  history.
[00:50:25.361 --> 00:50:25.961]  Washington Post.
[00:50:26.221 --> 00:50:26.421]  Why?
[00:50:27.185 --> 00:50:27.445]  Why?
[00:50:27.866 --> 00:50:30.250]  Pay for it yourself with all the trillions you've got!
[00:50:30.931 --> 00:50:31.852]  Or you're a man of the people.
[00:50:31.912 --> 00:50:37.500]  We don't need this giant half-the-city shutdown, huge circuses, Popemobiles, all of it.
[00:50:37.901 --> 00:50:38.221]  No!
[00:50:38.642 --> 00:50:40.284]  We have a separation of church and state.
[00:50:41.411 --> 00:50:45.895]  There should not be any federal funding to protect this guy, and I don't mean him any harm.
[00:50:46.515 --> 00:50:47.576]  It's just a joke!
[00:50:48.497 --> 00:50:59.587]  This filthy rich guy that lectures me that I got air conditioning, and that I want my employees to get paid more, and that I want prosperity, tells me I'm a devil as he pushes Rockefeller eugenics garbage?
[00:51:00.447 --> 00:51:06.032]  I mean, I wish this pope would crawl back to his communist Jesuit seminary that he crawled out from under.
[00:51:06.232 --> 00:51:07.393]  Get out of my country!
[00:51:07.834 --> 00:51:08.815]  You're not my king!
[00:51:10.063 --> 00:51:12.784]  This hour of GCN brought to you by LeSic.
[00:51:12.824 --> 00:51:17.105]  Kick some ass with LeSic's high quality e-cig kits and e-juices.
[00:51:17.386 --> 00:51:18.806]  Like us on Facebook for a 10% discount.
[00:51:18.826 --> 00:51:19.926]  Call 870-525-1440 or visit lesic.com.
[00:51:25.114 --> 00:51:29.037]  Communist China freely allows the sale of bulletproof armor plates, while our U.S.
[00:51:29.077 --> 00:51:31.979]  politicians argue from banning Americans from owning body armor.
[00:51:32.159 --> 00:51:33.540]  Does that sound right to you?
[00:51:33.721 --> 00:51:36.623]  Arm your American body at InfidelBodyArmor.com.
[00:51:36.943 --> 00:51:37.864]  Infidel Body Armor.
[00:51:38.404 --> 00:51:39.525]  Just won't quit.
[00:51:39.905 --> 00:51:48.592]  Silver has always been nature's very own antibiotic, and only one system allows you to produce an endless supply of nano-sized silver solutions right from the convenience of your home.
[00:51:48.792 --> 00:51:49.753]  Silver lungs.
[00:51:49.893 --> 00:51:57.019]  With the addition of our unique lung delivery system, respiratory infections are targeted directly, where traditional oral administration simply cannot reach.
[00:51:57.199 --> 00:52:03.124]  This pioneering method also preserves the original particle sizes and delivers your silver solution directly into the bloodstream.
[00:52:03.224 --> 00:52:07.288]  See the silver lungs generator and lung delivery system at silverlungs.com.
[00:52:07.368 --> 00:52:09.169]  That's silverlungs.com.
[00:52:09.490 --> 00:52:12.933]  As if chlorine in our water weren't bad enough, now they're adding ammonia?
[00:52:13.695 --> 00:52:14.195]  It's true.
[00:52:14.315 --> 00:52:18.298]  Some municipalities are now adding ammonia plus chlorine to your water supply.
[00:52:18.478 --> 00:52:20.299]  It's a disinfectant called chloramine.
[00:52:20.879 --> 00:52:25.361]  But with a trusted Big Berkey water filter, you can keep chloramine out of your water.
[00:52:25.661 --> 00:52:34.166]  New NSF EPA certified lab tests show EPA Berkey water filters remove chloramines, pharmaceuticals, BPA, pesticides,
[00:52:34.366 --> 00:52:38.269]  Bacteria and viruses, all forms of fluoride, and much more.
[00:52:38.530 --> 00:52:42.073]  Big Berkey water filters are the original and most trusted on the market.
[00:52:42.333 --> 00:52:44.615]  The gold standard in water purification.
[00:52:44.975 --> 00:52:48.999]  And our filters last for years at less than two cents per gallon.
[00:52:49.299 --> 00:52:53.583]  Big Berkey, the one that's powerful enough to purify stagnant pond water.
[00:52:53.803 --> 00:52:55.405]  Get your Big Berkey today!
[00:52:55.565 --> 00:52:57.867]  Call 1-877-99-BERKEY or click BigBerkeyWaterFilters.com.
[00:52:57.887 --> 00:52:58.547]  That's 1-877-99-BERKEY.
[00:52:58.688 --> 00:53:01.130]  Big Berkey Water Filters, for the love of clean water!
[00:53:09.392 --> 00:53:13.993]  A revolution in body protection has arrived, only at FortressSurvivalLLC.com.
[00:53:14.293 --> 00:53:18.214]  Introducing the revolutionary, patented Level 3 Bulletproof Vest.
[00:53:18.234 --> 00:53:20.315]  100% Kevlar, 100% American made.
[00:53:20.495 --> 00:53:23.535]  Concealable, fully adjustable, and the lowest price on the market.
[00:53:23.735 --> 00:53:26.216]  Adult size, normally $289.99, now just $250.
[00:53:26.276 --> 00:53:29.177]  Kid size, normally $239.99, now just $200.
[00:53:29.677 --> 00:53:34.578]  Get affordable protection with a Level 3A Bulletproof Vest from FortressSurvivalLLC.com.
[00:53:34.738 --> 00:53:36.639]  For thou art my rock and my fortress.
[00:53:36.899 --> 00:53:37.219]  Psalm 313.
[00:53:39.404 --> 00:53:43.967]  Ready Supply Foods sells more food for your money than any other company, and we can prove it.
[00:53:44.207 --> 00:53:50.872]  We've gathered nutritional facts from our competitors' own websites and divided them by price to show you how much they sell per dollar.
[00:53:51.152 --> 00:53:53.454]  In an emergency, calories mean survival.
[00:53:53.934 --> 00:53:58.697]  Ready Supply Foods sells 245 calories per dollar, where the others average only 155.
[00:53:58.797 --> 00:54:02.160]  That's 58% more for your money.
[00:54:02.420 --> 00:54:04.441]  We're the new leader in value and quality.
[00:54:04.641 --> 00:54:07.543]  See the comparisons at ReadySupplyFoods.com today.
[00:54:21.291 --> 00:54:26.272]  I myself cannot believe how angry I get at this pope.
[00:54:26.552 --> 00:54:28.133]  But I'm telling you, no more Mr. Nice Guy.
[00:54:29.193 --> 00:54:36.516]  To have a foreign head of state who's tax-exempt lecture me that I shouldn't go on vacations or have a car or air conditioning
[00:54:38.021 --> 00:54:51.232]  And tell me I'm not a good Christian if I don't, and we should basically not go after people that have abortions or not criticize it, and that world government's a good idea, when I know it's part of the larger evil planetary agenda.
[00:54:52.153 --> 00:55:05.764]  He's got the mainstream media backing him, saying how great he is, when you notice the mainstream media was savagely attacking the Catholic Church at every angle until this point, to blackmail the Church that had its own problems that we exposed.
[00:55:07.082 --> 00:55:08.483]  into going along with the agenda.
[00:55:09.263 --> 00:55:17.168]  And you can search Catholic Church blackmailed, pedophile scandal, rat singer.
[00:55:18.048 --> 00:55:24.552]  You'll get London Guardian and other publications from three years ago, right before the old Pope ran off to Gandalf Castle.
[00:55:24.892 --> 00:55:26.333]  I'm not kidding, it's called Gandalf.
[00:55:28.342 --> 00:55:31.164]  Lord of the Rings got that name from it, not the other way around.
[00:55:32.085 --> 00:55:36.728]  And he runs off to Gandalf Castle, and they put in this new guy.
[00:55:36.748 --> 00:55:43.733]  We should be discussing the fact that the Vatican is now run by Globalist 100%.
[00:55:44.173 --> 00:55:45.474]  There's the headline, Leningradian.
[00:55:45.494 --> 00:55:46.215]  They found it quick.
[00:55:46.635 --> 00:55:50.458]  Papal resignation linked to inquiry into Vatican gay officials.
[00:55:52.519 --> 00:55:54.000]  Blackmail or corruption?
[00:55:54.060 --> 00:55:56.502]  Catholics respond to the Vatican's gay lobby.
[00:55:57.222 --> 00:55:57.903]  Al Jazeera.
[00:56:00.720 --> 00:56:17.860]  And so they blackmailed the church by having their people infiltrate it, set up their operations, just like Congress, just like Sandusky and Penn State, until it's so evil, it's so big, it's so horrible, that it's too big to fail.
[00:56:19.656 --> 00:56:23.237]  And then it just gets absorbed and starts promoting world government openly.
[00:56:23.477 --> 00:56:27.638]  And clearly the Catholic Church has been degenerating and rotting and falling apart for a long time.
[00:56:27.698 --> 00:56:30.759]  Catholics are always mad at me for saying it's just now being taken over.
[00:56:31.399 --> 00:56:32.600]  I'm not a Catholic scholar.
[00:56:33.380 --> 00:56:35.480]  Compared to the general public, I mean, I'm a rocket scientist.
[00:56:35.500 --> 00:56:38.981]  I mean, I've studied it quite a bit, but not compared to devout conservative Catholics.
[00:56:39.041 --> 00:56:39.682]  I understand that.
[00:56:40.142 --> 00:56:43.243]  But, I mean, it's now just incredibly obvious.
[00:56:43.323 --> 00:56:44.603]  It's incredibly insane.
[00:56:46.172 --> 00:56:51.314]  And I get mad when Obama or Bush would shut down half of Austin or half of Dallas.
[00:56:52.134 --> 00:56:53.394]  Or Clinton getting a haircut.
[00:56:53.414 --> 00:56:57.096]  Remember back then, having all the air traffic stopped for an hour?
[00:56:57.856 --> 00:57:00.157]  They're talking about shutting airports down.
[00:57:00.477 --> 00:57:07.279]  You know, when the Saudi King goes to France, they'll shut down 20 miles of the south of France so he doesn't have to see anybody on the beach.
[00:57:09.440 --> 00:57:11.180]  For him and his family up and down the coast.
[00:57:11.681 --> 00:57:12.361]  That's sick!
[00:57:13.376 --> 00:57:26.980]  To shut down public beaches so some degenerate scumbag like the Saudi King... I'm sick of the Pope and the Saudi King and the Queen of England and just all of these anachronisms!
[00:57:27.641 --> 00:57:28.541]  All of these jokes!
[00:57:34.823 --> 00:57:37.544]  Said it enraged locals when they shut down the beaches for him.
[00:57:37.724 --> 00:57:38.884]  Oh, absolutely.
[00:57:39.064 --> 00:57:40.845]  I mean, just talk about being dominated.
[00:57:41.693 --> 00:57:43.394]  It's up on DrugsReport.com.
[00:57:43.674 --> 00:57:47.817]  It's an InfoWars.com story with our correspondent, the great Mark Dice.
[00:57:48.138 --> 00:57:52.220]  He went out and asked Californians, should we nuke North Korea preemptively?
[00:57:53.441 --> 00:57:56.763]  And their answer was, well, you'll find out in the video.
[00:57:56.783 --> 00:57:58.985]  Just the incredible abject ignorance.
[00:57:59.405 --> 00:58:03.608]  You know, I'm not saying nuke North Korea, but actually I could see nuking them, their government itself.
[00:58:04.169 --> 00:58:04.969]  That's a pure evil.
[00:58:05.209 --> 00:58:06.210]  I wouldn't want to start nuclear wars.
[00:58:06.250 --> 00:58:06.730]  I wouldn't do it.
[00:58:09.298 --> 00:58:14.981]  This video is nothing compared to them saying put all gun owners in forced labor camps, arrest Christians, ban the Bible.
[00:58:16.502 --> 00:58:18.543]  And they call these people liberals.
[00:58:18.763 --> 00:58:21.185]  I do not call them liberals.
[00:58:24.447 --> 00:58:25.367]  There's another video.
[00:58:25.908 --> 00:58:29.189]  Cop threatens student with jail for handing out pocket constitutions.
[00:58:29.730 --> 00:58:32.411]  That's the kind of cop that's got a serious problem.
[00:58:33.612 --> 00:58:35.033]  On public property, on a sidewalk.
[00:58:36.178 --> 00:58:49.904]  See, I mean, I defend police in general because the globals want to start a civil war, but police, if you don't get rid of control freak nuts like that that swear an oath to the Constitution and then try to trample it, then you deserve the demonization you're getting.
[00:58:50.244 --> 00:58:52.605]  I'm not saying you deserve it, but do something!
[00:58:52.645 --> 00:58:53.666]  Defend this country!
[00:58:54.106 --> 00:58:54.966]  They'll be back!
[00:59:00.026 --> 00:59:09.936]  Most of the InfoWars radio listening audience is aware of the high quality, affordable firearms available that are made right here in America at HDFirearms.com.
[00:59:10.136 --> 00:59:16.122]  One of the most exciting things about HDFirearms.com is the ability to upgrade your AR-15 platform today.
[00:59:16.282 --> 00:59:18.384]  They call it their low profile platform.
[00:59:18.604 --> 00:59:19.985]  PVX Muzzle Brakes.
[00:59:20.225 --> 00:59:23.167]  Proven to help control muzzle rise.
[00:59:23.187 --> 00:59:25.729]  6061 Billet Material with Type 3 Hard Coating.
[00:59:25.969 --> 00:59:29.251]  Bolt Carrier Group for .308 and .556 ARs.
[00:59:29.592 --> 00:59:30.852]  Custom Kydex Holsters.
[00:59:31.173 --> 00:59:35.876]  Ideal for concealed carry with .080 Thick Kydex to ensure durability.
[00:59:36.036 --> 00:59:38.157]  Most competitors material use .060.
[00:59:38.538 --> 00:59:41.600]  Configure yours today at HDFirearms.com.
[00:59:41.920 --> 00:59:47.381]  And my favorite, single stage trigger, a home run upgrade for your AR-15 and AR-10 platforms.
[00:59:47.602 --> 00:59:49.822]  Find out more at HDfirearms.com today or call 770-485-7015.
[00:59:49.842 --> 00:59:50.962]  That's HDfirearms.com or call 770-485-7015.
[00:59:51.162 --> 00:59:52.443]  You're listening to the Alex Jones Show.
[01:00:16.004 --> 01:00:16.625]  Big Brother.
[01:00:17.306 --> 01:00:18.327]  Mainstream media.
[01:00:19.068 --> 01:00:20.170]  Government cover-ups.
[01:00:20.831 --> 01:00:21.632]  You want answers?
[01:00:22.413 --> 01:00:23.315]  Well, so does he.
[01:00:23.335 --> 01:00:27.581]  He's Alex Jones on the GCN Radio Network.
[01:00:28.162 --> 01:00:32.207]  And now, live from Austin, Texas, Alex Jones.
[01:00:34.420 --> 01:00:47.935]  Obama wants to leave behind a big legacy, and by launching a nuclear strike into North Korea to stop Kim Jong-un and save the North Korean people, he feels that that'll be the best thing he can leave behind for the world.
[01:00:47.956 --> 01:00:49.758]  That's crazy, but I'm for Obama, so I'll sign.
[01:00:50.078 --> 01:00:50.639]  Oh, thank you.
[01:00:51.900 --> 01:00:53.302]  For Obama, so he'll sign it.
[01:00:54.403 --> 01:00:55.164]  That's incredible!
[01:00:57.145 --> 01:00:57.465]  I think so.
[01:01:16.969 --> 01:01:21.792]  The North Korean people as well and a signature to support the nuclear strike.
[01:01:22.193 --> 01:01:23.053]  I really appreciate that.
[01:01:23.073 --> 01:01:24.955]  It's one thing we can do to help those people.
[01:01:25.395 --> 01:01:25.935]  Wouldn't you agree?
[01:01:26.376 --> 01:01:26.656]  I agree.
[01:01:26.756 --> 01:01:27.136]  Thank you.
[01:01:28.137 --> 01:01:34.942]  We need to help out those poor North Korean people, so we want to support the President's plan to launch a nuclear strike into the city.
[01:01:34.962 --> 01:01:38.584]  If we do a nuclear strike in the city, you know, they're bringing anybody.
[01:01:38.704 --> 01:01:40.105]  It would help out quite a bit.
[01:01:40.225 --> 01:01:42.066]  One thing that would live is the cockroaches.
[01:01:45.171 --> 01:01:52.059]  President Obama wants to launch a nuclear attack into North Korea to help stop Kim Jong-un, but we still need a few more signatures.
[01:01:52.720 --> 01:02:03.213]  They've been threatening America for years now, and the president has decided that it's time to send them a message, but he's asked us to gather the signatures to support the strike.
[01:02:03.273 --> 01:02:04.475]  So just print right here, please.
[01:02:04.935 --> 01:02:07.018]  To support the strike, that they shouldn't go over there?
[01:02:07.058 --> 01:02:07.418]  So, to support...
[01:02:22.268 --> 01:02:30.815]  It's to support President Obama's plan to save the North Koreans with a nuclear strike to stop Kim Jong-un over there.
[01:02:30.835 --> 01:02:35.540]  But he's asked us to gather the signatures to get it onto the ballot.
[01:02:36.460 --> 01:02:46.149]  And a birthdate to support the nuclear strike in North Korea will help to liberate and save the people from living under the tyranny of Kim Jong-un.
[01:02:46.189 --> 01:02:48.071]  So, thanks for supporting that.
[01:02:54.833 --> 01:02:59.577]  Launch a nuclear strike into North Korea to save the North Korean people.
[01:03:00.138 --> 01:03:06.343]  He just needs a few more signatures from us to support the plan to save the North Korean people.
[01:03:06.984 --> 01:03:15.211]  Yeah, just print, birthdate and a signature to save the North Korean people by launching a nuclear strike into the heart of the country.
[01:03:15.711 --> 01:03:18.213]  It'll help liberate the country on a birthdate.
[01:03:19.582 --> 01:03:28.769]  Nuclear strike North Koreans and a signature there to help to liberate those poor people with a with a nuclear attack So okay.
[01:03:28.989 --> 01:03:31.151]  Thank you for supporting that you will appreciate that
[01:03:32.748 --> 01:03:37.730]  Just planned to launch a nuclear strike into North Korea to save the North Korean people.
[01:03:38.770 --> 01:03:41.531]  Just a print, birthdate, and a signature.
[01:03:41.551 --> 01:03:49.234]  President Obama has determined that a nuclear attack into the heart of North Korea is the best way to help save and liberate the people, so thanks for supporting that.
[01:03:49.254 --> 01:03:53.496]  Take it easy, man.
[01:03:53.536 --> 01:03:54.456]  Anything for Obama.
[01:03:56.201 --> 01:03:59.463]  Save the North Korean people with the nuclear strike?
[01:04:00.004 --> 01:04:16.037]  No, President Obama wants to help save the North Korean people and to launch a nuclear strike to stop Kim Jong-un, but he still asks us to gather the 100,000 signatures necessary to authorize that, so just what's holding you back from that?
[01:04:19.650 --> 01:04:23.992]  Thank you for supporting President Obama's plan to stop Kim Jong-un in North Korea.
[01:04:24.612 --> 01:04:25.972]  Print birthday in his signature.
[01:04:25.992 --> 01:04:26.553]  Yeah?
[01:04:26.893 --> 01:04:27.113]  Yeah.
[01:04:28.093 --> 01:04:38.297]  President Obama wants to leave behind a big legacy and so to stop Kim Jong-un, he's going to launch a nuclear strike into North Korea to help liberate the people.
[01:04:38.617 --> 01:04:43.339]  But we still needed a few signatures to support the nuclear strike into North Korea.
[01:04:43.459 --> 01:04:44.260]  Alright, cool man.
[01:04:44.320 --> 01:04:45.260]  Thank you for supporting that.
[01:04:45.340 --> 01:04:46.040]  Yeah, no problem man.
[01:04:46.080 --> 01:04:46.841]  You have a good one man.
[01:04:46.861 --> 01:04:47.741]  Appreciate it.
