[00:00:00.009 --> 00:00:01.601]  Alex Jones Show.
[00:52:02.016 --> 00:52:05.559]  And the only role where somebody can be manly is if they are a Janet Reno.
[00:52:07.864 --> 00:52:13.247]  And so then they go and live together and create a husband and wife scenario with their own sex.
[00:52:23.672 --> 00:52:30.616]  When you want to take out fire ants, there's different systems that develop, but they've got some that hit the sexual procreation.
[00:52:30.636 --> 00:52:31.316]  You sterilize them.
[00:52:32.097 --> 00:52:33.037]  And see, we've just been hit.
[00:52:34.158 --> 00:52:36.119]  Just as much as when an alien spacecraft landed.
[00:52:37.469 --> 00:52:40.951]  And took over our society through AI and was running all this.
[00:52:40.991 --> 00:52:42.991]  I mean, it might as well be that, as I've said a hundred times.
[00:52:43.372 --> 00:52:44.532]  It's that over the top.
[00:52:45.393 --> 00:52:47.714]  And I want to air this ad here, as we skip our own.
[00:52:47.734 --> 00:52:48.474]  This is not paid.
[00:52:48.494 --> 00:52:52.636]  The next thing people, you know, the fake story will be that I'm running AT&T ads.
[00:52:54.356 --> 00:52:59.779]  The point is that this is the brainwashing that they're engaged in.
[00:52:59.819 --> 00:53:02.320]  I just think it's interesting that we're skipping our ads to play one of their ads.
[00:53:06.024 --> 00:53:09.305]  We're in every ad that we pulled up.
[00:53:09.325 --> 00:53:10.326]  There's a whole series of these.
[00:53:10.366 --> 00:53:11.006]  They're on YouTube.
[00:53:14.087 --> 00:53:16.708]  I saw this on the Weather Channel yesterday morning.
[00:53:18.989 --> 00:53:21.009]  That the man is a complete bumbling idiot.
[00:53:22.630 --> 00:53:24.731]  But don't worry, mama's got the AI computer.
[00:53:24.791 --> 00:53:26.331]  Mama's got the system watching him.
[00:53:26.811 --> 00:53:29.172]  You know, dad forgets to open the door for the dog sitter.
[00:53:29.912 --> 00:53:31.233]  Don't worry, the computer will do it.
[00:53:32.213 --> 00:53:33.414]  Dad forgets to arm the alarm.
[00:53:33.434 --> 00:53:34.095]  Don't worry, Mom will do it.
[00:53:34.315 --> 00:53:34.956]  Don't worry, Dad.
[00:53:35.096 --> 00:53:36.117]  Dad fell asleep on the couch.
[00:53:37.718 --> 00:53:38.439]  And the kids are up.
[00:53:38.859 --> 00:53:41.101]  Mom is gonna, you know, Big Brother talk to them.
[00:53:41.121 --> 00:53:42.182]  See, Big Brother's nice.
[00:53:43.003 --> 00:53:43.924]  Big Brother's helpful.
[00:53:43.964 --> 00:53:47.587]  And then, he forgets, you know, to turn the lights off.
[00:53:47.627 --> 00:53:48.468]  Well, she does that.
[00:53:49.509 --> 00:53:50.349]  But she loves him.
[00:53:50.590 --> 00:53:51.591]  She says, I love you.
[00:53:53.512 --> 00:53:54.413]  And that's what they would do.
[00:53:54.433 --> 00:53:58.217]  You know, they'd describe it, translate it out of Latin into French, then into English.
[00:53:59.653 --> 00:54:02.574]  That half the blacks would die if they were shipped over in a coffin ship.
[00:54:03.615 --> 00:54:04.935]  They'd cram so many down the bottom.
[00:54:04.955 --> 00:54:07.416]  A lot of times, the sailors would die.
[00:54:07.456 --> 00:54:09.817]  In fact, on every mission, about 10% would die as well.
[00:54:09.857 --> 00:54:10.478]  Just horrible.
[00:54:11.618 --> 00:54:12.638]  That's how cheap life was.
[00:54:12.678 --> 00:54:19.141]  And when they got there, they said, pick out whoever the leader is, whoever people are looking to, and basically beat him to death.
[00:54:20.502 --> 00:54:24.123]  And then take a boy, 5, 6, 7 years old, and whip him.
[00:54:24.904 --> 00:54:25.664]  And tell the women,
[00:54:26.971 --> 00:54:37.773]  Through the translators that you'll have on the ship, right when they get to the slave block, in New York or wherever, or Virginia, beat them!
[00:54:38.393 --> 00:54:44.234]  Right there in front of them, within an inch of their life, and you tell them, you keep these men in line or we're going to kill them all.
[00:54:46.655 --> 00:54:49.295]  That's what they tell women today, you keep your men in line if you want to be safe.
[00:54:49.695 --> 00:54:50.755]  You do what the state says.
[00:54:51.595 --> 00:54:54.436]  Now within a few generations of that, the women just hate the men and prey on them.
[00:54:56.578 --> 00:54:58.441]  And this is our journey into total slavery.
[00:54:58.481 --> 00:55:00.103]  This is who we are now.
[00:55:01.485 --> 00:55:07.373]  And it doesn't matter what sitcom or what drama it is, dads are bad, dads are stupid, dads are lazy.
[00:55:10.637 --> 00:55:12.540]  Unless they've got gay friends.
[00:55:12.961 --> 00:55:13.481]  Or unless...
[00:55:14.892 --> 00:55:16.013]  They've married a minority.
[00:55:16.253 --> 00:55:18.396]  And again, I'm not even demonizing these messages.
[00:55:18.436 --> 00:55:26.424]  The point is, they're unified messages of social engineering, and when you see these messages, you need to understand, you're not in Kansas anymore.
[00:55:28.385 --> 00:55:30.828]  Imagine, every message is that men are bad.
[00:55:31.288 --> 00:55:32.970]  Every message is that men are no good.
[00:55:34.492 --> 00:55:37.535]  And it's there to hurt women, the main target, who are the species.
[00:55:37.775 --> 00:55:38.696]  Women are the species.
[00:55:42.711 --> 00:55:45.132]  And they convinced them to love their slavery.
[00:55:48.273 --> 00:55:50.393]  Just like the Uncle Tom in Django.
[00:55:51.694 --> 00:55:52.954]  That's what our women have been taught.
[00:55:53.134 --> 00:55:55.115]  To fight to the death for the state.
[00:55:55.775 --> 00:55:57.536]  To thank the state for everything it does to them.
[00:55:58.976 --> 00:56:07.119]  Let's go ahead and think all their frustrations and problems are in the failed men who were raised to be failures by their mothers.
[00:56:07.779 --> 00:56:11.640]  Who were told to henpeck them into submission and to make them weak.
[00:56:24.940 --> 00:56:29.722]  I remember being six years old, walking out the back door with a double-barreled 12-gauge shotgun and a pistol holstered on my side.
[00:56:30.163 --> 00:56:30.923]  Six, seven years old.
[00:56:31.703 --> 00:56:36.606]  And my grandmother looking at me while she was sitting there cooking food and going, be safe, sweetheart.
[00:56:36.626 --> 00:56:38.867]  She just looked down while she was cooking with pride.
[00:56:39.167 --> 00:56:40.268]  She wanted a man.
[00:56:42.609 --> 00:56:44.090]  She wanted a strong tribe.
[00:56:44.670 --> 00:56:48.032]  She wanted her progeny to go to the stars, not fail.
[00:56:48.272 --> 00:56:49.332]  She was a real woman.
[00:56:50.093 --> 00:56:52.894]  Not these things we've got running around today, and not these men.
[00:56:53.094 --> 00:56:53.955]  These aren't men either.
[00:56:55.967 --> 00:56:58.089]  Where is your pride to stand against this, women?
[00:56:58.330 --> 00:57:00.893]  When every ad has men being crap!
[00:57:01.333 --> 00:57:03.095]  What does that tell you about this system?
[00:57:03.295 --> 00:57:04.577]  What it wants to do to us?
[00:57:10.304 --> 00:57:12.186]  Let's now go to the evil ad.
[00:57:13.706 --> 00:57:17.090]  One piece of bacon with your egg and the omelette for the king.
[00:57:17.110 --> 00:57:17.430]  Okay, babe.
[00:57:17.691 --> 00:57:18.492]  You got this, right?
[00:57:18.552 --> 00:57:19.653]  Yeah, it's a piece of cake.
[00:57:19.673 --> 00:57:20.134]  I got this.
[00:57:20.174 --> 00:57:21.395]  Okay, good luck.
[00:57:21.435 --> 00:57:22.677]  He doesn't work, she does.
[00:57:22.777 --> 00:57:24.759]  Alright, everybody got their bags and lunches?
[00:57:24.799 --> 00:57:26.040]  Then how do we get to your school?
[00:57:26.681 --> 00:57:28.924]  Keeping things under control is now easier than ever.
[00:57:29.224 --> 00:57:34.352]  AT&T Digital Life Home Security and Automation lets you stay connected to your home from here to anywhere.
[00:57:34.372 --> 00:57:36.795]  See, it's supposed to be men that are thinking about security.
[00:57:36.835 --> 00:57:38.538]  See, everything's reversed.
[00:57:38.598 --> 00:57:41.642]  Call 1-866-595-7988 today for our special $99 digital life package.
[00:57:41.742 --> 00:57:42.503]  It's a cake, huh?
[00:57:42.543 --> 00:57:45.588]  Call right now to get smart security equipment plus an outdoor video camera.
[00:57:45.788 --> 00:57:46.688]  Back it up 15 seconds.
[00:57:46.708 --> 00:57:46.888]  See?
[00:57:47.289 --> 00:57:48.969]  Oh, he forgot to let the dog sitter in.
[00:57:49.789 --> 00:57:50.970]  She goes, piece of cake, huh?
[00:57:51.230 --> 00:57:53.450]  Everything she does is diss her husband.
[00:57:53.771 --> 00:57:54.551]  Unaffirm him.
[00:57:55.091 --> 00:57:56.671]  She'll put her boys on Prozac.
[00:57:56.711 --> 00:57:57.652]  She'll put them on Ritalin.
[00:57:57.892 --> 00:57:58.552]  She'll stun them.
[00:57:58.592 --> 00:57:59.092]  She'll hit them.
[00:57:59.312 --> 00:57:59.832]  She'll win.
[00:57:59.892 --> 00:58:00.373]  She'll win.
[00:58:00.553 --> 00:58:01.213]  Let's go back to her.
[00:58:02.369 --> 00:58:05.910]  Guess you forgot about the dog walker.
[00:58:05.950 --> 00:58:09.512]  Call 1-866-595-7988 today for our special $99 digital life package.
[00:58:09.532 --> 00:58:10.352]  Piece of cake, huh?
[00:58:10.392 --> 00:58:15.414]  Call right now to get smart security equipment, plus an outdoor video camera, plus a garage door controller, all for $99.
[00:58:15.514 --> 00:58:16.975]  Oh, come on, honey.
[00:58:17.415 --> 00:58:18.735]  It's so late.
[00:58:21.276 --> 00:58:21.616]  Whoa!
[00:58:22.177 --> 00:58:22.897]  What are you doing up?
[00:58:24.693 --> 00:58:26.055]  Piece of cake.
[00:58:26.095 --> 00:58:26.936]  Love you.
[00:58:26.956 --> 00:58:32.022]  So call right now to get smart security equipment, plus an outdoor video camera, plus a garage door controller, all for $99.
[00:58:32.122 --> 00:58:32.502]  Alright.
[00:58:32.622 --> 00:58:37.488]  Thanks, honey.
[00:58:37.608 --> 00:58:38.790]  Real life needs digital life.
[00:58:38.810 --> 00:58:39.070]  Call now.
[00:58:39.270 --> 00:58:40.392]  Thanks, honey, for the AI.
[00:58:40.432 --> 00:58:41.633]  Thanks for running my life.
[00:58:41.773 --> 00:58:43.656]  Maybe she has an app to wipe his butt.
[00:58:44.881 --> 00:58:46.722]  See, the message is you don't need men.
[00:58:46.742 --> 00:58:48.082]  Well, they don't need humans, folks!
[00:58:48.242 --> 00:58:49.603]  It's the rise of the machines!
[00:58:49.883 --> 00:58:50.443]  Warning!
[00:58:50.743 --> 00:58:51.323]  Warning!
[00:58:51.624 --> 00:58:52.184]  Warning!
[00:58:53.004 --> 00:58:53.444]  Danger!
[00:58:53.564 --> 00:58:54.845]  Danger, Will Robinson!
[00:58:54.925 --> 00:58:57.066]  Well, we're raising the alarm.
[00:58:57.126 --> 00:58:57.806]  We are men!
[00:59:01.148 --> 00:59:02.209]  In the near future.
[00:59:02.489 --> 00:59:06.131]  When you realize how fake it all is, the football, the basketball.
[00:59:06.151 --> 00:59:06.652]  Security alert.
[00:59:06.992 --> 00:59:07.992]  Security alert.
[00:59:08.213 --> 00:59:09.934]  This is Homeland Security.
[00:59:10.214 --> 00:59:10.834]  Analysis.
[00:59:11.074 --> 00:59:11.755]  InfoWars.
[00:59:11.815 --> 00:59:13.756]  Building independent media operations.
[00:59:13.776 --> 00:59:18.779]  You let the worst people get controlled and tell us that we are the ones responsible.
[00:59:18.799 --> 00:59:19.720]  Crime Directive.
[00:59:19.840 --> 00:59:21.281]  Discredit Alex Jones.
[00:59:21.381 --> 00:59:24.162]  Jones is the wildly popular conspiracy theorist.
[00:59:24.242 --> 00:59:27.304]  A popular conspiracy theory talk show called InfoWars.
[00:59:27.485 --> 00:59:29.646]  Alex Jones is now in an Austin jail.
[00:59:29.966 --> 00:59:31.267]  These people are assaulting us.
[00:59:31.287 --> 00:59:33.629]  Targeting of patriots engaged.
[00:59:34.109 --> 00:59:35.811]  They are never going to stop.
[00:59:36.071 --> 00:59:39.974]  They're never going to deviate from their program until we stop them.
[00:59:40.114 --> 00:59:43.296]  Block free iPhone ads at Infowars.com.
[00:59:43.717 --> 00:59:46.379]  Block free podcast and video feed.
[00:59:47.079 --> 00:59:47.820]  Imperative.
[00:59:48.080 --> 00:59:48.721]  Detroit.
[00:59:48.901 --> 00:59:50.102]  Criminal Minute TV.
[00:59:50.122 --> 00:59:54.505]  You gotta set your eye on the enemy, not worry about what propaganda they put out.
[00:59:54.625 --> 00:59:56.146]  Intellectually, it's begun.
[00:59:56.166 --> 00:59:56.887]  You can feel it.
[01:00:02.658 --> 01:00:05.249]  You're listening to The Alex Jones Show.
[01:00:16.141 --> 01:00:20.303]  Big Brother, Mainstream Media, Government Cover-Ups.
[01:00:20.984 --> 01:00:21.784]  You want answers?
[01:00:22.565 --> 01:00:23.445]  Well, so does he.
[01:00:24.106 --> 01:00:27.728]  He's Alex Jones on the GCN Radio Network.
[01:00:28.308 --> 01:00:32.350]  And now, live from Austin, Texas, Alex Jones.
[01:00:36.553 --> 01:00:38.735]  The globalists want robots, they want automatons.
[01:00:38.775 --> 01:00:45.702]  They're turning us into machines in the interim, while preparing to merge with their new high-tech bodies.
[01:00:46.222 --> 01:00:50.086]  In Peter Thiel's words, Ray Kurzweil's words, in all their words.
[01:00:50.106 --> 01:00:57.754]  I don't know if the founder, billionaire of PayPal is himself an evil person.
[01:00:58.936 --> 01:01:02.037]  But he certainly is pushing the life extension, and I don't blame him.
[01:01:02.617 --> 01:01:06.739]  The problem is the overall globalist program is a future that doesn't need us.
[01:01:07.119 --> 01:01:16.642]  The globalists have captured the world through fraud, they've set up a scientific control grid, they believe we're profane and unworthy because we can't even comprehend it, and they're now moving ahead with their plan.
[01:01:17.663 --> 01:01:23.685]  And so I'm going to say this to ABC, CBS, NBC, Fox, everybody else that attacks me.
[01:01:24.105 --> 01:01:27.066]  Do you understand I am not of your world?
[01:01:28.865 --> 01:01:29.485]  You understand that?
[01:01:30.686 --> 01:01:31.627]  I'm not in your paradigm.
[01:01:31.727 --> 01:01:32.368]  I'm outside of it.
[01:01:33.469 --> 01:01:34.910]  I'm in the world, not of it.
[01:01:36.731 --> 01:01:42.296]  And by that, I don't mean I'm Mr. Goody Two-Shoes, and I'm of the flesh, because that's what brought me here, and that's what I am.
[01:01:43.056 --> 01:01:46.619]  I'm speaking of the fact that I know how real this is.
[01:01:47.159 --> 01:01:56.607]  I know that you're sad victims of peer pressure, and sad victims of social climbing, and didn't have the opportunities I had, didn't come from the people that I came from.
[01:01:57.307 --> 01:01:57.968]  So I pity you.
[01:02:00.834 --> 01:02:06.595]  The point you need to understand is that you are losing and you're being destroyed by your masters.
[01:02:07.556 --> 01:02:09.536]  You are a joke, and that's sad.
[01:02:10.676 --> 01:02:14.897]  I wish you'd have the epiphany like Saul of Tarsus on the road to Damascus.
[01:02:15.438 --> 01:02:17.738]  And I pray God lift the scales from your eyes.
[01:02:19.499 --> 01:02:20.479]  I know why you're afraid.
[01:02:22.779 --> 01:02:24.900]  Just like V says, I wouldn't blame you.
[01:02:26.980 --> 01:02:28.921]  But when you get to the end of the road,
[01:02:30.410 --> 01:02:39.453]  And you realize that it's an attack on goodness and wholesomeness and the genetic code of humanity and the planet itself and that it is an alien takeover.
[01:02:41.233 --> 01:02:45.515]  Alien doesn't have to come from the distant stars or from some interdimensional vortex.
[01:02:49.116 --> 01:02:55.558]  Scientists and corporations, mad scientists are creating new life forms, new abominations.
[01:02:56.684 --> 01:03:06.489]  That in almost every case, fundamentally, attack and scar and do not coexist in any form of harmony with this jewel of a globe.
[01:03:06.889 --> 01:03:25.398]  And then we are tortured with endless fake environmentalism to distract us and fill the vacuum of legitimate concern for the Earth that we can feel the damage that's happening, we can see it, it's affecting us, just as we're sick, the Earth is sick.
[01:03:29.161 --> 01:03:47.634]  And then we have to sit there and watch the counterfeits who are the authors and the progenitors and the drivers of this coach that's being pulled by a thousand hellhounds.
[01:03:53.178 --> 01:03:53.779]  Unbelievable!
[01:03:53.979 --> 01:03:58.262]  I mean, if you just understand all this is going on and is planned,
[01:04:01.516 --> 01:04:13.049]  If you just realize that it's all coming to a head and that we can reverse a lot of this and have this crash landing be a lot less horrible and have a face-to-face debate with the globalists.
[01:04:13.929 --> 01:04:16.012]  I'll never forget Gary Hart being in front of me about We Are Change.
[01:04:17.273 --> 01:04:20.116]  It's in the film on DVD I put out.
[01:04:21.838 --> 01:04:22.499]  Truth Rising.
[01:04:25.339 --> 01:04:32.203]  Gary Hart, who wrote an open letter in Huffington Post about how our government stages terror attacks, and Iran better do what we say or we'll stage a terror attack and attack them.
[01:04:32.603 --> 01:04:35.685]  And they brought it up to him, gave him the letter, and he kept saying, no I didn't write that, no I didn't say that.
[01:04:35.965 --> 01:04:36.825]  No, you're a conspiracy theorist.
[01:04:37.126 --> 01:04:41.108]  And as soon as he did, he started sweating and he goes, okay, but that really wasn't for you.
[01:04:41.128 --> 01:04:44.390]  Uh, uh, I, I, uh, gotta go, uh, uh.
[01:04:44.650 --> 01:04:47.932]  Because it's the game of, there is no NSA, there is no, we're not coming for your guns.
[01:04:48.272 --> 01:04:49.633]  And then we like, children,
[01:04:50.493 --> 01:04:51.013]  Play along.
[01:04:51.073 --> 01:04:54.255]  He's talking to you like he's a magician and you've been hypnotized.
[01:04:54.475 --> 01:04:54.696]  Hey!
[01:04:55.076 --> 01:04:56.817]  I'm not hypnotized, jackass!
[01:04:57.097 --> 01:04:57.557]  Got that?
[01:04:58.037 --> 01:04:58.798]  I'm alive.
[01:04:58.938 --> 01:04:59.859]  I'm not sleeping.
[01:05:01.940 --> 01:05:06.222]  I could care less about being at Fox Studios and sitting around with a bunch of mummies.
[01:05:06.582 --> 01:05:08.964]  You people on your so-called high horse are a joke.
[01:05:10.225 --> 01:05:20.953]  Electronic plugs to monitor your driving for insurance discounts has resulted in over 8,000 customer complaints and over $580,000 in claim payouts from Progressive Insurance alone.
[01:05:21.414 --> 01:05:28.019]  Consumers allege that the monitoring device suddenly shut their cars off while driving, causing them to lose power steering and braking.
[01:05:28.459 --> 01:05:30.821]  Others claimed it fried their car's electronics.
[01:05:31.321 --> 01:05:34.182]  One insurance company has shut down their monitor plug-in program.
[01:05:34.342 --> 01:05:37.084]  It was ironically named My Safety Valet.
[01:05:37.504 --> 01:05:41.446]  Will knowing that you're being tracked by the insurance company cause you to drive differently?
[01:05:41.826 --> 01:05:43.467]  Red light cameras affect driver behavior.
[01:05:43.607 --> 01:05:47.889]  An investigation in LA showed red light cameras tripled the number of accidents.
[01:05:48.209 --> 01:05:51.870]  Bear in mind this week we've had the biggest recall in history.
[01:05:52.090 --> 01:05:57.273]  34 million vehicles with defective airbags that explode unexpectedly and hurl metal in your face.
[01:05:57.913 --> 01:06:06.305]  As automakers, insurance companies, and government race full speed to track us, tax us, and take away our steering wheels, it's time to put the brakes on.
[01:06:06.786 --> 01:06:08.749]  This is David Knight reporting for Infowars.com.
[01:06:10.120 --> 01:06:19.646]  Using unparalleled research and the development of a synergistic formulation based around the key concepts of super oxygenation, the next level in cleansing is here.
[01:06:19.786 --> 01:06:29.531]  With key ingredients backed by real clinical studies, the new Oxy Powder, available through InfoWars Life, was invented during Dr. Group's research on the toxification of our bodies.
[01:06:29.691 --> 01:06:32.633]  Many herbal colon cleansers are harsh on the body.
[01:06:32.833 --> 01:06:33.454]  I think so.
[01:06:47.790 --> 01:06:48.050]  We're good.
[01:07:09.967 --> 01:07:12.409]  InfoWarsLife.com.
[01:07:12.609 --> 01:07:13.609]  Check it out today.
[01:07:14.090 --> 01:07:19.713]  I have set out to bring you the most hardcore, cutting-edge supplements and nutraceuticals bar none.
[01:07:19.853 --> 01:07:22.275]  And that's what you'll find at InfoWarsLife.com.
[01:07:22.475 --> 01:07:29.599]  We have rejected literally hundreds of products from the InfoWarsLife line because they are not of the very highest quality.
[01:07:29.639 --> 01:07:30.259]  We're good to go.
[01:07:50.387 --> 01:07:50.927]  We're good.
[01:08:13.154 --> 01:08:15.956]  There are, of course, those who do not want us to speak.
[01:08:16.016 --> 01:08:16.836]  Think, just let me think.
[01:08:16.876 --> 01:08:22.680]  I suspect even now, orders are being shouted into telephones and men with guns will soon be on their way.
[01:08:22.720 --> 01:08:24.441]  It's Chancellor Settler.
[01:08:24.461 --> 01:08:24.741]  Damn it!
[01:08:24.761 --> 01:08:25.081]  Why?
[01:08:25.822 --> 01:08:31.806]  Because while the truncheon may be used in lieu of conversation, words will always retain their power.
[01:08:32.446 --> 01:08:35.588]  Words are for the means to meaning and for those who will listen.
[01:08:38.524 --> 01:08:43.166]  The truth is, there is something terribly wrong with this country, isn't there?
[01:08:43.186 --> 01:08:44.166]  You designed it, sir.
[01:08:44.226 --> 01:08:45.147]  You wanted it foolproof.
[01:08:45.167 --> 01:08:46.607]  You taught me every television in London!
[01:08:46.808 --> 01:08:50.229]  Cruelty and injustice, intolerance and oppression.
[01:08:50.709 --> 01:09:00.313]  And where once you had the freedom to object, to think and speak as you saw fit, you now have censors and systems of surveillance coercing your conformity and selecting your submission.
[01:09:00.333 --> 01:09:00.513]  Cameras.
[01:09:00.533 --> 01:09:01.274]  We need cameras.
[01:09:01.554 --> 01:09:02.274]  How did this happen?
[01:09:02.994 --> 01:09:03.775]  Who's to blame?
[01:09:04.779 --> 01:09:07.402]  Well, certainly there are those who are more responsible than others.
[01:09:07.422 --> 01:09:09.323]  They will be held accountable.
[01:09:09.343 --> 01:09:15.209]  But again, truth be told, if you're looking for the guilty, you need only look into a mirror.
[01:09:16.414 --> 01:09:18.155]  I know why you did it.
[01:09:18.175 --> 01:09:19.476]  I know you were afraid.
[01:09:19.496 --> 01:09:20.657]  Who would it be?
[01:09:21.137 --> 01:09:21.638]  War?
[01:09:21.898 --> 01:09:22.438]  Terror?
[01:09:22.518 --> 01:09:23.199]  Disease?
[01:09:23.839 --> 01:09:29.663]  There were a myriad of problems which conspired to corrupt your reason and rob you of your common sense.
[01:09:30.264 --> 01:09:31.685]  Fear got the best of you.
[01:09:32.085 --> 01:09:36.028]  And in your panic, you turned to the now High Chancellor, Adam Sutler.
[01:09:36.668 --> 01:09:37.729]  He promised you order.
[01:09:37.769 --> 01:09:38.770]  He promised you peace.
[01:09:39.270 --> 01:09:42.833]  And all he demanded in return was your silent, obedient consent.
[01:09:49.815 --> 01:09:50.796]  There is a war.
[01:09:51.236 --> 01:09:52.196]  It's happening now.
[01:09:52.937 --> 01:09:54.858]  It will decide the fate of humanity.
[01:09:55.458 --> 01:09:57.239]  The time to choose sides has come.
[01:09:58.060 --> 01:09:59.520]  We are the resistance.
[01:09:59.961 --> 01:10:01.802]  We are the Infowar.
[01:10:02.802 --> 01:10:09.546]  Live from Austin, Texas, broadcasting worldwide, I'm your host Alex Jones on this Wednesday, the 20th day already of May 2015.
[01:10:10.567 --> 01:10:16.070]  I spent pretty much the entire hour getting into dehumanization, the attack on humanity and life.
[01:10:17.276 --> 01:10:20.459]  And we're going to do that this hour as well, but from another angle.
[01:10:20.479 --> 01:10:32.228]  We're going to be talking to the head of the organization that is exposing black genocide, blackgenocide.org, Pastor Childress, Leonard Childress.
[01:10:34.069 --> 01:10:45.098]  Then New American Magazine writer and author Alex Newman is going to be joining us on the war on children inside the schools and his new book that's already becoming a bestseller, Crimes of the Educators.
[01:10:45.138 --> 01:10:45.999]  We're going to chronicle it.
[01:10:46.667 --> 01:10:47.928]  You see, we're pro-human here.
[01:10:50.009 --> 01:10:58.815]  We're pro-true advancement and truly want to progress freedom, not regress it, as the counterfeiters would tell you.
[01:11:01.876 --> 01:11:04.958]  The globalists are the opposite, the inverse of everything they say they are.
[01:11:05.799 --> 01:11:07.500]  They're not about life, they're about death.
[01:11:07.880 --> 01:11:08.921]  They are eugenicists.
[01:11:13.260 --> 01:11:20.384]  I told you forever, and because I had top experts on, whistleblowers from the Federal Reserve, you name it, here on this broadcast.
[01:11:21.245 --> 01:11:28.429]  We also had the head of the World Bank come on, two-time head economist, two-time Nobel Prize winner for economics.
[01:11:33.192 --> 01:11:35.994]  The documents got leaked about Joe Stiklitz.
[01:11:37.844 --> 01:11:45.009]  That world interest rates have been fixed, since the 60s at least, by private megabanks.
[01:11:45.370 --> 01:11:47.191]  There were six, there's now five.
[01:11:50.814 --> 01:11:55.277]  And of course, Rolling Stone came out with Matt Taibbi a few years ago and had the headline, everything is rigged.
[01:11:55.777 --> 01:11:56.558]  And it went over that.
[01:11:57.238 --> 01:12:02.522]  The stock market, interest rates, QE, money printing, all of it.
[01:12:03.583 --> 01:12:06.125]  It's come out in Associated Press, Businessweek, Bloomberg.
[01:12:07.878 --> 01:12:15.800]  That just two of these banks laundered $378 billion in two years alone.
[01:12:15.840 --> 01:12:16.940]  $378 billion.
[01:12:16.960 --> 01:12:18.361]  You know why they keep drugs illegal?
[01:12:18.381 --> 01:12:22.142]  Because they're shipping them in, boys and girls.
[01:12:23.082 --> 01:12:24.282]  Doesn't mean I like the drug culture.
[01:12:24.302 --> 01:12:25.262]  Doesn't mean I'm for drugs.
[01:12:26.042 --> 01:12:29.503]  But you decriminalize it, it takes all the money and all the glitz out of it.
[01:12:31.044 --> 01:12:31.804]  And what am I getting at?
[01:12:32.819 --> 01:12:33.279]  Reuters.
[01:12:33.379 --> 01:12:36.220]  Major banks admit guilt in Forex probe.
[01:12:36.900 --> 01:12:38.060]  Fined $6 billion.
[01:12:38.220 --> 01:12:40.221]  Folks, they make $6 billion a day.
[01:12:43.382 --> 01:12:47.943]  In fact, global currency markets, I've seen some days where they've made $20-30 billion.
[01:12:49.823 --> 01:12:52.504]  Manipulate it because they know what it's going to be.
[01:12:52.604 --> 01:12:54.245]  And so it's like a stock market.
[01:12:57.065 --> 01:12:58.166]  And so it's totally fixed.
[01:12:58.306 --> 01:12:58.806]  By who?
[01:13:00.626 --> 01:13:01.726]  By Citigroup!
[01:13:01.966 --> 01:13:03.227]  Oh, it's part of the Big Five!
[01:13:03.767 --> 01:13:04.167]  J.P.
[01:13:04.187 --> 01:13:04.607]  Morgan!
[01:13:04.967 --> 01:13:05.888]  Oh, Barclays!
[01:13:06.008 --> 01:13:07.588]  The Royal Bank of Scotland!
[01:13:10.229 --> 01:13:12.570]  And they describe themselves as a cartel!
[01:13:14.330 --> 01:13:20.372]  Invitation-only chatroom and coded language manipulated the price of U.S.
[01:13:20.412 --> 01:13:20.732]  dollars.
[01:13:20.832 --> 01:13:21.752]  Oh, just like spies!
[01:13:22.493 --> 01:13:24.673]  And by the way, I just listed those banks.
[01:13:25.914 --> 01:13:30.015]  Those are the very groups funding the open borders, the gun control,
[01:13:31.243 --> 01:13:32.063]  The abortion?
[01:13:33.064 --> 01:13:35.365]  The anti-male messages in Hollywood?
[01:13:35.625 --> 01:13:39.007]  You wonder why every movie has men, complete idiots, who can't tie their shoelaces.
[01:13:40.308 --> 01:13:46.071]  I just played the AT&T ad, where the dad's a complete moron and his wife watches every move off cameras in the house.
[01:13:46.432 --> 01:13:47.092]  And it's so cute.
[01:13:52.555 --> 01:13:57.898]  All of this is how the Romans managed slaves 2,000 years ago, with just a high-tech casing.
[01:13:58.478 --> 01:13:59.459]  A high-tech icing.
[01:14:01.954 --> 01:14:04.875]  Okay, that's just one article out of 130 or so.
[01:14:05.476 --> 01:14:06.676]  I mean, it's just all off the charts.
[01:14:06.716 --> 01:14:07.917]  And of course, we already knew that.
[01:14:08.137 --> 01:14:13.919]  It's now come out that they've fixed the gold and silver market using paper-naked shorts to keep the price down.
[01:14:16.000 --> 01:14:17.921]  And what the insiders told me a decade ago is true.
[01:14:18.221 --> 01:14:18.981]  From the U.S.
[01:14:19.021 --> 01:14:26.445]  vaults to other major vaults, they've got tungsten coated with gold that weighs the same amount, roughly, and it's fake gold.
[01:14:27.305 --> 01:14:31.307]  They're using fake gold that they then sell to each other, never even leaves the vault.
[01:14:32.452 --> 01:14:33.773]  Back and forth is right on the price.
[01:14:34.013 --> 01:14:34.533]  Tungsten!
[01:14:37.074 --> 01:14:38.795]  And they can buy up everything!
[01:14:41.917 --> 01:14:46.239]  And sign us on to 2.2, globally, 2.2 quadrillion.
[01:14:46.599 --> 01:14:48.700]  That's $2,200 trillion.
[01:14:49.080 --> 01:14:49.960]  That's not our debt.
[01:14:50.321 --> 01:14:51.141]  They've signed the U.S.
[01:14:51.221 --> 01:14:51.981]  on to half of that.
