[00:00:00.190 --> 00:00:01.838]  Offend Liberty Worldwide!
[00:56:36.107 --> 00:56:37.088]  Yeah, it's just kind of weird.
[00:56:37.148 --> 00:56:43.614]  I mean, usually I can understand if you're typing it in and, you know, you're searching on the web or whatever.
[00:56:43.634 --> 00:56:45.215]  Gotta admit, cookies are doing that.
[00:56:45.856 --> 00:56:48.478]  But I had not searched car batteries today.
[00:56:49.199 --> 00:56:50.480]  Didn't search anything like that.
[00:56:50.540 --> 00:56:57.807]  Just mentioned today to CJ and the guys that I had to ride my bike in because the battery in my car died.
[00:56:58.147 --> 00:57:01.770]  And then when I searched the weather to see what I'm going to ride home in,
[00:57:03.171 --> 00:57:05.112]  A car battery ad comes up.
[00:57:05.932 --> 00:57:06.612]  6% off.
[00:57:06.972 --> 00:57:07.673]  Car batteries.
[00:57:07.953 --> 00:57:08.613]  Need a battery?
[00:57:08.633 --> 00:57:10.414]  It's just kind of weird.
[00:57:11.794 --> 00:57:14.355]  Well, the first time it happens, you're like, oh, that's a coincidence.
[00:57:14.375 --> 00:57:15.736]  How about the 30th or 40th?
[00:57:15.776 --> 00:57:16.876]  It's constantly happening.
[00:57:17.536 --> 00:57:17.836]  Oh, yeah.
[00:57:18.376 --> 00:57:22.858]  And that's, you know, I got the newer Samsung phone, so it really listens to you.
[00:57:23.732 --> 00:57:24.773]  Well, they admit it is!
[00:57:24.813 --> 00:57:26.394]  I mean, I want new listeners to understand.
[00:57:26.834 --> 00:57:30.136]  It's a normal response to go, this is crazy, it's not happening, this guy's nuts.
[00:57:30.756 --> 00:57:31.277]  Look it up!
[00:57:31.317 --> 00:57:32.958]  There's an InfoWars.com article.
[00:57:33.298 --> 00:57:37.420]  Just type in Samsung TVs, admit they're listening, and we can put it on screen.
[00:57:37.921 --> 00:57:40.582]  I forget the exact headline, but it was from last year.
[00:57:41.343 --> 00:57:42.784]  And this is really going on.
[00:57:42.844 --> 00:57:50.128]  Just like I told you five years ago, in the Obama deceptions, that they're going to ban the word mother and father, and now they're doing it.
[00:57:50.929 --> 00:57:53.010]  I'm going off what the globalists say they're going to do.
[00:57:54.648 --> 00:57:59.432]  Samsung responds to privacy concerns over TV's recording personal conversations.
[00:57:59.472 --> 00:58:01.533]  Yeah, that's the second article when they responded to us.
[00:58:01.754 --> 00:58:03.075]  Go to the original article.
[00:58:04.536 --> 00:58:07.418]  And they even have a video tutorial.
[00:58:07.838 --> 00:58:08.899]  There'll be a link in that article.
[00:58:08.939 --> 00:58:09.820]  Put it back up and I'll show you.
[00:58:09.840 --> 00:58:10.120]  There it is.
[00:58:10.480 --> 00:58:13.943]  Samsung admits private conversations being sent to internet server.
[00:58:14.544 --> 00:58:17.146]  Smart TVs prompt privacy backlash.
[00:58:18.166 --> 00:58:22.129]  And I was told by a Time Warner executive
[00:58:23.044 --> 00:58:32.390]  A high-level engineer, in 1997, that the Scientific Atlantic digital cable boxes that were coming in had a microphone in them, and that it was being listened to.
[00:58:34.652 --> 00:58:39.816]  He also told me DVRs would soon come out and record shows, that they watch what we watch in algorithms.
[00:58:39.836 --> 00:58:40.816]  That came out a few years later.
[00:58:41.317 --> 00:58:45.619]  We broke it apart, I did on TV, and showed people, I got death threats.
[00:58:46.420 --> 00:58:48.461]  Okay, so they didn't want you to know about this.
[00:58:48.481 --> 00:58:51.964]  We'll be back with the whole Donald Trump thing, and then we got a special guest in studio.
[00:58:53.587 --> 00:58:54.828]  Visit GCNlive.com today.
[00:58:54.968 --> 00:58:56.609]  Donald Trump says Germany's generous.
[00:58:56.649 --> 00:58:57.590]  Take all the illegals in!
[00:58:59.631 --> 00:59:03.434]  Alex Jones here with a very important news alert for InfoWars listeners.
[00:59:03.714 --> 00:59:14.042]  We've confirmed through our major suppliers attempting to resupply Survival Shield X2 Deep Earth Crystals that elite corporations are buying up the supplies all over the world.
[00:59:14.182 --> 00:59:17.104]  So prices are going up and it's very hard to secure it.
[00:59:17.244 --> 00:59:26.232]  We have been able to secure a limited supply of the Pure Deep Earth Crystals and have now been able to produce more Survival Shield Nascent Iodine X2.
[00:59:26.392 --> 00:59:27.793]  This is the good halogen.
[00:59:27.893 --> 00:59:30.656]  This is the opposite of the bad halogens like fluoride.
[00:59:30.956 --> 00:59:42.747]  Now we at Infowarslife.com are bringing you the only source of clean, pure, 99.99 Ultra Pure Deep Earth Crystals from more than 7,000 feet below the Earth's surface.
[00:59:42.987 --> 00:59:44.248]  Watch the informational videos
[00:59:44.568 --> 00:59:46.771]  You're listening to the Alex Jones Show!
[01:00:15.580 --> 01:00:19.743]  Big Brother, Mainstream Media, Government Cover-Ups.
[01:00:20.423 --> 01:00:21.224]  You want answers?
[01:00:22.004 --> 01:00:22.885]  Well, so does he.
[01:00:23.545 --> 01:00:27.148]  He's Alex Jones on the GCN Radio Network.
[01:00:27.728 --> 01:00:31.811]  And now, live from Austin, Texas, Alex Jones.
[01:00:37.634 --> 01:00:45.398]  We've got the great crew back there in the control room, flipping all the switches, deep in the heart of Austin, Texas, broadcasting worldwide.
[01:00:46.779 --> 01:00:49.600]  Look, I want to support Donald Trump.
[01:00:49.760 --> 01:00:51.061]  What he's been saying has been true.
[01:00:51.121 --> 01:00:57.124]  My problem is, is that he's flip-flopped so much, talking about how much he loves Hillary Clinton in the past, been for an abortion.
[01:00:58.505 --> 01:00:59.445]  I just don't trust him.
[01:00:59.485 --> 01:01:04.848]  But as he champions liberty causes, you have to defend what he's saying, because they're trying to destroy him.
[01:01:05.688 --> 01:01:06.609]  Even if he is a straw man.
[01:01:07.827 --> 01:01:14.795]  Well now he's come out and pointed out that all these other countries won't take all these islamicists filled with ISIS and Al-Qaeda people.
[01:01:14.815 --> 01:01:15.536]  That's now admitted.
[01:01:15.556 --> 01:01:21.824]  And he says Merkel's being very generous and he commends Germany and that we need to take some of these immigrants.
[01:01:22.184 --> 01:01:23.386]  That's what Obama's about to do.
[01:01:26.030 --> 01:01:33.735]  So, I would much rather take Latin American or Chinese immigrants, even if they're getting free welfare and stuff, than radical jihadist filled groups.
[01:01:34.596 --> 01:01:43.262]  They, I mean, Al Qaeda admits they're putting their people in these groups en masse, and now we have photos of them with rocket launchers and machine guns today on InfoWars.com.
[01:01:43.442 --> 01:01:44.823]  It's a sensational article.
[01:01:45.083 --> 01:01:46.104]  We've got to get it out to everybody.
[01:01:46.124 --> 01:01:47.445]  In fact, I want to do a Facebook mentions.
[01:01:49.485 --> 01:01:52.188]  During the next break, Buckley, I want you to go back right now if you're listening.
[01:01:52.208 --> 01:01:53.309]  I know you're doing work.
[01:01:53.369 --> 01:01:56.532]  Talk to the sheriff's candidate as he walks in.
[01:01:56.552 --> 01:01:58.494]  I want it live as we meet and stuff.
[01:01:58.875 --> 01:02:05.442]  And then during another break, I'm going to be doing the Facebook mentions at our main Facebook, talking about this because
[01:02:08.806 --> 01:02:15.610]  It's just insane to have images show jihadist militants entering Europe as refugees as ISIS promised they would do.
[01:02:16.030 --> 01:02:17.611]  That needs to go mega viral.
[01:02:17.931 --> 01:02:19.732]  It's on Infowars.com right now.
[01:02:19.752 --> 01:02:22.914]  But here's Donald Trump, and you know, I don't want to call him a punk.
[01:02:24.718 --> 01:02:38.250]  But he's really smart, he's one of the slickest speakers I know, he knows full well what he's doing, and I warn people, Rand Paul needs to be radical now, and then if he has to moderate to get the presidency later, that's the strategy to win.
[01:02:38.650 --> 01:02:39.811]  Not be moderate now.
[01:02:40.732 --> 01:02:42.933]  And then, be radical later.
[01:02:43.433 --> 01:02:44.713]  Because I know Rand Paul's good.
[01:02:44.733 --> 01:02:48.975]  If he plays a little politics, I'm not really for it, but I understand it.
[01:02:49.455 --> 01:02:56.697]  With Trumpists, he was always basically a Democrat before, and a Hillary lover, and involved in a bunch of shenanigans, until now.
[01:02:58.278 --> 01:02:59.738]  And so that's why I've said, watch it.
[01:03:02.439 --> 01:03:07.101]  Here is the clip, just play Trump, here he is on O'Reilly last night.
[01:03:07.617 --> 01:03:09.458]  Well, it's a serious problem.
[01:03:09.638 --> 01:03:14.280]  We haven't seen anything like it since the Second World War, and it's getting worse and worse.
[01:03:14.380 --> 01:03:22.383]  And I was actually impressed in one way, but surprised that Merkel in Germany allowed this to happen, because they're really flowing through all over Europe.
[01:03:22.463 --> 01:03:32.887]  And if you notice, Russia's not taking, and China's not taking, and the Gulf states, whether you look at Saudi Arabia or Qatar or any of them, they're taking none.
[01:03:33.647 --> 01:03:37.651]  But some of them are, and some of them are actually being very generous.
[01:03:38.372 --> 01:03:44.357]  It's just really, I wonder, you know, where all these people are coming from exactly, and what are they representing?
[01:03:44.417 --> 01:03:46.820]  Because do you have people from ISIS in that group?
[01:03:47.040 --> 01:03:48.942]  You know, there's a lot of security risk with it.
[01:03:49.542 --> 01:03:51.144]  But something has to be done.
[01:03:51.264 --> 01:03:54.467]  It's an unbelievable humanitarian problem.
[01:03:54.587 --> 01:03:57.490]  Israel's not taken any, Britain's taken a few, maybe 5,000.
[01:03:57.550 --> 01:04:02.314]  You know thousands will come to the United States as migrants.
[01:04:02.394 --> 01:04:07.600]  Now do you object to migrants who are getting out of the Middle East and North Africa?
[01:04:08.000 --> 01:04:09.882]  Do you object to them coming to the USA?
[01:04:11.583 --> 01:04:16.046]  I hate the concept of it, but on a humanitarian basis, with what's happening, you have to.
[01:04:16.066 --> 01:04:24.512]  You know, this was started by President Obama when he didn't go in and do the job when he should have, when he drew the line in the sand, which turned out to be a very artificial line.
[01:04:24.592 --> 01:04:28.054]  But, you know, it's living in hell in Syria.
[01:04:28.074 --> 01:04:29.215]  There's no question about it.
[01:04:29.255 --> 01:04:30.316]  They're living in hell.
[01:04:32.377 --> 01:04:33.398]  They're living in hell?
[01:04:34.139 --> 01:04:38.842]  And then he goes on with a full clip out of the transcript here, for some reason I cut off early, saying we gotta take him.
[01:04:42.709 --> 01:04:43.569]  That's just insane.
[01:04:44.269 --> 01:04:49.732]  And then he acts like Obama drew a line in the sand to take out Assad, as if he didn't take out Assad, that's why this happened.
[01:04:49.772 --> 01:05:03.879]  No, NATO backed the jihadis to do this, and now they've invaded back into Iraq, and most of these people coming in, they've checked, are Wahhabists, and are the ones trying to take Syria over, but they couldn't, so now they'll just take the welfare in Europe.
[01:05:03.899 --> 01:05:08.121]  I mean, this is the shadow army of the globalists invading.
[01:05:09.671 --> 01:05:14.696]  Over the Labor Day weekend, we had reports of 8 being killed and 46 being wounded.
[01:05:15.116 --> 01:05:19.120]  July 4th of this year, we had reports of 9 dead and 53 wounded.
[01:05:19.621 --> 01:05:25.506]  And let us not forget, July 4th of last year, we had reports of 14 killed and 82 shot.
[01:05:26.027 --> 01:05:27.908]  And these are not nationwide stats.
[01:05:28.409 --> 01:05:34.395]  All of these numbers come from the city of Chicago, the city with some of the strictest gun laws in the nation.
[01:05:34.915 --> 01:05:39.617]  Which is to say, if criminals expect you to be unarmed, they're more likely to attack you.
[01:05:40.037 --> 01:05:44.318]  Not to mention the fact that much of this violence is linked to gangs or drug activity.
[01:05:44.798 --> 01:05:51.661]  Meaning that for all the gun buybacks and anti-gun commercials, criminals just haven't decided to turn in their firearms.
[01:05:52.461 --> 01:05:57.247]  And I understand that police have many responsibilities and they can't be every place at once.
[01:05:57.588 --> 01:06:01.492]  But that's why you have a Second Amendment so you'll be able to protect yourself.
[01:06:02.033 --> 01:06:05.577]  You can find more reports on InfoWars.com
[01:06:09.346 --> 01:06:19.249]  Most of the InfoWars radio listening audience is aware of the high-quality, affordable firearms available that are made right here in America at HDFirearms.com.
[01:06:19.449 --> 01:06:25.430]  One of the most exciting things about HDFirearms.com is the ability to upgrade your AR-15 platform today.
[01:06:25.590 --> 01:06:27.731]  They call it their low-profile platform.
[01:06:27.911 --> 01:06:32.512]  PVX Muzzle Bricks, proven to help control muzzle rise.
[01:06:32.532 --> 01:06:35.053]  6061 Billet Material with Type 3 Hard Coating.
[01:06:35.293 --> 01:06:36.913]  Bolt Carrier Group for .308 and .556 ARs.
[01:06:38.914 --> 01:06:40.176]  Custom Kydex holsters.
[01:06:40.476 --> 01:06:45.141]  Ideal for concealed carry with .080 thick Kydex to ensure durability.
[01:06:45.341 --> 01:06:47.744]  Most competitors material use .060.
[01:06:47.844 --> 01:06:50.988]  Configure yours today at hdfirearms.com.
[01:06:51.248 --> 01:06:53.110]  And my favorite, single stage trigger.
[01:06:53.290 --> 01:06:56.694]  A home run upgrade for your AR-15 and AR-10 platforms.
[01:06:56.914 --> 01:07:02.935]  Find out more at HDFirearms.com today or call 770-485-7015.
[01:07:03.155 --> 01:07:08.657]  That's HDFirearms.com or call 770-485-7015.
[01:07:09.197 --> 01:07:14.818]  Supermail Vitality is InfoWarsLife.com's number one selling product for a good reason.
[01:07:15.118 --> 01:07:15.598]  It works.
[01:07:15.858 --> 01:07:19.959]  Go to InfoWarsLife.com today and read the testimonials for yourself.
[01:07:20.159 --> 01:07:26.561]  There are thousands of them with an average voting score at an unprecedented four point
[01:07:27.402 --> 01:07:39.192]  It is concentrated herbs and natural organic compounds known to energize the body's natural processes that are blocked by estrogen mimickers and other toxic elements in the food chain.
[01:07:39.352 --> 01:07:44.417]  Super Mel Vitality from Infowarslife.com has sold out multiple times in the last three months.
[01:07:44.557 --> 01:07:51.904]  To fix that problem, we have now produced the biggest and most concentrated high-quality batch of Super Mel Vitality in the product's history.
[01:07:52.144 --> 01:07:54.727]  Our new ultra-strength formula is even stronger.
[01:07:54.907 --> 01:07:59.231]  Check out the third-party reviews and informational videos at InfoWarsLife.com.
[01:07:59.431 --> 01:08:02.154]  Now it's time to get your body in balance and fight back.
[01:08:02.394 --> 01:08:08.420]  I'm Alex Jones for Super Mel Vitality and InfoWarsLife.com, and I salute you, our supporters!
[01:08:10.956 --> 01:08:16.008]  The Genesis Communications Radio Network proudly presents The Alex Jones Show.
[01:08:16.369 --> 01:08:18.635]  Because there's a war on for your mind.
[01:08:27.560 --> 01:08:28.341]  Thank you for joining us.
[01:08:28.381 --> 01:08:36.586]  We're now into the second hour of this worldwide Wednesday, the ninth day of September 2015 broadcast.
[01:08:37.247 --> 01:08:39.108]  Carl Pittman comes highly recommended.
[01:08:39.268 --> 01:08:47.674]  Ted Nugent, who's on in the next hour to talk about huge, under-the-radar attacks on hunting, fishing, the Second Amendment culture, you name it.
[01:08:48.255 --> 01:08:54.019]  He's going to be joining us and he helped kick off Carl Pittman's campaign for sheriff in Harris County.
[01:08:55.205 --> 01:08:56.086]  Down in Houston.
[01:08:56.847 --> 01:08:59.289]  What, third or fourth biggest city in the United States.
[01:08:59.329 --> 01:09:00.430]  That's the county it's in.
[01:09:00.991 --> 01:09:02.432]  The county itself is just exploding.
[01:09:02.472 --> 01:09:04.274]  That's where Carl Pittman grew up.
[01:09:04.314 --> 01:09:17.748]  He was in the Marine Corps for more than a decade, then started his own successful private business in real estate, then went back into law enforcement and has worked at a lot of different levels of the Harris County Sheriff's Department, running task force, you name it, then internal affairs.
[01:09:18.428 --> 01:09:19.349]  So he's done a lot
[01:09:20.710 --> 01:09:21.930]  CarlForSheriff.com.
[01:09:21.950 --> 01:09:24.271]  I tell you, I've seen this guy give speeches.
[01:09:24.591 --> 01:09:27.792]  He was on the show last week when Jokari and Joe Biggs were hosting.
[01:09:28.372 --> 01:09:36.114]  And just as patriotic, just as good, just as articulate as, say, Richard Mack or a David Clark.
[01:09:36.194 --> 01:09:38.395]  I mean, this is the type of sheriff we need.
[01:09:38.475 --> 01:09:43.656]  What a victory in one of the biggest counties in the country to have a constitutional sheriff.
[01:09:43.676 --> 01:09:44.836]  He's not right-wing or left-wing.
[01:09:45.056 --> 01:09:45.816]  I'm not speaking for you.
[01:09:45.836 --> 01:09:47.797]  I've followed you quite a bit.
[01:09:48.617 --> 01:09:49.958]  He's not right-wing or left-wing, folks.
[01:09:49.998 --> 01:09:53.641]  He's a constitutionalist, which means follow the rules of the country.
[01:09:54.082 --> 01:09:55.403]  And so it's great to have you, sir.
[01:09:55.683 --> 01:09:58.825]  We're very honored you drove up from Houston to be here with us.
[01:09:59.025 --> 01:10:03.829]  Obviously, I want to cover the waterfront with the lawlessness of the government.
[01:10:03.869 --> 01:10:05.851]  Your words, we're talking before you went live.
[01:10:06.391 --> 01:10:08.092]  What do you think the large strategy is?
[01:10:08.632 --> 01:10:17.317]  What do you think Soros is doing with his agitators openly out promoting, deck the halls with dead cops at Christmas, put wings on them, fry the bacon?
[01:10:17.337 --> 01:10:23.021]  Obviously there's some bad police out there, there's bad anybody, but what do the Democrats think they're doing?
[01:10:23.441 --> 01:10:28.304]  Seems like jumping the shark to just nakedly try to start a war with local police.
[01:10:28.664 --> 01:10:35.408]  Is that an attempt to intimidate local jurisdictions into going under, not even federal control, but this leftist, globalist control?
[01:10:35.968 --> 01:10:45.435]  Break down your worldview, some about yourself, what you really think is happening and what you would do heading up one of the biggest counties, most populous counties in the country.
[01:10:46.436 --> 01:10:47.417]  Well Alex, I'll tell you.
[01:10:47.917 --> 01:10:53.442]  What we have going on in the United States right now is an attempt by those in our government
[01:10:55.899 --> 01:11:08.669]  Those that have been elected to lead this country, and we find that these people are much more concerned with their own agendas than the agenda of taking care of the people in this country.
[01:11:09.610 --> 01:11:14.293]  And I think what we've seen lately, whether it's in Ferguson or Baltimore,
[01:11:15.234 --> 01:11:29.857]  When you see what the President of the United States has done, and I'm quite embarrassed that he has spent most of his time apologizing for America instead of standing up and supporting and defending the Constitution.
[01:11:29.897 --> 01:11:39.759]  But, you know, he's quick to go down and support, you know, support activity that, in my opinion, is just simply bad behavior.
[01:11:40.559 --> 01:11:52.045]  So, you know, Michael Brown, the situation in New York, the situation in Baltimore, we are watching the absolute erosion of law and order in this country.
[01:11:52.485 --> 01:11:53.626]  And so it's a dangerous thing.
[01:11:54.066 --> 01:11:55.367]  It's what we have to get away from.
[01:11:55.447 --> 01:11:59.649]  It's what I would encourage every single law enforcement officer in this country to do.
[01:11:59.769 --> 01:12:03.731]  But a special call out to the elected sheriffs of the county.
[01:12:04.713 --> 01:12:15.899]  You are in the perfect position to stand up against this kind of behavior, because if we do not do it, we're going to witness the collapse of America, and I just don't want to see that happen.
[01:12:16.859 --> 01:12:20.401]  I used to hear old timers like General Benton K. Parton, who headed up
[01:12:21.081 --> 01:12:21.622]  We're good to go.
[01:12:43.024 --> 01:12:46.986]  And then basically use that crisis to have a war on the police and the military.
[01:12:47.286 --> 01:12:48.527]  They want a violent overthrow.
[01:12:49.107 --> 01:12:52.008]  And I read Saul Alinsky and the rest of it, and I knew that was part of the plan.
[01:12:52.028 --> 01:12:54.949]  I knew the Weathermen had basically tutored Obama.
[01:12:55.790 --> 01:13:02.713]  But still, you don't imagine that once they get control, they'd really want to wreck the country and make it poor with Cloward and Piven.
[01:13:02.773 --> 01:13:03.813]  But that's what they're doing.
[01:13:06.252 --> 01:13:11.805]  When you see them really trying to bring the country down, our founders said this country couldn't be taken down from without.
[01:13:12.086 --> 01:13:13.810]  We'd beaten the greatest empire the world ever seen.
[01:13:14.969 --> 01:13:16.350]  But we could fall from within.
[01:13:16.710 --> 01:13:17.130]  Absolutely.
[01:13:17.210 --> 01:13:19.771]  And we are, I think, seeing the fall.
[01:13:20.951 --> 01:13:22.412]  What do you think their endgame is?
[01:13:23.272 --> 01:13:39.658]  I think their endgame, if you have paid attention to this new world order, and there is such an attempt to destroy capitalism and the way that most of us have come to recognize America, this is against everything these people believe in.
[01:13:40.038 --> 01:13:42.659]  So is it any surprise that Barack Obama,
[01:13:43.698 --> 01:13:49.427]  is so supportive or silent when it comes to even calling ISIS, ISIS.
[01:13:49.928 --> 01:13:51.490]  I mean, there is a reason why.
[01:13:51.510 --> 01:13:53.834]  You know, I look back to my childhood.
[01:13:53.854 --> 01:13:57.519]  If you want to know who I am, take a snapshot and look at my mother.
[01:13:58.721 --> 01:13:59.182]  My mother
[01:14:01.371 --> 01:14:02.332]  I'm what she produced.
[01:14:02.992 --> 01:14:06.735]  Barack Obama is a very good product of his mother.
[01:14:06.815 --> 01:14:11.197]  So if you want to do a little reading and find out why he is the way he is, take a look at his mother.
[01:14:11.237 --> 01:14:13.138]  Those are the influences early in his life.
[01:14:13.819 --> 01:14:16.861]  And so what we're seeing shouldn't be a surprise to anyone.
[01:14:17.481 --> 01:14:18.782]  It shouldn't be a surprise to anyone.
[01:14:18.822 --> 01:14:22.285]  What surprises me is that he managed to get re-elected.
[01:14:22.685 --> 01:14:26.928]  Well, you've been the American success story from a constitutional perspective.
[01:14:26.968 --> 01:14:34.954]  Tell folks who's running for sheriff why Ted Nugent's endorsing you, Sheriff Arpaio, Sheriff Richard Mack, and so many others.
[01:14:35.494 --> 01:14:36.815]  Because this is bigger than just Houston.
[01:14:37.296 --> 01:14:45.762]  We need to get people like you of every race, color, and creed to run for sheriff around the country and support good peace officers that have good records like you do.
[01:14:46.102 --> 01:14:47.123]  Talk about your life.
[01:14:47.643 --> 01:14:57.548]  Well, you know, simply put, I was born in a foster Texas, two-room house, no running water, until I was 15.
[01:14:58.469 --> 01:15:06.593]  And my mother simply taught us after my dad died when I was in first grade, that if we worked hard we could do whatever we set our mind to.
[01:15:07.454 --> 01:15:11.636]  We didn't have to accept where we started as an end point.
[01:15:12.216 --> 01:15:19.040]  And so therefore I applied myself, I worked hard, but by the grace of God I was able to accomplish many things in my life.
[01:15:19.160 --> 01:15:28.906]  But had I fallen into this thinking that I need to wait for the government to do everything for me, I might very well be sitting in that same little two-room house in Fulcher.
[01:15:29.446 --> 01:15:33.589]  And it was something that I believe that I owe something.
[01:15:34.229 --> 01:15:45.478]  To not only those members of my family that came before me, but I owe something to all of the Americans that came before me across the spectrum of the races.
[01:15:46.259 --> 01:15:53.285]  Because there were sacrifices made for this country that, quite frankly, those trying to destroy it ought to be ashamed.
[01:15:53.745 --> 01:16:01.811]  But, you know, I have the endorsement of Joe Arpaio because Joe absolutely understands that if we do not stem the tide,
[01:16:02.632 --> 01:16:09.634]  Of this illegal alien problem, and I call it illegal alien problem because it is illegal and they are aliens.
[01:16:09.674 --> 01:16:17.856]  Well, notice they're taking the giant influx out of North Africa and out of the Middle East filled with ISIS people, migrants, but no one else calls them migrants.
[01:16:17.896 --> 01:16:18.996]  Saudi Arabia won't take them.
[01:16:19.236 --> 01:16:22.937]  They tell us what words to use, like we're in a cult or something.
[01:16:23.157 --> 01:16:23.877]  Well, I mean, you're right.
[01:16:23.997 --> 01:16:25.078]  They are illegal aliens.
[01:16:25.418 --> 01:16:33.062]  Mexico, if I try to go down there and have a baby for free, calls me an illegal alien under their federal law and will put me for a year in a labor camp.
[01:16:33.663 --> 01:16:35.223]  So why don't they get criticized?
[01:16:35.484 --> 01:16:36.984]  Why do we have to give everything for free?
[01:16:37.024 --> 01:16:37.585]  Please continue.
[01:16:37.685 --> 01:16:45.009]  Well, I think the problem is, is the liberal left, the Democrat party in this country, they're hunting votes.
[01:16:46.041 --> 01:16:46.682]  They want votes.
[01:16:47.183 --> 01:16:54.213]  So they think if they can make friends by allowing all of these illegals to come in, they're going to fall in line and give them their votes.
[01:16:54.714 --> 01:17:00.602]  You go back and take a look in the history of this country, and we'll take just a snapshot of what LBJ did.
[01:17:01.383 --> 01:17:14.211]  LBJ knew absolutely for sure that if he did not figure out a way to get black Americans on board with the Democrat Party, it was going to be a short, short time before that party was gone.
[01:17:14.491 --> 01:17:17.073]  Because blacks were conservative and wouldn't go for communism.
[01:17:17.353 --> 01:17:17.954]  Absolutely.
[01:17:18.154 --> 01:17:19.275]  And go back and start.
[01:17:19.535 --> 01:17:20.856]  You look at what Lincoln did.
[01:17:20.936 --> 01:17:26.400]  I believe Lincoln ended up giving his life, ultimately, for getting slaves freed in this country.
[01:17:26.720 --> 01:17:32.505]  But so many black Americans fall in line with this idea that the Democrat Party is there to help them.
[01:17:32.545 --> 01:17:37.549]  You look at the Jim Crow laws in the South, written and promoted
[01:17:38.189 --> 01:17:49.271]  Along with the Klan, promoted by the Democrat Party, but most black Americans that fall in line with that thinking, that the Democrat Party is there to help them and save them.
[01:17:49.891 --> 01:18:03.914]  All this free-for-all, give-everything-away does is create, in my opinion, it is a continuation of many blacks have never been able to leave the plantation, and that is a sad, sad state of affairs.
[01:18:04.494 --> 01:18:07.678]  Well, they admit under Cloward and Piven, they want everybody black, white, Hispanic.
[01:18:08.159 --> 01:18:10.301]  The economy's so bankrupt, you gotta go on welfare.
[01:18:10.421 --> 01:18:11.783]  I mean, that's their endgame plan.
[01:18:11.923 --> 01:18:12.564]  They don't hide it.
[01:18:12.824 --> 01:18:13.685]  That's what's so crazy.
[01:18:14.086 --> 01:18:22.255]  Well, many of these people who are falling in and thinking that the Democrat Party's there to help them, when all this goes bad, it'll be far too late for them to figure it out.
[01:18:22.856 --> 01:18:27.538]  But the endgame is there's going to be the super elite and those with nothing.
[01:18:27.678 --> 01:18:27.838]  Yep.
[01:18:28.158 --> 01:18:28.778]  That's where it is.
[01:18:28.898 --> 01:18:29.559]  Nothing in the middle.
[01:18:30.199 --> 01:18:31.279]  That's why George Soros.
[01:18:31.820 --> 01:18:38.042]  How does Soros, because I mean I would never say this because I'm not a cold-blooded killer and I believe people should be tried for crimes they've committed.
[01:18:38.062 --> 01:18:38.982]  I want due process.
[01:18:39.422 --> 01:18:42.864]  How does Soros get away and then the White House as well, the Justice Department?
[01:18:43.584 --> 01:18:50.849]  Clearly running and funding groups saying go out, kill the police, just randomly police are to blame for all the problems.
[01:18:51.749 --> 01:18:55.572]  And why are police groups around the country, they're starting to respond but it seems like
[01:18:56.570 --> 01:19:00.371]  They're not fighting hard enough against this and saying, we know what you're doing.
[01:19:00.771 --> 01:19:02.291]  I just can't believe they're this arrogant.
[01:19:02.771 --> 01:19:14.654]  Well, quite simply, this idea of being political correct, politically correct, has got people scared to death to stand up and say what needs to be said and do what needs to be done.
[01:19:15.374 --> 01:19:19.535]  So, Barack Obama can virtually do anything he wants, he's going to get a pass.
[01:19:19.675 --> 01:19:20.555]  So people are paralyzed?
[01:19:20.635 --> 01:19:21.375]  Oh, absolutely.
[01:19:21.435 --> 01:19:24.256]  Paralyzed with fear because God forbid if
[01:19:26.403 --> 01:19:34.052]  A conservative, particularly a white conservative, says something against the president, instantaneously deemed to be a racist.
[01:19:34.492 --> 01:19:35.693]  You know, I look at it and say...
[01:19:36.949 --> 01:19:39.171]  I'm going to judge this man on his performance.
[01:19:39.791 --> 01:19:46.436]  The only thing I'm going to pick by color is maybe a suit or maybe a car, but everything else I'm looking for good performance.
[01:19:46.776 --> 01:19:52.160]  Barack Obama has been one of the most radical, poor-performing president, at least in my lifetime.
[01:19:52.180 --> 01:19:53.341]  Black unemployment's doubled!
[01:19:53.702 --> 01:19:54.422]  Yes, absolutely.
[01:19:54.582 --> 01:19:59.746]  And most black people are still supporting him for one reason, simply because he looks like him.
[01:20:00.066 --> 01:20:00.367]  And that's
[01:20:01.087 --> 01:20:02.789]  That's the opposite of what Martin Luther King said.
[01:20:03.009 --> 01:20:04.391]  Absolutely.
[01:20:04.451 --> 01:20:05.512]  It's inverted reality.
[01:20:05.552 --> 01:20:06.013]  It's insane.
[01:20:06.053 --> 01:20:09.157]  We're going to come back and talk more about what he thinks coming in the future.
[01:20:12.123 --> 01:20:14.005]  We are a survival company.
[01:20:14.165 --> 01:20:18.389]  We manufacture our own line of level 3 and level 3A body armor.
[01:20:18.529 --> 01:20:22.212]  We proudly make our armor 100% in America.
[01:20:22.432 --> 01:20:24.294]  We have the best prices in the nation.
[01:20:24.514 --> 01:20:27.576]  About $125 cheaper than our nearest competitor.
[01:20:27.797 --> 01:20:28.877]  All lab certified.
[01:20:28.978 --> 01:20:31.260]  For thou art my rock and my fortress.
[01:20:31.380 --> 01:20:32.060]  Psalm 31 3.
[01:20:33.101 --> 01:20:36.744]  We are Fortress Survival LLC dot com.
