[00:00:08.140 --> 00:00:09.542]  Bilderberg, 2015.
[00:39:22.992 --> 00:39:28.255]  Sends you down the river.
[00:39:28.255 --> 00:39:29.616]  Oh, but don't worry.
[00:39:29.616 --> 00:39:36.901]  Evil tyranny of this level will burn and drown everyone involved in it as well.
[00:39:36.901 --> 00:39:42.664]  The gun of oppression kicks as hard as it shoots.
[00:39:42.664 --> 00:39:48.708]  The lovers of tyranny, the lovers of death, will get to drink deeply from the cups they've poured.
[00:39:56.018 --> 00:40:03.127]  Now joining us from outside the security perimeter where you get two weeks in prison and fines.
[00:40:03.127 --> 00:40:06.512]  That's being reported by the main Austrian news.
[00:40:06.512 --> 00:40:12.499]  Dinosaur Media has been embarrassed now by InfoWars.com and DrugsReport.com.
[00:40:13.300 --> 00:40:16.262]  No, it was actually really smooth getting in, Alex.
[00:40:16.262 --> 00:40:17.623]  What I noticed is there is a police presence
[00:40:38.127 --> 00:40:39.748]  Now at the airport, it's full of cops.
[00:40:39.748 --> 00:40:44.391]  There was one security official at the airport going around with a camera.
[00:40:44.391 --> 00:40:45.691]  He gave me some funny looks.
[00:40:45.691 --> 00:40:47.272]  I don't know if that's related.
[00:40:47.272 --> 00:40:55.237]  But what stands out to me is Bilderberg is where the real power lies because we saw how the journalists were treated at the G7 conference.
[00:40:55.237 --> 00:40:57.118]  Literally, they were pampered like royalty.
[00:40:57.859 --> 00:40:59.460]  They had food tables.
[00:40:59.460 --> 00:41:01.581]  They had relaxation rooms.
[00:41:01.581 --> 00:41:04.802]  They were even given goody bags with free t-shirts.
[00:41:04.802 --> 00:41:06.363]  They were completely pampered.
[00:41:06.363 --> 00:41:11.906]  And yet what's happened here, we've seen with Josh and Rob, completely harassed every single day.
[00:41:11.906 --> 00:41:15.347]  Now we've got reports... And they've been going after Guardian reporters as well.
[00:41:15.347 --> 00:41:20.950]  So the biggest paper, not just in the UK, but in Europe, they're harassing them as well.
[00:41:20.950 --> 00:41:22.051]  So a total 180.
[00:41:23.874 --> 00:41:25.055]  Total flip!
[00:41:25.055 --> 00:41:28.517]  And you know people say, oh it's just a game of golf, it's just a talking shop.
[00:41:28.517 --> 00:41:29.077]  No!
[00:41:29.077 --> 00:41:31.138]  The talking shop is the G7.
[00:41:31.138 --> 00:41:32.499]  That's the puppet show.
[00:41:32.499 --> 00:41:39.083]  This is where the real power is in evidence because it's a giant lobbying organisation.
[00:41:39.083 --> 00:41:42.425]  And again, Charlie Skelton reported about 30 minutes ago that
[00:41:42.925 --> 00:41:58.947]  People who he's with, other journalists, are now going out and buying groceries in their own hotel, which is completely away from the Bilderberg Hotel, outside the perimeter, being approached by cops in the car park, and being asked to search their vehicle, and basically asked questions, asked for their passport again.
[00:41:59.728 --> 00:42:10.152]  They've kind of restricted the security perimeter somewhat, but they're still harassing journalists to an even greater extent, which again proves that this is the real center of power.
[00:42:10.152 --> 00:42:19.797]  They're really nervous about anything whatsoever leaking out of this conference because it holds more sway than the G7 puppet show.
[00:42:19.797 --> 00:42:25.339]  We debated this year going to Bilderberg because we have exposed it, we already have sources, we know their agenda.
[00:42:26.530 --> 00:42:35.075]  We were able to report remotely, and it's very expensive to send three reporters, but I decided to do it because we're really beginning to have victory over these people.
[00:42:35.075 --> 00:42:42.859]  They understand that informationally, if we can identify them to the public, it begins to move them into check and then checkmate.
[00:42:42.859 --> 00:42:43.840]  That's why they're so desperate.
[00:42:44.620 --> 00:42:46.863]  They've been indicted before for Lockheed scandals.
[00:42:46.863 --> 00:42:50.106]  They've been indicted in World Wildlife Fund scams.
[00:42:50.106 --> 00:42:52.489]  I mean, this is really a nasty group.
[00:42:52.489 --> 00:42:55.412]  This is Mafia 2.0.
[00:42:55.412 --> 00:42:58.094]  But really, what's new is really old.
[00:42:58.094 --> 00:42:59.756]  This is the original Mafia.
[00:42:59.756 --> 00:43:02.679]  This is the proto-Mafia.
[00:43:02.679 --> 00:43:05.002]  And they cannot survive exposure.
[00:43:06.308 --> 00:43:15.813]  But if you look at how they're behaving here, it just shows that they can't help but act authoritarian because it's their arrogant, disconnected nature.
[00:43:15.813 --> 00:43:25.599]  So many years, people that work at the hotel won't talk to us when we go into the hotel a week before, days before, but then after the Bilderberg group is so rude to them,
[00:43:26.599 --> 00:43:33.681]  They will then come and meet with us at local pubs or other hangouts and give us the intel we need.
[00:43:33.681 --> 00:43:37.741]  That's why they don't let us in a week, a week and a half before at the hotel now.
[00:43:37.741 --> 00:43:45.563]  It's why they've got a security perimeter miles and miles out because they know we're doing old-fashioned journalism of, hey, listen, here's a nice tip for dinner.
[00:43:45.563 --> 00:43:48.224]  You're going to have some really evil people here in a week.
[00:43:48.224 --> 00:43:49.004]  They'll look at you weird.
[00:43:49.004 --> 00:43:50.324]  I can't talk to you about that.
[00:43:50.324 --> 00:43:51.464]  Well, just listen.
[00:43:51.464 --> 00:43:53.725]  When they won't let you look them in the eyes, when you hear them talking about
[00:43:54.065 --> 00:44:01.267]  Planetary tyranny and when they're really rude to you and hateful and don't tip you, just know these are the global mafia.
[00:44:01.267 --> 00:44:02.587]  Google Bilderberg.
[00:44:02.587 --> 00:44:03.447]  Do your research.
[00:44:03.447 --> 00:44:09.288]  Decide what's best to do and if you just want to let these criminals get away with this or if you want to give us information.
[00:44:09.288 --> 00:44:11.409]  And we will always get incredible information.
[00:44:11.409 --> 00:44:16.310]  To the point we're followed at all times by spooks when we're there.
[00:44:16.310 --> 00:44:17.830]  Jim Tucker is followed continually.
[00:44:17.830 --> 00:44:19.370]  They wait outside his hotel room.
[00:44:19.370 --> 00:44:20.851]  They break in his hotel room.
[00:44:20.851 --> 00:44:22.091]  They bug his hotel room.
[00:44:23.314 --> 00:44:30.943]  So that's why they're trying to keep you back because they are deathly afraid that we're going to learn about the criminal activities going on inside.
[00:44:30.943 --> 00:44:31.384]  Paul Watson.
[00:44:32.847 --> 00:44:45.037]  No, they're kind of flipping back to the model they had in Greece, I think it was Voulameni 2009, where they literally, you know, followed people around the town, secret spies, following them in and out of their hotels.
[00:44:45.037 --> 00:44:46.599]  You know, that blew up in their faces.
[00:44:46.599 --> 00:44:49.141]  After that, they kind of relented a bit.
[00:44:49.141 --> 00:44:54.686]  Watford and Copenhagen was very much more relaxed, so they now seem to be flipping back to that paradigm where
[00:44:55.226 --> 00:44:59.896]  They're completely paranoid about journalists getting anywhere near this conference.
[00:44:59.896 --> 00:45:03.583]  Because this, again, is where the real power is wielded.
[00:45:03.583 --> 00:45:06.609]  We got more information on the agenda coming out.
[00:45:07.811 --> 00:45:14.836]  Klaus Kleinfeld, who is the head of Alcoa, he is there representing the Business Roundtable.
[00:45:14.836 --> 00:45:32.390]  Now, of course, from the Bilderberg's official website they claim that they're not discussing the TPP, which is complete nonsense because, you know, there are numerous heads of major corporations there right as this deal is set to be authorised with a fast track with the TPA, which could come down as soon as Thursday.
[00:45:32.390 --> 00:45:35.232]  So Klaus Kleinfeld, who is a regular Bilderberg attendee,
[00:45:35.932 --> 00:45:39.114]  He represents the Business Roundtable.
[00:45:39.114 --> 00:45:48.239]  Now if you go on the Business Roundtable Group's website, basically 75% of it is devoted to lobbying for the passage of the TPP.
[00:45:48.239 --> 00:45:55.582]  The people involved in the Business Roundtable control $7.2 trillion in annual revenue.
[00:45:55.582 --> 00:46:01.385]  And he's there lobbying on their behalf with all these finance ministers, with these heads of state at Bilderberg.
[00:46:01.385 --> 00:46:04.547]  So again, you know, just a talking shop, nothing going on there.
[00:46:05.370 --> 00:46:06.831]  Also ISIS.
[00:46:06.831 --> 00:46:13.035]  In the news today we've seen, it was top of the Drudge Report earlier today, ISIS planning dirty bomb.
[00:46:13.035 --> 00:46:16.597]  Obviously we have John Allen attending Bilderberg this year.
[00:46:16.597 --> 00:46:21.320]  He's the specialist head of combating ISIS for the US.
[00:46:21.320 --> 00:46:28.705]  Again, allied with the release of this Pentagon document which said that they knew arming jihadists in Syria and Libya
[00:46:29.085 --> 00:46:29.706]  We're good to go.
[00:46:47.685 --> 00:46:50.547]  We've got Ryanair's Michael O'Leary.
[00:46:50.547 --> 00:47:02.153]  The Independent wrote a kind of sophomoric jokey article about how the fact that Michael O'Leary is there means that this is nonsense and because he's seen as quite an ostentatious character in the United Kingdom.
[00:47:02.153 --> 00:47:09.116]  But he's been a public advocate, aggressively, of the United Kingdom staying in the European Union.
[00:47:09.116 --> 00:47:16.300]  So he's going to be there talking, discussing about how to discredit the out campaign when that vote on the EU referendum
[00:47:17.489 --> 00:47:18.150]  We're good to go.
[00:47:33.051 --> 00:47:34.611]  Other takes on this?
[00:47:34.611 --> 00:47:38.973]  I mean, the media response has been generally much improved this year.
[00:47:38.973 --> 00:47:51.836]  I remember back in 2013 in Watford, the BBC reporter, the blonde woman who interviewed you, was standing literally 500 yards from where they were meeting and she said it was, quote, a conspiracy theory.
[00:47:51.836 --> 00:47:54.376]  She said, isn't this just a big conspiracy theory?
[00:47:54.376 --> 00:47:57.157]  Today the BBC released a very fair article
[00:47:57.737 --> 00:48:12.826]  Basically admitting that this group does have power, a raft of different influential people there, and generally so far the media coverage has given Bilderberg the credence and the importance it deserves in comparison to previous years.
[00:48:15.245 --> 00:48:24.248]  It's a real G7 meeting, not a public PR deception meeting, where they hand out goody bags, as you were saying.
[00:48:24.248 --> 00:48:33.892]  And once they admit that this stuff's going on, everyone's been told for 60 years there are no elites, ultra-rich don't meet in secret.
[00:48:33.892 --> 00:48:36.153]  Once people start paying attention to this, instead of
[00:48:38.229 --> 00:48:41.611]  The Kardashian dad putting on a dress.
[00:48:41.611 --> 00:49:03.888]  It is game over and I keep hammering that this is a secret illegal taxpayer-funded Lobbying meeting with all the key players of the Anglo-American establishment haggling over fine-tuning their takeover And how to sell fraudulent elections, let's face it That's what they do.
[00:49:03.888 --> 00:49:07.291]  They aren't going to meet on how to discredit
[00:49:08.632 --> 00:49:11.394]  The vote to get out of the EU for the UK.
[00:49:11.394 --> 00:49:17.858]  They're figuring out how to make it look like Scotland didn't really vote to stay.
[00:49:17.858 --> 00:49:23.702]  That the UK isn't going to vote to stay, or that it is going to.
[00:49:23.702 --> 00:49:28.505]  They're there basically figuring out how to bamboozle people, but it's not going to work forever, Paul.
[00:49:30.666 --> 00:49:38.694]  It's not going to work forever because a bigger and bigger spotlight is being shined on this conference and again that's testified to by the media coverage.
[00:49:40.760 --> 00:49:44.383]  The fact that Bilderberg is taking place after the G7 is important.
[00:49:44.383 --> 00:49:56.172]  It normally takes place before, which suggests this year they're not only setting the consensus, which G7 then kind of rubber stamps, but they're actually making the final decisions on a lot of these issues.
[00:49:56.172 --> 00:50:00.756]  And a key one is related to ISIS, because from the information we've got,
[00:50:01.385 --> 00:50:07.569]  They're going to trump up this ISIS threat, which is a genuine threat because it was created by arming those jihadists in the first place.
[00:50:07.569 --> 00:50:13.372]  But they're going to use it to target, quote, terror financing, which means economic totalitarianism.
[00:50:13.372 --> 00:50:20.317]  And that's their excuse to take over the internet, take over all transactions and kill cash, which they have all their CEOs publicly promoting right now.
[00:50:22.113 --> 00:50:26.936]  Yeah, and the very fact they would even entertain banning cash.
[00:50:26.936 --> 00:50:29.558]  I mean, from my perspective, it's never going to happen.
[00:50:29.558 --> 00:50:31.560]  There would be a worldwide revolt against it.
[00:50:31.560 --> 00:50:38.845]  But the mere fact they're considering it and promoting it is testament to their extreme... What they're going to do is it's going to be quasi-illegal.
[00:50:38.845 --> 00:50:43.668]  It'll be legal, but they're going to act like it's illegal with asset forfeiture, seizure, and the rest of it.
[00:50:43.668 --> 00:50:44.589]  I mean, look at this headline.
[00:50:44.589 --> 00:50:48.111]  Clearing your browser history can be deemed obstruction of justice in the U.S.
[00:50:48.111 --> 00:50:48.772]  Stay there, Paul.
[00:50:49.864 --> 00:50:59.383]  I want to talk more about what you predict is going to happen with the security forces and the rest of it, because this is all a microcosm of the larger global police state Bilderberg is establishing.
[00:50:59.383 --> 00:50:59.824]  Stay with us.
[00:51:01.297 --> 00:51:03.418]  So the phone rings, and I pick it up, and it's Mark.
[00:51:03.418 --> 00:51:08.781]  And Mark says to me, hey, third Sunday, June, Father's Day, I ordered Dad a gun.
[00:51:08.781 --> 00:51:09.681]  It's here.
[00:51:09.681 --> 00:51:12.422]  He's going to build it out, and we're going to go out on Father's Day shooting.
[00:51:12.422 --> 00:51:13.043]  You want to come?
[00:51:13.043 --> 00:51:13.963]  And I said, yeah.
[00:51:13.963 --> 00:51:18.806]  What a great idea for a Father's Day gift, an AR-15 rifle kit from Guns80.com.
[00:51:18.806 --> 00:51:19.846]  I think I'll get my dad one.
[00:51:19.846 --> 00:51:20.806]  He says, go ahead.
[00:51:20.806 --> 00:51:21.567]  See you out on the range.
[00:51:21.567 --> 00:51:23.468]  So we're going to meet on the range on Father's Day.
[00:51:23.468 --> 00:51:26.929]  Get your dad an AR-15 rifle kit at Guns80.com, Guns80.com, or call 844-2GUNS80.
[00:51:30.945 --> 00:51:39.848]  Silver has always been nature's very own antibiotic, and only one system allows you to produce an endless supply of nano-sized silver solutions right from the convenience of your home.
[00:51:39.848 --> 00:51:40.949]  Silver Lungs.
[00:51:40.949 --> 00:51:48.251]  With the addition of our unique lung delivery system, respiratory infections are targeted directly, where traditional oral administration simply cannot reach.
[00:51:48.251 --> 00:51:54.274]  This pioneering method also preserves the original particle sizes and delivers your silver solution directly into the bloodstream.
[00:51:54.274 --> 00:51:58.415]  See the Silver Lungs generator and lung delivery system at SilverLungs.com.
[00:51:58.415 --> 00:52:00.136]  That's SilverLungs.com.
[00:52:00.436 --> 00:52:04.661]  As if chlorine in our water weren't bad enough, now they're adding ammonia?
[00:52:04.661 --> 00:52:05.301]  It's true.
[00:52:05.301 --> 00:52:09.446]  Some municipalities are now adding ammonia plus chlorine to your water supply.
[00:52:09.446 --> 00:52:11.848]  It's a disinfectant called chloramine.
[00:52:11.848 --> 00:52:16.313]  But with a trusted Big Berkey water filter, you can keep chloramine out of your water.
[00:52:16.613 --> 00:52:29.497]  New NSF EPA certified lab tests show EPA Berkey water filters remove chloramines, pharmaceuticals, BPA, pesticides, bacteria and viruses, all forms of fluoride and much more.
[00:52:29.497 --> 00:52:33.278]  Big Berkey water filters are the original and most trusted on the market.
[00:52:33.278 --> 00:52:35.939]  The gold standard in water purification.
[00:52:35.939 --> 00:52:40.260]  And our filters last for years at less than two cents per gallon.
[00:52:40.260 --> 00:52:44.541]  Big Berkey, the one that's powerful enough to purify stagnant pond water.
[00:52:44.761 --> 00:52:46.524]  Get your Big Berkey today.
[00:52:46.524 --> 00:52:48.908]  Call 1-877-99-BERKEY or click BigBerkeyWaterFilters.com.
[00:52:48.908 --> 00:52:49.649]  That's 1-877-99-BERKEY.
[00:52:49.649 --> 00:52:51.071]  Big Berkey Water Filters.
[00:52:51.071 --> 00:52:52.093]  For the love of clean water.
[00:53:00.413 --> 00:53:01.855]  What are you listening to?
[00:53:01.855 --> 00:53:04.657]  Have you tried the Alex Jones 24-7 Listen Line?
[00:53:04.657 --> 00:53:05.358]  It's easy.
[00:53:05.358 --> 00:53:08.081]  Just punch in 1-605-562-6120.
[00:53:08.081 --> 00:53:11.444]  No apps, no data, no internet needed.
[00:53:11.444 --> 00:53:13.987]  And no extra cost if you have unlimited minutes.
[00:53:13.987 --> 00:53:17.750]  Call now, 1-605-562-6120.
[00:53:17.750 --> 00:53:20.133]  Now you can listen to Alex Jones when you want.
[00:53:20.133 --> 00:53:23.256]  Bookmark the Alex Jones 24-7 Listen Line number today.
[00:53:23.536 --> 00:53:24.116]  We're good to go.
[00:53:38.882 --> 00:53:39.122]  Thank you.
[00:54:07.810 --> 00:54:17.216]  We're going to go back to Paul Watson for the rest of this segment and the next and I'll talk for one segment with Josh Owens and of course Rob Dewey to get their take on what they've seen break down.
[00:54:17.216 --> 00:54:23.320]  We know about LeBron James may leave Cleveland to a new victory.
[00:54:23.320 --> 00:54:24.401]  What does it matter at the end of the day?
[00:54:24.401 --> 00:54:25.841]  Nothing.
[00:54:25.841 --> 00:54:29.144]  We know about Kim Kardashian's stepdad wearing a dress.
[00:54:30.490 --> 00:54:37.058]  Meanwhile, the global elite are putting fluoride in the water to brain damages and writing books how they do it, laughing at us, like eco-science.
[00:54:37.058 --> 00:54:39.941]  The White House science czar wrote a book admitting it.
[00:54:39.941 --> 00:54:44.246]  How they do it to brain damages and reduce our fertility.
[00:54:44.246 --> 00:54:47.590]  But see, that's not as cool as LeBron James, because people have been drinking fluoride.
[00:54:49.315 --> 00:54:53.336]  And it just comes down to we are identifying the real world.
[00:54:53.336 --> 00:54:56.338]  They put us in this media fantasy land and laugh at us.
[00:54:56.338 --> 00:55:00.039]  I'm coming out of the media fantasy land going, look at this!
[00:55:00.039 --> 00:55:03.260]  And you can see more and more we're able to really wake people up.
[00:55:03.260 --> 00:55:12.823]  Briefly, we've got specials that run every week, but we might go six months before we offer a special, say, on water filters.
[00:55:12.823 --> 00:55:16.505]  We're offering what I think is the best deal that we've ever
[00:55:17.739 --> 00:55:20.280]  Offered on the Pro Pure Pitcher.
[00:55:20.280 --> 00:55:28.182]  Now, it is normally $69.95 with the super high quality, high powered filter that cuts out the glyphosates, the fluoride, you name it.
[00:55:28.182 --> 00:55:37.204]  Comparable pitchers that you get at major stores just have charcoal and take out the bad taste and reduce stuff a little bit.
[00:55:37.204 --> 00:55:41.265]  This is the best system for the price out there.
[00:55:41.265 --> 00:55:42.506]  It's almost as good as their $200 systems.
[00:55:44.771 --> 00:55:49.214]  It's the Pro-1 G2.0 filter that is just amazing.
[00:55:49.214 --> 00:55:50.635]  The all-in-one filter.
[00:55:50.635 --> 00:55:52.096]  It's what I use when I'm on the road.
[00:55:52.096 --> 00:55:55.799]  We use it also right here in the office.
[00:55:55.799 --> 00:55:56.939]  It's amazing.
[00:55:56.939 --> 00:56:00.041]  It's $55.95 right now.
[00:56:00.041 --> 00:56:01.683]  That's 20% off.
[00:56:01.683 --> 00:56:04.725]  We're running the special through next Wednesday.
[00:56:04.725 --> 00:56:07.707]  And then we will not offer this special for another year.
[00:56:08.601 --> 00:56:10.826]  And we had to get special authorization to do this.
[00:56:10.826 --> 00:56:12.630]  We already have the lowest prices.
[00:56:12.630 --> 00:56:14.174]  We have a signed contract with the maker.
[00:56:15.080 --> 00:56:18.562]  We are the main global distributor because we offer such low prices.
[00:56:18.562 --> 00:56:23.426]  We had to really push to get this because, well, it's joke level.
[00:56:23.426 --> 00:56:27.548]  I mean, it basically cuts out almost all their profit and all of ours, but it's a loss leader.
[00:56:27.548 --> 00:56:32.452]  Infowarsstore.com or 888-253-3139.
[00:56:32.452 --> 00:56:41.057]  And if you can't afford or you don't want the stainless steel model that's bigger and takes maybe a minute to put together, this takes no time to put together.
[00:56:41.057 --> 00:56:44.700]  It's just great to take to work, great to have in your truck, great to take camping.
[00:56:45.500 --> 00:56:49.182]  It also funds the operation and sending our reporters around the world.
[00:56:49.182 --> 00:56:50.783]  So it's a win-win-win, 360 win.
[00:56:50.783 --> 00:56:53.044]  Anything I do, I look at it.
[00:56:53.044 --> 00:56:54.865]  Do I feel good about what I'm promoting?
[00:56:54.865 --> 00:57:00.028]  Does it make my conscience really feel ecstatic?
[00:57:00.028 --> 00:57:02.810]  Not just okay, but wow, I feel good doing this.
[00:57:02.810 --> 00:57:05.051]  I'm high on that, folks.
[00:57:05.051 --> 00:57:06.912]  I mean, that's my philosophy.
[00:57:06.912 --> 00:57:08.853]  And I know a lot of people have that philosophy.
[00:57:08.853 --> 00:57:10.614]  Just the globalists have the opposite philosophy.
[00:57:10.614 --> 00:57:12.115]  That's important we point that out.
[00:57:13.814 --> 00:57:17.398]  You know, I like to give pleasure, not hurt.
[00:57:17.398 --> 00:57:20.180]  But I also want to smash the heads in of tyrants.
[00:57:20.180 --> 00:57:21.522]  And I'll do it politically.
[00:57:21.522 --> 00:57:25.226]  We have to have that sheepdog instinct, though, to want to defend as well.
[00:57:26.488 --> 00:57:32.592]  InfowarStore.com or 888-253-3139.
[00:57:32.592 --> 00:57:36.954]  Simply the best water filtration system in the entire family.
[00:57:36.954 --> 00:57:38.275]  Biggest discounts ever.
[00:57:38.275 --> 00:57:40.256]  InfowarStore.com.
[00:57:40.256 --> 00:57:41.817]  Now, we're going to go to break in about a minute and a half.
[00:57:41.817 --> 00:57:43.278]  I want to come back to Watson.
[00:57:43.278 --> 00:57:44.839]  What are you going to cover in the next segment?
[00:57:44.839 --> 00:57:46.560]  What else have you not gotten to?
[00:57:46.560 --> 00:57:48.781]  And what are you expecting to happen this year?
[00:57:48.781 --> 00:57:50.722]  And what do you think the flavor of this year is?
[00:57:50.722 --> 00:57:54.764]  I agree they're rebranding tyranny, the next step of their takeover.
[00:57:54.764 --> 00:57:55.365]  But what else?
[00:57:55.925 --> 00:57:56.686]  Crystallizes 2015.
[00:58:14.103 --> 00:58:19.065]  Um, again, 2012, 1.9 billion dollar fine for the same thing.
[00:58:19.065 --> 00:58:30.831]  Yet, three of the top people from HSBC are now at Bilderberg, or will be tomorrow, including the head of the BBC Trust, talking about how to restrict, squeeze the middle class.
[00:58:31.551 --> 00:58:39.295]  So, we need to be watched, we need to be surveilled in terms of finances, because we might be cheating on our taxes, yet they're laundering money.
[00:58:39.295 --> 00:58:46.479]  And they're above the law, and they run the narcotics aircraft that's come out, and of course they ply drugs out, little kids out.
[00:58:46.479 --> 00:58:48.520]  These are some nasty people.
[00:58:48.520 --> 00:58:49.281]  We'll be back, stay with us.
[00:58:50.922 --> 00:59:07.587]  Ladies and gentlemen, you haven't really ever heard firearms manufacturers as sponsors on my syndicated radio show, or the nightly news, or the news website, InfoWars.com, because the companies I've been approached by were not the highest quality, and they weren't as affordable as they should be, so I refused.
[00:59:07.587 --> 00:59:11.088]  Probably 30, 40 firearms manufacturers over the years will then
[00:59:11.448 --> 00:59:15.491]  About six months ago, we get contacted by Head Down Firearms.
[00:59:15.491 --> 00:59:17.032]  HDfirearms.com.
[00:59:17.032 --> 00:59:20.355]  Owned and run by a bunch of former Navy SEALs, special ops people.
[00:59:20.355 --> 00:59:25.479]  They're veterans, they're patriots, they're listeners of the radio show, and they want to support the broadcast.
[00:59:25.479 --> 00:59:29.422]  It's always about security, whether it's for yourself, your wife, your loved ones.
[00:59:29.422 --> 00:59:31.784]  Go to their website, HDfirearms.com.
[00:59:31.784 --> 00:59:36.187]  Buy right off their website, and they'll just send it to the FFL dealer of your choice.
[00:59:36.187 --> 00:59:37.688]  You can pick it up at the gun show, you can
[00:59:37.688 --> 00:59:38.708]  You're listening to the Alex Jones Show!
[01:00:07.028 --> 01:00:11.870]  Big Brother, Mainstream Media, Government Cover-Ups.
[01:00:11.870 --> 01:00:13.451]  You want answers?
[01:00:13.451 --> 01:00:14.992]  Well, so does he.
[01:00:14.992 --> 01:00:19.193]  He's Alex Jones on the GCN Radio Network.
[01:00:19.193 --> 01:00:23.255]  And now, live from Austin, Texas, Alex Jones.
[01:00:27.837 --> 01:00:30.078]  We are back, ladies and gentlemen.
[01:00:30.078 --> 01:00:33.999]  The second hour after our reporters leave us in about 15 minutes.
[01:00:33.999 --> 01:00:36.600]  I'm going to go over the economic news.
[01:00:36.600 --> 01:00:39.482]  Dow Jones Industrial Average struggles to maintain gains.
[01:00:39.482 --> 01:00:41.122]  We're going to break down what I think is behind that.
[01:00:41.122 --> 01:00:45.104]  The latest out of control gains by ISIS in Syria and Iraq.
[01:00:45.104 --> 01:00:49.005]  It's just with our government financing the whole thing publicly.
[01:00:49.005 --> 01:00:50.006]  The Iraqis all know it.
[01:00:50.006 --> 01:00:51.446]  Their governments presented the evidence.
[01:00:51.446 --> 01:00:53.167]  Our military knows it and has tried to expose it.
[01:00:55.672 --> 01:00:58.996]  The elite really are bold.
[01:00:58.996 --> 01:01:00.177]  Paul Watson, finishing up.
[01:01:00.177 --> 01:01:03.581]  You've got the floor for the next four minutes on the Bilderberg agenda.
[01:01:03.581 --> 01:01:05.563]  Tell us what you're planning next.
[01:01:05.563 --> 01:01:07.485]  Is Skype just dropped?
[01:01:07.485 --> 01:01:08.966]  We'll reconnect with them.
[01:01:08.966 --> 01:01:09.807]  Great technology.
[01:01:09.807 --> 01:01:12.510]  We've been using Skype since they came out with it.
[01:01:12.510 --> 01:01:13.912]  We were using it back in 2008 at the DNC.
[01:01:18.763 --> 01:01:24.405]  And it's gotten a lot clearer than it used to be, and the audio's gotten better on average, but it drops as much as it ever did.
[01:01:24.405 --> 01:01:26.286]  Alex, I'm just going to mention one thing.
[01:01:26.286 --> 01:01:32.789]  We were watching them shooting a helicopter flying right over, right before it dropped.
[01:01:32.789 --> 01:01:33.849]  You think they may have jamming?
[01:01:33.849 --> 01:01:39.912]  I'm not saying it's absolute, but it would surprise me.
[01:01:39.912 --> 01:01:43.994]  So, were we capturing that, the helicopter flying over?
[01:01:45.555 --> 01:01:46.778]  Could have been on Ustream.
[01:01:46.778 --> 01:01:47.379]  I'm not sure.
[01:01:47.379 --> 01:01:51.329]  I'm sure they caught it on HD though.
[01:01:51.329 --> 01:01:53.454]  Paul, tell us about being buzzed by the helicopter.
[01:01:55.373 --> 01:01:57.615]  Yeah, I think we captured that, yeah.
[01:01:57.615 --> 01:02:01.339]  I'm not sure whether it's surveilling us or what, but yeah, we caught it.
[01:02:01.339 --> 01:02:09.407]  But one other thing is, there are a lot of smaller countries represented here at Bilderberg who are not necessarily part of the, you know, globalist agenda.
[01:02:09.407 --> 01:02:19.217]  So you will get outliers from these smaller countries, like Austria and Finland, attending this conference, which is why Jens Stoltenberg, the NATO Secretary General,
[01:02:19.617 --> 01:02:20.838]  And that's really the big news.
[01:02:20.838 --> 01:02:25.002]  They admit that they're moving armor and trainers in to fight the Russians right on their doorstep.
[01:02:25.002 --> 01:02:25.683]  This is just madness.
[01:02:45.267 --> 01:02:47.808]  Yeah, and they want to arm the Ukrainian rebels.
[01:02:47.808 --> 01:02:49.888]  We had the bill in Congress.
[01:02:49.888 --> 01:03:00.252]  Again, McCain and Lindsey Graham introduced it to arm these Ukrainian jihadists who are now on a par with ISIS, you know, with their burning people alive on crosses and hanging people.
[01:03:00.252 --> 01:03:09.014]  Those are the new freedom fighters that they want to arm, so that's going to be under discussion too.
[01:03:09.014 --> 01:03:13.736]  What are you planning, without giving away too much, and then give us your prediction for Bilderberg 2015.
[01:03:16.657 --> 01:03:18.719]  Well, obviously they're going to start arriving tomorrow.
[01:03:18.719 --> 01:03:25.524]  Normally it's late morning, so we've just got to find a good spot to get some of the cars coming in.
[01:03:25.524 --> 01:03:27.605]  Also, we're talking about another location.
[01:03:27.605 --> 01:03:34.871]  Don't want to divulge too much information, but we're looking at several different locations to catch them coming in to get the best shots.
[01:03:36.052 --> 01:03:42.156]  As far as people here, I met somebody in the airport coming through who was attending, so we'll see how many people.
[01:03:42.156 --> 01:03:45.598]  Last year in Copenhagen it wasn't so many, that was in a major city obviously.
[01:03:45.598 --> 01:03:46.839]  Did you talk to him at the airport?
[01:03:48.160 --> 01:03:53.564]  Yeah, I met him in Copenhagen last year and he was from Poland, so he was flying from London too.
[01:03:53.564 --> 01:04:02.731]  He says that, you know, other Polish people are going to be there, so there should be at least a smattering of, you know, independent media and hopefully a lot of protesters.
[01:04:02.731 --> 01:04:06.774]  Okay, so you ran into somebody who's media or a demonstrator, not someone who's part of Bilderberg?
[01:04:07.608 --> 01:04:21.679]  Well, actually, I was on the plane with somebody who was speaking in a very Bilderberg-esque tone, talking about how the UK serfs shouldn't even have the right to vote to get out of the EU, and, you know, he looked like he could be part of Bilderberg, maybe one of their aides.
[01:04:21.679 --> 01:04:36.310]  Well, let's remember, they have about 130, quote, members, usually about 10, 15 special guests, but hundreds of minions that kind of carry the brain bugs around, and so they're going to be crawling all over the place arrogantly as well.
