[00:00:03.322 --> 00:00:05.182]  Gear up!
[00:46:54.957 --> 00:46:57.238]  The station is probably 10 miles from where we are right now.
[00:46:57.238 --> 00:46:59.999]  Alright, is it a state police, local police, or federal?
[00:46:59.999 --> 00:47:05.282]  Uh, I believe it's, um, local police.
[00:47:06.038 --> 00:47:15.063]  Well, I know that there's a smorgasbord of different police out there, but maybe you should just go find the... I know some are feds, some are state police.
[00:47:15.063 --> 00:47:19.205]  Are those checkpoints federal or state police checkpoints?
[00:47:19.205 --> 00:47:21.387]  I believe they're state police.
[00:47:21.387 --> 00:47:23.568]  Well, why don't you go find their lordships?
[00:47:23.568 --> 00:47:26.910]  You could go find them there, too.
[00:47:26.910 --> 00:47:29.691]  And, you know, pull up, get out.
[00:47:29.691 --> 00:47:31.132]  What are you doing talking to us?
[00:47:31.132 --> 00:47:32.153]  We are such gods!
[00:47:33.035 --> 00:47:35.536]  You do not talk to me, scum!
[00:47:35.536 --> 00:47:37.057]  Well, we're going to do whatever you want.
[00:47:37.057 --> 00:47:41.000]  Go find the state, the feds, the local police, do whatever you want.
[00:47:41.000 --> 00:47:41.860]  Josh, great job.
[00:47:41.860 --> 00:47:42.961]  We really appreciate your work.
[00:47:42.961 --> 00:47:43.961]  We'll be watching.
[00:47:43.961 --> 00:47:47.864]  Call us, Skype us right before you do it, okay?
[00:47:47.864 --> 00:47:48.324]  Absolutely.
[00:47:48.324 --> 00:47:48.944]  Thank you, Alex.
[00:47:48.944 --> 00:47:49.385]  Thank you.
[00:47:49.385 --> 00:47:56.369]  We're going to skip this network break, the only one of the day, so that I can get to the actual checkpoint video that he's talking about.
[00:47:56.369 --> 00:47:59.691]  If you're a radio listener, InfoWars.com has the video posted.
[00:48:01.220 --> 00:48:07.063]  You can also watch us restream it at Infowars.com forward slash show and send that link out to folks.
[00:48:07.063 --> 00:48:18.269]  We're going to post on the front page the live link video of this transmission so you can share that with friends and family as well.
[00:48:18.269 --> 00:48:24.773]  But this is important and if I get excited and start barking back at the globalist minions, this is a big deal.
[00:48:25.526 --> 00:48:26.967]  This is the trampling of freedom.
[00:48:26.967 --> 00:48:30.009]  This shows you Europe's fallen to tyranny.
[00:48:30.009 --> 00:48:33.152]  It just shows the darkness growing all over the planet.
[00:48:33.152 --> 00:48:35.253]  But the good news is their agendas are in trouble.
[00:48:35.253 --> 00:48:37.415]  We're fighting back and we will gain ground.
[00:48:37.415 --> 00:48:38.816]  We will gain steam.
[00:48:38.816 --> 00:48:40.557]  We will defend free speech worldwide.
[00:48:40.557 --> 00:48:42.358]  We will defend the press worldwide.
[00:48:42.358 --> 00:48:44.500]  We will stop NSA spying.
[00:48:44.500 --> 00:48:46.982]  We will turn the tide of tyranny.
[00:48:46.982 --> 00:48:47.802]  We have to.
[00:48:47.802 --> 00:48:48.483]  We don't have a choice.
[00:48:48.483 --> 00:48:49.844]  It's going to totally overtake us if we don't.
[00:48:50.523 --> 00:49:11.001]  And we're here, just tip of the spear, trailblazing, telling the truth, making it safe to expose that ISIS is government-run, making it safe for others to attack the Federal Reserve politically, making it safe, taking the heat up front to expose our government was involved in 9-11, that's now mainstream news, it's now mainstream news, the government's running ISIS, as I mentioned.
[00:49:11.001 --> 00:49:15.204]  That's our job, and this morning, I don't normally get arrogant or on a power trip,
[00:49:16.164 --> 00:49:19.807]  But I was in the shower this morning just thinking, and I just thank God.
[00:49:19.807 --> 00:49:28.252]  And I leaned my head up against the stone wall, and I thought, thank God I've been protected this long.
[00:49:28.252 --> 00:49:30.454]  Thank God we've been so effective.
[00:49:30.454 --> 00:49:39.820]  Thank God that all of my problems, all of my foibles have been turned to good.
[00:49:42.441 --> 00:49:47.205]  Lord works in mysterious ways, and we are just at such a legendary, epic point.
[00:49:47.205 --> 00:49:48.246]  Humanity is.
[00:49:48.246 --> 00:49:50.248]  Within four hours, right at the tip of the spear.
[00:49:50.248 --> 00:49:52.309]  I mean, it is just surreal.
[00:49:52.309 --> 00:49:56.993]  It is surreal.
[00:49:56.993 --> 00:50:01.737]  To know the enemy's vulnerable and know they can be defeated.
[00:50:01.737 --> 00:50:02.958]  That's why they're freaking out.
[00:50:02.958 --> 00:50:07.242]  That's why they have police threatening people six miles away.
[00:50:08.274 --> 00:50:10.275]  Because they cannot be exposed.
[00:50:10.275 --> 00:50:11.616]  It's game over.
[00:50:11.616 --> 00:50:16.218]  We have approached the enemy's main lair.
[00:50:16.218 --> 00:50:24.203]  I'll keep using the analogy because we're talking about Germania here, but we're talking about the former Austrian-Hungarian Empire here.
[00:50:24.203 --> 00:50:31.747]  But I mean, we're like right there in Berlin within a hundred yards of Hitler's command base.
[00:50:31.747 --> 00:50:32.888]  I mean, that's the allegory.
[00:50:33.985 --> 00:50:39.688]  I mean, if people realize the power we had, the globalists have this con game where they ridicule it.
[00:50:39.688 --> 00:50:40.989]  Oh, Bilderberg doesn't exist.
[00:50:40.989 --> 00:50:42.109]  Is it a burger?
[00:50:42.109 --> 00:50:43.630]  What, does it got cheese on it?
[00:50:43.630 --> 00:50:46.612]  Oh, there's no secret group setting up trade deals that trigger.
[00:50:46.612 --> 00:50:49.273]  There's no death panels, dude.
[00:50:49.273 --> 00:50:50.554]  These crazy people.
[00:50:50.554 --> 00:50:52.535]  It doesn't work anymore.
[00:50:52.535 --> 00:50:59.939]  Because what they're doing is so illegal, so illegitimate, so over the top, that the minute it's forced to be admitted, it's all over.
[00:51:01.789 --> 00:51:04.171]  That's why they're racing to get a police state in place.
[00:51:04.171 --> 00:51:07.795]  They think that's gonna protect them when it all comes out.
[00:51:07.795 --> 00:51:10.778]  It's not gonna protect anything!
[00:51:10.778 --> 00:51:15.282]  You'll be thrown into that very police state you built, idiots!
[00:51:15.282 --> 00:51:20.568]  Your only hope was to not build the police state, steal everything, and then run off to some country.
[00:51:22.662 --> 00:51:28.823]  Now that you built this whole global police state thing, it's going to be the bear trap you set for us.
[00:51:28.823 --> 00:51:30.663]  You didn't think, step back, boom!
[00:51:30.663 --> 00:51:31.884]  It's already on your leg.
[00:51:31.884 --> 00:51:34.044]  Blood, politically, is oozing out of your leg.
[00:51:34.044 --> 00:51:35.364]  Throbbing pain.
[00:51:35.364 --> 00:51:39.185]  You're not strong enough to open it.
[00:51:39.185 --> 00:51:45.666]  And the minion you had help open it is now looking at you as a wolf that wants to eat you.
[00:51:45.666 --> 00:51:47.087]  Smells that blood.
[00:51:47.087 --> 00:51:47.807]  You're idiots.
[00:51:47.807 --> 00:51:49.407]  You are dishonorable trash.
[00:51:51.124 --> 00:51:51.985]  You're fools.
[00:51:51.985 --> 00:51:54.286]  There is no honor among thieves.
[00:51:54.286 --> 00:51:55.527]  You sold your birthright.
[00:51:55.527 --> 00:52:01.051]  You sold everything out to this evil, stinking system.
[00:52:01.051 --> 00:52:04.553]  All because of status or something you dreamed of having.
[00:52:04.553 --> 00:52:07.775]  That if you ever had status, you'd realize how it's a prison.
[00:52:07.775 --> 00:52:10.037]  How it's nothing.
[00:52:10.037 --> 00:52:13.339]  The only reason to have status and power is for service.
[00:52:13.339 --> 00:52:14.439]  Real service.
[00:52:14.439 --> 00:52:16.401]  That's the only thing that empowers.
[00:52:16.401 --> 00:52:17.902]  Everything else brings you down.
[00:52:20.438 --> 00:52:25.726]  Let's go to this checkpoint footage as our reporters prepare to go find the police and go, what, we're evil?
[00:52:25.726 --> 00:52:26.627]  We're here with cameras?
[00:52:26.627 --> 00:52:27.749]  Oh, we're so sorry.
[00:52:27.749 --> 00:52:32.115]  Oh, we're so, it's so evil that we want to show criminal groups meeting that you're protecting.
[00:52:32.115 --> 00:52:35.199]  See, they're all involved in a criminal cover-up.
[00:52:35.199 --> 00:52:36.461]  That's why they act so guilty.
[00:52:37.369 --> 00:52:42.672]  Because their bosses have told them, whatever you do, you keep the press out of there, whatever you do, you intimidate people and run them off.
[00:52:42.672 --> 00:52:45.273]  And they're going, Sir, it is not working!
[00:52:45.273 --> 00:52:47.815]  They are not afraid, it is in the newspaper!
[00:52:47.815 --> 00:52:49.315]  What do we do?
[00:52:49.315 --> 00:52:52.257]  Pog your eyes out more and take the cameras, arrest them!
[00:52:52.257 --> 00:52:56.879]  Do whatever you have to do!
[00:52:56.879 --> 00:53:01.542]  Because if I kiss their rear end, they might let me join in one of their subgroups.
[00:53:01.542 --> 00:53:03.683]  Oh, the money, oh, the... you know.
[00:53:04.528 --> 00:53:07.469]  I mean, this is how these people think, it's how they operate.
[00:53:07.469 --> 00:53:10.870]  Bunch of social-climbing nobodies.
[00:53:10.870 --> 00:53:13.411]  Ha ha ha ha ha!
[00:53:13.411 --> 00:53:17.293]  Ah, the Renaissance will smash you in its teeth.
[00:53:17.293 --> 00:53:20.334]  Ah, there's nothing you can't stop, humanity fools.
[00:53:20.334 --> 00:53:21.855]  Never stop us!
[00:53:21.855 --> 00:53:23.955]  Never going to stop anything.
[00:53:23.955 --> 00:53:24.816]  You'll be defeated!
[00:53:25.555 --> 00:53:26.255]  Let's go ahead.
[00:53:26.255 --> 00:53:31.837]  I mean, folks, the Voderberg is so evil, so anti-human, so bloodthirsty, so wicked.
[00:53:31.837 --> 00:53:33.497]  That's why I get fired up.
[00:53:33.497 --> 00:53:35.938]  Because they are the enemy of everyone.
[00:53:35.938 --> 00:53:42.059]  Your children, your family, your prosperity, your wealth, your dignity, your honor.
[00:53:42.059 --> 00:53:44.060]  They are anathema.
[00:53:44.060 --> 00:53:45.720]  Let's go ahead and go to this clip.
[00:53:45.720 --> 00:53:47.460]  I'll narrate the parts where there's no audio.
[00:53:47.460 --> 00:53:48.901]  Here it is.
[00:53:48.901 --> 00:53:53.802]  The video starts with them driving through the mountain road, coming up to the checkpoint.
[00:53:55.976 --> 00:54:00.937]  First there's a few police vehicles, then they drive on up to the actual checkpoint.
[00:54:00.937 --> 00:54:03.458]  It's stopped, the police scurry around.
[00:54:03.458 --> 00:54:05.958]  They've got an evil reporter that's nothing worse.
[00:54:05.958 --> 00:54:09.259]  Notice our police have been trained reporters are bad as well.
[00:54:09.259 --> 00:54:10.919]  Even mainstream reporters get attacked now.
[00:54:10.919 --> 00:54:16.800]  Because the enemy, the globalists, need to turn the police to their service.
[00:54:16.800 --> 00:54:19.061]  And by doing this, we expose that it's happening.
[00:54:24.452 --> 00:54:26.233]  They've gone through two different sub-checkpoints.
[00:54:26.233 --> 00:54:27.634]  Now they're being stopped at this.
[00:54:27.634 --> 00:54:39.059]  Portable buildings on the highway to search them.
[00:54:39.059 --> 00:54:45.782]  They just get off on the fact that they think they're menacing people.
[00:54:45.782 --> 00:54:48.243]  They told us to carry that with us.
[00:54:48.243 --> 00:54:50.144]  Our guys are polite.
[00:54:50.144 --> 00:54:50.584]  They're nice.
[00:54:55.463 --> 00:54:56.684]  Loving to check the papers.
[00:54:56.684 --> 00:54:58.306]  Our police have been trained as well.
[00:54:58.306 --> 00:55:01.848]  He says pull over there.
[00:55:01.848 --> 00:55:04.190]  Pull over there!
[00:55:04.190 --> 00:55:07.893]  Over to the side there.
[00:55:07.893 --> 00:55:10.295]  Make him wait ten minutes.
[00:55:10.295 --> 00:55:14.498]  And then here comes the lucky charms man.
[00:55:14.498 --> 00:55:16.420]  Mr. Arrogant.
[00:55:16.420 --> 00:55:17.621]  Could you just open the back side?
[00:55:17.621 --> 00:55:18.281]  Sure.
[00:55:18.281 --> 00:55:19.382]  Will you please open the back side?
[00:55:19.382 --> 00:55:20.223]  So she goes to search.
[00:55:25.831 --> 00:55:31.135]  Josh gets out to go help her open it.
[00:55:31.135 --> 00:55:41.183]  All of this is going on, the guy comes over with his hand on his gun, basically bugging his eyes out, menacing him.
[00:55:41.183 --> 00:55:48.149]  And he looks so upset, like it's so disgusting that people would dare want to know about things.
[00:55:48.149 --> 00:55:52.212]  They would dare not want to just grovel at the feet of tyranny.
[00:55:52.212 --> 00:55:54.914]  See, they're disgusted by freedom.
[00:55:59.878 --> 00:56:01.898]  Do you speak German?
[00:56:01.898 --> 00:56:03.239]  A little bit.
[00:56:03.239 --> 00:56:04.759]  A little bit?
[00:56:04.759 --> 00:56:05.879]  No, not really.
[00:56:05.879 --> 00:56:06.539]  Not really?
[00:56:06.539 --> 00:56:07.519]  Very small.
[00:56:07.519 --> 00:56:11.340]  I think it's very impolite to film persons without asking them.
[00:56:11.340 --> 00:56:12.080]  I think it's impolite.
[00:56:12.080 --> 00:56:14.821]  In Austria we say this is impolite, okay?
[00:56:14.821 --> 00:56:15.241]  Right.
[00:56:15.241 --> 00:56:17.721]  It's okay for you if I film you.
[00:56:17.721 --> 00:56:18.141]  Sure.
[00:56:18.141 --> 00:56:20.482]  But it's a question of character, I think, okay?
[00:56:20.482 --> 00:56:23.302]  Oh, character.
[00:56:23.302 --> 00:56:25.643]  So dude has bad character.
[00:56:25.643 --> 00:56:26.683]  Dude gets out to go talk to him.
[00:56:28.410 --> 00:56:34.392]  You know, I think it's a question of character that you guys have all this set up and there's not even an event going on right now.
[00:56:34.392 --> 00:56:35.293]  There's not even what?
[00:56:35.293 --> 00:56:37.373]  There's not even an event going on right now.
[00:56:37.373 --> 00:56:40.474]  The event is not for, uh, for, what, Thursday?
[00:56:40.474 --> 00:56:41.775]  Yes, but we are the police.
[00:56:41.775 --> 00:56:44.996]  It's our job and we get paid from taxes for controlling.
[00:56:44.996 --> 00:56:45.236]  I know.
[00:56:45.236 --> 00:56:48.797]  And not only if there's an event, we control the whole year.
[00:56:48.797 --> 00:56:53.659]  Sure, I mean, don't you think, don't you think people are, don't you think people are, are concerned about that?
[00:56:53.659 --> 00:56:55.200]  Like, how much taxes are they spending on this?
[00:56:56.300 --> 00:56:58.721]  Yes, I also spent taxes on this, but I can't decide it.
[00:56:58.721 --> 00:57:00.501]  But this is supposedly a private meeting.
[00:57:00.501 --> 00:57:04.282]  You know, this isn't a meeting for... Like, this isn't the G7.
[00:57:04.282 --> 00:57:06.163]  This is a lot different.
[00:57:06.163 --> 00:57:07.503]  I mean, they say it's a private meeting.
[00:57:07.503 --> 00:57:08.483]  They don't allow press.
[00:57:08.483 --> 00:57:12.105]  Yeah, for sure, but it's a private meeting.
[00:57:12.105 --> 00:57:13.565]  Yeah, but there is danger on it.
[00:57:13.565 --> 00:57:17.166]  And we don't just save people that are officials, okay?
[00:57:17.166 --> 00:57:21.407]  Because if you have a party at your home and there comes a burglar, it's also your private home.
[00:57:21.407 --> 00:57:21.907]  Sure.
[00:57:21.907 --> 00:57:22.888]  And we save it.
[00:57:22.888 --> 00:57:23.268]  Correct.
[00:57:23.268 --> 00:57:24.128]  And we also save this.
[00:57:26.909 --> 00:57:33.954]  They're going to save us by working for the Bilderberg Group to treat the press like garbage and put his hand on his gun and bug his eyes out.
[00:57:33.954 --> 00:57:40.299]  But when he didn't intimidate the crew, then he got mad and ran off.
[00:57:40.299 --> 00:57:49.345]  And then he really backed down when Rob Duguid got out and was towering over him, just being polite and going, man, what's your problem?
[00:57:49.345 --> 00:57:53.688]  It's normal to want to cover 150 world leaders meeting in secret.
[00:57:53.688 --> 00:57:54.409]  What's sick
[00:57:55.555 --> 00:58:03.922]  Is that the Western press has been so controlled, they would attend it and say it didn't exist, being brought into the criminal corrupt conspiracy.
[00:58:03.922 --> 00:58:07.565]  I told you we sell out of Survival Shield, Nascent I9X2.
[00:58:07.565 --> 00:58:10.207]  We have a small amount that's being made right now.
[00:58:10.207 --> 00:58:12.709]  And then when that's gone, I don't know what's going to happen.
[00:58:12.709 --> 00:58:14.911]  But we have the original Survival Shield that a lot of folks like.
[00:58:14.911 --> 00:58:15.792]  It's not as strong.
[00:58:15.792 --> 00:58:17.453]  And it's very clean as well.
[00:58:17.453 --> 00:58:19.295]  Infowarslife.com.
[00:58:19.295 --> 00:58:21.136]  We've only got a limited amount of that as well.
[00:58:22.157 --> 00:58:24.097]  I didn't know this other would sell out so quick.
[00:58:24.097 --> 00:58:27.778]  But if you want the highest quality iodine out there, it's the second best after X2.
[00:58:27.778 --> 00:58:30.239]  And well, now it's the best because X2's gone.
[00:58:30.239 --> 00:58:32.399]  InfoWarsLives.com.
[00:58:32.399 --> 00:58:33.699]  InfoWarsStore.com.
[00:58:33.699 --> 00:58:35.520]  Or 888-253-3139.
[00:58:35.520 --> 00:58:39.061]  To fund the tip of the savage sphere of liberty.
[00:58:39.061 --> 00:58:40.241]  And it is savage.
[00:58:40.241 --> 00:58:40.901]  It is true.
[00:58:40.901 --> 00:58:43.201]  And it is driven by will.
[00:58:43.201 --> 00:58:44.402]  Visit GCNLive.com today.
[00:58:49.184 --> 00:58:50.444]  Another major health threat.
[00:58:50.444 --> 00:58:55.426]  This one in Toledo, Ohio, where everybody in the entire city has been told not to drink the water.
[00:58:55.426 --> 00:58:58.087]  Ohio's governor declaring a state of emergency.
[00:58:58.087 --> 00:59:05.149]  Did you know that the average person uses about 80 to 100 gallons of water at home every single day?
[00:59:05.149 --> 00:59:08.150]  If there's a water emergency, will you be prepared?
[00:59:08.150 --> 00:59:11.071]  Panicked residents forming long lines throughout the day.
[00:59:11.071 --> 00:59:13.111]  We're here at a supermarket in Toledo.
[00:59:13.111 --> 00:59:15.932]  You can see the shelves empty where water once was.
[00:59:16.032 --> 00:59:21.755]  To stay safe and healthy during a crisis, you must have access to safe, clean water.
[00:59:21.755 --> 00:59:25.256]  Water which will not be available at your local grocery store.
[00:59:25.256 --> 00:59:28.357]  There's a mad dash on right now to stock up on supplies.
[00:59:28.357 --> 00:59:35.681]  The ProPure Pro1 G2.0 Water Filtration System is a must-have for every modern, independently-minded household.
[00:59:35.681 --> 00:59:38.902]  Protect your family's safety during an emergency.
[00:59:38.902 --> 00:59:45.165]  Go to infowarsstore.com today to purchase your ProPure Pro1 G2.0 Water Filtration System.
[00:59:45.285 --> 00:59:45.806]  Or call 1-888-253-3139.
[00:59:45.806 --> 00:59:47.008]  You're listening to the Alex Jones Show.
[01:00:05.191 --> 01:00:06.492]  Big Brother.
[01:00:06.492 --> 01:00:08.253]  Mainstream media.
[01:00:08.253 --> 01:00:10.033]  Government cover-ups.
[01:00:10.033 --> 01:00:11.594]  You want answers?
[01:00:11.594 --> 01:00:13.155]  Well, so does he.
[01:00:13.155 --> 01:00:17.337]  He's Alex Jones on the GCN Radio Network.
[01:00:17.337 --> 01:00:22.019]  And now, live from Austin, Texas, Alex Jones.
[01:00:22.019 --> 01:00:26.561]  Well, the federal police are out looking for our reporters, going to their hotel.
[01:00:26.561 --> 01:00:29.023]  Our reporters are about to go look for them.
[01:00:29.023 --> 01:00:33.525]  They can call in with audio, video, we're not sure which connection they'll be able to have at any moment.
[01:00:35.387 --> 01:00:37.328]  I have not gotten into the other news.
[01:00:37.328 --> 01:00:41.030]  I want to cover some of that in the meantime.
[01:00:41.030 --> 01:00:43.311]  We start the next segment.
[01:00:43.311 --> 01:00:46.493]  John Bounds filed another excellent report.
[01:00:46.493 --> 01:00:49.394]  The TPP is unraveling.
[01:00:49.394 --> 01:00:50.595]  Very exciting intel.
[01:00:52.984 --> 01:00:57.585]  And that ties into the hundreds of articles that go back over the last few years.
[01:00:57.585 --> 01:00:58.526]  Everything is rigged.
[01:00:58.526 --> 01:01:00.526]  The biggest price-fixing scandal ever.
[01:01:00.526 --> 01:01:01.747]  Rolling Stone.
[01:01:01.747 --> 01:01:04.128]  This is who Bilderberg is.
[01:01:04.128 --> 01:01:05.388]  London Telegraph.
[01:01:05.388 --> 01:01:10.590]  Deutsche Bank hit with largest LIBOR fine in history for fixing interest rates.
[01:01:10.590 --> 01:01:13.651]  And then the newest one from two weeks ago.
[01:01:13.651 --> 01:01:17.592]  Six banks pay $5.8 billion, five guilty of market rigging.
[01:01:18.527 --> 01:01:28.269]  But nobody gets in criminal trouble, and $5.8 billion is not even what they make in a day, globally, manipulating the world currency rates.
[01:01:28.269 --> 01:01:29.989]  That's world currency manipulation.
[01:01:29.989 --> 01:01:39.291]  The interest rates, the stock market, the currency markets, the bond markets, it's all as rigged as a $3 bill.
[01:01:39.291 --> 01:01:46.872]  And these people have stolen tens of trillions, to the point of, they have police departments around the world acting like they're toadies.
[01:01:48.268 --> 01:01:54.651]  But they should all be in jail like Bernie Madoff or Ken Lay.
[01:01:54.651 --> 01:01:56.191]  We've got their agenda, by the way.
[01:01:56.191 --> 01:01:59.212]  In fact, will you reprint me the agenda we got the drudge link to yesterday?
[01:01:59.212 --> 01:02:05.615]  I forgot to go over their actual front agenda, but there are other agendas there at play as well.
[01:02:05.615 --> 01:02:07.536]  Paul Watson gets in Wednesday.
[01:02:07.536 --> 01:02:14.959]  He's reporting just across the ocean, across the English Channel from London.
[01:02:18.948 --> 01:02:20.809]  So he'll be there on the ground.
[01:02:20.809 --> 01:02:23.809]  He's reporting also at Infowars.com.
[01:02:23.809 --> 01:02:29.771]  But if you go to Infowars.com, you'll find all the numbers to the state police, the federal police, and others.
[01:02:29.771 --> 01:02:40.554]  And I think folks should also, something you can do is, the day Bilderberg starts arriving and the second day, you can just call the hotel and ask for people's rooms or ask by name.
[01:02:40.554 --> 01:02:45.515]  And one morning, it was 6 a.m., my hotel phone rings.
[01:02:45.515 --> 01:02:47.396]  I'm about 8 miles from Bilderberg in Virginia.
[01:02:48.826 --> 01:02:51.107]  And this guy gets on and he goes, I'm hacker such and such.
[01:02:51.107 --> 01:02:53.848]  Turns out it was a well-known famous hacker.
[01:02:53.848 --> 01:02:54.848]  I go, how'd you find out where I'm staying?
[01:02:54.848 --> 01:02:56.649]  He goes, I have my ways.
[01:02:56.649 --> 01:02:57.669]  I'm never going to air this.
[01:02:57.669 --> 01:02:59.030]  It's too incredible.
[01:02:59.030 --> 01:03:00.630]  But I want you to hear what I just recorded.
[01:03:00.630 --> 01:03:07.973]  And he puts it on the line of him having like a two minute conversation with David Rockefeller.
[01:03:07.973 --> 01:03:09.954]  His assistant gets on the phone at 6 a.m.
[01:03:09.954 --> 01:03:10.734]  He called me at 6 a.m.
[01:03:10.734 --> 01:03:11.674]  It was like 5.30.
[01:03:11.674 --> 01:03:13.115]  He wakes David Rockefeller up.
[01:03:14.073 --> 01:03:18.055]  Puts David Rockefeller, David Rockefeller goes, excuse me, I'll be back in a moment.
[01:03:18.055 --> 01:03:20.796]  This is David Rockefeller, I know his voice.
[01:03:20.796 --> 01:03:22.737]  You hear like a toilet flush.
[01:03:22.737 --> 01:03:28.380]  David Rockefeller comes back in and has a discussion about, well, who is this?
[01:03:28.380 --> 01:03:31.542]  He's like, well, I mean, I'm such and such, I'm concerned about global government and all this.
[01:03:31.542 --> 01:03:36.884]  He's like, well, it's what's needed, actually, and we're working towards it.
[01:03:36.884 --> 01:03:38.385]  It's epic audio.
[01:03:38.385 --> 01:03:42.027]  And that hacker has got that audio and never released it.
[01:03:47.028 --> 01:04:00.259]  By the way, you know the Free Syrian Army, the electronic Syrian Army that counters the Al-Qaeda, ISIS, Salafist Army, is really just made up of a whole bunch of people.
[01:04:00.259 --> 01:04:03.241]  But the word is it's actually folks inside the U.S.
[01:04:03.241 --> 01:04:04.983]  military and NATO.
[01:04:04.983 --> 01:04:09.246]  You've already heard some of those folks on air saying the whole thing's a criminal operation to arm Al-Qaeda.
[01:04:09.246 --> 01:04:11.868]  That's now breaking big in the news.
[01:04:11.868 --> 01:04:14.831]  Again, devastating victory for freedom.
[01:04:17.478 --> 01:04:33.769]  But now they have hacked army.mil and other major sites and just put the message up there, don't fight for Al-Qaeda, ISIS is Al-Qaeda, your government's funding it, right as that hit newspapers all over the world.
[01:04:33.769 --> 01:04:37.072]  I mean, this is a devastating victory again against the globalists.
[01:04:38.615 --> 01:04:48.999]  To go into stable, democratizing countries, or to go into our ally Egypt, overthrow it, and then put head choppers in charge to blow up every church in the country.
[01:04:48.999 --> 01:04:51.900]  I mean, that ought to tell you something about who's running the show, folks.
[01:04:51.900 --> 01:04:56.282]  And it's got our military really, really waking up.
[01:04:56.282 --> 01:04:57.242]  So good job, globalists.
[01:04:59.170 --> 01:05:09.877]  Former DARPA Director and now Google Executive Regina Dugan will be attending the secretive 2015 Bilderberg Conference this year in Austria.
[01:05:09.877 --> 01:05:19.083]  Dugan, who is helping to develop and promote the idea of implantable microchips, will be there to head up the discussion on artificial intelligence.
[01:05:19.083 --> 01:05:23.506]  Regina Dugan is also an advocate for ingestible microchips.
[01:05:23.506 --> 01:05:26.828]  That's right, tiny microchips inside little pills.
[01:05:27.348 --> 01:05:43.740]  That users would swallow daily in order to obtain what Dugan describes as superpowers by having your entire body act as a biological authentication system for cell phones, cars, door locks, and other devices.
[01:05:43.740 --> 01:05:50.064]  And she is quick to point out that these microchip pills have already been approved by the FDA.
[01:05:50.064 --> 01:05:56.469]  For the complete list of this year's Bilderberg attendees, be sure to check out InfoWars.com.
[01:05:58.832 --> 01:06:03.975]  Introducing Secret 12, the new InfoWarsLife vitamin B12 formulation.
[01:06:03.975 --> 01:06:10.098]  Secret 12 is a binary of nutrimedical grade, bioavailable, coenzyme forms of B12.
[01:06:10.098 --> 01:06:14.880]  Methylcobalamin, the same kind used in B12 injections, and adenosylcobalamin.
[01:06:14.880 --> 01:06:18.442]  Secret 12 is simply taken by mouth, right on the tongue, and then swallowed.
[01:06:18.442 --> 01:06:20.423]  No needles, no injections.
[01:06:20.423 --> 01:06:25.546]  Secure your revolutionary Secret 12 formula right now at InfoWarsLife.com or call 888-253-3139.
[01:06:28.667 --> 01:06:29.688]  Alex Jones here.
[01:06:29.688 --> 01:06:38.971]  For the last two years, I've been working with top doctors, nutritionists, and chemists to design a nutraceutical formulation that has truly life-changing health benefits.
[01:06:38.971 --> 01:06:42.753]  Introducing the all-new Ancient Defense Herbal Immunity Blend.
[01:06:42.753 --> 01:06:51.096]  Experience the benefits of combining over 14 ancient herbs and extracts with exciting new advances in nutraceutical science.
[01:06:51.096 --> 01:06:53.897]  Visit Infowarslife.com or call 1-888-253-3139.
[01:06:53.897 --> 01:06:54.878]  That's Infowarslife.com.
[01:06:58.619 --> 01:07:03.802]  Alex Jones here with an InfoWarsLive.com consumer alert report.
[01:07:03.802 --> 01:07:11.127]  Many of you are aware that around the world most populations are woefully deficient in clean forms of iodine.
[01:07:11.127 --> 01:07:19.211]  The good news is our listeners over the past two years tried X2 nascent iodine and experienced it for themselves.
[01:07:19.211 --> 01:07:20.212]  The bad news is
[01:07:20.532 --> 01:07:28.195]  For the first time in more than a year, supplies at Infowarslife.com of Survival Shield X2 Nascent Iodine are running low.
[01:07:28.195 --> 01:07:32.997]  But what's even more serious is the supply of these Deep Earth Crystals.
[01:07:32.997 --> 01:07:40.361]  That exclusive 999 pure source is proprietary and only available to Infowarslife.com.
[01:07:40.361 --> 01:07:43.262]  And that supply is running low and is in question.
[01:07:43.482 --> 01:07:50.484]  That's why it's more important than ever to secure your current and longtime supply of Survival Shield Nascent Iodine X2 today.
[01:07:50.484 --> 01:07:54.466]  Available exclusively at InfoWarsLife.com or by calling toll-free 888-253-3139.
[01:08:01.485 --> 01:08:03.727]  He's the T-Rex of political talk.
[01:08:03.727 --> 01:08:09.052]  Alex Jones, on the GCN Radio Network.
[01:08:09.052 --> 01:08:11.995]  We've got a huge second hour lined up for you.
[01:08:11.995 --> 01:08:15.718]  Anytime now, our reporters Rob Due and Josh Owens reporting from...
[01:08:17.039 --> 01:08:33.464]  Austria and Bilderberg 2015 may be calling either by phone or video Skype as they go look for the federal police that have showed up at their hotel when they were gone, wanting to know about their YouTube videos and wanting to talk to them and were basically upset.
[01:08:33.464 --> 01:08:35.165]  They've gone through checkpoints, you name it.
[01:08:36.078 --> 01:08:38.339]  So look for that to happen.
[01:08:38.339 --> 01:08:39.060]  Ex-U.S.
[01:08:39.060 --> 01:08:43.382]  intelligence officials confirm secret Pentagon report proves U.S.
[01:08:43.382 --> 01:08:45.764]  complicity in creation of ISIS.
