[00:00:10.779 --> 00:00:14.142]  This is Rob Doo for InfoWars.com and InfoWars Nightly News.
[00:23:55.976 --> 00:24:05.127]  Researchers hypothesize that the Hib vaccine may be, in part, responsible for this rise in autism, as conjugate vaccines appear to have a profound impact on neurological development.
[00:24:05.527 --> 00:24:13.176]  These vaccines fundamentally change the manner in which the immune system of infants and young children's function, the authors of a recent study say.
[00:24:14.195 --> 00:24:17.858]  And if you look at a graph that shows autism, it's like this.
[00:24:18.038 --> 00:24:19.079]  Real low, real low.
[00:24:19.099 --> 00:24:22.661]  It starts to rise a little bit in the 80s, probably due to the increased vaccine schedule.
[00:24:23.062 --> 00:24:24.763]  And then at the end of the 80s, boom!
[00:24:24.823 --> 00:24:25.703]  It starts shooting up.
[00:24:26.144 --> 00:24:27.785]  And now we're almost to 1 in 10.
[00:24:28.085 --> 00:24:29.066]  Doesn't that make you happy?
[00:24:29.466 --> 00:24:31.708]  We're going to be number one in autism.
[00:24:32.989 --> 00:24:33.189]  USA!
[00:24:33.369 --> 00:24:33.910]  USA!
[00:24:34.410 --> 00:24:34.590]  USA!
[00:24:34.770 --> 00:24:35.291]  USA!
[00:24:35.751 --> 00:24:36.291]  USA!
[00:24:36.832 --> 00:24:39.033]  USA!
[00:24:39.293 --> 00:24:40.374]  USA!
[00:24:40.634 --> 00:24:42.536]  Alright, now I want to get to the end here.
[00:24:43.937 --> 00:24:46.598]  This is an article by Dr. Russell Blaylock, MD.
[00:24:46.638 --> 00:24:48.038]  We've had him on the show many times.
[00:24:48.118 --> 00:24:49.258]  Retired neurosurgeon.
[00:24:49.558 --> 00:24:53.219]  Just an expert on what goes on in the brain and what affects the brain.
[00:24:53.939 --> 00:24:56.580]  The Danger of Excessive Vaccination During Brain Development.
[00:24:56.640 --> 00:24:57.980]  He published this in 2008.
[00:24:58.180 --> 00:25:00.581]  This is a thick article.
[00:25:00.881 --> 00:25:01.281]  Look at this.
[00:25:02.281 --> 00:25:03.221]  Very thick article.
[00:25:03.781 --> 00:25:07.122]  It's got sections like scientific double standards of vaccine safety.
[00:25:08.171 --> 00:25:10.913]  Compelling link between autism and the vaccination program.
[00:25:11.353 --> 00:25:13.615]  The autism disaster isn't man-made.
[00:25:14.095 --> 00:25:16.677]  Immune dysfunction, the result of bystander damage.
[00:25:17.118 --> 00:25:20.100]  How immune reactions to vaccines differ depending on age.
[00:25:20.761 --> 00:25:24.543]  Autistic children more prone to develop autoimmune diseases and infections.
[00:25:24.964 --> 00:25:29.987]  Immune suppressions by live virus containing vaccines, which is almost every vaccine contains a live virus.
[00:25:30.888 --> 00:25:32.889]  Avoid the flu vaccine during pregnancy.
[00:25:33.229 --> 00:25:35.949]  Contrary to what they tell you now, you've got to get that flu vaccine.
[00:25:35.969 --> 00:25:37.650]  We've got to inject mercury into your baby.
[00:25:38.130 --> 00:25:40.070]  What about the adjuvants used in vaccines?
[00:25:40.410 --> 00:25:49.072]  I mean, this covers the entire study of what these vaccine ingredients and the live viruses themselves do to your brain and its development.
[00:25:49.492 --> 00:25:51.733]  You need to read this one if you read nothing else.
[00:25:53.436 --> 00:25:58.280]  I want to end this little vaccine extravaganza with a quote from Gandhi.
[00:25:58.860 --> 00:26:02.163]  Gandhi's anti-vaccine views ring true a century later.
[00:26:03.339 --> 00:26:10.682]  That's right, Gandhi was not a big fan of vaccines because he saw what they did to his people and they're still hurting his people today with the Bill Gates polio vaccine.
[00:26:11.383 --> 00:26:15.924]  Vaccination is a barbarous practice and one of the most fatal of all delusions current in our time.
[00:26:16.565 --> 00:26:23.428]  Conscientious objectors to vaccination should stand alone if need be against the whole world in defense of their conviction.
[00:26:24.295 --> 00:26:25.516]  And that's what I want you to do out there.
[00:26:25.536 --> 00:26:27.197]  If you feel like you're alone, just stand up.
[00:26:27.237 --> 00:26:29.158]  You will find others out there that are like you.
[00:26:29.498 --> 00:26:32.400]  Others that don't want to bow down to this forced vaccination program.
[00:26:32.680 --> 00:26:47.349]  Because once they force vaccines, they can force drug you, then they can take your children away, then they can tell you where you're going to work, how you're going to work, what kind of house you're going to have, what kind of fuel you can burn in your fireplace, and then they're going to start rounding you up and killing you like cattle when they don't need you anymore.
[00:26:48.329 --> 00:26:50.130]  So you can't let government start now.
[00:26:50.451 --> 00:26:52.332]  You've got to stop them in their tracks.
[00:26:53.146 --> 00:26:59.172]  You need to support legislation out there and support congressmen and senators out there that are for parental choice.
[00:26:59.493 --> 00:27:03.517]  Because we should all have the choice whether we inject live viruses into our body or not.
[00:27:04.138 --> 00:27:07.001]  This has been Rob Dew with InfoWars.com and InfoWars Nightly News.
[00:27:07.361 --> 00:27:09.584]  Please spread this report around to everybody you know.
[00:27:09.904 --> 00:27:17.232]  I tried to make it the most comprehensive and as short as possible with our current attention deficit disorder we have out there.
[00:27:17.913 --> 00:27:19.495]  With all the people, myself included.
[00:27:19.535 --> 00:27:20.616]  I get a little scatterbrained.
[00:27:20.936 --> 00:27:22.958]  But please, spread this information.
[00:27:23.038 --> 00:27:23.919]  Make it go viral!
[00:27:24.620 --> 00:27:24.920]  Okay?
[00:27:25.300 --> 00:27:26.001]  Make it go viral!
[00:27:26.041 --> 00:27:26.641]  Get it out there!
[00:27:27.081 --> 00:27:34.205]  Let's change the way people think about vaccines, because they're not safe and they're not effective, especially in the current way they're being used.
[00:27:34.545 --> 00:27:37.887]  And also, consider becoming a member of PrisonPlanet.tv.
[00:27:37.927 --> 00:27:48.392]  Your membership can be shared with up to 20 people at a time, so that's 20 people for the price of one, and allows you to download the movies, download the special reports, put them on DVDs, put them on your access cable shows.
[00:27:48.812 --> 00:27:57.149]  Let's start informing people because there is a war for your mind and your soul and it's happening right now and you either get in the game or you will get run over by the New World Order.
[00:27:57.710 --> 00:27:58.011]  Thank you.
[00:27:59.375 --> 00:28:05.118]  Used since before the days of the Roman Empire to support the body's natural systems and enhance overall health.
[00:28:05.458 --> 00:28:09.761]  Introducing the new InfoWarsLife.com Oil of Oregano Formulation.
[00:28:10.061 --> 00:28:17.785]  A highly advanced nutraceutical form of this key herb that has been traditionally used by civilizations for thousands of years to promote health.
[00:28:18.005 --> 00:28:23.228]  We have now procured the most high quality and potent forms of oregano oil on the market.
[00:28:23.528 --> 00:28:25.969]  Sourced from top leading manufacturers.
[00:28:26.109 --> 00:28:26.930]  We're good to go.
[00:28:44.964 --> 00:28:49.951]  This winter season, it's more important than ever to secure this true form of oil of oregano.
[00:28:50.131 --> 00:28:53.696]  Now available in our limited first run at Infowarslife.com.
[00:28:53.856 --> 00:28:55.759]  That's Infowarslife.com or call 888-253-3139.
