[00:00:00.009 --> 00:00:01.439]  The Alex Jones Show!
[00:46:13.804 --> 00:46:14.925]  It's so one-dimensional.
[00:46:15.205 --> 00:46:23.571]  People have to understand, folks, when you're hanging around with an NAACP leader in most cities, or you're hanging around with a liberal, they're not liberals, folks.
[00:46:25.879 --> 00:46:33.621]  When you're hanging around with a high-powered Democrat, you're basically hanging around, in most cases, with a group above the Ku Klux Klan.
[00:46:34.141 --> 00:46:45.184]  The Ku Klux Klan is, in their dialectic, the dumb group that they use to just create war against white people, and to make any type of Anglo rights or culture look bad, because they don't like that either.
[00:46:45.204 --> 00:46:48.084]  They don't want any culture the globalists don't control, anything strong.
[00:46:49.204 --> 00:46:50.905]  But they really don't like black people.
[00:46:53.786 --> 00:46:55.106]  The globalists really hate them.
[00:46:55.885 --> 00:47:09.392]  And that's why they got the blacks right underneath their wing, right there, going, I'm going to give you free stuff, I'm going to pay your women not to have men in the house, and I'm going to put gangster rap out there to make your men think it's cool, so they dress and act like it, and the police are primed and trained to put you in prison.
[00:47:09.412 --> 00:47:15.596]  Then we're going to train your leaders to say, kill the cops, so that you'll kill the cops, so the cops will even attack you more, so we can put all of you in prison.
[00:47:15.956 --> 00:47:21.759]  Now you go ahead, I'm your daddy Al Sharpton, with the Rockefeller Foundation, hand up my puppet.
[00:47:22.788 --> 00:47:25.418]  And you just do what I said.
[00:47:25.459 --> 00:47:26.984]  Now you go right out there and play in traffic.
[00:47:33.052 --> 00:47:38.956]  I mean, you're not gonna make it to the next level of development, ladies and gentlemen, unless you love everybody.
[00:47:39.296 --> 00:47:41.698]  And that means every race, every color, every creed.
[00:47:42.378 --> 00:47:43.359]  And you love their humanity.
[00:47:43.999 --> 00:47:48.803]  But then they take those of us that have love in our hearts and they manipulate it and say, good, accept everything.
[00:47:48.863 --> 00:47:50.083]  Accept Drano in the eyes.
[00:47:50.344 --> 00:47:51.304]  Pay for sex changes.
[00:47:51.544 --> 00:47:52.445]  Pay for abortions.
[00:47:52.745 --> 00:47:56.288]  Let us have your kids and tell them how to be sexually active when they're seven years old.
[00:47:56.788 --> 00:47:57.648]  Do what we say.
[00:47:58.029 --> 00:47:58.849]  Submit to us.
[00:47:59.169 --> 00:48:02.892]  Show us how moral and good you are and how open you are and how tolerant you are.
[00:48:03.893 --> 00:48:06.694]  So that we tolerate cultural death.
[00:48:09.056 --> 00:48:14.379]  And you notice now they're saying Facebook has 50 different sexual preferences, you can say you are, including no sex.
[00:48:15.160 --> 00:48:21.664]  And in the future you will be asexual, unsexual, drone creatures under the UN plan.
[00:48:21.684 --> 00:48:25.586]  This is all admitted by Julian Huxley, the father of transhumanism.
[00:48:26.587 --> 00:48:28.208]  They don't want you having passion.
[00:48:28.508 --> 00:48:31.110]  You know how much they hate seeing men and women together loving each other?
[00:48:32.062 --> 00:48:37.847]  You know how much they hate the incredible office of a man and woman really loving each other and coming together?
[00:48:38.107 --> 00:48:39.268]  That is so powerful.
[00:48:40.729 --> 00:48:44.652]  I mean, I used to read stuff when I was like 22 on this and I'd go, this only didn't that bad.
[00:48:44.672 --> 00:48:46.874]  They want people to be sexually active and get women out there.
[00:48:47.234 --> 00:48:50.697]  I kind of liked that because I was young and wild, you know, stupid and thought I knew everything.
[00:48:53.659 --> 00:48:57.903]  Now I understand because then you don't learn how to make that incredible bond with the right woman.
[00:48:59.070 --> 00:49:06.132]  That's made by pheromones and courting and other things that last a lifetime and will shepherd children and build a powerful house.
[00:49:08.053 --> 00:49:12.875]  So, they went in and they said, birth control, be sexually promiscuous, have fun, it's great, blah, blah, blah.
[00:49:13.235 --> 00:49:18.176]  And yeah, it's fun in the first level of it, until you get the second level, the third level, the fourth level.
[00:49:18.256 --> 00:49:23.658]  Because let's not just sit here and criticize sexually active gay people, let's talk about what heterosexuals do.
[00:49:25.059 --> 00:49:26.759]  Let's talk about how destructive that is.
[00:49:27.480 --> 00:49:28.080]  Long term.
[00:49:29.045 --> 00:49:31.906]  And believe me, I'm not up here on some high horse, folks.
[00:49:33.127 --> 00:49:37.069]  You know, I'm no Errol Flynn, but let me tell you, I've never had a problem with the ladies.
[00:49:40.331 --> 00:49:41.611]  I have just been through it.
[00:49:41.771 --> 00:49:44.172]  I can tell you, it's not fulfilling.
[00:49:44.873 --> 00:49:45.353]  Down the road.
[00:49:45.753 --> 00:49:46.253]  Long term.
[00:49:46.514 --> 00:49:47.614]  A real relationship is.
[00:49:48.114 --> 00:49:48.655]  Monogamous.
[00:49:53.237 --> 00:49:55.418]  And so they scientifically sabotaged our strength.
[00:49:56.278 --> 00:49:57.379]  They scientifically
[00:49:59.116 --> 00:49:59.856]  are bringing us down.
[00:49:59.896 --> 00:50:13.182]  This is the scientific fall of humanity, and it's going to get crazier and wilder, because evil's tried to take over over and over again, it's failed time and time again, and so it's throwing everything it can in a scorched earth policy to reduce all culture.
[00:50:14.003 --> 00:50:26.048]  And they're going to ride the collapse of civilization down, and out of the wreckage of that, the globalists will emerge, the only ones with advanced technology, and will be the new gods of this planet.
[00:50:27.639 --> 00:50:34.983]  And they even intend to keep villages of us around and old rotting cities of people and different sectors like the Hunger Games.
[00:50:35.043 --> 00:50:36.784]  People kept saying, you sound like the Hunger Games.
[00:50:36.824 --> 00:50:38.665]  No, I was saying that 20 years ago.
[00:50:38.685 --> 00:50:42.287]  The Hunger Games is just an adaptation of what the globalists really want to do.
[00:50:44.088 --> 00:50:44.528]  And that's it.
[00:50:45.369 --> 00:50:46.009]  That's their plan.
[00:50:47.930 --> 00:50:49.451]  By the way, they're going to keep some of us around.
[00:50:49.471 --> 00:50:52.412]  Maybe 100 million is the standard number in their documents.
[00:50:52.873 --> 00:50:56.875]  They're going to kill seven plus billion people in the collapse.
[00:50:57.850 --> 00:51:03.671]  And I don't know when the big collapse is coming, because there are many collapses before that getting us ready, but this is their plan.
[00:51:03.751 --> 00:51:04.371]  You've been warned.
[00:51:08.752 --> 00:51:11.493]  This Hour of GCN, brought to you by Lissig.
[00:51:11.573 --> 00:51:16.834]  The highest quality smokeless cigarettes, e-liquids, e-cig refills, car chargers and starter kits.
[00:51:16.934 --> 00:51:18.614]  Kick some ash with Lissig.
[00:51:18.674 --> 00:51:19.514]  Call 870-525-1440 or visit Lissig.com.
[00:51:23.815 --> 00:51:27.737]  Communist China freely allows the sale of bulletproof armor plates, while our U.S.
[00:51:27.777 --> 00:51:30.658]  politicians argue from banning Americans from owning body armor.
[00:51:30.858 --> 00:51:32.159]  Does that sound right to you?
[00:51:32.419 --> 00:51:35.381]  Arm your American body at InfidelBodyArmor.com.
[00:51:35.641 --> 00:51:36.561]  Infidel Body Armor.
[00:51:37.102 --> 00:51:38.222]  Just won't quit.
[00:51:38.842 --> 00:51:39.583]  Wait a minute.
[00:51:39.843 --> 00:51:44.625]  Don't spend a dime on emergency food storage until you visit ReadySupplyFoods.com.
[00:51:45.125 --> 00:51:48.227]  If you're interested in getting the most high-quality food for your money,
[00:51:48.547 --> 00:51:53.390]  Then see our comparison page where we list all the companies and rank them by value for your dollar.
[00:51:53.871 --> 00:51:58.794]  You'll see that Ready Supply Food sells 50% more food for your money than any other company.
[00:51:59.214 --> 00:52:03.197]  GMO-free, 25-year shelf life, great tasting and free shipping.
[00:52:03.577 --> 00:52:07.279]  Make an informed decision by going to ReadySupplyFood.com today!
[00:52:08.340 --> 00:52:10.761]  Hunters, anglers, campers, and survivalists.
[00:52:10.961 --> 00:52:11.902]  Get back to nature.
[00:52:12.042 --> 00:52:19.106]  Expand your horizons with the highest quality, most versatile, unique slingshots and sling bows on the market at slingbow.com.
[00:52:19.226 --> 00:52:22.708]  Slingbow products are compact and models start from just $17.98.
[00:52:23.128 --> 00:52:25.850]  They're perfect for your bug-out bag or storing in your vehicle.
[00:52:26.090 --> 00:52:29.992]  Give yourself and your loved ones the excitement and tradition of slingbow.
[00:52:30.212 --> 00:52:34.534]  A new frontier in archery and truly modern twist on this primitive survival tool.
[00:52:34.754 --> 00:52:37.396]  Feel the thrill only at slingbow.com.
[00:52:38.462 --> 00:52:39.243]  This is Dan Pilla.
[00:52:39.283 --> 00:52:40.744]  Do you owe the IRS money you can't pay?
[00:52:41.064 --> 00:52:42.345]  Are tax debts crippling you?
[00:52:42.705 --> 00:52:45.047]  I've defended people from the IRS for over 30 years.
[00:52:45.527 --> 00:52:47.389]  I've helped thousands and I can help you too.
[00:52:47.829 --> 00:52:51.872]  I wrote the book on IRS settlement and I'm telling you, there's no such thing as a hopeless case.
[00:52:52.332 --> 00:52:56.035]  Call 800-34-NO-TAX to finally get free of IRS debt.
[00:52:56.275 --> 00:52:59.738]  With the IRS's new programs, there's never been a better time to solve your problem.
[00:53:00.058 --> 00:53:00.358]  Call 800-34-NO-TAX.
[00:53:00.378 --> 00:53:02.120]  That's 800-34-NO-TAX or my website, danpilla.com.
[00:53:07.981 --> 00:53:10.322]  The human body is more than 60% water.
[00:53:11.102 --> 00:53:13.403]  Your brain and muscles are 75% water.
[00:53:14.123 --> 00:53:16.044]  And your blood is 92% water.
[00:53:16.724 --> 00:53:21.366]  Water is vital to your body, and alkalizing your water is the key to keep it running at its best.
[00:53:22.066 --> 00:53:28.909]  AlkaVision Plasma pH Drops keep your entire body healthy, boosts energy, promotes weight loss, and even fights cancer.
[00:53:29.269 --> 00:53:32.170]  Call 800-518-7615 or go to alkavision.com to find out more.
[00:53:32.190 --> 00:53:33.611]  That's alkavision.com.
[00:53:37.552 --> 00:53:45.496]  There are hundreds of silver products on the market today, but there's nothing like the astonishing health benefits of the multi-patented One Silver Solution.
[00:53:45.656 --> 00:53:51.420]  Boost your immune system at a great price with our Silver Solution liquid, starting at $12.95 a bottle.
[00:53:51.520 --> 00:53:54.201]  Now available in regular and extra strength.
[00:53:54.421 --> 00:53:56.662]  That's half the price of the leading competitors.
[00:53:56.862 --> 00:54:02.425]  Call 844-USE-SILVER for your free catalog, or go to onesilversolution.com.
[00:54:02.646 --> 00:54:04.447]  Onesilversolution.com.
[00:54:04.587 --> 00:54:06.808]  There is only one silver solution.
[00:54:12.168 --> 00:54:13.989]  You did a bad, bad thing, New World Order.
[00:54:15.771 --> 00:54:18.653]  That's what Putin said when he was in the UN.
[00:54:18.733 --> 00:54:19.954]  He goes, look at what you've done.
[00:54:19.974 --> 00:54:25.378]  He's stabilizing a whole region, killing hundreds of thousands, putting extremists in charge.
[00:54:26.279 --> 00:54:26.819]  You did this.
[00:54:26.839 --> 00:54:27.640]  Look what you've done.
[00:54:27.840 --> 00:54:29.341]  They did a bad, bad thing.
[00:54:29.401 --> 00:54:30.382]  They did a bad, bad thing.
[00:54:31.003 --> 00:54:32.424]  They did a bad, bad thing.
[00:54:32.904 --> 00:54:36.267]  All the human chimeras, all the baby harvesting.
[00:54:40.475 --> 00:54:52.540]  Well then they tell you all day how to be politically correct and how to talk and what to do or they're gonna call you bad names and oh they're setting up a national international group for extremists to arrest folks for their speech with the UN.
[00:54:53.661 --> 00:55:01.224]  Oh and they're setting up all these homeland security divisions over the rural communities to watch the farmers and to stop those farmers markets.
[00:55:04.127 --> 00:55:05.828]  These are true occupiers.
[00:55:05.908 --> 00:55:08.390]  We are actually occupied right now.
[00:55:08.691 --> 00:55:10.752]  But we're fighting back, trying to get a good Speaker of the House.
[00:55:11.232 --> 00:55:12.533]  We're trying to indict these folks.
[00:55:13.734 --> 00:55:14.535]  But they mean business.
[00:55:15.216 --> 00:55:16.316]  By the way, the Congressman just called.
[00:55:16.336 --> 00:55:18.578]  He's going to have to come on tomorrow because they moved some votes.
[00:55:18.598 --> 00:55:21.220]  So we're going to get that Congressman on about the whole Boehner situation tomorrow.
[00:55:22.941 --> 00:55:25.403]  Maybe later, but I'm just going to say tomorrow because we're talking about the third hour.
[00:55:27.345 --> 00:55:33.409]  Coming up, I want to get into Obama administration and UN announced global police force to fight extremists in the U.S.
[00:55:34.534 --> 00:55:35.154]  That's Breitbart.
[00:55:35.995 --> 00:55:38.597]  Delta Force considered staging fake hijacking after 9-11.
[00:55:39.458 --> 00:55:41.079]  Deal reached on the TPP.
[00:55:43.340 --> 00:55:45.022]  I've mentioned these, but I'm going to be getting into them.
[00:55:45.382 --> 00:55:51.326]  Lesbian Swedish Bishop says make churches take down crosses, let Muslims move into them, because crosses are hurtful.
[00:55:52.867 --> 00:55:53.748]  That's mainstream news.
[00:55:53.768 --> 00:55:54.549]  We're going to be getting into that.
[00:55:56.343 --> 00:55:56.724]  That's right.
[00:55:56.744 --> 00:55:57.585]  They're coming.
[00:55:57.605 --> 00:55:59.247]  They're not playing games here.
[00:56:00.289 --> 00:56:02.352]  So that's just some of what is coming up.
[00:56:02.792 --> 00:56:08.480]  Saudi Arabia mulls the launch of a regional war as Russia pounds targets in Syria now for the sixth day.
[00:56:11.164 --> 00:56:11.905]  That's all coming up.
[00:56:13.058 --> 00:56:15.441]  And of course, we're going to open the phones up in the next hour.
[00:56:15.501 --> 00:56:21.488]  Here's the toll-free number to join us on the mass shooting, on them doctoring the photo to make it a white guy.
[00:56:21.568 --> 00:56:25.673]  I mean, there's no end to the deception because they've taken the plunge.
[00:56:25.713 --> 00:56:26.634]  They're going for broke.
[00:56:27.455 --> 00:56:28.496]  We've got to go for broke.
[00:56:28.516 --> 00:56:28.556]  800-259-9231.
[00:56:33.936 --> 00:56:40.760]  You know, I found out one of the biggest reasons we're under such government scrutiny right now is because of whistleblowers, documents, things like that.
[00:56:41.461 --> 00:56:48.905]  I've gotten to the point where I can't even respond to whistleblowers anymore because of the fact that I've basically been told that's the issue.
[00:56:50.286 --> 00:56:54.409]  And it's not that I'm afraid to do it, it's that they will arrest me.
[00:56:56.290 --> 00:56:57.370]  And plus, we already know.
[00:56:58.651 --> 00:57:02.574]  They're so mad about Tosh Plumley, folks, and Benghazi and all that, and Colonel Schaefer,
[00:57:04.122 --> 00:57:06.444]  It's like, okay, what, more whistleblowers proving it?
[00:57:06.524 --> 00:57:07.825]  I don't even want to know, okay?
[00:57:08.385 --> 00:57:11.047]  They carried it out, it was staged, there you go.
[00:57:11.127 --> 00:57:14.229]  I mean, at a certain point, how do you beat a dead horse anymore?
[00:57:15.330 --> 00:57:18.492]  It's just, I don't even have time to cover all the leads and all the proof.
[00:57:18.752 --> 00:57:22.034]  It's just, the government runs secret baby harvesting operations.
[00:57:22.295 --> 00:57:24.656]  Pepsi puts baby flavoring in, I mean, you know.
[00:57:26.017 --> 00:57:27.058]  They're evil, people!
[00:57:29.454 --> 00:57:30.815]  And they're going for broke.
[00:57:30.915 --> 00:57:32.076]  They take down humanity.
[00:57:32.797 --> 00:57:34.618]  The elite will control the whole future.
[00:57:34.678 --> 00:57:36.320]  That's why they're so brutal.
[00:57:36.660 --> 00:57:37.901]  They're not backing down.
[00:57:39.062 --> 00:57:51.492]  Whether you're FBI or CIA or NSA or a banker or a politician or an arrogant NFL football player, do you get you're basically living in the beginning of a false reality as the breakaway civilization expands away from us?
[00:57:52.093 --> 00:57:58.178]  And as we're dumbed down and slow-poisoned to see if we respond, to see if we notice, as they titrate the dose?
[00:58:00.049 --> 00:58:06.455]  Prostagard is, what is it, 10 different compounds all known for good prostate function and health.
[00:58:06.716 --> 00:58:08.918]  Saw Palmetto is just look it up for yourself.
[00:58:08.938 --> 00:58:10.659]  Do the research on the ingredients.
[00:58:10.719 --> 00:58:11.680]  It's 20% off.
[00:58:13.322 --> 00:58:14.683]  One of our flagship products.
[00:58:14.844 --> 00:58:15.584]  Only this week.
[00:58:15.604 --> 00:58:16.926]  20% off Prostagard.
[00:58:16.966 --> 00:58:17.947]  Helps fund the operation.
[00:58:17.987 --> 00:58:18.687]  It's a win-win.
[00:58:18.988 --> 00:58:19.788]  Saw Palmetto.
[00:58:20.908 --> 00:58:28.715]  Vitamin D3, selenium, copper, plant sterols, lycopene, that's the real key, and saw palmetto, a healthy dose of all those.
[00:58:28.735 --> 00:58:30.056]  20% off at mfowarslife.com.
[00:58:30.476 --> 00:58:42.366]  We still have the liver shield and the whole gallbladder liver cleanse pack with the oxy powder available at mfowarslife.com as well, and a lot of other great items, and your purchase funds this operation.
[00:58:42.386 --> 00:58:44.248]  You can also call 888-253-3139.
[00:58:49.119 --> 00:58:50.941]  You are listening to GCN.
[00:58:52.664 --> 00:58:54.867]  Visit GCNlive.com today.
[00:58:58.689 --> 00:58:59.909]  Another major health threat.
[00:58:59.949 --> 00:59:04.851]  This one in Toledo, Ohio, where everybody in the entire city has been told not to drink the water.
[00:59:04.931 --> 00:59:07.572]  Ohio's governor declaring a state of emergency.
[00:59:07.592 --> 00:59:14.374]  Did you know that the average person uses about 80 to 100 gallons of water at home every single day?
[00:59:14.634 --> 00:59:17.515]  If there's a water emergency, will you be prepared?
[00:59:17.635 --> 00:59:20.576]  Panicked residents forming long lines throughout the day.
[00:59:20.656 --> 00:59:22.577]  We're here at a supermarket in Toledo.
[00:59:22.597 --> 00:59:25.458]  You can see the shelves empty where water once was.
[00:59:25.538 --> 00:59:31.020]  To stay safe and healthy during a crisis, you must have access to safe, clean water.
[00:59:31.260 --> 00:59:34.741]  Water which will not be available at your local grocery store.
[00:59:34.761 --> 00:59:37.762]  There's a mad dash on right now to stock up on supplies.
[00:59:37.862 --> 00:59:44.964]  The ProPure Pro1 G2.0 Water Filtration System is a must-have for every modern, independently-minded household.
[00:59:45.164 --> 00:59:48.225]  Protect your family's safety during an emergency.
[00:59:48.385 --> 00:59:54.647]  Go to infowarsstore.com today to purchase your ProPure Pro1 G2.0 Water Filtration System.
[00:59:54.847 --> 00:59:55.288]  Or call 1-888-253-3139.
[00:59:55.448 --> 00:59:56.489]  You're listening to the Alex Jones Show.
[01:00:14.744 --> 01:00:18.886]  Big Brother, Mainstream Media, Government Cover-Ups.
[01:00:19.566 --> 01:00:20.367]  You want answers?
[01:00:21.147 --> 01:00:22.087]  Well, so does he.
[01:00:22.688 --> 01:00:26.289]  He's Alex Jones on the GCN Radio Network.
[01:00:26.890 --> 01:00:30.991]  And now, live from Austin, Texas, Alex Jones.
[01:00:31.712 --> 01:00:35.994]  Alright, here's what's going to be going down in this third hour, or the second hour, and third hour.
[01:00:37.334 --> 01:00:38.355]  Wide open telephones.
[01:00:39.695 --> 01:00:42.777]  Now, if some stations just joined us recapping
[01:00:44.921 --> 01:00:48.604]  Pouring drain cleaner in your eyes, the next new trendy social justice movement.
[01:00:49.124 --> 01:00:52.407]  And if you even have sight, it's hurtful to folks that don't have sight.
[01:00:52.807 --> 01:00:55.730]  So I guess the trendy thing to do is burn your eyeballs out.
[01:00:56.430 --> 01:00:57.111]  I'm not joking.
[01:00:58.191 --> 01:00:59.072]  That's Transabled.
[01:00:59.112 --> 01:01:00.193]  We've been telling you about the movement.
[01:01:00.213 --> 01:01:03.716]  It's now being pushed as the trendiest, coolest thing since sliced bread.
[01:01:05.522 --> 01:01:08.283]  Also, deal reached on the TPP, some really bad news.
[01:01:08.923 --> 01:01:12.724]  And the text of it is still pretty much secret.
[01:01:13.224 --> 01:01:14.524]  A few sections have been leaked.
[01:01:15.684 --> 01:01:19.785]  Also, Delta Force considering staging fake hijacking after 9-11.
[01:01:22.066 --> 01:01:26.907]  Also, Obama administration and UN announced global police force to fight extremism in the US.
[01:01:28.547 --> 01:01:31.008]  I actually have the transcript of the agreement.
[01:01:32.363 --> 01:01:35.744]  Because they never show you the agreement, they just announce that they can do whatever they want.
[01:01:36.584 --> 01:01:37.884]  We're just shutting power plants down.
[01:01:38.164 --> 01:01:40.105]  Congress passed a law we couldn't, we're doing it!
[01:01:40.625 --> 01:01:42.726]  We're just coming out with your guns, there's no law, we're just doing it.
[01:01:42.746 --> 01:01:48.267]  We're going to put transgender bathrooms in the first grade school.
[01:01:48.287 --> 01:01:50.067]  We're going to teach your kids about it.
[01:01:50.087 --> 01:01:51.368]  Because we want to.
[01:01:51.388 --> 01:01:56.329]  And then coming up, we're going to get U.S.
[01:01:58.917 --> 01:02:01.878]  UCSD says term minorities is now offensive.
[01:02:01.918 --> 01:02:03.179]  See, everything's offensive.
[01:02:03.939 --> 01:02:04.679]  Everything's bad.
[01:02:05.060 --> 01:02:07.921]  James Woods comes out and says hate crime, massacre of Christians.
[01:02:10.402 --> 01:02:11.862]  Finally silences Obama.
[01:02:11.922 --> 01:02:12.643]  Except it hasn't.
[01:02:12.683 --> 01:02:18.665]  Obama's still running around blaming individual gun owners for what some psychopath did with guns he got illegally.
[01:02:18.985 --> 01:02:22.647]  By the way, Google's parent company is dropping the don't be evil motto.
[01:02:24.668 --> 01:02:25.628]  Oh, that's really funny.
[01:02:27.953 --> 01:02:33.015]  UK admits human rights no longer a priority of British foreign policy, and they've announced domestically as well.
[01:02:33.496 --> 01:02:37.117]  That is just some of what's coming up.
[01:02:37.157 --> 01:02:45.041]  But don't worry about the secret trade deal, that even if it was a great deal, we shouldn't be for, because it's secret.
[01:02:45.121 --> 01:02:47.462]  We should have Congress see it, we should know what's in it.
[01:02:47.482 --> 01:02:50.463]  Of course it's totally horrible, just the sections we've got and it's so over the top.
[01:02:50.663 --> 01:02:51.303]  It's world government.
[01:02:51.864 --> 01:02:54.585]  And they finally will then all vote and agree to it all,
[01:02:55.683 --> 01:03:03.148]  And the overarching world tax program defunded in Paris in December with this new global government treaty.
[01:03:03.568 --> 01:03:04.709]  And it's called global government.
[01:03:04.909 --> 01:03:06.149]  The Pope calls it global government.
[01:03:06.690 --> 01:03:11.613]  And then they got the Southern Poverty Law Center and ADL wrote new articles the last few weeks saying I'm completely insane.
[01:03:12.573 --> 01:03:15.415]  There is no such thing as a world government, a carbon tax.
[01:03:16.556 --> 01:03:17.116]  There's nothing!
[01:03:17.136 --> 01:03:23.140]  I remember the State Department a few years ago came out and said China doesn't harvest organs.
[01:03:24.082 --> 01:03:26.664]  China advertises they harvest political dissidents organs.
[01:03:26.944 --> 01:03:29.866]  You see the level of brainwashing we're dealing with here?
[01:03:30.227 --> 01:03:30.947]  It's like Hillary.
[01:03:31.027 --> 01:03:32.248]  Peck, let's go out to break with this.
[01:03:32.268 --> 01:03:34.129]  If you can scramble and find that clip.
[01:03:34.650 --> 01:03:40.134]  Hillary dodges on email question, claims to be the most transparent person in American history.
[01:03:42.055 --> 01:03:45.958]  I mean, Hillary has become one of the most unintentionally funny people in America.
[01:03:46.619 --> 01:03:47.940]  Here she is on Comedy Central.
[01:03:47.960 --> 01:03:49.141]  Of course, she wasn't on Comedy Central.
[01:03:49.181 --> 01:03:49.441]  Here it is.
[01:03:50.191 --> 01:03:52.633]  Do you get how bad it looks?
[01:03:53.253 --> 01:04:05.963]  It looks like you set up a personal server, you set up your own email, so that you would have control of those emails, and you alone would decide when to release them, whether to release them, and in fact, that is what happened.
[01:04:06.484 --> 01:04:10.587]  Well, Savannah, first of all, it was allowed, and I've said it wasn't the best choice.
[01:04:11.287 --> 01:04:16.109]  And every government official gets to decide what is personal and work-related.
[01:04:16.229 --> 01:04:24.073]  If I had two separate accounts, as many people do, obviously, I would have decided every hour what was personal, what was work-related.
[01:04:24.513 --> 01:04:29.655]  The law also says that the official gets to determine that, and that's what I did.
[01:04:29.815 --> 01:04:34.678]  And I have gone further than anybody that I'm aware of in American history.
[01:04:34.718 --> 01:04:37.059]  Now, that's not a long history, because we haven't had emails that long.
[01:04:38.179 --> 01:04:43.821]  As long as we've had them, I've gone longer and farther to try to be as transparent as possible.
[01:04:43.881 --> 01:04:44.961]  Nobody else has done that.
[01:04:45.081 --> 01:04:49.283]  And by the time this is over, I'm a little, you know, I'm a little embarrassed.
[01:04:49.303 --> 01:04:52.063]  Ladies and gentlemen, and she also invented the internet with Al Gore.
[01:04:52.083 --> 01:04:59.526]  I mean, this is her just enjoying lying to the American people.
[01:04:59.546 --> 01:05:01.566]  The state had been incredibly secretive.
[01:05:01.846 --> 01:05:03.147]  The Clintons were incredibly secretive.
[01:05:03.367 --> 01:05:06.228]  Obama's been the most secretive ever.
[01:05:06.788 --> 01:05:07.208]  Hands down.
[01:05:08.649 --> 01:05:10.630]  Kit Daniels, InfoWars.com.
[01:05:10.850 --> 01:05:15.293]  CNN reportedly altered the photo of the biracial organ shooter to make him look more white.
[01:05:15.674 --> 01:05:17.995]  That's a shocking revelation, so let me repeat that.
[01:05:18.255 --> 01:05:23.739]  CNN apparently doctored the photo of the biracial organ shooter, Christopher Mercer, to make people think he's Caucasian.
[01:05:23.959 --> 01:05:32.543]  Mercer uploaded a selfie to social media, but when CNN used the photo in its news broadcast, Mercer's skin tone had dramatically changed to that of a white man.
[01:05:32.723 --> 01:05:37.045]  Furthermore, CNN did not show photos of Mercer's mother, who's African-American.
[01:05:37.225 --> 01:05:43.048]  And the network also didn't report that Mercer was involved in a school play, which contradicts the media's claim that he was a loner.
[01:05:43.268 --> 01:05:44.109]  Why would they do that?
[01:05:44.289 --> 01:05:50.392]  Because a biracial Oregon shooter does not fit into the establishment's propaganda that mass shooters are white, racist men.
[01:05:50.632 --> 01:05:57.997]  They also don't want you to know that Mercer was associated with the Black Lives Matter movement, because it'd be a political nightmare for Obama if the public knew the truth.
[01:05:58.237 --> 01:06:04.642]  It'd be hard for him to demand more gun control if more people started to realize that President Obama is fueling racial division across the U.S.
[01:06:04.862 --> 01:06:08.104]  Once again, this is Kit Daniels with Infowars.com and PrisonPlanet.tv.
[01:06:08.544 --> 01:06:15.429]  For all of recorded history, civilizations around the world praised the health benefits of silver.
[01:06:15.749 --> 01:06:25.133]  At InfoWarsLife, our mission is to bring you the highest quality, purest, cleanest, effective colloidal silver on the market today for the lowest price available.
[01:06:25.414 --> 01:06:32.297]  Now, InfoWarsLife.com has taken colloidal silver to the next level using a cutting-edge technique that is free of toxic artificial additives.
[01:06:32.777 --> 01:06:40.243]  Infowarslife.com developed Silver Bullet by closely working with one of the top silver manufacturing labs in the United States.
[01:06:40.603 --> 01:06:43.946]  We set out to bring you the very best at the lowest price.
[01:06:44.286 --> 01:06:49.070]  Find out more about the proprietary development of Silver Bullet at Infowarslife.com.
[01:06:49.270 --> 01:06:53.313]  In these times, it's essential to have high-quality, loyal silver on hand.
[01:06:53.673 --> 01:06:56.575]  No survival chest is complete without Silver Bullet.
[01:06:56.695 --> 01:06:59.738]  Exclusively available at Infowarslife.com.
[01:06:59.818 --> 01:07:01.319]  Secure your Silver Bullet today.
[01:07:01.559 --> 01:07:04.162]  At Infowarslife.com or by calling toll free 888-253-3139.
[01:07:08.146 --> 01:07:08.926]  Alex Jones here.
[01:07:09.067 --> 01:07:25.635]  InfowarsStore.com is now partnering with the top-of-the-line storable food company, My Patriot Supply, to bring you the highest quality, freshest, longest-lasting, most affordable storable foods, private-labeled, from InfowarsSelect.com, at the lowest price you're gonna find anywhere.
[01:07:25.755 --> 01:07:27.316]  The globalists want us dependent.
[01:07:27.476 --> 01:07:28.957]  We need to be self-sufficient.
[01:07:29.077 --> 01:07:34.260]  And if you don't have high-quality, long-lasting, storable foods, I believe you're making a huge mistake.
[01:07:34.440 --> 01:07:36.923]  My goal is to find the best deals and bring it to you.
[01:07:37.123 --> 01:07:42.249]  Now is the time to take action and to secure your pantry for any emergency.
[01:07:42.370 --> 01:07:46.114]  You can buy all the great MyPatriotSupply products at InfoWarsTore.com.
[01:07:46.174 --> 01:07:49.638]  They're the exact same products inside InfoWarsSelect.com.
[01:07:49.718 --> 01:07:53.483]  Visit InfoWarsSelect.com or InfoWarsTore.com today.
[01:07:53.723 --> 01:07:56.407]  To check out the amazing deals for yourself.
[01:07:56.728 --> 01:08:02.376]  Secure you and your family's needs today at InfowarsStore.com with Infowars Select.
[01:08:02.576 --> 01:08:04.499]  That's InfowarsSelect.com or 888-253-3139.
[01:08:10.939 --> 01:08:13.140]  He's the T-Rex of political talk.
[01:08:13.161 --> 01:08:16.563]  Alex Jones on the GCN Radio Network.
