[00:00:06.583 --> 00:00:08.144]  Oh, baby!
[00:46:35.580 --> 00:46:40.803]  And every single president, including Obama, has given special treatment to Israel.
[00:46:40.803 --> 00:46:42.704]  And that's obvious to Arab people.
[00:46:42.704 --> 00:46:44.405]  So it's going to be hard for us.
[00:46:45.327 --> 00:46:52.609]  To be considered the good guy, which is something that our government, and I think our people, we all want people to like us and think, oh, we're the good guys.
[00:46:52.609 --> 00:46:59.191]  We're the guys from World War II that handed out candy bars on the streets of Paris and Rome.
[00:46:59.191 --> 00:47:01.332]  You know, we're the guys with the Marshall Plan.
[00:47:01.332 --> 00:47:04.073]  People don't see us that way, unfortunately.
[00:47:04.073 --> 00:47:05.813]  They see us as the bullies.
[00:47:05.813 --> 00:47:06.834]  It's not these Americans.
[00:47:08.343 --> 00:47:11.248]  Any nicer or less nice than other people in the world.
[00:47:11.248 --> 00:47:12.290]  We're just people.
[00:47:12.290 --> 00:47:17.298]  But our government, which represents us, has not been a good player.
[00:47:18.095 --> 00:47:20.797]  Very rarely has been a good player overseas.
[00:47:20.797 --> 00:47:23.499]  Viggo Mortensen is our guest.
[00:47:23.499 --> 00:47:30.783]  Going back to the NSA here, Peter King, Dick Cheney, others have called for his arrest.
[00:47:30.783 --> 00:47:34.906]  There's been news in the Daily Mail where they're talking about killing him.
[00:47:34.906 --> 00:47:40.229]  I think that Snowden is a hero leaking the NSA info.
[00:47:40.229 --> 00:47:43.832]  Viggo Mortensen, what would you like to say on that subject?
[00:47:45.060 --> 00:47:47.882]  I think he's definitely a very brave person.
[00:47:47.882 --> 00:47:59.248]  I also think it's ironic that all the, uh, the Bush team, you know, attack Obama, infringed Obama, for doing exactly the same thing they were doing, you know?
[00:47:59.248 --> 00:48:04.471]  I mean, it's pretty hypocritical, that, that behavior.
[00:48:04.471 --> 00:48:10.574]  I wanna, I know this seems like, you know, a small thing, but it starts locally, you know, activism.
[00:48:11.445 --> 00:48:14.508]  Oh, I agree.
[00:48:14.508 --> 00:48:29.721]  The road touched me like no other film I've ever seen and because I've studied history and things and had some experiences it's so real and I know within 10 days most people become cannibals in Pentagon Studies.
[00:48:29.721 --> 00:48:34.085]  In closing, that's a film that I am physically afraid
[00:48:36.775 --> 00:48:43.137]  To watch again because of almost the ancestral fears that it rises and what if there's a nuclear war?
[00:48:43.137 --> 00:48:44.258]  What of our atmosphere?
[00:48:44.258 --> 00:48:46.899]  What of, what of, uh, the road?
[00:48:46.899 --> 00:48:47.939]  What can you say about that?
[00:48:47.939 --> 00:48:49.820]  Well, it's true.
[00:48:49.820 --> 00:48:54.121]  It's a harrowing experience to watch it, but it's also beautifully made.
[00:48:54.121 --> 00:49:00.984]  I mean, John has directed, directed that movie and John did a great job with a tough subject matter.
[00:49:00.984 --> 00:49:03.725]  And, uh, the boy in it, Cody McNabby, who's now
[00:49:04.680 --> 00:49:06.362]  He's over six feet tall.
[00:49:06.362 --> 00:49:07.282]  He's a man now.
[00:49:07.282 --> 00:49:10.025]  But he was fantastic in that movie.
[00:49:10.025 --> 00:49:15.549]  And it's unfortunate that at the last minute they decided not to distribute it as widely as they were going to.
[00:49:15.549 --> 00:49:17.571]  But like I say, good work.
[00:49:17.571 --> 00:49:18.731]  Eventually get seen.
[00:49:18.731 --> 00:49:27.719]  And a lot of people on the street, as many people comment on that movie as they do any other movie.
[00:49:27.719 --> 00:49:29.080]  It really touched the nerve.
[00:49:29.793 --> 00:49:34.436]  And it's kind of, like you say, it's a good warning in a way.
[00:49:34.436 --> 00:49:37.678]  Like, if we don't want to end up that way, you've got to take an action.
[00:49:42.691 --> 00:49:51.115]  Robert Duvall, you and your son are there, and he explains that boy's a god in this ugly, destroyed world.
[00:49:51.115 --> 00:50:00.280]  He doesn't say that, but that's what I got in the poetry of it, is that this youth, this energy, the creativity, the green shoots in a dead world.
[00:50:00.280 --> 00:50:02.401]  Children are our future.
[00:50:02.401 --> 00:50:05.363]  And, I mean, what did you take away by that writing?
[00:50:06.315 --> 00:50:07.436]  Yeah, beautiful.
[00:50:07.436 --> 00:50:15.603]  I mean, I would paraphrase in the way of what he was saying, or how I would put it, is that children are God.
[00:50:15.603 --> 00:50:16.624]  Pay attention.
[00:50:16.624 --> 00:50:24.551]  That doesn't mean spoil your kid, or it doesn't mean that you're talking sickly about the kid, but remember what you felt when you were a kid.
[00:50:24.551 --> 00:50:26.472]  Remember your creative instincts.
[00:50:26.472 --> 00:50:28.874]  Remember your instincts for peace.
[00:50:28.874 --> 00:50:30.776]  Remember your instincts for fellowship.
[00:50:32.140 --> 00:50:43.464]  And for making something beautiful out of life, not destroying the world and not destroying the lives of others, you know, as adults often do, unfortunately.
[00:50:43.464 --> 00:50:47.986]  So remember kids, remember yourself as a kid, and you're going to be on the right track.
[00:50:47.986 --> 00:50:52.227]  Well, Viggo Mortensen, you are a beautiful person, and I hope to meet you someday in person.
[00:50:52.227 --> 00:50:55.689]  God bless you for sharing your time with us and for trying to help humanity.
[00:50:55.689 --> 00:50:58.430]  You're an example to us all, and I look forward to speaking to you again.
[00:50:58.430 --> 00:50:59.750]  Thank you very much.
[00:51:00.728 --> 00:51:04.670]  Digestive health is key to wellness and Pro-EM1 is the key to digestive health.
[00:51:04.670 --> 00:51:11.093]  Pro-EM1 is a daily liquid probiotic that improves food absorption and supports weight loss by removing toxins from your system.
[00:51:11.093 --> 00:51:17.216]  Recommended by doctors, Pro-EM1 is 100% natural, organic, non-GMO, wheat, soy, gluten and dairy free.
[00:51:17.216 --> 00:51:20.838]  Call us today at 888-611-8025 or visit proem1.com to save over $25 on your order.
[00:51:20.838 --> 00:51:21.618]  That's 888-611-8025 or proem1.com.
[00:51:30.709 --> 00:51:31.950]  Hi, this is Ted Anderson.
[00:51:31.950 --> 00:51:36.433]  Have you ever wondered why banks, stockbrokers, investment advisors won't talk about gold IRAs?
[00:51:36.433 --> 00:51:42.138]  They've been available since 1986, yet the financial industry won't recognize the value of gold for your retirement.
[00:51:42.138 --> 00:51:45.700]  Gold has outperformed paper investments, yet no word about IRAs.
[00:51:45.700 --> 00:51:48.522]  If you would like to have gold for your retirement, call 800-686-2237.
[00:51:48.522 --> 00:51:53.406]  Don't get left behind by rising inflation and low returns.
[00:51:53.406 --> 00:51:53.646]  Call 800-686-2237.
[00:51:53.646 --> 00:51:55.007]  Secure your future and call 1-800-686-2237.
[00:52:00.171 --> 00:52:05.636]  American gardeners and fellow Patriots make the right choice with your money, time, and your family food supply.
[00:52:05.636 --> 00:52:10.840]  Choose 100% pure heirloom seeds in the Survival Seed Vault from MyPatriotsupply.com.
[00:52:10.840 --> 00:52:11.821]  Why spend more?
[00:52:11.821 --> 00:52:19.848]  The Survival Seed Vault from MyPatriotsupply.com is only $37.95 and includes 20 varieties of pure, hearty, easy-to-grow heirloom seeds.
[00:52:19.848 --> 00:52:20.388]  Yes, only $37.95.
[00:52:20.388 --> 00:52:21.369]  That's 70% less than our competitors.
[00:52:23.991 --> 00:52:27.394]  You could buy three Survival Seed Vaults for less than one of theirs.
[00:52:27.394 --> 00:52:34.040]  The Survival Seed Vault from MyPatriotSupply.com includes detailed planting and seed saving instructions and ships same day.
[00:52:34.040 --> 00:52:36.863]  Plus, all orders over $49 ship free.
[00:52:36.863 --> 00:52:40.746]  MyPatriotSupply.com is American owned by patriots like you.
[00:52:40.746 --> 00:52:42.488]  Passionate about freedom and preparedness.
[00:52:42.748 --> 00:52:46.610]  Call now 866-229-0927.
[00:52:46.610 --> 00:52:48.110]  That's 866-229-0927.
[00:52:48.110 --> 00:52:54.753]  Or discover more emergency preparedness items when you order at MyPatriotSupply.com.
[00:52:54.753 --> 00:52:55.853]  Choose the original.
[00:52:55.853 --> 00:52:59.395]  Choose the Survival Seed Vault at MyPatriotSupply.com.
[00:52:59.975 --> 00:53:01.596]  I love a dark house.
[00:53:01.596 --> 00:53:04.058]  Inside is all the stuff you work so hard for.
[00:53:04.058 --> 00:53:06.400]  And I'm gonna rob you blind.
[00:53:06.400 --> 00:53:08.502]  Don't be the next victim of a break-in.
[00:53:08.502 --> 00:53:17.129]  Go to Faketv.com and discover a device that creates the illusion someone is inside watching TV and makes your home unappealing to would-be thieves.
[00:53:17.129 --> 00:53:18.510]  Don't these people ever leave?
[00:53:18.510 --> 00:53:21.612]  Starting at $24.95 and there's free shipping.
[00:53:21.612 --> 00:53:26.096]  Go to Faketv.com or ask for it at your local hardware store.
[00:53:26.096 --> 00:53:28.577]  Faketv, the burglar deterrent.
[00:53:29.418 --> 00:53:33.301]  A lot of people's lives and bodies are out of balance.
[00:53:33.301 --> 00:53:38.724]  AlkaVision Plasma pH Drops optimize pH level and get rid of harmful waste and acid.
[00:53:38.724 --> 00:53:43.268]  Just a few drops in water restores vibrance and energy and gets you back in balance.
[00:53:43.268 --> 00:53:45.869]  Now order two bottles and get $10 off your order.
[00:53:45.869 --> 00:53:48.371]  Sign up for monthly auto shipping and save 25%.
[00:53:48.371 --> 00:53:54.275]  Call 800-518-7615 or visit alkavision.com.
[00:53:54.275 --> 00:53:55.436]  Alkalize your body.
[00:53:55.436 --> 00:53:58.298]  Supercharge your health at alkavision.com.
[00:54:04.380 --> 00:54:10.462]  Hello, this is Hank Hill, and I'm telling you what, you need to listen to Alex Jones.
[00:54:10.462 --> 00:54:11.822]  Yeah, yeah, yeah.
[00:54:11.822 --> 00:54:18.964]  Infowars.com, yeah.
[00:54:18.964 --> 00:54:26.966]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[00:54:26.966 --> 00:54:28.727]  Incredible.
[00:54:28.727 --> 00:54:30.027]  Show how far you can come.
[00:54:32.495 --> 00:54:58.167]  Back in college, when Beavis and Butthead was airing, I could have never imagined that the guy that created King of the Hill, Idiocracy, X-Track, Office Space, Beavis and Butthead, the list goes on and on, his current hit show, Silicon Valley on HBO, that I would be friends with Mike Judge, and I'd go out and shoot his ranch with him and hang out and stuff, he's an amazing musician, and that he would be a patriot who was aware of the New World Order.
[00:54:59.205 --> 00:55:04.569]  Or that some of me went into Hank Hill when he was writing that character watching me on AXS television.
[00:55:04.569 --> 00:55:07.872]  It's one of the most successful TV shows ever.
[00:55:07.872 --> 00:55:13.816]  And brought in more than a billion dollars in syndication alone.
[00:55:13.816 --> 00:55:16.619]  But the issue is, even someone as powerful as Mike Judge
[00:55:17.754 --> 00:55:30.618]  in Hollywood is scared of the system and had the courage to talk about the fact that he didn't want to really criticize the New World Order because they might come after him, but he went ahead in this interview.
[00:55:30.618 --> 00:55:32.059]  The interview with Heston was back in 2001.
[00:55:32.059 --> 00:55:34.020]  David Rothschild was back in 2007.
[00:55:38.831 --> 00:55:40.832]  The interview you heard with Joe Rogan was 2014.
[00:55:40.832 --> 00:55:44.674]  Viggo Mortensen was this year as well.
[00:55:44.674 --> 00:55:49.016]  The interview with Mike Judge was back in May of 2013 at his house.
[00:55:49.016 --> 00:55:53.439]  That is coming up at the start of the next hour.
[00:55:53.439 --> 00:55:59.542]  And then we're going to have Rowdy Piper and Sean Stone on a really powerful interview.
[00:55:59.542 --> 00:56:02.684]  We've got excerpts of Willie Nelson and Russell Brand.
[00:56:04.002 --> 00:56:09.446]  And again, Russell Brand said on the air that my show helped kind of change his worldview and wake him up some.
[00:56:09.446 --> 00:56:19.855]  Doesn't mean Russell Brand and I agree on everything, but he's an interesting guy that wants to empower humanity, and we've interviewed him here in Austin for the TV show and gone out and interviewed him, but also via the phone.
[00:56:21.434 --> 00:56:24.295]  And so we've got some excerpts of that coming up.
[00:56:24.295 --> 00:56:42.400]  And when you talk to a Willie Nelson, who I got to be friends with, he lives here in Austin, or a Rowdy Rowdy Piper, or Sean Stone, or Mike Judge, or Joe Rogan, or a Viggo Mortensen, or a Charlton Heston, there's only one person here that doesn't like us, that's David Rothschild, who says polar bears can't swim basically, and says that the
[00:56:43.877 --> 00:56:47.840]  Says that Mars is closer to the Sun than the Earth.
[00:56:47.840 --> 00:56:49.961]  And he just called me a conspiracy theorist, so it must be true.
[00:56:49.961 --> 00:56:54.164]  It doesn't matter that it's Mercury, Venus, Earth, Mars, and then so on.
[00:56:54.164 --> 00:56:58.647]  Because he is the heir of the Rothschild fortune, and what he says goes.
[00:56:58.647 --> 00:57:05.832]  And if he's got a children's book with, you know, grounding penguins or polar bears on the cover, then it's okay.
[00:57:05.832 --> 00:57:10.876]  But I just want to point out that it's safe for him to run around and say that, because nobody's trying to shut down his free speech.
[00:57:11.932 --> 00:57:15.657]  So many times when I criticize one of these globalists, they say, oh, you're attacking my free speech.
[00:57:15.657 --> 00:57:16.198]  No.
[00:57:16.198 --> 00:57:18.381]  That would be if I tried to shut you up.
[00:57:18.381 --> 00:57:21.085]  Disagreeing with you is my free speech.
[00:57:21.085 --> 00:57:22.446]  But I appreciate Mike Judge.
[00:57:23.723 --> 00:57:30.187]  Having the courage to talk to us, and he says this is one of his favorite interviews he's ever done, so that is coming up.
[00:57:30.187 --> 00:57:40.694]  Before we go to break here, we do not take money from you at gunpoint like the IRS or the Federal Reserve, and we don't give it to NPR and stimulus money or to MSNBC.
[00:57:40.694 --> 00:57:44.637]  We are funded by you liking the high-quality products that are made in America.
[00:57:44.637 --> 00:57:48.979]  Pay trade apparel to meet like-minded friends and fund the operation at InfoWarsTore.com.
[00:57:50.180 --> 00:57:50.300]  I'm
[00:58:10.762 --> 00:58:14.123]  But we're offering it at 48% off for the next two weeks.
[00:58:14.123 --> 00:58:18.744]  To do the challenge with me, is I'm going to really focus and take the products every day.
[00:58:18.744 --> 00:58:20.144]  Something I forget to do.
[00:58:20.144 --> 00:58:22.865]  I've had a great response to it every other day or so.
[00:58:22.865 --> 00:58:24.565]  What will the response be in the next month?
[00:58:24.565 --> 00:58:26.786]  We're going to photograph and videotape all of it.
[00:58:26.786 --> 00:58:29.006]  Do it with us and it supports the broadcast.
[00:58:29.006 --> 00:58:30.746]  This could make this year really different.
[00:58:30.746 --> 00:58:30.846]  2015.
[00:58:30.846 --> 00:58:32.887]  Infowarslife.com.
[00:58:32.887 --> 00:58:34.627]  Take advantage of the Revit Solution Pack.
[00:58:34.627 --> 00:58:34.987]  48% off.
[00:58:34.987 --> 00:58:35.408]  Stay with us.
[00:58:41.953 --> 00:58:45.378]  Thank you for listening to GCN.
[00:58:45.378 --> 00:58:47.581]  Visit GCNlive.com today.
[00:58:51.212 --> 00:58:52.853]  In the near future.
[00:58:52.853 --> 00:58:57.355]  When you realize how fake it all is, the football, the basketball.
[00:58:57.355 --> 00:58:58.576]  Security alert.
[00:58:58.576 --> 00:59:00.597]  This is Homeland Security.
[00:59:00.597 --> 00:59:01.458]  Analysis.
[00:59:01.458 --> 00:59:02.178]  InfoWars.
[00:59:02.178 --> 00:59:04.279]  Building independent media operations.
[00:59:04.279 --> 00:59:09.182]  We let the worst people get controlled and tell us that we are the ones responsible.
[00:59:09.182 --> 00:59:10.203]  Prime Directive.
[00:59:10.203 --> 00:59:11.743]  Discredit Alex Jones.
[00:59:11.743 --> 00:59:14.605]  Jones is the wildly popular conspiracy theorist.
[00:59:14.605 --> 00:59:17.847]  A popular conspiracy theory talk show called InfoWars.
[00:59:17.847 --> 00:59:20.008]  Alex Jones is now in an Austin jail.
[00:59:20.128 --> 00:59:21.669]  These people are assaulting us.
[00:59:21.669 --> 00:59:23.831]  Targeting of patriots engaged.
[00:59:23.831 --> 00:59:26.452]  They are never going to stop.
[00:59:26.452 --> 00:59:30.495]  They're never going to deviate from their program until we stop them.
[00:59:30.495 --> 00:59:34.078]  Block free iPhone ads at InfoWars.com.
[00:59:34.078 --> 00:59:37.440]  Block free podcasts and video feeds.
[00:59:37.440 --> 00:59:38.441]  Imperative.
[00:59:38.441 --> 00:59:40.382]  Destroy Little Minute TV.
[00:59:40.382 --> 00:59:44.946]  You've got to set your eye on the enemy, not worry about what propaganda they put out.
[00:59:44.946 --> 00:59:47.267]  Intellectually, it's begun and you can feel it.
[00:59:52.982 --> 01:00:08.950]  You're listening to the Alex Jones Show.
[01:00:08.950 --> 01:00:12.873]  Waging war on corruption.
[01:00:12.873 --> 01:00:18.976]  It's Alex Jones, coming to you live from the front lines of the Info War.
[01:00:22.305 --> 01:00:30.055]  Coming up, as I said, we've got Mike Judge, Rowdy Rowdy Piper, Sean Stone, Willie Nelson, Russell Brand, and more in this hour.
[01:00:30.055 --> 01:00:33.079]  Then Gerald Salente joins us.
[01:00:33.079 --> 01:00:34.141]  I am not coming to you live.
[01:00:34.141 --> 01:00:34.862]  I taped this on...
[01:00:36.576 --> 01:00:37.576]  Almost at Christmas Eve.
[01:00:37.576 --> 01:00:42.158]  Hard to believe Christmas 2014 is gone on New Year's Eve.
[01:00:42.158 --> 01:00:48.381]  I appreciate the crew staying up here late to help us get this done and put together this special looking back.
[01:00:48.381 --> 01:00:51.482]  We've never really done this, re-aired interviews we did with famous people.
[01:00:52.062 --> 01:00:55.244]  We're also going to re-air interviews coming up in the next few months, and we take off here and there.
[01:00:55.244 --> 01:01:00.829]  But just some of the most powerful news-breaking interviews, not so much with celebrities.
[01:01:00.829 --> 01:01:05.432]  But all these celebrities stick their neck out coming on the broadcast to speak out against the system.
[01:01:05.432 --> 01:01:10.456]  Either they're supposed to be a Democrat, a Communist, a Socialist, or maybe a few token Conservatives.
[01:01:10.456 --> 01:01:14.319]  But if you speak out against the whole system as a fraud construct, they come after you.
[01:01:14.319 --> 01:01:16.421]  So that's why I'm making a big deal out of that, because it is a big deal.
[01:01:17.739 --> 01:01:23.180]  Before I go any further, a Sony hackers threatened a US news media organization.
[01:01:23.180 --> 01:01:26.001]  The hackers who infiltrated Sony Pictures.
[01:01:26.001 --> 01:01:27.141]  I thought it was Kim Jong-un.
[01:01:27.141 --> 01:01:38.364]  They're going to have an airdrop of the interview, supposedly some NGO, CIA connected group, of DVDs over North Korea.
[01:01:38.364 --> 01:01:41.345]  Almost no one has DVD players, even VHS players.
[01:01:41.345 --> 01:01:45.166]  They live in dirt floor shacks and work as slaves for a little pot-bellied demon creature.
[01:01:46.806 --> 01:01:51.929]  So all of you that love big government should love North Korea, but what a stunt!
[01:01:51.929 --> 01:01:53.650]  Well, now they admit it wasn't North Korea.
[01:01:53.650 --> 01:01:54.931]  That was all a hoax.
[01:01:54.931 --> 01:02:05.778]  Well, the hackers who infiltrated Sony Pictures Entertainment computers, servers, have threatened to attack an American news media organization according to the FBI bulletin obtained by The Intercept.
[01:02:05.778 --> 01:02:10.161]  But wait a minute, I thought the FBI said it was North Korea.
[01:02:10.161 --> 01:02:12.222]  Well, first they said it was an inside job.
[01:02:12.222 --> 01:02:13.283]  I think that's really what's going on.
[01:02:14.710 --> 01:02:24.083]  The threat against the unnamed news organization by the Guardians of Peace, the hacker group that has claimed credit with the Sunning attack, may extend to other organizations in the future.
[01:02:24.083 --> 01:02:29.811]  Well, don't worry, they're reintroducing the Cybersecurity Act to take over internet freedom next year to protect us.
[01:02:30.606 --> 01:02:34.931]  Then they got some zit-faced teenagers that actually think they're getting credit for everything.
[01:02:34.931 --> 01:02:36.232]  And I'm sure they're doing some of it.
[01:02:36.232 --> 01:02:37.033]  I'm not attacking them.
[01:02:37.033 --> 01:02:38.475]  A lot of hackers have helped us.
[01:02:38.475 --> 01:02:40.337]  Most hackers are white hats.
[01:02:40.337 --> 01:02:42.399]  Hell, we've had Captain Crunch on!
[01:02:42.399 --> 01:02:48.326]  Let's get Captain Crunch on Friday, tomorrow, to talk about all the hacking stuff.
[01:02:50.376 --> 01:03:12.660]  Referring to Sony only as Usurper 1 and news organization as Usurper 2, the joint intelligence bulletin dated December 24th and marked for official use only, states that its purpose is to provide information on the late November 2014 cyber intrusion target, Usurper 1, and related threats concerning the planned release of the movie, The Interview.
[01:03:12.660 --> 01:03:19.342]  Additionally, these threats have extended to Usurper 2, a news organization, and may extend to other such organizations in the near future.
[01:03:19.342 --> 01:03:19.982]  Oh my gosh.
[01:03:21.787 --> 01:03:25.191]  So many times hacks turn out to be fake with fake info inserted.
[01:03:25.191 --> 01:03:30.095]  This just reeks of Sony and reeks of the White House and reeks, reeks, reeks.
[01:03:30.095 --> 01:03:31.096]  Holiday Horror!
[01:03:31.096 --> 01:03:36.802]  Mom fatally shot by two-year-old in Walmart.
[01:03:36.802 --> 01:03:37.683]  There's the answer.
[01:03:37.683 --> 01:03:39.305]  Secure firearms from children.
[01:03:40.632 --> 01:03:46.357]  So that's just some of the stuff that's always bubbling around sadly out there.
[01:03:46.357 --> 01:03:53.322]  Feds are now warning of more leaks, ABC News, threats to media from Sony hackers.
[01:03:53.322 --> 01:04:00.908]  This is a way to just make it sound more ominous and scary, instead of somebody just getting a movie early or getting it after it comes out and putting it on the internet.
[01:04:00.908 --> 01:04:04.972]  It's about, not just about mainstream media and the big movie houses,
[01:04:05.976 --> 01:04:06.918]  Stopping piracy.
[01:04:06.918 --> 01:04:13.411]  It's about them bringing in a surveillance tyranny to shut down film competition, music competition that they don't own or control.
[01:04:15.174 --> 01:04:23.198]  Federal authorities predict even more private, potentially embarrassing information from inside Sony Pictures to be made public now that the movie company has released its controversial film.
[01:04:23.198 --> 01:04:28.541]  The interview and news outlets concerning the story should become the next victim of a major cyber attack.
[01:04:28.541 --> 01:04:33.203]  So, again, there's ABC News also reporting on that front.
[01:04:33.203 --> 01:04:36.245]  Some of the news from Infowars.com.
[01:04:38.447 --> 01:04:42.829]  Fake feminist posts hateful tweets after actress says she loves serving her husband.
[01:04:42.829 --> 01:04:46.152]  Well, I mean, I love serving, you know, each other.
[01:04:46.152 --> 01:04:47.132]  I mean, you serve your woman.
[01:04:47.132 --> 01:04:48.153]  I mean, you serve your man.
[01:04:48.153 --> 01:04:50.254]  That's what it's all about.
[01:04:50.254 --> 01:04:53.957]  You know, male birds bring worms to females.
[01:04:53.957 --> 01:04:58.219]  TV host reported to police for hate crimes for asking why a fat person is fat.
[01:04:58.219 --> 01:04:58.780]  Stay with us!
[01:05:00.987 --> 01:05:07.632]  When you're out on the road, the last place you want to be is on the road.
[01:05:07.632 --> 01:05:12.755]  But if the unfortunate happens, you'll be glad you were wearing diamond gussets.
[01:05:12.755 --> 01:05:21.501]  There's a place down in Tennessee, where they make blue diamond gusset jeans.
[01:05:21.501 --> 01:05:25.564]  They sew pride in every stitch.
[01:05:25.564 --> 01:05:27.826]  Guarantee you'll love the way they fit.
[01:05:29.970 --> 01:05:41.793]  We turn jeans inside out.
[01:05:41.793 --> 01:05:43.573]  Diamond Gusset Jeans.
[01:05:43.573 --> 01:05:46.454]  Made in the USA with unparalleled quality.
[01:05:46.454 --> 01:05:50.515]  Our Defender Motorcycle Jeans combine Gusset comfort with Kevlar protection.
[01:05:50.515 --> 01:05:53.075]  So you can ride all day with confidence.
[01:05:53.075 --> 01:05:55.776]  Order yours at gusset.com.
[01:05:55.776 --> 01:05:57.356]  Diamond Gusset Jeans.
[01:05:57.356 --> 01:05:58.157]  Got it.
[01:05:58.157 --> 01:05:58.637]  Others don't.
[01:06:00.498 --> 01:06:01.759]  Another major health threat.
[01:06:01.759 --> 01:06:06.741]  This one in Toledo, Ohio, where everybody in the entire city has been told not to drink the water.
[01:06:06.741 --> 01:06:09.402]  Ohio's governor declaring a state of emergency.
[01:06:09.402 --> 01:06:16.445]  Did you know that the average person uses about 80 to 100 gallons of water at home every single day?
[01:06:16.445 --> 01:06:19.406]  If there's a water emergency, will you be prepared?
[01:06:19.406 --> 01:06:22.387]  Panicked residents forming long lines throughout the day.
[01:06:22.387 --> 01:06:24.408]  We're here at a supermarket in Toledo.
[01:06:24.408 --> 01:06:27.249]  You can see the shelves empty where water once was.
[01:06:27.329 --> 01:06:33.072]  To stay safe and healthy during a crisis, you must have access to safe, clean water.
[01:06:33.072 --> 01:06:36.575]  Water which will not be available at your local grocery store.
[01:06:36.575 --> 01:06:39.656]  There's a mad dash on right now to stock up on supplies.
[01:06:39.656 --> 01:06:43.939]  The ProPure Pro1 G2.0 water filtration system is a must-have.
[01:06:44.079 --> 01:06:46.983]  For every modern, independently minded household.
[01:06:46.983 --> 01:06:50.208]  Protect your family's safety during an emergency.
[01:06:50.208 --> 01:06:56.638]  Go to Infowarsstore.com today to purchase your ProPure Pro1 G2.0 water filtration system.
[01:06:56.638 --> 01:06:57.199]  Or call 1-888-253-3139.
[01:07:00.407 --> 01:07:03.090]  Every year we make resolutions to lose weight and get in shape.
[01:07:03.090 --> 01:07:04.511]  And the truth is, it's hard.
[01:07:04.511 --> 01:07:06.193]  Even with diet and exercise.
[01:07:06.193 --> 01:07:11.377]  Because of toxic food in our environment that is stressing our bodies more than ever before.
[01:07:11.377 --> 01:07:18.204]  Working with experts in nutrition and biochemistry, I found that super high quality nutraceuticals, in addition to my diet and exercise,
[01:07:18.524 --> 01:07:20.745]  Worthy answers that synergistically worked.
[01:07:20.745 --> 01:07:27.569]  I can see the drastic changes every day with the amount of weight I've lost, my increased stamina, and more of a twinkle in my eye.
[01:07:27.569 --> 01:07:33.492]  That's why we are now so excited to launch the InfoWars Life Resolution Pack, combining three essential formulations.
[01:07:33.972 --> 01:07:41.876]  Oxygen-Based Cleanser Oxy-Powder, the Secret 12 Bioavailable Vitamin B12, and your choice of Super Female or Super Male Vitality.
[01:07:41.876 --> 01:07:48.840]  Now all available at a discounted price to you and your family to bring in the new year and make 2015 a true success.
[01:07:48.840 --> 01:07:50.020]  That's Infowarslife.com or 888-253-3139.
[01:07:50.020 --> 01:07:53.542]  2015 is the year to do it and it all starts at Infowarslife.com.
[01:08:03.504 --> 01:08:09.536]  We now take you live to the Central Texas Command Center and the heart of the resistance.
[01:08:09.536 --> 01:08:12.081]  You're listening to the Alex Jones Show!
[01:08:13.038 --> 01:08:14.339]  I am your host Alex Jones.
[01:08:14.339 --> 01:08:20.142]  Thank you for joining us on this taped transmission, but it is 2015 as this goes out worldwide.
[01:08:20.142 --> 01:08:22.363]  I'll be back tomorrow, Lord willing, 11 a.m.
[01:08:22.363 --> 01:08:22.883]  to 2 p.m.
[01:08:22.883 --> 01:08:24.324]  Central Live.
[01:08:24.324 --> 01:08:30.548]  And then, of course, back on the Sunday transmission live, 4 to 6 p.m.
[01:08:30.548 --> 01:08:31.588]  Central Standard Time.
[01:08:31.588 --> 01:08:33.329]  I want to say great job to the crew.
[01:08:33.329 --> 01:08:37.091]  In 2014, all of our affiliate sponsors, listeners, and the good Lord above.
[01:08:37.091 --> 01:08:39.853]  Here's our interviewer, part of it, with Mike Judge.
[01:08:48.444 --> 01:08:52.805]  I have a hard time saying I'm either a Democrat or a Republican.
[01:08:52.805 --> 01:08:54.786]  It just doesn't feel good.
[01:08:54.786 --> 01:08:59.627]  I was definitely raised, my parents were very liberal.
[01:08:59.627 --> 01:09:12.311]  Then, I don't know, certain things started to, you know, I mean, for a lot of people that's kind of almost a religion to them, and right-wing stuff is too, you know, so I try to not be part of any of that.
[01:09:12.311 --> 01:09:14.872]  I suppose I've become a
[01:09:18.642 --> 01:09:24.527]  Interested in, you know, smaller government kind of thinking.
[01:09:24.527 --> 01:09:38.740]  That sort of happens when, you know, I think you, you know, when you build your own thing, when you do your own thing and then suddenly you're getting penalized left and right, you know, that kind of can change you.
[01:09:38.740 --> 01:09:43.363]  If you've got a business, you didn't build that.
[01:09:43.363 --> 01:09:44.885]  Somebody else made that happen.
[01:09:47.864 --> 01:09:59.210]  I don't ever want to be one of those people that uses my whatever fame or whatever level of that notoriety I have from what I do in comedy to try to go into politics.
[01:09:59.210 --> 01:10:02.111]  I'm just like, I don't feel like I'm qualified.
[01:10:02.111 --> 01:10:14.418]  It kind of bugs me when people in Hollywood will use that, you know, their audience that they've gained through that to try to put out a political message when they have no idea what they're talking about.
