[00:00:16.411 --> 00:00:21.113]  Ladies and gentlemen, Owen Schroyer here hosting the Alex Jones Show.
[00:57:55.627 --> 00:57:59.291]  Inside you, like me, a fire is burning.
[00:57:59.291 --> 00:58:00.593]  Something needs to change.
[00:58:00.593 --> 00:58:02.815]  And yet, we feel helpless.
[00:58:02.815 --> 00:58:06.820]  Almost like we're stuck inside a system that someone else created for us.
[00:58:06.820 --> 00:58:08.702]  It's time for us to break free from that system.
[00:58:09.082 --> 00:58:11.704]  Reset Wars is a game changer.
[00:58:11.704 --> 00:58:16.829]  You start to see yourself more as part of the solution instead of just as a victim.
[00:58:16.829 --> 00:58:24.916]  So much of the stuff we look at today is low vibration, low energy, and makes us depressed and therefore we manifest this negative reality out there.
[00:58:24.916 --> 00:58:30.361]  When they feel their lie-cheat-steal plan to enslave and rob the people, there is an awakening.
[00:58:30.361 --> 00:58:33.384]  Reset Wars has helped me to navigate
[00:58:33.764 --> 00:58:40.049]  And to pinpoint and lock onto the deep-rooted psychological tactics that were being used against me.
[00:58:40.049 --> 00:58:41.731]  And now I'm not scared anymore.
[00:58:41.731 --> 00:58:44.873]  I have to say I was blown away.
[00:58:44.873 --> 00:58:47.195]  I feel so much better every day listening to it.
[00:58:47.195 --> 00:58:49.998]  To Alex, thank you very much for putting the course together.
[00:58:49.998 --> 00:58:51.479]  You're absolutely right.
[00:58:51.479 --> 00:58:53.821]  We are reflections of God.
[00:58:53.821 --> 00:58:55.342]  We are emanations of that.
[00:58:55.342 --> 00:58:59.626]  And we can use that God energy to do really anything we want to do in this life.
[00:59:00.046 --> 00:59:04.471]  Romans Chapter 12, Paul talks about how we're transformed by the renewing of our mind.
[00:59:04.471 --> 00:59:05.592]  And that's a process.
[00:59:05.592 --> 00:59:08.656]  Most of our thoughts and actions are subconscious.
[00:59:08.656 --> 00:59:11.159]  Most people go through their day and don't think about many things.
[00:59:11.159 --> 00:59:14.483]  You can drive along a long journey and not even remember half the trip.
[00:59:14.923 --> 00:59:22.044]  In this process, we need to have a concerted, active effort, physically and mentally, to reprogram that subconscious mind.
[00:59:22.044 --> 00:59:25.645]  That's what this series is about, is resetting our mind.
[00:59:25.645 --> 00:59:27.325]  Because there's a war on for our mind.
[00:59:27.325 --> 00:59:28.606]  He's exactly right.
[00:59:28.606 --> 00:59:33.247]  And he's become a great voice in our generation, and in this new Great Awakening.
[00:59:33.247 --> 00:59:38.028]  And I encourage everybody out there, if you haven't gone there yet, go to ResetWars.com.
[00:59:38.028 --> 00:59:39.388]  That's where your journey begins.
[00:59:47.452 --> 00:59:58.095]  If you are receiving this transmission, you are the Resistance.
[00:59:58.095 --> 01:00:08.519]  A modern day warrior, mean, mean stride.
[01:00:08.519 --> 01:00:11.320]  Today's Tom Sawyer, mean, mean pride.
[01:00:12.719 --> 01:00:29.409]  We're back here live on the Alex Jones Show, and we are watching the response to the announcement of Supreme Court Justice Stephen Breyer's retirement.
[01:00:29.409 --> 01:00:32.211]  And I think that it symbolizes a couple things.
[01:00:32.211 --> 01:00:42.437]  One, well, people think that there was some political pressure from the Democrat Party to get Breyer to retire, or he was just done dealing with it all.
[01:00:44.973 --> 01:00:54.420]  And didn't want to be the subject of discussion or expected to pull the Democrat line with some of these big decisions coming up.
[01:00:54.420 --> 01:01:13.335]  But it also could mean that if there was some political pressure or some conversations behind the scenes, the Democrats are expecting to lose the Senate in the midterms and so they had to make this process happen now.
[01:01:15.250 --> 01:01:22.372]  But after all the attacking of Cinema and Mansion, are they even going to have the votes?
[01:01:22.372 --> 01:01:25.013]  And then what is their play going to be?
[01:01:25.013 --> 01:01:35.476]  Are they going to put a transgender individual on the Supreme Court, just to say you're transphobic if you don't vote for this person, and then use the media to run that narrative?
[01:01:35.476 --> 01:01:36.896]  The most interesting, and I think
[01:01:38.385 --> 01:01:57.120]  As insane as this sounds, but the best political strategy for the Democrats right now would actually, and I don't even know what the precedent, if there is one, if it's ever been done, would be to nominate Kamala Harris, because that would get her out of the way, because they don't want her as Vice President.
[01:01:57.120 --> 01:01:59.322]  They're done with her.
[01:01:59.322 --> 01:02:07.248]  They looked at her as just a token to get Biden over the edge, but now that he's in there and falling apart, and they
[01:02:08.772 --> 01:02:10.193]  Don't want Harris involved.
[01:02:10.193 --> 01:02:20.640]  You know, oh, well, you can still feel important and be a part of things on the Supreme Court, and then we get you out of the way in the Vice President's seat, and you don't have to be around us all day long anymore.
[01:02:20.640 --> 01:02:31.167]  Now, I think the odds of that are pretty slim, but these are some of the things that are being discussed as the news dropped just a few hours ago.
[01:02:34.386 --> 01:02:39.067]  So we'll obviously be watching that closely along with everybody else.
[01:02:39.067 --> 01:02:47.810]  Now there is a developing situation happening in Wisconsin right now and I don't know how this hasn't made bigger news.
[01:02:47.810 --> 01:02:56.532]  In fact guys do me a favor because when I looked last night because that's when the story was published
[01:02:58.183 --> 01:03:10.151]  On the Gateway Pundit, Wisconsin Assembly votes to advance Representative Rantham's resolution to reclaim Wisconsin electors for president and vice president that were certified under fraudulent purposes.
[01:03:10.151 --> 01:03:17.356]  Wisconsin Assembly sends election shockwaves by voting to withdraw 10 Biden electors.
[01:03:17.356 --> 01:03:23.120]  Now when this broke last night, nobody else was covering it.
[01:03:23.120 --> 01:03:27.723]  I couldn't find anything on cable news as I was flipping through the channels to see if they'd mentioned it.
[01:03:29.215 --> 01:03:33.116]  I didn't see really anything online of anybody covering this.
[01:03:33.116 --> 01:03:38.857]  I mean, that's kind of a huge story.
[01:03:38.857 --> 01:03:41.998]  Why wouldn't that make bigger news?
[01:03:41.998 --> 01:03:44.438]  Well, I guess it's pretty obvious why.
[01:03:44.438 --> 01:03:51.220]  If the state of Wisconsin realizes that it was fraudulent votes that put Biden over the top,
[01:03:52.133 --> 01:04:08.299]  and retracts their electors, well then that might be a domino effect that could lead to Pennsylvania or Michigan or Georgia or Arizona doing the same thing.
[01:04:08.299 --> 01:04:09.940]  And they don't want that news out there.
[01:04:09.940 --> 01:04:14.882]  They don't want the American people to know how rigged this last election was.
[01:04:16.772 --> 01:04:17.932]  What was it, Democrats?
[01:04:17.932 --> 01:04:20.153]  You can't have your cake and eat it, too.
[01:04:20.153 --> 01:04:24.994]  Is it worse voter suppression ever, keeping Democrats from voting, like you claim?
[01:04:24.994 --> 01:04:28.055]  Or did Biden have 81 million votes, the most votes of all time?
[01:04:28.055 --> 01:04:30.516]  Which is it?
[01:04:30.516 --> 01:04:31.296]  Which is it?
[01:04:31.296 --> 01:04:46.281]  But because we only have one member of the media that's not a Democrat sent to the White House to protect Biden, that would be Peter Doocy, the Democrats will never have to answer these questions
[01:04:48.157 --> 01:04:53.663]  And they'll always get to have their cake and eat it too because the media is on their team.
[01:04:53.663 --> 01:04:55.025]  Team Destroy America.
[01:04:55.025 --> 01:04:59.931]  Team Democrat.
[01:04:59.931 --> 01:05:03.415]  Nootropics is a fancy way of saying brain pill.
[01:05:03.415 --> 01:05:07.079]  And it is the fastest growing market in supplements in the world.
[01:05:07.079 --> 01:05:07.760]  For good reason.
[01:05:09.087 --> 01:05:16.431]  There are a lot of amazing compounds out there, some healthy, some not, that do incredible things in our brains.
[01:05:16.431 --> 01:05:25.797]  And we've tried them all, we've researched them all, and we will not sell you anything that is linked to any problems or any type of toxicity or any type of extreme hangovers.
[01:05:26.617 --> 01:05:31.500]  Because I'm not saying some of our brain products, you won't have a little bit of a letdown once you take them, but that would just be a lie.
[01:05:31.500 --> 01:05:35.663]  But these are very, very clean with compounds that God gave us that are good for you.
[01:05:35.663 --> 01:05:43.207]  And one of our best sellers is back in stock, Brain Force Plus, a good, clean nootropic, a good, clean brain pill.
[01:05:43.207 --> 01:05:45.429]  You can find something stronger, but it's not good for you.
[01:05:45.429 --> 01:05:47.230]  This is a high quality system.
[01:05:47.230 --> 01:05:49.311]  It's available at InfoWareStore.com.
[01:05:49.311 --> 01:05:52.053]  It's sold out for a long time at 40% off.
[01:05:52.053 --> 01:05:55.875]  So get your Brain Force Plus today at InfoWareStore.com and help keep us on air.
[01:05:56.155 --> 01:05:58.156]  Thank you so much, and I'll see you out there!
[01:06:19.339 --> 01:06:24.281]  Welcome back to another special edition of the Alex Jones Show.
[01:06:24.281 --> 01:06:25.741]  I'm Alex Jones, your host.
[01:06:25.741 --> 01:06:30.203]  Owen Schroer, sitting in doing a fabulous job, is about to take over here in just a moment.
[01:06:30.203 --> 01:06:41.267]  But going through the different stacks of incredible stories that are on InfoWars.com, I wanted to go back to one from a few days ago that didn't really get the attention it needs.
[01:06:41.267 --> 01:06:45.709]  It's a real chink in the armor of the lie factory that is the corporate media.
[01:06:46.309 --> 01:06:50.053]  And it's a Paul Joseph Watson article from InfoWars.com.
[01:06:50.053 --> 01:06:59.724]  Broadcaster issued warning after falsely claiming 90% of COVID patients were unvaccinated.
[01:06:59.724 --> 01:07:04.449]  Now remember how Fauci likes to go around and say that 99% of the deaths are unvaccinated?
[01:07:04.449 --> 01:07:06.191]  He's been saying it for over a year.
[01:07:06.191 --> 01:07:06.811]  It's a total lie.
[01:07:07.984 --> 01:07:18.131]  Remember how you'll see the headline everywhere, oh, that you're 30 times or 29 times less likely to be hospitalized if you're vaccinated or fully vaccinated.
[01:07:18.131 --> 01:07:28.478]  And then when you try to find where those numbers actually come from, they're either fake studies that have now been reversed or debunked or pulled, or it's completely pulled out of thin air.
[01:07:28.478 --> 01:07:36.164]  Well, you see Bill Gates and his organizations and basically every other major corporate outfit has its own fact-checking group.
[01:07:37.304 --> 01:07:50.091]  That runs around trying to police the internet, to police your YouTube account, or your Twitter account, or your Facebook account, and they'll twist the meanings of what you've said and try to get you suspended or banned.
[01:07:50.091 --> 01:08:01.817]  But in the UK they actually have a watchdog government group that actually targets disinformation and blatant lies on television, and as of late with the public filing complaints, it hasn't been the
[01:08:03.398 --> 01:08:11.385]  Vaccine skeptic doctors and others that have been the ones getting warnings and getting told to stop lying.
[01:08:11.385 --> 01:08:14.808]  No, it's been the corporate media.
[01:08:14.808 --> 01:08:15.949]  Here it is.
[01:08:15.949 --> 01:08:24.076]  Broadcaster issued warning after falsely claiming 90% of COVID patients were unvaccinated.
[01:08:25.120 --> 01:08:40.565]  British broadcaster ITV was issued a warning by regulator Ofcom after a guest and a presenter on the TV show, they've done this before, falsely claimed that 90% of COVID hospital patients were unvaccinated.
[01:08:40.565 --> 01:08:42.266]  That's the big pharma lie.
[01:08:42.266 --> 01:08:50.129]  I bet you money if they got SWAT teamed, their computers have got money from Pfizer on them, that they've got the emails giving them the talking points for money.
[01:08:51.550 --> 01:09:01.906]  The spurious remarks were made by Dr. Hillary Jones and Lorraine Kelly during a segment on The Lorraine Show.
[01:09:03.373 --> 01:09:16.464]  Those people who haven't been vaccinated, we'd really love to think again and be vaccinated because 90% of people in the hospital are unvaccinated right now with COVID, said Dr. Jones.
[01:09:16.464 --> 01:09:19.786]  That's the figure we have to really concentrate on.
[01:09:19.786 --> 01:09:21.368]  You mean the lie?
[01:09:21.368 --> 01:09:26.071]  90% of people in the hospital have not been vaccinated, Kelly.
[01:09:26.071 --> 01:09:27.853]  Repeat it.
[01:09:27.853 --> 01:09:29.514]  And it goes on from that.
[01:09:29.514 --> 01:09:30.375]  But it wasn't true.
[01:09:30.375 --> 01:09:31.115]  The real number was 36%.
[01:09:33.737 --> 01:09:37.340]  Or the unvaccinated in the hospital from the government's own numbers.
[01:09:37.340 --> 01:09:38.681]  4,000 plus complaints.
[01:09:38.681 --> 01:09:41.923]  This is how we get back on the offense against these liars.
[01:09:41.923 --> 01:09:44.165]  With the science, with the facts, with the reality.
[01:09:44.847 --> 01:09:54.951]  Everybody should go to InfoWars.com and get this article and share it and remind people that if that's a proven lie, well, Fauci's 99% is even a bigger proven lie, isn't it?
[01:09:54.951 --> 01:10:00.733]  And let people know they've been lied to and to stop loving the lies and stop loving the fraud.
[01:10:00.733 --> 01:10:03.294]  The vaccine doesn't work to protect you from COVID.
[01:10:03.294 --> 01:10:06.655]  The people that made the vaccine are the people that created COVID.
[01:10:06.655 --> 01:10:07.955]  They need to go to prison.
[01:10:07.955 --> 01:10:09.876]  This is their great reset plan to take over.
[01:10:11.010 --> 01:10:13.592]  All right, back to Owen Schroer on the live broadcast.
[01:10:13.592 --> 01:10:20.318]  Please also take this clip from the show, everybody, and share it, because this is serious information, and we've caught him red-handed yet again.
[01:10:20.318 --> 01:10:22.600]  All right, Alex, thank you.
[01:10:22.600 --> 01:10:29.425]  We're back here live in studio now.
[01:10:29.425 --> 01:10:33.469]  And just to kind of pick it back up where I left off here,
[01:10:35.202 --> 01:10:50.952]  Discussing the Wisconsin Assembly voting to withdraw the 10 Biden electors, basically voting to nullify the victory for Biden in Wisconsin.
[01:10:50.952 --> 01:10:59.098]  The privilege resolution to withdraw the Biden electors will now proceed to the Wisconsin Rules Committee in the Wisconsin Assembly and to the Wisconsin Senate.
[01:11:01.554 --> 01:11:07.036]  The legislation was introduced by Representative Timothy Ramthone.
[01:11:07.036 --> 01:11:10.077]  So it's still obviously got hurdles.
[01:11:10.077 --> 01:11:15.419]  And I'm not getting my hopes up, but it is interesting.
[01:11:15.419 --> 01:11:16.499]  It is interesting indeed.
[01:11:16.499 --> 01:11:24.662]  And when Democrats deny the results of the election, which every time they lose in the 20th, or excuse me, in the 21st century they have,
[01:11:25.680 --> 01:11:37.123]  Every time a Democrat is lost in the 21st century, they claim it was a false result, whether it was Al Gore or Hillary Clinton.
[01:11:37.123 --> 01:11:38.104]  We all remember.
[01:11:38.104 --> 01:11:51.448]  But they never had this much actual activity, this much actual political activity and proof or anything when it comes to their denials of the results, like we've seen with the 2020 election.
[01:11:54.602 --> 01:11:57.464]  But, uh, we'll see if that goes anywhere.
[01:11:57.464 --> 01:11:59.465]  Speaking of, we'll see if it goes anywhere.
[01:11:59.465 --> 01:12:14.634]  You know, there were huge, you can call it huge, I mean, I guess it just depends, revelations in the Durham investigation that came out yesterday.
[01:12:14.634 --> 01:12:18.496]  Here's a story that got published this morning covering it at the Gateway Pundit.
[01:12:18.496 --> 01:12:23.760]  Latest actions by Durham indicate a broken investigation by a broken DOJ.
[01:12:23.760 --> 01:12:24.320]  And, you know,
[01:12:25.839 --> 01:12:45.460]  I try to wrap my head around all of the stuff that came out, and you follow good accounts like TechnoFog that does good reporting on this from a legal perspective, and there were a lot of others that were reporting on this yesterday, but it really all just comes down to the same thing.
[01:12:45.460 --> 01:12:47.983]  We all know Obama was illegally spying on Trump.
[01:12:48.752 --> 01:13:05.043]  We all know that Hillary Clinton was using foreign intelligence assets to fabricate evidence against Donald Trump leading up to the 2016 election and they've basically been caught red-handed and Durham is kind of in a wild goose chase of whodunit.
[01:13:05.865 --> 01:13:09.906]  And everybody's pointing the finger at the next guy saying, I don't know what's going on.
[01:13:09.906 --> 01:13:34.934]  And so with every hurdle, every pointed finger, Durham just gets deeper and deeper into this rabbit hole that is capturing more and more people and evidence in this conspiracy that it was really Hillary Clinton and her campaign and the Democrat party that were running leading up to the 2016 election to spy on Donald Trump and to lie about Donald Trump.
[01:13:35.532 --> 01:13:38.173]  So that Hillary Clinton could win.
[01:13:38.173 --> 01:13:50.475]  And the problem that I have is I just don't even want to waste my time or my energy trying to dig into it anymore because it's just it's it's everybody knows what happened.
[01:13:50.475 --> 01:14:01.358]  And so you can sit here and look at the names and look at the different sectors of the government and the bank accounts and everything that's getting exposed right now but it's like you know this is seven years too late.
[01:14:03.115 --> 01:14:07.417]  And nobody really cares anymore, quite frankly.
[01:14:07.417 --> 01:14:10.478]  Something should have been done about this years ago.
[01:14:10.478 --> 01:14:15.779]  Something should have been done about this when Trump was in office and nothing was done.
[01:14:15.779 --> 01:14:25.323]  And so I'm supposed to get excited or hyped up because Durham now seems to be actually getting concrete evidence of all the crimes that we knew already happened.
[01:14:25.323 --> 01:14:30.725]  And then I'm supposed to expect there to be legal action taken against these criminals?
[01:14:30.725 --> 01:14:31.125]  Sorry.
[01:14:32.478 --> 01:14:38.279]  Sorry, I just do not have the excitement levels there.
[01:14:38.279 --> 01:14:45.600]  Here's a Zero Hedge old headline, Arrest of Steel Dossier Source A Seismic Development.
[01:14:45.600 --> 01:14:47.241]  Was it though, back in November?
[01:14:47.241 --> 01:14:48.241]  Was it really seismic?
[01:14:48.241 --> 01:14:49.121]  Did you feel it?
[01:14:49.121 --> 01:14:50.301]  Did anyone else feel it?
[01:14:50.301 --> 01:14:50.801]  Not really.
[01:14:50.801 --> 01:14:55.542]  I mean, it's crazy.
[01:14:55.542 --> 01:14:58.543]  I mean, we have the bank accounts now.
[01:14:58.543 --> 01:14:59.443]  We have the names.
[01:14:59.443 --> 01:15:00.223]  We've got all of it.
[01:15:01.305 --> 01:15:03.926]  Durham is... a lot of this information is getting out.
[01:15:03.926 --> 01:15:09.649]  I don't know if it's coming straight from Durham's office or just they're reporting it to media or what.
[01:15:09.649 --> 01:15:13.851]  But, uh... I don't think anything will happen.
[01:15:13.851 --> 01:15:15.012]  Nothing will happen to Hillary.
[01:15:15.012 --> 01:15:16.772]  Nothing will happen to the Democrats involved.
[01:15:16.772 --> 01:15:18.813]  Nothing will happen to the banks involved.
[01:15:18.813 --> 01:15:22.395]  Nothing will happen to the foreign intelligence involved.
[01:15:22.395 --> 01:15:25.757]  Except maybe one or two arrests or prosecutions here or there.
[01:15:25.757 --> 01:15:27.878]  Just because of all the money that was spent.
[01:15:27.878 --> 01:15:29.559]  That's how this goes.
[01:15:29.559 --> 01:15:30.039]  But, uh...
[01:15:31.707 --> 01:15:32.887]  I don't know.
[01:15:32.887 --> 01:15:44.452]  It just feels the same as, hey, look at all these states and all these special assemblies and committees that are saying we need to retract the victories for Biden in our states.
[01:15:44.452 --> 01:15:45.653]  They were done fraudulently.
[01:15:45.653 --> 01:15:46.993]  Well, OK, it's too late.
[01:15:46.993 --> 01:15:48.654]  Nothing's going to happen.
[01:15:48.654 --> 01:15:51.435]  Same thing with the Hillary corruption from the 2016 election.
[01:15:51.435 --> 01:15:54.056]  It's just it's just too late.
[01:15:54.056 --> 01:15:55.416]  Yeah, criminals are going to get away.
[01:15:55.416 --> 01:15:56.517]  It's what happens in this country.
[01:15:59.156 --> 01:16:06.820]  Sleepless nights seem to be a lot more common these days with everything that's going on both at home and the world at large.
[01:16:06.820 --> 01:16:15.384]  If you're having trouble getting to that deep sleep we could all use more of, our new sleep support formula, Down-N-Out, is just the thing.
[01:16:15.384 --> 01:16:21.747]  It's our new, faster-absorbing liquid formula that is specifically designed to help you get the shut-eye you deserve.
[01:16:22.407 --> 01:16:27.133]  Formulated to improve upon our best-selling product, Knockout, with Down and Out.
[01:16:27.133 --> 01:16:32.840]  Now the herbs and melatonin packed inside are extracted directly into the glycerin solution.
[01:16:32.840 --> 01:16:37.225]  So the ingredients are already dissolved into the formula before you even take it.
[01:16:37.225 --> 01:16:41.370]  One of the other sleep support herbs included is the Passionflower.
[01:16:41.590 --> 01:16:46.393]  The powerful combination of both vitamin C and zinc are great stepping stones to leading a healthier life.
[01:16:46.393 --> 01:16:51.657]  InfoWars has made it easier to make sure you are getting enough in your system with a supplement that contains both.
[01:17:11.329 --> 01:17:18.033]  This InfoWars Life Offering Vitamin C Plus Zinc with Rose Hips should be your next purchase from the InfoWars Store.
[01:17:18.033 --> 01:17:25.258]  The rose hips contained within are a part of the rose flower just below the petals that contain the rose plant seeds.
[01:17:25.258 --> 01:17:35.545]  Natural chemicals found in the hips may even be helpful for a variety of health conditions, including those with osteoarthritis and for those with pain after surgery, studies have shown.
[01:17:35.945 --> 01:17:44.953]  As for vitamin C and zinc themselves, you probably already know that they play an important role in nutrition, immune defense, and the maintenance of your everyday health.
[01:17:44.953 --> 01:17:51.539]  It has been reported that intake of both is often inadequate, even in affluent populations like here in America.
[01:17:51.539 --> 01:17:57.744]  So next time you visit, be sure to check it out at InfoWarsStore.com, where we promise our rose hips don't lie.
[01:17:57.984 --> 01:18:03.747]  Well, I'm very excited for several reasons that two of our very popular products are back in stock.
[01:18:03.747 --> 01:18:18.757]  Whole Food Multivitamin Essential Nutrient Multivitamin from Natural Healthy Sources, not synthetic, and Vitamin C and Zinc with Rosehips, the classic Linus Pauling Nobel Prize winning formula to supercharge your immune system and every cell in your body.
[01:18:18.757 --> 01:18:22.539]  They're both back in stock, sold out for more than four months at 40% off.
[01:18:24.600 --> 01:18:30.543]  Another reason I'm very, very excited about this is, this will fund our operation and keep us on air.
[01:18:30.543 --> 01:18:39.907]  So again, it's a 360 win, but whatever you do, go out and get an organic, whole food, multivitamin, anti-vitamin C, anti-zinc.
[01:18:40.527 --> 01:18:43.690]  We also have some great vitamin D products at InfoWarsTore.com.
[01:18:43.690 --> 01:18:47.214]  But whatever you do, defend your body's immune system.
[01:18:47.214 --> 01:18:49.837]  We want to keep patriots in the game against the New World Order.
[01:18:49.837 --> 01:18:51.098]  So it's a 360 win.
[01:18:51.098 --> 01:18:57.425]  Get something essential for your body and your health and your longevity and your immune system while funding the InfoWar at InfoWarsTore.com.
[01:18:58.206 --> 01:18:59.507]  Let's go ahead and take another call.
[01:18:59.507 --> 01:19:01.549]  Let's talk to Malcolm in Tennessee.
[01:19:01.549 --> 01:19:01.949]  Welcome.
[01:19:01.949 --> 01:19:02.669]  Hello, Alex?
[01:19:02.669 --> 01:19:03.270]  Yes, Malcolm.
[01:19:03.270 --> 01:19:07.553]  Alright, I'm gonna make this quick and real short, where the other Patriots can get on the line.
[01:19:07.553 --> 01:19:12.137]  Uh, Alex, I have to promote one thing from one of your co-hosts, Owen Schroyer.
[01:19:12.137 --> 01:19:15.139]  Super male vitality and brain force plus.
[01:19:15.139 --> 01:19:17.781]  Mix those two together, you're an unstoppable tank.
[01:19:18.021 --> 01:19:19.822]  Supramel Vitality really, really works.
[01:19:19.822 --> 01:19:24.726]  It's cold-pressed herbs and natural compounds that have never been heated up.
[01:19:24.726 --> 01:19:31.491]  And so, it has a dramatic effect compared to powdered versions that also work quite well, but just aren't as strong.
[01:19:31.491 --> 01:19:33.333]  This is like a very fine wine.
[01:19:33.333 --> 01:19:35.474]  In fact, each batch is different.
[01:19:35.474 --> 01:19:37.916]  Sometimes it's super strong, sometimes it's just okay.
[01:19:37.916 --> 01:19:41.199]  People are like, why are you selling something and admitting sometimes the batch isn't as strong?
[01:19:41.199 --> 01:19:42.119]  That's just how it is.
[01:19:42.119 --> 01:19:42.780]  It's how it works.
[01:19:43.480 --> 01:19:47.501]  Uh, so, it's always good, it's just sometimes it's like super strong.
[01:19:47.501 --> 01:19:59.184]  But yeah, if you want the Rolls Royce at a decent price, then this is it.
[01:19:59.184 --> 01:20:05.086]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[01:20:15.629 --> 01:20:18.232]  Ladies and gentlemen, we're back here live on the Alex Jones Show.
[01:20:18.232 --> 01:20:20.294]  Owen Troyer sitting in for Alex.
[01:20:20.294 --> 01:20:34.789]  We are joined now by Dr. Paul Isaacs, part of the Delaware Medical Freedom Alliance, DelawareMFA.org, and they have an event coming up tomorrow night we want to help share.
[01:20:35.819 --> 01:20:44.114]  The Medical Freedom Rally happening tomorrow night at Bay Health Dover Delaware 604 South State Street.
[01:20:44.114 --> 01:20:46.478]  This is happening at 5 p.m.
[01:20:46.478 --> 01:20:47.439]  tomorrow evening and
[01:20:49.284 --> 01:21:02.970]  They are going to be talking about and raising awareness for the fact that medical professionals are getting fired because they don't want to take the COVID vaccine, and they are also warning people of the negative side effects of the vaccine.
[01:21:02.970 --> 01:21:05.251]  Where there is risk, there must be choice.
[01:21:05.251 --> 01:21:07.812]  Dr. Paul Isaacs joins me now.
[01:21:07.812 --> 01:21:12.675]  You know, it's ironic but sad, doctor, that
[01:21:13.695 --> 01:21:22.904]  We saw the same people praising the frontline workers in the medical field, whether it was doctors or nurses, in the response to COVID.
[01:21:22.904 --> 01:21:28.930]  How great they were, they were the heroes, and then just one year after that, if they don't take the vaccine, they're the zeros!
[01:21:28.930 --> 01:21:32.453]  It's amazing how that happened so quickly, isn't it?
[01:21:32.453 --> 01:21:34.475]  It is, and it does not make sense.
[01:21:36.226 --> 01:21:39.689]  Well, it only makes sense when you accept the people we're dealing with are evil.
[01:21:39.689 --> 01:21:43.252]  I don't know if you've reached that full conclusion yet, but that's where I stand.
[01:21:43.252 --> 01:21:51.598]  But let's talk about tomorrow's event, getting people out there to be active, that don't want to be a part of this medical tyranny.
[01:21:51.598 --> 01:22:00.825]  So talk about tomorrow's event, what it's going to be like, and where people can go to find information if they want to join you there in Dover, Delaware.
[01:22:00.825 --> 01:22:02.967]  Well, it's the first time I've seen the fire.
[01:22:02.967 --> 01:22:05.249]  I wasn't sure that I was going to be talking about that, per se.
[01:22:06.204 --> 01:22:08.487]  I believe it's across from the hospital.
[01:22:08.487 --> 01:22:10.569]  It's down on hospital property.
[01:22:10.569 --> 01:22:24.144]  It's on the sidewalk in front of, I think it's Holy Cross Church, on the road between the two buildings, between the hospital and the church.
[01:22:24.144 --> 01:22:25.426]  It's down on hospital property.
[01:22:27.028 --> 01:22:30.551]  And of course, this is going to be a peaceful, legal, lawful rally.
[01:22:30.551 --> 01:22:35.735]  We always have to, you know, add those in because we know how provocateurs like to set people up.
[01:22:35.735 --> 01:22:38.938]  So, no, this is obviously peaceful, legally, and lawful.
[01:22:38.938 --> 01:22:44.843]  But, you know, let's say, so you're going to be, if you're out there and you're a part of this, what are the big issues for you right now?
[01:22:44.843 --> 01:22:46.604]  What are the issues you see with COVID?
[01:22:46.604 --> 01:22:51.848]  What are the issues you see with the vaccines?
[01:22:51.848 --> 01:22:55.732]  We're forcing people to take something as a requirement to work, which is
[01:22:56.846 --> 01:23:04.450]  Not fully tested and the results that are coming through for a lot of people is that they're getting injured because of it.
[01:23:04.450 --> 01:23:23.819]  If you are going to get, can get COVID, which CDC has admitted and I've seen it, if people can get COVID, even though they've had a vaccination and they can receive it and pass it on, if they can get infected and transmitted both, I don't know why it has to be mandated.
[01:23:24.821 --> 01:23:33.989]  Uh, and, and why I have survived 20 months in the fire here would have to get the shot to continue being with people.
[01:23:33.989 --> 01:23:44.299]  If I have survived, it makes sense that my immunity is respectable and it should help me not get seriously sick myself.
[01:23:44.299 --> 01:23:50.204]  But even if I don't have the vaccine, how can I be more, more dangerous or
[01:23:51.030 --> 01:23:53.712]  Infectious or more able to give it to somebody else.
[01:23:53.712 --> 01:23:56.934]  Those that have the shots are passing it to others.
[01:23:56.934 --> 01:24:00.096]  That does not prevent people from getting it.
[01:24:00.096 --> 01:24:02.478]  I'm saying people in the community.
[01:24:02.478 --> 01:24:15.027]  I have people that that are relatives of mine and church folks relatives of church folks and people that I know in the state that I run into all the time that have had it and survived even though they've had the shots.
[01:24:15.939 --> 01:24:19.302]  Or their family members have died after they've had the shots.
[01:24:19.302 --> 01:24:28.028]  And to me, the issue is people are not being fully informed about the hazard of the shot and how it does not prevent you from getting it.
[01:24:28.028 --> 01:24:34.914]  You know, when the average flu season, my understanding is the death rate is about 1% and COVID is no more than that.
[01:24:34.914 --> 01:24:42.340]  And, and children, I'm concerned about children because children have a death rate according to people like Ben Carson, about 0.24.
[01:24:45.646 --> 01:24:49.749]  percent, which means that only a quarter of one child will die.
[01:24:49.749 --> 01:24:50.349]  They get it.
[01:24:50.349 --> 01:24:56.373]  Why are we mandating them getting shots that could damage them 10, 20 years down the road?
[01:24:56.373 --> 01:24:58.134]  It does not make sense to me.
[01:24:58.134 --> 01:25:00.495]  Bureaucracy is too powerful right now.
[01:25:00.495 --> 01:25:02.116]  The government is too powerful.
[01:25:02.116 --> 01:25:04.377]  People's rights are being banned.
[01:25:04.377 --> 01:25:15.264]  The fact is that we should, according to the First Amendment, have the right to say no when it comes to our own body, and we should have a right to say what we allow to contaminate
[01:25:16.007 --> 01:25:18.307]  The tabernacle of God who lives in us.
