[00:00:00.649 --> 00:00:05.070]  This is truly an Emergency Saturday Broadcast.
[00:37:41.687 --> 00:37:52.593]  The FDA has allowed nanoparticles into the food supply under the generally recognized as safe provision because they claim that they are no more dangerous than their larger counterparts.
[00:37:52.593 --> 00:37:57.536]  Titanium is generally safe, therefore nanotitanium must be safe.
[00:37:57.536 --> 00:38:09.363]  But they also admit that known materials can exhibit new or altered physiochemical properties at nanoscale dimensions, including unknown safety hazards that they will continue to monitor for.
[00:38:10.503 --> 00:38:18.469]  In other words, the human trials for consumable nanotechnology is currently happening in the public without their knowledge.
[00:38:18.469 --> 00:38:23.993]  Nanoparticles can be absorbed into our immune defense system and into our bloodstream.
[00:38:23.993 --> 00:38:31.258]  And just like the FDA admits, materials at the nanoscale can cause unknown changes in a person's biological system.
[00:38:32.020 --> 00:38:39.148]  Animal studies have proven that nanoparticles are changing the way our bodies absorb certain minerals, such as iron.
[00:38:39.148 --> 00:38:52.783]  FDA chemist Timothy Duncan wrote that nanotechnology in the food supply is being held back because the food supply industry is afraid of public backlash, and argues that nanotechnology will somehow make food healthier.
[00:38:53.973 --> 00:39:02.104]  The FDA is far more concerned with pushing more of these experimental nanoparticles into the food supply than they are with safety.
[00:39:02.104 --> 00:39:06.550]  Like they said about giving the dangerous experimental vaccines to your kids.
[00:39:06.550 --> 00:39:10.475]  We're never going to learn about how safe the vaccine is until we start giving it.
[00:39:11.767 --> 00:39:20.193]  At least 20 products are adding laboratory-made nanoparticles into the ingredients, and they are getting ready to coat bananas in new nanotech.
[00:39:20.193 --> 00:39:26.078]  But companies are not required to disclose nano-sized ingredients, so we don't know how prevalent it is.
[00:39:27.893 --> 00:39:39.659]  Along with being a proponent of population reduction, forced vaccinations, and genetically modified foods, Bill Gates is also the biggest private farm owner in America.
[00:39:39.659 --> 00:39:47.404]  Does anyone doubt for a second that Bill Gates is allowing this dangerous nanotech the FDA is pushing for into America's food supply?
[00:39:48.655 --> 00:40:06.704]  In related news, 10 out of the 19 states in which Bill Gates owns farmland, along with at least another 10, have recently made it legal to dispose of human bodies into the municipal water supply, allowing human remains to be added into biosolid sourced fertilizer.
[00:40:06.704 --> 00:40:12.627]  It's called alkaline hydrolysis and is referred to in pop culture as being very, very green.
[00:40:13.547 --> 00:40:23.351]  Spiritual leaders have strongly objected to alkaline hydrolysis because they say it is disrespectful to the human body, the vessel of a divine soul.
[00:40:23.351 --> 00:40:25.792]  And it's understandable why they say this.
[00:40:25.792 --> 00:40:33.775]  In alkaline hydrolysis, the human body is liquefied with lye and poured down the sewer to mix in with the community's excrement.
[00:40:34.835 --> 00:40:45.643]  And if that weren't bad enough, this bio-sludge is then collected from municipal water treatment plants and used as so-called fertilizer on factory farms.
[00:40:45.643 --> 00:40:51.587]  The official excuse is that it saves the government money for expensive toxic waste disposal.
[00:40:51.587 --> 00:41:02.816]  Meanwhile, we are all being sold food that has been grown with a toxic bio-sludge made up of human remains and excrement, which is then loaded with new and strange nanotechnology.
[00:41:04.324 --> 00:41:08.486]  Interestingly, the dystopian movie Soylent Green took place in 2022.
[00:41:08.486 --> 00:41:12.948]  They're making our food out of people.
[00:41:12.948 --> 00:41:16.190]  Next thing, they'll be breeding us like cattle for food.
[00:41:16.190 --> 00:41:18.491]  You gotta tell them.
[00:41:18.491 --> 00:41:19.952]  You gotta tell them!
[00:41:19.952 --> 00:41:20.813]  Promise, Tiger.
[00:41:20.813 --> 00:41:21.453]  I promise.
[00:41:21.453 --> 00:41:22.774]  I'll tell the exchange.
[00:41:22.774 --> 00:41:24.855]  You tell everybody.
[00:41:24.855 --> 00:41:26.395]  Listen to me, Hatcher.
[00:41:26.395 --> 00:41:30.898]  You gotta tell them Soylent Green is people!
[00:41:30.898 --> 00:41:33.159]  Reporting for InfoWars, this is Greg Reese.
[00:41:39.229 --> 00:41:44.551]  America's food supply fertilized with human remains and coated with nanoparticles.
[00:41:44.551 --> 00:41:48.892]  And as terrible as that short four-minute report is, it's much worse.
[00:41:48.892 --> 00:41:53.354]  And Greg even got to it, I'm not putting him down, I'm just saying.
[00:41:53.354 --> 00:42:03.037]  You understand that it's changed the chemistry of almost all the fish that are downstream from those water treatment facilities and has caused most of the shrimp in the Gulf of Mexico
[00:42:03.757 --> 00:42:04.257]  We're good to go.
[00:42:33.086 --> 00:42:39.913]  And that's what they did in the UK that caused all the mad cow disease.
[00:42:39.913 --> 00:42:53.127]  So, we are bio-loaded with so much toxic waste and now they're going to add nanoparticles that go right through your cells, right through your gut lining, and the Davos group says, isn't it funny, that they're going to
[00:42:54.864 --> 00:43:00.188]  Colonize us is the word with all this nanotech through the food and it's going to be their revolution and they don't care.
[00:43:00.188 --> 00:43:03.511]  Again, we don't change the environment, we change you, he said.
[00:43:03.511 --> 00:43:05.732]  We put the nanoparticles in you.
[00:43:05.732 --> 00:43:19.002]  First you wear the chips and you take the chips and the nano migrates to the brain and then we can, I mean, these are quotes by Schwab and that Israeli futurist and all of them.
[00:43:19.002 --> 00:43:21.725]  You're like, oh, well, that's just, you know, the big Israeli futurist.
[00:43:21.725 --> 00:43:23.326]  They're doing it.
[00:43:24.448 --> 00:43:26.489]  They're doing it.
[00:43:26.489 --> 00:43:30.630]  And again, if you're a new viewer and you heard me when I first started the show, oh yeah, they heat hospitals in the U.S.
[00:43:30.630 --> 00:43:31.250]  and the U.K.
[00:43:31.250 --> 00:43:32.471]  with dead babies.
[00:43:32.471 --> 00:43:36.352]  It sounds like bull, doesn't it?
[00:43:36.352 --> 00:43:49.937]  In fact, I want to end the show today, we're not ending it right now, with that Soylent Green video from like eight years ago that Darren McBrain, myself, and the great David Knight put together.
[00:43:49.937 --> 00:43:52.718]  It is absolutely something else, ladies and gentlemen.
[00:43:53.900 --> 00:44:00.283]  Okay, let's get right down to brass tacks here, ladies and gentlemen.
[00:44:00.283 --> 00:44:06.286]  Because I need to get another break in a little while and come back with Norm Pattis because CNN contacted us.
[00:44:06.286 --> 00:44:08.287]  Norm Pattis has basically moved down here from Connecticut.
[00:44:08.287 --> 00:44:11.108]  We've got so much going on and so many fights.
[00:44:11.108 --> 00:44:14.250]  And he's a great lawyer, famous lawyer, one of the best criminal and first amendment lawyers out there.
[00:44:14.250 --> 00:44:15.751]  I mean, he's in the top five at least.
[00:44:16.841 --> 00:44:23.463]  And I'm sitting there in the little makeshift office he's got, one of the little conference areas, and he's going, you want to respond to CNN?
[00:44:23.463 --> 00:44:24.284]  You want to respond to this?
[00:44:24.284 --> 00:44:24.944]  You want to respond to that?
[00:44:24.944 --> 00:44:26.485]  And I'm like, yeah.
[00:44:26.485 --> 00:44:33.487]  Respond to the CNN writer, and it's this guy, with, well, what do you make of your rhetoric in the past?
[00:44:33.487 --> 00:44:37.809]  Did it contribute to what happened on January 6th?
[00:44:37.809 --> 00:44:41.450]  We responded back, we're going to show you the email, saying,
[00:44:45.782 --> 00:44:53.667]  Well basically, I read the exact quote that he wrote, that I told him to write, about, I'll show you when he gets in here in a few minutes.
[00:44:53.667 --> 00:45:04.635]  I was like, first you need to basically put in your article quotes by Kamala Harris saying rioting is good and then bailing out rioters, looters, and arsonists.
[00:45:04.635 --> 00:45:06.296]  Because that's what the Democratic Party's done.
[00:45:06.296 --> 00:45:09.398]  Why don't you do some articles about CNN saying burning down
[00:45:10.970 --> 00:45:22.659]  Public housing, eight-story buildings, and burning down gas stations, and robbing mom-and-pop stores, and burning down black-owned businesses, and shooting black off-duty police officers guarding pawn shops.
[00:45:22.659 --> 00:45:29.844]  Why don't you do a report on that, and then I'll respond and say, if I have any blame.
[00:45:29.844 --> 00:45:38.471]  They raised the threat, they raised the temperature, all the way up to the top, with all their rhetoric and billions of dollars of burned cities and dozens of dead.
[00:45:40.623 --> 00:45:43.645]  The Justice Department has basically prosecuted no one.
[00:45:43.645 --> 00:45:47.768]  They just let him go?
[00:45:47.768 --> 00:46:00.676]  Last time I checked, they dropped the charges on the Antifa guy who's breaking into the Portland federal courthouse with a hatchet and hacking at the federal police with a hatchet.
[00:46:00.676 --> 00:46:08.822]  Because he's breaking in, the cops are there, the federal security, and then the cops come out and riot gear and try to push the guy back, and he has a freaking hatchet!
[00:46:08.822 --> 00:46:10.143]  They should have pulled a gun and shot him!
[00:46:12.373 --> 00:46:14.815]  Oh, but he's an Antifa guy, so we don't.
[00:46:14.815 --> 00:46:17.718]  Ashley Babbitt's coming through a window, and they kill her in cold blood.
[00:46:17.718 --> 00:46:19.439]  Don't even have an investigation.
[00:46:19.439 --> 00:46:21.861]  That's okay, because she's a woman, and she's a conservative.
[00:46:21.861 --> 00:46:22.962]  She's a white person.
[00:46:22.962 --> 00:46:32.610]  But when an Antifa person is hacking police with a hatchet at their head, do the cops pull their gun and kill them?
[00:46:32.610 --> 00:46:37.254]  Oh, no, because they've been told, you better be extra sweet to the little commies.
[00:46:38.394 --> 00:46:40.215]  And that's what I'm talking about.
[00:46:40.215 --> 00:46:42.936]  Yes, I talk about info war.
[00:46:42.936 --> 00:46:49.798]  Yes, I talk about how information is a war, and how we use the truth to counter lies, and how there's a war on fear mind.
[00:46:49.798 --> 00:46:51.918]  Now we're going to fight against the globalists.
[00:46:51.918 --> 00:46:56.660]  And they've got one hell of a political fight on their hands, but not that we are violent.
[00:46:56.660 --> 00:46:59.901]  And everybody knows that's where I stand.
[00:46:59.901 --> 00:47:05.843]  Can CNN, you know, have one word here, three words there, edit them together to try to go, oh look, Jones is a terrorist, arrest him, you know, get him!
[00:47:08.086 --> 00:47:09.908]  Yeah, they can do that.
[00:47:09.908 --> 00:47:17.234]  And I'll tell you, if they do indict me for sedition or terrorism or any of these things, I am completely innocent.
[00:47:18.092 --> 00:47:22.733]  And we are going to win, because the truth will come out.
[00:47:22.733 --> 00:47:38.237]  There is not one micron of evidence that I wanted to attack that Capitol, or that at all the other Capitals we went to, and the vigils we had inside and went out, and at governor's matches, you name it, nobody got arrested at our big Virginia open carry event with over 20,000 armed people.
[00:47:38.237 --> 00:47:43.259]  Nobody had any problems when we went and stopped a steal in Georgia and went in there and posed for a photo.
[00:47:44.219 --> 00:47:46.720]  Or all the other places around the country.
[00:47:46.720 --> 00:47:54.401]  And it is asinine to claim then, oh, but on January 6th, that was different.
[00:47:54.401 --> 00:47:56.221]  Absolutely ridiculous.
[00:47:56.221 --> 00:47:58.522]  I actually went and tried to stop the people going in.
[00:47:58.522 --> 00:48:01.863]  I actually tried to say here in another Kent State, don't do it.
[00:48:01.863 --> 00:48:13.325]  While over a thousand, 300 something HRT, and they said over 700 other armed federal police watched, while 80 police got surrounded and overrun by hooligans,
[00:48:14.884 --> 00:48:20.507]  At any big soccer championship, and especially in England, they know to have thousands of police there.
[00:48:20.507 --> 00:48:23.468]  Because when it lets out at night, there are groups.
[00:48:23.468 --> 00:48:31.272]  When you've got 100,000 people there to see a soccer game, there's going to be 10,000 people or 5,000 people that come there to have a fight.
[00:48:31.272 --> 00:48:35.134]  And they're going to go out in the streets, and they're going to attack the police, and they're going to try to burn stuff.
[00:48:35.134 --> 00:48:36.795]  So you've got to have the police ready.
[00:48:36.795 --> 00:48:37.275]  80 cops.
[00:48:39.938 --> 00:48:42.800]  At the Capitol, when they knew that was coming.
[00:48:42.800 --> 00:48:47.302]  And that's because Trump wasn't even in office anymore when this happened.
[00:48:47.302 --> 00:48:50.164]  99% of his staff had quit on record.
[00:48:50.164 --> 00:49:04.451]  He was sitting there with only vestigial people around him, and he thought it was all set up, and it was all great, because he just shows up and gives a speech, like he just done at the Ellipse!
[00:49:04.451 --> 00:49:05.692]  So, I did more.
[00:49:06.872 --> 00:49:17.695]  I did more than the FBI and the HRT and all of them, and I'm giving them the benefit of the doubt that they're toward to stand down or whatever, didn't know what to do, or, well, that's a crowd of, you know, 100,000 people.
[00:49:17.695 --> 00:49:20.255]  We can't take on 100,000 people.
[00:49:20.255 --> 00:49:22.376]  That may just antagonize the crowd more.
[00:49:22.376 --> 00:49:25.037]  I'm not even second-guessing exactly what went on there.
[00:49:25.037 --> 00:49:25.817]  I'm just telling you
[00:49:26.943 --> 00:49:34.649]  That if you'd have got on the loudspeakers that are all over that building that they were using that night, they activated the PA system that night and said, this is an emergency area.
[00:49:34.649 --> 00:49:36.010]  Anyone out here will be arrested.
[00:49:36.010 --> 00:49:37.432]  This is a civil emergency.
[00:49:37.432 --> 00:49:38.753]  Everyone must be off the streets.
[00:49:38.753 --> 00:49:39.613]  Get out of here.
[00:49:39.613 --> 00:49:41.955]  There is a curfew at eight o'clock.
[00:49:41.955 --> 00:49:42.936]  You will be off the street.
[00:49:42.936 --> 00:49:45.358]  I mean, it was like three blocks away, five blocks away.
[00:49:45.358 --> 00:49:48.821]  You could hear those giant systems they have in the fricking Capitol.
[00:49:51.913 --> 00:49:54.535]  But did they activate those?
[00:49:54.535 --> 00:49:55.476]  And the answer is no.
[00:49:55.476 --> 00:49:56.917]  Did I try to get them to do that?
[00:49:56.917 --> 00:49:58.538]  Yes.
[00:49:58.538 --> 00:50:03.903]  Am I upset with the FBI and with the Justice Department for not doing that and for the Capitol Police?
[00:50:03.903 --> 00:50:05.364]  Yeah.
[00:50:05.364 --> 00:50:11.128]  Am I upset that their surrogates are all over the news saying, I'm guilty and I really want to attack the Capitol?
[00:50:11.128 --> 00:50:12.509]  Yes, I'm upset about that.
[00:50:12.509 --> 00:50:13.830]  Am I upset about Trump?
[00:50:14.844 --> 00:50:18.607]  Sitting there for almost 100 minutes at the White House.
[00:50:18.607 --> 00:50:22.029]  It wasn't 187, like I say, it's around 90 to 100.
[00:50:22.029 --> 00:50:23.050]  Still, that's a long time.
[00:50:23.050 --> 00:50:26.772]  Yeah, I don't know what happened, quite frankly.
[00:50:26.772 --> 00:50:28.313]  And I'm honest enough to tell you that.
[00:50:28.313 --> 00:50:37.800]  I said day one, there was a bunch of Q people that thought this was the storm, and leftists and provocateurs were posing as Q and encouraging morons to go and, you know, think this was the big takeover.
[00:50:40.598 --> 00:50:48.485]  And then, clearly, some of the Oath Keepers and Proud Boys, who I think are good organizations overall, but people got into mob psychology and went in.
[00:50:48.485 --> 00:50:49.346]  Is that terrorism?
[00:50:49.346 --> 00:50:50.567]  Did they actually beat anybody up?
[00:50:50.567 --> 00:50:53.330]  No, they're not even really saying any of the Oath Keepers or anybody beat anybody.
[00:50:53.330 --> 00:50:56.092]  I think they said they shoved past the police or something.
[00:50:56.092 --> 00:50:57.073]  That's not good.
[00:50:57.073 --> 00:51:01.337]  Okay, give them six months in jail, not years in solitary confinement.
[00:51:01.337 --> 00:51:02.258]  Don't target them with terrorism.
[00:51:02.258 --> 00:51:03.199]  But my point is,
[00:51:06.755 --> 00:51:25.062]  That this is all a microcosm of our larger society, and how under the Great Reset, if they just don't fix the reactors, and they don't fix the electrical systems, and they just don't let people mine coal, or they don't let people have gasoline refineries, you'll just slowly see everything turn off and transition into a post-industrial world.
[00:51:25.062 --> 00:51:30.084]  And that's what the UN and the Club of Rome and the Bilderberg Group said in the 60s they were going to do.
[00:51:30.084 --> 00:51:32.285]  By the year 2030, it would all be in place.
[00:51:32.285 --> 00:51:34.986]  And in the year 2020, they'd launch it, and they had a whole meeting.
[00:51:35.326 --> 00:51:40.950]  In 1992, in Rio de Janeiro, called Agenda 21.
[00:51:40.950 --> 00:51:45.994]  And by 2021, they would launch the collapse of civilization.
[00:51:45.994 --> 00:51:48.676]  And by 2030, it would be basically complete.
[00:51:48.676 --> 00:51:54.059]  I mean, that's real stuff here.
[00:51:54.059 --> 00:51:56.401]  You think federal prosecutors are going to be safe from that?
[00:51:56.401 --> 00:51:57.262]  You think judges?
[00:51:57.262 --> 00:51:58.563]  You think schoolteachers?
[00:51:58.563 --> 00:51:59.723]  You think Hollywood people?
[00:51:59.723 --> 00:52:00.264]  No.
[00:52:00.264 --> 00:52:03.166]  This is a dystopic nightmare.
[00:52:03.166 --> 00:52:04.407]  This is not good.
[00:52:06.701 --> 00:52:10.804]  This is absolutely out of control.
[00:52:10.804 --> 00:52:12.745]  And I'm concerned.
[00:52:12.745 --> 00:52:16.087]  And it's bigger than the U.S.
[00:52:16.087 --> 00:52:16.567]  government.
[00:52:16.567 --> 00:52:18.228]  It's bigger than your state government.
[00:52:18.228 --> 00:52:25.573]  It's a big global corporate takeover with its philosophy and its systems that is now going into place.
[00:52:25.573 --> 00:52:35.460]  And if we don't wake up about it really quickly and say no to it, we're going to be in a prison planet that looks like Australia on a mass scale.
[00:52:35.460 --> 00:52:35.940]  And by the way,
[00:52:38.067 --> 00:52:39.688]  I am in total information overload here.
[00:52:39.688 --> 00:52:46.730]  I am in total, absolute information overload.
[00:52:46.730 --> 00:52:52.313]  And I have some really, really, really big news that details exactly what I'm talking about that we're going to get to in a moment.
[00:52:52.313 --> 00:53:00.656]  But first, the great folks behind Reset Wars that helped me put together the six-plus-hour, two-part course, Mind Wars, Spirit Wars,
[00:53:02.523 --> 00:53:04.344]  Have put together seven commercials.
[00:53:04.344 --> 00:53:09.547]  I'm only going to air three of these testimonials because they're really powerful, but I'm going to air more tomorrow.
[00:53:09.547 --> 00:53:17.692]  And so let's go ahead and air the testimonial one, two, and three, because I need this information.
[00:53:17.692 --> 00:53:20.653]  You need this information.
[00:53:20.653 --> 00:53:23.195]  It doesn't mean I've put all this into function.
[00:53:23.195 --> 00:53:25.076]  When I'm up here preaching, man, I'm preaching to myself.
[00:53:25.076 --> 00:53:25.976]  You know what?
[00:53:25.976 --> 00:53:28.478]  One finger is pointed at you, three more back at me.
[00:53:28.478 --> 00:53:28.718]  So,
[00:53:30.011 --> 00:53:38.733]  This is really important, and it funds the InfoWar, and they've got a payment plan on it if you want to do that, or you can also get a discount.
[00:53:38.733 --> 00:53:45.675]  There's a lot of stuff they've added at ResetWars.com, so please go check that out, and the funds are absolutely essential to keep us operating.
[00:53:45.675 --> 00:53:50.256]  But here's some of the testimonials, and then we'll be back with the biggest news of all.
[00:53:50.256 --> 00:53:50.596]  Stay with us.
[00:54:02.700 --> 00:54:06.584]  I've been listening to the Reset Wars, watching it while I clean my dad's place.
[00:54:06.584 --> 00:54:08.025]  My father just died.
[00:54:08.025 --> 00:54:15.252]  It's been helping me a lot with a lot that's going on in my life and I just think it's a great course and anyone who's going through loss or anyone who's going through
[00:54:15.712 --> 00:54:18.236]  or knows what's going on and wants to do something.
[00:54:18.236 --> 00:54:29.931]  It really dives deeper into yourself and into the bigger picture that doesn't necessarily go across political lines or religious lines but about all of us as a human species coming together.
[00:54:29.931 --> 00:54:31.313]  I'm a combat veteran.
[00:54:31.733 --> 00:54:36.955]  And, uh, I mean, that brought me close to God, but what Alex goes through brought me even closer.
[00:54:36.955 --> 00:54:38.916]  I can feel God in my life now.
[00:54:38.916 --> 00:54:47.059]  The viruses that Alex talks to you about that are subconsciously programmed into your brain and how to erase those programs and install new...
[00:54:47.899 --> 00:54:50.360]  I don't wear this shirt because it's popular or trendy.
[00:54:50.360 --> 00:54:56.321]  I wear it because, over the last year and a half, I've done my research on Alex Jones, and I've come to find out that Alex Jones has been right.
[00:54:56.321 --> 00:55:00.542]  Reset Wars is a concise version of Alex's thoughts, where he's been, and where things are going.
[00:55:00.542 --> 00:55:05.383]  Reset Wars is a step beyond what you already get in regular Info Wars broadcasts.
[00:55:05.383 --> 00:55:11.664]  It's an academic-level course that will raise your awareness and help you live a more conscious and self-determined life.
[00:55:11.664 --> 00:55:15.144]  If you're on the fence about Reset Wars, it's time to get off the fence.
[00:55:15.144 --> 00:55:16.905]  Join Reset Wars today.
[00:55:26.107 --> 00:55:27.147]  Hey N4 Warriors!
[00:55:27.147 --> 00:55:29.768]  If you're like me, you've been a long time listener of this program.
[00:55:29.768 --> 00:55:32.348]  And you're fed up with everything going on in the world.
[00:55:32.348 --> 00:55:36.009]  Inside you, like me, a fire is burning.
[00:55:36.009 --> 00:55:37.309]  Something needs to change.
[00:55:37.309 --> 00:55:39.550]  And yet, we feel helpless.
[00:55:39.550 --> 00:55:43.551]  Almost like we're stuck inside a system that someone else created for us.
[00:55:43.551 --> 00:55:45.411]  It's time for us to break free from that system.
[00:55:45.811 --> 00:55:48.435]  Reset Wars is a game changer.
[00:55:48.435 --> 00:55:53.562]  You start to see yourself more as part of the solution instead of just as a victim.
[00:55:53.562 --> 00:56:01.473]  So much of the stuff we look at today is low vibration, low energy, and makes us depressed and therefore we manifest this negative reality out there.
[00:56:01.633 --> 00:56:07.075]  When they feel their lie-cheat-steal plan to enslave and rob the people, there is an awakening.
[00:56:07.075 --> 00:56:16.778]  Reset Wars has helped me to navigate and to pinpoint and lock onto the deep-rooted psychological tactics that were being used against me.
[00:56:16.778 --> 00:56:18.478]  And now I'm not scared anymore.
[00:56:18.478 --> 00:56:21.599]  I have to say, I was blown away.
[00:56:21.599 --> 00:56:23.920]  I feel so much better every day listening to it.
[00:56:23.920 --> 00:56:26.641]  To Alex, thank you very much for putting the course together.
[00:56:26.641 --> 00:56:27.641]  You're absolutely right.
[00:56:28.181 --> 00:56:30.543]  We are reflections of God.
[00:56:30.543 --> 00:56:32.043]  We are emanations of that.
[00:56:32.043 --> 00:56:36.766]  And we can use that God energy to do really anything we want to do in this life.
[00:56:36.766 --> 00:56:41.209]  Romans chapter 12, Paul talks about how we're transformed by the renewing of our mind.
[00:56:41.209 --> 00:56:42.309]  And that's a process.
[00:56:42.309 --> 00:56:44.591]  Most of our thoughts and actions are subconscious.
[00:56:45.371 --> 00:56:47.872]  Most people go through their day and don't think about many things.
[00:56:47.872 --> 00:56:51.512]  You can drive along a long journey and not even remember half the trip.
[00:56:51.512 --> 00:56:58.794]  In this process, we need to have a concerted, active effort, physically and mentally, to reprogram that subconscious mind.
[00:56:58.794 --> 00:57:02.374]  That's what this series is about, is resetting our mind.
[00:57:02.374 --> 00:57:04.055]  Because there's a war on for our mind.
[00:57:04.055 --> 00:57:05.335]  He's exactly right.
[00:57:05.335 --> 00:57:09.996]  And he's become a great voice in our generation and in this new Great Awakening.
[00:57:09.996 --> 00:57:11.396]  And I encourage everybody out there,
[00:57:11.636 --> 00:57:14.739]  If you haven't gone there yet, go to ResetWars.com.
[00:57:14.739 --> 00:57:16.101]  That's where your journey begins.
[00:58:11.932 --> 00:58:19.640]  InfoWars, the most banned network in the world.
[00:58:19.640 --> 00:58:23.924]  All right, Norm Pattis is here with us on the Saturday evening emergency transmission.
[00:58:25.593 --> 00:58:30.215]  And as I promised at the very start, I'm going to hit the biggest news right now.
[00:58:30.215 --> 00:58:31.395]  And there is so much of it.
[00:58:31.395 --> 00:58:33.416]  And we've got a surprise guest popping in.
[00:58:33.416 --> 00:58:38.317]  He just got off the plane from Maryland, where he was being interviewed by Tim Pool.
[00:58:38.317 --> 00:58:45.660]  We have Dr. Darren J. Beattie, who's been at the tip of the spear exposing federal provocateur involvement in January 6th.
[00:58:45.660 --> 00:58:48.961]  He'll be joining us coming up here in just a few minutes.
[00:58:48.961 --> 00:58:51.422]  But Norm Padas is a constitutional lawyer, criminal lawyer.
[00:58:52.322 --> 00:59:04.471]  First Amendment lawyer and he's here working on so many of these political cases they've got against us and preparing for potential criminal stuff with us as well because the news is saying arrest the terrorist.
[00:59:04.471 --> 00:59:07.013]  Alex Jones obviously attacked the Capitol they say.
[00:59:07.013 --> 00:59:09.414]  So he's here burning the midnight oil.
[00:59:09.414 --> 00:59:09.915]  I was up here at
[00:59:10.595 --> 00:59:12.276]  Eight o'clock with him last night working.
[00:59:12.276 --> 00:59:13.616]  I was with him at 8 a.m.
[00:59:13.616 --> 00:59:15.637]  this morning working, and here we are.
[00:59:15.637 --> 00:59:17.758]  But here's the big breaking news.
[00:59:17.758 --> 00:59:27.602]  DirecTV cancels OAN after Joe Biden orders media outlets and tech giants to banish voices that deviate from the regime's official narrative.
[00:59:27.602 --> 00:59:31.884]  Joe Biden called for it to be taken off a week ago, and it was done.
[00:59:31.884 --> 00:59:35.506]  I mean, this is historic stuff.
[00:59:35.506 --> 00:59:37.647]  This is unprecedented.
[00:59:39.827 --> 00:59:58.319]  Continuing, I was sent audio clips and talked to the Chief of Staff for Mike Lindell yesterday, and I decided to wait and cover it Sunday, but we'll go ahead and cover it now.
[00:59:58.319 --> 01:00:07.566]  They recorded the head of the bank they've used for 20-plus years saying, well, we just can't have the FBI in here at the bank, and so your bank's gone.
[01:00:08.547 --> 01:00:15.031]  Now, they have backups, but that's what I've not told the listeners of what's going on here the last year.
[01:00:15.031 --> 01:00:24.197]  But when I tell you InfoWars is hanging on by its fingernails, and that's why I laugh at these people showing us they're going to get all this money, and they just make up these numbers.
[01:00:24.197 --> 01:00:30.901]  It's like a little sick joke I've got, because if you want a book, if you want a film, if you want a t-shirt,
[01:00:31.770 --> 01:00:35.312]  If you want to get supplements, they're all in stock, they're ready to ship.
[01:00:35.312 --> 01:00:39.994]  But I mean, I don't know if SWAT teams are going to blow the doors off next week and we'll be shut down, okay?
[01:00:39.994 --> 01:00:42.675]  And I haven't told you one-tenth of the stuff going on.
[01:00:42.675 --> 01:00:44.216]  And again, people say, well, how are you taking it?
[01:00:44.216 --> 01:00:45.896]  I mean, how am I taking it?
[01:00:45.896 --> 01:00:47.437]  The country's being overtaken.
[01:00:47.437 --> 01:00:48.778]  I'm not taking it well.
[01:00:48.778 --> 01:00:50.018]  Not sleeping at night.
[01:00:50.018 --> 01:00:52.159]  I'm really upset, and I'm worried about myself.
[01:00:52.159 --> 01:00:58.422]  But I'm really, my real pain is that the country's really been taken over by high-tech criminals.
[01:00:58.422 --> 01:00:58.522]  And
[01:00:59.904 --> 01:01:00.884]  We need everybody.
[01:01:00.884 --> 01:01:04.625]  I don't care if you're black, white, old, young, conservative, liberal.
[01:01:04.625 --> 01:01:08.687]  This is not good for anybody to have the checks and balances being flushed down the toilets.
[01:01:08.687 --> 01:01:10.147]  We'll have more on that.
[01:01:10.147 --> 01:01:12.988]  But let me hit this other big news and get Norm Pattis' take on it.
[01:01:12.988 --> 01:01:15.889]  And then Dr. Beatty's going to pop in for about 10 minutes and we're going to continue on.
[01:01:17.133 --> 01:01:19.954]  Djokovic was detained a week and a half ago.
[01:01:19.954 --> 01:01:27.897]  He is the multi-time, all-time winner, I think it's nine times, of the Australian Open.
[01:01:27.897 --> 01:01:31.538]  He's the best tennis player probably ever lived.
[01:01:31.538 --> 01:01:32.879]  I don't even follow tennis and I know that.
[01:01:33.499 --> 01:01:38.084]  I know my wife's a huge fan, and so I've watched him at my house many times.
[01:01:38.084 --> 01:01:39.786]  And they say, yeah, go ahead and come in.
[01:01:39.786 --> 01:01:40.387]  You got a waiver.
[01:01:40.387 --> 01:01:41.208]  You have natural immunity.
[01:01:41.208 --> 01:01:42.069]  You have the antibodies.
[01:01:42.069 --> 01:01:42.930]  That's gold.
[01:01:42.930 --> 01:01:46.194]  They hold him literally in a flea bag hotel for a week and a half.
[01:01:46.194 --> 01:01:52.822]  Then they let him go, and now they've arrested him again and said, you're being deported because you're not allowed to criticize the injections.
[01:01:52.822 --> 01:01:53.483]  He didn't even do that.
[01:01:54.591 --> 01:01:56.312]  So now they admit it's purely political.
[01:01:56.312 --> 01:02:05.775]  Remember three weeks ago, a senator was criticizing the lockdowns and the tyranny and the boosters and saying, you know, obviously this is tyranny.
[01:02:05.775 --> 01:02:12.458]  They grabbed him, and last time I heard he'd been in for three weeks, they said because of his views.
[01:02:12.458 --> 01:02:20.821]  They're now saying in legislation in Oregon and in Washington and in New York that if you criticize them or you're being politically bad,
[01:02:22.205 --> 01:02:22.685]  We're good to go.
[01:02:46.619 --> 01:02:51.384]  On and on and on and on and on and on, and now this is happening, and then it gets even worse.
[01:02:51.384 --> 01:02:56.109]  So Norm Pattis, you're going to be here with us riding shotgun as we lay all this out.
