[00:00:00.089 --> 00:00:02.291]  The Liberal World Order!
[00:39:01.202 --> 00:39:01.862]  You can read SPARS 2025-2028 from 2018.
[00:39:02.022 --> 00:39:06.022]  You can read SPARS 2025-2028 from 2018.
[00:39:06.022 --> 00:39:13.022]   You can go read the tabletop exercise that they did in 2000 or in 2019.
[00:39:13.022 --> 00:39:18.022]  You can go see all this and then look at it.
[00:39:18.185 --> 00:39:24.110]  And when you talk about the Spars 2025-2028 event, General Flynn was blown away by it.
[00:39:24.130 --> 00:39:26.051]  He said it was the most important thing he'd seen.
[00:39:26.071 --> 00:39:27.332]  He said everybody should watch it.
[00:39:27.352 --> 00:39:30.474]  It's only got 4 million views on Bandop Video.
[00:39:30.514 --> 00:39:32.055]  And I don't mean that sarcastically.
[00:39:32.075 --> 00:39:32.756]  It needs 100 million views.
[00:39:34.257 --> 00:39:36.498]  And they have the next three years laid out.
[00:39:36.719 --> 00:39:37.339]  Really, it's set in 2020-2023.
[00:39:39.858 --> 00:39:59.868]  How they give you the shot, people then learn it doesn't work, then they'll actually blame some of the executives, but they'll move forward now that our immune systems are controlled, they'll bring in the real tyranny, we'll wear masks, there'll be forced inoculations, there'll be a World ID vaccine card that'll be used through the cell phones to be the backbone for the new carbon tax and the social credit score and the universal basic income that's coming with the collapse.
[00:40:02.249 --> 00:40:08.132]  And they even have tweets in there that say, on this day you release that tweet, on this day you release this tweet.
[00:40:09.162 --> 00:40:13.885]  And when you go into the documents, it's the exact tweets they put out for COVID.
[00:40:13.905 --> 00:40:15.826]  They just changed the name on the top of it.
[00:40:16.006 --> 00:40:18.708]  But if you move the letters around, it's the same acronym on the top.
[00:40:19.349 --> 00:40:23.871]  I mean, you talk about criminally bragging in everyone's faces.
[00:40:25.412 --> 00:40:26.433]  That's what we're dealing with here.
[00:40:26.473 --> 00:40:30.416]  So this is a powerful meme that Abigail Joy put out.
[00:40:31.736 --> 00:40:35.519]  They ran out of this, and it's a baby with milk formula.
[00:40:36.704 --> 00:40:40.905]  But stocked up on this, the injections for six-month-olds and older.
[00:40:41.586 --> 00:40:49.408]  And this is what we were just talking about with what was being talked about with Mr. Dowd earlier.
[00:40:50.268 --> 00:40:52.269]  Serious adverse effects from COVID vaccine.
[00:40:52.309 --> 00:40:52.789]  Very high.
[00:40:52.809 --> 00:40:53.989]  No other vaccine comes close.
[00:40:54.290 --> 00:40:56.430]  Says former CDC Vaccine Safety Committee member.
[00:40:56.710 --> 00:40:57.891]  Remember, they had three committees.
[00:40:58.231 --> 00:41:01.592]  The majority of them resigned because they wouldn't sign on to any of this garbage.
[00:41:02.752 --> 00:41:03.052]  16 and up.
[00:41:03.773 --> 00:41:03.953]  Above 75.
[00:41:05.748 --> 00:41:06.388]  Booster shots.
[00:41:06.508 --> 00:41:08.470]  All the committees said no, so they would have them resign.
[00:41:08.750 --> 00:41:12.172]  They finally got a committee that unanimously said give six-month-olds and up the shots.
[00:41:12.532 --> 00:41:14.833]  Give people three, four boosters a year that totally destroy you.
[00:41:16.294 --> 00:41:19.616]  You wonder where are these former CDC Vaccine Safety Committee members?
[00:41:19.916 --> 00:41:23.559]  Well, here they are from Harvard Medical School.
[00:41:23.599 --> 00:41:28.822]  Dr. Martin Cludorf came out and said they're deadly, they're dangerous, it's all a fraud.
[00:41:29.662 --> 00:41:30.803]  Oh, that's fake news!
[00:41:31.143 --> 00:41:31.843]  What's Twitter do?
[00:41:32.004 --> 00:41:32.484]  Blocks it.
[00:41:33.953 --> 00:41:34.934]  That's murderous.
[00:41:35.795 --> 00:41:36.976]  That's aiding and abetting.
[00:41:36.996 --> 00:41:43.121]  Twitter censor story, a British mother who died after reaction to COVID vaccine.
[00:41:44.142 --> 00:41:45.923]  Another article up on Infowars.com.
[00:41:46.564 --> 00:41:47.445]  Look at this madness.
[00:41:47.885 --> 00:41:52.869]  Babies now having masks covering their eyes and nose and everything, literally suffocating them.
[00:41:53.090 --> 00:41:55.712]  You saw a person doing that before three years ago, you'd call the police.
[00:41:56.032 --> 00:41:57.073]  Now it's good.
[00:41:57.413 --> 00:41:58.855]  It's all mind control.
[00:42:01.431 --> 00:42:08.254]  The dictator of New Zealand is begging UK tourists to return to New Zealand as she prepares to finally reopen borders.
[00:42:08.294 --> 00:42:10.695]  Now suddenly they're not worried about the virus.
[00:42:12.896 --> 00:42:13.596]  We're going to go on a break.
[00:42:13.816 --> 00:42:17.658]  We're going to come back with the emergency being declared in Texas.
[00:42:18.338 --> 00:42:21.499]  We're going to come back with the design collapse of the economy.
[00:42:21.519 --> 00:42:27.362]  We're going to come back with what I said in context when I declared independence against the alien takeover that is transhumanism.
[00:42:27.662 --> 00:42:28.803]  That's the next hour or so.
[00:42:30.163 --> 00:42:32.326]  Centrally important for everybody to know.
[00:42:32.607 --> 00:42:35.731]  And yes, the July 4th sale is going to end in just a few days.
[00:42:36.232 --> 00:42:38.395]  Biggest sale in really our history up to 75% off.
[00:42:38.415 --> 00:42:39.136]  That's below cost.
[00:42:39.416 --> 00:42:39.977]  We'll pay three points.
[00:42:39.997 --> 00:42:40.778]  We've got to clear everything out.
[00:42:41.119 --> 00:42:42.000]  Infowars.com.
[00:42:42.020 --> 00:42:42.641]  Thanks for your support.
[00:42:42.461 --> 00:43:02.289]   Support And if we don't turn it around soon, then it will only get worse.
[00:43:03.170 --> 00:43:06.874]  But as bad as things are, we still have time to prepare.
[00:43:07.595 --> 00:43:09.857]  And that alone is something to be grateful for.
[00:43:10.538 --> 00:43:17.706]  A gravity water filter will provide you with clean, healthy water, even in the event of your taps getting shut off.
[00:43:18.426 --> 00:43:23.151]  And having your own food will save you from getting ensnared in government FEMA camps.
[00:43:23.912 --> 00:43:30.018]  And if you've already stocked up enough for your own family, you might want to consider stocking up for your neighbors.
[00:43:31.104 --> 00:43:40.788]  Some of your neighbors might not be prepared for what's coming, but you can help them by having an abundance of storable foods and water filtration.
[00:43:41.368 --> 00:43:45.009]  Whoever sows bountifully will also reap bountifully.
[00:43:46.050 --> 00:43:48.710]  Stock up now at preparetoday.com.
[00:43:48.710 --> 00:43:54.568]  (upbeat music)
[00:43:54.568 --> 00:44:06.389]   China has recently invited Indonesia, Malaysia, Iran, Egypt, and several other countries to join BRICS,
[00:44:06.389 --> 00:44:13.850]   a growing world alliance led by Brazil, Russia, India, China, and South Africa.
[00:44:14.549 --> 00:44:20.693]  While some are reporting that BRICS is somehow challenging the globalists, this is demonstrably false.
[00:44:21.674 --> 00:44:26.897]  The original concept for BRICS was proposed by the chief economist for Goldman Sachs.
[00:44:27.698 --> 00:44:33.742]  BRICS's new development bank is staffed by known players of the IMF and World Bank.
[00:44:34.382 --> 00:44:39.245]  And BRICS has repeatedly affirmed their commitment to the United Nations Agenda 2030.
[00:44:41.006 --> 00:44:56.858]  Aside from Brazil's President Bolsonaro, all of BRICS nation-states have pushed the COVID-19 lockdowns and experimental shots, and China recently announced five more years of their brutal zero-COVID lockdowns.
[00:44:58.099 --> 00:45:05.684]  BRICS is also pushing a digital currency and has launched a Vaccine Research and Development Center for member states.
[00:45:06.966 --> 00:45:09.429]  BRICS is clearly not anti-globalist.
[00:45:09.970 --> 00:45:16.499]  Even the CCP's state-run media explains how BRICS now leads the globalization mission.
[00:45:17.520 --> 00:45:21.305]  But they are all turning against the United States and its allies.
[00:45:22.146 --> 00:45:24.108]  Xi Jinping accused the U.S.
[00:45:24.268 --> 00:45:32.293]  of weaponizing the financial system with their sanctions against Russia, which has caused the average person to suffer worldwide.
[00:45:32.893 --> 00:45:38.016]  And Vladimir Putin suggested that BRICS could provide a new world reserve currency.
[00:45:39.177 --> 00:45:40.238]  At the recent St.
[00:45:40.338 --> 00:45:51.626]  Petersburg International Economic Forum, Putin blamed the West for disrupting the international economy and announced that NATO's unipolar world order is over.
[00:45:52.446 --> 00:46:01.272]  In just three months, Russia has managed to reverse inflation and has increased their financial surplus to more than four times it was last year.
[00:46:02.373 --> 00:46:10.855]  Russia is now thriving, and Putin announced that their international priority is to increase food deliveries to countries that need it the most.
[00:46:11.635 --> 00:46:21.098]  They are pouring billions into their farming communities, raised the minimum wage by 10%, and provided more money to pensioners and families with children.
[00:46:22.198 --> 00:46:35.145]  He also criticized the West for choosing an economic suicidal path and having suicidal intentions, which seems to be the only explanation for what the Biden administration is doing.
[00:46:35.985 --> 00:46:44.510]  They have deliberately cut off our fuel, which will cut off our food, and they are pushing the deadly shots for every single healthy child in America.
[00:46:45.590 --> 00:46:54.097]  They have opened our borders and are pushing for a world war with a thriving nuclear power while destroying our military from within.
[00:46:54.117 --> 00:46:57.620]  The Biden administration's plan is clear.
[00:46:58.140 --> 00:47:00.322]  Destroy America from within.
[00:47:01.603 --> 00:47:05.685]  And they have amassed an army of the miserable through mass psychosis.
[00:47:06.405 --> 00:47:15.068]  An army of ugly, insane, sexually obsessed deviants who want abortion on demand and acceptance for pedophiles.
[00:47:15.809 --> 00:47:19.630]  Psychotics who castrate their own children because it's trendy.
[00:47:20.110 --> 00:47:24.072]  And mindless drones who believe the human race needs to die.
[00:47:25.032 --> 00:47:32.698]  At what point will Americans begin to care enough to work together and do something when the nuclear bombs start falling?
[00:47:33.839 --> 00:47:41.625]  America is being mass murdered by our own federal government and the emerging new globalized economy will let it happen.
[00:47:42.646 --> 00:47:48.210]  Unless Americans take back control of their own government, America will soon end.
[00:47:48.890 --> 00:47:52.153]  That's the plan being executed right now.
[00:47:53.133 --> 00:47:53.434]  Now!
[00:47:55.555 --> 00:47:56.915]  They think you're a goldfish!
[00:47:58.536 --> 00:48:00.637]  I've been betting on you my whole life!
[00:48:00.877 --> 00:48:01.937]  I believe in you!
[00:48:01.957 --> 00:48:05.539]  I don't think you're stupid!
[00:48:05.919 --> 00:48:10.120]  One man, Everett's a woman, old genitals were cut off!
[00:48:10.360 --> 00:48:12.761]  And we're kicking these traitors' asses politically!
[00:48:12.921 --> 00:48:14.122]  And we're not backing down, ever!
[00:48:16.042 --> 00:48:17.163]  I wanna kick these people!
[00:48:17.223 --> 00:48:17.743]  We're winning!
[00:48:17.763 --> 00:48:18.903]  I can feel the spirit rising!
[00:48:19.063 --> 00:48:19.504]  Can't you?
[00:48:19.804 --> 00:48:21.464]  We have broken their back!
[00:48:21.824 --> 00:48:22.905]  Yes, I can feel it!
[00:48:26.790 --> 00:48:27.271]  Let's go!
[00:48:27.311 --> 00:48:27.611]  Come on!
[00:48:28.352 --> 00:48:28.692]  Come on!
[00:48:29.532 --> 00:48:29.893]  Come on!
[00:48:30.613 --> 00:48:31.154]  Come on!
[00:48:31.794 --> 00:48:32.015]  Come on!
[00:48:32.495 --> 00:48:32.635]  Come on!
[00:48:33.155 --> 00:48:33.516]  Come on!
[00:48:34.116 --> 00:48:34.316]  Come on!
[00:48:34.917 --> 00:48:35.097]  Come on!
[00:48:35.838 --> 00:48:36.058]  Come on!
[00:48:36.838 --> 00:48:37.059]  Come on!
[00:48:38.160 --> 00:48:38.360]  Come on!
[00:48:38.820 --> 00:48:39.140]  Come on!
[00:48:39.801 --> 00:48:40.101]  Come on!
[00:48:40.782 --> 00:48:41.062]  Come on!
[00:48:41.843 --> 00:48:42.123]  Come on!
[00:48:42.963 --> 00:48:43.224]  Come on!
[00:48:43.704 --> 00:48:44.044]  Come on!
[00:48:44.665 --> 00:48:44.825]  Come on!
[00:48:45.305 --> 00:48:45.546]  Come on!
[00:48:46.326 --> 00:48:46.526]  Come on!
[00:48:47.087 --> 00:48:47.327]  Come on!
[00:48:48.168 --> 00:48:48.348]  Come on!
[00:48:49.209 --> 00:48:49.369]  Come on!
[00:48:50.109 --> 00:48:50.610]  Come on!
[00:48:50.430 --> 00:48:57.430]   The Liberal World Order! Cutting your power, brainwashing your children, destroying your
[00:48:57.430 --> 00:49:03.550]   currency, annihilating your borders, and drag queen pedophile time.
[00:49:03.550 --> 00:49:13.550]  [BLANK_AUDIO]
[00:49:04.836 --> 00:49:05.776]  It's live.
[00:49:07.418 --> 00:49:11.240]  You're now living inside the New World Order.
[00:49:13.902 --> 00:49:21.708]  You can pretend you're part of it and be destroyed, or you can wake up and connect to God and get informed, get ready and start informing others, and win.
[00:49:24.744 --> 00:49:36.913]  All right, let's hit some really big news right now and then we're going to take calls starting at the bottom of the hour before a special guest joins us on the declaration of emergency about to be made in Texas of total invasion and collapse.
[00:49:39.474 --> 00:49:49.962]  This happens a lot and I know when I say these things on air they're to be taken out of context, but God works in mysterious ways and what they make fun of me about today people discover to be true tomorrow.
[00:49:51.263 --> 00:49:55.847]   And so I was up here Saturday taping Parts of the Sunday and Monday show.
[00:49:55.867 --> 00:49:59.949]  So I wanted to give the crew some time off, but wild horses can't drag me away.
[00:49:59.969 --> 00:50:11.416]  And I had a big stack of news here about human animal cloning and Congress refusing to outlaw it and news articles where MIT was saying we've created aliens.
[00:50:11.596 --> 00:50:12.797]  I'll show you the articles here in a moment.
[00:50:15.728 --> 00:50:18.392]  And I was just thinking, you know, this is all a transhumanist revolution.
[00:50:18.773 --> 00:50:22.819]  In the Davos Group, Bilderberg Group's own words, they said they're building a post-human world.
[00:50:22.859 --> 00:50:28.046]  I could play you hours of their main futurist, Yuval Harari.
[00:50:29.850 --> 00:50:37.937]  Noah Yuval Harari saying there'll be no humans by 2047, and Ray Kurzweil, the head of Google's Future Projects, says the same thing.
[00:50:38.278 --> 00:50:43.663]  I mean, this is a cult, and Elon Musk has talked about it, and said it's a cult of the AI gods.
[00:50:43.683 --> 00:50:47.746]  They believe they're building a new species that is alien to anything ever seen on this Earth.
[00:50:47.786 --> 00:50:49.828]  And alien just means not of this world.
[00:50:49.888 --> 00:50:53.792]  So I'm going to show you a stack of news articles and scientific reports.
[00:50:55.253 --> 00:50:58.235]  And I mentioned these on the Sunday show, but they took it out of context.
[00:50:58.275 --> 00:51:05.741]  They took a 25-second clip out of a 10-minute segment where I explained aliens don't come in flying saucers like Independence Day.
[00:51:07.963 --> 00:51:12.366]  The globalists believe they're about to create a new species, these mad scientists, and that we're obsolete.
[00:51:12.426 --> 00:51:15.389]  They're building the aliens on the space stations.
[00:51:15.729 --> 00:51:17.230]  I'm going to show you a NASA press release.
[00:51:18.131 --> 00:51:19.432]  Aliens created on space station.
[00:51:20.519 --> 00:51:31.323]  And they are creating a medical tyranny to take over our bodies and force us to merge with this and to create this new entity, but the majority of us will die during the testing of it.
[00:51:32.323 --> 00:51:40.886]  And that's what the FDA coming out two weeks ago and saying, we're no longer going to do studies, we're just going to inject gene therapy and see what happens.
[00:51:40.966 --> 00:51:43.287]  And we got Bill Gates saying it's the biggest experiment ever.
[00:51:44.968 --> 00:51:51.914]   And they've got CERN, not just on the biological level, but on the atomic level, Trying to create breakthroughs to other dimensions.
[00:51:51.934 --> 00:51:57.097]  And they say, yeah, it might create a black hole or a strange look, destroy the planet, but that's a price we're willing to pay.
[00:51:57.197 --> 00:51:57.377]  So.
[00:51:59.137 --> 00:52:01.939]  They're creating alien dimensions, things that have never been here before.
[00:52:02.059 --> 00:52:03.640]  Artificial black holes.
[00:52:03.700 --> 00:52:05.300]  I mean, they were making those in the eighties.
[00:52:05.320 --> 00:52:06.761]  They'll probably make a joke about that.
[00:52:06.821 --> 00:52:08.462]  Jones says they're making black holes.
[00:52:08.482 --> 00:52:11.203]  We'll just type in Japanese scientists create black hole 1987.
[00:52:11.043 --> 00:52:24.722]   1987. So this is what these people always do and they know what they're doing.
[00:52:23.201 --> 00:52:30.164]  So I come in with a very clean 10-minute segment Sunday, and I say everything I just said.
[00:52:32.906 --> 00:52:43.790]  And I explain that splicing a bunch of viruses together with nanotech creates a new alien creature, and that's why COVID-19 will always reinfect, that's why you can never stop it other than fortifying your body.
[00:52:44.330 --> 00:52:45.311]  And that's just a stopgap.
[00:52:46.749 --> 00:52:53.232]  They've introduced things that will collapse not just our civilization, our economy, our borders, but our very immune systems and bodies.
[00:52:54.893 --> 00:53:00.916]  And so it's on MSNBC, it's on CNN, it's on ABC, it's on Newsweek, it's everywhere.
[00:53:01.356 --> 00:53:05.058]  Alex Jones claims aliens want to make humans into cyborg slaves of Satan.
[00:53:06.238 --> 00:53:20.009]   Well, we can put the image on screen from five years ago that really caught people's attention of Mark Zuckerberg walking into one of his events and he's walking bipedally But all of his minions are strapped in to the VR goggles.
[00:53:22.290 --> 00:53:23.970]  Those are cyborg slaves of Satan.
[00:53:26.311 --> 00:53:31.273]  People love that term I coined, but the point is, is that it's a metaphor for what's happening.
[00:53:31.713 --> 00:53:32.694]  And then I laid it all out.
[00:53:34.434 --> 00:53:41.517]  So, there's an article on InfoWars.com, you can see the video with a million views, and there's a bunch of others, but Alex Jones trends on Twitter.
[00:53:43.046 --> 00:53:45.807]  We're celebrating Independence Day from cyborg slaves of Satan.
[00:53:46.408 --> 00:53:57.432]  Ron Flukosky, who always puts out edited clips of me, but it's okay, God turns it towards good, said, Alex Jones' July 4th message, I declare a declaration of independence against the alien force that is attempting to exterminate the majority of us.
[00:53:57.452 --> 00:54:00.914]  And I go on to say it's the transhumanists and the globalists who I believe are controlled by Satan.
[00:54:02.315 --> 00:54:06.917]  And force the minority to merge with AI computers and become cyborg slaves of Satan.
[00:54:08.898 --> 00:54:09.518]  And then it trended.
[00:54:11.640 --> 00:54:13.480]  in the top of Twitter.
[00:54:13.480 --> 00:54:21.499]   So here's the clip I play, or here's the clip they take out of context,
[00:54:21.499 --> 00:54:26.979]   and then I'll play some of the actual segment in context, and then I'll show you a stack of headlines,
[00:54:26.979 --> 00:54:29.560]  NASA creates aliens, from NASA.
[00:54:29.560 --> 00:54:37.240]   And I'll show you articles we can read, top tech heads, billionaires saying,
[00:54:37.240 --> 00:54:38.700]  "We believe humans are obsolete.
[00:54:38.700 --> 00:54:40.179]  "We're creating an alien species."
[00:54:40.172 --> 00:54:41.174]  I'm going to show it all to you.
[00:54:41.474 --> 00:54:42.576]  And that's what I did Sunday.
[00:54:43.410 --> 00:54:45.552]  But see, you're tuned in here so you know.
[00:54:46.272 --> 00:54:48.234]  Everybody else just sees this out of context.
[00:54:48.534 --> 00:54:49.395]  Oh, the frogs are gay!
[00:54:49.855 --> 00:54:56.661]  Part of an hour-long report I did with University Reports on the frogs try to have sex with their males instead of with females and they become extinct.
[00:54:57.041 --> 00:54:59.603]  Those were real reports, but see, they took that out of context.
[00:54:59.963 --> 00:55:00.744]  But it doesn't matter.
[00:55:01.204 --> 00:55:06.328]  A decade later, everywhere, Alex Jones was right, it's true, what's in the water, oh my God, it's so serious.
[00:55:07.730 --> 00:55:10.232]  So here is the short clip out of context.
[00:55:12.053 --> 00:55:36.499]   I declare This July 4th, 2022, there'll be a Declaration of Independence against the alien force on this planet today, waging war against humans and our biology and our very future that is attempting to exterminate the majority of us and force the minority that's left to merge with AI computers and become cyborg slaves of Satan.
[00:55:37.839 --> 00:55:46.161]   The average person spends now three days out of seven days Looking at screens.
[00:55:47.222 --> 00:55:49.023]  And most of those messages are anti-human.
[00:55:49.984 --> 00:55:51.045]  Men can have babies.
[00:55:51.465 --> 00:55:52.786]  Two women can have a baby.
[00:55:54.127 --> 00:55:57.909]  All of this is to get you off balance and not standing up for what you are and who you are.
[00:55:58.529 --> 00:56:00.351]  And at the base of it is this transhumanist movement.
[00:56:00.371 --> 00:56:06.475]  So when we come back, I'm going to play a few minutes in context as I then go right into the type of alien I'm talking about and what's happening.
[00:56:06.515 --> 00:56:08.216]  But I'm saying I believe the Bible.
[00:56:08.276 --> 00:56:09.016]  I've seen it true.
[00:56:09.517 --> 00:56:34.805]   Prediction of the Mark of the Beast, all this, that it is an interdimensional attack A collaboration of collaborator humans put into power in high places by the principalities of this earth, off-world creatures marooned here, to attack humans and disease humans and annihilate humans while they use us that are actually more advanced than them, we just don't know who we are, to build the advanced technology they need to then escape.
[00:56:36.004 --> 00:56:40.406]  And boy do they attack that and make fun of it because they know I'm exposing the Illuminati cult.
[00:56:40.946 --> 00:56:42.166]  You know what goes on at the Illuminati?
[00:56:42.186 --> 00:56:43.627]  You know what goes on at the top of Hollywood?
[00:56:43.647 --> 00:56:44.407]  You know what goes on?
[00:56:44.847 --> 00:56:51.550]  When I'm sitting there with Bilderberg Group members, and I'm sitting there talking to top globalists, which I've had private meetings with a lot of them, they don't joke about this.
[00:56:51.570 --> 00:56:52.390]  They know it's all true.
[00:56:53.551 --> 00:56:55.532]  Okay, so this is real big boy stuff.
[00:56:55.832 --> 00:56:56.852]  Big boy pants time, okay?
[00:56:56.912 --> 00:56:59.713]  I've already told you about the new world order and everything that's come before.
[00:56:59.733 --> 00:57:01.174]  Now I'm going to tell you who's running it.
[00:57:01.434 --> 00:57:03.075]  When we come back, they don't want you to hear this.
[00:57:03.175 --> 00:57:17.815]  Stay with us.
[00:57:17.779 --> 00:57:19.340]  It's Alex Jones.
[00:57:20.842 --> 00:57:23.064]  And it's Sunday, July 3rd, 2022.
[00:57:23.244 --> 00:57:25.026]  I'm your host, Alex Jones.
[00:57:25.687 --> 00:57:27.769]  I'm just gonna tell it like it is.
[00:57:29.070 --> 00:57:53.537]   I declare This July 4th, 2022, there'll be a Declaration of Independence against the alien force on this planet today, waging war against humans and our biology and our very future that is attempting to exterminate the majority of us and force the minority that's left to merge with AI computers and become cyborg slaves of Satan.
[00:57:55.738 --> 00:57:59.200]  Now, you've heard Elon Musk last year say, beware billionaires.
[00:58:00.054 --> 00:58:01.515]  that worship AI gods.
[00:58:02.436 --> 00:58:14.243]  And he tells you the global elite believe they're going to transcend humans and are going to create alien life forms, new life forms, the merger of humans and machines here on Earth and human-animal hybrids merging with machines.
[00:58:14.324 --> 00:58:15.264]  That is alien.
[00:58:17.025 --> 00:58:32.463]   We received a DNA gene sequence in a radio transmission from deep space, hypothetically, And with now CRISPR gene editing systems, if scientists put together that new creature, and then...
[00:58:33.672 --> 00:58:38.336]  Planted the embryo inside, say, a cow's uterus to grow it, as they do humanoids now.
[00:58:38.796 --> 00:58:40.137]  That's already going on for decades.
[00:58:40.878 --> 00:58:43.500]  That would be an alien on this planet.
[00:58:44.280 --> 00:58:46.782]  So if it's aliens running this, I don't know.
[00:58:47.523 --> 00:58:55.129]  But the globalists setting this plan up are anti-human and say humans are obsolete, whether it's Harari or Klaus Schwab or Bill Gates.
[00:58:56.363 --> 00:59:04.009]  And they're involved in a revolution or an update where you don't just get rid of your last phone, your last computer, or your last garage door opener.
[00:59:04.309 --> 00:59:06.130]  You get rid of humans themselves.
[00:59:06.230 --> 00:59:09.493]  And that's the anti-human revolution that's happening.
[00:59:10.233 --> 00:59:21.381]  With their carbon taxes, with their global surveillance, with their quote, great reset to build back better, there'll be no humans as we have known ourselves at the end of this revolution.
[00:59:21.401 --> 00:59:22.422]  And that's all been announced.
[00:59:22.903 --> 00:59:26.085]  And the Wall Street Journal and the New York Times looking forward to the end of humanity.
[00:59:29.508 --> 00:59:42.238]  The Bible tells us it's a fallen entity manipulating us here on this planet to set up a world government, make us have a digital market of the beast to buy and sell, and that we'll have to give up our humanity in the process and give up our free will and our soul.
[00:59:42.599 --> 00:59:45.901]  That was said 2,000 years ago by John the Revelator on the Isle of Patmos.
[00:59:45.921 --> 00:59:50.005]  And it was also stated in Ezekiel in the Old Testament and Daniel.
[00:59:51.426 --> 01:00:20.345]   And so you can look at it any way you want, but the global social engineers, futurists, Are following Revelation to a T. Absolutely following it to a T. And so whether it's saying a man can have a baby, or two women can have a baby when it's a man and a woman in a prison, or the left saying, hey, love is love, let three-year-olds date 20-year-olds.
[01:00:21.946 --> 01:00:29.427]  All of this is about getting you to go against your own common sense and the programming God gave you and follow destructive practices known as sin.
[01:00:31.789 --> 01:00:38.174]  And you think of sin as cheating on your wife, or drinking too much alcohol, or cheating on your taxes, but that's low-level stuff.
[01:00:38.555 --> 01:00:42.778]  Real sin is going against your human code that God gave you.
[01:00:43.739 --> 01:00:44.480]  And that's where we are.
[01:00:45.601 --> 01:00:50.805]  More than 20 states have passed laws to use dead bodies for fuel, and dead bodies for fertilizer.
[01:00:51.206 --> 01:00:54.488]  Alright, so, I just had a few minutes on that.
[01:00:54.588 --> 01:00:56.990]  I took it out of context, and they're all over the news.
[01:00:58.231 --> 01:01:05.977]  On TV, rolling images of Independence Day with flying saucers over New York City blowing up the Big Apple.
[01:01:08.358 --> 01:01:16.944]  So let me show you, and anybody watching this on TV or anybody on the radio can record this, you can go look up every one of these articles and you can see it for yourself what I was talking about.
[01:01:18.365 --> 01:01:19.986]  Here's one, a good place to start with.
[01:01:20.006 --> 01:01:22.828]  And this is the main religion of the globalists, that's all they talk about.
[01:01:22.848 --> 01:01:25.570]  You know, we can play you countless Davoscript clips.
[01:01:26.071 --> 01:01:27.612]  Looking forward to the end of humanity.
[01:01:29.076 --> 01:01:30.857]  COVID-19 shows us we're a failed species.
[01:01:30.897 --> 01:01:34.318]  We must merge the machines, get rid of what we were, and become silicon.
[01:01:34.398 --> 01:01:35.018]  Wall Street Journal.
[01:01:36.279 --> 01:01:36.859]  NBC News.
[01:01:37.339 --> 01:01:40.680]  Cyborgs will replace humans and remake the world, James Lovelock says.
[01:01:41.500 --> 01:01:43.341]  NBC News says soon there'll be no more humans.
[01:01:43.381 --> 01:01:44.621]  Humans will be obsolete in the future.
[01:01:44.682 --> 01:01:45.382]  You will accept it.
[01:01:47.783 --> 01:01:50.484]  From human to cyborg, are you willing to augment your body?
[01:01:52.424 --> 01:01:54.065]  Why the future doesn't need us wired?
[01:01:55.518 --> 01:02:00.282]  Scientists create alien, this is CNET, alien life form with artificial genetic code.
[01:02:01.022 --> 01:02:01.903]  That's what I was talking about.
[01:02:02.804 --> 01:02:06.046]  This is their revolution to rewrite not just humans, but the whole world.
[01:02:07.947 --> 01:02:10.549]  Scientists create the first life form with alien DNA.
[01:02:11.330 --> 01:02:11.790]  The verge.
[01:02:13.231 --> 01:02:14.112]  National Geographic.
[01:02:15.013 --> 01:02:17.555]  Human-pig hybrid created in the lab.
[01:02:20.357 --> 01:02:25.436]   Scientists hope the connected embryos represent key steps for life-saving Lab-grown organs.
[01:02:25.696 --> 01:02:25.816]  Oh!
[01:02:26.357 --> 01:02:28.277]  And decades after they had it, they told us about it.
[01:02:28.357 --> 01:02:32.359]  And now, the FDA is set to approve human organs grown in pigs.
[01:02:34.399 --> 01:02:35.360]  Human-animal hybrids.
[01:02:35.420 --> 01:02:36.900]  Can we justify the experiment?
[01:02:36.960 --> 01:02:37.700]  Science focus.
[01:02:39.821 --> 01:02:43.782]  First monkey-human embryos reignite debate over hybrid animals.
[01:02:43.822 --> 01:02:47.284]  Last year, Congress wouldn't even pass a law to ban human-animal hybrids.
[01:02:49.624 --> 01:02:50.965]  See, does Alex Jones look so silly now?
[01:02:52.534 --> 01:02:53.895]  They're not coming in flying saucers.
[01:02:53.915 --> 01:02:54.955]  They're being made in labs.
[01:02:56.016 --> 01:02:56.817]  NASA watch.
[01:02:56.917 --> 01:02:58.778]  New life forms discovered on the space station.
[01:02:59.218 --> 01:03:00.699]  NASA yawns in response.
[01:03:01.379 --> 01:03:15.348]  This article is key because it's got dozens of links in it to them announcing they created aliens with synthetic systems on the space stations in zero gravity.
[01:03:16.874 --> 01:03:20.217]  World's first living robots can now reproduce, scientists say.
[01:03:20.237 --> 01:03:22.279]  That could create a chain reaction, CNN.
[01:03:23.781 --> 01:03:26.964]  Robots made of cells blur the lines between creature and machine.
[01:03:31.608 --> 01:03:34.651]  Shadow Biosphere might be hiding strange life right under our noses.
[01:03:36.313 --> 01:03:40.036]  Austin-based company wants you to eat cricket protein bars, KXAN.
[01:03:41.670 --> 01:03:44.352]  How much more protein there is in a cricket than in a cow?
[01:03:44.972 --> 01:03:46.693]  And you're like, that sounds crazy, I'll never do that.
[01:03:46.973 --> 01:03:47.833]  How alien is that?
[01:03:47.894 --> 01:03:49.074]  Everywhere it's saying you will eat bugs.
