[00:00:00.169 --> 00:00:01.409]  Let me make the announcement.
[00:50:14.520 --> 00:50:19.805]  Which is unchecked, unelected, clerical bureaucrats dictating and controlling our entire medical care.
[00:50:19.905 --> 00:50:20.326]  This is so important.
[00:50:20.346 --> 00:50:22.227]  And if they own our body, they own our soul.
[00:50:22.508 --> 00:50:24.009]  That's right, they own our body, they own our souls.
[00:50:24.129 --> 00:50:27.773]  Robert Barnes, constitutional lawyer, back in 60 seconds to shift gears into politics.
[00:50:27.813 --> 00:50:28.394]  Stay with us.
[00:50:29.622 --> 00:50:49.411]   The UN, the Bank of England, now Putin's top aide predict global famine of Armageddon-like and apocalyptic, these are quote, proportions all based on the two plus year lockdown where in many third world countries, the IMF and World Bank Ordered them to have up to two years of lockdown.
[00:50:49.431 --> 00:50:50.392]  Devastating them.
[00:50:50.752 --> 00:50:51.612]  Collapsing them.
[00:50:51.632 --> 00:50:53.493]  40 plus million starved to death.
[00:50:53.613 --> 00:50:58.616]  Now the refugees are flooding the West as part of the replacement migration operation.
[00:50:59.336 --> 00:51:00.657]  We've got the Ministry of Truth.
[00:51:01.397 --> 00:51:06.060]  It's head, Jacqueline, is having to step down because of all of her fascistic statements about, I hate free speech.
[00:51:06.520 --> 00:51:07.901]  I want to be able to censor everybody.
[00:51:08.761 --> 00:51:10.081]  Now she's tried to walk that back.
[00:51:10.461 --> 00:51:16.883]  Spectacular mashups are out there showing her previous comments with her new ones just in the last year and six months.
[00:51:17.683 --> 00:51:18.763]  There's so much to tackle.
[00:51:18.783 --> 00:51:20.123]  What's happening with Elon Musk?
[00:51:20.583 --> 00:51:26.765]  He said, look, every time somebody bucks the globalist, they're going to do the me too thing.
[00:51:27.285 --> 00:51:29.885]  And he's challenging this stewardess on a private jet.
[00:51:29.905 --> 00:51:34.885]   There's a failed accuracy saying and saying, tell me this very identifiable
[00:51:34.885 --> 00:51:37.725]  thing on my genitals, if I supposedly showed you my genitals.
[00:51:37.725 --> 00:51:41.144]   And this is again, all being done to punish him because he says
[00:51:41.144 --> 00:51:42.485]  he's going to vote Republican.
[00:51:42.485 --> 00:51:44.905]  We've got all that and so much more.
[00:51:44.905 --> 00:51:46.104]  What's going to happen to Biden?
[00:51:46.104 --> 00:51:48.025]  The inflation is taking place.
[00:51:48.025 --> 00:51:52.905]   Barnes's predictions for the midterms and will they try the 2000 mule tactic
[00:51:52.905 --> 00:51:56.885]   again that he was working with Trump exposing at the time and exposing that
[00:51:56.885 --> 00:52:01.865]   the voting machines were the red herring that the mules bringing in the ballots
[00:52:01.865 --> 00:52:03.264]  was the key, all of that.
[00:52:03.440 --> 00:52:07.482]  Those are huge subjects in the next 25 minutes to cover Robert Barnes What do you want to tackle first?
[00:52:08.993 --> 00:52:11.534]  Well, first, I mean, no big surprise on the Elon Musk front.
[00:52:11.634 --> 00:52:19.016]  I mean, I think there's he will now face retaliatory action by the Biden administration for the public statements he's made.
[00:52:19.116 --> 00:52:33.560]  So not only will he have the media coming after him, trying to out him, try to meet to him, all of that jazz, but you will likely see Justice Department, SEC, other inquiries because his businesses receive a lot of as a message not only to him, but to anybody else.
[00:52:34.048 --> 00:52:37.691]  Because Jeff Bezos started saying some things hostile about the Biden administration.
[00:52:38.171 --> 00:52:43.335]  So I think they'll try to make an example out of Musk, just as they try to make an example out of Trump.
[00:52:43.515 --> 00:52:49.980]  I mean, we're seeing that in a case that the media is not covering this week, the Sussman trial, which is about the spy game.
[00:52:50.341 --> 00:53:00.809]  And they're detailing all of the different ways the Hillary Clinton campaign laundered information, disguised it as attorney-client privilege, disguised it as attorney-legal fees.
[00:53:01.309 --> 00:53:07.332]  And instead what it really was, was just Spygate on steroids that created the first fake Russiagate story.
[00:53:07.732 --> 00:53:11.314]  They're going to do to Musk what they did to Trump in the 2016 campaign.
[00:53:12.275 --> 00:53:20.659]  And they're going to try, because not only the goal, they said explicitly, our goal is not just to stop Trump, our goal is to stop anyone else from wanting to be like Trump.
[00:53:21.059 --> 00:53:22.620]  They're going to do the same thing to Elon Musk.
[00:53:22.800 --> 00:53:34.467]  They're going to not just go after Musk for trying to bring free speech back to Twitter, but also for exposing that almost all of these big tech organizations have been making all their money and profits off of fraud.
[00:53:34.667 --> 00:53:35.327]  Massive fraud.
[00:53:36.188 --> 00:53:38.349]  What he's exposing with the bots at Twitter.
[00:53:38.969 --> 00:53:43.974]  Is that all of these big tech companies, according to a range of reports, are littered with bots.
[00:53:44.254 --> 00:53:44.934]  What does that mean?
[00:53:45.135 --> 00:53:47.477]  It means all their advertising prices have been false.
[00:53:47.897 --> 00:54:03.250]  It means they've been falsely inducing companies and individuals to advertise to thinking they were advertising to people when those companies knew, like Twitter, like Facebook, like YouTube, like others, that actually it was just bots watching, just bots participating.
[00:54:03.770 --> 00:54:04.591]  And what does that mean?
[00:54:04.611 --> 00:54:07.352]  That means that all of these businesses could go bankrupt overnight.
[00:54:07.472 --> 00:54:10.614]  If what he details about Twitter is correct, Twitter could go bankrupt.
[00:54:11.034 --> 00:54:16.998]  So the fact that he's exposing big tech for the fraud that it is, already exposed over half of President Biden's followers.
[00:54:17.038 --> 00:54:19.339]  He exposed the vaccine over a year and a half ago.
[00:54:19.359 --> 00:54:21.440]  He exposed depopulation.
[00:54:21.960 --> 00:54:23.861]  Really, this guy's becoming a superstar.
[00:54:24.282 --> 00:54:30.705]   I know he's done some things that are globalist in the past, but why do you think he's breaking With the power structure and getting so hardcore.
[00:54:30.725 --> 00:54:32.965]  I know a few people here in Austin that are close friends of him.
[00:54:33.405 --> 00:54:34.906]  And some other people, I'll leave it at that.
[00:54:35.426 --> 00:54:36.706]  And let's just say this.
[00:54:36.826 --> 00:54:39.487]  I was told and said it over a year ago that he was about to go hardcore.
[00:54:40.187 --> 00:54:41.768]  And I'm not writing myself into the story.
[00:54:41.888 --> 00:54:44.208]  We warned of this when I was getting deplatformed four years ago.
[00:54:44.268 --> 00:54:47.169]  I warned Trump personally that he would be next.
[00:54:47.209 --> 00:54:48.509]  So first it was Alex Jones.
[00:54:48.990 --> 00:54:49.750]  Then it was Trump.
[00:54:50.070 --> 00:54:52.891]  And again, they're just developing the formula to destroy somebody.
[00:54:53.191 --> 00:54:54.291]  Now they've moved to Elon Musk.
[00:54:55.566 --> 00:54:58.787]  Yes, the same pattern over and over and over and over again.
[00:54:59.207 --> 00:55:02.348]  And I think, I mean, one, by the way, I could give why the timing.
[00:55:02.668 --> 00:55:07.849]  Why was it this week they finally decided to pull back publicly on the disinformation governance board?
[00:55:08.349 --> 00:55:20.452]  Well, because on Tuesday morning, Bobby Kennedy, who is suing Facebook for colluding with the government to censor children's health defense, was before the Ninth Circuit Court of Appeals on his lawsuit against Zuckerberg and Facebook.
[00:55:21.107 --> 00:55:22.868]  And the argument was government collusion.
[00:55:22.949 --> 00:55:24.990]  Well, what was the best evidence of government collusion?
[00:55:25.170 --> 00:55:26.751]  That disinformation governance board.
[00:55:27.272 --> 00:55:30.834]  So the government knew, and Facebook knew, they needed that board to be gone.
[00:55:30.854 --> 00:55:31.915]  And by the way, you're not just saying that.
[00:55:31.995 --> 00:55:43.364]  Jackowitz, as our defense, said, oh, we were just going to coordinate, exactly coordinate Big Tech and the other companies in Microsoft and Dinosaur Media together in wolf packs to censor and control and bully and dominate.
[00:55:44.500 --> 00:55:44.940]  Absolutely.
[00:55:45.001 --> 00:55:51.446]  Everything Bobby Kennedy and Jones Health Defense said about this vaccine has been proven true over and over and over and over again.
[00:55:51.766 --> 00:55:57.350]  And that's what they were being censored for, trying to prevent them from being able to raise money, prevent them from adding new members.
[00:55:57.410 --> 00:55:59.572]  And if we let that happen to them, it happens to everybody.
[00:55:59.592 --> 00:56:01.233]  So let's just stop there.
[00:56:01.253 --> 00:56:02.194]  What you said is so important.
[00:56:02.855 --> 00:56:03.895]  It is on record.
[00:56:04.764 --> 00:56:08.166]  That you can have an argument about Section 230 and say these groups can do what they want.
[00:56:08.626 --> 00:56:13.328]  But when you have the government coordinating with private corporations, that is fascism, that is racketeering.
[00:56:13.808 --> 00:56:15.809]  Explain in the law why that's so criminal.
[00:56:17.229 --> 00:56:22.792]  What makes it illegal is that once the private actors can suppress speech because they're not governed by the First Amendment.
[00:56:22.832 --> 00:56:28.054]  Now my view is when they have a monopoly on the public square that they should be held so accountable.
[00:56:28.374 --> 00:56:30.355]  And there's court decisions that said that, but the U.S.
[00:56:30.375 --> 00:56:31.916]  Supreme Court has yet to embrace that.
[00:56:32.521 --> 00:56:43.431]  What is undisputed is that once the government is colluding... So years ago, for example, there was a Connecticut agency that didn't want a book published, so it put pressure on a book publisher not to publish the book.
[00:56:43.712 --> 00:56:44.853]  The publisher didn't publish it.
[00:56:44.893 --> 00:56:45.133]  The U.S.
[00:56:45.153 --> 00:56:46.815]  Supreme Court said, that's illegal.
[00:56:46.915 --> 00:56:48.216]  That's a First Amendment violation.
[00:56:48.536 --> 00:56:58.661]  The moment you have government involvement in any suppression or censorship of speech or press or the right to petition your government, you then have a constitutional violation.
[00:56:58.901 --> 00:57:05.724]  You then have collusion that violates the law, that is outside of the limits of Section 230 immunity.
[00:57:06.084 --> 00:57:12.967]  And that's the suit that Bobby Kennedy brought because they had Fauci himself saying, please shut up Bobby Kennedy and similar organizations.
[00:57:13.688 --> 00:57:16.689]  Bobby Kennedy was specifically named by the government to target.
[00:57:17.169 --> 00:57:22.352]  And they dodged it at the lower court level because they said it wasn't real collusion, it was only kind of collusion.
[00:57:22.732 --> 00:57:29.736]  Well, the problem is you can't have a disinformation governance board being present and being publicly known at the time the case was reported.
[00:57:29.756 --> 00:57:31.096]  And here's where she's in trouble now.
[00:57:31.196 --> 00:57:37.800]  She's on record as of last week running her stupid mouth, admitting that she was secretly working for a year with Homeland Security already.
[00:57:39.091 --> 00:57:39.491]  Exactly.
[00:57:39.572 --> 00:57:44.156]  And there's no question that one of their primary targets was Bobby Kennedy and Children's Health Defense.
[00:57:44.596 --> 00:57:50.642]  So that's why they had to try to get rid of it and claim that they're not going to do that anymore, when in fact they're going to continue to do it.
[00:57:50.682 --> 00:57:53.745]  They're just going to try to do it a little quieter than they were publicly doing it.
[00:57:54.545 --> 00:58:00.451]  But it's what I tell people, why you should file suits that are even maybe tough to win in court.
[00:58:00.551 --> 00:58:02.533]  You might have judicial bias you have to deal with.
[00:58:02.993 --> 00:58:11.617]  It's still, fighting for your civil rights and your civil liberties still matters, because because of Bobby Kennedy's suit, they couldn't continue to publicly allow that organization.
[00:58:11.637 --> 00:58:18.119]  And let's be clear, whether it was the CDC saying they controlled all rents in America, or so many other things, by fighting, we've been beating them.
[00:58:18.420 --> 00:58:20.380]  We have turned the tide here, not in other countries.
[00:58:20.721 --> 00:58:22.181]  So people say, why do you love America so much?
[00:58:22.221 --> 00:58:23.942]  Well, we're the best house in a bad neighborhood.
[00:58:24.422 --> 00:58:26.683]  We are still the best, and we're an example of the world.
[00:58:26.923 --> 00:58:31.025]  It's why important, it's why it's so important we fight harder now than ever.
[00:58:32.296 --> 00:58:36.017]  Absolutely, and it's thanks to the audience at InfoWars that InfoWars is still alive.
[00:58:36.497 --> 00:58:46.480]  And now people are seeing, like, I mean, what we said from the get-go, people were going to come after InfoWars with the goal being to prevent the audience from wanting to support InfoWars.
[00:58:46.800 --> 00:58:56.703]  So that they wouldn't go to InfoWars store, they wouldn't support it with purchasing products, they wouldn't support it by sharing links, they wouldn't continue to try to get outside the matrix and share rep bills with everybody possible.
[00:58:57.083 --> 00:59:06.585]  And it's thanks to ordinary people continuing to buy products that make them better anyway, that make them healthier, that make them better off, that are more affordable than what's on the private marketplace.
[00:59:06.845 --> 00:59:08.326]  So it's all win-win-win.
[00:59:08.666 --> 00:59:10.026]  But they didn't think that would happen.
[00:59:10.326 --> 00:59:16.648]  They thought they would be able to suppress it, and they had to because their goal was to go after more and more people after that.
[00:59:16.988 --> 00:59:21.189]  It was start with Alex Jones, then it goes to Donald Trump, now it goes to anybody who dissents.
[00:59:21.549 --> 00:59:25.690]  If it's Robert Kennedy, if it's Elon Musk, if it's even Jeff Bezos.
[00:59:26.170 --> 00:59:29.232]  I mean, Bezos is next if he keeps talking out against the Biden administration.
[00:59:29.252 --> 00:59:29.792]  Well, that's right.
[00:59:29.892 --> 00:59:35.096]  I knew I wasn't that important five years ago when they started thousands of articles a week, hundreds of shows a week.
[00:59:36.136 --> 00:59:37.397]  I knew it was for everybody else.
[00:59:37.457 --> 00:59:40.899]  And then the documents came out in the Wall Street Journal that they were planning it for everybody.
[00:59:40.919 --> 00:59:51.646]  They even had a NATO intelligence summit with them naming us by name and saying, we're going to get everybody after we get WikiLeaks and InfoWars, and the left and right doesn't stand up for these people, we will get them all.
[00:59:51.906 --> 00:59:52.667]  They said that!
[00:59:53.934 --> 00:59:54.254]  Exactly.
[00:59:54.274 --> 01:00:03.083]  They set the precedent, they set the table to do this to everybody and it's why it's so important and so valuable that people keep programs like InfoWars alive.
[01:00:03.203 --> 01:00:04.484]  Robert Barnes, stay there my friend.
[01:00:04.885 --> 01:00:09.890]  I want to come back and talk about inflation, Ukraine, the election coming up and so much more.
[01:00:09.710 --> 01:00:10.710]  Stay with us.
[01:00:10.710 --> 01:00:13.068]  Final segment with my good friend Robert Barnes.
[01:00:13.068 --> 01:00:14.990]  It's the Alex Jones Show.
[01:00:14.990 --> 01:00:21.548]   And then two different special guests, Dr. Peter McCullough and his colleague John Leake
[01:00:21.548 --> 01:00:27.389]   will be joining us in studio the next hour and a half with bombshell information because
[01:00:27.389 --> 01:00:30.030]  this is their world government takeover using COVID-19.
[01:00:30.609 --> 01:00:35.132]  It is their wedge, their tip of the spear, and we must know the new lockdowns are planned.
[01:00:35.152 --> 01:00:37.774]  We've got to keep hammering, getting people ready to stop it.
[01:00:37.814 --> 01:00:39.315]  This is the world government system.
[01:00:39.735 --> 01:00:41.236]  This is the biomedical tyranny.
[01:00:41.676 --> 01:00:46.205]   Robert Barnes, shifting Yeah, I mean, the amount of fake news coming out about Ukraine is striking.
[01:00:46.025 --> 01:00:51.264]   then the inflation, how things are going for Biden the puppet, what you're expecting for
[01:00:51.264 --> 01:00:53.943]  the midterms, Ukraine, all of that ties together.
[01:00:53.943 --> 01:00:54.943]  Robert Barnes.
[01:00:54.943 --> 01:00:58.425]   Yeah, I mean, the amount of fake news coming out about Ukraine is striking.
[01:00:58.425 --> 01:01:03.584]   I mean, they actually apparently Zelensky ordered those neo-Nazis at the Azov battalion
[01:01:03.584 --> 01:01:10.224]   that were in that steel factory in Mariupol to stay put until the Eurovision song contest
[01:01:10.224 --> 01:01:14.425]   could end because they were hopeful that apparently had been rigged to make sure a Ukrainian won.
[01:01:14.808 --> 01:01:17.268]  And of course, when the Ukrainian won, they couldn't help themselves.
[01:01:17.288 --> 01:01:34.893]  They were like Dr. Strangelove, and at the end, which is, you know, can't stop the arm from coming up, they actually did a Nazi salute, an actual live Nazi salute on Eurovision song in the name of Ukraine, with Slava Ukraine, which is what the Nazi-aligned Ukrainians used to use when they were killing Poles and Jews during World War II.
[01:01:35.673 --> 01:01:38.955]  And what's really happening is the Russians are dominating on the ground.
[01:01:39.276 --> 01:01:41.417]  You're getting fake news from the whole Kagan family.
[01:01:41.437 --> 01:01:44.920]  They have Institute for Study of War and a lot of these fake accounts.
[01:01:44.980 --> 01:01:55.387]  People are discovering that a lot of the so-called military experts on Fox News and on social media and everywhere else, that they're as reliable as all the public health experts were during the pandemic.
[01:01:55.687 --> 01:01:56.928]  They're just complete frauds.
[01:01:56.988 --> 01:01:58.569]  They just spread propaganda and lies.
[01:01:59.089 --> 01:02:02.792]  And what's really happening is that Russia's winning the war on the ground.
[01:02:03.532 --> 01:02:05.353]  But they're not just winning the war on the ground.
[01:02:05.473 --> 01:02:14.057]  They're probably about a month away from the Russians completely taking control of the eastern region, Donbass region, and the Kherson region of Ukraine.
[01:02:14.077 --> 01:02:15.438]  They'll probably go into Odessa.
[01:02:15.738 --> 01:02:22.081]  They'll take where all the gas is, where all the industry is, where all the Russian population is, where all the seaside land is.
[01:02:22.481 --> 01:02:30.406]  So that Ukraine will end up a landlocked piece of property that will just continue to be a great reset colony but with a much smaller share of the population.
[01:02:30.726 --> 01:02:37.391]  While Zelensky will hop out to Hollywood and start doing TV deals and reality shows with Sean Penn and Angelina Jolie.
[01:02:37.811 --> 01:02:42.894]  And we live in a very interesting world where we can wage war on scale on that kind of size.
[01:02:43.214 --> 01:02:52.719]   I mean, Zelensky makes a volunteer appearance At Cannes Film Festival and all of them are up there cheering, clapping like seals for this complete corrupt grifter.
[01:02:53.159 --> 01:02:55.761]  So that's basically what's happening with Ukraine.
[01:02:55.801 --> 01:02:57.121]  On the economic front, you're right.
[01:02:57.241 --> 01:02:59.382]  I mean, basically inflation continues unabated.
[01:03:00.083 --> 01:03:01.744]  The Fed is in a catch-22 position.
[01:03:02.164 --> 01:03:04.105]  They want to break inflation.
[01:03:04.185 --> 01:03:05.885]  In order to do so, they have to raise interest rates.
[01:03:05.946 --> 01:03:09.007]  The more they raise interest rates, the more they sink the stock market and the housing market.
[01:03:09.511 --> 01:03:14.793]  So we're looking at a gas of $10 a gallon in the United States, it's already above that in certain parts of the world.
[01:03:15.213 --> 01:03:20.294]  And then it's a totally, as you were pointing out at the top of the show, it's an unnecessary famine that they're inducing.
[01:03:20.654 --> 01:03:22.555]  This is part of the whole Great Reset agenda.
[01:03:22.995 --> 01:03:28.877]  And it's an artificial famine between all the lockdowns that happened over the last two years, plus what they're doing with Russia.
[01:03:28.957 --> 01:03:32.558]  Russia's going to have a boom wheat crop this year.
[01:03:32.978 --> 01:03:33.698]  And they've said so.
[01:03:34.138 --> 01:03:38.300]  They're not being allowed to transport that wheat to the areas that need it.
[01:03:38.741 --> 01:03:39.661]  This is insanity.
[01:03:40.021 --> 01:03:43.083]  I mean, I get, you know, Klaus Schwab, and again, it's all part of the same thing.
[01:03:43.443 --> 01:03:44.964]  Why do we have some of this war agenda?
[01:03:45.225 --> 01:03:46.886]  Why do we have some of the pandemic agenda?
[01:03:47.146 --> 01:03:51.648]  Why do we have some of the, uh, what's happening on the economy and inflation and food and fuel?
[01:03:52.169 --> 01:03:53.930]  It's because they want to shrink the population.
[01:03:54.210 --> 01:03:55.731]  I mean, Bill Gates has been clear about this.
[01:03:56.071 --> 01:03:57.572]  He wants a lot of us to be dead.
[01:03:58.332 --> 01:04:02.135]  He wants fewer so that they can hoard what's left of the resources.
[01:04:02.535 --> 01:04:06.178]  It's a bad Malthusian math, but they're doing it all over again.
[01:04:06.578 --> 01:04:09.059]  And the consequences of it is we are being put at risk.
[01:04:09.500 --> 01:04:20.027]  And they want to take what the FDA has done with unelected, complete control over the medical health of our country under the guise of emergency powers that are being misused and abused.
[01:04:20.567 --> 01:04:26.071]  In order to do so, even though they've been exposed by the whistleblower that I represent in the case in Beaumont, Texas.
[01:04:26.091 --> 01:04:34.556]  In fact, we'll have a hearing next week in Beaumont, Texas because of Pfizer and all the corporate lawyers are coming in and they're saying, no discovery judge.
[01:04:34.776 --> 01:04:36.477]  We need to stay that for a little while.
[01:04:37.057 --> 01:04:41.640]  We can't allow Mr. Barnes or anyone else to be poking into what we got buried back there.
[01:04:42.140 --> 01:04:44.342]  And so what we have is a Bill Gates-driven agenda.
[01:04:45.142 --> 01:04:52.587]  And we got this guy whose family comes up within the eugenics movement, within the Planned Parenthood movement, within all that.
[01:04:52.607 --> 01:04:57.590]  I mean, notice one of the few times the guy's ever said anything publicly about a specific political issue was Roe v. Wade.
[01:04:58.170 --> 01:05:01.992]  And they're trying to stop Roe v. Wade from getting reversed by these threats on justices.
[01:05:02.433 --> 01:05:10.177]  Now, six Supreme Court justices are having to get special security protocols because their lives have been threatened with a credible threat.
[01:05:10.757 --> 01:05:13.299]  I mean, both of us have dealt with credible threats.
[01:05:13.899 --> 01:05:22.624]  In order for a threat to reach that level, that means it's so serious, so significant, someone who can execute it, that they're having to assign special security above and beyond the norm.
[01:05:23.424 --> 01:05:23.744]  And why?
[01:05:23.804 --> 01:05:28.906]  Because they need abortion as part of this broader global population control agenda.
[01:05:29.186 --> 01:05:31.127]  It's all about control at the end of the day.
[01:05:31.407 --> 01:05:36.989]  They're trying to do, but now they're losing control politically because the ordinary everyday person rejects it.
[01:05:37.329 --> 01:05:43.352]  The ordinary everyday person doesn't want wokeness, doesn't want these lockdowns, doesn't want pandemic policies like we've had.
[01:05:43.512 --> 01:05:46.473]  That was my next question here in the three minutes we have left.
[01:05:47.193 --> 01:05:48.994]  The entire globalist program is falling apart.
[01:05:49.034 --> 01:05:49.675]  They admit that.
[01:05:49.715 --> 01:05:54.778]  The more they double down the Star Wars line, the tighter you squeeze, the more star systems will slip through your fingers.
[01:05:55.518 --> 01:05:56.179]  That's happening.
[01:05:56.219 --> 01:06:01.742]  So where do you see these trajectories of a public that's waking up and won't give up, but an establishment that won't back down?
[01:06:02.823 --> 01:06:03.844]  What do you see unfolding there?
[01:06:04.847 --> 01:06:07.369]  Well, we're going to see more conflicts like the Russia-Ukraine conflict.
[01:06:07.509 --> 01:06:12.053]  In other words, with Russia, we're seeing that it ended up resulting in military war.
[01:06:12.113 --> 01:06:15.957]  You have Putin in Russia, who's anti-globalist in their agenda, their goals.
[01:06:15.997 --> 01:06:17.038]  He only cares about Russia.
[01:06:17.078 --> 01:06:18.119]  He doesn't care about anything else.
[01:06:19.240 --> 01:06:27.587]  And when globalists became, in his mind, an imminent threat to the well-being of Russia, he decided that their project, their anti-Russia project in Ukraine, he was willing to wage war over.
[01:06:28.127 --> 01:06:36.192]  And so I think you're going to see more, hopefully it stays non-violent, political conflict in the rest of the world, but that political conflict is only going to escalate.
[01:06:36.572 --> 01:06:37.913]  It's not going to de-escalate.
[01:06:37.973 --> 01:06:39.734]  Because you're right, they're going to get more and more desperate.
[01:06:40.175 --> 01:06:45.278]  I mean, is it a coincidence we suddenly see another monkeypox pandemic supposedly coming?
[01:06:45.298 --> 01:06:46.559]  I mean, that's not a coincidence.
[01:06:46.759 --> 01:06:55.264]  They're going to keep rolling these out one after the other after the other, one bad sequel to the next bad sequel, because they are desperate, because they are losing.
[01:06:55.524 --> 01:06:56.986]  They're losing control of the economy.
[01:06:57.006 --> 01:07:01.292]  It turns out you can't just print all the cash in the world you want and have no economic consequence.
[01:07:01.552 --> 01:07:03.715]  They're losing control over large parts of the world.
[01:07:04.035 --> 01:07:10.424]  Most of the world hasn't gone along with the request by the UN to issue economic sanctions against Russia.
[01:07:10.804 --> 01:07:14.084]  They're losing control of the domestic populace in the West.
[01:07:14.084 --> 01:07:18.284]   Le Pen's surge didn't win, but did better than any Le Pen had ever done in the history
[01:07:18.284 --> 01:07:19.284]  of France.
[01:07:19.284 --> 01:07:20.523]  Orban won big in Hungary.
[01:07:20.523 --> 01:07:21.523]  Serbia won.
[01:07:21.523 --> 01:07:28.523]   There's Palestine, in Pakistan, there's political rallies almost every week in favor of the
[01:07:28.523 --> 01:07:29.963]  opposed president there.
[01:07:29.963 --> 01:07:32.923]   And here in the United States, people like J.D. Vance are winning in Ohio.
[01:07:32.923 --> 01:07:33.923]  Bolsonaro.
[01:07:33.923 --> 01:07:37.043]  Pennsylvania had a very competitive.
[01:07:37.089 --> 01:07:41.352]  Kathy Barnett did well, did surprising for no money, managed to get almost a quarter of the vote.
[01:07:41.792 --> 01:07:43.313]  So Trump is resurging.
[01:07:43.373 --> 01:07:48.157]  He's going to be reelected or elected again in 2024 at the pace we're at.
[01:07:48.257 --> 01:07:49.678]  Republicans are going to sweep the House.
[01:07:49.958 --> 01:07:50.939]  They're going to sweep the Senate.
[01:07:51.219 --> 01:07:52.980]  They're going to add four to five seats in the Senate.
[01:07:53.000 --> 01:07:55.222]  They're going to add probably 50 to 60 seats in the House.
[01:07:55.282 --> 01:07:57.645]  Except the globalists are going to stage false flags in my view.
[01:07:57.685 --> 01:08:00.048]  Maybe even a mass power outage, they blame them on Russia.
[01:08:00.489 --> 01:08:02.151]  Robert Barnes, thank you for spending time with us.
[01:08:02.711 --> 01:08:05.375]  Next time you're in Texas, I know you're busy, please come in studio.
[01:08:05.415 --> 01:08:08.479]  I'll fly you up here when you're in all these other cities battling.
[01:08:08.599 --> 01:08:10.802]  I know how hard you're working for all of our freedoms.
[01:08:10.922 --> 01:08:13.886]  Robert Barnes, thank you so much for all your time, my friend.
[01:08:15.620 --> 01:08:16.000]  Absolutely.
[01:08:15.820 --> 01:08:16.820]  Absolutely, glad to be here, Allen.
[01:08:16.820 --> 01:08:21.300]   Anybody can just search in his name, you can find his Viva's Local Show, very popular programs.
[01:08:21.300 --> 01:08:22.300]  There goes Robert Barnes.
[01:08:22.300 --> 01:08:25.020]   All right, we're going to go on a break, come back with a short special report while we
[01:08:25.020 --> 01:08:29.020]  get Dr. Peter McCullough and his cohort in studio with us.
[01:08:29.020 --> 01:08:30.020]  Straight ahead.
[01:08:30.020 --> 01:08:41.019]   Ladies and gentlemen, Ultra 12, the highest quality V12 you're going to find on the market.
[01:08:41.019 --> 01:08:44.859]   Has been sold out for many months, but now it's back in stock at Infowarsstore.com.
[01:08:45.196 --> 01:09:00.005]  Now, in the next 45 seconds, I don't have time to get into vitamin B12, but do your own research and realize when it is organic, high quality vitamin B12, it energizes every other vitamin mineral in your body and all of your hormones and so much more.
[01:09:00.605 --> 01:09:01.706]  Ultra 12 is incredible.
[01:09:02.446 --> 01:09:07.050]  You take it out of the tongue, so it's better absorption to your body, and it is a game changer.
[01:09:07.550 --> 01:09:18.638]  InfoWarsStore.com has Ultra 12 back in stock, and despite the fact it's back in stock, despite the fact it's going to sell out very quickly, it is 40% off for a limited time.
[01:09:18.939 --> 01:09:27.545]   So act now, fund the Info War, and experience the purest, highest quality B12 now at InfoWarsStore.com, or call toll-free 888-253-3139.
[01:09:28.085 --> 01:09:31.426]  Thank you all for your support.
[01:09:31.487 --> 01:09:35.487]  Now take action and get your bottle of Ultra 12.
[01:09:35.487 --> 01:09:51.487]  [MUSIC]
[01:09:51.672 --> 01:09:53.672]  Tomorrow's News Today.
[01:09:53.672 --> 01:10:07.032]   Next week in Geneva, Switzerland, members of the World Health Organization, which was
[01:10:07.032 --> 01:10:11.992]   founded on the principles of establishing a one world government, will be voting to
[01:10:11.992 --> 01:10:18.032]   give themselves worldwide authority when it comes to official international health emergencies.
[01:10:18.791 --> 01:10:27.177]  The same World Health Organization who praised Communist China's extreme authoritarian lockdown against the Chinese people.
[01:10:28.007 --> 01:10:32.031]  ...who suggested forcibly separating families to quarantine them.
[01:10:32.332 --> 01:10:41.762]  In most parts of the world, due to lockdown, most of the transmission that's actually happening in many countries now is happening in the household, at family level.
[01:10:42.423 --> 01:10:47.468]  In some senses, transmission has been taken off the streets and pushed back into family units.
[01:10:48.875 --> 01:10:58.388]  Now we need to go and look in families to find those people who may be sick and remove them and isolate them in a safe and dignified manner.
[01:10:58.709 --> 01:11:01.132]  And who was caught faking the H1N1 pandemic in 2010.
[01:11:04.076 --> 01:11:18.190]  The same World Health Organization run by Tedros Adhanom Ghebreyesus, who's been working with the Clinton Foundation and the Bill and Melinda Gates Foundation since 2007, who said that the lockdowns will never end.
[01:11:18.551 --> 01:11:23.756]  I repeat, there will be no return to the old normal for the foreseeable future.
[01:11:24.136 --> 01:11:30.757]  And that the war in Ukraine was getting massive attention as a result of bias against black lives.
[01:11:31.377 --> 01:11:31.838]  The U.S.
[01:11:31.878 --> 01:11:34.678]  government is in full support of this new U.N.
[01:11:34.778 --> 01:11:48.961]  treaty with the WHO and has submitted 13 amendments, which will be voted on next week, that will give the WHO international authority on lockdowns, forced quarantines, and forced vaccinations.
[01:11:49.381 --> 01:11:56.507]  According to constitutional lawyer Robert Barnes, none of this is legally binding until a treaty is approved by the U.S.
[01:11:56.547 --> 01:11:56.828]  Senate.
