[00:00.000 --> 00:20.080]  Further escalation of the war, whether by accident or design, threatens all of humanity.
[34:20.120 --> 34:30.120]  if you had the full knowledge of what brought the conditions about that you're now reacting to and what the results of the policies that they're proposing are,
[34:30.120 --> 34:39.120]  you would never go along with this sort of stuff. So how do they get you to go along with it since we don't live in a communist or Nazi style authoritarianism
[34:39.120 --> 34:46.120]  where they can just beat you if you disagree, like they have to manipulate your mind. So the way they do that is they manipulate perception.
[34:46.120 --> 34:54.120]  They control what information you know and how it's presented to you in order to convince you to do things that you otherwise would never do.
[34:54.120 --> 35:00.120]  And then if you're still not happy with what they're doing, they'll just medicate you. And then you'll be happy whether you like it or not.
[35:00.120 --> 35:05.120]  That's the promise of the great reset. That's the promise of, as all this closely put it, the ultimate revolution.
[35:05.120 --> 35:12.120]  The revolution beyond which all other revolutions will be impossible. And that is the ultimate goal of the people in power in our country
[35:12.120 --> 35:21.120]  to bring about this situation where expressing dissent to their demands is inconceivable, not possible, not able to happen,
[35:21.120 --> 35:30.120]  let alone be spread on big tech and mainstream media. And so of course, as they approach any catastrophe, whether it's natural,
[35:30.120 --> 35:42.120]  whether they brought it about, their concern is not how to rectify the situation, not how to best serve the people that they supposedly represent,
[35:42.120 --> 35:48.120]  but it's how to use these situations to their own ends to carry out their own agenda.
[35:48.120 --> 35:59.120]  And that is becoming overwhelmingly obvious, more and more so, as we're introduced to yet another world-threatening catastrophe in Ukraine,
[35:59.120 --> 36:08.120]  once again brought on at least in some part by our own deep state military activities in foreign countries,
[36:08.120 --> 36:15.120]  yet another example of foreign intervention along the same lines we've seen in Afghanistan, Iraq, Syria, Libya,
[36:15.120 --> 36:22.120]  and a dozen other countries before that inevitably results in the reduction of American power overseas,
[36:22.120 --> 36:33.120]  the bankruptcy and restriction of our rights here at home in the enrichment of those who are pulling the strings.
[36:33.120 --> 36:37.120]  So of course, it looks like we may be on the cusp of peace here.
[36:37.120 --> 36:46.120]  We may be on the precipice of a diplomatic solution to the conflict in Ukraine as they say on both sides,
[36:46.120 --> 36:53.120]  that they're inching closer and closer to a compromise and agreement that would put a stop to the Russian aggression
[36:53.120 --> 37:00.120]  and allow Ukraine to once again be a nation free from foreign influence, either from Russia or from the West.
[37:00.120 --> 37:07.120]  And the UN Security Council is set to vote on this on Friday.
[37:07.120 --> 37:12.120]  It's a Russia-proposed piece of UN legislation.
[37:12.120 --> 37:18.120]  The UN Security Council is due to vote on Friday on a Russian-drafted call for aid, access and civilian protection in Ukraine,
[37:18.120 --> 37:25.120]  but diplomats say the measure is set to fail because it does not push for an end to fighting or withdrawal of Russian troops.
[37:25.120 --> 37:30.120]  Of course, the people in power aren't very interested in bringing this war to an end.
[37:30.120 --> 37:37.120]  They're interested in profiting from it and continuing it as long as possible or as long as necessary to bring about a digital world ID
[37:37.120 --> 37:40.120]  and whatever else they have in mind.
[37:40.120 --> 37:44.120]  As you see here, the U.S. is pressuring India, China and Egypt over Russia.
[37:44.120 --> 37:49.120]  This one's getting according to Sergey Lavrov, according to the Russian Foreign Minister, rather.
[37:49.120 --> 37:54.120]  The U.S. is putting pressure on China, Turkey and a number of other countries due to their cooperation with Russia,
[37:54.120 --> 37:56.120]  but it's just the rudeness that is erupting from Washington.
[37:56.120 --> 38:02.120]  I don't know. It's beyond, he said commenting on U.S. actions against other countries in a TV interview.
[38:02.120 --> 38:07.120]  It's even more striking that this kind of blackmail is used against such ancient civilizations as China, India, Egypt
[38:07.120 --> 38:16.120]  and the demands were made on the same Turks, saying this is a fateful moment, an epical moment, an epochal moment.
[38:16.120 --> 38:25.120]  I'm not sure how to pronounce that, but you get it, a moment of change, a crucible in the history of humanity
[38:25.120 --> 38:30.120]  because it reflects the battle in the broadest sense of the word and how the world order will look.
[38:30.120 --> 38:33.120]  He said in an interview with RBC TV channel.
[38:33.120 --> 38:38.120]  And I said on American Journal, this really just reminds me of how the American regime treats individuals.
[38:38.120 --> 38:40.120]  They treat countries in the same way.
[38:40.120 --> 38:48.120]  In the same way that if you aren't not just in line and accepting of their narrative and their ideology and their agenda,
[38:48.120 --> 38:51.120]  you have to actually actively participate in it.
[38:51.120 --> 38:53.120]  And if you don't, then you're an enemy.
[38:53.120 --> 38:58.120]  Then you're hurting them somehow. How dare you be on the side of the enemy.
[38:58.120 --> 39:01.120]  If you're not with us, you're with the terrorists.
[39:01.120 --> 39:06.120]  We've been through this all before, 30 years ago, 20 years ago, the Iraq war.
[39:06.120 --> 39:09.120]  I mean, we've seen all of this. I thought we would have woken up at this point.
[39:09.120 --> 39:14.120]  And it's nice, isn't it, being on the right side of history, knowing that when those conflicts were going down,
[39:14.120 --> 39:19.120]  we here at Info Wars, Alex Jones and those who listened to him, such as myself at the time,
[39:19.120 --> 39:27.120]  weren't taken in by the claims of patriotism, by the people that got us into those endless war conflicts.
[39:27.120 --> 39:32.120]  Isn't it nice to know that we were right about that and that we're right about this as well?
[39:32.120 --> 39:45.120]  As again, we warn against the foreign intervention and manipulation of other countries by our elites for their own benefit.
[39:45.120 --> 39:51.120]  But hey, what the American people want, they're not really reflected in what the politicians do.
[39:51.120 --> 39:58.120]  In fact, took them months and months to send you a $600 check of your own money during the COVID pandemic.
[39:58.120 --> 40:06.120]  They were incapable of scraping together a couple million dollars to build the wall at the southern border or boost our border defenses.
[40:06.120 --> 40:10.120]  They just can't do it. They're trying. They can't come to a compromise.
[40:10.120 --> 40:18.120]  The negotiations are stalling. It's all bureaucratic mumbo jumbo that sounds like it's...
[40:18.120 --> 40:22.120]  They're really trying so hard to do these things. They just can't.
[40:22.120 --> 40:28.120]  But then when it comes to war, suddenly it's super easy. Suddenly it's five minutes in and out.
[40:28.120 --> 40:34.120]  $800 million done. Blank check. Write it. Sign the American people's name to it and send it off to whoever.
[40:34.120 --> 40:39.120]  Who cares, right? Nazis, Islamic terrorists. It doesn't matter. It's war.
[40:39.120 --> 40:50.120]  It goes into the pockets of our warmongers of those great American corporations making weapons for all occasions.
[40:50.120 --> 40:58.120]  So write the blank check. No problem. Easy as pie when it comes to spending your money on waging war overseas.
[40:58.120 --> 41:07.120]  Let's go now to clip number three here. This is Joe Biden announcing an additional $800 million in security aid to Ukraine.
[41:07.120 --> 41:12.120]  And it's clearly helped Ukraine inflict dramatic losses on Russian forces.
[41:12.120 --> 41:21.120]  On Saturday, my administration authorized another $200 million to keep a steady flow of weapons and ammunition moving to Ukraine.
[41:21.120 --> 41:32.120]  Now I'm once again using my presidential authority to activate an additional security assistance to continue to help Ukraine fend off Russia's assault.
[41:32.120 --> 41:42.120]  An additional $800 million in assistance. That brings the total of new U.S. security assistance to Ukraine to $1 billion just this week.
[41:42.120 --> 41:51.120]  My God. It's just unimaginable that some money just signed away the flick of a wrist. Your money, by the way. Did I mention that?
[41:51.120 --> 41:54.120]  It's your money. It's not theirs. They don't have any money. No, it's all your money.
[41:54.120 --> 42:04.120]  It's your pockets they're going into to fund endless warfare overseas as they continue to do without break, it seems.
[42:04.120 --> 42:13.120]  All I know is I'm very proud to be a part of an organization that has always stalwartly and intelligently stood against the war mongering of this country
[42:13.120 --> 42:18.120]  and will continue to do it and will continue to probably be right about this sort of stuff.
[42:18.120 --> 42:27.120]  And I hope that you can support us by going to InfowarsStore.com. I'll tell you. I'm all in. I mean, I'm, I was the American Journal in the mornings.
[42:27.120 --> 42:33.120]  I hope you tune into that too. But, you know, there's no, there's no, I'm not going to join Fox News, right?
[42:33.120 --> 42:40.120]  There's no other option for me. Just like there's no other option for Alex Jones or Owen Shroy or anybody else that works in Infowars.
[42:40.120 --> 42:52.120]  So we'll go down with this ship or we'll stay afloat and we'll take on the armadas of the globalist and we'll have victory after victory as long as we have you at our backs supporting us and carrying us through these trying times.
[42:52.120 --> 43:10.120]  Please go to InfowarsStore.com. Support us. Get stuff you need. It's a 360 win.
[43:22.120 --> 43:37.120]  We're going to build on its ashes, their transhumanist nightmare vision, suppressing the voices of good people all around the world and of doctors and scientists and engineers that are exposing all their lies, their COVID hysteria,
[43:37.120 --> 43:49.120]  their world's going to end in 2030, carbon tax, global warming bull, all of it. And none of it can succeed. None of it can actually be carried out unless everybody is silenced and gaslit.
[43:49.120 --> 43:57.120]  And that's why truth comes with hard work and with research and with diligence. And that's why it's hard to share Infowars links and band up video links.
[43:57.120 --> 44:02.120]  That's why we've got to share them now more than ever.
[44:02.120 --> 44:12.120]  Your voice counts. When you share information, be it over the internet or in person, it changes the world. The globalists know their agenda is unpopular.
[44:12.120 --> 44:19.120]  They know you're angry. And now to get around big tech, it's more important than ever that we use every tool we've got.
[44:19.120 --> 44:26.120]  Well, ladies and gentlemen, if you sign up for our free news and show alerts, you can then take those alerts, those articles and those live feeds,
[44:26.120 --> 44:30.120]  both the regular shows and special reports, and share them with everyone you know.
[44:30.120 --> 44:42.120]  Take action now by texting the word NEWS to 833-470-0438. That's 833-470-0438 for Infowars emergency news alerts.
[44:42.120 --> 44:49.120]  Or text the word SHOW to 833-470-0438 and receive live show notifications.
[44:49.120 --> 44:54.120]  Take action now. Create the chain reaction until others share those texts.
[44:54.120 --> 45:00.120]  That's 833-470-0438 for Infowars emergency news alerts.
[45:24.120 --> 45:33.120]  Boy, is it true. The propaganda would not be necessary if the situation was hopeless.
[45:33.120 --> 45:42.120]  They knew all their propaganda and all their lies and all their evil and all their cultural death because they know we are strong.
[45:42.120 --> 45:46.120]  And they know in the end they signed on to God of this world who is a loser.
[45:46.120 --> 45:50.120]  And that's why it's so important that everybody keep Infowars in the air now more than ever.
[45:50.120 --> 45:55.120]  Even if you don't believe in God, what the globalists are manifesting and setting up is safe handling.
[45:55.120 --> 46:21.120]  And we are opposing the one world government and the mark of the beast they just announced.
[46:21.120 --> 46:29.120]  That's 833-470-0438 for Infowars emergency news alerts.
[46:51.120 --> 47:01.120]  Enjoy that brain fog today and secure your bottle of Brain Force Ultra before it is completely sold out at InfowarsStore.com.
[47:01.120 --> 47:10.120]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[47:10.120 --> 47:12.120]  SAC, this is Crystal Palace.
[47:12.120 --> 47:16.120]  Incno Radders declare DEF CON 3, scramble all alert aircraft.
[47:16.120 --> 47:19.120]  I repeat, scramble all alert aircraft.
[47:19.120 --> 47:23.120]  The Whopper spends all its time thinking about World War 3.
[47:23.120 --> 47:25.120]  Target selection complete.
[47:25.120 --> 47:27.120]  Time on target sequence complete.
[47:27.120 --> 47:35.120]  22 Typhoon class submarines departing Petropavlovsk, turning south out of Nordkapp, bearing 095 degrees.
[47:35.120 --> 47:39.120]  Radar reports two unknown tracks are penetrating the Alaskan Air Defense Zone.
[47:39.120 --> 47:43.120]  From the front lines of the information war.
[47:43.120 --> 47:46.120]  Flush the bombers, get the subs in launch mode.
[47:46.120 --> 47:49.120]  We are at DEF CON 1.
[47:49.120 --> 47:52.120]  Are you prepared to destroy the enemy?
[47:52.120 --> 47:53.120]  You bet!
[47:53.120 --> 47:57.120]  Defending the Republic from enemies, foreign and domestic.
[47:57.120 --> 48:01.120]  We'll keep control, but we'll keep it here at the top where it belongs.
[48:01.120 --> 48:06.120]  Three, two, one, impact.
[48:06.120 --> 48:08.120]  Shall we play a game?
[48:08.120 --> 48:14.120]  How about global thermal nuclear war?
[48:14.120 --> 48:19.120]  Live from the Infowars.com studios, it's Alex Jones.
[48:19.120 --> 48:23.120]  All units confirm weapons targeted and ready, awaiting launch codes.
[48:23.120 --> 48:25.120]  We are in launch mode.
[48:25.120 --> 48:29.120]  Do you really believe that the enemy would attack without provocation?
[48:29.120 --> 48:33.120]  If you are receiving this transmission, you are the resistance.
[48:33.120 --> 48:34.120]  We're in.
[48:34.120 --> 48:36.120]  Russians are still denying everything, sir.
[48:36.120 --> 48:39.120]  We have Soviet submarine launch detection.
[48:39.120 --> 48:41.120]  I wish I didn't know about any of this.
[48:41.120 --> 48:45.120]  I wish I was like everybody else.
[48:45.120 --> 48:52.120]  The only winning goal is not to play.
[48:52.120 --> 48:56.120]  Ladies and gentlemen, we are playing the game right now.
[48:56.120 --> 49:00.120]  We are caught in the jaws of what can easily become the end of civilization,
[49:00.120 --> 49:04.120]  perhaps all life on Earth, as we know it.
[49:04.120 --> 49:07.120]  Alex Jones here, back in the cockpit today.
[49:07.120 --> 49:11.120]  I think the great host of American Journal, Harrison Smith, are sitting in
[49:11.120 --> 49:15.120]  while I was here in the office working on some things that had to be dealt with
[49:15.120 --> 49:18.120]  that were so important and so serious that I could not be on air
[49:18.120 --> 49:23.120]  when the first hour was in the office just next door.
[49:23.120 --> 49:26.120]  Let's just talk cold turkey here.
[49:26.120 --> 49:31.120]  There is a worldwide financial collapse already initiated.
[49:31.120 --> 49:35.120]  The global casual society is prepped and ready and already rolling out,
[49:35.120 --> 49:40.120]  and the controllers want to start big wars and economic crises
[49:40.120 --> 49:43.120]  that they can blame on what's about to happen
[49:43.120 --> 49:45.120]  so they can pose as the savior brain in the new system,
[49:45.120 --> 49:51.120]  the world casual society, social credit score, carbon tax.
[49:51.120 --> 49:53.120]  Emergency Thursday broadcast.
[49:53.120 --> 49:58.120]  Pope warns nuclear war imminent.
[49:58.120 --> 50:01.120]  Again, Emergency Thursday broadcast.
[50:01.120 --> 50:05.120]  Pope warns nuclear war imminent, potential end of the world at hand
[50:05.120 --> 50:09.120]  as Hollywood global corporate press demand massive escalation
[50:09.120 --> 50:13.120]  of Western involvement in Ukraine.
[50:13.120 --> 50:15.120]  We're going to go over it all today.
[50:15.120 --> 50:17.120]  We have some big guests as well.
[50:17.120 --> 50:20.120]  I was out in California for three days,
[50:20.120 --> 50:24.120]  and it was the most over-the-top trip I've ever been on.
[50:24.120 --> 50:27.120]  Before that, it was California, the Bohemian Grove,
[50:27.120 --> 50:31.120]  that I infiltrated and got the footage up with Mike Hansen 22 years ago.
[50:31.120 --> 50:34.120]  That was the strangest thing I ever did.
[50:34.120 --> 50:36.120]  This trip topped it all,
[50:36.120 --> 50:39.120]  and a lot of it I'm not at liberty to get into or talk about.
[50:39.120 --> 50:41.120]  Very interesting.
[50:41.120 --> 50:46.120]  And then the rest of it, we will break very, very soon.
[50:46.120 --> 50:48.120]  In fact, I might even just start breaking it today
[50:48.120 --> 50:50.120]  because it's going to be breaking at any time.
[50:50.120 --> 50:52.120]  A lot of big stuff, a lot of big stuff happened.
[50:52.120 --> 50:54.120]  It was wild.
[50:54.120 --> 51:00.120]  And definitely Hotel California.
[51:00.120 --> 51:04.120]  So that's going to be coming up.
[51:04.120 --> 51:07.120]  I mean, I wish I could tell you all this stuff, folks.
[51:07.120 --> 51:09.120]  I wish I could tell you everything, but I can't.
[51:09.120 --> 51:14.120]  So just let me assure you that what we're talking about on this broadcast
[51:14.120 --> 51:17.120]  is the zeitgeist, and everybody's watching,
[51:17.120 --> 51:21.120]  and the left of the media can attack us and try to shut us down,
[51:21.120 --> 51:24.120]  and they have no idea that we, not just this broadcast,
[51:24.120 --> 51:28.120]  but all of you have transcended their new world order
[51:28.120 --> 51:31.120]  and that their whole system is already defeated.
[51:31.120 --> 51:37.120]  The question is, can they take us with them into the abyss?
[51:37.120 --> 51:40.120]  And that's really the big question.
[51:40.120 --> 51:43.120]  Separately, we can't just give up on life and roll over
[51:43.120 --> 51:45.120]  because of all the censorship, the attacks,
[51:45.120 --> 51:49.120]  the threats of nuclear war, the proxy wars, all the rest of it.
[51:49.120 --> 51:52.120]  Those of us that love God and love justice and love freedom have to know
[51:52.120 --> 51:54.120]  they want us to give up with the COVID lockdowns
[51:54.120 --> 51:56.120]  and give up being told we're not essential
[51:56.120 --> 52:01.120]  and give up on our children and our husbands and our wives and everybody else
[52:01.120 --> 52:04.120]  and basically go along with the system and just roll over
[52:04.120 --> 52:07.120]  and then let it give us the universal basic income
[52:07.120 --> 52:10.120]  produced and delivered by robots.
[52:10.120 --> 52:12.120]  That's where this is all going.
[52:12.120 --> 52:15.120]  That will be nothing but a living hell and death.
[52:15.120 --> 52:18.120]  Everything we do must be becoming more human again,
[52:18.120 --> 52:20.120]  getting closer to nature again,
[52:20.120 --> 52:24.120]  but while simultaneously understanding and conquering technology
[52:24.120 --> 52:28.120]  as a shield and a sword against those using technology against us.
[52:28.120 --> 52:31.120]  So it's a double-edged operation in my view.
[52:31.120 --> 52:36.120]  And separately, I can tell you that it's a bittersweet thing
[52:36.120 --> 52:39.120]  with all these Democratic Party-funded lawsuits against us
[52:39.120 --> 52:41.120]  and the de-platforming and the attacks and the blackballing
[52:41.120 --> 52:43.120]  and the debanking and all of it,
[52:43.120 --> 52:48.120]  that the people involved mid-level and low-level
[52:48.120 --> 52:52.120]  think they're going to get money, which doesn't exist in any large amounts,
[52:52.120 --> 52:56.120]  and the people on top think they're going to destroy and shut down info wars,
[52:56.120 --> 52:58.120]  and that's not going to happen either.
[52:58.120 --> 53:01.120]  But in the timetables of the things that are going on,
[53:01.120 --> 53:05.120]  we need to be focused on being on air and doing interviews
[53:05.120 --> 53:09.120]  and sitting for important interviews
[53:09.120 --> 53:12.120]  to change world opinion and not be distracted by the globalists.
[53:12.120 --> 53:16.120]  And so, to just keep this place operating with our own bandwidth,
[53:16.120 --> 53:18.120]  our own infrastructure, our own satellite uplinks,
[53:18.120 --> 53:21.120]  our own crew, our own everything, our own software had to be built.
[53:21.120 --> 53:23.120]  Everything was taken away.
[53:23.120 --> 53:27.120]  We had to build infrastructure for tens of millions of dollars
[53:27.120 --> 53:31.120]  and then millions up, dated and upkeep it every quarter
[53:31.120 --> 53:34.120]  just to be able to go out and do what you see here
[53:34.120 --> 53:36.120]  across the country and across the world.
[53:36.120 --> 53:39.120]  So thank you for keeping us on air, but I got to tell you,
[53:39.120 --> 53:45.120]  I'm sitting there looking at the tank on info wars, almost empty,
[53:45.120 --> 53:47.120]  and then I've got a little reserve tank,
[53:47.120 --> 53:50.120]  and that's been taken down by one third.
[53:50.120 --> 53:54.120]  And so, if you ever were going to buy a product at infowarstore.com,
[53:54.120 --> 53:57.120]  if you ever were going to go to infowarstore.com where it says support
[53:57.120 --> 54:00.120]  and click on that and be a sponsor, make a donation,
[54:00.120 --> 54:04.120]  we'll put a link to the donation page and a live show feed under the video feed.
[54:04.120 --> 54:06.120]  If you were ever going to step up,
[54:06.120 --> 54:08.120]  because a lot of you have already stepped up many times and I appreciate you,
[54:08.120 --> 54:11.120]  I'm talking to folks that have never bought a product,
[54:11.120 --> 54:13.120]  never given a donation, never spread a video,
[54:13.120 --> 54:16.120]  never supported the show, you're supporting yourself here.
[54:16.120 --> 54:20.120]  And this operation is critical to the future and where we're going,
[54:20.120 --> 54:22.120]  and I appreciate you all for your support,
[54:22.120 --> 54:26.120]  but I'm asking those that have never gotten a t-shirt
[54:26.120 --> 54:29.120]  or never gotten a book or a film or a shortwave radio
[54:29.120 --> 54:33.120]  or any of the products at infowarstore.com,
[54:33.120 --> 54:36.120]  I'm asking you now to go there and buy the products
[54:36.120 --> 54:38.120]  because we haven't raised prices on products
[54:38.120 --> 54:40.120]  and we haven't done a lot of things and I'm realizing
[54:40.120 --> 54:44.120]  our prices have gone up because of the inflation and because of the problems.
[54:44.120 --> 54:47.120]  So we're in a paradox where we bring in a lot of money,
[54:47.120 --> 54:51.120]  but most of it is the cost of the products.
[54:51.120 --> 54:55.120]  We brought on a few sponsors that are great and they've got good product,
[54:55.120 --> 54:58.120]  but it's not up yet to the level to deal with our shortfalls,
[54:58.120 --> 55:00.120]  though it looks like in the next few months, it will be.
[55:00.120 --> 55:02.120]  So again, we're nipping tuck here.
[55:02.120 --> 55:05.120]  The real reason you should get our products is they're amazing, regardless,
[55:05.120 --> 55:08.120]  and we have vaso beats that's so good for your cardiovascular system
[55:08.120 --> 55:10.120]  and your heart and that's so important these days.
[55:10.120 --> 55:14.120]  It's back in stock 40% off and we have the fizzy magnesium,
[55:14.120 --> 55:16.120]  double magnesium, so good for your body,
[55:16.120 --> 55:19.120]  so good for post-workout and going to sleep at night.
[55:19.120 --> 55:21.120]  It doesn't make you sleep, but it really makes your sleep better.
[55:21.120 --> 55:23.120]  Just so much for your body.
[55:23.120 --> 55:24.120]  It's been sold out for eight months.
[55:24.120 --> 55:25.120]  It's 25% off.
[55:25.120 --> 55:27.120]  We also have the amazing vitamin D3,
[55:27.120 --> 55:29.120]  highest quality vitamin D3,
[55:29.120 --> 55:34.120]  gummies that taste great, children love them, adults love them.
[55:34.120 --> 55:36.120]  Everybody should get theirs, 25% off,
[55:36.120 --> 55:43.120]  infowarstore.com and Biotrystallinium sold out for like a year, I think.
[55:43.120 --> 55:45.120]  Highest quality from the mustard seed,
[55:45.120 --> 55:48.120]  vital in all electrochemical activity.
[55:48.120 --> 55:52.120]  It goes like a horse and carriage with iodine.
[55:52.120 --> 55:54.120]  And so if you have either one of those
[55:54.120 --> 55:56.120]  or both of those efficiencies, you're screwed.
[55:56.120 --> 55:58.120]  So it's just as important as iodine.
[55:58.120 --> 56:02.120]  It's back in stock 1795.
[56:02.120 --> 56:04.120]  It's 40% off.
[56:04.120 --> 56:07.120]  You will not find any deal anywhere close to Biotrystallinium
[56:07.120 --> 56:09.120]  because they've got the synthetic cellinium
[56:09.120 --> 56:10.120]  that's not even good for you.
[56:10.120 --> 56:13.120]  This is pure organic from the mustard seed, pure cellinium.
[56:13.120 --> 56:16.120]  But I would tell you, take the allowance of it.
[56:16.120 --> 56:17.120]  Don't take extra.
[56:17.120 --> 56:18.120]  It's powerful.
[56:18.120 --> 56:20.120]  It'll do amazing things for your body,
[56:20.120 --> 56:23.120]  but it'll boost testosterone.
[56:23.120 --> 56:26.120]  So men, if you take it, you might get ready to say bye-bye to your hair
[56:26.120 --> 56:28.120]  if you take more than you're supposed to.
[56:28.120 --> 56:29.120]  So it's that powerful.
[56:29.120 --> 56:33.120]  Cellinium is powerful. It's 40% off.
[56:33.120 --> 56:38.120]  Infoworkstore.com or 888-253-3139.
[56:38.120 --> 56:39.120]  And it really comes down to that.
[56:39.120 --> 56:41.120]  And you guys have done such a great job.
[56:41.120 --> 56:43.120]  And I'm so thankful for your word of mouth, your prayers,
[56:43.120 --> 56:44.120]  your financial support.
[56:44.120 --> 56:49.120]  But I'm literally running around not able to even do the show
[56:49.120 --> 56:52.120]  because I've got to go make sure this is transferred
[56:52.120 --> 56:55.120]  and that's done and haul the sponsor and get that money.
[56:55.120 --> 56:57.120]  And I mean, do you want me spending half my time
[56:57.120 --> 56:59.120]  keeping the gas in the tank
[56:59.120 --> 57:01.120]  or do you want me driving the race car?
[57:01.120 --> 57:03.120]  If you'll just keep that tank closer to full,
[57:03.120 --> 57:05.120]  I don't have to make these pit stops
[57:05.120 --> 57:07.120]  and basically blow an engine.
[57:07.120 --> 57:09.120]  It's the best way to describe it.
[57:09.120 --> 57:10.120]  You just pray for it.
[57:10.120 --> 57:11.120]  You spread the word.
[57:11.120 --> 57:13.120]  And you just buy the products at infoworkstore.com.
[57:13.120 --> 57:15.120]  And baby, we're going to win this race.
[57:15.120 --> 57:17.120]  We're in the pole position with there's smoke coming out
[57:17.120 --> 57:19.120]  and the gas tank's going down
[57:19.120 --> 57:21.120]  and you can magically fill that tank
[57:21.120 --> 57:23.120]  and I don't have to pull over.
[57:23.120 --> 57:25.120]  Because that's what getting the sponsorship is,
[57:25.120 --> 57:28.120]  and it takes a lot of time and I would do that normally.
[57:28.120 --> 57:30.120]  And they're not going to shut jack crap down, by the way.
[57:30.120 --> 57:32.120]  We've got the whole sponsorship model and so much more.
[57:32.120 --> 57:34.120]  It's just that the fight is so intense
[57:34.120 --> 57:38.120]  I don't need to be at the ammo factory to use a war analogy
[57:38.120 --> 57:41.120]  loading up the ammunition for the peaceful revolution of information
[57:41.120 --> 57:43.120]  to fire the truth bombs
[57:43.120 --> 57:45.120]  and then fighting the combat on the front lines.
[57:45.120 --> 57:47.120]  I need the fuel now.
[57:50.120 --> 57:54.120]  Taking advantage of one of nature's most nutrient dense ingredients
[57:54.120 --> 57:58.120]  VasoBeat will be your new favorite infowars life formula.
[58:00.120 --> 58:02.120]  Using only water and beetroot
[58:02.120 --> 58:06.120]  VasoBeat is the most concentrated liquid extract of wheat on the market.
[58:09.120 --> 58:11.120]  With concentrated wheat extract
[58:11.120 --> 58:15.120]  you can get the high levels of betaine, nitrates and antioxidants
[58:15.120 --> 58:17.120]  you want to help support a healthy liver,
[58:17.120 --> 58:24.120]  athletic performance, blood vessels and more.
[58:24.120 --> 58:26.120]  Don't overlook the power of beetroot
[58:26.120 --> 58:34.120]  figure naturally occurring potassium, folate, vitamin C, iron, selenium, zinc, vitamin K and more.
[58:34.120 --> 58:46.120]  With one of nature's greatest treasures in VasoBeat from Infowars Life today.
[58:49.120 --> 58:52.120]  It's time to protect your privacy.
[58:52.120 --> 58:54.120]  It's time to come to grips with the fact
[58:54.120 --> 58:56.120]  that even though you don't have anything to hide
[58:56.120 --> 59:00.120]  criminals, hackers, corporations, big tech government
[59:00.120 --> 59:06.120]  are stealing all of your data and creating a map and a database of where you go and what you do.
[59:06.120 --> 59:10.120]  So in the future under their globalist takeover they can shut you down.
[59:10.120 --> 59:16.120]  Protecting your privacy, protecting your credit cards, protecting your bank accounts, protecting your photos,
[59:16.120 --> 59:19.120]  protecting everything that's on your phone is paramount.
[59:19.120 --> 59:22.120]  That's why everybody should visit InfowarsStore.com.
[59:22.120 --> 59:25.120]  We're carrying a huge new line of very compliant,
[59:25.120 --> 59:31.120]  made in America products that have 100% reviews and are simply incredible.
[59:31.120 --> 59:34.120]  It's a 360 win. Protect your privacy and shop at Infowars
[59:34.120 --> 59:39.120]  to support the overall Infowar against the globalists a true 360 win.
[59:39.120 --> 59:57.120]  Get your Faraday cages at InfowarsStore.com. Check out the new line. It's amazing.
[1:00:09.120 --> 1:00:25.120]  Let's just sit back and listen to some of this music.
[1:00:25.120 --> 1:00:28.120]  Some real poetry if you know the German.
[1:00:28.120 --> 1:00:40.120]  Thank you.
[1:00:40.120 --> 1:01:08.120]  Thank you.
[1:01:08.120 --> 1:01:18.120]  Emergency Thursday broadcast. Hope warrants nuclear war imminent potential in the world at hand.
[1:01:18.120 --> 1:01:30.120]  As Hollywood and global corporate press demand massive escalation of western involvement in Ukraine.
[1:01:30.120 --> 1:01:37.120]  All right. Here we are.
[1:01:37.120 --> 1:01:39.120]  The COVID news is completely off the chart.
[1:01:39.120 --> 1:01:43.120]  But then the war world three information is so big.
[1:01:43.120 --> 1:01:47.120]  And then you've got Biden completely disintegrating on air.
[1:01:47.120 --> 1:01:50.120]  I mean, he was a joke three years ago as a candidate.
[1:01:50.120 --> 1:01:55.120]  He was a joke, you know, 14 months ago was stealing the election.
[1:01:55.120 --> 1:02:02.120]  He's up there talking about every man or everybody knows somebody that's been caught nude photos with children.
[1:02:02.120 --> 1:02:10.120]  I mean, anybody knows about somebody that has dementia.
[1:02:10.120 --> 1:02:14.120]  Any of their dark secrets or weirdness is going to come to the surface.
[1:02:14.120 --> 1:02:23.120]  And how the establishment can continue to stick him in front of cameras.
[1:02:23.120 --> 1:02:25.120]  Not knowing what's about to come out.
[1:02:25.120 --> 1:02:30.120]  I mean, if you thought corn pop and the blonde hair standing up and the black kids are like roaches.
[1:02:30.120 --> 1:02:32.120]  He said that not mean it.
[1:02:32.120 --> 1:02:35.120]  If you sit there and think that's crazy.
[1:02:35.120 --> 1:02:38.120]  Well, you don't know people with dementia.
[1:02:38.120 --> 1:02:45.120]  So he's somebody with dementia that they give methamphetamine to his pupils are just jacked out.
[1:02:45.120 --> 1:02:47.120]  And he didn't know what planet he's on.
[1:02:47.120 --> 1:02:50.120]  And let me tell you what's screwing up society and civilization.
[1:02:50.120 --> 1:02:53.120]  It really is drugs at the end of the day.
[1:02:53.120 --> 1:02:57.120]  I was out in California for one of the biggest podcast out there.
[1:02:57.120 --> 1:03:01.120]  And I was hanging around with a very interesting famous person.
