[00:00.000 --> 00:07.000]  Ladies and gentlemen, thank you so much for joining us today.
[49:42.000 --> 49:50.000]  So as negative as I get, and as frustrating as things are, ladies and gentlemen, we're at least fighting back and I'm so proud of everybody.
[49:50.000 --> 49:56.000]  Now, listen, I went into bankruptcy because if they get all these big judgments, they can then come and shut down the company.
[49:56.000 --> 50:02.000]  But if we're in bankruptcy, it can only be profits in the company. And there's almost no profits. And I need time to do these appeals.
[50:02.000 --> 50:07.000]  And I thought the bankruptcy would be a little bit smoother than it is because we're an open book.
[50:07.000 --> 50:14.000]  But it's been a bit rocky and the judge fired the CRO that we didn't even know that the court basically recommended.
[50:14.000 --> 50:22.000]  And the lawyers, now it works as you hire outside lawyers. I am my lawyer, but then you have to have outside lawyers that oversee it.
[50:22.000 --> 50:27.000]  And the court said that they were not doing a good job and got rid of them. So new people are coming in.
[50:27.000 --> 50:31.000]  We were doing great up until this point. I have a plan to stay on here.
[50:31.000 --> 50:36.000]  But the judge said I got to pay 40% of legal bills. I don't have the money to continue this on and do this.
[50:36.000 --> 50:43.000]  So I want to thank those that have donated, but it really will cost to finish this trial and the next trial and these appeals over the next year or so.
[50:43.000 --> 50:50.000]  $500,000 is a conservative estimate and we don't have the money. So this is a war. You want to fight and win a war. It takes money to win a war.
[50:50.000 --> 50:54.000]  There's no place more important than InfoWars in this fight. So everybody, please go to GiveSimGo.
[50:54.000 --> 50:58.000]  The link is SaveInfoWars.com and make a donation.
[50:58.000 --> 51:02.000]  But separately, that's just for my legal bills. And I hate to beg, but I need your help.
[51:02.000 --> 51:04.000]  We want to stay on here to the decision you got to make.
[51:04.000 --> 51:09.000]  Separately go to InfoWarsStore.com and get the great reset and the War for the World signed.
[51:09.000 --> 51:16.000]  And then it's a fundraiser, limited edition signed copy, or get a regular price unsigned at InfoWarsStore.com.
[51:16.000 --> 51:21.000]  I want to thank all of you that have done that. Separately, we've got the InfoWars Super Sale going right now.
[51:21.000 --> 51:26.000]  The biggest sale of the year, 50 to 40% off across the board, X3 that does incredible things for your body.
[51:26.000 --> 51:29.000]  You got to experience it. It takes two weeks to kick in on average.
[51:29.000 --> 51:33.000]  All three types of iodine your body needs that are fully absorbable, it's back in stock.
[51:33.000 --> 51:40.000]  50% off, DNA Force Plus, 50% off, Brain Force Ultra, 50% off, Brain Force Plus, two different new tropics, 50% off.
[51:40.000 --> 51:46.000]  Super Mill Vitality, 50% off, Alpha Power is a driver, it's not even stronger, 50% off.
[51:46.000 --> 51:50.000]  It's all there. Fizzy Magnesium has double type magnesium, nobody else has that.
[51:50.000 --> 51:55.000]  The very best, most expensive, best type at a low price. It's back in stock, 50% off.
[51:55.000 --> 51:58.000]  All and so many other products at InfoWarsStore.com.
[51:58.000 --> 52:02.000]  And we got the shipping down to shipping within 24 hours, unless you order on a Saturday.
[52:02.000 --> 52:05.000]  So the bankruptcy kind of screwed up shipping for a few inches.
[52:05.000 --> 52:09.000]  They hadn't budgeted enough money to actually ship the product, the court ruled, of course, ship the product.
[52:09.000 --> 52:11.000]  So that held it up a few weeks. We're now clocked back up.
[52:11.000 --> 52:15.000]  I apologize for folks that got things that hung up, but for the last three weeks,
[52:15.000 --> 52:18.000]  we've been shipping within a day of the orders. Everybody loves it.
[52:18.000 --> 52:22.000]  So I really appreciate customers supporting us. InfoWarsStore.com.
[52:22.000 --> 52:26.000]  Every product we're selling, we have in stock in Austin, Texas, ready to ship to you.
[52:26.000 --> 52:31.000]  All you got to do is make the decision to try these great products, experience these great products,
[52:31.000 --> 52:36.000]  or those of you that have had the products and loved them to get them again and to experience it for yourself and others.
[52:36.000 --> 52:40.000]  InfoWarsStore.com. I thank you. I salute you. We're changing the world.
[52:40.000 --> 52:43.000]  Whatever happens to me, it's worth it just to expose the deadly shot.
[52:43.000 --> 52:46.000]  I'm feeling really good right now. I want to thank you all for your prayer.
[52:46.000 --> 52:49.000]  Final comments before I'll enjoy your text over Robert Barnes.
[52:49.000 --> 52:53.000]  We're facing a unique time in America, and it's up to the people at InfoWars and places like it to keep it alive
[52:53.000 --> 52:56.000]  and to keep America's freedom and liberty and dream and ideals alive.
[52:56.000 --> 53:01.000]  And what we're seeing is extraordinary challenges, but extraordinary obstacles breed extraordinary opportunities.
[53:01.000 --> 53:03.000]  And we force the enemy to come out in the open.
[53:03.000 --> 53:06.000]  This is like the Revolutionary War, but more serious, a more evil enemy.
[53:06.000 --> 53:10.000]  But we're going to win. Explain that to me. This is history, folks. This isn't a drill.
[53:10.000 --> 53:14.000]  Well, ordinary people like the audience of InfoWars already are winning.
[53:14.000 --> 53:18.000]  That's why there's been such extreme efforts to basically completely prohibit Alex from testifying.
[53:18.000 --> 53:20.000]  And to kill this family we built.
[53:20.000 --> 53:21.000]  Oh, completely.
[53:21.000 --> 53:27.000]  To wipe out the political organization, the associations of people that together have made real the possibility
[53:27.000 --> 53:30.000]  of challenging these corrupted institutions of power.
[53:30.000 --> 53:36.000]  These institutions that have corrosively been corrupted over the last several decades and even part of the last century.
[53:36.000 --> 53:40.000]  Tell them what they're scared of. Our community, our people, in all their internal documents have come out.
[53:40.000 --> 53:46.000]  They fear community and independent systems forming, whether it's farms or ranches or schools or medicine.
[53:46.000 --> 53:48.000]  They fear what we're doing here. This is the answer.
[53:48.000 --> 53:51.000]  Oh, absolutely. I mean, you even saw it from Putin's speech.
[53:51.000 --> 53:55.000]  He said, you know, why are these Western elites obsessed with controlling culture?
[53:55.000 --> 53:59.000]  Why are they obsessed with controlling independent means of information, controlling media?
[53:59.000 --> 54:01.000]  Why are they preaching deviant values?
[54:01.000 --> 54:05.000]  Georgia Maloney, Bolsonaro, they're all, this is the war.
[54:05.000 --> 54:06.000]  Absolutely.
[54:06.000 --> 54:14.000]  What all of these different dissidents represent in their own voice, in their own way, is a unified challenge to elite power
[54:14.000 --> 54:17.000]  that wants to manipulate the population into control.
[54:17.000 --> 54:19.000]  They've always been obsessed with MKUltra.
[54:19.000 --> 54:22.000]  You're talking about Big Pharma. You're talking about Bill Gates.
[54:22.000 --> 54:25.000]  You're talking about the U.S. Department of Agriculture and Amos Miller.
[54:25.000 --> 54:31.000]  All of these cases, all of these circumstances revolve around the elite's decisions and desires to control the rest of us.
[54:31.000 --> 54:34.000]  And they've been waging economic war to turn the whole country into a rust belt.
[54:34.000 --> 54:39.000]  I'm here 15 minutes outside Waterbury, totally gorgeous Connecticut.
[54:39.000 --> 54:41.000]  You can rent old houses.
[54:41.000 --> 54:44.000]  The security guys are staying in one for like $300 a night.
[54:44.000 --> 54:48.000]  It's four bedrooms that George Washington stayed in the Revolutionary War.
[54:48.000 --> 54:55.000]  We're staying in an old place that can have like 15 people in it for like $600 a night or something.
[54:55.000 --> 54:58.000]  Way cheaper than a hotel for all of us to stay here.
[54:58.000 --> 55:03.000]  That's a big security deal because I mean, imagine that there's all these old factories and things shut down around here
[55:03.000 --> 55:06.000]  because the left and the globalists shipped it all to China.
[55:06.000 --> 55:08.000]  This country's beautiful. This country's amazing.
[55:08.000 --> 55:10.000]  And it's a ghost town, ladies and gentlemen.
[55:10.000 --> 55:16.000]  We rented these places and they said we might rent them five times a year for a bachelor party or something.
[55:16.000 --> 55:19.000]  This country's beautiful. This country needs to be rebuilt.
[55:19.000 --> 55:20.000]  It needs to be loved.
[55:20.000 --> 55:25.000]  And just to see how they totally depressed this area pisses me off and every other blue area they control.
[55:25.000 --> 55:26.000]  No doubt.
[55:26.000 --> 55:28.000]  I mean, in fact, I said we were going into the courthouse.
[55:28.000 --> 55:32.000]  It's not a surprise the trial is happening here because it's the sign of decay everywhere.
[55:32.000 --> 55:34.000]  The decay of the American dream, decay.
[55:34.000 --> 55:36.000]  I mean, basically we brought a lot of immigrants here.
[55:36.000 --> 55:41.000]  We brought a lot of ordinary people here, people from the South came here and now you see them in states of despair.
[55:41.000 --> 55:43.000]  Where do you see long lines?
[55:43.000 --> 55:46.000]  You see long lines outside the public defender's office.
[55:46.000 --> 55:47.000]  Why is that?
[55:47.000 --> 55:54.000]  Because they've destroyed the economic base, the industrial base, the worker base of America in places like these small towns in Connecticut.
[55:54.000 --> 56:00.000]  Well, you know, Kissinger has as a state out in the countryside and that's a world we cannot continue to have.
[56:00.000 --> 56:04.000]  And it's a world that ordinary people are the only ones able and capable to resist.
[56:04.000 --> 56:10.000]  And we're at unique time where we're able to push back and it's thanks to ordinary people keeping places like Info Wars alive.
[56:10.000 --> 56:14.000]  And it's only because places like this are alive that the American dream is alive.
[56:14.000 --> 56:17.000]  And we keep hammering it, folks, because you're the resistance.
[56:17.000 --> 56:18.000]  I mean, you really are.
[56:18.000 --> 56:21.000]  Not like we're saying we change the world together and we've got a fighting chance together.
[56:21.000 --> 56:22.000]  We're just saying it.
[56:22.000 --> 56:23.000]  We're really doing it.
[56:23.000 --> 56:25.000]  So I want to thank the great Info Wars crew.
[56:25.000 --> 56:26.000]  I want to thank Owen Shroyer.
[56:26.000 --> 56:28.000]  I want to thank all of our team that's under massive attack.
[56:28.000 --> 56:33.000]  And I just thank you all for your prayers, your word of mouth, your support, because Info Wars is the tip of the spear.
[56:33.000 --> 56:36.000]  Again, I'm strongly considering just not testifying.
[56:36.000 --> 56:40.000]  It's doing press conferences today and tomorrow because I'm not allowed to really testifying.
[56:40.000 --> 56:41.000]  It's all rigged.
[56:41.000 --> 56:42.000]  So that's all coming up.
[56:42.000 --> 56:44.000]  Look for some big announcements today at InfoWars.com.
[56:44.000 --> 56:46.000]  Owen Shroyer from Austin, Texas.
[56:46.000 --> 56:47.000]  Thanks, Robert.
[56:47.000 --> 56:49.000]  All right, Alex and Robert Barnes.
[56:49.000 --> 56:50.000]  Thank you very much.
[56:50.000 --> 56:57.000]  I'll be looking forward to the announcement from Alex as well as it's just kind of a day to day process.
[56:57.000 --> 57:04.000]  Hour to hour, sometimes even minute to minute, just deciding how we're going to handle certain situations.
[57:04.000 --> 57:11.000]  And the challenge is like we've got to have our head on a swivel for all the attacks incoming.
[57:11.000 --> 57:27.000]  But then also we have to be able to be completely diligent and focused on our news coverage so that we can continue to reach the standard of being the tip of the spear when it comes to the truth in a world of deceit and lies.
[57:27.000 --> 57:29.000]  And we're up to that challenge.
[57:29.000 --> 57:30.000]  That's why you support us.
[57:30.000 --> 57:31.000]  That's why you pray for us.
[57:31.000 --> 57:33.000]  That's why you spread the links.
[57:33.000 --> 57:39.000]  When we come back, I'm going to go to an important segment from Jesse Waters last night on Fox News.
[57:39.000 --> 57:41.000]  Jesse Waters, by the way.
[57:41.000 --> 57:42.000]  Wow.
[57:42.000 --> 57:44.000]  Thank God that he's on Fox News at night now.
[57:44.000 --> 58:11.000]  He's right there behind Tucker Carlson as far as his show, as far as I'm concerned.
[58:14.000 --> 58:20.000]  I'm an impotist towards firing up their main base to defeat the New World Order.
[58:20.000 --> 58:30.000]  The only reason humanity is still in the fight today is because the viewers and listeners of this broadcast have taken action and supported this show.
[58:30.000 --> 58:32.000]  I don't take the credit.
[58:32.000 --> 58:34.000]  I give you the credit.
[58:34.000 --> 58:37.000]  And now Info Wars is facing its darkest hours.
[58:37.000 --> 58:38.000]  It isn't going to give up.
[58:38.000 --> 58:40.000]  Without your support, we can be shut down.
[58:40.000 --> 58:43.000]  Please go to saveinfowars.com today.
[58:43.000 --> 58:49.000]  SaveInfoWars.com today and donate for our legal defense fund.
[58:49.000 --> 58:53.000]  The biggest sale of 2022 is now alive.
[58:53.000 --> 58:57.000]  It's only running in the last week of September and the first week of October.
[58:57.000 --> 59:04.000]  Dozens of our best-selling products are finally back in stock and they're 40 to 50% off across the board.
[59:04.000 --> 59:07.000]  And the most important of them all is Survival Shield X3.
[59:07.000 --> 59:16.000]  All three types of the very best iodine documented to not just boost your libido, your stamina, your health, your energy, your cells, your immune system,
[59:16.000 --> 59:18.000]  but to overall give you more energy.
[59:18.000 --> 59:22.000]  It's the foundation of everything from energy to fertility.
[59:22.000 --> 59:29.000]  X3, 50% off, is finally back in stock exclusively at InfoWars.com.
[59:29.000 --> 59:37.000]  You've heard the callers, you've seen the rave reviews, now experience X3 for yourself exclusively at InfoWars.com, 50% off.
[59:37.000 --> 59:42.000]  And while you're there, check out some of the other great products that are finally back in stock and massively discounted as well.
[59:42.000 --> 59:46.000]  Part of the InfoWars store super sale running for two weeks only.
[59:46.000 --> 1:00:00.000]  Again, X3 back in stock, 50% off.
[1:00:00.000 --> 1:00:16.000]  Ladies and gentlemen, Jesse Waters took over his show, or launched his show, Jesse Waters Prime Time.
[1:00:16.000 --> 1:00:21.000]  I want to say a few months ago, and it has been probably the number two show on Fox News at night as far as I'm concerned with the content.
[1:00:21.000 --> 1:00:25.000]  Jesse Waters did a great segment last night on the open border issue.
[1:00:25.000 --> 1:00:27.000]  Here's a brief snippet from that segment.
[1:00:27.000 --> 1:00:39.000]  Prime Time has exclusively obtained video of a painful of migrants, mostly teenage girls from Honduras and Guatemala, being dropped off at the Orange County Airport in Montgomery, New York.
[1:00:39.000 --> 1:00:46.000]  Unlike other flights, one didn't happen in the dead of night, and a patriot was there to film them all getting off.
[1:00:46.000 --> 1:00:59.000]  At Orange County Airport in Montgomery, New York, Ace Airways has just delivered another load of undocumented illegal aliens to our area.
[1:00:59.000 --> 1:01:04.000]  And there's a bus waiting outside for them.
[1:01:04.000 --> 1:01:12.000]  That will take them to who knows where.
[1:01:12.000 --> 1:01:15.000]  And this is the bus.
[1:01:15.000 --> 1:01:26.000]  They unloaded all kinds of luggage, looked like it was issued, black canvas bags.
[1:01:26.000 --> 1:01:31.000]  I can't imagine that everybody happened to purchase the same bag.
[1:01:31.000 --> 1:01:36.000]  Police pulled that bus over in Montgomery, New York on suspicion of human trafficking.
[1:01:36.000 --> 1:01:45.000]  It turns out the bus was carrying about 50 teenagers from Guatemala, Venezuela, migrants, mostly teenage girls, and there were only three adults on the bus.
[1:01:45.000 --> 1:01:47.000]  The adults were from Texas.
[1:01:47.000 --> 1:01:51.000]  The plane came from Texas, but nobody knows where the buses were going.
[1:01:51.000 --> 1:01:57.000]  The police called the Department of Homeland Security, but they had no idea what was going on, which shouldn't surprise you.
[1:01:57.000 --> 1:02:07.000]  And then the police called Health and Human Services, which put out a statement that said that teenage girls were being taken to sponsors, whatever that means.
[1:02:07.000 --> 1:02:15.000]  And this was the third plane that had come in with underage migrants just in a week to this one airport in the middle of nowhere.
[1:02:15.000 --> 1:02:21.000]  No one in history has flown this many teenagers than Joe Biden, not even Jeffrey Epstein.
[1:02:21.000 --> 1:02:24.000]  Is he reuniting all of these kids with their families?
[1:02:24.000 --> 1:02:28.000]  No, most of these teenagers are going to sponsors.
[1:02:28.000 --> 1:02:33.000]  So who do you think is willing to sponsor an underage girl from Guatemala?
[1:02:33.000 --> 1:02:38.000]  Exactly. Does Biden have any idea what happens to these kids?
[1:02:38.000 --> 1:02:44.000]  After all, his team has already lost 20,000 migrant kids, lost them.
[1:02:44.000 --> 1:02:48.000]  And the teenagers, Biden's not losing to sex traffickers.
[1:02:48.000 --> 1:02:50.000]  He's making them suicidal.
[1:02:50.000 --> 1:02:59.000]  We reported Friday that thousands of young migrants in Biden's care have been slitting their wrists to escape from these military bases.
[1:02:59.000 --> 1:03:02.000]  So this is clearly not a top priority for the big guy.
[1:03:02.000 --> 1:03:07.000]  No one on his team can even admit we have a border crisis to begin with.
[1:03:07.000 --> 1:03:10.000]  Where's AOC weeping in her white pants suit?
[1:03:10.000 --> 1:03:12.000]  She's probably busy planning the wedding.
[1:03:12.000 --> 1:03:20.000]  Our very own stupid son of a border douchey, Bill Malujan, asked some Democrats if the border was secure. Watch what happens.
[1:03:20.000 --> 1:03:22.000]  Do you believe the border is secure?
[1:03:22.000 --> 1:03:24.000]  Well, I believe that we have to have a secure border.
[1:03:24.000 --> 1:03:29.000]  250,000 unaccompanied migrant children arrived at the border since President Biden took office.
[1:03:29.000 --> 1:03:35.000]  Some of them trafficked, some of them drowning in the river. Any issue with that?
[1:03:35.000 --> 1:03:40.000]  Last question. Ma'am, is the border secure? Do you agree with the administration that the border is secure? We'll let you go.
[1:03:40.000 --> 1:03:44.000]  Chairman, one question. In your opinion, is the border secure?
[1:03:44.000 --> 1:03:46.000]  I have to go give a speech. Didn't you hear me?
[1:03:46.000 --> 1:03:47.000]  I heard you.
[1:03:47.000 --> 1:03:49.000]  It's a quick question. Is the border secure?
[1:03:49.000 --> 1:03:53.000]  I'm Bill Malujan with Fox News. Do you have a few moments to talk about the border real quick?
[1:03:53.000 --> 1:03:54.000]  I'm sorry, I don't.
[1:03:54.000 --> 1:03:57.000]  A few moments till your time is all we're asking for and we'll let you go.
[1:03:57.000 --> 1:04:01.000]  Reached out to your office, asked to talk to you last week. They blew us off.
[1:04:01.000 --> 1:04:02.000]  I appreciate it.
[1:04:02.000 --> 1:04:03.000]  It's 900,000 God a ways.
[1:04:03.000 --> 1:04:04.000]  Have a good day.
[1:04:04.000 --> 1:04:05.000]  Thank you.
[1:04:05.000 --> 1:04:09.000]  Democrats think if you ignore a problem, it just goes away.
[1:04:09.000 --> 1:04:13.000]  Everybody knows from personal experience that when you do this, the problem only gets bigger.
[1:04:13.000 --> 1:04:15.000]  Just ask your wife or your husband.
[1:04:15.000 --> 1:04:21.000]  In New York City, the city's public schools are being overwhelmed with migrant students flown in by Joe.
[1:04:21.000 --> 1:04:25.000]  Class sizes are doubling and many of the classes are being taught in Spanish.
[1:04:25.000 --> 1:04:29.000]  So half the class are American kids being taught in Spanish.
[1:04:29.000 --> 1:04:33.000]  Where's Randy Weingartner and all this? The head of the teachers union?
[1:04:33.000 --> 1:04:40.000]  Well, we reached out to, you know, for her to comment and her response is tardy.
[1:04:40.000 --> 1:04:45.000]  There you go. Jesse Waters last night on Fox News. Great work, Jesse.
[1:04:45.000 --> 1:04:50.000]  Really great to see the likes of Tucker Carlson and Jesse Waters every night.
[1:04:50.000 --> 1:04:54.000]  Really, it's actually enjoyable to watch cable news for a couple hours a night now.
[1:04:54.000 --> 1:04:59.000]  Haven't had that in a long time.
[1:04:59.000 --> 1:05:04.000]  Think about a world without InfoWars.
[1:05:04.000 --> 1:05:11.000]  Just take a moment and sit back and think about all the incredible guests and callers and stories we've broken together.
[1:05:11.000 --> 1:05:14.000]  This family that is InfoWars.
[1:05:14.000 --> 1:05:22.000]  Think about how InfoWars is cited by Joe Rogan and Tucker Carlson and Bolsonaro and other foreign leaders like Nigel Farage
[1:05:22.000 --> 1:05:30.000]  as being the main impetus towards firing up their main base to defeat the New World Order.
[1:05:30.000 --> 1:05:37.000]  The only reason humanity is still in the fight today is because the viewers and listeners of this broadcast
[1:05:37.000 --> 1:05:40.000]  have taken action and supported this show.
[1:05:40.000 --> 1:05:44.000]  I don't take the credit. I give you the credit.
[1:05:44.000 --> 1:05:48.000]  And now InfoWars is facing its darkest hours. It isn't going to give up.
[1:05:48.000 --> 1:05:53.000]  Without your support, we can be shut down. Please go to SaveInfoWars.com today.
[1:05:53.000 --> 1:06:19.000]  SaveInfoWars.com today and donate for our legal defense fund.
[1:06:19.000 --> 1:06:24.000]  All right. I want to dig into this story I had mentioned earlier with Alex.
[1:06:24.000 --> 1:06:27.000]  And this is Yahoo News, folks.
[1:06:27.000 --> 1:06:35.000]  And I say that with emphasis because Yahoo.com is still one of the most visited sites on the web.
[1:06:35.000 --> 1:06:42.000]  And a lot of people have their home page just programmed to go there when they open their web browser.
[1:06:42.000 --> 1:06:48.000]  And plus, people see Yahoo. I mean, you think mainstream news, people think, okay, credible.
[1:06:48.000 --> 1:06:51.000]  I'm not saying that, but that's what people think.
[1:06:51.000 --> 1:06:58.000]  And so the fact that this was on Yahoo News is important because more people will see this story.
[1:06:58.000 --> 1:07:05.000]  Millions of eyes will see this story when it gets syndicated on Yahoo News.
[1:07:05.000 --> 1:07:07.000]  And so here's the headline.
[1:07:07.000 --> 1:07:16.000]  The FDA misled the public about ivermectin and should be accountable in court, argues the association of American physicians and surgeons.
[1:07:16.000 --> 1:07:21.000]  Now, I want to give some more framing to this and then revisit it.
[1:07:21.000 --> 1:07:24.000]  It's odd.
[1:07:24.000 --> 1:07:28.000]  I don't know if odd is the word, but there's something there.
[1:07:28.000 --> 1:07:37.000]  Remember, it was the FDA that came out and tried to blame Trump for the vaccines saying, oh, Trump made us do this.
[1:07:37.000 --> 1:07:39.000]  Trump made us push the vaccines.
[1:07:39.000 --> 1:07:48.000]  And so that was the FDA kind of trying to take a step back from the vaccine pushing saying, oh, it was Trump's fault.
[1:07:48.000 --> 1:07:52.000]  It was Trump's fault that we told people to get the vaccines before the testing.
[1:07:52.000 --> 1:07:57.000]  It was Trump's fault that the vaccines had so many side effects and are neither safe and effective.
[1:07:57.000 --> 1:08:08.000]  And that was the FDA trying to get out ahead of that, perhaps seeing what's coming in the future as the truth about the vaccines begins to emerge.
[1:08:08.000 --> 1:08:13.000]  So it's odd to me it's the FDA again part of this conversation.
[1:08:13.000 --> 1:08:18.000]  But of course, it's not just the FDA.
[1:08:18.000 --> 1:08:20.000]  It's not just the FDA at all.
[1:08:20.000 --> 1:08:29.000]  It was our entire government, all the different health sectors of our government, all pushing the same thing, all saying the same thing.
[1:08:29.000 --> 1:08:40.000]  They all misled the public and they should all be held accountable in court for at the very least involuntary manslaughter, I would say.
[1:08:40.000 --> 1:08:54.000]  I mean, I'd have to ask a lawyer that's an expert in malpractice, medical malpractice, and I would say, what is the standard protocol
[1:08:54.000 --> 1:09:05.000]  if a doctor knowingly, willingly refuses to treat a patient with life saving treatment and then that patient dies?
[1:09:05.000 --> 1:09:11.000]  What is the standard protocols for that medical malpractice?
[1:09:11.000 --> 1:09:14.000]  So perhaps that's the better way to phrase it.
[1:09:14.000 --> 1:09:21.000]  It's medical malpractice, but it wasn't just all the health sector government operatives.
[1:09:21.000 --> 1:09:24.000]  It was also, of course, our politicians.
[1:09:24.000 --> 1:09:27.000]  It was also, of course, our mainstream media.
[1:09:27.000 --> 1:09:39.000]  Now, they might have or they might claim they have plausible deniability or they may, as far as a legal concern is related to this, they might not be directly responsible.
[1:09:39.000 --> 1:09:41.000]  But we all know that they were along for the ride.
[1:09:41.000 --> 1:09:47.000]  We all know what they did to us, pushing the vaccines that have killed tens of thousands, if not hundreds of thousands.
[1:09:47.000 --> 1:10:00.000]  And of course, denying you the truth about treatments like ivermectin, hydroxychloroquine, vitamin D, zinc, and so much more.
[1:10:00.000 --> 1:10:07.000]  And because those treatments were ignored, again, tens of thousands, if not hundreds of thousands of people died.
[1:10:07.000 --> 1:10:12.000]  So, I mean, we're legitimately talking about, I mean, let's be conservative.
[1:10:12.000 --> 1:10:17.000]  They say what, like 1.2 million people died from COVID is what they say.
[1:10:17.000 --> 1:10:20.000]  Well, okay, you can believe that you cannot believe that.
[1:10:20.000 --> 1:10:33.000]  But we know for certain on a conservative number that hundreds of thousands of people died because the actual life saving treatment that was available for COVID was denied.
[1:10:33.000 --> 1:10:37.000]  And then you could add on the vaccine side effect deaths on top of that.
[1:10:37.000 --> 1:10:43.000]  But let's just kind of, let's even draw back a little bit more with a little bit more framing as far as the media is concerned here.
[1:10:43.000 --> 1:10:54.000]  So, Chris Cuomo got the ouster from CNN about six or so months ago.
[1:10:54.000 --> 1:11:07.000]  And that was mostly because he was working with his brother, the governor of New York, Andrew Cuomo, to help him beat the sexual assault allegations that were used against him.
[1:11:07.000 --> 1:11:13.000]  Now, oddly enough, I don't think anything ever manifested from those charges.
[1:11:13.000 --> 1:11:29.000]  And so, I don't know what the whole agenda to get rid of Cuomo was, he went from being the best COVID response to looking like a presidential candidate to then getting the ouster because of the assault allegations.
[1:11:29.000 --> 1:11:34.000]  And now he's the bad guy and Cuomo was trying to protect him with his show on CNN.
[1:11:34.000 --> 1:11:35.000]  So, he got the ouster.
[1:11:35.000 --> 1:11:39.000]  Well, Cuomo's back now.
[1:11:39.000 --> 1:11:46.000]  And he's got a new show on News Nation and he starts his transmission.
[1:11:46.000 --> 1:11:49.000]  Now, let's just also put this into perspective.
[1:11:49.000 --> 1:11:51.000]  Cuomo is not going to get any ratings.
[1:11:51.000 --> 1:11:56.000]  Cuomo was, I believe, when he left CNN, the number one rated show on CNN.
[1:11:56.000 --> 1:11:59.000]  He still wouldn't even be a top ten show on Fox News.
[1:11:59.000 --> 1:12:01.000]  But I believe he had the top ratings on CNN.
[1:12:01.000 --> 1:12:02.000]  He gets the ouster.
[1:12:02.000 --> 1:12:08.000]  So, he launches his show last night and he starts by ripping CNN.
[1:12:08.000 --> 1:12:12.000]  Saying, there's no group think established here.
[1:12:12.000 --> 1:12:18.000]  We all know what that means, that if you want to work at CNN, you have to do exactly what you're told and say exactly what you're told.
[1:12:18.000 --> 1:12:22.000]  Chris Cuomo admits that last night as he launches his new show.
[1:12:22.000 --> 1:12:25.000]  I say good for Chris Cuomo.
[1:12:25.000 --> 1:12:35.000]  It's too bad that you were a pawn of CNN for all those years, but hey, you made millions of dollars, so fine.
[1:12:35.000 --> 1:12:37.000]  But that's your fake news.
[1:12:37.000 --> 1:12:41.000]  So, let's apply it to the story.
[1:12:41.000 --> 1:12:44.000]  You could not go on CNN and say Ivermectin works.
[1:12:44.000 --> 1:12:48.000]  You could not go on CNN and say hydroxychloroquine with zinc works.
[1:12:48.000 --> 1:12:53.000]  You could not go on CNN and question the vaccine efficiency or effectiveness.
[1:12:53.000 --> 1:12:56.000]  That's what Chris Cuomo was talking about.
[1:12:56.000 --> 1:13:05.000]  He might not directly say that's the example, but that's what we all know was going on as far as that story is concerned.
[1:13:05.000 --> 1:13:06.000]  But it's not just CNN.
[1:13:06.000 --> 1:13:10.000]  It's all of the mainstream news from a local level all the way to the top.
[1:13:10.000 --> 1:13:23.000]  And that's what's so sad about the local news is that the local news is now so scripted and controlled that the average local news host, like a Christie Lee who works for us now,
[1:13:23.000 --> 1:13:30.000]  the average local news host or reporter that actually used to have a passion for journalism and a passion for news.
[1:13:30.000 --> 1:13:31.000]  I've seen it.
[1:13:31.000 --> 1:13:35.000]  I've met these people when I was working in media growing up in St. Louis.
[1:13:35.000 --> 1:13:39.000]  I met a lot of people really passionate about their reporting, really passionate about their journalism.
[1:13:39.000 --> 1:13:41.000]  Well, that's all dead and gone now.
[1:13:41.000 --> 1:13:45.000]  Now all they're passionate about is their prestige and their bank account.
[1:13:45.000 --> 1:13:52.000]  And that's what being a network news anchor or a local news anchor or reporter means.
[1:13:52.000 --> 1:13:53.000]  Oh, I'm prestigious.
[1:13:53.000 --> 1:13:54.000]  I'm rich.
[1:13:54.000 --> 1:13:55.000]  I don't really care about journalism.
[1:13:55.000 --> 1:13:57.000]  I don't really care about reporting.
[1:13:57.000 --> 1:13:59.000]  So they never question anything.
[1:13:59.000 --> 1:14:01.000]  They never question the vaccines.
[1:14:01.000 --> 1:14:11.000]  They never question ivermectin or hydroxychloroquine and zinc because they care about their prestige being on the camera and getting that paycheck in their bank account every week.
[1:14:11.000 --> 1:14:14.000]  Chris Cuomo essentially calls that out.
[1:14:14.000 --> 1:14:21.000]  And so Trump, Donald Trump has now sued CNN for $475 million in damages.
[1:14:21.000 --> 1:14:27.000]  Now, think about this.
[1:14:27.000 --> 1:14:31.000]  There's so much, there's so many legs to the story.
[1:14:31.000 --> 1:14:39.000]  But you see what's happened now is the media is going to say, oh, Trump can't do this frivolous, all this crap.
[1:14:39.000 --> 1:14:51.000]  But yet they'll all celebrate when the left and all these globalist Democrat lawyers try to sue Info Wars and Fox News into submission and into bankruptcy.
[1:14:51.000 --> 1:14:56.000]  They celebrate that even though we all know who the real fake news is.
[1:14:56.000 --> 1:14:58.000]  And Chris Cuomo just admitted it.
[1:14:58.000 --> 1:15:01.000]  So yeah, can we all sue CNN?
[1:15:01.000 --> 1:15:04.000]  Can we all sue the mainstream news that lied to us about the vaccines?
