[00:00.000 --> 00:10.000]  There is a lot of controversy around this network about Alex Jones, for example.
[36:58.000 --> 37:05.000]  So be part of history. Want to thank those of you that got the coins. It's your last chance to be part of it. Only three in the set. This is the last one. It'll be sold out in just a few days.
[37:05.000 --> 37:12.000]  1776coin.com. The Molan Lobby. Come and take it. Free Men Bear Arms Coin.
[37:12.000 --> 37:28.000]  And finally, we're running the Memorial Day Mega Sale, biggest sale of the year so far, double Patriot points up to 60% off on Alpha Power, Brain Force Ultra, Vitamin D3 gummies, Ultimate Fish Oil, Ultimate Crull Oil, Immune Support, Whole Food Multivitamin, Hair and Beard Support,
[37:28.000 --> 37:43.000]  All Dr. Jones Natural Products, The Toothpaste, The Top Brain, The Cobbett Shell, The Primal Youth, The Rocket Rest. It's all there. InfowarsStore.com or 888-253-3139. Thank you for keeping us on air.
[37:43.000 --> 37:55.000]  All right. Let me just get back to this. We know these martial law provisions are there. We know these powers to suspend Congress that are totally unconstitutional are there.
[37:55.000 --> 38:06.000]  No president has ever dared use these. Corporate media, establishment media is saying the main enemy of the government, the American people, is white people and conservatives,
[38:06.000 --> 38:12.000]  and those that question lockdowns, and those that question open borders, and those that question fraudulent elections.
[38:12.000 --> 38:21.000]  And you add all the other propaganda that, oh, power outages are imminent, hackers are going to hit, EMPs are going to hit, nuclear war is about to happen.
[38:21.000 --> 38:36.000]  You add all that together. It tells you that they're preparing and are postulating that they may be able to actually pull this off and get away with it.
[38:36.000 --> 38:45.000]  And why would a desperate globalist elite do this? Because they're desperate. The whole world's turning against them. Everywhere they're being reversed in elections.
[38:45.000 --> 38:52.000]  They had to steal the election here. There's a global political awakening and realignment happening, not just a landslide.
[38:52.000 --> 39:10.000]  And so this is absolutely, ladies and gentlemen, a very serious danger. And we should be asking ourselves, what is it we're going to do to stop this leviathan, this spider,
[39:10.000 --> 39:16.000]  this hydra of tyranny, being able to pull this off?
[39:16.000 --> 39:21.000]  And we'll be discussing this throughout the weekday show, 11 a.m. to 3 p.m. this week, on the M4's network.
[39:21.000 --> 39:25.000]  I know that Harrison Smith, weekday mornings, 8 a.m. The American Journal will be.
[39:25.000 --> 39:29.000]  I know that Troyer with the War Room will be discussing it, 3 p.m. Central.
[39:29.000 --> 39:34.000]  He'll be hosting two hours a night, Sunday Live, from 6 to 8 p.m. Central.
[39:34.000 --> 39:41.000]  But we're able to get people looking at the world government COVID treaty.
[39:41.000 --> 39:48.000]  This broadcast was essential in the last six months, really exposing this and finally making it break into mainstream news.
[39:48.000 --> 39:51.000]  You did that. You spread the word. You did a great job.
[39:51.000 --> 39:58.000]  And we've got to be essential again in exposing why are they trying to green light Biden using dictatorial powers?
[39:58.000 --> 40:05.000]  Because he's just a puppet. He'll get the blame, but the establishment will be able to continue to destabilize the country and the world
[40:05.000 --> 40:08.000]  and keep power over people.
[40:08.000 --> 40:15.000]  So they're preparing it. They're massaging the public's mind and preparing the ground for it to happen.
[40:15.000 --> 40:20.000]  We need to have a serious discussion about this and Congress needs to talk about it.
[40:20.000 --> 40:26.000]  Governors need to talk about it. Pastors, corporate leaders, individuals.
[40:26.000 --> 40:31.000]  We all need to be discussing this and putting this front and center.
[40:31.000 --> 40:39.000]  And remember, when you bring this up and say, hey, I'm concerned that you're out there saying Biden may do this and Biden's looking at doing this
[40:39.000 --> 40:45.000]  for, quote, even a financial emergency, they're going to say how dare you question that.
[40:45.000 --> 40:54.000]  But I just showed you last segment, the Brennan Center, very respected, hooked into the Justice Department, laying out these powers and saying they're dangerous.
[40:54.000 --> 40:58.000]  And then we have this stack of news. Here's the Atlantic.
[40:58.000 --> 41:02.000]  Again, the alarming scope of the president's emergency powers.
[41:02.000 --> 41:12.000]  From seizing control of the Internet, declaring martial law, President Trump may legally do all kinds of extraordinary things.
[41:12.000 --> 41:20.000]  And the article goes through it, but just imagine the name Biden when you're hearing about Trump.
[41:20.000 --> 41:30.000]  Documents reveal secret U.S. plans for apocalyptic scenarios when the president may activate wartime powers for national security emergencies and even suspend Congress.
[41:30.000 --> 41:35.000]  That's in this MSM article going back to 1970.
[41:35.000 --> 41:38.000]  And boy, is it pertinent and important.
[41:38.000 --> 41:47.000]  Today, here's the current latest article from a few days ago on May 26, The New York Times, The Washington Post, another big one as well.
[41:47.000 --> 41:52.000]  So we've covered that information, but I'm telling you, we're going to be drilling through the executive orders.
[41:52.000 --> 41:53.000]  We're going to be reading them.
[41:53.000 --> 42:05.000]  We're going to be covering them this week on the weekday show and trying to set brush fires in the minds of men and women everywhere to have a serious discussion about this before they launch the pretext for it.
[42:05.000 --> 42:09.000]  We should be debating and discussing and brainstorming and wargaming.
[42:09.000 --> 42:17.000]  What is the pretext of that going to be absolutely beyond essential?
[42:17.000 --> 42:28.000]  Now, when we come back, I don't like the fact that Putin invaded Ukraine, and I've said that since day one.
[42:28.000 --> 42:30.000]  But I understand why Putin did.
[42:30.000 --> 42:34.000]  Even the Pope came out and said NATO started the fight over through their government.
[42:34.000 --> 42:42.000]  The Ukrainian government eight years ago was attacking Russian areas, but the corporate media spinning things and acting like the Russians have been losing.
[42:42.000 --> 42:43.000]  They've not been losing.
[42:43.000 --> 42:45.000]  And now they're finally admitting that.
[42:45.000 --> 42:49.000]  What does that portend, ladies and gentlemen, on the other side?
[42:49.000 --> 42:52.000]  This is a big, big deal.
[42:52.000 --> 42:56.000]  And we also have major governments around the world saying jail time for disinformation.
[42:56.000 --> 42:58.000]  Stay with us.
[42:58.000 --> 43:10.000]  Ladies and gentlemen, there are a lot of natural compounds out there that turbo charge and boost our stamina, our energy, our libido that are also amazing pre or post workouts.
[43:10.000 --> 43:15.000]  And we went out and looked at the top brands, the top reviews and came out with alpha power.
[43:15.000 --> 43:22.000]  Now, it's so hard to source good, clean herbs like we have in this that it's been sold out for more than six months.
[43:22.000 --> 43:27.000]  But now alpha power is back in stock at infowarstore.com at 40% off.
[43:27.000 --> 43:33.000]  Go to infowarstore.com and read about these compounds and ingredients for yourself and then try it for yourself.
[43:33.000 --> 43:38.000]  Now, the formula is made for men, but it does amazing things for women as well.
[43:38.000 --> 43:40.000]  Find out what just one of the ingredients does.
[43:40.000 --> 43:43.000]  LJ100 and then go on from there.
[43:43.000 --> 43:50.000]  Alpha power, exclusively available right now, 40% off at infowarstore.com and it funds the info war.
[43:50.000 --> 43:52.000]  You are really missing out.
[43:52.000 --> 43:56.000]  If you don't experience what alpha power does, it has improved my life.
[43:56.000 --> 43:59.000]  So many others just incredible levels.
[43:59.000 --> 44:08.000]  Ladies and gentlemen, we have contracted with one of the top companies in the United States that supplies the Pentagon, the military, the CIA, the FBI, you name it.
[44:08.000 --> 44:15.000]  With super high quality Faraday cages for cell phones, laptops, iPads, even huge bags for multiple desktops.
[44:15.000 --> 44:22.000]  This is so critical, ladies and gentlemen, going into the future with contact tracers and the New World Order.
[44:22.000 --> 44:24.000]  Everything is about tracking you and your family.
[44:24.000 --> 44:34.000]  And we have this high quality Made America product line exclusively available private label by us known as Redux at infowarstore.com.
[44:34.000 --> 44:37.000]  So go to infowarstore.com and check out Redux.
[44:37.000 --> 44:39.000]  It's our first big run.
[44:39.000 --> 44:42.000]  We've made a major investment to have this produced and ready.
[44:42.000 --> 44:48.000]  And it's now exclusively available to you at a very low price at infowarstore.com.
[44:48.000 --> 44:58.000]  Check your privacy from government, the UN, globalist contact tracers, hackers, criminals, you name it with Redux exclusively available at infowarstore.com.
[44:58.000 --> 45:04.000]  I want to thank all of you over the years who have supported Info Wars financially with word of mouth and prayer.
[45:04.000 --> 45:12.000]  All the success that we've had together against the globalists and the fact that we're not caught flat footed during their major takeover is because of you.
[45:12.000 --> 45:15.000]  Humanity has a real fighting chance.
[45:15.000 --> 45:22.000]  I just want to thank you all for buying products at infowarstore.com like books and films and supplements and water filtration, air filtration so much more.
[45:22.000 --> 45:29.000]  But for those of you that want to actually give us a straight donation so we get almost 100% of the money to fund our operation during this critical time,
[45:29.000 --> 45:35.000]  go to infowarstore.com and right at the top you'll see a link to make a straight donation.
[45:35.000 --> 45:41.000]  A one time donation of $5, $10, $50 or a recurring donation you can cancel anytime.
[45:41.000 --> 45:49.000]  I want to thank all of you that have donated and I want to encourage those of you out there that want to support freedom to take action now and be part of the global awakening,
[45:49.000 --> 45:56.000]  the new renaissance that's countering the great reset by going to infowarstore.com and clicking on the donate button and giving today.
[45:56.000 --> 46:12.000]  Thank you so much for your support. Please take action.
[46:26.000 --> 46:31.000]  We are practically half the population wanting to lock the unvaccinated up in camps.
[46:31.000 --> 46:37.000]  The traders know they can shut us down by force but that would accelerate the awakening exponentially.
[46:37.000 --> 46:44.000]  So be it. Make them silence us by force. This is the final battle of the information war.
[46:44.000 --> 46:50.000]  Give now. Buy products. Donate. Before everything changes.
[46:50.000 --> 47:00.000]  We need you to carry us through to the end. Victory or death, go now to infowarstore.com.
[47:00.000 --> 47:10.000]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[47:10.000 --> 47:23.000]  In October of last year, months before the invasion, I predicted it. How did I do that?
[47:23.000 --> 47:29.000]  From the front lines of the information war, it's Alex Jones.
[47:29.000 --> 47:36.000]  I want to teach you how I'm able to predict it. The globalists don't hide any of this and when you know the signs, you know the future.
[47:36.000 --> 47:47.000]  Ladies and gentlemen, here's the clip from October of last year, a full five months before the Russians launched the invasion.
[47:47.000 --> 47:58.000]  But we're looking at a giant war in February right now. Currently that's the projections with the top people on the earth who claim they're not with the New World Order Combine.
[47:58.000 --> 48:09.000]  He is war in February. And this is the type of time like right before World War One, right before World War Two, when everything kicks off.
[48:09.000 --> 48:22.000]  And I hope that doesn't happen. But currently that is the trajectory we're on and there is a consensus on that.
[48:22.000 --> 48:30.000]  Now, I didn't just have sources. I could also see the pre-programming from Russia and from the West, what was going to happen.
[48:30.000 --> 48:39.000]  And I could see it two weeks ago. It wasn't hard to say. When the Pope, who's a total New World Order globalist, came out and said, okay, NATO started the fight eight years ago.
[48:39.000 --> 48:48.000]  They overthrew the elected president. They've been attacking Russian held areas on the eastern border of Ukraine with Russia. This needs to stop.
[48:48.000 --> 48:54.000]  And that means that the West pumped tens of billions of dollars of weapons in there.
[48:54.000 --> 49:02.000]  They had U.S. Special Forces and EU Special Forces directing attacks on the Russians.
[49:02.000 --> 49:08.000]  And they did kill probably 30, 40,000 Russians as a low estimate. And the Russians aren't quitting.
[49:08.000 --> 49:19.000]  And the Russians, it turns out, which is an old dirty move to do, put in their conscripts first to sap up the weapons and kill the enemy's best troops.
[49:19.000 --> 49:27.000]  And now the Russians are pouring their better troops in. And it is curtains for Zelensky and others.
[49:27.000 --> 49:32.000]  That's why Zelensky came out and said, okay, I need to talk to Putin. We need to stop this to cease to end now.
[49:32.000 --> 49:40.000]  Because all those cities on the eastern border with Russia that were moving weapons in and that were ethically exterminating Russians,
[49:40.000 --> 49:49.000]  who are basically half the population of Ukraine, and Russia was founded in Ukraine, folks on record, the Russians are taking the key railways, the keyboards.
[49:49.000 --> 49:58.000]  And it looks like they're going to take about 20 percent in a buffer zone along the southern border on the Black Sea, up around to the east with Russia,
[49:58.000 --> 50:09.000]  and then to the north with Belarus, and to have a zone, a buffer zone, so that NATO in the west cannot continue to run this proxy war.
[50:09.000 --> 50:14.000]  And so that's what Putin said when he invaded he was doing. He said it was a police action.
[50:14.000 --> 50:20.000]  Russia believes they could never absorb all of Ukraine. That would be like the Russians trying to absorb and take over the U.S.
[50:20.000 --> 50:25.000]  People are going to fight back, just like we couldn't beat the Vietnamese. The Russians would lose.
[50:25.000 --> 50:34.000]  But in areas that are 95 percent Russian, and in key roads and key ports and key railways, the Russians are winning big time.
[50:34.000 --> 50:42.000]  They've been winning the whole time, but at huge losses.
[50:42.000 --> 50:48.000]  So the question is, what's going to come out of this now?
[50:48.000 --> 50:54.000]  Henry Kissinger came out on Thursday and said it's time to make a deal. It's time to give Russia part of Ukraine.
[50:54.000 --> 51:01.000]  And then they didn't get their messaging straight on Ukrainian TV, and they called him a traitor and an enemy of the Ukrainians.
[51:01.000 --> 51:09.000]  Because if you say that as a Ukrainian citizen who's either mixed Russian, Germanic, because that's what it is, Slavic, Germanic, mixed,
[51:09.000 --> 51:16.000]  or whether you're pure German or Germanic, or whether you're pure Russian, you get arrested.
[51:16.000 --> 51:22.000]  And Associated Press is like, look, they're arresting women and men at their houses because they said we need a peace deal.
[51:22.000 --> 51:29.000]  So now when Henry Kissinger says we need peace, we need to stop this, oh my gosh, he needs to be arrested too,
[51:29.000 --> 51:32.000]  when it's Henry Kissinger's one of the top globalists.
[51:32.000 --> 51:39.000]  They are losing. They know they are losing. And they don't know what to do.
[51:39.000 --> 51:46.000]  Zelensky signals Don Boss could soon fall. Incredibly difficult Russian onslaught.
[51:46.000 --> 51:54.000]  In stunning shift, Washington Post admits catastrophic conditions collapsing morale of Ukraine frontline forces.
[51:54.000 --> 52:00.000]  Here's the article, are Russians gains in East Ukraine turning the tide of the war? And they admit it is.
[52:00.000 --> 52:07.000]  Ukrainian volunteer fighters in the East feel abandoned. Ukraine needs to face reality and talk to Putin.
[52:07.000 --> 52:11.000]  Zelensky says two days after Kissinger says it.
[52:11.000 --> 52:18.000]  So that is a big, big deal.
[52:18.000 --> 52:22.000]  And notice, it's like a light switch got flipped off two weeks ago.
[52:22.000 --> 52:30.000]  Right when the Pope said that, I said, this is the end, folks, they're getting ready to make a deal and get over part of Ukraine to the Russians.
[52:30.000 --> 52:45.000]  Light switches flipped and we go from COVID to Ukraine to a monkeypox, COVID to Ukraine to a monkeypox and people aren't buying the monkeypox either.
[52:45.000 --> 52:51.000]  So what are they going to do next? Well, they're saying imminent cyber attacks, imminent power outages.
[52:51.000 --> 53:05.000]  You see, this is bigger than COVID or bigger than monkeypox or bigger than Ukraine, bigger than Russia, bigger than America, bigger than Mexico, bigger than Germany, bigger than Japan, bigger than Chile, bigger than South Africa, bigger than Zimbabwe.
[53:05.000 --> 53:20.000]  It's a global group of corporations sitting back thinking what new scam, what new crisis can we run to consolidate power and control and bring in our world ID and cover up that it's us behind the financial collapse and the inflation.
[53:20.000 --> 53:27.000]  So that's why this is so huge, and it's why we've got to really be thinking about it, because none of this is working for the New World Order.
[53:27.000 --> 53:36.000]  Putin came out with latter off their foreign minister today and said to the UN, the Western establishment is dead.
[53:36.000 --> 53:38.000]  We've got the article right here.
[53:38.000 --> 53:40.000]  There people don't believe in them.
[53:40.000 --> 53:42.000]  We don't want to dominate the world.
[53:42.000 --> 53:56.000]  We want a New World Order based on mutual working with other nations and based on not selling weapons, but based on commerce, and we want to have a debate at the UN.
[53:56.000 --> 54:02.000]  They're asking the UN to have a debate about that on a new New World Order.
[54:02.000 --> 54:12.000]  The globalist system, you have basically lost. We want to have a peace deal with you now, whether you believe that's going to happen or not.
[54:12.000 --> 54:29.000]  What incredible developments that is in the Russian news and is in the UN news, but you go around the US news, zero, zero coverage of these massive debates and discussions that are happening.
[54:29.000 --> 54:32.000]  Because they don't want a New World Order of peace and justice and freedom.
[54:32.000 --> 54:40.000]  They want a New World Order of a cashless society, permanent collapse, world government, world ID card.
[54:40.000 --> 54:42.000]  And that leads me to this.
[54:42.000 --> 54:47.000]  I'm a little bit behind. I was going to hit second amendment when we start the next hour, but I'm going to do that at 15 after now.
[54:47.000 --> 54:57.000]  In the first couple of segments of hour one, I'm going to hit the rest of the story on this, because we've got these clips, so many of them that we haven't gotten to,
[54:57.000 --> 55:04.000]  from the last week's meeting in Geneva, Switzerland, of the World Economic Forum, now in public command of the UN.
[55:04.000 --> 55:11.000]  The UN signed a treaty two weeks ago saying, oh, we take orders basically.
[55:11.000 --> 55:16.000]  We've merged with the World Economic Forum, this shadowy mouthpiece of the Bilderberg group.
[55:16.000 --> 55:22.000]  So we've got those clips and so much more coming up on that front as well.
[55:22.000 --> 55:29.000]  But like I said, we're going to be opening the phones up throughout the week on this.
[55:29.000 --> 55:31.000]  We have a bunch of special guests on it.
[55:31.000 --> 55:33.000]  This is a big deal.
[55:33.000 --> 55:39.000]  But it has been announced by the World Economic Forum, the global ID, made some global vaccine passport.
[55:39.000 --> 55:42.000]  And people are really asking all over Twitter, I see it.
[55:42.000 --> 55:44.000]  People sent it to me like, Jones is one of them.
[55:44.000 --> 55:53.000]  How did he know they would announce it with the social credit score through the vaccine passport, a carbon tax and a universal basic income?
[55:53.000 --> 55:55.000]  How the hell did he know that?
[55:55.000 --> 55:59.000]  Because they've been writing books and white papers and saying it.
[55:59.000 --> 56:06.000]  And over a year ago, the World Economic Forum put out promo videos saying, you'll pay a carbon tax to be on an airline.
[56:06.000 --> 56:08.000]  You'll have to have a global ID to travel.
[56:08.000 --> 56:10.000]  It'll be a vaccine passport.
[56:10.000 --> 56:12.000]  It'll be a green carbon tax.
[56:12.000 --> 56:18.000]  And there'll be a social credit score tied to your universal basic income to make sure you behave right.
[56:18.000 --> 56:22.000]  They put out damn press releases.
[56:22.000 --> 56:26.000]  And so I'd love to sit up here and go, I'm the great...
[56:26.000 --> 56:30.000]  Who was that character Johnny Carson had?
[56:30.000 --> 56:33.000]  The great, the great Karnak.
[56:33.000 --> 56:36.000]  And he would like, hold up letters from listeners and guess what they were?
[56:36.000 --> 56:40.000]  He would wear like a, you know, big purple turban on his head.
[56:40.000 --> 56:42.000]  This is not Grand Karnak.
[56:42.000 --> 56:44.000]  And that's why I keep hammering that.
[56:44.000 --> 56:50.000]  That I want our governors and legislatures in general public to figure out who the globalists are.
[56:50.000 --> 56:53.000]  How do the real enemy identify them?
[56:53.000 --> 57:00.000]  And once people again know they're the ones causing most of the problems, that will really fix a lot of humanities issues.
[57:00.000 --> 57:04.000]  Once we look at special corporate interest and how they're manipulating governments.
[57:04.000 --> 57:10.000]  So that's all in hour number two today that Owen Schreuer in one hour takes over.
[57:10.000 --> 57:16.000]  He's going to cover dims, exploiting the tragedy to distract from the economic collapse they've engineered under the great reset.
[57:16.000 --> 57:20.000]  The rage at the NRA convention, some of those incredible clips and phone calls with Owen Schreuer.
[57:20.000 --> 57:25.000]  And they only have six minutes of ads an hour, only local ads.
[57:25.000 --> 57:27.000]  See, that's already on TV works.
[57:27.000 --> 57:29.000]  The stations and the old models were still on that.
[57:29.000 --> 57:31.000]  They get half the ads.
[57:31.000 --> 57:34.000]  We just give the stations their ads on Sunday Live.
[57:34.000 --> 57:36.000]  And I'm planning to move to that model soon on my own shows.
[57:36.000 --> 57:38.000]  We have less ads every hour.
[57:38.000 --> 57:40.000]  Regardless, hour number two straight ahead.
[57:40.000 --> 57:42.000]  Please tell folks tune in now.
[57:42.000 --> 57:44.000]  That's how we override the sensors.
[57:44.000 --> 57:45.000]  That's how we achieve victory.
[57:45.000 --> 58:12.000]  Please stay with us.
[58:15.000 --> 58:40.000]  Thank you.
[58:40.000 --> 58:45.000]  And again, this shirt is limited edition as well.
[58:45.000 --> 58:47.000]  We're doing one more run and then no more infowarstore.com.
[58:47.000 --> 58:49.000]  Get yours today.
[58:49.000 --> 58:53.000]  Introducing the newest product from infowarslife.com.
[58:53.000 --> 58:57.000]  We are so proud of infowarslife immune support.
[58:57.000 --> 59:04.000]  It is concentrated herbs that are known on record to supercharge our body's natural defenses.
[59:04.000 --> 59:09.000]  Ladies and gentlemen, this is something that is essential and everyone should get.
[59:09.000 --> 59:11.000]  And on top of it, it funds the info war.
[59:11.000 --> 59:13.000]  So that's the 360 win.
[59:13.000 --> 59:15.000]  Let me tell you what is in this amazing product.
[59:15.000 --> 59:17.000]  Concentrated elderberry.
[59:17.000 --> 59:19.000]  Concentrated echinacea.
[59:19.000 --> 59:21.000]  Concentrated astragalus root.
[59:21.000 --> 59:22.000]  Angelica root.
[59:22.000 --> 59:23.000]  Loetium root.
[59:23.000 --> 59:24.000]  And more.
[59:24.000 --> 59:26.000]  This product is incredible.
[59:26.000 --> 59:34.000]  Info wars immune support exclusively available at infowarsstore.com is funding the tip of the spear, the info wars operation.
[59:34.000 --> 59:35.000]  It is a 360 win.
[59:35.000 --> 59:42.000]  The only way you fail is by not taking action and getting this product to boost your body's natural defenses and keep info wars on the air.
[59:42.000 --> 59:44.000]  The globalists are hoping you don't take action.
[59:44.000 --> 59:45.000]  Take action now.
[59:45.000 --> 59:47.000]  infowarsstore.com.
[59:52.000 --> 59:56.000]  If you are receiving this transmission, you are the resistance.
[59:59.000 --> 1:00:00.000]  Words.
[1:00:00.000 --> 1:00:04.000]  Four little words that are hurting America's pandemic response.
[1:00:04.000 --> 1:00:05.000]  What are they?
[1:00:05.000 --> 1:00:06.000]  Do your own research.
[1:00:06.000 --> 1:00:09.000]  Can we all stop saying I need to do my own research?
[1:00:09.000 --> 1:00:14.000]  Nobody who's saying that is getting in the lab and doing tests.
[1:00:14.000 --> 1:00:17.000]  At best, you're reading other people's research.
[1:00:17.000 --> 1:00:23.000]  And more likely, you're probably reading a tweet about a headline, about a blog post, about someone else's research.
[1:00:23.000 --> 1:00:25.000]  That phrase, do your own research.
[1:00:25.000 --> 1:00:29.000]  It's popping up a lot in conversations about coronavirus and about COVID vaccines.
[1:00:29.000 --> 1:00:31.000]  But this go it alone approach doing your own research.
[1:00:31.000 --> 1:00:34.000]  It seems so innocent, but it can have serious consequences.
[1:00:34.000 --> 1:00:38.000]  In other words, CNN says, don't do your own research.
[1:00:38.000 --> 1:00:39.000]  What are the roots of this phrase?
[1:00:39.000 --> 1:00:41.000]  I feel like I used to hear it around QAnon craziness.
[1:00:41.000 --> 1:00:48.000]  Well, today, the deer antler was sentenced to 41 months in prison for his role in the capital riots.
[1:00:51.000 --> 1:00:58.000]  The same phrase through your research is being pedaled by some people who do have ill intent, who want to push you down certain paths,
[1:00:58.000 --> 1:01:02.000]  who want to either for profit reasons or for geopolitical reasons,
[1:01:02.000 --> 1:01:07.000]  want to make sure that you are reading certain information as opposed to listening to authoritative sources.
[1:01:12.000 --> 1:01:16.000]  So what should be an actually smart idea, especially in the U.S.,
[1:01:16.000 --> 1:01:22.000]  with such a lack of funding and media literacy and all of these issues, it can really actually help make things worse.
[1:01:22.000 --> 1:01:24.000]  Yeah, it's a sneaky little phrase.
[1:01:24.000 --> 1:01:28.000]  Here's the four words that are helping to spread vaccine misinformation. Are you ready?
[1:01:28.000 --> 1:01:30.000]  According to CNN, here they are.
[1:01:30.000 --> 1:01:32.000]  Do your own research.
[1:01:32.000 --> 1:01:34.000]  Do your own research.
[1:01:34.000 --> 1:01:35.000]  Do your own research.
[1:01:35.000 --> 1:01:37.000]  It's a sneaky little phrase.
[1:01:37.000 --> 1:01:38.000]  That's right, folks.
[1:01:38.000 --> 1:01:41.000]  CNN here to tell you, don't look into these things for yourself.
[1:01:41.000 --> 1:01:42.000]  Don't do your own research.
[1:01:42.000 --> 1:01:44.000]  Don't question anything.
[1:01:44.000 --> 1:01:45.000]  Just listen and obey.
[1:01:45.000 --> 1:01:52.000]  He could have undermined the messaging so much that he can actually control exactly what people think.
[1:01:52.000 --> 1:01:54.000]  And that is our job.
[1:01:54.000 --> 1:02:00.000]  Once again, the media is clamoring to tell you to stop looking into stuff for yourself.
[1:02:00.000 --> 1:02:01.000]  Do your own research.
[1:02:01.000 --> 1:02:04.000]  Those four words are hurting the U.S. pandemic response.
[1:02:04.000 --> 1:02:08.000]  CNN chief media correspondent Brian Stelter said on Reliable Sources Sunday,
[1:02:08.000 --> 1:02:13.000]  Brian Stelter visits school kids to teach them to spot misinformation.
[1:02:13.000 --> 1:02:16.000]  He's telling them don't even trust satire, don't trust anything, but CNN.
[1:02:16.000 --> 1:02:21.000]  Reducing a liar's reach is not the same as censoring freedom of speech.
[1:02:21.000 --> 1:02:28.000]  In the Senate of the United States, for an outright ban, picking up every one of them,
[1:02:28.000 --> 1:02:31.000]  Mr. and Mrs. America, turn them all in.
[1:02:31.000 --> 1:02:32.000]  I would have done it.
[1:02:32.000 --> 1:02:36.000]  When they give us that inch, that bump-stock ban, we will take a mile.
[1:02:36.000 --> 1:02:41.000]  You've heard people say, you'll have to pry my gun for my cold bad hands.
[1:02:41.000 --> 1:02:43.000]  Okay.
[1:02:45.000 --> 1:02:48.000]  We have introduced an assault weapons ban.
[1:02:48.000 --> 1:02:52.000]  I'm talking about a ban on assault rifles.
[1:02:52.000 --> 1:02:56.000]  If you listen real close, you can hear the people in power shaking.
[1:02:56.000 --> 1:03:01.000]  It's not enough to simply have a catchy ad on a Monday and then only do it every Monday.
[1:03:01.000 --> 1:03:08.000]  We need to do this every day of the week and just really brainwash people into thinking about guns in a vastly different way.
[1:03:08.000 --> 1:03:10.000]  Enough. Enough. Enough.
[1:03:10.000 --> 1:03:13.000]  We say no more.
[1:03:13.000 --> 1:03:17.000]  I'm the guy that originally wrote the assault weapons ban that became law.
[1:03:17.000 --> 1:03:19.000]  The gentleman just walked up to me in his picture line.
[1:03:19.000 --> 1:03:25.000]  He says, I have an AR-15 and I will turn this in if it means saving the lives of our kids.
[1:03:25.000 --> 1:03:28.000]  Hell, yes. We're going to take your AR-15, your AK-47.
[1:03:28.000 --> 1:03:33.000]  We're not going to allow it to be used against fellow Americans anymore.
[1:03:33.000 --> 1:03:36.000]  Do you think Trump is responsible for what happened?
[1:03:36.000 --> 1:03:42.000]  I said, well, look, I mean, obviously he didn't pull the trigger, but he's certainly been tweeting out the ammunition.
[1:03:42.000 --> 1:03:47.000]  I'm incredibly saddened and it's very hard to think about this.
[1:03:51.000 --> 1:03:55.000]  I'm tired of hearing people all they have to offer is thoughts and prayers.
[1:03:55.000 --> 1:03:59.000]  In my faith, people say faith without works is dead.
[1:03:59.000 --> 1:04:06.000]  So we will find a way, but the reason we have a problem right now is we've let the corporate gun lobby frame this debate.
[1:04:06.000 --> 1:04:09.000]  It is time that we have bold actions and a bold agenda.
[1:04:09.000 --> 1:04:14.000]  Over 90% of the American people think we have to get assault weapons off the street, period,
[1:04:14.000 --> 1:04:17.000]  and we have to get buybacks and get them out of their basements.
[1:04:17.000 --> 1:04:21.000]  Everyone up here favors an assault weapon ban.
[1:04:21.000 --> 1:04:27.000]  Everyone up here favors magazine limitations, which by the way would have made a huge difference.
[1:04:27.000 --> 1:04:29.000]  We can ban the weapons of war.
[1:04:29.000 --> 1:04:32.000]  It's about ending the sales of assault weapons into our communities.
[1:04:32.000 --> 1:04:37.000]  Those weapons of war were designed to kill people as effectively and as efficiently as possible.
[1:04:37.000 --> 1:04:40.000]  They should belong on the battlefield and not in our communities.
[1:04:40.000 --> 1:04:47.000]  But I also believe that a lot of gun owners would agree that AK-47s belong in the hands of soldiers, not in the hands of criminals.
[1:04:47.000 --> 1:04:53.000]  By the way, you can't own the following weapons, period. They cannot be sold anymore.
[1:04:53.000 --> 1:04:58.000]  Like if you're going to take people's guns away, wait till you get elected, then take the guns away.
[1:04:58.000 --> 1:05:04.000]  Your voice counts.
[1:05:04.000 --> 1:05:09.000]  When you share information, be it over the Internet or in person, it changes the world.
[1:05:09.000 --> 1:05:13.000]  The globalists know their agenda is unpopular. They know you're angry.
[1:05:13.000 --> 1:05:19.000]  And now to get around big tech, it's more important than ever that we use every tool we've got.
[1:05:19.000 --> 1:05:24.000]  Well, ladies and gentlemen, if you sign up for our free news and show alerts, you can then take those alerts,
[1:05:24.000 --> 1:05:29.000]  those articles and those live feeds, both the regular shows and special reports, and share them with everyone you know.
[1:05:29.000 --> 1:05:37.000]  Take action now by texting the word NEWS to 833-470-0438.
[1:05:37.000 --> 1:05:41.000]  That's 833-470-0438 for Info Wars Emergency News Alerts.
[1:05:41.000 --> 1:05:48.000]  Or text the word SHOW to 833-470-0438 and receive live show notifications.
[1:05:48.000 --> 1:05:53.000]  Take action now, rate the chain reaction, and tell others to share those texts.
[1:05:53.000 --> 1:06:00.000]  Get news alerts at 833-470-0438.
[1:06:24.000 --> 1:06:35.000]  On this broadcast, that if it gets out to the world, we'll defeat the criminals that run this global New World Order system,
