[00:00:00.229 --> 00:00:02.590]  Biden in Syracuse yesterday.
[00:46:08.731 --> 00:46:14.691]   say $965 million, almost a billion, and now the judge, the lawyers are asking,
[00:46:14.691 --> 00:46:19.090]   in these extra damages that deal with unfair trade practices,
[00:46:19.090 --> 00:46:25.491]  that the judge has found me guilty on, not the jury, for $2,750,000,000.
[00:46:25.491 --> 00:46:31.410]  Excuse me, $2,750,000.
[00:46:31.379 --> 00:46:34.020]  It's hard to get numbers like that right.
[00:46:34.360 --> 00:46:39.081]  That is meant to demoralize you, to break your will, to think that we've got to give up, that it's all over.
[00:46:39.201 --> 00:46:39.842]  It's the opposite.
[00:46:40.202 --> 00:46:44.523]  It totally woke up almost everybody and blew up in their face spectacularly.
[00:46:44.803 --> 00:46:52.566]  And the big Democrat Party PR firm that now admits they ran the whole show is running around like a chicken with their head cut off, saying, well, we didn't really want 2.
[00:46:54.606 --> 00:46:55.067]  $7.5 trillion.
[00:46:55.467 --> 00:46:56.527]  But they did ask for it.
[00:46:56.808 --> 00:47:02.831]  And they've already got their quote billion, which they'll never get because I'll never make $100 million profit in my life.
[00:47:03.351 --> 00:47:03.951]  Never did.
[00:47:04.772 --> 00:47:05.732]  It's just insane.
[00:47:06.412 --> 00:47:07.253]  And the media spends it.
[00:47:07.613 --> 00:47:09.114]  You're saying you won't pay.
[00:47:09.434 --> 00:47:11.155]  Yes, because I can't.
[00:47:11.355 --> 00:47:12.115]  Because it's made up.
[00:47:12.355 --> 00:47:14.616]  Because it's a fraud to intimidate and scare everybody.
[00:47:14.696 --> 00:47:17.998]  And they know on appeal, it's going to be overturned.
[00:47:18.298 --> 00:47:21.300]  So the bankruptcy's there just to show the world we don't have all this extra money.
[00:47:22.148 --> 00:47:23.369]  And it's an emergency reorganization.
[00:47:23.430 --> 00:47:25.132]  Then there's two years of appeals.
[00:47:25.612 --> 00:47:34.262]  So the only group that can take us off air is you, the viewers and listeners, if you don't go to infowarestore.com and get incredible products.
[00:47:34.583 --> 00:47:36.004]  Take the Great Reset and the War for the World.
[00:47:36.244 --> 00:47:37.806]  Get signed or unsigned copies.
[00:47:38.959 --> 00:47:42.763]  At Infowarshore.com, the signed copy is a fundraiser to keep us on air.
[00:47:43.223 --> 00:47:48.208]  And we are right there slipping back into the red right now, and the bankruptcy could fail if you don't support.
[00:47:48.448 --> 00:47:53.753]  So I'm asking you now, get the historic book that's been number one in the last few months off and on on Amazon.
[00:47:54.213 --> 00:48:00.038]  Not just nonfiction, not just fiction, not just political, not just political science.
[00:48:00.218 --> 00:48:01.659]  Number one in the world.
[00:48:01.940 --> 00:48:05.583]  The Great Reset and the War for the World at InfoWarStore.com.
[00:48:05.923 --> 00:48:10.887]  That's the place to get it so that we get the funds into this operation.
[00:48:11.488 --> 00:48:22.950]   When you come in and you get the signed copies at InfoWarStore.com, All of that money goes to keep free speech on the air, and to keep the crew here, and to make us solvent for the bankruptcy.
[00:48:23.530 --> 00:48:23.850]  Okay?
[00:48:23.870 --> 00:48:24.891]  So they can't take us off air.
[00:48:25.472 --> 00:48:33.137]  So that's why you should get the signed copy for $99, if not for 20-something bucks, get the unsigned copy, whatever you can afford, but do it now at InfoWarsTore.com.
[00:48:34.438 --> 00:48:37.480]  And I thank you all for your past, current, and future support.
[00:48:37.800 --> 00:48:41.623]  Because this is the real fight, this is a war, and wars take money, and we're going to win this thing.
[00:48:41.863 --> 00:48:42.544]  We can't give up.
[00:48:43.607 --> 00:48:45.527]  Right as InfoWars is more credible than ever.
[00:48:45.547 --> 00:48:46.408]  We're exploding everywhere.
[00:48:46.428 --> 00:48:48.028]  People are saying Alex Jones is right everywhere.
[00:48:48.168 --> 00:48:50.068]  Our information's everywhere going totally viral.
[00:48:50.108 --> 00:48:51.429]  We're winning thanks to you.
[00:48:51.749 --> 00:48:54.609]  Now's the time to press the attack in the InfoWars.
[00:48:54.729 --> 00:48:57.810]  And then finally, it's got to end in the next couple days, and it will.
[00:48:58.790 --> 00:49:02.851]  Biggest sale of the year, the InfoWars, Save InfoWars 1776 Super Sale.
[00:49:02.871 --> 00:49:03.831]  Save up to 60% off with promo code 1776.
[00:49:03.691 --> 00:49:09.691]  sale, save up to 60% off with promo code 1776.
[00:49:09.691 --> 00:49:16.891]   The lowest discount is 50, because everything is 40-50% off with a promo code 1776, an additional
[00:49:16.891 --> 00:49:17.891]  10%.
[00:49:17.891 --> 00:49:22.931]   That makes a 40% off, a 50% off, that makes a 50% off, a 60% off, and it's all there.
[00:49:22.906 --> 00:49:30.748]  Survival Shield X3 for your entire body, your cells, your telomeres, your energy, your stamina, your libido, your immune system.
[00:49:31.208 --> 00:49:32.229]  It's there.
[00:49:33.209 --> 00:49:33.650]  Right now.
[00:49:34.150 --> 00:49:42.478]  Survival Shield X3, Vitamin Mineral Fusion, DNA Force Plus, and more at InfoWarStore.com or by calling toll-free 888-253-3139.
[00:49:42.598 --> 00:49:43.919]  This is a fight.
[00:49:44.200 --> 00:49:44.840]  We're winning it.
[00:49:45.040 --> 00:49:47.363]  But we need you to get these products to keep us on air.
[00:49:47.403 --> 00:49:48.444]  Plus, they're amazing products.
[00:49:48.704 --> 00:49:51.026]  Get them now at InfoWarStore.com.
[00:49:51.326 --> 00:49:54.930]  We'll be right back as the InfoWar surges forward!
[00:49:56.443 --> 00:50:07.628]  So hiding in plain view is the biggest crime against humanity ever committed and they're just rolling it out there and plausibly setting up the deniability when they release.
[00:50:08.795 --> 00:50:13.638]  A weaponized COVID that kills 80% of humans that come in contact with it.
[00:50:13.879 --> 00:50:17.781]  And they're even telling people where the bioweapons are at universities.
[00:50:18.682 --> 00:50:20.843]  So when they release it, they can claim some terrorists did it.
[00:50:21.084 --> 00:50:21.644]  Guaranteed!
[00:50:22.044 --> 00:50:22.685]  It's their plan.
[00:50:23.465 --> 00:50:26.107]  The last three years is just a drill for when they really kill everybody.
[00:50:27.688 --> 00:50:29.449]  You know Alex Jones is almost always right, folks.
[00:50:29.469 --> 00:50:30.390]  We don't even mean to tell you this.
[00:50:30.670 --> 00:50:31.550]  We're going to lay it all out.
[00:50:31.630 --> 00:50:32.651]  Congress has warned about it.
[00:50:32.931 --> 00:50:34.652]  But why is the FBI not raiding them?
[00:50:34.972 --> 00:50:37.634]  Why are they not taking it to Fort Detrick and incinerating it?
[00:50:38.094 --> 00:50:39.695]  Why are they not getting rid of it safely?
[00:50:39.915 --> 00:50:41.536]  Why are they not arresting the people doing it?
[00:50:41.756 --> 00:50:44.118]  Because the eugenics death cult is in control.
[00:50:45.198 --> 00:50:48.360]  And remember, to be able to carry this out, they've got to have us off the air.
[00:50:49.301 --> 00:50:51.682]  Remember, first they came for Alex Jones.
[00:50:51.702 --> 00:50:56.165]  We're going to play this short special report, and then we're going to go to the biggest news ever.
[00:50:57.856 --> 00:51:04.937]  Alex Jones has been ordered to pay Sandy Hook victims' families nearly one billion dollars!
[00:51:07.029 --> 00:51:08.729]  A billion dollar verdict.
[00:51:08.989 --> 00:51:12.310]  Almost a billion dollars in damages.
[00:51:12.670 --> 00:51:15.771]  965 million dollars in damages.
[00:51:16.171 --> 00:51:17.291]  965 million dollars.
[00:51:17.411 --> 00:51:18.632]  A billion dollars.
[00:51:20.032 --> 00:51:21.732]  100 billion dollars.
[00:51:22.332 --> 00:51:28.134]  This is actually a larger warning for other liars and conspiracy theorists in our society and our politics.
[00:51:28.194 --> 00:51:34.015]  It's a rebuke and a punishment that we believe, according to a lot of legal experts, will set this new precedent.
[00:51:34.175 --> 00:51:42.161]  The mother of George Floyd's daughter now filing a $250 million lawsuit against Kanye West.
[00:51:42.341 --> 00:51:46.925]  Kanye West made, quote, false statements about the manner of Floyd's death.
[00:51:47.325 --> 00:51:55.551]  He says the family could sue for intentional infliction of emotional distress, citing the recent Alex Jones trial as an example.
[00:51:56.132 --> 00:51:59.874]  Alex Jones is patient zero.
[00:52:00.195 --> 00:52:01.396]  Take him out.
[00:52:01.596 --> 00:52:02.757]  Now what does this mean?
[00:52:07.148 --> 00:52:10.451]  Lying and conspiracy theories part of their business model or politics.
[00:52:10.571 --> 00:52:12.632]  Fox News is clearly watching this closely.
[00:52:13.213 --> 00:52:17.677]  They are facing this suit by Dominion Voting Systems for over a billion dollars.
[00:52:19.248 --> 00:52:20.208]  You heard that right.
[00:52:20.748 --> 00:52:23.889]  Billion with a capital BYE!
[00:52:25.289 --> 00:52:26.290]  This is not a trial.
[00:52:26.530 --> 00:52:28.910]  There was no jury trial in this case.
[00:52:29.150 --> 00:52:30.231]  No judge in U.S.
[00:52:30.251 --> 00:52:33.211]  history has ever told somebody what they can and can't say.
[00:52:33.311 --> 00:52:35.972]  Everybody knows you're supposed to get your day in court.
[00:52:36.112 --> 00:52:40.113]  Yet the one person who is being denied any day in court is Alex Jones.
[00:52:40.373 --> 00:52:41.634]  Alex Jones didn't kill anybody.
[00:52:41.774 --> 00:52:58.586]  You were clear in that you had a change of heart, or you believed that you were wrong, or you believed you made a mistake, which I think is admirable, and I think the fact that they want to browbeat you after that is what is so scary, and I think that people out here would do well, if you're watching, to understand that apologies do nothing with these monsters.
[00:52:58.746 --> 00:53:03.850]  The whole purpose of the First Amendment is to keep the government the hell out of the business of speech.
[00:53:04.411 --> 00:53:10.976]  Totally disregarded by the Connecticut courts when they decided to write their Alex Jones rule.
[00:53:11.196 --> 00:53:18.262]  This judge, Barbara Nellis, is a disgrace to the rule of law, a disgrace to the judiciary, a disgrace to the justice system.
[00:53:18.522 --> 00:53:20.504]  So the regime has come for Alex Jones.
[00:53:20.804 --> 00:53:22.926]  They always start with Alex Jones when it comes to these things.
[00:53:23.226 --> 00:53:29.292]  You don't have to be an Alex Jones fan to understand that he is most definitely being made an example of.
[00:53:29.393 --> 00:53:38.262]  The law-industrial complex, in collusion with the media, can work in harmony to completely obliterate somebody financially.
[00:53:38.542 --> 00:53:47.168]  That's a billion dollars for expressing an opinion, which under the prevailing Supreme Court case law, is absolutely protected.
[00:53:47.308 --> 00:53:54.133]  The question is, do they really care about what Alex Jones said, or do they want to destroy Alex Jones?
[00:53:54.433 --> 00:54:02.178]  Do you now believe that the First Amendment is absolute, or do you believe that the First Amendment has limitations?
[00:54:03.199 --> 00:54:07.611]   I believe that the First Amendment The First Amendment is unique in the world.
[00:54:07.631 --> 00:54:09.312]  Most countries don't have that.
[00:54:09.392 --> 00:54:12.373]  I think the United States is the only country that has this, right?
[00:54:12.573 --> 00:54:17.183]  for defamation are liable, then it doesn't have absolutes.
[00:54:17.183 --> 00:54:19.372]  It does have limits. But I wasn't given a free trial.
[00:54:19.372 --> 00:54:23.373]   The First Amendment is unique in the world. Most countries don't have that. I think the United States is the only
[00:54:23.373 --> 00:54:25.373]  country that has this, right?
[00:54:25.373 --> 00:54:30.973]   This enshrined freedom of speech in our highest law. That's what they want to take away.
[00:54:31.218 --> 00:54:32.679]  This is our rights being taken.
[00:54:32.699 --> 00:54:34.360]  This is a Hollywood production.
[00:54:34.380 --> 00:54:35.921]  I'm not saying Sandy Hook didn't have it.
[00:54:35.941 --> 00:54:40.603]  I'm saying the production of what I supposedly did and how big it became and this huge event.
[00:54:40.663 --> 00:54:41.964]  I'm not the Sandy Hook guy.
[00:54:42.304 --> 00:54:46.887]  I'm the guy that wrote the number one best-selling book in the world, The Great Reset and the War for the World.
[00:54:47.227 --> 00:54:48.688]  That's why the globalists hate me.
[00:54:48.508 --> 00:54:55.508]  me is because I'm exposing their corporate worldwide tyranny.
[00:54:55.508 --> 00:55:01.588]  And the real reason they want us off air is for what we do.
[00:55:01.578 --> 00:55:02.499]  We expose their plans.
[00:55:03.340 --> 00:55:05.782]  I told you first that they made it in the lab.
[00:55:05.822 --> 00:55:09.185]  I told you that they were going to kill you with the shots.
[00:55:09.245 --> 00:55:10.647]  I told you they'd bring out a world ID.
[00:55:11.227 --> 00:55:13.630]  And I told you that they were developing stuff far worse.
[00:55:14.656 --> 00:55:25.860]  Then the first COVID-19 they released, it was a beta test, and now they admit at Boston University a month ago, or three weeks ago, that they cooked it up in the last year that kills 80% of humans.
[00:55:26.500 --> 00:55:45.338]   Well now, the reports on Infowars.com, it links to mainstream news in the UK, report potentially lethal new super strain, just like the one that they admit kills 80% of humans, at Boston has been produced at Imperial College London, a
[00:55:45.338 --> 00:55:54.338]   hybridized gain-of-function version, completely, absolutely illegal. At least four labs on two
[00:55:54.338 --> 00:56:00.778]   continents have now constructed non-natural lab-generated viruses that retain the high
[00:56:00.778 --> 00:56:06.978]   immune escape of Omicron and acquire higher severity than Omicron, and that, as such, are
[00:56:06.978 --> 00:56:12.858]   reasonably expected to increase transmission and pathogenesis in humans.
[00:56:11.208 --> 00:56:19.871]  So they kind of whitewash what's happening in the UK, but it's the same mix to create the super strain that kills 80% of those that come in contact with it that was made in Boston.
[00:56:23.286 --> 00:56:29.970]  Outrage as Boston University creates Omicron strain that has a 80% kill rate in humanized mice that act the same as humans.
[00:56:33.453 --> 00:56:35.514]  Quite the sign a protester had.
[00:56:35.594 --> 00:56:41.978]  If my dog got three rabies vaccines in a year and still got rabies, I'd start to ask questions.
[00:56:42.899 --> 00:56:43.079]  Yeah.
[00:56:44.977 --> 00:56:54.179]  Good news, the Representative Roy, Chip Roy, and colleagues call on Republican leadership to investigate CDC's politicization of COVID-19 child vaccine.
[00:56:54.380 --> 00:56:54.621]  Vote.
[00:56:56.604 --> 00:56:59.925]  We even have Ben Shapiro coming out saying he was lied to and shouldn't have taken the shot.
[00:56:59.945 --> 00:57:01.926]  Talk about a rat leaving the sinking ship.
[00:57:01.966 --> 00:57:12.069]  How much money was he paid to push those lies back when he said the vaccine's 95% effective at preventing you from getting the virus and also mitigates the severity of the disease.
[00:57:12.089 --> 00:57:12.669]  None of that's true.
[00:57:12.689 --> 00:57:16.711]  99% of those who actually get COVID-19 will survive.
[00:57:17.231 --> 00:57:23.293]  He was responding to Elijah Schaffer saying your immune system, this was two years ago, has a higher success rate at combating COVID-19 than the actual vaccine.
[00:57:24.312 --> 00:57:26.913]  And he said, in other words, get the vaccine dopes.
[00:57:30.134 --> 00:57:39.017]  Think of all the brainwashing and all the fear-mongering and the psychosis they put the public under when it was the shot that was going to kill you all along.
[00:57:40.598 --> 00:57:45.380]  Now these are the people calling you a conspiracy theorist.
[00:57:46.540 --> 00:57:48.041]  Very, very sad.
[00:57:48.061 --> 00:58:00.070]   And we've got clips of Klaus Schwab and Bill Gates and Rachel Maddow, all saying it's 100% effective, you should be made to take it, because if you don't take it, you can spread it to other people, but if you take the shot, you can't spread it, you're protected.
[00:58:00.090 --> 00:58:02.632]  And they said, well, you're not protected, but then you can't spread it.
[00:58:02.952 --> 00:58:06.935]  Oh, well, actually, you spread it more, and you're more likely to spread it and get it and get sick and die.
[00:58:07.396 --> 00:58:10.138]  All of that now admitted.
[00:58:11.619 --> 00:58:14.822]  Meanwhile, the Chinese government began COVID-19 vaccine research in 2019.
[00:58:14.902 --> 00:58:15.222]  Oh, yeah, really?
[00:58:15.242 --> 00:58:15.402]  Think so?
[00:58:18.809 --> 00:58:23.253]  Bodybuilder that challenged everybody and said he was taking the vaccine to prove it was safe, died of a heart attack.
[00:58:25.615 --> 00:58:28.177]  And it goes on and on and on.
[00:58:28.618 --> 00:58:34.923]  The Holy Grail is a global QR code ID system where you can't leave your house, buy or sell without it.
[00:58:34.963 --> 00:58:37.746]  They beta tested it in China and Australia and Canada and Italy.
[00:58:38.166 --> 00:58:40.468]  And now it's coming here.
[00:58:42.610 --> 00:58:44.652]  It's a big, big deal.
[00:58:45.777 --> 00:58:51.865]  All right, we're going to look at the midterms with a great political analyst, a good friend of mine, Ali Alexander.
[00:58:51.885 --> 00:58:54.088]  We'll also look at what's happening in Brazil.
[00:58:54.148 --> 00:58:59.696]  He's been demonized for pointing out the evidence points towards this being another major steal.
[00:58:59.735 --> 00:59:04.096]   We know the Biden administration was involved down there in the manipulation.
[00:59:04.096 --> 00:59:07.016]  Also the ADL calling for more censorship of yours truly.
[00:59:07.016 --> 00:59:12.735]   And President Trump just outrages the self-appointed globalists and the true authoritarianism,
[00:59:12.735 --> 00:59:15.695]  the totalitarianism, they are raining down on us.
[00:59:15.695 --> 00:59:17.335]  But humanity is not giving up.
[00:59:17.335 --> 00:59:19.516]  And all over the world, we see the numbers.
[00:59:19.516 --> 00:59:27.016]   People are absolutely breaking their conditioning at a massive, massive accelerated rate.
[00:59:27.397 --> 00:59:28.918]  So we have only begun to fight.
[00:59:29.358 --> 00:59:31.300]  Infowars.com is the tip of the spear.
[00:59:31.600 --> 00:59:32.480]  You are the resistance.
[00:59:32.761 --> 00:59:33.821]  We'll be right back.
[00:59:33.861 --> 00:59:34.322]  Stay with us.
[00:59:35.322 --> 00:59:49.288]   We just got hit with a bioweapon and now our enemies are telling us that they've cooked up weaponized strains of COVID in England and the United States that are In major universities, it'll kill 80% of us.
[00:59:50.289 --> 00:59:57.014]  This is an exterminist depopulation cult that lied to us and held us hostage until we accepted the shots.
[00:59:57.795 --> 01:00:00.757]  And then as many people could be forced into it, did it.
[01:00:01.258 --> 01:00:02.259]  The rest of us didn't.
[01:00:03.700 --> 01:00:10.606]  And now they're hoping we just forget about what they did so they can do it again with a more deadly virus in the near future.
[01:00:11.046 --> 01:00:12.668]  This is a ticking time bomb.
[01:00:13.513 --> 01:00:16.954]  The entire civilization is on the edge of a precipice.
[01:00:17.935 --> 01:00:25.597]  Do not forget what people like Rachel Maddow and Bill Gates and others told you that it was totally effective and would protect you when it was the opposite.
[01:00:25.978 --> 01:00:27.238]  It destroys your immune system.
[01:00:27.278 --> 01:00:28.118]  It makes you get sick.
[01:00:28.419 --> 01:00:29.259]  It makes you die.
[01:00:29.539 --> 01:00:34.421]  Remember who the real disinformation criminals are when they point their filthy fingers at us.
[01:00:34.721 --> 01:00:35.721]  Here is Maddow.
[01:00:36.802 --> 01:00:44.906]   Instead of the virus being able to hop from person to person to person, Potentially mutating and becoming more virulent and drug-resistant along the way.
[01:00:45.426 --> 01:00:52.167]  Now we know that the vaccines work well enough that the virus stops with every vaccinated person.
[01:00:53.348 --> 01:00:55.508]  A vaccinated person gets exposed to the virus.
[01:00:57.309 --> 01:00:59.089]  The virus does not infect them.
[01:00:59.229 --> 01:01:02.290]  The virus cannot then use that person to go anywhere else.
[01:01:04.410 --> 01:01:07.771]  It cannot use a vaccinated person as a host to go get more people.
[01:01:09.229 --> 01:01:14.330]  That means the vaccines will get us to the end of this.
[01:01:16.431 --> 01:01:17.451]  If we just go faster.
[01:01:19.331 --> 01:01:20.131]  So there you go.
[01:01:20.171 --> 01:01:21.452]  We just submit to them.
[01:01:21.572 --> 01:01:22.552]  It'll get us to the end of it.
[01:01:22.572 --> 01:01:23.232]  Just take the shot.
[01:01:23.272 --> 01:01:23.972]  You go back outside.
[01:01:24.432 --> 01:01:28.013]  The reason I played this is we'll get into Bolsonaro and the U.S.
[01:01:28.113 --> 01:01:29.834]  midterms and all that next segment.
[01:01:30.934 --> 01:01:40.188]   One of the smartest political analysts I know, Ali Alexander, and also we're in the same Class of people targeted by the Deep State for destruction because we're loyal Americans.
[01:01:41.129 --> 01:02:05.244]   How vindicated are you and I and others, and it's not about being vindicated, it's about we were right, people better listen to us, about how deadly these shots were, how it wouldn't work, and how discredited is the political system with all the numbers from around the world coming in that establishment, big pharma, UN-connected leftists are reviled everywhere At an accelerated rate and their whole attempted COVID takeover backfired on them in my view.
[01:02:05.524 --> 01:02:10.046]  What is your view on the state of the world and just the trust the people have for the system?
[01:02:10.206 --> 01:02:12.908]  Because I think, in fact I know, it's completely gone.
[01:02:14.662 --> 01:02:18.023]  Yeah, I think that we're in Act Three of their play.
[01:02:18.263 --> 01:02:24.765]  I think that they intend, by any means necessary, to usher in a Great Reset.
[01:02:24.785 --> 01:02:33.047]  Like I said, I think that we're going to experience a crash, not just a market crash, not just a famine, but maybe a World War Three.
[01:02:33.867 --> 01:02:45.353]  And how we bounce back from that, how we equip our neighbors with calls to get back to the basics instead of like a new, new deal, you know, an international new deal.
[01:02:45.934 --> 01:02:48.055]  That is how humanity survives.
[01:02:48.095 --> 01:02:58.941]  So when I'm looking at all these crises, I've never seen a greater opportunity to wake up people to stand against the elites in a peaceful and patriotic way.
[01:02:59.641 --> 01:03:01.842]  And I welcome the contrast.
[01:03:01.902 --> 01:03:04.903]  I mean, the hour is late, but I welcome the contrast.
[01:03:04.943 --> 01:03:06.583]  And we are entirely vindicated.
[01:03:07.023 --> 01:03:18.667]  An illegitimate election led to massive inflation, the rise in food prices, an energy crisis that is going to kill Europeans, and like I said, the potential of a nuclear war.
[01:03:19.007 --> 01:03:26.429]  And now they're doing the same thing in Brazil so that they can collapse South America and hand it over to the CCP.
[01:03:27.782 --> 01:03:34.947]  We'll talk about that next segment and how you're being demonized for pointing that out by Business Insider and other establishment mouthpieces.
[01:03:35.007 --> 01:03:46.575]  But pulling back, the globalists admit they need all these crises to bring in their new world government, their new cash flow society, their new universal basic income based on the CCP, as you rightfully say.
[01:03:47.276 --> 01:03:51.955]   How do you think Their attempt at imposing this Great Reset is going.
[01:03:52.316 --> 01:03:58.946]  From my perspective, it's not going well, but that's only making them double down that much harder, which makes the situation that much more explosive.
[01:04:00.598 --> 01:04:19.791]  Yeah, that's my analysis too, is that I, and I've said this before, we're dealing with the grandchildren and great-grandchildren of these kind of malevolent oligarchs, but at least those oligarchs were competent as they were redrawing the world and dividing and conquer.
[01:04:19.991 --> 01:04:31.116]   These people like Boris Johnson and Joe Biden and Kamala Harris and Barack Obama, Emmanuel Macron, in a lot of ways these people are hugely
[01:04:31.116 --> 01:04:35.895]   incompetent at this kind of death cult that they're running.
[01:04:35.895 --> 01:04:42.676]   And so I agree, I think that they're failing to get kind of the opt-in from even good faith
[01:04:42.676 --> 01:04:46.896]  liberals which is frankly dwindling.
[01:04:46.896 --> 01:04:51.335]   They're under attack from the Marxists and progressives, the Antifa, and frankly now
[01:04:51.335 --> 01:04:54.376]  out and out Luciferians doing unbaptisms.
[01:04:54.740 --> 01:04:57.261]  You know, it's remarkable that they're revealing their hand.
[01:04:57.681 --> 01:05:01.503]  And people are waking up and we're using the internet to communicate what their plans are.
[01:05:01.523 --> 01:05:06.826]  So I agree with your analysis exactly is they are being defeated.
[01:05:07.126 --> 01:05:08.126]  We are winning.
[01:05:08.166 --> 01:05:09.467]  We are pushing back.
[01:05:09.867 --> 01:05:13.330]  We are developing martyrs, unfortunately, on our side.
[01:05:13.770 --> 01:05:15.971]  But that's causing them to double down.
[01:05:16.252 --> 01:05:30.441]  And I have said, I've declared in December, they're going to push for a false flag so that an aid package for Ukraine is actually proposed under the speakership of McCarthy, not Pelosi.
[01:05:30.542 --> 01:05:30.922]  Why?
[01:05:31.242 --> 01:05:37.047]   Because they need to cook and compromise McCarthy and a bunch of Republicans early.
[01:05:37.067 --> 01:05:43.934]  This way it cuts off Donald Trump and he's having to run against his own party effectively in the narrative.
[01:05:43.974 --> 01:05:52.083]  And so look for a false flag in December because January and February they are going to do a coup d'etat with the narrative.
[01:05:53.018 --> 01:05:59.902]  I've also noticed that the left, major think tanks, Democratic Party groups now admit they ran the whole Sandy Hook show trials against us.
[01:06:00.282 --> 01:06:02.743]  They are in full panic mode to get us off air, but not just us.
[01:06:03.223 --> 01:06:07.045]  To get everybody, because they know if we're here challenging the narrative, if you're there, it's game over.
[01:06:07.085 --> 01:06:11.288]  That's why listeners have to really let it sink in, that you have all the power.
[01:06:12.208 --> 01:06:22.562]  Only listeners and viewers can take our information, Ali Alexander's information, Steve Bannon's information, Roger Stone's information, Donald Trump's information, and get it past the censors.
[01:06:22.582 --> 01:06:23.423]  You're doing a great job.
[01:06:23.904 --> 01:06:27.789]  Text messages, emails, word of mouth, take clips, re-upload them yourself.
[01:06:28.730 --> 01:06:35.415]  Realize that whether you reach 10 people or a million, it's changing the world and keep doing it, and understand you've got to send people to our URLs.
[01:06:35.455 --> 01:06:36.756]  Hey, Alex Jones is still on air!
[01:06:37.216 --> 01:06:37.597]  Oh, really?
[01:06:37.617 --> 01:06:38.537]  I want to hear what he has to say!
[01:06:38.577 --> 01:06:41.099]  And we're getting massive new numbers of new people tuning in.
[01:06:41.519 --> 01:06:45.762]  And also, support Oli Alexander and his great work and the shows he does.
[01:06:46.163 --> 01:06:56.030]  Find him on Telegram, t.me forward slash Oli Alexander, olialexander.org, and Gibsongo.com forward slash Oli Alexander, because he's been through hell.
[01:06:56.630 --> 01:07:01.172]  He was the only guy that had the courage to go and not take the fifth, which was a smart move, I think, for myself.
[01:07:02.012 --> 01:07:07.174]  But he eloquently exposed the whole fraud, that it wasn't a staged event, and the grand jury knew that was the truth.
[01:07:07.574 --> 01:07:09.014]  He went before the grand jury, everything.
[01:07:09.054 --> 01:07:16.537]  So, Ollie, you just did an excellent job telling the truth, the whole truth, nothing but the truth, and you did just a superlative job, my friend.
[01:07:18.365 --> 01:07:19.546]  Well, I really appreciate that.
[01:07:19.586 --> 01:07:25.149]  You know, and I was talking with a mutual friend today, you know, Jason Jones, and he said, you know, tell Alex he was right.
[01:07:25.209 --> 01:07:25.789]  He was right.
[01:07:25.869 --> 01:07:26.429]  He was right.
[01:07:26.689 --> 01:07:31.652]  And only Bob Marley beat him to describing what we are actually facing.
[01:07:31.712 --> 01:07:44.239]  And I'm just happy to be in the foxhole with you, with InfoWars and the InfoWarriors who are spreading these links, spreading our messages, funding our legal defenses, buying products, and we're winning and they're losing.
[01:07:44.779 --> 01:07:47.282]  That's right, and by the way, I was listening to Bob Marley again the other day.
[01:07:47.302 --> 01:07:51.466]  I was on a Bob Marley Jag, and I'm like, this guy was Alex Jones before I was born!
[01:07:51.486 --> 01:07:52.447]  We'll be right back.
[01:07:54.569 --> 01:07:55.349]  It's a powerful song.
[01:07:55.389 --> 01:08:01.175]  He goes in to talk about the technocracy and the scientific elite wanting to kill humanity and destroy our children.
[01:08:02.576 --> 01:08:03.657]  Every song's poetry.
[01:08:04.598 --> 01:08:05.539]  We're the survivors.
[01:08:06.596 --> 01:08:07.036]  All right.
[01:08:07.676 --> 01:08:09.977]  Ali Alexander is definitely a survivor.
[01:08:10.498 --> 01:08:12.839]  For the balance of this hour, I'm trying to give you the floor, my friend.
[01:08:12.859 --> 01:08:14.539]  Get into the midterms here.
[01:08:14.619 --> 01:08:19.401]  Bolsonaro, I mean, they're saying they're going to arrest Bolsonaro if he lost and people are having to flee now.
[01:08:19.901 --> 01:08:20.902]  Will he stand and fight?
[01:08:20.962 --> 01:08:23.363]  Will the military stand against the election fraud?
[01:08:24.002 --> 01:08:28.402]   We know that there's a lot of evidence of that coming out that I'm going to show some
[01:08:28.402 --> 01:08:29.402]  of the viewers here in a moment.
[01:08:29.402 --> 01:08:34.242]   It was only one region where he lost and it was overwhelmingly just like we saw here in
[01:08:34.242 --> 01:08:35.242]  the last election.
[01:08:35.242 --> 01:08:36.681]  But you got demonized.
[01:08:36.681 --> 01:08:37.681]  Stop the steel leader.
[01:08:37.681 --> 01:08:41.122]   Ali Alexander calls for military coup in Brazil, intervening in the presidential election.
[01:08:41.122 --> 01:08:44.742]  But when I read your quotes, you didn't say that, Ali.
[01:08:44.742 --> 01:08:46.362]  So what's really going on?
[01:08:46.362 --> 01:08:48.881]  Yeah, it's quite amazing, right?
[01:08:48.901 --> 01:09:01.646]  Because here you have a headline that doesn't really match the story and certainly doesn't match the source material which you can find at my Telegram and my Truth Social account and, you know, Gab and all the other social networks that haven't kicked me off.
[01:09:02.126 --> 01:09:08.114]  These are patriot networks, but all I called for is what Brazil's constitution allows and really compels.
[01:09:08.775 --> 01:09:20.710]  We don't understand it here in America, but because the judiciary and socialists and Marxists and other military crews have happened in South America, it's developed very differently.
