[00:00.000 --> 00:20.800]  Infowars, the most banned network in the world.
[59:08.840 --> 59:13.280]  All three of the very best types of iodine that are natural and pure that should get
[59:13.280 --> 59:16.120]  into your cells are in X3.
[59:16.120 --> 59:20.760]  The Deep Earth Crystal iodine and two other types to maximize full absorption.
[59:20.760 --> 59:22.560]  This really is the missing link.
[59:22.560 --> 59:29.640]  X3 sold out for a long time is finally back in stock, available at InfoWarStore.com or
[59:29.640 --> 59:33.760]  by calling toll-free, triple-aid, 253-3139.
[59:33.760 --> 59:38.560]  Now it takes a few weeks for this high quality iodine to kick in, but almost everybody after
[59:38.560 --> 59:40.040]  that feels the effects.
[59:40.040 --> 59:44.480]  It's not just for your immune system, but it's for your energy and so much more.
[59:44.480 --> 59:47.840]  X3 back in stock at InfoWarStore.com, 50% off.
[1:00:14.480 --> 1:00:33.880]  You're not listening to Mark Pascio and Alex Jones and David Nye and others because we
[1:00:33.880 --> 1:00:34.880]  know what's going on.
[1:00:34.880 --> 1:00:35.880]  It's just a fact.
[1:00:35.880 --> 1:00:36.880]  That's why they hate us.
[1:00:36.880 --> 1:00:42.040]  He's always just the rest of the hour, me getting back on, I listen to him all the time
[1:00:42.040 --> 1:00:46.440]  and he's always been big, but man, people talk about Mark Pascio all over the place.
[1:00:46.440 --> 1:00:49.920]  I want to do some big commercial free podcasts with him soon.
[1:00:49.920 --> 1:00:51.320]  My wife's a big fan as well.
[1:00:51.320 --> 1:00:55.360]  Mark Pascio is an independent researcher and public speaker from Philadelphia, Pennsylvania
[1:00:55.360 --> 1:00:56.360]  for years.
[1:00:56.360 --> 1:01:01.080]  Mark's work has been teaching universal spiritual laws and morality upon which all human freedom
[1:01:01.080 --> 1:01:05.720]  depends and he woke up inside the system, inside the occult, woke up to that.
[1:01:05.720 --> 1:01:08.120]  What on earth is happening dot com?
[1:01:08.120 --> 1:01:10.960]  Some stations don't carry this first five, but Mark, I'm going to try to give you the
[1:01:10.960 --> 1:01:13.760]  floor because I'll jump in and take over.
[1:01:13.760 --> 1:01:16.600]  If you pause, I want you to be able to talk about the state of the world, why you think
[1:01:16.600 --> 1:01:17.600]  it's happening.
[1:01:17.600 --> 1:01:21.320]  PsyOps, one of your latest shows I saw was really good, pretty quick, short show, but
[1:01:21.320 --> 1:01:22.320]  still powerful.
[1:01:22.320 --> 1:01:27.080]  I really want you to just turn it loose here today, but spend three, four minutes on who
[1:01:27.080 --> 1:01:30.080]  you are and your awakening and how you see the universe.
[1:01:30.080 --> 1:01:31.080]  Sure.
[1:01:31.080 --> 1:01:32.080]  Well, thank you, Alex.
[1:01:32.080 --> 1:01:33.840]  I'm really honored to be back on Infowars.
[1:01:33.840 --> 1:01:36.080]  Thank you for inviting me back on.
[1:01:36.080 --> 1:01:42.360]  As you said in the bio intro, I'm an independent researcher from Philadelphia, but my background
[1:01:42.360 --> 1:01:45.320]  comes from occultism.
[1:01:45.320 --> 1:01:52.400]  When I was young, I became very disillusioned with traditional religion as it didn't answer
[1:01:52.400 --> 1:02:00.160]  the questions to the problems that I wanted answers to, at least in my estimation.
[1:02:00.160 --> 1:02:05.240]  When I became very disillusioned with that, I sought out its inversion and opposite.
[1:02:05.240 --> 1:02:11.160]  I wanted to go to the exact opposite of what I considered religion to be at the time.
[1:02:11.160 --> 1:02:17.440]  I found it in the form of dark occultism, specifically Satanism.
[1:02:17.440 --> 1:02:24.360]  I devoured all of the writings of Anton Levé, the former high priest of the Church of Satan.
[1:02:24.360 --> 1:02:31.560]  I began espousing the satanic ideology in my writings and in my music, which became published
[1:02:31.560 --> 1:02:34.840]  through different mediums.
[1:02:34.840 --> 1:02:40.400]  When that happened, when I was writing about the satanic ideology and I was expressing it
[1:02:40.400 --> 1:02:47.640]  through lyrics and songs that I wrote in my youth, membership within the Church of Satan
[1:02:47.640 --> 1:02:55.160]  actually reviewed that work and brought it to the attention of Levé himself.
[1:02:55.160 --> 1:03:00.920]  And Levé wanted to commission me as a priest in the Church of Satan, and he sent me that
[1:03:00.920 --> 1:03:02.480]  appointment.
[1:03:02.480 --> 1:03:05.400]  So I was actually appointed to the Church of Satan.
[1:03:05.400 --> 1:03:12.120]  I had been a ranking member, a regular rank and file member, I should say, at the time.
[1:03:12.120 --> 1:03:19.600]  And Levé himself saw my communication capability through my writings and music, and he appointed
[1:03:19.600 --> 1:03:22.080]  me to the priesthood within that organization.
[1:03:22.080 --> 1:03:26.480]  There's actually five ranks within that level of Satanism.
[1:03:26.480 --> 1:03:32.800]  And again, this form of Satanism through the Church of Satan only filters into the wider
[1:03:32.800 --> 1:03:34.960]  satanic network that is worldwide.
[1:03:34.960 --> 1:03:41.080]  That's really the people who are controlling our current world paradigm and our reality
[1:03:41.080 --> 1:03:43.120]  on this planet right now.
[1:03:43.120 --> 1:03:46.120]  And there is high priest underneath him.
[1:03:46.120 --> 1:03:49.320]  There's Council of Nine underneath.
[1:03:49.320 --> 1:03:57.040]  So Council that acts like a ruling body is Magisters and Magistras, which are intermediary
[1:03:57.040 --> 1:04:03.280]  priests between the high priest and the regular priest class.
[1:04:03.280 --> 1:04:06.040]  Then there's regular priest class and then there's member.
[1:04:06.040 --> 1:04:07.520]  Those are the only five ranks.
[1:04:07.520 --> 1:04:11.480]  I attained to the second rank from the bottom.
[1:04:11.480 --> 1:04:14.400]  After member, you can go up to priest, and that's all I ever did.
[1:04:14.400 --> 1:04:18.360]  So you were literally commissioned by the Church of Satan?
[1:04:18.360 --> 1:04:19.360]  That's correct.
[1:04:19.360 --> 1:04:26.080]  So I was appointed the rank of priest by the current high priest at the time, Anton Levé,
[1:04:26.080 --> 1:04:28.120]  who obviously has since passed.
[1:04:28.120 --> 1:04:30.280]  He died in 1997.
[1:04:30.280 --> 1:04:37.640]  And I was then offered, after appointment to priesthood, to run what they call a grotto,
[1:04:37.640 --> 1:04:42.920]  which is their equivalent of a coven in traditional witchcraft systems.
[1:04:42.920 --> 1:04:49.960]  They call their organizations within this particular group grottos and it was fascinating
[1:04:49.960 --> 1:04:51.800]  to understand how you awakened.
[1:04:51.800 --> 1:04:55.480]  Finish up this incredible information with Mark Paseo on the other side and we'll talk
[1:04:55.480 --> 1:04:59.320]  about what's coming next day with us.
[1:04:59.320 --> 1:05:04.120]  Think about a world without info wars.
[1:05:04.120 --> 1:05:08.440]  Just take a moment and sit back and think about all the incredible guests and callers
[1:05:08.440 --> 1:05:10.640]  and stories we've broken together.
[1:05:10.640 --> 1:05:13.720]  This family that is info wars.
[1:05:13.720 --> 1:05:18.880]  Think about how info wars is cited by Joe Rogan and Tucker Carlson and Bolsonaro and
[1:05:18.880 --> 1:05:26.320]  other foreign leaders like Nigel Farage as being the main impetus towards firing up their
[1:05:26.320 --> 1:05:29.840]  main base to defeat the new world order.
[1:05:29.840 --> 1:05:35.600]  The only reason humanity is still in the fight today is because the viewers and listeners
[1:05:35.600 --> 1:05:40.080]  of this broadcast have taken action and supported the show.
[1:05:40.080 --> 1:05:46.120]  I don't take the credit, I give you the credit and now info wars is facing its darkest hours
[1:05:46.120 --> 1:05:48.040]  it isn't going to give up.
[1:05:48.040 --> 1:05:49.800]  Without your support we can be shut down.
[1:05:49.800 --> 1:06:18.080]  Please go to saveinfowars.com today, saveinfowars.com today and donate for our legal defense fund.
[1:06:18.080 --> 1:06:24.000]  I've known about Mark Pascio for at least eight years or so and he really wakes a lot
[1:06:24.000 --> 1:06:28.080]  of people up and there's a big buzz on the street the last couple of years that's really
[1:06:28.080 --> 1:06:29.080]  intensified.
[1:06:29.080 --> 1:06:32.480]  I mean almost every time I go out in public people walk over and say, hey I like Mark
[1:06:32.480 --> 1:06:34.520]  Pascio, I like your show, you should get him on.
[1:06:34.520 --> 1:06:38.120]  I'm like absolutely, I want to get him on a regular basis because he really exposes the
[1:06:38.120 --> 1:06:42.600]  hierarchy of the new world order, how it is satanic, how it basically operates and if
[1:06:42.600 --> 1:06:48.240]  you just joined us he was a commissioned priest in the Church of Satan and he'd gotten to
[1:06:48.240 --> 1:06:54.120]  that point when we went to break describing then his awakening and what developed because
[1:06:54.120 --> 1:06:57.480]  he was rebelling against obviously the corrupt system he saw, he thought I'll go the other
[1:06:57.480 --> 1:07:03.080]  direction and then he found a lot deeper knowledge there, he has a very popular show, what on
[1:07:03.080 --> 1:07:06.240]  earthshappening.com and Mark Pascio joins us now.
[1:07:06.240 --> 1:07:11.680]  So Mark finish up about yourself and your awakening, let's dive into current events,
[1:07:11.680 --> 1:07:17.080]  natural law, why the world's going crazy and why you think your message right now is really
[1:07:17.080 --> 1:07:19.720]  punching through.
[1:07:19.720 --> 1:07:20.720]  Thank you Alex.
[1:07:20.720 --> 1:07:24.920]  So yes, before the break I was talking about my appointment by the then current high priest
[1:07:24.920 --> 1:07:29.600]  of the Church of Satan Anton Leves to the rank of priest.
[1:07:29.600 --> 1:07:36.480]  Leves then wanted me to head a grotto which is their equivalent of a coven in witchcraft
[1:07:36.480 --> 1:07:39.040]  in the Philadelphia area where I live.
[1:07:39.040 --> 1:07:44.800]  I declined to do that because I saw Satanism and the Satanic ideology at the time as a
[1:07:44.800 --> 1:07:50.840]  very personal influence in one's life and I did not want to be involved in group dynamics
[1:07:50.840 --> 1:07:51.840]  at the time.
[1:07:51.840 --> 1:07:59.360]  I did however ask to be sent information about active grottos in my area that I wished to
[1:07:59.360 --> 1:08:06.000]  check out and to become perhaps involved with them at a rudimentary level.
[1:08:06.000 --> 1:08:10.840]  I was subsequently sent that information via mail.
[1:08:10.840 --> 1:08:16.480]  The internet was kind of around at this time but a lot of people still did things by regular
[1:08:16.480 --> 1:08:17.480]  mail.
[1:08:17.480 --> 1:08:23.800]  So I was sent some contact information and I started attending some grottos in my area.
[1:08:23.800 --> 1:08:31.320]  Upon attending grottos in my tri-state area around Pennsylvania, Delaware and Maryland
[1:08:31.320 --> 1:08:38.520]  I became aware that these were not isolated people working together in just small groups
[1:08:38.520 --> 1:08:44.760]  to increase their own knowledge of the occult and what it is, how it's actually a very advanced
[1:08:44.760 --> 1:08:50.880]  hidden psychology that could actually give one sort of a leg up on their fellow men in
[1:08:50.880 --> 1:08:53.240]  the world, on their fellow men and women.
[1:08:53.240 --> 1:08:59.040]  But they were a cohesive unit operating in a much wider network that were all working
[1:08:59.040 --> 1:09:04.120]  together to increase their own collective power at the expense of others' rights and
[1:09:04.120 --> 1:09:12.000]  freedoms and it involved people from every single institutional walk of society.
[1:09:12.000 --> 1:09:18.720]  You name the institution from military to law, to law enforcement, to medicine, to entertainment,
[1:09:18.720 --> 1:09:21.960]  to police.
[1:09:21.960 --> 1:09:24.160]  You name the institution.
[1:09:24.160 --> 1:09:32.760]  There were people at high positions of influence and power involved in the grottos that I attended.
[1:09:32.760 --> 1:09:39.840]  Attending satanic rituals, attending satanic meetings and groups and planning how to further
[1:09:39.840 --> 1:09:41.760]  expand their power.
[1:09:41.760 --> 1:09:46.960]  And upon realizing that that's what this was, that this was something that was really attempting
[1:09:46.960 --> 1:09:53.440]  to take people's mindset, to break it down, to get them not to understand what was really
[1:09:53.440 --> 1:09:59.960]  going on around them and to ultimately long-term put them into a state of servitude and slavery.
[1:09:59.960 --> 1:10:05.000]  That's where my conscience sort of began to awaken and activate.
[1:10:05.000 --> 1:10:08.600]  And I was basically saying I didn't sign up for human slavery.
[1:10:08.600 --> 1:10:11.680]  I signed up to understand secrets of occultism.
[1:10:11.680 --> 1:10:17.400]  I signed up to understand how these are psychological aspects that if one knows, they could wield
[1:10:17.400 --> 1:10:23.240]  them and gain advantage over others because in my youth I was very egotistical and wanted
[1:10:23.240 --> 1:10:24.240]  things like that.
[1:10:24.240 --> 1:10:28.920]  I wanted knowledge like that and I wanted to wield it and use it to my own advantage.
[1:10:28.920 --> 1:10:32.120]  But I never signed up for human slavery.
[1:10:32.120 --> 1:10:36.400]  So when I understood that that's really what it was about, yeah, there you see my actual
[1:10:36.400 --> 1:10:42.600]  appointment and not in my actual legal name, I used a pseudonym at the time, Mark Rokar.
[1:10:42.600 --> 1:10:46.240]  So I am Mark Rokar of the Church of Satan.
[1:10:46.240 --> 1:10:50.400]  That is the name that I used in those days because I did not want to be even associated
[1:10:50.400 --> 1:10:52.600]  with my family name at the time.
[1:10:52.600 --> 1:10:58.320]  I sort of resented the family name and was rebelling against my family and the upbringing
[1:10:58.320 --> 1:10:59.920]  that they had given me.
[1:10:59.920 --> 1:11:02.080]  So I wanted to completely wipe all of that out.
[1:11:02.080 --> 1:11:04.920]  I wanted to completely have a new identity.
[1:11:04.920 --> 1:11:10.520]  And I chose that name Rokar because it is a demon name of one of the demon rulers of
[1:11:10.520 --> 1:11:15.400]  hell being named in the Gnostic text.
[1:11:15.400 --> 1:11:17.720]  You wanted to be reborn, reborn.
[1:11:17.720 --> 1:11:18.960]  Yes.
[1:11:18.960 --> 1:11:24.800]  That name comes from the Gnostic text, the Pistis Sophia or the faith wisdom where Jesus
[1:11:24.800 --> 1:11:28.040]  is describing the levels of hell to Mary Magdalene.
[1:11:28.040 --> 1:11:29.800]  And so that's where I chose that name.
[1:11:29.800 --> 1:11:33.880]  So a lot of people have tried to research my background and realized there is no Mark
[1:11:33.880 --> 1:11:38.280]  Pasio in the Church of Satan and that's because I went under the pseudonym Mark Rokar.
[1:11:38.280 --> 1:11:41.280]  I was known as Reverend Mark Rokar in those days.
[1:11:41.280 --> 1:11:46.480]  Well, the reason this is important is they advertise Satanism in the whole of a vein
[1:11:46.480 --> 1:11:47.480]  of it is.
[1:11:47.480 --> 1:11:48.480]  We're really just libertarians.
[1:11:48.480 --> 1:11:49.480]  We don't believe in God.
[1:11:49.480 --> 1:11:52.840]  We're about in human empowerment and you're showing you the secrets.
[1:11:52.840 --> 1:11:56.880]  But then you find out, no, it's actually a cult to control people.
[1:11:56.880 --> 1:12:01.720]  And obviously it was picked into the CIA and a bunch of other organizations from my own
[1:12:01.720 --> 1:12:05.680]  research and I never officially was in the Church of Satan or any of that.
[1:12:05.680 --> 1:12:09.080]  When I was really young and I've told this story before, I was briefly telling it.
[1:12:09.080 --> 1:12:14.200]  I got immediately recruited right into the higher levels of it using sex operatives.
[1:12:14.200 --> 1:12:18.760]  I look like I was 16, but I was, you know, 13, 14, and I was like, these are really beautiful
[1:12:18.760 --> 1:12:19.760]  women.
[1:12:19.760 --> 1:12:23.320]  I mean, some were like full grown 25 year old women by the time I was about 15.
[1:12:23.320 --> 1:12:26.040]  And it was just always went right back to, hey, we're going to this thing, hey, we're
[1:12:26.040 --> 1:12:27.040]  going to love you.
[1:12:27.040 --> 1:12:28.040]  You need to be part of Satanism.
[1:12:28.040 --> 1:12:29.140]  It's really fun.
[1:12:29.140 --> 1:12:31.240]  And that was in Rockwell, Texas, outside Dallas.
[1:12:31.240 --> 1:12:35.640]  So for what you talk about is what Ted Gunnerson exposed high level FBI is you scratch the
[1:12:35.640 --> 1:12:36.640]  surface.
[1:12:36.640 --> 1:12:40.280]  These satanic cults are all over the place and you were in one of the main veins of
[1:12:40.280 --> 1:12:41.280]  it.
[1:12:41.280 --> 1:12:47.480]  Yes, I want to make clear to the viewing audience, the listening audience that in no way what
[1:12:47.480 --> 1:12:55.600]  I say that the Church of Satan is very high up in the overarching worldwide satanic network
[1:12:55.600 --> 1:12:56.600]  or hierarchy.
[1:12:56.600 --> 1:13:04.760]  It is what I refer to as a psychological vetting and filtration system where they are looking
[1:13:04.760 --> 1:13:11.040]  for people that they can groom up into those higher ranks of the satanic network.
[1:13:11.040 --> 1:13:13.040]  It is not high up itself.
[1:13:13.040 --> 1:13:18.120]  I admittedly say I was at what I call the Boy Scout level, the Cub Scout level of the
[1:13:18.120 --> 1:13:21.640]  satanic hierarchy and the satanic network that operates worldwide.
[1:13:21.640 --> 1:13:25.440]  From your research, why do you think, because the stuff I was getting rubbed into was billionaires
[1:13:25.440 --> 1:13:27.880]  and people with helicopter pads and stuff.
[1:13:27.880 --> 1:13:32.400]  Why do you think I got rubbed right into high level?
[1:13:32.400 --> 1:13:33.840]  It's difficult to say.
[1:13:33.840 --> 1:13:38.120]  They tap people for different reasons and different capabilities.
[1:13:38.120 --> 1:13:44.680]  I would assume that someone knew you, your background, perhaps who knows, members of
[1:13:44.680 --> 1:13:49.440]  your family and they decided to go directly to that level of grooming.
[1:13:49.440 --> 1:13:56.320]  For me, it was gaining a psychological profile on a person by what you write about in your
[1:13:56.320 --> 1:14:02.560]  application, which is an extensive psychological profiling tactic for the Church of Satan.
[1:14:02.560 --> 1:14:08.360]  If you read their actual application, it goes into extreme detail about your life, your
[1:14:08.360 --> 1:14:12.720]  preferences, your current mindset, etc.
[1:14:12.720 --> 1:14:19.560]  And then when they obviously then began to know me personally from attendance at rituals,
[1:14:19.560 --> 1:14:24.360]  then they can further psychologically vet you and see how well you fit the profile of
[1:14:24.360 --> 1:14:29.440]  people that they're looking for with certain psychopathic tendencies and with also certain
[1:14:29.440 --> 1:14:34.920]  capabilities such as communication, technological, being able to explain the ideology to others
[1:14:34.920 --> 1:14:39.080]  and real more people into the satanic ideology, the satanic mindset.
[1:14:39.080 --> 1:14:40.080]  All right.
[1:14:40.080 --> 1:14:41.080]  We're going to go to break.
[1:14:41.080 --> 1:14:44.040]  I want to get into the current events and your greatest hits right now, all the key
[1:14:44.040 --> 1:14:48.920]  things you're covering that are so important, but just in a minute or so, accelerate through
[1:14:48.920 --> 1:14:51.800]  this awakening you had what happened.
[1:14:51.800 --> 1:14:57.360]  So when I expressed that I had a moral problem with the control that they wanted to implement
[1:14:57.360 --> 1:15:04.320]  because they were very, very candid about what they really wanted to do, what their
[1:15:04.320 --> 1:15:06.480]  long-term goals were.
[1:15:06.480 --> 1:15:10.560]  And when I said I have a moral problem with that, they basically said, well, there's the
[1:15:10.560 --> 1:15:15.040]  door and don't let it hit you on the rear end on the way out in so many words.
[1:15:15.040 --> 1:15:20.200]  People think that when you choose to leave something like this, at least at my level
[1:15:20.200 --> 1:15:25.960]  of involvement, you are not like killed or you're not threatened with death.
[1:15:25.960 --> 1:15:32.440]  They actually said to me, literally the words, do you think we need you, boy?
[1:15:32.440 --> 1:15:38.120]  Those words were spoken directly to my face from individuals that were higher up in the
[1:15:38.120 --> 1:15:39.120]  hierarchy.
[1:15:39.120 --> 1:15:42.960]  When I expressed a moral problem with what they were doing, they actually said, do you
[1:15:42.960 --> 1:15:44.960]  think we need you, boy?
[1:15:44.960 --> 1:15:53.280]  There's the door and go ahead and knock yourself out, banging your head against the wall for
[1:15:53.280 --> 1:15:54.280]  the rest of your life.
[1:15:54.280 --> 1:15:55.280]  Incredible.
[1:15:55.280 --> 1:15:56.280]  Exactly.
[1:15:56.280 --> 1:15:57.280]  We're talking about when you come back.
[1:15:57.280 --> 1:15:58.680]  This is amazing.
[1:15:58.680 --> 1:16:00.520]  Look around you.
[1:16:00.520 --> 1:16:04.720]  Everything I predicted from the Globalist documents, from their own admissions, is now
[1:16:04.720 --> 1:16:05.720]  happening.
[1:16:05.720 --> 1:16:06.960]  Info wars credibility.
[1:16:06.960 --> 1:16:09.120]  My credibility has never been higher.
[1:16:09.120 --> 1:16:13.360]  And it's because of your backing of this operation that I could steadfastly, despite
[1:16:13.360 --> 1:16:18.480]  the censorship and the boycotts and the attacks and the lawsuits, stay on air.
[1:16:18.480 --> 1:16:23.360]  But now we're reaching the most critical juncture in the fight together.
[1:16:23.360 --> 1:16:28.520]  So I want to ask all of you today to help keep me on the air.
[1:16:28.520 --> 1:16:32.440]  In my decades on air, I've never asked for personal donations, but I'm being forced by
[1:16:32.440 --> 1:16:37.960]  the bankruptcy court to pay for 40% of the legal fees, and I can't fund those myself.
[1:16:37.960 --> 1:16:38.960]  It's unsustainable.
[1:16:38.960 --> 1:16:47.200]  So please visit saveinfowars.com, saveinfowars.com, where you can make straight donations, $5,
[1:16:47.200 --> 1:16:51.480]  $10, $50, $100, whatever you can, so that I can continue to persevere.
[1:16:51.480 --> 1:16:54.760]  I'll never give up, I'll never give in, but I could give out.
[1:16:54.760 --> 1:16:56.080]  Thank you for your support.
[1:16:56.080 --> 1:16:59.720]  Wouldn't be without you, saveinfowars.com.
[1:16:59.720 --> 1:17:04.640]  I have been in a 28-year marathon battle with the Globalist.
[1:17:04.640 --> 1:17:10.720]  I have come from nowhere to the very heights of politics, not just in America, but in the
[1:17:10.720 --> 1:17:11.720]  world.
[1:17:11.720 --> 1:17:16.720]  We are engaging the Globalist at point-blank range in the information war, but I don't
[1:17:16.720 --> 1:17:17.720]  deserve the credit.
[1:17:17.720 --> 1:17:22.600]  Yes, I've persevered, but the listeners and viewers who support infowars are the real
[1:17:22.600 --> 1:17:25.160]  reason we've had this success.
[1:17:25.160 --> 1:17:29.560]  We're having now the greatest victories in the fight against the new order we've ever
[1:17:29.560 --> 1:17:30.560]  had.
[1:17:30.560 --> 1:17:36.920]  We are now entering the final mile of the marathon, and that's why today it's more
[1:17:36.920 --> 1:17:41.080]  important than ever to realize how important you've been in this fight, and to continue
[1:17:41.080 --> 1:17:43.760]  in the efforts you've been carrying out, and to intensify them.
[1:17:43.760 --> 1:17:49.760]  God bless you all, I salute you, I thank you, and I beg you to intensify what you're doing
[1:17:49.760 --> 1:17:53.640]  now, because we are over the target, and history is happening.
[1:17:53.640 --> 1:17:59.720]  The fight is my fight, it's your fight, it's our fight, God bless you all.
[1:17:59.720 --> 1:18:04.640]  I have been in a 28-year marathon battle with the Globalist.
[1:18:04.640 --> 1:18:10.000]  I have come from nowhere to the very heights of politics, not just in America, but in the
[1:18:10.000 --> 1:18:11.000]  world.
[1:18:11.000 --> 1:18:16.680]  We are engaging the Globalist at point-blank range in the information war, but I don't
[1:18:16.680 --> 1:18:17.680]  deserve the credit.
[1:18:17.680 --> 1:18:22.600]  Yes, I've persevered, but the listeners and viewers who support infowars are the real
[1:18:22.600 --> 1:18:25.160]  reason we've had this success.
[1:18:25.160 --> 1:18:29.560]  We're having now the greatest victories in the fight against the new order we've ever
[1:18:29.560 --> 1:18:30.560]  had.
[1:18:30.560 --> 1:18:36.920]  We are now entering the final mile of the marathon, and that's why today it's more
[1:18:36.920 --> 1:18:41.120]  important than ever to realize how important you've been in this fight, and to continue
[1:18:41.120 --> 1:18:44.160]  in the efforts you've been carrying out, and to intensify them.
[1:18:44.160 --> 1:18:49.800]  God bless you all, I salute you, I thank you, and I beg you to intensify what you're doing
[1:18:49.800 --> 1:18:53.640]  now, because we are over the target, and history is happening.
[1:18:53.640 --> 1:18:58.320]  The fight is my fight, it's your fight, it's our fight, God bless you all.
[1:18:58.320 --> 1:19:02.160]  The biggest sale of 2022 is now live.
[1:19:02.160 --> 1:19:06.440]  It's only running in the last week of September and the first week of October.
[1:19:06.440 --> 1:19:10.840]  Thousands of our best-selling products are finally back in stock, and they're 40 to
[1:19:10.840 --> 1:19:16.760]  50% off across the board, and the most important of them all is Survival Shield X3.
[1:19:16.760 --> 1:19:22.560]  All three types of the very best iodine documented to not just boost your libido, your stamina,
[1:19:22.560 --> 1:19:27.000]  your health, your energy, your cells, your immune system, but to overall give you more
[1:19:27.000 --> 1:19:28.000]  energy.
[1:19:28.000 --> 1:19:31.880]  It's the foundation of everything from energy to fertility.
[1:19:31.880 --> 1:19:38.080]  X3, 50% off, is finally back in stock exclusively at infowarstore.com.
[1:19:38.080 --> 1:19:42.640]  You've heard the callers, you've seen the rave reviews, now experience X3 for yourself
[1:19:42.640 --> 1:19:47.680]  exclusively at infowarstore.com, 50% off, and while you're there, check out some of the
[1:19:47.680 --> 1:19:51.480]  other great products that are finally back in stock, and massively discounted as well.
[1:19:51.480 --> 1:19:55.480]  Part of the infowarstore super sale, running for two weeks only.
[1:19:55.480 --> 1:19:59.320]  Again, X3 back in stock, 50% off.
[1:19:59.320 --> 1:20:05.360]  Feeding a frontal assault on the lies of the New World Order, it's Alex Jones.
[1:20:29.320 --> 1:20:37.240]  Alright, we're going to hit some current events with Mark Passio, Natural Law, PsyOps, he's
[1:20:37.240 --> 1:20:41.080]  a really smart, articulate guy, he knows what he's talking about, and there's this whole
[1:20:41.080 --> 1:20:46.760]  network basically run by intelligence agencies that are nothing but a new version of the
[1:20:46.760 --> 1:20:47.760]  old cults.
[1:20:47.760 --> 1:20:52.000]  The cults were psychological, private intelligence agencies manipulating people, so it's not
[1:20:52.000 --> 1:20:57.160]  like the CIA runs the Satanist, the Satanists run the highest levels of the CIA, and they're
[1:20:57.160 --> 1:21:00.760]  in the military, they're everywhere, and they're operating right next to normal people, the
[1:21:00.760 --> 1:21:04.360]  black hats and the white hats, and right now they're busy getting rid of the white hats
[1:21:04.360 --> 1:21:10.400]  and going from beta to their externalization of the takeover, that's why you see the pedophilia,
[1:21:10.400 --> 1:21:17.360]  the world government, all the evil, the anti-God, anti-human, post-humanist system, because
[1:21:17.360 --> 1:21:20.440]  now their real religion of transhumanism is here.
[1:21:20.440 --> 1:21:25.800]  So Mark Passio, before he hits current events, wanted to get into his awakening, getting
[1:21:25.800 --> 1:21:33.240]  out of the Church of Satan, and delving really deep into the mysteries and what he discovered.
[1:21:33.240 --> 1:21:39.440]  So after I expressed that I had a moral issue with their long-term goals and their long-term
[1:21:39.440 --> 1:21:45.600]  agenda, and I walked away from the Church of Satan and dark occultism in general, people
[1:21:45.600 --> 1:21:52.200]  would think that I would naturally not have any more interest in the occult and try to
[1:21:52.200 --> 1:21:55.960]  completely eliminate that from my life, that's not what I did.
[1:21:55.960 --> 1:22:04.040]  I actually went far deeper into occult knowledge, and I kept scratching away, ripping away like
[1:22:04.040 --> 1:22:08.720]  layers of an onion, going deeper and deeper and deeper to the real core of it until I
[1:22:08.720 --> 1:22:14.340]  discovered what they were really hiding from the rest of the world, and that was the knowledge
[1:22:14.340 --> 1:22:16.360]  of natural law.
[1:22:16.360 --> 1:22:23.360]  These people are trying to do anything to prevent a true awakening through the awakening
[1:22:23.360 --> 1:22:27.640]  to how natural law actually works and functions in our reality.
[1:22:27.640 --> 1:22:29.200]  They want anything but that.
[1:22:29.200 --> 1:22:33.440]  They want us analyzing every aspect of the control system.
[1:22:33.440 --> 1:22:39.720]  This is the equivalent of a doctor endlessly looking at a tumor and never actually trying
[1:22:39.720 --> 1:22:44.880]  to do anything to actually get rid of the underlying cause of the cancer of the tumor.
[1:22:44.880 --> 1:22:45.880]  That's what they want.
[1:22:45.880 --> 1:22:50.520]  They want us focused on all of the little minutiae that forms the control system, but
[1:22:50.520 --> 1:22:53.760]  they don't want us to look at causal factors.
[1:22:53.760 --> 1:22:59.080]  This is what delving even deeper into the world of occult knowledge finally revealed
[1:22:59.080 --> 1:23:03.320]  unto me, and it has for many, many, many other researchers throughout time.
[1:23:03.320 --> 1:23:08.760]  It's nothing special in my regard, but by going deeper into this knowledge, I understood,
[1:23:08.760 --> 1:23:14.000]  wow, these people are actually trying to hold back the knowledge of how natural law really
[1:23:14.000 --> 1:23:21.840]  works and how it brings to us the experiences that we are actually creating by putting certain
[1:23:21.840 --> 1:23:24.440]  behaviors out into the world.
[1:23:24.440 --> 1:23:27.920]  I discovered that this is a cause and effect relationship.
[1:23:27.920 --> 1:23:29.520]  That is how natural law functions.
[1:23:29.520 --> 1:23:32.800]  It's the real laws of karma.
[1:23:32.800 --> 1:23:34.920]  It's the real laws of attraction.
[1:23:34.920 --> 1:23:39.000]  It's the real laws of consequence in our lives.
[1:23:39.000 --> 1:23:45.600]  We act through our behavior, and then we receive consequences that are structured and organized
[1:23:45.600 --> 1:23:50.560]  from the universe that bring the results and the effects of the behaviors that we have
[1:23:50.560 --> 1:23:56.960]  put out into the world based on whether those behaviors were truly moral or whether they
[1:23:56.960 --> 1:23:59.160]  were truly immoral.
[1:23:59.160 --> 1:24:05.560]  That brings the dichotomy between religion and a true understanding of natural law because
[1:24:05.560 --> 1:24:10.880]  religion has told us through the ages that there are certain forms of sin, certain forms
