[00:00.000 --> 00:24.120]  It's a helpless feeling.
[48:03.560 --> 48:04.560]  We're all Spartacus
[48:04.560 --> 48:10.560]  And the good news is
[48:10.560 --> 48:11.560]  Not just here in the U.S.
[48:11.560 --> 48:12.560]  But all over the world
[48:12.560 --> 48:14.560]  There are Tucker Carlson, Joe Rogan types
[48:14.560 --> 48:15.560]  Many of which
[48:15.560 --> 48:17.560]  Believed in the system previously
[48:17.560 --> 48:19.560]  But now know it's predatory
[48:19.560 --> 48:20.560]  And coming after everybody
[48:20.560 --> 48:23.560]  And they are now telling their giant audiences
[48:23.560 --> 48:24.560]  That we're dealing with
[48:24.560 --> 48:25.560]  Creepy evil dictators
[48:25.560 --> 48:26.560]  That are our enemies
[48:26.560 --> 48:28.560]  And it's just a fact
[48:28.560 --> 48:30.560]  And if we can't address this plan
[48:30.560 --> 48:31.560]  This Bilderberg group
[48:31.560 --> 48:32.560]  Davos plan
[48:32.560 --> 48:33.560]  That Davos is the Bilderberg group
[48:33.560 --> 48:34.560]  It's public arm
[48:34.560 --> 48:36.560]  Then we have no future
[48:36.560 --> 48:37.560]  And I could cover
[48:37.560 --> 48:38.560]  Again, I've already covered some news
[48:38.560 --> 48:39.560]  But I could cover news all day
[48:39.560 --> 48:40.560]  And I am going to cover the latest
[48:40.560 --> 48:41.560]  In Ukraine in a moment
[48:41.560 --> 48:42.560]  The economy
[48:42.560 --> 48:45.560]  But it's this understanding
[48:45.560 --> 48:46.560]  That's everything
[48:46.560 --> 48:47.560]  That you're not at a football game
[48:47.560 --> 48:49.560]  Where it doesn't matter who wins
[48:49.560 --> 48:50.560]  This is life and death
[48:50.560 --> 48:52.560]  And these people see you as the enemy
[48:52.560 --> 48:54.560]  Because you're eating food
[48:54.560 --> 48:55.560]  And taking resources
[48:55.560 --> 48:56.560]  That they believe is theirs
[48:56.560 --> 48:58.560]  Because they took the planet over
[48:58.560 --> 48:59.560]  Through fractional reserve banking
[48:59.560 --> 49:01.560]  And derivatives and fraud
[49:01.560 --> 49:03.560]  And instead of going to prison
[49:03.560 --> 49:05.560]  They plan to crash the whole system
[49:05.560 --> 49:06.560]  Take everything over
[49:06.560 --> 49:07.560]  Vertically integrate things
[49:07.560 --> 49:09.560]  And make you as poor as possible
[49:09.560 --> 49:11.560]  To then, with a social credit score
[49:11.560 --> 49:12.560]  And universal basic income
[49:12.560 --> 49:14.560]  After they've made us obsolete
[49:14.560 --> 49:18.560]  Sign on to slow death
[49:18.560 --> 49:19.560]  So this is happening
[49:19.560 --> 49:22.560]  And there's nothing more positive
[49:22.560 --> 49:23.560]  When you've got a broken leg
[49:23.560 --> 49:24.560]  And a compound fracture
[49:24.560 --> 49:25.560]  And your bone sticking out
[49:25.560 --> 49:26.560]  The side of your leg
[49:26.560 --> 49:28.560]  To admit you've got a broken leg
[49:28.560 --> 49:30.560]  And to go get the damn thing fixed
[49:30.560 --> 49:31.560]  But we're sitting here
[49:31.560 --> 49:33.560]  With bullet holes in us
[49:33.560 --> 49:34.560]  Bleeding to death
[49:34.560 --> 49:37.560]  And if we can't admit that we got shot
[49:37.560 --> 49:39.560]  And if we can't admit that we're in trouble
[49:39.560 --> 49:41.560]  And if we can't admit the people that did it
[49:41.560 --> 49:42.560]  Are getting ready to chop our head off
[49:42.560 --> 49:43.560]  And finish the job
[49:43.560 --> 49:45.560]  Well, then we're done
[49:45.560 --> 49:47.560]  You've got to get out of your comfort zone
[49:47.560 --> 49:49.560]  You've got to get into survival mode
[49:49.560 --> 49:51.560]  You've got to get into resistance mode
[49:51.560 --> 49:53.560]  You've got to get into the life force
[49:53.560 --> 49:56.560]  You've got to get into the will to survive
[49:56.560 --> 49:58.560]  And thrive and have victory
[50:02.560 --> 50:05.560]  We need to join wills
[50:05.560 --> 50:07.560]  Before God together right now
[50:07.560 --> 50:09.560]  Pray with me
[50:09.560 --> 50:10.560]  Our Heavenly Father
[50:10.560 --> 50:12.560]  We come before you meekly
[50:12.560 --> 50:14.560]  And repent for all of our sins
[50:14.560 --> 50:15.560]  And know that our best works
[50:15.560 --> 50:17.560]  Have a dirty rags before you
[50:17.560 --> 50:20.560]  And your complete absolute perfection
[50:20.560 --> 50:22.560]  We thank you for the gift of consciousness
[50:22.560 --> 50:24.560]  And free will
[50:24.560 --> 50:26.560]  And we ask you to enter our souls
[50:26.560 --> 50:28.560]  And to cleanse us of the evil
[50:28.560 --> 50:30.560]  And to set us upright
[50:30.560 --> 50:33.560]  And help us be engines in vessels of truth and justice
[50:33.560 --> 50:35.560]  To stand against the wickedness
[50:35.560 --> 50:36.560]  That is coming against our children
[50:36.560 --> 50:37.560]  Our very genetic code
[50:37.560 --> 50:39.560]  In the future of our species
[50:39.560 --> 50:42.560]  We humbly ask you to intersect now
[50:42.560 --> 50:43.560]  Via free will
[50:43.560 --> 50:44.560]  And to come into our hearts and souls
[50:44.560 --> 50:45.560]  Together
[50:45.560 --> 50:46.560]  And as a community
[50:46.560 --> 50:47.560]  Make us strong
[50:47.560 --> 50:49.560]  And give us the vision
[50:49.560 --> 50:51.560]  And to lead God and direct us
[50:51.560 --> 50:53.560]  To the important work we must do
[50:53.560 --> 50:55.560]  And to give us the courage
[50:55.560 --> 50:56.560]  And the commitment
[50:56.560 --> 50:59.560]  And the focus to carry out this task
[50:59.560 --> 51:03.560]  In the name of your great sacrifice
[51:03.560 --> 51:05.560]  Of your son Jesus Christ
[51:05.560 --> 51:07.560]  Amen
[51:09.560 --> 51:13.560]  I'm asking all of you to join wills with me now
[51:13.560 --> 51:14.560]  Your will is strong
[51:14.560 --> 51:15.560]  Your will is old
[51:15.560 --> 51:18.560]  Your lineage is powerful
[51:18.560 --> 51:19.560]  They fear you
[51:19.560 --> 51:21.560]  And they fear what we're going to do together
[51:21.560 --> 51:24.560]  We are only in our larval stage right now
[51:24.560 --> 51:27.560]  We are only like the caterpillar
[51:27.560 --> 51:29.560]  That is now going into the chrysalis
[51:29.560 --> 51:31.560]  To become the butterfly
[51:31.560 --> 51:34.560]  The journey has just begun
[51:34.560 --> 51:36.560]  But we must recognize it
[51:36.560 --> 51:38.560]  And we must come together
[51:38.560 --> 51:41.560]  We must join forces
[51:41.560 --> 51:43.560]  We must do it before God
[51:43.560 --> 51:46.560]  We must commit and sign on
[51:46.560 --> 51:48.560]  To the resistance of Satan
[51:48.560 --> 51:51.560]  And obedience to God
[51:51.560 --> 51:55.560]  Resistance to tyrants is obedience to God
[51:55.560 --> 51:57.560]  So said Thomas Jefferson
[51:57.560 --> 51:59.560]  And Jefferson also said
[51:59.560 --> 52:02.560]  I have sworn on the altar of God
[52:02.560 --> 52:07.560]  Eternal resistance over every form of tyranny
[52:07.560 --> 52:11.560]  That attacks the mind of man
[52:11.560 --> 52:14.560]  It was Mark Twain
[52:14.560 --> 52:18.560]  The great intellectual that said
[52:18.560 --> 52:22.560]  In the beginning a patriot is a scarce man
[52:22.560 --> 52:25.560]  Hated, feared, and scorned
[52:25.560 --> 52:28.560]  But in time his cause succeeds
[52:31.560 --> 52:34.560]  The timid join him
[52:34.560 --> 52:39.560]  Because then it cost nothing
[52:39.560 --> 52:42.560]  To be a patriot
[52:42.560 --> 52:45.560]  In the beginning a patriot is a scarce man
[52:45.560 --> 52:47.560]  Hated, feared, and scorned
[52:47.560 --> 52:50.560]  But in time
[52:50.560 --> 52:53.560]  When his cause succeeds
[52:53.560 --> 52:55.560]  The timid join him
[52:55.560 --> 52:58.560]  Because then it cost nothing
[52:58.560 --> 53:00.560]  To be a patriot
[53:00.560 --> 53:02.560]  You are the people listening
[53:02.560 --> 53:04.560]  Of every race, color, and creed
[53:04.560 --> 53:06.560]  Who bleed red blood and love God
[53:06.560 --> 53:08.560]  That are the tip of that spear
[53:08.560 --> 53:10.560]  That are that fire of resistance
[53:10.560 --> 53:12.560]  That are the will of God
[53:12.560 --> 53:14.560]  Manifest on this planet
[53:14.560 --> 53:16.560]  And you must recognize who you are
[53:16.560 --> 53:18.560]  And your strength
[53:18.560 --> 53:20.560]  And know that you do this for the children
[53:20.560 --> 53:23.560]  And you must shut your will in motion
[53:23.560 --> 53:25.560]  Before God
[53:29.560 --> 53:31.560]  And that is the great quest
[53:31.560 --> 53:34.560]  The whole plane of existence on this planet
[53:35.560 --> 53:37.560]  And I want all of us to join together
[53:37.560 --> 53:40.560]  In eternity with God
[53:40.560 --> 53:43.560]  And break the will of Satan
[53:43.560 --> 53:46.560]  In the name of our Lord and Savior Jesus Christ
[53:50.560 --> 53:53.560]  I'm going to give the toll free number out in a moment
[53:53.560 --> 53:55.560]  For first time callers again today
[53:55.560 --> 53:58.560]  And after we put 20 calls on the board
[53:58.560 --> 54:01.560]  We'll open it up to all the callers
[54:01.560 --> 54:03.560]  But I want to give people that have never been able to get through
[54:03.560 --> 54:05.560]  That have tried so many times
[54:05.560 --> 54:07.560]  A chance to join us here
[54:07.560 --> 54:09.560]  To discuss any topic, any issue, nothing's off limits
[54:09.560 --> 54:11.560]  Nothing's censored
[54:11.560 --> 54:12.560]  It's not really a pet peeve
[54:12.560 --> 54:14.560]  It's just been asked to me thousands of times
[54:14.560 --> 54:16.560]  And it's always the same answer
[54:16.560 --> 54:18.560]  When you call in, we don't screen your call
[54:18.560 --> 54:19.560]  If you want to tell us what you're calling about
[54:19.560 --> 54:20.560]  Or where you're calling from
[54:20.560 --> 54:22.560]  Or what the topic is, that's fine
[54:22.560 --> 54:24.560]  But you can say no topic at all
[54:24.560 --> 54:26.560]  We're going to put you on air
[54:26.560 --> 54:28.560]  Just have a clean phone line
[54:28.560 --> 54:30.560]  And then don't ask me on air
[54:30.560 --> 54:32.560]  Can I get into this, can I get into that
[54:32.560 --> 54:34.560]  You are welcome here
[54:34.560 --> 54:36.560]  And the door is open
[54:36.560 --> 54:38.560]  And the table is round
[54:38.560 --> 54:40.560]  Meaning we're all listening to each other
[54:40.560 --> 54:42.560]  And no one's at the head of the table
[54:42.560 --> 54:44.560]  And I respect you
[54:44.560 --> 54:46.560]  And I want to hear your ideas
[54:46.560 --> 54:48.560]  And I appreciate you brothers and sisters
[54:50.560 --> 54:52.560]  The toll free number to join us is
[54:52.560 --> 54:54.560]  877-789-2539
[54:54.560 --> 54:56.560]  877-789-ALEX
[54:56.560 --> 54:58.560]  877-789-2539
[54:58.560 --> 55:00.560]  Before I get back on the news
[55:00.560 --> 55:02.560]  I just want to take a few minutes out here
[55:02.560 --> 55:04.560]  To recognize and appreciate
[55:04.560 --> 55:06.560]  The great crew and the wonderful work they do
[55:06.560 --> 55:08.560]  And to thank all the great listeners
[55:08.560 --> 55:10.560]  And activists and our sponsors
[55:10.560 --> 55:12.560]  And our radio affiliates
[55:12.560 --> 55:14.560]  And TV affiliates from WWCR
[55:14.560 --> 55:16.560]  Right down the line
[55:16.560 --> 55:18.560]  And all the great work they do
[55:18.560 --> 55:20.560]  Because when I get the credit for this broadcast
[55:20.560 --> 55:22.560]  I do not deserve it
[55:22.560 --> 55:24.560]  You come first, you come second
[55:24.560 --> 55:26.560]  I'm just a focal point because
[55:26.560 --> 55:28.560]  I have trouble bending over
[55:28.560 --> 55:30.560]  I have trouble watching scams
[55:30.560 --> 55:32.560]  I have trouble watching liars
[55:32.560 --> 55:34.560]  Get away with things
[55:34.560 --> 55:36.560]  I get angry at pedophiles
[55:36.560 --> 55:38.560]  I have a drive
[55:38.560 --> 55:40.560]  To resist these people
[55:40.560 --> 55:42.560]  Because I know who they are
[55:42.560 --> 55:44.560]  And I know they must be stopped
[55:44.560 --> 55:46.560]  Because I know deep down the fire
[55:46.560 --> 55:48.560]  I've got in my heart and my belly
[55:48.560 --> 55:50.560]  And my will that's driving me
[55:50.560 --> 55:52.560]  To defeat these people
[55:52.560 --> 55:54.560]  Is because that's what
[55:54.560 --> 55:56.560]  God demands
[55:56.560 --> 55:58.560]  It is not something you elect to do
[55:58.560 --> 56:00.560]  You will do it
[56:00.560 --> 56:02.560]  Or you will be cut off
[56:02.560 --> 56:04.560]  For eternity from God
[56:04.560 --> 56:06.560]  And be put with these people
[56:06.560 --> 56:08.560]  And you do not want to be with the left hand path
[56:08.560 --> 56:10.560]  You do not want to be
[56:10.560 --> 56:12.560]  With Aleister Crowley
[56:12.560 --> 56:14.560]  And Madame Blavatsky
[56:14.560 --> 56:16.560]  And the whole New World Order
[56:16.560 --> 56:20.560]  And the system of where they've gone
[56:20.560 --> 56:22.560]  You want to be
[56:22.560 --> 56:24.560]  With the progenitor of life
[56:24.560 --> 56:26.560]  The creator of free will
[56:26.560 --> 56:28.560]  The true architect of the entire system
[56:28.560 --> 56:30.560]  It's said that Satan's called
[56:30.560 --> 56:32.560]  The great architect
[56:32.560 --> 56:34.560]  People go, oh, the great architect
[56:34.560 --> 56:36.560]  Satan is a counterfeit
[56:36.560 --> 56:38.560]  And everything Satan
[56:38.560 --> 56:40.560]  Claims he gives you is a lie
[56:40.560 --> 56:42.560]  Satan claims, oh, great sex
[56:42.560 --> 56:44.560]  Wild parties
[56:44.560 --> 56:46.560]  God gave us sex
[56:46.560 --> 56:48.560]  God gave us wealth
[56:48.560 --> 56:50.560]  Everything we have
[56:50.560 --> 56:52.560]  And we have to recognize that
[56:52.560 --> 56:54.560]  And make that
[56:54.560 --> 56:56.560]  Interdimensional, intergalactic
[56:56.560 --> 56:58.560]  Interstellar connection to that
[56:58.560 --> 57:00.560]  And it's there and it's waiting
[57:00.560 --> 57:02.560]  For the channel to be open
[57:02.560 --> 57:04.560]  But you must open the channel
[57:06.560 --> 57:08.560]  Open the channel with us today
[57:08.560 --> 57:10.560]  877-789-2539
[57:10.560 --> 57:12.560]  We're going to go to break
[57:12.560 --> 57:14.560]  We're going to come back
[57:14.560 --> 57:16.560]  We're going to cover a ton of news
[57:16.560 --> 57:18.560]  On Russia, the economy
[57:18.560 --> 57:20.560]  Censorship, Elon Musk
[57:20.560 --> 57:22.560]  And so much more
[57:22.560 --> 57:24.560]  A bunch of key clips
[57:24.560 --> 57:26.560]  Joe Rogan going after
[57:26.560 --> 57:28.560]  Trudeau up in Canada
[57:28.560 --> 57:30.560]  And so much more today
[57:30.560 --> 57:32.560]  On the Infowar
[57:32.560 --> 57:34.560]  Infowars.com
[57:34.560 --> 57:36.560]  Where the resistance lives
[57:36.560 --> 57:38.560]  Infowars.com
[57:38.560 --> 57:40.560]  The tip of the spear
[57:40.560 --> 57:42.560]  You are the Infowar
[57:42.560 --> 57:44.560]  You made the Infowar
[57:44.560 --> 57:46.560]  And I thank you and I salute you
[57:48.560 --> 57:50.560]  We are now proud to release
[57:50.560 --> 57:52.560]  The Redux line of Faraday bags
[57:52.560 --> 57:54.560]  This line features quick roll down
[57:54.560 --> 57:56.560]  And Belcro seal closures
[57:56.560 --> 57:58.560]  With discreet branding
[57:58.560 --> 58:00.560]  With six different sizes to choose from
[58:00.560 --> 58:02.560]  They have a signature reduction solution
[58:02.560 --> 58:04.560]  For all of your electronic device needs
[58:04.560 --> 58:06.560]  Redux specializes in quick access
[58:06.560 --> 58:08.560]  Weatherproof nylon Faraday bags
[58:08.560 --> 58:10.560]  With signal blocking Faraday shielding technology
[58:10.560 --> 58:12.560]  Specifically designed
[58:12.560 --> 58:14.560]  For electronic devices
[58:14.560 --> 58:16.560]  Carried in unsecured locations
[58:16.560 --> 58:18.560]  To instantly block all wireless signals
[58:18.560 --> 58:20.560]  And protect them from remote wiping
[58:20.560 --> 58:22.560]  Tracking and tampering
[58:22.560 --> 58:24.560]  Redux is dedicated
[58:24.560 --> 58:26.560]  To producing and selling
[58:26.560 --> 58:28.560]  Cost-effective signature
[58:28.560 --> 58:30.560]  Reduction products
[58:30.560 --> 58:32.560]  For professionals needing to secure devices
[58:32.560 --> 58:34.560]  From wireless threats
[58:34.560 --> 58:36.560]  And more
[58:36.560 --> 58:38.560]  So check out Redux
[58:38.560 --> 58:40.560]  To instantly block cellular
[58:40.560 --> 58:42.560]  Wi-Fi, Bluetooth, RFID
[58:42.560 --> 58:44.560]  Camera, EMP
[58:44.560 --> 58:46.560]  Weather and even
[58:46.560 --> 58:48.560]  GPS today
[58:48.560 --> 58:50.560]  Over the years
[58:50.560 --> 58:52.560]  Infowars has produced more than
[58:52.560 --> 58:54.560]  200 amazing
[58:54.560 --> 58:56.560]  Patriot Americana
[58:56.560 --> 58:58.560]  Second Amendment pro-liberty themed
[58:58.560 --> 59:00.560]  T-shirts, ball caps, flags
[59:00.560 --> 59:02.560]  You name it
[59:02.560 --> 59:04.560]  All of the apparel and the flags are being sold
[59:04.560 --> 59:06.560]  At cost right now
[59:06.560 --> 59:08.560]  That's just regular plain chain shirts
[59:08.560 --> 59:10.560]  That is all sorts of designer
[59:10.560 --> 59:12.560]  Shirts that cost us
[59:12.560 --> 59:14.560]  $15, $20, $25 to produce
[59:14.560 --> 59:16.560]  We used to sell for $40
[59:16.560 --> 59:18.560]  We're selling them for $15, selling them for $20
[59:18.560 --> 59:20.560]  Whatever the shirt costs us
[59:20.560 --> 59:22.560]  A shirt costs $5, we're selling it for $5
[59:22.560 --> 59:24.560]  For us to actually produce
[59:24.560 --> 59:26.560]  It costs $10, we're selling it for $10
[59:26.560 --> 59:28.560]  And we've got hoodies and we've got long sleeves
[59:28.560 --> 59:30.560]  And we've got short sleeves, we've got them all
[59:30.560 --> 59:32.560]  And we've got to liquidate them all
[59:32.560 --> 59:34.560]  Because we're never going to make
[59:34.560 --> 59:36.560]  Any of these designs again
[59:36.560 --> 59:38.560]  We are going to come out with some new designs
[59:38.560 --> 59:40.560]  That will be limited, limited edition
[59:40.560 --> 59:42.560]  In the future, we've got to sell this
[59:42.560 --> 59:44.560]  To keep M4s on the air, plus it spreads the word
[59:44.560 --> 59:46.560]  InfowarsStore.com
[59:46.560 --> 1:00:02.560]  Leading a frontal assault on the lies of the New World Order
[1:00:02.560 --> 1:00:04.560]  Now into hour number two
[1:00:04.560 --> 1:00:06.560]  The phone lines are loading up here on the Alex Jones show
[1:00:06.560 --> 1:00:08.560]  We'll talk more about how Biden must be impeached
[1:00:08.560 --> 1:00:10.560]  And so much more in the next segment
[1:00:10.560 --> 1:00:12.560]  I want to play a few clips here
[1:00:12.560 --> 1:00:14.560]  With Congressman
[1:00:14.560 --> 1:00:16.560]  Carmack and
[1:00:16.560 --> 1:00:18.560]  Congresswoman Marjorie Taylor Greene
[1:00:18.560 --> 1:00:20.560]  Talking about food security
[1:00:20.560 --> 1:00:22.560]  Is national security and where the baby formula
[1:00:22.560 --> 1:00:24.560]  Is being sent, of course
[1:00:24.560 --> 1:00:26.560]  And just how sick all of this is
[1:00:26.560 --> 1:00:28.560]  As they try to overtake the carrying capacity
[1:00:28.560 --> 1:00:30.560]  Of the western world and collapse it
[1:00:30.560 --> 1:00:32.560]  This is true siege
[1:00:32.560 --> 1:00:34.560]  21st century warfare
[1:00:34.560 --> 1:00:36.560]  Being carried out against you and your family
[1:00:36.560 --> 1:00:38.560]  And we have got to get
[1:00:38.560 --> 1:00:40.560]  The pastors and the talk show host
[1:00:40.560 --> 1:00:42.560]  And the legislators and the governors
[1:00:42.560 --> 1:00:44.560]  Just saying no, we are not
[1:00:44.560 --> 1:00:46.560]  Going to be part of this and we realize
[1:00:46.560 --> 1:00:48.560]  The global corporations are squeezing small
[1:00:48.560 --> 1:00:50.560]  Companies and individuals and families
[1:00:50.560 --> 1:00:52.560]  To destroy us. All right, here are these two
[1:00:52.560 --> 1:00:54.560]  Important statements back to back
[1:00:54.560 --> 1:00:56.560]  And we'll go to break and come back with your calls
[1:00:56.560 --> 1:00:58.560]  And right now we have a food security crisis
[1:00:58.560 --> 1:01:00.560]  For the most vulnerable of Americans
[1:01:00.560 --> 1:01:02.560]  The ones that we cherish the most
[1:01:02.560 --> 1:01:04.560]  And that's our babies
[1:01:04.560 --> 1:01:06.560]  Moms and dads all over the country
[1:01:06.560 --> 1:01:08.560]  Some of them are traveling
[1:01:08.560 --> 1:01:10.560]  Hours every single day
[1:01:10.560 --> 1:01:12.560]  Looking for baby formulas
[1:01:12.560 --> 1:01:14.560]  They can't find it in their local grocery stores
[1:01:14.560 --> 1:01:16.560]  They are reaching out to friends and families
[1:01:16.560 --> 1:01:18.560]  And making new friends in Facebook groups
[1:01:18.560 --> 1:01:20.560]  And online as they are searching
[1:01:20.560 --> 1:01:22.560]  To find baby formula
[1:01:22.560 --> 1:01:24.560]  Even mothers that have been giving their babies
[1:01:24.560 --> 1:01:26.560]  Baby formula are now searching out
[1:01:26.560 --> 1:01:28.560]  Restfeeding mothers looking to buy
[1:01:28.560 --> 1:01:30.560]  An extra supply of milk
[1:01:30.560 --> 1:01:32.560]  If they are willing to share it or sell it
[1:01:32.560 --> 1:01:34.560]  This is a crisis that should never be happening
[1:01:34.560 --> 1:01:36.560]  And this is completely
[1:01:36.560 --> 1:01:38.560]  Squarely on the shoulders of
[1:01:38.560 --> 1:01:40.560]  The administration and the Democrats
[1:01:40.560 --> 1:01:42.560]  That are controlling our government
[1:01:42.560 --> 1:01:44.560]  You see, this didn't start just last month
[1:01:44.560 --> 1:01:46.560]  It was July of last year
[1:01:46.560 --> 1:01:48.560]  When baby formula shortages started
[1:01:48.560 --> 1:01:50.560]  And that happened because of COVID
[1:01:50.560 --> 1:01:52.560]  Lockdowns and the complete
[1:01:52.560 --> 1:01:54.560]  System shutdown in our supply chains
[1:01:54.560 --> 1:01:56.560]  Now with rising inflation
[1:01:56.560 --> 1:01:58.560]  And fuel prices
[1:01:58.560 --> 1:02:00.560]  This is going to continue
[1:02:00.560 --> 1:02:02.560]  This is not going to remedy itself quickly
[1:02:02.560 --> 1:02:04.560]  We also have over-regulation
[1:02:04.560 --> 1:02:06.560]  Through the FDA
[1:02:06.560 --> 1:02:08.560]  And this has been going on for years
[1:02:08.560 --> 1:02:10.560]  Label requirements, shipping requirements
[1:02:10.560 --> 1:02:12.560]  And very strict rules
[1:02:12.560 --> 1:02:14.560]  When it comes to baby formula
[1:02:14.560 --> 1:02:16.560]  So it's not just getting a supply here at home
[1:02:16.560 --> 1:02:18.560]  It's difficult to get it from overseas
[1:02:18.560 --> 1:02:20.560]  When you have mothers crying
[1:02:20.560 --> 1:02:22.560]  In grocery stores because
[1:02:22.560 --> 1:02:24.560]  They can't find food to feed their babies
[1:02:24.560 --> 1:02:26.560]  That is a critical sign
[1:02:26.560 --> 1:02:28.560]  That we are in a country in despair
[1:02:28.560 --> 1:02:30.560]  We are a country in crisis
[1:02:30.560 --> 1:02:32.560]  And we have to do everything we can
[1:02:32.560 --> 1:02:34.560]  To change it
[1:02:34.560 --> 1:02:36.560]  We know this government is failing
[1:02:36.560 --> 1:02:38.560]  The American people
[1:02:38.560 --> 1:02:40.560]  The taxpayers and its citizens
[1:02:40.560 --> 1:02:42.560]  Pictures are emerging
[1:02:42.560 --> 1:02:44.560]  Today from the border
[1:02:44.560 --> 1:02:46.560]  Where the Biden administration has been
[1:02:46.560 --> 1:02:48.560]  Sending pallets of baby
[1:02:48.560 --> 1:02:50.560]  Baby formula
[1:02:50.560 --> 1:02:52.560]  For illegal mothers and their babies
[1:02:52.560 --> 1:02:54.560]  While American mothers and babies
[1:02:54.560 --> 1:02:56.560]  Cannot find baby formula
[1:02:56.560 --> 1:02:58.560]  This is completely unacceptable
[1:02:58.560 --> 1:03:00.560]  And this needs to end
[1:03:00.560 --> 1:03:02.560]  Now
[1:03:02.560 --> 1:03:04.560]  One thing to say
[1:03:04.560 --> 1:03:06.560]  And this is something that
[1:03:06.560 --> 1:03:08.560]  It's hard to even imagine
[1:03:08.560 --> 1:03:10.560]  But we cannot trust our government
[1:03:10.560 --> 1:03:12.560]  If you're an expecting mother
[1:03:12.560 --> 1:03:14.560]  I urge you, strongly urge you
[1:03:14.560 --> 1:03:16.560]  To do the best you can to try to breastfeed your baby
[1:03:16.560 --> 1:03:18.560]  Because you cannot depend
[1:03:18.560 --> 1:03:20.560]  On this government
[1:03:20.560 --> 1:03:22.560]  That is supposedly running our country
[1:03:22.560 --> 1:03:24.560]  To create the right conditions
[1:03:24.560 --> 1:03:26.560]  In our economy
[1:03:26.560 --> 1:03:28.560]  For you to be able to find baby formula
[1:03:28.560 --> 1:03:30.560]  And this should never ever happen
[1:03:30.560 --> 1:03:32.560]  I think Congresswoman Stefanik
[1:03:32.560 --> 1:03:34.560]  I think my colleagues that we're all
[1:03:34.560 --> 1:03:36.560]  Joining together to work on this
[1:03:36.560 --> 1:03:38.560]  Absolutely have to share with you right now
[1:03:38.560 --> 1:03:40.560]  Is the craziness of the
[1:03:40.560 --> 1:03:42.560]  Empty shelves Biden movement
[1:03:42.560 --> 1:03:44.560]  And the fact that they are sending pallets
[1:03:44.560 --> 1:03:46.560]  Pallets
[1:03:46.560 --> 1:03:48.560]  Of baby formula to the border
[1:03:48.560 --> 1:03:50.560]  Meanwhile, in our own district
[1:03:50.560 --> 1:03:52.560]  At home, we cannot
[1:03:52.560 --> 1:03:54.560]  Find baby formula
[1:03:54.560 --> 1:03:56.560]  This is a picture from a target
[1:03:56.560 --> 1:03:58.560]  Oh, it's upside down, sorry
[1:03:58.560 --> 1:04:00.560]  Okay, we literally
[1:04:00.560 --> 1:04:02.560]  Are struggling to find
[1:04:02.560 --> 1:04:04.560]  Baby formula around the country
[1:04:04.560 --> 1:04:06.560]  Moms are struggling
[1:04:06.560 --> 1:04:08.560]  Going from store to store to store
[1:04:08.560 --> 1:04:10.560]  And then the stores are actually capping
[1:04:10.560 --> 1:04:12.560]  The amount of baby formula
[1:04:12.560 --> 1:04:14.560]  That they will sell them
[1:04:14.560 --> 1:04:16.560]  And this got sent to me by a
[1:04:16.560 --> 1:04:18.560]  Border patrol agent this morning
[1:04:18.560 --> 1:04:20.560]  And said, this is disgusting
[1:04:20.560 --> 1:04:22.560]  You will not believe this
[1:04:22.560 --> 1:04:24.560]  They're receiving pallets
[1:04:24.560 --> 1:04:26.560]  And more pallets
[1:04:26.560 --> 1:04:28.560]  Of baby formula
[1:04:28.560 --> 1:04:30.560]  At the border
[1:04:30.560 --> 1:04:32.560]  This was taken at Ursula
[1:04:32.560 --> 1:04:34.560]  Processing facility
[1:04:34.560 --> 1:04:36.560]  Where thousands are being
[1:04:36.560 --> 1:04:38.560]  Housed and processed
[1:04:38.560 --> 1:04:40.560]  And then released subsequently
[1:04:40.560 --> 1:04:42.560]  Into the United States
[1:04:42.560 --> 1:04:44.560]  So think about this
[1:04:44.560 --> 1:04:46.560]  This is what America last looks like
[1:04:46.560 --> 1:04:48.560]  This is 100% what it looks like
[1:04:48.560 --> 1:04:50.560]  And in response, Congress
[1:04:50.560 --> 1:04:52.560]  We actually before I even got these photos
[1:04:52.560 --> 1:04:54.560]  We were working
[1:04:54.560 --> 1:04:56.560]  With
[1:04:56.560 --> 1:04:58.560]  Here at Info Wars
[1:04:58.560 --> 1:05:00.560]  Our slogan is
[1:05:00.560 --> 1:05:02.560]  Tomorrow's news today
[1:05:02.560 --> 1:05:04.560]  Whether it's politics or health
[1:05:04.560 --> 1:05:06.560]  Or spirituality
[1:05:06.560 --> 1:05:08.560]  Weird about bringing you the very best
[1:05:08.560 --> 1:05:10.560]  Documented, accurate
[1:05:10.560 --> 1:05:12.560]  Real world information
[1:05:12.560 --> 1:05:14.560]  And when it comes to our supplements
[1:05:14.560 --> 1:05:16.560]  They are so game changing for your body
[1:05:16.560 --> 1:05:18.560]  For your health, your immunity, your libido
[1:05:18.560 --> 1:05:20.560]  Your middle clarity
[1:05:20.560 --> 1:05:22.560]  They're incredible
[1:05:22.560 --> 1:05:24.560]  X2 is definitely
[1:05:24.560 --> 1:05:26.560]  The most amazing
[1:05:26.560 --> 1:05:28.560]  It is the purest, highest quality
[1:05:28.560 --> 1:05:30.560]  Atomic iodine you're going to find
