[00:00:06.405 --> 00:00:09.189]  Well, here we are ladies and gentlemen in the year 2022.
[00:28:11.659 --> 00:28:17.902]  This is now gaining traction, which is why Google had to rush in and try and censor this concept.
[00:28:17.902 --> 00:28:21.323]  But many people have been talking about this concept.
[00:28:21.323 --> 00:28:28.187]  It kicked off with Matthias Desmet talking about this on YouTube, and it was actually
[00:28:28.727 --> 00:28:35.869]  That, that made Dr. Malone reach out to me and say, hey, I'm really intrigued by this whole concept of what I think is going on.
[00:28:35.869 --> 00:28:41.070]  I've been trying to figure out why people are ignoring the data, why they are censoring the truth.
[00:28:41.070 --> 00:28:45.691]  And I just listened to this, this breakdown from Matias, and I want to talk to you about it.
[00:28:45.691 --> 00:28:49.392]  And so that's how it led to the month ago that we were talking about this before.
[00:28:49.392 --> 00:28:50.192]  But more on that.
[00:28:50.192 --> 00:28:51.752]  We'll be talking about that much more to come.
[00:28:51.752 --> 00:28:53.193]  So stick around.
[00:28:53.193 --> 00:28:54.473]  I'll see you on the other side.
[00:28:58.985 --> 00:29:14.510]  Christmas 2021 is over, but you've still got a really great chance to give yourself the gift of free speech and liberty and freedom into the new year, while at the same time making yourself healthier, wealthier, and wiser by boosting your immune system.
[00:29:14.510 --> 00:29:19.992]  Two of our top-selling products that have been sold out for a long time are now back in stock.
[00:29:20.712 --> 00:29:27.018]  Winter Sun, the highest quality vitamin D3, take it under the tongue for higher absorption, is back in stock.
[00:29:27.018 --> 00:29:30.461]  Despite the fact it's been sold out for months, it is 50% off.
[00:29:30.461 --> 00:29:43.774]  And then our number one bestseller of all time, Survival Shield X2 Deep Earth Crystal Iodine, the game changer, the missing link, not just for immune system, but all electrochemical activity in the body, it's back in stock, 50% off.
[00:29:43.774 --> 00:29:45.276]  So that's the New Year's special.
[00:29:45.796 --> 00:29:49.037]  And that's Christmas Comes Early in 2022, ladies and gentlemen.
[00:29:49.037 --> 00:29:55.959]  Give yourself the gift of health and clarity and focus with X2 and Winter Sun at infowarestore.com.
[00:29:55.959 --> 00:29:57.799]  50% off for a limited time.
[00:29:57.799 --> 00:29:58.999]  Thanks for keeping us on the air.
[00:29:58.999 --> 00:30:01.240]  Why do my enemies hate me so much?
[00:30:01.240 --> 00:30:02.820]  Why do the globalists hate you so much?
[00:30:02.820 --> 00:30:04.841]  Why do they hate America so much?
[00:30:05.701 --> 00:30:13.124]  Because it's an idea of freedom that their tyrannical system that they're pushing cannot coexist with.
[00:30:13.124 --> 00:30:14.064]  It's very, very simple.
[00:30:14.064 --> 00:30:25.928]  For their world government, their anti-human, post-human, eugenic system to flourish, freedom and liberty and due process injustice and God-fearing systems must fail.
[00:30:26.708 --> 00:30:29.249]  So sure, you didn't start a fight with Bill Gates.
[00:30:29.249 --> 00:30:32.230]  You didn't start a fight with David Rockefeller.
[00:30:32.230 --> 00:30:34.171]  You didn't start a fight with the UN.
[00:30:34.171 --> 00:30:37.172]  They started a fight with you.
[00:30:37.172 --> 00:30:45.715]  And they're not gonna back down, and they're not gonna go away, and they're not going to ever stop their attacks until they have the fear of God put into them.
[00:30:46.395 --> 00:30:52.040]  The average person still doesn't even know about the New World Order, or about globalism, or about corporate fascism.
[00:30:52.040 --> 00:30:57.605]  And it's not until people understand that, and that we're under attack, that we have any chance of beating these people.
[00:30:58.757 --> 00:31:15.008]  In late August, InfoWars saw an explosion of orders because our audience understands that the globalists are destabilizing the planet by design and are attempting to cause an economic and financial collapse worldwide.
[00:31:15.008 --> 00:31:18.651]  Now, ladies and gentlemen, storable food has always been something that's important to have.
[00:31:18.651 --> 00:31:25.356]  It's a checkbox that everybody needs to have taken care of, right along with water filtration, self-defense, and a relationship with God.
[00:31:25.976 --> 00:31:30.038]  But now more than ever, you need to get your storable food orders in now.
[00:31:30.038 --> 00:31:32.799]  We're ready to ship to you within 24 hours of your order.
[00:31:32.799 --> 00:31:33.620]  It's high quality.
[00:31:33.620 --> 00:31:36.821]  It's very, very low cost at infowarestore.com.
[00:31:36.821 --> 00:31:44.185]  Because in the future, you're going to see more food supply shortages and you're going to see food supply price increases that are already taking place.
[00:31:44.185 --> 00:31:48.127]  So lock in your storable food now at a lower price and fund the info war.
[00:31:48.427 --> 00:31:48.768]  That's right.
[00:31:58.692 --> 00:32:08.461]  Since the end of World War II, the globalists have been building their private corporate world government, whose endgame, once they get control, is forced depopulation of the planet.
[00:32:08.461 --> 00:32:19.230]  That's why as we begin to leave the year 2021 and go into 2022, I am encouraging all of you out there watching and listening to count the cost and to realize how much danger you and your family are in.
[00:32:19.230 --> 00:32:21.352]  The globalists are coming after everybody.
[00:32:21.352 --> 00:32:25.716]  They are setting up a dystopic planetary authoritarian technocracy.
[00:32:26.096 --> 00:32:28.558]  A dictatorship of the globalist.
[00:32:28.558 --> 00:32:30.980]  Ladies and gentlemen, InfoWars is the tip of the spear.
[00:32:30.980 --> 00:32:35.984]  Your investment in us over the years, buying our products, spreading the word, and praying for us has been incredible.
[00:32:35.984 --> 00:32:41.588]  But I'm telling you right now, we're about to lose not just InfoWars, but the entire country and the world to tyranny.
[00:32:41.588 --> 00:32:45.191]  So now, everything you've done in the past needs to be redoubled today.
[00:32:45.191 --> 00:32:50.875]  And InfoWarsStore.com is one of the most important places you can go to buy great products and fund the tip of the spear.
[00:32:50.875 --> 00:32:52.036]  I will go down with the ship.
[00:32:52.036 --> 00:32:53.057]  I'm not going to back down.
[00:32:53.057 --> 00:32:54.498]  I'm getting even more hardcore in their face.
[00:32:54.758 --> 00:32:58.061]  But I can't stay in the fight at 100% unless you support us, so please go to InfoWars4.com.
[00:33:24.431 --> 00:33:27.952]  Welcome back to InfoWars Special Sunday Edition.
[00:33:27.952 --> 00:33:30.113]  Thank you for allowing me to guest host.
[00:33:30.113 --> 00:33:33.754]  Today we are coming off the major interview with Dr. Robert Malone.
[00:33:33.754 --> 00:33:36.254]  The first time I got to meet him in person.
[00:33:36.254 --> 00:33:46.097]  We've been doing multiple interviews with Dr. Malone, but it's been through Skype or Zoom, and this was the first opportunity I got to sit down with him one-on-one, person-to-person.
[00:33:46.557 --> 00:33:51.719]  In our studio here directly following the interview with Joe Rogan.
[00:33:51.719 --> 00:34:06.725]  So that was interesting and you can find the whole full interview on Band.Video, but you can also find the highlights version if there's folks that haven't committed to maybe sitting down for three hours and watching the Joe Rogan or the hour plus and watching the full one.
[00:34:06.725 --> 00:34:13.367]  Maybe you just want to send them the highlights version, which we also have up on Band.Video.
[00:34:13.367 --> 00:34:15.188]  So we were talking about how this whole concept
[00:34:15.988 --> 00:34:24.374]  One of the things he mentioned, oh also, InfoWars.com, you can see the whole breakdown in this mass formation psychosis term that we're talking about.
[00:34:24.374 --> 00:34:32.979]  What we're talking about is that he was talking about this subject, this idea, on Joe Rogan and it's taken off.
[00:34:32.979 --> 00:34:35.761]  There's hundreds, well there's over 120,000, 160,000 I think, tweets
[00:34:39.043 --> 00:34:40.624]  On mass formation psychosis.
[00:34:40.624 --> 00:34:47.646]  People are really intrigued by this concept because I think so many of us have been starving to know, what is it with people?
[00:34:47.646 --> 00:34:50.007]  How can they not see what's going on?
[00:34:50.007 --> 00:34:57.269]  And this offers a reason in a concept of that people are simply, truly hypnotized.
[00:34:57.269 --> 00:35:02.211]  That they used a strategy to get people to not question, to be afraid,
[00:35:02.791 --> 00:35:10.816]  And to, you can't barely break it, no matter how much information, no matter how much data you share with them, they just can't break it.
[00:35:10.816 --> 00:35:18.300]  But we've been talking about that for a while now, but it's really picking up steam, obviously, since his interview with Joe Rogan.
[00:35:18.300 --> 00:35:22.202]  So here's another example from a conservative playbook.
[00:35:23.326 --> 00:35:27.989]  In his book, United States of Fear Psychiatrist, Mark McDonald diagnoses the U.S.
[00:35:27.989 --> 00:35:35.634]  as suffering from mass delusional psychosis driven by an irrational fear of what is now a rather innocuous virus.
[00:35:35.634 --> 00:35:40.857]  The fearful overreaction, which we all saw, that tickered on the news screen every day,
[00:35:41.457 --> 00:35:43.718]  Didn't have its origin in what happened in 2020.
[00:35:43.718 --> 00:35:52.143]  Government, corporations, and powerful individuals have engaged in a systematic grooming effort toward irrational fear addiction for decades.
[00:35:52.143 --> 00:35:55.544]  Without fear, they cannot rob us of our freedoms.
[00:35:55.544 --> 00:36:07.310]  The underlying motivation of this psychological campaign has been an attack on the core structures, foundations, and institutions of society in order to nurture a sense of dependency on government.
[00:36:07.310 --> 00:36:08.531]  Oh, our nanny government.
[00:36:09.111 --> 00:36:15.975]  To overcome their addiction to fear, a person must still have a sense of curiosity and be willing to look at new information.
[00:36:15.975 --> 00:36:22.118]  If they're not, they're not treatable and cannot be stopped from trading their, and our, freedom for a false sense of security.
[00:36:22.118 --> 00:36:30.723]  So the key is finding those who are still open and receptive to new information so that we can reach a tipping point where there are more fearless people than fear-addicted ones.
[00:36:30.723 --> 00:36:32.764]  Now when I have my conversation with Dr. Malone,
[00:36:33.524 --> 00:36:41.206]  A little over a month ago, and you can find that conversation specifically on this topic, this mass formation psychosis.
[00:36:41.206 --> 00:36:53.089]  When we were talking about it, he said another way that you can attempt to break the hypnosis is to drip the truth, just constantly, just constantly drip the truth and show them the data.
[00:36:53.089 --> 00:36:56.510]  And even when you feel like you're not making any progress, just keep it up.
[00:36:56.510 --> 00:36:59.071]  So keep on sending those clips from Band.Video.
[00:36:59.071 --> 00:37:00.451]  Keep on sending those InfoWars.
[00:37:01.652 --> 00:37:08.796]  You never know if that will be the one that will hopefully break the literal hypnosis that's going on.
[00:37:08.796 --> 00:37:22.024]  But if you really are anxious to dig into that because Google is censoring your ability to look at that, make sure you go to BAN.VIDEO and find that video there on BAN.VIDEO, my page.
[00:37:22.024 --> 00:37:25.927]  So I wanted to kind of also give you background on how this came out.
[00:37:29.569 --> 00:37:35.391]  He was intrigued by an interview he'd seen with Matthias Desmond, who was breaking down this concept.
[00:37:35.391 --> 00:37:36.292]  And he's like, that's it.
[00:37:36.292 --> 00:37:41.494]  And so he, Dr. Malone, really dug deeper and looked into this concept.
[00:37:41.494 --> 00:37:44.855]  And he actually contacted me and said, I think we should do an interview on this.
[00:37:44.855 --> 00:37:49.597]  So I'm like, OK, of course, which is, again, posted on Band.Video.
[00:37:49.597 --> 00:37:54.679]  And so I had also posted this interview on YouTube.
[00:37:55.612 --> 00:38:04.961]  Well, YouTube took it down, gave me a strike, and I was actually surprised because I've tried to strategize how to get around the censorship with YouTube.
[00:38:04.961 --> 00:38:15.370]  Maybe post smaller things or avoid outright claims about vaccines or effectiveness, you know, is the way that you're supposed to try and strategize on YouTube.
[00:38:15.370 --> 00:38:21.315]  So I'm like, well, I think this one will survive because we're just talking about a concept and the original
[00:38:24.037 --> 00:38:28.998]  Well, this should be fine to post on YouTube.
[00:38:28.998 --> 00:38:30.579]  I'll go ahead and try.
[00:38:30.579 --> 00:38:40.482]  I was actually surprised that they immediately took it down and labeled it as inappropriate content and misinformation.
[00:38:40.482 --> 00:38:46.724]  So I made an appeal and said, we were just giving commentary on a concept and that video is still up.
[00:38:47.464 --> 00:38:49.705]  And no, it didn't work, of course.
[00:38:49.705 --> 00:38:57.029]  And so I've come to think that YouTube is just going to take any video down that has Dr. Malone in it, period.
[00:38:57.029 --> 00:38:58.870]  But here's the other interesting thing.
[00:38:58.870 --> 00:39:11.798]  When Dr. Malone had reached out over a month ago, saying that he wanted to talk about this concept of mass formation psychosis, I had gone to YouTube to find the original interview that intrigued him, and it came right up.
[00:39:12.697 --> 00:39:18.299]  Well today when I was looking for that original video, that is not what comes up.
[00:39:18.299 --> 00:39:31.643]  They have purged that from being the first thing that comes up and of course, much like Google, the first things that come up are just criticisms of Dr. Malone and criticisms of this concept in general.
[00:39:32.603 --> 00:39:35.626]  So yeah, I can't even find the original video.
[00:39:35.626 --> 00:39:41.051]  So it also brings up this idea of censoring now concepts.
[00:39:41.051 --> 00:39:45.534]  So we've kind of gotten used to that you can't actually put the truth out there.
[00:39:45.534 --> 00:39:52.821]  You can't actually give data on anything that could be perceived as negative with vaccines, but concepts?
[00:39:52.821 --> 00:39:58.426]  Well, Cheryl Atkinson, another truth-telling journalist that's been in the game for a long time,
[00:39:58.906 --> 00:40:03.389]  And also, we've had an interview with her that you can find on BAN.VIDEO, just so you know.
[00:40:03.389 --> 00:40:11.193]  But Cheryl Atkinson's no stranger now to this censorship, and she had written this article a while back, and this made me think of it.
[00:40:11.193 --> 00:40:14.775]  So she wrote, they censor factual information.
[00:40:14.775 --> 00:40:15.156]  Facebook.
[00:40:15.916 --> 00:40:23.783]  It's a dynamic that might even make George Orwell shake his head and say, even I never predicted it would be this blatant and allowed to continue.
[00:40:23.783 --> 00:40:26.305]  You're not going to believe this if you hadn't heard it already.
[00:40:26.305 --> 00:40:35.412]  Facebook banned a post I made that was nothing more than a factual citation of a historical quote from Hitler's propagandist Goebbels.
[00:40:35.412 --> 00:40:39.255]  It was posted entirely without comment.
[00:40:39.255 --> 00:40:43.399]  It was literally just a quote from propagandist Goebbels.
[00:40:44.039 --> 00:40:51.205]  The first ban of the information came with me getting knocked off of Facebook for three days when I posted a follow-up factually explaining what happened.
[00:40:51.205 --> 00:40:53.347]  That got a seven-day ban.
[00:40:53.347 --> 00:40:57.550]  If I keep posting that factual information, I may not be there much longer.
[00:40:57.550 --> 00:40:59.392]  So here are the posts.
[00:40:59.392 --> 00:41:03.695]  Here's the post that she originally put on Facebook that got her a three-day ban.
[00:41:03.695 --> 00:41:06.998]  It is simply a quote from Joseph Goebbels, and the quote is,
[00:41:07.458 --> 00:41:15.862]  It would not be impossible to prove with sufficient repetition and psychological understanding of the people concerned that a square is in fact a circle.
[00:41:15.862 --> 00:41:21.344]  They are mere words and words can be molded until they clothe ideas in disguise.
[00:41:21.344 --> 00:41:27.666]  So with no explanation, just posting a quote got her banned for three days.
[00:41:27.666 --> 00:41:30.968]  And then when she tried to explain that Facebook did this,
[00:41:32.196 --> 00:41:33.317]  Just a quote.
[00:41:33.317 --> 00:41:35.940]  Then she got another seven day ban.
[00:41:35.940 --> 00:41:44.649]  So these big tech companies, they won't even allow you to post concepts if you're too close to the mark.
[00:41:44.649 --> 00:41:46.871]  Now this was an interesting concept for me because when I was
[00:41:47.592 --> 00:41:54.356]  Still in traditional news and I was starting to wake into some things that were going on that were making me feel uncomfortable.
[00:41:54.356 --> 00:42:05.404]  I had posted on my Facebook page and again I was just the lead anchor at a news station in California at this time and I was very uncomfortable what was going on and so I simply posted.
[00:42:06.204 --> 00:42:12.687]  The definition of propaganda and how to tell the difference between propaganda and news.
[00:42:12.687 --> 00:42:15.829]  And this is while I was still employed as a news anchor.
[00:42:15.829 --> 00:42:20.771]  Well, Facebook has a option that you can boost a post, right?
[00:42:20.771 --> 00:42:30.416]  So I went to boost this post, simply the definition of propaganda, and it would not allow me to boost that post.
[00:42:30.416 --> 00:42:35.479]  That's when I really started to wake up like, wait a minute, Facebook won't even let me boost
[00:42:37.025 --> 00:42:40.930]  The definition of propaganda.
[00:42:40.930 --> 00:42:42.632]  Isn't that telling?
[00:42:42.632 --> 00:42:43.674]  So here we are.
[00:42:43.674 --> 00:42:44.795]  We're in.
[00:42:44.795 --> 00:42:55.229]  I mean, as if you needed the reminder, we are straight and worse than Orwell could have ever imagined when we can't even talk about concepts on traditional big tech platforms anymore.
[00:42:59.517 --> 00:43:02.018]  Christmas 2021 is gone.
[00:43:02.018 --> 00:43:09.581]  It's in the rearview mirror, but you can still take advantage of Christmas prices going to the New Year at InfoWareStore.com.
[00:43:09.581 --> 00:43:13.603]  On to our best-selling products, now finally back in stock.
[00:43:13.603 --> 00:43:16.825]  We have the number one bestseller of all time.
[00:43:17.845 --> 00:43:26.208]  X2, the deep earth crystal iodine that is essential for all your body's activities, electrochemical functions of the cells, the mitochondria, your immune system.
[00:43:26.208 --> 00:43:27.809]  It is back in stock.
[00:43:27.809 --> 00:43:34.551]  X2 is 50% off at m4warstore.com and right in time for the deepest part of winter.
[00:43:35.677 --> 00:43:41.063]  We have Winter Sun Back in Stock, the highest quality vitamin D3 for your immune system.
[00:43:41.063 --> 00:43:46.109]  And again, your whole body is back in stock, ready to ship for you right now at InfoWarsTore.com.
[00:43:46.109 --> 00:43:47.190]  So it's a 360 wind.
[00:43:47.190 --> 00:43:52.456]  It keeps us on air and it also makes your life so much healthier and better.
[00:43:52.456 --> 00:43:56.920]  So get your supply up to date at InfoWarsTore.com right now.
[00:43:59.483 --> 00:44:03.205]  Everything I do is about victory for humanity.
[00:44:03.205 --> 00:44:09.068]  Everything I promote is about standing up against the new world order by empowering humanity.
[00:44:09.068 --> 00:44:11.269]  Well, that's why ResetWars.com is so important.
[00:44:11.269 --> 00:44:25.797]  Not only is it a game-changing course of critical information to unlock your mind from the matrix, but it's something that gets around Klaus Schwab's attempt to shut down American infrastructure and American jobs.
[00:44:26.517 --> 00:44:28.742]  It is the true digital economy.
[00:44:28.742 --> 00:44:32.892]  It's the spiritual economy of the mind and transcendental control.
[00:44:33.885 --> 00:44:41.947]  I've been on there 28 years, and all of our work has been amazing, thanks to God and God's divine empowerment and blessing.
[00:44:41.947 --> 00:44:47.869]  But I've got to tell you, out of everything I've done, Reset Wars is the most important, and it is now available.
[00:44:47.869 --> 00:44:52.610]  Now, the month of December 2021 is here at ResetWars.com.
[00:44:52.610 --> 00:44:56.711]  Start your journey to the next level today at ResetWars.com.
[00:44:56.711 --> 00:44:58.992]  The globalists fear this information.
[00:44:59.437 --> 00:45:02.840]  Not just across the United States, but across the world.
[00:45:02.840 --> 00:45:08.284]  You see it on the sides of barns, and on bumper stickers, on cars, and written on the side of bathroom walls.
[00:45:08.284 --> 00:45:09.866]  Alex Jones was right.
[00:45:09.866 --> 00:45:18.813]  That's become a maxim of people to communicate to others that they see through the fraud of the New World Order, that they're saying no to Klaus Schwab, Bill Gates, and the Great Reset.
[00:45:18.813 --> 00:45:22.196]  And so now, InfoWars credibility is stronger than it's ever been.
[00:45:22.816 --> 00:45:28.281]  And the globalists are now coming to try to shut us down after all their other attacks, and we can't let them do that.
[00:45:28.281 --> 00:45:30.983]  So, you've invested in Infowars over the years.
[00:45:30.983 --> 00:45:37.489]  I'm asking you to redouble those efforts now at this critical juncture, or everything you've done in the past is for nothing.
[00:45:38.109 --> 00:45:41.911]  You have invested in justice and the truth and hardcore populace.
[00:45:41.911 --> 00:45:44.152]  You have done incredible things.
[00:45:44.152 --> 00:45:51.797]  And I'm telling you now, going into 2022, InfoWars has major underages to run our operation and we need more funds in.
[00:45:51.797 --> 00:45:52.817]  So it's a 360 win.
[00:45:52.817 --> 00:45:56.619]  Get great products that are great for you and your family, your immune system, and so much more.
[00:45:56.619 --> 00:45:57.800]  So please go to InfoWarsTore.com.
[00:45:59.642 --> 00:46:07.864]  The CEO of Pfizer just came out and said that people talking bad about the vaccines are working for, quote, dark forces.
[00:46:07.864 --> 00:46:15.385]  That the FBI and CIA have been advising him on who these evil groups are.
[00:46:15.385 --> 00:46:20.227]  They know that all over the world their poison shot is being banned by major governments.
[00:46:20.227 --> 00:46:22.507]  And Moderna's in trouble as well.
[00:46:22.507 --> 00:46:26.468]  They know that the people are starting to get wise to this depopulation agenda.
[00:46:27.409 --> 00:46:39.141]  In fact, evidence is starting to mount that the shots were supposed to be soft kill weapons, but they're so deadly they're killing a higher percentage up front, and so people are waking up.
[00:46:39.141 --> 00:46:42.384]  The weapons work a little too good.
[00:46:42.384 --> 00:46:47.169]  They're supposed to be silent weapons for quiet wars, but instead they're making too big of a noise.
[00:46:47.890 --> 00:46:50.031]  But it's too late for them to turn back now.
[00:46:50.031 --> 00:46:51.792]  They're coming after our children.
[00:46:51.792 --> 00:46:56.896]  So it's up to us to protect our little children, or God will not look favorably on us.
[00:46:56.896 --> 00:47:00.858]  Remember, God is watching.
[00:47:00.858 --> 00:47:06.762]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[00:47:25.430 --> 00:47:28.311]  Exposing what is true in 2022.
[00:47:28.311 --> 00:47:32.093]  Welcome to InfoWars.
[00:47:32.093 --> 00:47:37.796]  This is Christy Lee guest hosting today, which I'm sure you figured out with my cheesy introduction just then.
[00:47:37.796 --> 00:47:38.676]  But it's true.
[00:47:38.676 --> 00:47:44.699]  That is the hope that I am holding on to is that what is true is coming out in 2022.
[00:47:44.699 --> 00:47:45.619]  Let's hold on to that hope.
[00:47:45.619 --> 00:47:47.300]  And I think we're seeing it.
[00:47:47.300 --> 00:47:50.342]  The breaking of the mass formation psychosis.
[00:47:50.342 --> 00:47:52.663]  I mean, isn't it enough that enough people are intrigued?
[00:47:53.263 --> 00:47:55.045]  With what this is, that it's blowing up.
[00:47:55.045 --> 00:47:58.309]  People are trying to seek information on what this concept is.
[00:47:58.309 --> 00:48:09.603]  And then we know we're on the market, on the mark, when Big Tech, Google, Facebook, Twitter are now censoring concepts, which is all mass formation psychosis is.
[00:48:09.603 --> 00:48:10.284]  It's a concept.
[00:48:10.965 --> 00:48:15.867]  But they don't like that it's exposing that people are hypnotized.
[00:48:15.867 --> 00:48:23.811]  People have been straight up hypnotized, and that is why it is so dang hard to even reach them with facts and data.
[00:48:23.811 --> 00:48:37.437]  But speaking of censorship, the latest one to fall, and I'm sure there'll be more, is Marjorie Taylor Greene, and she's firing back over her censorship on Twitter, pointing out that, you know, Representative Maxine Waters
[00:48:38.436 --> 00:48:45.019]  Has used accounts to actually threaten violence, and she has no repercussions.
[00:48:45.019 --> 00:48:48.560]  But yet, MGT is censored.
[00:48:48.560 --> 00:48:52.082]  She said from her account on Twitter, Rival Getter,
[00:49:08.248 --> 00:49:12.672]  Twitter is an enemy to America and can't handle the truth.
[00:49:12.672 --> 00:49:19.157]  So I shared this on my Twitter and I had someone follow up with, hope you're next.
[00:49:19.157 --> 00:49:22.640]  Isn't it so great how these people are just so tolerant?
[00:49:22.640 --> 00:49:32.668]  They're so tolerant and it just I wanted to respond with like, okay, Nazi, but you know, anytime you say that, then they'll find a reason to come after you even harder.
[00:49:32.668 --> 00:49:34.449]  So I just didn't bother.
[00:49:34.449 --> 00:49:36.070]  But that is how these folks are.
[00:49:36.070 --> 00:49:37.572]  They cannot tolerate
[00:49:38.132 --> 00:49:41.974]  Their echo chamber being at all threatened.
[00:49:41.974 --> 00:49:46.596]  And yet, that is what they accuse those of us who are telling the truth about.
[00:49:46.596 --> 00:49:51.218]  But the thing is, obviously we don't mind hearing other viewpoints.
[00:49:51.218 --> 00:49:54.279]  I mean, we're inundated with the other viewpoints.
[00:49:54.279 --> 00:49:55.119]  But they can't handle it.
[00:49:55.119 --> 00:49:57.961]  They can't handle the truth, as Jack Nicholson would say.
[00:49:57.961 --> 00:49:59.381]  You can't handle the truth.
[00:49:59.381 --> 00:50:00.802]  So they just kick you off Twitter.
[00:50:01.878 --> 00:50:08.120]  And then Eric Weinstein had an interesting tweet in response to all of this censorship.
[00:50:08.120 --> 00:50:15.482]  Remember, if you think this suspension is wrong, you support nutcases who endanger the public, according to the left.
[00:50:15.482 --> 00:50:20.724]  If you support the suspension, you are an authoritarian who doesn't believe in the free exchange of ideas.
[00:50:20.724 --> 00:50:24.805]  And if you attempt to evade this binary, you're useless.
[00:50:24.805 --> 00:50:26.546]  Take a side, brah.
[00:50:26.546 --> 00:50:27.446]  And see, that's the thing.
[00:50:27.446 --> 00:50:30.207]  We are so divided that you cannot
[00:50:31.730 --> 00:50:34.782]  You cannot be in the middle on any of these issues.
[00:50:34.782 --> 00:50:36.147]  They demand you pick a side.
[00:50:38.281 --> 00:50:39.141]  And it's difficult.
[00:50:39.141 --> 00:50:44.102]  I mean, coming from someone who has been a registered independent for a long time, I mean, people cannot handle that.
[00:50:44.102 --> 00:50:46.362]  They cannot handle that.
[00:50:46.362 --> 00:50:49.163]  I tell you what, I have picked a side.
[00:50:49.163 --> 00:50:52.504]  It is the side of the way, the truth, and the life.
[00:50:52.504 --> 00:51:01.345]  The only thing that I am allowing to lead me, or at least always trying to allow to lead me, is Jesus Christ, my Lord and Savior.
[00:51:01.345 --> 00:51:05.666]  And that is the only way that I can make sense of anything, quite frankly, because both sides, we have seen, can
[00:51:06.966 --> 00:51:08.947]  Be deceptive at times.
[00:51:08.947 --> 00:51:12.969]  And so, it's all the more important to recognize this as a spiritual battle.
[00:51:12.969 --> 00:51:17.811]  So, getting to the verse of the day, which I didn't get to at the beginning, because we had other stuff going on.
[00:51:17.811 --> 00:51:21.133]  But, you know, I'm sitting here, I'm going to have my verses of the day.
[00:51:21.133 --> 00:51:30.317]  So, they are, the Lord detests, this is from Proverbs 12, 22, the Lord detests lying lips, but he delights in people who are trustworthy.
[00:51:30.317 --> 00:51:35.280]  And Psalm 25, 5, guide me in your truth and teach me for you are my God, my Savior,
[00:51:35.600 --> 00:51:35.841]  Psalm 25, 5.
[00:51:46.943 --> 00:51:50.046]  Because boy, it is hard to have hope.
[00:51:50.046 --> 00:52:01.995]  Now, you know, when you are exposed to the truth, when you take the red pill, when you're multi-dimensionally red-pilled, as Dr. Robert Malone just said, sometimes you start to lose a little hope.
[00:52:01.995 --> 00:52:06.699]  But if our hope remains in our Lord and Savior, that hope cannot be shaken.
[00:52:06.699 --> 00:52:12.544]  And that is the only way I can make sense of anything, is when I know that my truth is determined by
[00:52:14.201 --> 00:52:15.262]  Staying connected to God.
[00:52:15.262 --> 00:52:19.463]  I'm a human, so I am not perfect, but that is my goal.
[00:52:19.463 --> 00:52:20.984]  That is my hope.
[00:52:20.984 --> 00:52:28.507]  That's why I'm trying to be in the Word every single day, because how else can you make sense of this crazy world we live in, right?
[00:52:28.507 --> 00:52:30.268]  So there's the verses.
[00:52:30.268 --> 00:52:41.173]  And according to this article that I was looking at, there are some reasons to be optimistic in 2022 of this change, this shift as people wake up.
[00:52:41.753 --> 00:52:45.056]  You know, so six reasons to be optimistic.
[00:52:45.056 --> 00:52:47.478]  It says conservatist, but I don't like all these labels.
[00:52:47.478 --> 00:52:51.381]  So I'm just going to say six reasons to be optimistic in 2022.
[00:52:51.381 --> 00:52:54.863]  America's cultural center is shifting to the right.
[00:52:54.863 --> 00:53:02.529]  The independent moderate voters make up approximately 20 percent of the electorate, and they're the ones that decide in which direction the country goes.
[00:53:02.529 --> 00:53:03.810]  So reason to be.
[00:53:05.771 --> 00:53:06.891]  Optimistic there.
[00:53:06.891 --> 00:53:10.813]  So for Black Lives Matter, the organization, of course, not the sentiment.
[00:53:10.813 --> 00:53:21.576]  A recent poll, which is a very left-leaning polling outfit, Civics, said their approval for BLM has dropped to just 44 percent.
[00:53:21.576 --> 00:53:26.158]  Maybe it's because the BLM funds have not been used to actually make
[00:53:27.085 --> 00:53:33.729]  Any community is better or do anything for the group, but just buy million-dollar houses.
[00:53:33.729 --> 00:53:34.069]  I don't know.
[00:53:34.069 --> 00:53:35.710]  Maybe that has something to do with it.
[00:53:35.710 --> 00:53:39.292]  Opinions on abortion continue to move toward the pro-life movement.
[00:53:39.292 --> 00:53:48.177]  A full three-quarters of Americans reject the insane idea that men can be women and vice versa, and we're even seeing a shift to the right on gun control opinions.
[00:53:48.177 --> 00:53:50.178]  Now, that was actually surprising for me to read.
[00:53:50.178 --> 00:53:55.081]  A full three-quarters of Americans reject the idea that men can be women and vice versa because you wouldn't know it
[00:53:55.641 --> 00:54:00.704]  If you're just looking at all of the popular tech platforms.
[00:54:00.704 --> 00:54:11.951]  I mean, I cannot open like a Snapchat without seeing something on transgender or that issue.
[00:54:11.951 --> 00:54:14.413]  So I'm surprised that people are still rejecting it.
[00:54:15.450 --> 00:54:23.739]  The chance of Let's Go Brandon showing Americans, particularly the younger folks, are fed up with leftism, becoming increasingly vocal about the dissatisfaction.
[00:54:23.739 --> 00:54:29.765]  And then number five, people are waking up to the left's lies, particularly the gigantic COVID con.
[00:54:29.765 --> 00:54:33.048]  And so people are starting to ask questions, seeing that more and more.
