[00:00:00.089 --> 00:00:00.570]  Red alert.
[00:38:04.213 --> 00:38:15.279]  And we have the documents where Daszak approached the Pentagon in 2017 and said, we got a simulant of the spike protein virus, it's a CoV SARS virus that we can spray in the air in China.
[00:38:15.700 --> 00:38:18.221]  And the Pentagon said, you're gonna start a war with China, you lunatic?
[00:38:18.661 --> 00:38:20.702]  Oh no, no, it's to test it on bats!
[00:38:21.083 --> 00:38:23.064]  It probably won't get any humans sick.
[00:38:24.684 --> 00:38:27.286]  So they can then frame and leverage the Pentagon.
[00:38:27.446 --> 00:38:30.147]  It's all about getting our governments to sign on to stuff.
[00:38:30.427 --> 00:38:31.568]  Getting Trump to sign on.
[00:38:32.108 --> 00:38:34.490]  Getting the military to sign on.
[00:38:34.530 --> 00:38:37.912]  So once it's out there, now Big Pharma can truly hold the government hostage.
[00:38:37.932 --> 00:38:42.554]  And you notice they didn't get that part of the plan done, but they did get over 100 governments.
[00:38:42.614 --> 00:38:43.475]  Brazil refused.
[00:38:43.755 --> 00:38:49.035]   reason we have the documents, where they signed secret agreements with FEMA and other emergency
[00:38:49.035 --> 00:38:54.795]   groups in other countries to sign over the national parks and military bases to Pfizer
[00:38:54.795 --> 00:39:00.134]   if there was ever a problem from the experimental shot, which they knew would have a problem.
[00:39:00.134 --> 00:39:03.434]   And now as this all comes out over the next few years and the country goes bankrupt from
[00:39:03.434 --> 00:39:08.515]   it, when Pfizer gets in trouble, they get the land and the military bases.
[00:39:08.518 --> 00:39:10.378]  I mean, think of the megalomania.
[00:39:11.018 --> 00:39:12.559]  We're not going to follow those agreements.
[00:39:12.579 --> 00:39:13.699]  You're all going to go to prison.
[00:39:13.959 --> 00:39:15.780]  You're all going to get punished.
[00:39:16.620 --> 00:39:20.461]  Or we can let them continue to kill us and do all this and run us to the ringer.
[00:39:22.061 --> 00:39:22.881]  So here's the articles.
[00:39:24.582 --> 00:39:29.783]  COVID spike protein contains DNA sequences patented by Moderna three years before pandemic began.
[00:39:31.129 --> 00:39:31.649]  Over three years.
[00:39:32.310 --> 00:39:44.555]  Scientists discovered the SARS-CoV-2 spike protein contains a DNA sequence identical to a genetic code patented by pharmaceutical company Moderna three years before the COVID pandemic emerged, according to researchers.
[00:39:45.956 --> 00:40:01.447]   A study published in Frontiers of Virology by prestigious scientists, we'll click on that for folks to show it to TV viewers, on Monday by an international team of researchers found that SARS-CoV-2 Fervent cleavage, we reported on this two years ago, site.
[00:40:02.388 --> 00:40:09.972]  FCS contains a tiny bit of genetic code identical to a part of gene patented by Moderna in 2016.
[00:40:10.392 --> 00:40:12.973]  Did you hear what we just said?
[00:40:13.574 --> 00:40:17.416]  It's not just man-made, we have the freaking patent!
[00:40:19.857 --> 00:40:22.759]  And it's impossible for that to occur naturally.
[00:40:24.499 --> 00:40:25.620]  And we have every angle of it.
[00:40:28.041 --> 00:40:29.822]  February 4th, 2016.
[00:40:29.862 --> 00:40:37.027]  And I'm sorry, I said billion from memory, I apologize.
[00:40:37.788 --> 00:40:52.538]  The researchers claim that since there is a 1 in 3 trillion chance of Moderna's patented sequence randomly appearing through natural evolutions, that the China virus might have mutated during experiments on human cells in a lab.
[00:40:52.938 --> 00:40:54.159]  Gee, think so?
[00:40:58.994 --> 00:41:04.999]  And then we already have them months before it's announced it's out saying, OK, here's what we tell the vaccine makers.
[00:41:05.620 --> 00:41:06.501]  This is what they make.
[00:41:06.821 --> 00:41:09.323]  This spike protein, this thing they own the patent to.
[00:41:09.603 --> 00:41:13.226]  They get money from that then grows in your body as a prion crystal.
[00:41:13.547 --> 00:41:19.672]  So even though you don't have the whole virus, you now have the prion crystal from the vaccine or from the natural occurring.
[00:41:19.932 --> 00:41:21.834]  And then it just keeps coming back forever.
[00:41:22.981 --> 00:41:33.091]  Unless you do mitigating things that can get rid of it, we know, like glutathione, like lots of zinc, like lots of vitamin D3, ivermectin, not just when you're sick, but after.
[00:41:33.111 --> 00:41:38.256]  I mean, let me tell you, after I had Delta, I ain't ever been the same.
[00:41:39.737 --> 00:41:43.096]  My dad was like Frankenstein for three months.
[00:41:43.096 --> 00:41:44.977]  He had Alzheimer's, he's back now.
[00:41:44.977 --> 00:41:47.057]  But this isn't a fricking game, people.
[00:41:47.057 --> 00:41:51.297]   And it grows in your body, and they hit us with one hell of a bioweapon.
[00:41:51.297 --> 00:41:53.217]  And that's just one article out of the stack here.
[00:41:53.217 --> 00:41:58.657]   I got a whole stack of insurance companies admitting they're-- I mean, admitting everybody's dying,
[00:41:58.657 --> 00:42:00.377]  that they basically killed us.
[00:42:00.377 --> 00:42:03.337]   Now more insurance companies are confirming highest death rate
[00:42:03.337 --> 00:42:07.616]  since they recorded from people taking the shot?
[00:42:06.480 --> 00:42:07.680]  I mean, they murdered us.
[00:42:07.960 --> 00:42:08.441]  They did it.
[00:42:08.761 --> 00:42:10.022]  They hit us with a bioweapon.
[00:42:10.242 --> 00:42:13.844]  And if you think they're stopped, if you think you're safe, you're not.
[00:42:14.224 --> 00:42:17.926]  Until they all go to prison and this all comes out, nobody on earth is safe.
[00:42:18.246 --> 00:42:22.189]  But instead, we're all talking about Putin and the Ukraine all day long.
[00:42:22.529 --> 00:42:23.870]  We'll be back with hour number two.
[00:42:23.690 --> 00:42:41.490]  Stay with us.
[00:42:42.273 --> 00:42:46.236]  Winter Sun is the highest quality organic vitamin D3 taken out of the tongue.
[00:42:46.256 --> 00:42:49.499]  It also has vitamin K, critical for your immune system and so much more.
[00:42:50.089 --> 00:42:54.793]  It's 50% off despite the fact it's going to sell out very, very quickly because everybody needs this.
[00:42:55.494 --> 00:42:57.215]  Old, young, black, white, it doesn't matter.
[00:42:57.315 --> 00:42:58.916]  You need what's in Winter Sun.
[00:42:58.976 --> 00:43:01.719]  And then we have BrainForce Ultra.
[00:43:02.179 --> 00:43:11.266]  Super fast acting, amazing clean, nootropic system that is a complement to BrainForce Plus and of course TurboForce.
[00:43:11.687 --> 00:43:13.008]  All three of these are different formulas.
[00:43:13.428 --> 00:43:18.610]  But all three of them take your mind and take your focus and clarity and alertness to the next level.
[00:43:19.110 --> 00:43:23.632]  It is 40% off at InfoWarsTore.com for a limited time.
[00:43:23.992 --> 00:43:25.173]  Thank you all for your support.
[00:43:25.533 --> 00:43:28.114]  If you haven't tried these products, you really need to because they are amazing.
[00:43:28.374 --> 00:43:29.294]  InfoWarsTore.com.
[00:43:29.414 --> 00:43:34.736]  All right, ladies and gentlemen, we are now into hour number two.
[00:43:35.957 --> 00:43:37.457]  And we got loaded phone lines.
[00:43:38.338 --> 00:43:39.718]  I'm gonna start taking your phone calls.
[00:43:40.599 --> 00:43:41.299]  Next segment.
[00:43:42.503 --> 00:43:46.492]  We got so much to hit, but I'm going to air this now, the full compilation.
[00:43:46.512 --> 00:43:48.035]  It's like seven minutes long.
[00:43:48.516 --> 00:43:51.823]  It's up on Band.Video right now.
[00:43:53.171 --> 00:43:59.435]  The video clip that's 27 seconds long has got millions of views on the internet right now all over the place.
[00:43:59.715 --> 00:44:00.655]  There's just clips everywhere.
[00:44:00.675 --> 00:44:03.457]  A million here, 600,000 there, 300,000 there.
[00:44:04.258 --> 00:44:04.998]  Hundreds of copies.
[00:44:05.458 --> 00:44:05.999]  It's everywhere.
[00:44:06.579 --> 00:44:15.364]  I mean, it's incredible where I came out and said, look for war by early 2022, by the end of February.
[00:44:18.046 --> 00:44:20.467]  What I'm saying is that my prediction is incredible.
[00:44:20.507 --> 00:44:22.048]  It's incredible how viral this has gone.
[00:44:22.848 --> 00:44:30.892]  So I figured why don't I just go ahead and play a little bit more of this in context.
[00:44:31.252 --> 00:44:35.774]  This is what the archive has found just with a couple hours looking around in the last five months.
[00:44:35.794 --> 00:44:36.135]  Here it is.
[00:44:37.315 --> 00:44:38.696]  I think a big war is about to start.
[00:44:38.536 --> 00:44:41.135]  are something big's about to go down.
[00:44:41.135 --> 00:44:43.875]  (dramatic music)
[00:44:43.875 --> 00:44:58.075]   They may even have Biden stand down and receive a first strike to our military bases from China.
[00:44:58.425 --> 00:45:08.810]  My gut's never been wrong, and I keep having very intense nightmares the last month that the United States is going to be hit by nuclear weapons by China, and is going to stand down, and they're going to receive the attack.
[00:45:11.671 --> 00:45:12.852]  And I've looked at all the evidence, too.
[00:45:12.872 --> 00:45:17.214]  They're preparing us with, with, stay in your homes, uh, oh, your power's off.
[00:45:17.674 --> 00:45:19.455]  If they turn the power off, I'll prove that coming up.
[00:45:19.555 --> 00:45:20.496]  But they admit they did, by the way.
[00:45:20.516 --> 00:45:21.196]  It's in the fine print.
[00:45:23.171 --> 00:45:24.995]  And they're just getting us ready for the disaster.
[00:45:25.015 --> 00:45:26.197]  They're not going to hit the main cities.
[00:45:26.318 --> 00:45:27.721]  They're going to hit the military bases.
[00:45:28.726 --> 00:45:35.772]  Very good chance that they're going to either blow the entire power grid with the MPs, which they've been conditioning us to get ready for, or they're going to hit us with a first strike.
[00:45:36.613 --> 00:45:37.994]  And you're like, oh, that's crazy.
[00:45:38.014 --> 00:45:38.995]  No, this is war, folks.
[00:45:39.716 --> 00:45:40.477]  America's over.
[00:45:40.577 --> 00:45:40.977]  It's gone.
[00:45:41.558 --> 00:45:42.438]  Trump was removed.
[00:45:42.478 --> 00:45:43.940]  Of course he won in a giant landslide.
[00:45:44.200 --> 00:45:45.321]  They weren't going to allow that to happen.
[00:45:46.182 --> 00:45:50.065]  And that's why when you look at the press secretary and all of Biden's people, they are scared.
[00:45:50.446 --> 00:45:54.950]  And if I was them, I'd be scared too, because they're going to be removed as soon as the Chinese take over.
[00:45:56.440 --> 00:45:57.801]  I gotta be honest with you folks.
[00:45:57.881 --> 00:45:58.441]  It's all over.
[00:45:58.581 --> 00:45:58.861]  Okay?
[00:45:59.202 --> 00:45:59.702]  It's all over.
[00:45:59.922 --> 00:46:01.303]  We're about to be hit with nuclear weapons.
[00:46:01.584 --> 00:46:02.544]  The military stood down.
[00:46:02.564 --> 00:46:03.125]  Everything's gone.
[00:46:03.385 --> 00:46:04.726]  So, I'm sorry.
[00:46:04.906 --> 00:46:05.246]  It's over.
[00:46:05.266 --> 00:46:06.027]  The country's gone.
[00:46:06.047 --> 00:46:06.427]  It's all over.
[00:46:06.968 --> 00:46:10.370]  First is biological, bacteriological virus.
[00:46:11.351 --> 00:46:13.433]  Next is the cyber, which they tell us.
[00:46:13.473 --> 00:46:14.313]  And the next is nuclear.
[00:46:14.353 --> 00:46:14.774]  Lay that out.
[00:46:15.805 --> 00:46:25.829]  Yes, the cyber warfare basically is already taking place with all these hackers that are working constantly.
[00:46:25.949 --> 00:46:27.669]  And then, of course, we have the nuclear.
[00:46:27.709 --> 00:46:30.550]  Now, the nuclear is already starting to be announced.
[00:46:30.690 --> 00:46:32.591]  China has... China, here it is.
[00:46:32.631 --> 00:46:36.292]  They threatened... China threatened to nuke Taiwan yesterday.
[00:46:36.332 --> 00:46:37.373]  Here's the headline, Fox News.
[00:46:37.393 --> 00:46:37.993]  Go ahead, keep going.
[00:46:38.313 --> 00:46:39.493]  Official Chinese Daily.
[00:46:39.833 --> 00:46:41.094]  They said, we will nuke Japan.
[00:46:42.481 --> 00:46:55.010]  So as you can see that gradually these free phases of this period that we unfortunately going to be living and that will of course diminish the population of the earth.
[00:46:55.391 --> 00:46:58.012]  The smart money is on a war with China.
[00:46:58.713 --> 00:46:59.734]  And I don't want a war.
[00:47:01.275 --> 00:47:04.577]  But we're looking at a giant war in February right now.
[00:47:05.117 --> 00:47:11.781]  Currently, that's the projections with the top people on the Earth who claim they're not with the New World Order Combine.
[00:47:12.621 --> 00:47:14.262]  Is war in February.
[00:47:16.103 --> 00:47:22.547]  And this is the type of time, like right before World War I, right before World War II, when everything kicks off.
[00:47:23.728 --> 00:47:25.108]  And I hope that doesn't happen.
[00:47:26.329 --> 00:47:34.375]   But currently, That is the trajectory we're on, and there is a consensus on that.
[00:47:36.837 --> 00:47:37.998]  And a large consensus.
[00:47:39.198 --> 00:47:43.882]  I don't mean a consensus with people that just live here in Austin, the new main power hub of the country.
[00:47:45.543 --> 00:47:49.875]   I'm talking about All over the world, we have contacts.
[00:47:50.836 --> 00:47:54.318]  And General Flynn thinks war with China is imminent.
[00:47:54.978 --> 00:47:57.459]  He was raised the alarm 10 years ago on that, and that's why they got mad at him.
[00:47:57.779 --> 00:47:59.340]  And then we go on to also talk about Russia.
[00:47:59.380 --> 00:48:02.282]  So all the smart people I talk to... Russia and China.
[00:48:02.302 --> 00:48:04.043]  And of course, when Russia moves against Ukraine...
[00:48:05.845 --> 00:48:08.227]  All right, we're going to go to your phone calls right now.
[00:48:08.407 --> 00:48:21.097]  Carlos, and Ivan, and Chase, and Steve, and Armond, and Mark, and Bone Crusher, Jack, Elaine, Mankind, and others here in just a moment.
[00:48:24.059 --> 00:48:25.741]  I don't know how I end the last hour.
[00:48:25.821 --> 00:48:29.804]  Just don't come back to the same thing again in case new people join us, which I know they did.
[00:48:31.045 --> 00:48:57.510]   Confirmed, mainstream news, major University research facilities and major viral publications, medical publications, scientific publications, that COVID-19 was made in a lab and that the pieces of it were patented in 2016 by Moderna, which was set up and prepared and ready for several years ahead of it with the one mission to deliver the deadly
[00:48:58.428 --> 00:49:00.569]  Injection masquerading as a vaccine.
[00:49:00.990 --> 00:49:03.251]  Smoking gun of smoking guns.
[00:49:03.311 --> 00:49:07.093]  And I only got to a few of the big articles in and around that after I take a bunch of calls.
[00:49:07.453 --> 00:49:11.416]  I'm going to get into some more of the meat of that situation.
[00:49:16.099 --> 00:49:17.339]  But I want to go to your phone calls.
[00:49:17.359 --> 00:49:25.244]  I want to just recap some points about the situation unfolding in Ukraine and explain something.
[00:49:25.264 --> 00:49:38.242]   I know the audience already knows this, but My sources, the information I saw and everything going on said by February, late February, China starts moving and Russia starts moving.
[00:49:39.822 --> 00:49:40.882]  That's not a hard call.
[00:49:43.083 --> 00:49:46.404]  Because if they're going to move, they're going to move together.
[00:49:50.735 --> 00:49:54.716]  And now China is making more and more of those type of statements.
[00:49:55.516 --> 00:50:07.059]  But they've also said that they'd like Putin to obviously meet with the Ukrainian president and talk about an armistice and a demilitarization of the area.
[00:50:07.099 --> 00:50:20.032]   But it got leaked a few days ago that the Chinese talking points to the media of censorship and control saying we're with Russia and we're with Russia's invasion but we want to act like We're neutral so that we can move against our targets.
[00:50:20.712 --> 00:50:21.853]  It's basically what they said.
[00:50:22.193 --> 00:50:23.474]  In fact, that was in yesterday's stack.
[00:50:23.494 --> 00:50:26.055]  Will you guys reprint me that?
[00:50:26.135 --> 00:50:34.839]  The headline was Chinese government documents directing censorship to the media.
[00:50:35.899 --> 00:50:37.820]  Chinese government talking points the media.
[00:50:39.201 --> 00:50:42.043]  Directing Ukraine coverage leaked was something like that.
[00:50:42.584 --> 00:50:44.085]  And it was a fascinating article.
[00:50:44.565 --> 00:50:46.547]  We could spend a whole hour just reading that.
[00:50:46.767 --> 00:50:47.688]  It was amazing.
[00:50:47.928 --> 00:50:49.529]  And the Chinese admit that's a real document.
[00:50:51.050 --> 00:50:53.152]  So that is just such a huge deal as well.
[00:50:53.892 --> 00:51:02.452]   But the big takeaway here is the West is saying, which is globalist run,
[00:51:02.452 --> 00:51:12.451]   that we're going to put massive sanctions on you. And if you cyber attack us in any way,
[00:51:12.451 --> 00:51:17.731]   which is easy to frame Russia for that, that came out in the CIA documents in vault seven years ago,
[00:51:17.731 --> 00:51:22.931]   that we will then take that as an act of war and a violation of Article 5 in NATO.
[00:51:23.288 --> 00:51:30.933]  If any NATO state has as much as a red light get hacked, we take that as an act of war.
[00:51:31.033 --> 00:51:32.374]  That is such a big deal.
[00:51:34.144 --> 00:51:35.485]  That is such a huge deal.
[00:51:35.505 --> 00:51:40.647]  And then Putin responded back saying, well, any sanctions against us are an act of war.
[00:51:43.549 --> 00:51:46.110]  Russian President Vladimir Putin has made it very clear to U.S.
[00:51:46.150 --> 00:51:51.332]  President Joe Biden that imposing sanctions will be countered and considered an act of war.
[00:51:54.194 --> 00:52:00.497]  It comes as President Joe Biden and his Ukrainian counterpart will speak by phone today amid growing fears of Russian military buildup.
[00:52:02.759 --> 00:52:06.862]  That came out weeks ago, and that's another one of his statements now, reissuing those statements.
[00:52:07.983 --> 00:52:09.544]  So it's a very, very serious situation.
[00:52:09.564 --> 00:52:10.885]  I want to play you a couple of clips here.
[00:52:10.905 --> 00:52:13.387]  Then we'll go to your phone calls.
[00:52:14.007 --> 00:52:14.868]  This is Biden.
[00:52:16.189 --> 00:52:26.116]  If you'll remember, once he first got in office, had a cyber drill with the usual suspects, same people that brought us COVID-19, and Russia was in on the cyber drill.
[00:52:28.303 --> 00:52:33.726]  And Biden gave them 18 entities that if they're attacked, we will go to war with Russia.
[00:52:33.746 --> 00:52:39.049]  Well, it's very easy to frame someone as being a hacker.
[00:52:39.749 --> 00:52:46.073]  It's very easy to take over somebody's computer and then send messages from it and then claim that that's where the attack came from.
[00:52:47.193 --> 00:52:50.075]  Spoofing is as old as telephones.
[00:52:52.536 --> 00:52:55.138]  And Captain Crunch, all the things he did.
[00:52:57.025 --> 00:53:00.026]  I'm talking about the serial folks for the only Captain Crunch as we've had him on the show.
[00:53:01.247 --> 00:53:05.589]  He could whistle into phones and control them because they operate off tones.
[00:53:06.549 --> 00:53:11.471]  And could like, you know, call the White House and get Nixon on the phone or all sorts of crazy stuff.
[00:53:11.811 --> 00:53:12.772]  And that was in the 70s.
[00:53:12.832 --> 00:53:14.232]  But I'm digressing.
[00:53:14.252 --> 00:53:15.093]  This is just incredible.
[00:53:15.713 --> 00:53:16.713]  Here is Biden.
[00:53:17.854 --> 00:53:22.556]  Another area we spent a great deal of time on was cyber and cybersecurity.
[00:53:23.897 --> 00:53:29.479]  I talked about the proposition that certain critical infrastructures should be off limits to attack, period.
[00:53:30.139 --> 00:53:31.539]  By cyber or any other means.
[00:53:31.619 --> 00:53:32.599]  I gave them a list.
[00:53:33.120 --> 00:53:37.521]  If I'm not mistaken, I don't have it in front of me, 16 specific entities.
[00:53:38.941 --> 00:53:41.922]  16 defined as critical infrastructure under U.S.
[00:53:41.962 --> 00:53:42.462]  policy.
[00:53:43.323 --> 00:53:45.523]  From the energy sector to our water systems.
[00:53:46.383 --> 00:53:49.284]  Of course, the principle is one thing.
[00:53:50.044 --> 00:53:51.685]  It has to be backed up by practice.
[00:53:52.844 --> 00:53:54.906]  You know what's funny about everything Biden says?
[00:53:55.666 --> 00:53:57.868]  Who's destroying dams across the U.S.?
[00:53:59.689 --> 00:54:04.033]  Who shut off over 2,000 pipelines around the United States, including the Keystone Pipeline?
[00:54:05.474 --> 00:54:05.714]  Biden.
[00:54:06.535 --> 00:54:09.958]  Who is going after gas-powered cars?
[00:54:10.358 --> 00:54:23.102]   Who shut down two-thirds of the oil leases in this country and won't allow any new leases More than half the nation, and has shut down drilling in the Gulf of Mexico.
[00:54:23.122 --> 00:54:26.423]  When it's just going to be another country comes and does it, if we're not doing it.
[00:54:28.243 --> 00:54:28.864]  Or another company.
[00:54:30.584 --> 00:54:34.305]  It's not the Russians, it's not the Russians cutting off our pipelines, folks.
[00:54:35.585 --> 00:54:40.047]  And then I'm sure they'll have a Rolling Stone article or a CNN report, look at Jones, shill for Putin.
[00:54:40.767 --> 00:54:42.227]  No, this isn't about Putin.
[00:54:42.547 --> 00:54:44.648]  This is about the globalists cutting off our damn power.
[00:54:45.528 --> 00:54:46.288]  And it makes me mad.
[00:54:47.789 --> 00:54:50.020]   And so, That's where we are.
[00:54:53.102 --> 00:54:58.004]  So they're the ones shutting off our infrastructure, they're the ones brainwashing our kids, they're the ones destroying our culture.
[00:54:58.465 --> 00:55:11.131]  Here is Senator Mark Warner on television talking about how we could get into a nuclear war via Article 5 if the Russians do as so much as turn off a stoplight.
[00:55:11.471 --> 00:55:13.993]  Which again, how the hell do you prove who does it?
[00:55:14.233 --> 00:55:21.675]   Now any bad actor, any criminal group, or any globalist group, or any government Can and will launch attacks that blame Russia?
[00:55:22.195 --> 00:55:24.278]  You know, false flags, a thing you're not supposed to talk about?
[00:55:24.518 --> 00:55:24.858]  Here it is.
[00:55:26.061 --> 00:55:36.749]  is if Russia unleashes its full cyber power against Ukraine, once you put malware into the wild, in a sense, it knows no geographic boundaries.
[00:55:36.869 --> 00:55:48.658]  So if the Russians decide they're going to try to turn off the power, turn off all the electricity all across Ukraine, very likely that may turn off the power in Eastern Poland and Eastern Romania.
[00:55:49.078 --> 00:56:00.049]   That could affect our troops if suddenly hospitals are shut down, if those NATO troops, American troops, Somehow have a car accident because the stoplights don't work.
[00:56:00.770 --> 00:56:06.959]  We are suddenly in an area, hypothetically, an Article 5, where one NATO country is attacked.
[00:56:06.999 --> 00:56:08.821]  We all have to come to each other's aid.
[00:56:09.969 --> 00:56:11.010]  So Warner is certainly right.
[00:56:11.330 --> 00:56:14.831]  That hypothetical that he outlined could happen.
[00:56:14.851 --> 00:56:21.174]  Any cyber attack on Ukraine could well affect the infrastructure of the Eastern European countries.
[00:56:21.214 --> 00:56:21.894]  That would be bad.
[00:56:21.914 --> 00:56:22.815]  It would be a crime.
[00:56:22.835 --> 00:56:24.976]  The civilized world would deplore it.
[00:56:25.596 --> 00:56:28.998]  But Article 5 is not a mechanical mechanism.
[00:56:29.638 --> 00:56:32.459]  Human beings have to decide to invoke it.
[00:56:32.739 --> 00:56:37.640]   And the question is, is what the senator just described, something that is worth
[00:56:37.640 --> 00:56:40.340]  risking a nuclear conflict over.
[00:56:40.340 --> 00:56:46.140]   And that is something we should pause very deeply to think about in the most sober possible way.
[00:56:46.140 --> 00:56:46.640]  That's good.
[00:56:46.640 --> 00:56:48.140]  And we hope that our leaders are.
[00:56:48.140 --> 00:56:48.640]  Yeah.
[00:56:48.640 --> 00:56:49.640]  But not all of them...
[00:56:49.640 --> 00:56:54.640]   And that's what we're dealing with here, ladies and gentlemen, is that
[00:56:54.640 --> 00:56:58.640]   if you look at all the pre-programming and all the brainwashing and all the rest of it,
[00:56:58.640 --> 00:57:02.640]   we've been told the lights are about to go out and there's about to be cyber attacks
[00:57:02.640 --> 00:57:06.559]  right-wing groups are gonna do it and Putin's gonna do it.
[00:57:04.996 --> 00:57:07.678]  But it fits into the Great Reset, the globalist program.
[00:57:07.718 --> 00:57:14.642]  Klaus Schwab says they're gonna get their Great Reset now with a cyber attack that will save the Earth, but he's not gonna launch it.
[00:57:15.002 --> 00:57:17.324]  They just launched the COVID attack, but they're not gonna launch this attack.
[00:57:17.604 --> 00:57:20.606]  They just put the troops in Ukraine, triggering this attack.
[00:57:20.826 --> 00:57:23.368]  They're triggering all of it to bring down civilization.
[00:57:23.568 --> 00:57:39.121]   They are a crazy Eugenics, transhumanist death cult masquerading as an environmentalist death cult when in truth they think they're God and are overriding everything and think that they're supposed to bring in some great cataclysm that springboards them into Godhood.
[00:57:39.461 --> 00:57:40.982]  Sounds pretty damn satanic.
[00:57:41.183 --> 00:57:42.103]  Your calls are straight ahead.
[00:57:42.604 --> 00:57:48.792]   Well, there's a cartoon That's up on Infowars.com that really says it all.
[00:57:48.832 --> 00:57:51.495]  They say a picture tells a thousand words, and this one certainly does.
[00:57:51.935 --> 00:58:04.025]  It's the image of the ocean, and a great white shark is blasting up out of it, and on its belly it's called Russia, and it's just eaten the person and destroyed the inner tube they were floating in.
[00:58:04.886 --> 00:58:07.829]  But that's the country of Ukraine.
[00:58:08.709 --> 00:58:12.353]  That's what's written on the smashed, punctured inner tube.
[00:58:13.706 --> 00:58:15.187]  Eaten by the Great White Shark, Russia.
[00:58:15.687 --> 00:58:27.956]  Well, there's Taiwan watching, floating around in the water, in their own little rubber inner tube, and right beneath the water is China, getting ready to make their move.
[00:58:28.916 --> 00:58:43.068]   I know that can be a little annoying for TV viewers, you can see it, but remember we're on over 300 radio stations, and so we are first and foremost a radio show on TV, so I have to Narrate this, even though I don't do the best job sometimes, believe me, I know that.
[00:58:43.688 --> 00:58:48.231]  So continuing, and we'll go right to your calls, I'm going to hit the stats, we take a bunch of calls.
[00:58:48.691 --> 00:58:56.115]  Very telling, amid Ukraine-Russia conflict, China's accidentally exposing its own plans for a Taiwan invasion.
[00:58:57.216 --> 00:59:08.942]   And I want to be clear, my sources said Russia and China By late February and I obsessed on China because I think of them as more powerful and more dangerous and they've infiltrated our government.
[00:59:09.362 --> 00:59:16.447]  I kind of left Russia over on the sidelines and saw that as a side issue because I really found it hard to believe they were really going to do this.
[00:59:16.688 --> 00:59:17.348]  But it's happened.
[00:59:17.388 --> 00:59:17.568]  It's on.
[00:59:17.788 --> 00:59:18.509]  Full-scale war.
[00:59:20.090 --> 00:59:30.118]  There is now footage of ships being sunk and on fire in the Black Sea because they're not stopping when they're hailed by the Russian Navy.
[00:59:31.843 --> 00:59:39.847]  So Russia is carrying out the cutoff of all material and energy into Ukraine until they surrender.
[00:59:40.868 --> 00:59:46.811]  And so the people inside those major cities should say, we're going to kill the Russians, we're going to fight back, we're never going to surrender.
[00:59:48.732 --> 00:59:54.275]  Remember, the majority of the population is at least part Russian or fully Russian.
[00:59:55.256 --> 01:00:01.923]   The Russians are just going to turn off the supplies, including the power Until they capitulate.
[01:00:02.023 --> 01:00:03.704]  And so, what's the lesson here?
[01:00:05.184 --> 01:00:06.704]  There's several huge lessons here.
[01:00:08.105 --> 01:00:29.750]  But I saw a video on CNN that was actually quite helpful, that I'll also get to later in the hour, where the former president is in Kiev, the capital there, and he's saying, well, there's thousands of us who are ready to fight right here in this group, and we only have a few hundred Kalashnikovs and a couple machine guns and a few missiles.
[01:00:30.811 --> 01:00:31.491]  But we're going to fight.
[01:00:33.291 --> 01:00:34.872]  Well, why don't you have all that stuff?
[01:00:35.192 --> 01:00:36.772]  Because you don't have a Second Amendment.
[01:00:37.772 --> 01:00:47.554]  And because your military had been looted by the oligarchs working for the West and not actually spending the money to have a defense because you are a vassal state.
[01:00:49.715 --> 01:00:50.715]  And so that's what's going on here.
[01:00:50.855 --> 01:00:51.995]  We don't want to be like that.
[01:00:52.055 --> 01:00:55.476]  We want to have our own food, our own water, and our guns and know how to use them.
[01:00:55.556 --> 01:00:56.836]  Not because we're looking for trouble.
[01:00:58.530 --> 01:01:11.100]  But what did Admiral Yamamoto, the Supreme Commander of the Japanese military, say when he got ordered by the Emperor to attack Pearl Harbor?
[01:01:11.160 --> 01:01:22.089]  He took the order, didn't question, but went back and told his high command, and they put it down, wrote it down on rice paper, that he said, I fear we have awakened a sleeping giant.
[01:01:26.132 --> 01:01:33.026]   He said, from our intelligence, There is a rifle behind every blade of grass.
[01:01:34.126 --> 01:01:36.388]  Because they finally had a plan to invade.
[01:01:37.108 --> 01:01:39.810]  He knew that wasn't going to work, but they had a plan.
[01:01:40.490 --> 01:01:43.592]  Talk about politicians giving orders to the military, the military can't fulfill.
[01:01:43.612 --> 01:01:52.657]  The full quote is, I fear all we have done is awaken a sleeping giant and fill him with a terrible resolve.
[01:01:54.498 --> 01:01:59.141]   He went on to say, You cannot invade the mainland America.
[01:01:59.201 --> 01:02:01.422]  There will be a rival behind every blade of grass.
[01:02:02.683 --> 01:02:03.864]  Guess there was another admiral who said it.
[01:02:04.184 --> 01:02:04.944]  I conflated the two.
[01:02:07.265 --> 01:02:08.766]  So there you go, ladies and gentlemen.
[01:02:09.006 --> 01:02:13.769]  And that's the difference between a free society and societies that aren't free.
[01:02:14.209 --> 01:02:23.494]  And when governments, whether it's an outside power like Russia or whether it's the corrupt Australian or New Zealand governments, when the public is disarmed, they are castrated.
[01:02:24.619 --> 01:02:37.342]  Going back to medieval times, whether you were in Japan or ancient France, or ancient England, or ancient Ukraine, only noblemen could have a sword or a knife past a certain length.
[01:02:39.623 --> 01:02:42.163]  Commoners weren't allowed to have long swords.
[01:02:42.944 --> 01:02:44.424]  Commoners weren't allowed to have armor.
