[00:26.000 --> 00:28.000]  You don't need
[19:50.000 --> 19:52.000]  destroy that brain fog today
[19:52.000 --> 19:54.000]  and secure your bottle of brain force
[19:54.000 --> 19:56.000]  ultra before it is completely sold out
[19:56.000 --> 19:58.000]  at m4store.com
[20:00.000 --> 20:02.000]  leading a frontal assault
[20:02.000 --> 20:04.000]  on the lies of the new world order
[20:04.000 --> 20:24.000]  it's alex jones
[20:24.000 --> 20:26.000]  all right coming up next segment
[20:26.000 --> 20:28.000]  we're gonna look at the hypocrisy
[20:28.000 --> 20:30.000]  of hypocrisy
[20:30.000 --> 20:32.000]  of the democratic party controlled by the un
[20:32.000 --> 20:34.000]  that has broken the world's borders
[20:34.000 --> 20:36.000]  that has flooded us with third world populations
[20:36.000 --> 20:38.000]  and then 50
[20:38.000 --> 20:40.000]  or technically 48 people get sent to marthas vineyard
[20:40.000 --> 20:42.000]  the most elite enclave in the u.s
[20:42.000 --> 20:44.000]  the democrats run it own it live there
[20:44.000 --> 20:46.000]  and they freak out
[20:46.000 --> 20:48.000]  and scenen has headlines
[20:48.000 --> 20:50.000]  oh we're enriched by them
[20:50.000 --> 20:52.000]  they're the most wonderful people they're the best
[20:52.000 --> 20:54.000]  but we all shipped them out
[20:54.000 --> 20:56.000]  within 48 hours
[20:56.000 --> 20:58.000]  to a military base
[20:58.000 --> 21:00.000]  and then the democrats did fundraisers
[21:00.000 --> 21:02.000]  and stole the money
[21:02.000 --> 21:04.000]  they're as bad as you can get
[21:04.000 --> 21:06.000]  always showing you how they love you
[21:06.000 --> 21:08.000]  always virtue signaling
[21:08.000 --> 21:10.000]  but not taking one person into their home
[21:10.000 --> 21:12.000]  while they flood the border states
[21:12.000 --> 21:14.000]  with tens of millions a year
[21:14.000 --> 21:16.000]  and the crime explodes
[21:16.000 --> 21:18.000]  and there's no jobs
[21:18.000 --> 21:20.000]  no future for the people they weigh down
[21:20.000 --> 21:22.000]  the social safety system and it implodes
[21:22.000 --> 21:24.000]  this is the replacement migration
[21:24.000 --> 21:26.000]  permanent underclass they brought in
[21:26.000 --> 21:28.000]  and now they've shipped them out
[21:28.000 --> 21:30.000]  to
[21:30.000 --> 21:32.000]  a military base
[21:34.000 --> 21:36.000]  so here is
[21:36.000 --> 21:38.000]  mariel bowser
[21:38.000 --> 21:40.000]  of dc
[21:40.000 --> 21:42.000]  saying we're not a border town
[21:42.000 --> 21:44.000]  we can't handle it so the poorest towns
[21:44.000 --> 21:46.000]  of the u.s. we didn't know
[21:46.000 --> 21:48.000]  aren't in detroit michigan
[21:48.000 --> 21:50.000]  we're not in south side chicago
[21:50.000 --> 21:52.000]  they're on the texas
[21:52.000 --> 21:54.000]  and arizona borders
[21:54.000 --> 21:56.000]  per capita the poorest places in america
[21:56.000 --> 21:58.000]  covered with garbage trash
[21:58.000 --> 22:00.000]  dead bodies murders you name it
[22:02.000 --> 22:04.000]  but then the richest city in the u.s.
[22:04.000 --> 22:06.000]  is dc
[22:06.000 --> 22:08.000]  with tens of thousands of standing troops
[22:08.000 --> 22:10.000]  all the federal agencies all those rich people
[22:10.000 --> 22:12.000]  and all their servants
[22:12.000 --> 22:14.000]  and they say oh dc isn't equipped
[22:14.000 --> 22:16.000]  for this when it's dc
[22:16.000 --> 22:18.000]  that is part of the world economic forum
[22:18.000 --> 22:20.000]  and the policies that collapse the third world
[22:20.000 --> 22:22.000]  and who then biden famously said
[22:22.000 --> 22:24.000]  if i win the election
[22:24.000 --> 22:26.000]  he said when i win the election
[22:26.000 --> 22:28.000]  i want you to immediately surge the border
[22:32.000 --> 22:34.000]  and they have the nerve to turn around and say republicans
[22:34.000 --> 22:36.000]  falsely incentivize
[22:36.000 --> 22:38.000]  these people to come here
[22:38.000 --> 22:40.000]  when they're the ones that brought them here
[22:40.000 --> 22:42.000]  everything they say about us is the opposite
[22:42.000 --> 22:44.000]  here's the mayor of dc
[22:44.000 --> 22:46.000]  we're not a border town
[22:46.000 --> 22:48.000]  we don't have an infrastructure
[22:48.000 --> 22:50.000]  to handle this
[22:50.000 --> 22:52.000]  this type of level of immigration
[22:52.000 --> 22:54.000]  to our city
[22:54.000 --> 22:56.000]  but we will create a new normal
[22:56.000 --> 22:58.000]  here in our infrastructure
[22:58.000 --> 23:00.000]  and have a humane welcome for people
[23:00.000 --> 23:02.000]  and an efficient
[23:02.000 --> 23:04.000]  service provision
[23:04.000 --> 23:06.000]  but we don't have the ability
[23:06.000 --> 23:08.000]  we're not texas
[23:08.000 --> 23:10.000]  you're not texas
[23:10.000 --> 23:12.000]  so you create
[23:12.000 --> 23:14.000]  the policy that trump had the border
[23:14.000 --> 23:16.000]  basically shut down
[23:16.000 --> 23:18.000]  he shipped people back to canary league
[23:18.000 --> 23:20.000]  at least they do not to come
[23:20.000 --> 23:22.000]  trump cut illegal immigration
[23:22.000 --> 23:24.000]  by about
[23:24.000 --> 23:26.000]  20 something times what obama did
[23:26.000 --> 23:28.000]  with obama they were flooding us
[23:28.000 --> 23:30.000]  then biden came in
[23:30.000 --> 23:32.000]  and they estimate biden has flooded the border
[23:32.000 --> 23:34.000]  five times what obama did
[23:36.000 --> 23:38.000]  you've seen all the footage of just
[23:38.000 --> 23:40.000]  tens of thousands every day at every checkpoint
[23:40.000 --> 23:42.000]  and just pouring across
[23:42.000 --> 23:44.000]  and just huge tense cities everywhere
[23:46.000 --> 23:48.000]  and then they turn around
[23:48.000 --> 23:50.000]  after the world lockdowns
[23:50.000 --> 23:52.000]  caused this and after the unorganized
[23:52.000 --> 23:54.000]  refugee camps literally flying
[23:54.000 --> 23:56.000]  bust these people in
[23:56.000 --> 23:58.000]  they get 48 people at marthas vineyard
[23:58.000 --> 24:00.000]  and they run around like chickens
[24:00.000 --> 24:02.000]  with their heads cut off
[24:02.000 --> 24:04.000]  and say it's the end of the world
[24:04.000 --> 24:06.000]  and then virtue signal and scenen has the headline
[24:06.000 --> 24:08.000]  migrants
[24:08.000 --> 24:10.000]  that came to marthas vineyard enriched us
[24:10.000 --> 24:12.000]  then they all packed themselves in the back
[24:12.000 --> 24:14.000]  after they shipped them away
[24:14.000 --> 24:16.000]  the hypocrisy is the greatest
[24:16.000 --> 24:18.000]  we've ever seen there's the headline
[24:18.000 --> 24:20.000]  they enriched us
[24:20.000 --> 24:22.000]  migrants
[24:22.000 --> 24:24.000]  44-hour visit leaves an indelible mark
[24:24.000 --> 24:26.000]  on marthas vineyard
[24:26.000 --> 24:28.000]  and now
[24:28.000 --> 24:30.000]  hillary clinton and newson and all of them are saying
[24:30.000 --> 24:32.000]  indict republican governors
[24:32.000 --> 24:34.000]  for human smuggling
[24:34.000 --> 24:36.000]  they're the ones that caused the whole thing
[24:36.000 --> 24:38.000]  I mean just incredible
[24:38.000 --> 24:40.000]  and they control the just department will probably happen
[24:40.000 --> 24:42.000]  here's
[24:42.000 --> 24:44.000]  candidate biden
[24:44.000 --> 24:46.000]  proud to have served with him
[24:46.000 --> 24:48.000]  what I would do as president
[24:48.000 --> 24:50.000]  is several more things
[24:50.000 --> 24:52.000]  because things have changed
[24:52.000 --> 24:54.000]  I would in fact make sure
[24:54.000 --> 24:56.000]  that there is we immediately
[24:56.000 --> 24:58.000]  served to the border
[24:58.000 --> 25:00.000]  all those people are seeking asylum
[25:00.000 --> 25:02.000]  they deserve to be heard
[25:02.000 --> 25:04.000]  that's who we are
[25:04.000 --> 25:06.000]  where a nation says if you want to flee
[25:06.000 --> 25:08.000]  and you're fleeing oppression you should come
[25:08.000 --> 25:10.000]  but flee to arizona
[25:10.000 --> 25:12.000]  flee to texas flee to collapse in california
[25:12.000 --> 25:14.000]  don't flee
[25:14.000 --> 25:16.000]  to the east coast
[25:18.000 --> 25:20.000]  and they show up by the millions
[25:20.000 --> 25:22.000]  wearing
[25:22.000 --> 25:24.000]  joe biden shirts
[25:24.000 --> 25:26.000]  what did I harp on
[25:26.000 --> 25:28.000]  two and a half years ago
[25:28.000 --> 25:30.000]  solicitors complained every segment
[25:30.000 --> 25:32.000]  when the first world collapses the third world dies
[25:32.000 --> 25:34.000]  the third world will collapse
[25:34.000 --> 25:36.000]  they will then surge the u.s
[25:36.000 --> 25:38.000]  we heard laura lorgan talk about her
[25:38.000 --> 25:40.000]  high level sources that were in the meetings
[25:40.000 --> 25:42.000]  with the u.n. and biden talking about this plan
[25:42.000 --> 25:44.000]  I don't need to have secret sources
[25:44.000 --> 25:46.000]  the globalists are arrogant
[25:46.000 --> 25:48.000]  they wrote the replacement migration plan
[25:48.000 --> 25:50.000]  in 2002
[25:50.000 --> 25:52.000]  and they've been bragging how that's the plan
[25:52.000 --> 25:54.000]  ever since and they're doing it by design
[25:56.000 --> 25:58.000]  meanwhile fedex ceo says he expects
[25:58.000 --> 26:00.000]  the economy to enter a worldwide
[26:00.000 --> 26:02.000]  recession they say logistically
[26:02.000 --> 26:04.000]  people are not buying
[26:04.000 --> 26:06.000]  regular goods and services because they don't have money
[26:08.000 --> 26:10.000]  jamie diman the head of
[26:10.000 --> 26:12.000]  jp morgan says it's something
[26:12.000 --> 26:14.000]  worse than a recession
[26:16.000 --> 26:18.000]  jp morgan's ceo jamie diman
[26:18.000 --> 26:20.000]  jamie diman told wealthy
[26:20.000 --> 26:22.000]  clients there's a chance he was
[26:22.000 --> 26:24.000]  heading to something worse than a recession
[26:24.000 --> 26:26.000]  he tells them to get ready before
[26:26.000 --> 26:28.000]  they drop the hammer
[26:28.000 --> 26:30.000]  inflation causing hardship for majority of
[26:30.000 --> 26:34.000]  u.s. households
[26:34.000 --> 26:36.000]  army tells soldiers to go
[26:36.000 --> 26:38.000]  on food stamps to cope with inflation
[26:38.000 --> 26:40.000]  as u.s. shipped 60 billion to ukraine
[26:42.000 --> 26:44.000]  and it goes on
[26:44.000 --> 26:46.000]  and on italy has a
[26:46.000 --> 26:48.000]  750% increase
[26:48.000 --> 26:50.000]  in all major
[26:50.000 --> 26:52.000]  products and energy in the last year
[26:52.000 --> 26:54.000]  welcome to the new world order
[26:54.000 --> 26:56.000]  major escalation
[26:56.000 --> 26:58.000]  this period's far different
[26:58.000 --> 27:00.000]  and far worse than many ways
[27:00.000 --> 27:02.000]  the 1970s
[27:02.000 --> 27:04.000]  california governor signs
[27:04.000 --> 27:06.000]  most aggressive package of green laws
[27:06.000 --> 27:08.000]  meant to shut down the economy this is
[27:08.000 --> 27:10.000]  economic war
[27:10.000 --> 27:12.000]  but it's okay by the
[27:12.000 --> 27:14.000]  administration awards 100 million
[27:14.000 --> 27:16.000]  to dismantle highways calling
[27:16.000 --> 27:18.000]  roads racist after all
[27:18.000 --> 27:20.000]  they fly around above it
[27:20.000 --> 27:22.000]  and in the last two and a half years of tyranny
[27:22.000 --> 27:24.000]  the average billionaire has doubled
[27:24.000 --> 27:26.000]  their wealth some have quadrupled it
[27:26.000 --> 27:28.000]  mapping the world's billionaire population
[27:28.000 --> 27:30.000]  that's exploded during this
[27:30.000 --> 27:32.000]  economic warfare
[27:34.000 --> 27:36.000]  now the good news is
[27:38.000 --> 27:40.000]  patriot political candidates
[27:40.000 --> 27:42.000]  are seeing the biggest political
[27:42.000 --> 27:44.000]  contributions in u.s. history
[27:44.000 --> 27:46.000]  people know we need good leaders in
[27:46.000 --> 27:48.000]  that will stand against this like the sanis
[27:48.000 --> 27:50.000]  Florida governor around the sanis
[27:50.000 --> 27:52.000]  breaks gubernatorial fundraising record
[27:52.000 --> 27:54.000]  that's good
[27:54.000 --> 27:56.000]  but who created the talking points
[27:56.000 --> 27:58.000]  and the understanding of the enemy
[27:58.000 --> 28:00.000]  battle plan that now everybody
[28:00.000 --> 28:02.000]  from Tucker Carlson to Joe Rogan
[28:02.000 --> 28:04.000]  to you name it cover
[28:04.000 --> 28:06.000]  we did
[28:06.000 --> 28:08.000]  and so it's great please record
[28:08.000 --> 28:10.000]  fundraising for the sanis but i'm asking
[28:10.000 --> 28:12.000]  listeners in these tough times i know they're tough
[28:12.000 --> 28:14.000]  to understand the democrats
[28:14.000 --> 28:16.000]  are lying in these court cases we don't have
[28:16.000 --> 28:18.000]  five million dollars much less the 400
[28:18.000 --> 28:20.000]  million they say we are
[28:20.000 --> 28:22.000]  close to implosion and this
[28:22.000 --> 28:24.000]  fight is intensified right now
[28:24.000 --> 28:26.000]  and we need your support and i thank you
[28:26.000 --> 28:28.000]  for your support but i need you to understand
[28:28.000 --> 28:30.000]  this war if you want to win we got great
[28:30.000 --> 28:32.000]  products you already need
[28:32.000 --> 28:34.000]  go to infowarstore.com because we are the
[28:34.000 --> 28:36.000]  political brain trust
[28:36.000 --> 28:38.000]  of the fight the immunity supercharger
[28:38.000 --> 28:40.000]  going into the fall and when everybody needs
[28:40.000 --> 28:42.000]  is dna force plus
[28:42.000 --> 28:44.000]  super dose of high quality vitamin c and zinc
[28:44.000 --> 28:46.000]  and vitamin d3 and calcium all three
[28:46.000 --> 28:48.000]  products together are 50%
[28:48.000 --> 28:50.000]  off at infowarstore.com
[28:50.000 --> 28:52.000]  you need this product already
[28:52.000 --> 28:54.000]  and it funds the tip of the spear please go
[28:54.000 --> 28:56.000]  to infowarstore.com we'll be right back
[29:00.000 --> 29:02.000]  the best selling book in america last
[29:02.000 --> 29:04.000]  week was the great reset and the war
[29:04.000 --> 29:06.000]  for the worlds written by
[29:06.000 --> 29:08.000]  alex jones
[29:08.000 --> 29:10.000]  jones sold more than 56,000 copies
[29:10.000 --> 29:12.000]  of his book last week but the new york
[29:12.000 --> 29:14.000]  times lied about that because the new york times doesn't want you to know that
[29:14.000 --> 29:16.000]  the new york times wants you to believe
[29:16.000 --> 29:18.000]  that alex jones is more discredited than
[29:18.000 --> 29:20.000]  the new york times the paper
[29:20.000 --> 29:22.000]  that started the iraq war by lying about weapons
[29:22.000 --> 29:24.000]  mass destruction and got a million people killed
[29:24.000 --> 29:26.000]  so they lied about his book
[29:26.000 --> 29:28.000]  the great reset and the war for the world
[29:28.000 --> 29:30.000]  the historic book
[29:30.000 --> 29:32.000]  that lays out the plans
[29:32.000 --> 29:34.000]  of the great reset death star
[29:34.000 --> 29:36.000]  and exposes the new world
[29:36.000 --> 29:38.000]  orders plans for global enslavement
[29:40.000 --> 29:42.000]  get your copy now at amazon.com
[29:42.000 --> 29:44.000]  to keep the book at number one
[29:44.000 --> 29:46.000]  at infowarstore.com
[29:46.000 --> 29:48.000]  to help keep info wars on the air
[29:48.000 --> 29:50.000]  the great reset
[29:50.000 --> 29:52.000]  and the war for the world
[29:52.000 --> 29:54.000]  by alex jones
[29:54.000 --> 30:16.000]  now number one in the world
[30:26.000 --> 30:28.000]  freeworldoutlet.com
[30:28.000 --> 30:30.000]  is amazing
[30:30.000 --> 30:32.000]  we're partnered with them
[30:32.000 --> 30:34.000]  and things like dna force plus
[30:34.000 --> 30:36.000]  that have been sold out at info war store
[30:36.000 --> 30:38.000]  is available there
[30:38.000 --> 30:40.000]  things like x2 being sold at full price
[30:40.000 --> 30:42.000]  40% off at freeworldoutlet.com
[30:42.000 --> 30:44.000]  and so much more
[30:44.000 --> 30:46.000]  here's some of the others knock out sleep support
[30:46.000 --> 30:48.000]  50% off brain force plus
[30:48.000 --> 30:50.000]  50% off ultimate roam broth
[30:50.000 --> 30:52.000]  50% off and so many other specials
[30:52.000 --> 30:54.000]  freeworldoutlet.com
[30:54.000 --> 30:56.000]  freeworldoutlet.com
[30:56.000 --> 30:58.000]  and keep info wars on the air while getting great products
[31:00.000 --> 31:02.000]  sold out for more than
[31:02.000 --> 31:04.000]  a year and a half because of supply chain
[31:04.000 --> 31:06.000]  breakdowns our best selling
[31:06.000 --> 31:08.000]  product super blue
[31:08.000 --> 31:10.000]  is finally back in stock the original
[31:10.000 --> 31:12.000]  available at infowarstore.com
[31:12.000 --> 31:14.000]  it only came in three weeks
[31:14.000 --> 31:16.000]  ago and already half of our stock
[31:16.000 --> 31:18.000]  has sold out so thank you
[31:18.000 --> 31:20.000]  all for the support but super blue has a lot
[31:20.000 --> 31:22.000]  of fans and you can get it
[31:22.000 --> 31:24.000]  for 40% off by itself
[31:24.000 --> 31:26.000]  but when you get it in the trifecta
[31:26.000 --> 31:28.000]  with our activated charcoal toothpaste
[31:28.000 --> 31:30.000]  infused with essential oils
[31:30.000 --> 31:32.000]  so great for your mouth and gums
[31:32.000 --> 31:34.000]  you can get it for 50% off
[31:34.000 --> 31:36.000]  with super coral whitening toothpaste
[31:36.000 --> 31:38.000]  as well so get the trifecta
[31:38.000 --> 31:40.000]  for 50% off together
[31:40.000 --> 31:42.000]  or 40% off individually
[31:42.000 --> 31:44.000]  at infowarstore.com
[31:44.000 --> 31:46.000]  you'll have great health with your gums
[31:46.000 --> 31:48.000]  and your mouth and your teeth and you know
[31:48.000 --> 31:50.000]  you're funding the tip of the spear
[31:50.000 --> 31:52.000]  in the fight against the globalist super blue
[31:52.000 --> 31:54.000]  being sold out for more than a year and a half
[31:54.000 --> 32:20.000]  finally back available at infowarstore.com
[32:24.000 --> 32:26.000]  now there are actually some studies out there
[32:26.000 --> 32:28.000]  linking it to amazing
[32:28.000 --> 32:30.000]  events in the brain
[32:30.000 --> 32:32.000]  but I want you to experience it
[32:32.000 --> 32:34.000]  yourself we know it's good for your heart
[32:34.000 --> 32:36.000]  we know it's good for your brain
[32:36.000 --> 32:38.000]  we know it's good for your arteries and veins and your lungs
[32:38.000 --> 32:40.000]  and every other function in your body but
[32:40.000 --> 32:42.000]  I want you to experience
[32:42.000 --> 32:44.000]  this high grade fish oil
[32:44.000 --> 32:46.000]  this ultimate fish oil at infowarstore.com
[32:46.000 --> 32:48.000]  and see what it does if you take it
[32:48.000 --> 32:50.000]  before bedtime
[32:50.000 --> 32:52.000]  ultimate fish oil 50% off
[32:52.000 --> 32:54.000]  exclusively available at infowarstore.com
[32:54.000 --> 32:56.000]  thank you all for your support
[32:56.000 --> 33:24.000]  you're really going to miss out if you don't get it
[34:10.000 --> 34:12.000]  this is a Sunday emergency broadcast
[34:12.000 --> 34:14.000]  the planet is now entering a global depression
[34:14.000 --> 34:16.000]  only a mass awakening and reverse complete collapse
[34:16.000 --> 34:18.000]  that's the truth
[34:18.000 --> 34:20.000]  and we're all collapsing together here
[34:20.000 --> 34:22.000]  except the billionaires that are consolidating power
[34:22.000 --> 34:24.000]  and doubling and tripling their wealth
[34:24.000 --> 34:26.000]  you got to decide whether you want to fight or roll over
[34:26.000 --> 34:28.000]  and die but rolling over only makes it worse
[34:28.000 --> 34:30.000]  you will reach a point down the road
[34:30.000 --> 34:32.000]  where you wish you would have stood up
[34:32.000 --> 34:34.000]  I know this audience is standing up and I commend you
[34:34.000 --> 34:36.000]  and I salute you but so many millions of people
[34:36.000 --> 34:38.000]  tune in every week just to make jokes
[34:38.000 --> 34:40.000]  and see what the spectacles about while shown as under attack
[34:40.000 --> 34:42.000]  because we're putting up a fight against these people folks
[34:42.000 --> 34:44.000]  this is economic, cultural warfare
[34:44.000 --> 34:46.000]  this is the new world order
[34:48.000 --> 34:50.000]  I'm going to get back into the news here
[34:50.000 --> 34:52.000]  in just a moment but I'm going to say this again
[34:52.000 --> 34:54.000]  Info Wars
[34:54.000 --> 34:56.000]  is under attack
[34:56.000 --> 34:58.000]  we've got to stay on air and I want to thank all you
[34:58.000 --> 35:00.000]  that have kept us on air
[35:00.000 --> 35:02.000]  but I'll encourage viewers
[35:02.000 --> 35:04.000]  to go to infowars.com
[35:04.000 --> 35:06.000]  to the live show feed that says Sunday Emergency Broadcast
[35:06.000 --> 35:08.000]  and there is a link to give cryptocurrency
[35:08.000 --> 35:10.000]  and a link to infowarsore.com
[35:10.000 --> 35:12.000]  to give straight donations because
[35:12.000 --> 35:14.000]  we are taking on the Democratic Party
[35:14.000 --> 35:16.000]  deep state we're taking on the new world order
[35:16.000 --> 35:18.000]  we are creating
[35:18.000 --> 35:20.000]  the analysis and blueprint of the enemy
[35:20.000 --> 35:22.000]  that nobody else is doing
[35:22.000 --> 35:24.000]  and if we get shut down or we get crippled
[35:24.000 --> 35:26.000]  it is going to be a big victory for the enemy
[35:26.000 --> 35:28.000]  so I'm going to get to the news
[35:28.000 --> 35:30.000]  but let me first say this
[35:34.000 --> 35:36.000]  there are several ways to support this broadcast
[35:36.000 --> 35:38.000]  and the biggest is by getting
[35:38.000 --> 35:40.000]  the fourth coin
[35:40.000 --> 35:42.000]  at 1776coin.com
[35:42.000 --> 35:44.000]  or patreoncollectibles.com
[35:44.000 --> 35:46.000]  that is the man in the arena
[35:46.000 --> 35:48.000]  it's got a gladiator on the back
[35:48.000 --> 35:50.000]  on the front
[35:50.000 --> 35:52.000]  it's the fourth coin
[35:52.000 --> 35:54.000]  and just like NPR does
[35:54.000 --> 35:56.000]  where
[35:56.000 --> 35:58.000]  they'll sell a ball cap for 50 bucks and a t-shirt for 100 bucks
[35:58.000 --> 36:00.000]  or whatever
[36:00.000 --> 36:02.000]  this has a big mark up on it because it's a piece of history
[36:02.000 --> 36:04.000]  limited edition coin to fundraise
[36:04.000 --> 36:06.000]  and fight the Democratic Party lawsuits
[36:06.000 --> 36:08.000]  and to keep us on air
[36:08.000 --> 36:10.000]  and to be successfully profitable
[36:10.000 --> 36:12.000]  in this bankruptcy so we stay on air
[36:12.000 --> 36:14.000]  do you understand that's where we're at
[36:14.000 --> 36:16.000]  so thank you for your support
[36:16.000 --> 36:18.000]  no order of depression
[36:18.000 --> 36:20.000]  it's your choice whether you want to keep us on air or not
[36:20.000 --> 36:22.000]  but everybody should go to 1776coin.com
[36:22.000 --> 36:24.000]  right now
[36:24.000 --> 36:26.000]  and get the coin
[36:26.000 --> 36:28.000]  it's a piece of history and you'll know
[36:28.000 --> 36:30.000]  you put up a fight
[36:30.000 --> 36:32.000]  there's nowhere
[36:32.000 --> 36:34.000]  where you can more easily
[36:34.000 --> 36:36.000]  make a donation and get a piece of history
[36:36.000 --> 36:38.000]  and a coin and know that you were part of the fight
[36:38.000 --> 36:40.000]  you cannot find a place
[36:40.000 --> 36:42.000]  and it's God's will that did this
[36:42.000 --> 36:44.000]  not me
[36:44.000 --> 36:46.000]  in fact we have world leaders listening
[36:46.000 --> 36:48.000]  we have all the big podcasters listening
[36:48.000 --> 36:50.000]  everything we talked about 20 years ago has come true
[36:50.000 --> 36:52.000]  our credibility is incredibly high
[36:52.000 --> 36:54.000]  that's why the enemies of freedom are in a rage
[36:54.000 --> 36:56.000]  ladies and gentlemen
[36:56.000 --> 36:58.000]  to shut us down
[36:58.000 --> 37:00.000]  so get the Teddy Roosevelt coin now
[37:00.000 --> 37:02.000]  when they're gone they're gone
[37:02.000 --> 37:04.000]  1776coin.com
[37:04.000 --> 37:06.000]  or patriotcollectibles.com
[37:06.000 --> 37:08.000]  you can also get signed fundraiser books
[37:08.000 --> 37:10.000]  only place to get them
[37:10.000 --> 37:12.000]  at infowarstore.com
[37:12.000 --> 37:14.000]  if you just want copies to give
[37:14.000 --> 37:16.000]  friends and family
[37:16.000 --> 37:18.000]  I get a signed copy for yourself
[37:18.000 --> 37:20.000]  do your Christmas shopping and be done with it
[37:20.000 --> 37:22.000]  don't fight the crowds, don't fight all the crap
[37:22.000 --> 37:24.000]  won't matter
[37:24.000 --> 37:26.000]  most of the big rock and roll and hip hop stars
[37:26.000 --> 37:28.000]  and country music people have already cancelled their
[37:28.000 --> 37:30.000]  fall and winter gigs
[37:30.000 --> 37:32.000]  because they know
[37:32.000 --> 37:34.000]  they've been told the depression is here
[37:34.000 --> 37:36.000]  so yes you have to decide
[37:36.000 --> 37:38.000]  what are you going to fund during these hard times
[37:38.000 --> 37:40.000]  I'd get food and shelter
[37:40.000 --> 37:42.000]  defense items
[37:42.000 --> 37:44.000]  and make sure you have plenty of ammo to protect yourself and your family
[37:44.000 --> 37:46.000]  from the crime and the collapses coming
[37:46.000 --> 37:48.000]  and yes I would then fund
[37:48.000 --> 37:50.000]  the tip of the spear and know it's going to be on the air
[37:50.000 --> 37:52.000]  as long as possible
[37:52.000 --> 37:54.000]  we have been on the air long past
[37:54.000 --> 37:56.000]  when the enemy intended for us
[37:56.000 --> 37:58.000]  to still be on air
[37:58.000 --> 38:00.000]  and I mean your hands and I thank you
[38:00.000 --> 38:02.000]  but infowarstore.com
[38:02.000 --> 38:04.000]  to get the signed book or the unsigned book
[38:04.000 --> 38:06.000]  great reset worth of the world
[38:06.000 --> 38:08.000]  1776coin.com
[38:08.000 --> 38:10.000]  to get the coin
[38:10.000 --> 38:12.000]  and
[38:12.000 --> 38:14.000]  what I'm doing on this Sunday night show
[38:14.000 --> 38:16.000]  is I got to get on an airplane tomorrow and fly to Connecticut
[38:16.000 --> 38:18.000]  for the second rig trial
[38:18.000 --> 38:20.000]  where the judge already announced I'm guilty
[38:20.000 --> 38:22.000]  and tells the jury I'm guilty and says we can't put on defense
[38:22.000 --> 38:24.000]  we can't put on evidence
[38:24.000 --> 38:26.000]  all lies
[38:26.000 --> 38:28.000]  that's okay that's what I expect
[38:28.000 --> 38:30.000]  I expect to be able to attack
[38:30.000 --> 38:32.000]  I won't be here tomorrow
[38:32.000 --> 38:34.000]  it'll be Owen doing a great job
[38:34.000 --> 38:36.000]  and guest hosts and other special guests are coming
[38:36.000 --> 38:38.000]  in the shower
[38:38.000 --> 38:40.000]  the last couple plugs is
[38:40.000 --> 38:42.000]  cutting ads basically live on air
[38:42.000 --> 38:44.000]  we can run throughout the week when I won't be on air
[38:44.000 --> 38:46.000]  I'll be filing special reports
[38:46.000 --> 38:48.000]  I'll be filing updates
[38:48.000 --> 38:50.000]  a lot of big surprises obviously coming up
[38:50.000 --> 38:52.000]  they'll want to be tuning in throughout the week but
[38:52.000 --> 38:54.000]  that's part of why I plug so heavily
[38:54.000 --> 38:56.000]  the first 35 minutes of the show
[38:56.000 --> 38:58.000]  is because I don't want to lose
[38:58.000 --> 39:00.000]  I don't want to quit I don't want to stop
[39:00.000 --> 39:02.000]  I don't want them to win and I am literally
[39:02.000 --> 39:04.000]  in your hands
[39:04.000 --> 39:06.000]  you got it
[39:06.000 --> 39:08.000]  I just
[39:08.000 --> 39:10.000]  it's such a paradox
[39:10.000 --> 39:12.000]  you're so close to victory
[39:12.000 --> 39:14.000]  and so close to defeat
[39:14.000 --> 39:16.000]  this is like again an NFL game
[39:16.000 --> 39:18.000]  and over time this is like a boxing match
[39:18.000 --> 39:20.000]  the 12th round this is like two horses
[39:20.000 --> 39:22.000]  and a horse race that are nose to nose
[39:22.000 --> 39:24.000]  this is do or die time folks
[39:24.000 --> 39:26.000]  and I'm going to explain it again
[39:26.000 --> 39:28.000]  if you let the new world order take over
[39:28.000 --> 39:30.000]  if you let them continue their design collapse
[39:30.000 --> 39:32.000]  it's here it's not coming
[39:32.000 --> 39:34.000]  later you've done something now
[39:34.000 --> 39:36.000]  and it's a no brainer
[39:36.000 --> 39:38.000]  and the whole pantheon
[39:38.000 --> 39:40.000]  of things you can do to resist
[39:40.000 --> 39:42.000]  the fund info wars and to keep us on the air
[39:42.000 --> 39:44.000]  okay I'm done talking about this
[39:48.000 --> 39:50.000]  I'm going to move on now and hit all the news
[39:50.000 --> 39:52.000]  tonight but they really don't want to be heard
[39:52.000 --> 39:54.000]  but they don't want to be seen
[39:54.000 --> 39:56.000]  and I'm going to do the best job I can
[39:56.000 --> 39:58.000]  but I got to tell you
[39:58.000 --> 40:00.000]  but I see the arrogance
[40:00.000 --> 40:02.000]  and the evil
[40:02.000 --> 40:04.000]  and the corruption
[40:04.000 --> 40:06.000]  and the
[40:06.000 --> 40:08.000]  and the
[40:08.000 --> 40:10.000]  and the
[40:10.000 --> 40:12.000]  and the bravada
[40:12.000 --> 40:14.000]  and the
[40:14.000 --> 40:16.000]  disconnectedness from God
[40:16.000 --> 40:18.000]  wait till we hit the southern news
[40:18.000 --> 40:20.000]  next segment
