[00:00:00.349 --> 00:00:02.210]  Emergency Tuesday broadcast.
[00:40:30.966 --> 00:40:32.127]  And now they want the First Amendment.
[00:40:33.647 --> 00:40:37.208]  Now the same group wants me silenced, because they want you silenced.
[00:40:39.462 --> 00:40:44.104]  But now they've halfway given up on that, so they just want to set me up for January 6th in terrorism and put me in jail.
[00:40:44.244 --> 00:40:47.525]  Because they don't want me up here running my mouth about what they're doing.
[00:40:48.806 --> 00:40:49.306]  Oh, but look.
[00:40:49.786 --> 00:40:52.927]  Why Justin Trudeau is supporting protesting farmers in India.
[00:40:53.608 --> 00:40:56.889]  India tried to restrict the farmers that didn't want to go on a national ID program.
[00:40:56.929 --> 00:40:57.549]  I agree with them.
[00:40:57.849 --> 00:41:00.030]  He supported that just so he could look good.
[00:41:01.731 --> 00:41:04.372]  But he doesn't support his own people.
[00:41:06.353 --> 00:41:11.065]   In fact, he did it under the orders of Klaus Schwab and Biden, it's now coming out.
[00:41:12.605 --> 00:41:16.868]  Trudeau's state media, though, labels freedom a far-right concept.
[00:41:16.908 --> 00:41:19.229]  Wow, that's so incredible.
[00:41:19.289 --> 00:41:20.590]  Freedom's a slippery concept.
[00:41:20.910 --> 00:41:23.991]  George Washington University professor says freedom is a tool of the far right.
[00:41:24.031 --> 00:41:28.013]  I've got other articles, Boston Globe, you name it, saying, yeah, get rid of free speech.
[00:41:29.814 --> 00:41:30.815]  Yeah, here's a nice meme.
[00:41:30.855 --> 00:41:33.596]  Here's Trudeau up there speaking, announcing martial law.
[00:41:33.656 --> 00:41:36.238]  And Xi Jinping says to Putin, bro, you seeing this?
[00:41:36.858 --> 00:41:37.959]  And they call us dictators.
[00:41:38.279 --> 00:41:38.659]  Hold up.
[00:41:39.764 --> 00:41:40.765]  Gotta catch another line.
[00:41:41.045 --> 00:41:43.966]  Bro says the dictator of North Korea.
[00:41:47.148 --> 00:41:48.169]  And then look at these quotes here.
[00:41:48.329 --> 00:41:49.350]  I've got the videos of these.
[00:41:49.470 --> 00:41:51.171]  Trudeau, Minister of Public Safety.
[00:41:51.371 --> 00:41:58.055]  We had to take the very careful and deliberate step of introducing the Emergencies Act due to the part the truckers' expressions of hate.
[00:41:59.162 --> 00:42:03.343]  Oh yeah, somebody had a sign of Trudeau, the swastika on Trudeau, saying he's a Nazi.
[00:42:03.543 --> 00:42:04.563]  You know, like Bill Maher?
[00:42:04.924 --> 00:42:09.465]  And so now we need martial law, because the Canadians are calling him Hitler, and so is Bill Maher!
[00:42:10.085 --> 00:42:13.706]  Maybe we need martial law in California, because Bill Maher said somebody's like a Nazi.
[00:42:13.726 --> 00:42:15.346]  See how it works?
[00:42:15.506 --> 00:42:18.147]  Oh, Bill Maher's a Nazi, because he called you a Nazi.
[00:42:20.205 --> 00:42:22.107]  Oh my gosh, somebody saw a swastika.
[00:42:22.307 --> 00:42:23.047]  Like the Daily Mail.
[00:42:23.408 --> 00:42:25.209]  Alex Jones wears swastika shoes.
[00:42:25.409 --> 00:42:25.649]  What?
[00:42:26.390 --> 00:42:27.651]  But see, it's so made up.
[00:42:28.011 --> 00:42:28.932]  It's so insane.
[00:42:28.952 --> 00:42:30.533]  People think, well, it's gotta be true.
[00:42:30.613 --> 00:42:32.315]  I mean, who would make that up?
[00:42:33.136 --> 00:42:38.460]  On my children may I be struck down by lightning that I've never worn swastika shoes and it's a total lie.
[00:42:39.830 --> 00:42:42.271]  It doesn't matter, it's how they're superior to you.
[00:42:42.952 --> 00:42:53.598]  It's how they take the grandchildren of World War II vets that almost died fighting Hitler and they turn you into Hitler while they give awards to people that served Hitler like George Soros because they're evil people.
[00:42:55.759 --> 00:42:57.581]  And it just goes on and on and on.
[00:42:57.661 --> 00:43:01.183]  Tech companies, banks crack down on anti-mandate convoy supporters.
[00:43:01.863 --> 00:43:15.097]   Oh yeah, first they hack into the sites, Leak, give, send, go, who the people are that gave, so now the government goes, oh look, we just have the names and the corporations without any warrants and the banks to take your money!
[00:43:15.377 --> 00:43:26.198]  No judge, no jury, they break into your computer, they commit financial crimes, the Royal Mounted Police, obviously, give the information to the banks to engage in more crime.
[00:43:26.498 --> 00:43:30.399]  That's a criminal swarm, just like with the Durham case.
[00:43:31.339 --> 00:43:34.980]  Names of Canadian truck convoy donors leaked after reporting the hack.
[00:43:36.488 --> 00:43:40.910]  When Hitler started firebombing London, the majority of Brits were against war.
[00:43:40.990 --> 00:43:43.151]  As soon as they firebombed London, the majority were for war.
[00:43:43.171 --> 00:43:43.751]  It's the same thing.
[00:43:43.991 --> 00:43:46.693]  You think linking people's names is going to make them not donate money?
[00:43:47.153 --> 00:43:49.454]  You think intimidating everybody is going to make us go away?
[00:43:49.694 --> 00:43:51.375]  No, we're not scum like you.
[00:43:51.535 --> 00:43:53.756]  We're not cowardly, bootlicking filth like you.
[00:43:53.996 --> 00:43:55.857]  That won't have the effect you want on us.
[00:43:57.279 --> 00:44:05.524]  Now I need you to energize me with money to fight these people and launch more operations because they fear us because we carry victory with us.
[00:44:05.804 --> 00:44:08.025]  The spirit of victory and overcoming!
[00:44:08.366 --> 00:44:10.507]  Infowarstar.com!
[00:44:10.327 --> 00:44:12.327]  Come go there now!
[00:44:12.327 --> 00:44:19.327]  [Music]
[00:44:19.327 --> 00:44:26.327]   Today, ladies and gentlemen, is one of the last days you've got.
[00:44:26.417 --> 00:44:29.481]  We've been able to extend it till Wednesday and then 100% it's going to end.
[00:44:29.882 --> 00:44:32.125]  And that's 25% off.
[00:44:32.345 --> 00:44:33.366]  Last night was the last day.
[00:44:33.406 --> 00:44:34.368]  They extended it three days.
[00:44:34.808 --> 00:44:36.751]  Nobody else since their distributors gets this deal.
[00:44:38.034 --> 00:44:44.120]  25% off on the entire MyPatriotSupply catalog exclusively at PrepareWithAlex.com.
[00:44:44.360 --> 00:44:46.642]  That's a subdomain of InfoWarsStore.com.
[00:44:46.983 --> 00:44:48.704]  So follow PrepareWithAlex.com.
[00:44:49.064 --> 00:44:59.214]  That takes you right to the special page with the full raft of hundreds and hundreds of different types of great quality food with the best packaging, ready to store, ready to save, ready to ship, ready to eat.
[00:44:59.813 --> 00:45:09.492]   infowarestore.com or preparathalax.com or 888-253-3139 and it will end on Wednesday
[00:45:09.492 --> 00:45:10.492]  evening.
[00:45:10.492 --> 00:45:13.652]  X3 is already halfway sold out.
[00:45:13.650 --> 00:45:16.052]  It will stay on sale for another week at 50% off.
[00:45:16.492 --> 00:45:19.074]  It's so good for your immune system and everything else, and it funds the InfoWar.
[00:45:19.534 --> 00:45:23.417]  And a bunch of other sales in Wednesday as well at InfoWarStore.com.
[00:45:23.957 --> 00:45:25.058]  Well, we got good news.
[00:45:25.238 --> 00:45:30.842]  The Russians have completed their main drills and have pulled back their main military force from their own border with Ukraine.
[00:45:31.323 --> 00:45:40.133]   We have Peter Lancaster, a big internationally known reporter, Joining us coming up in the next segment to lay out the latest on that.
[00:45:40.213 --> 00:45:43.354]  And there are crazy AP articles, Bloomberg articles, you name it.
[00:45:44.675 --> 00:45:52.618]  Demonizing Zero Hedge for amongst other things, linking to Paul Joseph Watson, linking to Russian propaganda.
[00:45:52.898 --> 00:45:57.720]  So when we report that Russia says they pulled their troops back, we're not allowed to.
[00:45:57.800 --> 00:46:01.781]  Just like when Cuomo said on CNN, you're not allowed to read WikiLeaks, only CNN can.
[00:46:02.702 --> 00:46:03.062]  Remember that?
[00:46:04.454 --> 00:46:05.395]  Remember how bizarre that was?
[00:46:05.415 --> 00:46:07.356]  Remember how crazy that was?
[00:46:08.638 --> 00:46:14.622]  And so now, if we just report that Russia says they pulled back, I mean, I guess if we report Kim Jong-un says the sky's blue, we're not allowed to say it.
[00:46:15.443 --> 00:46:20.708]  No, you only report corporate media that tells you we're at war with Russia and the war is imminent.
[00:46:22.149 --> 00:46:24.010]  This is so powerful, I'm going to play it one more time.
[00:46:24.571 --> 00:46:28.474]  Here's a compilation of Trudeau and all of his tyrannical announcements and behavior.
[00:46:28.935 --> 00:46:30.935]  Here it is, we'll be right back with a special guest.
[00:46:30.935 --> 00:46:38.935]  [Music]
[00:46:38.935 --> 00:46:46.935]   The small fringe minority of people who are on their way to Ottawa,
[00:46:46.935 --> 00:46:52.935]  who are holding unacceptable views that they're expressing.
[00:46:52.935 --> 00:46:55.515]  (upbeat music)
[00:46:54.583 --> 00:47:12.453]  Do not represent the views of Canadians who have been there for each other, who know that following the science and stepping up to protect each other is the best way to continue to ensure our freedoms, our rights, our values as a country.
[00:47:12.613 --> 00:47:19.477]  We are not intimidated by those who hurl insults and abuse at small business workers.
[00:47:20.481 --> 00:47:23.082]  and steal food from the homeless.
[00:47:24.063 --> 00:47:28.025]  We won't give in to those who fly racist flags.
[00:47:28.986 --> 00:47:35.929]  We won't cave to those who engage in vandalism or dishonor the memory of our veterans.
[00:47:36.530 --> 00:47:40.536]   So to those responsible for this behavior It needs to stop.
[00:47:40.777 --> 00:47:46.360]  It's a level of admiration I actually have for China.
[00:47:47.200 --> 00:47:58.826]  Because their basic dictatorship is allowing them to actually turn their economy around on a dime and say, we need to go green as fast as we need to start, you know, investing in solar.
[00:47:59.206 --> 00:48:06.830]  I mean, there is a flexibility that I know Stephen Harper must dream about of having a dictatorship that he could do everything he wanted.
[00:48:06.890 --> 00:48:07.791]  That I find quite interesting.
[00:48:08.351 --> 00:48:21.210]  Regardless of the fact that we are attacking your fundamental rights, or limiting your fundamental rights, and the Charter says that's wrong, we're still going to go ahead and do it.
[00:48:24.667 --> 00:48:34.149]  Canada has invoked the Emergencies Act to supplement provincial and territorial capacity to address the blockades and occupations.
[00:48:34.749 --> 00:48:47.892]  We are broadening the scope of Canada's anti-money laundering and terrorist financing rules so that they cover crowdfunding platforms and the payment service providers they use.
[00:48:48.912 --> 00:48:56.928]  These changes cover all forms of transactions, including digital assets, such as cryptocurrencies.
[00:48:57.867 --> 00:48:58.988]  I want to be very clear.
[00:48:59.969 --> 00:49:13.220]  The scope of these measures will be time-limited, geographically targeted, as well as reasonable and proportionate to the threats they are meant to address.
[00:49:14.161 --> 00:49:22.527]  The Emergencies Act will be used to strengthen and support law enforcement agencies at all levels across the country.
[00:49:23.469 --> 00:49:32.285]  This is about keeping Canadians safe, protecting people's jobs, and restoring confidence in our institutions.
[00:49:32.906 --> 00:49:33.447]  As of today.
[00:49:34.525 --> 00:49:44.867]  A bank or other financial service provider will be able to immediately freeze or suspend an account without a court order.
[00:49:45.187 --> 00:49:48.187]  Justin Trudeau, I mean, I thought he was kind of a cool guy.
[00:49:48.207 --> 00:49:50.748]  But I started to read what he said.
[00:49:51.288 --> 00:49:52.528]  This is a couple of weeks ago.
[00:49:52.588 --> 00:49:57.429]  He was or maybe this is September, but he was talking about people who are not vaccinated.
[00:49:58.549 --> 00:50:00.030]  He said they don't believe in science.
[00:50:00.070 --> 00:50:01.710]  They're often misogynistic, often.
[00:50:02.338 --> 00:50:03.841]  Well, the globalists want a war.
[00:50:03.881 --> 00:50:05.223]  They want to be our puppet masters.
[00:50:05.243 --> 00:50:06.405]  They want to be in control.
[00:50:07.386 --> 00:50:13.516]  But Russia has pulled its troops off of its own border with Ukraine.
[00:50:13.596 --> 00:50:14.958]  It does once-a-year drills.
[00:50:15.632 --> 00:50:16.752]  And they said, these are just drills.
[00:50:16.772 --> 00:50:19.893]  You're the ones massing troops and weapons in Ukraine and NATO.
[00:50:20.233 --> 00:50:21.814]  We heard three weeks ago war was imminent.
[00:50:21.834 --> 00:50:23.034]  We heard two weeks ago, a week ago.
[00:50:23.414 --> 00:50:27.655]  Then we were told over the weekend it was going to happen on the 16th tomorrow.
[00:50:28.296 --> 00:50:30.796]  And then the president of Ukraine came out and said, that's not true.
[00:50:31.496 --> 00:50:33.437]  Please, Joe Biden, come here to America.
[00:50:34.338 --> 00:50:38.221]  Then he was sarcastic and said, OK, I guess the invasion is the 16th two days ago.
[00:50:38.641 --> 00:50:40.863]  Our media ran with that like it was serious.
[00:50:41.324 --> 00:50:45.447]  Well, now the Russians have pulled back from their already scheduled drills.
[00:50:45.567 --> 00:50:54.294]  And what is the response of the corporate media here in the West that Putin's not allowed to have any troops anywhere?
[00:50:55.120 --> 00:50:55.960]  In Russia.
[00:50:56.401 --> 00:50:58.161]  The Russians aren't allowed to even have a military.
[00:50:58.862 --> 00:51:04.604]  And, you know, how dare Russia put itself close to all of the West military bases?
[00:51:04.644 --> 00:51:05.004]  Literally.
[00:51:05.084 --> 00:51:07.925]  We'll believe Putin's withdrawal when we see it.
[00:51:08.305 --> 00:51:10.406]  NATO cautiously declares victory.
[00:51:11.347 --> 00:51:16.430]  Oh, it's a victory that they had a military drill and ended it, invading Ukraine.
[00:51:16.530 --> 00:51:18.751]  So, we'll believe Putin's withdrawal when we see it.
[00:51:18.811 --> 00:51:22.133]  NATO cautiously declares victory in the battle.
[00:51:22.613 --> 00:51:32.799]  Oh, to stop Russia invading Ukraine while Moscow claims it has disgraced the West hours after US intelligence warned troops were in attack positions.
[00:51:33.059 --> 00:51:37.725]   The same US intelligence that told us That Trump and Alex Jones were Russian agents?
[00:51:38.185 --> 00:51:39.046]  I can tell you I'm not.
[00:51:39.066 --> 00:51:40.227]  I can tell you Trump isn't.
[00:51:40.287 --> 00:51:40.828]  Roger Stone?
[00:51:41.048 --> 00:51:45.892]  The same ones that spied illegally on Trump's campaign and then on the White House?
[00:51:46.192 --> 00:51:46.893]  That's treason!
[00:51:47.173 --> 00:51:47.854]  That's illegal!
[00:51:48.014 --> 00:51:48.714]  That's felony!
[00:51:48.854 --> 00:51:50.916]  That's punishable by life in a supermax prison!
[00:51:51.216 --> 00:51:53.138]  Quite frankly, it's punishable by death under U.S.
[00:51:53.158 --> 00:51:53.438]  code.
[00:51:54.099 --> 00:51:58.623]  But oh my gosh, then it's Hillary on the payroll of anybody that'll give her money around the world.
[00:51:58.663 --> 00:52:00.404]  She doesn't work for the Russians or the Chinese or anybody.
[00:52:00.685 --> 00:52:02.126]  She works against America.
[00:52:03.593 --> 00:52:06.735]  So, that is just absolutely amazing.
[00:52:06.856 --> 00:52:13.721]  Peter, or Patrick, I said Peter earlier, Patrick Lancaster is our guest, and he is a U.S.
[00:52:13.741 --> 00:52:16.043]  Navy veteran, independent, crowd-funded journalist.
[00:52:16.363 --> 00:52:25.470]  Over eight years of the Ukraine war, he has made more video reports in anti-Ukraine government, Donetsk, People's Republic, controlled territory than any other Western journalist.
[00:52:25.810 --> 00:52:31.114]   He has also covered the American-Azerbaijan war, And reaching 8 million people with his reports.
[00:52:31.514 --> 00:52:33.956]  He shows what the Western media will not show you.
[00:52:34.396 --> 00:52:36.938]  You can find his reports on YouTube and other social media.
[00:52:37.259 --> 00:52:41.402]  And that's Patrick Lancaster News Today on Facebook as well.
[00:52:41.762 --> 00:52:45.625]  Patrick is only funded by his views, so please check him out today.
[00:52:45.925 --> 00:52:51.910]  So Patrick Lancaster, independent journalist in one of the eastern controlled areas by Russia.
[00:52:51.990 --> 00:52:54.171]  So much to talk about, so much to break down.
[00:52:54.391 --> 00:52:55.352]  I know it's evening over there.
[00:52:55.392 --> 00:52:56.353]  Thank you so much for coming on.
[00:52:58.135 --> 00:52:59.517]  No problem Alex, thanks for having me.
[00:53:00.358 --> 00:53:02.361]  So Patrick, where do you want to start here?
[00:53:02.941 --> 00:53:05.565]  Is it true that the Russians are pulling back or is that a lie?
[00:53:07.574 --> 00:53:30.217]  Well, this morning, Russia, the Ministry of Defense, announced that their exercises were coming to an end as planned, as they said, and released footage of their forces withdrawing from near the Ukraine border.
[00:53:31.217 --> 00:53:38.822]  They worded it as their exercises in the southwestern regions of Russia were coming to an end.
[00:53:39.442 --> 00:53:45.085]  And this is clearly they're referring to the forces near the Ukraine border.
[00:53:45.105 --> 00:53:52.344]   And as you said, the West is claiming this as something that they caused to happen, even
[00:53:52.344 --> 00:53:53.344]  though this was planned.
[00:53:53.344 --> 00:53:58.463]  Russia never said there was going to be an invasion.
[00:53:58.463 --> 00:54:03.463]  Even Ukraine denied that Russia was going to be invading.
[00:54:03.463 --> 00:54:09.784]   But the Western mainstream media and the Western powers just kept pushing this narrative to
[00:54:09.784 --> 00:54:13.264]  the people just to fit their agenda.
[00:54:13.277 --> 00:54:21.661]  The people here on the ground in Donetsk were never afraid that there was going to be a Russian invasion.
[00:54:21.681 --> 00:54:26.523]  They were more afraid there was going to be a Ukrainian invasion of this territory.
[00:54:26.923 --> 00:54:29.063]  Because that's how the people feel here.
[00:54:29.083 --> 00:54:38.165]  In 2014, the locals here in Donetsk and Northern Breakaway Area, the Lugansk People's Republic, voted to break away from Ukraine.
[00:54:38.665 --> 00:54:45.407]  And then the Ukraine war ensued, which is almost going to the 8-year mark now.
[00:54:45.887 --> 00:54:55.789]  So it's just been something that's been being pushed by the Western mainstream media that the big bad Russia was going to invade, when in reality that was never going to happen.
[00:54:57.344 --> 00:55:01.005]  Now, I've followed this, but not like you have, obviously, right in the middle of it.
[00:55:01.505 --> 00:55:15.787]  Explain to people the geographic area why this started and the fact that there's been at least, what, 14,000 people killed in those eastern areas over disputes between Ukraine and Russia in that zone that's historically been Russian.
[00:55:15.827 --> 00:55:16.707]  Is that accurate to say?
[00:55:16.727 --> 00:55:25.189]  And I've seen the blown up houses and power plants and businesses and mysterious explosions and missile attacks and both sides saying it's the other.
[00:55:27.250 --> 00:55:52.581]   Well, I've been here basically the entire eight years of this war, and this war started in 2014 after the revolution in Kiev which removed the standing president Yanukovych, which the local population here in Donbass felt was their president and when that president was
[00:55:52.581 --> 00:55:57.301]   removed they felt their Ukraine, the Ukraine they loved and was part of was dead
[00:55:57.301 --> 00:56:03.581]   and this new zombie Ukraine was put into power and I was also down in Crimea
[00:56:03.581 --> 00:56:09.411]   just after the whole events in Maidan when the Crimean referendum happened and
[00:56:09.411 --> 00:56:15.721]   the Western media was portraying that as Russia making the population
[00:56:15.721 --> 00:56:21.581]   votes to break away from Ukraine when in reality the local population of
[00:56:21.581 --> 00:56:29.090]   Crimea was happy to go back to Russia and following the when Crimea was part of
[00:56:29.090 --> 00:56:34.612]   Russia again the population here in Donetsk and Lugansk they had their own
[00:56:34.612 --> 00:56:40.181]   referendum to break away from Ukraine with the hopes that Russia was going to
[00:56:40.181 --> 00:56:47.300]   take them in to Russia as they did Crimea.
[00:56:46.145 --> 00:56:50.586]  No, that didn't quite happen as we all know, and there's been 8 years of war after this.
[00:56:50.766 --> 00:57:02.290]  But, after the referendum here in Donetsk and Lugansk, the population made borders, started creating a military, and Ukraine basically punished them for this.
[00:57:03.050 --> 00:57:11.496]  I've shown thousands of reports where Ukraine has indiscriminately shelled civilian neighborhoods, civilian homes.
[00:57:11.896 --> 00:57:18.336]   I have seen this with my own eyes, proven it over and over again, of Ukraine shelling
[00:57:18.336 --> 00:57:26.176]   civilian areas with no interest on how it affects the civilian population.
[00:57:26.176 --> 00:57:33.135]   And I've interviewed so many civilians here that just want to be part of Russia again,
[00:57:33.135 --> 00:57:35.336]  and some want to be independent.
[00:57:35.336 --> 00:57:44.776]   And today the State Duma of Russia sent a recommendation, request to the President Vladimir
[00:57:44.776 --> 00:57:53.056]   Putin to recognize the republics of Donetsk and Lugansk People's Republic as independent
[00:57:53.056 --> 00:57:54.056]  countries.
[00:57:54.056 --> 00:57:58.096]   Alright, independent journalist Patrick Lancaster, stay there, we've got to go to break in about
[00:57:58.096 --> 00:57:59.096]  a minute and a half.
[00:57:59.096 --> 00:58:01.655]   But I want to, this is all very important, I asked the question, but getting back to
[00:58:01.655 --> 00:58:02.416]  the central point.
[00:58:03.112 --> 00:58:05.193]  The Russians announced they're withdrawing their drill.
[00:58:05.273 --> 00:58:06.834]  They have those, I know, I've read every year.
[00:58:07.475 --> 00:58:15.259]  Clearly, NATO was trying to hype some type of provocation, but now Russia, by completely pulling back, it looks like maybe a little bit early in their drills.
[00:58:15.839 --> 00:58:21.262]  This has really, again, discredited the West that's been saying war is imminent for the last three weeks every day.
[00:58:22.223 --> 00:58:24.604]  Why do you think NATO was saying this and doing this?
[00:58:25.104 --> 00:58:29.647]  What is the point of discrediting themselves over and over again saying a Russian invasion is imminent?
[00:58:33.879 --> 00:58:34.246]  Well, Jay...
[00:58:35.680 --> 00:58:45.187]  Almost every year, something along these lines happens where the West blames Russia for creating a possible escalation in this conflict.
[00:58:45.908 --> 00:58:58.457]  When in reality, Ukraine forces are the ones that do not follow the Minsk agreements, which is supposed to be to help the local population here and bring an end to this war.
[00:58:58.537 --> 00:59:09.063]   But on a daily basis, weekly basis, Ukraine continues to attack the civilian population And by the way, that's not debated.
[00:59:09.323 --> 00:59:13.285]  We're showing footage you shot and others have shot of just devastated areas.
[00:59:13.305 --> 00:59:30.873]  I want to come back and talk about the devastation in eastern Ukraine on the border with Russia and what this Western proxy war has done in the past and where you think they're going in the future now that Putin has done his drill in case they try to take over those Russian areas and what you think the West will do now that he's de-escalated.
[00:59:30.693 --> 00:59:41.972]  Stay with us.
[00:59:42.426 --> 00:59:45.607]  You also say you have no intention of invading Ukraine.
[00:59:46.247 --> 00:59:51.869]  So will you guarantee unconditionally that you will not invade Ukraine or any other sovereign country?
[00:59:52.269 --> 00:59:54.649]  Or does that depend on how negotiations go?
[00:59:55.690 --> 01:00:02.452]  And another question, what is it do you think that the West does not understand about Russia or about your intentions?
[01:00:02.772 --> 01:00:03.772]  Thank you.
[01:00:03.772 --> 01:00:14.652]   Speaking of the security guarantees and what it will depend upon or if something will depend
[01:00:14.652 --> 01:00:19.372]   upon the negotiations, our actions will not depend on the negotiation.
[01:00:19.514 --> 01:00:26.098]  They will depend on the unconditional compliance with the Russian security demands today and in the historical context.
[01:00:26.538 --> 01:00:32.181]  In this sense, we have made it clear that any further NATO movement to the east is unacceptable.
[01:00:33.442 --> 01:00:34.923]  There is nothing unclear about this.
[01:00:35.784 --> 01:00:40.067]  We are not deploying our missiles over at the borders of the U.S.
[01:00:40.447 --> 01:00:40.707]  No.
[01:00:41.188 --> 01:00:42.329]  On the other hand, the U.S.
[01:00:42.389 --> 01:00:47.212]  is deploying its missiles close to our home, on the porch of our house.
[01:00:48.713 --> 01:00:52.836]  So, are we demanding something excessive?
[01:00:53.176 --> 01:00:57.540]  We're simply asking them not to deploy their attack systems over at our home.
[01:00:58.100 --> 01:01:00.322]  What is so unusual or peculiar about that?
[01:01:01.536 --> 01:01:16.744]  So, what would the Americans think if we, for example, decided to come to the border between, say, Canada and the United States, or Mexico, and simply deploy our missiles over there?
[01:01:17.870 --> 01:01:21.213]  Well, did Mexico and the U.S.
[01:01:21.253 --> 01:01:22.975]  never have any territorial disputes?
[01:01:23.255 --> 01:01:24.236]  What about California?
[01:01:24.256 --> 01:01:25.117]  What about Texas?
[01:01:26.138 --> 01:01:27.320]  Did you forget about that?
[01:01:27.740 --> 01:01:29.602]  But everything seems to have calmed down.
[01:01:29.682 --> 01:01:33.846]  Nobody remembers those things just like the way they remember about Crimea.
[01:01:34.367 --> 01:01:35.588]  We try not to remember.
[01:01:40.362 --> 01:01:43.084]  The Awakening is incredible that's taking place right now.
[01:01:43.444 --> 01:01:51.249]  Patrick Lancaster is an amazing reporter that has literally shot thousands of in-the-street, in-the-field films, many of which we've aired here and watched.
[01:01:52.670 --> 01:02:02.576]  As soon as I saw this latest announcement by the Russians that they're going to end their drills, I knew the media would just say it wasn't true.
[01:02:03.196 --> 01:02:05.358]  Because that's what they do, folks, they gaslight us.
[01:02:05.378 --> 01:02:08.619]   So Patrick, Where do you see this going next?
[01:02:08.659 --> 01:02:10.181]  Because clearly Biden's in trouble.
[01:02:10.742 --> 01:02:11.743]  Everybody's waking up to him.
[01:02:11.763 --> 01:02:13.946]  He's got like a 30% or lower approval rating.
[01:02:14.567 --> 01:02:16.750]  And now their whole COVID power grab is falling apart.
[01:02:17.711 --> 01:02:18.452]  What are they going to do?
[01:02:18.492 --> 01:02:21.656]  Well, when you lose control, start a war if you're an authoritarian group.
[01:02:21.996 --> 01:02:24.720]  Justin Trudeau has declared martial law in Canada.
[01:02:26.756 --> 01:02:30.702]  Where do you see the West going now that it's run by these psychotics?
[01:02:30.742 --> 01:02:36.050]  And how do you see Russia responding when it's shown incredible restraint to five NATO expansions?
[01:02:36.070 --> 01:02:41.719]  I just played part of a Putin interview that I'm going to air all of in the last 30 minutes of the show today.
[01:02:42.998 --> 01:03:03.955]  Where it's all so reasonable and real, not because I'm a Putin follower, but because I've studied all the angles, and I know he's being very real, very straightforward with people, and then our media tell us that he's the second coming of Hitler, but then meanwhile a guy that actually worked for Hitler, George Soros, brags that he helped overthrow Ukraine eight years ago on CNN with Fareed Zakaria.
[01:03:08.709 --> 01:03:22.365]  Well, I think there is quite a few different possibilities for the near future here, and it does depend on how the Western powers and Russia will react.
[01:03:22.866 --> 01:03:37.580]   I think the next trigger might be the fact that Right now, it's on the books and in Putin's hands whether Russia is going to recognize the republics as independent states.
[01:03:38.080 --> 01:03:40.362]  And this just happened this afternoon.
[01:03:40.382 --> 01:03:50.247]  And the German chancellor, Schultz, has already stated that this is against the Minsk agreement.
[01:03:50.447 --> 01:04:14.797]   And Ukraine has also stated that if Russia recognizes the republics as independent states, that it's them Totally pulling out of Minsk at the Minsk agreements and the NATO and United States it has the possibility to use this against Russia as a provocation to intensify the conflict here.
[01:04:14.817 --> 01:04:17.478]  So we're going to have to see how the world powers react.
[01:04:17.658 --> 01:04:24.260]  But this is the newest possibility for a political escalation here.
[01:04:26.331 --> 01:04:28.132]  Wow, I could ask a hundred questions.
[01:04:28.272 --> 01:04:30.473]  I mean, you've done so much amazing work.
[01:04:30.513 --> 01:04:31.454]  I feel like I know you.
[01:04:32.555 --> 01:04:36.197]  My producer said, hey, we've got this well-known American reporter on.
[01:04:36.217 --> 01:04:36.817]  He's going to come on.
[01:04:36.837 --> 01:04:42.480]  As soon as I saw your face, then I clicked all the countless videos I've watched in eight years of the stuff you've caught on tape.
[01:04:42.761 --> 01:04:47.063]  We should have you on sometime just to send us your best clips of the incredible stuff.
[01:04:47.443 --> 01:04:48.364]  People getting blown up.
[01:04:48.999 --> 01:04:53.204]  Buildings on fire, bombs, artillery coming in, dead civilians.
[01:04:53.644 --> 01:04:57.048]  I mean, the combat footage and stuff you've gotten has just been insane.
[01:04:57.309 --> 01:05:02.795]  For Americans, and you're a Navy veteran as well, and military people in the U.S.
[01:05:02.835 --> 01:05:06.619]  who've not been over there and seen this, how serious is this and how would you describe it?
[01:05:10.615 --> 01:05:19.379]  For many people, many people in the West, they don't even realize that this war has been going on in Europe for almost eight years now.
[01:05:19.880 --> 01:05:24.002]  And the amount of people, as you said, over 14,000 people have been killed.
[01:05:24.022 --> 01:05:26.583]  I personally think that's probably a low number.
[01:05:26.823 --> 01:05:29.905]  But, I mean, this has been year after year.
[01:05:31.951 --> 01:05:45.537]  A war that has intensified and then it calmed and it just keeps going on this cycle for eight years now with no real end in sight because it's all controlled by the world powers.
[01:05:45.577 --> 01:05:58.283]  The people here in Donetsk and the rest of it at Donbass, I asked them every time I go and film their homes after they've been destroyed by the Ukrainian forces what they want and they just say they want peace.
[01:05:59.164 --> 01:06:02.873]  They want peace and to be no longer part of Ukraine.
[01:06:02.893 --> 01:06:07.263]  And the main thing most of them want is to become part of Russia.
[01:06:09.079 --> 01:06:09.780]  Absolutely.
[01:06:10.380 --> 01:06:13.202]  Again, I have been accused of being a Russian agent.
[01:06:13.222 --> 01:06:14.043]  I've never been to Russia.
[01:06:14.083 --> 01:06:14.683]  I'd love to go.
[01:06:14.703 --> 01:06:15.464]  I'd love to go to Israel.
[01:06:15.484 --> 01:06:16.305]  I'd love to go to Egypt.
[01:06:16.345 --> 01:06:18.066]  I'd love to go to a lot of places I haven't been.
[01:06:18.086 --> 01:06:18.906]  I'd love to go to Japan.
