[00:00:00.883 --> 00:00:02.420]  Tomorrow's news, today.
[00:24:29.997 --> 00:24:31.918]  And it'll be a utopia.
[00:24:31.918 --> 00:24:38.901]  And he says, I know this sounds like a dystopia, but it's a utopia.
[00:24:38.901 --> 00:24:39.421]  Yeah, folks.
[00:24:41.252 --> 00:24:43.193]  It's a utopia.
[00:24:43.193 --> 00:24:47.535]  This is the takeover, the enslavement of humanity.
[00:24:47.535 --> 00:24:49.156]  And I'm part of it too.
[00:24:49.156 --> 00:24:50.236]  I get on these phones too much.
[00:24:50.236 --> 00:24:51.837]  I've been programmed with the dopamine receptors.
[00:24:51.837 --> 00:24:53.438]  I mean, I'm right here with you.
[00:24:53.438 --> 00:24:58.120]  I'm just saying, we need to be conscious of this and protect our children, become aware of it and pull out of this.
[00:24:58.120 --> 00:25:01.922]  Because all the studies show, the screen time is not making you happy.
[00:25:01.922 --> 00:25:03.623]  And I know I reach you on a screen.
[00:25:03.623 --> 00:25:05.064]  That's my point, is that
[00:25:06.980 --> 00:25:12.844]  We've all got to have our own reset against this, and really have a fundamental shift and realize how much trouble we're under.
[00:25:12.844 --> 00:25:15.386]  So, column!
[00:25:15.386 --> 00:25:21.470]  One week after they promote pedophilia, California should abolish parenthood in the name of equity.
[00:25:21.470 --> 00:25:27.134]  They go on to say, we can create the utopia Governor Newsom wants, but only by getting rid of parents.
[00:25:29.178 --> 00:25:34.901]  Fathers and mothers with greater wealth, I'm reading from it, and education are more likely to transfer these advantages to their children.
[00:25:34.901 --> 00:25:44.647]  So see, any advantages, which is what survival of the fittest, is what builds civilization, what makes it stronger.
[00:25:44.647 --> 00:25:45.908]  But they want to get rid of that.
[00:25:45.908 --> 00:25:50.491]  Fathers and mothers with greater wealth and education are more likely to transfer those advantages to their children.
[00:25:50.491 --> 00:25:52.572]  Compounding privilege over generations.
[00:25:53.655 --> 00:25:57.738]  As a result, children of less-advantaged parents face an uphill struggle.
[00:25:57.738 --> 00:26:01.221]  Oh, so somebody else is in an uphill struggle because you have a mommy and daddy.
[00:26:01.221 --> 00:26:06.725]  That's why I always told you they don't want you saying mother or father on the elementary school entrance papers.
[00:26:06.725 --> 00:26:08.306]  Because maybe somebody else doesn't have that.
[00:26:08.306 --> 00:26:10.728]  If somebody else doesn't have that, you can't even talk about what you've got.
[00:26:11.448 --> 00:26:13.471]  Social mobility has stalled.
[00:26:13.471 --> 00:26:15.773]  That's globalism and the taxation regulations.
[00:26:15.773 --> 00:26:17.375]  And democracy has been corrupted.
[00:26:17.375 --> 00:26:18.657]  See the Great Reset?
[00:26:18.657 --> 00:26:24.383]  Collapse society, collapse the world, make you depressed, and then turn around and say, oh, live in a commune.
[00:26:24.383 --> 00:26:27.968]  You'll have nothing, you'll own nothing, you'll now be in a heavenly world.
[00:26:27.968 --> 00:26:28.909]  That's their admitted plan.
[00:26:30.376 --> 00:26:32.818]  More Californians are abandoning the dream.
[00:26:32.818 --> 00:26:43.024]  See, they collapse California on purpose with regulations and taxes, bring in giant third world populations and say, oh, the fires, the dystopia, all of it, it's the mommy and daddy's fault.
[00:26:43.024 --> 00:26:47.247]  If we just gave children to homeless people, he actually says that, it would fix it.
[00:26:47.247 --> 00:26:49.629]  More Californians are abandoning the dream.
[00:26:49.629 --> 00:26:57.273]  A recent Public Policy Institute of California poll found declining belief in the notion that you can get ahead through hard work.
[00:26:57.273 --> 00:26:57.594]  Yes!
[00:26:59.491 --> 00:27:01.714]  Yes, you can't get ahead through hard work.
[00:27:01.714 --> 00:27:06.739]  They've set it up that way, and when you stop working, everything collapses and we all starve to death.
[00:27:06.739 --> 00:27:08.902]  But oh, he's promising a utopia.
[00:27:08.902 --> 00:27:16.731]  This is the most illogical, satanic poison, worse than cobra venom, injected into our body politic.
[00:27:17.779 --> 00:27:18.600]  My solution?
[00:27:18.600 --> 00:27:21.344]  Making raising your own children illegal.
[00:27:21.344 --> 00:27:22.406]  It's simple.
[00:27:22.406 --> 00:27:26.352]  And while we wait for the legislation to pass, we can act now.
[00:27:26.352 --> 00:27:29.096]  The rich and the poor should trade kids.
[00:27:29.096 --> 00:27:33.242]  And homeowners might swap children with homeless neighbors.
[00:27:34.369 --> 00:27:41.415]  Now I recognize that some naysayers will dismiss such a policy as ghastly, even totalitarian.
[00:27:41.415 --> 00:27:42.696]  Oh no, not that!
[00:27:42.696 --> 00:27:46.038]  But my proposal is quite modest.
[00:27:46.038 --> 00:27:51.622]  A fusion of traditional philosophy and today's most common political obsessions.
[00:27:51.622 --> 00:27:53.704]  And then he goes into it all.
[00:27:53.704 --> 00:27:56.706]  And he endorses, where did I tell you all the eugenics comes from?
[00:27:56.706 --> 00:27:58.388]  Plato's Republic.
[00:27:58.388 --> 00:28:02.351]  He said we should either just kill all the poor people, or take their children away,
[00:28:05.000 --> 00:28:10.442]  And make the elites take care of them, but if they don't, we'll just kill them.
[00:28:10.442 --> 00:28:14.724]  And just look at that soft, arrogant, hateful person.
[00:28:14.724 --> 00:28:15.864]  Imagine living with him?
[00:28:15.864 --> 00:28:16.725]  Nobody is.
[00:28:16.725 --> 00:28:17.625]  Imagine loving him?
[00:28:17.625 --> 00:28:18.285]  Nobody is.
[00:28:18.285 --> 00:28:19.326]  He just wants somebody to...
[00:28:20.239 --> 00:28:22.201]  Give you your children.
[00:28:22.201 --> 00:28:28.385]  He just wants to be in charge of the computer that decides how big your 200 to 300 foot cell is.
[00:28:28.385 --> 00:28:34.830]  See, oh, they're emptying out all the prisons under COVID to put the dissenters in there, but all of you then go into prisons as well.
[00:28:34.830 --> 00:28:41.155]  The coffin apartments pushed by Bloomberg and all of them.
[00:28:41.155 --> 00:28:42.496]  Jeff Bezos, all of them.
[00:28:43.612 --> 00:28:46.914]  They say we're going to take all your resources away until you can only survive.
[00:28:46.914 --> 00:28:47.994]  You will drink urine.
[00:28:47.994 --> 00:28:48.975]  You will eat bugs.
[00:28:48.975 --> 00:28:49.775]  You will have nothing.
[00:28:49.775 --> 00:28:50.756]  You will own nothing.
[00:28:50.756 --> 00:28:52.117]  You will get no meat.
[00:28:52.117 --> 00:28:53.297]  You will have no children.
[00:28:53.297 --> 00:28:54.878]  You will be obsolete.
[00:28:54.878 --> 00:28:56.019]  Ha ha ha ha ha!
[00:28:56.019 --> 00:28:56.939]  We're liberals!
[00:28:56.939 --> 00:28:57.720]  We're liberals!
[00:29:00.009 --> 00:29:02.491]  Christmas 2021 is gone.
[00:29:02.491 --> 00:29:03.873]  It's in the rearview mirror.
[00:29:03.873 --> 00:29:10.058]  But you can still take advantage of Christmas prices going into the new year at InfoWareStore.com.
[00:29:10.058 --> 00:29:17.305]  On two of our best-selling products, now finally back in stock, we have the number one bestseller of all time.
[00:29:18.306 --> 00:29:26.694]  X2, the Deep Earth Crystal Iodine that is essential for all your body's activities, electrochemical functions of the cells, the mitochondria, your immune system.
[00:29:26.694 --> 00:29:28.296]  It is back in stock.
[00:29:28.296 --> 00:29:35.023]  X2 is 50% off at InfoWarsTore.com and right in time for the deepest part of winter.
[00:29:36.155 --> 00:29:41.541]  We have winter sun, back in stock, the highest quality vitamin D3 for your immune system.
[00:29:41.541 --> 00:29:46.447]  And again, your whole body is back in stock, ready to ship for you right now at InfoWarsTore.com.
[00:29:46.447 --> 00:29:47.508]  So it's a 360 win.
[00:29:47.508 --> 00:29:52.794]  It keeps us on air, and it also makes your life so much healthier and better.
[00:29:52.794 --> 00:29:57.259]  So get your supply up to date at InfoWarsTore.com right now.
[00:30:02.066 --> 00:30:10.798]  I just want to reach out and give a recommendation to Reset Wars.
[00:30:10.798 --> 00:30:11.799]  It's really powerful.
[00:30:11.799 --> 00:30:17.226]  Reset Wars was absolutely amazing and eye-opening and revolutionary.
[00:30:17.426 --> 00:30:22.332]  If you want to change your life for the better, I highly recommend this to Alex.
[00:30:22.332 --> 00:30:24.415]  Thank you very much for putting the course together.
[00:30:24.415 --> 00:30:26.618]  I found it to be awesome.
[00:30:26.618 --> 00:30:27.859]  It was worth it to me.
[00:30:27.859 --> 00:30:33.686]  You have taken ancient wisdom and ancient knowledge and crystallized it with scientific knowledge.
[00:30:34.679 --> 00:30:36.200]  This isn't about Alex Jones.
[00:30:36.200 --> 00:30:48.550]  So what you're about to see is a lengthy, powerful, well-documented spectrum of information and experiences and understanding that the power structure is censoring and is deathly afraid of.
[00:30:48.550 --> 00:30:51.672]  To think the way we were intended to think, my God.
[00:30:51.672 --> 00:30:53.514]  That's what this series is about.
[00:30:53.514 --> 00:30:59.759]  Reset Wars has been a great tool during this time of uncertainty and it has rejuvenated my hope.
[00:31:00.399 --> 00:31:04.081]  It's been helping me a lot with a lot that's going on in my life.
[00:31:04.081 --> 00:31:09.283]  Everybody needs to purchase this product and watch it and then share the information far and wide.
[00:31:09.283 --> 00:31:11.183]  There is an awakening.
[00:31:11.183 --> 00:31:15.545]  Join in to help yourself and others to wake up.
[00:31:15.545 --> 00:31:20.027]  Resetworks has been a great tool in both recapping what I've come to already know.
[00:31:21.187 --> 00:31:22.967]  And also learn new material.
[00:31:22.967 --> 00:31:24.048]  I'm not disappointed.
[00:31:24.048 --> 00:31:26.488]  I plan on sharing it with as many people as possible.
[00:31:26.488 --> 00:31:28.669]  I hear you coming more and more with that.
[00:31:28.669 --> 00:31:30.109]  And I feel it more and more.
[00:31:30.109 --> 00:31:31.209]  It's moving me.
[00:31:31.209 --> 00:31:34.910]  We need to have courage and focus in order to accomplish that mission.
[00:31:34.910 --> 00:31:38.231]  And I felt like I got a lot of that from Reset Wars as well.
[00:31:38.231 --> 00:31:41.892]  The confidence and hope gained from Reset Wars is priceless.
[00:31:42.432 --> 00:31:43.774]  This isn't magic.
[00:31:43.774 --> 00:31:51.442]  This is the real code of the universe, or what Max Planck 120 plus years ago called the Matrix.
[00:31:51.442 --> 00:31:55.226]  Start your journey to true freedom now at ResetWars.com
[00:32:04.798 --> 00:32:05.958]  Granny Do-Right.
[00:32:05.958 --> 00:32:06.759]  Granny Do-Right.
[00:32:06.759 --> 00:32:07.959]  Thanks for holding her on the air.
[00:32:07.959 --> 00:32:08.419]  Go ahead.
[00:32:08.419 --> 00:32:08.959]  Hey, Alex.
[00:32:08.959 --> 00:32:11.560]  First of all, let me say I love your products.
[00:32:11.560 --> 00:32:22.284]  I am a granny, and for all the senior citizens out there that may have spent a lifetime in the sun like me, I was loaded up with sunspots, or H-spots, as they're lovingly called.
[00:32:22.284 --> 00:32:28.266]  But since taking Eurex II for the last couple of years, my skin is just really gorgeous, actually.
[00:32:28.266 --> 00:32:29.286]  People think I'm 55 years old.
[00:32:31.567 --> 00:32:39.291]  And I was already taking your other supplements, but I thought, you know, well, maybe that's what I need to do, because I just thought it was a hopeless situation.
[00:32:39.291 --> 00:32:48.035]  But when I started taking it, I mean, it doesn't happen immediately, but, you know, over a period of time, I started noticing, okay, you know, this is a ticket.
[00:32:48.035 --> 00:32:48.855]  This is working.
[00:32:48.855 --> 00:32:49.856]  This is wonderful.
[00:32:49.856 --> 00:32:54.378]  You know, I don't, I don't have to put on Dermablend anymore, you know.
[00:32:54.378 --> 00:32:59.040]  So anyway, it worked wonderfully, and it really has totally cleared up my skin.
[00:33:01.351 --> 00:33:05.957]  Leading a frontal assault on the lies of the New World Order.
[00:33:05.957 --> 00:33:10.523]  It's Alex Jones.
[00:33:10.523 --> 00:33:18.975]  If you are receiving this transmission, you are the resistance.
[00:33:25.612 --> 00:33:30.595]  If you are receiving this transmission, you are the resistance.
[00:33:30.595 --> 00:33:35.859]  Live from the InfoWars.com studios, it's Alex Jones.
[00:33:35.859 --> 00:33:45.786]  So, if you watch my film, The Obama Deception, and my film Endgame, we talk about Plato, the most famous philosopher, historian in all of history.
[00:33:47.236 --> 00:33:50.199]  Probably even bigger than Shakespeare as just a writer, period.
[00:33:50.199 --> 00:33:53.742]  He's probably the greatest writer, single writer in history.
[00:33:53.742 --> 00:33:55.924]  And he'd give out a lot of multifaceted views.
[00:33:55.924 --> 00:33:58.966]  He'd show one view and another view and then a separate view.
[00:33:58.966 --> 00:34:01.769]  And so many of the philosophies in the world come out of him.
[00:34:01.769 --> 00:34:03.991]  And I've read a lot of his writings.
[00:34:03.991 --> 00:34:05.973]  I've read three of his books, at least.
[00:34:05.973 --> 00:34:08.495]  That's pretty much most of his writings.
[00:34:08.495 --> 00:34:15.121]  And I've seen him quoted in other scholarly tomes by other philosophers.
[00:34:16.823 --> 00:34:32.916]  But he is the progenitor, or the great granddaddy, of eugenics, of Adolf Hitler, of communism, of basically Hegelian dialectics of everything.
[00:34:32.916 --> 00:34:38.140]  And a dumbed down person will say, you just said he's one of the greatest writers, he also influenced Hitler.
[00:34:38.140 --> 00:34:42.564]  Well yeah, and Friedrich Nietzsche and everybody else, I'm not saying I agree with him, but he's the king.
[00:34:44.420 --> 00:34:51.666]  And so when I talk about him in all of these films, and I explain, it's Plato's world.
[00:34:51.666 --> 00:35:00.734]  He also talked about space bases, and flying cars, and unlimited energy power, and all the rest of it.
[00:35:00.734 --> 00:35:02.415]  I mean, who knows if that existed?
[00:35:02.415 --> 00:35:10.742]  But the point is, is that he's the guy that had all this knowledge, and he's the one the globalists followed.
[00:35:10.742 --> 00:35:11.583]  And now they're doing it.
[00:35:12.827 --> 00:35:19.611]  And now they got editorial articles in the USA Today saying, oh, pedophilia's good.
[00:35:19.611 --> 00:35:23.633]  Yeah, you don't have a right to keep your child away from some big fat slob when they're five years old.
[00:35:23.633 --> 00:35:27.115]  Let them just grab your kid out of the backyard.
[00:35:27.115 --> 00:35:29.116]  If a kid says they want to have sex, they can have sex.
[00:35:29.116 --> 00:35:35.580]  But, oh, a man and woman in a Gillette commercial, the guy asks a girl out or tells her, hey, would you like me to buy you a cup of coffee?
[00:35:35.580 --> 00:35:36.661]  That's rape.
[00:35:36.661 --> 00:35:40.323]  But, oh, having sex with a child, grab them out of their backyard, that's a good thing.
[00:35:42.369 --> 00:36:00.241]  And now USA Today is back this week to throw it in our face and to manipulate our minds and just get us used to them doing whatever they want with the homeless and the fentanyl and the death and the government saying, if you care about America and you want sovereignty and you question elections, you're a terrorist.
[00:36:00.241 --> 00:36:03.683]  And if you protest and people get out of hand, you're all terrorists.
[00:36:03.683 --> 00:36:09.227]  But if we go burn buildings down on purpose, we're good people, says the Congress folks.
[00:36:09.227 --> 00:36:12.109]  So it goes on in USA Today.
[00:36:13.717 --> 00:36:18.764]  Now I recognize that some naysayers will dismiss such a policy as ghastly.
[00:36:18.764 --> 00:36:22.570]  It's outlawing parenthood, making everybody be raised in communes.
[00:36:22.570 --> 00:36:23.912]  And you've got to live in a commune too.
[00:36:25.140 --> 00:36:26.621]  With communists over you.
[00:36:26.621 --> 00:36:27.801]  It's called a slave camp.
[00:36:27.801 --> 00:36:28.962]  Even totalitarian.
[00:36:28.962 --> 00:36:29.482]  Oh, really?
[00:36:29.482 --> 00:36:30.522]  Even totalitarian?
[00:36:30.522 --> 00:36:33.964]  But my proposal is quite modest.
[00:36:33.964 --> 00:36:38.946]  A fusion of traditional philosophy and today's most common political obsessions.
[00:36:38.946 --> 00:36:46.830]  So I went and looked this guy up, and sure enough, he works for the UN, the Globalist, he's a big muckety-muck with them and these other groups, and he's dead serious about all this.
[00:36:46.830 --> 00:36:51.191]  Because that's really what he wants to do.
[00:36:51.191 --> 00:36:52.112]  In his republic,
[00:36:53.595 --> 00:36:56.196]  Plato adopted Socrates' sage advice.
[00:36:56.196 --> 00:37:00.016]  You know what they did to Socrates for that advice?
[00:37:00.016 --> 00:37:15.780]  That children be possessed in common so that no parent will know his own offspring or any child his parents in order to defeat nepotism and create citizens loyal not to their sons but to society.
[00:37:15.780 --> 00:37:16.580]  The state is God.
[00:37:18.277 --> 00:37:20.598]  Of course, nepotism has its issues.
[00:37:20.598 --> 00:37:22.419]  Wealth always has its problems.
[00:37:22.419 --> 00:37:26.902]  Smart people that are wealthy learn how to not give their children a lot, make them work so they get stronger.
[00:37:26.902 --> 00:37:31.424]  But all the communism, all the hundreds of millions dead the last century, it all comes out of this.
[00:37:31.424 --> 00:37:33.985]  And this is what the communists quote.
[00:37:33.985 --> 00:37:35.806]  It takes a village to raise a child.
[00:37:35.806 --> 00:37:39.768]  And of course, in a real village, people do raise each other's children.
[00:37:39.768 --> 00:37:46.432]  But in the Dr. Spock world, and all the leftist
[00:37:47.830 --> 00:37:51.874]  programs that were pushed out there in the 60s and 70s and 80s.
[00:37:51.874 --> 00:37:52.975]  Don't discipline your child.
[00:37:52.975 --> 00:37:54.056]  Don't tell them what they should be.
[00:37:54.056 --> 00:37:55.417]  Don't tell them your values.
[00:37:55.417 --> 00:37:56.498]  Let them be themselves.
[00:37:56.498 --> 00:37:58.039]  You mean let the state program them.
[00:37:58.039 --> 00:37:59.000]  And now he admits that.
[00:37:59.000 --> 00:38:02.043]  He says, oh, we need nothing from parents or children.
[00:38:02.043 --> 00:38:06.207]  We want their children taken like eggs from a hen when she lays it.
[00:38:08.154 --> 00:38:09.234]  Factory humans.
[00:38:09.234 --> 00:38:10.095]  Programmed humans.
[00:38:10.095 --> 00:38:18.619]  And he goes on to say, this will make the global system work better, because you're going to be a creature of the corporation, programmed by a computer to serve the greater good of all.
[00:38:18.619 --> 00:38:20.079]  But no one has independent will.
[00:38:20.079 --> 00:38:21.020]  No one has freedom.
[00:38:21.020 --> 00:38:22.860]  Everyone is what these controllers want.
[00:38:22.860 --> 00:38:24.561]  These self-appointed monsters.
[00:38:24.561 --> 00:38:26.742]  I mean, look at this guy.
[00:38:26.742 --> 00:38:28.463]  Why do they always look so damn slimy?
[00:38:29.517 --> 00:38:32.099]  Well, if you look like him or Brian Stelter, you'd hate families.
[00:38:32.099 --> 00:38:33.780]  You'd hate society, too.
[00:38:33.780 --> 00:38:44.286]  Today, a policy of universal orphanhood aligns with powerful social trends that point to less interest in family.
[00:38:44.286 --> 00:38:47.708]  Californians are slower to marry and are having fewer children.
[00:38:47.708 --> 00:38:49.669]  Our birth rate is at an all-time low.
[00:38:49.669 --> 00:38:55.712]  He goes on to say how wonderful this is.
[00:38:55.712 --> 00:38:56.313]  And it goes on.
[00:38:58.348 --> 00:39:09.939]  My proposal should be politically unifying, fitting hand-in-glove with the most cherished policies in progressiveness and Trumpians alike.
[00:39:11.175 --> 00:39:16.980]  The left's introduction of anti-racism and gender identity in schools faces a bitter backlash from the parents.
[00:39:16.980 --> 00:39:24.906]  Ending parenthood would end the backlash, helping dismantle white supremacy and outdated gender norms.
[00:39:24.906 --> 00:39:33.633]  Democrats also would have the opportunity to build a new pillar of the safety net, a child-raising system called the Foster Care for All.
[00:39:34.793 --> 00:39:39.417]  And they're going to act later like, well, he's being tongue-in-cheek, but this is all the official plan.
[00:39:39.417 --> 00:39:46.384]  He goes on to say we have a universal system where you all work for a computer and we're all centralized to fix the global problems.
[00:39:51.482 --> 00:39:57.424]  They may even say that they really desire is what the title orphan of the musical Annie demanded.
[00:39:57.424 --> 00:40:00.325]  I didn't want to be just another orphan, Mr. Warbucks.
[00:40:00.325 --> 00:40:02.986]  I wanted to believe I was special.
[00:40:02.986 --> 00:40:09.608]  But the only way you're special is by not having a family, which is what makes you special.
[00:40:09.608 --> 00:40:12.730]  And Target, I've seen that book in Target.
[00:40:12.730 --> 00:40:13.770]  Let's summon daemons.
[00:40:15.196 --> 00:40:17.297]  I mean, it's just everywhere.
[00:40:17.297 --> 00:40:20.118]  It's a sabotage operation to destroy civilization.
[00:40:20.118 --> 00:40:28.743]  So whatever they know hurts civilization, they're aggressively injecting it with Cloward and Piven, the Great Reset, you'll own nothing, you'll have nothing, and we're already deep into the collapse.
[00:40:28.743 --> 00:40:31.084]  The supply chains are already almost gone.
[00:40:31.084 --> 00:40:32.265]  Food shortages are everywhere.
[00:40:32.265 --> 00:40:34.065]  Hundreds of millions on the edge of starvation.
[00:40:34.065 --> 00:40:37.207]  More than 40 plus million, they admit, have now extra starved to death.
[00:40:37.207 --> 00:40:41.249]  These lockdowns, and the left loves it.
[00:40:41.249 --> 00:40:42.870]  I'll get to the COVID news when we come back now.
[00:40:42.870 --> 00:40:44.891]  I spent a lot of time on this, but it's very, very important.
[00:40:46.809 --> 00:40:55.695]  This New World Order system is a suicide pact and everybody must reject it and resist it with every means that's legal and lawful.
[00:40:55.695 --> 00:41:02.700]  We don't want to get violent, even though the Declaration of Independence speaks that we have the right to defend ourselves at this point, because they are planning on that and want that.
[00:41:02.700 --> 00:41:08.124]  We just have to be very, very strong and see what's going on and pull ourselves out of it.
[00:41:08.124 --> 00:41:14.749]  That's why they want the church to shut down, that's why they want us alone, so they can get you into this funk, make you give up on life and take full control of your mind.
[00:41:16.601 --> 00:41:23.264]  Now, let's go to their main attack, shutting down civilization, the COVID garbage, and the biggest developments yet.
[00:41:23.264 --> 00:41:24.325]  Every day it's the biggest developments.
[00:41:24.325 --> 00:41:25.766]  It just gets crazier and crazier.
[00:41:25.766 --> 00:41:33.910]  Rollouts all over the news of endless lockdowns, forced inoculations, and saying, let's imprison people that won't take the shots.
[00:41:33.910 --> 00:41:35.451]  Well, I've got all that for you when we come back.
[00:41:35.451 --> 00:41:39.913]  Separately, a lot of you probably heard ads running on the radio and TV ads running.
[00:41:41.237 --> 00:41:46.007]  Where I'm saying, hey, I'm cutting this on January 6th, this is only going to run for another week, and then it's over.
[00:41:46.007 --> 00:41:48.131]  50% off Vitamin Mineral Fusion.
[00:41:48.131 --> 00:41:51.879]  50% off X2 Deep Earth Crystal Ionine.
[00:41:51.879 --> 00:41:52.601]  50% off on this and that.
[00:41:54.386 --> 00:41:57.630]  And Thursday passed, and here we are on the 16th.
[00:41:57.630 --> 00:42:11.384]  Those sales are still up, because I've been so busy with so much breaking news and so much going down, that despite the fact that Vitamin Mineral Fusion is almost sold out, and X2's getting close to selling out as well, and that's L2, that I haven't had time to go cut our new sale.
[00:42:12.085 --> 00:42:13.845]  But these are very important things.
[00:42:13.845 --> 00:42:16.826]  Vitamin refugium has all the vitamins, all the minerals, all the amino acids.
[00:42:16.826 --> 00:42:18.086]  So important for your immune system.
[00:42:18.086 --> 00:42:20.467]  Your whole body to fight back against all these assaults.
[00:42:20.467 --> 00:42:23.348]  And then of course, X2 is one of the biggest deficiencies people have.
[00:42:23.348 --> 00:42:24.048]  It's iodine.
[00:42:24.048 --> 00:42:25.888]  Most iodine is bound to something else.
[00:42:25.888 --> 00:42:27.569]  So a lot of people have trouble absorbing it.
[00:42:27.569 --> 00:42:30.349]  But not deep earth crystal iodine.
[00:42:30.349 --> 00:42:31.770]  Not atomic iodine.
[00:42:31.770 --> 00:42:34.470]  It is the most absorbable and it funds the info war.
[00:42:34.470 --> 00:42:36.111]  It's available 50% off.
[00:42:36.111 --> 00:42:40.312]  Everything we've got is in stock and we really need the support.
[00:42:40.312 --> 00:42:41.152]  You know, you see how they took...
[00:42:42.065 --> 00:42:46.310]  My pillow is a credit card system away saying he's not allowed to talk about the election.
[00:42:46.310 --> 00:42:47.211]  Well, he's back up.
[00:42:47.211 --> 00:42:49.213]  But I mean, they're trying the same stuff with us.
[00:42:49.213 --> 00:42:50.234]  We've been faithful.
[00:42:50.234 --> 00:42:51.275]  We've told the truth.
[00:42:51.275 --> 00:42:52.617]  We've stood up for humanity.
[00:42:52.617 --> 00:42:53.738]  We need your support.
[00:42:53.738 --> 00:42:55.960]  So Infowarsstore.com for the children.
[00:42:55.960 --> 00:42:56.441]  We'll be right back.
[00:42:59.224 --> 00:43:14.751]  Christmas 2021 is over, but you've still got a really great chance to give yourself the gift of free speech and liberty and freedom into the new year, all at the same time making yourself healthier, wealthier, and wiser by boosting your immune system.
[00:43:14.751 --> 00:43:20.214]  Two of our top selling products that have been sold out for a long time are now back in stock.
[00:43:20.914 --> 00:43:27.236]  Winter Sun, the highest quality vitamin D3, take it under the tongue for higher absorption, is back in stock.
[00:43:27.236 --> 00:43:30.677]  Despite the fact it's been sold out for months, it is 50% off.
[00:43:30.677 --> 00:43:43.980]  And then our number one bestseller of all time, Survival Shield X2 Deep Earth Crystal Iodine, the game changer, the missing link, not just for immune system, but all electrochemical activity in the body, it's back in stock, 50% off.
[00:43:43.980 --> 00:43:45.481]  So that's the New Year's special.
[00:43:46.021 --> 00:43:49.262]  And that's Christmas Comes Early in 2022, ladies and gentlemen.
[00:43:49.262 --> 00:43:56.165]  Give yourself the gift of health and clarity and focus with X2 and Winter Sun at infowarstore.com.
[00:43:56.165 --> 00:43:58.026]  50% off for a limited time.
[00:43:58.026 --> 00:43:59.266]  Thanks for keeping us on the air.
[00:43:59.266 --> 00:44:02.368]  Three very important life-saving words.
[00:44:03.408 --> 00:44:11.431]  Vitamins, minerals, amino acids, and you find them all in Vitamin Mineral Fusion.
[00:44:11.431 --> 00:44:17.973]  All the essential vitamins, all the essential minerals from really good, high quality, absorbable sources
[00:44:18.533 --> 00:44:27.058]  And a bunch of key compounds, amino acids, known to help get the nutrients into your tissues, into your cells.
[00:44:27.058 --> 00:44:36.083]  And despite the fact that the product is going to sell out in the next week or so, we are going to keep it on sale at 50% off for another seven days.
[00:44:36.083 --> 00:44:39.846]  So again, I am cutting this announcement on the afternoon of January 6, 2022.
[00:44:39.846 --> 00:44:43.208]  We're going to run this for a week and then
[00:44:43.968 --> 00:44:45.670]  We are going to be selling out of this product.
[00:44:45.670 --> 00:44:52.115]  Hopefully more comes in in the next month or so because it's a best seller and it's something everybody needs for their immune system and their body.
[00:44:52.115 --> 00:44:55.718]  Get your Vitamin Mineral Fusion now and support the InfoWar.
[00:44:55.718 --> 00:44:58.581]  A 360 win at InfoWarStore.com
[00:44:59.301 --> 00:45:13.345]  I am recording this announcement on the afternoon of January 6, 2022, and that means there are only seven days left of us being able to offer our best-selling product, Vitamin Mineral Fusion, at 50% off.
[00:45:13.345 --> 00:45:17.967]  It has all the vitamins, all the minerals, incredible amino acids.
[00:45:17.967 --> 00:45:23.748]  It is a game-changer for your immune system and every other function in your body, and it's a must-have.
[00:45:23.748 --> 00:45:24.949]  That's why, despite the fact
[00:45:25.549 --> 00:45:28.091]  That it's selling out at current sales rates.
[00:45:28.091 --> 00:45:32.716]  We're going to keep it on sale for another seven days.
[00:45:32.716 --> 00:45:35.938]  So we're running this until next Thursday.
[00:45:35.938 --> 00:45:37.980]  And your purchase supports the broadcast.
[00:45:37.980 --> 00:45:40.923]  I want to thank you all for shopping with InfoWars.
[00:45:40.923 --> 00:45:46.428]  Without you, we would not have been on air and the world would be a much worse position right now than it's in.
[00:45:46.428 --> 00:45:50.832]  Thanks to you supporting InfoWars, we have now become the number one beacon of truth
[00:45:51.192 --> 00:45:53.836]  Exposing the Great Reset and the New World Order.
[00:45:53.836 --> 00:45:58.784]  So, support your immune system and support free speech and the fight for liberty at the same time at InfoWarsTour.com.
[00:45:59.520 --> 00:46:06.427]  There is very little contemporary study in the world of the planet's ruling class.
[00:46:06.427 --> 00:46:15.576]  Not in Communist China, not in Mexico, not in the United States, not anywhere is there a real study of the planet's ruling class.
[00:46:15.576 --> 00:46:17.538]  And that's done by design.
[00:46:17.538 --> 00:46:22.683]  The large central banks that basically control the planet will penalize and target any academics
[00:46:23.618 --> 00:46:32.442]  That look into, say, the Anglo-American establishment that founded the Bilderberg Group, the Trilateral Commission of the United Nations, the whole project of the Rothschilds and the Rockefellers.
[00:46:33.456 --> 00:46:39.181]  Until 10 years ago, the media said, the controlled corporate media, the Bilderberg Group, didn't exist.
[00:46:39.181 --> 00:46:45.427]  Well, now the Bilderberg Group is public, and its former head, still on the steering committee, is Klaus Schwab.
[00:46:45.427 --> 00:46:48.710]  And he has set up the great reset in global government.
[00:46:48.710 --> 00:46:56.897]  And if, as a liberty movement worldwide, we don't address the globalists head-on about the fact that they are a worldwide authoritarian corporate takeover, we don't have a shot.
