[00:00.000 --> 00:11.000]  And it's time for humanity to stand up in the Info War and say, I don't know what's going
[1:06:41.000 --> 1:06:44.000]  Well, yes, the plan was for Alex to be back.
[1:06:44.000 --> 1:06:56.000]  The problem is we're living in Biden's America and we're living in the collapsing civilization that we're in right now.
[1:06:56.000 --> 1:07:08.000]  And so part of the symptom of our collapsing society, our collapsing civilization, is flight cancellations and what is being now called travel Armageddon.
[1:07:08.000 --> 1:07:24.000]  Now, probably should have seen this coming, actually, but we tend to take things for granted or because we've just been traveling less here at Infowars because of, well, a lot of stuff, legal stuff.
[1:07:24.000 --> 1:07:29.000]  I'm not even allowed to leave Travis County. It's nice being a political prisoner of the Democrat Party.
[1:07:29.000 --> 1:07:39.000]  But I digress. The point is that we are not dealing with the flight misery firsthand as much anymore because we're just not traveling as much as usual.
[1:07:39.000 --> 1:07:58.000]  And so when Alex had his flight planned to be back in time for the show today, we didn't realize that most flights right now in America are being delayed and canceled and rescheduled and
[1:07:58.000 --> 1:08:06.000]  redirected. And so unfortunately, Alex is dealing with that.
[1:08:06.000 --> 1:08:14.000]  And see, they want to make all these stories up about Alex and, oh, we've got so much money and all this crap. Folks, Alex is flying commercial with his family.
[1:08:14.000 --> 1:08:28.000]  He's flying on a commercial plane, everyone else, and his family. And so he is dealing with the rest of the commercial flight hell that is going on.
[1:08:28.000 --> 1:08:33.000]  And so that's why his return has been delayed. And I have to tell you, again, we should have seen this coming.
[1:08:33.000 --> 1:08:49.000]  Obviously, I talk to journalists and traveling reporters every day. And I hear the same thing every day. I mean, you got about a, if you don't have a direct flight, if you're flying right now in the U.S.
[1:08:49.000 --> 1:08:59.000]  and you don't have a direct flight, you might as well just count on that flight being delayed or canceled or redirected or losing your backs.
[1:08:59.000 --> 1:09:10.000]  Pretty much it's going to happen. Pretty much guaranteed. At least that's what I'm being told. And it's actually not just traveling journalists and reporters I'm talking to.
[1:09:10.000 --> 1:09:19.000]  I'm talking to other people I know that just work in other industries that travel as well every week and tell me the exact same thing. Just total flight hell.
[1:09:19.000 --> 1:09:30.000]  In fact, I have buddies that work here for Texas-based companies that basically will just jet set to Houston and Dallas and all these other places all the time.
[1:09:30.000 --> 1:09:38.000]  Just day flights, just 30-hour flights, just in a day. And the individual told me that now that he doesn't even fly anymore.
[1:09:38.000 --> 1:09:44.000]  He's like, I've had so many flights. You drive Austin to Houston. You're looking at about maybe three hours.
[1:09:44.000 --> 1:09:53.000]  You fly it with air traffic and all that other stuff. If things are going smoothly, you can crank that trip down to maybe two or even less.
[1:09:53.000 --> 1:10:06.000]  Same with Dallas. It's about the same length from Austin, that is. And he said he just drives it all now because it's a guarantee that even though he's got a 30-minute flight from Austin to Houston or Austin to Dallas,
[1:10:06.000 --> 1:10:16.000]  there's going to be at least an hour, hour and a half delay. And that's either the flight's not arriving, the flight can't take off, some other flight gets redirected. It's total travel hell.
[1:10:16.000 --> 1:10:22.000]  And so I'm not trying to talk at length here about why Alex isn't in. That's why he's not in.
[1:10:22.000 --> 1:10:34.000]  But the real story here is that it's just yet another example of how everything is collapsing now in just a year and a half of Democrat control and the Biden White House.
[1:10:34.000 --> 1:10:50.000]  Just everything is collapsing, including the ability to fly stress-free and easily get from one airport to the other. You can forget about that.
[1:10:50.000 --> 1:11:05.000]  Travel Armageddon continues as flight delays, cancellations pile up, U.S. flight cancellations, delays continue over weekend, more than 4,000 flights canceled, U.S. travelers face new wave of chaos as flight cancellations continue,
[1:11:05.000 --> 1:11:21.000]  thousands of flights canceled over U.S. holiday weekend, holiday weekend, oh, Father's Day, or is it Juneteenth or is it the Gay Stuff? We're celebrating them all. LAX cancels 32 flights, delays 136 as thousands of flights canceled across U.S.
[1:11:21.000 --> 1:11:32.000]  So these are just the headlines as far as all that is concerned. And actually, there's a lot more out there. These are just some of the ones that I picked.
[1:11:32.000 --> 1:11:45.000]  That's why Alex is out today. He's dealing with what the rest of America is dealing with, and that's the collapse of our country, thanks to the globalist agenda and the Joe Biden administration.
[1:11:45.000 --> 1:11:57.000]  But hey, Joe Biden takes a vacation every weekend to Delaware to his beachfront mansion, and he doesn't have to worry about this.
[1:11:57.000 --> 1:12:08.000]  And that's what a lot of this is, actually. A lot of these politicians and a lot of these media members and a lot of these elite liberals, limousine liberals, they're not dealing with this stuff.
[1:12:08.000 --> 1:12:14.000]  They don't care if gas goes up to $20, $30 a gallon. They've got plenty of money. They don't even drive. They don't fill their tank.
[1:12:14.000 --> 1:12:22.000]  They don't care if your energy bills are going up. They've got somebody else that pays their AC bills, pays their electric bills.
[1:12:22.000 --> 1:12:32.000]  They don't care about flights being canceled and flight costs going up and the delays and all that. They fly private. They have private jets.
[1:12:32.000 --> 1:12:42.000]  So they don't care about all this stuff. And that's why they say, hey, yeah, let's end fossil fuels. Let's end coal. Let's end gas.
[1:12:42.000 --> 1:12:53.000]  Let's do this great reset. And they really think they'll just somehow be above it all. They'll just somehow float above the surface as everyone else is destroyed by this.
[1:12:53.000 --> 1:13:02.000]  But of course, that's not even going to be the case. That's delusional thinking on its own.
[1:13:02.000 --> 1:13:11.000]  But that's what it is. Oh, sure. Yeah. They don't feel the pinch of your energy costs doubling. They don't feel the pinch of your price at the pump tripling.
[1:13:11.000 --> 1:13:18.000]  They don't feel the pinch of you just lost your 401k, your savings, your stock, your crypto. They don't feel that pinch. They don't care.
[1:13:18.000 --> 1:13:29.000]  You do the great reset. Yeah, end fossil fuels. Get carbons here, Aya. They're not going to be affected. All the people telling you this, all the people that fly into the World Economic Forum on private jets
[1:13:29.000 --> 1:13:39.000]  and then lecture the world how they shouldn't fly on private jets, they really think they're going to be above it all.
[1:13:39.000 --> 1:13:48.000]  So it's quite an interesting thing, actually. And, you know, I always have to remind myself and remind the audience.
[1:13:48.000 --> 1:13:53.000]  And this is an ever-changing phenomenon, but you have to understand something.
[1:13:53.000 --> 1:14:03.000]  If you're tuned in to this transmission or you're tuned in to Info Wars or you just follow news and politics at all with conviction or interest or curiosity,
[1:14:03.000 --> 1:14:11.000]  you're actually in a small fraction of society. You're maybe the 10 to 20 percent of society, I would say.
[1:14:11.000 --> 1:14:20.000]  Most people have no clue what's going on. Now, they see their gas prices going up. They see their grocery bill going up.
[1:14:20.000 --> 1:14:28.000]  Oh, and by the way, you know that lie that the Biden administration has been telling us its corporate greed, the Democrats telling you its corporate greed?
[1:14:28.000 --> 1:14:36.000]  Not so fast. The Consumer Price Index has gone up 10 percent.
[1:14:36.000 --> 1:14:44.000]  I don't know what the – it varies by month, but it's about 10 percent right now up from when Biden came into office.
[1:14:44.000 --> 1:14:50.000]  The story just came out over the weekend. So the Consumer Price Index is up about 10 percent.
[1:14:50.000 --> 1:14:58.000]  But guess what? The Producer Price Index is up 11 percent.
[1:14:58.000 --> 1:15:03.000]  So where are those greedy corporations? How does that equate to corporate greed?
[1:15:03.000 --> 1:15:10.000]  But even if you want to say corporate greed, how come it was so – how come the corporations are so greedy under Joe Biden and not Trump?
[1:15:10.000 --> 1:15:16.000]  Why as soon as Biden gets in office, the corporate greed skyrockets?
[1:15:16.000 --> 1:15:23.000]  That's a lie, but even if it were the truth, I mean, wouldn't that still be a knock against Joe Biden and the Democrats that, hey, they get into office, all of a sudden corporate greed?
[1:15:23.000 --> 1:15:32.000]  Hey, they get into office, all of a sudden Putin invades because they're so weak, because they're so feckless, because they're so pathetic, because they're so crooked and criminal?
[1:15:32.000 --> 1:15:38.000]  But no, corporate greed, another lie. Another lie of the Democrats, another lie of Joe Biden.
[1:15:38.000 --> 1:15:52.000]  Producer Price Index up 11 percent, Consumer Price Index only up 10. But see, that 20 percent of people that have no clue what's going on is slowly becoming 25 and 30 and 35,
[1:15:52.000 --> 1:15:58.000]  because it's undeniable that the Democrats and the Biden administration is wrecking this country.
[1:15:58.000 --> 1:16:06.000]  Ladies and gentlemen, in the last 30 months, we've witnessed the globalists hit humanity and hit humanity extremely hard.
[1:16:06.000 --> 1:16:16.000]  It is beyond critical that everyone listening to the sound of my voice protect yourselves and your families to the greatest extent possible, and these two new sales do that.
[1:16:16.000 --> 1:16:21.000]  We have the ultimate immune support, 60 percent off when you get these four items together.
[1:16:21.000 --> 1:16:26.000]  The immune support, X2, D3 gummies, and multivitamin.
[1:16:26.000 --> 1:16:32.000]  The immune support formula is incredible by itself. These other three together, it is amazing.
[1:16:32.000 --> 1:16:39.000]  60 percent off. Then the perfect immune support, 50 percent off on immune support, X2 and D3 gummies.
[1:16:39.000 --> 1:16:44.000]  And then 40 percent off on X2, now back in stock at infowarstore.com.
[1:16:44.000 --> 1:16:53.000]  Now, just the X2 alone is the missing link with most people, highest quality deep breath crystal iodine, beyond critical for your immune system and your whole body.
[1:16:53.000 --> 1:16:58.000]  It's 40 percent off back in stock, but get four of the products together for 60 percent off.
[1:16:58.000 --> 1:17:02.000]  The globalists are making their move. Their great reset is here.
[1:17:02.000 --> 1:17:06.000]  They're coming for your children. They're coming for the value of your currency.
[1:17:06.000 --> 1:17:13.000]  They're coming for your national sovereignty. They're coming for your very bodies with their biomedical tyranny.
[1:17:13.000 --> 1:17:18.000]  They're coming for your free speech. They're coming for your privacy.
[1:17:18.000 --> 1:17:25.000]  And ladies and gentlemen, they're coming for your right to vote and have your representative in government that you and your fellow Americans choose.
[1:17:25.000 --> 1:17:30.000]  The new film, the seminal film, the most important documentary ever made in my view.
[1:17:30.000 --> 1:17:37.000]  2000 mules is now available on DVD with expanded extras at infowarstore.com.
[1:17:37.000 --> 1:17:43.000]  You can also get the powerful film with other documentaries discounted at infowarstore.com.
[1:17:43.000 --> 1:17:47.000]  Everyone needs this DVD in their library to show everyone you know.
[1:17:47.000 --> 1:17:50.000]  We have the tools to bring these criminals to justice.
[1:17:50.000 --> 1:17:55.000]  If they're planning to run the same scams again, this film can stop them if you take action.
[1:17:55.000 --> 1:17:59.000]  infowarstore.com. 2000 mules.
[1:17:59.000 --> 1:18:06.000]  That's just as soon as the new film 2000 mules is the most important documentary in modern times because it proves how the deep state
[1:18:06.000 --> 1:18:13.000]  stole the 2020 election and how they're planning to steal future elections and complete our journey to basically being like Venezuela.
[1:18:13.000 --> 1:18:16.000]  Now, it's great that it's online. It's great that millions watch online,
[1:18:16.000 --> 1:18:23.000]  you need to have the high quality HD DVD in your library with the expanded extras so it can't be censored in the future
[1:18:23.000 --> 1:18:26.000]  and so you can show it to everyone you know.
[1:18:26.000 --> 1:18:34.000]  Go to infowarstore.com and get 2000 mules today and get it discounted up to 30% off when you get it with other documentary films
[1:18:34.000 --> 1:18:40.000]  like in-game blueprint for global enslavement, the seminal classic that predicted the great reset,
[1:18:40.000 --> 1:18:47.000]  and of course part one, part two, and now the new part three of COVID land. Get them separate, get them together,
[1:18:47.000 --> 1:18:55.000]  massively discounted at infowarstore.com, but everyone needs to have 2000 mules in their library so the globalists can't censor it.
[1:18:55.000 --> 1:18:59.000]  infowarstore.com to get 2000 mules today.
[1:18:59.000 --> 1:19:07.000]  Cognitive dissonance is a major issue amongst the left. It can be very stressful dealing with facts you refuse to accept.
[1:19:07.000 --> 1:19:16.000]  If you have a family member suffering from this degenerative mental condition, buy them a bottle of ultimate fish oil from infowarstore.com.
[1:19:16.000 --> 1:19:24.000]  Studies have suggested that fish oils and fish oil supplementation can slightly lower blood pressure, decrease triglyceride levels,
[1:19:24.000 --> 1:19:32.000]  decrease the growth rate of plaque, and provide a soothing reduction in inflammatory responses in joints and the digestive system.
[1:19:32.000 --> 1:19:43.000]  Recent studies have suggested that high EPA and DHA fish oil can stimulate immune function by increasing the concentration and activity of immune cells.
[1:19:43.000 --> 1:19:52.000]  It worked for my family and now I can have a logical and calm discussion about actual facts that pertain to reality.
[1:19:52.000 --> 1:19:59.000]  Get your ultimate fish oil for a friend, family member, or yourself at infowarstore.com.
[1:19:59.000 --> 1:20:06.000]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[1:20:29.000 --> 1:20:42.000]  Joe Biden has been such a disaster for the entire planet other than to realize that it has been the United States of America that's been leading the planet.
[1:20:42.000 --> 1:20:52.000]  And so when your leader goes sideways, when your leader goes insane, when your leader becomes incapacitated, the whole thing falls apart.
[1:20:52.000 --> 1:20:59.000]  Now, normally in a case like that, you just replace the leader and you get back to normal, but that's not what's happening here.
[1:20:59.000 --> 1:21:04.000]  Biden isn't going anywhere. He's crashing on his bicycle just like he's crashing the U.S. economy.
[1:21:04.000 --> 1:21:13.000]  And so the rest of the world is realizing that, okay, the United States of America as the leader of the world, Joe Biden as the leader of the free world,
[1:21:13.000 --> 1:21:18.000]  this is going south and fast. This is going really, really badly.
[1:21:18.000 --> 1:21:25.000]  So they're girding themselves and they're preparing themselves for a new world not led by America, not led by Western values and ideas.
[1:21:25.000 --> 1:21:35.000]  And these same countries that are realizing this and making moves to avoid collapsing like America, they also are not really interested in going into the World Economic Forum,
[1:21:35.000 --> 1:21:41.000]  build back better, great reset New World Order where their citizens will be treated like slaves.
[1:21:41.000 --> 1:21:50.000]  And so I'm already seeing it play out and I would tell you to just be on the lookout for signs and symptoms of this if you're doubting this.
[1:21:50.000 --> 1:21:55.000]  But believe me, this is what's happening.
[1:21:55.000 --> 1:22:05.000]  The world powers that be outside of the U.S. have decided that they're going to form alliances and move on and they're going to leave the U.S. behind.
[1:22:05.000 --> 1:22:13.000]  And Europe is going to be caught up in that as well, but Europe is pretty much already totally controlled by the globalists.
[1:22:13.000 --> 1:22:18.000]  And so that Europe is already lost, really.
[1:22:18.000 --> 1:22:25.000]  Now, there's been a fight for America to avoid this, but we've been robbed now.
[1:22:25.000 --> 1:22:29.000]  We've had our elections stolen. We've had our speech censored.
[1:22:29.000 --> 1:22:37.000]  We've had our Second Amendment infringed upon. So the globalists are making huge gains right now under Joe Biden here.
[1:22:37.000 --> 1:22:44.000]  And the rest of the world is saying, okay, so you're going to have Europe and you're going to have America.
[1:22:44.000 --> 1:22:52.000]  So basically North America and Europe at this rate are going to go under the World Economic Forum policies.
[1:22:52.000 --> 1:23:01.000]  And they're going to be controlled by the World Health Organization and they're going to be controlled by the World Economic Forum.
[1:23:01.000 --> 1:23:08.000]  And they're going to try to go into the, I mean, what would you really call it?
[1:23:08.000 --> 1:23:13.000]  I mean, don't call it a transition. Don't call it carbon neutral. These are their buzzwords.
[1:23:13.000 --> 1:23:19.000]  I would call it the end of life as we know it, the end of human prosperity, I guess.
[1:23:19.000 --> 1:23:31.000]  So self-government and the values of individual freedoms are coming to an end in North America and Europe.
[1:23:31.000 --> 1:23:37.000]  While the rest of the world is kind of looking at that saying, hmm, you know, maybe we could go that way.
[1:23:37.000 --> 1:23:43.000]  Maybe we should start going towards self-government and freedom.
[1:23:43.000 --> 1:23:58.000]  Now, you're not going to see that everywhere like China. It's obviously not going to see that, but China doesn't want to be controlled by a bunch of psychotic, deranged globalists in Europe and North America.
[1:23:58.000 --> 1:24:05.000]  So that's why they're sidling up next to Russia saying, hey, what are you guys thinking as all of this is going down?
[1:24:05.000 --> 1:24:14.000]  And then Russia is talking to India saying, what are you guys thinking? And then India is talking to Mexico and then Mexico is talking to Brazil.
[1:24:14.000 --> 1:24:25.000]  And then Russia is talking to Saudi Arabia. And so all these other countries, all these other world powers outside of Europe and North America are looking at the globalists,
[1:24:25.000 --> 1:24:34.000]  looking at the United States of America. And what they're looking at is a decrepit, cancer-ridden, contagious zombie that they don't want to be anywhere near.
[1:24:34.000 --> 1:24:40.000]  And they want to protect their people from. Now, your media is not telling you about any of this.
[1:24:40.000 --> 1:24:44.000]  They're not telling you your government is planning on ending the Western life.
[1:24:44.000 --> 1:24:50.000]  They're not telling you your government is planning on ending the American way of life, ending your freedom, ending your prosperity.
[1:24:50.000 --> 1:24:54.000]  They're not telling you that. They're in on it.
[1:24:54.000 --> 1:24:58.000]  But that is what's going on here.
[1:24:58.000 --> 1:25:04.000]  And they're stealing as much money in the process as possible.
[1:25:04.000 --> 1:25:11.000]  The draft of House Defense Bill includes $450 million for Ukraine's security assistance.
[1:25:11.000 --> 1:25:17.000]  So we can't even have security on our own border. We can't even have security at our own schools.
[1:25:17.000 --> 1:25:24.000]  You don't get school security. You don't get border security. Ukraine gets another half a billion dollars for security.
[1:25:24.000 --> 1:25:28.000]  Nobody even knows where the tab is at at this point.
[1:25:28.000 --> 1:25:33.000]  I mean, this is just like, you're at the bar, open tab, just ordering drinks. Yeah, drinks for them, drinks for them.
[1:25:33.000 --> 1:25:38.000]  Yeah, you ordered drinks on my tab too. Yeah, here's my tab. You don't even know what your tab is. You're just drunk at the bar.
[1:25:38.000 --> 1:25:40.000]  You don't even know what your tab is anymore.
[1:25:40.000 --> 1:25:47.000]  That's where it's at with Russia. Who knows, or Ukraine rather, Biden's war against Russia. Who knows what the bill is?
[1:25:47.000 --> 1:25:56.000]  40 billion here, 50 billion there, 100 million here, 400 million there, 900 million there, another billion there.
[1:25:56.000 --> 1:26:01.000]  Where is the bill? I don't know. I'm drunk at the bar.
[1:26:01.000 --> 1:26:07.000]  So more money for Ukraine defense. Even though even Europe is saying, what are you doing here?
[1:26:07.000 --> 1:26:19.000]  Folks, Europe has given up on Ukraine. The only factor fighting Russia now is the West, is Joe Biden.
[1:26:19.000 --> 1:26:25.000]  And obviously the Ukrainian people and any of the volunteers they get, suckered into going over there,
[1:26:25.000 --> 1:26:34.000]  which more and more we hear about, just a total disaster, people volunteering getting killed, people volunteering getting snatched up by the Russians,
[1:26:34.000 --> 1:26:43.000]  people volunteering giving away the places where they're located via geo-tracking on the Internet to the Russian military
[1:26:43.000 --> 1:26:48.000]  so that they can get kidnapped, captured, have their weapons seized or just bombed.
[1:26:48.000 --> 1:27:01.000]  It's just been an absolute disaster. And the Biden administration keeps it going because they're laundering literally billions and billions and billions of dollars through Ukraine.
[1:27:01.000 --> 1:27:07.000]  So they love the war in Ukraine. They're making billions of dollars off of it.
[1:27:07.000 --> 1:27:12.000]  The European countries are saying, this is a lost cause. We're out.
[1:27:12.000 --> 1:27:15.000]  Maybe we'll give you some lip service, but that's all you're going to get from us.
[1:27:15.000 --> 1:27:19.000]  We're not going to send people to die in Ukraine. We're not going to start a war with Russia.
[1:27:19.000 --> 1:27:26.000]  If Biden wants to do that, Biden can do that, or whoever controls Biden can put him into that position, and that's what's going on.
[1:27:26.000 --> 1:27:37.000]  And this is going to be an interesting thing to watch. Russia demands Lithuania lift openly hostile blockade, panic buying ensues.
[1:27:37.000 --> 1:27:47.000]  The Russian Foreign Ministry has responded to Lithuania's partial blockade of Collingrad writing in a statement that they consider the provocative measures to be openly hostile
[1:27:47.000 --> 1:27:51.000]  and warning that the Kremlin may take action to protect its national interests.
[1:27:51.000 --> 1:27:58.000]  Now, will Lithuania back off? Or will this lead to something more kinetic?
[1:27:58.000 --> 1:28:09.000]  If Lithuania backs off, folks, that's a major tell that nobody respects Joe Biden and nobody wants to fight for Ukraine except Ukraine and Joe Biden.
[1:28:09.000 --> 1:28:15.000]  And really not even Ukraine, actually. Half Ukraine probably supports Russia already anyway, so that's a separate story altogether.
[1:28:15.000 --> 1:28:26.000]  But if Lithuania says, OK, Russia, we respect you, believe me, Biden's people and NATO's people are on the phone with Lithuania saying, you better not dare.
[1:28:26.000 --> 1:28:33.000]  You better not dare open that port back up to Russia. So who's Lithuania going to listen to?
[1:28:33.000 --> 1:28:39.000]  Is Lithuania going to listen to Russia, or is Lithuania going to listen to the West, the United States, and NATO?
[1:28:39.000 --> 1:28:44.000]  And the answer to that will tell you where this is going, folks.
[1:28:44.000 --> 1:28:48.000]  Now, if they listen to the West, we might have a more serious situation.
[1:28:48.000 --> 1:29:17.000]  If they listen to Russia, it's just another sign the world now respects Russia more than it respects the United States of America.
[1:29:17.000 --> 1:29:21.000]  If you go away, you can't just sit there like a jellyfish, and it's the same thing with our immune system.
[1:29:21.000 --> 1:29:23.000]  God helps those who help themselves.
[1:29:23.000 --> 1:29:34.000]  We have a lot of amazing products on sale right now at infowarstore.com, like the ultimate immune support pack, our four best-selling products together at 60% off.
[1:29:34.000 --> 1:29:45.000]  We have the Traffecta Special, three of the best-selling items for 50% off, and X2 sold out so important for your immune system back in stock for 40% off for a limited time because you have limited supplies.
[1:29:45.000 --> 1:29:52.000]  In fact, one of these items, we only have 2,000 bottles of, so the ultimate sale will probably be over in just a few days.
[1:29:52.000 --> 1:30:19.000]  Take advantage of this and boost your immune system now and protect yourself and your family at infowarstore.com.
[1:30:22.000 --> 1:30:30.000]  Now, out in the open, Klaus Schwab said last week that they rule the earth, the Bilderberg Group founded Davos Group.
[1:30:30.000 --> 1:30:36.000]  So now, the fight's out in the open, they're making their move because they know they're behind schedule.
[1:30:36.000 --> 1:30:37.000]  We're going to win this thing.
[1:30:37.000 --> 1:30:39.000]  God's watching the children counting on us.
[1:30:39.000 --> 1:30:46.000]  I just want to thank the viewers and listeners for your word of mouth and your prayer and your financial support because without you, info wars would not be here.
[1:30:46.000 --> 1:30:52.000]  I want you to really internalize the fact that you are the info war and you are the reason humanity has a fighting chance.
[1:30:52.000 --> 1:30:58.000]  So I want to thank you and salute you again for all you've done and ask you now to redouble your efforts.
[1:30:58.000 --> 1:31:05.000]  I don't care if you work in a cafeteria or a pump gas or whether you're a farmer, a rancher, a doctor, a lawyer or a millionaire.
[1:31:05.000 --> 1:31:08.000]  Fortune and Money Magazine have all done these profiles.
[1:31:08.000 --> 1:31:09.000]  You see it every year.
[1:31:09.000 --> 1:31:11.000]  30 different tax returns, 30 different answers.
[1:31:11.000 --> 1:31:14.000]  50 different tax returns, 50 different answers.
[1:31:14.000 --> 1:31:25.000]  And almost all of them just screw you over, especially the big firms and the big tax groups, because they're part of the system and they don't want the general public understanding this and knowing this.
[1:31:25.000 --> 1:31:30.000]  So it's a very important situation with inflation and all the things out there hurting everybody.
[1:31:30.000 --> 1:31:36.000]  To be able to do things tax wise, it's legal and lawful that allows you to keep more money.
[1:31:36.000 --> 1:31:41.000]  We wouldn't even be here if I hadn't gotten great tax advice in the last few years.
[1:31:41.000 --> 1:31:46.000]  The only way you fail is not writing down the URL, jonestaxrelief.com.
[1:31:46.000 --> 1:31:51.000]  One word, jonestaxrelief.com, or call 833-900-4285.
[1:31:51.000 --> 1:32:12.000]  833-900-4285.
[1:32:21.000 --> 1:32:25.000]  Cooking dinner and taking care of her sons and daughters and husbands is a bad thing.
[1:32:25.000 --> 1:32:30.000]  And I was just sitting here tonight making dinner for my daughter, my four-national daughter.
[1:32:30.000 --> 1:32:33.000]  My wife makes dinner a lot of times, but I like to make it as well.
[1:32:33.000 --> 1:32:34.000]  I love to make breakfast.
[1:32:34.000 --> 1:32:43.000]  And literally, it's the funnest thing on earth to make food for your family and be nutritive and then all sit down together and have that communal event.
[1:32:43.000 --> 1:32:49.000]  And that's what the system is attacking and bombarding, is our normal biological actions and coming together.
[1:32:49.000 --> 1:32:56.000]  They really are sick, evil, scientific cult of filth and want to domesticate us and turn us into lab rats.
[1:32:56.000 --> 1:33:20.000]  We cannot let this continue.
[1:33:27.000 --> 1:33:35.000]  Joe Biden's approval rating is at 32%.
[1:33:35.000 --> 1:33:40.000]  Ladies and gentlemen, Joe Biden's approval rating at a whopping 32%.
[1:33:40.000 --> 1:33:43.000]  In fact, Joe Biden's approval rating is so low.
[1:33:43.000 --> 1:33:46.000]  Our discounts at infowarstore.com are higher.
[1:33:46.000 --> 1:33:49.000]  Our discounts, how about that?
[1:33:49.000 --> 1:33:51.000]  How about that for one?
[1:33:51.000 --> 1:33:56.000]  Our discounts at infowarstore.com are higher than Joe Biden's approval ratings.
[1:33:56.000 --> 1:33:58.000]  I guess that's really not great.
[1:33:58.000 --> 1:33:59.000]  It's not that great of a plug.
[1:33:59.000 --> 1:34:01.000]  I mean, his approval ratings are so low.
[1:34:01.000 --> 1:34:03.000]  I guess that's like saying your discounts are so low.
[1:34:03.000 --> 1:34:07.000]  So I mean, it would be more better, I guess more accurate to say.
[1:34:07.000 --> 1:34:12.000]  Our discounts are double Joe Biden's approval rating.
[1:34:12.000 --> 1:34:14.000]  That's a little bit better.
[1:34:14.000 --> 1:34:17.000]  Our discounts are double Joe Biden's approval rating.
[1:34:17.000 --> 1:34:26.000]  And that's true, by the way, with the ultimate immune support pack,
[1:34:26.000 --> 1:34:31.000]  which has the immune support formula, the vitamin D with calcium gummies,
[1:34:31.000 --> 1:34:35.000]  the survival shield X2, and the whole food multivitamin.
[1:34:35.000 --> 1:34:38.000]  It's there on the homepage at infowarstore.com.
[1:34:38.000 --> 1:34:43.000]  That pack, that ultimate immune support pack with all four of those supplements,
[1:34:43.000 --> 1:34:45.000]  is 60% off.
[1:34:45.000 --> 1:34:49.000]  Double Joe Biden's approval ratings.
[1:34:49.000 --> 1:34:53.000]  Our discounts are double Joe Biden's approval ratings.
[1:34:53.000 --> 1:34:56.000]  You can't say it's higher than Joe Biden's approval ratings,
[1:34:56.000 --> 1:34:58.000]  because that wouldn't be that big of a discount.
[1:34:58.000 --> 1:35:00.000]  But when it's double, okay.
[1:35:00.000 --> 1:35:02.000]  Okay, that's significant.
[1:35:02.000 --> 1:35:07.000]  So we're selling that pack right now at double 60% off.
[1:35:07.000 --> 1:35:09.000]  Double Joe Biden's approval ratings.
[1:35:09.000 --> 1:35:11.000]  His approval ratings, 30%.
[1:35:11.000 --> 1:35:14.000]  Our discounts are double Joe Biden's approval ratings, 60%.
[1:35:14.000 --> 1:35:17.000]  And by the way, the summer sale is still ongoing,
[1:35:17.000 --> 1:35:20.000]  so there's a lot of big discounts right now at infowarstore.com,
[1:35:20.000 --> 1:35:25.000]  like 50% off Brain Force Ultra.
[1:35:25.000 --> 1:35:29.000]  I was talking to Dan Lyman, actually, a reporter for infowarstore.com.
[1:35:29.000 --> 1:35:30.000]  He likes Brain Force Plus.
[1:35:30.000 --> 1:35:31.000]  He asked me, he said,
[1:35:31.000 --> 1:35:33.000]  do you like Brain Force Plus or Brain Force Ultra better?
[1:35:33.000 --> 1:35:34.000]  What's the difference?
[1:35:34.000 --> 1:35:38.000]  I said, Brain Force Ultra is definitely faster acting,
[1:35:38.000 --> 1:35:40.000]  being into liquid tincture.
[1:35:40.000 --> 1:35:43.000]  And I'd say it's a little more potent.
[1:35:43.000 --> 1:35:45.000]  It was designed to be more potent.
[1:35:45.000 --> 1:35:48.000]  So Brain Force Ultra, a little faster acting
[1:35:48.000 --> 1:35:49.000]  and more potent than Brain Force Plus.
[1:35:49.000 --> 1:35:51.000]  But some people prefer the Brain Force Plus
[1:35:51.000 --> 1:35:54.000]  because the Brain Force Ultra might be a little too potent.
[1:35:54.000 --> 1:35:56.000]  So it's dealer's choice there.
[1:35:56.000 --> 1:35:58.000]  It's all at infowarstore.com.
[1:35:58.000 --> 1:35:59.000]  It's all great.
[1:35:59.000 --> 1:36:02.000]  What we do is we just find the best supplements
[1:36:02.000 --> 1:36:04.000]  at the best price, the best quality,
[1:36:04.000 --> 1:36:08.000]  and then deliver them to you at infowarstore.com.
[1:36:08.000 --> 1:36:13.000]  And then we fund ourselves with those sales.
[1:36:13.000 --> 1:36:14.000]  So it's a total win.
[1:36:14.000 --> 1:36:16.000]  You get a great product for your health
[1:36:16.000 --> 1:36:19.000]  and you support free speech in the process.
[1:36:19.000 --> 1:36:24.000]  Not just info wars, but all the people that are at band.video,
[1:36:24.000 --> 1:36:29.000]  which we built and we bear the cost of, gladly,
[1:36:29.000 --> 1:36:33.000]  at band.video for others to be there as well.
[1:36:33.000 --> 1:36:37.000]  That's what your support at infowarstore.com does.
[1:36:37.000 --> 1:36:42.000]  By the way, Lee Stranahan coming up in the next hour,
[1:36:42.000 --> 1:36:49.000]  and he has big news on the Joe Biden,
[1:36:49.000 --> 1:36:53.000]  Ashley Biden, inappropriate showers when Ashley was a kid
[1:36:53.000 --> 1:36:58.000]  and how she wrote journal entries about these interactions
