[00:00:00.169 --> 00:00:00.730]  I'm a fighter.
[00:41:59.853 --> 00:42:01.014]  It also brought in Russia.
[00:42:04.302 --> 00:42:11.181]   deeper. What we should do now is get out and not continue to throw missiles, not have a
[00:42:11.181 --> 00:42:17.262]   confrontation with Russia. Seven years has been a disaster under Obama, continuing under
[00:42:17.262 --> 00:42:24.382]   Trump. This is what I would call the permanent state. This is the CIA. This is a Pentagon
[00:42:24.382 --> 00:42:25.382]  wanting to...
[00:42:25.382 --> 00:42:26.382]  So, other people...
[00:42:26.382 --> 00:42:27.382]  Quiet everyone else.
[00:42:27.382 --> 00:42:30.382]  Yeah, they're just like stoned. They don't know what to say.
[00:42:30.357 --> 00:42:33.799]  No, they're like, oh shit, he's telling the truth about what's happening.
[00:42:35.580 --> 00:42:40.083]  So he said, this is the permanent state, meaning it doesn't matter who's elected.
[00:42:40.483 --> 00:42:43.225]  This is the CIA and the NSA.
[00:42:43.565 --> 00:42:44.726]  This is the deep state.
[00:42:44.746 --> 00:42:47.888]  Other people refer to it as the deep state, the intelligence community.
[00:42:48.148 --> 00:42:54.610]   He calls it the permanent state, which I like that because it lets lets you know that this is the permanent war machine and it
[00:42:54.610 --> 00:42:59.030]   doesn't matter who's the president or who's in power, these are the people in
[00:42:59.030 --> 00:43:03.269]   power, the permanent state, the war machine. That's what he means and listen he
[00:43:03.269 --> 00:43:04.470]  goes on.
[00:43:04.470 --> 00:43:10.710]  No way to do that and so we have made a proxy war in Syria.
[00:43:09.592 --> 00:43:22.047]  It's killed 500,000 people, displaced 10 million, and I'll say, predictably so, because I predicted it seven years ago, that there was no way to do this, and that it would make a complete chaos.
[00:43:22.648 --> 00:43:26.812]   So what I would plead to President Trump This is unbelievable!
[00:43:26.672 --> 00:43:29.152]  Like his instinct told him, by the way.
[00:43:29.152 --> 00:43:30.152]  That was his instinct.
[00:43:30.152 --> 00:43:35.510]   But then all the establishment, the New York Times, the Washington Post, the Pentagon,
[00:43:35.510 --> 00:43:38.632]  everybody said, "No, no, that's irresponsible."
[00:43:38.632 --> 00:43:40.351]  But his instinct is right.
[00:43:40.351 --> 00:43:41.632]  Get out.
[00:43:41.632 --> 00:43:43.190]  We've done it.
[00:43:43.190 --> 00:43:44.190]  This is unbelievable.
[00:43:44.190 --> 00:43:48.550]  He's saying, "Everybody, New York Times, Washington Post, NL."
[00:43:49.551 --> 00:43:55.077]  And you see the stunned look at like, oh my god, this guy, somebody forgot to pay this guy.
[00:43:56.038 --> 00:43:58.000]  Somebody, is this guy not under contract?
[00:43:58.040 --> 00:43:58.681]  Does he not know?
[00:43:58.941 --> 00:44:01.885]  You just brought in someone off the street that they're going to tell you the truth.
[00:44:01.965 --> 00:44:02.726]  What are you doing?
[00:44:03.985 --> 00:44:08.270]  Look at them all just stunned, sitting there, like this is not how it's supposed to go.
[00:44:08.130 --> 00:44:09.130]  Oh, here we go.
[00:44:09.130 --> 00:44:11.410]  ...damage seven years.
[00:44:11.410 --> 00:44:17.690]   And now we really risk a confrontation with Russia that is extraordinarily dangerous.
[00:44:17.690 --> 00:44:18.690]  Reckless.
[00:44:18.690 --> 00:44:20.889]  Admiral Sevredis, President Trump had...
[00:44:20.889 --> 00:44:21.889]  Reckless.
[00:44:21.889 --> 00:44:27.769]   So there's a guy laying it down, Jeffrey Sachs, from Columbia University, and that's stunning.
[00:44:28.291 --> 00:44:28.991]  That's stunning.
[00:44:30.512 --> 00:44:33.533]  And it's funny that they all just don't go, wait a minute!
[00:44:33.933 --> 00:44:35.094]  We started this war!
[00:44:35.494 --> 00:44:36.874]  It was the CIA that went?
[00:44:36.934 --> 00:44:38.555]  It wasn't a natural uprising?
[00:44:38.695 --> 00:44:39.135]  No!
[00:44:40.396 --> 00:44:42.937]  You mean all the stuff that everybody, you mean we shouldn't be doing this?
[00:44:42.957 --> 00:44:48.380]  This is actually us committing war crimes, and this is us breaking international laws?
[00:44:48.560 --> 00:44:48.920]  Yes!
[00:44:52.290 --> 00:44:59.934]  We've got more on that coming up after I get to your calls, but we now have Democrat senators joining Republican senators calling for direct U.S.
[00:45:00.054 --> 00:45:01.995]  invasion and a total war with Russia.
[00:45:02.595 --> 00:45:04.556]  Biden's closest Senate allies suggest U.S.
[00:45:04.596 --> 00:45:05.716]  troops be sent to Ukraine.
[00:45:08.838 --> 00:45:13.500]  So that's the type of things that are unfolding, ladies and gentlemen, with Senator Chris Coons.
[00:45:15.558 --> 00:45:18.019]  And it's getting worse and worse and worse by the minute.
[00:45:18.440 --> 00:45:23.702]  I'm going to go to break, come back with your calls, but let's play part of the Santas blast pro-infanticide late-term abortions.
[00:45:24.263 --> 00:45:26.704]  We're on the march, they're on the run, that's why they're panicking.
[00:45:27.004 --> 00:45:30.646]  And when we start saving the children again, God is going to start blessing us again.
[00:45:30.666 --> 00:45:31.267]  Here it is.
[00:45:31.567 --> 00:45:35.367]  We are here today to protect life.
[00:45:35.367 --> 00:45:48.405]   We are here today to defend those who can't defend themselves.
[00:45:48.405 --> 00:45:54.405]  [applause]
[00:45:54.319 --> 00:46:04.846]  And in just a minute, I will be signing House Bill 5, which protects the rights of unborn children starting at 15 weeks.
[00:46:05.327 --> 00:46:09.910]  This is a time where these babies have beating hearts.
[00:46:10.530 --> 00:46:18.800]  They can move, they can taste, they can see, they can feel pain, they can suck their thumbs, and they have brain waves.
[00:46:18.701 --> 00:46:24.701]   And so this will represent the most significant protections for life that have been enacted
[00:46:24.701 --> 00:46:39.219]  in this state in a generation.
[00:46:39.219 --> 00:46:44.780]   And if you look what's going on in certain segments of our society, particularly amongst
[00:46:44.780 --> 00:46:49.860]   people who are affiliated with the far left of our political spectrum, of course that's
[00:46:49.860 --> 00:46:55.661]   over-represented in places like Hollywood, in the media, and obviously in one of our
[00:46:55.661 --> 00:46:57.661]  major political parties.
[00:46:57.651 --> 00:46:59.953]  But they are now taking the position.
[00:47:01.104 --> 00:47:05.607]  That babies can be aborted up to the ninth month.
[00:47:07.688 --> 00:47:18.475]  Literally, you can go back for you parents, and those are some of the most significant experiences of my life, to hold your child for the very first time.
[00:47:18.515 --> 00:47:26.000]  What they would say is, parent holding that child, if you just go back a day or two, then you would have been able to snuff the child out entirely?
[00:47:26.960 --> 00:47:28.841]  That is just fundamentally wrong.
[00:47:28.901 --> 00:47:30.462]  That is infanticide.
[00:47:30.842 --> 00:47:31.963]  And that has no place.
[00:47:33.964 --> 00:47:41.409]  And ladies and gentlemen, just 40 years ago, the majority of young people, 18 to 36 in studies, were pro-abortion.
[00:47:41.449 --> 00:47:43.190]  Now the vast majority are anti-abortion.
[00:47:43.590 --> 00:47:45.471]  We're winning the hearts and minds.
[00:47:46.872 --> 00:47:48.793]  Around the world, the globalists are in trouble.
[00:47:48.833 --> 00:47:50.214]  People are coming back to Christ.
[00:47:50.554 --> 00:47:52.615]  People are coming back to country and family.
[00:47:52.995 --> 00:47:53.596]  We're winning.
[00:47:54.653 --> 00:47:59.977]  The Globalist's only tactic is to attack the leaders who will stand up and tell the truth.
[00:48:00.257 --> 00:48:04.419]  And you know somebody's good by their fruits, what they stand for, and the fact they're under attack.
[00:48:04.880 --> 00:48:06.601]  Nobody's under more attack than we are.
[00:48:07.141 --> 00:48:10.103]  All I want to do is stay in the fight, but I can't do it without you.
[00:48:10.363 --> 00:48:13.826]  So I'm asking for your support today at InfowarStore.com.
[00:48:13.886 --> 00:48:15.367]  Get Rainforce Ultra.
[00:48:15.767 --> 00:48:17.208]  Get an Alex Jones is Right t-shirt.
[00:48:17.248 --> 00:48:22.311]  But whatever you do, support the broadcast today, because without you, we're going to be shut down very, very soon.
[00:48:22.331 --> 00:48:22.892]  Can you imagine?
[00:48:23.672 --> 00:48:25.613]  We'll be right back with your phone call straight ahead.
[00:48:26.034 --> 00:48:27.194]  Infowars.com.
[00:48:27.555 --> 00:48:28.935]  Tomorrow's news today.
[00:48:30.156 --> 00:48:34.699]  You know why we're in so much trouble as a civilization and as a people?
[00:48:37.681 --> 00:48:40.923]  Because we have been in the corruption for so long.
[00:48:40.963 --> 00:48:43.144]  We have been having our rights taken for so long.
[00:48:43.164 --> 00:48:47.923]   we become comfortable with it, and everybody just kind of has a lackadaisical,
[00:48:47.923 --> 00:48:55.444]   patty cake idea about government corruption, corporate corruption, wars, open borders,
[00:48:55.444 --> 00:48:57.564]  attacks on our children's rights.
[00:48:57.564 --> 00:49:03.604]   And so even if people don't like what's happening, they still have a lackadaisical view about it.
[00:49:03.604 --> 00:49:04.924]  And hey, that's great.
[00:49:04.924 --> 00:49:11.124]   You got a happy, stress-free life until the electricity goes off,
[00:49:11.124 --> 00:49:13.003]  and until society collapses.
[00:49:13.003 --> 00:49:16.764]   because the New World Order believes they're filling a vacuum.
[00:49:16.806 --> 00:49:24.548]  They see a bunch of dumbed-down, lackadaisical people, and they openly say, we need to go ahead and just exterminate these people.
[00:49:24.949 --> 00:49:26.089]  They're useless eaters.
[00:49:26.829 --> 00:49:36.873]  Because you're not challenging them, because you're not on the field politically, they believe that by that very act, you deserve to die.
[00:49:36.893 --> 00:49:43.295]  And that's why the Davos Group and all of them say, there's too many people, we need to get rid of them.
[00:49:44.517 --> 00:49:45.178]  Look at these headlines.
[00:49:46.619 --> 00:49:51.424]  It's time to give the elites a bigger say in choosing the president, Washington Post.
[00:49:52.745 --> 00:49:53.726]  And we've got Bloomberg.
[00:49:53.846 --> 00:49:56.368]  To save democracy, we need a few good dictators.
[00:49:58.811 --> 00:50:00.672]  We showed a bunch of other similar headlines earlier.
[00:50:01.133 --> 00:50:02.834]  That's who these people are.
[00:50:02.854 --> 00:50:14.619]   I'm gonna go to Bob and Bone Crusher and Lauren and others here in just a moment, but Here's a clip indicative of what we faced on Infowars.com.
[00:50:14.659 --> 00:50:21.020]  Jill Biden instructs Confused Joe to wave to a crowd after delivering remarks.
[00:50:21.800 --> 00:50:25.801]  See Joe Biden's new handlers, Jill Biden and the Easter Bunny.
[00:50:26.081 --> 00:50:33.883]  And you can laugh at this, but this was done so that when they sell the country out and blow the currency, the elites don't get to blame, their puppet does.
[00:50:34.023 --> 00:50:34.523]  Here's the video.
[00:50:34.543 --> 00:50:36.883]  Welcome to the South Lawn.
[00:50:37.003 --> 00:50:44.003]  Thank you and happy, happy Easter.
[00:50:44.003 --> 00:50:51.003]  God bless you.
[00:50:51.821 --> 00:50:59.865]  It's just, it's just, it's just this bizarre otherworldly image of this with all the wilting flowers and it's all of it is a complete sick joke.
[00:51:02.867 --> 00:51:04.047]  And they do these close shots.
[00:51:05.668 --> 00:51:08.750]  There's not a big crowd there to make it look like everybody wants to meet Joe Biden.
[00:51:09.771 --> 00:51:11.692]  They're having an Easter egg roll event.
[00:51:12.557 --> 00:51:13.478]  They call everybody out, too.
[00:51:14.358 --> 00:51:16.460]  I mean, this is just unbelievable.
[00:51:16.920 --> 00:51:18.061]  Let's go to your phone calls.
[00:51:18.161 --> 00:51:26.327]  And again, if you're a new listener that just tuned in wanting to know about the war in Russia and Ukraine and the economy and China and all of this, you're like, why are you talking about yourself?
[00:51:26.387 --> 00:51:28.628]  Well, we ourselves are big news right now.
[00:51:29.429 --> 00:51:32.611]  I was sued over 50 times by the Democratic Party affiliate groups.
[00:51:33.192 --> 00:51:35.914]  We beat them or settled almost all of them down to four.
[00:51:37.366 --> 00:52:08.482]   Three Sandy Hook and one other one that deals with a photo of a wrong person we identified as a shooter that we corrected quickly before they ever never knew about it but they still sued us and in those cases we've been defaulted saying we didn't give them stuff we lied whatever we didn't give them discovery totally not true on my children and Double default now, saying in Texas, without calling double default, you can't call witnesses, you can't speak, you can't talk about the First Amendment.
[00:52:08.782 --> 00:52:10.323]  That's in the filings right here.
[00:52:11.964 --> 00:52:28.817]  And so yes, we've done limited Chapter 11 with some of our companies, and hell, we may just do them all, you know, because I need federal courts with federal trustees to come in and so they can see it all and know that we told the truth.
[00:52:29.727 --> 00:52:35.248]  Because they're going to sit there while we can't talk and tell a jury that I've got hundreds of millions of dollars, which I don't have $10 million.
[00:52:35.969 --> 00:52:37.809]  I don't have $3 million in cash.
[00:52:38.649 --> 00:52:40.470]  And that's money we need to buy products in the future.
[00:52:40.510 --> 00:52:41.630]  We got like $2.2 million.
[00:52:44.611 --> 00:52:50.332]  I need like $4 million to be safe and be able to take care of any underages or problems and buy product out.
[00:52:50.592 --> 00:52:55.394]  So I'm literally at the point of not even in the future, I'm not going to even buy our product, even be here.
[00:52:55.654 --> 00:52:56.374]  I'm already there.
[00:52:57.637 --> 00:53:00.260]  With the litigation, the supply chain breakdowns and all of it.
[00:53:00.940 --> 00:53:04.043]  And they're saying, he's getting famous off us.
[00:53:04.083 --> 00:53:06.065]  That's why we want to have a big TV show trial.
[00:53:06.586 --> 00:53:06.986]  They do.
[00:53:07.066 --> 00:53:09.529]  And he's got hundreds of millions of dollars.
[00:53:11.178 --> 00:53:13.779]  Look, he's got a company with $16 million in it.
[00:53:13.859 --> 00:53:15.379]  Yeah, that's called the holding company.
[00:53:15.399 --> 00:53:18.660]  You do with supplements, that supplement company we set up for liability.
[00:53:19.180 --> 00:53:22.241]  And yeah, that's the $16 million the last year buying the product.
[00:53:23.641 --> 00:53:25.942]  And they know all that, but they play these games.
[00:53:26.122 --> 00:53:28.282]  Oh, Jones caught with slush funds!
[00:53:28.362 --> 00:53:30.583]  And Jones caught with all this secret money!
[00:53:31.923 --> 00:53:35.564]  And they know good and damn well, because any accountant can look at it, they know it's not true.
[00:53:36.605 --> 00:53:46.657]   But it's being done To get a big judgment that we can't get a bond on for appeal to come in here and shut this place down.
[00:53:46.717 --> 00:53:48.258]  And you're like, well, that'll blow up in their face.
[00:53:48.298 --> 00:53:51.920]  In fact, there's some cartoons on InfoWars.com we can show.
[00:53:53.461 --> 00:54:06.227]  For Easter, and one of them is a couple of centurions, Roman soldiers, and there's Jesus up on the cross being crucified, and they say, that'll show these Christians, this will silence Jesus' followers.
[00:54:07.839 --> 00:54:09.941]  And so, look, God works in mysterious ways.
[00:54:10.641 --> 00:54:28.775]  I started out on AXS TV 28 years ago, local radio 27 years ago, syndicated 26 years ago, and I lost from 140 affiliates roughly, I went down to about 32 affiliates when I came out and said there were bombs in the buildings in 9-11, had an inside job element.
[00:54:30.061 --> 00:54:40.870]  And I lost almost all my affiliates and went from having a million dollars in the bank and being one of the fastest growing syndicated talk show hosts as a young man to having nothing.
[00:54:41.850 --> 00:54:45.593]  And I didn't even think about it because I was telling the truth.
[00:54:45.913 --> 00:54:47.735]  So this doesn't affect me.
[00:54:48.936 --> 00:54:53.579]  It's affecting you that the courts have become this out of control and are able to do stuff like this.
[00:54:55.049 --> 00:55:06.379]  That's where we are and we need your support now more than ever because money is the big thing that can fix this and stand up to this and ensure other things are able to be done in the future no matter what.
[00:55:06.419 --> 00:55:07.680]  But maxed out like I am?
[00:55:09.021 --> 00:55:11.183]  I'm kind of like, God are you going to take me out of the game?
[00:55:11.323 --> 00:55:11.963]  Is that what you want?
[00:55:12.004 --> 00:55:12.904]  I've been in this 28 years?
[00:55:12.924 --> 00:55:21.797]   Because if that's your will, if the listeners don't support me, Then that's what God wants, and then that's because God's always provided.
[00:55:22.298 --> 00:55:31.449]  And so, if I'm so cursed in these courts, and I'm so cursed with the lawyers, and I'm so, you know, just absolutely demented, then that is God's plan.
[00:55:31.689 --> 00:55:35.334]  Or, I'm supposed to stay on air, but I need a lot of money.
[00:55:37.418 --> 00:55:50.995]  You know, Shannon, I'm reaching the point already with the accounting where I'm not going to be able to buy the DNA Force Plus and the Body's Ultimate Turmeric Formula and the X2 and the X3 and the coffee and all of it because I'll have to have that money to run.
[00:55:51.015 --> 00:55:55.560]  And I could make that decision and stay on air six, eight months and then implode.
[00:55:56.573 --> 00:56:00.653]   Or, but I can't have it both ways where there's even, you know, okay, put the money out, but
[00:56:00.653 --> 00:56:02.693]  there's not enough and they're not enough to operate now.
[00:56:02.693 --> 00:56:05.293]  I am in between a rock and a hard place.
[00:56:05.293 --> 00:56:06.693]  I need money right now.
[00:56:06.693 --> 00:56:07.693]  So it's simple.
[00:56:07.693 --> 00:56:09.453]  InfoWars is treading water in frozen ocean.
[00:56:09.453 --> 00:56:12.972]   We're going to sink and it's going to go down or you're going to throw a lifeline in.
[00:56:12.972 --> 00:56:18.173]   And the majority of the listeners, we know less than 1% of people ever buy a product
[00:56:19.145 --> 00:56:27.692]  Gosh, if just 3% of people listening right now would just go to InfoWarsTore.com, secure, high-tech, beautiful site, and buy some Brain Force Ultra.
[00:56:27.932 --> 00:56:29.634]  Get a t-shirt, get a book, get a film.
[00:56:30.194 --> 00:56:33.497]  Donate today, right there, support free speech.
[00:56:33.517 --> 00:56:34.398]  $5, $100, whatever.
[00:56:34.778 --> 00:56:37.801]  We can absolutely win and dominate.
[00:56:38.061 --> 00:56:42.504]  But I'm not Trump who had $20 billion when he ran, and now he's got like $3 billion.
[00:56:42.865 --> 00:56:43.786]  They almost destroyed him.
[00:56:44.406 --> 00:56:45.346]  Yeah, he lost almost everything.
[00:56:45.766 --> 00:56:47.027]  Good for Trump, you know, fighting hard.
[00:56:48.127 --> 00:56:49.388]  I'm ten times more hardcore.
[00:56:49.508 --> 00:56:51.609]  I don't have millions, much less billions of dollars.
[00:56:51.729 --> 00:56:52.209]  I have you.
[00:56:52.469 --> 00:56:52.849]  That's it.
[00:56:53.069 --> 00:56:54.169]  So I'm firing the bat signal.
[00:56:54.449 --> 00:56:55.550]  Infowarstore.com.
[00:56:55.590 --> 00:56:57.110]  Go there now and support us.
[00:56:57.150 --> 00:56:57.611]  I promise.
[00:56:57.831 --> 00:57:00.292]  I'm coming out of break, coming in hot, going right to your calls.
[00:57:02.112 --> 00:57:09.875]  So there were defining battles of World War II, like Stalingrad between the Nazis and the Russians, or Iwo Jima.
[00:57:11.260 --> 00:57:13.862]  Guadalcanal in the Pacific with the U.S.
[00:57:13.882 --> 00:57:14.803]  against the Japanese.
[00:57:16.785 --> 00:57:18.847]  And right now is one of those defining moments.
[00:57:20.769 --> 00:57:23.751]  The globalists have pulled out all the stops to shut down M4 wars.
[00:57:23.791 --> 00:57:25.773]  They admit it's the model to shut down everybody else.
[00:57:26.494 --> 00:57:29.256]  And so the big fight is here in a battle of wills.
[00:57:29.397 --> 00:57:32.119]  And I don't have Soros or the media or the courts.
[00:57:32.279 --> 00:57:32.760]  I have you.
[00:57:33.837 --> 00:57:38.420]  And if you support us with your prayer and your word of mouth and your financial support, we're going to keep fighting.
[00:57:38.600 --> 00:57:41.742]  If you don't, well, they win at least that round.
[00:57:42.382 --> 00:57:43.403]  This is a critical battle.
[00:57:43.423 --> 00:57:43.963]  We need to win it.
[00:57:44.003 --> 00:57:44.744]  Thank you for the support.
[00:57:45.580 --> 00:57:47.922]  Let's hear on the Alex Jones Show, start going to your calls.
[00:57:48.302 --> 00:57:53.007]  Because the callers don't want to call in about Russia or China or the border or any of this.
[00:57:53.027 --> 00:57:54.048]  They want to talk about InfoWars.
[00:57:54.088 --> 00:57:55.769]  And I understand that and I appreciate that.
[00:57:56.210 --> 00:57:58.552]  Because this is really the destruction of free speech.
[00:57:58.592 --> 00:58:04.457]  This is all the censorship, the debunking, the lying, and just what they're doing.
[00:58:05.098 --> 00:58:07.219]  Let's talk to Bob in Ohio.
[00:58:07.260 --> 00:58:07.860]  Bob, welcome.
[00:58:09.522 --> 00:58:10.502]  Hi.
[00:58:10.542 --> 00:58:12.184]  These InfoWars save the world.
[00:58:12.569 --> 00:58:21.156]  Alex, I ran a TV station, an NBC affiliate, for the better part of a decade, not recently, but I know exactly what you're doing wrong, and I know exactly how to solve your problem.
[00:58:21.176 --> 00:58:22.297]  You listen?
[00:58:22.317 --> 00:58:23.498]  Yeah, I'm listening.
[00:58:24.739 --> 00:58:27.441]  Okay, I believe what we need is resellers.
[00:58:28.082 --> 00:58:30.404]  You were once a great tree of liberty.
[00:58:30.424 --> 00:58:31.745]  You were a redwood of liberty.
[00:58:32.065 --> 00:58:35.608]  But when they pulled your advertisers, they effectively cut off all your branches.
[00:58:38.442 --> 00:58:43.603]  Now, uh, when they pulled your branches, they effectively cut you down from a tree of liberty down to a bush.
[00:58:43.683 --> 00:58:45.343]  You are a shrubbery of liberty.
[00:58:45.543 --> 00:58:46.783]  That's got to be very insulting.
[00:58:48.504 --> 00:58:52.024]  Now, what we need to do to save InfoWars is we need to regrow your branches.
[00:58:52.584 --> 00:58:55.265]  And the way we do that is what I believe is resellers.
[00:58:56.925 --> 00:59:03.346]  We need tens of thousands of businesses to resell InfoWarsTore.com products in your local business.
[00:59:04.006 --> 00:59:07.747]  I had a dream that I could go down to a local 7-Eleven to do TurboTore.
[00:59:09.468 --> 00:59:10.269]  So what do you think of that?
[00:59:10.990 --> 00:59:12.371]  Would that provide you with enough funding?
[00:59:12.632 --> 00:59:13.953]  Of course it would.
[00:59:14.013 --> 00:59:17.117]  I mean, do you think 7-Eleven is going to carry our stuff?
[00:59:17.865 --> 00:59:21.865]   Well, maybe not 7-Eleven, but I mean like a local mom and pop business that the family owns.
[00:59:21.865 --> 00:59:26.826]   Yeah, I would love to have a reseller program where we sell stuff like 10% over our cost to people.
[00:59:26.826 --> 00:59:30.505]   And I would absolutely do that. It takes infrastructure. It takes money for me to
[00:59:30.505 --> 00:59:34.985]   even buy the product out of the future to be able to do that. And that's my problem,
[00:59:34.985 --> 00:59:40.346]   is I don't have all this capital. And I've spent so much capital battling and fighting all this
[00:59:40.346 --> 00:59:46.826]   litigious lawfare Democrat attempts to shut me down. I appreciate your call, Bob. Great idea.
[00:59:46.826 --> 00:59:51.865]   Try to implement it. Let's go ahead and talk to Lauren in North Dakota.
[00:59:52.048 --> 00:59:52.368]  Welcome.
[00:59:56.451 --> 00:59:56.891]  Hello.
[00:59:57.511 --> 00:59:57.992]  Hey, welcome.
[00:59:58.012 --> 00:59:58.932]  Thank you for calling, Lauren.
[01:00:00.493 --> 01:00:01.114]  How you doing?
[01:00:01.614 --> 01:00:06.477]  You know, I've actually been in a fight a long time, and I realize that I'm better than a baby getting aborted.
[01:00:06.517 --> 01:00:08.058]  I'm better than somebody dying in Ukraine.
[01:00:08.279 --> 01:00:09.259]  I'm doing actually pretty good.
[01:00:09.419 --> 01:00:11.641]  But they're taking Americans' free speech.
[01:00:11.701 --> 01:00:14.743]  They've weaponized the courts, and our country's in a lot of trouble.
[01:00:16.303 --> 01:00:17.443]  Yeah, I would agree with you.
[01:00:17.563 --> 01:00:21.825]  I would say, you know, shame on anyone who listens and doesn't support or help.
[01:00:22.385 --> 01:00:32.348]  Especially people who have the money to do it, because I know it's a lot of people who are pretty poor themselves and giving every dime they can to try to help as much as they can because they don't have the resources.
[01:00:32.796 --> 01:00:35.497]  Well, I mean, I know, I know billionaires and they say, how can I help you?
[01:00:35.517 --> 01:00:37.138]  And I say, give me some money and they never do it.
[01:00:37.158 --> 01:00:40.819]  Uh, I guess that's why they're billionaires, but you know, the whole country collapses.
[01:00:40.839 --> 01:00:41.980]  They guess they can have their billions.
[01:00:42.580 --> 01:00:49.603]  Uh, but yeah, so many wealthy people sit on the sidelines while the common folks, you know, do all the work, but that's okay.
[01:00:50.183 --> 01:00:50.603]  It's all right.
[01:00:50.683 --> 01:00:51.984]  I just appreciate your support.
[01:00:53.345 --> 01:01:01.469]   Well, what's on my mind here lately for a handful of weeks has been, You know how they have their Davos meetings and they strategize.
[01:01:01.509 --> 01:01:03.451]  They've been strategizing for years.
[01:01:04.051 --> 01:01:11.337]  And I don't actually see that happening in this country amongst the people who are fighting the hardest to protect it.
[01:01:11.357 --> 01:01:15.081]  You see a whole lot of people doing all their own individual things.
[01:01:16.101 --> 01:01:25.309]  And their reach is decent, but I don't understand why there hasn't been any kind of bigger gathering of people to do the same thing the Davos group does.
[01:01:26.107 --> 01:01:28.509]  And get together and strategize and figure out how to... Well, that's right.
[01:01:28.549 --> 01:01:29.930]  They're the Legion of Doom.
[01:01:29.970 --> 01:01:31.231]  Where's the Legion of Liberty?
[01:01:32.572 --> 01:01:33.033]  Exactly.
[01:01:33.053 --> 01:01:35.615]  You know, it's been on my mind non-stop.
[01:01:36.236 --> 01:01:41.060]  It was pretty amazing to see every media outlet on the right side of this.
[01:01:42.000 --> 01:01:45.643]  Almost relieved to see Elon Musk make a move on Twitter.
[01:01:47.025 --> 01:01:53.070]  And there's tons of venture capitalists out there tweeting back and forth, but where is, like, movement?
[01:01:53.877 --> 01:01:54.357]  Exactly.
[01:01:54.397 --> 01:01:55.618]  He's engaged in leadership.
[01:01:55.638 --> 01:01:56.659]  People should support him.
[01:01:56.719 --> 01:01:58.380]  Thank you so much, Lauren, for your support.
[01:01:58.420 --> 01:01:58.980]  God bless you.
[01:01:59.901 --> 01:02:01.602]  By the way, people ask, where are leaders?
[01:02:01.642 --> 01:02:02.863]  Well, you saw what happened to Trump.
[01:02:03.303 --> 01:02:04.484]  You see what's happening to Sanders.
[01:02:04.504 --> 01:02:05.765]  You see what's happening to Infowars.
[01:02:06.185 --> 01:02:08.227]  You see what they're trying to do to Joe Rogan or Tucker Carlson.
[01:02:08.947 --> 01:02:11.869]  They stabbed Bolsonaro with an 8-inch butcher knife.
[01:02:11.909 --> 01:02:12.990]  He barely survived.
[01:02:13.390 --> 01:02:14.371]  Pierced several organs.
[01:02:16.392 --> 01:02:18.353]  They spent billions trying to overthrow Orban.
[01:02:18.393 --> 01:02:18.854]  That failed.
[01:02:18.894 --> 01:02:21.856]  They bought off Boris Johnson.
[01:02:23.399 --> 01:02:29.607]  And now Marie Le Pen, in the polls, as the election starts, is ahead of Macron.
[01:02:31.749 --> 01:02:32.831]  And so what's their response?
[01:02:35.103 --> 01:02:40.604]  EU exhumes 18-year-old embezzlement charge, so they dug it up.
[01:02:41.485 --> 01:02:53.467]  EU digs up 18-year-old embezzlement charge to derail Le Pen presidential bid, claimed that she bought dinners and paid for her transportation when she was a member of parliament 18 years ago, and now they want to criminally charge her.
[01:02:53.527 --> 01:02:55.568]  I mean, give me a break.
[01:02:57.005 --> 01:03:04.589]  They've opened criminal investigations of Elon Musk and his companies within six hours of him announcing a hostile takeover of Twitter.
[01:03:04.929 --> 01:03:06.469]  So people say, where's the leadership?
[01:03:06.569 --> 01:03:09.251]  Well, they come after us, folks.
[01:03:10.791 --> 01:03:11.912]  And it's starting to backfire.
[01:03:11.952 --> 01:03:13.092]  People are starting to get it.
[01:03:15.634 --> 01:03:16.674]  But we are the black sheep.
[01:03:16.714 --> 01:03:17.534]  We are the rebels.
[01:03:17.595 --> 01:03:19.415]  We are the patriots.
[01:03:19.495 --> 01:03:22.306]   We are The Outlaws.
[01:03:22.846 --> 01:03:24.408]  And we need your support.
[01:03:24.468 --> 01:03:26.389]  And I know the general audience gets that, but I'm just telling you.
[01:03:27.330 --> 01:03:31.214]  Of all the black sheep folks, of all the people the Globalist hate, it's Infowars the most.
[01:03:31.294 --> 01:03:31.574]  Why?
[01:03:31.634 --> 01:03:33.476]  Because we really have done the research.
[01:03:33.496 --> 01:03:34.256]  We got their number.
[01:03:35.818 --> 01:03:39.381]  And people in the establishment who aren't pure evil, they listen to us.
[01:03:40.182 --> 01:03:41.162]  World leaders listen.
[01:03:41.523 --> 01:03:42.704]  That's why we're so important.
[01:03:42.944 --> 01:03:44.165]  That's why you're so important.
[01:03:45.947 --> 01:03:49.466]   Let's go ahead and Take another call.
[01:03:49.606 --> 01:03:50.507]  Carlos in Canada.
[01:03:50.527 --> 01:03:50.967]  You're on the air.
[01:03:50.987 --> 01:03:51.307]  Go ahead.
[01:03:53.008 --> 01:03:53.809]  Good afternoon, Alex.
[01:03:54.429 --> 01:03:54.809]  Thank you.
[01:03:55.169 --> 01:03:55.429]  Thanks.
[01:03:56.970 --> 01:04:00.052]  There's so many subjects that are so paramount and important.
