[00:00:00.049 --> 00:00:01.670]  Breaking bombshell!
[00:37:39.961 --> 00:37:45.786]  It was actually probably the happiest year of my life, that year of German occupation.
[00:37:45.826 --> 00:37:47.888]  For me it was a very positive experience.
[00:37:47.968 --> 00:37:57.217]  It's a strange thing, because you see incredible suffering around you, and in fact you are in considerable danger yourself.
[00:37:58.272 --> 00:38:03.798]  But you're 14 years old and you don't believe that it can actually touch you.
[00:38:03.858 --> 00:38:06.961]  You have a belief in yourself, your belief in your father.
[00:38:07.542 --> 00:38:11.406]  It's a very happy-making, exhilarating experience.
[00:38:11.887 --> 00:38:20.275]  While hundreds of thousands of Hungarian Jews were being shipped off to the death camps, George Soros accompanied his phony godfather on his appointed rounds.
[00:38:20.836 --> 00:38:22.938]  confiscating property from the Jews.
[00:38:23.499 --> 00:38:28.303]  These are pictures from 1944 of what happened to George Soros' friends and neighbors.
[00:38:28.964 --> 00:38:37.672]  You're a Hungarian Jew who escaped the Holocaust by posing as a Christian.
[00:38:37.912 --> 00:38:38.192]  Right.
[00:38:39.494 --> 00:38:45.942]   And you watched Lots of people get shipped off to the death camps.
[00:38:45.962 --> 00:38:46.242]  Right.
[00:38:46.802 --> 00:38:47.943]  I was 14 years old.
[00:38:48.804 --> 00:38:51.346]  And I would say that that's when my character was made.
[00:38:51.806 --> 00:38:52.327]  In what way?
[00:38:52.747 --> 00:38:57.651]  That one should think ahead, one should understand and anticipate events.
[00:38:59.032 --> 00:39:02.115]  And one is threatened.
[00:39:02.555 --> 00:39:04.536]  It was a tremendous threat of evil.
[00:39:04.657 --> 00:39:07.459]  I mean, it was a very personal experience of evil.
[00:39:07.919 --> 00:39:16.153]  My understanding is that you went out with this protector of yours, who swore that you were his adopted godson.
[00:39:16.173 --> 00:39:16.713]  Yes, yes.
[00:39:17.595 --> 00:39:21.040]  Went out, in fact, and helped in the confiscation of property from the Jews.
[00:39:21.161 --> 00:39:21.581]  That's right.
[00:39:23.446 --> 00:39:23.566]  Yes.
[00:39:23.586 --> 00:39:23.846]  Not at all.
[00:39:23.666 --> 00:39:30.306]   That sounds like an experience that would send lots of people to the psychiatric couch
[00:39:30.306 --> 00:39:32.066]  for many, many years.
[00:39:32.066 --> 00:39:34.885]  Was it difficult?
[00:39:34.885 --> 00:39:38.646]  Not at all, not at all.
[00:39:38.646 --> 00:39:48.545]   Maybe as a child you don't see the connection, but it created no problem at all.
[00:39:49.152 --> 00:39:50.053]  No feeling of guilt?
[00:39:50.433 --> 00:39:50.613]  No.
[00:39:50.993 --> 00:40:00.002]  For example, that I'm Jewish and here I am watching these people go, I could just as easily be there, I should be there, none of that?
[00:40:00.763 --> 00:40:09.713]  Well, of course I could be on the other side, or I could be the one from whom the thing is being taken away.
[00:40:13.818 --> 00:40:20.125]  But there was no sense that I shouldn't be there, because that was...
[00:40:24.598 --> 00:40:37.627]  Well, actually, funny way, it's just like in markets, that if I weren't there, of course I wasn't doing it, but somebody else would be taking it away anyhow.
[00:40:38.087 --> 00:40:42.791]  Whether I was there or not, I was only a spectator, the property was being taken away.
[00:40:43.851 --> 00:40:47.394]  So I had no role in taking away that property.
[00:40:48.334 --> 00:40:49.615]  So I had no sense of guilt.
[00:40:50.076 --> 00:40:50.756]  Are you religious?
[00:40:51.597 --> 00:40:51.677]  No.
[00:40:53.643 --> 00:40:54.303]  Do you believe in God?
[00:40:55.164 --> 00:40:55.304]  No.
[00:40:57.465 --> 00:41:01.086]  Now, most people when they play that don't play the part where he says, I had no role in it.
[00:41:01.106 --> 00:41:06.328]  No, I play the whole clip in context, but it shows the delusion of this guy.
[00:41:07.229 --> 00:41:12.791]  He bankrupted over 20 countries by design and crashed their currencies to destroy their pension funds and steal them.
[00:41:14.332 --> 00:41:14.652]  Look it up.
[00:41:15.336 --> 00:41:17.738]  He literally supports the destruction of our borders.
[00:41:18.039 --> 00:41:19.140]  Wants total crime.
[00:41:19.380 --> 00:41:19.880]  You've seen it.
[00:41:20.101 --> 00:41:21.322]  Destruction of small businesses.
[00:41:21.542 --> 00:41:22.783]  He supports the lockdowns.
[00:41:23.364 --> 00:41:25.345]  He supports weaponized marijuana.
[00:41:25.365 --> 00:41:26.627]  People made fun of me on this 10 years ago.
[00:41:26.647 --> 00:41:27.087]  Now they know.
[00:41:27.327 --> 00:41:28.608]  Schizophrenia, brain damage.
[00:41:28.669 --> 00:41:29.189]  It's horrible.
[00:41:31.631 --> 00:41:33.293]  Everything he does is to hurt people.
[00:41:35.868 --> 00:41:37.889]  Everything he does is to make sure he's in charge.
[00:41:37.909 --> 00:41:38.189]  You heard him.
[00:41:38.449 --> 00:41:39.229]  Oh, it's not bad.
[00:41:39.569 --> 00:41:41.550]  I just go with whatever is the power.
[00:41:41.750 --> 00:41:44.171]  See, he doesn't believe in standing up for what's right and changing things for the better.
[00:41:44.451 --> 00:41:47.532]  Oh, no, because if he wouldn't help round up the Jews, he'd have been dead.
[00:41:47.752 --> 00:41:49.992]  So see, he just did what he had to do to survive.
[00:41:52.233 --> 00:41:54.694]  A soulless, demonic sociopath.
[00:41:55.014 --> 00:41:57.935]  A robot that thinks it's the Messiah.
[00:41:58.955 --> 00:41:59.995]  No God consciousness.
[00:42:00.215 --> 00:42:01.076]  No connection to God.
[00:42:01.136 --> 00:42:01.856]  Cut off from God.
[00:42:04.480 --> 00:42:08.465]  So, I'm proud of the fact that he's my enemy and finances the lawsuits against us and all these attacks.
[00:42:08.485 --> 00:42:10.728]  Because if he wasn't my enemy, I wouldn't be doing my job.
[00:42:11.069 --> 00:42:12.631]  Speaking of that, we need you to keep us on air.
[00:42:12.651 --> 00:42:12.991]  We love you.
[00:42:13.011 --> 00:42:13.632]  We appreciate you.
[00:42:13.913 --> 00:42:15.034]  We got 25% off.
[00:42:15.074 --> 00:42:16.236]  This hasn't been done in four years.
[00:42:17.130 --> 00:42:20.412]  That deal is only running until the 13th of this month.
[00:42:20.231 --> 00:42:21.891]  That's not been done in four years.
[00:42:21.891 --> 00:42:26.552]   Ready to ship high quality storable food to you now at preparewithalex.com.
[00:42:26.552 --> 00:42:28.030]  Preparewithalex.com.
[00:42:28.030 --> 00:42:31.791]  That deal's only running until the 13th of this month.
[00:42:31.791 --> 00:42:37.032]   I would take advantage of it now and get that box checked off of being prepared at preparewithalex.com
[00:42:37.032 --> 00:42:39.512]  or infowarestore.com.
[00:42:39.512 --> 00:42:44.070]  Separately, we're extremely excited about this.
[00:42:44.524 --> 00:42:47.447]  And it's like saying, do you want a Gillette with four blades or three blades?
[00:42:49.069 --> 00:42:50.170]  One is not better than the other.
[00:42:50.711 --> 00:42:51.852]  I personally like three blades.
[00:42:51.892 --> 00:42:54.155]  My wife likes four blades, you know, on her legs or whatever.
[00:42:54.704 --> 00:42:56.185]  It's the same thing with X2.
[00:42:56.325 --> 00:42:59.026]  It's all deep-earth crystal, pure atomic iodine.
[00:42:59.786 --> 00:43:00.487]  It's sold out.
[00:43:00.907 --> 00:43:02.188]  This has been sold out for four months.
[00:43:02.228 --> 00:43:02.808]  It's back in.
[00:43:02.928 --> 00:43:10.692]  It's survival shield X3 with a deep-earth crystal iodine and two other types of iodine because some people can't absorb pure iodine.
[00:43:10.712 --> 00:43:11.852]  It's a minority but still there.
[00:43:11.872 --> 00:43:13.013]  A lot of folks love it.
[00:43:13.837 --> 00:43:14.477]  It's amazing.
[00:43:14.818 --> 00:43:21.022]  It's Back in Stock X3 at InfoWarsTore.com for your immune system, your libido, your stamina.
[00:43:21.222 --> 00:43:25.302]  It's available now at Infowarsstore.com, X3, Back in Stock.
[00:43:25.302 --> 00:43:35.942]  With all the craziness going on in the world.
[00:43:36.496 --> 00:43:42.820]  With the globalists plotting their next big lockdown, or the next phase of the Great Reset, being a staged cyber attack.
[00:43:43.261 --> 00:43:49.325]  With the deep state pushing a civil war, not just here, but in Europe, and war with Russia.
[00:43:49.745 --> 00:44:01.574]  With the massive inflation and all the other garbage that's taking place, like supply chain breakdowns, you need to get prepared now with high quality, storable food that is ready to ship.
[00:44:02.014 --> 00:44:10.217]   And it's been four years since my Patriot Supply, at preparewithalex.com, has offered the restorable food at 25% off.
[00:44:10.217 --> 00:44:11.797]  Four years.
[00:44:11.797 --> 00:44:16.677]  But right now, it's 25% off until February 13th, 2022.
[00:44:16.677 --> 00:44:23.096]   A little over two weeks from the time I'm cutting this to get 25% off at preparewithalex.com
[00:44:23.096 --> 00:44:26.396]  on the entire catalog of My Patriot Supply.
[00:44:26.396 --> 00:44:28.477]  Act now, get prepared now.
[00:44:28.477 --> 00:44:32.896]   This is absolutely essential for everybody that wants to be self-sufficient.
[00:44:32.896 --> 00:44:38.037]   Chrissy Lee went down to the border over the weekend with General Flynn, I got a big sit-down interview.
[00:44:38.407 --> 00:44:39.728]  Also a great one with Ted Nugent.
[00:44:39.768 --> 00:44:40.508]  Boy, is he on fire.
[00:44:42.609 --> 00:44:46.150]  And that full interview is now at band.video and on Infowars.com.
[00:44:46.190 --> 00:44:46.931]  I hope you share it.
[00:44:47.611 --> 00:44:52.753]  And he points out that the left was even more evil than he thought they were with what he's now witnessing them doing.
[00:44:52.773 --> 00:44:59.336]  We're going to get to this report and then Ezra LeVant joins us from the big trucker convoy on the U.S.-Canadian border.
[00:44:59.376 --> 00:44:59.756]  Stay with us.
[00:45:00.396 --> 00:45:03.677]  I'm in McAllen, Texas, and we're holding a rally here.
[00:45:03.737 --> 00:45:24.881]  Yesterday, a small group of us did a tour of a couple of border locations, and we were briefed by not only former senior Border Patrol and ICE and Homeland Security officials, but also current members of the CBP that gave us an overview of what's happening at the border.
[00:45:25.401 --> 00:45:37.247]   The statement that I heard yesterday that I take away Is that the CBP, the Border Patrol organization that we have that protects our borders, is broken.
[00:45:37.567 --> 00:45:39.709]  They're not close to being broken.
[00:45:39.769 --> 00:45:42.690]  They're not, you know, they're not at the edge.
[00:45:42.991 --> 00:45:43.631]  They're broken.
[00:45:44.051 --> 00:45:51.856]  So we've seen a lot of these military-age males being put onto airplanes and flying around, sort of low-level flying around and being dropped off all over the country.
[00:45:52.457 --> 00:45:53.217]  All over the country.
[00:45:53.277 --> 00:45:53.718]  So why?
[00:45:54.438 --> 00:45:58.961]  We have to answer that question, and we have to ask our elected officials, why are you allowing this to happen?
[00:45:59.582 --> 00:46:12.652]  And the only thing that I can, the only answer that I have right now from, again, from the reminder that I was given yesterday is that, to me, this is a purposeful, intentional process to destroy this country.
[00:46:12.832 --> 00:46:14.873]  There's no other answer that I have.
[00:46:15.293 --> 00:46:22.218]   I mean, what we have to have Because we have to have sanity, we have to have sovereignty, and we have to have security.
[00:46:22.238 --> 00:46:22.899]  Okay?
[00:46:22.979 --> 00:46:23.939]  That's what we have to have.
[00:46:24.540 --> 00:46:26.861]  And we have none of those right now.
[00:46:26.961 --> 00:46:31.765]  We are absolutely showing no sanity when it comes to our domestic policy.
[00:46:31.805 --> 00:46:39.910]  We're showing, you know, no sovereignty because we're in total violation of not only federal sovereignty, but states' rights and state sovereignty.
[00:46:39.970 --> 00:46:42.272]  And so here we are in Texas, McAllen, Texas.
[00:46:42.652 --> 00:46:43.633]  We've got a Governor Abbott.
[00:46:44.298 --> 00:46:44.918]  What's he doing?
[00:46:45.679 --> 00:46:46.819]  And then Governor Abbott will come out.
[00:46:46.839 --> 00:46:49.941]  Maybe he'll see this and he'll come out and he'll say, well, here's all the steps that we're taking.
[00:46:49.981 --> 00:46:52.963]  We've got, you know, the Texas State Guard coming down here.
[00:46:53.003 --> 00:46:53.703]  We're up to plan.
[00:46:54.063 --> 00:46:54.444]  You know what?
[00:46:54.804 --> 00:46:57.025]  Get the people of Texas organized there, Governor.
[00:46:57.565 --> 00:47:06.630]  But in their efforts to cover this up and what's happening here, now we're hearing from them throwing words out like World War III, nuclear warfare.
[00:47:06.850 --> 00:47:08.191]  And how big of a threat is that?
[00:47:08.691 --> 00:47:12.634]  Is our current administration provoking war?
[00:47:13.334 --> 00:47:15.255]  I don't know if they're provoking it.
[00:47:15.915 --> 00:47:21.578]  I just know that, you know, I think that they are, what I describe as very, they're masters of distraction.
[00:47:22.538 --> 00:47:35.824]  And when we think about, you know, the potential for war in Europe or the potential for war in the Pacific, those are, you know, I've written about this a long time ago.
[00:47:35.844 --> 00:47:37.565]  War is the norm.
[00:47:37.785 --> 00:47:39.006]  Peace is the aberration.
[00:47:39.406 --> 00:47:47.531]  Nothing is coincidental when it comes to staying in power in Washington, D.C., and that's both sides.
[00:47:47.911 --> 00:47:50.933]  So we're in a different place here in the United States of America.
[00:47:50.953 --> 00:47:53.835]  I think that we need people to wise up.
[00:47:53.975 --> 00:47:55.676]  We need the American people to pay attention.
[00:47:56.297 --> 00:48:00.519]  I don't want to just speak to the choir here, because the choir sings whatever it is.
[00:48:01.360 --> 00:48:03.621]  Maybe that's a component of the MAGA movement, whatever.
[00:48:04.042 --> 00:48:07.324]  I want to talk to the American people, and that's why I talked about Democrats.
[00:48:07.904 --> 00:48:09.165]  Look what I've been described as.
[00:48:09.525 --> 00:48:16.551]  But at the same time... I'm not as lefty as you can imagine, but I'm not a progressive liberal communist, right?
[00:48:16.771 --> 00:48:17.231]  Right.
[00:48:17.371 --> 00:48:18.872]  I am a lifelong Democrat.
[00:48:19.233 --> 00:48:31.882]  But you can get it from both sides, and to that end, I did see some pushback on you from the right, or the extreme right if you want to call it that, when they felt like you were giving false hope that the election would be overturned.
[00:48:32.563 --> 00:48:36.566]  Do you feel like you were getting bad information at that time, or can you explain that?
[00:48:36.686 --> 00:48:37.587]  Yeah, no, I think that...
[00:48:37.887 --> 00:48:44.833]  I think that what we underestimated was the scale of lawfare that we were up against.
[00:48:45.193 --> 00:48:48.977]  I do believe that Trump won the last election.
[00:48:49.037 --> 00:48:50.638]  I do think that there was massive fraud.
[00:48:50.678 --> 00:48:54.341]  We're seeing it exposed every single day.
[00:48:54.361 --> 00:48:56.103]  It's all of Trump's imperfections.
[00:48:56.852 --> 00:49:03.355]  You know, he's the guy that showed this nation how corrupt our system of government is.
[00:49:04.035 --> 00:49:11.078]  We wouldn't know, I mean, most people have been sitting on their rear ends my generation, and I tell people this, that it's our fault.
[00:49:11.518 --> 00:49:13.579]  I don't blame the politicians in Washington, D.C.
[00:49:13.659 --> 00:49:15.499]  or, you know, we're here in Texas.
[00:49:15.519 --> 00:49:17.780]  I don't blame the politicians in Austin.
[00:49:18.020 --> 00:49:18.621]  We put them there.
[00:49:18.981 --> 00:49:22.601]   We are not a democracy, we are a republic.
[00:49:22.601 --> 00:49:26.901]   Meaning that if you don't get out there and vote, if you don't like the people that are representing you
[00:49:26.901 --> 00:49:29.900]  in a republic form of government...
[00:49:29.900 --> 00:49:35.801]   If you're a TV viewer, you can see the dramatic footage that Rebel News has captured.
[00:49:35.801 --> 00:49:40.500]   And there are multiple convoys still coming in to Ottawa, the capital.
[00:49:40.549 --> 00:49:41.569]  There is a big U.S.
[00:49:41.609 --> 00:49:47.550]  convoy that has blocked the highways now going into Daytube outside of Coates, Canada.
[00:49:48.051 --> 00:49:49.731]  That's 100 miles south of Calgary.
[00:49:49.811 --> 00:49:57.893]  And joining us is Ezra Levant of Rebel Media to give us updates on this and explain why they're doing this and what's happening.
[00:49:57.913 --> 00:50:01.793]  And now the SWAT teams that have surrounded them, Trudeau's trying to say they're terrorists.
[00:50:02.454 --> 00:50:10.419]   They're now trying to, I know Ian, Ottawa trying to call the protesters racist and evil, and now the police are threatening them.
[00:50:10.979 --> 00:50:15.481]  I mean, this looks like something out of Romania or Hungary in the fall of the Soviet Union.
[00:50:15.501 --> 00:50:23.344]  And we've even got Trudeau saying he wants to be a dictator, he loves Xi Jinping, that people are holding thoughts that are not acceptable.
[00:50:23.884 --> 00:50:26.885]  I mean, this guy is really trying to be the dictator he admires.
[00:50:27.205 --> 00:50:28.986]  So, Ezra Levant, thank you so much, sir.
[00:50:30.802 --> 00:50:31.603]  It's my pleasure.
[00:50:31.623 --> 00:50:34.726]  Alex, last time we spoke I was in our nation's capital of Ottawa.
[00:50:35.166 --> 00:50:38.149]  That has been the big focus for the trucker convoy.
[00:50:38.529 --> 00:50:40.031]  That was their main destination.
[00:50:40.071 --> 00:50:41.492]  That's where most of the trucks have gone.
[00:50:42.156 --> 00:50:56.569]  But there have been lots of smaller echo convoys, supportive convoys around Canada, and frankly I've seen some in other countries too, like Australia and the Netherlands, and I understand there might even be a few symbolic convoys in America.
[00:50:57.069 --> 00:51:06.218]  But in that border town of Cootes, Alberta, between the province of Alberta and the state of Montana, there's a smaller number of truckers.
[00:51:06.278 --> 00:51:16.636]   It's not in the thousands, I don't even think it's a hundred, But they have blocked the border crossing as a protest against the forced vaccination of truckers.
[00:51:18.357 --> 00:51:20.999]  And they're letting through emergency vehicles.
[00:51:21.019 --> 00:51:22.440]  They're letting through school buses.
[00:51:22.480 --> 00:51:30.085]  They're not, you know, they're not totally locking down the town, but they're basically doing what in a labor union environment would be called a wildcat strike.
[00:51:30.726 --> 00:51:33.267]  They're really working to rule almost.
[00:51:33.307 --> 00:51:35.289]  They're letting their presence be known.
[00:51:36.201 --> 00:51:42.203]  Well, the Mounties, who are Canada's equivalent of the FBI, came in and said, fellas, you got to leave now.
[00:51:42.223 --> 00:51:43.623]  We're going to start making arrests.
[00:51:44.343 --> 00:51:47.804]  And the truckers had a meeting like a council, like a town council.
[00:51:48.285 --> 00:51:48.985]  And they had a vote.
[00:51:50.565 --> 00:51:51.726]  And they decided they're not going.
[00:51:51.826 --> 00:51:57.327]  We've got two reporters embedded in that restaurant where they're holed up.
[00:51:58.027 --> 00:51:58.908]  And they had a prayer.
[00:51:58.968 --> 00:52:01.228]  I heard them say the Lord's Prayer and they had a meeting.
[00:52:01.248 --> 00:52:03.449]  And we got two guys in there documenting it.
[00:52:04.312 --> 00:52:08.014]  So the Mounties have sealed off the whole town.
[00:52:08.375 --> 00:52:09.635]  You see they're having a vote there.
[00:52:09.675 --> 00:52:11.317]  You see that right there on the screen?
[00:52:11.337 --> 00:52:12.157]  They're having a vote.
[00:52:13.198 --> 00:52:20.042]  And these guys, one of them goes on the record saying, the only way I'm leaving here is in a police cruiser.
[00:52:20.742 --> 00:52:21.903]  That guy there.
[00:52:22.524 --> 00:52:24.145]  So they're surrounded.
[00:52:24.165 --> 00:52:29.108]  44 police vehicles, the SWAT team.
[00:52:30.538 --> 00:52:31.478]  Locked down the town.
[00:52:31.578 --> 00:52:32.139]  Checkpoints.
[00:52:32.499 --> 00:52:36.941]  They're stopping food and medicine shipments to that building.
[00:52:37.161 --> 00:52:38.801]  So they're trying to starve them out.
[00:52:39.122 --> 00:52:41.863]  And if there's people in there who need meds, they're not letting it come in.
[00:52:42.943 --> 00:52:47.285]  I spoke with that one guy there that you can see was sort of the leader of them.
[00:52:47.545 --> 00:52:48.565]  He called me last night.
[00:52:50.066 --> 00:52:51.086]  And he had a request.
[00:52:51.887 --> 00:52:53.467]  He knows that we like to crowdfund.
[00:52:53.527 --> 00:52:56.649]  As you know, Alex, it's one of the ways we do things at Rebel News.
[00:52:57.469 --> 00:52:59.470]  He said, can you crowdfund us a lawyer?
[00:53:00.646 --> 00:53:01.686]  I said absolutely.
[00:53:02.407 --> 00:53:06.989]  So we set up a crowdfunding page called truckerlawyer.ca.
[00:53:07.049 --> 00:53:08.789]  That's the Canadian web domain.
[00:53:08.849 --> 00:53:15.132]  And by the way, you're highly respected and known for giving all the money to the people and only helping folks and doing an incredible job.
[00:53:15.152 --> 00:53:17.533]  And you've helped us and other reporters out.
[00:53:18.253 --> 00:53:22.534]  Many times, so you are just a real angel and so are the listeners when they support.
[00:53:22.554 --> 00:53:25.915]  But I think everybody understands what these men and women are doing for all of us.
[00:53:26.435 --> 00:53:28.936]  They're violating the Nuremberg Code, trying to put a poison in our body.
[00:53:29.276 --> 00:53:38.298]  When black folks weren't allowed to go in and eat at lunch counters because they were black, blacks, whites and others shut down cities and towns with sit-ins peacefully to say no more.
[00:53:38.598 --> 00:53:44.720]  Well, this is saying you can't go in restaurants or drive your truck or have your job or go to the doctor unless you or have a liver transplant.
[00:53:45.101 --> 00:53:51.162]  Or a kidney transplant or get medical care unless you've done this and we've got to say no to this tyranny and this discrimination.
[00:53:52.870 --> 00:53:53.790]  You're exactly right.
[00:53:53.870 --> 00:53:59.332]  I mean, I know you've talked to one of our other people we're helping, Pastor Arthur Pavlovsky.
[00:53:59.932 --> 00:54:02.673]  We've crowdfunded his legal defense going on two years now.
[00:54:03.453 --> 00:54:04.213]  It's our viewers.
[00:54:04.253 --> 00:54:05.554]  They love to get involved.
[00:54:06.074 --> 00:54:14.716]  So I just got a report not half an hour ago that our lawyer has arrived at the scene and has made contact with the Mounties.
[00:54:15.256 --> 00:54:17.997]  And we're actually dispatching three lawyers.
[00:54:18.057 --> 00:54:20.678]  I won't get into the legal strategy.
[00:54:21.238 --> 00:54:26.202]  But our goal is to de-escalate the situation, make sure the police don't do anything rash.
[00:54:27.203 --> 00:54:38.232]  We have two cameramen inside that compound there, so we're hoping that the presence of our cameras also acts as a brake pedal so the cops don't go crazy.
[00:54:39.073 --> 00:54:41.875]  And these are very principled men.
[00:54:41.895 --> 00:54:50.022]  And you can go to truckerlawyer.ca to see some of the video clips of what they're saying, how they prayed about things, what they thought.
[00:54:51.585 --> 00:54:55.528]  And they know that they're engaging in peaceful civil disobedience.
[00:54:55.668 --> 00:54:59.390]  And they know that that will likely cause them to be punished.
[00:54:59.430 --> 00:55:08.094]  And so I think that, in a way, these men have decided... There's our lawyer there, the guy with the... Did you see that guy there with the sideburns?
[00:55:08.114 --> 00:55:08.895]  That's the lawyer.
[00:55:09.688 --> 00:55:12.688]  Chad Williamson. So, he's an excellent lawyer.
[00:55:12.688 --> 00:55:16.688]   And by the way, for people who don't know, you guys are battling them legally all across the country,
[00:55:16.688 --> 00:55:20.688]   where they're trying to ban protests, ban reporters, arrest reporters.
[00:55:20.688 --> 00:55:26.688]   I mean, Canada has gone fully authoritarian, and you are on the very front lines, Ezra.
[00:55:26.688 --> 00:55:31.688]  Well, I mean, I fear that we're next.
[00:55:32.014 --> 00:55:41.016]  Just yesterday, Justin Trudeau reintroduced an online censorship bill in Parliament that had been paused because of the last election.
[00:55:41.556 --> 00:55:45.517]  I believe that we are the number one target of that censorship bill.
[00:55:45.537 --> 00:55:48.417]  We are the largest independent news network in Canada.
[00:55:48.917 --> 00:55:53.439]   We are one of the only news networks that does not take funding From Justin Trudeau.
[00:55:53.479 --> 00:56:02.446]  I know you might find this hard to believe, but literally 99% of Canadian journalists get a subsidy paid by Trudeau.
[00:56:02.486 --> 00:56:04.909]  So how can you possibly be independent?
[00:56:04.949 --> 00:56:06.810]  How can you possibly bite the hand that feeds them?
[00:56:06.870 --> 00:56:08.331]  It's simply incredible.
[00:56:08.432 --> 00:56:14.697]  So dramatic footage of those, it looks like hundreds of trucks to me, blocking things, the SWAT teams and federal police.
[00:56:15.257 --> 00:56:19.960]  Threatening them, and they're saying how, Trudeau's saying, oh they're keeping food and medicine from coming to us.
[00:56:20.401 --> 00:56:22.802]  That's the Great Reset shuts down food and medicine.
[00:56:23.023 --> 00:56:25.844]  Has starved over 40 million people to death worldwide, the UN admits.
[00:56:25.864 --> 00:56:28.026]  200 plus million on the verge of starvation.
[00:56:28.446 --> 00:56:36.532]  So the idea that us trying to end the global lockdowns and the internal checkpoints is our own form of siege.
[00:56:36.632 --> 00:56:42.596]  No, we're simply exercising our people power to say we're not going to comply with slow incremental strangulation.
[00:56:44.358 --> 00:56:48.744]  What's so fascinating about this trucker convoy is it was totally unexpected by the authorities.
[00:56:49.124 --> 00:56:55.212]  In some ways, it's reminiscent of the Tiananmen Square protests, which really caught the Chinese authorities off guard.
[00:56:55.573 --> 00:57:06.943]   They didn't, I think what scared them about the Falun Gong, and that's a Chinese sect That organized the protests in Tiananmen Square is that the Communist Party didn't know about it.
[00:57:06.963 --> 00:57:07.923]  They couldn't see it coming.
[00:57:07.943 --> 00:57:12.305]  They didn't have enough spy sources, so they panicked and they smashed it.
[00:57:12.805 --> 00:57:29.771]  I think this trucker convoy is similar in that it was organized by no political party, no fancy ad agencies, no super PACs, just severely normal men and women, largely men, largely working class men, independent businessmen who own their own trucks, whatever.
[00:57:30.979 --> 00:57:35.202]  And all of a sudden, the entire establishment said, whoa, we don't control this.
[00:57:36.203 --> 00:57:37.363]  We got to smash this.
[00:57:38.604 --> 00:57:42.007]  But the thing is, in Ottawa, they haven't given any pretext for a smashing.
[00:57:42.027 --> 00:57:43.047]  They're completely peaceful.
[00:57:43.087 --> 00:57:48.351]  So Justin Trudeau is demonizing them as racist, sexist, violent, but they're not.
[00:57:49.012 --> 00:57:50.813]  And I think that it's fascinating.
[00:57:50.853 --> 00:57:54.155]  And the public is inspired by these truckers.
[00:57:54.215 --> 00:57:56.677]  They're salt-of-the-earth people, very authentic.
[00:57:57.270 --> 00:57:59.073]  I'm excited about what these truckers are doing.
[00:57:59.113 --> 00:58:02.918]  And when these truckers last night said, Ezra, give us a hand, we need a lawyer.
[00:58:02.958 --> 00:58:04.319]  I said, of course, of course.
[00:58:04.720 --> 00:58:05.861]  So we're doing that.
[00:58:05.882 --> 00:58:07.784]  And as you can see, the lawyer is already on the scene.
[00:58:08.885 --> 00:58:09.266]  Beautiful.
[00:58:09.286 --> 00:58:10.608]  Give us that website one more time.
[00:58:12.142 --> 00:58:14.904]  TruckerLawyer.ca.
[00:58:14.944 --> 00:58:16.345]  That stands for .Canada.
[00:58:16.385 --> 00:58:17.006]  All right, stay there.
[00:58:17.026 --> 00:58:18.166]  I want to ask about big picture.
[00:58:18.307 --> 00:58:18.627]  Absolutely.
[00:58:18.647 --> 00:58:19.728]  TruckerLawyer.ca.
[00:58:19.828 --> 00:58:21.229]  I want to come back with you one more segment.
[00:58:21.269 --> 00:58:21.749]  Oh, you're busy.
[00:58:22.089 --> 00:58:24.491]  I want to get into what's happening in Ottawa, what Trudeau's going to do.
[00:58:24.871 --> 00:58:26.312]  Hiding out now for five days.
[00:58:26.452 --> 00:58:27.673]  Oh, now he has COVID.
[00:58:27.933 --> 00:58:31.636]  I mean, this is just ridiculous theater from the man that says he wants to be a dictator.
[00:58:32.177 --> 00:58:36.820]  Justin Trudeau is truly the most sycophantic, horrible creature in modern times.
[00:58:37.600 --> 00:58:41.043]  Brags that he's under the control and orders of Klaus Schwab.
[00:58:42.236 --> 00:58:45.479]  Who brags on national television that he owns him and his cabinet.
[00:58:46.440 --> 00:58:48.202]  And now they're the ones shutting down the economy.
[00:58:48.242 --> 00:58:51.244]  They're the ones bankrupting everybody for universal basic income in their own plans.
[00:58:51.465 --> 00:58:52.786]  They're the ones building all these camps.
[00:58:54.403 --> 00:59:00.206]  And then saying that, oh, the Russians are making Canadians rise up and travel by the hundreds of thousands to the Capitol.
[00:59:00.706 --> 00:59:03.407]  And then, oh, you don't want us putting something in your body that's experimental?
[00:59:03.727 --> 00:59:06.868]  You only like black folks that were barred access to stores and businesses?
[00:59:07.269 --> 00:59:09.390]  You're being barred access because you haven't had the poison shot?
[00:59:09.650 --> 00:59:11.511]  You're going to peacefully protest and block a road?
[00:59:11.711 --> 00:59:12.851]  We're going to arrest you!
[00:59:14.132 --> 00:59:17.257]   Well, folks, We're already being put in a prison.
[00:59:17.277 --> 00:59:18.577]  That's what these lockdowns are.
[00:59:18.637 --> 00:59:19.718]  And that's what Klaus Schwab said.
[00:59:20.198 --> 00:59:21.438]  They want climate lockdowns.
[00:59:21.458 --> 00:59:23.759]  They said, wasn't it wonderful how quiet the world was?
[00:59:24.039 --> 00:59:27.421]  They want to go back to lockdowns where you can't leave your house, except when they say.
[00:59:28.021 --> 00:59:32.863]  Ezra Levant, I tell you, people kept wondering when are Canadians going to stand up like the Australians have been doing.
