[00:00:00.000 --> 00:00:01.000]  [Gun cocks]
[00:25:26.896 --> 00:25:32.159]  And this is the gateway to central bank digital currencies that they are going to attempt to roll out.
[00:25:32.859 --> 00:25:36.840]  So it was also, by the way, a slush fund for Democrats.
[00:25:37.460 --> 00:25:48.783]  So they use this exchange that Sam Bankman ran to produce, what, about $40 million in donations to Democrats in this election cycle.
[00:25:49.343 --> 00:25:52.644]  And they had anticipated donating about a billion dollars or up to a billion.
[00:25:52.684 --> 00:25:53.864]  That was reported by CNBC.
[00:25:54.844 --> 00:25:57.366]  Two Democrats in the 2024 election.
[00:25:58.007 --> 00:26:03.492]  So the downfall of FTX has massive contagion risks that have only just begun.
[00:26:03.852 --> 00:26:05.214]  I'll share some details with you here.
[00:26:05.234 --> 00:26:09.057]  I've been following this very closely, but I just want to set the tone, Owen, and say that.
[00:26:10.158 --> 00:26:12.540]  I'm not anti-crypto.
[00:26:14.102 --> 00:26:29.675]  I favor decentralized systems that can compete with the central bank, but I believe ultimately this is a central bank-run sting operation of sorts to bring down FTX, bring down unregulated crypto, and force people into digital wallets.
[00:26:30.135 --> 00:26:33.578]   Maybe not a sting, but Kind of a crypto false flag operation.
[00:26:33.618 --> 00:26:36.721]  So we can jump into details wherever you want, Owen.
[00:26:37.021 --> 00:26:42.405]  Well, let's get more into the weeds, maybe in the next segment or two, even, if you want to stick around.
[00:26:42.586 --> 00:26:48.110]  But I know you're going to come back really breaking it on the second hour of Sunday Night Live later this evening.
[00:26:49.147 --> 00:26:55.731]  Because I want to just kind of echo something you said and then just lay out the basics of this for people that might not have been following.
[00:26:56.572 --> 00:26:57.212]  I am in agreement.
[00:26:57.493 --> 00:26:58.513]  I am pro crypto.
[00:26:58.573 --> 00:27:00.875]  I'm pro anything that decentralizes currency.
[00:27:01.295 --> 00:27:10.161]  But more importantly, takes controls away, takes the control mechanisms away from a centralized group of people or any individual group of people.
[00:27:10.661 --> 00:27:13.023]  And then we the people get to decide how much is crypto worth.
[00:27:13.063 --> 00:27:15.284]  We the people get to decide what the market value is.
[00:27:15.705 --> 00:27:18.627]  And so that to me is the real big winner when it comes to crypto.
[00:27:19.667 --> 00:27:42.397]  And I've always warned people, and quite frankly, I think the big disfavor that the crypto community has done over the years, that I've been very critical of trying to warn people, is the big disservice that the crypto community has done to the concept of crypto, is sitting up there telling everyone, it's the be-all end-all, it can't fail, it's the greatest thing of all time, everybody buy crypto, it's gonna save your mom, save your dad, save the future, save everything.
[00:27:42.637 --> 00:27:43.738]  Hey, whoa, hold up!
[00:27:44.338 --> 00:27:50.302]  The concept maybe in the future could help us out big time, but don't tell people that this is a fail-proof system.
[00:27:50.582 --> 00:27:56.206]  Don't tell people they can't be taken advantage of because, Mike, now that they have, it's going to be used against them.
[00:27:56.546 --> 00:28:02.991]  And now all of these, who I think are great people, as far as the crypto commentator community is concerned, I think they're good people.
[00:28:03.031 --> 00:28:03.811]  They're freedom lovers.
[00:28:04.311 --> 00:28:11.256]  But they sold the bag so high, and they told people it's so foolproof, and a lot of people lost a lot of money.
[00:28:11.696 --> 00:28:16.279]   And so now, instead of warning people, hey, This is a system that could work for us in the future.
[00:28:16.319 --> 00:28:18.680]  This is a system that could empower humanity into the future.
[00:28:19.060 --> 00:28:23.641]  But let's be careful of bad deeds and let's continue to maintain the concept.
[00:28:23.681 --> 00:28:25.742]  Forget about how much money your crypto is worth.
[00:28:26.022 --> 00:28:30.484]  Let's maintain the concept of it's about decentralizing power when it comes to currencies.
[00:28:31.024 --> 00:28:32.904]  But no, it was always the be all end all.
[00:28:32.984 --> 00:28:33.665]  It can't fail.
[00:28:34.045 --> 00:28:36.066]  And so now they've been totally set up for failure.
[00:28:36.766 --> 00:28:42.828]  Where people that once believed in crypto are now going to feel like they've been stabbed in the back and they're going to look to the government for justice.
[00:28:44.437 --> 00:28:46.899]  Well, I can tell you, Owen, I agree with everything you just said.
[00:28:46.959 --> 00:28:49.742]  I can tell you there are already efforts underway.
[00:28:50.222 --> 00:28:57.209]  A wave of lawsuits are coming against crypto influencers on YouTube who made money off of FTX sponsorship.
[00:28:58.370 --> 00:29:08.739]  The lawsuits are going to fly by the thousands, and there are many so-called very successful people, so-called very wealthy people on YouTube, influencers, who, like you said, they meant well.
[00:29:09.480 --> 00:29:13.142]  They didn't knowingly lie to people, but they did not exercise discernment.
[00:29:13.563 --> 00:29:14.343]  And they got paid.
[00:29:14.423 --> 00:29:17.925]  Some of them made $50,000 a month, even more in some cases.
[00:29:18.345 --> 00:29:22.908]  Some of them accumulated tens of millions of dollars in apparent wealth, although most of that was in crypto.
[00:29:23.589 --> 00:29:28.792]  And they created the presentation that they were wise and wealthy and had discernment.
[00:29:29.432 --> 00:29:38.579]  And sadly, as we're finding out now, they are falling over themselves to apologize to their audiences and to distance themselves from FTX and BlockFi.
[00:29:39.080 --> 00:29:45.565]  And there are also new questions raised in the last 12 hours about Crypto.com that we also need to get into.
[00:29:45.665 --> 00:29:53.531]  And it appears that there is a coordinated, ecosystem-wide effort to cause what I'm calling a crypto bank run.
[00:29:54.272 --> 00:30:09.078]  And if you think about it, FTX was essentially brought down by the gleaning of information that showed that they did not have the deposits that they claimed to have, and that they had raided their own user funds and shipped them over to Alameda Research.
[00:30:09.657 --> 00:30:15.177]   which claimed its deposits were FTT tokens, which were created out of nothing by FTX itself.
[00:30:15.177 --> 00:30:21.057]   So well, let me just let me just kind of let me just pause it right there to try to make it a little more layman for
[00:30:21.057 --> 00:30:21.576]  the audience.
[00:30:21.576 --> 00:30:24.697]  Sorry, man. I'm already. No, no, it's OK. It's OK.
[00:30:24.697 --> 00:30:27.097]  Because you're you're getting into the extreme details here.
[00:30:27.097 --> 00:30:29.856]  I want to kind of lay it out for the layman people.
[00:30:29.856 --> 00:30:38.737]   So basically what FTX did was they sold you, call it a commodity or call it an asset cryptocurrency.
[00:30:38.737 --> 00:30:39.737]  and they were selling it.
[00:30:39.756 --> 00:30:42.157]  They were making billions of dollars in transactions.
[00:30:42.657 --> 00:30:45.479]  And what they did was they took in the dollars.
[00:30:45.979 --> 00:30:49.080]  So you, let's say, made $1,000 for a Bitcoin.
[00:30:49.120 --> 00:30:50.761]  I'm just making up numbers here as an example.
[00:30:50.801 --> 00:30:52.542]  So you give $1,000, you get a Bitcoin.
[00:30:52.821 --> 00:30:59.461]   Well they're making millions of these transactions, acquiring billions in actual currency wealth,
[00:30:59.461 --> 00:31:03.981]   not cryptocurrency, and then funneling it through their own accounts, funneling it through
[00:31:03.981 --> 00:31:08.821]   their own systems into different countries, even through Ukraine, and then right back
[00:31:08.821 --> 00:31:09.941]  into the Democrat Party.
[00:31:09.941 --> 00:31:16.081]   So that $1,000 that you spent to get your cryptocurrency, $800 of it ends up going back
[00:31:16.081 --> 00:31:17.421]  to the Democrat Party.
[00:31:17.575 --> 00:31:21.380]  $200 of it gets, you know, kind of festered out over here, over there.
[00:31:21.741 --> 00:31:24.986]  And then you're sitting there with the crypto that you were told was worth $1,000, now is worth a dollar.
[00:31:27.287 --> 00:31:31.430]  Well, yeah, that's the beginning of what happened, but it goes much deeper than that.
[00:31:32.011 --> 00:31:44.861]  Remember, FTX creates its own tokens called FTT tokens, and then they raided their own user deposits and used those deposits as leverage to ship off to their sister company, one of which was Alameda Research.
[00:31:45.322 --> 00:31:49.805]  There are 130 companies, remember, that are associated with this that filed bankruptcy on Friday.
[00:31:50.626 --> 00:32:01.054]  And the bottom line is, Owen, they simply did not have the deposits that they claim to have, and they did not care for the user assets that they claim to be caretakers of.
[00:32:01.875 --> 00:32:08.080]  Now, of course, CZ over at Binance was able to bring down FTX with just two tweets.
[00:32:08.520 --> 00:32:14.725]  That shows you how vulnerable some of these exchanges are, and it shows you that the exchanges now cannot be trusted.
[00:32:15.325 --> 00:32:21.730]  Everybody right now is taking their funds out of the exchanges and moving them to cold storage across the entire ecosystem.
[00:32:21.750 --> 00:32:25.812]  All right, Mike, let's get into some of the weeds of this on the other side.
[00:32:26.693 --> 00:32:35.519]  And actually, I think there's a larger story here about how the entire market is over-levered, and you're just getting a taste of it with what happened with this FTX deal.
[00:32:35.720 --> 00:32:57.239]  Folks, the entire global market is over-levered.
[00:32:57.328 --> 00:33:00.811]  I've already got a full show for The War Room tomorrow, on Monday.
[00:33:00.871 --> 00:33:05.554]  I mean, that's how stacked up we are with breaking news right now and all the developments.
[00:33:06.374 --> 00:33:14.519]  With the midterm elections, what's going on around the globe, the FTX Democrat money laundering operation that's now been totally caught.
[00:33:15.740 --> 00:33:24.510]   Which really, Mike, I think there's a bigger story here that it's kind of just a Overall story where they look at FTX and they say, oh, it was over leveraged.
[00:33:24.530 --> 00:33:25.371]  They never had the money.
[00:33:25.391 --> 00:33:28.774]  I mean, that's basically any business operating, quite frankly.
[00:33:28.814 --> 00:33:33.858]  I mean, I would guess half the corporations are probably operating in the red the entire year.
[00:33:34.238 --> 00:33:35.499]  But they have credit.
[00:33:35.540 --> 00:33:37.381]  They have over levered all of their assets.
[00:33:37.661 --> 00:33:40.724]  And if they actually had to liquefy, they probably wouldn't have the bottom line they claim.
[00:33:40.744 --> 00:33:43.986]  But that's a separate issue that other economists and people talk about.
[00:33:44.287 --> 00:33:45.388]  We don't have to get into that now.
[00:33:45.928 --> 00:33:53.417]  But what do you think is going to be the ultimate story dealing with the FTX Democrat money laundering operation?
[00:33:54.665 --> 00:34:06.190]  Elon Musk has called it out as a Democrat money laundering operation, which to me kind of opens the gates for a lot of other commentators to accept that as the truth and to talk about it as well, how influential he's been on the crypto markets.
[00:34:06.730 --> 00:34:08.031]  But I mean, is it going to matter?
[00:34:08.091 --> 00:34:10.212]  Is it going to matter that they laundered it through Ukraine?
[00:34:10.232 --> 00:34:11.573]  Is that going to change public opinion?
[00:34:11.853 --> 00:34:17.295]  Is it going to matter that it was laundered right to the Democrat Party, even $5 million of it, right to Joe Biden?
[00:34:17.555 --> 00:34:21.037]  Is that going to open people's eyes to see how corrupt the Democrat Party is?
[00:34:21.477 --> 00:34:25.817]   What do you think the real story and real fallout out here is because we know what the deep state wants it to
[00:34:25.817 --> 00:34:30.418]   be, we know what the globalists want it to be, oh you can't have crypto or it needs to be
[00:34:30.418 --> 00:34:31.396]  regulated.
[00:34:31.396 --> 00:34:36.178]   Not the obvious story which is, hey you were money laundering through Ukraine to the Democrat
[00:34:36.178 --> 00:34:37.178]  party.
[00:34:37.178 --> 00:34:39.258]  That should be the real story.
[00:34:39.258 --> 00:34:42.937]   So there are two big stories here and they're happening simultaneously and you're right
[00:34:42.937 --> 00:34:44.338]  about the first one there.
[00:34:44.842 --> 00:34:53.528]  This was a slush fund in order to fund Democrats with a lot of dark money that definitely some of it was laundered through Ukraine.
[00:34:53.708 --> 00:34:54.609]  So the U.S.
[00:34:54.649 --> 00:34:56.030]  government sends money to Ukraine.
[00:34:56.430 --> 00:34:58.312]  Some of it gets donated to FTX.
[00:34:58.872 --> 00:35:02.275]  FTX then turns around and makes donations to Democrats, including Fetterman, by the way.
[00:35:02.655 --> 00:35:07.599]  Fetterman received money from FTX, and that's one of the reasons why Fetterman supposedly won.
[00:35:08.120 --> 00:35:11.742]  But, of course, we have rigged elections happening, you know, as we saw in Nevada.
[00:35:11.823 --> 00:35:14.625]  You know, you've covered it extensively, Owen, so you know exactly what's going on there.
[00:35:14.925 --> 00:35:18.488]  The count goes on, and the longer the count goes on, the more the rigging goes on.
[00:35:18.528 --> 00:35:23.252]  But it was a slush fund, but then it was designed to detonate, okay?
[00:35:23.732 --> 00:35:25.533]  So this thing had a fuse on it.
[00:35:25.673 --> 00:35:37.720]  It was designed to detonate and to try to take down the entire crypto ecosystem with contagion so that then the Janet Yellen's can come in and she's already gone public now and said, oh, well, gosh, look, we need to regulate crypto now.
[00:35:37.740 --> 00:35:38.180]  Look at this.
[00:35:38.200 --> 00:35:39.221]  Look at these horrible losses.
[00:35:39.901 --> 00:35:44.543]  Which, by the way, for the record, is something I predicted would happen back in 2014, believe it or not.
[00:35:45.423 --> 00:35:48.225]  I knew this day was coming, just didn't know when it was going to happen, but it's here.
[00:35:48.865 --> 00:35:52.426]  So we're going to have extreme regulation coming in the next few months.
[00:35:53.047 --> 00:36:05.655]   The exchanges are going to be regulated, and it's going to cause the value A lot of these cryptocurrencies to to really be suppressed in the United States because the utility of them will be reduced.
[00:36:05.675 --> 00:36:15.063]  You won't have as much privacy, you know, you're not going to be able to just exchange unless you want to go underground and do it illegally, you know, because it's going to be all these new laws in place.
[00:36:15.664 --> 00:36:25.032]  So crypto prices will probably be suppressed after that regulation comes out, but it also makes the case for more privacy coins like Monero and others and also, you know, ripple.
[00:36:25.890 --> 00:36:30.390]   has done a great job in building a system that could be used for global trade, by the way.
[00:36:30.390 --> 00:36:35.489]   And Ethereum has done a lot of brilliant things like switching over from proof of work to proof of stake.
[00:36:35.489 --> 00:36:42.089]   So the truth is that the private crypto geniuses have actually solved a lot of these problems.
[00:36:42.089 --> 00:36:44.589]  And the government feels like that's competition.
[00:36:44.589 --> 00:36:48.589]   So the government and the deep state is trying to take them down so that the government can run their central bank
[00:36:48.589 --> 00:36:52.580]   digital currencies to enslave the masses from here forward. So it's a war to
[00:36:52.580 --> 00:36:54.790]  see who comes out on top.
[00:36:54.790 --> 00:37:02.890]   Well, and I don't want to get too conceptual with it, but I mean, to me, the real value of crypto is the concept that
[00:37:02.890 --> 00:37:05.690]  it gives people control of pricing.
[00:37:05.798 --> 00:37:08.120]  I mean, that's basically, to me, what it's all about.
[00:37:08.180 --> 00:37:18.047]  And that's why I never really got into the crypto hype of, oh, it's worth $60,000 or $15,000 or whatever, because the monetary value tied to the dollar shouldn't even matter.
[00:37:18.667 --> 00:37:25.609]  What should matter is the goal ultimately is that we all buy into a cryptocurrency market where we decide the price.
[00:37:25.789 --> 00:37:27.109]  The vendor decides the price.
[00:37:27.509 --> 00:37:34.610]  The seller, the buyer decides the price in a peer-to-peer exchange, removing the government interaction from the picture altogether.
[00:37:35.011 --> 00:37:36.191]  And that empowers the people.
[00:37:36.571 --> 00:37:39.211]  So of course the central bankers don't want that to happen.
[00:37:39.531 --> 00:37:41.312]  Of course the globalists don't want that to happen.
[00:37:41.632 --> 00:37:47.653]   The centralized currency, the fiat currency, is their number one control over Mankind right now.
[00:37:47.693 --> 00:37:52.596]  I mean, it might be their number one control over us, controlling the currency.
[00:37:52.616 --> 00:37:54.897]  And if that comes to an end, well, they lose all control.
[00:37:54.937 --> 00:38:04.901]  So, of course, at some point, they were going to have to come after crypto and they were going to have to scare people off of it and scare it out of existence, if you will, because it challenges them.
[00:38:04.941 --> 00:38:09.523]  Because to me, here's what the crypto geniuses, as you call them, have realized.
[00:38:10.423 --> 00:38:18.672]   There is essentially at this point, other than confidence, There is no difference between a cryptocurrency coin or a dollar.
[00:38:19.213 --> 00:38:21.396]  They print dollars at will, folks.
[00:38:21.416 --> 00:38:22.077]  They make it up.
[00:38:22.637 --> 00:38:23.579]  There's no value there.
[00:38:23.619 --> 00:38:26.623]  They just did $50 billion to Ukraine on a whim.
[00:38:26.643 --> 00:38:27.604]  Where does the money come from?
[00:38:27.644 --> 00:38:28.545]  It comes out of their ass.
[00:38:29.967 --> 00:38:34.072]  The cryptocurrency people say, hey, you're already in a fiat currency with made-up value.
[00:38:34.492 --> 00:38:41.961]  Why not come over to this fiat currency with our made-up value, where we decide what it's worth and we're not tied to a central bank currency?
[00:38:42.001 --> 00:38:47.968]  Now that might be getting a little theoretical and conceptual, but to me it's that concept that has the central bankers scared.
[00:38:48.598 --> 00:38:55.645]  Well, you make a really important point, which is that the corrupt government doesn't want any competition when it comes to looting money from the people.
[00:38:56.345 --> 00:38:57.827]  So, there are two things here.
[00:38:58.888 --> 00:39:11.420]  Number one, yes, the dollar is backed by nothing since 1971, and they print dollars, they print trillions, and it causes dollar devaluation, and right now you're losing about 2% per month of your purchasing power of the dollar.
[00:39:12.000 --> 00:39:20.223]  But simultaneously, what FTX and the collapse has demonstrated, and a lot of other shenanigans, is that the crypto system cannot self-regulate.
[00:39:20.843 --> 00:39:22.363]  There's too much greed in the system.
[00:39:22.763 --> 00:39:24.724]  There's a lot of deception.
[00:39:24.744 --> 00:39:33.367]  There's a lot of deposits that are being passed around in order to try to prove that you have a certain amount of money in your exchange with audits.
[00:39:33.767 --> 00:39:37.708]  And then those coins are sent to somebody else so that they can prove they have the same money.
[00:39:38.448 --> 00:39:41.529]  There's a lot of shenanigans, and the damage has only just begun.
[00:39:41.549 --> 00:39:45.310]  We're going to see a lot more exchanges fall, by the way.
[00:39:45.770 --> 00:39:51.871]  Believe me, over the next 10 days, you're going to see major, big exchanges probably crater because people are pulling their funds out.
[00:39:52.071 --> 00:40:02.014]  But if everybody were just using cold storage and offline wallets, then the centralized finance systems of the exchanges would not be a problem.
[00:40:02.454 --> 00:40:05.435]  And there are decentralized exchanges that already solve this problem.
[00:40:06.294 --> 00:40:09.055]  The issue is that most users are very basic users.
[00:40:09.575 --> 00:40:11.516]  They don't understand cryptography.
[00:40:11.596 --> 00:40:13.716]  They don't understand public keys, private keys.
[00:40:13.736 --> 00:40:15.957]  They don't understand the technology that they're using.
[00:40:16.577 --> 00:40:20.479]  And so they can easily get caught in these systems, which is what just happened.
[00:40:21.039 --> 00:40:24.500]  Billions of dollars in valuations have been wiped out virtually overnight.
[00:40:25.140 --> 00:40:35.303]  So unless users become more sophisticated or the crypto ecosystem becomes more self-regulated, then this problem is not going to be solved.
[00:40:35.343 --> 00:40:41.184]  And none of us want government regulation because that means that's annihilation, frankly, of this system.
[00:40:41.204 --> 00:40:42.625]  But that's probably what's coming.
[00:40:42.745 --> 00:40:44.105]  So we have to brace ourselves for it.
[00:40:45.519 --> 00:40:49.484]  And to just kind of re-evaluate the whole thing without getting into the weeds.
[00:40:49.684 --> 00:40:50.845]  And I've got the headlines here.
[00:40:50.865 --> 00:40:51.987]  I'll get into the weeds later.
[00:40:52.047 --> 00:40:56.312]  I know that when you're hosting the second hour of Sunday Night Live, you're really going to dive deep into this too.
[00:40:57.642 --> 00:41:01.883]  But when you look at this, clearly this situation was a setup from the beginning.
[00:41:02.343 --> 00:41:05.624]  I'm sorry to say, but you take one look at the parties involved in this.
[00:41:06.104 --> 00:41:08.945]  Sam Bankman-Fried and his little gang of bandits.
[00:41:09.485 --> 00:41:11.306]  Folks, these are incompetent boobs.
[00:41:11.566 --> 00:41:11.846]  Okay?
[00:41:11.946 --> 00:41:12.406]  I'm sorry.
[00:41:12.486 --> 00:41:13.386]  Take one look at the guy.
[00:41:13.426 --> 00:41:14.767]  He doesn't even know how to comb his hair.
[00:41:14.987 --> 00:41:16.407]  Okay?
[00:41:16.627 --> 00:41:17.747]  Take one look at these people.
[00:41:17.847 --> 00:41:22.749]  Do they really look like the type of geniuses that are going to be running a successful system like this?
[00:41:22.769 --> 00:41:23.109]  No.
[00:41:23.128 --> 00:41:25.268]  They were set up from the very beginning.
[00:41:25.268 --> 00:41:29.568]   And now that you see all of the different connections that they had to the deep state,
[00:41:29.568 --> 00:41:35.967]   to politically connected people, to big corporation people, these people were obviously set up.
[00:41:35.967 --> 00:41:39.728]   Brinkman, Freed, and his gang of bandits were obviously set up.
[00:41:39.728 --> 00:41:43.768]   Who knows if they even knew that this whole thing was going to be used to run a giant
[00:41:43.768 --> 00:41:46.768]   scandal and they thought maybe they would just skim off the top.
[00:41:46.768 --> 00:41:53.128]   But at the end of the day, these morons got used by the Democrat party and by the deep
[00:41:53.128 --> 00:41:59.449]   state to steal millions of dollars from people, mostly Americans, to steal, it's what it was,
[00:41:59.449 --> 00:42:02.648]  straight up theft, and give it right to the Democrat party.
[00:42:02.925 --> 00:42:03.826]  That's what it was.
[00:42:04.086 --> 00:42:19.893]   So whether Bankman Freed and his little merry gang of bandits, that I don't think look that smart to begin with, knew that this was going on or not, they have now successfully been used by the Deep State and the Democrat Party to steal hundreds of millions of dollars Funnel it back to the Democrats, and guess what?
[00:42:20.453 --> 00:42:22.394]  They're going to be the ones that take the fall here, Mike.
[00:42:22.814 --> 00:42:24.094]  Not the ones that were running them.
[00:42:24.214 --> 00:42:28.135]  And I don't know if they'll even have a clue how to save themselves legally at this point.
[00:42:28.155 --> 00:42:30.096]  They thought flying away on a chartered jet would help.
[00:42:30.116 --> 00:42:31.216]  No, they're still getting arrested.
[00:42:32.577 --> 00:42:38.579]  Well, remember they gave $40 million to Democrats and only $200,000 to Republicans, so they knew exactly what they were doing.
[00:42:39.319 --> 00:42:40.400]  And yes, they got caught.
[00:42:40.480 --> 00:42:41.480]  Will they be held accountable?
[00:42:42.222 --> 00:42:46.848]  Probably not in the way that we wish, because of course they were giving money to Democrats and everything's rigged.
[00:42:47.329 --> 00:42:51.754]  But we need to ask, all those Democrats that took money from FTX, will they give it back now?
[00:42:52.335 --> 00:42:54.818]  Will we have new, redo elections?
[00:42:55.459 --> 00:42:56.380]  I mean, they took dirty money.
[00:42:56.420 --> 00:42:58.182]  They took money stolen from other people.
[00:42:58.222 --> 00:42:59.945]  I didn't know you were doing comedy today, Mike!
[00:43:00.625 --> 00:43:01.667]  Yeah, I know, I know.
[00:43:01.967 --> 00:43:03.589]  It's gonna be a clown show, that's for sure.
[00:43:03.609 --> 00:43:06.492]  Alright, so who do you have coming up here in the second hour of Sunday Night Live?
[00:43:07.393 --> 00:43:10.016]  I'm joined by John Perez, the crypto Nostradamus.
[00:43:10.436 --> 00:43:10.917]  He's joining me.
[00:43:11.097 --> 00:43:16.443]  Looking forward to that coming up in just an hour here with two hours later with Mike Adams.
[00:43:16.463 --> 00:43:16.984]  We'll be right back.
[00:43:21.781 --> 00:43:23.902]  I'm pointing my finger at you.
[00:43:24.623 --> 00:43:26.204]  And I'm also pointing it right back at myself.
[00:43:26.664 --> 00:43:28.606]  You forget to take your multivitamins.
[00:43:28.666 --> 00:43:30.367]  You forget to take your vitamin D3.
[00:43:30.727 --> 00:43:32.388]  You forget to take your Brain Force Plus.
[00:43:32.468 --> 00:43:34.590]  You forget to take DNA Force Plus.
[00:43:34.850 --> 00:43:36.231]  You forget to take the X3.
[00:43:36.291 --> 00:43:37.551]  And you know it makes your life better.
[00:43:37.772 --> 00:43:39.012]  And you know it makes you healthier.
[00:43:39.253 --> 00:43:40.393]  And you constantly forget.
[00:43:40.413 --> 00:43:42.355]  And when you remember to do it, you're a lot healthier.
[00:43:43.015 --> 00:43:45.976]  This stuff will blow you away, plus it funds our operation.
[00:43:45.996 --> 00:43:51.578]  We've got the biggest sale of the year going right now at InfoWarsTore.com with promo code 1776.
[00:43:53.318 --> 00:44:00.080]  Go to InfoWarsTore.com and use promo code 1776 to get up to 60% off on these best-selling products.
[00:44:00.280 --> 00:44:01.461]  The lowest deal is 40%.
[00:44:01.501 --> 00:44:03.001]  Most of the sales are 60% or 50%.
[00:44:05.142 --> 00:44:08.142]  when you use promo code 1776.
[00:44:08.142 --> 00:44:10.142]  There's too many products to tell you about them all.
[00:44:10.142 --> 00:44:11.142]  They're all kick-ass.
[00:44:11.142 --> 00:44:12.142]  They keep us on the air.
[00:44:12.142 --> 00:44:15.142]  Please continue to support, and I love you, and I thank you.
[00:44:15.142 --> 00:44:17.142]  1776 at Infoworkstore.com.
[00:44:17.142 --> 00:44:29.142]   Now, folks, one of the biggest problems we deal with is dumb people voting.
[00:44:29.142 --> 00:44:35.142]   And while it was considered a progressive thing to allow more people to vote in this country,
[00:44:35.142 --> 00:44:43.142]   and that's because there were obvious issues there as far as, you know, equal rights or whatever is concerned.
[00:44:43.580 --> 00:44:52.667]  But, you know, I think we may have made a big mistake because we have completely brainwashed morons and idiots voting now that cancel out informed votes.
[00:44:53.567 --> 00:44:55.228]  And let's just be honest, that's what happens.
[00:44:55.868 --> 00:45:03.410]  So do you want to get voted into slavery by people that don't even have a clue how the world works or what goes on in the country they live in?
[00:45:03.430 --> 00:45:05.151]  Because you're on the brink of it now.
[00:45:05.711 --> 00:45:06.911]  Here's the perfect example.
[00:45:07.111 --> 00:45:11.893]  A reporter, Riz Flex, goes out at a Pennsylvania voting place.
[00:45:12.373 --> 00:45:13.793]  And this is just one example.
[00:45:13.933 --> 00:45:16.754]  There's a handful of these examples, but I'm just going to pull one example.
[00:45:17.174 --> 00:45:18.635]  Here's Democrat Donna.
[00:45:19.315 --> 00:45:26.038]  Do you think this Democrat voter sounds informed, or do you think she's under the propagandized trance of the liberal media?
[00:45:26.098 --> 00:45:27.219]  You tell me, here it is.
[00:45:28.939 --> 00:45:32.561]  Donna, Donna, is there a particular candidate that you are excited about today?
[00:45:33.461 --> 00:45:37.483]  I'm excited for Fetterman, and I'm excited for Shapiro.
[00:45:37.763 --> 00:45:39.964]  Anyone on the Democratic ticket at this point.
[00:45:40.224 --> 00:45:43.486]  I just don't like what's been going on with the other party.
[00:45:44.582 --> 00:45:55.273]  Because, when you think of some of the underlying groups that are involved in that party, I'll say it, KKK, or whatever they want to call them now.
[00:45:55.473 --> 00:45:55.533]  Oh!
[00:45:55.613 --> 00:45:56.054]  Antifa?
[00:45:56.094 --> 00:45:56.694]  Nationalist?
[00:45:57.195 --> 00:45:57.315]  Oh.
[00:45:57.575 --> 00:45:58.636]  She believes that.
[00:45:59.057 --> 00:46:01.419]  Is there a particular candidate that you are... Alright, so that's good.
[00:46:01.439 --> 00:46:01.960]  So that's fine.
[00:46:02.000 --> 00:46:02.681]  That's all I wanted to do.
[00:46:03.041 --> 00:46:04.923]  But again, there's a bunch of these clips.
[00:46:04.943 --> 00:46:05.844]  She goes out and talks to people.
[00:46:07.677 --> 00:46:13.939]  I mean, we have such a challenge ahead of us, and I believe we can do it, and I'm willing to bet on the American people.
[00:46:13.959 --> 00:46:15.639]  In fact, I've really bet my life on it, folks.
[00:46:15.919 --> 00:46:22.241]  I mean, hell, we're just a few months away from who knows what the Democrats will do with this totalitarian control they have.
[00:46:22.741 --> 00:46:27.102]  I mean, my next guest, Alfie Oaks, they may just go shut down his business, arrest him, disappear him forever.
[00:46:27.442 --> 00:46:30.323]  They may raid this news organization right here.
[00:46:30.363 --> 00:46:33.643]  They may just decide to arrest me, just throw me away forever, and you'll never hear from us again.
[00:46:33.683 --> 00:46:34.664]  That's where we're at in this country.
[00:46:34.684 --> 00:46:35.384]  That's very serious.
[00:46:36.044 --> 00:46:40.748]  That's a very serious threat that we stare into every day when we come on air here and tell the truth.
[00:46:41.069 --> 00:46:43.030]  Every day when Alfie Oaks opens his business.
[00:46:43.311 --> 00:46:47.274]  You don't think that Communist Democrats are frothing at the mouth to shut down Alfie Oaks?
[00:46:47.494 --> 00:46:50.837]  You don't think that Democrats are frothing at the mouth to shut us down and arrest us?
[00:46:50.877 --> 00:46:51.658]  Of course they are!
[00:46:52.239 --> 00:46:55.722]  You are dealing with the most corrupt political party in U.S.
[00:46:56.122 --> 00:46:56.642]  history.
[00:46:57.263 --> 00:46:58.064]  But you have to understand.
[00:46:59.485 --> 00:47:00.486]  We're betting on you.
[00:47:00.546 --> 00:47:01.967]  We're betting on the American people.
[00:47:02.027 --> 00:47:03.188]  We're betting on humanity.
[00:47:03.448 --> 00:47:05.129]  I believe humanity wants to be free.
[00:47:05.810 --> 00:47:07.611]  I believe humanity wants to be prosperous.
[00:47:08.171 --> 00:47:20.600]  I believe that people want the truth and want justice even though they've been deceived and put into a trance to be aimed against just that.
[00:47:21.401 --> 00:47:22.962]  Aimed against their own prosperity.
[00:47:23.402 --> 00:47:25.804]  Aimed against truth and honesty and integrity.
[00:47:26.144 --> 00:47:27.285]  And you see it with these voters.
[00:47:29.309 --> 00:47:34.214]  But I believe, I'm going to place my bet that humanity wants to be free.
[00:47:34.234 --> 00:47:41.823]  I'm going to place my bet that Americans want to be free and prosperous and will somehow shake out of this trance we're in and the Democrat Party will eventually be no more.
