[00:00:04.086 --> 00:00:09.368]  Here we are, right in the center of the fight, live Sunday, December 18, 2022.
[00:24:57.163 --> 00:25:02.763]   Immediately we saw a decline in people buying products and supporting.
[00:25:02.883 --> 00:25:07.766]  And I've talked to folks on the street who go, well, I support you, but man, there's no way they just made that up.
[00:25:08.046 --> 00:25:09.447]  I mean, you got hundreds of millions of dollars.
[00:25:10.950 --> 00:25:14.331]  Ladies and gentlemen, I have less than $300,000 personally.
[00:25:14.672 --> 00:25:15.912]  I don't have a bunch of hidden stuff.
[00:25:15.952 --> 00:25:16.953]  I don't have anything.
[00:25:17.013 --> 00:25:17.673]  It's not true.
[00:25:18.153 --> 00:25:20.074]  I didn't set this up to try to just make money.
[00:25:20.094 --> 00:25:30.958]  I don't mind having nice things, but the mission is fighting the globalists and doing everything we can to be a platform for all of the voices that need to be heard.
[00:25:31.299 --> 00:25:39.222]  Like Dr. Peter McCullough said last week, he said we were instrumental in this breakthrough and exposing the poison shots, and this broadcast has saved countless lives.
[00:25:40.418 --> 00:25:41.279]  And that's not just me.
[00:25:41.319 --> 00:25:42.081]  It's not just the crew.
[00:25:42.121 --> 00:25:43.503]  It's not just the listeners or the guests.
[00:25:43.563 --> 00:25:44.765]  It's all of us together.
[00:25:44.905 --> 00:25:47.329]  So... There lies...
[00:25:48.675 --> 00:25:55.196]  About how I made $60 million last year, or I've got all hundreds of millions of dollars, have been somewhat effective.
[00:25:55.977 --> 00:26:00.398]  And it's really sad because I'll be in a grocery store, or I'll be at a gas station.
[00:26:01.278 --> 00:26:06.279]  And I've always had women hit on me here and there, you know, especially when I was younger and really good looking.
[00:26:06.319 --> 00:26:07.979]  But I mean, it's like crazy now.
[00:26:08.039 --> 00:26:12.860]  At the grocery store anywhere, gorgeous women come over and they just get all over me and start grabbing on me.
[00:26:13.240 --> 00:26:16.541]  And they say, you know, I didn't know you were a billionaire.
[00:26:17.159 --> 00:26:20.861]  Because the way the public works is they hear, oh, billion dollar judgments.
[00:26:21.241 --> 00:26:23.442]  Well, I mean, this guy must have billions of dollars.
[00:26:23.642 --> 00:26:24.643]  It's insane.
[00:26:25.743 --> 00:26:26.984]  It's totally insane.
[00:26:27.284 --> 00:26:29.345]  People think I'm a billionaire.
[00:26:30.586 --> 00:26:31.166]  On the street now.
[00:26:33.087 --> 00:26:40.071]  And they think I have all this money because they got up in court and said he has 400 plus million dollars.
[00:26:41.751 --> 00:26:43.192]  And it was just totally lies.
[00:26:43.212 --> 00:26:44.333]  We weren't even allowed to counter it.
[00:26:44.613 --> 00:26:45.713]  We weren't allowed to have witnesses.
[00:26:45.733 --> 00:26:46.454]  They just put them on.
[00:26:49.005 --> 00:26:54.509]  So, that's where I'm at here, is just so frustrated by the level of lies.
[00:26:54.530 --> 00:27:00.514]  Because people expect, well, part of it's lies, but, you know, they say he's worth $400 million, maybe he's worth $50 million.
[00:27:01.415 --> 00:27:02.656]  No, folks, I'm out of money.
[00:27:03.537 --> 00:27:13.725]  And I don't care about the money, I care about staying on air, keeping this crew employed, and the fact that they're trying to crush us more than anybody, because we've got their number and know how to stop them.
[00:27:15.137 --> 00:27:16.738]  An even bigger frustration is this.
[00:27:16.818 --> 00:27:18.860]  We make it so easy to support the broadcast.
[00:27:19.900 --> 00:27:20.961]  Take Vitamin Mineral Fusion.
[00:27:21.261 --> 00:27:26.285]  It's all the essential vitamins, the ones you gotta have to live, all the essential minerals, and key amino acids.
[00:27:26.385 --> 00:27:28.226]  Tastes great, great for all ages.
[00:27:28.286 --> 00:27:34.731]  Put a scoop in a whole pitcher, and then it lasts for you and your family, depending on how big your family is, three, four days or a week.
[00:27:35.131 --> 00:27:37.953]  You can have a cup in the morning, have a cup in the evening, everything you need.
[00:27:38.313 --> 00:27:40.355]  And it's amazing, so good for your immune system.
[00:27:41.195 --> 00:27:42.256]  It's massively discounted.
[00:27:42.296 --> 00:27:43.316]  It's going to sell out soon.
[00:27:43.636 --> 00:27:49.779]  I'm keeping it discounted at InfoWarsaw.com because you need it, and it's a great product, and it is what people are buying.
[00:27:50.779 --> 00:27:57.242]  But people are so used to only selling stuff on sale, we don't even make that much money when we do sell it, so we've got to sell a lot of it to stay on air.
[00:27:58.823 --> 00:28:00.243]  So you need Vitamin Mineral Fusion.
[00:28:00.323 --> 00:28:00.644]  Get it.
[00:28:00.824 --> 00:28:01.384]  Don't wait.
[00:28:01.484 --> 00:28:03.485]  Just make the decision to keep us on air.
[00:28:03.505 --> 00:28:05.706]  Because listen, the globalists can't shut us down.
[00:28:05.986 --> 00:28:09.247]  They can kill me or put me in prison, but short of that, they can't shut us down.
[00:28:09.648 --> 00:28:15.136]   Only you Can buy into their PsyOps and believe the lie.
[00:28:15.456 --> 00:28:17.437]  Now the great news is I'm in personal bankruptcy.
[00:28:18.558 --> 00:28:24.361]  And in the next, starting tomorrow at a hearing and in the next week, under penalty of perjury, all my stuff's filed.
[00:28:24.942 --> 00:28:28.404]  People are gonna go, whoa, Alex Jones has less than $300,000.
[00:28:28.624 --> 00:28:32.886]  And Alex Jones, you know, drives a pickup truck.
[00:28:33.847 --> 00:28:37.129]  And Alex Jones doesn't have all this money.
[00:28:38.393 --> 00:28:41.756]  And the media's going to try to spin that however they do and put out more lies.
[00:28:41.856 --> 00:28:42.877]  I'm not worried about that.
[00:28:42.977 --> 00:28:53.627]  Just listeners who I know love the broadcast need to go to InfoWarshaw.com, need to sign up for AutoShip to get an additional 10% off your next order, and need to commit to get these products that you already need.
[00:28:53.968 --> 00:29:03.237]  And I know we got rid of all the t-shirts and ran out of funds to even have all the little extra stuff like books and DVDs and t-shirts because we don't have money to even buy that out in the future.
[00:29:03.917 --> 00:29:07.479]  We put aside a little bit of money to come up with a couple of really cool t-shirts next year.
[00:29:07.959 --> 00:29:22.827]  We got some other products coming in next year, but we also launched the whole InfoWars MD line that is all a bunch of cloned copies of already number one and top best sellers in the country, ready to be shipped out to you, and it's of the highest quality.
[00:29:23.147 --> 00:29:34.062]   I could put out some crap and market up a bunch and fix our problems, but I just cannot bring myself to bring you a product like DNA Force Plus or Tumor 95 or
[00:29:34.062 --> 00:29:40.912]   Libido RX or full spectrum CBD which doesn't get you high, that's no, no HTC or
[00:29:40.912 --> 00:29:49.381]   whatever it's called that's got the stuff that makes you high in marijuana. It's only got the
[00:29:49.381 --> 00:29:51.381]   good stuff that's great for your joints and your whole body.
[00:29:51.559 --> 00:29:53.801]  It just does amazing things for pain and more.
[00:29:54.182 --> 00:29:56.403]  That's about to sell out because we only had a limited supply of it.
[00:29:56.423 --> 00:29:57.424]  We only did a limited run of it.
[00:29:57.865 --> 00:30:01.908]  But it's all available and it really is up to you.
[00:30:02.068 --> 00:30:04.710]  You have to decide whether the Globals are going to win.
[00:30:05.231 --> 00:30:11.376]  You have to decide whether they're going to be able to crush us and crush your voice and all your investment over the years in the broadcast.
[00:30:11.416 --> 00:30:13.238]  But just do not believe them.
[00:30:14.798 --> 00:30:22.604]  Well, people either think, hey, we have all this extra money, or they think, oh, money that goes here goes to the Sandy Hook people because they've got these judgments.
[00:30:22.664 --> 00:30:23.825]  We have two years of appeals.
[00:30:25.126 --> 00:30:28.949]  And after the end of all that, there's no extra money anyways when you're in a bankruptcy.
[00:30:30.290 --> 00:30:32.011]  So it's all a lie.
[00:30:32.051 --> 00:30:38.356]  But that's why the lawyers got up in Connecticut and said, don't buy his products and don't donate because he's a bad bet.
[00:30:38.436 --> 00:30:39.577]  We're going to get all the money.
[00:30:40.572 --> 00:30:40.953]  Knowing!
[00:30:41.315 --> 00:30:42.418]  That's psychological warfare.
[00:30:42.438 --> 00:30:45.306]  They have top PR firms and then spooks advising them.
[00:30:46.147 --> 00:30:46.607]  Spies!
[00:30:47.307 --> 00:30:48.748]  Tell him we're gonna get the money.
[00:30:49.068 --> 00:30:50.668]  Tell him resistance is futile.
[00:30:51.008 --> 00:30:52.429]  Tell him he's got extra money.
[00:30:52.649 --> 00:30:55.870]  Put all those lies out and help different groups believe the lies.
[00:30:55.930 --> 00:30:57.991]  Don't believe a word they say.
[00:30:58.071 --> 00:30:59.851]  Believe me, I've told you the truth.
[00:31:00.131 --> 00:31:01.012]  I've never lied to you.
[00:31:01.052 --> 00:31:03.532]  I've made mistakes, but I've never lied to you.
[00:31:04.313 --> 00:31:11.015]  I've gotten so neurotic about never lying that when I got pulled over two years ago and the police officer said, the sheriff's deputy said, have you been drinking?
[00:31:11.035 --> 00:31:11.475]  I said, yeah.
[00:31:11.835 --> 00:31:14.496]  Had a half bottle of wine an hour ago at a Japanese restaurant.
[00:31:14.716 --> 00:31:15.616]  He said, you're arrested.
[00:31:16.704 --> 00:31:18.625]  Because people say you're a dumbass for not lying.
[00:31:20.926 --> 00:31:23.067]  I hadn't lied in years at that point.
[00:31:23.427 --> 00:31:28.130]  Because everybody lies about this or that to your wife or about, you know, you catch yourself in that.
[00:31:29.090 --> 00:31:29.630]  I've gotten so...
[00:31:31.241 --> 00:31:42.523]  into only telling the truth, because when you do it, your brain stops trying to think about what you're going to say, and it stops thinking about the different angles of stuff, and then you just remove deception, and then your brain works way faster and is better.
[00:31:43.243 --> 00:31:51.765]  So, you can see, some can see the fact that I don't tell lies as, like, dumb.
[00:31:52.425 --> 00:31:53.945]  Well, see, why do you think that?
[00:31:54.045 --> 00:31:58.906]  And I understand the military or war, you use deception and things, and that's different, but we don't do that, folks.
[00:31:59.827 --> 00:32:00.347]  We don't do that.
[00:32:00.367 --> 00:32:04.308]  I mean, I've been advised by a lot of high-level people that have been really effective and smart and things.
[00:32:04.328 --> 00:32:06.249]  They said, Jones, you got to stop telling the truth.
[00:32:06.989 --> 00:32:08.329]  Your policy of truth is really hurting you.
[00:32:08.729 --> 00:32:10.389]  You know, you got to, you got to lie some.
[00:32:10.510 --> 00:32:11.470]  And I just, I'm not doing it.
[00:32:11.790 --> 00:32:13.090]  I'm trusting in God and that's it.
[00:32:13.570 --> 00:32:14.650]  So you got the truth here.
[00:32:14.911 --> 00:32:15.671]  That's what you're getting.
[00:32:16.111 --> 00:32:20.652]  They can have all their lies over there on the other side, but we got a lot of great products at InfoWarsStore.com.
[00:32:20.752 --> 00:32:23.273]  We have the three new products from InfoWars Platinum.
[00:32:24.493 --> 00:32:29.194]  You see, when you stop telling lies, you stop lying to yourself.
[00:32:31.066 --> 00:32:31.646]  It's a drug.
[00:32:31.706 --> 00:32:33.267]  It's a really good thing.
[00:32:34.727 --> 00:32:35.467]  It's empowering.
[00:32:36.948 --> 00:32:42.509]  And that's why I've not been as effective as I could have been, because I haven't done the work I'm supposed to do, and that's my fault.
[00:32:42.869 --> 00:32:44.129]  Let me explain, then I'll get back to the news.
[00:32:44.149 --> 00:32:48.250]  We're talking about the future of InfoWars that is in your hands.
[00:32:50.971 --> 00:32:54.032]  I knew I didn't have these hundreds of millions of dollars they lied about and said I had.
[00:32:54.052 --> 00:33:00.153]  I knew they had these state courts ready to control who were going to put us in a receivership and close the building down.
[00:33:01.013 --> 00:33:06.917]  I knew that we were out of money, so I declared bankruptcy with Free Speech Systems, and I declared it personally to put my cards on the table.
[00:33:06.937 --> 00:33:09.058]  Now, they're never going to let you see those cards.
[00:33:09.078 --> 00:33:10.479]  They're going to misrepresent, and that's what they do.
[00:33:10.759 --> 00:33:11.679]  They're the father of the devil.
[00:33:14.201 --> 00:33:28.999]   But then, trying to work with the people involved when you're in the bankruptcy system to get clear numbers to tell people So I can come to Lizards and say, I need in the next three months, $2 million or we won't have enough money to buy product in the future and we'll shut down.
[00:33:29.259 --> 00:33:33.420]  That's about the number, but I don't say it because I'm trying to get the final accounting.
[00:33:33.700 --> 00:33:36.841]  So I can come in here and give you a report on air and say, here's the report.
[00:33:37.061 --> 00:33:37.642]  Here's what we're doing.
[00:33:37.702 --> 00:33:38.882]  Here's our plan to stay on air.
[00:33:40.222 --> 00:33:47.145]  We've got a lot of people coming through and a lot of big projects that are almost done.
[00:33:48.100 --> 00:33:50.483]  That should supercharge what we're doing and keep us on air.
[00:33:50.943 --> 00:33:54.627]  But you add to this the economy faltering and the interest rates going up and everything else.
[00:33:54.767 --> 00:33:55.168]  I get it.
[00:33:56.309 --> 00:34:02.495]  And if God's ready to change the future of Infowars and to put us through more tribulations, that's fine.
[00:34:02.555 --> 00:34:03.256]  I don't blame God.
[00:34:03.797 --> 00:34:05.318]  I'm just saying God works through you.
[00:34:06.079 --> 00:34:07.661]  And you have to make the decision or not.
[00:34:08.348 --> 00:34:09.909]  Whether you want to keep this broadcast on air.
[00:34:09.929 --> 00:34:10.709]  So here's what I'm going to say.
[00:34:11.169 --> 00:34:13.850]  And I want the crew to watch this and listen to this because they haven't heard this.
[00:34:14.410 --> 00:34:16.151]  And I don't want rumors about this anywhere.
[00:34:16.171 --> 00:34:17.691]  I know the media will misrepresent it.
[00:34:17.851 --> 00:34:18.552]  Here's what I'm saying.
[00:34:20.172 --> 00:34:21.433]  I don't jerk people's shame.
[00:34:23.273 --> 00:34:25.034]  But have you ever watched a football game?
[00:34:25.074 --> 00:34:27.375]  People always ask me, what football team do you like?
[00:34:28.175 --> 00:34:29.655]  And I don't have time to watch football.
[00:34:30.035 --> 00:34:30.616]  I rarely do.
[00:34:30.676 --> 00:34:36.198]  But back when I was a fan of it, I never really wore the jerseys or rooted for a team.
[00:34:36.498 --> 00:34:41.370]   I like The playoffs and I like the best teams playing and I wanted to see a good game.
[00:34:42.112 --> 00:34:47.203]  And I wanted games that were close and interesting or a game where people came from way behind.
[00:34:49.446 --> 00:34:50.527]  Those are the best games.
[00:34:51.227 --> 00:34:58.472]  So when you hear me the last four years in this game of life, this most important issue, saying, if we don't get funds, we're going to shut down.
[00:34:58.872 --> 00:34:59.933]  That's not crying wolf.
[00:34:59.993 --> 00:35:09.119]  It's like a football game where you sit down with your pizza or your barbecue with the family or friends and the game starts and it is just a battle.
[00:35:09.640 --> 00:35:11.461]  High scoring, low scoring, doesn't matter.
[00:35:11.521 --> 00:35:12.682]  It's close the whole time.
[00:35:12.942 --> 00:35:14.002]  You're on the edge of your seat.
[00:35:14.403 --> 00:35:15.463]  That's what this game's been.
[00:35:15.784 --> 00:35:16.564]  God has done this.
[00:35:17.105 --> 00:35:38.576]   God, God in the last four years, Has literally kept us right there on the edge of red and black and every time I go well God that's it I'm gonna have to start shutting down boom money comes in but it is Nail-biting it is torture and it's all in God's plan But if you look at the numbers because we got clear numbers in the past not not coming up the future yet
[00:35:39.870 --> 00:35:49.140]  It is crazy how it's like a football game where we're tied in super high scoring throughout the entire four quarters and now we're in overtime.
[00:35:52.004 --> 00:35:54.887]  And so that's basically how this works.
[00:35:54.927 --> 00:35:59.832]  Now I know and I'm not going to do this because I still kind of see it as a jerking a chain.
[00:36:00.874 --> 00:36:02.255]  Even though it's not a chain, it's the truth.
[00:36:03.155 --> 00:36:06.396]  But I'm going to get my mind wrapped around it, and I guess I'm doing that now, ear on ear.
[00:36:07.057 --> 00:36:07.597]  I love Owen.
[00:36:07.617 --> 00:36:09.098]  He does an incredible job, reaches millions of people.
[00:36:09.378 --> 00:36:11.078]  I love Harrison Smith, does an amazing job as well.
[00:36:11.359 --> 00:36:12.139]  I love this whole crew.
[00:36:12.159 --> 00:36:14.360]  They're not going to let go this month, or next month, or the next month.
[00:36:14.980 --> 00:36:21.843]  But soon we'll enter a zone where I'll have to tell the crew, okay, three, four months, you better start looking for other jobs.
[00:36:22.183 --> 00:36:23.464]  We're going to have to start shutting this down.
[00:36:24.204 --> 00:36:26.225]  That's the process, and here's what's sick about it.
[00:36:26.785 --> 00:36:46.309]  The minute I go, okay, Owen Schroer's let go, or Harrison Smith's off the air, or no more Greg Reese, or no more John Bowne, or no more Darren McBreen reports that reach millions of people a week and are incredible, the minute that happens, people go, oh, he's serious.
[00:36:47.610 --> 00:36:48.290]  This is real.
[00:36:49.330 --> 00:36:52.451]  And you know how hard it'll be if we just shut this place down?
[00:36:53.408 --> 00:36:56.813]  I just put it in the chapter, whatever, liquidation, and I just walk away?
[00:36:56.833 --> 00:37:03.963]  You know how hard it'll be to fire it back up in the constituted form it's in?
[00:37:04.023 --> 00:37:04.484]  It'll be hard.
[00:37:04.945 --> 00:37:06.567]  Look, I've already got business offers.
[00:37:06.887 --> 00:37:08.029]  I've already got show offers.
[00:37:08.369 --> 00:37:09.191]  I can already...
[00:37:10.555 --> 00:37:15.196]  Go do another show for somebody else and have my autonomy and have a whole crew that doesn't work for me.
[00:37:15.436 --> 00:37:17.777]  And it'd be much easier and I'd personally make more money.
[00:37:18.097 --> 00:37:19.237]  But I don't want them to win.
[00:37:19.257 --> 00:37:21.598]  I don't want them to shut down our ATX command base.
[00:37:21.918 --> 00:37:26.819]  I don't want them with all the guests in the history and so much more to offer with the incredible work we're doing.
[00:37:27.079 --> 00:37:30.340]  To me, it's giving up and it's losing to roll over.
[00:37:31.920 --> 00:37:34.861]  And so you got my commitment that I'm going to ride this horse till it dies.
[00:37:35.361 --> 00:37:35.601]  All right.
[00:37:36.461 --> 00:37:37.081]  That's what I'm going to do.
[00:37:37.701 --> 00:37:39.342]  But it is torture.
[00:37:42.319 --> 00:37:51.642]  Absolute torture to not be able to do things and send crew to things and do things that I know would be huge and to just be in a position of survival.
[00:37:52.903 --> 00:37:54.883]  But America and the whole world is in a crisis.
[00:37:55.183 --> 00:37:56.484]  We're all in that position together.
[00:37:56.524 --> 00:37:59.465]  Whether you recognize you're in that position yet or not, you are.
[00:38:00.045 --> 00:38:00.665]  So it's simple.
[00:38:00.845 --> 00:38:01.725]  We are essential.
[00:38:02.286 --> 00:38:09.220]   InfoWars and its mission has been, by the grace of God and your support, Incredible.
[00:38:09.600 --> 00:38:17.146]  And has had more victories against the enemy than any other operation or team in American history.
[00:38:17.786 --> 00:38:19.928]  And people tell me that personally.
[00:38:20.368 --> 00:38:23.711]  Foreign presidents, top talk show hosts, everybody.
[00:38:24.010 --> 00:38:26.929]   I go out to the store, I went to the grocery store yesterday
[00:38:26.929 --> 00:38:31.650]   with my wife and her mother and I shook 50 hands, black, white, Hispanic, old, young.
[00:38:31.650 --> 00:38:33.811]  And they said, "You woke me up, you saved my family.
[00:38:33.811 --> 00:38:35.690]  "You told me about the shot."
[00:38:35.690 --> 00:38:37.811]  And then my dad took it and died, but luckily we didn't.
[00:38:37.811 --> 00:38:39.690]  I mean, that's what's going on here.
[00:38:39.690 --> 00:38:46.411]   And so we've got so much more important work to do, but I will not sit here and spend 20 minutes
[00:38:46.411 --> 00:38:47.849]  out of an hour begging you.
[00:38:47.849 --> 00:38:52.311]  And it's not because I'm a proud person.
[00:38:52.502 --> 00:39:03.365]  It's because if you don't see how important this is, and you don't realize we're two minutes to midnight, then I guess it's God's plan that whatever's going to happen is going to happen, and maybe I've done my work.
[00:39:04.926 --> 00:39:08.686]  In fact, I'm strongly considering if Infowars shuts down.
[00:39:08.686 --> 00:39:16.285]  I don't even know if I'm gonna take a hiatus or what it is.
[00:39:16.459 --> 00:39:20.142]  But to me, I see that as God doesn't want me to do this anymore.
[00:39:20.922 --> 00:39:21.863]  Maybe you've been warned.
[00:39:22.703 --> 00:39:23.824]  Maybe I've already said it all.
[00:39:24.204 --> 00:39:29.908]  Maybe once you never see me again, everything I said before is going to be that much more powerful.
[00:39:29.948 --> 00:39:32.309]  And that's really where I'm at, ladies and gentlemen.
[00:39:32.830 --> 00:39:33.850]  But I'm going to do more shows.
[00:39:33.890 --> 00:39:34.511]  I'm going to be here.
[00:39:34.531 --> 00:39:38.773]  Because I'm a fighter and I don't know how to give up.
[00:39:39.133 --> 00:39:39.834]  But I've got to tell you.
[00:39:42.022 --> 00:39:44.964]  There's all this big money out there sitting on the sidelines not supporting us.
[00:39:45.264 --> 00:39:50.708]  There's all the nouveau riche out there that's going to lose everything you've got, but you want to sit there on the sidelines and pretend you're safe.
[00:39:51.549 --> 00:39:53.230]  And we're going to lose everything in that process.
[00:39:54.111 --> 00:39:55.412]  So we have things you need.
[00:39:57.253 --> 00:40:02.998]  You know, I'm told there's only 400 signed books left at the warehouse.
[00:40:03.745 --> 00:40:05.345]  And we can get some more and do more sign-ups.
[00:40:05.345 --> 00:40:06.345]  Yeah, they're 99 bucks.
[00:40:06.345 --> 00:40:13.344]   And so that means we bring in like $90 or $87 or whatever to fund ourselves.
[00:40:13.344 --> 00:40:14.745]  That's what it takes to prosecute a war.
[00:40:14.745 --> 00:40:20.845]   And so I'm like, I don't want a company that would say, "You better go get signed books at Inforestore.com right
[00:40:20.845 --> 00:40:21.145]  now."
[00:40:21.145 --> 00:40:23.345]  Oh, you need vitamin and refusion? Of course you do.
[00:40:23.345 --> 00:40:28.145]   Or if you want to countermand all the feminization of the males
[00:40:28.145 --> 00:40:32.345]  and the attacks out there with 1776 testosterone boosts.
[00:40:32.437 --> 00:40:37.679]  That's just the name I came up with of this private label of the top natural testosterone booster in the country.
[00:40:38.259 --> 00:40:39.220]  Or HTH Max.
[00:40:39.320 --> 00:40:42.301]  It's so incredibly powerful what it does to reboot your whole body.
[00:40:42.521 --> 00:40:43.221]  Or Pain MD.
[00:40:43.441 --> 00:40:45.742]  They're 40% off at Infowarsware.com.
[00:40:45.922 --> 00:40:46.642]  They're the new line.
[00:40:46.822 --> 00:40:50.564]  They're what's supposed to save the operation and they are incredible.
[00:40:51.684 --> 00:40:54.245]  And the whole web, Infowars MD line.
[00:40:56.164 --> 00:40:58.705]  So, that's it.
[00:40:59.165 --> 00:41:04.446]  I don't like spending valuable time sitting here explaining to you how important we are.
[00:41:04.506 --> 00:41:07.887]  And I'm not mad at you, because I know it's God that runs all this.
[00:41:08.967 --> 00:41:14.348]  But what I need is people to commit, is to spread the word about the show, share the articles and videos.
[00:41:14.388 --> 00:41:15.248]  God knows they're blocked.
[00:41:15.288 --> 00:41:16.028]  God knows they're there.
[00:41:16.208 --> 00:41:16.668]  You're smart.
[00:41:16.708 --> 00:41:17.509]  Get it around the enemy.
[00:41:18.069 --> 00:41:22.451]   And I need you To go to InfoWarsTore.com and get the great products.
[00:41:22.491 --> 00:41:23.451]  You need Ultra 12.
[00:41:23.631 --> 00:41:24.532]  It's the highest quality B12.
[00:41:24.552 --> 00:41:25.292]  Take it out of the tongue.
[00:41:25.312 --> 00:41:28.873]  It does incredible things for your energy and your body and your immune system.
[00:41:28.913 --> 00:41:29.474]  You need that.
[00:41:29.834 --> 00:41:30.854]  You need Turmeric 95.
[00:41:31.034 --> 00:41:32.375]  It's basically the bodies formula.
[00:41:32.955 --> 00:41:33.735]  Bodies are sold out.
[00:41:34.215 --> 00:41:35.016]  You need all this.
[00:41:35.076 --> 00:41:36.136]  It's at InfoWarsTore.com.
[00:41:36.156 --> 00:41:37.997]  So I'm going to start the next hour.
[00:41:38.017 --> 00:41:39.177]  I'm not going to plug next hour.
[00:41:39.197 --> 00:41:42.098]  I plug so much here and I apologize to the stations for doing it.
[00:41:42.859 --> 00:41:45.700]  But America's fighting for its life right now.
[00:41:46.520 --> 00:41:50.623]  And at the most critical juncture, we have the most credibility, and people are realizing we were right.
[00:41:51.083 --> 00:41:55.767]  We are now right here in the center of this fight, really trying to decide whether we're going to go on or not.
[00:41:56.908 --> 00:42:01.211]  And whether the Globalists can have their capture-the-flag victory of, oh, we took Alex Jones off the air.
[00:42:01.511 --> 00:42:02.972]  But they're not the ones that are going to decide.
[00:42:03.812 --> 00:42:04.493]  I'm going to say it again.
[00:42:04.933 --> 00:42:07.495]  It's going to be you that decide.
[00:42:08.075 --> 00:42:08.716]  And I like that.
[00:42:09.296 --> 00:42:11.158]  It's not our enemies that are going to take me off the air.
[00:42:12.439 --> 00:42:13.219]  And boy, they've tried.
[00:42:13.559 --> 00:42:14.240]  It's going to be you.
[00:42:14.921 --> 00:42:23.287]  Because you believe their lies that I got 400 million dollars, that you believe their lies, that all this other crap, none of it's true, on my children.
[00:42:24.468 --> 00:42:28.291]  And it is our children that are in the breach here, that are being targeted, all our children.
[00:42:28.992 --> 00:42:34.015]  So go to InfoWorksStore.com right now, and get great products you need, and commit to support.
[00:42:34.035 --> 00:42:34.916]  I believe you're going to do it.
[00:42:35.356 --> 00:42:36.757]  I don't believe they're going to win.
[00:42:36.777 --> 00:42:39.840]  At a gut level, I believe God's going to intervene, working through you.
[00:42:39.860 --> 00:42:41.421]  Hour number two, straight ahead.
[00:42:42.921 --> 00:42:45.442]  InfoWars MD is finally here.
[00:42:46.142 --> 00:43:02.427]  It's the very same high quality products you've been getting through InfoWars Life, but an expanded catalog and in some cases the prices are lower because we're going directly to the source that was supplying the supplement companies that we were buying our high quality products from.
[00:43:02.627 --> 00:43:08.729]  So we're able to lower prices and bring you more products via the InfoWars MD line.
[00:43:09.289 --> 00:43:11.551]  The highest quality, triple tested.
[00:43:11.851 --> 00:43:15.713]  Many of these products are sold on store shelves for more than twice the cost.
[00:43:15.793 --> 00:43:20.016]  You'll get them at InfoWarsStore.com under our exclusive label.
[00:43:20.296 --> 00:43:25.940]  We're bringing you the highest quality supplements directly from the factory right here in the USA to your door.
[00:43:26.200 --> 00:43:31.764]  It'll make your life healthy, better, boost your immune system, and it keeps InfoWarsStore on the air.
[00:43:32.084 --> 00:43:39.069]  So again, introducing InfoWars MD, now exclusively available at InfoWarsStore.com with massive, massive savings.
[00:43:42.511 --> 00:43:43.672]  Well, get over yourself.
[00:43:44.032 --> 00:43:46.214]  We're not concerned if you agree with it or not.
[00:43:46.474 --> 00:43:49.456]  We're concerned about you making us sick.
[00:43:50.036 --> 00:43:55.260]  So get your COVID shot and prevent other people from getting your stuff.
[00:43:55.854 --> 00:43:59.819]  It's a good point and we're having a debate this morning about that very thing really.
[00:44:00.240 --> 00:44:04.706]  A debate about whether mask wearing should be returned to be mandatory here in the UK.
[00:44:05.066 --> 00:44:06.508]  Restrictions have been lifted.
[00:44:06.909 --> 00:44:12.656]  And I understand you even suggest people who come to your concerts wear them for their own protection.
[00:44:13.573 --> 00:44:18.836]  We are doing the Kiss Cruise shortly, and you will not be able to get on the cruise unless you're vaccinated.
[00:44:19.136 --> 00:44:25.540]  Look, before you go to school, you have to have your children get the flu vaccine and the polio vaccine.
[00:44:25.580 --> 00:44:26.661]  There's no discussion.
[00:44:27.641 --> 00:44:29.122]  And, you know, what about my rights?
[00:44:29.302 --> 00:44:31.324]  Well, you don't have as many rights as you think.
[00:44:31.644 --> 00:44:34.265]  When you get up to a red light, you must stop.
[00:44:34.545 --> 00:44:35.266]  There's no choice.
[00:44:35.586 --> 00:44:37.027]  It's because it's not about you.
[00:44:37.387 --> 00:44:39.849]  It's about the other innocent people going by.
[00:44:40.329 --> 00:44:44.812]   So get over yourself, even You get in your car, you must put on a seatbelt.
[00:44:44.852 --> 00:44:48.034]  Well, you're taking away my rights, and the government's telling me what to do.
[00:44:48.254 --> 00:44:48.774]  That's right!
[00:44:48.874 --> 00:44:50.395]  The government is telling you what to do.
[00:44:50.775 --> 00:44:54.898]  Shut up, be respectful of other people, and get a vaccine.
[00:44:54.818 --> 00:44:58.818]   Put on your seatbelts, stop at the red light, stop being selfish.
[00:44:58.818 --> 00:45:04.818]  [Music]
[00:45:04.818 --> 00:45:13.818]   In case you missed it, @DCHomecoming on Twitter sums up the latest horror story of our time.
[00:45:14.028 --> 00:45:23.135]  A newborn baby boy named Alex was born in Washington State with a 95% survivable congenital heart defect.
[00:45:24.296 --> 00:45:27.999]  He was also anemic and he needed a blood transfusion.
[00:45:29.130 --> 00:45:39.458]  In 2021, little Alex's parents had a close friend die of a heart attack shortly after she received her COVID-19 vaccine.
[00:45:40.158 --> 00:45:49.765]  By all accounts, their friend was healthy, and her death caused alarm bells to go off about the safety of the mRNA vaccine.
[00:45:50.606 --> 00:45:58.596]  Because of this experience, they wanted to make sure that young baby Alex had unvaccinated blood for his transfusion.
