[00:00:00.169 --> 00:00:01.450]  Is the pandemic over?
[00:38:21.335 --> 00:38:24.997]  But in countries, the globalists don't fully control, like America.
[00:38:25.958 --> 00:38:31.225]   You can't have tyranny worldwide under the UN If you still have some free countries left.
[00:38:32.286 --> 00:38:34.868]  And so, folks, the UN really is taking over.
[00:38:34.908 --> 00:38:50.442]  Last Thursday, Facebook again testified in the Senate that they take orders not only from the Biden White House on what to censor, they send them a list of accounts every day and who to ban, but the UN also gives them orders.
[00:38:50.502 --> 00:39:04.580]   So we have this multinational, international, corporate front group, the UN, that has Openly come out, last June, through the Biden administration, they put out their new counter-terrorism U.S.
[00:39:04.620 --> 00:39:05.641]  government policy report.
[00:39:06.281 --> 00:39:07.922]  Nowhere was mentioned radical Islam.
[00:39:07.982 --> 00:39:09.363]  Nowhere was mentioned MS-13.
[00:39:09.764 --> 00:39:11.205]  Nowhere was mentioned human smuggling.
[00:39:11.525 --> 00:39:13.527]  Nowhere was mentioned the Russians or the Chinese.
[00:39:13.547 --> 00:39:15.808]  And that's really, it was infiltrated as a communist Chinese.
[00:39:16.269 --> 00:39:25.215]  It was all people that question elections, people that question lockdowns, open borders, or forced inoculations.
[00:39:25.776 --> 00:39:27.257]  And you can read the report for yourself.
[00:39:28.147 --> 00:39:44.729]   And since then they've had all their talking heads and Obama and Hillary and Biden and Kamala Harris and all these senators and congressmen, particularly the last month in a fever pitch ahead of the midterms, 52 days out, saying, Our opposition are terrorists.
[00:39:45.129 --> 00:39:46.990]  We have to kill the MAGA movement.
[00:39:47.230 --> 00:39:49.271]  We have to kill the Trump populist movement.
[00:39:49.291 --> 00:39:49.851]  These are quotes.
[00:39:50.512 --> 00:39:51.612]  We have to crush them.
[00:39:52.012 --> 00:39:52.833]  They're illegal.
[00:39:53.533 --> 00:40:10.122]  And then now, again, we learn Facebook is spying on all prominent conservatives and sending your private messages that are nonviolent to the FBI that has special political units set up a trillion times worse than anything Richard Nixon even imagined to do.
[00:40:11.022 --> 00:40:35.900]   And so this is a political One-party system that is hated, that is corrupt, that is insider trading, that is sold out of the shycoms, knowing the world's waking up, knowing America's waking up, trying to start wars as distractions, imploding in borders as distractions, and trying to then openly outlaw their political opposition and to create a uniparty, one-party state.
[00:40:35.980 --> 00:40:50.822]   So, I am predicting, and by exposing this they may not do it, but I am predicting they're going to false flag or provocateur Absolutely, incredibly violent acts, if not by the midterms, as an October surprise, I mean the next few weeks.
[00:40:52.504 --> 00:41:01.972]  But, sometime before the 2024 election, because they're telegraphing... Alright, ladies and gentlemen... He keeps going.
[00:41:02.412 --> 00:41:03.613]  The madman won't stop.
[00:41:03.472 --> 00:41:05.472]  There's more on the other side of this break.
[00:41:05.472 --> 00:41:07.873]  [static]
[00:41:07.873 --> 00:41:10.472]  [static]
[00:41:10.472 --> 00:41:13.472]  [music]
[00:41:13.472 --> 00:41:19.472]  [music]
[00:41:19.472 --> 00:41:25.472]   The rage for more than a decade have been concentrated green powders
[00:41:25.472 --> 00:41:30.472]   with wheatgrass and so many other ingredients that are known to make us healthy,
[00:41:30.472 --> 00:41:34.632]  to make us vibrant and to defend our immune systems.
[00:41:35.302 --> 00:41:41.444]  Now, over a year and a half ago, we came out with a product that was top-sourced, top of the line, as good as it's going to get.
[00:41:41.964 --> 00:41:45.286]  But then the supply chain broke down, and it was sold out for more than a year.
[00:41:45.666 --> 00:41:53.609]  Finally, green fiber capsules, this big old bottle, jam-packed, is back in stock for a limited time, and at FullWorksStore.com, 30% off.
[00:41:54.789 --> 00:41:58.809]   This limited time, we don't have time to go into all the great things it does or what
[00:41:58.809 --> 00:41:59.809]  it has inside.
[00:41:59.809 --> 00:42:04.909]   But go to Infowarsstore.com and look up green fiber capsules for yourself and see how amazing
[00:42:04.909 --> 00:42:05.909]  it is.
[00:42:05.909 --> 00:42:10.307]   And what's just as amazing is it funds the Info War and keeps us on air.
[00:42:10.307 --> 00:42:11.749]  We're all under globalist attack.
[00:42:11.749 --> 00:42:15.389]   They don't want you to have these essential nutrients that are in this product.
[00:42:15.389 --> 00:42:18.628]  Get yours today at 25% off at Infowarsstore.com.
[00:42:18.628 --> 00:42:19.628]  Now back in stock.
[00:42:19.628 --> 00:42:27.309]   We're going to pick up the Alex Jones speech from the TPUSA event on the other side of
[00:42:27.309 --> 00:42:28.548]  this segment.
[00:42:28.700 --> 00:42:31.183]  We've got about eight or so minutes left of it.
[00:42:31.763 --> 00:42:34.847]  So we're going to fill up the next segment with that now.
[00:42:36.228 --> 00:42:43.535]  Let me get into how we can stay on air because Alex is out this week.
[00:42:45.253 --> 00:42:46.234]  Hopefully just this week.
[00:42:46.354 --> 00:42:47.355]  Could go on to next week.
[00:42:47.595 --> 00:42:48.296]  We don't really know.
[00:42:49.196 --> 00:42:57.944]  Dealing with the most recent court battles and lawfare that we have to deal with here at InfoWars every day.
[00:42:58.004 --> 00:43:01.247]  So, he's in Connecticut dealing with court stuff.
[00:43:02.950 --> 00:43:22.431]  We may or may not be getting some reports, some updates on that from Alex before the end of the day, but stay tuned at InfoWars.com for the latest breaking news and updates there, and then as well on Banned.Video where we actually have a team of legal experts that have a channel there covering that trial exclusively at Banned.Video.
[00:43:27.369 --> 00:43:44.114]  People are starting to realize now, as the censorship expands and ramps up, and now the Biden White House actually just demanding and running the big tech censorship, demanding big tech platforms censor their opposition, and really running it at this point, that's how aggressive it's gotten.
[00:43:44.753 --> 00:43:48.433]   And of course, InfoWars was target number one to be shut down.
[00:43:48.433 --> 00:43:56.054]   And now they've moved on to their next plan of action, which is if the censorship off
[00:43:56.054 --> 00:44:03.272]   the internet doesn't work, then we'll go after you and destroy you in courtrooms where our
[00:44:03.272 --> 00:44:10.673]   judges and our lawyers are all there and our brainwashed minions in the jury.
[00:44:10.673 --> 00:44:13.074]  And so that's the process we're at.
[00:44:13.074 --> 00:44:19.313]  We don't have big billionaire donors, big corporate donors.
[00:44:19.239 --> 00:44:22.361]  We have you in the audience shopping at InfoWarsTore.com.
[00:44:22.721 --> 00:44:23.642]  And look at what you've done.
[00:44:23.682 --> 00:44:24.623]  Look at what you've built.
[00:44:25.763 --> 00:44:27.145]  It's amazing what you've built here.
[00:44:29.626 --> 00:44:39.534]  And I don't want to see this mothership that we've all built together get taken out of orbit and grounded and not in the InfoWar anymore.
[00:44:40.034 --> 00:44:42.476]  The battle for the soul, for the mind, for the hearts of America.
[00:44:44.175 --> 00:44:46.716]  And it's your support at Infowarsstore.com that keeps us on the air.
[00:44:47.176 --> 00:44:51.577]  The book sales for Alex's book have been huge.
[00:44:52.597 --> 00:44:54.238]  Top seller on Amazon.
[00:44:54.738 --> 00:44:59.960]  The New York Times best sellers list is trying to snub us from being on it, but we were the best seller.
[00:45:00.480 --> 00:45:03.060]  The Great Reset in the War for World by Alex Jones.
[00:45:03.080 --> 00:45:08.102]  You can get it at Infowarsstore.com or on Amazon if you want to help it stay on top of the charts.
[00:45:09.718 --> 00:45:16.920]  Of course, we sell the highest quality supplements as well at InfoWarsTore.com.
[00:45:19.561 --> 00:45:26.803]  Now, if you're like me, and a lot of people are like me, when there's a changing of the season, you start to get a little under the weather.
[00:45:26.843 --> 00:45:32.205]  In fact, if you listen to me often, you probably notice my voice sounds a little hoarse or raspy today.
[00:45:33.462 --> 00:45:34.903]  Got a little seasonal distress.
[00:45:35.704 --> 00:45:37.546]  So I've been upping my supplement intake.
[00:45:37.606 --> 00:45:38.527]  I feel great, by the way.
[00:45:38.567 --> 00:45:39.808]  It's just a little seasonal distress.
[00:45:41.430 --> 00:45:44.954]  But that's because I take the supplements at InfoWarsStore.com.
[00:45:44.994 --> 00:45:52.982]  If I wasn't taking all the supplements, I probably would be in a lot worse place today with headaches and congestion and a sore throat and raspiness.
[00:45:53.022 --> 00:45:57.046]  But really, I just got a little, just like a 1% problem and I'll be fine.
[00:45:58.035 --> 00:46:07.578]  And I truly believe that's because of the supplements I take at InfoWarsStore.com, including the Immune Support Super Combo, which is a three supplement pack.
[00:46:08.138 --> 00:46:10.479]  And we've been out of stock on these supplements.
[00:46:10.519 --> 00:46:14.140]  Now they're back in stock at a discounted rate, 50% off when you buy them in the pack.
[00:46:14.560 --> 00:46:19.862]  And that's the Vitamin D3 Gummies, that's the Vitamin C Plus Zinc, and the DNA Force Plus.
[00:46:20.022 --> 00:46:23.884]  That is the Super Immune Support Pack at InfoWarsStore.com, 50% off.
[00:46:26.259 --> 00:46:28.080]  50% off when you get that in the pack.
[00:46:28.841 --> 00:46:30.702]  And it just can't be said enough, folks.
[00:46:32.043 --> 00:46:42.148]  As we head into a new season, and as the weather starts to get a little colder, and the sun starts to be around a little less, getting your immune system ready for that is key.
[00:46:42.208 --> 00:46:44.169]  It's the Immunity Supercharger Combo Pack.
[00:46:44.430 --> 00:46:45.990]  50% off at InfoWareStore.com.
[00:46:46.070 --> 00:46:52.234]  And also, 10,000 of the Theodore Roosevelt Man in the Arena coins.
[00:46:52.354 --> 00:46:54.255]  Only 10,000 are minted.
[00:46:54.355 --> 00:46:55.496]  I'm not sure how many we've sold.
[00:46:56.732 --> 00:46:58.413]  But this is going to be a great collector's item.
[00:46:58.513 --> 00:47:05.817]  You can get it at Infowarsstore.com, and that will take you directly to 1776coin.com, where you can get your limited edition coin.
[00:47:06.778 --> 00:47:21.794]   All their talking heads, and Obama, and Hillary, and Biden, and Kamala Harris, and all these senators and congressmen, particularly the last month in a fever pitch ahead of the midterms, 52 days out, saying, Our opposition are terrorists.
[00:47:22.194 --> 00:47:24.055]  We have to kill the MAGA movement.
[00:47:24.295 --> 00:47:26.337]  We have to kill the Trump populist movement.
[00:47:26.357 --> 00:47:26.917]  These are quotes.
[00:47:27.577 --> 00:47:28.678]  We have to crush them.
[00:47:29.078 --> 00:47:29.899]  They're illegal.
[00:47:30.599 --> 00:47:47.189]  And then now, again, we learn Facebook is spying on all prominent conservatives and sending your private messages that are nonviolent to the FBI that has special political units set up a trillion times worse than anything Richard Nixon even imagined to do.
[00:47:48.090 --> 00:48:12.956]   And so this is a political One-party system that is hated, that is corrupt, that is insider trading, that is sold out to the shycoms, knowing the world's waking up, knowing America's waking up, trying to start wars as distractions, imploding in borders as distractions, and trying to then openly outlaw their political opposition and to create a uniparty, one-party state.
[00:48:13.037 --> 00:48:34.341]   So, I am predicting, and by exposing this they may not do it, but I am predicting they're going to false flag or provocateur Absolutely incredibly violent acts, if not by the midterms, as an October surprise, I mean the next few weeks, but sometime before the 2024 election.
[00:48:34.381 --> 00:48:38.525]  Because they're telegraphing it, they're saying Republicans are terrorists.
[00:48:38.565 --> 00:48:46.724]   We didn't burn down $2.3 billion of car dealerships and people's apartment homes.
[00:48:46.724 --> 00:48:50.164]   We didn't shoot a bunch of cops and shoot a bunch of innocent people, mostly peaceful
[00:48:50.164 --> 00:48:51.164]  demonstrators.
[00:48:51.164 --> 00:48:56.604]   So we're being branded as loyal, hardworking, good Americans as terrorists.
[00:48:56.604 --> 00:49:00.565]   The leftist media is saying white people inherently are bad and evil.
[00:49:00.565 --> 00:49:05.325]   They plan on trying to trigger a race war and a political war.
[00:49:05.325 --> 00:49:09.764]   And I know conservatives and populists and nationalists and America-firsters don't want
[00:49:10.700 --> 00:49:13.463]  We don't think the cops are our enemy, or an average FBI agent.
[00:49:13.723 --> 00:49:16.146]  We don't think car bombing a federal building is good, it's bad.
[00:49:16.646 --> 00:49:22.573]  So we have no motive, we wouldn't do it, but who has a motive and who is swinging from the chandeliers?
[00:49:23.337 --> 00:49:28.399]  Running around like chickens with their heads cut off saying we're about to blow stuff up or shoot people.
[00:49:28.879 --> 00:49:35.881]  That is them telling you what their desperate next move, their primal scream that Steve Bannon talked about.
[00:49:36.241 --> 00:49:39.382]  That's what their backs against the wall, their cornered rats.
[00:49:39.722 --> 00:49:42.764]  We're winning ideologically, culturally, economically, spiritually.
[00:49:43.005 --> 00:49:44.566]  The whole world's turning against globalism.
[00:49:44.866 --> 00:49:50.651]  They're electing to leadership positions all over Eastern Europe and in Canada and Australia and Latin America.
[00:49:50.991 --> 00:49:54.574]  Populist, anti-globalist, nationalist, Christian patriots.
[00:49:54.894 --> 00:50:01.659]  So they see the trend and their answer is outlaw their political opposition by staging terror attacks and blaming it on us.
[00:50:01.899 --> 00:50:05.502]  And that's what takes us back to 2002, 2003 and this whole process.
[00:50:07.133 --> 00:50:09.154]  So I want to re-emphasize what Alex just said.
[00:50:09.174 --> 00:50:11.935]  I wrote a whole piece for the great website revolver.news.
[00:50:11.995 --> 00:50:13.836]  I know a lot of you guys read revolver.news.
[00:50:14.116 --> 00:50:15.196]  They do a fabulous job.
[00:50:15.476 --> 00:50:21.579]  Which is, you cannot allow them to provoke you into doing something that you do not want to do that you would regret.
[00:50:21.639 --> 00:50:22.759]  We have to stay peaceful.
[00:50:22.779 --> 00:50:26.901]  They would love nothing more than to try to provoke the entire MAGA movement.
[00:50:26.961 --> 00:50:28.441]  Like, remember what James Lindsay said?
[00:50:28.761 --> 00:50:31.342]  Go right up to the inch before your face and you slap it away?
[00:50:31.362 --> 00:50:32.823]  It's very, very important.
[00:50:33.123 --> 00:50:39.188]  And Alex articulated how they might try to infiltrate groups, they might try to infiltrate chat rooms.
[00:50:39.288 --> 00:50:43.692]  We know this thanks to declassified FBI documents and DOJ documents.
[00:50:44.012 --> 00:50:45.933]  And they're almost warning in advance.
[00:50:46.013 --> 00:50:53.680]  And Alex, I said the same thing on our podcast, which is why do they all of a sudden out of anywhere say, well these people support political violence, domestic violent extremism.
[00:50:53.980 --> 00:50:57.863]  It's very strange how almost this drumbeat has come out of nowhere.
[00:50:57.883 --> 00:51:00.165]  They have to get that narrative in the zeitgeist.
[00:51:00.225 --> 00:51:05.248]   So I just want to re-emphasize, everyone watching at home, We remain peaceful, they lose.
[00:51:05.788 --> 00:51:07.809]  In fact, it's very important, okay?
[00:51:09.490 --> 00:51:10.410]  Charlie, you're totally right.
[00:51:11.090 --> 00:51:16.652]  Two weeks ago, I did three hours on this, literally screaming it to my millions of listeners and viewers.
[00:51:17.673 --> 00:51:19.393]  And it was a telltale sign.
[00:51:19.613 --> 00:51:24.115]  CNN, MSNBC, The Young Turks, and there was more than that, I couldn't watch it all.
[00:51:25.136 --> 00:51:28.497]  Dozens of programs said, Alex Jones calls for political violence.
[00:51:29.463 --> 00:51:33.327]  And then they would show video of me without audio, but never say what I said.
[00:51:33.807 --> 00:51:39.613]  So they were so upset by me saying, don't be violent, that they put out national reports saying I called for violence.
[00:51:39.974 --> 00:51:43.177]  These people are bottomless.
[00:51:43.657 --> 00:51:45.399]  They are willing to go to any length.
[00:51:45.459 --> 00:51:48.002]  And I'm telling you folks, I used to think that I knew how bad they were.
[00:51:48.462 --> 00:52:01.022]   Now that I've experienced this, At the level Trump's experienced it, they will create whole systems of lies where the story is so elaborate, so big, so crazy, you think, well, some of that's got to be true.
[00:52:01.282 --> 00:52:02.483]  No, they've created stories about me.
[00:52:02.523 --> 00:52:03.283]  I'm not being a victim.
[00:52:03.603 --> 00:52:05.664]  The viewers need to know and the audience needs to know.
[00:52:06.304 --> 00:52:09.426]  Folks, I'm telling you, they create stories about me where none of it's true.
[00:52:09.986 --> 00:52:23.352]  And they're whole complex narratives, whole complex things, and I'm like reading this or watching this, and I mean, you know, hour-long CNN specials, HBO specials, PBS specials, and I'm watching it and none of it is true.
[00:52:23.972 --> 00:52:24.373]  None of it.
[00:52:24.613 --> 00:52:29.518]  Normally you think, you know, they mix a lie in, you know, slip the poison in with a piece of candy.
[00:52:29.558 --> 00:52:29.959]  No, no, no.
[00:52:30.359 --> 00:52:32.201]  They have gone to the next level.
[00:52:32.422 --> 00:52:34.344]  We all wonder, well, everybody hates the mainstream media.
[00:52:34.624 --> 00:52:36.086]  People are waking up, they're turning against them.
[00:52:36.386 --> 00:52:36.986]  What will they do?
[00:52:37.007 --> 00:52:38.268]  Will they stop lying?
[00:52:38.969 --> 00:52:39.729]  And the answer is no.
[00:52:39.970 --> 00:52:42.633]  This new CNN ownership, they're not backing off.
[00:52:42.893 --> 00:52:44.635]  They're just getting less obvious about it.
[00:52:47.156 --> 00:52:48.698]  It's very clear.
[00:52:48.718 --> 00:52:49.859]  It's a whole system of lies.
[00:52:49.899 --> 00:52:50.420]  It's well said.
[00:52:50.460 --> 00:52:57.067]  For those of you watching at home, I'll just mention again, we have a Turning Point USA booklet for any, and a gift of any amount to Turning Point USA, tpusa.com.
[00:52:57.087 --> 00:52:57.888]  You guys can get this.
[00:52:58.248 --> 00:53:01.211]  And I want to secondly also plug Alex Jones' book, The Great Reset.
[00:53:01.572 --> 00:53:03.013]  It's fabulous for everyone watching at home.
[00:53:06.565 --> 00:53:08.387]  Alex, we have a couple minutes remaining here.
[00:53:08.427 --> 00:53:10.188]  I want to go through two remaining topics.
[00:53:10.568 --> 00:53:11.929]  Number one, transhumanism.
[00:53:12.330 --> 00:53:13.731]  Merging of man and machine.
[00:53:14.011 --> 00:53:15.352]  The media hates when you talk about it.
[00:53:15.372 --> 00:53:18.755]  And then finally, I want to finish with the last question of what can we do?
[00:53:18.775 --> 00:53:21.457]  Because I'm looking at the audience here and you're talking about this, Alex.
[00:53:21.497 --> 00:53:25.040]  I could just feel the kind of vibe of it's overwhelming.
[00:53:25.900 --> 00:53:36.469]  And so Alex, start with transhumanism, just do that really quick, and then tell the people, tell the audience, tell the millions at home, tell the grassroots, tell the citizens, what can be done to defeat the Great Reset.
[00:53:37.370 --> 00:53:38.291]  Beautifully said, Charlie.
[00:53:38.331 --> 00:53:39.072]  Thank you so much, sir.
[00:53:39.092 --> 00:53:44.476]  Look, they're cutting off our energy, they're coming after our freedoms, they're imploding our future.
[00:53:45.560 --> 00:53:49.742]  But once we wake up, they're the ones doing it on purpose and they can't pose as a savior.
[00:53:50.123 --> 00:53:52.264]  And once their great reset is known, it's game over.
[00:53:52.804 --> 00:53:55.866]  So their plan for us is poverty and implosion.
[00:53:55.886 --> 00:53:56.587]  You'll own nothing.
[00:53:56.867 --> 00:53:57.647]  You'll have nothing.
[00:53:58.127 --> 00:54:03.451]  Basically euthanasia, abortion, poison shots, and depopulation.
[00:54:04.111 --> 00:54:10.815]  That vision for themselves that we've seen from a lot of, not just Democrats, but Republicans as well, is I'm going to live forever.
[00:54:11.761 --> 00:54:19.205]  Man, the age of humans is over and we're going to merge with machines and it's going to be so beautiful and there'll be no humans by 2050.
[00:54:19.445 --> 00:54:20.825]  That's Yuval Harari.
[00:54:21.066 --> 00:54:23.507]  You'll either evolve and accept this or you'll die.
[00:54:24.827 --> 00:54:25.828]  That's their delusion.
[00:54:26.088 --> 00:54:28.909]  So their plan for us is death and tyranny.
[00:54:29.009 --> 00:54:29.590]  Tyranny and death.
[00:54:30.130 --> 00:54:33.271]  Their plan for themselves is immortality and they're going to be gods.
[00:54:33.632 --> 00:54:35.973]  That's the serpent in the garden.
[00:54:36.613 --> 00:54:38.434]  It's the same lie over and over again.
[00:54:38.454 --> 00:54:40.275]  So let me give the viewers and listeners the good news.
[00:54:41.522 --> 00:54:54.765]  I go out on the street, despite the fact that I'm attacked everywhere, and as an average citizen, which is a blessing, believe me, you don't want to be famous, even if you don't have to be, the average person goes out and doesn't know if people are awake, doesn't know if people are patriots, doesn't know if they're aware of the New World Order.
[00:54:55.326 --> 00:55:08.529]  Believe me, all the attacks, all the demonization, whether I am in Austin, Texas, or whether I'm in Florida, or whether I'm in New York, or whether I'm in Canada, or the UK, or whether I'm in Las Vegas, or LA, I am mobbed.
[00:55:10.514 --> 00:55:15.502]  99% positive, almost nothing negative, and they usually are violent and throw coffee on me and stuff like that.
[00:55:16.523 --> 00:55:18.907]  But the good news is, they are screwed.
[00:55:19.327 --> 00:55:23.173]  They have weird little leftist enclave areas in every city.
[00:55:24.185 --> 00:55:28.628]  And they have their own, you know, the universities they've taken over that Charlie's trying to liberate.
[00:55:29.148 --> 00:55:38.414]  But other than that, the corporate media, Martha's Vineyard, these elite areas they all hide in, the average person, black, white, Hispanic, Asian, old, young, gay, straight, they just want freedom.
[00:55:38.755 --> 00:55:39.495]  They just want a future.
[00:55:39.535 --> 00:55:40.256]  They just want justice.
[00:55:41.676 --> 00:55:45.599]  My book's number one in the world, thanks to all you patriots getting out to people, the great recent war of the world.
[00:55:45.699 --> 00:55:47.760]  People are waking up, and so don't get down.
[00:55:48.240 --> 00:55:49.701]  No, submission is death.
[00:55:50.262 --> 00:55:52.003]  Resistance is freedom and liberty in life.
[00:55:52.443 --> 00:55:53.804]  And so, it's like any fight.
[00:55:54.164 --> 00:55:57.667]  When I was growing up in school and some bully was going to beat me up after school because I dated his girlfriend.
[00:55:58.127 --> 00:56:00.927]   I went ahead and just didn't like it, but I went ahead and went out and met them.
[00:56:00.927 --> 00:56:04.127]   And as soon as fists started flying, I wasn't scared anymore.
[00:56:04.127 --> 00:56:06.127]  And most of the time they got, they went down.
[00:56:06.127 --> 00:56:09.806]  And so what I'm saying is, is that this is where we are.
[00:56:09.806 --> 00:56:11.726]  We were handed this fire of forebearers.
[00:56:11.726 --> 00:56:13.886]  We have this beautiful country, this beautiful planet.
[00:56:13.886 --> 00:56:19.247]  And Turning Point USA is the heart of the global resistance.
[00:56:19.423 --> 00:56:22.824]  America is the heart of the global resistance to tyranny.
[00:56:23.244 --> 00:56:27.907]  And so we have a real responsibility and an honor to be alive now and to be involved.
[00:56:27.947 --> 00:56:33.329]  And think of the billions of people crying out for freedom worldwide, crying out for God to save them.
[00:56:33.509 --> 00:56:35.590]  Well, God sends people to save people.
[00:56:35.910 --> 00:56:38.232]  God should do everything, but God loves free will.
[00:56:38.492 --> 00:56:40.212]  God's waiting for us to take action.
[00:56:40.613 --> 00:56:48.298]   And so I am so honored to be with this crowd of people and so honored to be with you because, listen, We are the tip of the spear, so don't be down, don't be overwhelmed.
[00:56:48.578 --> 00:56:51.861]  God won't give you anything you can't overcome through Christ Jesus.
[00:56:52.082 --> 00:56:54.504]  So God bless you all, and we're gonna win this in the end.
[00:56:54.684 --> 00:56:55.205]  We have to.
[00:56:55.225 --> 00:56:57.707]  One more time for Alex Jones, everybody.
[00:56:57.947 --> 00:56:59.109]  Alex, thank you so much.
[00:56:59.729 --> 00:57:00.150]  God bless.
[00:57:02.352 --> 00:57:06.296]  Alright, taking over and fulfilling the host duties now.
[00:57:07.600 --> 00:57:16.493]  And I think there's only one thing, obviously, there's only one thing that I should be talking about and obsessing over right now, and that's the Queen!
[00:57:16.833 --> 00:57:17.775]  And royalty!
[00:57:18.175 --> 00:57:22.402]  Because it's the 21st century and we still believe in royalty, yeah!
[00:57:23.473 --> 00:57:24.754]  Of course, I'm being facetious.
[00:57:25.655 --> 00:57:34.822]  Julian Odd1, that every morning now, for almost three weeks, I wake up, I turn my TV news on, and it's following the next Queen funeral!
[00:57:34.882 --> 00:57:35.863]  The next Queen funeral!
[00:57:36.523 --> 00:57:37.484]  30 funerals for the Queen!
[00:57:38.024 --> 00:57:44.670]  Only George Floyd could rival such a magnanimous departure from this planet.
[00:57:45.770 --> 00:57:46.671]  Ah, it's royalty!
[00:57:46.751 --> 00:57:49.213]  We still do royalty in this world, apparently.
[00:57:50.554 --> 00:57:51.435]  No, I think, um...
[00:57:52.512 --> 00:57:58.096]  I think the royals should decry royalty and this idea of a king and queen.
[00:57:58.156 --> 00:58:03.059]  Of course, they won't, but the obsession is weird, I gotta tell you.
[00:58:03.119 --> 00:58:05.060]  Not my culture, and I'm proud of that.
[00:58:07.002 --> 00:58:10.664]  However, we've got our own corrupt leadership.
[00:58:10.724 --> 00:58:25.458]   We've got a president acting like he wishes he was king, a Democrat party that acts like there are royalty in their New lust for power and domination of your life.
[00:58:25.538 --> 00:58:50.130]   Now, the regime face, the face of the regime, the puppet Joe Biden, gave a 60 Minutes interview that aired last night, which, surprisingly enough to me, it was candid And even the 60 Minutes host, Scott Pelley, asked some pretty good questions.
[00:58:50.210 --> 00:58:51.851]  Now, you know, he fluffed it up.
[00:58:51.911 --> 00:58:59.155]  He made sure that even though he was going to ask him a couple tough questions, he gave him a nice fluffy pillow and bed to rest in while he was answering it.
[00:58:59.655 --> 00:59:01.416]  He didn't press him too hard.
[00:59:02.477 --> 00:59:03.978]  But he did ask some serious questions.
[00:59:03.998 --> 00:59:05.339]  We're going to play some of those clips.
[00:59:07.042 --> 00:59:19.308]  Biden was more coherent than he typically is, but yet still the signs of dementia and whatever else he is going through with his broken brain were apparent.
[00:59:19.328 --> 00:59:25.612]  So let me get to some of the news headlines and then we'll play some of those clips from the 60 Minutes interview.
[00:59:28.273 --> 00:59:35.257]  Joe Biden says, people disapprove of me because they are psychologically unable to be happy.
[00:59:36.969 --> 00:59:39.210]  This is projection.
[00:59:41.270 --> 00:59:50.453]  Now, what motivates Joe Biden to say something like that is odd because you wouldn't think that he's projecting.
[00:59:50.553 --> 00:59:54.675]  This is a guy who spent 50% of his presidency on vacation.
[00:59:56.975 --> 01:00:04.358]  This is a guy who, as soon as his wife was deceased, had a much younger woman in bed ready to marry him again.
[01:00:06.786 --> 01:00:14.310]  This is a man who goes to his beachfront mansion every weekend on your taxpayer dollar?
[01:00:16.971 --> 01:00:22.214]  So, is it Biden that is projecting that he is unable to be happy?
[01:00:24.095 --> 01:00:34.541]  Or is he just understanding the modern-day Democrat-Liberal mindset of misery loves company and that's who he's really addressing here?
[01:00:36.121 --> 01:00:48.485]  Because to me, while conservatives and Republicans or like-minded people are frustrated with the way things are going, I don't see us unable to be happy.
[01:00:48.545 --> 01:00:50.626]  I don't think we're psychologically unable to be happy.
[01:00:50.686 --> 01:00:55.188]  I don't witness that at conservative events, Trump events, or when I have events.
[01:00:56.263 --> 01:01:09.167]  Or hell, even here on air on the Alex Jones Show or the War Room or the American Journal with Harrison Smith when we're covering some of the most serious news, we've got plenty of time to be happy and jovial and crack jokes and laugh and have a smile.
[01:01:10.227 --> 01:01:15.169]  So who is Joe Biden really talking about when he says people are psychologically unable to be happy?
[01:01:16.223 --> 01:01:17.064]  I think it's pretty obvious.
[01:01:17.084 --> 01:01:32.633]  I think that's your modern day average liberal progressive democrat who finds misery in everything, and the only time they find any enjoyment in life is when they're telling you what to do, or censoring you, or shutting down your business, or abusing your children.
[01:01:34.034 --> 01:01:44.120]  And then, when they're denied access to those sordid activities, that's when they start to lash out and get angry.
[01:01:45.131 --> 01:01:46.211]  They need to control you.
[01:01:47.692 --> 01:02:01.815]  And that's the biggest grab here that people need to understand whether you're, whether you see yourself on the left side of the political spectrum or the right side of the political spectrum.
[01:02:02.355 --> 01:02:06.416]  It's very, very important we understand what each side really represents.
[01:02:07.556 --> 01:02:10.917]  And I like to start off with this as kind of the launching pad.
[01:02:12.677 --> 01:02:21.127]  Just hypothetically speaking, let's say that the country decided to divide into two countries and have a Republican country and a Democrat country.
[01:02:22.328 --> 01:02:25.692]  Now, let's just pretend that this is a situation.
[01:02:26.293 --> 01:02:28.876]  Well, why wouldn't that work out?
[01:02:30.658 --> 01:02:39.447]   In the current political climate, My guess is you could ask, let's say, let's say you ask a hundred people that identifies Democrat or Republican.
[01:02:39.927 --> 01:02:48.315]  My guess is 90% of Republicans would say yes, they'd be down for a country split at this point because they want nothing to do with Democrat Party leadership.
[01:02:50.237 --> 01:03:03.314]   But despite All of the crying and moaning and whining and attacks and lies against Republicans that Democrats say, I bet if you asked Democrats about splitting the country, only 10% of them would say it's a good thing.
[01:03:03.575 --> 01:03:05.576]  Now why would you have that difference?
[01:03:08.078 --> 01:03:17.166]  Why would you have a situation, I mean, or you could assume that Democrats would like to see the country separated and they would say, okay, we'll have Democrat run America and Republican run America.
[01:03:18.387 --> 01:03:19.548]  But Democrats don't want that.
[01:03:19.828 --> 01:03:20.149]  Why?
[01:03:21.471 --> 01:03:25.107]  Why wouldn't the American left be in agreement with something like that?
