[00:00:01.340 --> 00:00:03.661]  Put the U.S.
[00:37:14.530 --> 00:37:15.130]  The body cams.
[00:37:16.889 --> 00:37:22.918]  And the judge just goes, well, you are the government, so I'm just going to believe this.
[00:37:23.079 --> 00:37:23.479]  Sorry.
[00:37:25.082 --> 00:37:25.923]  The charges go forward.
[00:37:25.943 --> 00:37:27.525]  We're like, it's not true.
[00:37:27.806 --> 00:37:29.068]  The judge goes, I'm not looking.
[00:37:29.128 --> 00:37:29.689]  It's the government.
[00:37:32.418 --> 00:37:41.746]  That is a message, ladies and gentlemen, that we will do anything we want to you and there's nothing you're going to do about it.
[00:37:42.006 --> 00:37:43.588]  Hey, message received!
[00:37:44.068 --> 00:37:47.972]  And you're having pedophile time at the schools and Satan hour now, too!
[00:37:48.312 --> 00:37:50.654]  We, we, we, oh, we definitely get it!
[00:37:52.324 --> 00:37:53.344]  And why are they doing this?
[00:37:54.104 --> 00:38:00.106]  Because they're behavioral psychologists that never get in trouble, that have got away with anything, and they sit around and they go, how do we make them blow stuff up?
[00:38:00.406 --> 00:38:01.346]  How do we make them rebel?
[00:38:01.626 --> 00:38:02.626]  How do we make them go crazy?
[00:38:02.906 --> 00:38:05.507]  Well, let's have Satan time now at school.
[00:38:05.527 --> 00:38:06.767]  They won't do drag queen story time.
[00:38:06.967 --> 00:38:07.847]  How about Satan time?
[00:38:08.147 --> 00:38:09.868]  Or how about we totally implode the border?
[00:38:10.408 --> 00:38:19.990]  It just goes on and on, trying to get us to uprise, because that will collapse the country.
[00:38:21.883 --> 00:38:35.510]  And this is a multinational plan to end America and the Western world as we know it because everybody aspired to be a Westerner and to have a house and a car and to go to college and to be free and the Christian ethos and love everybody, true liberalism.
[00:38:35.810 --> 00:38:39.492]  That's all got to go under the New World Order.
[00:38:39.572 --> 00:38:41.533]  That's why they have sold in Target.
[00:38:41.593 --> 00:38:44.475]  I heard about this last year but went and I was in Target, went to the book, it was there.
[00:38:45.492 --> 00:38:52.554]  They had a bunch of pedophile books and a bunch of how to summon demons and how to kill your parents and they don't do what you want.
[00:38:53.974 --> 00:38:58.076]  This is just how to scramble children's brains and that's sold in Target!
[00:38:58.896 --> 00:39:02.397]  Targeting 6 to 10 year olds, how to summon demons.
[00:39:04.958 --> 00:39:07.818]  I'll tell you how to summon a demon, turn on the television, look at Nancy Pelosi.
[00:39:10.279 --> 00:39:13.060]  So, this is it ladies and gentlemen, this is the big one.
[00:39:16.946 --> 00:39:22.287]  And I'll get to it at the start of the next hour, this Tucker Carlson piece, which he illustrates so well.
[00:39:22.327 --> 00:39:30.909]  But it's on record that the Justice Department, he focuses on one school district, but the Justice Department sent out letters all over, and the White House did, saying, oh, tell us they're terrorists.
[00:39:30.949 --> 00:39:32.409]  We want you to call them terrorists.
[00:39:32.609 --> 00:39:44.231]  Because, you know, the Justice Department doesn't want to come out itself and say, hey, our new enemies, parents that don't want Satan hour or pedophile hour or critical race theory, whites are inherently evil, just garbage.
[00:39:45.695 --> 00:39:47.456]  Beyond garbage, I mean the worst stuff!
[00:39:49.056 --> 00:39:53.077]  And then, we want you to call for the FBI to go after the school boards.
[00:39:54.998 --> 00:39:56.899]  You think that just sounds like a way to turn people against them?
[00:39:56.939 --> 00:39:57.099]  No.
[00:39:57.659 --> 00:40:13.904]  If we'll accept drag queen pedophile story time, and if we'll accept Satan time, and conjuring demons with the local Satan priest comes with your children, if you'll accept all of this, then you'll accept the power being turned off, you'll accept the inflation, you'll accept it all.
[00:40:14.784 --> 00:40:18.727]  Because if they can get you to go against God and go against children, everything else follows.
[00:40:21.069 --> 00:40:25.893]  They just need you to go against God.
[00:40:26.714 --> 00:40:27.455]  And then they've got you.
[00:40:27.615 --> 00:40:33.360]  You know, the allegory of Pinocchio, and he's not really a real boy.
[00:40:33.400 --> 00:40:34.360]  It's an allegory of humans.
[00:40:34.380 --> 00:40:35.802]  Like, we could be with God.
[00:40:35.862 --> 00:40:36.842]  We could be next level.
[00:40:37.243 --> 00:40:38.724]  We are creating the image of God.
[00:40:38.764 --> 00:40:40.966]  We can literally ascend and be with God.
[00:40:42.077 --> 00:40:44.158]  But we're wooden right now.
[00:40:44.598 --> 00:40:45.818]  We're here in the third dimension.
[00:40:46.578 --> 00:40:52.640]  Love built us, you know, Geppetto and, you know, the cat and all the rest of them.
[00:40:53.140 --> 00:40:54.160]  They want a son.
[00:40:54.200 --> 00:40:55.020]  They want a brother.
[00:40:55.080 --> 00:40:55.940]  They want a friend.
[00:40:57.561 --> 00:40:59.021]  And so it's true.
[00:40:59.041 --> 00:41:00.562]  You don't just have children by having children.
[00:41:00.762 --> 00:41:03.002]  You have children by loving all children and helping all children.
[00:41:03.442 --> 00:41:10.104]  And so Pinocchio goes and gets picked up by thugs and they run a scam on him and then he gets sold into slavery.
[00:41:11.656 --> 00:41:15.957]  With the local gypsy, you know, there of the wooden boy that could dance.
[00:41:16.037 --> 00:41:20.819]  And then he gets away again and the same scammers show up, the same cool delinquent kids.
[00:41:20.839 --> 00:41:28.541]  And they go, hey, let's go out here and break bottles and play pool and gamble and fight, you know, an allegory of street thuggery and gangs.
[00:41:29.581 --> 00:41:36.141]   And then you turn into a jackass, a slave, to be put on a ship and to be sold to a coal mine.
[00:41:36.141 --> 00:41:42.780]  And what are they telling you in Disney?
[00:41:42.897 --> 00:41:43.718]  It's the state.
[00:41:44.319 --> 00:41:46.662]  It's the system that wants you to be a criminal.
[00:41:47.143 --> 00:41:50.327]  They want you to go out and not be legitimate and build your own family and system.
[00:41:50.527 --> 00:41:54.772]  They want to set you up looking for father figures by taking your mothers away when you're little.
[00:41:55.934 --> 00:41:57.616]  Taking your fathers away when you're little.
[00:41:58.320 --> 00:42:04.006]  And having the TV and the culture raise you, so you're looking at that father figure, and the father figure's like, yeah, come on in!
[00:42:04.306 --> 00:42:05.347]  Let's have fun!
[00:42:05.607 --> 00:42:06.408]  Let's break things!
[00:42:06.428 --> 00:42:07.249]  Let's steal!
[00:42:07.289 --> 00:42:08.170]  Let's learn how to rob!
[00:42:08.190 --> 00:42:08.871]  Let's be criminals!
[00:42:09.231 --> 00:42:11.233]  And now, your humanity's over.
[00:42:11.473 --> 00:42:16.638]  You're turning into an animal, and you're loaded on a slave ship to be taken to an offshore coal mine.
[00:42:18.520 --> 00:42:26.935]   So, a film from 70 years ago, Is the allegory of everything we're dealing with now.
[00:42:27.315 --> 00:42:31.796]  And now, the literal Satanists are in your school in their clown outfits.
[00:42:33.097 --> 00:42:33.877]  Hit the clown.
[00:42:34.397 --> 00:42:34.837]  I'm here.
[00:42:34.897 --> 00:42:36.558]  The kid's totally creeped out and scared.
[00:42:37.478 --> 00:42:37.838]  Look at him.
[00:42:38.178 --> 00:42:43.199]  Learning to be touched and having first event horizon with something this dangerous.
[00:42:43.439 --> 00:42:49.041]  Because if we couldn't kill you before you were born, now we're going to fetishize ruining who you are now that you live here.
[00:42:51.741 --> 00:42:54.904]  And then inducting you into this satanic slavery.
[00:42:58.026 --> 00:43:01.009]  Then go to the part in Pinocchio where they turn into donkeys.
[00:43:02.710 --> 00:43:04.111]  So, that's what this all is.
[00:43:04.852 --> 00:43:07.274]  And you know, it's fitting, the Democrats are the party of the donkeys.
[00:43:07.294 --> 00:43:17.042]  You know, I saw a t-shirt just today at a gas station, and it said, you know, I've not seen the Democrats this angry, it's Abe Lincoln saying it, since we took their slaves away.
[00:43:17.062 --> 00:43:20.925]  I mean, seriously folks, they want slaves.
[00:43:22.031 --> 00:43:23.272]  And children make good slaves.
[00:43:24.013 --> 00:43:24.794]  It's very, very simple.
[00:43:25.094 --> 00:43:28.538]  We'll be right back with our number two, InfoWars.com.
[00:43:28.818 --> 00:43:29.519]  Share that link.
[00:43:30.099 --> 00:43:31.441]  Joshua in Texas.
[00:43:31.501 --> 00:43:32.982]  Joshua, you're on the InfoWars War Room.
[00:43:33.022 --> 00:43:33.343]  Go ahead.
[00:43:33.583 --> 00:43:34.224]  Right on, man.
[00:43:34.264 --> 00:43:39.029]  You guys talk about the New World Order a lot, and my dad was the first to expose it.
[00:43:39.129 --> 00:43:41.611]  I have been banned from banned.video.
[00:43:41.972 --> 00:43:50.541]   First of all, I wrote down, That Randall Wilhite, Alex Jones' lawyer, went on record saying that Alex is a showman and just playing a character.
[00:43:50.561 --> 00:43:58.170]  The second time I got banned, I said that Mark Randazza is a lawyer for the Church of Satan and now your First Amendment lawyer.
[00:43:58.430 --> 00:44:06.817]  Next time I got banned is that I proved that you guys sell your products on Amazon, giving Jeff Bezos a cut of your profit.
[00:44:06.957 --> 00:44:10.120]  They say you guys have to sign a non-disclosure agreement.
[00:44:10.200 --> 00:44:11.120]  All the employees.
[00:44:11.160 --> 00:44:14.163]  So Alex actually bans your free speech.
[00:44:14.483 --> 00:44:19.607]  You can't get Patriot Points on Amazon!
[00:44:19.767 --> 00:44:22.750]  Hey, Dr. Troll, I have 5,000 Patriot Points!
[00:44:23.110 --> 00:44:25.131]  How many do you have, Josh the Troll?
[00:44:25.552 --> 00:44:26.372]  Josh the Troll!
[00:44:26.753 --> 00:44:28.294]  You need some garba-chill!
[00:44:28.674 --> 00:44:29.634]  Josh the Troll!
[00:44:30.795 --> 00:44:32.696]  So you want to know why Bill Gates is so happy?
[00:44:34.718 --> 00:44:38.840]  He's one of the biggest eugenicists in history, folks.
[00:44:40.522 --> 00:44:44.164]  I think it's a fair estimate to say he has tens of billions worldwide for eugenics.
[00:44:44.204 --> 00:44:48.147]  He's probably got more megadeaths under his belt than Adolf A. Louis Hitler.
[00:44:48.907 --> 00:44:51.349]  I don't think he has Mao championed yet.
[00:44:52.118 --> 00:44:53.118]  But he'll get there.
[00:44:53.118 --> 00:45:10.778]   It's hard for me to imagine that there are hundreds of thousands of people conservatively, sociologists
[00:45:10.778 --> 00:45:23.118]   and psychologists and criminologists predict [BLANK_AUDIO]
[00:45:16.535 --> 00:45:22.055]   bare minimum in the world hundreds of thousands probably more that enjoy
[00:45:22.055 --> 00:45:27.775]   kidnapping little children and torturing them to death for weeks and killing them
[00:45:27.775 --> 00:45:41.734]   that is hard for me to imagine that there are people who enjoy torturing
[00:45:41.734 --> 00:46:06.275]   innocent people to death But just because that is 180 degrees alien from what most of us believe in, in what most of us love, in what most of us like, in what most of our tastes are, nevertheless, those individuals are amongst us.
[00:46:11.016 --> 00:46:12.997]  And there's different debates on it.
[00:46:14.062 --> 00:46:16.182]  Different psychological reports have been done on it.
[00:46:16.262 --> 00:46:17.963]  Some quackery, some quite accurate.
[00:46:19.703 --> 00:46:24.284]  Some estimates have as many as two psychopaths for every hundred people.
[00:46:27.224 --> 00:46:31.125]  Most of the studies show, on average, about one psychopath per every hundred people.
[00:46:33.686 --> 00:46:36.526]  And guess how many sociopaths there are for every hundred?
[00:46:38.226 --> 00:46:43.632]   Some gauges have 20% Being sociopaths.
[00:46:44.853 --> 00:46:47.674]  That is, they don't enjoy killing you, they just don't care if you die.
[00:46:47.834 --> 00:46:52.834]  See, a psychopath enjoys it and enjoys the power trip of it.
[00:46:52.834 --> 00:47:07.334]   And so what you had is psychopaths, high functioning psychopaths...
[00:47:07.334 --> 00:47:17.334]  [BLANK_AUDIO]
[00:47:09.736 --> 00:47:12.677]  In command of legions of sociopaths.
[00:47:15.239 --> 00:47:24.923]  The psychopaths also command legions of people that like to be enslaved and people that like to serve psychopaths.
[00:47:25.443 --> 00:47:26.824]  The whip-me-beat-me types.
[00:47:28.585 --> 00:47:35.585]   In fact, many of their most dangerous operatives are the chicken neck ghoul variety that I so love.
[00:47:35.585 --> 00:47:44.585]  And then of course they have the sadistic sadist.
[00:47:44.587 --> 00:47:45.728]  They have armies of them.
[00:47:45.748 --> 00:48:04.825]  And they operate, the virus of tyranny operates best in a fat and decadent, spoiled environment.
[00:48:05.805 --> 00:48:07.767]  And boy, isn't America the epitome of that?
[00:48:08.488 --> 00:48:09.509]  Fat, dumb, and happy.
[00:48:10.908 --> 00:48:16.790]  It's like rotten, stagnant water that you've pumped a thousand gallons of fresh sewage into.
[00:48:16.610 --> 00:48:31.809]   Oh, it's already full of bacteria and filth, but it's going to become pure cess sludge.
[00:48:31.809 --> 00:48:33.410]  Pure detritus.
[00:48:33.410 --> 00:48:35.410]  Well...
[00:48:34.616 --> 00:48:35.896]  Liquid E. coli.
[00:48:36.557 --> 00:48:37.377]  Liquid death.
[00:48:38.792 --> 00:48:57.553]  Only the New World Order would come up with an artificial sweetener that rots holes in your brains, kills your cells in mash, attacks every organ, attacks your pancreas, and is the defecation of genetically engineered E. coli bacteria.
[00:48:59.478 --> 00:49:01.559]  Only the New World Order would come up with that.
[00:49:01.579 --> 00:49:06.442]  Alright, that's just a few minutes from a clip that's now at Bandot Video.
[00:49:06.522 --> 00:49:09.643]  Alex Jones exposes Bill Gates as the psycho depopulation king.
[00:49:09.663 --> 00:49:14.046]  We're gonna come back and get to unbelievable news.
[00:49:14.146 --> 00:49:17.067]  I told you this yesterday and it's happened.
[00:49:19.448 --> 00:49:23.850]  The Democrats, Biden has now announced the plan to end the Republican Party officially.
[00:49:24.411 --> 00:49:24.831]  Told you!
[00:49:25.251 --> 00:49:26.652]  Here we are ladies and gentlemen.
[00:49:27.794 --> 00:49:29.815]  Biden says he has no idea.
[00:49:29.835 --> 00:49:30.475]  We got the clip.
[00:49:31.535 --> 00:49:35.897]  He has no idea if there will be a Republican Party in 2024.
[00:49:37.098 --> 00:49:37.638]  Wow!
[00:49:38.618 --> 00:49:40.999]  What was in yesterday's show headline, the sub-headline?
[00:49:41.399 --> 00:49:45.241]  Democrats plan to outlaw the Republican Party before 2024.
[00:49:47.671 --> 00:49:48.552]  And you're like, how do they do that?
[00:49:48.612 --> 00:49:55.660]  Well, they've announced the CIA and the Pentagon, and it's all official, are going to take on Trump supporters and Republicans.
[00:49:55.721 --> 00:50:01.928]  And even Mitch McConnell came out two days ago and said, I've never heard of a president saying the opposition party are terrorists.
[00:50:05.438 --> 00:50:06.099]  What did I just say?
[00:50:06.239 --> 00:50:12.724]  The end of American Republicans here, Dems announce new terrorism plan that outlaws all opposition, creates one party state.
[00:50:12.964 --> 00:50:14.125]  That's today's headline.
[00:50:14.566 --> 00:50:16.187]  I didn't know he said this last night.
[00:50:16.307 --> 00:50:17.308]  I just learned about this.
[00:50:19.390 --> 00:50:20.691]  Oh, that is yesterday's headline.
[00:50:20.711 --> 00:50:21.592]  So this is before he said it.
[00:50:22.092 --> 00:50:27.096]  The end of the American Republicans here, Dems announce new terrorism plan that outlaws all opposition, creates one party state.
[00:50:27.116 --> 00:50:36.772]   And I went on to say on the show, as you heard a bunch, that they're going to ban The Republican Party by saying it's a terror party.
[00:50:37.092 --> 00:50:38.093]  That's what Mr. McConnell talked about.
[00:50:39.014 --> 00:50:39.594]  Exactly.
[00:50:39.674 --> 00:50:49.442]  We need to get the men and women of this country that don't want to live in total slavery to understand that this is the takeover.
[00:50:51.103 --> 00:50:52.825]  The Democrats know they've lost control.
[00:50:52.885 --> 00:50:54.326]  They know they don't control blue states.
[00:50:54.586 --> 00:50:55.947]  Those are really Republican states.
[00:50:56.808 --> 00:50:58.249]  And again, I'm not saying Republicans are perfect.
[00:50:58.269 --> 00:51:00.511]  Just the Democrats are the party of the end of the nation.
[00:51:02.478 --> 00:51:03.558]  And so they've lost!
[00:51:04.059 --> 00:51:04.899]  It's over for them.
[00:51:04.939 --> 00:51:06.099]  I use the Terminator analogy.
[00:51:06.920 --> 00:51:08.280]  1980s movie, great plot, great movie.
[00:51:11.561 --> 00:51:15.903]  James Cameron, who's a depopulationist globalist, by the way, but that's a side issue.
[00:51:18.404 --> 00:51:19.044]  What does he say?
[00:51:22.666 --> 00:51:24.266]  What do you write in Terminator?
[00:51:25.166 --> 00:51:26.087]  Skynet's lost.
[00:51:27.048 --> 00:51:30.271]  Humans have taken back over and blown up the central command of the machines.
[00:51:30.951 --> 00:51:36.016]  Their only chance was to send back a Terminator to kill the leader of the resistance, John Connor, in the past.
[00:51:36.696 --> 00:51:38.618]  And that's literally where they're at right now.
[00:51:39.258 --> 00:51:40.500]  No one wants the New World Order.
[00:51:40.520 --> 00:51:41.640]  No one wants Bill Gates.
[00:51:41.761 --> 00:51:42.842]  No one wants Klaus Schwab.
[00:51:43.182 --> 00:51:46.104]  Nobody wants David Rockefeller's program.
[00:51:46.124 --> 00:51:47.586]  Nobody wants drag queen story time.
[00:51:47.846 --> 00:51:49.107]  Nobody wants Satan time.
[00:51:49.127 --> 00:51:50.488]  They're now having schools across the country.
[00:51:51.008 --> 00:51:51.869]  No one wants this.
[00:51:51.909 --> 00:51:52.650]  We don't like it.
[00:51:53.464 --> 00:51:56.265]  We don't like 5G, we don't like GMO, we don't like the New World Order.
[00:51:56.645 --> 00:51:58.126]  And so their answer is, oh really?
[00:52:01.067 --> 00:52:05.489]  We'll just start a civil war that we run ourselves and blow everything up and turn the power off.
[00:52:06.789 --> 00:52:12.732]  Oh, the cyber terrorists are about to turn everybody's power off and within a month most people will die.
[00:52:12.752 --> 00:52:15.193]  Oh gee, better let us run things.
[00:52:15.253 --> 00:52:17.234]  I mean, they've got a gun to our head.
[00:52:19.014 --> 00:52:20.655]  We're like a battered woman trying to leave the house.
[00:52:20.695 --> 00:52:21.415]  He's got a knife to us.
[00:52:21.835 --> 00:52:23.076]  Don't you leave, I'll slit your throat!
[00:52:25.043 --> 00:52:26.005]  See how that works for you.
[00:52:26.185 --> 00:52:30.431]  And this is always the threat continuum and the force continuum of corrupt establishments.
[00:52:32.639 --> 00:52:44.101]  They always take over with surveillance and authoritarianism and payoffs and then that doesn't work so they start oppressing and they start killing people and they start doing all... and it gets worse and worse and finally they just go, just kill everybody!
[00:52:44.141 --> 00:52:44.841]  Just kill them!
[00:52:44.922 --> 00:52:45.342]  Kill them!
[00:52:45.442 --> 00:52:45.762]  Kill them!
[00:52:46.202 --> 00:52:52.123]  And that's what Zbigniew Brzezinski said a couple years before he died in a CFR meeting he did in Canada.
[00:52:52.483 --> 00:52:57.124]  He said on TV, he said, it's cheaper just to kill everybody than convince them anymore and we should do that.
[00:53:00.725 --> 00:53:01.465]  And now they're doing it.
[00:53:02.620 --> 00:53:06.901]  He had Memorandum 200 back in the White House with Henry Kissinger.
[00:53:07.341 --> 00:53:08.602]  He continued Memorandum 200.
[00:53:09.462 --> 00:53:10.202]  State Department Memorandum 200.
[00:53:10.362 --> 00:53:12.963]  Just, by the way, anything I say, you just look up, you know.
[00:53:13.663 --> 00:53:19.225]  But I'd save all these documents, you know, in the future, which is now, they're basically taking everything down we cover.
[00:53:20.065 --> 00:53:21.426]  So you can't go look it up for yourself.
[00:53:23.006 --> 00:53:28.688]  So they got an eye on you, not because you got something to hide, but because they don't want to compete with you.
[00:53:29.477 --> 00:53:30.497]  They don't want to look at you.
[00:53:30.937 --> 00:53:32.058]  They want you dead.
[00:53:32.138 --> 00:53:33.438]  That makes them feel good.
[00:53:34.458 --> 00:53:37.419]  More poisoned children, more deaths, more everything horrible.
[00:53:37.959 --> 00:53:40.940]  Dystopia is what they want because they're unhappy evil Satanists.
[00:53:41.400 --> 00:53:45.801]  They joined the wrong team and then everything that comes out of them is an extrapolation of that.
[00:53:47.542 --> 00:53:49.022]  So here's Tucker Carlson last night.
[00:53:49.042 --> 00:53:51.083]  We'll play part of it now, part of it coming up in Man Cow.
[00:53:52.020 --> 00:53:53.421]  It's running for Governor of Illinois.
[00:53:53.461 --> 00:53:54.261]  He's going to pop in.
[00:53:54.802 --> 00:54:04.247]  We have an Oath Keeper that got out of Oath Keepers right before January 6th because he saw troubling signs of what was going on and the federal provocateur stuff that was happening.
[00:54:04.267 --> 00:54:11.392]  I'm not saying Stuart Rhodes is a Fed, but clearly Feds infiltrated and there was a lot of manipulation going on.
[00:54:11.632 --> 00:54:17.415]  So we've got a lot of big info on that coming up next hour and so much more today here.
[00:54:17.915 --> 00:54:20.437]  But let's go ahead and go to the war on our children.
[00:54:21.986 --> 00:54:31.350]  And then I've got a big list of things here dealing with the new announcement of the domestic war on the American people.
[00:54:32.370 --> 00:54:39.473]  Like, people are like, whoa, the Cold War, you know, the Soviets are bad, but this is kind of a dangerous buildup of military-industrial complex to counter them.
[00:54:39.493 --> 00:54:40.333]  It could be used against us.
[00:54:40.794 --> 00:54:42.634]  That was 1961 in January.
[00:54:44.195 --> 00:54:46.896]  Outgoing president, Dwight D. Eisenhower.
[00:54:47.436 --> 00:54:49.057]  And now, here we are.
[00:54:51.156 --> 00:54:57.878]  60 plus years later, 61 years later, and it happened.
[00:54:58.518 --> 00:54:59.218]  Oh wow, really?
[00:54:59.238 --> 00:55:06.660]  Yeah, just like third world countries, you get a big giant bureaucracy and intelligence agency, they don't just take over, they don't just want money, they get on power trips.
[00:55:08.040 --> 00:55:10.721]  And remember, a bunch of them are Satanists.
[00:55:11.856 --> 00:55:13.356]  and pedophiles.
[00:55:13.356 --> 00:55:17.775]   'Cause if you wanna be a pedophile, you gotta hire IQ, you go join things like that,
[00:55:17.775 --> 00:55:22.635]   where the institution isn't gonna wanna get caught doing that, and it's gonna cover it up.
[00:55:22.635 --> 00:55:26.516]   And as soon as they cover it up, well now they create a safe space for the criminals,
[00:55:26.516 --> 00:55:30.575]   and they start hollowing things out, and they start taking over,
[00:55:30.575 --> 00:55:36.956]   to the point now where again, they file court stuff against my co-host, Owen Schroeder,
[00:55:36.956 --> 00:55:40.575]   saying he attacked inside the Capitol, doesn't work for Infowars.
[00:55:40.456 --> 00:55:42.358]  They told the federal judge, he's lying, your honor.
[00:55:42.718 --> 00:55:44.179]  He wasn't with Alex Jones trying to stop it.
[00:55:44.219 --> 00:55:45.040]  He doesn't work there.
[00:55:46.101 --> 00:55:47.141]  Those weren't his security.
[00:55:48.082 --> 00:55:48.783]  No, he's a liar.
[00:55:50.584 --> 00:55:52.726]  Well, they know that judge is in their pocket, obviously.
[00:55:52.766 --> 00:55:54.788]  I mean, because you can go look that up and see it's a lie.
[00:55:54.968 --> 00:55:56.229]  We had his exhibits, the video.
[00:55:56.529 --> 00:55:58.511]  Again, this isn't about Owen or Alex Jones.
[00:55:58.771 --> 00:56:02.534]  I mean, sure, they're coming after us because we're trying to defend everybody.
[00:56:03.160 --> 00:56:03.760]  We're warriors.
[00:56:03.880 --> 00:56:04.381]  We're up front.
[00:56:04.401 --> 00:56:05.161]  We're just being men.
[00:56:05.401 --> 00:56:06.242]  We're like throwbacks.
[00:56:06.262 --> 00:56:07.382]  We're like men stood up to evil.
[00:56:07.402 --> 00:56:08.323]  Like, whoa, this is bad.
[00:56:08.363 --> 00:56:09.644]  I'm supposed to do something here.
[00:56:11.685 --> 00:56:12.585]  And that's why we're virile.
[00:56:12.685 --> 00:56:14.446]  Everybody can see it because that's what humans are.
[00:56:15.567 --> 00:56:18.289]  The stuff they've been doing to the water didn't completely work on us.
[00:56:20.470 --> 00:56:20.630]  So...
[00:56:24.346 --> 00:56:25.126]  Think about that.
[00:56:25.987 --> 00:56:32.669]  And let that sink in, that they will put in federal filings, people that, they're even putting people in filings that weren't even in D.C.
[00:56:32.969 --> 00:56:39.852]  They're putting people in filings, they said, out of boats attacking the Potomac, and they don't even have a boat and weren't in the, they don't care.
[00:56:39.872 --> 00:56:41.353]  You're like, well that's sloppy.
[00:56:41.393 --> 00:56:42.193]  No, it's not sloppy.
[00:56:42.753 --> 00:56:44.054]  They say, let's commit major crimes.
[00:56:45.680 --> 00:56:49.845]  Let's get these judges to sign on to stuff that's total lies, and we'll have them really corrupt.
[00:56:50.125 --> 00:56:57.734]  Just like, let's inject children with gene therapies that give them cancer and heart attacks, and then, instead, they've learned the average person will cover up, like, God, my kid had a heart attack.
[00:56:57.774 --> 00:56:58.915]  Well, I'm not gonna admit I did this.
[00:56:59.036 --> 00:57:00.978]  Oh, oh, I just, my kid had a heart attack.
[00:57:01.018 --> 00:57:05.283]  It's not from a shot, or, oh, oh, yeah, um... You see how they work?
[00:57:07.412 --> 00:57:13.536]  I mean, they've got this all figured out, except when you sell out your own species.
[00:57:14.336 --> 00:57:18.159]  And when you screw everybody else, it's like taking a dump in the pool.
[00:57:19.960 --> 00:57:21.681]  Pissing in the pool is bad enough, okay?
[00:57:23.382 --> 00:57:27.745]  But, imagine if you went to a public pool, and people didn't just decide to piss in it.
[00:57:29.566 --> 00:57:34.789]  So they gotta put way more chlorine in, and then it burns your eyes, and there's ammonia in there, and you're basically bathing in a urinal.
[00:57:37.586 --> 00:57:39.307]  And people started crapping in it.
[00:57:39.927 --> 00:57:42.189]  Well, one person craps, you get out of the pool.
[00:57:42.849 --> 00:57:44.030]  And that's what the New World Order is.
[00:57:44.070 --> 00:57:49.125]   They're all in the pool crapping, pretending like They're doing it to us.
[00:57:49.225 --> 00:57:54.610]  The FBI's like... And Nancy Pelosi's like... I mean, seriously.
[00:57:54.890 --> 00:57:56.692]  And then they're like, I don't know who did that.
[00:57:56.712 --> 00:58:01.235]  There's like crap floating everywhere, and it stinks, and they've ruined everything, and it's horrible.
[00:58:01.616 --> 00:58:03.978]  And then we're like lifeguards going, don't crap in the pool.
[00:58:03.998 --> 00:58:05.639]  They go, arrest that terrorist.
[00:58:06.220 --> 00:58:07.201]  That's a terrorist.
[00:58:07.681 --> 00:58:09.723]  They don't... No one's crapping in the pool.
[00:58:11.638 --> 00:58:12.559]  And that's the gaslighting.
[00:58:12.779 --> 00:58:16.022]  They got new articles out going, okay, the Pentagon is PSYOPing you.
[00:58:16.383 --> 00:58:18.705]  We did do mass formation psychosis.
[00:58:19.486 --> 00:58:20.167]  For your own good.
[00:58:20.287 --> 00:58:21.368]  Okay, fine, it's real.
[00:58:21.788 --> 00:58:23.850]  Last week it wasn't real, but it's real now.
[00:58:24.030 --> 00:58:24.691]  Look at these articles.
[00:58:25.152 --> 00:58:25.552]  It's real.
[00:58:26.032 --> 00:58:26.333]  It's good.
[00:58:26.393 --> 00:58:27.394]  Why don't you like it?
[00:58:30.993 --> 00:58:36.017]  I mean, Financial Times of London, PSYOPs are a crucial weapon in the war against disinformation.
[00:58:36.438 --> 00:58:40.541]  Thank God major military units are creating fear in the public for their own good.
[00:58:40.942 --> 00:58:42.663]  But if you say they're doing that, it doesn't exist.
[00:58:43.224 --> 00:58:44.865]  Now you live in Doublethink World.
[00:58:45.266 --> 00:58:46.707]  Now you're living in Winston Smith's 1984.
[00:58:48.228 --> 00:58:49.930]  Does anybody want to live in this?
[00:58:50.942 --> 00:58:52.463]  They're pooping in the pool.
[00:58:52.983 --> 00:58:57.026]  All right, the full report here on the Alex Jones Show is on InfoWars.com.
[00:58:57.066 --> 00:59:01.128]  It's about 14 minutes long, but I'm going to air in this little nine-minute segment a lot of it.
[00:59:02.169 --> 00:59:18.239]  We now know that the White House and Justice Department didn't just in Virginia, as Tucker covers, but other places, went out and said, hey, call them terrorists and ask us to counter the terrorist parents that don't want pedophiles teaching their kids or critical race theory that's basically like Hitler, but from the other perspective.
[00:59:19.378 --> 00:59:21.520]  With white people teaching that whites are inherently evil.
[00:59:21.820 --> 00:59:24.562]  I mean, this is just the nastiest stuff you do to destroy a country.
[00:59:24.942 --> 00:59:26.163]  This is the takedown of the nation.
[00:59:26.664 --> 00:59:31.768]  And he laid it all out last night and how it's all tied to the terrorism and branding Americans as the enemy.
[00:59:32.328 --> 00:59:40.634]  And the martial law that Biden's really already put us under with the vaccine mandates and recording everybody that hasn't taken the shot.
[00:59:40.715 --> 00:59:41.915]  That's in a secret database.
[00:59:41.935 --> 00:59:45.678]  I mean, this is all camps being built for those that haven't taken the shots.
[00:59:45.818 --> 00:59:54.728]   This is the imploding empire Looking at its citizens and saying, we can't loot third world countries anymore.
[00:59:54.968 --> 00:59:55.988]  We'll just loot them.
[00:59:56.248 --> 00:59:56.968]  Here's Tucker Carlson.
