[00:00:00.000 --> 00:00:03.359]  [MUSIC PLAYING]
[00:26:59.978 --> 00:27:07.734]  And if they don't identify it as the New World Order and globalism, it'll just be used to destabilize the country and the globals will come in and buy it up and put it in the dollar.
[00:27:09.124 --> 00:27:10.044]  And lower the standard of living.
[00:27:10.124 --> 00:27:16.907]  But, if they identify it as the New World Order, and put in a new government that's against the globalists, then they can dig out of it.
[00:27:17.487 --> 00:27:31.672]  But, in South Africa, and up in North Eastern Africa, in Kenya, and in Europe, Eastern, Western, all over the world, people are rioting because the food supply has been cut off, the energy prices are too high.
[00:27:33.132 --> 00:27:34.513]  From Italy, to Albania.
[00:27:35.947 --> 00:27:50.381]  From Canada to Mexico, the people are awake and are identifying what's happening, particularly the Dutch farmers who were told one-third of their cows must be slaughtered and they cannot do basic farming anymore because it's, quote, bad for the planet, which it's not.
[00:27:50.821 --> 00:27:55.186]  It's part of the plant destabilization, which the globalists believe will take you to your knees.
[00:27:55.846 --> 00:27:59.370]  But if you know it's them, it will take them to prison.
[00:28:01.431 --> 00:28:02.432]  Same thing in Panama.
[00:28:02.912 --> 00:28:13.560]  It's over a hundred countries right now have mass demonstrations against the supply chain breakdowns and against the starvation and energy cost, which we told you 30 months ago.
[00:28:13.580 --> 00:28:14.921]  30 plus months ago.
[00:28:15.161 --> 00:28:17.883]  How many months ago is January and February of 2020?
[00:28:18.303 --> 00:28:20.725]  I keep saying 30 months, but a few weeks ago I did the math.
[00:28:24.287 --> 00:28:24.988]  Yeah, 30 months ago.
[00:28:25.008 --> 00:28:25.348]  30 months ago.
[00:28:28.564 --> 00:28:32.926]  We told you exactly what would happen and showed you the economic numbers and now we're here.
[00:28:33.526 --> 00:28:34.826]  And we're telling you what's coming next.
[00:28:36.027 --> 00:28:37.107]  And what is the corporate answer?
[00:28:37.227 --> 00:28:37.947]  Censor people.
[00:28:38.307 --> 00:28:39.028]  Shut people down.
[00:28:39.288 --> 00:28:54.853]  And the fools that work for Silicon Valley and all of them think they'll be protected being part of something so monstrous as a global destabilization plan to collapse fossil fuels and regular agriculture and bring in their replacement when they don't have one because they're replacing you.
[00:28:55.393 --> 00:28:56.354]  You're non-essential.
[00:28:57.254 --> 00:29:02.076]  That 30-year-old clip of George Carlin saying they just want you dumb enough to do the paperwork and run the machines.
[00:29:02.416 --> 00:29:07.897]  They don't need you to do the paperwork and run the machines anymore because it's artificial intelligence.
[00:29:08.037 --> 00:29:08.818]  It's robots.
[00:29:09.078 --> 00:29:22.382]  And they've announced it in every damn establishment publication from The Economist to the Sunday Times of London to the Washington Post and the New York Times and the Wall Street Journal.
[00:29:23.715 --> 00:29:30.198]  They're announcing that we're collapsing this on purpose as part of a great new transition.
[00:29:30.518 --> 00:29:44.943]  Joe Biden, the puppet president, the placeholder for Obama's third administration, said on Friday, I played the clip on the Saturday show, he said, yeah, it's not Putin and that's not the gas stations.
[00:29:46.244 --> 00:29:47.324]  He got off the teleprompter.
[00:29:48.205 --> 00:29:51.426]  He said, it's a great transition.
[00:29:53.114 --> 00:30:00.599]  That we're part of, and so has the head of the Energy Department, the head of the Department of Commerce and Transportation, and all of them.
[00:30:00.619 --> 00:30:20.514]  So when you see the footage from Sri Lanka, and Peru, and Albania, and the Netherlands, they call it protest when they burn down buildings.
[00:30:24.943 --> 00:30:27.185]  Because they want the destabilization worldwide.
[00:30:27.845 --> 00:30:29.927]  But here in the heart of the empire, they don't.
[00:30:30.868 --> 00:30:31.308]  Not yet.
[00:30:31.428 --> 00:30:36.453]  They want to bring down the cities, bring down the police, bring down the... to bring in their control.
[00:30:37.734 --> 00:30:41.597]  But they don't want the actual revolution they control yet.
[00:30:43.939 --> 00:30:46.261]  So we've got to educate the public about the main players.
[00:30:46.281 --> 00:30:49.344]  And we've got to do it right now.
[00:30:50.044 --> 00:30:53.127]  But it's a very simple economic equation that's well known.
[00:30:54.685 --> 00:31:07.813]  If you go above 50% of the average family for food costs and energy, and in many of these countries it's 60-70%, you get total absolute bedlam.
[00:31:09.834 --> 00:31:25.615]   Which further destroys infrastructure, further destroys supply chain, further destroys confidence, and then there's the new world order Ready to swoop in with all the answers to all the problems.
[00:31:27.555 --> 00:31:45.820]  And then we have the paradox, the paradox of people that go along with this, the university professors, the bureaucrats, the talk show host, all of them, just believing in, you know, well, I'll take care of myself, I'll follow the talking points, and then I'll be protected down the road.
[00:31:46.120 --> 00:31:56.535]   When you're destroying The infrastructure and the economy and the due process and the chivalry that has protected everyone.
[00:31:57.396 --> 00:32:11.270]  I'm going to go to break and I'm going to come back with the depopulation announcements that have been made, big Trump news, big economy news, big COVID-19 new lockdown news, new you will eat bug news, new abortion fight news, and so much more.
[00:32:11.310 --> 00:32:12.712]  But I just want listeners to understand something.
[00:32:15.285 --> 00:32:16.787]  We have great products everybody needs.
[00:32:17.628 --> 00:32:19.991]  And if you buy those products now, we'll be able to stay on the air.
[00:32:20.973 --> 00:32:23.936]  But when I tell you, I look out a year from now, I don't think we'll be able to stay on air.
[00:32:24.697 --> 00:32:29.243]  I believe, on current trajectory, we may be able to change this, that things are so bad.
[00:32:30.441 --> 00:32:36.243]  That minus big donors keeping us on air, I don't know how we're going to do it, because believe me, you see the numbers.
[00:32:36.943 --> 00:32:40.184]  The takedown of the factories, the takedown of the infrastructure is insane.
[00:32:40.564 --> 00:32:45.426]  So get high quality supplements and products now while you still can at InfoWarsTore.com.
[00:32:46.386 --> 00:32:50.948]  This is the last day of the July 4th mega sale, but 75% off, that's below cost.
[00:32:51.368 --> 00:32:52.088]  Double page reports.
[00:32:52.108 --> 00:32:54.509]  We've got to clear all these great products out to fund ourselves.
[00:32:56.068 --> 00:33:00.068]   Rain Force Plus, Ultra 12, Vitamin E3 gummies, knockout sleep support, alpha power,
[00:33:00.068 --> 00:33:03.947]   Living Defense Plus, whole food multivitamin, pollen block, survival shield X2,
[00:33:03.947 --> 00:33:08.427]   Cross to Guard, ultimate fish roll, Vaso Beats, all up to 75% off with double pay-per-year
[00:33:08.427 --> 00:33:13.427]  points, infowarestore.com, or AAA-253-3139.
[00:33:13.427 --> 00:33:21.907]   And now all the storable foods and survival items and things are at one site, and that is preparetoday.com.
[00:33:21.907 --> 00:33:27.868]   High quality storable food, survival items, ready to ship now, you are insane if you don't do this.
[00:33:27.868 --> 00:33:30.827]  It supports us, and you beat inflation, and get prepared.
[00:33:30.827 --> 00:33:33.388]  Preparetoday.com, preparetoday.com.
[00:33:33.388 --> 00:33:37.528]  (upbeat music)
[00:33:37.528 --> 00:33:50.348]   Crashing through the lies and disinformation, we now take you live to the Central Texas Command Center
[00:33:50.348 --> 00:33:52.588]  and the heart of the resistance.
[00:33:52.752 --> 00:33:54.453]  It's Alex Jones.
[00:33:58.656 --> 00:34:03.358]  I am here to reveal my hidden talent, eating micro-livestock.
[00:34:03.518 --> 00:34:04.179]  Corn worms.
[00:34:04.899 --> 00:34:06.360]  They're still alive.
[00:34:10.342 --> 00:34:10.482]  Mmm.
[00:34:11.522 --> 00:34:12.043]  Extraordinary.
[00:34:13.067 --> 00:34:14.447]  Mmm!
[00:34:14.547 --> 00:34:15.388]  Very moist.
[00:34:15.688 --> 00:34:16.068]  Chewy.
[00:34:16.348 --> 00:34:20.009]  Can't quite describe the flavor, but... I need a little water.
[00:34:21.789 --> 00:34:24.189]  Let's try the second glass, shall we?
[00:34:25.650 --> 00:34:27.330]  Just a little side note.
[00:34:28.130 --> 00:34:31.351]  Two billion people in the world eat bugs, and I'm one of them.
[00:34:31.771 --> 00:34:32.551]  So here we go.
[00:34:32.571 --> 00:34:35.092]  Have some me worms.
[00:34:38.633 --> 00:34:40.553]  I'm telling you, I'd win Survivor.
[00:34:43.874 --> 00:34:45.755]  That is a frouchy taste.
[00:34:46.136 --> 00:34:46.876]  I'd recommend it.
[00:34:47.076 --> 00:34:49.218]  Here we have... Oh!
[00:34:50.379 --> 00:34:50.779]  Crickets!
[00:34:51.019 --> 00:34:51.720]  Oh, nothing.
[00:34:53.521 --> 00:34:53.621]  Oh!
[00:34:54.602 --> 00:34:54.922]  Awesome.
[00:34:56.403 --> 00:34:57.965]  Like nothing you've ever tasted.
[00:34:58.245 --> 00:35:03.209]  Like... a hairy... nut.
[00:35:04.690 --> 00:35:05.330]  Don't!
[00:35:06.091 --> 00:35:06.911]  Oh my gosh.
[00:35:07.452 --> 00:35:08.593]  A nut from the shell.
[00:35:10.839 --> 00:35:16.423]  And now for dessert, the fried grasshopper.
[00:35:16.523 --> 00:35:21.747]  These are amazing.
[00:35:22.968 --> 00:35:27.932]  These are exquisite grasshoppers.
[00:35:28.773 --> 00:35:31.275]  I recommend them to anyone.
[00:35:31.715 --> 00:35:35.038]  Thank you for spending so much time with me and watching me eat bugs.
[00:35:35.598 --> 00:35:37.740]  These are grasshopper kebabs.
[00:35:38.806 --> 00:35:40.467]  Teriyaki marinated.
[00:35:41.048 --> 00:35:41.868]  Quite delicious.
[00:35:42.048 --> 00:35:44.390]  I heartily encourage that you try one.
[00:35:44.670 --> 00:35:45.051]  Okay.
[00:35:45.291 --> 00:35:46.151]  Anna, do you want to try it?
[00:35:46.171 --> 00:35:46.912]  Do you want to try one?
[00:35:47.713 --> 00:35:48.993]  I am trying for everyone.
[00:35:49.394 --> 00:35:51.455]  You try it?
[00:35:52.296 --> 00:35:52.496]  Yes?
[00:35:53.317 --> 00:35:53.537]  No?
[00:35:53.837 --> 00:35:53.937]  Yes?
[00:35:53.957 --> 00:35:54.938]  You gotta have to.
[00:35:54.978 --> 00:35:55.798]  You gotta have to.
[00:35:55.898 --> 00:35:57.239]  I am going to try it.
[00:35:57.379 --> 00:35:57.760]  Alright.
[00:35:59.521 --> 00:36:00.322]  Go ahead.
[00:36:00.362 --> 00:36:00.542]  Cheers.
[00:36:00.582 --> 00:36:00.942]  You win.
[00:36:01.142 --> 00:36:03.142]  I did it already.
[00:36:03.142 --> 00:36:05.142]  [Cheering]
[00:36:05.142 --> 00:36:07.142]  [Cheering]
[00:36:07.142 --> 00:36:09.142]  Yes, Travis!
[00:36:09.142 --> 00:36:11.142]  It's alright, Travis!
[00:36:11.142 --> 00:36:13.142]  [Cheering]
[00:36:13.142 --> 00:36:15.142]  You know, I wouldn't serve it if it wasn't good.
[00:36:15.632 --> 00:36:16.892]  That's my motto.
[00:36:19.414 --> 00:36:25.558]  So, you know, also right here, if you have kids, you're always serving them ants on a log with raisins.
[00:36:25.738 --> 00:36:26.879]  Come on, really.
[00:36:26.899 --> 00:36:29.981]  These are ants on a log with ants.
[00:36:31.112 --> 00:36:32.673]  So these are actual ants?
[00:36:32.733 --> 00:36:34.414]  These are black ants from China.
[00:36:34.494 --> 00:36:37.956]  And you know, in China, they say that ants are medicinal.
[00:36:37.976 --> 00:36:38.597]  They sell what it is.
[00:36:38.677 --> 00:36:41.218]  And in China, they're executed by the disgrace of the government.
[00:36:41.599 --> 00:36:43.300]  And in China, they're still in lockdown.
[00:36:43.320 --> 00:36:45.181]  And in China, they're communists.
[00:36:46.582 --> 00:36:48.303]  And in China, they have a one-child policy.
[00:36:49.824 --> 00:36:52.726]  You can say, oh, this is just fear factor Joe Rogan 2.0.
[00:36:53.767 --> 00:36:56.688]  No, it's official UN Klaus Schwab dogma.
[00:36:57.229 --> 00:37:00.591]  You will eat some bugs, you will own nothing, you will have nothing, you will like it.
[00:37:03.618 --> 00:37:05.720]  They are teaching you that pedophilia is good.
[00:37:05.760 --> 00:37:08.101]  They're teaching you that euthanasia is good.
[00:37:08.141 --> 00:37:11.424]  They're teaching you that killing born babies is good.
[00:37:11.724 --> 00:37:17.688]  They're teaching you to put up with being run over and giving up your life force and your survival instinct.
[00:37:19.489 --> 00:37:30.997]  And everything we do here is about getting you to rediscover that life force and getting you to help others rediscover it and realizing we're being set up, we're being attacked.
[00:37:31.017 --> 00:37:33.099]  These are obviously the bad guys.
[00:37:34.980 --> 00:37:40.283]  You read further into their official battle plans, they talk about the post-human world.
[00:37:42.184 --> 00:37:44.206]  How they're ending civilization.
[00:37:44.246 --> 00:37:50.770]  And yeah, we're lazy, we're dumbed down, many of us, but the people running it help do it, and are the worst people on Earth.
[00:37:54.892 --> 00:37:57.354]  So the global meltdown is here, the global collapse is here.
[00:37:58.914 --> 00:38:03.095]  And the globalists thought they could do this, impose as the saviors, bring in their new system.
[00:38:03.495 --> 00:38:08.357]  But around the world, and I salute people fighting back peacefully, they're losing.
[00:38:08.557 --> 00:38:12.258]  And the population knows what they're facing.
[00:38:13.038 --> 00:38:27.803]  They want to have governments they control do bad policies, have us destroy our own governments, everything collapses, and then they come in with their new policies as the saviors that make things a hundred times worse.
[00:38:29.795 --> 00:38:39.281]  And remember, when they overthrow governments around the world and storm government buildings and attack politicians, our media says it's a peaceful protest.
[00:38:39.982 --> 00:38:42.143]  But when a million people show up in D.C.
[00:38:42.203 --> 00:38:47.607]  and 600, 700 go into the Capitol, most of them peaceful, waved in by police, it's worse than Pearl Harbor.
[00:38:47.687 --> 00:38:49.228]  It's worse than 9-11.
[00:38:49.328 --> 00:38:50.629]  They said that!
[00:38:54.071 --> 00:38:56.413]  That, ladies and gentlemen, is called brainwashing.
[00:38:57.894 --> 00:39:05.553]   That's called Saying don't believe your lying eyes, don't believe your smell, your taste, your touch, don't believe your five senses or your six senses.
[00:39:08.174 --> 00:39:09.214]  Go along with our fraud.
[00:39:11.435 --> 00:39:21.378]  Now I have one, two, three, four, five, six, seven, eight, nine, ten, eleven, twelve, thirteen, fourteen, fifteen stacks of news here.
[00:39:24.459 --> 00:39:27.120]  And I intend when we start the next hour to cover quite a bit of this.
[00:39:28.590 --> 00:39:30.471]  And what we know is going to come next.
[00:39:30.491 --> 00:39:32.172]  And we're going to do it.
[00:39:33.953 --> 00:39:49.410]   But at the end of the day, if we do not expose the fact that this is a world government, corporate ideology to destroy all their cultures, all their systems of unity, and to make us absolutely dependent and pathetic, So they can have their way with us.
[00:39:49.570 --> 00:39:52.772]  If you don't realize that, nothing else matters.
[00:39:53.092 --> 00:40:09.484]  Because all the pedophilia and all the chemical infertility and all the endocrine disruptors and all the attacks and everything else that flows from this thing are symptoms of the larger problem and the larger globalist disease.
[00:40:12.546 --> 00:40:14.427]  And so we're going to expose that in the next hour.
[00:40:14.927 --> 00:40:16.909]  Then Owen Schroeder takes over with Sunday Live.
[00:40:17.977 --> 00:40:23.736]   6 p.m. and then we come back weekday mornings and info wars calm and on many radio and TV stations across the country
[00:40:23.736 --> 00:40:27.937]   at 8 a.m Central with the wonderful informative dynamic all those
[00:40:27.937 --> 00:40:34.387]   amazing guests Harrison Smith 8 to 11 a.m And then Alex Jones, you're truly for four hours. No insurer
[00:40:34.387 --> 00:40:42.597]   for three hours and we are embattled and We are so victorious and we are thanks to you and our
[00:40:42.597 --> 00:40:54.550]   guests this whole organization is legendary and And really is the most dynamic, most effective, most over-the-target organization there is.
[00:40:54.710 --> 00:40:58.052]  And that all glory goes to God, and of course, God working through you.
[00:40:59.652 --> 00:41:01.653]  But I cannot stress enough to you to understand that.
[00:41:03.054 --> 00:41:36.181]   But let that sink in, because my greatest frustration is watching the collapse of civilization And knowing that day's coming, if the enemy continues to push their operation and we don't stop them, to where they start turning the power off on a routine basis, they have fake cyber attacks they launch, they use for total expanded censorship control, where they arrest their political opposition, and then you will look back on these days of very hard turmoil, and of
[00:41:37.912 --> 00:41:43.016]  Death and suicide and bankruptcy and collapse as the good old days.
[00:41:45.058 --> 00:41:46.339]  And so that's where we are right now.
[00:41:47.480 --> 00:41:59.389]  And I am extremely honored and extremely blessed to be here with you on this Sunday night, July 10th, 2022, talking about this.
[00:42:00.330 --> 00:42:13.443]   But there's just such a sense of urgency and I want all of you From the listeners and viewers, from our affiliates and sponsors, this great crew I'm looking at right now, to just let it burn into your brains that this is real!
[00:42:14.482 --> 00:42:25.632]  There's thousands of fake political movements and millions of different choices of entertainment and all these false corporate-controlled cultures, but we're here really looking at State Department Random 200.
[00:42:26.553 --> 00:42:29.255]  We're really here looking at the Club of Rome plans, 1967.
[00:42:30.516 --> 00:42:32.898]  We're really here with the Lake Bilderberg Group documents.
[00:42:33.159 --> 00:42:36.422]  We're really here looking at Operation Lockstep.
[00:42:36.502 --> 00:42:37.623]  We're really here.
[00:42:39.491 --> 00:42:42.673]  Listening and watching to what Klaus Schwab and the Bilderberg Group do.
[00:42:42.974 --> 00:42:43.894]  That's what the Bilderberg Group.
[00:42:44.455 --> 00:42:45.536]  That's who runs Davos.
[00:42:47.697 --> 00:42:50.820]  And... We're in the real world.
[00:42:52.381 --> 00:42:53.842]  That's why there's such a hubbub.
[00:42:53.882 --> 00:42:55.803]  That's why everybody's so upset in the power structure.
[00:42:56.184 --> 00:43:04.590]  That's why, because they know this is all real and they don't even want their own henchmen and their own minions listening to this because they already see what's going on.
[00:43:04.630 --> 00:43:07.132]  They know I'm telling the truth and it completely blows them away.
[00:43:07.152 --> 00:43:08.073]  Let me give you the rest of the good news.
[00:43:09.821 --> 00:43:11.422]  Because we're in a bad situation.
[00:43:14.202 --> 00:43:21.202]  A kettle of fish, as they say.
[00:43:21.202 --> 00:43:25.202]  Many people that made millions of dollars in the system...
[00:43:25.171 --> 00:43:30.115]  Now know it's predatory and pure evil and now can look down the road and see they'll be destroyed as well.
[00:43:30.416 --> 00:43:35.260]  And they understand that due process and chivalry and civilization is good.
[00:43:35.460 --> 00:43:37.361]  Because what is it to have $100 billion or $20 billion or $190 billion?
[00:43:37.642 --> 00:43:43.802]   or 20 billion dollars or 190 billion dollars. If it's fiat and it's a lie and if you're not going
[00:43:43.802 --> 00:43:49.962]   to have a civilization to spend it in and you can look at what's happening and know there's
[00:43:49.962 --> 00:43:54.201]   not going to be globalist reservations and break off civilizations that succeed.
[00:43:54.391 --> 00:44:01.673]  You can see the whole thing is a trick of Satan and is bringing all of civilization and the world down and you decide to not be part of it.
[00:44:02.614 --> 00:44:05.475]  That's the real due sex in this whole situation.
[00:44:06.175 --> 00:44:07.355]  That's the real wild card.
[00:44:07.375 --> 00:44:10.716]  Hour number two live straight ahead.
[00:44:10.756 --> 00:44:12.417]  I think I'll open the phones up as well.
[00:44:15.117 --> 00:44:18.759]  If you are receiving this transmission, you are the resistance.
[00:44:18.659 --> 00:44:32.459]   distance. In April of 2022, Biden's Energy Department, led by the great reset minion,
[00:44:32.459 --> 00:44:40.059]   Jennifer Granholm, announced the sale of 950,000 strategic petroleum reserve barrels to Unipec,
[00:44:40.059 --> 00:44:43.858]  or Sinopec, which is wholly owned by the Chinese government.
[00:44:44.055 --> 00:44:49.781]  As of last month, more than 5 million barrels of oil were released from the U.S.
[00:44:49.961 --> 00:44:51.302]  emergency reserves.
[00:44:51.643 --> 00:44:57.669]  At least one of those shipments of American crude went to China, according to Reuters.
[00:44:57.789 --> 00:45:09.656]   In 2015, a private equity firm co-founded by Hunter Biden Bo High Harvest, RST, previously owned a stake in the Sinopec marketing, valued at $1.7 million.
[00:45:10.436 --> 00:45:18.019]  While Americans plummet headlong into a recession and gas prices double, the Biden family is selling off our assets.
[00:45:18.159 --> 00:45:19.640]  This is high treason.
[00:45:20.040 --> 00:45:28.550]  Today, President Biden announced a plan to release one million barrels of oil a day for the next 180 days from the Strategic Petroleum Reserve.
[00:45:28.891 --> 00:45:31.173]  It is the largest release since its creation.
[00:45:31.854 --> 00:45:38.262]  How long is it fair to expect American drivers and drivers around the world to pay that premium for this war?
[00:45:39.145 --> 00:45:40.046]  As long as it takes.
[00:45:40.306 --> 00:45:48.755]  And in addition to getting other nations to move forward, a total of 240 million barrels of oil to release from the Strategic Petroleum Reserve.
[00:45:49.195 --> 00:45:53.119]  At 1 million barrels per day, that is the largest release in U.S.
[00:45:53.179 --> 00:45:53.580]  history.
[00:45:53.960 --> 00:45:57.404]  And it amounts to roughly a third of the Reserve's current supply.
[00:45:57.967 --> 00:46:09.593]  We are living in a present when the enormity of Joe Biden's treason is finally coming to light, even to those who refuse to see his central role in Klaus Schwab's Great Reset.
[00:46:09.673 --> 00:46:19.518]  But the greatest threat on this front springs from the distinct liberal and external actors who equate their success with fracturing the liberal international order.
[00:46:20.745 --> 00:46:29.051]  To limit global warming, you are demanding to halt to coal, oil and gas exploration.
[00:46:30.272 --> 00:46:34.555]  To the development and to the financing of this exploration.
[00:46:35.596 --> 00:46:47.164]  As well, you are asking firms to replace any corporate board directors who is unwilling to transition to cleaner energy sources.
[00:46:47.184 --> 00:46:54.149]   And when it comes to the gas prices, We're going through an incredible transition.
[00:46:55.780 --> 00:47:24.553]  And as food and energy are systematically dismantled, and as China and India siphon off American fuel reserves, while American inflation is at a historic high, Biden has already signed off $54 billion in taxpayer dollars to his corrupt partners in Ukraine, along with a laundry list of military aid.
[00:47:24.813 --> 00:47:27.354]  Based on our investigative units reporting, the U.S.
[00:47:27.394 --> 00:47:30.656]  Attorney in Delaware has been probing a number of issues.
[00:47:30.716 --> 00:47:41.682]  They include tax fraud, tax evasion, money laundering, as well as whether Hunter James Biden and their business associates complied with foreign lobbying laws.
[00:47:42.082 --> 00:48:02.903]  The sooner Americans comprehend that heavily compromised Joe Biden is merely the puppet of New World Order globalist sabotage to destroy the United States, the sooner we can salvage what is left of our borders, our military, our elections, our economy, our energy, our schools, our farmland, and our future.
[00:48:03.144 --> 00:48:04.325]  John Bowne reporting.
[00:48:08.962 --> 00:48:10.384]  We are drugged out!
[00:48:11.024 --> 00:48:13.307]  We are following other people's opinions!
[00:48:14.463 --> 00:48:16.685]  We are controlled by the media.
[00:48:17.265 --> 00:48:18.826]  Today, it all changes.
[00:48:19.126 --> 00:48:21.628]  This reality has been forced upon us.
[00:48:21.888 --> 00:48:24.750]  It is a choice, just like when I said slavery is a choice.
[00:48:24.951 --> 00:48:29.454]  Einstein says the death and insanity is doing the same thing, expecting a different result.
[00:48:29.714 --> 00:48:32.496]  So we keep on saying, I hate you, I hate you, fuck you, fuck you, fuck you.
[00:48:32.536 --> 00:48:34.898]  How are we going to get a different result out of hate?
[00:48:35.218 --> 00:48:37.159]  Why don't we just try love?
[00:48:37.660 --> 00:48:39.081]  Why don't we just try love?
[00:48:39.321 --> 00:48:40.482]  We have the resources.
[00:48:43.527 --> 00:48:47.271]  Sometimes you need some crazy motherfuckers to change something.
[00:48:47.291 --> 00:48:48.652]  Steve Jobs is crazy.
[00:48:48.832 --> 00:48:50.414]  Now we all on Steve Jobs' phones.
[00:48:50.454 --> 00:48:51.334]  They say Trump's crazy.
[00:48:51.535 --> 00:48:52.415]  They say I'm crazy.
[00:48:52.596 --> 00:48:54.818]  But I'm here to show love.
[00:48:54.998 --> 00:48:58.681]  It's a bigger plan and I'm just doing what the universe told me.
[00:49:00.183 --> 00:49:03.706]  Resistance to tyrants is obedience to God.
[00:49:04.086 --> 00:49:06.286]  It's Alex Jones.
[00:49:06.286 --> 00:49:32.186]   If you are receiving this transmission, you are the resistance.
[00:49:32.186 --> 00:49:33.507]  (upbeat music)
[00:49:33.414 --> 00:49:38.414]  Live from the InfoWars.com studios, it's Alex Jones.
[00:49:38.414 --> 00:49:45.914]  [MUSIC]
[00:49:45.914 --> 00:49:48.914]  Remember, the New World Order has its plan.
[00:49:49.366 --> 00:49:50.788]  God has his plan.
[00:49:51.721 --> 00:49:53.683]  We're following God's plan, not their plan.
[00:49:53.703 --> 00:49:55.664]  They will be defeated.
[00:49:55.844 --> 00:49:59.648]  Even as they launch their operations, their system is collapsing.
[00:50:00.789 --> 00:50:07.314]  Everything they've got is bet on the fact that you won't expose the UN, Francois Bill Gates and the big corporations running this.
[00:50:07.334 --> 00:50:16.522]  All right, I want to hit a bunch of news right now, and I want to open the phones up specifically for first-time callers on this Sunday night.
[00:50:16.562 --> 00:50:22.404]   Starting next time, we're going to your calls on What is it like to live in the new world order?
[00:50:22.765 --> 00:50:26.647]  I mean, Biden said we're in a new world order, a liberal world order, a transition.
[00:50:26.748 --> 00:50:27.448]  That's not debatable.
[00:50:28.229 --> 00:50:31.191]  You can call in and say I'm wrong, but I think it's easy to say.
[00:50:31.211 --> 00:50:32.172]  I think it's truthful to say.
[00:50:32.912 --> 00:50:38.316]  What is it like to live in a corporate, private, fascist world government that's above the law?
[00:50:39.037 --> 00:50:40.578]  And are you going to just submit to it?
[00:50:40.678 --> 00:50:42.559]  Or where do you think this is going next?
[00:50:43.040 --> 00:50:44.281]  And how do we peacefully stand up?
[00:50:44.301 --> 00:50:47.183]  And I know this great audience of activists who are in the arena.
[00:50:48.522 --> 00:51:03.709]  Stand with the people in the Netherlands, the Dutch people, and stand with the Indian people, and the Sri Lankan people, the people in Albania, and the people in Panama, and the people in a hundred plus countries saying no to their corrupt governments that are controlled by the globalists.
[00:51:03.909 --> 00:51:10.732]  Because they're not trying to tear down their governments, they're trying to take over their governments and put their people back in charge against the new world order.
[00:51:11.072 --> 00:51:12.513]  That's where we thread the needle.
[00:51:14.147 --> 00:51:15.288]  The toll free number to join us is 877-789-2539.
[00:51:15.308 --> 00:51:15.348]  877-789-2539.
[00:51:15.368 --> 00:51:15.628]  877-789-A-L-E-X.
[00:51:15.648 --> 00:51:15.688]  877-789-2539.
[00:51:15.708 --> 00:51:16.308]  First, time callers on.
[00:51:16.328 --> 00:51:17.369]  We're inside the New World Order.
[00:51:17.389 --> 00:51:18.910]  We're inside the banning of cows and fuel.
[00:51:18.930 --> 00:51:21.732]  We're inside, we're turning your food off to make you transition.
[00:51:21.552 --> 00:51:31.990]   877-789-ALEX. 877-789-2539. First time callers on. We're inside the New World
[00:51:31.990 --> 00:51:36.592]   Order. We're inside the banning of cows and fuel. We're inside we're turning your
[00:51:36.592 --> 00:51:43.032]   food off to make you transition. They have no plan except you dying. We're
[00:51:43.032 --> 00:51:46.711]  gonna take your phone calls tonight.
[00:51:45.283 --> 00:51:54.252]  Only get about 10 calls on the board because I don't want anybody to hold because coming up in 52 minutes, Owen Schroer takes over with Sunday Live, 6 to 8 p.m.
[00:51:54.292 --> 00:51:56.614]  here on the InfoWars Radio TV Network.
[00:51:56.994 --> 00:51:59.176]  That again, the globalists don't have full control.
[00:51:59.597 --> 00:52:00.437]  We're still on air.
[00:52:00.598 --> 00:52:01.739]  They can't stand it.
[00:52:03.460 --> 00:52:04.641]  It drives them crazy.
[00:52:05.629 --> 00:52:18.952]  When I sit back and really look at the success, all of us, this family, the viewers, the listeners, the supporters, the sponsors, the crew, the guests, what we've done is incredible and all glory goes to God.
[00:52:19.192 --> 00:52:23.833]  But I tell you now, our most important work ever is at hand.
[00:52:26.854 --> 00:52:28.394]  I can't tell you the adventure it is.
[00:52:28.414 --> 00:52:30.474]  Because I'm a public figure.
[00:52:31.134 --> 00:52:33.195]  Our audience of great people aren't, thank God you're not.
[00:52:34.611 --> 00:52:35.471]  It's got its pitfalls.
[00:52:36.212 --> 00:52:38.032]  But to wear an Alex Jones was right shirt.
[00:52:38.812 --> 00:52:40.273]  Or an Infowars.com shirt.
[00:52:41.693 --> 00:52:44.794]  In red areas, they'll probably buy your lunch or carry it on their shoulders.
[00:52:45.194 --> 00:52:48.055]  You might meet your next, you know, your next best friend.
[00:52:48.956 --> 00:52:50.156]  Might meet your husband, your wife.
[00:52:51.617 --> 00:52:53.097]  You're in a blue area, you might get killed.
[00:52:54.457 --> 00:52:55.638]  The adventure of wearing.
[00:52:56.664 --> 00:52:57.786]  Alex Jones is right shirt.
[00:52:58.607 --> 00:53:00.529]  We've got the designer shirt, a regular shirt.
[00:53:00.549 --> 00:53:01.250]  They're both excellent.
[00:53:01.591 --> 00:53:02.572]  Then forward to our calm.
[00:53:02.592 --> 00:53:04.294]  We have the last day of the.
[00:53:06.547 --> 00:53:09.329]  July 4th Super Sale, up to 75% off.
[00:53:09.349 --> 00:53:10.650]  That's below cost on these products.
[00:53:11.350 --> 00:53:12.331]  Double Patriot Points.
