[00:00:22.682 --> 00:00:26.044]  Welcome to the InfoWars Nightly News this Wednesday, September 18, 2013.
[00:26:52.686 --> 00:27:02.133]  It creates databases and allows multiple law enforcement agencies to go after individuals that may be a threat that own weapons.
[00:27:02.373 --> 00:27:04.735]  In 2011, they seized 1,200 firearms.
[00:27:05.156 --> 00:27:08.658]  They seized 155,000 rounds of ammo.
[00:27:08.999 --> 00:27:12.701]  And what they are doing, what I've been reading and hearing, is that they go to
[00:27:13.542 --> 00:27:15.143]  Well, George, this has been great.
[00:27:15.163 --> 00:27:16.784]  I look forward to doing this again.
[00:27:16.804 --> 00:27:17.485]  Thank you so much, Gigi.
[00:27:17.505 --> 00:27:17.905]  Take care.
[00:27:18.025 --> 00:27:18.545]  Alright, you take care.
[00:27:39.349 --> 00:27:46.316]  And of course, you can find out more about George Hemminger and his very unique lifestyle at his YouTube channel, George4Title.
[00:27:46.396 --> 00:27:49.599]  It's George, the number 4, and Title on YouTube.
[00:27:50.280 --> 00:27:57.327]  And there you'll also find a little bit more about what's happening at the VA if you type in Gun Confiscation Veterans Administration.
[00:27:58.268 --> 00:28:03.830]  It's very sad what's happening to our veterans and we can only hope that things will get right in this country.
[00:28:04.450 --> 00:28:09.551]  So stand up for your Second Amendment rights and you can go to the InfoWars shop, InfoWars.com.
[00:28:10.151 --> 00:28:16.213]  Show your support for the Second Amendment and get your InfoWars Second Amendment t-shirt today!
[00:28:17.093 --> 00:28:19.134]  Especially the pink gun on the white t-shirt.
[00:28:19.234 --> 00:28:20.514]  I am partial to that one.
[00:28:21.234 --> 00:28:23.695]  Thank you so much for joining us on the InfoWars Nightly News.
[00:28:23.755 --> 00:28:26.016]  Remember to be back here tomorrow at 7 p.m.
[00:28:26.056 --> 00:28:26.396]  Central.
[00:28:32.355 --> 00:28:37.618]  Now you can watch the Alex Jones Show live as it happens at InfoWars.com slash show.
[00:28:37.959 --> 00:28:43.042]  You'll find links to all of our content there and a free 15-day trial for Prison Planet TV.
[00:28:43.522 --> 00:28:49.306]  More than 60 movies and documentaries all in one place at InfoWars.com slash show.
