[00:00:42.189 --> 00:00:43.789]  It's Tuesday, July 16th.
[00:28:27.025 --> 00:28:28.786]  We may understand what's wrong in our system.
[00:28:28.826 --> 00:28:30.586]  We may want to try to wake up other people.
[00:28:30.626 --> 00:28:31.967]  Maybe we have woken up some other people.
[00:28:32.007 --> 00:28:34.067]  But how can we affect a broader change?
[00:28:34.728 --> 00:28:37.269]  Well, one of the ways you can do that is to run for office.
[00:28:37.789 --> 00:28:38.009]  Maybe.
[00:28:38.669 --> 00:28:42.812]  We're going to talk to someone who tried running for office, and I've had that experience as well.
[00:28:42.872 --> 00:28:46.715]  So we're going to talk about our experiences as independent and third-party candidates.
[00:28:46.935 --> 00:28:49.057]  And joining us today is David Seaman.
[00:28:49.517 --> 00:28:54.441]  He's a 27-year-old who ran for Congress in Florida's 20th congressional district.
[00:28:55.021 --> 00:28:59.185]  He had a ground-up grassroots campaign and then withdrew from the race.
[00:28:59.225 --> 00:29:02.187]  And so we're going to talk to him as to what he learned in his experience.
[00:29:02.227 --> 00:29:02.727]  Welcome, David.
[00:29:03.468 --> 00:29:03.888]  Hi, David.
[00:29:03.948 --> 00:29:04.649]  Thanks for having me on.
[00:29:05.336 --> 00:29:09.618]  Thank you for joining us and thank you for getting involved and caring enough to run for office.
[00:29:10.199 --> 00:29:17.263]  But tell us what your experience was, why you withdrew from the race, what your takeaway from the whole political experience was.
[00:29:18.214 --> 00:29:18.494]  Sure.
[00:29:18.634 --> 00:29:22.056]  I actually didn't know that you would run also, so that would be an interesting conversation.
[00:29:23.117 --> 00:29:34.044]  What basically happened is I was working in various capacities as a reporter and independent journalist covering some of the more disturbing police state stories in this country.
[00:29:34.104 --> 00:29:44.290]  Warrantless surveillance, roadside checkpoints, where they're basically asked to show their papers in violation of the Constitution, and of course the NDAA.
[00:29:44.330 --> 00:29:46.392]  I was one of the first to really cover that in depth.
[00:29:46.972 --> 00:29:49.753]  The indefinite detention provision, section 1021.
[00:29:50.774 --> 00:29:57.837]  And so I was putting out these articles and videos and some of them were getting a lot of traffic, but I felt like it was not actually making a difference.
[00:29:58.157 --> 00:30:03.379]  You know, I would write something and then a publication would pick it up and 50,000 people would read it.
[00:30:03.399 --> 00:30:06.460]  And then the next day you feel like nothing has actually changed.
[00:30:06.500 --> 00:30:07.501]  You know, people read about it.
[00:30:07.541 --> 00:30:13.283]  They're aware that these things are happening and they just go, oh, this doesn't really affect me, even though it truly does.
[00:30:13.743 --> 00:30:15.184]  And so I decided
[00:30:16.051 --> 00:30:37.588]  In retrospect, mistakenly, and I think a little naively, that running for office and building this grassroots internet-based campaign would allow me to have a chance of getting into Congress, and that if you're in Congress, even though you're a freshman, you would have the ability to propose legislation to roll some of this stuff back to demand greater accountability.
[00:30:37.968 --> 00:30:41.091]  But what I quickly saw is that a number of forces are really set up
[00:30:41.781 --> 00:30:50.825]  To act as barriers to entry if you try to get into politics and if you don't have the backing of one of the two parties, it's basically like a political cartel.
[00:30:51.205 --> 00:30:54.627]  If you're not a Republican or Democrat, you stand almost no chance.
[00:30:55.027 --> 00:31:01.370]  And if you speak out against things like drone strikes and NSA spying, then your slim chances go down to almost nothing.
[00:31:01.735 --> 00:31:02.375]  Well, absolutely.
[00:31:02.536 --> 00:31:05.257]  It's very much a closed country club operation.
[00:31:05.577 --> 00:31:12.662]  The last time we had a viable third party candidate rise up was Abraham Lincoln, just before the Civil War, and the Republicans made sure that would never happen again.
[00:31:13.483 --> 00:31:19.767]  My experience is running as a third party candidate, because you went the full route of trying to get on the ballot by yourself.
[00:31:19.807 --> 00:31:29.733]  That's one of the things that a third party can help you with, is to have the resources to get on the ballot, because that's, in and of itself, just getting on the ballot is such a rigged part of the process.
[00:31:29.753 --> 00:31:31.134]  Tell us what you had to do as an independent.
[00:31:32.173 --> 00:31:38.376]  Well, as an independent, I actually withdrew back in January, so I didn't get very far in my efforts at all.
[00:31:39.216 --> 00:31:43.278]  The idea was to raise money and awareness, both in my district and online.
[00:31:43.978 --> 00:31:48.500]  And so there was a lot of online interest, but it didn't convert at all into interest within the district.
[00:31:49.120 --> 00:31:56.484]  You know, online, people were really excited about the campaign and were spreading the word about me on, you know, various limited government websites.
[00:31:57.084 --> 00:32:01.386]  But then when I would actually meet with people in my district, potential constituents,
[00:32:02.020 --> 00:32:02.280]  That's right.
[00:32:17.643 --> 00:32:18.644]  What is this, King of the Hill?
[00:32:18.684 --> 00:32:19.705]  You don't like that?
[00:32:19.725 --> 00:32:20.585]  Why don't you like that?
[00:32:21.806 --> 00:32:23.067]  That was a reaction I got a lot.
[00:32:23.107 --> 00:32:26.009]  And then people would ask me, what's wrong with the woman we already have?
[00:32:26.469 --> 00:32:27.630]  She's a great Congresswoman.
[00:32:27.650 --> 00:32:28.571]  She's a good Democrat.
[00:32:29.271 --> 00:32:32.333]  And I would really challenge people and say, what does that even mean?
[00:32:32.413 --> 00:32:38.417]  She walked away in the middle of a filmed interview when she was asked about the NDAA and Obama's secret kill list.
[00:32:39.178 --> 00:32:40.599]  I don't think she's a good representative.
[00:32:40.799 --> 00:32:42.360]  And when you would say these things, people would
[00:32:43.007 --> 00:32:46.348]  Go, oh, he's just, uh, he's a fringe guy, he's a tea bagger.
[00:32:46.688 --> 00:32:49.389]  They would say these things because they've been trained by the mainstream media.
[00:32:49.449 --> 00:32:49.849]  That's right.
[00:32:50.109 --> 00:33:01.153]  You can label anybody who is different from their MSNBC style politician, anybody who's different from that, to label that person a fringe kind of person and to automatically dismiss what they have going on.
[00:33:01.453 --> 00:33:04.494]  Well, you know, that kind of training goes all the way back to government schools.
[00:33:04.534 --> 00:33:07.635]  You know, you look at what happens every week, it's a new opponent.
[00:33:07.675 --> 00:33:09.536]  You know, you got our team versus
[00:33:10.436 --> 00:33:11.796]  School X over here.
[00:33:12.477 --> 00:33:15.257]  And every time it comes up, you know, those are the bad guys.
[00:33:15.297 --> 00:33:23.120]  And so you're always, everything they do is to steer you into this dichotomy, where it's an us versus them.
[00:33:23.200 --> 00:33:26.721]  Whoever that them is, that changes from time to time.
[00:33:27.141 --> 00:33:31.542]  But people are so caught up in this left-right paradigm in the Republican and Democrat Party,
[00:33:32.302 --> 00:33:38.429]  And I've had people, when we were running as third party candidates, they would get very angry about the fact that there was even third parties out there.
[00:33:39.310 --> 00:33:43.735]  They thought that was a very harmful situation, and it's like, why would that be harmful?
[00:33:44.616 --> 00:33:46.759]  Should we go into a grocery store where we've only got
[00:33:47.319 --> 00:33:49.060]  Two choices of dishwashing soap?
[00:33:49.400 --> 00:33:52.661]  I mean, people can't make up their mind when they see more than two choices?
[00:33:52.721 --> 00:33:58.282]  I think we're the only democracy that I know of that has only two parties, pretty much.
[00:33:58.563 --> 00:34:10.506]  And even if you wanted to support strictly a two-party system, the question is, should those two parties be so firmly entrenched and calcified that you never have an option of ever changing out those two parties?
[00:34:10.566 --> 00:34:16.028]  I mean, that's what has really brought about the corruption, is the entrenchment of those two parties.
[00:34:17.108 --> 00:34:29.732]  Yeah, even in the presidential election last year, we saw everybody making this flawed argument that, you know, whatever candidate they backed, either it was either Obama or Romney, well, he's the lesser of two evils, so I'm voting for him.
[00:34:29.752 --> 00:34:32.413]  And it's like, well, you're still voting for something that's evil then.
[00:34:32.433 --> 00:34:36.514]  You're voting for somebody who supports imprisonment without trial of American citizens.
[00:34:37.153 --> 00:34:41.694]  and supports killing people without proper due process, killing people using drones.
[00:34:53.018 --> 00:34:53.339]  We're good to go.
[00:35:15.262 --> 00:35:21.743]  Ron Paul was his first and earliest supporter, and he was a very ardent supporter of Ronald Reagan.
[00:35:21.763 --> 00:35:28.105]  But when Ronald Reagan got in in 1980, what Ron Paul saw was that Ronald Reagan was not standing up for individual liberty.
[00:35:28.165 --> 00:35:37.967]  He was throwing the Second Amendment under the bus, he was inflating away the currency, running up a huge deficit, getting us involved in all kinds of military war, running the drug war rampant.
[00:35:38.527 --> 00:35:50.971]  And so what he did was he wrote a letter of resignation in 1986, somewhat like your letter when you resigned and dropped out of the race, but more detailed about his criticisms of Reagan and how it had gone off the rail from what he had promised.
[00:35:51.251 --> 00:35:53.912]  And then he ran in 1988 as a Libertarian Party candidate.
[00:35:53.932 --> 00:35:56.613]  And I remember there was a lot of hope for Ron Paul.
[00:35:56.633 --> 00:36:04.115]  It was the first time we'd had a seated, someone who was actually in Congress, who was running as head of the party.
[00:36:05.106 --> 00:36:17.616]  And so he was an experienced politician, very articulate, as people have seen, and we had high expectations for it, but it basically went nowhere, because the partners of the government and the media made sure that was not covered.
[00:36:18.076 --> 00:36:22.179]  And then look at what happened when he ran in 2012, and also in 2008.
[00:36:22.419 --> 00:36:32.127]  He created a groundswell of support, but look at how he was dumped in the corrupt political process, within the party as well as the media.
[00:36:32.827 --> 00:36:34.008]  The pundits destroyed him.
[00:36:34.048 --> 00:36:34.709]  It's amazing how
[00:36:35.630 --> 00:36:38.093]  Uh, you can listen to his speech and it's quite impressive.
[00:36:38.653 --> 00:36:47.041]  And then, you know, in the days and weeks after that speech, pundits on the three main networks pick it apart and instead of telling you what the person actually said,
[00:36:47.719 --> 00:36:50.200]  They go, oh, his foreign policy is crazy.
[00:36:50.260 --> 00:36:54.222]  We kept hearing that, is that his foreign policy is crazy, it's not realistic.
[00:36:54.703 --> 00:37:03.808]  And then you sit down and think about it, and you're like, well, what's crazy about requesting congressional approval before going to war and committing American forces to some place overseas?
[00:37:03.868 --> 00:37:06.289]  You know, that's actually the most sane argument there is.
[00:37:06.309 --> 00:37:08.070]  Actually following the Constitution, right?
[00:37:08.732 --> 00:37:09.072]  What's that?
[00:37:09.293 --> 00:37:10.614]  Actually following the Constitution.
[00:37:11.254 --> 00:37:12.055]  That's crazy.
[00:37:12.536 --> 00:37:29.191]  The laws that we are founded upon, and these pundits on TV made him out to seem like a crazy person, when I think it's crazy that the two parties, when they have these bitter debates over the budget, you know, they're talking about 2.3 trillion dollars versus 2.7 trillion dollars, or whatever that amount is.
[00:37:29.251 --> 00:37:31.073]  It's a difference of only a couple hundred billion dollars.
[00:37:31.493 --> 00:37:31.793]  Absolutely.
[00:37:31.873 --> 00:37:33.455]  And look at the way he was treated in the debates.
[00:37:33.475 --> 00:37:36.419]  If you remember, when he first ran in 2008 in the Republican Party, he was excluded from a lot of the debates.
[00:37:51.577 --> 00:37:54.039]  I don't believe they excluded him from any of them in 2012.
[00:37:54.920 --> 00:37:56.521]  But look at what they did to Gary Johnson.
[00:37:56.561 --> 00:37:59.244]  Here was somebody who was a two-term governor.
[00:37:59.584 --> 00:38:00.525]  A two-term governor.
[00:38:00.985 --> 00:38:04.868]  And he only got in one or two, maybe, of the Republican debates.
[00:38:05.309 --> 00:38:08.552]  And they had people who had never been elected to anything, like
[00:38:10.652 --> 00:38:11.253]  Herman Cain.
[00:38:28.314 --> 00:38:31.397]  Who was not part of the insider political club.
[00:38:31.437 --> 00:38:37.863]  Of course, remember that even though Herman Cain had never won anything as far as the election goes, he was part of the insiders.
[00:38:37.923 --> 00:38:39.424]  He was part of the Federal Reserve.
[00:38:39.464 --> 00:38:41.526]  So, of course, they had him in all the debates.
[00:38:41.626 --> 00:38:45.049]  But not Gary Johnson, because he was an honest outsider.
[00:38:45.410 --> 00:38:46.251]  And that's what we see.
[00:38:46.331 --> 00:38:49.434]  First of all, they play games with who's allowed on the ballot.
[00:38:50.074 --> 00:38:59.458]  And then once you jump through all of their hoops, and they have excessive hoops that Republican and Democrat candidates don't have to jump through, once you get on the ballot, they exclude you from the debate.
[00:38:59.538 --> 00:39:04.640]  And we see that even within the party, qualified candidates are excluded from debates.
[00:39:04.820 --> 00:39:08.842]  And so you don't really have, it's very difficult for you to get your message out there, isn't it?
[00:39:09.935 --> 00:39:10.656]  Yes, it is.
[00:39:11.296 --> 00:39:14.579]  Gary Johnson, we saw the media kept saying that he was inexperienced.
[00:39:15.620 --> 00:39:25.909]  How is a guy who's been governor of New Mexico and has summited Mount Everest and has launched his own successful profitable tech companies, how is he inexperienced?
[00:39:26.610 --> 00:39:32.354]  A successful businessman and as a politician he exercised the veto more than all the other candidates combined.
[00:39:32.394 --> 00:39:35.676]  So he was effective as a governor as well and well-liked.
[00:39:36.156 --> 00:39:38.738]  It's very strange when you look at the political process.
[00:39:39.038 --> 00:39:41.120]  So what is your take on this moving forward?
[00:39:42.060 --> 00:39:46.663]  I mean, personally, I don't want to discourage anybody from doing any kind of resistance.
[00:39:46.703 --> 00:39:49.665]  And I think there's value for running for political office.
[00:39:49.845 --> 00:39:50.346]  What do you think?
[00:39:51.553 --> 00:39:55.555]  Yes, I think other people can, you know, succeed where I failed.
[00:39:55.655 --> 00:40:03.199]  For one thing, I happen to be living in one of the most difficult, you know, loyal blue districts in the country.
[00:40:03.499 --> 00:40:05.280]  So I had an uphill battle from day one.
[00:40:06.300 --> 00:40:11.223]  I definitely don't want to discourage other people from doing what I did, maybe taking it a bit further than I was able to.
[00:40:12.163 --> 00:40:19.447]  But for me personally, I found that the way I can make the most difference is by acting as a force of reason within the media.
[00:40:19.507 --> 00:40:21.088]  So whenever I do a show like yours,
[00:40:22.085 --> 00:40:23.565]  Or a radio show or a TV show.
[00:40:24.106 --> 00:40:28.767]  I try to just tell people what's going on and do it without any kind of agenda, because I don't care.
[00:40:28.787 --> 00:40:32.008]  I don't care about making Democrats look good or making Republicans look good.
[00:40:32.028 --> 00:40:35.408]  I think both of these parties are filled with freaks at this point.
[00:40:36.189 --> 00:40:39.109]  The amount of money they're wasting on spying on our own people.
[00:40:39.389 --> 00:40:48.832]  That whole NSA program that came out today in The Guardian is loosely based off of what we did to Iraqi insurgents when we were spying on their text messages and phone calls.
[00:40:49.392 --> 00:40:49.914]  I don't know.
[00:41:00.347 --> 00:41:03.029]  The way I can make the most difference is by improving media.
[00:41:03.049 --> 00:41:09.333]  I'm launching a morning show next month in Los Angeles, because you see how bad morning TV has become.
[00:41:09.793 --> 00:41:19.379]  It's become a place where if you even mention Edward Snowden, they freeze up and either mock it or they immediately say he's a traitor, you know, he shouldn't have released that information.
[00:41:19.939 --> 00:41:20.440]  That's right.
[00:41:20.460 --> 00:41:21.780]  I think we're at the point where
[00:41:44.540 --> 00:41:47.261]  We have to get people to recognize that the emperor has no clothes.
[00:41:47.681 --> 00:42:05.229]  And one of the things we can do is tell people about it, but you know, I think that when Ron Paul ran, both as a third-party candidate and both of the times that he ran within the Republican Party, I think that was a real seminal moment for people who really had the scales removed from their eyes.
[00:42:05.269 --> 00:42:09.251]  They had a very optimistic view of America as being this land of law,
[00:42:10.331 --> 00:42:11.252]  As land of liberty.
[00:42:11.692 --> 00:42:18.757]  They thought there were rules and if you played by the rules you're going to get recognized and they saw some really dirty political tricks.
[00:42:19.197 --> 00:42:20.158]  A lot of dishonesty.
[00:42:20.198 --> 00:42:34.747]  I mean, look at even keeping him out of a speaking position at the Republican Party by having this fake voice vote that they had already pre-scripted on the teleprompter and somebody caught it and put the scripting of the voice vote up
[00:42:35.067 --> 00:42:38.589]  Well, I mean, it was just so incredibly rigged in the various states.
[00:42:38.789 --> 00:42:41.310]  I think that had a lot of value, however.
[00:42:41.731 --> 00:42:44.392]  It got people to understand that the emperor has no clothes.
[00:42:44.772 --> 00:42:51.916]  We have a lot of mind control that goes on through the media and through the school systems, and it trains people to believe that
[00:42:52.356 --> 00:42:56.779]  We have this honest, freedom-oriented government, and they need to have those scales taken off.
[00:42:56.799 --> 00:43:00.722]  And we can tell them directly, but a lot of times, they have to experience it directly.
[00:43:00.782 --> 00:43:08.907]  So I think it's a very important thing for people to get involved in the electoral process, just so people can see the corruption and experience it firsthand.
[00:43:09.228 --> 00:43:12.430]  That's going to get them to question, why a government like that?
[00:43:13.050 --> 00:43:15.653]  Should be reading every bit of electronic mail that we have.
[00:43:15.733 --> 00:43:22.801]  Why they should have the ability to kick down our doors at will and come in guns blaring in a no-knock raid.
[00:43:22.921 --> 00:43:28.127]  That's the kind of government that we have and people see how that government reacts once they get involved in the political system.
[00:43:29.228 --> 00:43:30.149]  Yes, definitely.
[00:43:30.309 --> 00:43:33.313]  And to go back to the difference that media makes for a second,
[00:43:34.271 --> 00:44:00.487]  I've had people, friends of mine, who are, you know, kind of big government Democrats who thought that they were supportive of Obama and after me sending them, you know, so many YouTube videos of clips that we've all seen of, you know, roadside checkpoints where people are forced to get out of their cars and they're yelled at and broke and, you know, they have their bras searched for, you know, paraphernalia and drugs and then some of these TSA checkpoints where they now have canine units
[00:44:01.556 --> 00:44:01.856]  Thank you.
[00:44:17.445 --> 00:44:25.330]  And so that's why I think that just getting the information out there is so important because we can't become better voters until we realize that this stuff really is happening.
[00:44:25.371 --> 00:44:38.259]  You know, it's one thing to watch MSNBC and think that everything is okay, but then when you just go out into the world, like just for me to walk to the closest Starbucks, I'll pass by about 25 surveillance cameras at street intersections.
[00:44:38.699 --> 00:44:40.961]  So you realize that something is really wrong there.
[00:44:40.981 --> 00:44:46.805]  At the very least, it's a huge waste of our resources, and we only have so much resources as a society.
[00:44:47.546 --> 00:44:56.914]  But, you know, in a more sinister direction, it's a real forfeiture of our rights that has occurred over the past decade, and it seems to be intensifying over the past couple of years.
[00:44:57.194 --> 00:44:58.635]  Oh yeah, it's accelerating very quickly.
[00:44:59.596 --> 00:45:14.708]  Now, you've decided, as I think Ron Paul has, I think Ron Paul is going to have even more impact as he starts to do a news organization, and especially this curriculum that he's got, because that's really where you get people's minds, is as early a possible age as possible, forming a worldview.
[00:45:15.328 --> 00:45:21.533]  Giving them a perspective of how things work and trying to do that as early as possible.
[00:45:21.913 --> 00:45:23.454]  So I think he's going to have a lot of impact there.
[00:45:23.474 --> 00:45:27.757]  But now your program is going to be in LA, a morning show is what you're saying?
[00:45:27.877 --> 00:45:28.738]  And where's that going to run?
[00:45:28.798 --> 00:45:30.980]  Is that going to be on public access or is it going to be a network?
[00:45:32.582 --> 00:45:33.122]  Good question.
[00:45:33.142 --> 00:45:43.945]  We're looking at a couple of different options in terms of getting it on TV, but it's going to come out on iTunes and YouTube every weekday, and there's going to be a high-definition format that people can download.
[00:45:44.685 --> 00:45:46.885]  And the production quality is really important to us.
[00:45:46.925 --> 00:45:52.987]  We want it to look just like today's show or CBS's early morning show, but instead of only talking about Trayvon,
[00:45:55.547 --> 00:45:56.028]  We're good to go.
[00:46:19.053 --> 00:46:23.917]  Yeah, it's going to be distributed in as many ways as possible, and it's going to be free for people to access.
[00:46:23.937 --> 00:46:26.199]  You won't need a cable subscription.
[00:46:26.859 --> 00:46:27.420]  Okay, great.
[00:46:27.920 --> 00:46:32.624]  Well, if people want to find out more about that and find out how they can help support you, they can go to davidseaman.net.
[00:46:32.684 --> 00:46:33.164]  Is that correct?
[00:46:33.224 --> 00:46:36.527]  And you've got an Indiegogo project that's going on now to get funding?
[00:46:37.276 --> 00:46:39.538]  Yeah, thank you so much, David, for plugging that.
[00:46:39.658 --> 00:46:48.763]  If people go to my website, to davidsiemann.net, there's a video right at the top right now where I talk about The Morning Show and our goals, and there's also a link somewhere on there.
[00:46:49.264 --> 00:46:51.985]  So people can see where we're at funding-wise.
[00:46:52.005 --> 00:46:56.228]  We're 78% fully funded, funded by listeners and people who read my articles.
[00:46:56.668 --> 00:47:03.453]  And it's cool that we're being funded by people who actually want this news instead of being funded by, you know, like News Corporation or something like that.
[00:47:04.553 --> 00:47:09.797]  So we're funded by the viewers, 78% there, and I'm hoping that within the next few days we'll be fully funded.
[00:47:09.897 --> 00:47:12.078]  So if people want to check that out, the video's over there.
[00:47:12.458 --> 00:47:13.079]  Great, great.
[00:47:13.119 --> 00:47:14.780]  Well, thank you, David, for your activism.
[00:47:14.820 --> 00:47:19.262]  Thank you for getting involved, and thank you for continuing to plug away at it.
[00:47:19.402 --> 00:47:25.486]  Even when one avenue doesn't work, we just turn around and we try something else, but we can't give up on liberty.
[00:47:25.546 --> 00:47:26.767]  It's just too important.
[00:47:26.927 --> 00:47:27.427]  Thank you so much.
[00:47:27.447 --> 00:47:28.308]  Yeah, thank you.
[00:47:28.868 --> 00:47:30.089]  It's a marathon, not a sprint.
[00:47:30.129 --> 00:47:31.289]  I really believe that at this point.
[00:47:31.510 --> 00:47:31.890]  That's right.
[00:47:32.010 --> 00:47:32.330]  Thank you.
[00:47:32.970 --> 00:47:33.191]  Thanks.
[00:47:33.371 --> 00:47:33.631]  Bye-bye.
[00:47:34.414 --> 00:47:36.835]  Well, as David said, it's very important that people wake up.
[00:47:36.975 --> 00:47:37.875]  How are they going to wake up?
[00:47:38.015 --> 00:47:39.916]  What form of activism are you going to take?
[00:47:40.116 --> 00:47:49.178]  Well, at this point, I wouldn't discourage anybody from getting involved in the political process, as I said, but I think that there's a lot of groundwork that still needs to be done to wake people up.
[00:47:49.519 --> 00:47:51.779]  One of the ways you can do that is with documentaries.
[00:47:51.859 --> 00:47:53.980]  One of the best ways you can do that, and our documentary
[00:47:54.540 --> 00:47:55.081]  We're good to go.
[00:48:13.621 --> 00:48:14.101]  We're good to go.
[00:48:38.678 --> 00:48:38.938]  I think so.
[00:48:57.959 --> 00:49:03.421]  And with one subscription, you can get up to 10 friends can watch this at the same time with you.
[00:49:03.661 --> 00:49:04.562]  Well, that's it for tonight.
[00:49:04.602 --> 00:49:07.423]  We'll be back tomorrow night with the premiere of State of Mind.
[00:49:07.543 --> 00:49:09.284]  And that's going to start right after the news.
[00:49:09.324 --> 00:49:11.585]  The news will begin at 7 Central, 8 p.m.
[00:49:11.645 --> 00:49:11.925]  Eastern.
[00:49:35.512 --> 00:49:40.779]  Now you can watch the Alex Jones Show live as it happens at InfoWars.com slash show.
[00:49:41.159 --> 00:49:46.206]  You'll find links to all of our content there and a free 15 day trial for Prison Planet TV.
[00:49:46.687 --> 00:49:52.474]  More than 60 movies and documentaries all in one place at InfoWars.com slash show.
