[00:00:21.974 --> 00:00:23.555]  It's Tuesday, October 15th.
[00:29:57.882 --> 00:30:00.643]  There are a lot of people who are familiar with the case that
[00:30:01.323 --> 00:30:02.924]  I completely believe that I'm in the wrong.
[00:30:02.944 --> 00:30:08.309]  I call them statists, and then there are those that saw that I wasn't doing anything wrong at all.
[00:30:08.369 --> 00:30:09.650]  I call them constitutionalists.
[00:30:10.030 --> 00:30:13.593]  Saturday, Open Carry March at San Antonio, Line in the Sand.
[00:30:13.613 --> 00:30:14.914]  We're going to be from 10 to 1 o'clock.
[00:30:14.955 --> 00:30:19.258]  We've got over 1,000 people coming, and it's going to be a great big event.
[00:30:19.318 --> 00:30:24.322]  All kinds of groups and organizations coming together to spread the word about Open Carry.
[00:30:24.402 --> 00:30:25.083]  So be there.
[00:30:25.183 --> 00:30:28.146]  San Antonio at the Alamo, 10 o'clock this Saturday, October 19th.
[00:30:41.937 --> 00:30:42.838]  My name's Dave Matheny.
[00:30:43.298 --> 00:30:44.719]  I'm the owner of Silencer Shop.
[00:30:44.739 --> 00:30:48.002]  For the people who don't know, what is a silencer or suppressor?
[00:30:48.182 --> 00:30:50.463]  A suppressor is just like the muffler on your car.
[00:30:50.483 --> 00:30:56.328]  In fact, the first car mufflers were actually firearm silencers that had been attached to cars to make them quieter.
[00:30:56.548 --> 00:31:01.212]  Now the technology in car mufflers has moved on, partially because they're not so heavily regulated.
[00:31:01.792 --> 00:31:08.997]  But essentially all it is, is taking the expanding gases that create the blast out of the end of the muzzle and allowing them to
[00:31:09.898 --> 00:31:10.719]  We're good to go.
[00:31:31.253 --> 00:31:39.580]  And what they don't realize, even in that article it mentioned like on an AR-15 with a top of the line suppressor, you're quieting the gun down to the level of a jackhammer.
[00:31:39.780 --> 00:31:47.005]  Now these are your typical AR-15 suppressors, 5.56mm on this left hand side, or your right hand side of the case.
[00:31:48.427 --> 00:31:51.909]  These are all going to be quick attach, so they'll just quick attach onto an AR-15.
[00:31:52.089 --> 00:31:54.832]  Do you think all this new regulation is necessary?
[00:31:55.672 --> 00:31:56.973]  Oh, not at all.
[00:31:57.274 --> 00:32:03.660]  Basically what you're talking about, with suppressors in general, it probably is the most highly regulated item in the firearms market already.
[00:32:04.100 --> 00:32:10.707]  And when you consider that it's really nothing more than a safety device, the regulation that's already there could be considered to be kind of ridiculous.
[00:32:11.027 --> 00:32:12.488]  This is a .338 Lapua.
[00:32:12.649 --> 00:32:13.770]  It's a Desert Tactical.
[00:32:14.591 --> 00:32:23.819]  This gun is so loud without a silencer that it literally goes off the top level of our sound meter, which maxes out around 175-180 decibels.
[00:32:24.020 --> 00:32:27.343]  With that suppressor, it's hearing safe and quieter than a .22.
[00:32:27.643 --> 00:32:28.784]  Quieter than a .22?
[00:32:28.844 --> 00:32:29.685]  Quieter than a .22.
[00:32:29.785 --> 00:32:30.346]  By a lot.
[00:32:30.866 --> 00:32:35.331]  Explain to us the difference between having a Class 3 license or the truss that you do.
[00:32:36.360 --> 00:32:40.024]  Well, a Class 3 license is a license to sell silencers.
[00:32:40.225 --> 00:32:42.748]  So, for example, we would have a Class 3 license.
[00:32:42.908 --> 00:32:44.089]  We sell a lot of silencers.
[00:32:44.189 --> 00:32:46.552]  When you purchase a suppressor, there are three ways to register it.
[00:32:47.693 --> 00:32:50.517]  The most restrictive way to register is as an individual.
[00:32:50.817 --> 00:32:54.301]  Because if you register as an individual, it really is tied to you as a person.
[00:32:54.722 --> 00:32:55.843]  So let's say you buy one.
[00:32:56.801 --> 00:33:01.345]  As an individual, your wife uses a home defense gun when you're not home, that's a felony.
[00:33:01.845 --> 00:33:06.408]  So, what a lot of people do in order to deal with situations like that is to use a trust.
[00:33:07.009 --> 00:33:15.635]  So, you set up a trust, really simple thing to set up, you add your family members to it, and then anybody who's listed in the trust as a trustee can have independent possession.
[00:33:15.836 --> 00:33:18.137]  What they're talking about, they're talking about the gun trust loophole.
[00:33:18.658 --> 00:33:24.302]  They fill out all the paperwork that goes directly to the ATF and sits there for seven to eight months before it gets approved.
[00:33:26.747 --> 00:33:29.170]  I don't know if it's just me, but to me that is not what criminals do.
[00:33:30.131 --> 00:33:31.552]  Is the Second Amendment absolute?
[00:33:32.654 --> 00:33:34.596]  I believe so, yeah.
[00:33:35.216 --> 00:33:36.938]  I think there are good reasons to have that in place.
[00:33:36.958 --> 00:33:42.084]  So what would you say to the people, you know, they see these shootings and they say, you know, this has got to stop.
[00:33:42.124 --> 00:33:44.947]  We see so many shootings and the children and all these things.
[00:33:45.628 --> 00:33:47.570]  Why would we not want more gun regulations?
[00:33:48.090 --> 00:33:57.643]  Everybody agrees these are tragedies, but even putting aside that they're blown out of proportion to a lot of extent, increasing the level of gun legislation is going to make no difference to this.
[00:33:58.143 --> 00:34:01.748]  You look at the recent shooting that just happened, what, last week or the week before?
[00:34:01.768 --> 00:34:03.390]  That was done with a pump shotgun.
[00:34:03.550 --> 00:34:07.972]  And you know, it's funny because a couple months before that, Joe Biden was standing there saying everybody should own one.
[00:34:08.052 --> 00:34:19.797]  As I told my wife, I said, Jill, if there's ever a problem, just walk out on the balcony here or walk out that double barrel shotgun and fire two blasts outside the house.
[00:34:20.197 --> 00:34:22.758]  What they're trying to do really is ban firearms in general.
[00:34:23.079 --> 00:34:25.960]  Whatever tragedy happens to happen, they're going to use it for political purposes.
