[00:00:19.398 --> 00:00:20.739]  It's Tuesday, September 10th.
[00:28:06.616 --> 00:28:10.119]  It can compromise your immune system or damage your body in ways that
[00:28:11.351 --> 00:28:13.592]  These other treatments can't overcome.
[00:28:14.273 --> 00:28:17.614]  We see this type of thing even to the extent of the food that we eat.
[00:28:18.255 --> 00:28:24.398]  Having SWAT teams come down on farmers, having SWAT teams come down on dairymen who have raw milk.
[00:28:25.058 --> 00:28:29.760]  And it's something that really gets people's attention when you start talking about the medical issues.
[00:28:30.180 --> 00:28:31.401]  And there's two sides of this.
[00:28:31.461 --> 00:28:39.545]  They're forcing things on us like vaccines as well as keeping terminal patients from trying things that they believe would be in their best interest.
[00:28:39.565 --> 00:28:40.886]  It seems to me like they would at least
[00:28:41.406 --> 00:28:41.727]  Absolutely.
[00:28:50.809 --> 00:28:58.173]  The fact that you have to be considered, you know, basically, what do they call it, terminal.
[00:28:58.694 --> 00:29:07.799]  I mean, with no hope or chance for you to even be able to get considered to be part of Brzezinski's trial right now by the FDA and be treated legally is kind of disgusting.
[00:29:07.859 --> 00:29:14.843]  I mean, you have to go through all the chemo, go through any surgery they recommend, and it's still, there's no chance and you're just not going to make it.
[00:29:15.143 --> 00:29:16.784]  Then, oh yeah, then you can try this guy.
[00:29:17.404 --> 00:29:25.689]  And he still saves some of them, but I mean, by then you have children, mainly, that have been so affected by the chemotherapy that literally their brains melt.
[00:29:25.709 --> 00:29:28.731]  I mean, that's how toxic the medication is.
[00:29:29.051 --> 00:29:31.012]  That's the conventional way to treat this disease.
[00:29:31.532 --> 00:29:35.455]  And if you remember one time in the United States, we were talking about
[00:29:37.216 --> 00:29:44.020]  Millions upon millions, 20 million deaths probably or more conservatively speaking in the last 20 years from cancer in the U.S.
[00:29:44.240 --> 00:29:44.560]  alone.
[00:29:44.620 --> 00:29:46.962]  I mean, that's a holocaust proportion right there.
[00:29:46.982 --> 00:29:48.322]  Those are big, big numbers.
[00:29:49.063 --> 00:29:59.029]  I think eventually we're going to go back and look at these days or the people, the generations that come after us will go back and look at chemotherapy and the treatments that we have for cancer in the same way that we go back and look at
[00:29:59.716 --> 00:30:06.397]  Doctors treating people with leeches and bleeding them out are giving them massive doses of mercury like they did George Washington that killed him.
[00:30:07.136 --> 00:30:09.097]  Well you've got a couple of great projects going.
[00:30:09.217 --> 00:30:23.121]  You've got both this documentary that can educate people and save lives as well as this app which can pull together a lot of information to help people if they're pulled over to traffic stop and run this thing without waiting for trouble to start.
[00:30:23.261 --> 00:30:24.261]  It's kind of a preventive.
[00:30:24.301 --> 00:30:25.462]  It's kind of a prophylactic.
[00:30:25.662 --> 00:30:27.402]  I think those are a couple of great ideas.
[00:30:28.083 --> 00:30:30.863]  And so tell us again what those two projects are.
[00:30:30.903 --> 00:30:32.644]  Give us the name of that and the Indiegogo project.
[00:30:33.525 --> 00:30:41.850]  The documentary is called Prescription for Murder, and it's a totally non-profit film, and the film will be free to the public for download when it's done.
[00:30:42.470 --> 00:30:47.053]  So we're patching it up and have all the belief in this to where we're not getting charged.
[00:30:47.093 --> 00:30:48.233]  We just want people to see it.
[00:30:49.614 --> 00:30:50.114]  No charge.
[00:30:50.274 --> 00:30:53.256]  We don't really think a cure should be charged either, but that's out of our hands.
[00:30:54.357 --> 00:30:57.058]  Everybody should at least know that this exists.
[00:30:57.478 --> 00:30:57.919]  That's great.
[00:30:57.939 --> 00:30:58.819]  That's a different way to do it.
[00:30:58.839 --> 00:31:02.081]  So you get your money up front with the Indiegogo, and then it'll be put out for free.
[00:31:02.688 --> 00:31:03.530]  It'll be a free project.
[00:31:03.570 --> 00:31:03.811]  Great.
[00:31:04.312 --> 00:31:05.716]  And then, tell us about the app.
[00:31:06.318 --> 00:31:09.165]  How is that going to... Tell us about the Indiegogo campaign with that.
[00:31:09.205 --> 00:31:10.449]  How do people participate in that?
[00:31:11.323 --> 00:31:14.844]  Yeah, the Freedom Genie app is on Indiegogo.
[00:31:15.344 --> 00:31:33.488]  And once again, that's the app to help protect you at illegal checkpoints, DUIs, border inspections, anything to where you can stream the event live and actually be able to have your phone automatically text, email, notify your families and lawyers in case you are being detained by law enforcement or any other kind of official.
[00:31:34.144 --> 00:31:40.267]  Yeah, and as you point out on your Indiegogo app page, we have the highest incarceration rate in the world.
[00:31:40.707 --> 00:31:51.933]  Actually, the highest absolute numbers, even though we're in competition with other people like the Communist Chinese, and they have a much larger population base, we have even more people in terms of absolute numbers.
[00:31:52.373 --> 00:31:54.594]  And it's not just people that are out there drunk driving.
[00:31:54.974 --> 00:31:58.116]  They have these border stops within 100 miles of the border.
[00:31:58.156 --> 00:32:00.337]  They consider that now to be a Constitution-free zone.
[00:32:00.998 --> 00:32:03.803]  So the only way that we can do that is to basically keep an eye on them.
[00:32:04.163 --> 00:32:08.071]  And then the last thing, tell us again what you think you're going to do with Off The Hook TV.
[00:32:08.151 --> 00:32:10.235]  Are you going to continue running that?
[00:32:12.338 --> 00:32:15.340]  It's still going to be up and operations will still be going.
[00:32:15.360 --> 00:32:20.162]  We have a few skits and funny videos in mind.
[00:32:20.182 --> 00:32:27.026]  We might be having our younger generations and siblings go ahead and take it from here and see where it can go.
[00:32:27.046 --> 00:32:32.870]  Really excited to make a difference in the world now and actually expose things that will make a difference.
[00:32:33.510 --> 00:32:44.976]  So, I'm not saying I'm done with the funny videos or anything, but I think for now, I'm just going to let it be and have a little fun with it once in a while and just focus on something, you know, very important.
[00:32:44.996 --> 00:32:45.616]  Take it more serious.
[00:32:45.636 --> 00:32:47.417]  Yeah, you've got two serious directions you're moving.
[00:32:47.997 --> 00:32:54.000]  Well, you've done a great job and you did an amazing job of promoting the video and getting views.
[00:32:54.140 --> 00:32:55.741]  It really, it went viral.
[00:32:55.761 --> 00:32:57.482]  You had Michael Moore tweeting about it.
[00:32:57.522 --> 00:33:01.043]  You really, really got under his skin and that's something to be proud of.
[00:33:02.584 --> 00:33:03.625]  Maybe in Piers Morgan.
[00:33:03.645 --> 00:33:03.925]  I don't know.
[00:33:03.965 --> 00:33:05.746]  Maybe they were the two individuals that called.
[00:33:05.786 --> 00:33:06.126]  I don't know.
[00:33:07.507 --> 00:33:09.088]  But best of luck to you, Telly.
[00:33:09.748 --> 00:33:10.749]  And you too, Phil.
[00:33:10.929 --> 00:33:14.231]  And I hope these new Indiegogo campaigns work out for you.
[00:33:14.671 --> 00:33:16.512]  You've done a great job, and they're very important.
[00:33:17.233 --> 00:33:17.553]  Thanks a lot.
[00:33:17.573 --> 00:33:18.033]  Thank you very much.
[00:33:18.293 --> 00:33:18.654]  Thank you.
[00:33:18.934 --> 00:33:19.194]  Bye-bye.
[00:33:21.340 --> 00:33:23.641]  We certainly wish Kelly the best in his new endeavors.
[00:33:23.921 --> 00:33:26.743]  Consider going to his Indiegogo campaigns and supporting him.
[00:33:27.303 --> 00:33:35.488]  Those are serious endeavors that he's involved in, trying to help people understand what's going on with cancer, as well as the Freedom Genie app on Indiegogo.
[00:33:36.397 --> 00:33:46.539]  Well, while Telly is producing a documentary, we already have a documentary available that talks about treatments from medical marijuana and how those are being suppressed by the FDA and by the DEA.
[00:33:47.059 --> 00:33:59.282]  American Drug War 2 tells the story of medical marijuana, not only the alleviation of symptoms and the help of nausea and the effects of chemotherapy, but also its curative effects.
[00:33:59.662 --> 00:34:02.423]  And that's available exclusively from Infowarsstore.com.
[00:34:03.570 --> 00:34:04.333]  That's it for tonight.
[00:34:04.433 --> 00:34:06.842]  Join us every weeknight at 7 central, 8 p.m.
[00:34:06.942 --> 00:34:09.230]  Eastern for the InfoWars Nightly News.
[00:34:15.450 --> 00:34:20.572]  Now you can watch Alex Jones live at InfoWars.com forward slash show.
[00:34:20.732 --> 00:34:25.834]  You'll find links to all of our content there and a free 15-day trial for Prison Planet TV.
[00:34:26.214 --> 00:34:34.117]  You can also browse the network, the InfoWars Nightly News, and over 60 movies and documentaries all together in one place.
[00:34:34.337 --> 00:34:37.318]  You can watch the Alex Jones Radio Show live as it happens.
[00:34:37.699 --> 00:34:40.980]  So check it out, InfoWars.com forward slash show.
