[00:00:14.273 --> 00:00:17.055]  It's time for humanity to stand up in the info war!
[00:26:38.638 --> 00:26:41.221]  Well, what I saw, I didn't see anything hit.
[00:26:41.241 --> 00:26:48.608]  I looked very, almost straight above us, and there's a vapor trail coming from my right to my left, and there's a cloud of, uh, something.
[00:26:48.628 --> 00:26:50.730]  It looks like it might have been an explosion.
[00:26:50.750 --> 00:26:51.951]  A cloud, uh, or I'd say...
[00:27:03.455 --> 00:27:08.162]  Okay, you take over.
[00:27:08.202 --> 00:27:09.784]  My apologies.
[00:27:09.844 --> 00:27:12.107]  He's putting on a gas mask.
[00:27:12.128 --> 00:27:14.531]  There hasn't been any gas dropped here.
[00:27:14.571 --> 00:27:15.212]  We can tell.
[00:27:15.392 --> 00:27:16.133]  You smell anything?
[00:27:16.174 --> 00:27:16.234]  No.
[00:27:20.357 --> 00:27:23.642]  You may smell some of the fumes from a missile exhaust going off.
[00:27:23.682 --> 00:27:26.706]  The missiles used a rocket accordite, some sort of burning.
[00:27:26.726 --> 00:27:29.029]  We just heard a little funk just then.
[00:27:29.189 --> 00:27:30.931]  I have to apologize for that.
[00:27:31.051 --> 00:27:35.537]  I thought I was listening to something and felt momentarily dizzy.
[00:27:35.597 --> 00:27:36.859]  You're more experienced.
[00:27:37.159 --> 00:27:47.926]  Remember that's only a small portion of hours of raw CNN feed that back in the old days they didn't scramble the big satellite feeds because they thought most people wouldn't have a 12-foot dish to get it.
[00:27:48.227 --> 00:27:52.950]  But people did record that and that's how they got caught with their pants down.
[00:27:53.530 --> 00:28:00.935]  And notice that blue screen in the background, so they could project the Tel Aviv and Jerusalem skylines in the background.
[00:28:01.355 --> 00:28:03.016]  Coming up, we've got Anderson Cooper.
[00:28:03.336 --> 00:28:06.978]  Supposedly it's Sandy Hook, and it's clearly blue screen.
[00:28:07.318 --> 00:28:08.919]  I've worked with blue screen for 17 years.
[00:28:08.939 --> 00:28:09.840]  We've got it right in there.
[00:28:10.480 --> 00:28:11.501]  We know what it looks like.
[00:28:11.541 --> 00:28:12.982]  We know what the anomalies look like.
[00:28:13.662 --> 00:28:15.764]  And we know what happens when you don't tune it properly.
[00:28:16.244 --> 00:28:17.384]  It's clearly blue screen.
[00:28:18.265 --> 00:28:19.926]  And you can draw from that what you want.
[00:28:19.966 --> 00:28:20.987]  That's coming up in a moment.
[00:28:21.667 --> 00:28:23.008]  So CNN's done it before.
[00:28:23.748 --> 00:28:37.174]  I have mainstream news articles here out of the Washington Post, out of World Net Daily, where CNN had to admit that they had army psychological warfare inside of their system, basically crafting the news.
[00:28:37.654 --> 00:28:54.086]  And then of course we have things like Operation Northwoods, where in 1961 the Joint Chiefs came to Kennedy with Lemnitzer's plan and said we want to stage shootings around America in crowded public places like movie theaters and things and on the street to blame the Soviets as a pretext for war with Cuba.
[00:28:54.607 --> 00:28:55.647]  And Kennedy said no.
[00:28:55.828 --> 00:29:06.656]  They've had the plan for mass shootings before, so we can't be attacked and others can't be attacked for questioning known liars who put on fake news and questioning a government that's been caught
[00:29:07.811 --> 00:29:09.071]  Wanting to stage shootings.
[00:29:09.552 --> 00:29:11.492]  And they didn't just plan to stage shootings.
[00:29:12.152 --> 00:29:32.618]  In the 60s, 70s and 80s, this was declassified by the Italian government and their president and the head of their CIA a few years ago, that the US government used terrorists to stage terror attacks and NATO did this as well to blame their political opposition, be they left or right, similar to what we saw with Oklahoma City.
[00:29:33.118 --> 00:29:36.939]  And part of that program was called the NATO Option or Operation Gladio.
[00:29:37.339 --> 00:29:39.340]  So look that up for yourself.
[00:29:39.920 --> 00:29:52.386]  I've also interviewed police officers that were involved in the rescue at Oklahoma City, like Mr. Browning, who's in the award-winning film, A Noble Lie, who were threatened by the FBI if they talked about what they knew with death.
[00:29:53.546 --> 00:30:04.591]  I was told more than once or twice by agents in the area that people like my wife and I would have ended up dead by not going along with what we knew to be true.
[00:30:06.363 --> 00:30:23.498]  Well, so you're a decorated Vietnam veteran, police officer, one of the heroes that responded when there could have been other bombs and was thought there were other bombs, and the FBI agents in the police office are telling you, do what you're told or you and your wife are dead.
[00:30:23.558 --> 00:30:26.060]  And you're saying this on record here, sir.
[00:30:26.700 --> 00:30:26.981]  Yes, sir.
[00:30:27.481 --> 00:30:28.222]  What do they know about?
[00:30:28.883 --> 00:30:31.825]  Federal agents inside planning the bombs in Oklahoma City.
[00:30:31.845 --> 00:30:40.794]  And it was Attorney General Holder, who later ran the false flag of Fast and Furious, who was Deputy Attorney General back in 1995, who ran the cover-up.
[00:30:41.075 --> 00:30:47.161]  And those emails have come out in different lawsuits that are available online, if you'd like to look those up.
[00:30:47.561 --> 00:30:49.202]  Go out and check everything I'm telling you.
[00:30:49.422 --> 00:30:51.983]  You're going to find out it's even worse than I'm saying.
[00:30:52.023 --> 00:30:57.105]  In fact, that's what I get criticized for is, you know, not covering at all this piece of evidence, that piece of evidence.
[00:30:57.406 --> 00:30:58.286]  There's too many.
[00:30:59.126 --> 00:31:04.409]  I clearly believe from the evidence children are really killed in Sandy Hook and it's a real tragedy.
[00:31:04.929 --> 00:31:10.932]  But the fact that they're having people script things and that answers are being scripted is incontrovertible.
[00:31:11.152 --> 00:31:13.073]  We're going to get to some of that evidence right now.
[00:31:14.304 --> 00:31:22.171]  It's believed at this hour and it's been confirmed to ABC News by state police there in Connecticut that two shooters were initially believed involved in the mass shooting.
[00:31:22.231 --> 00:31:24.012]  One of those shooters now dead.
[00:31:24.132 --> 00:31:32.379]  What's not been confirmed is whether or not that gunman took his own life or whether or not there was something that ensued after authorities began arriving at the scene.
[00:31:32.399 --> 00:31:37.804]  Now I'm just going to hit a few of the big unanswered questions of Sandy Hook.
[00:31:38.084 --> 00:31:38.525]  Just a few.
[00:31:39.662 --> 00:31:43.543]  The mainstream media keeps saying conspiracy theorists say there were multiple shooters.
[00:31:44.124 --> 00:31:47.325]  Nobody said that but a few poor five-year-olds who were traumatized.
[00:31:48.445 --> 00:31:55.808]  So we go and look and there's countless adult witnesses, there's helicopter footage, there's police reports, there's video, there's
[00:31:56.963 --> 00:32:06.346]  There's local news accounts saying, oh, it was a tactical officer from a nearby jurisdiction who happened to be hanging out in the woods and wearing the same thing as what people said the shooters were wearing.
[00:32:07.046 --> 00:32:07.647]  No big deal.
[00:32:07.667 --> 00:32:09.007]  Let's just go ahead and ignore that.
[00:32:09.047 --> 00:32:12.208]  And that's in the Newtown Bee and other publications.
[00:32:12.288 --> 00:32:18.690]  And then again, we have the newscast saying other shooters and showing people being grabbed in the woods.
[00:32:18.850 --> 00:32:20.151]  But we're told we never saw that.
[00:32:20.551 --> 00:32:20.991]  Here's a clip.
[00:32:21.854 --> 00:32:23.274]  They did walk a guy out of the woods.
[00:32:23.374 --> 00:32:25.835]  I saw him walk a guy out earlier with handcuffs.
[00:32:26.455 --> 00:32:27.976]  He walked by us and said he didn't do it.
[00:32:27.996 --> 00:32:29.096]  It was a grown man?
[00:32:29.116 --> 00:32:29.896]  A grown man, yeah.
[00:32:29.916 --> 00:32:31.657]  He's sitting in the front of the police car over there now.
[00:32:32.837 --> 00:32:34.158]  So, I mean... He didn't have a gun?
[00:32:34.178 --> 00:32:34.218]  No.
[00:32:34.618 --> 00:32:35.618]  I didn't see any gun.
[00:32:35.658 --> 00:32:37.079]  Just had him handcuffed.
[00:32:37.099 --> 00:32:40.360]  And he walked by us and looked into parents' eyes and said, I didn't do it.
[00:32:40.880 --> 00:32:42.180]  How was he dressed?
[00:32:42.260 --> 00:32:44.461]  Camo pants with a dark jacket.
[00:32:46.767 --> 00:32:47.688]  That's six, this is it.
[00:33:04.793 --> 00:33:12.183]  One of the big issues out there that has people asking questions is Robbie Parker, who reportedly lost one of his daughters.
[00:33:13.025 --> 00:33:18.472]  And people see the photos out there where it looks like Obama's meeting with all three of his children, and things like that.
[00:33:19.580 --> 00:33:26.862]  And when you watch the footage, I know grieving parents do strange things, but it looks like he's saying, okay, do I read off the card?
[00:33:26.922 --> 00:33:33.283]  He's laughing and then he goes over and starts basically breaking down and crying.
[00:33:33.763 --> 00:33:34.744]  So let's show that clip.
[00:33:51.801 --> 00:33:54.242]  My name is Robbie Parker.
[00:33:56.523 --> 00:34:04.867]  My family is one of the families that lost a child yesterday in the Sandy Hook Elementary School shooting here in Connecticut.
[00:34:05.487 --> 00:34:07.328]  I haven't touched this, okay?
[00:34:07.408 --> 00:34:08.889]  All I know is they're seizing on it.
[00:34:09.649 --> 00:34:11.090]  They staged Fast and Furious.
[00:34:11.110 --> 00:34:19.354]  The head of Gun Owners of America has said on my own show, Larry Pratt, that if they'd staged Fast and Furious that killed thousands, our government, to blame the Second Amendment, they'd stage anything.
[00:34:19.835 --> 00:34:23.881]  What is your take right now on this situation?
[00:34:23.901 --> 00:34:27.726]  Obviously, they're seizing on it politically.
[00:34:27.786 --> 00:34:29.769]  Obama's saying you shouldn't have Simeono.
[00:34:30.329 --> 00:34:32.512]  We're seeing Michael Moore, all the usual suspects.
[00:34:32.693 --> 00:34:34.315]  Bloomberg's telling police to go on strike.
[00:34:34.335 --> 00:34:35.597]  We're going to cover all those points.
[00:34:37.000 --> 00:34:38.461]  What does your gut tell you?
[00:34:38.661 --> 00:34:46.968]  Now, we have to admit that maybe this is something that our government is capable of because this is only 12 people murdered.
[00:34:48.269 --> 00:34:50.751]  They were good for 400 in Fast and Furious.
[00:34:51.552 --> 00:34:55.875]  All I know is overall gun crime is going down, so I'm just defending the Second Amendment.
[00:34:56.455 --> 00:34:58.237]  But people are pointing this out.
[00:34:58.737 --> 00:34:59.578]  I didn't cover it.
[00:35:01.544 --> 00:35:09.887]  Until last week, they had the Lone Star College gang-related shooting, where three people were shot, thank God not killed.
[00:35:10.467 --> 00:35:15.088]  And CNN kept saying, we're not going to show you live feeds because of what you might see.
[00:35:15.168 --> 00:35:16.649]  We're going to show that in a moment.
[00:35:17.689 --> 00:35:23.514]  And I was watching the local KHOU and getting to see what people were actually saying.
[00:35:24.355 --> 00:35:30.419]  And so that's a big deal in news when they start deciding not to show you helicopter footage because of what you might see.
[00:35:30.800 --> 00:35:31.820]  Another school shooting.
[00:35:31.981 --> 00:35:37.125]  These are aerial pictures here in Harris County, Texas as we have been watching the better part of this last hour.
[00:35:37.745 --> 00:35:39.647]  North Harris campus is on lockdown.
[00:35:39.687 --> 00:35:41.128]  This is an active situation.
[00:35:41.168 --> 00:35:43.189]  We are not showing you live pictures because
[00:35:44.150 --> 00:35:47.133]  Because of what we may possibly see.
[00:35:47.413 --> 00:36:00.506]  As a result, we are showing you delayed tape pictures as police, SWAT, FBI now... This is the same CNN that staged scud attacks that their people were supposedly under with a blue screen.
[00:36:01.226 --> 00:36:03.548]  Now, ladies and gentlemen, the finale.
[00:36:05.490 --> 00:36:08.753]  I saw this footage where Anderson Cooper turns
[00:36:10.054 --> 00:36:15.718]  He's supposedly there at Sandy Hook in front of the memorial and his whole forehead and nose blurs out.
[00:36:16.138 --> 00:36:19.300]  I've been working with blue screen again for 17 years.
[00:36:19.380 --> 00:36:20.181]  I know what it looks like.
[00:36:20.901 --> 00:36:21.722]  It's clearly blue screen.
[00:36:22.302 --> 00:36:22.503]  Clearly!
[00:36:23.163 --> 00:36:25.385]  And I thought, that's got to be somebody's doctored YouTube.
[00:36:25.465 --> 00:36:26.225]  There's no way.
[00:36:27.286 --> 00:36:30.248]  We went to CNN, found a link where the whole interview had been posted.
[00:36:31.028 --> 00:36:31.629]  It's been removed.
[00:36:32.762 --> 00:36:36.565]  Oh, by the way, just like some of the earlier clips, like Robbie Parker, have been removed.
[00:36:36.585 --> 00:36:37.145]  I forgot that.
[00:36:37.826 --> 00:36:39.387]  So I'm thinking, okay, they took it down.
[00:36:39.707 --> 00:36:44.270]  Let me go to archive.org, which is a respected group that puts the archives up.
[00:36:44.931 --> 00:36:48.593]  And I found it all unedited right there, exact same footage in high def.
[00:36:48.633 --> 00:36:53.657]  And we're going to show you a clip of that right now, full size, and then we'll enhance it and blow it up.
[00:36:53.897 --> 00:36:58.780]  Alright folks, again, when we see these anomalous clips, we actually do our best to go to the source.
[00:36:59.480 --> 00:37:06.544]  And the best we can tell, they did post the entire interview after they did it on CNN.com, but it's been removed.
[00:37:06.924 --> 00:37:11.267]  But we went to Internet Archive, highly respected archive.org.
[00:37:11.767 --> 00:37:13.768]  This is not some, quote, conspiracy site.
[00:37:14.289 --> 00:37:14.689]  This is
[00:37:15.129 --> 00:37:16.851]  Is there anything else you want to say?
[00:37:16.871 --> 00:37:19.073]  Is there anything else you want to say?
[00:37:48.331 --> 00:37:50.817]  And Anderson Cooper has got some explaining to do.
[00:37:51.799 --> 00:37:54.105]  Because I know blue's green when I see it.
[00:37:54.806 --> 00:37:56.991]  I believe children died at Sandy Hook.
[00:37:58.420 --> 00:38:03.083]  And there are a lot of parents going through serious grief, so that can account for some of the strange behavior.
[00:38:03.544 --> 00:38:05.645]  Nothing can account for what happens to his nose.
[00:38:06.125 --> 00:38:10.769]  And this is CNN, admittedly run by the Pentagon and PSYOPS, Washington Post, World Net Daily.
[00:38:11.669 --> 00:38:12.730]  This needs to be investigated.
[00:38:12.970 --> 00:38:15.071]  They're clearly using this to go after our guns.
[00:38:15.111 --> 00:38:19.054]  The government knows overall violent crime is down 49% in the last 20 years.
[00:38:19.254 --> 00:38:20.835]  They know more guns means less crime.
[00:38:22.216 --> 00:38:23.737]  So they're clearly being opportunistic.
[00:38:23.777 --> 00:38:24.418]  That's undoubted.
[00:38:25.699 --> 00:38:27.988]  Something, though, is really starting to get suspicious here.
[00:38:28.410 --> 00:38:30.478]  I mean, I'm sick of it always being a conspiracy.
[00:38:31.417 --> 00:38:35.799]  We know it's a conspiracy that they're putting people on Prozac and stuff that makes them go out and do this.
[00:38:36.319 --> 00:38:39.361]  We know that's the real cause of some of these real shootings.
[00:38:39.961 --> 00:38:40.601]  It's at the root.
[00:38:41.021 --> 00:38:44.843]  But the fact that this whole thing can be staged, it's just mind-blowing.
[00:38:45.203 --> 00:38:46.244]  Tell us what you think.
[00:38:47.064 --> 00:38:50.726]  Great job to all the people out there, the crowdsourcing that are researching all these clips.
[00:38:51.046 --> 00:38:53.627]  No wonder CNN won't put out a live feed anymore.
[00:38:54.307 --> 00:38:57.409]  I mean, they are panicked because they know you're watching and I'm watching.
[00:38:57.769 --> 00:38:59.730]  Just like Kurt Haskell, lawyer with his wife.
[00:39:00.882 --> 00:39:02.663]  With the underwear bomber a few Christmases ago.
[00:39:03.123 --> 00:39:04.843]  He saw the government getting him on the plane.
[00:39:05.104 --> 00:39:07.024]  He was the only guy to tell that story for a month and a half.
[00:39:07.044 --> 00:39:12.986]  And then on C-SPAN, the Undersecretary of State Kennedy admitted that they'd been ordered by an unnamed U.S.
[00:39:13.066 --> 00:39:15.207]  agency to help that Patsy get on the plane.
[00:39:15.747 --> 00:39:28.332]  There have been numerous cases where our unilateral and uncoordinated revocation of the visa would have disrupted important investigations that were underway by one of our national security partners.
[00:39:28.988 --> 00:39:35.750]  They had the individual under investigation and our revocation action would have disclosed U.S.
[00:39:35.790 --> 00:39:46.593]  government's interest in that individual and ended our colleague's ability, such as the FBI, to pursue the case quietly and to identify terrorist plans and co-conspirators.
[00:39:47.273 --> 00:39:50.394]  The system's scared because they know I'm watching and you're watching.
[00:39:50.934 --> 00:39:57.316]  So you can't blame anybody for not believing known certified liars in the government and it's CNN.
[00:39:57.736 --> 00:39:58.396]  It's that simple.
[00:39:58.736 --> 00:40:00.237]  Sorry, we don't trust you anymore.
[00:40:00.757 --> 00:40:04.278]  If you told us the sun came up in the morning, people would go out and check before they believed you.
[00:40:04.818 --> 00:40:06.899]  Alex Jones signing off for InfoWars.com.
[00:40:12.586 --> 00:40:14.628]  Boy, did I almost look stupid.
[00:40:15.349 --> 00:40:18.531]  Charles Jaco, CNN, reporting live from Saudi Arabia.
[00:40:31.863 --> 00:40:34.145]  And that's going to do it for tonight's InfoWars Nightly News.
[00:40:34.185 --> 00:40:35.426]  I've been your host, Melissa Melton.
[00:40:35.446 --> 00:40:38.189]  Stay safe, and we'll see you back here again tomorrow at 7 p.m.
[00:40:38.209 --> 00:40:38.509]  Central.
