[00:00:22.515 --> 00:00:27.700]  Hi, I'm Gigi Ornette on your InfoWars Nightly News this August 7th, 2013.
[00:27:39.523 --> 00:27:45.945]  The two police officers start going in to forcefully take our newborn baby away from her.
[00:27:46.105 --> 00:27:48.766]  It starts to get into a nasty situation.
[00:27:49.606 --> 00:27:50.987]  And I'm just like, oh my God.
[00:27:51.067 --> 00:27:52.187]  And I knew what was going to happen.
[00:27:52.687 --> 00:27:56.108]  If my wife starts fighting with two cops and the baby gets hurt, we're going to get charged with it.
[00:27:56.288 --> 00:27:57.409]  We'll probably never see her again.
[00:27:58.249 --> 00:28:00.611]  So I was just like, man, we didn't have any choice.
[00:28:00.651 --> 00:28:02.853]  We had to let him take her.
[00:28:03.353 --> 00:28:09.539]  Otherwise, you take the chance of getting assault on a police officer, endangerment, all kinds of nasty things.
[00:28:09.579 --> 00:28:10.680]  How did you get her back?
[00:28:11.640 --> 00:28:14.123]  It took 10 and a half months.
[00:28:15.263 --> 00:28:20.228]  You just have to cooperate with everything they say to do.
[00:28:20.648 --> 00:28:23.671]  Go to treatment for mental health reasons.
[00:28:24.231 --> 00:28:25.652]  Abide by all the doctor's
[00:28:28.100 --> 00:28:35.366]  Prescribed treatments, whether it's vaccinating, show up for all your appointments, and they finally gave her back.
[00:28:35.486 --> 00:28:38.669]  But she was switched around three different times when she was a child.
[00:28:40.210 --> 00:28:46.375]  And DHS knows that is one of the most damaging things to do to a newborn and a parent.
[00:28:46.595 --> 00:28:52.179]  So that I understand it a little clearer too, you say DHS and CPS are all part of the same agency?
[00:28:52.460 --> 00:28:55.702]  Yeah, it's called DHS in Oregon, Department of Human Services.
[00:28:55.922 --> 00:28:57.664]  Oh, Human Services, okay, all right.
[00:28:58.573 --> 00:28:58.994]  Interesting.
[00:28:59.014 --> 00:29:03.718]  Well, give us your website again, and how people can reach you, because I'm sure there's going to be viewers with questions for you.
[00:29:05.020 --> 00:29:11.166]  Okay, you can go to GMO Free Jackson County on Facebook, or Mothers Against GMOs on Facebook.
[00:29:11.567 --> 00:29:12.207]  All right, great.
[00:29:12.267 --> 00:29:14.249]  And thank you so much for sharing with us, Aram.
[00:29:14.810 --> 00:29:15.350]  Thank you so much.
[00:29:15.491 --> 00:29:16.412]  And great job on the film.
[00:29:16.432 --> 00:29:17.713]  Appreciate it.
[00:29:19.346 --> 00:29:25.934]  To find out more about his film and the other films that are in the Paul Revere contest, go to infowars.com slash paulrevere.
[00:29:26.635 --> 00:29:28.718]  And his film is called Uncle Sam's Kids.
[00:29:28.758 --> 00:29:29.719]  Go and check that out.
[00:29:30.340 --> 00:29:31.241]  It's educational.
[00:29:31.281 --> 00:29:33.884]  It'll teach you a lot about CPS, first-hand account.
[00:29:34.665 --> 00:29:45.791]  And if you want to learn more about child trafficking in the United States, we have a book at InfoWarsStore.com, The Franklin Scandal, A Story of Power Brokers, Child Abuse, and Betrayal, by Nick Bryant.
[00:29:46.271 --> 00:29:52.635]  Go to the website today and read more about what's really happening in the United States and our corrupt government.
[00:29:53.395 --> 00:29:58.398]  I'm G. Giranetta, and join us tomorrow night, 7 o'clock, for the InfoWars Nightly News.
[00:30:05.034 --> 00:30:10.298]  Now you can watch the Alex Jones Show live as it happens at InfoWars.com slash show.
[00:30:10.679 --> 00:30:15.723]  You'll find links to all of our content there and a free 15 day trial for Prison Planet TV.
[00:30:16.203 --> 00:30:21.988]  More than 60 movies and documentaries all in one place at InfoWars.com slash show.
