[00:00:25.461 --> 00:00:28.422]  You've got one!
[00:22:44.925 --> 00:22:49.047]  elites to be able to carry out a criminal pump and dump with Facebook.
[00:22:49.932 --> 00:22:55.614]  And the stock lost half its value as we predicted, but after all, Zuckerberg says you're a bunch of dumb effers.
[00:22:56.034 --> 00:22:58.435]  That's how arrogant these would-be technocrats are.
[00:22:58.915 --> 00:23:03.437]  And then of course, last year we covered it in Virginia and got a lot of key intel.
[00:23:03.897 --> 00:23:14.041]  And now with Jim Tucker passing a few weeks ago, or about a week and a half ago, it's key that I be there, so I will be there, unless England blocks me from entering the country, as more and more authoritarian nations do.
[00:23:14.941 --> 00:23:21.806]  They tried to block me getting into Canada, but it became such a media frenzy that they allowed me in after 15 hours of interrogation.
[00:23:21.866 --> 00:23:26.370]  So we'll watch and see what happens with that.
[00:23:26.750 --> 00:23:39.219]  Now let's get into some deep news and analysis here in the big stack of news before we go to break and come back with Professor Griff here on InfoWars Nightly News all teleprompter free.
[00:23:40.544 --> 00:23:45.428]  Special Ops halted from responding to Benghazi attacks, U.S.
[00:23:45.448 --> 00:23:46.248]  diplomat says.
[00:23:46.609 --> 00:23:50.111]  And now the White House is trying to start demonizing these diplomats.
[00:23:50.612 --> 00:23:53.074]  I don't need them to tell me what happened.
[00:23:53.154 --> 00:23:57.277]  I don't need a congressional whitewash hearing where they claim there was systematic failure.
[00:23:57.437 --> 00:23:58.198]  There wasn't failure.
[00:23:58.358 --> 00:24:07.605]  There was a stand-down ordered for eight hours while two Predator drones were in the sky and while a C-130 was orbiting right off the coast of Libya, 20-30 minutes away.
[00:24:09.406 --> 00:24:10.487]  That has all come out.
[00:24:10.607 --> 00:24:12.108]  Of course the White House knew.
[00:24:12.529 --> 00:24:15.551]  Of course they wanted that ambassador and those people dead.
[00:24:16.192 --> 00:24:23.538]  So that when Al-Qaeda, who was the security force in Benghazi, that was the security force for them, they used their own people to kill them.
[00:24:24.218 --> 00:24:25.399]  Our government runs Al-Qaeda.
[00:24:26.040 --> 00:24:27.881]  The usurpers of our country run Al-Qaeda.
[00:24:28.802 --> 00:24:30.684]  And so of course they killed them.
[00:24:31.004 --> 00:24:37.369]  So that when Al-Qaeda starts shooting jet airliners down with 10,000 heat-seeking missiles they got in Benghazi.
[00:24:37.609 --> 00:24:38.210]  That's on record.
[00:24:40.097 --> 00:24:41.038]  They've been showing them off.
[00:24:41.078 --> 00:24:42.359]  They've been using them in Syria.
[00:24:44.140 --> 00:24:47.783]  So that when they do that, they can say, oh, we don't know how they got them.
[00:24:48.844 --> 00:24:58.052]  This is full-spectrum dominance, where they create the terrorist, aid the terrorist, so they can then take our liberties and make trillions in no-bid weapons contracts.
[00:24:58.632 --> 00:25:06.079]  Because America has been hijacked by corporate, special, anti-free market groups, who can't believe how much they've gotten away with.
[00:25:07.230 --> 00:25:10.832]  And they don't want us to ever get our country back.
[00:25:11.412 --> 00:25:15.295]  They want to successfully gut it, make us poor, get us under their political control.
[00:25:15.555 --> 00:25:17.596]  But this is really bubbling over.
[00:25:17.936 --> 00:25:22.819]  We'll be covering it on the radio and TV tomorrow after the hearings that start in Congress.
[00:25:23.259 --> 00:25:27.682]  But special ops halted from responding to Benghazi attacks.
[00:25:27.722 --> 00:25:31.404]  And we had Colonel Schaefer on a week after it happened saying that.
[00:25:31.464 --> 00:25:32.745]  I mean, this has all come out.
[00:25:33.581 --> 00:25:35.141]  I want to get Colonel Schaefer, by the way, back on.
[00:25:35.161 --> 00:25:35.801]  Do whatever it takes.
[00:25:35.861 --> 00:25:36.221]  Call him.
[00:25:36.382 --> 00:25:37.242]  Email him.
[00:25:37.262 --> 00:25:38.162]  You guys go after him.
[00:25:38.182 --> 00:25:38.562]  Get him on.
[00:25:39.062 --> 00:25:42.123]  White House refuses to address questions on Benghazi.
[00:25:42.163 --> 00:25:42.783]  Stand down.
[00:25:42.803 --> 00:25:44.003]  InfoWars.com.
[00:25:44.343 --> 00:25:45.383]  We break it down right there.
[00:25:45.663 --> 00:25:49.804]  Where is InfoWars tooting our horn that we broke all this the week after it happened?
[00:25:50.004 --> 00:25:53.605]  We should go back to our articles and say, see, we told you, and have flashbacks.
[00:25:54.045 --> 00:25:55.245]  Not because I even want credit.
[00:25:55.545 --> 00:25:57.145]  I want people to know we know what we're talking about.
[00:25:57.165 --> 00:25:57.785]  Okay?
[00:25:58.446 --> 00:26:00.106]  Because the media is trying to discredit us right now.
[00:26:01.451 --> 00:26:04.795]  Graham, I think the dam is about to break on Benghazi.
[00:26:04.815 --> 00:26:06.577]  You're like, ooh, he's getting to the bottom of it.
[00:26:06.657 --> 00:26:10.762]  Then he says, it was a systematic failure across the board.
[00:26:11.763 --> 00:26:12.865]  A system failure.
[00:26:12.885 --> 00:26:14.687]  It wasn't a failure.
[00:26:14.707 --> 00:26:21.375]  It'd be like Hitler at Nuremberg if he would have lived, saying, it was a failure, I screwed up.
[00:26:22.875 --> 00:26:25.976]  It's like if you caught somebody robbing a bank, you're like, sorry cops, it was a failure.
[00:26:26.576 --> 00:26:28.197]  It was a failure, I came in here and robbed it.
[00:26:28.837 --> 00:26:34.400]  State Department won't say its officials testify on Benghazi are credible people.
[00:26:35.420 --> 00:26:37.981]  White House tries to deflect criticism from Benghazi.
[00:26:39.722 --> 00:26:40.382]  Whistleblowers.
[00:26:42.768 --> 00:26:43.609]  So, there you go.
[00:26:43.649 --> 00:26:46.210]  They are certainly in panic mode right now.
[00:26:46.291 --> 00:26:47.191]  Benghazi witness.
[00:26:47.692 --> 00:26:47.772]  U.S.
[00:26:47.812 --> 00:26:52.015]  military response could have scared off attackers, prevented mortar strike.
[00:26:52.355 --> 00:26:57.418]  See, government hires a bunch of shallow people, so they don't figure it all out.
[00:26:57.498 --> 00:27:06.245]  It's like, um... They had all these FBI guys in the news after 9-11 going, it's like Al-Qaeda had moles in the Justice Department.
[00:27:06.505 --> 00:27:07.906]  They were always one step ahead of us.
[00:27:08.246 --> 00:27:09.907]  Of course they have moles.
[00:27:10.628 --> 00:27:11.989]  The globalists created them.
[00:27:13.007 --> 00:27:15.547]  Of course they're one step ahead of you, ten steps ahead of you.
[00:27:16.588 --> 00:27:18.288]  Now let's continue with the treason here.
[00:27:18.888 --> 00:27:23.989]  GM wins approval to build 1.3 billion Cadillac plant in China.
[00:27:24.309 --> 00:27:25.909]  They've already moved Volt over there.
[00:27:26.390 --> 00:27:28.370]  And again, this is in the Wall Street Journal.
[00:27:28.950 --> 00:27:30.690]  This is in Bloomberg today.
[00:27:32.851 --> 00:27:36.611]  This was in the agreement, what was it, three years ago?
[00:27:37.552 --> 00:27:38.892]  All we did was read the agreement.
[00:27:40.259 --> 00:27:42.699]  Actually, our listeners said, hey, look at this subsection of the agreement.
[00:27:42.959 --> 00:27:51.341]  And we covered it and said, wow, they're going to pay billions to move a plant to Brazil, billions and billions to move plants to China and Eastern Europe.
[00:27:52.121 --> 00:27:54.221]  I mean, my God, no wonder we're shutting down.
[00:27:54.241 --> 00:27:55.122]  There's no real jobs.
[00:27:55.342 --> 00:27:58.282]  They want you service-based, where they fully control you.
[00:27:58.362 --> 00:28:02.063]  They don't want America to be self-sufficient.
[00:28:03.263 --> 00:28:07.284]  So there's GM report out of Bloomberg.
[00:28:07.324 --> 00:28:08.784]  Here's one out of the Wall Street Journal.
[00:28:10.066 --> 00:28:12.268]  General Motors will build a Cadillac plant in China.
[00:28:13.689 --> 00:28:14.710]  I mean, it's a cream puff.
[00:28:14.811 --> 00:28:15.491]  It's a Cadillac.
[00:28:16.933 --> 00:28:22.218]  You can't, we can't, to quote Tony Montana, we can't even have Cadillac made here.
[00:28:22.498 --> 00:28:25.421]  Now they're saying they're going to move Jeep to Italy.
[00:28:29.524 --> 00:28:33.949]  Because Fiat, who by the way is at Bilderberg, the Fiat heir, he wants it that way.
[00:28:35.114 --> 00:28:41.676]  And nothing against the Italians, but my God, you know, keep your Ferraris, keep your whatevers, and you know, buy your sunglasses.
[00:28:41.716 --> 00:28:42.556]  You got great clothes.
[00:28:42.836 --> 00:28:43.557]  You're great people.
[00:28:43.957 --> 00:28:45.677]  But, you know, again, it's about globalism.
[00:28:45.717 --> 00:28:47.398]  It's about shut America down.
[00:28:49.938 --> 00:28:51.099]  Makes me so frustrated.
[00:28:52.419 --> 00:28:53.059]  Continuing.
[00:28:53.419 --> 00:28:57.041]  Senate passes Internet sales tax bill amid opposition from conservatives.
[00:28:57.581 --> 00:28:57.921]  Boom.
[00:28:58.741 --> 00:29:01.662]  That's to track and control and dominate the Internet.
[00:29:02.816 --> 00:29:05.461]  Internet sales tax bill faces tough selling house.
[00:29:05.842 --> 00:29:09.069]  They always tell you that so you don't think that there's a chance it'll pass.
[00:29:09.409 --> 00:29:10.712]  So you don't complain.
[00:29:10.732 --> 00:29:12.034]  It's a standard tactic.
[00:29:13.727 --> 00:29:23.354]  Republicans ride on Cruz control, and the Hill says they're split on whether the fact that he's being tough on tyranny, whether that's good.
[00:29:23.394 --> 00:29:25.275]  You mean the sold-out establishment Republicans?
[00:29:25.295 --> 00:29:36.402]  I mean, I gotta say, Ted Cruz, who we interviewed when he was running, who I was standoffish from just because I don't know him, has really turned out to even be more liberty-based than even
[00:29:37.703 --> 00:29:39.445]  Somebody like Rand Paul, who I like.
[00:29:40.546 --> 00:29:47.393]  I mean, he's getting in there asking real questions of the Federal Reserve, real questions of big sis, and they're freaking out.
[00:29:47.473 --> 00:29:52.899]  Here's an article with Harry Reid calls Senator Cruz a schoolyard bully.
[00:29:53.780 --> 00:30:08.689]  Cruz is incredibly calm, asks polite questions, and says things like, so, you just got the bill a day ago, 300 plus pages, on this, this or that, to Janet Napolitano, did you read the whole thing?
[00:30:08.709 --> 00:30:09.749]  She goes, yes I did.
[00:30:09.769 --> 00:30:13.251]  He goes, you had a busy weekend then, didn't you?
[00:30:13.992 --> 00:30:15.132]  It's obvious she's a liar.
[00:30:15.533 --> 00:30:17.814]  Just actually doing his job.
[00:30:19.463 --> 00:30:22.704]  So, you've got over two billion bullets and you're ordering more.
[00:30:22.824 --> 00:30:23.784]  What's going on with that?
[00:30:25.685 --> 00:30:26.525]  Oh, that's not credible.
[00:30:26.545 --> 00:30:27.526]  We're not getting any bullets.
[00:30:28.306 --> 00:30:29.266]  Okay.
[00:30:33.008 --> 00:30:36.669]  And then he just continues to bring up issues and then show them up as liars.
[00:30:37.722 --> 00:30:39.783]  And I don't like Rand Paul's filibuster.
[00:30:40.244 --> 00:30:45.567]  They are the model of the type of people that can lead this country out of globalist collectivization.
[00:30:46.047 --> 00:30:48.529]  So I gotta say it, I'm very, very excited about what's happening there.
[00:30:49.430 --> 00:30:58.716]  Let's continue now with the demonization of the real press in closing as we then go to break and come back with the extensive interview with Professor Griff.
[00:31:00.096 --> 00:31:06.921]  The case against rumors of government ammo stockpiling, that is the Atlantic Wire that might as well be White House run.
[00:31:08.467 --> 00:31:09.247]  Like Media Matters.
[00:31:09.567 --> 00:31:10.468]  And they quote Media Matters.
[00:31:10.928 --> 00:31:13.028]  And they say, Alex Jones has made it up.
[00:31:13.349 --> 00:31:15.409]  The bullets aren't for you.
[00:31:15.909 --> 00:31:20.351]  And they go on to say, it's not part of a secret army, as some have worried.
[00:31:20.971 --> 00:31:22.231]  And it links to Senator Inhofe.
[00:31:22.872 --> 00:31:27.593]  You know, it's funny they use that term, because that's what it's known in clandestine takeovers, is a secret army.
[00:31:28.093 --> 00:31:32.035]  A paramilitary force, you grow quietly, that funds itself with criminal activities.
[00:31:32.515 --> 00:31:34.635]  You know, the Contras using drug money, things like that.
[00:31:35.116 --> 00:31:36.076]  It's called a secret army.
[00:31:37.185 --> 00:31:40.667]  And they have a fifth branch of the military now under NORTHCOM.
[00:31:41.068 --> 00:31:59.020]  7,000 armored vehicles, anti-mine, machine guns, hand grenades, rocket launchers, spy networks, Secure Corps, Infra-Guard, clergy response teams, checkpoints, they say their main enemies, veterans, gun owners, conservatives, billions of rounds of ammo, domestic training, all of this going on.
[00:31:59.040 --> 00:32:01.741]  Yeah, that's just the latest purchase was 2,700.
[00:32:02.002 --> 00:32:03.142]  It's over 7,000 now.
[00:32:03.463 --> 00:32:06.265]  Video of Bradley's being deployed all over the country.
[00:32:07.365 --> 00:32:11.407]  Army Times admitting they're trying to quote, take on domestic groups, not Al Qaeda.
[00:32:13.267 --> 00:32:14.428]  All of this is going on.
[00:32:14.688 --> 00:32:24.211]  Obama's setting up a domestic security force, and they've gone from saying there are no bullets to saying, you know what, we are buying them, but it's a normal amount.
[00:32:24.771 --> 00:32:30.593]  And it turns out it's 10 to 11 to 12 times any previous purchase in any previous year, depending on how you crunch the numbers.
[00:32:30.873 --> 00:32:33.294]  And enough now to fight a 35 year war.
[00:32:34.195 --> 00:32:35.195]  Oh, look at those for America.
[00:32:38.490 --> 00:32:42.011]  A 35-year war in Iraq, at the numbers they were using.
[00:32:44.773 --> 00:32:46.573]  And they're cornering the market.
[00:32:46.593 --> 00:32:56.158]  They've now sent out a prospectus, and this has gotten no coverage, they've now sent out a prospectus that we broke last week, asking for
[00:32:58.234 --> 00:33:03.738]  Every major manufacturer, can you provide us with millions of more rounds a month?
[00:33:04.639 --> 00:33:06.721]  Whatever people can produce, they're buying it.
[00:33:07.281 --> 00:33:11.024]  And they go, oh, OK, if you'll deliver this in a year, we want the next year.
[00:33:11.304 --> 00:33:12.705]  We want everything you can build.
[00:33:12.745 --> 00:33:13.586]  Well, how much do you want?
[00:33:13.766 --> 00:33:16.988]  Whatever you can make to dry up the supply.
[00:33:17.369 --> 00:33:21.092]  And they're telling us that it doesn't exist and that we're crazy.
[00:33:22.361 --> 00:33:30.148]  And we broke that news, and now it's being picked up by Fox News, by the Washington Times, by others, and by World Net Daily.
[00:33:32.149 --> 00:33:43.679]  And that's what freaks the system out, is that we report something now, people go look up our research, find out it's true, it's fed.biz.gov, I mean, it's all right there, and it's freaking them out, because they're not in control of the narrative.
[00:33:43.719 --> 00:33:44.620]  Here's Steve's article.
[00:33:45.794 --> 00:33:46.875]  From a couple days ago, U.S.
[00:33:46.895 --> 00:33:53.861]  Senator Big Sis buying ammo to dry up supply, then picked up by World Net Daily, then picked up by Fox today.
[00:33:55.482 --> 00:33:58.425]  So, that is the type of stuff that's happening.
[00:33:58.985 --> 00:34:02.408]  And look, I'm just here to report to you that we're able to have an effect now.
[00:34:02.728 --> 00:34:03.869]  You're able to have an effect.
[00:34:04.910 --> 00:34:06.432]  And that's why it's so essential.
[00:34:07.975 --> 00:34:11.160]  That you support this platform that's fighting the globalists.
[00:34:11.400 --> 00:34:17.990]  Look, if you've got a prisonplanet.tv membership for $5.95 a month, that's 11 people can simultaneously log on to that.
[00:34:18.631 --> 00:34:21.074]  Give that username and passcode to your friends and family.
[00:34:21.515 --> 00:34:22.777]  Tell them to tune in.
[00:34:23.698 --> 00:34:47.193]  Tell them to go watch the high def films, to read the online books, the documentaries, the nightly news, to see the daytime show, to see all our reporters, and the little bit of money we're able to keep after bandwidth, we're able to get more reporters, more computers, more editing software, and be able to have some backup capital in case everything completely implodes.
[00:34:47.573 --> 00:34:49.895]  InfoWars needs to be stronger.
[00:34:50.455 --> 00:34:52.937]  And if you support us and vote with your dollars, we will be.
[00:34:54.298 --> 00:34:55.440]  Fortune favors the bold.
[00:34:56.501 --> 00:35:09.678]  That's an ancient Latin saying, but adopted by MI6 and the SAS, I personally have adopted it because my fortune I'm after is a future for humanity, a future for my children, a future for...
[00:35:11.027 --> 00:35:22.152]  Good people who freely want to deal with each other and build a better world instead of a bunch of gangs of people who want the guns and want us disarmed.
[00:35:22.172 --> 00:35:24.113]  I mean, this is gang psychology out of government.
[00:35:24.333 --> 00:35:31.417]  This is gang psychology, the red carpets, the helicopters, the fixed elections, the checkpoints, the government now.
[00:35:32.077 --> 00:35:35.178]  Issuing diplomatic immunity, basically, to every agency out there.
[00:35:35.558 --> 00:35:38.059]  Saying there's diplomatic immunity for the police, basically.
[00:35:38.400 --> 00:35:40.060]  Saying diplomatic immunity for corporations.
[00:35:40.100 --> 00:35:41.321]  They don't have this immunity.
[00:35:41.961 --> 00:35:42.781]  It's an illusion.
[00:35:43.201 --> 00:35:46.543]  Justice demands that they be brought to justice.
[00:35:46.903 --> 00:35:49.464]  And the universe will bring them to justice.
[00:35:49.804 --> 00:35:52.225]  And we are part of that manifestation of justice.
[00:35:54.714 --> 00:35:56.795]  And if you don't believe in God, you need to know something.
[00:35:56.995 --> 00:36:02.978]  The psychological studies out there show that praying and believing in God and calling on a higher power does empower you.
[00:36:03.498 --> 00:36:10.322]  So even if you don't believe in a physical God or in an energy force in the universe, it's there.
[00:36:11.202 --> 00:36:13.343]  And so you need to call on the good.
[00:36:15.484 --> 00:36:17.885]  We need to reach for our higher angels, not our lower ones.
[00:36:17.925 --> 00:36:19.846]  We need to decide we want to be good.
[00:36:19.886 --> 00:36:21.307]  We need to decide what good is.
[00:36:21.487 --> 00:36:22.988]  And we need to support it.
[00:36:24.588 --> 00:36:29.954]  Because we are at the crossroads of an epic battle for the future of our civilization and our species right now.
[00:36:30.675 --> 00:36:32.477]  This is a big deal that's happening right now.
[00:36:33.237 --> 00:36:36.181]  And most importantly, we need your prayers here at InfoWars.
[00:36:37.611 --> 00:36:48.456]  Lastly, because I'm so excited about it, and this is going to probably sell out the fastest of any magazine we've had, I don't say this because it's shameful to be a capitalist in free market and make money.
[00:36:48.916 --> 00:36:50.617]  I say it so you know you're getting a really good deal.
[00:36:51.438 --> 00:36:52.658]  Also part of capitalism.
[00:36:53.499 --> 00:36:55.980]  We're selling this magazine at cost.
[00:36:57.300 --> 00:36:57.881]  At cost.
[00:36:59.742 --> 00:37:03.683]  And quite frankly, I lose money on this issue putting three bumper stickers in it.
[00:37:04.204 --> 00:37:05.344]  This costs like 32 cents.
[00:37:07.932 --> 00:37:11.034]  To have a hundred something thousand of these printed a piece.
[00:37:11.794 --> 00:37:13.475]  If you punch it up, I'll show people on TV.
[00:37:14.075 --> 00:37:14.395]  Right here.
[00:37:15.036 --> 00:37:20.859]  This cost, this right here, this insert, 32 cents a piece at 110,000 of these printed.
[00:37:21.259 --> 00:37:22.500]  So that's 30 something thousand.
[00:37:22.540 --> 00:37:26.342]  Then the extra shipping and stuff, it's about $40,000 to have done this.
[00:37:27.102 --> 00:37:31.144]  Get them, put them on your car, put them on your own property, get them out to people.
[00:37:31.685 --> 00:37:35.807]  Because, because this, if this is successful, and
[00:37:38.246 --> 00:37:40.147]  This creates a meme like the French Resistance.
[00:37:40.167 --> 00:37:41.108]  We'll start doing this more.
[00:37:41.868 --> 00:37:44.550]  My goal is to find out the best ways to spend money to fight the tyrants.
[00:37:44.830 --> 00:37:53.476]  We've got like, let's not exaggerate, 400 injuries in the $115,000 Operation Paul Revere contest.
[00:37:54.256 --> 00:37:56.457]  I mean, some of this stuff is just dynamite.
[00:37:57.118 --> 00:37:58.859]  I'm salivating in resistance.
[00:37:59.339 --> 00:38:00.200]  That's what floats my boat.
[00:38:01.966 --> 00:38:04.227]  Some people like to hurt innocent people, they get off on that.
[00:38:04.267 --> 00:38:05.987]  Some people like to cheat people, they get off on that.
[00:38:06.307 --> 00:38:11.008]  Some people like to go water skiing or canoeing or, you know, that floats their boat, that does mine.
[00:38:11.328 --> 00:38:14.469]  You know, fighting tyranny, building a better world, that gets me excited.
[00:38:14.729 --> 00:38:15.969]  And I know that gets you excited.
[00:38:16.169 --> 00:38:17.690]  So let's kick some globalist butt.
[00:38:18.170 --> 00:38:25.651]  If you live in Central Texas especially, these are getting grabbed up quickly at over, what is it, 1,800 locations.
[00:38:25.691 --> 00:38:27.492]  We put like 50 or more of these out.
[00:38:28.652 --> 00:38:30.593]  These are all over the place in Central Texas.
[00:38:31.353 --> 00:38:37.477]  You can order them in bulk in groups of 10 up to 100, or you can subscribe and get it, this issue, in the next 12, or give a gift subscription.
[00:38:37.737 --> 00:38:38.777]  Great way to wake somebody up.
[00:38:39.218 --> 00:38:41.559]  12 big glossy magazines mailed to their door.
[00:38:43.120 --> 00:38:46.081]  It's $59.95 for 12 of them, and that includes the shipping.
[00:38:46.141 --> 00:38:47.262]  Most of the cost is the shipping.
[00:38:47.282 --> 00:38:48.823]  It'd be like $20 if it wasn't for the shipping.
[00:38:49.775 --> 00:38:52.257]  That's 12 times mailed out to you.
[00:38:52.878 --> 00:38:53.678]  So a great gift.
[00:38:54.058 --> 00:38:58.082]  Subscribe to the magazine, buy the ProPure water filters, go to the Seed Center.
[00:38:58.902 --> 00:39:01.504]  We're launching Operation Johnny Appleseed tomorrow.
[00:39:01.585 --> 00:39:01.925]  Right, Dick?
[00:39:02.565 --> 00:39:02.926]  Tomorrow.
[00:39:03.546 --> 00:39:04.287]  That'll be exciting.
[00:39:04.907 --> 00:39:05.428]  Support us.
[00:39:06.529 --> 00:39:07.449]  Support our sponsors.
[00:39:08.270 --> 00:39:09.331]  All right, ladies and gentlemen.
[00:39:09.831 --> 00:39:10.512]  Weldon's in here.
[00:39:10.552 --> 00:39:11.553]  Something exciting going on, bro?
[00:39:14.095 --> 00:39:15.496]  I talked to our buddy yesterday.
[00:39:17.062 --> 00:39:18.742]  I'll have to go out to his ranch in a couple weeks.
[00:39:19.523 --> 00:39:20.323]  All right, listen.
[00:39:21.563 --> 00:39:26.865]  That's it for the news and analysis and rant transmission.
[00:39:26.905 --> 00:39:37.707]  Teleprompter Free, we're going to come back with a powerful interview conducted about two weeks ago when he was being inducted into the Rock and Roll Hall of Fame in California, Professor Griff of Public Enemy.
[00:39:38.428 --> 00:39:43.249]  This is a big interview, and I hope you send it out to everybody you know.
[00:39:44.332 --> 00:39:46.514]  That's it for the news portion of Infowars Nightly News.
[00:39:46.554 --> 00:39:47.175]  Great job, crew.
[00:39:49.737 --> 00:39:52.779]  Up next... Black boots kicking doors in, man.
[00:39:53.400 --> 00:39:54.301]  That's what's to come.
[00:39:54.681 --> 00:39:56.523]  That's what's happening right now as we speak.
[00:39:59.151 --> 00:40:13.096]  The last of the people that voted for Barack Obama was groomed well via MTV, BET, and some of the multinational corporations that influence entertainment, arts, and culture.
[00:40:13.376 --> 00:40:17.778]  The people that control the media could probably fit right in this room with snacks right around.
[00:40:18.338 --> 00:40:27.462]  Monsanto, the World Army, FEMA camps, World Bank, Federal Reserve, those who constructed the Patriot Act, all of them in bed.
[00:40:28.482 --> 00:40:32.913]  There's so many wicked things going on in the government that, hell, we can't even tell you.
[00:40:33.535 --> 00:40:34.457]  You don't have the card.
[00:40:34.497 --> 00:40:35.500]  You don't know the handshake.
[00:40:35.841 --> 00:40:36.923]  You don't know the code word.
[00:40:38.095 --> 00:40:39.636]  And you need to kind of get used to that.
[00:40:40.077 --> 00:40:40.717]  We're doing it.
[00:40:40.957 --> 00:40:42.499]  We're putting together the documents.
[00:40:43.119 --> 00:40:45.661]  We're putting together the websites and the information.
[00:40:45.801 --> 00:40:48.524]  Infowarriors are going out spreading the truth.
[00:40:48.584 --> 00:40:52.727]  Professor Griff says Obama is a mass media deception.
[00:40:53.188 --> 00:40:59.173]  The Infowars exclusive interview premieres tonight on the Infowars Nightly News.
[00:41:03.070 --> 00:41:18.139]  The important thing about the Pro-1 filter today is that the material we use for removing fluoride and other heavy metals now will remove the latest form of fluoride called hydrofluorosilicic acid.
[00:41:18.579 --> 00:41:24.063]  There's no other fluoride reduction filter out there that will remove that type of fluoride.
[00:41:24.443 --> 00:41:26.064]  It's extremely important because
[00:41:26.784 --> 00:41:31.885]  Today we're hearing more and more cities are using that form of fluoride.
[00:41:32.105 --> 00:41:35.366]  We've been having medication forced on us through the water system for quite a while.
[00:41:35.406 --> 00:41:36.987]  Most people don't realize it.
[00:41:37.027 --> 00:41:39.947]  Most people don't realize the negative effects of fluoride.
[00:41:40.007 --> 00:41:45.489]  There's a wide range of health effects that are attributed to fluoride.
[00:41:45.809 --> 00:41:49.430]  Bottom line, why should somebody get this new Pro-1 Pro-Pure filter?
[00:41:50.450 --> 00:42:06.154]  The reason to buy the Pro-1, it's an all-in-one filter, it's convenient, easy to use, it doesn't require the add-on fluoride filter, and in addition, this filter removes the latest form of fluoride called hydrofluorosilicic acid.
[00:42:12.990 --> 00:42:18.955]  I'm Darren McBreen and these are some of the new items that are available now at Infowarsshop.com.
[00:42:19.095 --> 00:42:24.519]  Alert the public to Obama's blatant abuse of power with the new Obama t-shirt.
[00:42:24.639 --> 00:42:28.342]  Obama's joker face on the front and come and take it on the back.
[00:42:28.503 --> 00:42:32.486]  It's time to publicly call him out for what he is, a tyrant.
[00:42:32.566 --> 00:42:36.429]  Defend the second amendment with our top seller come and take it t-shirts.
[00:42:36.549 --> 00:42:40.672]  And look at that, women's cut tank tops and t-shirts now available.
[00:42:40.812 --> 00:42:41.293]  Nice hat.
[00:42:41.573 --> 00:42:43.674]  Plus, the Don't Tread On Me flag.
[00:42:43.694 --> 00:42:47.776]  And now, you can become a micro-distributor of the Info Wars magazine.
[00:42:47.796 --> 00:42:51.858]  Plus, get your own copy delivered right to your door each and every month.
[00:42:52.358 --> 00:43:01.002]  And if you're tired like I am of you and your family being exposed to polluted drinking water, get the Pro-1 High Performance Water Filter.
[00:43:01.322 --> 00:43:07.325]  It gets rid of all pathogenic bacteria, cysts, fluoride, heavy metals, and numerous other contaminants.
[00:43:09.068 --> 00:43:12.557]  So join the revolution at infowarshop.com
[00:43:39.204 --> 00:43:52.533]  I attempted to like a lot of black people in America and a lot of black people that didn't just kind of join the club, so to speak.
[00:43:54.332 --> 00:44:09.279]  And just kind of go along with what anything that the Obama administration kind of put out, simply because there was this overall feeling about Obama in the black neighborhood as though he's the second coming of Jesus Christ.
[00:44:10.099 --> 00:44:12.360]  And we know that's not true.
[00:44:13.221 --> 00:44:20.884]  So whether it's Obamacare, gun control, abortion, the bailouts, or whatever,
[00:44:23.206 --> 00:44:27.872]  It was pertaining to a lot of people just went along with it without looking into it.
[00:44:28.713 --> 00:44:37.305]  And I think that's the first mistake that we make simply because we need to look at the agenda as opposed to the individual.
[00:44:37.825 --> 00:44:39.908]  There's a beautiful picture that depicts
[00:44:40.689 --> 00:44:51.299]  The Bird of Freedom, the Eagle, which represents America, flying high and soaring over all the other lands and governments and systems that are set up.
[00:44:52.320 --> 00:44:53.441]  Why do they use the Phoenix?
[00:44:53.501 --> 00:44:54.622]  Or why do they use the Eagle?
[00:44:55.323 --> 00:44:57.145]  Simply because the Eagle flies the highest.
[00:44:58.446 --> 00:45:01.168]  That particular science was stolen from ancient Kemet, but nonetheless,
[00:45:03.186 --> 00:45:07.889]  The Democrat and Republican Party are two wings of the same damn bird.
[00:45:08.689 --> 00:45:23.698]  So when we get into this particular discussion about Democrats wanting this and controlling that, and Republicans not agreeing to this and controlling the House and this kind of thing, we have to understand something that it's the same people that control both parties.
[00:45:23.718 --> 00:45:26.340]  So when we talk about the Hegelian dialectic principle,
[00:45:27.150 --> 00:45:42.757]  Of course you have the Reds, the Republican Party, and the Blues, which is the Democratic Party, and no one even talks above a whisper when it talks about interjecting and creating a third party which can balance out the two.
[00:45:45.066 --> 00:45:47.448]  Both of those particular parties are controlled by the same people.
[00:45:48.149 --> 00:45:52.472]  And if you do not understand anything about this particular talk today, understand that.
[00:45:52.913 --> 00:45:54.614]  The same people control both parties.
[00:45:55.034 --> 00:45:59.038]  And we need to understand that from this point moving forward.
[00:45:59.518 --> 00:46:04.563]  So when you talk about false flags, you're talking about them creating
[00:46:05.618 --> 00:46:29.706]  Incidents, as we've seen recently in Boston, which we can't expound on, which we've seen in London, which we've seen in New York and other places on the globe, where they want you to think that these particular things are going on so they can push a certain bill, or they can take away certain rights from the people.
[00:46:30.206 --> 00:46:34.608]  And I think a lot of times these bills are signed based on hype.
