[00:00:22.449 --> 00:00:24.070]  It's Tuesday, September 3rd, 2013.
[00:28:14.202 --> 00:28:15.002]  They don't have wisdom.
[00:28:16.302 --> 00:28:20.123]  And they just are so used to always winning, they think they're invincible.
[00:28:20.563 --> 00:28:21.903]  And pride goes before a fall.
[00:28:22.484 --> 00:28:24.284]  Like Napoleon turning east into Russia.
[00:28:24.304 --> 00:28:26.484]  Hitler turning east into Russia.
[00:28:26.925 --> 00:28:28.505]  That's where empires really go to die.
[00:28:29.597 --> 00:28:35.561]  And if the Russians have shown anything for all their problems, they will not back down in the final equation.
[00:28:35.781 --> 00:28:39.083]  They've been backing down on incremental things for a long time.
[00:28:39.723 --> 00:28:44.486]  In fact, to properly quantify that for my study of history, the Russians will back down until they're cornered.
[00:28:45.749 --> 00:28:49.951]  But if you corner them, they will not let you just go ahead and completely dominate them.
[00:28:50.892 --> 00:28:53.313]  And the globalists have their underground bunkers, all of it.
[00:28:53.693 --> 00:28:54.893]  They think they're invincible.
[00:28:54.933 --> 00:28:55.334]  They're not.
[00:28:56.094 --> 00:28:59.936]  And John Corzine made 41 bets with other people's money.
[00:29:01.637 --> 00:29:02.097]  And lost.
[00:29:03.587 --> 00:29:06.589]  And I guess he did the right thing because he's not facing criminal prosecution.
[00:29:06.929 --> 00:29:08.410]  And why do I bring that up so often?
[00:29:08.891 --> 00:29:15.175]  The only reason Bernie Madoff is in prison is because he stole $100 billion, roughly, of other elitist money.
[00:29:15.895 --> 00:29:16.816]  That's the only reason.
[00:29:17.517 --> 00:29:20.359]  If he would have stole from the general public, he'd have been fine.
[00:29:21.139 --> 00:29:22.800]  These people are out of control.
[00:29:23.100 --> 00:29:24.942]  They've got to run everything.
[00:29:26.943 --> 00:29:31.106]  That's why they wanted Jita 21 here, to shut down all the industry that they don't control.
[00:29:31.726 --> 00:29:32.447]  They're mafia.
[00:29:33.553 --> 00:29:34.954]  And they're not going to stop.
[00:29:35.114 --> 00:29:42.000]  So many people think you appease bullies and that they're going to then somehow be nice to you.
[00:29:42.080 --> 00:29:42.240]  No.
[00:29:42.820 --> 00:29:45.182]  The bully goes for the guy that rolls over every time.
[00:29:45.763 --> 00:29:50.887]  Even if a bully is able to kick your butt, if you fight them hard, they're going to go, oh, that guy's trouble.
[00:29:52.168 --> 00:29:54.190]  I mean, I found raccoons in my garage.
[00:29:55.219 --> 00:30:00.162]  And I might be able to actually get a hold of one and kill one, but I'm going to have bites all over me, scratches all over me.
[00:30:00.762 --> 00:30:05.465]  That's why big dogs won't mess with a raccoon usually, because they know a raccoon will absolutely attack them.
[00:30:06.265 --> 00:30:07.786]  Free people will fight back.
[00:30:08.646 --> 00:30:11.608]  Slaves are slaves because they don't fight back, ladies and gentlemen.
[00:30:11.828 --> 00:30:12.689]  They roll over.
[00:30:12.989 --> 00:30:13.869]  They're intimidated.
[00:30:14.089 --> 00:30:14.770]  They give in.
[00:30:17.531 --> 00:30:22.334]  And we need to stop acting like slaves and realize how much trouble we're in, folks.
[00:30:23.689 --> 00:30:30.513]  And sections of the power structure that are not completely delusional and sociopathic or psychopathic.
[00:30:30.873 --> 00:30:32.374]  You can read the writing on the wall.
[00:30:32.655 --> 00:30:33.355]  You know history.
[00:30:34.236 --> 00:30:36.917]  The ruling class we've got is real bad.
[00:30:37.498 --> 00:30:38.638]  They're Nero-esque.
[00:30:39.379 --> 00:30:40.419]  They're Caligula-like.
[00:30:41.180 --> 00:30:42.481]  They're very Hitlerian.
[00:30:43.601 --> 00:30:45.282]  And those aren't just names I throw around.
[00:30:45.663 --> 00:30:48.564]  Study those figures and then look at the ruling class we have.
[00:30:48.885 --> 00:30:50.806]  If you study psychology and criminology,
[00:30:52.307 --> 00:31:01.131]  Subconsciously, they still have human wiring, even though at higher brain functions they're psychopathic, or sociopathic bare minimum.
[00:31:01.711 --> 00:31:04.412]  And so their subconscious wants to destroy them.
[00:31:05.272 --> 00:31:07.353]  Their subconscious wants them to be caught.
[00:31:08.113 --> 00:31:12.135]  Their subconscious wants them to commit suicide, basically.
[00:31:14.105 --> 00:31:34.794]  But at a conscious level, or even a spiritual level, the spirit driving them, the ghost in the machine manipulating them, if you believe in spirituality, if you believe in God and the devil, the entities driving the bus don't care.
[00:31:35.234 --> 00:31:36.775]  They want to drive it over the edge of the cliff.
[00:31:37.175 --> 00:31:41.057]  But their basic human wiring wants them to get caught.
[00:31:42.860 --> 00:31:43.520]  To stop them.
[00:31:44.060 --> 00:31:45.762]  That's why they're so reckless.
[00:31:48.664 --> 00:31:53.767]  Because at a subconscious level, they think if they do crazier and crazier things, they'll get caught and stopped.
[00:31:54.248 --> 00:31:56.049]  And that may have worked a thousand years ago.
[00:31:56.629 --> 00:31:58.991]  It doesn't work now because they got nuclear weapons.
[00:31:59.712 --> 00:32:00.712]  They must be stopped.
[00:32:01.053 --> 00:32:02.834]  We're going to have to stop them.
[00:32:04.673 --> 00:32:05.874]  All right, I've gone long enough.
[00:32:06.294 --> 00:32:07.234]  Please support us.
[00:32:07.294 --> 00:32:08.875]  Become PrisonPlanet.tv members.
[00:32:09.415 --> 00:32:13.717]  If you have a membership, 11 people can log in simultaneously with the same username and passcode.
[00:32:14.057 --> 00:32:15.838]  Share that with friends and family.
[00:32:16.598 --> 00:32:17.599]  Have viewing parties.
[00:32:17.959 --> 00:32:25.302]  Get InfoWars Magazine at costs in groups of 10 up to 100 in bulk, where we expose the authoritarianism of political correctness.
[00:32:25.642 --> 00:32:27.803]  They'll shot not have any gods above the state.
[00:32:29.241 --> 00:32:30.862]  Or get a year's subscription, give it as gifts.
[00:32:31.402 --> 00:32:34.143]  Buy the ProPure water filters discounted with promo code water.
[00:32:34.443 --> 00:32:35.523]  Go to the Seed Center.
[00:32:35.863 --> 00:32:37.564]  Get the books, the t-shirts, the films.
[00:32:38.104 --> 00:32:41.665]  All of it is the best information, the best products, at the best prices.
[00:32:42.045 --> 00:32:43.606]  And then it also funds our operations.
[00:32:43.626 --> 00:32:49.567]  So you're buying war bonds in the literal republic defense system, the human defense system.
[00:32:49.887 --> 00:32:51.328]  That's what we are as a small part of that.
[00:32:52.348 --> 00:32:55.929]  Picture the Liberty Movement as a composite eye, like a dragonfly's eye.
[00:32:56.550 --> 00:32:57.510]  Hundreds of these eyes
[00:32:59.249 --> 00:33:00.390]  But imagine him as fist.
[00:33:00.650 --> 00:33:02.391]  All of us are fist fighting the globalists.
[00:33:02.952 --> 00:33:08.976]  And when you fund us, when you spread the word about what we're doing, when you support us, it allows us to do what we've been doing.
[00:33:09.016 --> 00:33:12.158]  So, in the face of this tyranny, we're going in through and beyond.
[00:33:12.559 --> 00:33:13.339]  Say your prayers.
[00:33:13.760 --> 00:33:14.440]  Pray for peace.
[00:33:14.660 --> 00:33:15.561]  Pray for sanity.
[00:33:15.881 --> 00:33:16.962]  Pray for a reprieve.
[00:33:17.722 --> 00:33:18.723]  Just like Nineveh got.
[00:33:20.204 --> 00:33:23.467]  But in the final equation, get yourself right with God, because we could see World War III.
[00:33:24.656 --> 00:33:27.478]  Which we know then, if you believe the Bible, brings in Antichrist.
[00:33:27.859 --> 00:33:32.643]  This may just be a test for that, because there are many Antichrists that have the same model.
[00:33:32.963 --> 00:33:34.344]  They try to build the same system.
[00:33:34.384 --> 00:33:40.970]  It's like a crustacean will create the same shell, or a species of spider will spin the same type of web.
[00:33:41.370 --> 00:33:42.972]  The globalists have the same signature.
[00:33:43.252 --> 00:33:46.335]  So if you truly understand the Bible, prophecy but also history,
[00:33:47.355 --> 00:33:53.519]  You understand that tyrannies build the same model, it just gets more sophisticated, more evil each time.
[00:33:53.819 --> 00:34:03.945]  So we don't know if this is it, but it does follow the Bible exactly because it's the devil and his plan with God with his plan.
[00:34:06.147 --> 00:34:10.389]  And again, if you don't believe in God, that's fine, but why is it all following exactly what the Bible said?
[00:34:11.250 --> 00:34:16.033]  Because there are more things going on in heaven and earth that are in all these yuppie
[00:34:17.779 --> 00:34:23.324]  Socialist, anti-human, trans-human, atheist stuff.
[00:34:24.004 --> 00:34:28.608]  There's a lot of going on that isn't in your Star Trek episodes, I will assure you.
[00:34:29.308 --> 00:34:30.809]  Alright, that's it for this transmission.
[00:34:31.450 --> 00:34:35.073]  We'll see you back, Lord willing, tomorrow night, 7 o'clock Central, InfoWars Nightly News.
[00:34:40.973 --> 00:34:46.238]  Now you can watch the Alex Jones Show live as it happens at InfoWars.com slash show.
[00:34:46.598 --> 00:34:51.663]  You'll find links to all of our content there and a free 15 day trial for Prison Planet TV.
[00:34:52.164 --> 00:34:57.949]  More than 60 movies and documentaries all in one place at InfoWars.com slash show.
[00:35:07.870 --> 00:35:10.152]  Earlier in the week, we were speaking with Quinn Aker.
[00:35:10.452 --> 00:35:14.535]  His property, the Garden of Eden, was the subject of a SWAT raid.
[00:35:14.915 --> 00:35:21.620]  They attempted to violate his property rights, saying that he was growing a marijuana factory there.
[00:35:21.880 --> 00:35:32.307]  And basically, because he was someone that knew his constitutional rights and how to apply them, he was able to turn the law back around and establish it how it should be.
[00:35:32.807 --> 00:35:34.649]  For the people, by the people.
[00:35:35.836 --> 00:35:43.407]  Okay Quinn, so let's get into how people can empower themselves and actually apply the laws that are there and meant to protect them.
[00:35:44.517 --> 00:35:46.317]  You know, it's just, it's really sad.
[00:35:46.417 --> 00:35:49.978]  It's really sad what the current state of affairs have come to.
[00:35:50.538 --> 00:35:59.480]  Because, you know, back in the day when our country was so great, the reason why it was so great is because the government was there to serve and protect the people.
[00:36:00.040 --> 00:36:07.802]  And the government employees, the public servants, were there to be the servants of that, you know, of that.
[00:36:09.787 --> 00:36:12.811]  You know, the reason why our country was so great is because we had freedom.
[00:36:13.111 --> 00:36:15.374]  It was, you know, it was by the people for the people.
[00:36:16.035 --> 00:36:20.340]  And, you know, in the beginning, government officials were, you know, they were like heroes.
[00:36:20.561 --> 00:36:27.109]  You know, back in the day, the sheriff was the, you know, the greatest man in the town, the person that everyone could trust and everyone could rely on.
[00:36:28.210 --> 00:36:39.975]  And, you know, back in the day, you know, the mayors, you know, were the people that everyone trusted the most and liked the most and had the best interest of the town or village or community at hand.
[00:36:40.816 --> 00:36:45.998]  You know, and the only thing that the government did was, you know, just serve and protect the people's rights.
[00:36:46.698 --> 00:36:54.220]  Well now, you know, we're in a situation where basically the government's only job now is to tax, license, and regulate everything.
[00:36:55.140 --> 00:37:02.382]  And that's why now, you know, we've got obviously all of this blatant violation of rights happening all over the place.
[00:37:02.402 --> 00:37:03.762]  You know, we're not the only ones here.
[00:37:04.682 --> 00:37:11.684]  And that's part of why I started studying the law myself, is because it became very apparent to me that the government isn't actually following the law.
[00:37:12.024 --> 00:37:15.605]  And if I can't enforce the law, then it's definitely not going to be enforced for me.
[00:37:16.465 --> 00:37:19.228]  So I took it upon myself, and actually it used to be.
[00:37:19.248 --> 00:37:21.411]  It used to be your responsibility.
[00:37:21.651 --> 00:37:24.594]  It used to be known that it's your responsibility to know the law.
[00:37:24.935 --> 00:37:30.961]  And when you became an 18-year-old man, if you couldn't handle yourself in court, you weren't considered a man.
[00:37:31.782 --> 00:37:34.205]  And everyone knew what their rights were.
[00:37:34.285 --> 00:37:36.068]  Everyone knew how to handle themselves in court.
[00:37:37.189 --> 00:37:42.836]  Everyone knew the law because that was just a natural part of living a free, responsible, honorable life.
[00:37:43.336 --> 00:37:45.639]  And now, almost nobody knows the law.
[00:37:46.500 --> 00:37:49.964]  And part of the reason why is because they've created this
[00:37:50.965 --> 00:37:55.548]  Super complicated system of new law, which is basically all statutes and codes.
[00:37:56.229 --> 00:38:08.657]  So there's over 8 million laws in the United States, most of which are all just statutes and codes and, you know, regulations and all sorts of crap that doesn't actually apply to, you know, free men and women.
[00:38:08.717 --> 00:38:14.441]  It applies to fictional entities, it applies to businesses, it applies to beings in their official capacities.
[00:38:15.057 --> 00:38:15.537]  Exactly.
[00:38:16.178 --> 00:38:30.287]  So you had been fighting the jurisdiction and the city codes that they were trying to enforce on you since February, things that were applied to your property, and you were able to supersede those rules, basically with the supreme law of the land, which is the Constitution.
[00:38:30.807 --> 00:38:36.251]  So what is some advice that you have to other homeowners that might be dealing with some of these same things?
[00:38:38.382 --> 00:38:45.585]  Well, you know, there's a lot of really simple things that we can begin to research, that we can begin to ask questions about.
[00:38:46.445 --> 00:38:49.827]  You know, anytime you're going to deal with the law, you always want to be real sure.
[00:38:50.047 --> 00:38:51.628]  You know, you always want to be real careful.
[00:38:51.728 --> 00:38:55.029]  You know, the law is not designed to just throw s*** around, you know.
[00:38:55.069 --> 00:38:59.211]  It's not like some, you know, backyard argument where you're like, what, what, huh, yeah, what?
[00:39:00.131 --> 00:39:04.413]  You know, it's supposed to be very deliberate, very conscious, very concise.
[00:39:05.653 --> 00:39:15.577]  You know, so of course there's an in-depth spectrum to be aware of in regards to the law before you really want to, you know, begin utilizing it.
[00:39:16.017 --> 00:39:21.319]  But very simple stuff, which is that, for example, the supreme law of our land is the Constitution of the United States.
[00:39:22.259 --> 00:39:33.249]  And the Bill of Rights very specifically dictates that our rights, which we're born with... See, the Constitution doesn't give us rights.
[00:39:34.510 --> 00:39:37.132]  A free man can't be given rights, otherwise you're not free.
[00:39:37.393 --> 00:39:38.354]  They can be taken away.
[00:39:39.464 --> 00:39:42.425]  See, the Constitution recognizes that we're born free.
[00:39:42.865 --> 00:39:44.746]  We're born with these rights.
[00:39:45.626 --> 00:39:58.250]  And the Constitution is simply the document which says these are what our rights are, and our government and our government officials are here to make sure that all of these rights are upheld at all points in time.
[00:39:59.090 --> 00:40:02.691]  And all government officials must swear an oath of office.
[00:40:03.371 --> 00:40:22.359]  And this is a really important part of the whole puzzle, because they swear under oath that they are going to serve and protect the people and the Constitution of the United States, which means that if at any point in time they do or are part of anything that is not upholding the people and or the constitutional rights,
[00:40:26.167 --> 00:40:31.509]  They're in violation of their oath of office, which is perjury and treason.
[00:40:31.949 --> 00:40:33.109]  So it's a really big deal.
[00:40:33.129 --> 00:40:34.410]  That used to be death.
[00:40:35.290 --> 00:40:36.671]  That used to be the death penalty.
[00:40:37.091 --> 00:40:42.012]  So it used to be very, very serious and government officials took their oath of office extremely serious.
[00:40:42.433 --> 00:40:45.834]  Now, most government officials don't even really know what their oath of office is.
[00:40:47.918 --> 00:41:07.801]  So oaths of office are really important, and that's one of the ways that you can allow government officials to know that you know that they have an oath of office and that you know that they have sworn an oath to serve and protect you and the Constitution, which means that if they don't do that, they are guilty of perjury and or treason.
[00:41:08.462 --> 00:41:13.884]  So that's a really good way to let them know that you know how to hold them accountable, you know what your rights are.
[00:41:15.464 --> 00:41:20.186]  You know, the Bill of Rights, like I said, a really important document, a really, really important document.
[00:41:20.246 --> 00:41:23.887]  Everyone should know, everyone should know what those are.
[00:41:24.187 --> 00:41:26.468]  You know, we have a right to our spiritual path.
[00:41:27.028 --> 00:41:32.430]  You know, there can be no dictated belief system, right?
[00:41:32.450 --> 00:41:35.631]  We all get to choose what we believe in or what we don't believe in.
[00:41:36.624 --> 00:41:40.068]  We all have a right to be secure in our property, in our person, in our effects.
[00:41:40.609 --> 00:41:43.432]  We have the right to free speech, the freedom of press, to bear arms.
[00:41:43.833 --> 00:41:49.260]  These are all really important rights of which our country was founded upon and that's why we thrived.
[00:41:51.104 --> 00:42:00.368]  You know, contract law is also really important, and that's what we used to establish the power with the city.
[00:42:00.448 --> 00:42:03.510]  So we have our rights, and we've already claimed those.
[00:42:04.830 --> 00:42:11.313]  You know, our rights are inalienable, so all we have to do is establish on the record that that exists.
[00:42:11.673 --> 00:42:12.434]  See, most people
[00:42:13.794 --> 00:42:19.818]  It gets a little complicated once we start going into this, but most people are actually living in their official capacities.
[00:42:20.279 --> 00:42:21.760]  They're living as corporate fictions.
[00:42:22.680 --> 00:42:33.127]  And the way I can prove that is that, you know, on your driver's license or birth certificate or social security card, your name is going to be printed in all caps, and you only print corporate entities in all caps.
[00:42:33.728 --> 00:42:42.554]  If you know proper English grammar, you know that the proper spelling for a living, breathing man or woman is, you know, first capital letter, lowercase, lowercase.
[00:42:43.254 --> 00:42:44.454]  We're good.
[00:43:02.861 --> 00:43:07.123]  That's meant to govern business and beings in their official capacities.
[00:43:07.663 --> 00:43:14.587]  So we sent them a lawful notification, and in that lawful notification we said, for the record, we know that we have these rights.
[00:43:15.727 --> 00:43:21.390]  We know that these rights are protected for us pursuant to the Constitution of the United States of America, which is the supreme law of the land.
[00:43:22.270 --> 00:43:30.634]  We also know that there are no laws, statutes, codes, ordinances, regulations that can supersede the supreme law.
[00:43:31.534 --> 00:43:41.396]  So what that means is, is that if there's a statute, which, you know, they do exist and they're written, you know, so like a statute will say, you're not allowed to have tall grass.
[00:43:42.148 --> 00:43:53.793]  Well, if that gets in the way of my inherent inalienable rights, then it's void ab initio, because it can't supersede the Supreme Law.
[00:43:54.493 --> 00:44:06.938]  What we did is we sent this document saying that we have these rights, and unless you can prove that we don't, and unless you can prove that you have authority over these rights and or,
[00:44:08.178 --> 00:44:15.433]  You are aware of a law that supersedes these rights, which there isn't.
[00:44:15.493 --> 00:44:16.134]  There can't be.
[00:44:17.116 --> 00:44:19.801]  You know, then under penalty of perjury, let us know what that is.
[00:44:20.774 --> 00:44:29.639]  So, you know, we send them this lawful notification, and we claim on the record what our rights are, and then we give them the opportunity to rebut that.
[00:44:30.080 --> 00:44:34.122]  You know, if you have lawful information, then we're happy to hear that.
[00:44:34.242 --> 00:44:37.924]  If you don't, then you agree that we are free, we can do whatever we want.
[00:44:38.444 --> 00:44:43.047]  So they tried to cite all sorts of statutes and codes and ordinances that
[00:44:44.508 --> 00:44:49.812]  Right, and you were also saying that it's important to understand, I guess, sort of legalese rather than street slang.
[00:44:49.832 --> 00:44:52.755]  You can't really write a petition or anything like that.
[00:44:52.775 --> 00:44:54.636]  You have to use the proper terminology.
[00:45:09.873 --> 00:45:10.113]  Right.
[00:45:10.594 --> 00:45:15.998]  You know, everything in law must be written in law and, you know, be defined by law and must conform to law.
[00:45:16.579 --> 00:45:28.269]  So, you know, there's a huge difference between a word that you think you know what it means and what most people would agree it means and then what it actually means in court or what it actually means in lawful terms.
[00:45:28.349 --> 00:45:31.272]  So there's actually a dictionary which is called Black's Law Dictionary.
[00:45:32.172 --> 00:45:39.775]  And the Black's Law Dictionary has the lawful definition, meaning the definition that's used in court or in lawful matters.
[00:45:40.555 --> 00:45:46.377]  And, you know, they've tricked the people very purposely with this in many ways.
[00:45:46.477 --> 00:45:52.639]  So the word understand, for example, is one of the most commonly used devastating words of power.
[00:45:53.640 --> 00:45:58.942]  The word understand, according to the Black's Law Dictionary, means I stand under and I agree.
[00:45:59.722 --> 00:46:10.928]  So the first thing that every judge is going to ask you when you go to court, say for a code compliance issue or a traffic ticket, they're going to say, do you understand the charges?
[00:46:11.508 --> 00:46:14.990]  And what people think that means is, do you comprehend what the charges are?
[00:46:15.330 --> 00:46:17.731]  And so people say, yes, I understand the charges.
[00:46:18.732 --> 00:46:25.195]  And as soon as you do that, you've already given them jurisdiction, you've already given them authority, and you've already agreed to those charges.
[00:46:25.215 --> 00:46:26.196]  So you've already lost.
[00:46:27.373 --> 00:46:29.955]  And, you know, it's just designed that way.
[00:46:29.975 --> 00:46:36.759]  So you have to know what the words actually mean in law in order to use them properly, in order to write documents properly.
[00:46:37.199 --> 00:46:40.801]  So in a way, it is very easy to do the things that I'm talking about.
[00:46:40.861 --> 00:46:43.923]  But, you know, it also definitely requires some education.
[00:46:44.303 --> 00:46:50.727]  But really, you have to ask yourself, you know, how much longer can we go not knowing about the law?
[00:46:51.067 --> 00:46:54.669]  And how much worse is it going to get if we, the people, don't start enforcing the law?
[00:46:55.529 --> 00:47:00.696]  So how do you go about learning and understanding your rights and then being able to apply them?
[00:47:00.756 --> 00:47:05.382]  Is that really difficult and is it a difficult thing to grasp without going to law school?
[00:47:06.684 --> 00:47:10.629]  Well, you know, our rights are very simple and that part is very easy to grasp.
[00:47:12.844 --> 00:47:19.567]  You know, and a common law, which, you know, it's called common law because it's, you know, for the common man, for the common woman.
[00:47:20.168 --> 00:47:23.870]  Um, it's relatively simple, you know, due process of law is relatively simple.
[00:47:24.370 --> 00:47:26.671]  Like I said, they've overcomplicated law on purpose.
[00:47:27.331 --> 00:47:30.653]  Now, part of the way they've done that is with what you call attorneys.
[00:47:31.213 --> 00:47:41.779]  Now, attorneys, they're, uh, well, see, it's this, it's this whole part of the whole scam because, uh, attorneys are just trained in the bar.
[00:47:43.477 --> 00:47:47.180]  And, uh, what they do is, see, you don't have to have a license to practice law.
[00:47:47.440 --> 00:47:50.042]  It's one of our rights, uh, to practice law.
[00:47:50.822 --> 00:47:56.886]  Um, so what attorneys are doing is they're doing legalese, and it's all the complicated crap, really, that you don't need.
[00:47:57.827 --> 00:48:02.530]  And, uh, it's just all overcomplicated stuff, of which they've made it that way on purpose.
[00:48:03.250 --> 00:48:12.356]  Um, when the, uh, when the attorney passes the bar exam, they actually swear a lo- an oath of fealty to, uh, the, the Crown.
[00:48:13.697 --> 00:48:14.658]  To the British crown.
[00:48:14.958 --> 00:48:15.398]  Geez.
[00:48:15.978 --> 00:48:24.963]  Yeah, so, you know, that's you know, that's just a fact So they're already I did not know that right there.
[00:48:25.043 --> 00:48:30.625]  They're not they're not representing You know, they're not representing your your true rights.
[00:48:30.645 --> 00:48:32.246]  They're not representing your true power.
[00:48:32.286 --> 00:48:37.849]  They're not representing, you know, the constitutional supreme law there, you know, they're following the
[00:48:39.244 --> 00:48:44.389]  They're following the processes that are required for them to follow according to the bar.
[00:48:45.250 --> 00:48:47.632]  And that's why they refer to the judge as your honor.
[00:48:48.832 --> 00:48:49.032]  Right?
[00:48:49.072 --> 00:48:51.874]  You don't have to refer to the judge as your honor, right?
[00:48:51.914 --> 00:48:54.456]  Because the judge works for you, right?
[00:48:54.496 --> 00:48:56.858]  The judge is my public servant, right?
[00:48:57.439 --> 00:49:09.808]  In fact, it very specifically says in our supreme law that you shan't ever refer to a government official with any reference of nobility whatsoever.
[00:49:11.209 --> 00:49:17.094]  So, you know, it just shows you that they're, you know, they're all in bed with each other, you know, this whole big scam.
[00:49:17.975 --> 00:49:30.307]  No wonder they don't want people to, they try so hard to confuse us and they do not want us to be empowered, to know our rights, to understand, well, to stand under or to get it.
[00:49:30.367 --> 00:49:42.058]  So we know where their authority lies and we really do have the power, it's just that we as people need to reclaim that power and understand how to enforce it and how to apply it.
[00:49:42.819 --> 00:49:48.263]  You actually offer free classes, is that right, there at the Garden of Eden?
[00:49:49.524 --> 00:50:05.274]  Yeah, you know, we have gatherings and meetups from time to time where, you know, we talk about the law, we talk about our rights, we talk about... You know, most of it, really, it's all mental, because what you gotta... It's really hard, because we've been raised since children to be scared of authority.
[00:50:06.515 --> 00:50:10.118]  You know, to be scared of the police officers and the law, and to...
[00:50:13.373 --> 00:50:13.573]  You know?
[00:50:31.832 --> 00:50:34.574]  So it's, you know, it's all just a bogus, bogus sham.
[00:50:34.614 --> 00:50:38.057]  Like, you don't have to have a driver's license to travel between space and time.
[00:50:38.397 --> 00:50:43.781]  You don't have to have a license plate to operate a, you know, an automobile.
[00:50:43.801 --> 00:50:45.162]  Right, or pay taxes.
[00:50:45.203 --> 00:50:47.024]  We've just bought into this whole system.
[00:50:47.304 --> 00:50:49.126]  Nope, you do not have to pay taxes.
[00:50:49.346 --> 00:50:53.149]  You know, it's very, very, it's very easy actually to, to
[00:50:55.481 --> 00:51:02.227]  To enforce the truth once you know the truth, but you gotta get it through your head, and that conditioning is really hardcore.
[00:51:02.707 --> 00:51:09.252]  So most of the work really is just sort of like getting it through your head of, oh my god, the whole world I know has been a lie?
[00:51:10.874 --> 00:51:13.136]  You know, that's the real crazy part.
[00:51:13.396 --> 00:51:19.601]  Well, yeah, and it's scary to think that we have that much power and all it takes is just one little paradigm shift.
[00:51:19.981 --> 00:51:20.162]  Yep.
[00:51:21.192 --> 00:51:27.838]  And that's why I'm doing this interview right now, and that's why I'm doing a lot of other radio interviews, is because it's time.
[00:51:28.198 --> 00:51:30.260]  You know, it's time that that paradigm shift happens.
[00:51:30.280 --> 00:51:33.323]  That people wake up and realize, oh my God, we are the power.
[00:51:33.803 --> 00:51:34.844]  Because we are the power.
[00:51:35.185 --> 00:51:37.186]  And it's been that way since this country was founded.
[00:51:37.247 --> 00:51:38.468]  We the people, for the people.
[00:51:38.528 --> 00:51:39.589]  By the people, for the people.
[00:51:40.669 --> 00:51:55.861]  You know, that's the supreme law of the land and it always has been and it always will be so You know, we just have to wake up and claim that power and enforce that power and the whole world changes Well, I'm feeling empowered Yeah, there's hope
[00:51:56.721 --> 00:51:57.482]  There is hope.
[00:51:57.522 --> 00:51:58.703]  There is something we can do.
[00:51:58.803 --> 00:52:00.124]  It really is not too late.
[00:52:00.164 --> 00:52:03.106]  It's just we got to get ourselves out of the confusion.
[00:52:04.387 --> 00:52:15.435]  So, well, Quinn, thank you so much for your time and for everything that you're doing to be self-sustainable and empower others to be sustainable and to kind of be free of the system.
[00:52:16.816 --> 00:52:17.017]  Yeah.
[00:52:17.677 --> 00:52:20.940]  Well, you know, I appreciate your appreciation.
[00:52:21.020 --> 00:52:22.521]  And, you know, we're doing this.
[00:52:23.301 --> 00:52:24.322]  We're doing this for ourselves.
[00:52:24.342 --> 00:52:25.543]  We're doing it for everybody else.
[00:52:27.455 --> 00:52:36.405]  You know, and we're not here to change people, and we can't really change people, but there's a lot of awesomeness to potentially tune into here and gleam from.
[00:52:38.047 --> 00:52:38.607]  Absolutely.
[00:52:39.128 --> 00:52:39.849]  Well, keep in touch.
[00:52:40.369 --> 00:52:42.892]  Let us know what's going on over there in the Garden of Eden.
[00:52:43.372 --> 00:52:44.574]  Yeah, keep up the good work.
[00:52:44.614 --> 00:52:45.415]  I appreciate it, Leanne.
[00:52:45.835 --> 00:52:46.236]  Thanks, Glenn.
[00:52:47.651 --> 00:52:49.552]  Alright, well that is very powerful stuff.
[00:52:49.572 --> 00:52:55.173]  You see why it is so important that we all understand our rights and how to exercise them.
[00:52:55.233 --> 00:52:56.834]  That's the key there.
[00:52:57.234 --> 00:53:06.177]  You can actually learn more about the classes at IntoTheGardenOfEden.com and also any purchase that you make at the InfoWars store.
[00:53:07.264 --> 00:53:09.826]  We'll come with a free citizen's rule book.
[00:53:10.246 --> 00:53:17.851]  In there you'll learn all about jury trials, your rights as a juror, as well as understanding the Constitution and the Bill of Rights.
[00:53:17.871 --> 00:53:21.813]  So go ahead and any purchase you can learn how to protect yourself.
[00:53:22.574 --> 00:53:23.795]  Thank you so much for watching.
[00:53:23.855 --> 00:53:26.957]  Join us here every Monday through Friday at 7 p.m.
[00:53:27.017 --> 00:53:27.417]  Central.
[00:53:27.777 --> 00:53:30.059]  For the InfoWars Nightly News, I'm Leigh Ann McAdoo.
