[00:00:19.657 --> 00:00:21.979]  September 24th, I'm Paul Joseph Watson.
[00:27:48.783 --> 00:27:55.808]  And then it came to light that they admitted that several NSA agents were using NSA technology to target love interest.
[00:27:56.388 --> 00:28:06.856]  And it was happening so frequently that instead of HUMINT for humans intelligence or SIGINT for signals intelligence, that they actually have one that they refer to as LOVEINT.
[00:28:07.436 --> 00:28:18.186]  And these were agents that were actually targeting either girls they saw or met that wanted to watch them or ex-spouses or current spouses with NSA technology.
[00:28:19.387 --> 00:28:21.950]  And it's happening frequent enough that it's called Love-It.
[00:28:22.765 --> 00:28:24.886]  Well, it's always like any technology.
[00:28:25.126 --> 00:28:28.047]  It could be used for good or it could be used for evil.
[00:28:28.087 --> 00:28:35.791]  I don't know if there's any good use for putting voices in people's heads, but certainly what this reveals is the dark side of people that are involved in this.
[00:28:35.831 --> 00:28:36.931]  And we've seen this in the past.
[00:28:36.971 --> 00:28:43.014]  We've seen people very high up in the NSA, like Michael Aquino, who was a Satanist, who founded the Temple of Set.
[00:28:43.454 --> 00:28:45.755]  So we know that there's some very dark
[00:28:46.175 --> 00:28:49.996]  I would even say Dr. Strangelove type of characters who are involved in this.
[00:28:50.036 --> 00:28:52.197]  So it's really not surprising that that would happen.
[00:28:52.457 --> 00:28:58.760]  But we've had some revelations about connections to this possibly with the recent Navy Yard shooting.
[00:28:58.980 --> 00:28:59.660]  Tell us about that.
[00:29:02.455 --> 00:29:03.036]  Well, stay tuned.
[00:29:03.096 --> 00:29:13.905]  Right after the show, we're going to have a lot more of this interview with Dr. John Hall, and he's going to explain to us the connection between electronic harassment and what Aaron Alexis wrote on his gun, My ELF Weapon.
[00:29:14.365 --> 00:29:19.249]  Subscribers to Prison Planet TV gain access to all this content and more, and they get it right away.
[00:29:19.389 --> 00:29:20.270]  Well, that's it for tonight.
[00:29:20.310 --> 00:29:23.252]  We'll be back tomorrow night at 7 o'clock Central, 8 p.m.
[00:29:23.413 --> 00:29:23.693]  Eastern.
[00:29:29.574 --> 00:29:34.840]  Now you can watch the Alex Jones Show live as it happens at InfoWars.com slash show.
[00:29:35.200 --> 00:29:40.266]  You'll find links to all of our content there and a free 15 day trial for Prison Planet TV.
[00:29:40.766 --> 00:29:46.532]  More than 60 movies and documentaries all in one place at InfoWars.com slash show.
[00:29:53.118 --> 00:29:53.658]  Welcome back.
[00:29:53.879 --> 00:30:00.483]  We've got the continuance of that interview with Dr. John Hall, and he's going to explain to us what was meant by my ELF weapon.
[00:30:00.863 --> 00:30:06.986]  And he's also going to go into a lot more detail about how people all over the country are being harassed electronically.
[00:30:10.008 --> 00:30:19.394]  When I first saw the Navy Yard shooting, putting that in conjunction with the last two mass shootings that we've had as well, the Sandy Hook shooting and the Colorado shooting,
[00:30:20.329 --> 00:30:25.572]  Most of us that are working in this technology were already a little bit suspicious that maybe there was some control issues going on.
[00:30:26.052 --> 00:30:29.914]  We know that our current administration desperately wants gun control.
[00:30:31.395 --> 00:30:39.339]  As a matter of fact, if you notice the early stories coming out immediately after the Navy Yard shooting, you know, all of the pundits were saying it was an AR-15.
[00:30:39.559 --> 00:30:42.620]  They immediately jumped on the fact that this was an AR-15.
[00:30:42.660 --> 00:30:44.201]  Well, it wasn't an AR-15 at all.
[00:30:44.261 --> 00:30:45.562]  It was a shotgun and a handgun.
[00:30:45.882 --> 00:30:52.826]  And he even led up to it the day before Obama went on Stephanopoulos Sunday talk show and talked about how 89% of the people wanted gun control.
[00:30:52.886 --> 00:30:53.866]  That's not true.
[00:30:53.886 --> 00:30:56.067]  89% of the people are against him on Syria.
[00:30:56.247 --> 00:30:57.568]  They're not with him on gun control.
[00:30:57.648 --> 00:30:58.629]  No, no, not at all.
[00:30:59.821 --> 00:31:09.108]  So when I saw this, putting it into the rest of the context, that they need these mass shootings in order to pass their gun control agenda, I'm already a little bit suspicious.
[00:31:09.148 --> 00:31:22.019]  Well then when I saw that he had complained to the police, and he tried to seek out help, he went to the police and said that he had had an altercation in the airport, that he felt like he was followed, and that there were people putting voices in his head.
[00:31:23.059 --> 00:31:34.864]  Vibrations into the room at his hotel meant to sleep deprive him, which incidentally, most of the victims of this technology that I work with all suffer from sleep deprivation by that very same means.
[00:31:35.765 --> 00:31:37.125]  Then I knew we were on to something.
[00:31:37.526 --> 00:31:42.988]  That this guy probably was being victimized himself before he went and did the shooting.
[00:31:43.488 --> 00:31:47.570]  When I saw that he had etched into the side of his shotgun, this is my elf weapon.
[00:31:49.911 --> 00:31:53.714]  That pretty much told me and this guy worked in the field, you know, he's not talking about Legolas.
[00:31:53.754 --> 00:31:55.496]  What is why?
[00:31:55.896 --> 00:32:04.083]  Extremely low frequency waves and extremely low frequency waves are very easily used to manipulate the human brain.
[00:32:04.123 --> 00:32:05.104]  The human brain is very
[00:32:05.664 --> 00:32:06.725]  We're good to go.
[00:32:29.086 --> 00:32:30.167]  They travel through the Earth.
[00:32:30.987 --> 00:32:44.532]  They've also noticed that during seismic events where the Earth releases an abundance of its own elf waves that you typically see more UFO sightings around those areas and they think that it's an effect from the elf waves on human beings' temporal lobes of the brain.
[00:32:45.113 --> 00:32:45.893]  That that might be done.
[00:32:46.093 --> 00:32:47.954]  Persinger, Michael Persinger at Laurentian.
[00:32:48.514 --> 00:32:48.954]  We're good to go.
[00:33:10.271 --> 00:33:16.853]  I don't think he went to that Navy Yard being subliminally controlled by this technology to do this.
[00:33:16.873 --> 00:33:33.019]  They may have been attempting to subliminally control him to shoot someplace else, but by etching that in the side of his weapon, I think he went to the area where he thought the source of the voices was coming from as more as a protective effort or a vengeance effort.
[00:33:33.479 --> 00:33:35.301]  Not a controlled effort.
[00:33:51.977 --> 00:33:59.660]  Something that is artificially being beamed in, voices being beamed into you with this technology versus somebody who really is schizophrenic.
[00:34:00.020 --> 00:34:07.622]  I'm glad you asked that because I, especially being a medical doctor, I don't want to come across as everybody hearing voices is being victimized by technology.
[00:34:07.662 --> 00:34:09.263]  Certainly schizophrenia exists.
[00:34:09.763 --> 00:34:14.965]  For one, schizophrenia is not quite as common, I think, as the press has led people to believe.
[00:34:15.005 --> 00:34:18.406]  It's still, severe schizophrenia is still a relatively rare disorder.
[00:34:20.063 --> 00:34:29.631]  Most of the victims that I've worked with can pinpoint the day that they started hearing voices and the day that they noticed organized stalking, people following them around from their home to work.
[00:34:30.571 --> 00:34:36.176]  Most of the victims that we've had questionnaires filled on and talked to are in their late 30s to early 40s.
[00:34:37.657 --> 00:34:47.204]  Typically, schizophrenics are identified from 18 years old to 28 years old, maybe a little later in females, but almost always at a young age.
[00:34:47.605 --> 00:34:51.768]  Typically, those people are described as never having been quite normal.
[00:34:53.429 --> 00:35:00.975]  You don't see it in high-functioning, educated individuals who all of a sudden turned 40 years old and acutely became schizophrenic overnight.
[00:35:01.776 --> 00:35:12.499]  Also, if you talk to schizophrenics about what they're hearing, typically it's God or angels or deities or garbled voices like you hear in a subway.
[00:35:13.200 --> 00:35:18.741]  The people that are being victimized by this technology are hearing the voices of people that are obviously watching them.
[00:35:18.861 --> 00:35:23.863]  Oftentimes they'll know the names of these voices because it's a two-way communication system.
[00:35:24.303 --> 00:35:28.744]  So they're hearing the people doing the surveillance talk to each other as well as talk to them.
[00:35:29.825 --> 00:35:30.465]  Typically it's
[00:35:30.945 --> 00:35:36.047]  Well, their whereabouts in a room is being described, what they're dressed like is being described.
[00:35:36.347 --> 00:35:38.128]  So it's kind of a form of harassment, then?
[00:35:38.428 --> 00:35:43.009]  Well, and that's exactly what the loose term for it is, electronic harassment.
[00:35:43.210 --> 00:35:45.390]  So they're not necessarily trying to pretend that they're God.
[00:35:45.430 --> 00:35:50.432]  They're just really trying to harass this person and push them over the edge into doing something.
[00:35:50.452 --> 00:35:50.752]  Exactly.
[00:35:50.772 --> 00:35:51.372]  Well, that's interesting.
[00:35:51.413 --> 00:35:52.413]  So, to sum it up,
[00:35:52.933 --> 00:36:07.417]  Somebody who has real schizophrenia, it's going to be something that is very early in their life, a consistent pattern behavior from very early in their life, whereas somebody that is having this done to them, they're going to have a sudden onset of that.
[00:36:07.737 --> 00:36:07.977]  Exactly.
[00:36:07.997 --> 00:36:14.178]  So they've been perfectly normal, then somehow later in life, all of a sudden, like you said, a switch has been flipped.
[00:36:14.318 --> 00:36:14.738]  Exactly.
[00:36:14.758 --> 00:36:20.900]  And we've done surveys on thousands of these victims, and most of them are educated, a lot of them are doctors and lawyers,
[00:36:21.801 --> 00:36:22.181]  I'm sorry.
[00:36:38.481 --> 00:36:41.303]  You can put schizophrenics on medication and they'll improve.
[00:36:41.803 --> 00:36:54.791]  People that are being victimized by this technology, you can put them on any array of the medications used for schizophrenia or delusional disorder and they still hear the voices, they still get stalked and they still get attacked.
[00:36:55.071 --> 00:36:55.732]  Wow, wow.
[00:36:55.932 --> 00:36:57.113]  Another important difference.
[00:36:57.793 --> 00:37:04.177]  Now, have you done any kind of, you looked at them being typically professionals, that sort of thing, have you done any kind of demographic information
[00:37:05.097 --> 00:37:08.698]  Actually, demographics have been done through an organization called Freedom from Covert Surveillance and Harassment.
[00:37:08.738 --> 00:37:12.000]  That's one of many human rights organizations that have actually
[00:37:29.266 --> 00:37:30.627]  We're good to go.
[00:37:50.703 --> 00:37:50.863]  I think?
[00:38:21.223 --> 00:38:25.905]  There were whistleblowers that have come to me seeking advice on how to escape being targeted.
[00:38:27.125 --> 00:38:30.586]  So now you've written a book talking about how this all came.
[00:38:30.947 --> 00:38:34.988]  You basically talked about this case that brought you into this as well as research that you've done.
[00:38:35.308 --> 00:38:37.009]  But you're also working on a movie.
[00:38:37.849 --> 00:38:43.631]  Yes, there was a screenplay written on a movie based on a true story based on a new breed satellite terrorism in America.
[00:38:44.451 --> 00:38:45.452]  And that's the name of your book?
[00:38:45.672 --> 00:38:46.612]  Yeah.
[00:38:46.852 --> 00:38:47.773]  Give us the name of your book again.
[00:38:49.434 --> 00:38:51.534]  New Breed Satellite Terrorism in America.
[00:38:51.635 --> 00:38:53.375]  And where can people find that?
[00:38:53.495 --> 00:38:58.358]  Amazon, Barnes and Noble, or at newbreedmovie.com.
[00:38:58.638 --> 00:38:59.058]  Okay, good.
[00:38:59.378 --> 00:38:59.518]  Good.
[00:38:59.859 --> 00:39:04.142]  Alright, so you're doing a movie of this, and it's not a documentary, it's actually a dramatization, is that correct?
[00:39:04.202 --> 00:39:17.954]  No, we decided not to do a documentary, mainly because a documentary only attracts a certain number of people who want to come and watch that, and it doesn't matter how much fact you back up a documentary with, people are still going to walk away wondering whether it's true.
[00:39:18.594 --> 00:39:27.186]  Unfortunately, in today's society, people are more likely to believe a drama based on a true story, or plain fiction, than they are a documentary.
[00:39:27.246 --> 00:39:31.671]  So, we wanted something that was going to be entertaining and educate at the same time.
[00:39:32.132 --> 00:39:35.136]  So, we've chose to actually do it a drama based on a true story.
[00:39:35.516 --> 00:39:36.297]  That's really smart.
[00:39:36.337 --> 00:39:37.037]  That's important too.
[00:39:37.337 --> 00:39:39.879]  It's one of the things that we were looking at with Operation Paul Revere.
[00:39:40.419 --> 00:39:43.821]  We understand that when you do a news broadcast, people need to know what's going on.
[00:39:43.861 --> 00:39:45.162]  It's kind of like an intelligence report.
[00:39:45.442 --> 00:39:49.684]  When you're going to wake people up, we found that a lot of people will look at all this.
[00:39:49.804 --> 00:39:54.587]  We don't have time in a news broadcast to go behind and document everything that leads up to this.
[00:39:54.707 --> 00:39:57.489]  Like, you know, even in an extended interview like this.
[00:39:59.109 --> 00:40:06.993]  A documentary will wake a lot of people up, but we also know that more people, as you mentioned, are going to be affected by something that is a dramatization.
[00:40:07.233 --> 00:40:15.616]  They can identify with the people, and it seems more real to them than if you carefully document everything in a news report, or an article, or a documentary.
[00:40:15.636 --> 00:40:18.077]  If they see a fictionalized report, it's a very powerful thing.
[00:40:18.317 --> 00:40:21.158]  Yeah, exactly, and that's why we kind of went for that genre.
[00:40:21.599 --> 00:40:23.139]  Everybody wants to go see a good movie.
[00:40:23.980 --> 00:40:26.061]  Only the believers are going to come see a documentary.
[00:40:26.181 --> 00:40:27.081]  That's right, that's true.
[00:40:27.958 --> 00:40:31.901]  So as you wake people up, what would you like to see happen to stop this?
[00:40:32.741 --> 00:40:44.089]  What most of the victims want to see is a congressional hearing to get to the legitimate truth from the CIA and the NSA of exactly what the technology is that is being experimented.
[00:40:44.390 --> 00:40:45.751]  Something like the Church Committee hearings?
[00:40:46.091 --> 00:40:47.792]  Or the Rockefeller Commission, exactly.
[00:40:48.693 --> 00:40:50.754]  You know, that didn't actually stop MKUltra.
[00:40:51.034 --> 00:40:54.637]  The Freedom of Information stopped, but obviously the research went on.
[00:40:55.257 --> 00:40:58.860]  But most of these victims are just looking for validation.
[00:40:59.440 --> 00:41:01.242]  And that's one of the things that my book has done.
[00:41:01.262 --> 00:41:07.066]  At least there's one physician that believes them that they are being victimized by technology and being experimented on.
[00:41:08.026 --> 00:41:12.790]  We're also looking for legislation to change in this country that makes it illegal to experiment on you without your consent.
[00:41:13.230 --> 00:41:19.912]  Believe it or not, the Common Rule, our current legislation, doesn't protect the public from experimentation on them by the government.
[00:41:20.772 --> 00:41:24.673]  John Glenn tried to pass that legislation years ago and was shot down in Congress.
[00:41:25.453 --> 00:41:32.555]  I spoke at the Bioethics Commission that Obama appointed when we had to apologize to the Guatemalans for experimenting on them.
[00:41:33.055 --> 00:41:36.176]  I was the only person there that pointed out the flaws in the Common Rule.
[00:41:37.157 --> 00:41:41.120]  That the common rule is so poorly written that it allows us to be experimented on?
[00:41:41.280 --> 00:41:41.781]  Oh, absolutely.
[00:41:41.801 --> 00:41:51.289]  We've covered cases where the EPA is feeding diesel fumes directly to people and trying to make them sick so they can change the particulate regulations that they've got going.
[00:41:51.609 --> 00:41:55.592]  So that's kind of the two things we're really looking for, and of course looking for it to stop.
[00:41:55.873 --> 00:41:56.053]  Yeah.
[00:41:56.333 --> 00:42:02.838]  And if we can make non-consensual experimentation truly illegal in this country, then at least hopefully that will help.
[00:42:03.539 --> 00:42:05.480]  Well, thank you so much, Dr. Hall, for joining us.
[00:42:05.640 --> 00:42:09.662]  Thank you for sharing that with everyone and bringing this out in the open.
[00:42:10.182 --> 00:42:13.264]  More people need to understand what this is about, and hopefully we can do something about it.
[00:42:13.304 --> 00:42:17.806]  Hopefully we can rein in an out-of-control government that's trying to control everything about us.
[00:42:18.226 --> 00:42:20.427]  Thanks for having me on, and thanks for helping expose it.
[00:42:20.667 --> 00:42:20.988]  Thank you.
[00:42:22.168 --> 00:42:27.971]  Well, it's not just Voice of God technology or MKUltra programs where the government controls our mind.
[00:42:28.755 --> 00:42:34.080]  We've got a documentary that is exclusive on DVD from Infowarsstore.com, State of Mind.
[00:42:34.741 --> 00:42:39.745]  And there you'll find out all the many different ways that government controls the population.
[00:42:40.126 --> 00:42:43.348]  It's not just these high-tech, secretive, covert methods.
[00:42:43.949 --> 00:42:45.250]  It's also things like the media.
[00:42:45.330 --> 00:42:47.312]  It's things as mundane as schools.
[00:42:47.732 --> 00:42:50.675]  It's an entire full spectrum of control.
[00:42:50.715 --> 00:42:52.397]  The government's not going to use just one thing.
[00:42:52.897 --> 00:42:58.926]  So, educate yourself, educate your friends and your family to protect yourself from this type of mind control.
[00:42:59.226 --> 00:43:02.331]  You can get State of Mind at InfoWarsStore.com.
[00:43:03.292 --> 00:43:04.133]  Well, that's it for tonight.
[00:43:04.154 --> 00:43:06.677]  We'll be back tomorrow at 7 Central, 8 p.m.
[00:43:06.837 --> 00:43:07.118]  Eastern.
