[00:00:00.009 --> 00:00:00.909]  Not safe here.
[00:43:46.415 --> 00:43:50.196]  Did you know they bought another 22 million bullets?
[00:43:50.216 --> 00:43:51.516]  22 million, wasn't it?
[00:43:52.337 --> 00:43:55.558]  I was just listening to Watson on the air.
[00:43:56.587 --> 00:43:57.407]  I heard them covering it.
[00:43:57.727 --> 00:44:05.711]  Yeah, 22 million more, so you add it all up, it's something like 1.7 billion bullets since November 2011, like 14 months ago.
[00:44:06.431 --> 00:44:08.252]  Pretty darn amazing, yeah.
[00:44:08.592 --> 00:44:12.453]  DHS purchases 21.6 million more rounds of ammunition.
[00:44:13.754 --> 00:44:16.075]  My brain rounded up, but it's proper to at 21.6.
[00:44:17.375 --> 00:44:18.416]  Didn't do too good in school.
[00:44:19.465 --> 00:44:20.506]  Don't know much about history.
[00:44:20.886 --> 00:44:22.207]  Don't know much about geography.
[00:44:22.827 --> 00:44:25.249]  Don't know too much from the books I read.
[00:44:26.030 --> 00:44:28.211]  That would be really good intro music.
[00:44:28.271 --> 00:44:29.732]  I had that about 15 years ago.
[00:44:30.873 --> 00:44:34.115]  I had... I want Sam Cooke.
[00:44:34.956 --> 00:44:39.739]  Don't know much about history, but I do know that I love you.
[00:44:39.759 --> 00:44:39.820]  Man.
[00:44:41.100 --> 00:44:44.303]  Anyways, getting back.
[00:44:44.423 --> 00:44:45.704]  I'm just so happy about the asteroid.
[00:44:47.654 --> 00:44:48.755]  It's asteroid time!
[00:44:48.895 --> 00:44:50.015]  Asteroid party!
[00:44:50.035 --> 00:44:55.359]  All right.
[00:44:55.719 --> 00:44:57.660]  Man, Richard took me sprinting this morning.
[00:44:57.700 --> 00:45:00.021]  He said, Alex, you're swimming two miles a day.
[00:45:00.382 --> 00:45:01.842]  You're jogging three, four miles.
[00:45:01.862 --> 00:45:03.643]  You're lifting weights and you're getting fatter.
[00:45:05.284 --> 00:45:07.446]  And he goes, you've put your body into stress mode.
[00:45:07.786 --> 00:45:08.847]  You got to go sprint.
[00:45:09.547 --> 00:45:10.728]  And he took me sprinting.
[00:45:11.721 --> 00:45:17.148]  And I probably hadn't really sprinted full power since I did one stint of track when I was a freshman.
[00:45:17.949 --> 00:45:20.993]  And it just felt so good to get my hippopotamus.
[00:45:21.313 --> 00:45:22.034]  I'm not really that fat.
[00:45:22.074 --> 00:45:24.057]  When I'm sitting over, I look fat, but at the point, I'm a little overweight.
[00:45:24.437 --> 00:45:27.521]  I lost a lot of weight and quit doing all the young jabbing, and I've gone back to doing it.
[00:45:28.442 --> 00:45:29.784]  This is not a morning zoo show.
[00:45:29.804 --> 00:45:33.028]  You know, I think I am starting to go a little crazy, though, I'm being honest with everybody.
[00:45:33.368 --> 00:45:37.393]  Because I have just been... I mean, a man can only take so much of this baloney.
[00:45:38.074 --> 00:45:39.095]  You know what it is, why I'm laughing?
[00:45:39.796 --> 00:45:40.757]  It's so ridiculous!
[00:45:41.137 --> 00:45:46.484]  A poll put out by some Soviet-style university that Hillary is the most popular person in America.
[00:45:46.824 --> 00:45:47.264]  Period.
[00:45:48.513 --> 00:45:51.094]  Who is the most popular person in America in real polls?
[00:45:51.254 --> 00:45:52.435]  Because you've got real polls.
[00:45:52.775 --> 00:45:54.596]  It's the lying ones that give the rest of the bad name.
[00:45:54.616 --> 00:46:02.539]  You've got to go off word of mouth, common sense, and then go look at what the real PR firms are saying to each other, and what companies are really targeting.
[00:46:02.559 --> 00:46:07.522]  Because see, they'll put out anti-gun propaganda while trying to sell you all the gun movies and gun products.
[00:46:07.922 --> 00:46:09.362]  You see, it's the same thing.
[00:46:09.422 --> 00:46:12.304]  They sell what they want at you, and it's propaganda-wise.
[00:46:12.324 --> 00:46:14.485]  When it comes to selling product for profit,
[00:46:15.325 --> 00:46:19.946]  Everybody knows that Hillary Clinton's probably got about a 5% approval rating with the general public.
[00:46:22.247 --> 00:46:24.588]  Okay, let's just stop right there.
[00:46:24.688 --> 00:46:26.328]  You know, the Clintons would never do anything like that.
[00:46:26.648 --> 00:46:27.329]  Let's just do this.
[00:46:27.389 --> 00:46:30.629]  Let's get into the asteroid right now.
[00:46:31.790 --> 00:46:37.772]  Let's go ahead and play this clip on DA-14, the asteroid.
[00:46:38.472 --> 00:46:41.993]  And this is from the Jet Propulsion Laboratory.
[00:46:43.807 --> 00:46:54.331]  And they're telling everyone to do not worry, remain calm, don't worry about all those spaceships you see taking off, all the space shuttles out of underground bunkers.
[00:46:54.511 --> 00:46:57.412]  Nevermind, Godzilla just came out of the sea and is attacking Tokyo.
[00:46:57.452 --> 00:47:00.493]  Let me see who's calling from an unknown number.
[00:47:01.533 --> 00:47:02.033]  Hello!
[00:47:05.534 --> 00:47:06.295]  Hey, how are you doing?
[00:47:06.315 --> 00:47:07.135]  Are we still on for that?
[00:47:12.096 --> 00:47:12.737]  Okay, so we're not.
[00:47:12.757 --> 00:47:14.158]  You want to do it next week or is that too late?
[00:47:16.440 --> 00:47:17.140]  Alright, well I understand.
[00:47:17.281 --> 00:47:17.741]  Let me do this.
[00:47:17.781 --> 00:47:19.923]  Let me call you back in like three minutes, okay?
[00:47:21.204 --> 00:47:21.784]  Alright, thanks, bye.
[00:47:23.366 --> 00:47:33.615]  Haroldo Rivera had me booked for his Saturday show and then the winter storm hit and everything, so I was going to have fun going on about the Super Bowl and the Illuminati.
[00:47:34.075 --> 00:47:34.596]  Too bad.
[00:47:35.556 --> 00:47:35.997]  Too bad.
[00:47:36.017 --> 00:47:36.978]  I was looking forward to that.
[00:47:38.649 --> 00:47:43.150]  Because, I mean, they were like, yeah, you're right, it was 33 minutes of dark, and yeah, she did do the hand sign.
[00:47:43.410 --> 00:47:49.492]  And I'm not going to explain what it means when the Illuminati, but she does the hand sign of the all-seeing eye, and then while shoving a microphone into it.
[00:47:50.192 --> 00:47:53.773]  So, it means something else as well, I didn't even get into that.
[00:47:55.294 --> 00:47:55.614]  Okay.
[00:47:56.754 --> 00:48:05.237]  You know what, I'm not, you know what's happening, I'm not doing the asteroid justice here, and I'm going to do a serious report on asteroids, and then real threats facing us, which asteroids are on the
[00:48:06.431 --> 00:48:09.234]  I should do a top ten threats from my perspective.
[00:48:09.254 --> 00:48:10.795]  I have to go check all the statistics.
[00:48:14.579 --> 00:48:15.540]  One of the top ten threats?
[00:48:15.560 --> 00:48:16.240]  No, no, no.
[00:48:16.601 --> 00:48:18.703]  She's one of the top ten reasons the world is so wonderful.
[00:48:19.744 --> 00:48:20.865]  There's a poll out on it.
[00:48:21.565 --> 00:48:22.666]  Again, she's number one.
[00:48:22.726 --> 00:48:24.388]  Cancer is number two as most popular.
[00:48:25.569 --> 00:48:28.131]  Heart disease is number three, the most popular person in America.
[00:48:29.054 --> 00:48:30.275]  Car wrecks is number four.
[00:48:31.696 --> 00:48:34.819]  Brain hemorrhaging and strokes is number five.
[00:48:35.159 --> 00:48:36.420]  Most popular person in America.
[00:48:37.661 --> 00:48:39.502]  Being run over by a car is number six.
[00:48:41.624 --> 00:48:45.126]  Having your child die is number seven.
[00:48:45.147 --> 00:48:47.448]  I mean, this is stuff that's popular.
[00:48:53.152 --> 00:48:57.256]  The SWAT team, SWAT teaming the wrong house and killing your dog, that's number eight.
[00:48:57.697 --> 00:49:00.119]  I mean, because I could go conduct a poll on that.
[00:49:01.650 --> 00:49:04.172]  I mean, I could find a select group and do that.
[00:49:05.013 --> 00:49:12.779]  No, what we're going to do is I'll just take phone calls for a couple segments because that little piece of news sent me off into a bad place mentally.
[00:49:13.640 --> 00:49:16.422]  A good place where I don't want to focus on all this.
[00:49:17.583 --> 00:49:24.589]  And then I'll get into the economy and I'll get into the Bilderberg news and I'll get into Clint Eastwood says if DC doesn't give a damn how can we
[00:49:25.450 --> 00:49:26.891]  And we're going to play that clip for you.
[00:49:27.992 --> 00:49:36.719]  The princess wife of the communist scumbag running France says she has a Marie Antoinette syndrome of life of luxury.
[00:49:36.779 --> 00:49:44.125]  This is a really important article because it plays to so many of the bureaucrats and cops and others that think they're God and get this royal attitude.
[00:49:44.145 --> 00:49:47.908]  This North Korean dictator type, just swaggering.
[00:49:48.288 --> 00:49:52.272]  The same look you see in North Korean police, you're starting to see in big city cops' eyes.
[00:49:52.992 --> 00:49:56.393]  And like New York, Chicago, LA, I've seen it.
[00:49:56.913 --> 00:49:59.734]  And it's, it's, you see it and you're like, man, that's a bad person.
[00:50:00.414 --> 00:50:03.435]  You know, the swagger, the satisfaction, the arrogance.
[00:50:04.196 --> 00:50:09.117]  Oh, hi officer, can you tell me where, and I've done this in New York since it happened to me first, you know, for real.
[00:50:10.358 --> 00:50:16.460]  Many times when I'm there, I'll see some police standing around with their hats sideways, smoking cigarettes, cigars, bellies hanging out.
[00:50:16.480 --> 00:50:18.100]  And they're on duty.
[00:50:18.460 --> 00:50:20.621]  You're like, oh, hi officer, can you tell me where Central Park is?
[00:50:21.431 --> 00:50:23.813]  Do I look like a phone book or directory?
[00:50:23.833 --> 00:50:24.854]  Don't you have a smartphone?
[00:50:24.874 --> 00:50:25.935]  Where are you from?
[00:50:26.796 --> 00:50:29.278]  And if you act scared, they'll go, alright, I tell ya.
[00:50:29.298 --> 00:50:34.183]  Come on over here, stupid little monkey boy, and I'll tell you where it's at.
[00:50:35.044 --> 00:50:39.168]  But, if you actually blow up to them, they'll be like, get over here!
[00:50:40.229 --> 00:50:41.270]  Where are you going?
[00:50:41.550 --> 00:50:44.613]  And your buddy talks, did I tell you to talk?
[00:50:44.773 --> 00:50:46.295]  This is actually on video in Marshall Law.
[00:50:48.047 --> 00:50:49.528]  I'm talking to this guy!
[00:50:49.888 --> 00:50:51.708]  What, you miss the tough guy, huh?
[00:50:52.129 --> 00:50:53.269]  You from Texas?
[00:50:53.589 --> 00:50:58.411]  You think you're real tough being from down here in Texas, huh?
[00:50:58.731 --> 00:50:59.491]  We'll be right back.
[00:50:59.511 --> 00:51:01.452]  Stay with us, ladies and gentlemen.
[00:51:01.952 --> 00:51:07.414]  Looking back on 2012, I know personally I'm thanking God that my family and I made it through the year.
[00:51:07.434 --> 00:51:16.478]  From natural disasters like Hurricane Sandy and the devastating summer drought, to the family hardships brought on by a disastrous economy, our hearts go out to those that have lost everything.
[00:51:16.698 --> 00:51:22.968]  My friends at eFoods Direct hear from customers every day that are fortunate to weather life's storm by having a supply of food on hand.
[00:51:23.168 --> 00:51:32.522]  Danny from New York City wrote in following Hurricane Sandy and said, almost all the grocery stores are closed but I managed to get my eFoods just in time to be able to help my sister and my niece.
[00:51:32.742 --> 00:51:36.603]  Bottom line, it's better to be prepared 10 years too early than one day too late.
[00:51:36.783 --> 00:51:39.183]  Heed common sense's warning and do what I've done.
[00:51:39.343 --> 00:51:44.844]  Call 800-409-5633 today or go to efoodsdirect.com forward slash Alex.
[00:51:45.064 --> 00:51:47.905]  They have the best tasting long-term storable food on the planet.
[00:51:48.025 --> 00:51:55.086]  Call 800-409-5633 and ask about the Alex Jones Special or go to efoodsdirect.com forward slash Alex.
[00:51:55.286 --> 00:51:56.646]  Get self-sufficient today.
[00:51:56.746 --> 00:51:58.486]  Call 800-409-5633 or efoodsdirect.com forward slash Alex.
[00:52:01.767 --> 00:52:03.488]  Is your immune system under siege?
[00:52:04.009 --> 00:52:07.070]  Allergies and crippling immune diseases are on the rise.
[00:52:07.511 --> 00:52:12.074]  Vaccines, radiation, and GMOs lead the charge against your health.
[00:52:12.574 --> 00:52:17.097]  Fortunately, health-conscious consumers are enlisting the help of RNA drops.
[00:52:17.777 --> 00:52:25.586]  RNA drops turn on the signals and switches in virtually every cell of your body to activate what science calls your junk DNA.
[00:52:25.866 --> 00:52:32.414]  RNA drops provide you with the ammunition you need to win the war on disease, pain, depression, and decline.
[00:52:32.574 --> 00:52:38.078]  Hear hours of testimonials from people just like you at rnafreesample.com.
[00:52:38.178 --> 00:52:40.399]  That's rnafreesample.com.
[00:52:40.619 --> 00:52:43.762]  And order a free one-month supply of RNA Drops.
[00:52:44.062 --> 00:52:47.864]  Pay-only shipping and handling at rnafreesample.com.
[00:52:48.385 --> 00:52:50.186]  Or call toll-free 888-577-3703.
[00:52:50.246 --> 00:52:50.446]  That's 888-577-3703.
[00:52:50.526 --> 00:52:51.707]  Or visit rnafreesample.com.
[00:53:02.466 --> 00:53:05.308]  Is this the year you finally get serious about your family's drinking water?
[00:53:05.649 --> 00:53:08.931]  If so, keep listening for a special offer from Big Berkey Water Filters.
[00:53:09.011 --> 00:53:11.853]  Did you know that over 60% of municipal water is fluoridated?
[00:53:11.993 --> 00:53:22.822]  Berkey Water Filters distinguish themselves from many other filtration systems with the capability to significantly reduce dangerous chlorine, fluoride, arsenic, and disinfection byproducts from municipal water via the Black Berkey and PF line of filters.
[00:53:22.922 --> 00:53:23.982]  Then there's affordability.
[00:53:24.063 --> 00:53:25.063]  At only 1.7 cents per gallon,
[00:53:26.004 --> 00:53:30.068]  Berkey water filters purify treated and untreated water, even stagnant pond water.
[00:53:30.228 --> 00:53:36.074]  Stop and think how much money you could save by simply reducing buying bottled water and using water filtered by your Berkey water filter.
[00:53:36.234 --> 00:53:38.976]  No need to be constantly replacing expensive filters with a Berkey.
[00:53:39.136 --> 00:53:41.499]  A single set of filters can last for 5 to 10 years.
[00:53:41.579 --> 00:53:44.982]  Choose the best size Berkey for your needs at BigBerkeyWaterFilters.com.
[00:53:45.122 --> 00:53:48.926]  And right now, all GCN listeners get 5% off all ceramic filter systems.
[00:53:49.006 --> 00:53:49.767]  Just call 1-877-99-BERKEY.
[00:53:51.348 --> 00:53:56.511]  That's 877-99BERKEY or visit bigberkeywaterfilters.com.
[00:53:56.591 --> 00:53:58.532]  Free shipping on every order over $50.
[00:53:58.632 --> 00:54:01.213]  Big Berkey Water Filters, for the love of clean water.
[00:54:15.420 --> 00:54:17.401]  Ladies and gentlemen, thank you for joining us today.
[00:54:18.869 --> 00:54:24.959]  I just want to apologize for talking bad about Hillary Clinton, the most popular person in America.
[00:54:25.400 --> 00:54:28.084]  According to a poll, Reuters is carrying it.
[00:54:28.625 --> 00:54:29.466]  Newsflash!
[00:54:30.107 --> 00:54:30.988]  Newsflash!
[00:54:31.509 --> 00:54:32.791]  The moon is made of cheese!
[00:54:34.093 --> 00:54:36.956]  Look at that smile!
[00:54:37.657 --> 00:54:39.578]  Oh my gosh, that woman makes me sick!
[00:54:39.658 --> 00:54:40.639]  Get her off the screen!
[00:54:41.380 --> 00:54:42.901]  Don't they ever go away?
[00:54:43.462 --> 00:54:47.165]  I've been hating this woman for twenty-something years!
[00:54:47.886 --> 00:54:49.468]  Get out of my life, woman!
[00:54:49.708 --> 00:54:52.410]  Go back to hell where you crawled out of!
[00:54:53.271 --> 00:54:53.892]  Goodness!
[00:54:54.212 --> 00:54:56.254]  And stop feeding us such bull!
[00:54:56.835 --> 00:54:58.796]  After I take a bunch of calls and settle down.
[00:54:59.989 --> 00:55:03.190]  I will get into the asteroid and it's very serious because it ties into a bunch of other stuff.
[00:55:03.710 --> 00:55:06.151]  And the whole policies of the globalists and how nuts they are.
[00:55:06.471 --> 00:55:07.711]  They're drinking their own Kool-Aid.
[00:55:09.491 --> 00:55:11.172]  And they have Marie Antoinette Syndrome.
[00:55:11.192 --> 00:55:12.092]  I've said that many times.
[00:55:13.272 --> 00:55:14.173]  Now the media is saying it.
[00:55:15.213 --> 00:55:17.013]  The economy is so incredibly important.
[00:55:17.273 --> 00:55:23.475]  We've got video of the Greeks fighting with each other over food just like Argentina in 2000.
[00:55:25.552 --> 00:55:27.454]  And boy, let me tell you, that stuff starts up here.
[00:55:27.474 --> 00:55:32.238]  That's why they want the guns now, or to demonize the use of guns now, ahead of the collapse.
[00:55:32.618 --> 00:55:34.219]  That's why government's digging in.
[00:55:35.000 --> 00:55:41.125]  Did you notice that this guy shoots three cops and they've got half of California from the middle down paralyzed?
[00:55:41.306 --> 00:55:45.069]  No bike cops from halfway up the state all the way down to Mexico.
[00:55:45.589 --> 00:55:47.911]  No bicycles, no motorcycles.
[00:55:49.132 --> 00:55:49.993]  They're even pulling
[00:55:51.374 --> 00:56:00.217]  People out of a lot of the cars, in total fear, when still statistically, I guarantee you, cops die every week in California in car wrecks.
[00:56:00.918 --> 00:56:02.758]  I mean, I see it all the time in Texas.
[00:56:02.898 --> 00:56:03.979]  They die every couple days.
[00:56:04.779 --> 00:56:09.261]  And I know it's all sexy, like getting shot by a .223 round or whatever the guy's using.
[00:56:09.281 --> 00:56:13.162]  They look like .223s, small rifle holes in the windows of their cars.
[00:56:13.723 --> 00:56:16.804]  But I mean, they are just... What do you think is going to happen when the Civil War starts, guys?
[00:56:18.283 --> 00:56:23.366]  You know how many Nazis got killed trying to take over different countries?
[00:56:23.386 --> 00:56:24.247]  I mean, it was not fun.
[00:56:24.287 --> 00:56:25.007]  They ran out of people.
[00:56:25.487 --> 00:56:26.988]  And by the way, I'm not saying you're Nazis.
[00:56:27.689 --> 00:56:35.853]  I'm saying, if you go along with the globalist program and become the authoritarians, if one... Let me explain this math to you one more time, doing you a favor here.
[00:56:35.893 --> 00:56:42.077]  It's like telling your five-year-old, don't play in traffic, telling two-year-old, don't stick, you know, safety pins in the light sockets, honey.
[00:56:42.097 --> 00:56:44.679]  You know, could you get the point with your three-year-old?
[00:56:45.899 --> 00:56:49.800]  He's trying to pull the plug protector off and trying to stick something in it.
[00:56:50.240 --> 00:56:53.141]  And you go, listen, I got a French Bulldog.
[00:56:53.181 --> 00:56:54.882]  His name's Sparky.
[00:56:54.922 --> 00:56:56.302]  He had this name before he started doing this.
[00:56:56.322 --> 00:56:57.723]  I got another one called Captain.
[00:56:57.963 --> 00:56:59.223]  He likes to chew the wires.
[00:56:59.543 --> 00:57:08.346]  And one time we're asleep, we're about to go to sleep, and there's this big white flash in the room, and Sparky had chewed through, this was just last year, through the cord, and it exploded in his mouth.
[00:57:08.386 --> 00:57:11.927]  And he just had a little burns, but the point was, it blew the breakers.
[00:57:11.967 --> 00:57:14.568]  The power went off, the air conditioner went off, or it would have killed him.
[00:57:15.356 --> 00:57:17.937]  But the power instantly went off, so he got a short shock.
[00:57:18.317 --> 00:57:22.139]  Did you know he chewed a couple more cords before he really got shocked and finally quit doing it?
[00:57:22.699 --> 00:57:26.380]  That dog learned to stop doing it.
[00:57:26.441 --> 00:57:29.022]  So I'm going to tell you something right now as a real friend, okay?
[00:57:29.822 --> 00:57:31.383]  Don't chew electrical wires.
[00:57:31.783 --> 00:57:35.164]  I know it's a conspiracy theory that there's invisible energy flowing through there.
[00:57:35.184 --> 00:57:37.285]  You've got to be able to see it, but I assure you it's in there.
[00:57:37.725 --> 00:57:39.566]  There is electricity in there.
[00:57:40.871 --> 00:57:42.372]  And Hillary Clinton is not popular.
[00:57:42.672 --> 00:57:44.053]  I mean, I know it's a conspiracy.
[00:57:44.193 --> 00:57:45.494]  Having your own opinion is a conspiracy.
[00:57:45.694 --> 00:57:48.456]  And you must receive what the mainstream media says or you're a conspiracy theorist.
[00:57:48.716 --> 00:57:50.357]  You should believe congenital liars.
[00:57:50.557 --> 00:57:52.238]  But I promise I'm not going on a limb here.
[00:57:52.659 --> 00:57:55.461]  There are electrons and neurons going through there at high speed.
[00:57:55.501 --> 00:57:57.022]  It's called focused power.
[00:57:57.082 --> 00:57:57.762]  It's electricity.
[00:57:58.763 --> 00:58:00.484]  It's almost like it's particle beams.
[00:58:00.784 --> 00:58:05.147]  Electricity is a focus-controlled form of particle beam down conductive wiring.
[00:58:06.292 --> 00:58:07.453]  That's what electricity is in your house.
[00:58:08.373 --> 00:58:10.155]  And you don't want to chew those electrical cords.
[00:58:10.475 --> 00:58:11.616]  Now I want to tell the police something.
[00:58:12.316 --> 00:58:12.616]  Okay?
[00:58:12.877 --> 00:58:17.440]  The dog didn't understand what he kept doing until he finally figured out those little snakes or whatever he thinks they are.
[00:58:18.320 --> 00:58:18.560]  Hurt.
[00:58:19.661 --> 00:58:26.025]  You don't want to try to disarm the 160 million gun owners and start harassing us and messing with us and then get a war going.
[00:58:26.225 --> 00:58:34.031]  Because if 1% fights back, that's 1.6 million combatants, who all they got to do is go out and bag one cop, disappear,
[00:58:35.274 --> 00:58:38.637]  And every cop in America's dead, which we don't want that to happen.
[00:58:38.657 --> 00:58:39.317]  We'll be right back.
[00:58:44.361 --> 00:58:48.344]  This is GCN, the Genesis Communications Radio Network.
[00:58:51.744 --> 00:58:53.385]  Introducing Pro-1.
[00:58:53.645 --> 00:58:57.147]  All of your filtration in one system, portable, on-the-go.
[00:58:57.287 --> 00:59:01.689]  No more do you have two or three filters to just reduce sodium fluoride.
[00:59:01.829 --> 00:59:07.832]  You have a system that cuts out the sodium fluoride and up to 95% of hydrofluorosilicic acid.
[00:59:07.952 --> 00:59:18.737]  Advanced manufacturing technology combines silver impregnated white ceramic with new Aquamedics advanced media for removal of fluoride and other heavy metals, all in one filter element.
[00:59:18.937 --> 00:59:25.224]  It is the only one that does it, and out of the gates, we have it discounted at 10% off with promo code WATER.
[00:59:25.424 --> 00:59:40.159]  This is the only system that in one unit helps reduce or remove pesticides, herbicides, chloramines, ammonia and chlorine, hydrofluorosilicic acid, the most common form of fluoride not covered by other fluoride filter brands,
[00:59:40.379 --> 00:59:41.921]  Alex Jones on the GCN Radio Network.
[01:00:06.499 --> 01:00:10.684]  Big Brother, Mainstream Media, Government Cover-Ups.
[01:00:11.345 --> 01:00:12.146]  You want answers?
[01:00:12.926 --> 01:00:13.847]  Well, so does he.
[01:00:14.468 --> 01:00:18.152]  He's Alex Jones on the GCN Radio Network.
[01:00:18.673 --> 01:00:22.738]  And now, live from Austin, Texas, Alex Jones.
[01:00:28.174 --> 01:00:29.795]  Alright, we're going to go to your phone calls.
[01:00:29.815 --> 01:00:32.717]  We've discovered the new location of Bilderberg so early this year.
[01:00:32.737 --> 01:00:35.339]  I find it hard to believe, but a lot of evidence pointing towards that.
[01:00:36.199 --> 01:00:37.040]  They're coming for the guns.
[01:00:37.120 --> 01:00:38.461]  See, I've kind of gotten acclimated to it.
[01:00:38.681 --> 01:00:42.083]  Yeah, California says they got the votes to make you turn in all your semi-autos.
[01:00:42.503 --> 01:00:43.644]  It's no big deal, though.
[01:00:43.664 --> 01:00:45.445]  You know, we're conspiracy theorists.
[01:00:45.785 --> 01:00:48.647]  We told you that was coming, but it's been proven right, but I'm still bad.
[01:00:49.208 --> 01:00:50.188]  Let's go to your phone calls.
[01:00:50.268 --> 01:00:51.849]  Jonathan in New York.
[01:00:52.310 --> 01:00:53.250]  You're on the air.
[01:00:53.290 --> 01:00:53.710]  Go ahead.
[01:00:54.571 --> 01:00:55.371]  Hey, Brother Alex.
[01:00:55.392 --> 01:00:55.852]  How you doing, man?
[01:00:56.497 --> 01:00:57.838]  I am doing pretty good, Commander.
[01:00:58.758 --> 01:00:59.738]  Nice, nice.
[01:00:59.798 --> 01:01:02.159]  Long time listener since 2004.
[01:01:02.559 --> 01:01:03.380]  First time caller.
[01:01:04.560 --> 01:01:07.401]  I live in New York State and it's just amazing what's happening here.
[01:01:07.481 --> 01:01:08.802]  I feel like a black sheep.
[01:01:09.002 --> 01:01:14.164]  I've lived here for 28 years and I definitely don't belong politically wise or anything.
[01:01:14.504 --> 01:01:14.984]  It's amazing.
[01:01:16.425 --> 01:01:25.929]  My question for you is, you had a rant sometime I think last week about how you don't like cowards, women don't like cowards, people don't like cowards.
[01:01:26.917 --> 01:01:35.661]  And I want to know, if you were able to, that one little rant, put it on YouTube so I'm able to watch it on a daily basis and for other people to watch it on a daily basis?
[01:01:36.981 --> 01:01:49.867]  I don't remember what day it was, and we don't have the crew, the staff, the money to do this, but yes, if we took my better little factoid rant nuggets and gave them good names and put them on a guy at a rant gallery, they'd be incredibly popular.
[01:01:50.207 --> 01:01:52.288]  We just dump stuff out in big giant
[01:01:54.622 --> 01:01:56.183]  We do on PrisonPlanet.tv.
[01:01:56.263 --> 01:02:01.325]  John Bowne takes the better rants and puts them up on PrisonPlanet.tv.
[01:02:01.606 --> 01:02:03.226]  Do you remember what day it was, caller?
[01:02:03.306 --> 01:02:04.687]  And John will get that.
[01:02:06.848 --> 01:02:09.810]  We should call it Alex Jones, God Hates the Coward.
[01:02:10.410 --> 01:02:11.370]  And it would go viral.
[01:02:11.390 --> 01:02:11.891]  That's perfect.
[01:02:12.151 --> 01:02:16.073]  Now you have to understand, people that are awake
[01:02:17.782 --> 01:02:18.722]  Don't like cowards.
[01:02:18.862 --> 01:02:21.103]  Women that are awake like real men.
[01:02:21.843 --> 01:02:29.745]  Younger women that buy into the sitcom and drama world, they think a wimpy husband and somebody that follows behind them that acts as a butler is going to satisfy them.
[01:02:30.025 --> 01:02:37.468]  That's why they have divorce after divorce because men that are told act like fools, act weak, act stupid, act like the guy in the sitcom, you'll get all the women.
[01:02:37.728 --> 01:02:40.669]  And those guys are going, I'm not getting any women or not, you know, good women.
[01:02:41.149 --> 01:02:42.309]  I'm not finding my mate here.
[01:02:42.549 --> 01:02:45.610]  I better act even dumber and more nonsensical.
[01:02:46.010 --> 01:02:53.738]  Let me tell you, when you're focused, confident and serious, you know, to men out there, you're not going to have a problem with the ladies.
[01:02:54.419 --> 01:02:56.661]  I mean, ladies, you know, want somebody who's real.
[01:02:57.361 --> 01:02:58.603]  Oh, women are just so good.
[01:02:59.123 --> 01:03:03.528]  Anyways, getting back to what I was saying, it's important
[01:03:05.103 --> 01:03:05.864]  Life is just good.
[01:03:36.225 --> 01:03:41.957]  It's time to take the better examples of our better angels as it was said and build towards a better future.
[01:03:42.864 --> 01:03:45.985]  And then they go, oh, that's how you lose, the cynical fool says.
[01:03:46.626 --> 01:03:48.186]  Oh, yeah, you know, blah, blah, blah.
[01:03:48.406 --> 01:03:54.809]  And see, when tyranny's taking over, you can get ahead if you're willing to sell people out and stuff for a while.
[01:03:55.410 --> 01:04:01.192]  But then all the resources run out, and then the common sense gets attacked.
[01:04:01.752 --> 01:04:05.174]  Well, if we just make things really evil, then we can thrive.
[01:04:05.194 --> 01:04:12.197]  And then they get rid of common sense, then they shut down their competition, everything collapses, and then they're wondering, why did everything get so bad so quick?
[01:04:13.891 --> 01:04:24.615]  It's because living in a world, liars think that when they lie to their friends, lie to their family, when they cheat people, when they screw people, they're getting ahead.
[01:04:26.116 --> 01:04:27.376]  And they enjoy it.
[01:04:27.416 --> 01:04:29.037]  It's like, I found the secret.
[01:04:29.177 --> 01:04:29.717]  I'm winning.
[01:04:30.178 --> 01:04:30.918]  And you're not winning.
[01:04:30.978 --> 01:04:33.079]  It's like going and playing a card game and cheating.
[01:04:33.679 --> 01:04:35.280]  What is the point of playing the card game?
[01:04:36.140 --> 01:04:39.421]  And they're very unhappy people.
[01:04:39.441 --> 01:04:40.942]  These globalists are very unhappy people.
[01:04:42.002 --> 01:04:43.463]  They're very, very unhappy people.
[01:04:44.878 --> 01:04:45.539]  God bless you, sir.
[01:04:45.559 --> 01:04:46.380]  I appreciate your call.
[01:04:46.420 --> 01:04:51.567]  All right, we're gonna go to Matt, Jeremy, John, Patriot, Poet, and Wilbur.
[01:04:51.607 --> 01:04:52.127]  Straight ahead.
[01:04:52.187 --> 01:04:53.349]  The toll-free number to join us, 800-259-9231.
[01:04:53.369 --> 01:04:53.429]  800-259-9231.
[01:04:53.449 --> 01:04:53.709]  Stay with us.
[01:05:01.773 --> 01:05:05.815]  Millions of people are going to get sick this winter from colds, flu, and other illnesses.
[01:05:05.895 --> 01:05:06.995]  Don't be one of them!
[01:05:07.115 --> 01:05:12.637]  Protect yourself with Supernatural Silver, a revolutionary new broad-spectrum antibacterial solution.
[01:05:12.817 --> 01:05:22.421]  Recent advances in silver technology have resulted in a silver solution that can be used daily to prevent bacteria, viruses, mold, and food poisoning, and help improve wound healing.
