[00:00:18.336 --> 00:00:18.741]  Yeah, I think.
[00:26:33.276 --> 00:26:34.196]  Excellent, thank you.
[00:26:34.556 --> 00:26:35.056]  Wonderful.
[00:26:35.556 --> 00:26:40.218]  So now, why are we taking the gamble of our lives by consuming GMOs?
[00:26:41.141 --> 00:26:43.704]  Well, don't ask me, ask Monsanto.
[00:26:44.625 --> 00:26:51.212]  I mean, it ultimately comes down to political corruption, industry manipulation, collusion.
[00:26:51.232 --> 00:26:59.341]  And we can go back even to 1992, when the first Bush administration
[00:26:59.901 --> 00:27:01.042]  We're good to go.
[00:27:21.059 --> 00:27:28.202]  If GMOs are safe and put it on the market without telling the FDA or consumers, Monsanto told us that Agent Orange, PCBs and DDT were safe.
[00:27:28.662 --> 00:27:36.405]  Well, the person in charge of that policy at the FDA was Monsanto's former attorney Michael Taylor, later Monsanto's vice president.
[00:27:36.445 --> 00:27:37.226]  We're good to go.
[00:28:01.087 --> 00:28:04.748]  But I thought it was, you know, they just wanted to feed the world with this technology.
[00:28:04.768 --> 00:28:07.248]  Obviously, that's not... that's just the tip of it, I guess.
[00:28:23.579 --> 00:28:25.420]  Well, actually, it's not even the tip of it.
[00:28:25.480 --> 00:28:26.160]  It's a lie.
[00:28:26.300 --> 00:28:34.843]  The overwhelming consensus among the experts at feeding the world is that GMOs have nothing to offer in their current state.
[00:28:34.903 --> 00:28:46.106]  In fact, the huge ISTAD report signed on by 58 countries sponsored by the UN and the World Health Organization, WTO, basically said that GMOs are not in the picture.
[00:28:46.406 --> 00:28:49.969]  In terms of feeding the world, eradicating poverty, or creating sustainable agriculture.
[00:28:50.349 --> 00:29:00.437]  In fact, genetically engineered crops on average reduce yield and increase the use of agricultural chemicals and concentrate the ownership of agriculture and are unsafe.
[00:29:01.658 --> 00:29:09.589]  Right, and so now researchers are basically kind of cross-breeding these organisms that are not meant to be compatible.
[00:29:09.689 --> 00:29:17.099]  How are scientists getting around the natural barriers to create these bizarre species?
[00:29:18.058 --> 00:29:20.039]  Well, they are bizarre, in fact.
[00:29:20.080 --> 00:29:28.365]  They've taken genes from spiders and inserted them into goats in the hopes that they could milk the goat to get spiderweb protein to make bulletproof vests.
[00:29:28.425 --> 00:29:29.206]  I'm not making this up.
[00:29:29.606 --> 00:29:33.449]  They've put jellyfish genes into kittens so that they glow in the dark.
[00:29:33.489 --> 00:29:36.991]  They've put human genes into corn to make spermicide.
[00:29:37.571 --> 00:29:42.515]  And the way they do it is they avoid completely the normal crossing of sexual reproduction.
[00:29:43.215 --> 00:29:47.597]  And so let's say you want to take a corn plant and make it into a registered pesticide.
[00:29:47.637 --> 00:29:49.037]  And millions of acres in the U.S.
[00:29:49.097 --> 00:29:51.938]  are in fact registered pesticide corn plants.
[00:29:52.439 --> 00:29:56.760]  You take a gene from soil bacteria called Bacillus thuringiensis.
[00:29:57.260 --> 00:30:03.182]  You make millions of copies of that gene that produces a toxin that breaks open the stomach of insects to kill them.
[00:30:03.723 --> 00:30:09.885]  You put it into a gun and shoot that gun into a plate of millions of cells and then clone those cells into a plant.
[00:30:10.446 --> 00:30:19.388]  And now every one of the cells of these genetically engineered Bt corn plants has a little gene-sized spray bottle.
[00:30:20.052 --> 00:30:25.334]  Which creates a toxin that breaks open the stomach of insects to kill them.
[00:30:25.354 --> 00:30:27.035]  And it's in our food supply.
[00:30:27.355 --> 00:30:29.716]  And it's in the food supply of our children.
[00:30:30.077 --> 00:30:32.117]  And it's in the blood of pregnant women now.
[00:30:32.158 --> 00:30:33.858]  And it's in the blood of unborn fetuses.
[00:30:34.559 --> 00:30:40.301]  And the most recent studies have shown that it does, in fact, interact with human cells.
[00:30:40.361 --> 00:30:44.083]  It pokes holes in human cells just in the way that it kills insects.
[00:30:44.343 --> 00:30:46.424]  And a recent study came out this week
[00:30:46.964 --> 00:30:51.352]  It turns out it is cytotoxic and causes problems in the blood of mice as well.
[00:30:51.872 --> 00:30:53.836]  So the Environmental Protection Agency
[00:30:54.713 --> 00:30:55.273]  We're good to go.
[00:31:25.396 --> 00:31:30.859]  So is the BT corn, is that the only sort of cross-species trait in our food?
[00:31:30.979 --> 00:31:33.820]  Or are there other traits in other foods?
[00:31:34.201 --> 00:31:35.121]  What else is out there?
[00:31:35.621 --> 00:31:41.144]  The main crop that's genetically engineered is called herbicide tolerance.
[00:31:41.865 --> 00:31:49.889]  So Monsanto scientists found bacteria surviving in a chemical waste dump in the vicinity of Roundup herbicide.
[00:31:50.592 --> 00:31:52.153]  Roundup is an antibiotic.
[00:31:52.193 --> 00:31:55.455]  It normally kills bacteria, but this bacteria was surviving.
[00:31:55.515 --> 00:31:58.496]  So Monsanto scientists figured, great, let's put it in the food supply.
[00:31:58.917 --> 00:32:03.339]  So they took the gene that allowed the bacterium to survive and put it into soybeans.
[00:32:03.879 --> 00:32:13.705]  So now you can spray the field of soybeans with Roundup herbicide, and it won't kill the soybeans that are genetically engineered as Roundup-ready.
[00:32:14.395 --> 00:32:22.038]  Now what happens is, the Roundup ready soy and corn, cotton, canola, sugar beets and alfalfa drink the Roundup.
[00:32:22.538 --> 00:32:26.200]  And they store a portion of it in the food that we eat.
[00:32:27.060 --> 00:32:31.562]  Roundup is not the benign herbicide that Monsanto wanted us to believe.
[00:32:32.202 --> 00:32:43.327]  And it turns out, a study came out last week by two very top scientists, one at MIT, I spent a long time interviewing her, and the glyphosate or active ingredient in Roundup
[00:32:43.767 --> 00:32:49.331]  It's linked to essentially every major Western disease on the rise due to diet.
[00:32:49.371 --> 00:32:59.258]  So from cancer, obesity, diabetes, heart disease, anxiety, aggression, anorexia, Parkinson's, Alzheimer's, autism.
[00:32:59.818 --> 00:33:01.219]  It's very, very dangerous.
[00:33:01.879 --> 00:33:10.125]  And it is unfortunately in high concentrations of these Roundup Ready crops, which is the vast majority of all GMOs that we eat.
[00:33:11.917 --> 00:33:24.845]  Right, and genetic roulette actually touches on the majority of the soy and Similac and baby formula is GMO, so our children are being used as lab rats basically.
[00:33:24.905 --> 00:33:28.747]  So what are doctors saying about the effects of these GMOs and baby formula?
[00:33:29.607 --> 00:33:46.376]  Well, in the film Genetic Roulette, The Gamble of Our Lives, Michelle Pero, who is an award-winning pediatrician, she was rated as one of the top 10 pediatricians in the United States for many, many years, she said basically she's seeing very complicated diseases
[00:33:46.856 --> 00:33:51.618]  Related to lack of ability of digestion among her patients.
[00:33:52.078 --> 00:34:03.782]  And in the last few years, it's been an overwhelming number where kids are unable to thrive, meaning they're not gaining any weight, or they're allergic to every category of food, or they're constantly crying.
[00:34:04.402 --> 00:34:13.045]  And when she was reviewing my book, Genetic Roulette, and saw the disrupted architecture of the cell walls along the intestines and stomach,
[00:34:13.305 --> 00:34:13.826]  We're good.
[00:34:29.461 --> 00:34:37.489]  So, she and numerous other people believe that these genetically engineered crops are wreaking havoc with the health of this coming generation.
[00:34:38.009 --> 00:34:43.395]  And that right now, of course, we know that children are most at risk for the potential dangers of GMOs.
[00:34:43.815 --> 00:34:45.416]  They're more allergenic.
[00:34:45.456 --> 00:34:47.398]  They can get allergies more easily.
[00:34:47.438 --> 00:34:49.140]  They're more susceptible to toxins.
[00:34:49.841 --> 00:34:55.126]  The foods that are being served to them are incorporated into the very structures of these growing organs and tissues.
[00:34:55.706 --> 00:35:05.370]  And so, we believe that what we're seeing now in terms of ADHD, and autism, and diabetes, and all these things, and obesity, are related to GMOs.
[00:35:05.810 --> 00:35:15.634]  Now, I was speaking at MIT a couple of weeks ago, and I asked the audience, okay, who in the audience has switched to a non-GMO diet and noticed a benefit?
[00:35:16.034 --> 00:35:21.356]  So, one woman immediately raised her hand and described her son, who I believe was about six and a half,
[00:35:21.994 --> 00:35:31.016]  And he was very aggressive, completely out of control, and they wanted to call him retarded and take him out of school and put him in a special school.
[00:35:31.636 --> 00:35:45.940]  Then she saw the film, Genetic Roulette, The Gamble of Our Lives, heard parents of autistic kids describing how their kids got better both behaviorally and gastrointestinally, how mothers and doctors took patients off of GMOs and
[00:35:46.520 --> 00:35:48.041]  And their symptoms got better.
[00:35:48.482 --> 00:35:55.387]  She immediately eliminated all GMOs from her son's diet and said now she has a completely new son.
[00:35:55.868 --> 00:35:57.129]  No problems with aggression.
[00:35:57.529 --> 00:35:58.570]  No one out of control.
[00:35:58.950 --> 00:36:01.832]  The whole concept of him being retarded was eliminated.
[00:36:02.132 --> 00:36:04.995]  He's completely assimilated into his classroom.
[00:36:05.255 --> 00:36:08.117]  She says she has a completely new son.
[00:36:08.457 --> 00:36:11.640]  And the only thing she did was change his diet.
[00:36:12.100 --> 00:36:18.243]  Now multiply this by millions of people who are feeding their kids starting with infant formula.
[00:36:18.723 --> 00:36:27.667]  Genetically engineered soy in the infant formula, bovine growth hormone which is injected into cows to increase milk supply in the milk infant formulas.
[00:36:28.499 --> 00:36:44.711]  It's so dangerous that three Monsanto scientists who were studying the milk from cows treated with their genetically engineered drug found so much cancer-promoting hormone in the milk from treated cows, the three Monsanto scientists refused to drink milk thereafter unless it was organic.
[00:36:45.132 --> 00:36:46.173]  One bought his own cow.
[00:36:46.713 --> 00:36:54.919]  And yet, our entire generation is being fed this milk from cows treated with bovine growth hormone.
[00:36:54.939 --> 00:36:57.061]  It's unbelievable.
[00:36:58.280 --> 00:37:06.849]  So how are firms like Monsanto, how are they getting around sort of testing and then sharing the results of those tests with the public?
[00:37:07.891 --> 00:37:18.122]  Well, first of all, the Food and Drug Administration, because it was hijacked by Monsanto and its former attorney Michael Taylor, does not require a single safety study on GMOs.
[00:37:18.682 --> 00:37:28.168]  Now, the FDA is unlike other countries or other regulators where they do require some studies, but it's always extremely superficial.
[00:37:28.928 --> 00:37:34.732]  And we have caught Monsanto and other biotech companies red-handed rigging their research with tobacco science.
[00:37:34.772 --> 00:37:35.252]  In other words,
[00:37:36.104 --> 00:37:39.586]  ...is specifically designing the research to avoid finding problems.
[00:37:40.086 --> 00:37:47.210]  Even doing so, they find serious health problems, which they then dismiss using unscientific excuses.
[00:37:47.730 --> 00:37:53.113]  Now, they also limit the ability of other scientists, independently, to do research.
[00:37:53.193 --> 00:37:59.217]  So they patent their own genetically modified seeds and crops, making them unavailable to do any research.
[00:37:59.837 --> 00:38:04.860]  So if anyone wants to do research, they go to the companies and ask for permission, they're turned down.
[00:38:05.538 --> 00:38:11.640]  Then if someone does figure out a way to smuggle some seeds and do research, then they're attacked.
[00:38:12.080 --> 00:38:19.962]  They oftentimes lose their job or are stripped of responsibilities or lose their funding, denied tenure, et cetera.
[00:38:20.522 --> 00:38:33.725]  And this attack has made it so risky for people to do research in GMOs that hundreds of them refuse to do any research because they don't want to withstand those threats to themselves and to their families.
[00:38:34.469 --> 00:38:38.454]  And if they do do the research, it's often very difficult to publish.
[00:38:38.514 --> 00:38:52.572]  And if they do publish it, very often Monsanto or others will rush to publication a counter-study, clearly rigged to avoid finding problems, clearly rigged to avoid to create the opposite effect, so they can say, well, it's just a question of which study you're looking at.
[00:38:53.292 --> 00:38:55.673]  And that's how they keep it out of the limelight.
[00:38:56.213 --> 00:39:06.758]  Most recently, a study was released on September 19th showing that they fed rats Monsanto's genetically modified Roundup Ready corn for two years.
[00:39:07.178 --> 00:39:19.504]  Now, Monsanto only does 90-day feeding studies, and during the first 90 days of this two-year study, the next month they started developing tumors, and it grew so fast and so profoundly
[00:39:20.044 --> 00:39:20.525]  We're good to go.
[00:39:35.302 --> 00:39:39.046]  Pretending that it wasn't an appropriate study that had been discredited.
[00:39:39.386 --> 00:39:51.839]  And so they gave the same talking points from all over the world so everyone could basically refer to the other probiotic apologists as verifying their own position.
[00:39:52.139 --> 00:39:58.486]  So that they could say there is now a consensus all over the planet that it's discredited information and shouldn't be focused on.
[00:39:58.966 --> 00:40:06.590]  That was just the chorus of the biotech people working for Monsanto, directly or indirectly, that were causing that hysteria.
[00:40:07.691 --> 00:40:08.792]  That is unbelievable.
[00:40:09.612 --> 00:40:15.035]  So what are two of the scariest things about consuming these genetically modified organisms?
[00:40:15.856 --> 00:40:21.759]  Well, one is if you are of childbearing age, there's a lot to be concerned about.
[00:40:22.812 --> 00:40:32.217]  We know that mice, rats, and hamsters that were fed genetically engineered roundup ready crops had damage to their testicles, uterus, ovaries.
[00:40:32.257 --> 00:40:39.320]  The DNA functioned differently in the embryo offspring when the parent mice were fed GM soy compared to non-GM soy.
[00:40:39.740 --> 00:40:43.722]  Female rats were fed genetically modified soy starting two weeks before they got pregnant.
[00:40:43.802 --> 00:40:45.143]  More than half of their babies
[00:40:45.703 --> 00:40:49.865]  Died within three weeks compared to only 10% death rate among controls.
[00:40:50.285 --> 00:40:58.508]  Hamsters fed GM soy by the third generation had smaller babies, fewer babies, sterile babies, and some had hair growing in their mouths.
[00:40:59.289 --> 00:41:02.830]  Mice fed GM corn had smaller babies and fewer babies.
[00:41:02.870 --> 00:41:05.831]  It meant very, very serious problems for the next generation.
[00:41:06.692 --> 00:41:11.614]  But if you're not focused on the children, people find one of the scariest aspects
[00:41:12.696 --> 00:41:30.082]  As a result of the only human feeding study that has been published of late, and that showed that genes inserted into soybeans to make the soybeans round and ready actually transferred into the DNA of the bacteria living inside our intestines.
[00:41:30.886 --> 00:41:37.930]  That means that even after we stop eating GMOs, we have the DNA embedded living inside us.
[00:41:38.430 --> 00:41:47.935]  In this case, in this particular study, the gut bacteria that had incorporated the DNA of the Roundup Ready soy was in itself Roundup Ready.
[00:41:47.955 --> 00:41:51.097]  It was unkillable with Roundup.
[00:41:51.858 --> 00:42:01.802]  Suggesting that this transferred gene inside our gut bacteria was continually producing genetically modified proteins.
[00:42:02.242 --> 00:42:05.003]  Now, here's where it gets really scary.
[00:42:06.063 --> 00:42:09.965]  We know that corn chips are made from BT corn.
[00:42:10.862 --> 00:42:11.162]  We're good.
[00:42:29.378 --> 00:42:36.483]  How come so many pregnant women had Bt toxin in their blood when Bt toxin should wash out quickly?
[00:42:36.523 --> 00:42:40.285]  This was done in Canada, not in Mexico where they eat corn tortillas every day.
[00:42:40.725 --> 00:42:49.831]  So the authors suggested that the source of the Bt toxin was eating the milk and meat of animals that fed on the corn.
[00:42:50.612 --> 00:42:55.275]  So they were thinking that you can get the Bt toxin just from eating the milk and meat.
[00:42:55.894 --> 00:42:59.276]  But I think a more plausible explanation, and here's where the scary part comes in.
[00:42:59.877 --> 00:43:13.786]  Imagine if you eat a corn chip with BT toxin-producing genes, and the gene that produces that toxin transfers to your gut bacteria and continues to function, converting it into living pesticide factories.
[00:43:14.487 --> 00:43:24.874]  That means that you have a toxin, which is a known allergen, a known allergen and a toxin, which pokes holes in human cells, being produced continuously inside your own digestive tract.
[00:43:25.709 --> 00:43:38.176]  This might explain why inflammatory bowel disease is up 40% since GMOs were introduced and why leaky gut has been on the rise and that's linked to autism and Alzheimer's and Parkinson's and cancer and autoimmune disease and inflammation.
[00:43:38.716 --> 00:43:48.902]  Or it could be a Crohn's disease or irritable bowel or all these things that may be related to BT toxin and that toxin may be produced continuously inside our own digestive tract.
[00:43:49.452 --> 00:43:53.274]  So when I tell people that, that is really pause for concern.
[00:43:53.595 --> 00:44:05.002]  But we do know the good news is this, that the thousands of doctors prescribing non-GMO diets, the veterinarians and farmers who take the livestock off of GMOs, the humans and animals are getting better.
[00:44:05.662 --> 00:44:14.692]  So we don't know, we're not monitoring the gut bacteria to know what changes are, but we do know that people and animals are getting better and sometimes within two or three days.
[00:44:15.333 --> 00:44:16.314]  So that's the good news.
[00:44:16.934 --> 00:44:20.258]  Yeah, well at least there is some good news.
[00:44:20.478 --> 00:44:25.403]  So is there a way that people can actually and easily avoid these GMOs?
[00:44:26.144 --> 00:44:34.914]  Yes, well, we have a website, non-gmo-shopping-guide.com, and an iPhone application that's free called ShopNoGMO.
[00:44:35.355 --> 00:44:39.920]  So, non-gmo-shopping-guide.com and ShopNoGMO iPhone application.
[00:44:39.940 --> 00:44:46.788]  There's about 10,000 products that are third-party verified as non-GMO listed in the shopping guide.
[00:44:46.988 --> 00:44:48.991]  You can also buy products that are organic.
[00:44:49.312 --> 00:44:51.776]  They're not allowed to intentionally use GMOs.
[00:44:52.036 --> 00:44:57.906]  You can buy products that say non-GMO right on the label, especially non-GMO project verified.
[00:44:58.553 --> 00:45:07.757]  And we also have a list of hidden ingredients, the invisible ingredients, where you don't necessarily see corn or soy, but you may see dextrose or maltodextrin.
[00:45:08.117 --> 00:45:22.543]  So we have a list of the nine genetically modified food crops and their derivatives in the shopping guide, so you can go around the store, look at the products that you're going to buy, and see if it contains any of these derivatives of GMOs.
[00:45:22.623 --> 00:45:26.844]  The good news is, in the produce section, you only have four to be concerned about.
[00:45:27.385 --> 00:45:27.885]  Zucchini,
[00:45:28.606 --> 00:45:32.933]  Yellow crookneck squash, corn, and papaya from Hawaii or China.
[00:45:33.574 --> 00:45:35.036]  These are four of the GM crops.
[00:45:35.096 --> 00:45:42.869]  The others are soy, cottonseed oil, canola oil, sugar from sugar beets, as well as alfalfa used as hay.
[00:45:43.689 --> 00:45:47.693]  These are the only nine genetically modified food crops, and there are ways to avoid them.
[00:45:47.734 --> 00:45:50.416]  Now, we think that when about 5% of U.S.
[00:45:50.436 --> 00:46:02.470]  shoppers avoid brands that contain GM ingredients, that would be sufficient to create a tipping point of consumer rejection, turning GMOs into a marketing liability, and forcing the companies to abandon
[00:46:02.830 --> 00:46:03.570]  GM ingredients.
[00:46:03.810 --> 00:46:06.431]  This is how GMOs were kicked out of Europe back in 1999.
[00:46:06.992 --> 00:46:16.455]  It was based on a high-profile food scandal where a scientist was un-gagged and could finally talk about the dangers of GMOs in Europe.
[00:46:16.575 --> 00:46:22.638]  Over 700 articles were written within a single month in England alone, and that was enough to create a tipping point.
[00:46:23.158 --> 00:46:33.266]  But the mainstream media ignored the entire incident in the United States, and so the same companies that removed GMOs in Europe continue to sell us GMOs in the U.S.
[00:46:33.766 --> 00:46:44.314]  But we now see early signs of a tipping point, huge popularity among products labeled non-GMO, huge eruption of people wanting labeling and demanding non-GMO alternatives,
[00:46:44.734 --> 00:47:04.735]  So we think a tipping point is on its way, and you can learn more about the tipping point and how to become involved at responsibletechnology.org, which is at the Institute for Responsible Technology, responsibletechnology.org, where we can give free newsletters and free online audios and videos and other materials to keep everyone informed and active on this issue.
[00:47:05.802 --> 00:47:16.726]  Well, Jeffrey, thank you so much for all the information and for all that you're doing to inform the public about the dangers of GMOs and really giving us the tools to kind of stop it.
[00:47:16.806 --> 00:47:23.328]  And if it only takes 5% of us to get these out of our food supply, I don't think that that's too far off.
[00:47:23.468 --> 00:47:24.569]  I agree.
[00:47:24.589 --> 00:47:27.710]  I think we're going to be seeing some very good news very soon.
[00:47:28.250 --> 00:47:29.190]  Thank you so much, Jeffrey.
[00:47:29.731 --> 00:47:30.171]  You're most welcome.
[00:47:30.191 --> 00:47:30.791]  We'll talk to you soon.
[00:47:32.546 --> 00:47:34.647]  Now you can pick up a copy of Genetic Roulette.
[00:47:34.747 --> 00:47:37.889]  Both the book and DVD are at our InfoWars store.
[00:47:38.269 --> 00:47:41.111]  That's at InfoWarsStore.com.
[00:47:41.551 --> 00:47:43.953]  Join us again here tomorrow at 7 p.m.
[00:47:43.993 --> 00:47:44.373]  Central.
[00:47:44.753 --> 00:47:47.315]  I'm Leanne McAdoo for the InfoWars Nightly News.
