[00:00:19.485 --> 00:00:20.806]  It's Tuesday, November 5th.
[00:27:04.905 --> 00:27:10.067]  People have hurricanes, tornadoes, natural disasters, but you say the best thing to do is to be prepared?
[00:27:10.951 --> 00:27:20.940]  Absolutely, and you know, the government and social media likes to portray those people as crazy or off, but I like to be called awake.
[00:27:21.720 --> 00:27:27.005]  And you know, it's not paranoia, it's just being prepared, and chance favors the prepared mind.
[00:27:27.625 --> 00:27:28.566]  Exactly, exactly.
[00:27:28.786 --> 00:27:30.448]  So Bunny, tell us how we can keep up with you.
[00:27:31.752 --> 00:27:38.758]  Well, my YouTube channel, and once I get the construction all finished on my dot-com, then I'll have a lot of other venues.
[00:27:38.778 --> 00:27:42.382]  I'm also starting up Facebook and Twitter as well, so.
[00:27:43.122 --> 00:27:47.306]  Alright, we'll definitely try to keep up with you, maybe have you back on the show when you get your sights up and running.
[00:27:47.666 --> 00:27:49.308]  Yes, I'd love that, thank you.
[00:27:49.328 --> 00:27:51.230]  Alright, Bunny Hunter, thank you for your time.
[00:27:51.710 --> 00:27:52.451]  Appreciate it.
[00:27:53.413 --> 00:27:58.501]  So I encourage all of our ladies to stop by the Info Wars shop and pick up the ladies come and take a t-shirt.
[00:27:58.701 --> 00:28:01.205]  Well, that's all the time we have for the Info Wars Nightly News.
[00:28:01.305 --> 00:28:03.929]  I'm your host, Jakari Jackson, and we'll see you again tomorrow night.
[00:28:10.017 --> 00:28:15.280]  Now you can watch the Alex Jones Show live as it happens at InfoWars.com slash show.
[00:28:15.621 --> 00:28:20.684]  You'll find links to all of our content there and a free 15-day trial for Prison Planet TV.
[00:28:21.184 --> 00:28:26.988]  More than 60 movies and documentaries all in one place at InfoWars.com slash show.
