[00:00:06.197 --> 00:00:07.687]  I'm not sure.
[00:25:36.652 --> 00:25:38.734]  For days, people were asking, where are the survivors of this?
[00:25:39.014 --> 00:25:39.975]  Why can't we talk to them?
[00:25:39.995 --> 00:25:41.176]  Why can't we get their stories?
[00:25:41.216 --> 00:25:49.023]  Because, you know, hey, these kidnapped people that were held for 10 years in captivity, we're going to hear their stories in no time.
[00:25:49.403 --> 00:25:52.346]  They had pictures of them up on the web as soon as they were found.
[00:25:52.646 --> 00:25:53.206]  God bless them.
[00:25:53.226 --> 00:25:55.649]  I think that's great, and I'm glad they got out of that situation.
[00:25:56.389 --> 00:26:01.035]  And you can go into a whole thing about kidnapping and where these kids really go.
[00:26:01.055 --> 00:26:04.278]  And it's not just dungeons and houses and subdivisions.
[00:26:04.739 --> 00:26:06.701]  It's white slavery all over the world.
[00:26:06.721 --> 00:26:08.303]  These people are turned into sex slaves.
[00:26:08.323 --> 00:26:09.945]  They're turned into victims of snuff films.
[00:26:10.065 --> 00:26:10.625]  It's horrible.
[00:26:11.186 --> 00:26:12.386]  We'll get into it on another show.
[00:26:12.406 --> 00:26:15.067]  We're going to be back with David Knight sitting down here.
[00:26:15.087 --> 00:26:16.968]  We're going to talk about Paul Revere.
[00:26:17.248 --> 00:26:20.389]  This is kind of the aftermath of people submitting, but we still have a long way to go.
[00:26:20.409 --> 00:26:24.670]  We're going to show you two films in their entirety, and they are Dynamite.
[00:26:24.990 --> 00:26:34.833]  And then after that, stay tuned because we're going to have an interview with another, I guess you'd call him a whistleblower, just an average citizen who didn't like
[00:26:35.313 --> 00:26:43.322]  The cops coming into his neighborhood, the militarized federal goons kicking in their doors, pointing guns at people, treating common people as criminals.
[00:26:43.782 --> 00:26:45.584]  And we'll be back with that, so stay tuned.
[00:26:45.644 --> 00:26:47.126]  It's InfoWars Nightly News.
[00:26:51.460 --> 00:27:06.524]  The important thing about the Pro-1 filter today is that the material we use for removing fluoride and other heavy metals now will remove the latest form of fluoride called hydrofluorosilicic acid.
[00:27:06.964 --> 00:27:12.445]  There's no other fluoride reduction filter out there that will remove that type of fluoride.
[00:27:12.825 --> 00:27:14.466]  It's extremely important because
[00:27:15.186 --> 00:27:20.269]  Today we're hearing more and more cities are using that form of fluoride.
[00:27:20.509 --> 00:27:23.751]  We've been having medication forced on us through the water system for quite a while.
[00:27:23.811 --> 00:27:25.392]  Most people don't realize it.
[00:27:25.432 --> 00:27:28.354]  Most people don't realize the negative effects of fluoride.
[00:27:28.394 --> 00:27:33.877]  There's a wide range of health effects that are attributed to fluoride.
[00:27:34.198 --> 00:27:37.840]  Bottom line, why should somebody get this new Pro-1 Pro-Pure filter?
[00:27:38.823 --> 00:27:54.538]  The reason to buy the Pro-1, it's an all-in-one filter, it's convenient, easy to use, it doesn't require the add-on fluoride filter, and in addition, this filter removes the latest form of fluoride called hydrofluorosilicic acid.
[00:28:01.388 --> 00:28:07.352]  I'm Darren McBreen and these are some of the new items that are available now at InfoWarsShop.com.
[00:28:07.493 --> 00:28:12.917]  Alert the public to Obama's blatant abuse of power with the new Obama t-shirt.
[00:28:13.037 --> 00:28:16.719]  Obama's joker face on the front and come and take it on the back.
[00:28:16.899 --> 00:28:20.882]  It's time to publicly call him out for what he is, a tyrant.
[00:28:20.962 --> 00:28:24.825]  Defend the second amendment with our top seller come and take it t-shirt.
[00:28:24.945 --> 00:28:29.068]  And look at that, women's cut tank tops and t-shirts now available.
[00:28:29.188 --> 00:28:29.689]  Nice hat.
[00:28:29.969 --> 00:28:32.070]  Plus, the Don't Tread On Me flag.
[00:28:32.090 --> 00:28:36.170]  And now, you can become a micro-distributor of the InfoWars magazine.
[00:28:36.210 --> 00:28:40.231]  Plus, get your own copy delivered right to your door each and every month.
[00:28:40.751 --> 00:28:49.393]  And if you're tired like I am of you and your family being exposed to polluted drinking water, get the Pro-1 High Performance Water Filter.
[00:28:49.714 --> 00:28:55.715]  It gets rid of all pathogenic bacteria, cysts, fluoride, heavy metals, and numerous other contaminants.
[00:28:57.443 --> 00:29:00.950]  So join the revolution at infowarshop.com
[00:29:10.250 --> 00:29:11.911]  Welcome back to InfoWars Nightly News.
[00:29:11.971 --> 00:29:12.911]  I'm your host, Rob Due.
[00:29:13.291 --> 00:29:18.773]  And be sure you keep checking out InfoWars.com for all the latest of what is going on in Benghazi.
[00:29:19.273 --> 00:29:21.094]  We just had a big, long presentation.
[00:29:21.134 --> 00:29:26.036]  We've been interviewing people about this since it occurred, telling you what we thought was going on.
[00:29:26.196 --> 00:29:28.217]  And it turns out that we were right.
[00:29:28.797 --> 00:29:35.939]  Now we're going to change gears just a quick bit, and we're joined by David Knight to give us another update on the Paul Revere contest.
[00:29:35.999 --> 00:29:41.180]  The deadline has passed, so if you did not get your entry in, you won't be eligible for the contest.
[00:29:41.220 --> 00:29:43.421]  But we're going to talk about some possibilities.
[00:29:43.801 --> 00:29:50.143]  It's still not totally closed out in that framework of wanting to see great films by great filmmakers.
[00:29:50.183 --> 00:29:51.443]  And with that, we'll turn to David Knight.
[00:29:51.783 --> 00:29:52.444]  How are you doing today?
[00:29:52.664 --> 00:29:53.164]  Doing good, Rob.
[00:29:53.424 --> 00:29:53.744]  Excellent.
[00:29:54.264 --> 00:29:55.385]  So, let's get into it.
[00:29:55.785 --> 00:29:59.627]  Basically, the contest is closed, the deadline is passed.
[00:29:59.847 --> 00:30:00.608]  For the cash portion.
[00:30:00.628 --> 00:30:01.869]  For the cash portion of the prize.
[00:30:01.909 --> 00:30:02.589]  But, go ahead.
[00:30:03.109 --> 00:30:06.211]  Well, there's another part of this, which is the talent search portion.
[00:30:06.251 --> 00:30:17.038]  And so, if you want to get looked at for the talent search portion, or if you've even got just a message that you want to get out to a larger audience, if you send us something that's interesting, we're going to be posting a lot of these videos on the website.
[00:30:17.898 --> 00:30:21.299]  We're going to be including some things in the nightly news like we're doing tonight.
[00:30:21.379 --> 00:30:24.120]  So if you want to get your information out there, you've worked on it.
[00:30:24.160 --> 00:30:27.482]  I mean, it's still not too late to get to those parts of the contest.
[00:30:28.322 --> 00:30:32.163]  If you haven't heard anything from us by now, you should have gotten a confirmation from us.
[00:30:33.404 --> 00:30:35.564]  Send us another email with the links to your video.
[00:30:35.624 --> 00:30:37.325]  It has to be on YouTube and one other site.
[00:30:37.785 --> 00:30:39.946]  And we're going to go by the dates that it was uploaded.
[00:30:40.026 --> 00:30:44.489]  So even if something happened to the email or we didn't get it right or it got deleted, that's not a problem.
[00:30:44.509 --> 00:30:46.050]  We're going to look at the date that it was uploaded.
[00:30:46.150 --> 00:30:49.912]  So you should have a confirmation from us at this point.
[00:30:49.992 --> 00:30:51.313]  If not, let us know.
[00:30:51.333 --> 00:30:51.713]  Okay?
[00:30:52.518 --> 00:30:59.204]  One thing I noticed, I got a lot of emails from people who weren't sure if they were going to make the deadline and they said, you know, it's uploading, it's going to take 10 hours.
[00:31:00.045 --> 00:31:07.612]  Now, and I'm not even sure about this, maybe you know about this, does YouTube base the date on it by the time you started the upload or by the time it's finished?
[00:31:07.632 --> 00:31:08.532]  Do you even know that?
[00:31:08.613 --> 00:31:09.213]  I don't know.
[00:31:09.453 --> 00:31:09.994]  I don't know.
[00:31:10.154 --> 00:31:16.460]  I mean, if they sent us a link and got it in at least one of the sites by the time that the contest closed,
[00:31:17.020 --> 00:31:19.867]  I'm considering that in as being submitted.
[00:31:20.147 --> 00:31:20.287]  Right.
[00:31:20.328 --> 00:31:22.593]  Because we know the main thing is that we didn't want
[00:31:23.197 --> 00:31:26.898]  People who abided by the deadline and got their work done in time.
[00:31:26.958 --> 00:31:33.859]  We didn't want their stuff to be compared to people who took another day or two or a week to do some fine-tuning and tweaking on their stuff.
[00:31:33.899 --> 00:31:40.620]  So, you know, it's a little bit of a gray area there, but we just want to make sure that they're not taking time to fix stuff.
[00:31:40.660 --> 00:31:48.342]  Because we get a lot of follow-up stuff from people that said, you know, I submitted this and then they noticed that there was a glitch in their video or something like that.
[00:31:49.082 --> 00:31:50.723]  Send it back another two or three times.
[00:31:50.963 --> 00:31:54.085]  If you do that, don't delete the one that made it by the deadline.
[00:31:54.125 --> 00:31:55.206]  That's the one we're going to go by.
[00:31:55.606 --> 00:31:56.967]  And it's not going to be that fatal.
[00:31:57.107 --> 00:32:01.369]  If you've got some kind of a little glitch or something in your video, we can overlook that.
[00:32:01.429 --> 00:32:02.990]  That's not the killer thing.
[00:32:03.991 --> 00:32:04.191]  Right.
[00:32:04.472 --> 00:32:07.735]  So tonight we're just going to show two videos.
[00:32:07.875 --> 00:32:10.498]  We're going to show them in their entirety.
[00:32:10.638 --> 00:32:12.259]  Right, in our entirety, which we haven't done yet.
[00:32:12.720 --> 00:32:17.084]  Now, in that last week, how many submissions did we get in the last week?
[00:32:17.185 --> 00:32:20.588]  So we probably got about 500 emails in the last two days.
[00:32:22.450 --> 00:32:23.531]  Which we knew was going to happen.
[00:32:23.591 --> 00:32:26.794]  We knew people were going to wait until the last minute, take all the time they could.
[00:32:27.935 --> 00:32:29.696]  And that's another part about the deadline.
[00:32:29.736 --> 00:32:32.758]  People are going to work on that, trying to polish it right up to the deadline.
[00:32:33.158 --> 00:32:43.364]  And unfortunately, a lot of people who haven't had a lot of experience in this didn't realize that, hey, you might run into a glitch with Final Cut or with iMovie or whatever.
[00:32:43.384 --> 00:32:44.925]  Might be watching that render bar for three days.
[00:32:45.025 --> 00:32:45.265]  Right.
[00:32:45.385 --> 00:32:49.308]  And you might run into a glitch when you try to upload it.
[00:32:50.028 --> 00:32:51.309]  We know that because we've done it before.
[00:32:51.949 --> 00:32:54.271]  Yeah, and it is, you know, it's something you learn by.
[00:32:54.331 --> 00:32:59.496]  So even if you didn't get in for that cash prize, we always have contests here at InfoWars.
[00:32:59.556 --> 00:33:00.537]  This won't be the last.
[00:33:01.538 --> 00:33:05.982]  I think it's just the next phase of, you know, we're going to have more contests, better contests.
[00:33:07.304 --> 00:33:08.065]  People submitting stuff.
[00:33:08.125 --> 00:33:10.286]  And if it's interesting content, we're still interested in it.
[00:33:10.506 --> 00:33:10.746]  Exactly.
[00:33:10.766 --> 00:33:12.367]  We're interested in it for the website.
[00:33:13.168 --> 00:33:14.569]  We want you to get the information out there.
[00:33:14.589 --> 00:33:16.530]  That's a large part of what this contest is about.
[00:33:17.151 --> 00:33:21.333]  And when you leave comments on people's videos, try to be positive about it.
[00:33:22.114 --> 00:33:23.195]  Tell them what you liked about it.
[00:33:23.315 --> 00:33:26.217]  And if there's something that you think they could do better, do it in a nice way.
[00:33:26.277 --> 00:33:29.879]  Look at the way people comment on Vimeo as opposed to the way people comment on YouTube.
[00:33:29.939 --> 00:33:33.642]  I know that most of them are going to be on YouTube that you're looking at, but try not to get
[00:33:34.282 --> 00:33:34.843]  We're good to go.
[00:33:54.620 --> 00:33:57.241]  He wrote, directed, produced, shot, edited, and scored the piece.
[00:33:57.281 --> 00:33:59.543]  So he's a jack of many trades.
[00:33:59.563 --> 00:33:59.923]  That's right.
[00:34:00.163 --> 00:34:01.063]  And we're going to play the whole thing.
[00:34:01.103 --> 00:34:02.104]  It's about 10 minutes long.
[00:34:02.124 --> 00:34:03.825]  Yeah, we'll just let it speak for itself.
[00:34:03.905 --> 00:34:04.085]  Yeah.
[00:34:04.185 --> 00:34:05.405]  Because that's probably the best way to do it.
[00:34:05.545 --> 00:34:05.806]  All right.
[00:34:05.826 --> 00:34:06.566]  Well, let's go to it now.
[00:35:38.424 --> 00:35:39.184]  I have a gun.
[00:35:40.305 --> 00:35:42.285]  No.
[00:35:42.446 --> 00:35:43.186]  No, you don't.
[00:35:44.686 --> 00:35:46.367]  You let the government take that away.
[00:36:14.297 --> 00:36:16.799]  Wait a minute.
[00:36:16.839 --> 00:36:18.140]  What am I doing?
[00:36:19.721 --> 00:36:21.483]  I know you don't have any way of defending yourself.
[00:36:21.503 --> 00:36:23.605]  I forgot.
[00:36:23.725 --> 00:36:25.787]  I'm dealing with a typical
[00:36:33.894 --> 00:36:34.474]  What is this?
[00:36:34.854 --> 00:36:35.595]  What do you want?
[00:36:37.275 --> 00:36:38.336]  You know what I want.
[00:36:40.057 --> 00:36:40.297]  No.
[00:36:43.578 --> 00:36:44.859]  I keep all my money in the bank.
[00:36:45.099 --> 00:36:46.459]  I have nothing of value here.
[00:36:47.219 --> 00:36:49.100]  You are a liar.
[00:36:50.221 --> 00:36:53.242]  There's an armed response security sign on your lawn.
[00:37:04.228 --> 00:37:05.890]  Let me tell you something.
[00:37:06.590 --> 00:37:10.313]  Those costume cops, they're not gonna help you.
[00:37:10.433 --> 00:37:11.875]  It's just you and me.
[00:37:12.115 --> 00:37:14.156]  Well, it's always been.
[00:37:15.538 --> 00:37:20.081]  You on one side, and me on the other.
[00:37:21.082 --> 00:37:31.971]  And because you let the government take away your right to defend yourself, well, it's like stealing candy from a baby.
[00:37:41.707 --> 00:37:42.668]  Wait a minute!
[00:37:43.788 --> 00:37:44.709]  I got an idea!
[00:37:45.850 --> 00:37:47.811]  I don't know why I didn't think about this before.
[00:37:48.972 --> 00:37:49.813]  Genius!
[00:37:51.093 --> 00:37:54.396]  I just might have a way in which you can defend yourself.
[00:37:55.737 --> 00:37:56.497]  Are you ready for it?
[00:37:57.478 --> 00:38:03.842]  Come here.
[00:38:03.862 --> 00:38:04.302]  Scissors.
[00:38:04.322 --> 00:38:07.485]  Okay, okay.
[00:38:07.925 --> 00:38:08.986]  Hear me out, hear me out.
[00:38:10.046 --> 00:38:10.487]  I saw
[00:38:11.578 --> 00:38:18.803]  I saw a Homeland Security video once in which they said you could thwart off an attacker with scissors!
[00:38:20.284 --> 00:38:21.105]  Scissors!
[00:38:22.326 --> 00:38:24.607]  You gotta have something laying around here someplace, right?
[00:38:26.909 --> 00:38:27.029]  No?
[00:38:27.089 --> 00:38:30.692]  Oh, man.
[00:38:30.732 --> 00:38:31.352]  Pliers.
[00:38:32.273 --> 00:38:32.773]  Pliers.
[00:38:32.973 --> 00:38:33.934]  That'll do the trick.
[00:38:34.414 --> 00:38:38.137]  Because I am a freak.
[00:38:43.780 --> 00:38:45.281]  Would you like me to go find you some?
[00:38:46.462 --> 00:38:46.702]  Yeah?
[00:38:47.602 --> 00:38:48.223]  Oh, yeah.
[00:38:54.286 --> 00:39:03.672]  Okay.
[00:39:03.792 --> 00:39:08.955]  Here's your chance.
[00:39:09.255 --> 00:39:10.296]  I'm all by myself.
[00:39:12.543 --> 00:39:18.889]  You may not get this opportunity again.
[00:39:20.170 --> 00:39:34.604]  You little scared man.
[00:39:34.704 --> 00:39:35.465]  I was playing.
[00:39:35.745 --> 00:39:36.245]  Come here.
[00:39:53.383 --> 00:39:53.943]  No, really.
[00:39:55.024 --> 00:39:55.865]  I love gun control.
[00:39:57.305 --> 00:40:07.812]  You know, it just might be the best thing that's ever happened to me in my entire life.
[00:40:07.892 --> 00:40:08.533]  Now I know.
[00:40:09.875 --> 00:40:23.387]  But when I'm at your back window disarming that half-assed security alarm, or creeping down your hallway in the middle of the night towards you and your family,
[00:40:43.965 --> 00:40:48.467]  Hey.
[00:40:50.208 --> 00:40:51.669]  I am a criminal.
[00:40:53.070 --> 00:40:55.451]  And I will always have a gun!
[00:40:57.592 --> 00:41:00.534]  And there's nothing you can do to stop me.
[00:41:08.699 --> 00:41:09.019]  Damn!
[00:41:10.160 --> 00:41:11.841]  Did you count that bad breath of yours?
[00:41:16.761 --> 00:41:17.942]  How did you know I don't have a gun?
[00:41:19.002 --> 00:41:20.123]  I could have an illegal one.
[00:41:22.184 --> 00:41:22.504]  You?
[00:41:23.885 --> 00:41:26.346]  You have an Obama sticker on your car!
[00:41:26.366 --> 00:41:30.028]  Not that that makes any difference.
[00:41:30.748 --> 00:41:32.930]  They're all a bunch of professional liars.
[00:41:35.771 --> 00:41:36.632]  Oh, but you.
[00:41:38.833 --> 00:41:42.795]  You think that they're so nice and so honest.
[00:41:45.945 --> 00:41:47.526]  Like Smokey the Bear.
[00:41:50.267 --> 00:41:50.507]  Wait!
[00:41:50.867 --> 00:41:53.869]  I told you I don't have anything.
[00:41:56.089 --> 00:42:01.232]  Really?
[00:42:02.232 --> 00:42:04.213]  I'm very sorry to hear that.
[00:42:06.714 --> 00:42:08.215]  That you would play it that way.
[00:42:16.698 --> 00:42:17.178]  I don't know.
[00:42:18.319 --> 00:42:24.964]  Maybe it was, uh, the way I was raised, or, uh, my metabolism.
[00:42:25.064 --> 00:42:28.046]  I don't know.
[00:42:30.868 --> 00:42:39.074]  But what I do know is that I am not a patient man!
[00:42:55.839 --> 00:42:59.562]  Do you know why I chose this room?
[00:43:00.363 --> 00:43:02.064]  I have no idea.
[00:43:03.445 --> 00:43:11.712]  Well, it's because after I shoot you, blood won't get all over the carpet.
[00:43:14.214 --> 00:43:19.859]  And the new people that move in here, after you're dead and it's been resold,
[00:43:23.157 --> 00:43:29.282]  They won't have any idea what happened here tonight.
[00:43:29.382 --> 00:43:33.526]  And I'll just come right back.
[00:43:34.087 --> 00:43:40.272]  And I'll do the same thing all over again.
[00:43:40.292 --> 00:43:43.715]  To them.
[00:43:47.839 --> 00:43:49.400]  Bet you wish you had a gun now.
[00:43:50.543 --> 00:43:51.844]  Please don't do this!
[00:43:51.864 --> 00:43:52.945]  Please don't do this!
[00:43:53.465 --> 00:43:54.025]  Please!
[00:44:24.591 --> 00:44:24.931]  Wow.
[00:44:25.712 --> 00:44:29.494]  That reminds me of the old saying, when seconds count, cops are minutes away.
[00:44:30.514 --> 00:44:31.515]  And that was great.
[00:44:31.715 --> 00:44:32.536]  Yeah, well done.
[00:44:32.716 --> 00:44:35.657]  Yeah, that's really well done and very professionally done.
[00:44:36.398 --> 00:44:44.102]  And it's a good example of somebody getting you emotionally involved with an issue and making all the talking points that we talk about.
[00:44:44.302 --> 00:44:44.443]  Right.
[00:44:44.463 --> 00:44:48.545]  You know, they were all there, but they were done in a way that really takes you into a great, good piece.
[00:44:48.745 --> 00:44:50.806]  Yeah, I imagine they were definitely in California.
[00:44:50.926 --> 00:44:51.647]  Yeah, yeah.
[00:44:51.967 --> 00:44:53.188]  Yeah, I think he's got an L.A.
[00:44:53.248 --> 00:44:53.708]  area code.
[00:44:53.908 --> 00:44:54.428]  There you go.
[00:44:54.749 --> 00:44:58.932]  So this last one we have John Cabal vs. Alex Jones.
[00:44:59.552 --> 00:45:04.396]  And you were telling me this goes back to a, he kind of formats this to an old movie.
[00:45:04.616 --> 00:45:07.678]  This is a more typical documentary.
[00:45:07.958 --> 00:45:08.239]  Okay?
[00:45:08.299 --> 00:45:11.501]  And it's not as slickly done as this.
[00:45:11.561 --> 00:45:13.002]  It's more of an intellectual approach to it.
[00:45:13.423 --> 00:45:14.643]  But interesting content.
[00:45:15.064 --> 00:45:16.405]  A real interesting take on this.
[00:45:16.445 --> 00:45:17.446]  Because it goes back to
[00:45:18.326 --> 00:45:19.487]  We're good to go.
[00:45:39.798 --> 00:45:53.994]  What he sees happening with the New World Order, but he has an interesting spin on it, because what he does is he kind of takes the antagonist and protagonist from the movie and the novel, and he compares them to Piers Morgan and Alex Jones, and he talks about similarities with Alex.
[00:45:54.855 --> 00:45:55.476]  We're good to go.
[00:46:12.012 --> 00:46:17.056]  It's weird staginess and broad strokes weren't the accidental result of primitive cinema technology.
[00:46:17.096 --> 00:46:19.417]  Filmmaking was quite advanced by the mid-1930s.
[00:46:19.798 --> 00:46:27.843]  The film was made as a vehicle to talk down to the unwashed masses as an early effort at what we would now call predictive programming.
[00:46:28.063 --> 00:46:31.245]  So it's a real interesting documentary and it's about 20 minutes long.
[00:46:31.546 --> 00:46:31.926]  Right.
[00:46:32.106 --> 00:46:35.468]  And we're gonna play this and that's gonna be our break actually.
[00:46:35.608 --> 00:46:37.150]  And when we come back,
[00:46:37.952 --> 00:46:45.961]  We are going to have a guest who, we're actually going to play a video that David helped shoot with Dan Bodondi's help.
[00:46:45.981 --> 00:46:55.412]  Dan Bodondi went to Watertown, interviewed residents who felt they were under martial law, who felt they were being oppressed, who felt their rights were taken away from one 19-year-old boy
[00:46:56.953 --> 00:46:57.534]  We're good to go.
[00:47:21.047 --> 00:47:21.787]  I was there, too.
[00:47:22.767 --> 00:47:24.988]  Here's my house, and we're going to show you the picture.
[00:47:25.028 --> 00:47:33.670]  There's a tank right there with a bunch of troops armed to the hilt, and he points out where his house is within the Watertown district.
[00:47:33.690 --> 00:47:40.852]  So we're going to go to John Cabal versus Alex Jones, and that'll be our break, and we'll be right back with that interview, so stay tuned.
[00:47:50.376 --> 00:47:58.986]  For some time, when listening to the passionate, grainy voice of Alex Jones, rallying against the growing shadow of a totalitarian New World Order,
[00:47:59.793 --> 00:48:02.134]  There's been a growing feeling of deja vu.
[00:48:03.014 --> 00:48:16.418]  Somewhere in the memory hole there was a strikingly similar attitude, an almost theatrical, raspy, rapid-fire voice heard in a nearly forgotten sci-fi film from the mid-1930s.
[00:48:17.159 --> 00:48:26.962]  It wasn't until watching the gun control debate between Alex and the imperious, insufferable Piers Morgan that the pieces fell together.
[00:48:27.922 --> 00:48:37.650]  The film featuring a distorted Alex Jones prototype was Things to Come, based on the science fiction novel by futurist H.G.
[00:48:37.730 --> 00:48:40.092]  Wells, The Shape of Things to Come.
[00:48:40.872 --> 00:48:55.203]  Since Wells is often credited with coining the term New World Order, and Alex Jones is the leading pop culture opponent of the New World Order, the two men have, in a sense, already met.
[00:48:56.104 --> 00:49:16.991]  From Things to Come, a grainy old movie that had long ago fallen into the public domain, rise the images of a flawed but passionate nationalist resister known as the Chief, and the pompous, imperious elitist by the unsubtle name of John Cabal.
[00:49:17.871 --> 00:49:25.337]  John Cabal heads a new technocratic proto-world government, and the chief runs the last nation-state.
[00:49:26.017 --> 00:49:38.367]  In parallel, Piers Morgan represents a powerful, elitist world propaganda empire, while Alex Jones is the tip of the spear of a grassroots nationalist new media.
[00:49:39.308 --> 00:49:46.733]  Cabal and the chief fight a hot war, while Morgan and Jones fight a world info-war.
[00:49:47.714 --> 00:49:51.695]  Sadly, no really high-quality prints of things to come exist.
[00:49:52.435 --> 00:49:57.576]  But the film is one of the most important movies to come out of pre-World War II England.
[00:49:58.096 --> 00:50:04.237]  Not because it is a particularly good film, but because it is such an amazing New World Order blueprint.
[00:50:04.838 --> 00:50:11.799]  A frontal assault on the idea of sovereign nations, religion, liberty, and individual ambition.
[00:50:12.499 --> 00:50:21.485]  It is also amazing because it has some of the greatest talent and most lavish production values available at the time applied to its production.
[00:50:22.145 --> 00:50:34.633]  Perhaps it is not a great film as cinema because its makers were true believers, too close and too sympathetic to its propaganda messaging to be objective about the film as art.
[00:50:37.503 --> 00:50:53.420]  In short, Things to Come is the story of a transition through war from a world of individual nation-states to a futuristic vision of a world run by a technocratic class whose focus is spreading an elite core of humanity to the stars
[00:50:54.040 --> 00:50:59.204]  Rather than being particularly concerned with the petty needs and rights of individuals.
[00:50:59.925 --> 00:51:07.550]  The action takes place in the near future 1940, an intermediate future 1970, and a distant future 2036.
[00:51:08.071 --> 00:51:23.062]  In a representative community aptly dubbed Everytown, Things to Come embodies, it really reeks of the truism that socialist elitists love humanity but hate people.
[00:51:23.782 --> 00:51:33.390]  That certainly sums up the mindset of the main character of Things to Come, John Cabal, and of course his spiritual heir, Piers Morgan.
[00:51:34.951 --> 00:51:43.999]  As a direct result of decades of devastating war, every town is eventually taken over by a warlord gangster capitalist named The Chief.
[00:51:45.086 --> 00:52:03.792]  After becoming disillusioned with the existing order and the conflict inherent in free societies, we now see the middle-aged version of John Cabal as a kind of a visitor from space, actually a subterranean headquarters in, of all places, oil-rich Iraq.
[00:52:04.752 --> 00:52:14.981]  Kabbalah is back in every town to lay down the law to the chief that the days of the nation-state, private enterprise and self-interest are over.
[00:52:15.802 --> 00:52:25.610]  Kabbalah has been busy organizing the New World Order using science, I guess very much like Nazi Germany, to build an irresistible futuristic air fleet
[00:52:26.210 --> 00:52:28.171]  And demands that the chief relent.
[00:52:28.711 --> 00:52:31.291]  In other words, surrender or else.
[00:52:32.092 --> 00:52:39.833]  The or else is the so-called gas of peace, dropped from Cabal's massive bombers, which is supposed to knock opponents out.
[00:52:40.614 --> 00:52:45.675]  Strangely, it winds up being fatal to only one person, the gun-toting chief.
[00:52:46.275 --> 00:52:51.719]  Well, the rest of the rabble seem to have a zombie-like smile on their face.
[00:52:52.279 --> 00:53:09.491]  It's actually logical that they chose Raymond Massey to play Cabal, who also played Abe Lincoln and John Brown, all dour fanatics with a messianic complex and a determination to bend the world to their own view, regardless of the human toll.
[00:53:10.331 --> 00:53:19.078]  The Chief responds to Cabal's ultimatum by taking him prisoner, but not before a heated confrontation between the two world views.
[00:53:19.498 --> 00:53:22.700]  The first thing we shall want is to get our planes in the air again.
[00:53:22.980 --> 00:53:24.382]  Quite an audible ambition.
[00:53:25.062 --> 00:53:27.484]  But our new order has an objection to private aeroplanes.
[00:53:27.544 --> 00:53:28.244]  The impudence!
[00:53:28.765 --> 00:53:30.186]  I'm not talking about private aeroplanes.
[00:53:31.146 --> 00:53:32.848]  Our aeroplanes are public aeroplanes.
[00:53:33.688 --> 00:53:36.250]  This is an independent sovereign state at war.
[00:53:37.091 --> 00:53:38.512]  I know nothing about any old order.
[00:53:39.528 --> 00:53:43.690]  I'm the chief here, and I'm not taking any orders old or new from you.
[00:53:45.631 --> 00:53:47.112]  Suppose I've walked into trouble.
[00:53:47.272 --> 00:53:48.753]  Yeah, you can take that as right.
[00:53:49.673 --> 00:53:52.675]  We have some hundreds of new type planes and we're building more, fast.
[00:53:53.035 --> 00:53:54.216]  The factories are working again.
[00:53:54.596 --> 00:53:57.638]  We're gradually restoring order and trade in the whole Mediterranean area.
[00:53:57.998 --> 00:54:00.139]  We're scouting this region now to see how things are.
[00:54:00.199 --> 00:54:01.120]  You'll find out.
[00:54:02.080 --> 00:54:04.121]  This is an independent sovereign state.
[00:54:04.682 --> 00:54:05.962]  Yes, we must talk about that.
[00:54:06.102 --> 00:54:07.343]  We don't discuss it.
[00:54:08.263 --> 00:54:10.684]  We don't approve of independent sovereign states.
[00:54:10.724 --> 00:54:11.925]  You don't approve?
[00:54:12.305 --> 00:54:13.285]  We mean to stop them.
[00:54:13.686 --> 00:54:14.326]  That's war.
[00:54:14.666 --> 00:54:15.226]  If you will.
[00:54:15.246 --> 00:54:19.588]  Well, I think we know how we stand.
[00:54:21.089 --> 00:54:23.270]  Burton, take this man.
[00:54:23.290 --> 00:54:25.651]  If he gives you any trouble, club him.
[00:54:25.671 --> 00:54:27.812]  You hear that?
[00:54:27.932 --> 00:54:29.153]  Mr. Wings over your wits.
[00:54:30.274 --> 00:54:31.774]  My friends know my whereabouts.
[00:54:33.255 --> 00:54:35.856]  If I don't come back, they'll send a force to find me.
[00:54:35.896 --> 00:54:37.237]  Perhaps they won't find you.
[00:54:37.907 --> 00:54:39.970]  They'll find you, they'll find me ready!
[00:54:52.807 --> 00:54:58.393]  No matter how many lemmings you get out there on the street begging for them to have their guns taken, we will not relinquish them.
[00:54:58.613 --> 00:54:59.574]  Do you understand?
[00:54:59.894 --> 00:55:07.121]  That's why you're going to fail and the establishment knows, no matter how much propaganda, the republic will rise again when you attempt to take our guns.
[00:55:07.342 --> 00:55:13.307]  My family in the Texas revolution against Santa Ana, my family was at the core on both sides starting that.
[00:55:13.908 --> 00:55:16.713]  Because Santa Ana came to take the guns at Gonzales, Texas.
[00:55:16.993 --> 00:55:20.119]  Pierce, don't try what your ancestors did before.
[00:55:20.339 --> 00:55:21.541]  Why don't you come to America?
[00:55:21.721 --> 00:55:22.803]  I'll take you out shooting.
[00:55:22.983 --> 00:55:25.428]  You can become an American and join the Republic.
