[00:00:42.233 --> 00:00:43.836]  It's July 9th, 2013.
[00:28:50.720 --> 00:28:53.482]  Johnny Appleseed was born during the Revolutionary War.
[00:28:53.542 --> 00:28:54.623]  He's not just a legend.
[00:28:55.043 --> 00:29:01.528]  And in more than five states, he introduced apples that had not even been grown in the colonies.
[00:29:02.169 --> 00:29:10.015]  Later, the seeds from plants he planted and cultivated, and some of the varieties he developed, spread across the United States.
[00:29:10.615 --> 00:29:22.423]  And it was Johnny Appleseed teaching the colonists, and then the new Americans after we won independence, the love of planting fruit trees that introduced that idea to North America.
[00:29:23.164 --> 00:29:39.135]  Ladies and gentlemen, it is a revolutionary act to unplug from the television, to unplug from the computer, and all the globalist propaganda, and to go out in your backyard, or your front yard, or planters at your apartment, or on the roof of the building where you live, and to plant a garden.
[00:29:39.395 --> 00:29:48.279]  Become the Johnny Appleseed of your community with seeds from the InfoWars Seed Center at InfoWarsStore.com.
[00:29:48.559 --> 00:29:57.023]  The simple act of planting fruits and vegetables and then tending them and taking care of them and then sharing them with friends and family
[00:29:57.563 --> 00:30:00.184]  This is a revolutionary act against tyranny.
[00:30:00.484 --> 00:30:06.127]  The globalists, first and foremost, do not want us to be self-sufficient.
[00:30:06.607 --> 00:30:14.631]  The crony anti-free market capitalist, the fascist, are using socialism and collectivism to shut down societies.
[00:30:15.211 --> 00:30:27.454]  Stalin in Poland and in Ukraine and other areas starved on record more than 10 million people over five years by not letting them grow their own crops and collectivizing them.
[00:30:27.914 --> 00:30:33.315]  Mao killed between 65 million and 80 plus million people doing the same thing.
[00:30:33.955 --> 00:30:36.096]  The UN says they will use food as a weapon.
[00:30:36.276 --> 00:30:42.097]  They use genetic evil to attack the earth and major GMO companies have been caught
[00:30:42.657 --> 00:30:50.524]  Going into growth belts around the world, even where GMO is illegal, and planting seeds everywhere to infect the genetics of the original crops.
[00:30:50.964 --> 00:30:56.409]  Almost all of the thousands of varieties of Mexican corn has been infected.
[00:30:57.762 --> 00:31:00.084]  They are in a genetic war against everyone.
[00:31:00.525 --> 00:31:10.054]  That's why we have to get these seeds and not just plant them on our own gardens, and not just give them as gifts to friends and family to plant spring and summer and fall gardens.
[00:31:10.615 --> 00:31:17.141]  I'm calling on you to go out into the green belts, to go out into the areas and plant secret gardens.
[00:31:17.882 --> 00:31:27.774]  No, not of marijuana, but of the hundreds and hundreds of incredible high quality vegetables and herbs and fruit plants that are here.
[00:31:28.355 --> 00:31:30.417]  Lemons and oranges, the list goes on and on.
[00:31:30.737 --> 00:31:35.203]  They will grow, plum trees, grape trees, they will grow almost everywhere in the U.S.
[00:31:35.703 --> 00:31:41.645]  We can literally, not just buying these products from infowarestore.com, but from wherever you get them.
[00:31:42.085 --> 00:31:46.887]  This aggressive program literally just came to me one morning when I woke up about 4 a.m.
[00:31:47.227 --> 00:31:55.430]  realizing that we've got a counter of their genetic war against us with original real crops developed over eons on this planet.
[00:31:56.010 --> 00:31:57.872]  We have the lowest prices.
[00:31:57.912 --> 00:32:05.341]  We bought it in the biggest bulk that some of these companies have ever seen to ship this directly to you from the InfoWars Command Center.
[00:32:05.721 --> 00:32:06.783]  We stand for life.
[00:32:07.343 --> 00:32:08.325]  We stand for liberty.
[00:32:08.365 --> 00:32:09.926]  We stand for self-sufficiency.
[00:32:10.207 --> 00:32:15.954]  Go to InfoWarsStore.com, click on the Seed Center, and as of taping this, we have the seven
[00:32:16.474 --> 00:32:17.935]  Top respected brands.
[00:32:18.215 --> 00:32:26.017]  We intend to continue to do research and find other companies, other specialties, other varieties to really take action.
[00:32:26.417 --> 00:32:32.560]  The InfoWars Store Seed Center has the largest online selection of heirloom non-GMO seeds.
[00:32:32.800 --> 00:32:36.361]  Check out these products from our newest supplier, Heirloom Organics.
[00:32:36.621 --> 00:32:39.142]  The Medicine Garden, for a natural remedy.
[00:32:39.382 --> 00:32:44.064]  The Tea Garden, that contains every important tea herb you can grow.
[00:32:44.084 --> 00:32:46.245]  Fruit Lovers, with 12 varieties.
[00:32:46.546 --> 00:32:50.047]  And the Tobacco Pack, additive and pesticide free.
[00:32:50.447 --> 00:32:55.610]  Join the gardening revolution today, at InfoWarsStore.com.
[00:32:56.310 --> 00:32:58.531]  This is a revolutionary action we're asking you to take.
[00:32:59.371 --> 00:33:00.972]  Plant seeds everywhere today.
[00:33:01.432 --> 00:33:01.953]  Nurture them.
[00:33:02.933 --> 00:33:05.834]  Bring them to fruit and pass on the knowledge to others.
[00:33:06.254 --> 00:33:07.235]  Become human again.
[00:33:07.795 --> 00:33:09.776]  Discover your roots in the soil.
[00:33:10.436 --> 00:33:14.298]  And remember, the revolution against tyranny is growing.
[00:33:24.241 --> 00:33:25.322]  We will not be silent.
[00:33:26.602 --> 00:33:27.483]  We will not obey.
[00:33:28.376 --> 00:33:33.501]  We will not allow our government to destroy our humanity.
[00:33:35.643 --> 00:33:43.391]  We are the final American revolution.
[00:33:44.271 --> 00:33:45.593]  See you next Independence Day!
[00:33:48.171 --> 00:34:07.828]  And that clip was on the morning of July 4th, 2013 in downtown DC, just a few blocks from the Capitol, where Adam Kokesh went ahead with his one-man march on DC to defile their unconstitutional gun ban that was overturned almost five years ago.
[00:34:08.408 --> 00:34:26.147]  In DC versus Heller and I had a chance to talk to Adam yesterday live on the radio for about 20 minutes about why he went and did that and the fact that his idea to have a march against the globalist occupation of the US or in his words and an end of the federal government
[00:34:28.616 --> 00:34:30.217]  Was that successful across the country?
[00:34:30.378 --> 00:34:32.439]  I would say, yes it was.
[00:34:32.499 --> 00:34:38.784]  So he's calling, I guess, for another move towards informing the public to do this coming up in 2014.
[00:34:39.485 --> 00:34:50.553]  And then Adam also brought up the point that, hey Alex, you know, don't speak for us here and say that we just want to re-upload the old republic and still have a federal government.
[00:34:50.834 --> 00:34:56.198]  We want to devolve back to the states or evolve towards more regional governments.
[00:34:56.678 --> 00:35:01.059]  Look, my whole issue here is I'm not telling people what we should do.
[00:35:01.539 --> 00:35:05.540]  I'm not saying specifically that everybody should follow my ideas.
[00:35:06.000 --> 00:35:14.202]  I'm just pointing out our federal government has been conquered by a bunch of foreign offshore banks that are establishing classical tyranny in this nation.
[00:35:14.442 --> 00:35:16.703]  Sure, last year it made national headlines.
[00:35:17.843 --> 00:35:33.808]  I called for a second American revolution against the globalists to have the states withdraw out of the fraudulent federal government and then make a decision on what we constitutionally wanted to do or what the people wanted to do.
[00:35:33.928 --> 00:35:35.369]  So in a way what I'm
[00:35:36.049 --> 00:35:39.412]  I'm just trying to get a debate going about all of this, and that's why we have him on.
[00:35:39.432 --> 00:35:42.275]  That's why we've tried to give him a forum here with our audience to discuss it.
[00:35:42.295 --> 00:35:43.496]  And it is a complex issue.
[00:35:58.610 --> 00:36:05.735]  This is not, you know, simple stuff like Trayvon Martin, George Zimmerman distraction in the media, or the latest kidnapping.
[00:36:06.256 --> 00:36:16.223]  This is a real geopolitical situation we're talking about, because the United States, like it or not, is connected to this artificial globalism that's been created.
[00:36:16.263 --> 00:36:27.691]  And the globalists might also, this is one of my questions for Adam, use the breakdown of the occupation federal government as a pretext to come in and try to take over the states.
[00:36:28.371 --> 00:36:31.053]  So we'll get Adam Kokesh's take on all of that.
[00:36:31.173 --> 00:36:32.294]  Adam, thanks for joining us.
[00:36:32.734 --> 00:36:34.735]  You heard my diatribe there.
[00:36:35.996 --> 00:36:47.063]  Present to us your case, exactly what you're saying specifically, and what type of system you're putting forward, or the type of debate that you're trying to foster.
[00:36:47.731 --> 00:36:49.173]  Sure Alex, thanks for the opportunity.
[00:36:49.193 --> 00:37:01.049]  I really appreciate the chance for this more relaxed conversation and talking about these deeper issues, and as you put it, the geopolitical issues that do come into play when we talk about the revolution that is impending in America.
[00:37:01.489 --> 00:37:05.855]  And I just want to reiterate, first of all, what we're saying, and I think you would join me in this, is that
[00:37:06.275 --> 00:37:19.564]  We can do things the easy way or the hard way, and the hard way is to keep our heads buried in the sand and wait for the inevitable collapse points and the tumultuous decline of America that may have some violence and pull the rug out from underneath a lot of people in a very dangerous way.
[00:37:19.964 --> 00:37:29.311]  The easy way is let's pay attention, let's take drastic action that's appropriate to the situation, and let's really take advantage of this opportunity to move humanity forward.
[00:37:29.631 --> 00:37:32.532]  We are calling for the abolition of the United States federal government.
[00:37:32.992 --> 00:37:35.733]  And what we replace that with is state governments.
[00:37:35.934 --> 00:37:39.175]  And it's not that it's to replace everything that the federal government is doing.
[00:37:39.215 --> 00:37:43.136]  We're not suggesting that there be 50 NSAs and so on.
[00:37:43.496 --> 00:37:52.280]  But that we have a return to that at least local kind of sense of self-government that we once had in this country.
[00:37:52.720 --> 00:38:00.004]  And to move humanity forward, because in the ultimate progress, what we're looking for is an evolution towards self-governance.
[00:38:00.104 --> 00:38:03.186]  And I believe that that is the inevitable course of human history.
[00:38:03.526 --> 00:38:06.688]  And that is our destiny as a species, to achieve self-governance.
[00:38:07.028 --> 00:38:12.692]  To achieve a state in which every human being decides that they want to be the alpha of their own lives.
[00:38:13.112 --> 00:38:21.216]  And so when we talk about the ultimate goal of abolishing all government, it's to replace it with self-rule and a voluntary peaceful society.
[00:38:21.657 --> 00:38:38.085]  So I understand the considerations for thinking that maybe there are advantages to being a part of a larger government or a bigger collective, but really the way we make progress is by moving power locally and moving it down in the direction of the individual.
[00:38:38.145 --> 00:38:39.086]  And so that's what this is
[00:38:39.366 --> 00:38:47.290]  This is about, for me, I wouldn't want to cut out 97% of a cancer and say, well, let's just get back to constitutional government, because it's going to grow back.
[00:38:47.410 --> 00:38:50.612]  And democracy itself is what we're talking about getting past here.
[00:38:50.952 --> 00:39:03.719]  This idea that human beings should pick leaders for each other and that a majority, by virtue of just being the majority, can come up with an excuse through that and through a government to impose its will on the minority or everybody else, as you know,
[00:39:04.219 --> 00:39:08.202]  ...leads to the kind of corruption we see today, and I would say that that's inherent in the system.
[00:39:08.562 --> 00:39:19.228]  Because politicians will inevitably promise something other than what they're going to deliver, which is the special interests that they plan to serve, and that's what ends up happening every single time.
[00:39:19.248 --> 00:39:28.654]  And until people say, well, we're not going to give this power arbitrarily to any kind of leadership, we're not going to demand our own self-governance, we're going to have all these problems.
[00:39:28.974 --> 00:39:33.357]  But right now, we see this particular level of government at the United States federal level
[00:39:33.797 --> 00:39:40.061]  Coming to some dangerous points of collapse, and I think we can really move people to get behind this simple call.
[00:39:40.381 --> 00:39:42.543]  And that's why we're working towards this for next year.
[00:39:42.843 --> 00:39:48.186]  What we did this past Independence Day was fundamentally change the conversation by starting people to talk about this.
[00:39:48.607 --> 00:39:50.608]  But we're building forces for next year.
[00:39:50.928 --> 00:39:58.133]  And one of the most important things people have to get over, Alex, and I think this is an important one for a lot of people that come to this movement through love of country,
[00:39:58.473 --> 00:40:00.334]  Through love of their fellow human beings.
[00:40:00.775 --> 00:40:02.516]  That it's not about patriotism.
[00:40:02.556 --> 00:40:05.698]  It's not about love for a collective or love that ends at borders.
[00:40:06.198 --> 00:40:08.380]  It's about love for humanity itself.
[00:40:08.540 --> 00:40:10.741]  Love for liberty and love for oneself.
[00:40:11.042 --> 00:40:16.866]  And the pride of an individual saying, I don't need to be part of a collective to have a healthy sense of myself.
[00:40:17.910 --> 00:40:24.662]  Adam, looking at this, I understand the idea to get towards local government and then individual government.
[00:40:25.042 --> 00:40:29.249]  I understand that anything centralized ends up becoming corrupt and bad historically.
[00:40:30.271 --> 00:40:56.519]  I'm just trying to get the public to awaken to the globalist and the quickest path to that is to point out our country has been occupied uh... basically by these foreign forces that are completely uh... above any law and who are the ultimate socialist feeding uh... off of corporate welfare and so i understand your whole point of the federal government is completely shot completely corrupt completely
[00:40:57.999 --> 00:40:58.680]  I don't think so.
[00:41:16.249 --> 00:41:27.522]  into these systems of collectivism that it's like asking Helen Keller to go out on her first day of being able to make contact with humanity and climb Mount Everest.
[00:41:28.383 --> 00:41:33.008]  And I understand that the bold stroke sometimes works, but a lot of times it also misses.
[00:41:33.488 --> 00:41:36.151]  And so there's all these specifics
[00:41:36.892 --> 00:41:38.373]  Of how something would be done.
[00:41:38.734 --> 00:41:51.724]  I see a plan in the Declaration of Independence Bill of Rights Constitution to absolutely knock out almost all of what the globalists have done and people respect that and understand that and know that.
[00:41:52.224 --> 00:41:56.347]  I just don't see us transported to this
[00:41:58.254 --> 00:42:03.136]  Ultra-libertarian or anarchic capitalist system you're talking about overnight.
[00:42:03.156 --> 00:42:18.801]  I mean, what would be the process or what do you expect to happen if there was some type of, you know, Arab Spring here and then three years from now the country is an absolute wreck with all these different power forces fighting with each other in the streets.
[00:42:18.821 --> 00:42:22.842]  I mean, in every case in history, this will end in a giant physical war.
[00:42:23.766 --> 00:42:31.190]  Well, I think that's one of the great opportunities that we have in the American political system with this concept of sovereign states coming together to form the United States.
[00:42:31.250 --> 00:42:42.257]  We can simply get rid of this extraneous upper level of government entirely and still have the basic fundamental concept for how society is organized in government without that higher level of corruption.
[00:42:42.717 --> 00:42:46.618]  But power corrupts, and any power that exists has that potential.
[00:42:47.079 --> 00:42:55.581]  Anytime people say, well, we're going to abdicate our power of self-governance, we're going to vote for elected representatives, then you have this opportunity for corruption.
[00:42:55.941 --> 00:43:00.383]  And you're absolutely right that if we have it at the state level, yes, there will be corrupt state governments.
[00:43:00.763 --> 00:43:08.245]  But if we nationalize that corruption, you only create a greater distance from the people and greater centers of power that allow for more corruption.
[00:43:08.505 --> 00:43:12.646]  But to answer your bigger question, government is always a product of the paradigm.
[00:43:12.966 --> 00:43:18.648]  That is, whatever people believe is what determines what form of government they will have to put up with.
[00:43:19.208 --> 00:43:21.509]  And you can look at this through the course of human history.
[00:43:21.549 --> 00:43:28.310]  We've actually gone from, you know, Law of the Jungle, where whoever could pick up the biggest rock was in charge, and maybe that was the best thing at the time.
[00:43:28.670 --> 00:43:41.274]  And if you weren't the alpha male of your pack, it was in your best interest for survival to say, well, he's threatening me, I'm just gonna go along, he can bring in the biggest game, you know, I'm gonna survive, that's what I'm gonna do.
[00:43:41.674 --> 00:43:42.514]  But we've evolved
[00:43:42.894 --> 00:43:43.976]  In many ways past that.
[00:43:43.996 --> 00:43:44.997]  I think people are seeing that.
[00:43:45.017 --> 00:43:47.861]  So it's this paradigm shift towards self-government.
[00:43:47.881 --> 00:43:59.457]  And I think you've done a lot to really awaken people to the reality of what they are suffering from as a result of the combination of that and the modern technology that's available to modern governments.
[00:43:59.877 --> 00:44:07.982]  But what people really need to be woken up to now is the philosophy behind this and what they need to demand for themselves and how they should live as free and sovereign individuals.
[00:44:08.362 --> 00:44:14.786]  And if you endorse the ideas that got us to this point, that a democracy or even a constitutional republic
[00:44:15.286 --> 00:44:18.489]  You know, is an okay way to create a center of power.
[00:44:18.829 --> 00:44:19.230]  And you know what?
[00:44:19.450 --> 00:44:22.112]  I love the American founding, historically.
[00:44:22.273 --> 00:44:25.836]  I think it is an incredible step forward in terms of human progress.
[00:44:26.116 --> 00:44:31.821]  But the next step is not from, you know, this current whatever you want to call it, back to that.
[00:44:31.961 --> 00:44:33.603]  It's to a new form.
[00:44:33.643 --> 00:44:37.907]  And in order to be a true revolution, it really has to be something that is genuinely new.
[00:44:37.947 --> 00:44:41.310]  And in this case, it's this idea of self-governance.
[00:44:41.870 --> 00:44:55.199]  And I think that's the paradigm shift that's coming right now, and as much as you can say that the Constitution would be great compared to what we have today, or if our government actually followed it, it's still prone to the same fallacies that got us to this point that we're suffering from now.
[00:44:55.639 --> 00:45:00.883]  And this idea, again, under the Constitution, that we should be picking leaders for each other, is the window for corruption.
[00:45:01.383 --> 00:45:01.623]  Sure.
[00:45:02.003 --> 00:45:03.484]  Let me just briefly address that.
[00:45:04.685 --> 00:45:10.668]  A pure democracy is where 51% for those that don't know out there that are new viewers call to kill the other 49.
[00:45:11.228 --> 00:45:13.409]  It's done because the majority voted.
[00:45:13.750 --> 00:45:18.952]  We're a republic with a Bill of Rights and Constitution and then within that framework
[00:45:20.453 --> 00:45:23.215]  That is the greatest system ever developed so far.
[00:45:23.255 --> 00:45:37.087]  We're in trouble because we've allowed it to be abridged, undermined and destroyed because it's only a document that a very moral, active, informed people can basically animate, to paraphrase Thomas Jefferson and other founders.
[00:45:38.048 --> 00:45:41.951]  So I'm not calling for two wolves and a sheep voting on what's for dinner.
[00:45:42.531 --> 00:45:45.174]  We know that we have an absolutely criminal
[00:45:46.451 --> 00:45:56.895]  Foreign banking cartel that has taken over the federal government, expanded it unconstitutionally, and is now using it as an occupation force, and bragging they've done that, and they've done that in Europe.
[00:45:56.955 --> 00:46:07.420]  They admit, we've taken over, you will pay all of our derivatives debts, we're going to break up your families, we're going to build giant prisons, we're going to enslave you, ah ha ha!
[00:46:07.460 --> 00:46:09.701]  I mean, this is flaming tyrants.
[00:46:10.221 --> 00:46:15.323]  But then you get the Peter Thiel's and people that say they're libertarians,
[00:46:15.703 --> 00:46:20.887]  Coming in and going, yeah, we'll have free cities out in the ocean and free sub-cities within the U.S.
[00:46:20.947 --> 00:46:28.493]  And Glenn Beck says, you know, they'll build a community, they'll have enough power to lobby, like the big mega-banks do, to be outside the taxes and outside the system.
[00:46:28.814 --> 00:46:33.477]  So it's these city-states again, going back basically to feudalism.
[00:46:33.858 --> 00:46:40.363]  But then if you expand out from that, how do you deal with the globalists that already came through the corrupt government?
[00:46:41.491 --> 00:46:58.437]  And had the government take the taxpayer-paid-for infrastructure of power plants, waterways, the reservoirs, the institutions, the infrastructure, it's already being transferred to the globalists who aren't free market.
[00:46:58.457 --> 00:46:59.398]  They call it libertarian.
[00:46:59.458 --> 00:46:59.998]  It's theft.
[00:47:00.638 --> 00:47:08.886]  It's fraudulent deals and so we get rid of the federal government and now it's a bunch of private security forces running around that already took the country over.
[00:47:09.247 --> 00:47:12.911]  I say we take the federal government back, arrest all these criminal globalists.
[00:47:13.231 --> 00:47:16.955]  I mean, what structure do we use of grand juries to bring them to justice?
[00:47:17.595 --> 00:47:19.659]  And literally have our Nuremberg trials.
[00:47:19.959 --> 00:47:27.590]  That's what we have to have, and then have a new constitutional convention, decide do we abolish the federal government entirely, or what do we do?
[00:47:27.871 --> 00:47:30.875]  You say, well that's groups of people voting on what happens.
[00:47:31.156 --> 00:47:32.498]  The average person out there
[00:47:33.559 --> 00:47:41.621]  Adam has a 20 point IQ reduction from the fluoride on record as literally a foaming at the mouth zombie who can't even wipe their own ass.
[00:47:42.041 --> 00:47:45.602]  So I'm asking you, these people don't even know how to feed themselves.
[00:47:46.103 --> 00:47:50.684]  I mean, it's much more sophisticated than the system that you're even talking about.
[00:47:51.044 --> 00:47:53.065]  I mean, we've already... That's a great question.
[00:47:53.205 --> 00:47:56.547]  Absolutely, it's a very important question, and I appreciate the way that you pose that, Alex.
[00:47:57.027 --> 00:48:06.031]  But I would beg to differ just a little bit on the understanding of the Constitution, you know, in contrast to a direct democracy, because it's still fundamentally in the same category.
[00:48:06.432 --> 00:48:09.193]  If you have a direct democracy, as you say, 51% vote to kill 49%,
[00:48:11.354 --> 00:48:13.637]  You still need an enforcement class to carry that out.
[00:48:13.677 --> 00:48:15.579]  You need the support system to make that possible.
[00:48:15.619 --> 00:48:18.062]  You need the general consent of the public to carry that out.
[00:48:18.483 --> 00:48:25.291]  And what we see, even under the republic as we have today, if you, obviously it's not a republic, but under this system it is devolved.
[00:48:25.431 --> 00:48:28.355]  Once you grant those powers of democratic representation,
[00:48:28.775 --> 00:48:35.742]  That it eventually comes out to, how do we allow criminals to get away with as much as society will tolerate?
[00:48:35.822 --> 00:48:40.607]  How do we take away the way that society actually corrects for those injustices?
[00:48:40.988 --> 00:48:42.629]  And that's the result of the Constitution.
[00:48:42.669 --> 00:48:44.331]  That's the result of endorsing these policies.
[00:48:44.371 --> 00:48:48.816]  Now, as for the average American, you're absolutely right, and that's why what we're calling for
[00:48:49.256 --> 00:48:50.958]  Is to elevate the average American.
[00:48:50.978 --> 00:48:56.522]  And I think the work that you've done in educating people about fluoride has been absolutely essential in that.
[00:48:56.882 --> 00:49:00.926]  And I think the way that people are waking up to self-governance is key in this.
[00:49:01.446 --> 00:49:07.391]  But in terms of the how, you know, I'm really not too concerned about the exact mechanics.
[00:49:07.671 --> 00:49:10.634]  And I'm really not too concerned about redistributing the wealth.
[00:49:10.914 --> 00:49:14.357]  And I think one of the things that we have to acknowledge if we want real freedom
[00:49:14.717 --> 00:49:17.060]  Is that we're going to have to give up some materialism.
[00:49:17.340 --> 00:49:19.802]  We're not going to ever have perfect justice.
[00:49:20.063 --> 00:49:31.454]  We're never going to have a perfect redistribution of wealth based on, well, that was granted by government unjustly to some private interest or to some corporation or whatever the case may be.
[00:49:31.794 --> 00:49:38.341]  But that's also one of the advantages of what I'm proposing is that property can be reclaimed by states and local governments in the process
[00:49:38.701 --> 00:49:39.862]  Of decentralization.
[00:49:39.902 --> 00:49:45.604]  I think, really, this idea of localizing power is the best mechanism of doing it.
[00:49:46.084 --> 00:49:49.146]  Obviously, one of the things we have to do is get people off fiat currencies.
[00:49:49.446 --> 00:49:53.728]  Getting rid of the federal government means getting rid of the dollar as the world reserve currency.
[00:49:53.768 --> 00:49:55.368]  Getting rid of the dollar entirely.
[00:49:55.748 --> 00:49:57.809]  And I think that's a key step in the right direction.
[00:49:58.069 --> 00:50:06.233]  But when it comes to the imbalance of power and the imbalance of wealth that exists, some of it is just going to have to be, you know, we're just going to have to chalk it up as a loss.
[00:50:06.613 --> 00:50:11.538]  And I think if we want to move forward, we're going to have to give up some of that petty desire for perfect justice.
[00:50:11.578 --> 00:50:19.466]  However, there is a good mechanism that gets to a point where people are at least allowed equitable access to natural resources.
[00:50:19.506 --> 00:50:28.576]  And one of the ways that you can do that, when you get rid of the federal government and have the states reclaim all the federally held property within their borders when they secede, is they can then
[00:50:29.296 --> 00:50:40.999]  Relocalize it again to the county level, and at some point, you simply issue shares in corporations that are holding all of that property, and you allow people to sell them or trade them, and that's how you get to that privatization.
[00:50:41.259 --> 00:50:57.244]  And it's not going to be perfect, Alex, and this is a very screwed-up world we live in, as you do a great job of educating people about, but we have to accept some of the past mistakes in order to move past them without dwelling on this, because... No, no, I understand, but the way the complexity of the world works...
[00:50:58.939 --> 00:51:07.413]  The way the complexity of the world works is that the organized gangs, the big corporate gangs that set up the New World Order, the ones that have occupied the government?
[00:51:07.894 --> 00:51:08.074]  Yes.
[00:51:09.076 --> 00:51:10.278]  What's going to happen to them?
[00:51:10.298 --> 00:51:12.702]  Because you're going to get rid of the federal government.
[00:51:13.581 --> 00:51:18.863]  They've already bought everything up and taken everything over through the federal government unduly.
[00:51:19.464 --> 00:51:21.364]  So now we just get a global government?
[00:51:21.384 --> 00:51:23.025]  Because let me tell you what the banksters are doing.
[00:51:23.505 --> 00:51:29.108]  They're actually getting rid of government in Europe because they already used it to take everything over and now they're the government.
[00:51:30.042 --> 00:51:31.463]  So I trade out the feds?
[00:51:31.883 --> 00:51:33.644]  I trade out the feds for Goldman Sachs?
[00:51:33.964 --> 00:51:46.790]  No, because all of their, and this is again something that is taken care of by the process of localization, and what you're pointing to in Europe is often challenging the sovereignty of the states of Europe in favor of the European Union control.
[00:51:46.830 --> 00:51:57.855]  And it's still fundamentally, and Alex, you understand the mechanisms of this, the way those people work, is if it wasn't for the coercion of the government enforcement class, what they're talking about wouldn't be possible.
[00:51:58.255 --> 00:51:58.675]  And so when you
[00:51:58.995 --> 00:52:02.278]  Oh no, we know wildcat economies grow at 10-15% a year.
[00:52:02.679 --> 00:52:05.721]  Globalist economies are basically negative, except in certain sectors.
[00:52:06.002 --> 00:52:10.466]  Look, I agree with a true laissez-faire, open, free society.
[00:52:10.766 --> 00:52:19.134]  The problem is, is that they always have a version of laissez-faire that are these big insiders who only want laissez-faire for them and nobody else.
[00:52:19.694 --> 00:52:41.272]  Right, and if there is part of this localization process that I'm describing that includes reclaiming property from corrupt corporations that have benefited unjustly from government, and a state government at the point of secession decides, hey, there's a facility, there's a power plant, there's something, there's a, you know, whatever it is that's in our state that was gained unjustly, it can be reclaimed by the state.
[00:52:41.292 --> 00:52:42.413]  And then what time is that?
[00:52:42.453 --> 00:52:43.153]  The state courts?
[00:52:44.154 --> 00:52:47.236]  Yeah, like I said, it's not perfect, but it's a move in the right direction.
[00:52:47.256 --> 00:52:47.936]  Oh, no, no, listen.
[00:52:47.976 --> 00:52:48.757]  Now you're talking.
[00:52:49.097 --> 00:52:58.903]  They've shut down 2,000 plus power plants the last five years that are totally clean, so that the jobs can move to China where the globalists have their insider deals.
[00:52:58.943 --> 00:52:59.503]  That's on record.
[00:52:59.983 --> 00:53:03.605]  So we arrest the people that run the corporations that did that and lobbied for it.
[00:53:03.625 --> 00:53:04.726]  That's pure organized crime.
[00:53:04.926 --> 00:53:06.567]  And we turn those damn power plants on.
[00:53:06.847 --> 00:53:07.768]  See, now you're talking.
[00:53:08.268 --> 00:53:12.891]  Yeah, see, we take away all these mechanisms of control here, Alex, and the global... Hey, wait a minute!
[00:53:12.911 --> 00:53:14.692]  These guys ain't gonna give up, buddy.
[00:53:14.852 --> 00:53:17.593]  They're gonna be offshore with legions of hitmen.
[00:53:17.773 --> 00:53:19.114]  They're gonna send in here to kill us.
[00:53:19.494 --> 00:53:22.136]  So I'm saying, how do we organize to stop them?
[00:53:22.156 --> 00:53:22.796]  No, no, no, no.
[00:53:23.196 --> 00:53:29.060]  Now, this is the important point here, Alex, because where they get their legions of hitmen now is through government.
[00:53:29.200 --> 00:53:31.381]  The private corporations... But they're going to have...
[00:53:31.641 --> 00:53:33.845]  But they're going to be offshore bases.
[00:53:34.226 --> 00:53:38.314]  Any country that tries to go free, they will then attack from every angle.
[00:53:38.515 --> 00:53:40.218]  I'm saying we're not doing this in a vacuum.
[00:53:40.498 --> 00:53:43.584]  That's why the founders believed we had to have a limited government.
[00:53:45.461 --> 00:53:52.064]  Well, they also believe that the greatest threat to freedom was a standing army and that the greatest defense was a well-armed population that refused to be oppressed.
[00:53:52.104 --> 00:53:52.544]  I agree, I agree.
[00:53:52.564 --> 00:53:53.725]  That's what we're working towards.
[00:53:54.025 --> 00:53:58.507]  The reason the Japanese didn't invade the mainland was because they'd find a rifle behind every blade of grass.
[00:53:58.927 --> 00:54:02.928]  And what we're proposing is a population that refuses to be subjected to tyranny.
[00:54:03.289 --> 00:54:06.210]  And when you get to that point, you can't be invaded.
[00:54:07.793 --> 00:54:08.494]  Well, I know this.
[00:54:08.554 --> 00:54:10.135]  We're in the clutches of the globalists.
[00:54:10.695 --> 00:54:14.178]  Can you agree with me that we're not even talking about the federal government?
[00:54:14.498 --> 00:54:20.163]  And that it is more popular to say we have an occupied globalist government by banksters?
[00:54:20.643 --> 00:54:21.204]  Absolutely.
[00:54:21.524 --> 00:54:24.627]  Let's take the federal government as it exists away from them.
[00:54:25.687 --> 00:54:26.328]  Absolutely.
[00:54:27.228 --> 00:54:32.151]  Did you read, I'm not bragging about it, but I did a lot of research into it, a lot of constitutional lawyers have read it.
[00:54:32.371 --> 00:54:36.874]  They said it's very constitutional, that it's a very smart plan, that the founders would have come up with.
[00:54:36.894 --> 00:54:38.595]  Well, that's why, because I researched what they did.
[00:54:38.615 --> 00:54:43.798]  I mean, did you read what I put out last year, my call for a second American Revolution?
[00:54:44.298 --> 00:54:47.000]  I only saw parts of it in the news, I apologize.
[00:54:47.200 --> 00:54:48.201]  No, no, no, no, that's fine.
[00:54:48.221 --> 00:54:49.882]  I'm just saying, I don't think
[00:54:51.928 --> 00:54:54.349]  And I can't blame you because I'm not that articulate sometimes on the air.
[00:54:54.829 --> 00:55:01.371]  I think the plan you're talking about, and my plan, which is just a constitutional plan, is very, very similar.
[00:55:01.711 --> 00:55:16.935]  I just want to have a debate about the fact that we've been occupied and captured like Vichy France, and that after we've kicked the globalists out, that I think the uproar that would come out of people discovering what happened, I think you might actually get what you're talking about.
